"query"	"ko"
"Yarrowia_lipolytica@Seq_3630"	"K15158"
"Komagataella_pastoris@Seq_4201"	"K01696"
"yHMPu5000041824_Debaryomyces_subglobosus@Seq_4950"	"K22493"
"yHMPu5000034607_Saccharomycopsis_capsularis@Seq_2507"	"K09468"
"yHMPu5000041818_Magnusiomyces_tetrasperma@Seq_4475"	"K06670"
"Metschnikowia_cerradonensis@Seq_5958"	"K14301"
"Saccharomyces_eubayanus@Seq_4121"	"K22211"
"Sclerotinia_sclerotiorum@Seq_13207"	"K20872"
"Coccidioides_immitis@Seq_6399"	"K05661"
"Stagonospora_nodorum@Seq_10729"	"K10971"
"yHMPu5000035261_Candida_ponderosae@Seq_1072"	"K01183"
"Metschnikowia_hamakuensis@Seq_5009"	"K18725"
"Saccharomyces_cerevisiae@YBL057C"	"K04794"
"Saccharomyces_cerevisiae@YGR194C"	"K00854"
"yHMPu5000035261_Candida_ponderosae@Seq_7163"	"K16196"
"yHMPu5000035018_Candida_canberraensis@Seq_5380"	"K14328"
"yHMPu5000034742_Lipomyces_suomiensis@Seq_2394"	"K08192"
"Ascoidea_asiatica@Seq_7336"	"K18730"
"Stagonospora_nodorum@Seq_7786"	"K14640"
"yHMPu5000034950_Citeromyces_hawaiiensis@Seq_2009"	"K11649"
"yHMPu5000034674_Blastobotrys_muscicola@Seq_6149"	"K06687"
"Ascoidea_rubescens@Seq_1028"	"K17978"
"yHAB166_Kazachstania_yakushimaensis@Seq_2002"	"K03854"
"Metschnikowia_santaceciliae@Seq_664"	"K03320"
"yHMPu5000034950_Citeromyces_hawaiiensis@Seq_3270"	"K03024"
"yHMPu5000035271_Wickerhamomyces_bovis@Seq_4821"	"K21125"
"Spathaspora_gorwiae@Seq_5374"	"K04075"
"yHMPu5000035675_Kregervanrija_fluxuum@Seq_3289"	"K00002"
"yHMPu5000035696_Hanseniaspora_singularis@Seq_4005"	"K19953"
"yHMPu5000034631_Martiniozyma_abiesophila@Seq_1556"	"K19245"
"yHMPu5000034631_Martiniozyma_abiesophila@Seq_4244"	"K02542"
"Nakaseomyces_bacillisporus@Seq_3089"	"K14812"
"Metschnikowia_matae@Seq_4807"	"K03283"
"yHAB155_Kazachstania_spencerorum@Seq_3329"	"K11996"
"Botrytis_cinerea@Seq_2883"	"K01569"
"yHMPu5000034671_Blastobotrys_peoriensis@Seq_129"	"K11161"
"yHAB155_Kazachstania_spencerorum@Seq_1310"	"K03504"
"Fusarium_graminearum@Seq_7638"	"K01673"
"Arthrobotrys_oligospora@Seq_10575"	"K19355"
"Alloascoidea_hylecoeti@Seq_52"	"K09467"
"Nakaseomyces_bracarensis@Seq_5327"	"K09043"
"yHMPu5000035244_Candida_incommunis@Seq_1013"	"K11272"
"yHMPu5000034749_Lipomyces_mesembrius@Seq_5037"	"K01648"
"yHMPu5000026142_Citeromyces_matritensis@Seq_4188"	"K20224"
"yHMPu5000035640_Yamadazyma_philogaea@Seq_4069"	"K01077"
"yHMPu5000034629_Pichia_exigua@Seq_2162"	"K21632"
"Metschnikowia_matae_maris@Seq_1679"	"K02999"
"yHMPu5000034952_Citeromyces_siamensis@Seq_8257"	"K11293"
"Metschnikowia_mauinuiana@Seq_449"	"K20183"
"yHMPu5000034655_Botryozyma_nematodophila@Seq_7808"	"K12613"
"yHMPu5000034655_Botryozyma_nematodophila@Seq_8454"	"K19525"
"Nadsonia_fulvescens_var_elongata@Seq_2871"	"K21390"
"Metschnikowia_mauinuiana@Seq_4424"	"K00863"
"Metschnikowia_santaceciliae@Seq_2269"	"K00135"
"yHMPu5000034607_Saccharomycopsis_capsularis@Seq_2398"	"K11761"
"yHMPu5000035675_Kregervanrija_fluxuum@Seq_2222"	"K01872"
"Saccharomycopsis_malanga@Seq_3708"	"K10352"
"yHMPu5000035684_Kloeckera_hatyaiensis@Seq_2884"	"K22022"
"yHMPu5000034674_Blastobotrys_muscicola@Seq_1595"	"K01183"
"yHMPu5000034950_Citeromyces_hawaiiensis@Seq_5049"	"K14842"
"Tetrapisispora_phaffii@Seq_4113"	"K08286"
"yHMPu5000034950_Citeromyces_hawaiiensis@Seq_5358"	"K11293"
"Metschnikowia_kamakouana@Seq_4924"	"K19720"
"Lipomyces_starkeyi@Seq_7971"	"K08150"
"yHAB133_Kazachstania_unispora@Seq_3379"	"K15110"
"Saccharomyces_cerevisiae@YMR095C"	"K08681"
"yHMPu5000034673_Blastobotrys_nivea@Seq_3579"	"K06674"
"Saccharomyces_cerevisiae@YCR010C"	"K07034"
"Saccharomyces_cerevisiae@YBR018C"	"K00965"
"Stagonospora_nodorum@Seq_10133"	"K06123"
"Saccharomyces_cerevisiae@YPL214C"	"K14154"
"Debaryomyces_hansenii@Seq_5786"	"K08197"
"Candida_boidinii_JCM9604@Seq_4783"	"K21110"
"Saccharomyces_cerevisiae@YGR014W"	"K19849"
"yHMPu5000034631_Martiniozyma_abiesophila@Seq_8047"	"K00293"
"Aspergillus_nidulans@Seq_6136"	"K11517"
"yHAB155_Kazachstania_spencerorum@Seq_1489"	"K07204"
"Arthrobotrys_oligospora@Seq_9771"	"K07830"
"yHMPu5000041855_Candida_ascalaphidarum@Seq_2620"	"K19815"
"Lachancea_waltii@Seq_271"	"K11594"
"yHMPu5000034892_Ogataea_pilisensis@Seq_1554"	"K00616"
"yHAB166_Kazachstania_yakushimaensis@Seq_638"	"K00826"
"Saccharomyces_cerevisiae@YGR092W"	"K06684"
"Saccharomyces_cerevisiae@YMR108W"	"K01652"
"Candida_sojae@Seq_2687"	"K19845"
"yHMPu5000034748_Lipomyces_oligophaga@Seq_1216"	"K01336"
"Nakaseomyces_bracarensis@Seq_1136"	"K04648"
"yHMPu5000035640_Yamadazyma_philogaea@Seq_2801"	"K06687"
"Arxula_adeninivorans@Seq_862"	"K01027"
"Ascoidea_asiatica@Seq_3662"	"K03120"
"yHMPu5000034892_Ogataea_pilisensis@Seq_2305"	"K09243"
"yHMPu5000034950_Citeromyces_hawaiiensis@Seq_6419"	"K15083"
"Candida_apicola@Seq_3831"	"K04573"
"yHMPu5000026124_Ogataea_henricii@Seq_2068"	"K12199"
"Spathaspora_hagerdaliae@Seq_6092"	"K00077"
"Saccharomyces_cerevisiae@YEL051W"	"K02149"
"yHAB143_Kazachstania_siamensis@Seq_4849"	"K08139"
"yHAB155_Kazachstania_spencerorum@Seq_5298"	"K18586"
"Starmerella_bombicola_JCM9596@Seq_3437"	"K11718"
"Saccharomyces_cerevisiae@YAL011W"	"K11682"
"Saccharomyces_cerevisiae@YKL184W"	"K01581"
"yHMPu5000035302_Candida_fragi@Seq_4887"	"K15454"
"yHMPu5000034674_Blastobotrys_muscicola@Seq_5525"	"K06009"
"Saccharomyces_cerevisiae@YIL142W"	"K09494"
"Saccharomyces_cerevisiae@YPR189W"	"K12600"
"Tortispora_caseinolytica@Seq_4514"	"K19815"
"yHMPu5000035325_Cyberlindnera_petersonii@Seq_3189"	"K10967"
"Saccharomyces_cerevisiae@YIR010W"	"K11560"
"Alloascoidea_hylecoeti@Seq_3412"	"K17751"
"yHMPu5000034635_Nadsonia_fulvescens@Seq_1281"	"K03235"
"Aspergillus_nidulans@Seq_729"	"K08257"
"Aspergillus_nidulans@Seq_3917"	"K09241"
"yHMPu5000034631_Martiniozyma_abiesophila@Seq_720"	"K14842"
"yHMPu5000034631_Martiniozyma_abiesophila@Seq_6258"	"K01958"
"Spathaspora_hagerdaliae@Seq_1449"	"K23481"
"Kazachstania_africana@Seq_4047"	"K15223"
"yHMPu5000034999_Cephaloascus_fragrans@Seq_524"	"K08712"
"Arxula_adeninivorans@Seq_1787"	"K07034"
"Saccharomyces_cerevisiae@YKL017C"	"K19783"
"yHMPu5000041678_Debaryomyces_prosopidis@Seq_1088"	"K08178"
"yHAB136_Kazachstania_bromeliacearum@Seq_930"	"K06009"
"yHMPu5000035652_Torulaspora_maleeae@Seq_3412"	"K00134"
"Saccharomyces_cerevisiae@YIR001C"	"K14396"
"Metschnikowia_drakensbergensis@Seq_258"	"K17673"
"yHMPu5000034646_Wickerhamiella_cacticola@Seq_1321"	"K12821"
"yHMPu5000034952_Citeromyces_siamensis@Seq_4822"	"K01336"
"Arthrobotrys_oligospora@Seq_10285"	"K01051"
"yHMPu5000034607_Saccharomycopsis_capsularis@Seq_4074"	"K18097"
"Saccharomyces_cerevisiae@YMR238W"	"K08257"
"Metschnikowia_similis@Seq_70"	"K17741"
"yHMPu5000035268_Wickerhamomyces_hampshirensis@Seq_2539"	"K22686"
"Wickerhamiella_domercqiae@Seq_2569"	"K00804"
"yHMPu5000034607_Saccharomycopsis_capsularis@Seq_4202"	"K20237"
"Saccharomyces_cerevisiae@YKR036C"	"K17970"
"yHMPu5000035296_Priceomyces_carsonii@Seq_2169"	"K18097"
"Metschnikowia_borealis@Seq_661"	"K06681"
"Candida_carpophila@Seq_1384"	"K08141"
"yHMPu5000035301_Pichia_terricola@Seq_1523"	"K19245"
"yHMPu5000035643_Yarrowia_bubula@Seq_1002"	"K06005"
"Kazachstania_naganishii@Seq_3265"	"K12158"
"yHMPu5000034631_Martiniozyma_abiesophila@Seq_2718"	"K11870"
"Saitoella_complicata@Seq_4556"	"K09503"
"Saccharomyces_cerevisiae@YPL095C"	"K07019"
"Saccharomyces_cerevisiae@YBR249C"	"K01626"
"yHMPu5000034950_Citeromyces_hawaiiensis@Seq_2102"	"K01835"
"yHMPu5000034952_Citeromyces_siamensis@Seq_4645"	"K01694"
"yHMPu5000035282_Trigonopsis_vinaria@Seq_4929"	"K22835"
"Metschnikowia_hawaiiensis@Seq_3523"	"K11251"
"yHMPu5000034999_Cephaloascus_fragrans@Seq_2627"	"K00354"
"Metschnikowia_santaceciliae@Seq_3899"	"K13996"
"Geotrichum_candidum@Seq_6539"	"K14007"
"Tortispora_caseinolytica@Seq_3882"	"K01381"
"yHMPu5000035643_Yarrowia_bubula@Seq_5902"	"K03124"
"yHAB155_Kazachstania_spencerorum@Seq_317"	"K00858"
"Metschnikowia_bowlesiae@Seq_1182"	"K17741"
"Candida_versatilis@Seq_2453"	"K03809"
"yHMPu5000035282_Trigonopsis_vinaria@Seq_2743"	"K02313"
"yHAB143_Kazachstania_siamensis@Seq_1342"	"K11676"
"Spathaspora_girioi@Seq_4921"	"K13024"
"Saccharomyces_cerevisiae@YPR068C"	"K11482"
"Spathaspora_arborariae@Seq_4983"	"K19245"
"Saccharomyces_cerevisiae@YFL016C"	"K03686"
"Metschnikowia_ipomoeae@Seq_1946"	"K01702"
"yHMPu5000041840_Candida_wancherniae@Seq_4744"	"K17508"
"yHMPu5000026142_Citeromyces_matritensis@Seq_3074"	"K14863"
"yHMPu5000034952_Citeromyces_siamensis@Seq_6253"	"K11238"
"yHMPu5000041693_Debaryomyces_nepalensis@Seq_5043"	"K19703"
"Ascoidea_asiatica@Seq_1491"	"K01210"
"yHMPu5000034957_Hanseniaspora_osmophila@Seq_1001"	"K04077"
"Metschnikowia_matae_maris@Seq_3479"	"K03283"
"Schizosaccharomyces_pombe@Seq_42"	"K17440"
"yHMPu5000034631_Martiniozyma_abiesophila@Seq_2514"	"K02938"
"Lachancea_waltii@Seq_4698"	"K08139"
"yHMPu5000035670_Phaffomyces_opuntiae@Seq_3727"	"K09514"
"yHAB155_Kazachstania_spencerorum@Seq_6523"	"K00616"
"Saccharomyces_cerevisiae@YNL304W"	"K17977"
"yHMPu5000026142_Citeromyces_matritensis@Seq_634"	"K14832"
"yHMPu5000034978_Cyberlindnera_mrakii@Seq_1867"	"K13370"
"Saccharomyces_cerevisiae@YIL144W"	"K11547"
"Saccharomyces_cerevisiae@YDR207C"	"K09243"
"Saccharomyces_cerevisiae@YPL101W"	"K11375"
"yHMPu5000035679_Candida_rhagii@Seq_5161"	"K06005"
"Arthrobotrys_oligospora@Seq_483"	"K11422"
"Hyphopichia_burtonii@Seq_2903"	"K09504"
"Debaryomyces_hansenii@Seq_571"	"K08197"
"yHAB155_Kazachstania_spencerorum@Seq_1952"	"K00624"
"Spathaspora_hagerdaliae@Seq_2272"	"K07034"
"yHMPu5000035261_Candida_ponderosae@Seq_5920"	"K00147"
"yHMPu5000034875_Tetrapisispora_fleetii@Seq_5273"	"K14538"
"yHMPu5000034655_Botryozyma_nematodophila@Seq_8601"	"K10583"
"yHMPu5000034661_Dipodascus_albidus@Seq_1482"	"K01480"
"yHMPu5000034876_Tetrapisispora_iriomotensis@Seq_4853"	"K09265"
"Arthrobotrys_oligospora@Seq_7486"	"K09649"
"yHMPu5000035703_Cyberlindnera_americana@Seq_3465"	"K00276"
"Candida_sorboxylosa@Seq_877"	"K00264"
"Saccharomyces_cerevisiae@YEL064C"	"K14997"
"yHMPu5000034952_Citeromyces_siamensis@Seq_6345"	"K21989"
"Spathaspora_arborariae@Seq_4090"	"K10563"
"yHMPu5000035645_Yarrowia_divulgata@Seq_5749"	"K11539"
"yHMPu5000034952_Citeromyces_siamensis@Seq_589"	"K20223"
"Nadsonia_fulvescens_var_elongata@Seq_3012"	"K10873"
"yHAB155_Kazachstania_spencerorum@Seq_4311"	"K20222"
"Candida_dubliniensis@Seq_564"	"K00432"
"Metschnikowia_cerradonensis@Seq_5678"	"K03448"
"Ambrosiozyma_monospora@Seq_1448"	"K22832"
"yHMPu5000034710_Kluyveromyces_dobzhanskii@Seq_1732"	"K19717"
"Botrytis_cinerea@Seq_4239"	"K08192"
"yHMPu5000026152_Torulaspora_franciscae@Seq_2285"	"K01182"
"Metschnikowia_santaceciliae@Seq_1653"	"K00122"
"yHAB143_Kazachstania_siamensis@Seq_3917"	"K00826"
"yHMPu5000034612_Saturnispora_saitoi@Seq_1519"	"K03122"
"yHMPu5000034661_Dipodascus_albidus@Seq_3901"	"K10706"
"yHMPu5000026124_Ogataea_henricii@Seq_2613"	"K04409"
"Candida_intermedia@Seq_2320"	"K03263"
"Saccharomyces_cerevisiae@YFL026W"	"K11213"
"yHMPu5000026142_Citeromyces_matritensis@Seq_5255"	"K17742"
"yHAB143_Kazachstania_siamensis@Seq_3120"	"K12779"
"yHMPu5000034754_Lipomyces_arxii@Seq_4540"	"K18670"
"Saitoella_complicata@Seq_2076"	"K01904"
"Tetrapisispora_blattae@Seq_2182"	"K14416"
"yHMPu5000035688_Cyberlindnera_xylosilytica@Seq_1961"	"K21545"
"yHMPu5000035261_Candida_ponderosae@Seq_7275"	"K15278"
"Fusarium_graminearum@Seq_9858"	"K07246"
"Candida_versatilis@Seq_890"	"K13171"
"yHMPu5000034952_Citeromyces_siamensis@Seq_5659"	"K01950"
"yHMPu5000034952_Citeromyces_siamensis@Seq_6623"	"K05754"
"Hanseniaspora_valbyensis@Seq_4818"	"K09243"
"Aspergillus_nidulans@Seq_5537"	"K12444"
"Hanseniaspora_valbyensis@Seq_3323"	"K15040"
"Metschnikowia_matae_maris@Seq_5405"	"K17980"
"Spathaspora_girioi@Seq_1535"	"K00667"
"Arthrobotrys_oligospora@Seq_10381"	"K19475"
"Saccharomyces_cerevisiae@YML005W"	"K07055"
"Candida_sojae@Seq_3330"	"K03424"
"Alloascoidea_hylecoeti@Seq_4587"	"K16939"
"Saccharomyces_cerevisiae@YLR384C"	"K11373"
"Arthrobotrys_oligospora@Seq_566"	"K10380"
"Stagonospora_nodorum@Seq_10607"	"K00387"
"yHMPu5000035244_Candida_incommunis@Seq_4644"	"K09511"
"Saccharomyces_cerevisiae@YMR218C"	"K20307"
"Fusarium_graminearum@Seq_12741"	"K22020"
"Saccharomyces_cerevisiae@YJL210W"	"K06664"
"Metschnikowia_cerradonensis@Seq_6415"	"K09553"
"yHMPu5000034631_Martiniozyma_abiesophila@Seq_6488"	"K07179"
"yHMPu5000034952_Citeromyces_siamensis@Seq_9686"	"K15436"
"yHMPu5000034918_Nakazawaea_holstii@Seq_1058"	"K09291"
"yHAB164_Kazachstania_aerobia@Seq_2148"	"K14790"
"Sugiyamaella_lignohabitans@Seq_1166"	"K09184"
"Hanseniaspora_valbyensis@Seq_2878"	"K10601"
"Nakaseomyces_bracarensis@Seq_1835"	"K11399"
"Sclerotinia_sclerotiorum@Seq_13229"	"K03381"
"Arthrobotrys_oligospora@Seq_6974"	"K06113"
"Metschnikowia_bowlesiae@Seq_5366"	"K08139"
"yHAB159_Kazachstania_solicola@Seq_3253"	"K12666"
"yHMPu5000034631_Martiniozyma_abiesophila@Seq_3919"	"K00264"
"Botrytis_cinerea@Seq_6616"	"K12460"
"Sclerotinia_sclerotiorum@Seq_2285"	"K08573"
"yHMPu5000035047_Barnettozyma_pratensis@Seq_4827"	"K21632"
"Metschnikowia_ipomoeae@Seq_2474"	"K20039"
"yHMPu5000034673_Blastobotrys_nivea@Seq_4346"	"K18738"
"yHMPu5000026142_Citeromyces_matritensis@Seq_7587"	"K12831"
"Metschnikowia_borealis@Seq_6236"	"K07152"
"Ambrosiozyma_monospora@Seq_6518"	"K18669"
"yHMPu5000034631_Martiniozyma_abiesophila@Seq_1880"	"K02938"
"yHMPu5000026137_Ambrosiozyma_ambrosiae@Seq_5046"	"K00102"
"Ascoidea_rubescens@Seq_1687"	"K19815"
"Metschnikowia_continentalis@Seq_6049"	"K01883"
"yHMPu5000035681_Candida_gotoi@Seq_5593"	"K09235"
"Metschnikowia_mauinuiana@Seq_886"	"K02958"
"yHAB133_Kazachstania_unispora@Seq_2194"	"K02726"
"yHMPu5000035279_Tortispora_starmeri@Seq_919"	"K20353"
"Saccharomyces_cerevisiae@YDL141W"	"K01942"
"Metschnikowia_ipomoeae@Seq_2330"	"K02976"
"Saitoella_complicata@Seq_4021"	"K18749"
"Nakaseomyces_castellii@Seq_2381"	"K22264"
"Yarrowia_deformans@Seq_5654"	"K03469"
"Metschnikowia_matae_maris@Seq_6777"	"K20120"
"Spathaspora_gorwiae@Seq_1258"	"K14301"
"Ascoidea_rubescens@Seq_4998"	"K17550"
"yHMPu5000034623_Pichia_norvegensis@Seq_1169"	"K08712"
"Candida_dubliniensis@Seq_5203"	"K20177"
"Saitoella_complicata@Seq_5042"	"K13026"
"Saitoella_complicata@Seq_4655"	"K17525"
"yHMPu5000034761_Lipomyces_lipofer@Seq_770"	"K02100"
"yHMPu5000034947_Ambrosiozyma_philentoma@Seq_4973"	"K01282"
"Hanseniaspora_valbyensis@Seq_3214"	"K22645"
"yHMPu5000034748_Lipomyces_oligophaga@Seq_2816"	"K00015"
"Geotrichum_candidum@Seq_2678"	"K16739"
"yHMPu5000034631_Martiniozyma_abiesophila@Seq_7991"	"K17757"
"Wickerhamiella_domercqiae@Seq_849"	"K09184"
"Wickerhamomyces_ciferrii@Seq_1603"	"K01802"
"Hanseniaspora_valbyensis@Seq_3968"	"K14296"
"Metschnikowia_cerradonensis@Seq_1420"	"K11541"
"yHMPu5000034760_Lipomyces_kononenkoae@Seq_2983"	"K14396"
"yHMPu5000034952_Citeromyces_siamensis@Seq_8703"	"K02725"
"Hanseniaspora_vinae@Seq_798"	"K12829"
"yHMPu5000035674_Kregervanrija_delftensis@Seq_5375"	"K01749"
"Nakaseomyces_bacillisporus@Seq_3452"	"K19475"
"yHMPu5000035684_Kloeckera_hatyaiensis@Seq_2683"	"K08139"
"Saccharomyces_cerevisiae@YGR017W"	"K00275"
"yHMPu5000034952_Citeromyces_siamensis@Seq_10237"	"K09272"
"Spathaspora_girioi@Seq_5951"	"K17741"
"Candida_tropicalis@Seq_1923"	"K13289"
"yHMPu5000034952_Citeromyces_siamensis@Seq_11699"	"K16948"
"Botrytis_cinerea@Seq_11139"	"K10638"
"yHMPu5000034952_Citeromyces_siamensis@Seq_5267"	"K00679"
"yHMPu5000035673_Candida_orba@Seq_4965"	"K06100"
"yHMPu5000041713_Debaryomyces_maramus@Seq_1510"	"K06911"
"Coccidioides_immitis@Seq_1715"	"K23504"
"yHMPu5000026142_Citeromyces_matritensis@Seq_4846"	"K08783"
"yHMPu5000034946_Ambrosiozyma_oregonensis@Seq_5060"	"K08139"
"yHMPu5000034952_Citeromyces_siamensis@Seq_3992"	"K07152"
"Geotrichum_candidum@Seq_357"	"K01653"
"yHMPu5000034952_Citeromyces_siamensis@Seq_7041"	"K05767"
"Ascoidea_asiatica@Seq_6871"	"K17550"
"yHMPu5000034952_Citeromyces_siamensis@Seq_9606"	"K17498"
"Stagonospora_nodorum@Seq_1818"	"K11759"
"yHMPu5000034890_Ogataea_ramenticola@Seq_5698"	"K03233"
"yHMPu5000034886_Ogataea_trehalophila@Seq_1731"	"K01638"
"Metschnikowia_similis@Seq_3437"	"K17741"
"yHAB158_Kazachstania_viticola@Seq_1947"	"K14809"
"Saccharomyces_cerevisiae@YCR068W"	"K17900"
"Lipomyces_starkeyi@Seq_4482"	"K03654"
"Candida_boidinii_JCM9604@Seq_2241"	"K15271"
"yHMPu5000035018_Candida_canberraensis@Seq_1733"	"K00164"
"yHMPu5000034901_Ogataea_methylivora@Seq_4836"	"K08192"
"yHMPu5000034604_Sporopachydermia_lactativora@Seq_3554"	"K06646"
"yHMPu5000026197_Brettanomyces_custersianus@Seq_3310"	"K21632"
"Spathaspora_gorwiae@Seq_1820"	"K09243"
"yHMPu5000034655_Botryozyma_nematodophila@Seq_6916"	"K08869"
"Alloascoidea_hylecoeti@Seq_2407"	"K15918"
"Neurospora_crassa@Seq_6667"	"K11975"
"yHMPu5000035282_Trigonopsis_vinaria@Seq_1910"	"K04728"
"Kazachstania_africana@Seq_2030"	"K22722"
"Stagonospora_nodorum@Seq_7898"	"K03006"
"yHAB154_Kazachstania_transvaalensis@Seq_3651"	"K10969"
"Ambrosiozyma_monospora@Seq_638"	"K12763"
"Fusarium_graminearum@Seq_3629"	"K01811"
"Stagonospora_nodorum@Seq_8371"	"K01049"
"Neurospora_crassa@Seq_3389"	"K00255"
"yHMPu5000034604_Sporopachydermia_lactativora@Seq_5556"	"K06687"
"Stagonospora_nodorum@Seq_10277"	"K13370"
"yHMPu5000034635_Nadsonia_fulvescens@Seq_794"	"K20368"
"Arthrobotrys_oligospora@Seq_10592"	"K11976"
"Metschnikowia_santaceciliae@Seq_1168"	"K02519"
"Candida_sorboxylosa@Seq_3365"	"K10968"
"Metschnikowia_matae_maris@Seq_4489"	"K14411"
"Alloascoidea_hylecoeti@Seq_8886"	"K00830"
"yHMPu5000034670_Blastobotrys_proliferans@Seq_6479"	"K09327"
"yHMPu5000034748_Lipomyces_oligophaga@Seq_4361"	"K04513"
"Saccharomyces_cerevisiae@YNL185C"	"K02867"
"yHMPu5000034952_Citeromyces_siamensis@Seq_11191"	"K02940"
"Saccharomyces_kudriavzevii@Seq_2926"	"K05351"
"Saccharomyces_cerevisiae@YLR138W"	"K03316"
"Saprochaete_clavata@Seq_671"	"K08158"
"yHMPu5000034748_Lipomyces_oligophaga@Seq_3786"	"K04352"
"Zygosaccharomyces_rouxii@Seq_482"	"K00762"
"yHMPu5000034952_Citeromyces_siamensis@Seq_12516"	"K01755"
"Saccharomyces_cerevisiae@YDL190C"	"K10597"
"Lachancea_waltii@Seq_2380"	"K14649"
"yHMPu5000034631_Martiniozyma_abiesophila@Seq_6050"	"K09419"
"yHMPu5000035689_Candida_mycetangii@Seq_4853"	"K17775"
"Arthrobotrys_oligospora@Seq_6264"	"K06666"
"Saccharomyces_cerevisiae@YFR034C"	"K06658"
"yHMPu5000035040_Ambrosiozyma_maleeae@Seq_3562"	"K17623"
"yHMPu5000034605_Spencermartinsiella_europaea@Seq_3999"	"K10536"
"yHMPu5000035243_Zygoascus_meyerae@Seq_3502"	"K11563"
"yHMPu5000034952_Citeromyces_siamensis@Seq_9924"	"K11824"
"yHMPu5000034646_Wickerhamiella_cacticola@Seq_1592"	"K13126"
"Saprochaete_clavata@Seq_1681"	"K14263"
"Arthrobotrys_oligospora@Seq_1787"	"K08139"
"yHMPu5000034950_Citeromyces_hawaiiensis@Seq_1748"	"K00966"
"yHMPu5000034631_Martiniozyma_abiesophila@Seq_9501"	"K14769"
"Saccharomycopsis_malanga@Seq_242"	"K12823"
"Arthrobotrys_oligospora@Seq_1041"	"K10300"
"yHMPu5000034673_Blastobotrys_nivea@Seq_6888"	"K14557"
"yHMPu5000034655_Botryozyma_nematodophila@Seq_5963"	"K05542"
"Nakaseomyces_bracarensis@Seq_2486"	"K15154"
"Kluyveromyces_marxianus@Seq_1240"	"K09249"
"yHAB133_Kazachstania_unispora@Seq_5383"	"K10245"
"yHAB133_Kazachstania_unispora@Seq_953"	"K00354"
"Metschnikowia_hamakuensis@Seq_3714"	"K18852"
"Saccharomyces_cerevisiae@YAL014C"	"K08501"
"yHMPu5000034655_Botryozyma_nematodophila@Seq_8983"	"K16261"
"Metschnikowia_matae@Seq_7122"	"K09562"
"yHMPu5000034607_Saccharomycopsis_capsularis@Seq_3566"	"K19843"
"yHAB166_Kazachstania_yakushimaensis@Seq_311"	"K00641"
"yHAB154_Kazachstania_transvaalensis@Seq_3255"	"K21545"
"Saccharomyces_cerevisiae@YPL003W"	"K04532"
"yHMPu5000034952_Citeromyces_siamensis@Seq_7615"	"K01887"
"yHMPu5000035686_Cyberlindnera_saturnus@Seq_1913"	"K01536"
"Saccharomyces_cerevisiae@YOR094W"	"K07941"
"yHMPu5000034950_Citeromyces_hawaiiensis@Seq_1931"	"K14572"
"Botrytis_cinerea@Seq_5483"	"K00102"
"yHMPu5000035041_Ambrosiozyma_pseudovanderkliftii@Seq_4502"	"K12763"
"Ascoidea_asiatica@Seq_6705"	"K05677"
"yHMPu5000035699_Cyberlindnera_maclurae@Seq_4952"	"K03002"
"yHMPu5000034974_Deakozyma_indianensis@Seq_828"	"K01206"
"Saccharomyces_cerevisiae@YJR051W"	"K18561"
"yHMPu5000034631_Martiniozyma_abiesophila@Seq_4273"	"K05236"
"yHMPu5000034636_Ogataea_nitratoaversa@Seq_1597"	"K12763"
"Vanderwaltozyma_polyspora@Seq_1477"	"K10405"
"yHMPu5000034952_Citeromyces_siamensis@Seq_12323"	"K11238"
"yHMPu5000035658_Starmera_amethionina@Seq_2720"	"K06101"
"yHAB155_Kazachstania_spencerorum@Seq_4065"	"K01196"
"Geotrichum_candidum@Seq_5241"	"K20353"
"yHMPu5000035629_Yueomyces_sinensis@Seq_3826"	"K13996"
"Candida_sojae@Seq_4039"	"K00799"
"yHMPu5000034742_Lipomyces_suomiensis@Seq_4317"	"K09838"
"Saccharomyces_cerevisiae@YPR037C"	"K17891"
"Metschnikowia_matae_maris@Seq_6347"	"K05740"
"Saccharomyces_cerevisiae@YBR205W"	"K10967"
"yHMPu5000034673_Blastobotrys_nivea@Seq_2580"	"K16261"
"yHMPu5000034624_Pichia_nakasei@Seq_3618"	"K21631"
"Metschnikowia_mauinuiana@Seq_2493"	"K22943"
"yHMPu5000034655_Botryozyma_nematodophila@Seq_2430"	"K02154"
"yHMPu5000034623_Pichia_norvegensis@Seq_3089"	"K20353"
"yHMPu5000034631_Martiniozyma_abiesophila@Seq_1736"	"K13507"
"yHMPu5000041693_Debaryomyces_nepalensis@Seq_3810"	"K02938"
"yHMPu5000035335_Candida_blattae@Seq_984"	"K00697"
"Saccharomyces_cerevisiae@YBR182C"	"K19807"
"Saprochaete_clavata@Seq_5730"	"K22016"
"Saccharomyces_cerevisiae@YKL150W"	"K00326"
"yHMPu5000041833_Candida_tammaniensis@Seq_287"	"K08158"
"Arthrobotrys_oligospora@Seq_1316"	"K10901"
"Metschnikowia_matae_maris@Seq_4975"	"K12355"
"yHAB166_Kazachstania_yakushimaensis@Seq_460"	"K14403"
"yHMPu5000034754_Lipomyces_arxii@Seq_5516"	"K07424"
"yHMPu5000035301_Pichia_terricola@Seq_3498"	"K19245"
"Metschnikowia_drakensbergensis@Seq_5053"	"K15565"
"yHMPu5000034631_Martiniozyma_abiesophila@Seq_4197"	"K01054"
"yHMPu5000035297_Priceomyces_castillae@Seq_1050"	"K17686"
