"locus_tag"	"SNP_NUM"	"nsSNP"	"nsSNP_unique"
"YDL114W"	4416	"2017"	3
"YDL113C"	6894	"2589"	10
"YDL112W"	25108	"8723"	23
"YDL111C"	1572	"640"	1
"YDL110C"	347	"161"	1
"YDL109C"	13696	"5427"	11
"YDL108W"	1704	"164"	1
"YDL107W"	6676	"3052"	7
"YDL106C"	5316	"1271"	9
"YDL105W"	5723	"741"	1
"YDL104C"	7322	"2074"	4
"YDL103C"	9852	"1453"	4
"YDL102W"	9958	"1459"	6
"YDL101C"	14044	"1844"	3
"YDL100C"	4206	"368"	2
"YDL099W"	6800	"2807"	5
"YDL098C"	1120	"203"	0
"YDL097C"	6061	"179"	0
"YDL095W"	11510	"1801"	2
"YDL093W"	12611	"2810"	6
"YDL092W"	1709	"596"	2
"YDL091C"	2717	"412"	1
"YDL090C"	5546	"1136"	4
"YDL089W"	5351	"2812"	5
"YDL088C"	5798	"3363"	4
"YDL087C"	5092	"1677"	2
"YDL086W"	2677	"784"	2
"YDL085C-A"	675	"40"	1
"YDL085W"	3542	"628"	3
"YDL084W"	2402	"747"	2
"YDL083C"	2600	"55"	0
"YDL082W"	5465	"227"	1
"YDL081C"	72	"17"	0
"YDL080C"	8791	"3532"	6
"YDL079C"	5470	"2591"	4
"YDL078C"	1134	"95"	0
"YDL077C"	7479	"2043"	12
"YDL076C"	4174	"874"	2
"YDL075W"	2605	"2"	0
"YDL074C"	2986	"2159"	5
"YDL073W"	9979	"4432"	13
"YDL072C"	1823	"1464"	3
"YDL070W"	3094	"1132"	2
"YDL069C"	2537	"1110"	4
"YDL067C"	977	"972"	1
"YDL066W"	2737	"98"	0
"YDL065C"	4078	"2994"	4
"YDL064W"	1090	"30"	0
"YDL063C"	5062	"1572"	4
"YDL061C"	23	"5"	0
"YDL060W"	5295	"2516"	6
"YDL059C"	1306	"461"	3
"YDL058W"	16293	"7501"	19
"YDL057W"	3606	"1143"	3
"YDL056W"	7387	"2655"	7
"YDL055C"	1425	"20"	0
"YDL054C"	2266	"1186"	6
"YDL053C"	2806	"1209"	2
"YDL052C"	2891	"1055"	2
"YDL051W"	374	"127"	0
"YDL049C"	1675	"309"	2
"YDL048C"	6509	"1707"	3
"YDL047W"	3905	"76"	0
"YDL046W"	6497	"1535"	2
"YDL045W-A"	1244	"355"	1
"YDL045C"	2251	"1322"	7
"YDL044C"	3845	"1338"	5
"YDL043C"	2811	"1104"	4
"YDL042C"	3217	"1704"	8
"YDL040C"	5434	"1413"	6
"YDL039C"	7796	"4329"	17
"YDL037C"	2241	"1231"	5
"YDL036C"	4640	"1222"	3
"YDL035C"	7488	"4075"	16
"YDL033C"	2956	"1940"	5
"YDL031W"	6963	"1939"	4
"YDL030W"	7043	"3912"	12
"YDL029W"	1773	"20"	0
"YDL028C"	3210	"685"	1
"YDL027C"	3679	"2479"	6
"YDL025C"	5165	"1929"	5
"YDL024C"	3725	"1670"	6
"YDL022C-A"	810	"746"	3
"YDL022W"	834	"21"	0
"YDL021W"	2405	"207"	0
"YDL020C"	6029	"2030"	4
"YDL019C"	5982	"2564"	8
"YDL018C"	2965	"847"	3
"YDL017W"	3383	"1625"	2
"YDL015C"	2983	"1077"	1
"YDL014W"	812	"103"	1
"YDL013W"	1941	"613"	3
"YDL012C"	647	"40"	0
"YDL010W"	2713	"1677"	3
"YDL009C"	2642	"2122"	6
"YDL008W"	2663	"1002"	1
"YDL007C-A"	94	"55"	0
"YDL007W"	1383	"40"	0
"YDL006W"	579	"57"	0
"YDL005C"	9082	"5659"	10
"YDL004W"	1902	"230"	1
"YDL003W"	7828	"5071"	8
"YDL002C"	1165	"140"	1
"YDL001W"	4076	"435"	3
"YDR001C"	3471	"620"	5
"YDR002W"	298	"111"	0
"YDR003W"	1679	"265"	2
"YDR003W-A"	367	"44"	0
"YDR004W"	5025	"1490"	3
"YDR005C"	2100	"676"	2
"YDR006C"	7108	"1264"	5
"YDR007W"	1612	"638"	1
"YDR009W"	4493	"1489"	3
"YDR010C"	3144	"3072"	5
"YDR011W"	12486	"2026"	7
"YDR012W"	1012	"883"	1
"YDR013W"	877	"37"	0
"YDR014W"	6589	"3989"	13
"YDR014W-A"	1585	"1332"	7
"YDR016C"	373	"192"	2
"YDR017C"	6510	"2201"	12
"YDR018C"	6630	"1973"	7
"YDR019C"	1730	"457"	1
"YDR020C"	769	"95"	0
"YDR021W"	1561	"1126"	1
"YDR022C"	1043	"832"	2
"YDR023W"	932	"93"	0
"YDR025W"	1573	"4"	0
"YDR026C"	2078	"1388"	3
"YDR027C"	3012	"1171"	4
"YDR028C"	7267	"3610"	8
"YDR029W"	248	"199"	1
"YDR030C"	2685	"1873"	6
"YDR031W"	776	"497"	2
"YDR032C"	1528	"292"	1
"YDR033W"	1194	"153"	0
"YDR034C"	6913	"2359"	5
"YDR034C-A"	93	"49"	0
"YDR034W-B"	852	"41"	0
"YDR035W"	2196	"192"	1
"YDR036C"	662	"260"	1
"YDR037W"	2297	"84"	0
"YDR038C"	203	"117"	1
"YDR039C"	0	"NA"	NA
"YDR040C"	875	"621"	2
"YDR041W"	1110	"169"	2
"YDR042C"	1341	"714"	4
"YDR043C"	842	"215"	0
"YDR044W"	1013	"39"	0
"YDR045C"	92	"16"	0
"YDR046C"	3401	"985"	2
"YDR047W"	1146	"341"	1
"YDR049W"	5381	"3270"	9
"YDR050C"	692	"5"	0
"YDR051C"	2117	"68"	0
"YDR052C"	4694	"1788"	4
"YDR054C"	1024	"89"	0
"YDR055W"	2131	"1091"	1
"YDR056C"	2901	"1379"	3
"YDR057W"	4145	"1822"	4
"YDR058C"	3155	"557"	2
"YDR059C"	1401	"500"	1
"YDR060W"	8680	"2320"	11
"YDR061W"	4622	"3254"	7
"YDR062W"	2919	"780"	3
"YDR063W"	2776	"1127"	2
"YDR064W"	12536	"53"	0
"YDR065W"	8305	"3172"	5
"YDR066C"	4106	"1883"	5
"YDR067C"	3046	"183"	0
"YDR068W"	9404	"4320"	7
"YDR069C"	7870	"2830"	8
"YDR070C"	775	"109"	1
"YDR071C"	656	"55"	0
"YDR072C"	10322	"3589"	11
"YDR073W"	439	"269"	3
"YDR074W"	10581	"2905"	8
"YDR075W"	2927	"65"	0
"YDR076W"	7782	"2419"	8
"YDR077W"	3256	"314"	2
"YDR078C"	1746	"960"	3
"YDR079W"	87	"64"	0
"YDR079C-A"	1338	"930"	1
"YDR080W"	11677	"4155"	11
"YDR081C"	11846	"3419"	10
"YDR082W"	8189	"4412"	11
"YDR083W"	3075	"742"	3
"YDR084C"	2449	"341"	1
"YDR085C"	9984	"5461"	15
"YDR086C"	176	"28"	0
"YDR087C"	1702	"732"	3
"YDR088C"	4894	"3150"	8
"YDR089W"	7016	"2527"	10
"YDR090C"	3088	"2356"	3
"YDR091C"	1550	"35"	0
"YDR092W"	2313	"217"	2
"YDR093W"	9199	"1968"	9
"YDR096W"	5458	"2725"	10
"YDR097C"	10542	"3764"	15
"YDR098C"	1613	"1077"	1
"YDR099W"	1364	"38"	0
"YDR100W"	148	"89"	0
"YDR101C"	3577	"843"	1
"YDR102C"	736	"319"	3
"YDR103W"	10338	"3537"	10
"YDR104C"	8489	"4168"	11
"YDR105C"	2094	"83"	1
"YDR106W"	3874	"2021"	7
"YDR107C"	4296	"1384"	2
"YDR108W"	6377	"2071"	6
"YDR109C"	6697	"3182"	15
"YDR110W"	2446	"735"	3
"YDR111C"	4082	"1275"	1
"YDR113C"	4681	"2640"	7
"YDR114C"	2014	"1966"	7
"YDR115W"	624	"12"	0
"YDR116C"	1490	"848"	2
"YDR117C"	3925	"2437"	8
"YDR118W"	7348	"4579"	14
"YDR119W"	10046	"5779"	20
"YDR119W-A"	123	"53"	0
"YDR120C"	8345	"2057"	5
"YDR121W"	2057	"1340"	3
"YDR122W"	13087	"3581"	8
"YDR123C"	2267	"1006"	2
"YDR124W"	3638	"1216"	4
"YDR125C"	3521	"997"	5
"YDR126W"	4426	"1705"	3
"YDR127W"	7598	"3068"	8
"YDR128W"	13373	"4222"	7
"YDR129C"	5753	"584"	4
"YDR130C"	3543	"1354"	3
"YDR131C"	11937	"5606"	15
"YDR132C"	7964	"2729"	4
"YDR135C"	13188	"2809"	10
"YDR137W"	7825	"2374"	7
"YDR138W"	5993	"3169"	5
"YDR139C"	833	"6"	0
"YDR140W"	1163	"365"	3
"YDR141C"	9898	"907"	1
"YDR142C"	2129	"1274"	2
"YDR143C"	3446	"2853"	4
"YDR144C"	8397	"3983"	7
"YDR145W"	5244	"2309"	3
"YDR146C"	5958	"1632"	3
"YDR147W"	2331	"1420"	3
"YDR148C"	1781	"147"	0
"YDR150W"	20563	"9939"	19
"YDR151C"	2472	"388"	1
"YDR152W"	842	"300"	1
"YDR153C"	3806	"2326"	2
"YDR155C"	118	"30"	0
"YDR156W"	651	"163"	0
"YDR157W"	1418	"857"	5
"YDR158W"	1078	"54"	0
"YDR159W"	8670	"3356"	12
"YDR160W"	7460	"2654"	10
"YDR161W"	2106	"1069"	4
"YDR162C"	819	"339"	1
"YDR163W"	1995	"1675"	3
"YDR164C"	2464	"452"	1
"YDR165W"	3658	"2305"	5
"YDR166C"	4100	"654"	2
"YDR167W"	313	"70"	1
"YDR168W"	1566	"290"	0
"YDR169C"	3681	"2015"	8
"YDR169C-A"	123	"33"	0
"YDR170C"	8531	"2038"	8
"YDR171W"	2234	"764"	4
"YDR172W"	4350	"2486"	6
"YDR173C"	1590	"821"	2
"YDR174W"	723	"121"	0
"YDR175C"	2058	"356"	1
"YDR176W"	4818	"2016"	4
"YDR177W"	746	"66"	0
"YDR178W"	1322	"55"	0
"YDR179C"	1129	"880"	1
"YDR179W-A"	8813	"5467"	8
"YDR180W"	17448	"6422"	7
"YDR181C"	2576	"748"	3
"YDR182W"	1927	"662"	2
"YDR182W-A"	183	"155"	0
"YDR183W"	1449	"266"	0
"YDR184C"	3355	"1192"	2
"YDR185C"	625	"180"	2
"YDR186C"	6236	"2809"	4
"YDR188W"	3429	"199"	1
"YDR189W"	4709	"802"	2
"YDR190C"	1724	"228"	1
"YDR191W"	3313	"2100"	7
"YDR192C"	6018	"1864"	6
"YDR194C"	5624	"2147"	6
"YDR194W-A"	809	"258"	3
"YDR195W"	4743	"1747"	5
"YDR196C"	2509	"1072"	3
"YDR197W"	3710	"1538"	5
"YDR198C"	4660	"1481"	4
"YDR200C"	5429	"3508"	7
"YDR201W"	1197	"628"	2
"YDR202C"	2339	"141"	0
"YDR204W"	1630	"453"	2
"YDR205W"	7164	"2579"	6
"YDR206W"	7862	"4493"	12
"YDR207C"	8789	"3258"	6
"YDR208W"	7637	"3603"	7
"YDR209C"	992	"965"	2
"YDR210W"	0	"NA"	NA
"YDR211W"	3521	"1324"	1
"YDR212W"	3874	"226"	1
"YDR213W"	4598	"2148"	7
"YDR214W"	3164	"1674"	4
"YDR215C"	816	"731"	1
"YDR216W"	10503	"3153"	11
"YDR217C"	9199	"6090"	13
"YDR218C"	2907	"1359"	6
"YDR219C"	2080	"1330"	5
"YDR221W"	6189	"2331"	9
"YDR222W"	3001	"1445"	3
"YDR223W"	5068	"2551"	7
"YDR224C"	307	"43"	0
"YDR225W"	134	"9"	0
"YDR226W"	1378	"1005"	2
"YDR227W"	11188	"8864"	21
"YDR228C"	5209	"1335"	3
"YDR229W"	2551	"971"	4
"YDR231C"	3120	"1952"	4
"YDR232W"	6425	"2047"	3
"YDR233C"	4441	"2859"	6
"YDR234W"	3849	"2562"	6
"YDR235W"	9665	"3002"	5
"YDR236C"	1356	"534"	4
"YDR237W"	3429	"870"	2
"YDR238C"	7063	"1415"	2
"YDR239C"	8538	"3847"	12
"YDR240C"	2361	"1596"	5
"YDR242W"	4064	"1670"	7
"YDR243C"	6440	"2862"	5
"YDR244W"	4828	"1039"	4
"YDR245W"	2915	"802"	1
"YDR246W"	1440	"389"	1
"YDR246W-A"	791	"455"	2
"YDR247W"	3319	"721"	5
"YDR248C"	706	"102"	0
"YDR249C"	2438	"341"	0
"YDR251W"	10140	"4317"	12
"YDR252W"	2152	"206"	0
"YDR253C"	294	"157"	0
"YDR254W"	2750	"1316"	3
"YDR255C"	4447	"402"	1
"YDR256C"	2399	"654"	2
"YDR257C"	3478	"1298"	4
"YDR258C"	5808	"770"	2
"YDR259C"	7143	"2501"	8
"YDR260C"	832	"594"	2
"YDR261C"	4179	"1219"	4
"YDR262W"	3166	"1528"	6
"YDR263C"	1885	"456"	2
"YDR264C"	3764	"859"	5
"YDR265W"	2669	"1104"	5
"YDR266C"	2366	"804"	3
"YDR267C"	2122	"432"	1
"YDR268W"	2297	"1052"	2
"YDR270W"	7236	"3523"	8
"YDR272W"	2054	"727"	3
"YDR273W"	3414	"1446"	7
"YDR274C"	1829	"1451"	3
"YDR275W"	1365	"893"	4
"YDR276C"	94	"4"	0
"YDR277C"	2142	"363"	0
"YDR278C"	1206	"675"	2
"YDR279W"	2922	"2032"	5
"YDR280W"	1311	"250"	1
"YDR281C"	428	"345"	2
"YDR282C"	1340	"925"	4
"YDR283C"	7457	"1819"	4
"YDR284C"	2432	"738"	1
"YDR285W"	6990	"2448"	7
"YDR286C"	473	"116"	0
"YDR287W"	3810	"1629"	4
"YDR288W"	5549	"2649"	6
"YDR289C"	2733	"1809"	3
"YDR291W"	7871	"1990"	5
"YDR292C"	5883	"1539"	3
"YDR293C"	9944	"2237"	8
"YDR294C"	6245	"1613"	6
"YDR295C"	17155	"6458"	14
"YDR296W"	5051	"1856"	3
"YDR297W"	5403	"1178"	2
"YDR298C"	3594	"111"	0
"YDR299W"	4219	"491"	1
"YDR300C"	1622	"629"	2
"YDR301W"	6846	"1654"	4
"YDR302W"	1761	"97"	0
"YDR303C"	3393	"814"	1
"YDR304C"	813	"129"	0
"YDR305C"	1393	"646"	2
"YDR306C"	6150	"1797"	5
"YDR307W"	6002	"4069"	13
"YDR308C"	386	"113"	0
"YDR309C"	2677	"388"	1
"YDR310C"	9897	"5237"	16
"YDR311W"	4577	"155"	0
"YDR312W"	3400	"1142"	6
"YDR313C"	2171	"1214"	3
"YDR314C"	5292	"2347"	11
"YDR315C"	1672	"1055"	4
"YDR316W"	2241	"399"	1
"YDR317W"	5383	"3389"	12
"YDR318W"	6547	"267"	1
"YDR319C"	2945	"479"	1
"YDR320C"	9066	"5848"	13
"YDR320C-A"	1159	"6"	0
"YDR321W"	4162	"230"	2
"YDR322W"	3752	"1664"	4
"YDR322C-A"	83	"41"	0
"YDR323C"	7422	"4632"	8
"YDR324C"	3573	"524"	1
"YDR325W"	5213	"1937"	10
"YDR326C"	9727	"4065"	11
"YDR328C"	839	"63"	0
"YDR329C"	4604	"1609"	3
"YDR330W"	5409	"260"	0
"YDR331W"	2078	"1171"	1
"YDR332W"	3126	"1513"	7
"YDR333C"	5058	"2269"	6
"YDR334W"	14760	"6538"	18
"YDR335W"	6959	"1683"	3
"YDR336W"	1044	"544"	1
"YDR337W"	1737	"480"	1
"YDR338C"	6052	"1122"	3
"YDR339C"	2248	"774"	2
"YDR341C"	4744	"1537"	5
"YDR342C"	265	"33"	0
"YDR343C"	4	"3"	0
"YDR344C"	1848	"999"	4
"YDR345C"	6091	"1282"	9
"YDR346C"	4768	"651"	2
"YDR347W"	2074	"766"	2
"YDR348C"	4785	"1130"	4
"YDR349C"	9940	"4868"	10
"YDR350C"	8060	"3033"	9
"YDR351W"	8943	"3675"	10
"YDR352W"	5060	"965"	3
"YDR353W"	2033	"73"	0
"YDR354W"	5225	"184"	0
"YDR356W"	8642	"3263"	8
"YDR357C"	2358	"1399"	2
"YDR358W"	5069	"2907"	6
"YDR359C"	5791	"3350"	11
"YDR361C"	1258	"239"	1
"YDR362C"	5067	"2903"	6
"YDR363W"	2822	"1472"	3
"YDR363W-A"	407	"41"	0
"YDR364C"	2781	"906"	3
"YDR365C"	3462	"447"	1
"YDR366C"	199	"192"	2
"YDR367W"	967	"478"	2
"YDR368W"	1630	"421"	1
"YDR369C"	11086	"6234"	24
"YDR370C"	3718	"2001"	8
"YDR371W"	4133	"1201"	4
"YDR372C"	2189	"958"	3
"YDR373W"	611	"45"	0
"YDR374C"	2766	"1807"	3
"YDR374W-A"	583	"41"	0
"YDR375C"	2074	"449"	1
"YDR376W"	3769	"2004"	6
"YDR377W"	1299	"8"	0
"YDR378C"	1245	"699"	2
"YDR379W"	7375	"3425"	6
"YDR379C-A"	685	"75"	0
"YDR380W"	4904	"424"	0
"YDR381W"	3357	"164"	0
"YDR381C-A"	1875	"556"	1
"YDR382W"	118	"78"	0
"YDR383C"	5195	"363"	1
"YDR384C"	1122	"63"	0
"YDR385W"	3	"1"	0
"YDR386W"	2834	"765"	1
"YDR387C"	4750	"2628"	6
"YDR388W"	2584	"424"	1
"YDR389W"	6175	"1217"	4
"YDR390C"	6375	"2123"	6
"YDR391C"	1976	"1061"	5
"YDR392W"	1496	"246"	0
"YDR393W"	6008	"4286"	12
"YDR394W"	1741	"128"	0
"YDR395W"	7147	"1120"	3
"YDR397C"	1292	"10"	0
"YDR398W"	7680	"2319"	3
"YDR399W"	636	"94"	0
"YDR400W"	5989	"2679"	4
"YDR402C"	5086	"3807"	4
"YDR403W"	13254	"5647"	9
"YDR404C"	367	"11"	0
"YDR405W"	530	"257"	1
"YDR406W"	12990	"5572"	12
"YDR407C"	9341	"2409"	6
"YDR408C"	892	"391"	1
"YDR409W"	7301	"2900"	12
"YDR410C"	1542	"1164"	2
"YDR411C"	3703	"1276"	3
"YDR412W"	1254	"63"	0
"YDR414C"	2251	"1400"	3
"YDR415C"	3544	"1010"	3
"YDR416W"	8393	"3822"	10
"YDR418W"	46	"5"	0
"YDR419W"	3777	"1033"	4
"YDR420W"	11634	"8267"	23
"YDR421W"	9473	"5086"	14
"YDR422C"	5489	"3544"	8
"YDR423C"	6994	"5033"	12
"YDR424C"	549	"61"	1
"YDR425W"	3517	"1042"	2
"YDR427W"	1944	"576"	1
"YDR428C"	2373	"850"	3
"YDR429C"	665	"521"	1
"YDR430C"	5007	"944"	2
"YDR432W"	1011	"401"	3
"YDR434W"	4205	"1680"	2
"YDR435C"	3823	"2008"	8
"YDR436W"	3860	"1680"	2
"YDR437W"	2146	"981"	1
"YDR438W"	5080	"1276"	6
"YDR439W"	1907	"354"	2
"YDR440W"	5616	"2993"	6
"YDR441C"	3249	"989"	1
"YDR443C"	11153	"3759"	9
"YDR444W"	5870	"2172"	4
"YDR446W"	2800	"1512"	5
"YDR447C"	471	"50"	0
"YDR448W"	1993	"278"	1
"YDR449C"	1201	"708"	2
"YDR450W"	1519	"19"	0
"YDR451C"	2206	"1422"	2
"YDR452W"	4025	"2171"	6
"YDR453C"	633	"266"	1
"YDR454C"	1317	"36"	0
"YDR456W"	4076	"783"	3
"YDR457W"	20227	"6059"	8
"YDR458C"	3306	"1199"	5
"YDR459C"	1875	"278"	0
"YDR460W"	1600	"196"	1
"YDR461W"	494	"9"	0
"YDR461C-A"	790	"160"	1
"YDR462W"	306	"258"	2
"YDR463W"	7853	"1394"	7
"YDR464W"	15474	"6207"	17
"YDR465C"	3649	"1954"	3
"YDR466W"	5023	"1711"	6
"YDR468C"	756	"586"	2
"YDR469W"	712	"463"	1
"YDR470C"	3545	"1196"	4
"YDR471W"	3331	"1026"	1
"YDR472W"	3391	"1487"	2
"YDR473C"	3306	"555"	1
"YDR475C"	14468	"6971"	16
"YDR476C"	912	"225"	1
"YDR477W"	9158	"197"	0
"YDR478W"	3341	"1355"	3
"YDR479C"	4847	"499"	0
"YDR480W"	4328	"1641"	1
"YDR481C"	5324	"1271"	3
"YDR482C"	777	"334"	1
"YDR483W"	6693	"3376"	18
"YDR484W"	3875	"795"	3
"YDR485C"	7867	"4271"	18
"YDR486C"	666	"132"	0
"YDR487C"	853	"103"	0
"YDR488C"	7948	"2964"	8
"YDR489W"	1563	"1165"	3
"YDR490C"	7524	"4748"	9
"YDR492W"	2228	"527"	2
"YDR493W"	741	"640"	3
"YDR494W"	3175	"896"	4
"YDR495C"	9902	"4529"	18
"YDR496C"	10233	"4340"	9
"YDR497C"	11877	"723"	2
"YDR498C"	7833	"2133"	4
"YDR499W"	12705	"4183"	6
"YDR500C"	5061	"54"	0
"YDR501W"	11576	"3718"	6
"YDR502C"	815	"150"	1
"YDR503C"	5480	"1631"	2
"YDR504C"	370	"222"	0
"YDR505C"	18904	"6841"	11
"YDR506C"	19210	"8731"	16
"YDR507C"	21011	"4319"	7
"YDR508C"	19758	"7458"	13
"YDR510W"	1840	"11"	0
"YDR511W"	1685	"490"	1
"YDR512C"	1413	"1060"	1
"YDR513W"	1861	"21"	0
"YDR514C"	7107	"3527"	7
"YDR515W"	12708	"7709"	13
"YDR516C"	4795	"1061"	1
"YDR517W"	1480	"387"	1
"YDR518W"	4282	"1769"	4
"YDR519W"	738	"393"	1
"YDR520C"	3656	"1399"	4
"YDR522C"	7916	"3688"	5
"YDR523C"	4922	"940"	4
"YDR524C"	8632	"1755"	2
"YDR524W-C"	112	"67"	0
"YDR524C-B"	1184	"972"	2
"YDR525W"	525	"502"	1
"YDR525W-A"	238	"48"	0
"YDR527W"	11875	"5023"	8
"YDR528W"	7218	"3629"	11
"YDR529C"	1092	"14"	0
"YDR530C"	5463	"1418"	7
"YDR531W"	4652	"3034"	5
"YDR532C"	3601	"2099"	4
"YDR533C"	6105	"788"	1
"YDR534C"	8874	"3557"	11
"YDR536W"	4214	"1574"	3
"YDR538W"	6258	"2330"	5
"YDR539W"	2550	"488"	2
"YDR540C"	2131	"823"	5
"YDR541C"	4991	"2173"	3
"YDR542W"	5	"5"	0
"YDR545W"	0	"NA"	NA
"YEL077C"	1	"0"	0
"YEL076C-A"	0	"NA"	NA
"YEL076C"	0	"NA"	NA
"YEL075C"	0	"NA"	NA
"YEL073C"	1413	"1327"	3
"YEL072W"	4853	"1430"	5
"YEL071W"	4357	"1034"	1
"YEL070W"	256	"163"	1
"YEL069C"	6312	"1636"	6
"YEL068C"	2335	"1572"	7
"YEL067C"	6611	"4447"	7
"YEL066W"	2296	"298"	3
"YEL065W"	9698	"2020"	3
"YEL064C"	4986	"1954"	3
"YEL063C"	4075	"1396"	4
"YEL062W"	5546	"559"	2
"YEL061C"	10387	"2277"	5
"YEL060C"	12413	"3791"	5
"YEL059C-A"	1337	"94"	1
"YEL058W"	10649	"1999"	4
"YEL057C"	2190	"1103"	3
"YEL056W"	5474	"1460"	2
"YEL055C"	18916	"7447"	11
"YEL054C"	86	"34"	0
"YEL053C"	2468	"1681"	3
"YEL052W"	7062	"2375"	3
"YEL051W"	256	"81"	1
"YEL050C"	3381	"140"	0
"YEL049W"	1197	"54"	0
"YEL048C"	898	"128"	0
"YEL047C"	3134	"514"	3
"YEL046C"	4523	"1664"	3
"YEL044W"	1375	"558"	2
"YEL043W"	14465	"6732"	21
"YEL042W"	2303	"182"	0
"YEL041W"	9748	"5431"	12
"YEL040W"	7326	"2795"	8
"YEL039C"	820	"10"	0
"YEL038W"	7697	"3993"	6
"YEL037C"	2130	"231"	0
"YEL036C"	6064	"991"	4
"YEL035C"	704	"523"	1
"YEL034W"	1537	"231"	3
"YEL033W"	1291	"1145"	4
"YEL032W"	6537	"603"	2
"YEL031W"	9179	"1322"	5
"YEL030W"	6142	"2948"	6
"YEL029C"	2738	"862"	2
"YEL028W"	4810	"3011"	10
"YEL027W"	75	"0"	0
"YEL026W"	1264	"0"	0
"YEL025C"	13770	"6966"	23
"YEL024W"	2790	"1126"	2
"YEL023C"	3551	"981"	4
"YEL022W"	8862	"2222"	5
"YEL021W"	643	"127"	0
"YEL020W-A"	546	"73"	1
"YEL020C"	6298	"1842"	10
"YEL019C"	2091	"440"	4
"YEL018W"	929	"256"	4
"YEL017C-A"	18	"2"	0
"YEL017W"	1428	"292"	0
"YEL016C"	6166	"4331"	11
"YEL015W"	3700	"1006"	2
"YEL014C"	152	"112"	1
"YEL013W"	5128	"607"	2
"YEL012W"	259	"92"	1
"YEL011W"	3682	"966"	6
"YEL009C-A"	1841	"1109"	5
"YEL009C"	1954	"1248"	3
"YEL008W"	1484	"356"	2
"YEL007W"	4392	"2909"	11
"YEL006W"	1249	"140"	1
"YEL005C"	979	"192"	0
"YEL004W"	1184	"923"	2
"YEL003W"	519	"88"	1
"YEL002C"	1186	"606"	2
"YEL001C"	1014	"259"	0
"YER001W"	8746	"6174"	13
"YER002W"	2796	"2226"	4
"YER003C"	2522	"511"	1
"YER004W"	4487	"2129"	4
"YER005W"	3504	"1036"	3
"YER006W"	2787	"1153"	2
"YER007W"	3969	"1617"	7
"YER007C-A"	1282	"460"	1
"YER008C"	9756	"2360"	10
"YER009W"	199	"14"	0
"YER010C"	975	"714"	3
"YER011W"	1829	"1228"	5
"YER012W"	2550	"38"	0
"YER013W"	12352	"3664"	14
"YER014W"	4569	"2723"	7
"YER014C-A"	1289	"416"	1
"YER015W"	2943	"668"	2
"YER016W"	2235	"214"	1
"YER017C"	5046	"411"	1
"YER018C"	1868	"1615"	4
"YER019W"	6145	"1581"	3
"YER019C-A"	1510	"40"	0
"YER020W"	15861	"3424"	5
"YER021W"	12533	"1919"	5
"YER022W"	9759	"2676"	6
"YER023W"	3576	"679"	1
"YER024W"	14186	"4442"	6
"YER025W"	3233	"142"	0
"YER026C"	5982	"1466"	3
"YER027C"	4518	"2476"	5
"YER028C"	14033	"9474"	14
"YER029C"	1945	"146"	1
"YER030W"	2203	"1386"	4
"YER031C"	171	"19"	0
"YER032W"	7899	"3042"	11
"YER033C"	8760	"4885"	16
"YER034W"	3625	"2567"	7
"YER035W"	1480	"99"	0
"YER036C"	3295	"80"	0
"YER037W"	2101	"258"	1
"YER038C"	5634	"2673"	7
"YER038W-A"	1644	"358"	3
"YER039C"	1230	"169"	1
"YER039C-A"	838	"727"	2
"YER040W"	7176	"4292"	8
"YER041W"	8238	"3252"	10
"YER042W"	846	"79"	0
"YER043C"	2481	"23"	0
"YER044C"	95	"8"	0
"YER044C-A"	3808	"2425"	5
"YER045C"	15091	"7240"	12
"YER046W"	3070	"655"	1
"YER047C"	15419	"6233"	15
"YER048C"	3261	"224"	0
"YER048W-A"	610	"547"	1
"YER049W"	5566	"1044"	2
"YER050C"	1775	"199"	1
"YER051W"	5331	"3131"	14
"YER052C"	3015	"550"	2
"YER053C"	1211	"86"	0
"YER053C-A"	6	"5"	0
"YER054C"	8004	"5260"	14
"YER055C"	3456	"2400"	5
"YER056C"	6880	"3141"	10
"YER056C-A"	3933	"11"	0
"YER057C"	91	"32"	0
"YER058W"	2072	"1019"	1
"YER059W"	2083	"802"	4
"YER060W"	1380	"367"	1
"YER060W-A"	4894	"1714"	4
"YER061C"	2447	"1234"	6
"YER062C"	1612	"214"	1
"YER063W"	1330	"405"	1
"YER064C"	4460	"3682"	11
"YER065C"	2001	"456"	1
"YER066W"	1399	"1031"	5
"YER067W"	342	"43"	0
"YER068W"	4109	"2045"	4
"YER069W"	3390	"713"	3
"YER070W"	4571	"1118"	1
"YER071C"	1078	"962"	1
"YER072W"	260	"39"	0
"YER073W"	2674	"207"	0
"YER074W"	782	"15"	0
"YER074W-A"	204	"2"	0
"YER075C"	6012	"2982"	11
"YER076C"	4458	"2652"	11
"YER077C"	4307	"2664"	8
"YER078C"	3456	"994"	4
"YER078W-A"	603	"568"	2
"YER079W"	447	"222"	0
"YER080W"	5750	"2709"	8
"YER081W"	1335	"170"	0
"YER082C"	1346	"179"	0
"YER083C"	1727	"290"	2
"YER084W"	1380	"1182"	2
"YER085C"	1434	"218"	0
"YER086W"	1981	"126"	0
"YER087W"	3927	"2352"	4
"YER087C-B"	256	"89"	1
"YER088C"	16216	"7174"	13
"YER089C"	2156	"362"	2
"YER090W"	2637	"560"	2
"YER091C"	2454	"481"	1
"YER092W"	919	"74"	0
