	Kazachstania_africana	Saccharomyces_cerevisiae
OG0000285	genemark-scaffold_3-processed-gene-2.9-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-2.9&CDS=1-1596, maker-scaffold_6-snap-gene-4.147-mRNA-1_1&gene=maker-scaffold_6-snap-gene-4.147&CDS=1-1620	YOL068C
OG0000286	augustus_masked-scaffold_7-processed-gene-3.86-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-3.86&CDS=1-2499, genemark-scaffold_3-processed-gene-2.19-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-2.19&CDS=1-3018	YOL089C
OG0000287	genemark-scaffold_3-processed-gene-3.78-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-3.78&CDS=1-558	YNL301C, YOL120C
OG0000288	augustus_masked-scaffold_3-processed-gene-3.151-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-3.151&CDS=1-2832	YFL050C, YOL130W
OG0000289	genemark-scaffold_3-processed-gene-4.132-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-4.132&CDS=1-1872	YGR138C, YPR156C
OG0000290	snap_masked-scaffold_3-processed-gene-4.15-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-4.15&CDS=1-2625	YGR141W, YPR157W
OG0000291	genemark-scaffold_3-processed-gene-4.118-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-4.118&CDS=1-1977	YOR389W, YPL277C
OG0000292	maker-scaffold_3-snap-gene-4.153-mRNA-1_1&gene=maker-scaffold_3-snap-gene-4.153&CDS=1-732	YGL076C, YPL198W
OG0000293	genemark-scaffold_3-processed-gene-5.10-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-5.10&CDS=1-1773, genemark-scaffold_4-processed-gene-2.52-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-2.52&CDS=1-1842	YEL065W
OG0000294	snap_masked-scaffold_3-processed-gene-6.109-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-6.109&CDS=1-1155	YNL018C, YNL034W
OG0000295	genemark-scaffold_3-processed-gene-6.34-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-6.34&CDS=1-1218	YGL162W, YPR009W
OG0000296	genemark-scaffold_3-processed-gene-7.119-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-7.119&CDS=1-1407, genemark-scaffold_4-processed-gene-2.55-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-2.55&CDS=1-1413	YLR058C
OG0000297	genemark-scaffold_3-processed-gene-7.133-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-7.133&CDS=1-1098, genemark-scaffold_4-processed-gene-1.52-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-1.52&CDS=1-1098	YML131W
OG0000298	genemark-scaffold_3-processed-gene-9.1-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-9.1&CDS=1-2109, genemark-scaffold_9-processed-gene-4.31-mRNA-1_1&gene=genemark-scaffold_9-processed-gene-4.31&CDS=1-2109	YLR258W
OG0000299	genemark-scaffold_3-processed-gene-9.2-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-9.2&CDS=1-1305, genemark-scaffold_9-processed-gene-4.30-mRNA-1_1&gene=genemark-scaffold_9-processed-gene-4.30&CDS=1-1296	YOL016C
OG0000300	genemark-scaffold_3-processed-gene-9.30-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-9.30&CDS=1-4404, genemark-scaffold_6-processed-gene-7.237-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-7.237&CDS=1-4782	YNR031C
OG0000301	genemark-scaffold_3-processed-gene-9.11-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-9.11&CDS=1-999, genemark-scaffold_6-processed-gene-7.284-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-7.284&CDS=1-981	YNR034W
OG0000302	genemark-scaffold_3-processed-gene-10.70-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-10.70&CDS=1-2241, genemark-scaffold_5-processed-gene-6.97-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-6.97&CDS=1-2346	YOR156C
OG0000303	genemark-scaffold_3-processed-gene-11.119-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-11.119&CDS=1-408	YDR471W, YHR010W
OG0000304	snap_masked-scaffold_3-processed-gene-11.20-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-11.20&CDS=1-789	YJL037W, YJL038C
OG0000305	genemark-scaffold_8-processed-gene-0.17-mRNA-1_1&gene=genemark-scaffold_8-processed-gene-0.17&CDS=1-921, snap_masked-scaffold_3-processed-gene-12.34-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-12.34&CDS=1-939	YKR071C
OG0000306	genemark-scaffold_8-processed-gene-0.16-mRNA-1_1&gene=genemark-scaffold_8-processed-gene-0.16&CDS=1-2001, snap_masked-scaffold_3-processed-gene-12.35-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-12.35&CDS=1-1671	YOR054C
OG0000307	maker-scaffold_3-snap-gene-12.195-mRNA-1_1&gene=maker-scaffold_3-snap-gene-12.195&CDS=1-9906	YGR197C, YJR015W
OG0000308	genemark-scaffold_3-processed-gene-12.123-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-12.123&CDS=1-1092, genemark-scaffold_9-processed-gene-5.82-mRNA-1_1&gene=genemark-scaffold_9-processed-gene-5.82&CDS=1-1047	YGR279C
OG0000309	snap_masked-scaffold_3-processed-gene-12.25-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-12.25&CDS=1-699, snap_masked-scaffold_9-processed-gene-5.134-mRNA-1_1&gene=snap_masked-scaffold_9-processed-gene-5.134&CDS=1-801	YBR012C
OG0000310	genemark-scaffold_4-processed-gene-0.102-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-0.102&CDS=1-1341	YCL048W, YDR522C
OG0000311	genemark-scaffold_4-processed-gene-0.103-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-0.103&CDS=1-1482, genemark-scaffold_7-processed-gene-2.84-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-2.84&CDS=1-1485	YCL040W
OG0000312	genemark-scaffold_4-processed-gene-0.105-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-0.105&CDS=1-1587, maker-scaffold_4-augustus-gene-8.88-mRNA-1_1&gene=maker-scaffold_4-augustus-gene-8.88&CDS=1-1716	YDR514C
OG0000313	maker-scaffold_4-snap-gene-0.50-mRNA-1_1&gene=maker-scaffold_4-snap-gene-0.50&CDS=1-1101	YLR178C, YLR179C
OG0000314	genemark-scaffold_4-processed-gene-1.41-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-1.41&CDS=1-1146	YDR502C, YLR180W
OG0000315	snap_masked-scaffold_4-processed-gene-1.6-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-1.6&CDS=1-264	YDR500C, YLR185W
OG0000316	snap_masked-scaffold_4-processed-gene-1.30-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-1.30&CDS=1-516	YCL066W, YCR040W
OG0000317	genemark-scaffold_4-processed-gene-2.74-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-2.74&CDS=1-705, genemark-scaffold_4-processed-gene-2.75-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-2.75&CDS=1-669	YDR391C
OG0000318	maker-scaffold_4-augustus-gene-3.0-mRNA-1_1&gene=maker-scaffold_4-augustus-gene-3.0&CDS=1-3507	YMR237W, YOR299W
OG0000319	augustus_masked-scaffold_4-processed-gene-4.9-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-4.9&CDS=1-849, snap_masked-scaffold_8-processed-gene-0.80-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-0.80&CDS=1-861	YKR100C
OG0000320	genemark-scaffold_4-processed-gene-5.121-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-5.121&CDS=1-2079, genemark-scaffold_8-processed-gene-1.22-mRNA-1_1&gene=genemark-scaffold_8-processed-gene-1.22&CDS=1-2037	YPR074C
OG0000321	genemark-scaffold_4-processed-gene-5.130-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-5.130&CDS=1-612	YLR029C, YMR121C
OG0000322	genemark-scaffold_4-processed-gene-6.70-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-6.70&CDS=1-2478	YKL121W, YMR102C
OG0000323	genemark-scaffold_4-processed-gene-6.102-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-6.102&CDS=1-414	YHL001W, YKL006W
OG0000324	genemark-scaffold_4-processed-gene-7.47-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-7.47&CDS=1-1755, genemark-scaffold_8-processed-gene-0.3-mRNA-1_1&gene=genemark-scaffold_8-processed-gene-0.3&CDS=1-1695	YNL275W
OG0000325	genemark-scaffold_4-processed-gene-8.31-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-8.31&CDS=1-522	YGR085C, YPR102C
OG0000326	genemark-scaffold_4-processed-gene-8.40-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-8.40&CDS=1-1803, genemark-scaffold_4-processed-gene-9.101-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-9.101&CDS=1-1509	YHR084W
OG0000327	genemark-scaffold_4-processed-gene-9.84-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-9.84&CDS=1-2472, genemark-scaffold_5-processed-gene-0.51-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-0.51&CDS=1-1953	YJR059W
OG0000328	genemark-scaffold_5-processed-gene-1.10-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-1.10&CDS=1-1401, genemark-scaffold_9-processed-gene-5.67-mRNA-1_1&gene=genemark-scaffold_9-processed-gene-5.67&CDS=1-1509	YEL047C
OG0000329	genemark-scaffold_5-processed-gene-1.15-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-1.15&CDS=1-1695, genemark-scaffold_9-processed-gene-5.93-mRNA-1_1&gene=genemark-scaffold_9-processed-gene-5.93&CDS=1-1479	YJR049C
OG0000330	genemark-scaffold_5-processed-gene-1.37-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-1.37&CDS=1-333	YEL039C, YJR048W
OG0000331	genemark-scaffold_5-processed-gene-1.20-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-1.20&CDS=1-480, genemark-scaffold_6-processed-gene-2.56-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-2.56&CDS=1-480	YEL027W
OG0000332	genemark-scaffold_5-processed-gene-1.49-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-1.49&CDS=1-1158, snap_masked-scaffold_9-processed-gene-1.154-mRNA-1_1&gene=snap_masked-scaffold_9-processed-gene-1.154&CDS=1-1422	YBR182C
OG0000333	augustus_masked-scaffold_5-processed-gene-2.123-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-2.123&CDS=1-2556	YBR031W, YDR012W
OG0000334	genemark-scaffold_5-processed-gene-2.97-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-2.97&CDS=1-1116	YOR390W, YPL279C
OG0000335	genemark-scaffold_5-processed-gene-2.77-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-2.77&CDS=1-468	YBR048W, YDR025W
OG0000336	snap_masked-scaffold_5-processed-gene-3.95-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-3.95&CDS=1-249	YHR021C, YKL156W
OG0000337	genemark-scaffold_5-processed-gene-4.24-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-4.24&CDS=1-417	YGR243W, YHR162W
OG0000338	genemark-scaffold_5-processed-gene-5.114-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-5.114&CDS=1-1227	YDR222W, YLR225C
OG0000339	genemark-scaffold_5-processed-gene-5.126-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-5.126&CDS=1-1272, genemark-scaffold_8-processed-gene-3.10-mRNA-1_1&gene=genemark-scaffold_8-processed-gene-3.10&CDS=1-1197	YPL026C
OG0000340	augustus_masked-scaffold_5-processed-gene-5.78-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-5.78&CDS=1-2520, genemark-scaffold_8-processed-gene-3.8-mRNA-1_1&gene=genemark-scaffold_8-processed-gene-3.8&CDS=1-2580	YPL032C
OG0000341	snap_masked-scaffold_5-processed-gene-6.98-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-6.98&CDS=1-996, snap_masked-scaffold_8-processed-gene-2.48-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-2.48&CDS=1-1029	YPL049C
OG0000342	genemark-scaffold_5-processed-gene-6.64-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-6.64&CDS=1-1068, maker-scaffold_5-snap-gene-6.1-mRNA-1_1&gene=maker-scaffold_5-snap-gene-6.1&CDS=1-993	YBR204C
OG0000343	maker-scaffold_5-snap-gene-7.98-mRNA-1_1&gene=maker-scaffold_5-snap-gene-7.98&CDS=1-1815	YDR368W, YOR120W
OG0000344	genemark-scaffold_9-processed-gene-0.56-mRNA-1_1&gene=genemark-scaffold_9-processed-gene-0.56&CDS=1-765, snap_masked-scaffold_5-processed-gene-8.40-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-8.40&CDS=1-765	YLR441C
OG0000345	snap_masked-scaffold_6-processed-gene-2.87-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-2.87&CDS=1-300	YMR194W, YPL249C-A
OG0000346	genemark-scaffold_6-processed-gene-2.49-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-2.49&CDS=1-858	YMR183C, YPL232W
OG0000347	genemark-scaffold_6-processed-gene-2.81-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-2.81&CDS=1-1248, genemark-scaffold_8-processed-gene-5.34-mRNA-1_1&gene=genemark-scaffold_8-processed-gene-5.34&CDS=1-1248	YCR012W
OG0000348	genemark-scaffold_6-processed-gene-3.107-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-3.107&CDS=1-840	YCR010C, YNR002C
OG0000349	genemark-scaffold_6-processed-gene-3.113-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-3.113&CDS=1-2643, genemark-scaffold_7-processed-gene-0.38-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-0.38&CDS=1-2772	YCR037C
OG0000350	genemark-scaffold_6-processed-gene-3.117-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-3.117&CDS=1-408	YCR031C, YJL191W
OG0000351	genemark-scaffold_6-processed-gene-3.135-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-3.135&CDS=1-390	YJL190C, YLR367W
OG0000352	genemark-scaffold_6-processed-gene-3.122-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-3.122&CDS=1-552	YJL177W, YKL180W
OG0000353	genemark-scaffold_6-processed-gene-4.99-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-4.99&CDS=1-3318, snap_masked-scaffold_7-processed-gene-2.1-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-2.1&CDS=1-3633	YJL129C
OG0000354	genemark-scaffold_6-processed-gene-5.125-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-5.125&CDS=1-429	YDL083C, YMR143W
OG0000355	genemark-scaffold_6-processed-gene-5.104-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-5.104&CDS=1-597	YDL082W, YMR142C
OG0000356	genemark-scaffold_6-processed-gene-6.109-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-6.109&CDS=1-1821	YLR307W, YLR308W
OG0000357	genemark-scaffold_6-processed-gene-6.133-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-6.133&CDS=1-2862, snap_masked-scaffold_9-processed-gene-2.99-mRNA-1_1&gene=snap_masked-scaffold_9-processed-gene-2.99&CDS=1-2133	YGL049C
OG0000358	augustus_masked-scaffold_6-processed-gene-6.86-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-6.86&CDS=1-5397	YGL008C, YPL036W
OG0000359	genemark-scaffold_6-processed-gene-7.220-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-7.220&CDS=1-381	YGR034W, YLR344W
OG0000360	genemark-scaffold_6-processed-gene-7.230-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-7.230&CDS=1-924, genemark-scaffold_7-processed-gene-6.96-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-6.96&CDS=1-924	YGR060W
OG0000361	genemark-scaffold_6-processed-gene-7.241-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-7.241&CDS=1-1701, genemark-scaffold_9-processed-gene-3.103-mRNA-1_1&gene=genemark-scaffold_9-processed-gene-3.103&CDS=1-1767	YLL028W
OG0000362	genemark-scaffold_7-processed-gene-0.37-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-0.37&CDS=1-3975	YCL068C, YCR038C
OG0000363	genemark-scaffold_7-processed-gene-1.121-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-1.121&CDS=1-1185	YJL138C, YKR059W
OG0000364	genemark-scaffold_7-processed-gene-1.122-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-1.122&CDS=1-1890	YJL137C, YKR058W
OG0000365	genemark-scaffold_7-processed-gene-1.103-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-1.103&CDS=1-906	YJL133W, YKR052C
OG0000366	augustus_masked-scaffold_7-processed-gene-3.96-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-3.96&CDS=1-2517, snap_masked-scaffold_8-processed-gene-2.14-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-2.14&CDS=1-2679	YBR086C
OG0000367	snap_masked-scaffold_7-processed-gene-3.151-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-3.151&CDS=1-285	YBR089C-A, YPR052C
OG0000368	genemark-scaffold_7-processed-gene-4.104-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-4.104&CDS=1-924	YOR222W, YPL134C
OG0000369	genemark-scaffold_7-processed-gene-6.103-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-6.103&CDS=1-339	YDL075W, YLR406C
OG0000370	genemark-scaffold_7-processed-gene-7.15-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-7.15&CDS=1-696	YBR242W, YGL101W
OG0000371	genemark-scaffold_7-processed-gene-7.21-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-7.21&CDS=1-1716	YGR124W, YPR145W
OG0000372	genemark-scaffold_7-processed-gene-7.23-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-7.23&CDS=1-702	YGR136W, YPR154W
OG0000373	augustus_masked-scaffold_8-processed-gene-1.57-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-1.57&CDS=1-1749	YDR475C, YOR019W
OG0000374	augustus_masked-scaffold_8-processed-gene-4.43-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-4.43&CDS=1-1350	YOR237W, YPL145C
OG0000375	augustus_masked-scaffold_8-processed-gene-4.21-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-4.21&CDS=1-321	YOR234C, YPL143W
OG0000376	genemark-scaffold_8-processed-gene-5.51-mRNA-1_1&gene=genemark-scaffold_8-processed-gene-5.51&CDS=1-795, genemark-scaffold_9-processed-gene-4.46-mRNA-1_1&gene=genemark-scaffold_9-processed-gene-4.46&CDS=1-795	YCR009C
OG0000377	genemark-scaffold_8-processed-gene-5.37-mRNA-1_1&gene=genemark-scaffold_8-processed-gene-5.37&CDS=1-1452, genemark-scaffold_9-processed-gene-4.45-mRNA-1_1&gene=genemark-scaffold_9-processed-gene-4.45&CDS=1-1398	YNR001C
OG0000378	genemark-scaffold_8-processed-gene-6.136-mRNA-1_1&gene=genemark-scaffold_8-processed-gene-6.136&CDS=1-2091, genemark-scaffold_9-processed-gene-4.37-mRNA-1_1&gene=genemark-scaffold_9-processed-gene-4.37&CDS=1-2004	YLR176C
OG0000379	genemark-scaffold_8-processed-gene-6.177-mRNA-1_1&gene=genemark-scaffold_8-processed-gene-6.177&CDS=1-3147, genemark-scaffold_9-processed-gene-4.15-mRNA-1_1&gene=genemark-scaffold_9-processed-gene-4.15&CDS=1-3135	YNL014W
OG0000380	genemark-scaffold_8-processed-gene-6.162-mRNA-1_1&gene=genemark-scaffold_8-processed-gene-6.162&CDS=1-1683, genemark-scaffold_8-processed-gene-6.193-mRNA-1_1&gene=genemark-scaffold_8-processed-gene-6.193&CDS=1-1683	YJL008C
OG0000381	genemark-scaffold_8-processed-gene-6.167-mRNA-1_1&gene=genemark-scaffold_8-processed-gene-6.167&CDS=1-981	YCL050C, YDR530C
OG0000382	genemark-scaffold_9-processed-gene-0.45-mRNA-1_1&gene=genemark-scaffold_9-processed-gene-0.45&CDS=1-1368	YAL062W, YOR375C
OG0000383	maker-scaffold_9-snap-gene-0.0-mRNA-1_1&gene=maker-scaffold_9-snap-gene-0.0&CDS=1-2256	YAL060W, YAL061W
OG0000384	maker-scaffold_9-augustus-gene-1.170-mRNA-1_1&gene=maker-scaffold_9-augustus-gene-1.170&CDS=1-3606	YBR169C, YPL106C
OG0000385	genemark-scaffold_9-processed-gene-2.13-mRNA-1_1&gene=genemark-scaffold_9-processed-gene-2.13&CDS=1-417	YDR447C, YML024W
OG0000386	genemark-scaffold_9-processed-gene-3.128-mRNA-1_1&gene=genemark-scaffold_9-processed-gene-3.128&CDS=1-747	YER062C, YIL053W
OG0000387	snap_masked-scaffold_9-processed-gene-4.99-mRNA-1_1&gene=snap_masked-scaffold_9-processed-gene-4.99&CDS=1-192	YIR013C, YLR013W
OG0000388	snap_masked-scaffold_9-processed-gene-5.149-mRNA-1_1&gene=snap_masked-scaffold_9-processed-gene-5.149&CDS=1-861	YMR316W, YOR385W
OG0000389	genemark-scaffold_9-processed-gene-5.92-mRNA-1_1&gene=genemark-scaffold_9-processed-gene-5.92&CDS=1-471	YEL034W, YJR047C
OG0000390	genemark-scaffold_1-processed-gene-0.82-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.82&CDS=1-1116	YIR034C
OG0000391	genemark-scaffold_1-processed-gene-0.83-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.83&CDS=1-1125	YIR026C
OG0000392	snap_masked-scaffold_1-processed-gene-0.28-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-0.28&CDS=1-5103	YKL014C
OG0000393	snap_masked-scaffold_1-processed-gene-0.7-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-0.7&CDS=1-582	YIR024C
OG0000394	augustus_masked-scaffold_1-processed-gene-0.67-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-0.67&CDS=1-2745	YIR023W
OG0000395	genemark-scaffold_1-processed-gene-0.86-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.86&CDS=1-1668	YKL012W
OG0000396	snap_masked-scaffold_1-processed-gene-0.30-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-0.30&CDS=1-1167	YIR021W
OG0000397	genemark-scaffold_1-processed-gene-0.87-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.87&CDS=1-1320	YKL088W
OG0000398	snap_masked-scaffold_1-processed-gene-0.10-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-0.10&CDS=1-285	YHR005C-A
OG0000399	snap_masked-scaffold_1-processed-gene-0.11-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-0.11&CDS=1-1341	YHR005C
OG0000400	genemark-scaffold_1-processed-gene-0.104-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.104&CDS=1-1161	YMR068W
OG0000401	snap_masked-scaffold_1-processed-gene-0.13-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-0.13&CDS=1-1236	YMR067C
OG0000402	snap_masked-scaffold_1-processed-gene-0.32-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-0.32&CDS=1-2679	YMR066W
OG0000403	snap_masked-scaffold_1-processed-gene-0.33-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-0.33&CDS=1-1518	YMR065W
OG0000404	snap_masked-scaffold_1-processed-gene-0.34-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-0.34&CDS=1-1482	YMR064W
OG0000405	genemark-scaffold_1-processed-gene-0.90-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.90&CDS=1-1344	YMR062C
OG0000406	genemark-scaffold_1-processed-gene-0.107-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.107&CDS=1-2034	YMR061W
OG0000407	snap_masked-scaffold_1-processed-gene-0.15-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-0.15&CDS=1-909	YMR060C
OG0000408	genemark-scaffold_1-processed-gene-0.92-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.92&CDS=1-612	YMR132C
OG0000409	genemark-scaffold_1-processed-gene-0.93-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.93&CDS=1-1548	YMR131C
OG0000410	genemark-scaffold_1-processed-gene-0.108-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.108&CDS=1-888	YMR130W
OG0000411	genemark-scaffold_1-processed-gene-0.109-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.109&CDS=1-3963	YMR129W
OG0000412	genemark-scaffold_1-processed-gene-0.94-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.94&CDS=1-1008	YMR127C
OG0000413	augustus_masked-scaffold_1-processed-gene-0.60-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-0.60&CDS=1-1077	YMR126C
OG0000414	genemark-scaffold_1-processed-gene-0.110-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.110&CDS=1-2619	YMR125W
OG0000415	snap_masked-scaffold_1-processed-gene-0.40-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-0.40&CDS=1-2544	YMR124W
OG0000416	genemark-scaffold_1-processed-gene-0.112-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.112&CDS=1-474	YMR123W
OG0000417	genemark-scaffold_1-processed-gene-1.66-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.66&CDS=1-1797	YMR119W
OG0000418	augustus_masked-scaffold_1-processed-gene-1.112-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-1.112&CDS=1-633	YMR117C
OG0000419	genemark-scaffold_1-processed-gene-1.62-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.62&CDS=1-957	YMR116C
OG0000420	genemark-scaffold_1-processed-gene-1.67-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.67&CDS=1-1392	YMR115W
OG0000421	genemark-scaffold_1-processed-gene-1.63-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.63&CDS=1-1206	YMR114C
OG0000422	snap_masked-scaffold_1-processed-gene-1.3-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-1.3&CDS=1-399	YMR112C
OG0000423	genemark-scaffold_1-processed-gene-1.65-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.65&CDS=1-1458	YMR111C
OG0000424	genemark-scaffold_1-processed-gene-1.68-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.68&CDS=1-1581	YMR110C
OG0000425	genemark-scaffold_1-processed-gene-1.91-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.91&CDS=1-2463	YMR108W
OG0000426	genemark-scaffold_1-processed-gene-1.69-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.69&CDS=1-1899	YMR106C
OG0000427	augustus_masked-scaffold_1-processed-gene-1.120-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-1.120&CDS=1-3447	YMR101C
