	Saccharomyces_cerevisiae	yHMPu5000035318_Hyphopichia_heimii
OG0000794	YCR081W	snap_masked-NODE_2_length_316506_cov_16.9557_ID_27379-processed-gene-1.77-mRNA-1_1&gene=snap_masked-NODE_2_length_316506_cov_16.9557_ID_27379-processed-gene-1.77&CDS=1-4866
OG0000795	YCR086W	snap_masked-NODE_23_length_138619_cov_16.8864_ID_25492-processed-gene-0.187-mRNA-1_1&gene=snap_masked-NODE_23_length_138619_cov_16.8864_ID_25492-processed-gene-0.187&CDS=1-912
OG0000796	YCR087C-A	snap_masked-NODE_23_length_138619_cov_16.8864_ID_25492-processed-gene-0.161-mRNA-1_1&gene=snap_masked-NODE_23_length_138619_cov_16.8864_ID_25492-processed-gene-0.161&CDS=1-474
OG0000797	YCR088W	snap_masked-NODE_11_length_197687_cov_22.5789_ID_23058-processed-gene-0.232-mRNA-1_1&gene=snap_masked-NODE_11_length_197687_cov_22.5789_ID_23058-processed-gene-0.232&CDS=1-1938
OG0000798	YCR090C	snap_masked-NODE_31_length_126349_cov_17.3347_ID_18600-processed-gene-0.139-mRNA-1_1&gene=snap_masked-NODE_31_length_126349_cov_17.3347_ID_18600-processed-gene-0.139&CDS=1-483
OG0000799	YCR092C	snap_masked-NODE_71_length_54841_cov_17.1077_ID_17646-processed-gene-0.26-mRNA-1_1&gene=snap_masked-NODE_71_length_54841_cov_17.1077_ID_17646-processed-gene-0.26&CDS=1-3147
OG0000800	YCR093W	genemark-NODE_12_length_180239_cov_16.75_ID_18367-processed-gene-0.100-mRNA-1_1&gene=genemark-NODE_12_length_180239_cov_16.75_ID_18367-processed-gene-0.100&CDS=1-8349
OG0000801	YCR095C	snap_masked-NODE_95_length_41644_cov_15.1653_ID_21126-processed-gene-0.6-mRNA-1_1&gene=snap_masked-NODE_95_length_41644_cov_15.1653_ID_21126-processed-gene-0.6&CDS=1-1392
OG0000802	YCR098C	snap_masked-NODE_102_length_39546_cov_16.8274_ID_26470-processed-gene-0.51-mRNA-1_1&gene=snap_masked-NODE_102_length_39546_cov_16.8274_ID_26470-processed-gene-0.51&CDS=1-1554
OG0000803	YDL001W	snap_masked-NODE_54_length_80808_cov_19.0526_ID_28291-processed-gene-0.5-mRNA-1_1&gene=snap_masked-NODE_54_length_80808_cov_19.0526_ID_28291-processed-gene-0.5&CDS=1-1371
OG0000804	YDL002C	snap_masked-NODE_54_length_80808_cov_19.0526_ID_28291-processed-gene-0.4-mRNA-1_1&gene=snap_masked-NODE_54_length_80808_cov_19.0526_ID_28291-processed-gene-0.4&CDS=1-909
OG0000805	YDL003W	genemark-NODE_23_length_138619_cov_16.8864_ID_25492-processed-gene-0.94-mRNA-1_1&gene=genemark-NODE_23_length_138619_cov_16.8864_ID_25492-processed-gene-0.94&CDS=1-1635
OG0000806	YDL004W	snap_masked-NODE_23_length_138619_cov_16.8864_ID_25492-processed-gene-0.197-mRNA-1_1&gene=snap_masked-NODE_23_length_138619_cov_16.8864_ID_25492-processed-gene-0.197&CDS=1-480
OG0000807	YDL006W	snap_masked-NODE_3_length_307707_cov_19.6315_ID_16958-processed-gene-2.14-mRNA-1_1&gene=snap_masked-NODE_3_length_307707_cov_19.6315_ID_16958-processed-gene-2.14&CDS=1-1053
OG0000808	YDL007W	genemark-NODE_65_length_64414_cov_19.0737_ID_27107-processed-gene-0.55-mRNA-1_1&gene=genemark-NODE_65_length_64414_cov_19.0737_ID_27107-processed-gene-0.55&CDS=1-1323
OG0000809	YDL008W	snap_masked-NODE_7_length_241877_cov_16.5541_ID_27338-processed-gene-0.95-mRNA-1_1&gene=snap_masked-NODE_7_length_241877_cov_16.5541_ID_27338-processed-gene-0.95&CDS=1-417
OG0000810	YDL013W	genemark-NODE_79_length_49620_cov_15.9016_ID_21975-processed-gene-0.36-mRNA-1_1&gene=genemark-NODE_79_length_49620_cov_15.9016_ID_21975-processed-gene-0.36&CDS=1-1440
OG0000811	YDL014W	snap_masked-NODE_79_length_49620_cov_15.9016_ID_21975-processed-gene-0.13-mRNA-1_1&gene=snap_masked-NODE_79_length_49620_cov_15.9016_ID_21975-processed-gene-0.13&CDS=1-972
OG0000812	YDL015C	snap_masked-NODE_1_length_317107_cov_21.5492_ID_27152-processed-gene-0.104-mRNA-1_1&gene=snap_masked-NODE_1_length_317107_cov_21.5492_ID_27152-processed-gene-0.104&CDS=1-945
OG0000813	YDL017W	snap_masked-NODE_37_length_117182_cov_21.9344_ID_38234-processed-gene-0.76-mRNA-1_1&gene=snap_masked-NODE_37_length_117182_cov_21.9344_ID_38234-processed-gene-0.76&CDS=1-1761
OG0000814	YDL020C	snap_masked-NODE_20_length_148379_cov_17.5798_ID_26595-processed-gene-0.31-mRNA-1_1&gene=snap_masked-NODE_20_length_148379_cov_17.5798_ID_26595-processed-gene-0.31&CDS=1-1530
OG0000815	YDL025C	snap_masked-NODE_46_length_90378_cov_17.6642_ID_27052-processed-gene-0.95-mRNA-1_1&gene=snap_masked-NODE_46_length_90378_cov_17.6642_ID_27052-processed-gene-0.95&CDS=1-1722
OG0000816	YDL028C	snap_masked-NODE_121_length_31199_cov_19.6624_ID_24656-processed-gene-0.11-mRNA-1_1&gene=snap_masked-NODE_121_length_31199_cov_19.6624_ID_24656-processed-gene-0.11&CDS=1-2202
OG0000817	YDL029W	snap_masked-NODE_121_length_31199_cov_19.6624_ID_24656-processed-gene-0.3-mRNA-1_1&gene=snap_masked-NODE_121_length_31199_cov_19.6624_ID_24656-processed-gene-0.3&CDS=1-1176
OG0000818	YDL030W	snap_masked-NODE_30_length_126434_cov_16.6495_ID_16870-processed-gene-0.200-mRNA-1_1&gene=snap_masked-NODE_30_length_126434_cov_16.6495_ID_16870-processed-gene-0.200&CDS=1-1488
OG0000819	YDL031W	snap_masked-NODE_104_length_38290_cov_15.7451_ID_22764-processed-gene-0.2-mRNA-1_1&gene=snap_masked-NODE_104_length_38290_cov_15.7451_ID_22764-processed-gene-0.2&CDS=1-2805
OG0000820	YDL033C	snap_masked-NODE_25_length_138365_cov_17.6405_ID_32372-processed-gene-0.110-mRNA-1_1&gene=snap_masked-NODE_25_length_138365_cov_17.6405_ID_32372-processed-gene-0.110&CDS=1-1242
OG0000821	YDL035C	snap_masked-NODE_22_length_143390_cov_16.1143_ID_23656-processed-gene-0.201-mRNA-1_1&gene=snap_masked-NODE_22_length_143390_cov_16.1143_ID_23656-processed-gene-0.201&CDS=1-2349
OG0000822	YDL040C	snap_masked-NODE_30_length_126434_cov_16.6495_ID_16870-processed-gene-0.164-mRNA-1_1&gene=snap_masked-NODE_30_length_126434_cov_16.6495_ID_16870-processed-gene-0.164&CDS=1-2352
OG0000823	YDL043C	snap_masked-NODE_16_length_163134_cov_16.8983_ID_19337-processed-gene-0.217-mRNA-1_1&gene=snap_masked-NODE_16_length_163134_cov_16.8983_ID_19337-processed-gene-0.217&CDS=1-741
OG0000824	YDL045C	snap_masked-NODE_16_length_163134_cov_16.8983_ID_19337-processed-gene-0.216-mRNA-1_1&gene=snap_masked-NODE_16_length_163134_cov_16.8983_ID_19337-processed-gene-0.216&CDS=1-828
OG0000825	YDL045W-A	genemark-NODE_16_length_163134_cov_16.8983_ID_19337-processed-gene-0.125-mRNA-1_1&gene=genemark-NODE_16_length_163134_cov_16.8983_ID_19337-processed-gene-0.125&CDS=1-3291
OG0000826	YDL046W	snap_masked-NODE_37_length_117182_cov_21.9344_ID_38234-processed-gene-0.74-mRNA-1_1&gene=snap_masked-NODE_37_length_117182_cov_21.9344_ID_38234-processed-gene-0.74&CDS=1-579
OG0000827	YDL047W	snap_masked-NODE_20_length_148379_cov_17.5798_ID_26595-processed-gene-0.70-mRNA-1_1&gene=snap_masked-NODE_20_length_148379_cov_17.5798_ID_26595-processed-gene-0.70&CDS=1-942
OG0000828	YDL051W	snap_masked-NODE_3_length_307707_cov_19.6315_ID_16958-processed-gene-0.35-mRNA-1_1&gene=snap_masked-NODE_3_length_307707_cov_19.6315_ID_16958-processed-gene-0.35&CDS=1-858
OG0000829	YDL052C	snap_masked-NODE_40_length_99243_cov_23.3573_ID_26809-processed-gene-0.18-mRNA-1_1&gene=snap_masked-NODE_40_length_99243_cov_23.3573_ID_26809-processed-gene-0.18&CDS=1-879
OG0000830	YDL054C	genemark-NODE_53_length_81234_cov_16.3993_ID_17330-processed-gene-0.6-mRNA-1_1&gene=genemark-NODE_53_length_81234_cov_16.3993_ID_17330-processed-gene-0.6&CDS=1-1308
OG0000831	YDL055C	snap_masked-NODE_67_length_61163_cov_16.9679_ID_28074-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NODE_67_length_61163_cov_16.9679_ID_28074-processed-gene-0.0&CDS=1-1086
OG0000832	YDL056W	snap_masked-NODE_60_length_67036_cov_16.5396_ID_22534-processed-gene-0.39-mRNA-1_1&gene=snap_masked-NODE_60_length_67036_cov_16.5396_ID_22534-processed-gene-0.39&CDS=1-3129
OG0000833	YDL057W	snap_masked-NODE_63_length_65765_cov_16.3474_ID_26203-processed-gene-0.24-mRNA-1_1&gene=snap_masked-NODE_63_length_65765_cov_16.3474_ID_26203-processed-gene-0.24&CDS=1-1938
OG0000834	YDL058W	maker-NODE_2_length_316506_cov_16.9557_ID_27379-snap-gene-1.112-mRNA-1_1&gene=maker-NODE_2_length_316506_cov_16.9557_ID_27379-snap-gene-1.112&CDS=1-6039
OG0000835	YDL060W	snap_masked-NODE_23_length_138619_cov_16.8864_ID_25492-processed-gene-0.210-mRNA-1_1&gene=snap_masked-NODE_23_length_138619_cov_16.8864_ID_25492-processed-gene-0.210&CDS=1-2331
OG0000836	YDL063C	snap_masked-NODE_23_length_138619_cov_16.8864_ID_25492-processed-gene-0.172-mRNA-1_1&gene=snap_masked-NODE_23_length_138619_cov_16.8864_ID_25492-processed-gene-0.172&CDS=1-1914
OG0000837	YDL064W	snap_masked-NODE_23_length_138619_cov_16.8864_ID_25492-processed-gene-0.212-mRNA-1_1&gene=snap_masked-NODE_23_length_138619_cov_16.8864_ID_25492-processed-gene-0.212&CDS=1-474
OG0000838	YDL065C	genemark-NODE_23_length_138619_cov_16.8864_ID_25492-processed-gene-0.102-mRNA-1_1&gene=genemark-NODE_23_length_138619_cov_16.8864_ID_25492-processed-gene-0.102&CDS=1-1017
OG0000839	YDL067C	snap_masked-NODE_108_length_36982_cov_16.1277_ID_19518-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_108_length_36982_cov_16.1277_ID_19518-processed-gene-0.1&CDS=1-183
OG0000840	YDL072C	snap_masked-NODE_7_length_241877_cov_16.5541_ID_27338-processed-gene-1.1-mRNA-1_1&gene=snap_masked-NODE_7_length_241877_cov_16.5541_ID_27338-processed-gene-1.1&CDS=1-597
OG0000841	YDL074C	snap_masked-NODE_52_length_81500_cov_18.613_ID_27766-processed-gene-0.97-mRNA-1_1&gene=snap_masked-NODE_52_length_81500_cov_18.613_ID_27766-processed-gene-0.97&CDS=1-2118
OG0000842	YDL076C	snap_masked-NODE_7_length_241877_cov_16.5541_ID_27338-processed-gene-1.5-mRNA-1_1&gene=snap_masked-NODE_7_length_241877_cov_16.5541_ID_27338-processed-gene-1.5&CDS=1-1503
OG0000843	YDL077C	snap_masked-NODE_7_length_241877_cov_16.5541_ID_27338-processed-gene-1.3-mRNA-1_1&gene=snap_masked-NODE_7_length_241877_cov_16.5541_ID_27338-processed-gene-1.3&CDS=1-3216
OG0000844	YDL084W	maker-NODE_60_length_67036_cov_16.5396_ID_22534-snap-gene-0.85-mRNA-1_1&gene=maker-NODE_60_length_67036_cov_16.5396_ID_22534-snap-gene-0.85&CDS=1-1299
OG0000845	YDL086W	snap_masked-NODE_63_length_65765_cov_16.3474_ID_26203-processed-gene-0.9-mRNA-1_1&gene=snap_masked-NODE_63_length_65765_cov_16.3474_ID_26203-processed-gene-0.9&CDS=1-807
OG0000846	YDL087C	genemark-NODE_60_length_67036_cov_16.5396_ID_22534-processed-gene-0.57-mRNA-1_1&gene=genemark-NODE_60_length_67036_cov_16.5396_ID_22534-processed-gene-0.57&CDS=1-717
OG0000847	YDL090C	snap_masked-NODE_10_length_207889_cov_17.328_ID_18435-processed-gene-0.70-mRNA-1_1&gene=snap_masked-NODE_10_length_207889_cov_17.328_ID_18435-processed-gene-0.70&CDS=1-1398
OG0000848	YDL091C	snap_masked-NODE_25_length_138365_cov_17.6405_ID_32372-processed-gene-0.84-mRNA-1_1&gene=snap_masked-NODE_25_length_138365_cov_17.6405_ID_32372-processed-gene-0.84&CDS=1-1404
OG0000849	YDL092W	snap_masked-NODE_25_length_138365_cov_17.6405_ID_32372-processed-gene-0.121-mRNA-1_1&gene=snap_masked-NODE_25_length_138365_cov_17.6405_ID_32372-processed-gene-0.121&CDS=1-363
OG0000850	YDL095W	snap_masked-NODE_8_length_237339_cov_17.8205_ID_26405-processed-gene-0.9-mRNA-1_1&gene=snap_masked-NODE_8_length_237339_cov_17.8205_ID_26405-processed-gene-0.9&CDS=1-2742
OG0000851	YDL097C	snap_masked-NODE_10_length_207889_cov_17.328_ID_18435-processed-gene-0.65-mRNA-1_1&gene=snap_masked-NODE_10_length_207889_cov_17.328_ID_18435-processed-gene-0.65&CDS=1-1275
OG0000852	YDL098C	snap_masked-NODE_7_length_241877_cov_16.5541_ID_27338-processed-gene-0.105-mRNA-1_1&gene=snap_masked-NODE_7_length_241877_cov_16.5541_ID_27338-processed-gene-0.105&CDS=1-651
OG0000853	YDL100C	maker-NODE_63_length_65765_cov_16.3474_ID_26203-snap-gene-0.75-mRNA-1_1&gene=maker-NODE_63_length_65765_cov_16.3474_ID_26203-snap-gene-0.75&CDS=1-1230
OG0000854	YDL101C	augustus_masked-NODE_27_length_132587_cov_17.0824_ID_144313-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_27_length_132587_cov_17.0824_ID_144313-processed-gene-0.2&CDS=1-3723
OG0000855	YDL102W	snap_masked-NODE_70_length_56902_cov_16.8509_ID_21647-processed-gene-0.59-mRNA-1_1&gene=snap_masked-NODE_70_length_56902_cov_16.8509_ID_21647-processed-gene-0.59&CDS=1-3237
OG0000856	YDL103C	snap_masked-NODE_49_length_85120_cov_22.9756_ID_22926-processed-gene-0.29-mRNA-1_1&gene=snap_masked-NODE_49_length_85120_cov_22.9756_ID_22926-processed-gene-0.29&CDS=1-1434
OG0000857	YDL104C	snap_masked-NODE_13_length_179126_cov_16.6208_ID_16477-processed-gene-0.91-mRNA-1_1&gene=snap_masked-NODE_13_length_179126_cov_16.6208_ID_16477-processed-gene-0.91&CDS=1-1296
OG0000858	YDL105W	augustus_masked-NODE_13_length_179126_cov_16.6208_ID_16477-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-NODE_13_length_179126_cov_16.6208_ID_16477-processed-gene-0.46&CDS=1-1104
OG0000859	YDL106C	genemark-NODE_114_length_35588_cov_15.1306_ID_19546-processed-gene-0.33-mRNA-1_1&gene=genemark-NODE_114_length_35588_cov_15.1306_ID_19546-processed-gene-0.33&CDS=1-1707
OG0000860	YDL107W	genemark-NODE_27_length_132587_cov_17.0824_ID_144313-processed-gene-0.169-mRNA-1_1&gene=genemark-NODE_27_length_132587_cov_17.0824_ID_144313-processed-gene-0.169&CDS=1-1095
OG0000861	YDL108W	snap_masked-NODE_27_length_132587_cov_17.0824_ID_144313-processed-gene-0.97-mRNA-1_1&gene=snap_masked-NODE_27_length_132587_cov_17.0824_ID_144313-processed-gene-0.97&CDS=1-1011
OG0000862	YDL110C	snap_masked-NODE_10_length_207889_cov_17.328_ID_18435-processed-gene-0.64-mRNA-1_1&gene=snap_masked-NODE_10_length_207889_cov_17.328_ID_18435-processed-gene-0.64&CDS=1-303
OG0000863	YDL111C	snap_masked-NODE_10_length_207889_cov_17.328_ID_18435-processed-gene-0.92-mRNA-1_1&gene=snap_masked-NODE_10_length_207889_cov_17.328_ID_18435-processed-gene-0.92&CDS=1-867
OG0000864	YDL112W	snap_masked-NODE_10_length_207889_cov_17.328_ID_18435-processed-gene-0.67-mRNA-1_1&gene=snap_masked-NODE_10_length_207889_cov_17.328_ID_18435-processed-gene-0.67&CDS=1-4248
OG0000865	YDL113C	snap_masked-NODE_10_length_207889_cov_17.328_ID_18435-processed-gene-0.66-mRNA-1_1&gene=snap_masked-NODE_10_length_207889_cov_17.328_ID_18435-processed-gene-0.66&CDS=1-2061
OG0000866	YDL114W	maker-NODE_9_length_221159_cov_17.9112_ID_23687-snap-gene-0.43-mRNA-1_1&gene=maker-NODE_9_length_221159_cov_17.9112_ID_23687-snap-gene-0.43&CDS=1-1128
OG0000867	YDL116W	snap_masked-NODE_10_length_207889_cov_17.328_ID_18435-processed-gene-0.90-mRNA-1_1&gene=snap_masked-NODE_10_length_207889_cov_17.328_ID_18435-processed-gene-0.90&CDS=1-2463
OG0000868	YDL117W	snap_masked-NODE_27_length_132587_cov_17.0824_ID_144313-processed-gene-0.98-mRNA-1_1&gene=snap_masked-NODE_27_length_132587_cov_17.0824_ID_144313-processed-gene-0.98&CDS=1-3090
OG0000869	YDL119C	snap_masked-NODE_70_length_56902_cov_16.8509_ID_21647-processed-gene-0.54-mRNA-1_1&gene=snap_masked-NODE_70_length_56902_cov_16.8509_ID_21647-processed-gene-0.54&CDS=1-1053
OG0000870	YDL120W	snap_masked-NODE_5_length_272244_cov_18.3867_ID_32304-processed-gene-1.14-mRNA-1_1&gene=snap_masked-NODE_5_length_272244_cov_18.3867_ID_32304-processed-gene-1.14&CDS=1-579
OG0000871	YDL122W	snap_masked-NODE_79_length_49620_cov_15.9016_ID_21975-processed-gene-0.2-mRNA-1_1&gene=snap_masked-NODE_79_length_49620_cov_15.9016_ID_21975-processed-gene-0.2&CDS=1-2238
OG0000872	YDL124W	snap_masked-NODE_45_length_92142_cov_16.7978_ID_20267-processed-gene-0.94-mRNA-1_1&gene=snap_masked-NODE_45_length_92142_cov_16.7978_ID_20267-processed-gene-0.94&CDS=1-894
OG0000873	YDL125C	snap_masked-NODE_10_length_207889_cov_17.328_ID_18435-processed-gene-1.176-mRNA-1_1&gene=snap_masked-NODE_10_length_207889_cov_17.328_ID_18435-processed-gene-1.176&CDS=1-462
OG0000874	YDL126C	snap_masked-NODE_10_length_207889_cov_17.328_ID_18435-processed-gene-1.154-mRNA-1_1&gene=snap_masked-NODE_10_length_207889_cov_17.328_ID_18435-processed-gene-1.154&CDS=1-2514
OG0000875	YDL128W	snap_masked-NODE_48_length_87499_cov_16.6838_ID_19881-processed-gene-0.103-mRNA-1_1&gene=snap_masked-NODE_48_length_87499_cov_16.6838_ID_19881-processed-gene-0.103&CDS=1-1245
OG0000876	YDL130W	snap_masked-NODE_34_length_124283_cov_18.9863_ID_28887-processed-gene-0.123-mRNA-1_1&gene=snap_masked-NODE_34_length_124283_cov_18.9863_ID_28887-processed-gene-0.123&CDS=1-321
OG0000877	YDL132W	snap_masked-NODE_119_length_32596_cov_15.6833_ID_20239-processed-gene-0.4-mRNA-1_1&gene=snap_masked-NODE_119_length_32596_cov_15.6833_ID_20239-processed-gene-0.4&CDS=1-2328
OG0000878	YDL133W	genemark-NODE_119_length_32596_cov_15.6833_ID_20239-processed-gene-0.32-mRNA-1_1&gene=genemark-NODE_119_length_32596_cov_15.6833_ID_20239-processed-gene-0.32&CDS=1-1455
OG0000879	YDL134C	snap_masked-NODE_119_length_32596_cov_15.6833_ID_20239-processed-gene-0.9-mRNA-1_1&gene=snap_masked-NODE_119_length_32596_cov_15.6833_ID_20239-processed-gene-0.9&CDS=1-1029
OG0000880	YDL135C	snap_masked-NODE_71_length_54841_cov_17.1077_ID_17646-processed-gene-0.4-mRNA-1_1&gene=snap_masked-NODE_71_length_54841_cov_17.1077_ID_17646-processed-gene-0.4&CDS=1-618
OG0000881	YDL139C	snap_masked-NODE_125_length_29411_cov_16.6152_ID_20582-processed-gene-0.2-mRNA-1_1&gene=snap_masked-NODE_125_length_29411_cov_16.6152_ID_20582-processed-gene-0.2&CDS=1-1614
OG0000882	YDL140C	maker-NODE_23_length_138619_cov_16.8864_ID_25492-snap-gene-0.223-mRNA-1_1&gene=maker-NODE_23_length_138619_cov_16.8864_ID_25492-snap-gene-0.223&CDS=1-5154
OG0000883	YDL141W	snap_masked-NODE_7_length_241877_cov_16.5541_ID_27338-processed-gene-0.94-mRNA-1_1&gene=snap_masked-NODE_7_length_241877_cov_16.5541_ID_27338-processed-gene-0.94&CDS=1-2058
OG0000884	YDL143W	snap_masked-NODE_21_length_143800_cov_19.6648_ID_24094-processed-gene-0.166-mRNA-1_1&gene=snap_masked-NODE_21_length_143800_cov_19.6648_ID_24094-processed-gene-0.166&CDS=1-1599
OG0000885	YDL144C	snap_masked-NODE_27_length_132587_cov_17.0824_ID_144313-processed-gene-0.119-mRNA-1_1&gene=snap_masked-NODE_27_length_132587_cov_17.0824_ID_144313-processed-gene-0.119&CDS=1-1017
OG0000886	YDL145C	maker-NODE_208_length_6503_cov_16.0395_ID_26992-snap-gene-0.2-mRNA-1_1&gene=maker-NODE_208_length_6503_cov_16.0395_ID_26992-snap-gene-0.2&CDS=1-5004
OG0000887	YDL146W	snap_masked-NODE_8_length_237339_cov_17.8205_ID_26405-processed-gene-1.27-mRNA-1_1&gene=snap_masked-NODE_8_length_237339_cov_17.8205_ID_26405-processed-gene-1.27&CDS=1-1923
OG0000888	YDL148C	snap_masked-NODE_166_length_13686_cov_17.1971_ID_24180-processed-gene-0.16-mRNA-1_1&gene=snap_masked-NODE_166_length_13686_cov_17.1971_ID_24180-processed-gene-0.16&CDS=1-2445
OG0000889	YDL149W	snap_masked-NODE_166_length_13686_cov_17.1971_ID_24180-processed-gene-0.17-mRNA-1_1&gene=snap_masked-NODE_166_length_13686_cov_17.1971_ID_24180-processed-gene-0.17&CDS=1-2922
OG0000890	YDL150W	snap_masked-NODE_21_length_143800_cov_19.6648_ID_24094-processed-gene-0.165-mRNA-1_1&gene=snap_masked-NODE_21_length_143800_cov_19.6648_ID_24094-processed-gene-0.165&CDS=1-1164
OG0000891	YDL153C	genemark-NODE_21_length_143800_cov_19.6648_ID_24094-processed-gene-0.26-mRNA-1_1&gene=genemark-NODE_21_length_143800_cov_19.6648_ID_24094-processed-gene-0.26&CDS=1-1656
OG0000892	YDL155W	snap_masked-NODE_153_length_16698_cov_16.0961_ID_23565-processed-gene-0.4-mRNA-1_1&gene=snap_masked-NODE_153_length_16698_cov_16.0961_ID_23565-processed-gene-0.4&CDS=1-1239
OG0000893	YDL156W	snap_masked-NODE_2_length_316506_cov_16.9557_ID_27379-processed-gene-0.28-mRNA-1_1&gene=snap_masked-NODE_2_length_316506_cov_16.9557_ID_27379-processed-gene-0.28&CDS=1-1740
OG0000894	YDL157C	snap_masked-NODE_15_length_165856_cov_16.9442_ID_20110-processed-gene-0.111-mRNA-1_1&gene=snap_masked-NODE_15_length_165856_cov_16.9442_ID_20110-processed-gene-0.111&CDS=1-273
OG0000895	YDL159W	snap_masked-NODE_15_length_165856_cov_16.9442_ID_20110-processed-gene-0.113-mRNA-1_1&gene=snap_masked-NODE_15_length_165856_cov_16.9442_ID_20110-processed-gene-0.113&CDS=1-1617
OG0000896	YDL160C	snap_masked-NODE_19_length_149295_cov_22.7659_ID_25446-processed-gene-0.39-mRNA-1_1&gene=snap_masked-NODE_19_length_149295_cov_22.7659_ID_25446-processed-gene-0.39&CDS=1-1551
OG0000897	YDL164C	augustus_masked-NODE_100_length_39569_cov_15.9887_ID_22644-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-NODE_100_length_39569_cov_15.9887_ID_22644-processed-gene-0.20&CDS=1-3462
OG0000898	YDL165W	genemark-NODE_112_length_36137_cov_16.9078_ID_21342-processed-gene-0.18-mRNA-1_1&gene=genemark-NODE_112_length_36137_cov_16.9078_ID_21342-processed-gene-0.18&CDS=1-573
OG0000899	YDL166C	snap_masked-NODE_112_length_36137_cov_16.9078_ID_21342-processed-gene-0.51-mRNA-1_1&gene=snap_masked-NODE_112_length_36137_cov_16.9078_ID_21342-processed-gene-0.51&CDS=1-729
OG0000900	YDL167C	snap_masked-NODE_32_length_126318_cov_17.2359_ID_16641-processed-gene-0.142-mRNA-1_1&gene=snap_masked-NODE_32_length_126318_cov_17.2359_ID_16641-processed-gene-0.142&CDS=1-2178
OG0000901	YDL168W	maker-NODE_6_length_253678_cov_16.585_ID_18500-snap-gene-1.179-mRNA-1_1&gene=maker-NODE_6_length_253678_cov_16.585_ID_18500-snap-gene-1.179&CDS=1-1140
OG0000902	YDL170W	snap_masked-NODE_6_length_253678_cov_16.585_ID_18500-processed-gene-1.76-mRNA-1_1&gene=snap_masked-NODE_6_length_253678_cov_16.585_ID_18500-processed-gene-1.76&CDS=1-2583
OG0000903	YDL171C	snap_masked-NODE_1_length_317107_cov_21.5492_ID_27152-processed-gene-2.16-mRNA-1_1&gene=snap_masked-NODE_1_length_317107_cov_21.5492_ID_27152-processed-gene-2.16&CDS=1-6435
OG0000904	YDL174C	snap_masked-NODE_102_length_39546_cov_16.8274_ID_26470-processed-gene-0.41-mRNA-1_1&gene=snap_masked-NODE_102_length_39546_cov_16.8274_ID_26470-processed-gene-0.41&CDS=1-1716
OG0000905	YDL178W	maker-NODE_87_length_44729_cov_23.4724_ID_21885-augustus-gene-0.0-mRNA-1_1&gene=maker-NODE_87_length_44729_cov_23.4724_ID_21885-augustus-gene-0.0&CDS=1-1842
OG0000906	YDL183C	snap_masked-NODE_119_length_32596_cov_15.6833_ID_20239-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_119_length_32596_cov_15.6833_ID_20239-processed-gene-0.1&CDS=1-1017
OG0000907	YDL185W	genemark-NODE_119_length_32596_cov_15.6833_ID_20239-processed-gene-0.33-mRNA-1_1&gene=genemark-NODE_119_length_32596_cov_15.6833_ID_20239-processed-gene-0.33&CDS=1-3066
OG0000908	YDL189W	augustus_masked-NODE_71_length_54841_cov_17.1077_ID_17646-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-NODE_71_length_54841_cov_17.1077_ID_17646-processed-gene-0.34&CDS=1-1257
OG0000909	YDL190C	snap_masked-NODE_71_length_54841_cov_17.1077_ID_17646-processed-gene-0.18-mRNA-1_1&gene=snap_masked-NODE_71_length_54841_cov_17.1077_ID_17646-processed-gene-0.18&CDS=1-3171
OG0000910	YDL193W	snap_masked-NODE_71_length_54841_cov_17.1077_ID_17646-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NODE_71_length_54841_cov_17.1077_ID_17646-processed-gene-0.0&CDS=1-834
OG0000911	YDL195W	snap_masked-NODE_26_length_133046_cov_18.0642_ID_24063-processed-gene-0.40-mRNA-1_1&gene=snap_masked-NODE_26_length_133046_cov_18.0642_ID_24063-processed-gene-0.40&CDS=1-3939
OG0000912	YDL198C	snap_masked-NODE_168_length_13349_cov_20.3963_ID_177318-processed-gene-0.12-mRNA-1_1&gene=snap_masked-NODE_168_length_13349_cov_20.3963_ID_177318-processed-gene-0.12&CDS=1-903
OG0000913	YDL201W	genemark-NODE_9_length_221159_cov_17.9112_ID_23687-processed-gene-1.11-mRNA-1_1&gene=genemark-NODE_9_length_221159_cov_17.9112_ID_23687-processed-gene-1.11&CDS=1-921
OG0000914	YDL202W	snap_masked-NODE_9_length_221159_cov_17.9112_ID_23687-processed-gene-1.138-mRNA-1_1&gene=snap_masked-NODE_9_length_221159_cov_17.9112_ID_23687-processed-gene-1.138&CDS=1-744
OG0000915	YDL205C	maker-NODE_61_length_66840_cov_17.3533_ID_19610-snap-gene-0.35-mRNA-1_1&gene=maker-NODE_61_length_66840_cov_17.3533_ID_19610-snap-gene-0.35&CDS=1-2130
