	Candida_succiphila	Saccharomyces_cerevisiae
OG0000866	-processed-gene-0.107-mRNA-1_1&gene=snap_masked-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-0.107&CDS=1-363	YAL044W-A
OG0000867	-processed-gene-0.33-mRNA-1_1&gene=genemark-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-0.33&CDS=1-567	YDR454C
OG0000868	-processed-gene-0.16-mRNA-1_1&gene=genemark-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-0.16&CDS=1-2118	YDR456W
OG0000869	-processed-gene-0.34-mRNA-1_1&gene=genemark-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-0.34&CDS=1-2088	YML031W
OG0000870	-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-0.53&CDS=1-1359	YML032C
OG0000871	-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-0.54&CDS=1-4431	YCL014W
OG0000872	-processed-gene-0.19-mRNA-1_1&gene=genemark-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-0.19&CDS=1-1248	YDR465C
OG0000873	-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-0.56&CDS=1-3105	YLR309C
OG0000874	-processed-gene-0.71-mRNA-1_1&gene=augustus_masked-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-0.71&CDS=1-1320	YHR011W
OG0000875	-processed-gene-0.21-mRNA-1_1&gene=genemark-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-0.21&CDS=1-444	YIL062C
OG0000876	-processed-gene-0.36-mRNA-1_1&gene=genemark-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-0.36&CDS=1-423	YLR281C
OG0000877	-processed-gene-0.23-mRNA-1_1&gene=genemark-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-0.23&CDS=1-897	YLR439W
OG0000878	-processed-gene-0.75-mRNA-1_1&gene=augustus_masked-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-0.75&CDS=1-1539	YCL004W
OG0000879	-processed-gene-1.4-mRNA-1_1&gene=genemark-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-1.4&CDS=1-1116	YNL005C
OG0000880	-processed-gene-1.2-mRNA-1_1&gene=genemark-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-1.2&CDS=1-741	YCL010C
OG0000881	-processed-gene-1.6-mRNA-1_1&gene=genemark-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-1.6&CDS=1-540	YKR085C
OG0000882	-processed-gene-1.3-mRNA-1_1&gene=genemark-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-1.3&CDS=1-2136	YHL016C
OG0000883	-processed-gene-1.7-mRNA-1_1&gene=genemark-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-1.7&CDS=1-2421	YPL190C
OG0000884	-processed-gene-1.104-mRNA-1_1&gene=augustus_masked-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-1.104&CDS=1-1164	YDL029W
OG0000885	-processed-gene-1.22-mRNA-1_1&gene=genemark-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-1.22&CDS=1-2196	YDL028C
OG0000886	-processed-gene-1.9-mRNA-1_1&gene=genemark-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-1.9&CDS=1-1350	YBR195C
OG0000887	-processed-gene-1.23-mRNA-1_1&gene=genemark-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-1.23&CDS=1-1218	YPR108W
OG0000888	-processed-gene-1.10-mRNA-1_1&gene=genemark-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-1.10&CDS=1-921	YDR498C
OG0000889	-processed-gene-1.24-mRNA-1_1&gene=genemark-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-1.24&CDS=1-1347	YBL091C
OG0000890	-processed-gene-1.25-mRNA-1_1&gene=genemark-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-1.25&CDS=1-2121	YHL027W
OG0000891	-snap-gene-1.140-mRNA-1_1&gene=maker-gi|1002316217|dbj|BCGL01000007.1|-snap-gene-1.140&CDS=1-1386	YHL028W
OG0000892	-processed-gene-1.27-mRNA-1_1&gene=genemark-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-1.27&CDS=1-975	YNL173C
OG0000893	-processed-gene-1.125-mRNA-1_1&gene=augustus_masked-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-1.125&CDS=1-3024	YFR002W
OG0000894	-processed-gene-1.30-mRNA-1_1&gene=genemark-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-1.30&CDS=1-564	YDR357C
OG0000895	-processed-gene-1.31-mRNA-1_1&gene=genemark-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-1.31&CDS=1-2436	YPL008W
OG0000896	-processed-gene-1.13-mRNA-1_1&gene=genemark-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-1.13&CDS=1-660	YKL119C
OG0000897	-processed-gene-1.14-mRNA-1_1&gene=genemark-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-1.14&CDS=1-1356	YPL123C
OG0000898	-processed-gene-1.130-mRNA-1_1&gene=augustus_masked-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-1.130&CDS=1-1902	YOR205C
OG0000899	-processed-gene-1.37-mRNA-1_1&gene=genemark-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-1.37&CDS=1-2187	YOR206W
OG0000900	-processed-gene-1.18-mRNA-1_1&gene=genemark-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-1.18&CDS=1-1161	YPL121C
OG0000901	-processed-gene-1.38-mRNA-1_1&gene=genemark-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-1.38&CDS=1-3480	YOR207C
OG0000902	-processed-gene-1.19-mRNA-1_1&gene=genemark-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-1.19&CDS=1-2127	YPL122C
OG0000903	-processed-gene-1.39-mRNA-1_1&gene=genemark-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-1.39&CDS=1-5736	YOR254C
OG0000904	-processed-gene-1.20-mRNA-1_1&gene=genemark-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-1.20&CDS=1-2118	YGL178W
OG0000905	-processed-gene-1.40-mRNA-1_1&gene=genemark-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-1.40&CDS=1-1092	YER127W
OG0000906	-augustus-gene-1.47-mRNA-1_1&gene=maker-gi|1002316217|dbj|BCGL01000007.1|-augustus-gene-1.47&CDS=1-3174	YER126C
OG0000907	-processed-gene-1.41-mRNA-1_1&gene=genemark-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-1.41&CDS=1-684	YLR025W
OG0000908	-processed-gene-1.43-mRNA-1_1&gene=genemark-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-1.43&CDS=1-1416	YGR019W
OG0000909	-processed-gene-1.44-mRNA-1_1&gene=genemark-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-1.44&CDS=1-858	YGR017W
OG0000910	-processed-gene-2.11-mRNA-1_1&gene=augustus_masked-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-2.11&CDS=1-1008	YKL019W
OG0000911	-processed-gene-2.88-mRNA-1_1&gene=genemark-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-2.88&CDS=1-984	YIR026C
OG0000912	-processed-gene-2.104-mRNA-1_1&gene=genemark-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-2.104&CDS=1-1602	YPL172C
OG0000913	-snap-gene-2.4-mRNA-1_1&gene=maker-gi|1002316217|dbj|BCGL01000007.1|-snap-gene-2.4&CDS=1-2634	YOR261C
OG0000914	-augustus-gene-2.120-mRNA-1_1&gene=maker-gi|1002316217|dbj|BCGL01000007.1|-augustus-gene-2.120&CDS=1-966	YDR233C
OG0000915	-snap-gene-2.5-mRNA-1_1&gene=maker-gi|1002316217|dbj|BCGL01000007.1|-snap-gene-2.5&CDS=1-3084	YOR245C
OG0000916	-processed-gene-2.32-mRNA-1_1&gene=augustus_masked-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-2.32&CDS=1-945	YDL047W
OG0000917	-processed-gene-2.110-mRNA-1_1&gene=genemark-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-2.110&CDS=1-1248	YOL058W
OG0000918	-processed-gene-2.90-mRNA-1_1&gene=genemark-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-2.90&CDS=1-1545	YBR006W
OG0000919	-augustus-gene-2.121-mRNA-1_1&gene=maker-gi|1002316217|dbj|BCGL01000007.1|-augustus-gene-2.121&CDS=1-2739	YDL185W
OG0000920	-processed-gene-2.16-mRNA-1_1&gene=augustus_masked-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-2.16&CDS=1-2175	YOR112W
OG0000921	-processed-gene-2.54-mRNA-1_1&gene=snap_masked-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-2.54&CDS=1-780	YOR004W
OG0000922	-processed-gene-2.34-mRNA-1_1&gene=augustus_masked-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-2.34&CDS=1-222	YDR378C
OG0000923	-processed-gene-2.111-mRNA-1_1&gene=genemark-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-2.111&CDS=1-603	YGL058W
OG0000924	-processed-gene-2.112-mRNA-1_1&gene=genemark-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-2.112&CDS=1-1320	YBR215W
OG0000925	-processed-gene-2.113-mRNA-1_1&gene=genemark-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-2.113&CDS=1-1332	YGL059W
OG0000926	-processed-gene-2.56-mRNA-1_1&gene=snap_masked-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-2.56&CDS=1-411	YBR217W
OG0000927	-processed-gene-2.116-mRNA-1_1&gene=genemark-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-2.116&CDS=1-1929	YJR045C
OG0000928	-processed-gene-2.41-mRNA-1_1&gene=augustus_masked-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-2.41&CDS=1-5175	YEL031W
OG0000929	-processed-gene-2.100-mRNA-1_1&gene=genemark-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-2.100&CDS=1-1035	YGL159W
OG0000930	-processed-gene-2.118-mRNA-1_1&gene=genemark-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-2.118&CDS=1-1032	YMR281W
OG0000931	-processed-gene-2.83-mRNA-1_1&gene=snap_masked-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-2.83&CDS=1-3891	YAL001C
OG0000932	-processed-gene-2.62-mRNA-1_1&gene=snap_masked-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-2.62&CDS=1-2085	YOL115W
OG0000933	-processed-gene-3.77-mRNA-1_1&gene=augustus_masked-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-3.77&CDS=1-5142	YMR224C
OG0000934	-processed-gene-3.8-mRNA-1_1&gene=genemark-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-3.8&CDS=1-1494	YER006W
OG0000935	-processed-gene-3.9-mRNA-1_1&gene=genemark-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-3.9&CDS=1-2226	YER005W
OG0000936	-processed-gene-3.80-mRNA-1_1&gene=augustus_masked-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-3.80&CDS=1-3192	YIR002C
OG0000937	-processed-gene-3.11-mRNA-1_1&gene=genemark-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-3.11&CDS=1-4476	YER008C
OG0000938	-processed-gene-3.93-mRNA-1_1&gene=augustus_masked-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-3.93&CDS=1-420	YER116C
OG0000939	-processed-gene-3.96-mRNA-1_1&gene=augustus_masked-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-3.96&CDS=1-1389	YER020W
OG0000940	-processed-gene-3.97-mRNA-1_1&gene=augustus_masked-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-3.97&CDS=1-3420	YJR109C
OG0000941	-processed-gene-3.14-mRNA-1_1&gene=genemark-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-3.14&CDS=1-2433	YOR168W
OG0000942	-processed-gene-3.85-mRNA-1_1&gene=augustus_masked-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-3.85&CDS=1-1662	YLR276C
OG0000943	-processed-gene-3.87-mRNA-1_1&gene=augustus_masked-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-3.87&CDS=1-5133	YPL167C
OG0000944	-processed-gene-3.66-mRNA-1_1&gene=snap_masked-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-3.66&CDS=1-4173	YGL003C
OG0000945	-processed-gene-3.17-mRNA-1_1&gene=genemark-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-3.17&CDS=1-1599	YOR250C
OG0000946	-processed-gene-3.32-mRNA-1_1&gene=genemark-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-3.32&CDS=1-639	YJL004C
OG0000947	-processed-gene-3.34-mRNA-1_1&gene=genemark-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-3.34&CDS=1-2706	YLR382C
OG0000948	-snap-gene-3.74-mRNA-1_1&gene=maker-gi|1002316217|dbj|BCGL01000007.1|-snap-gene-3.74&CDS=1-3015	YLR383W
OG0000949	-augustus-gene-3.1-mRNA-1_1&gene=maker-gi|1002316217|dbj|BCGL01000007.1|-augustus-gene-3.1&CDS=1-3624	YLR380W
OG0000950	-processed-gene-3.19-mRNA-1_1&gene=genemark-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-3.19&CDS=1-1398	YOL137W
OG0000951	-processed-gene-3.20-mRNA-1_1&gene=genemark-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-3.20&CDS=1-1782	YMR250W
OG0000952	-processed-gene-3.107-mRNA-1_1&gene=augustus_masked-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-3.107&CDS=1-1020	YGL212W
OG0000953	-processed-gene-3.21-mRNA-1_1&gene=genemark-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-3.21&CDS=1-1218	YGL213C
OG0000954	-processed-gene-4.97-mRNA-1_1&gene=augustus_masked-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-4.97&CDS=1-279	YGL220W
OG0000955	-processed-gene-4.2-mRNA-1_1&gene=genemark-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-4.2&CDS=1-2070	YJL034W
OG0000956	-processed-gene-4.123-mRNA-1_1&gene=augustus_masked-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-4.123&CDS=1-1263	YHR016C
OG0000957	-processed-gene-4.30-mRNA-1_1&gene=genemark-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-4.30&CDS=1-2355	YFR029W
OG0000958	-processed-gene-4.10-mRNA-1_1&gene=genemark-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-4.10&CDS=1-1806	YEL015W
OG0000959	-processed-gene-4.31-mRNA-1_1&gene=genemark-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-4.31&CDS=1-582	YGR081C
OG0000960	-processed-gene-4.13-mRNA-1_1&gene=genemark-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-4.13&CDS=1-501	YGR082W
OG0000961	-processed-gene-4.32-mRNA-1_1&gene=genemark-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-4.32&CDS=1-3129	YPR097W
OG0000962	-processed-gene-4.14-mRNA-1_1&gene=genemark-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-4.14&CDS=1-2952	YPR095C
OG0000963	-processed-gene-4.33-mRNA-1_1&gene=genemark-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-4.33&CDS=1-1656	YNL275W
OG0000964	-processed-gene-4.15-mRNA-1_1&gene=genemark-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-4.15&CDS=1-1173	YOR201C
OG0000965	-processed-gene-4.80-mRNA-1_1&gene=snap_masked-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-4.80&CDS=1-1125	YPL118W
OG0000966	-processed-gene-4.16-mRNA-1_1&gene=genemark-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-4.16&CDS=1-2931	YHR102W
OG0000967	-processed-gene-4.64-mRNA-1_1&gene=snap_masked-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-4.64&CDS=1-1122	YCR044C
OG0000968	-processed-gene-4.81-mRNA-1_1&gene=snap_masked-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-4.81&CDS=1-711	YJL011C
OG0000969	-processed-gene-4.36-mRNA-1_1&gene=genemark-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-4.36&CDS=1-1737	YNR055C
OG0000970	-processed-gene-4.37-mRNA-1_1&gene=genemark-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-4.37&CDS=1-5793	YPL082C
OG0000971	-processed-gene-4.20-mRNA-1_1&gene=genemark-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-4.20&CDS=1-1812	YBR288C
OG0000972	-processed-gene-4.38-mRNA-1_1&gene=genemark-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-4.38&CDS=1-672	YOR131C
OG0000973	-processed-gene-4.21-mRNA-1_1&gene=genemark-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-4.21&CDS=1-1686	YOR132W
OG0000974	-processed-gene-4.23-mRNA-1_1&gene=genemark-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-4.23&CDS=1-624	YBL107C
OG0000975	-processed-gene-4.40-mRNA-1_1&gene=genemark-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-4.40&CDS=1-1437	YJR078W
OG0000976	-processed-gene-4.24-mRNA-1_1&gene=genemark-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-4.24&CDS=1-2445	YLL008W
OG0000977	-processed-gene-4.47-mRNA-1_1&gene=genemark-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-4.47&CDS=1-486	YDL110C
OG0000978	-processed-gene-4.26-mRNA-1_1&gene=genemark-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-4.26&CDS=1-1263	YGL143C
OG0000979	-processed-gene-4.27-mRNA-1_1&gene=genemark-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-4.27&CDS=1-1287	YDL097C
OG0000980	-processed-gene-5.75-mRNA-1_1&gene=augustus_masked-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-5.75&CDS=1-2526	YDL116W
OG0000981	-processed-gene-5.0-mRNA-1_1&gene=genemark-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-5.0&CDS=1-1998	YNL169C
OG0000982	-processed-gene-5.2-mRNA-1_1&gene=genemark-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-5.2&CDS=1-4803	YNL172W
OG0000983	-processed-gene-5.77-mRNA-1_1&gene=augustus_masked-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-5.77&CDS=1-1023	YFL034C-B
OG0000984	-processed-gene-5.19-mRNA-1_1&gene=genemark-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-5.19&CDS=1-4020	YFL036W
OG0000985	-processed-gene-5.4-mRNA-1_1&gene=genemark-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-5.4&CDS=1-1893	YLR330W
OG0000986	-processed-gene-5.20-mRNA-1_1&gene=genemark-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-5.20&CDS=1-387	YGR020C
OG0000987	-processed-gene-5.5-mRNA-1_1&gene=genemark-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-5.5&CDS=1-846	YGR021W
OG0000988	-processed-gene-5.21-mRNA-1_1&gene=genemark-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-5.21&CDS=1-219	YPR010C-A
OG0000989	-processed-gene-5.6-mRNA-1_1&gene=genemark-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-5.6&CDS=1-3015	YGR178C
OG0000990	-processed-gene-5.81-mRNA-1_1&gene=augustus_masked-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-5.81&CDS=1-1467	YPL262W
OG0000991	-processed-gene-5.8-mRNA-1_1&gene=genemark-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-5.8&CDS=1-3540	YBL022C
OG0000992	-processed-gene-5.9-mRNA-1_1&gene=genemark-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-5.9&CDS=1-774	YMR234W
OG0000993	-processed-gene-5.23-mRNA-1_1&gene=genemark-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-5.23&CDS=1-1320	YER152C
OG0000994	-processed-gene-5.86-mRNA-1_1&gene=augustus_masked-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-5.86&CDS=1-3243	YJL050W
OG0000995	-processed-gene-5.13-mRNA-1_1&gene=genemark-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-5.13&CDS=1-1194	YER154W
OG0000996	-processed-gene-5.15-mRNA-1_1&gene=genemark-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-5.15&CDS=1-1908	YER151C
OG0000997	-processed-gene-5.18-mRNA-1_1&gene=genemark-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-5.18&CDS=1-789	YGL123W
OG0000998	-processed-gene-5.109-mRNA-1_1&gene=augustus_masked-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-5.109&CDS=1-6162	YGL119W
OG0000999	-processed-gene-6.50-mRNA-1_1&gene=genemark-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-6.50&CDS=1-1155	YBR221C
OG0001000	-processed-gene-6.4-mRNA-1_1&gene=augustus_masked-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-6.4&CDS=1-2202	YER068W
OG0001001	-processed-gene-6.49-mRNA-1_1&gene=genemark-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-6.49&CDS=1-3237	YGL241W
OG0001002	-processed-gene-6.67-mRNA-1_1&gene=genemark-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-6.67&CDS=1-1617	YGL244W
OG0001003	-processed-gene-6.52-mRNA-1_1&gene=genemark-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-6.52&CDS=1-2118	YFR048W
OG0001004	-processed-gene-6.68-mRNA-1_1&gene=genemark-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-6.68&CDS=1-2181	YGL245W
OG0001005	-processed-gene-6.53-mRNA-1_1&gene=genemark-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-6.53&CDS=1-1194	YGL246C
OG0001006	-processed-gene-6.114-mRNA-1_1&gene=snap_masked-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-6.114&CDS=1-1320	YGL247W
OG0001007	-processed-gene-6.55-mRNA-1_1&gene=genemark-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-6.55&CDS=1-1671	YNR052C
OG0001008	-snap-gene-6.42-mRNA-1_1&gene=maker-gi|1002316217|dbj|BCGL01000007.1|-snap-gene-6.42&CDS=1-1134	YNR051C
OG0001009	-processed-gene-6.70-mRNA-1_1&gene=genemark-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-6.70&CDS=1-699	YDR177W
OG0001010	-processed-gene-6.71-mRNA-1_1&gene=genemark-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-6.71&CDS=1-1209	YCR094W
OG0001011	-augustus-gene-6.91-mRNA-1_1&gene=maker-gi|1002316217|dbj|BCGL01000007.1|-augustus-gene-6.91&CDS=1-6828	YCR093W
OG0001012	-processed-gene-6.75-mRNA-1_1&gene=genemark-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-6.75&CDS=1-930	YDR075W
OG0001013	-processed-gene-6.76-mRNA-1_1&gene=genemark-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-6.76&CDS=1-669	YGR268C
OG0001014	-processed-gene-6.30-mRNA-1_1&gene=augustus_masked-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-6.30&CDS=1-1644	YPL003W
OG0001015	-processed-gene-6.79-mRNA-1_1&gene=genemark-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-6.79&CDS=1-2178	YHR072W
OG0001016	-processed-gene-6.83-mRNA-1_1&gene=genemark-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-6.83&CDS=1-1023	YNL274C
OG0001017	-processed-gene-6.105-mRNA-1_1&gene=snap_masked-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-6.105&CDS=1-1203	YJL131C
OG0001018	-processed-gene-6.129-mRNA-1_1&gene=snap_masked-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-6.129&CDS=1-447	YCL033C
OG0001019	-processed-gene-6.62-mRNA-1_1&gene=genemark-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-6.62&CDS=1-474	YDR512C
OG0001020	-processed-gene-6.108-mRNA-1_1&gene=snap_masked-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-6.108&CDS=1-3159	YJL157C
OG0001021	-processed-gene-6.86-mRNA-1_1&gene=genemark-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-6.86&CDS=1-951	YML004C
OG0001022	-processed-gene-6.87-mRNA-1_1&gene=genemark-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-6.87&CDS=1-1329	YCL034W
OG0001023	-processed-gene-6.65-mRNA-1_1&gene=genemark-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-6.65&CDS=1-2916	YJL204C
OG0001024	-processed-gene-6.66-mRNA-1_1&gene=genemark-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-6.66&CDS=1-1368	YNL239W
OG0001025	-processed-gene-7.41-mRNA-1_1&gene=genemark-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-7.41&CDS=1-2676	YDR034C
OG0001026	-processed-gene-7.43-mRNA-1_1&gene=genemark-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-7.43&CDS=1-186	YJL205C
OG0001027	-processed-gene-7.63-mRNA-1_1&gene=genemark-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-7.63&CDS=1-1494	YKL116C
OG0001028	-processed-gene-7.44-mRNA-1_1&gene=genemark-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-7.44&CDS=1-3066	YLR071C
OG0001029	-processed-gene-7.45-mRNA-1_1&gene=genemark-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-7.45&CDS=1-3510	YFR031C
OG0001030	-processed-gene-7.47-mRNA-1_1&gene=genemark-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-7.47&CDS=1-915	YMR244W
OG0001031	-processed-gene-7.48-mRNA-1_1&gene=genemark-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-7.48&CDS=1-1464	YMR243C
OG0001032	-processed-gene-7.107-mRNA-1_1&gene=augustus_masked-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-7.107&CDS=1-1632	YOR315W
OG0001033	-processed-gene-7.50-mRNA-1_1&gene=genemark-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-7.50&CDS=1-891	YOR313C
OG0001034	-processed-gene-7.69-mRNA-1_1&gene=genemark-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-7.69&CDS=1-1059	YOR292C
OG0001035	-processed-gene-7.110-mRNA-1_1&gene=augustus_masked-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-7.110&CDS=1-1059	YLR363C
OG0001036	-processed-gene-7.111-mRNA-1_1&gene=augustus_masked-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-7.111&CDS=1-1089	YMR228W
