	Lachancea_kluyveri	Saccharomyces_cerevisiae
OG0000280	augustus_masked-SAKL0H-processed-gene-18.123-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-18.123&CDS=1-447	YGL031C, YGR148C
OG0000281	augustus_masked-SAKL0H-processed-gene-19.26-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-19.26&CDS=1-657	YAR002C-A, YGL002W
OG0000282	augustus_masked-SAKL0H-processed-gene-20.18-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-20.18&CDS=1-258	YGR008C, YLR327C
OG0000283	augustus_masked-SAKL0H-processed-gene-20.27-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-20.27&CDS=1-3009	YGL049C, YGR162W
OG0000284	augustus_masked-SAKL0H-processed-gene-21.103-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-21.103&CDS=1-357	YER131W, YGL189C
OG0000285	augustus_masked-SAKL0H-processed-gene-22.16-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-22.16&CDS=1-768	YHL033C, YLL045C
OG0000286	augustus_masked-SAKL0A-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-0.20&CDS=1-729	YKL070W
OG0000287	augustus_masked-SAKL0A-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-0.8&CDS=1-966	YNR054C
OG0000288	maker-SAKL0A-augustus-gene-0.3-mRNA-1_1&gene=maker-SAKL0A-augustus-gene-0.3&CDS=1-1533	YNR053C
OG0000289	augustus_masked-SAKL0A-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-0.10&CDS=1-1293	YNR052C
OG0000290	genemark-SAKL0A-processed-gene-0.54-mRNA-1_1&gene=genemark-SAKL0A-processed-gene-0.54&CDS=1-552	YNR049C
OG0000291	augustus_masked-SAKL0A-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-0.22&CDS=1-1338	YNR050C
OG0000292	maker-SAKL0A-augustus-gene-0.4-mRNA-1_1&gene=maker-SAKL0A-augustus-gene-0.4&CDS=1-999	YCR095C
OG0000293	snap_masked-SAKL0A-processed-gene-0.93-mRNA-1_1&gene=snap_masked-SAKL0A-processed-gene-0.93&CDS=1-1470	YNR051C
OG0000294	augustus_masked-SAKL0A-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-0.11&CDS=1-1656	YLL055W
OG0000295	augustus_masked-SAKL0A-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-0.25&CDS=1-645	YDR177W
OG0000296	augustus_masked-SAKL0A-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-0.26&CDS=1-7578	YCR093W
OG0000297	augustus_masked-SAKL0A-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-0.12&CDS=1-3180	YCR092C
OG0000298	augustus_masked-SAKL0A-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-0.27&CDS=1-2604	YNR047W
OG0000299	augustus_masked-SAKL0A-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-0.28&CDS=1-399	YNR046W
OG0000300	augustus_masked-SAKL0A-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-0.29&CDS=1-1023	YNR045W
OG0000301	snap_masked-SAKL0A-processed-gene-0.81-mRNA-1_1&gene=snap_masked-SAKL0A-processed-gene-0.81&CDS=1-558	YCR090C
OG0000302	augustus_masked-SAKL0A-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-0.31&CDS=1-1908	YCR088W
OG0000303	augustus_masked-SAKL0A-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-0.14&CDS=1-465	YCR087C-A
OG0000304	augustus_masked-SAKL0A-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-0.32&CDS=1-534	YCR086W
OG0000305	augustus_masked-SAKL0A-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-0.15&CDS=1-1980	YCR084C
OG0000306	maker-SAKL0A-augustus-gene-0.6-mRNA-1_1&gene=maker-SAKL0A-augustus-gene-0.6&CDS=1-1191	YNR043W
OG0000307	augustus_masked-SAKL0A-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-0.17&CDS=1-1101	YNR041C
OG0000308	augustus_masked-SAKL0A-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-0.36&CDS=1-825	YNR040W
OG0000309	augustus_masked-SAKL0A-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-0.38&CDS=1-381	YCR082W
OG0000310	augustus_masked-SAKL0A-processed-gene-1.4-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-1.4&CDS=1-1728	YNR039C
OG0000311	augustus_masked-SAKL0A-processed-gene-1.6-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-1.6&CDS=1-1917	YNR038W
OG0000312	augustus_masked-SAKL0A-processed-gene-1.7-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-1.7&CDS=1-273	YNR037C
OG0000313	augustus_masked-SAKL0A-processed-gene-1.30-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-1.30&CDS=1-1479	YCR079W
OG0000314	augustus_masked-SAKL0A-processed-gene-1.8-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-1.8&CDS=1-489	YNR036C
OG0000315	augustus_masked-SAKL0A-processed-gene-1.9-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-1.9&CDS=1-957	YNR035C
OG0000316	augustus_masked-SAKL0A-processed-gene-1.10-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-1.10&CDS=1-2553	YCR077C
OG0000317	augustus_masked-SAKL0A-processed-gene-1.11-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-1.11&CDS=1-921	YCR076C
OG0000318	augustus_masked-SAKL0A-processed-gene-1.31-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-1.31&CDS=1-252	YCR075W-A
OG0000319	augustus_masked-SAKL0A-processed-gene-1.13-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-1.13&CDS=1-753	YCR075C
OG0000320	augustus_masked-SAKL0A-processed-gene-1.33-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-1.33&CDS=1-945	YNR034W
OG0000321	augustus_masked-SAKL0A-processed-gene-1.34-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-1.34&CDS=1-2262	YNR033W
OG0000322	augustus_masked-SAKL0A-processed-gene-1.14-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-1.14&CDS=1-219	YNR032C-A
OG0000323	augustus_masked-SAKL0A-processed-gene-1.35-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-1.35&CDS=1-1038	YNR032W
OG0000324	augustus_masked-SAKL0A-processed-gene-1.15-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-1.15&CDS=1-4674	YNR031C
OG0000325	maker-SAKL0A-augustus-gene-1.1-mRNA-1_1&gene=maker-SAKL0A-augustus-gene-1.1&CDS=1-1950	YCR072C
OG0000326	augustus_masked-SAKL0A-processed-gene-1.36-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-1.36&CDS=1-1629	YNR030W
OG0000327	augustus_masked-SAKL0A-processed-gene-1.17-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-1.17&CDS=1-1224	YNR029C
OG0000328	augustus_masked-SAKL0A-processed-gene-1.37-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-1.37&CDS=1-930	YCR069W
OG0000329	augustus_masked-SAKL0A-processed-gene-1.38-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-1.38&CDS=1-1614	YCR068W
OG0000330	augustus_masked-SAKL0A-processed-gene-1.39-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-1.39&CDS=1-906	YNR027W
OG0000331	augustus_masked-SAKL0A-processed-gene-1.19-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-1.19&CDS=1-2970	YNR026C
OG0000332	augustus_masked-SAKL0A-processed-gene-1.40-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-1.40&CDS=1-1404	YCR066W
OG0000333	snap_masked-SAKL0A-processed-gene-1.138-mRNA-1_1&gene=snap_masked-SAKL0A-processed-gene-1.138&CDS=1-2160	YCR065W
OG0000334	snap_masked-SAKL0A-processed-gene-1.139-mRNA-1_1&gene=snap_masked-SAKL0A-processed-gene-1.139&CDS=1-1875	YCR061W
OG0000335	augustus_masked-SAKL0A-processed-gene-1.42-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-1.42&CDS=1-384	YCR060W
OG0000336	augustus_masked-SAKL0A-processed-gene-1.21-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-1.21&CDS=1-816	YCR059C
OG0000337	augustus_masked-SAKL0A-processed-gene-1.43-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-1.43&CDS=1-501	YNR024W
OG0000338	augustus_masked-SAKL0A-processed-gene-1.22-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-1.22&CDS=1-2727	YCR057C
OG0000339	augustus_masked-SAKL0A-processed-gene-1.23-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-1.23&CDS=1-1620	YCR054C
OG0000340	augustus_masked-SAKL0A-processed-gene-1.44-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-1.44&CDS=1-1530	YCR053W
OG0000341	snap_masked-SAKL0A-processed-gene-1.143-mRNA-1_1&gene=snap_masked-SAKL0A-processed-gene-1.143&CDS=1-1419	YNR023W
OG0000342	augustus_masked-SAKL0A-processed-gene-1.24-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-1.24&CDS=1-402	YNR022C
OG0000343	maker-SAKL0A-augustus-gene-1.2-mRNA-1_1&gene=maker-SAKL0A-augustus-gene-1.2&CDS=1-1812	YNR021W
OG0000344	augustus_masked-SAKL0A-processed-gene-1.25-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-1.25&CDS=1-738	YNR020C
OG0000345	augustus_masked-SAKL0A-processed-gene-1.48-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-1.48&CDS=1-1752	YNR019W
OG0000346	augustus_masked-SAKL0A-processed-gene-1.26-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-1.26&CDS=1-804	YCR047C
OG0000347	augustus_masked-SAKL0A-processed-gene-1.27-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-1.27&CDS=1-516	YCR046C
OG0000348	augustus_masked-SAKL0A-processed-gene-1.49-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-1.49&CDS=1-666	YNR018W
OG0000349	augustus_masked-SAKL0A-processed-gene-1.28-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-1.28&CDS=1-1437	YCR045C
OG0000350	augustus_masked-SAKL0A-processed-gene-1.50-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-1.50&CDS=1-663	YNR017W
OG0000351	augustus_masked-SAKL0A-processed-gene-1.29-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-1.29&CDS=1-6693	YNR016C
OG0000352	augustus_masked-SAKL0A-processed-gene-1.51-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-1.51&CDS=1-1191	YNR015W
OG0000353	snap_masked-SAKL0A-processed-gene-2.99-mRNA-1_1&gene=snap_masked-SAKL0A-processed-gene-2.99&CDS=1-855	YMR206W
OG0000354	augustus_masked-SAKL0A-processed-gene-2.8-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-2.8&CDS=1-2511	YNR013C
OG0000355	augustus_masked-SAKL0A-processed-gene-2.10-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-2.10&CDS=1-1524	YNR012W
OG0000356	augustus_masked-SAKL0A-processed-gene-2.11-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-2.11&CDS=1-2673	YNR011C
OG0000357	augustus_masked-SAKL0A-processed-gene-2.12-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-2.12&CDS=1-966	YML004C
OG0000358	augustus_masked-SAKL0A-processed-gene-2.14-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-2.14&CDS=1-1236	YMR204C
OG0000359	augustus_masked-SAKL0A-processed-gene-2.27-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-2.27&CDS=1-1167	YMR203W
OG0000360	augustus_masked-SAKL0A-processed-gene-2.28-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-2.28&CDS=1-360	YNR010W
OG0000361	augustus_masked-SAKL0A-processed-gene-2.29-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-2.29&CDS=1-666	YMR202W
OG0000362	snap_masked-SAKL0A-processed-gene-2.123-mRNA-1_1&gene=snap_masked-SAKL0A-processed-gene-2.123&CDS=1-615	YNR009W
OG0000363	augustus_masked-SAKL0A-processed-gene-2.31-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-2.31&CDS=1-1893	YNR008W
OG0000364	augustus_masked-SAKL0A-processed-gene-2.15-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-2.15&CDS=1-1863	YMR201C
OG0000365	augustus_masked-SAKL0A-processed-gene-2.32-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-2.32&CDS=1-1848	YNR006W
OG0000366	augustus_masked-SAKL0A-processed-gene-2.33-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-2.33&CDS=1-756	YMR200W
OG0000367	augustus_masked-SAKL0A-processed-gene-2.16-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-2.16&CDS=1-1173	YPL255W
OG0000368	augustus_masked-SAKL0A-processed-gene-2.17-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-2.17&CDS=1-1332	YPL254W
OG0000369	augustus_masked-SAKL0A-processed-gene-2.36-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-2.36&CDS=1-1845	YPL253C
OG0000370	augustus_masked-SAKL0A-processed-gene-2.37-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-2.37&CDS=1-486	YPL252C
OG0000371	augustus_masked-SAKL0A-processed-gene-2.18-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-2.18&CDS=1-654	YMR197C
OG0000372	snap_masked-SAKL0A-processed-gene-2.131-mRNA-1_1&gene=snap_masked-SAKL0A-processed-gene-2.131&CDS=1-3264	YMR196W
OG0000373	snap_masked-SAKL0A-processed-gene-2.132-mRNA-1_1&gene=snap_masked-SAKL0A-processed-gene-2.132&CDS=1-366	YPL250C
OG0000374	augustus_masked-SAKL0A-processed-gene-2.19-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-2.19&CDS=1-228	YMR194C-B
OG0000375	maker-SAKL0A-snap-gene-2.4-mRNA-1_1&gene=maker-SAKL0A-snap-gene-2.4&CDS=1-1080	YMR193W
OG0000376	augustus_masked-SAKL0A-processed-gene-2.41-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-2.41&CDS=1-2613	YPL249C
OG0000377	snap_masked-SAKL0A-processed-gene-2.137-mRNA-1_1&gene=snap_masked-SAKL0A-processed-gene-2.137&CDS=1-1095	YMR191W
OG0000378	augustus_masked-SAKL0A-processed-gene-2.43-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-2.43&CDS=1-2235	YPL248C
OG0000379	augustus_masked-SAKL0A-processed-gene-2.21-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-2.21&CDS=1-4224	YMR190C
OG0000380	augustus_masked-SAKL0A-processed-gene-2.45-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-2.45&CDS=1-1716	YAL067C
OG0000381	augustus_masked-SAKL0A-processed-gene-2.46-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-2.46&CDS=1-4254	YMR189W
OG0000382	augustus_masked-SAKL0A-processed-gene-2.22-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-2.22&CDS=1-693	YMR188C
OG0000383	augustus_masked-SAKL0A-processed-gene-2.47-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-2.47&CDS=1-798	YPL246C
OG0000384	augustus_masked-SAKL0A-processed-gene-2.23-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-2.23&CDS=1-1341	YPL245W
OG0000385	augustus_masked-SAKL0A-processed-gene-2.48-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-2.48&CDS=1-966	YIL164C
OG0000386	augustus_masked-SAKL0A-processed-gene-2.49-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-2.49&CDS=1-1011	YPL244C
OG0000387	snap_masked-SAKL0A-processed-gene-2.116-mRNA-1_1&gene=snap_masked-SAKL0A-processed-gene-2.116&CDS=1-1752	YPL243W
OG0000388	snap_masked-SAKL0A-processed-gene-2.117-mRNA-1_1&gene=snap_masked-SAKL0A-processed-gene-2.117&CDS=1-1284	YMR187C
OG0000389	augustus_masked-SAKL0A-processed-gene-3.2-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-3.2&CDS=1-4659	YPL242C
OG0000390	augustus_masked-SAKL0A-processed-gene-3.3-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-3.3&CDS=1-801	YPL241C
OG0000391	augustus_masked-SAKL0A-processed-gene-3.5-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-3.5&CDS=1-2943	YMR185W
OG0000392	maker-SAKL0A-augustus-gene-3.0-mRNA-1_1&gene=maker-SAKL0A-augustus-gene-3.0&CDS=1-1455	YPL237W
OG0000393	augustus_masked-SAKL0A-processed-gene-3.27-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-3.27&CDS=1-543	YMR184W
OG0000394	snap_masked-SAKL0A-processed-gene-3.113-mRNA-1_1&gene=snap_masked-SAKL0A-processed-gene-3.113&CDS=1-1092	YPL236C
OG0000395	augustus_masked-SAKL0A-processed-gene-3.8-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-3.8&CDS=1-1416	YPL235W
OG0000396	augustus_masked-SAKL0A-processed-gene-3.29-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-3.29&CDS=1-492	YPL234C
OG0000397	augustus_masked-SAKL0A-processed-gene-3.9-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-3.9&CDS=1-651	YPL233W
OG0000398	augustus_masked-SAKL0A-processed-gene-3.12-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-3.12&CDS=1-966	YMR182C
OG0000399	augustus_masked-SAKL0A-processed-gene-3.13-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-3.13&CDS=1-405	YMR181C
OG0000400	augustus_masked-SAKL0A-processed-gene-3.14-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-3.14&CDS=1-1521	YPL228W
OG0000401	augustus_masked-SAKL0A-processed-gene-3.30-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-3.30&CDS=1-1002	YPL227C
OG0000402	augustus_masked-SAKL0A-processed-gene-3.31-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-3.31&CDS=1-2136	YMR179W
OG0000403	augustus_masked-SAKL0A-processed-gene-3.15-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-3.15&CDS=1-3537	YPL226W
OG0000404	augustus_masked-SAKL0A-processed-gene-3.32-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-3.32&CDS=1-822	YMR178W
OG0000405	augustus_masked-SAKL0A-processed-gene-3.16-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-3.16&CDS=1-438	YPL225W
OG0000406	augustus_masked-SAKL0A-processed-gene-3.33-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-3.33&CDS=1-1533	YMR177W
OG0000407	augustus_masked-SAKL0A-processed-gene-3.34-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-3.34&CDS=1-4890	YMR176W
OG0000408	genemark-SAKL0A-processed-gene-3.78-mRNA-1_1&gene=genemark-SAKL0A-processed-gene-3.78&CDS=1-1971	YMR172W
OG0000409	genemark-SAKL0A-processed-gene-3.59-mRNA-1_1&gene=genemark-SAKL0A-processed-gene-3.59&CDS=1-2019	YPL222W
OG0000410	snap_masked-SAKL0A-processed-gene-3.103-mRNA-1_1&gene=snap_masked-SAKL0A-processed-gene-3.103&CDS=1-2397	YPL221W
OG0000411	augustus_masked-SAKL0A-processed-gene-3.38-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-3.38&CDS=1-1470	YGL138C
OG0000412	augustus_masked-SAKL0A-processed-gene-3.19-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-3.19&CDS=1-2634	YGL137W
OG0000413	augustus_masked-SAKL0A-processed-gene-3.39-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-3.39&CDS=1-945	YGL136C
OG0000414	augustus_masked-SAKL0A-processed-gene-3.21-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-3.21&CDS=1-1503	YPL219W
OG0000415	augustus_masked-SAKL0A-processed-gene-3.22-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-3.22&CDS=1-564	YPL218W
OG0000416	augustus_masked-SAKL0A-processed-gene-3.40-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-3.40&CDS=1-3495	YPL217C
OG0000417	augustus_masked-SAKL0A-processed-gene-3.23-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-3.23&CDS=1-3540	YGL133W
OG0000418	augustus_masked-SAKL0A-processed-gene-3.24-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-3.24&CDS=1-1104	YPL215W
OG0000419	augustus_masked-SAKL0A-processed-gene-3.41-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-3.41&CDS=1-1614	YPL214C
OG0000420	augustus_masked-SAKL0A-processed-gene-3.25-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-3.25&CDS=1-708	YPL213W
OG0000421	augustus_masked-SAKL0A-processed-gene-3.42-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-3.42&CDS=1-4833	YGL131C
OG0000422	augustus_masked-SAKL0A-processed-gene-3.26-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-3.26&CDS=1-1395	YGL130W
OG0000423	augustus_masked-SAKL0A-processed-gene-4.4-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-4.4&CDS=1-1323	YGL129C
OG0000424	maker-SAKL0A-augustus-gene-4.53-mRNA-1_1&gene=maker-SAKL0A-augustus-gene-4.53&CDS=1-1575	YPL212C
OG0000425	augustus_masked-SAKL0A-processed-gene-4.0-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-4.0&CDS=1-543	YPL211W
OG0000426	augustus_masked-SAKL0A-processed-gene-4.6-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-4.6&CDS=1-1863	YPL210C
OG0000427	snap_masked-SAKL0A-processed-gene-4.58-mRNA-1_1&gene=snap_masked-SAKL0A-processed-gene-4.58&CDS=1-1698	YGL064C
OG0000428	augustus_masked-SAKL0A-processed-gene-4.7-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-4.7&CDS=1-1200	YPL209C
OG0000429	augustus_masked-SAKL0A-processed-gene-4.2-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-4.2&CDS=1-1728	YPL208W
OG0000430	snap_masked-SAKL0A-processed-gene-4.60-mRNA-1_1&gene=snap_masked-SAKL0A-processed-gene-4.60&CDS=1-2250	YPL207W
OG0000431	augustus_masked-SAKL0A-processed-gene-4.8-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-4.8&CDS=1-1503	YGL065C
OG0000432	augustus_masked-SAKL0A-processed-gene-4.29-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-4.29&CDS=1-1533	YGL066W
OG0000433	augustus_masked-SAKL0A-processed-gene-4.30-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-4.30&CDS=1-966	YPL206C
OG0000434	augustus_masked-SAKL0A-processed-gene-4.32-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-4.32&CDS=1-1092	YGL067W
OG0000435	augustus_masked-SAKL0A-processed-gene-4.33-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-4.33&CDS=1-501	YGL068W
OG0000436	augustus_masked-SAKL0A-processed-gene-4.11-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-4.11&CDS=1-366	YGL070C
OG0000437	snap_masked-SAKL0A-processed-gene-4.90-mRNA-1_1&gene=snap_masked-SAKL0A-processed-gene-4.90&CDS=1-1881	YPL202C
OG0000438	snap_masked-SAKL0A-processed-gene-4.91-mRNA-1_1&gene=snap_masked-SAKL0A-processed-gene-4.91&CDS=1-1236	YPL201C
OG0000439	augustus_masked-SAKL0A-processed-gene-4.35-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-4.35&CDS=1-1671	YGL073W
OG0000440	augustus_masked-SAKL0A-processed-gene-4.13-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-4.13&CDS=1-1176	YGL075C
OG0000441	augustus_masked-SAKL0A-processed-gene-4.36-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-4.36&CDS=1-774	YPL199C
OG0000442	augustus_masked-SAKL0A-processed-gene-4.15-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-4.15&CDS=1-1623	YGL077C
OG0000443	augustus_masked-SAKL0A-processed-gene-4.16-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-4.16&CDS=1-1575	YGL078C
OG0000444	augustus_masked-SAKL0A-processed-gene-4.18-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-4.18&CDS=1-756	YPL196W
OG0000445	snap_masked-SAKL0A-processed-gene-4.94-mRNA-1_1&gene=snap_masked-SAKL0A-processed-gene-4.94&CDS=1-630	YGL079W
OG0000446	augustus_masked-SAKL0A-processed-gene-4.19-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-4.19&CDS=1-396	YGL080W
OG0000447	augustus_masked-SAKL0A-processed-gene-4.38-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-4.38&CDS=1-1785	YPL194W
OG0000448	augustus_masked-SAKL0A-processed-gene-4.39-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-4.39&CDS=1-2784	YPL195W
OG0000449	snap_masked-SAKL0A-processed-gene-4.77-mRNA-1_1&gene=snap_masked-SAKL0A-processed-gene-4.77&CDS=1-1098	YPL193W
OG0000450	snap_masked-SAKL0A-processed-gene-4.98-mRNA-1_1&gene=snap_masked-SAKL0A-processed-gene-4.98&CDS=1-1143	YGL081W
OG0000451	augustus_masked-SAKL0A-processed-gene-4.42-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-4.42&CDS=1-1107	YGL082W
OG0000452	augustus_masked-SAKL0A-processed-gene-4.44-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-4.44&CDS=1-2283	YPL190C
OG0000453	snap_masked-SAKL0A-processed-gene-4.102-mRNA-1_1&gene=snap_masked-SAKL0A-processed-gene-4.102&CDS=1-192	YPL189C-A
