	Saccharomyces_cerevisiae	yHMPu5000034990_Candida_corydali
OG0000558	YAL049C	snap_masked-flattened_line_1-processed-gene-5.51-mRNA-1_1&gene=snap_masked-flattened_line_1-processed-gene-5.51&CDS=1-726
OG0000559	YAL053W	snap_masked-flattened_line_3-processed-gene-7.46-mRNA-1_1&gene=snap_masked-flattened_line_3-processed-gene-7.46&CDS=1-2265
OG0000560	YAL054C	snap_masked-flattened_line_51-processed-gene-0.102-mRNA-1_1&gene=snap_masked-flattened_line_51-processed-gene-0.102&CDS=1-2004
OG0000561	YAL059W	genemark-flattened_line_23-processed-gene-0.5-mRNA-1_1&gene=genemark-flattened_line_23-processed-gene-0.5&CDS=1-564
OG0000562	YAL067C	maker-flattened_line_19-snap-gene-2.83-mRNA-1_1&gene=maker-flattened_line_19-snap-gene-2.83&CDS=1-3504
OG0000563	YAR002W	snap_masked-flattened_line_53-processed-gene-0.51-mRNA-1_1&gene=snap_masked-flattened_line_53-processed-gene-0.51&CDS=1-1086
OG0000564	YAR003W	snap_masked-flattened_line_11-processed-gene-1.53-mRNA-1_1&gene=snap_masked-flattened_line_11-processed-gene-1.53&CDS=1-1344
OG0000565	YAR007C	maker-flattened_line_7-augustus-gene-5.153-mRNA-1_1&gene=maker-flattened_line_7-augustus-gene-5.153&CDS=1-3042
OG0000566	YAR008W	snap_masked-flattened_line_17-processed-gene-2.60-mRNA-1_1&gene=snap_masked-flattened_line_17-processed-gene-2.60&CDS=1-753
OG0000567	YAR014C	snap_masked-flattened_line_5-processed-gene-3.88-mRNA-1_1&gene=snap_masked-flattened_line_5-processed-gene-3.88&CDS=1-1788
OG0000568	YAR015W	snap_masked-flattened_line_1-processed-gene-3.48-mRNA-1_1&gene=snap_masked-flattened_line_1-processed-gene-3.48&CDS=1-891
OG0000569	YAR018C	snap_masked-flattened_line_1-processed-gene-3.24-mRNA-1_1&gene=snap_masked-flattened_line_1-processed-gene-3.24&CDS=1-1302
OG0000570	YAR042W	snap_masked-flattened_line_5-processed-gene-5.65-mRNA-1_1&gene=snap_masked-flattened_line_5-processed-gene-5.65&CDS=1-3735
OG0000571	YBL001C	snap_masked-flattened_line_13-processed-gene-2.89-mRNA-1_1&gene=snap_masked-flattened_line_13-processed-gene-2.89&CDS=1-348
OG0000572	YBL004W	snap_masked-flattened_line_11-processed-gene-0.29-mRNA-1_1&gene=snap_masked-flattened_line_11-processed-gene-0.29&CDS=1-7302
OG0000573	YBL010C	snap_masked-flattened_line_7-processed-gene-3.8-mRNA-1_1&gene=snap_masked-flattened_line_7-processed-gene-3.8&CDS=1-795
OG0000574	YBL011W	augustus_masked-flattened_line_7-processed-gene-4.141-mRNA-1_1&gene=augustus_masked-flattened_line_7-processed-gene-4.141&CDS=1-2208
OG0000575	YBL013W	genemark-flattened_line_27-processed-gene-1.183-mRNA-1_1&gene=genemark-flattened_line_27-processed-gene-1.183&CDS=1-1062
OG0000576	YBL014C	snap_masked-flattened_line_27-processed-gene-1.284-mRNA-1_1&gene=snap_masked-flattened_line_27-processed-gene-1.284&CDS=1-2157
OG0000577	YBL015W	snap_masked-flattened_line_15-processed-gene-3.143-mRNA-1_1&gene=snap_masked-flattened_line_15-processed-gene-3.143&CDS=1-1575
OG0000578	YBL019W	genemark-flattened_line_5-processed-gene-4.5-mRNA-1_1&gene=genemark-flattened_line_5-processed-gene-4.5&CDS=1-1404
OG0000579	YBL020W	genemark-flattened_line_3-processed-gene-7.71-mRNA-1_1&gene=genemark-flattened_line_3-processed-gene-7.71&CDS=1-1659
OG0000580	YBL021C	snap_masked-flattened_line_3-processed-gene-7.11-mRNA-1_1&gene=snap_masked-flattened_line_3-processed-gene-7.11&CDS=1-762
OG0000581	YBL022C	snap_masked-flattened_line_3-processed-gene-6.105-mRNA-1_1&gene=snap_masked-flattened_line_3-processed-gene-6.105&CDS=1-3060
OG0000582	YBL023C	snap_masked-flattened_line_19-processed-gene-0.40-mRNA-1_1&gene=snap_masked-flattened_line_19-processed-gene-0.40&CDS=1-3471
OG0000583	YBL024W	maker-flattened_line_3-augustus-gene-7.1-mRNA-1_1&gene=maker-flattened_line_3-augustus-gene-7.1&CDS=1-3432
OG0000584	YBL025W	snap_masked-flattened_line_3-processed-gene-6.82-mRNA-1_1&gene=snap_masked-flattened_line_3-processed-gene-6.82&CDS=1-537
OG0000585	YBL026W	snap_masked-flattened_line_3-processed-gene-7.12-mRNA-1_1&gene=snap_masked-flattened_line_3-processed-gene-7.12&CDS=1-1524
OG0000586	YBL029C-A	maker-flattened_line_25-snap-gene-1.90-mRNA-1_1&gene=maker-flattened_line_25-snap-gene-1.90&CDS=1-315
OG0000587	YBL029W	snap_masked-flattened_line_5-processed-gene-0.56-mRNA-1_1&gene=snap_masked-flattened_line_5-processed-gene-0.56&CDS=1-1152
OG0000588	YBL032W	snap_masked-flattened_line_37-processed-gene-0.83-mRNA-1_1&gene=snap_masked-flattened_line_37-processed-gene-0.83&CDS=1-1110
OG0000589	YBL033C	snap_masked-flattened_line_3-processed-gene-3.84-mRNA-1_1&gene=snap_masked-flattened_line_3-processed-gene-3.84&CDS=1-1215
OG0000590	YBL034C	snap_masked-flattened_line_7-processed-gene-3.23-mRNA-1_1&gene=snap_masked-flattened_line_7-processed-gene-3.23&CDS=1-3681
OG0000591	YBL036C	snap_masked-flattened_line_7-processed-gene-2.99-mRNA-1_1&gene=snap_masked-flattened_line_7-processed-gene-2.99&CDS=1-711
OG0000592	YBL037W	snap_masked-flattened_line_7-processed-gene-2.128-mRNA-1_1&gene=snap_masked-flattened_line_7-processed-gene-2.128&CDS=1-2883
OG0000593	YBL039C	snap_masked-flattened_line_43-processed-gene-0.122-mRNA-1_1&gene=snap_masked-flattened_line_43-processed-gene-0.122&CDS=1-1719
OG0000594	YBL040C	snap_masked-flattened_line_1-processed-gene-4.19-mRNA-1_1&gene=snap_masked-flattened_line_1-processed-gene-4.19&CDS=1-639
OG0000595	YBL041W	snap_masked-flattened_line_1-processed-gene-4.42-mRNA-1_1&gene=snap_masked-flattened_line_1-processed-gene-4.42&CDS=1-729
OG0000596	YBL045C	snap_masked-flattened_line_43-processed-gene-0.131-mRNA-1_1&gene=snap_masked-flattened_line_43-processed-gene-0.131&CDS=1-1344
OG0000597	YBL047C	snap_masked-flattened_line_31-processed-gene-1.217-mRNA-1_1&gene=snap_masked-flattened_line_31-processed-gene-1.217&CDS=1-3798
OG0000598	YBL049W	snap_masked-flattened_line_1-processed-gene-3.3-mRNA-1_1&gene=snap_masked-flattened_line_1-processed-gene-3.3&CDS=1-756
OG0000599	YBL050W	snap_masked-flattened_line_3-processed-gene-3.77-mRNA-1_1&gene=snap_masked-flattened_line_3-processed-gene-3.77&CDS=1-879
OG0000600	YBL051C	snap_masked-flattened_line_3-processed-gene-0.95-mRNA-1_1&gene=snap_masked-flattened_line_3-processed-gene-0.95&CDS=1-1389
OG0000601	YBL052C	snap_masked-flattened_line_3-processed-gene-0.74-mRNA-1_1&gene=snap_masked-flattened_line_3-processed-gene-0.74&CDS=1-1650
OG0000602	YBL055C	genemark-flattened_line_3-processed-gene-0.138-mRNA-1_1&gene=genemark-flattened_line_3-processed-gene-0.138&CDS=1-927
OG0000603	YBL057C	maker-flattened_line_3-augustus-gene-0.50-mRNA-1_1&gene=maker-flattened_line_3-augustus-gene-0.50&CDS=1-990
OG0000604	YBL058W	genemark-flattened_line_3-processed-gene-0.103-mRNA-1_1&gene=genemark-flattened_line_3-processed-gene-0.103&CDS=1-984
OG0000605	YBL059C-A	snap_masked-flattened_line_9-processed-gene-1.6-mRNA-1_1&gene=snap_masked-flattened_line_9-processed-gene-1.6&CDS=1-291
OG0000606	YBL060W	snap_masked-flattened_line_9-processed-gene-1.21-mRNA-1_1&gene=snap_masked-flattened_line_9-processed-gene-1.21&CDS=1-2535
OG0000607	YBL061C	genemark-flattened_line_13-processed-gene-3.147-mRNA-1_1&gene=genemark-flattened_line_13-processed-gene-3.147&CDS=1-1914
OG0000608	YBL064C	snap_masked-flattened_line_11-processed-gene-4.108-mRNA-1_1&gene=snap_masked-flattened_line_11-processed-gene-4.108&CDS=1-666
OG0000609	YBL066C	augustus_masked-flattened_line_3-processed-gene-1.161-mRNA-1_1&gene=augustus_masked-flattened_line_3-processed-gene-1.161&CDS=1-2673
OG0000610	YBL071W-A	snap_masked-flattened_line_17-processed-gene-3.43-mRNA-1_1&gene=snap_masked-flattened_line_17-processed-gene-3.43&CDS=1-204
OG0000611	YBL076C	snap_masked-flattened_line_55-processed-gene-0.65-mRNA-1_1&gene=snap_masked-flattened_line_55-processed-gene-0.65&CDS=1-3252
OG0000612	YBL078C	maker-flattened_line_29-snap-gene-0.156-mRNA-1_1&gene=maker-flattened_line_29-snap-gene-0.156&CDS=1-405
OG0000613	YBL079W	snap_masked-flattened_line_29-processed-gene-1.85-mRNA-1_1&gene=snap_masked-flattened_line_29-processed-gene-1.85&CDS=1-4209
OG0000614	YBL082C	snap_masked-flattened_line_55-processed-gene-0.75-mRNA-1_1&gene=snap_masked-flattened_line_55-processed-gene-0.75&CDS=1-1353
OG0000615	YBL086C	snap_masked-flattened_line_11-processed-gene-4.96-mRNA-1_1&gene=snap_masked-flattened_line_11-processed-gene-4.96&CDS=1-1368
OG0000616	YBL088C	genemark-flattened_line_37-processed-gene-0.118-mRNA-1_1&gene=genemark-flattened_line_37-processed-gene-0.118&CDS=1-9081
OG0000617	YBL090W	snap_masked-flattened_line_3-processed-gene-6.60-mRNA-1_1&gene=snap_masked-flattened_line_3-processed-gene-6.60&CDS=1-528
OG0000618	YBL092W	augustus_masked-flattened_line_23-processed-gene-2.147-mRNA-1_1&gene=augustus_masked-flattened_line_23-processed-gene-2.147&CDS=1-402
OG0000619	YBL095W	snap_masked-flattened_line_7-processed-gene-2.136-mRNA-1_1&gene=snap_masked-flattened_line_7-processed-gene-2.136&CDS=1-675
OG0000620	YBL097W	augustus_masked-flattened_line_53-processed-gene-0.149-mRNA-1_1&gene=augustus_masked-flattened_line_53-processed-gene-0.149&CDS=1-2082
OG0000621	YBL102W	snap_masked-flattened_line_31-processed-gene-1.205-mRNA-1_1&gene=snap_masked-flattened_line_31-processed-gene-1.205&CDS=1-624
OG0000622	YBL103C	snap_masked-flattened_line_31-processed-gene-1.240-mRNA-1_1&gene=snap_masked-flattened_line_31-processed-gene-1.240&CDS=1-1551
OG0000623	YBL104C	snap_masked-flattened_line_9-processed-gene-5.153-mRNA-1_1&gene=snap_masked-flattened_line_9-processed-gene-5.153&CDS=1-4605
OG0000624	YBL107C	snap_masked-flattened_line_37-processed-gene-1.125-mRNA-1_1&gene=snap_masked-flattened_line_37-processed-gene-1.125&CDS=1-498
OG0000625	YBR002C	snap_masked-flattened_line_43-processed-gene-0.139-mRNA-1_1&gene=snap_masked-flattened_line_43-processed-gene-0.139&CDS=1-876
OG0000626	YBR003W	snap_masked-flattened_line_3-processed-gene-3.58-mRNA-1_1&gene=snap_masked-flattened_line_3-processed-gene-3.58&CDS=1-1422
OG0000627	YBR006W	snap_masked-flattened_line_13-processed-gene-0.63-mRNA-1_1&gene=snap_masked-flattened_line_13-processed-gene-0.63&CDS=1-1527
OG0000628	YBR007C	augustus_masked-flattened_line_5-processed-gene-6.179-mRNA-1_1&gene=augustus_masked-flattened_line_5-processed-gene-6.179&CDS=1-1281
OG0000629	YBR011C	snap_masked-flattened_line_39-processed-gene-0.14-mRNA-1_1&gene=snap_masked-flattened_line_39-processed-gene-0.14&CDS=1-861
OG0000630	YBR017C	snap_masked-flattened_line_5-processed-gene-3.87-mRNA-1_1&gene=snap_masked-flattened_line_5-processed-gene-3.87&CDS=1-2793
OG0000631	YBR018C	snap_masked-flattened_line_25-processed-gene-1.122-mRNA-1_1&gene=snap_masked-flattened_line_25-processed-gene-1.122&CDS=1-1140
OG0000632	YBR019C	genemark-flattened_line_25-processed-gene-1.236-mRNA-1_1&gene=genemark-flattened_line_25-processed-gene-1.236&CDS=1-2493
OG0000633	YBR023C	snap_masked-flattened_line_21-processed-gene-1.35-mRNA-1_1&gene=snap_masked-flattened_line_21-processed-gene-1.35&CDS=1-3588
OG0000634	YBR025C	snap_masked-flattened_line_29-processed-gene-1.158-mRNA-1_1&gene=snap_masked-flattened_line_29-processed-gene-1.158&CDS=1-1188
OG0000635	YBR028C	genemark-flattened_line_5-processed-gene-6.66-mRNA-1_1&gene=genemark-flattened_line_5-processed-gene-6.66&CDS=1-1278
OG0000636	YBR029C	snap_masked-flattened_line_15-processed-gene-1.33-mRNA-1_1&gene=snap_masked-flattened_line_15-processed-gene-1.33&CDS=1-1296
OG0000637	YBR030W	genemark-flattened_line_5-processed-gene-2.109-mRNA-1_1&gene=genemark-flattened_line_5-processed-gene-2.109&CDS=1-1722
OG0000638	YBR034C	augustus_masked-flattened_line_41-processed-gene-1.153-mRNA-1_1&gene=augustus_masked-flattened_line_41-processed-gene-1.153&CDS=1-1254
OG0000639	YBR035C	snap_masked-flattened_line_3-processed-gene-6.73-mRNA-1_1&gene=snap_masked-flattened_line_3-processed-gene-6.73&CDS=1-714
OG0000640	YBR037C	augustus_masked-flattened_line_33-processed-gene-1.55-mRNA-1_1&gene=augustus_masked-flattened_line_33-processed-gene-1.55&CDS=1-885
OG0000641	YBR038W	snap_masked-flattened_line_9-processed-gene-1.38-mRNA-1_1&gene=snap_masked-flattened_line_9-processed-gene-1.38&CDS=1-3135
OG0000642	YBR039W	maker-flattened_line_3-snap-gene-4.103-mRNA-1_1&gene=maker-flattened_line_3-snap-gene-4.103&CDS=1-1221
OG0000643	YBR046C	snap_masked-flattened_line_41-processed-gene-0.48-mRNA-1_1&gene=snap_masked-flattened_line_41-processed-gene-0.48&CDS=1-1008
OG0000644	YBR053C	snap_masked-flattened_line_23-processed-gene-1.106-mRNA-1_1&gene=snap_masked-flattened_line_23-processed-gene-1.106&CDS=1-969
OG0000645	YBR055C	snap_masked-flattened_line_5-processed-gene-1.66-mRNA-1_1&gene=snap_masked-flattened_line_5-processed-gene-1.66&CDS=1-2568
OG0000646	YBR056W	snap_masked-flattened_line_5-processed-gene-2.78-mRNA-1_1&gene=snap_masked-flattened_line_5-processed-gene-2.78&CDS=1-1479
OG0000647	YBR057C	maker-flattened_line_35-snap-gene-0.44-mRNA-1_1&gene=maker-flattened_line_35-snap-gene-0.44&CDS=1-642
OG0000648	YBR058C	snap_masked-flattened_line_7-processed-gene-6.59-mRNA-1_1&gene=snap_masked-flattened_line_7-processed-gene-6.59&CDS=1-2343
OG0000649	YBR060C	snap_masked-flattened_line_51-processed-gene-0.95-mRNA-1_1&gene=snap_masked-flattened_line_51-processed-gene-0.95&CDS=1-1659
OG0000650	YBR061C	snap_masked-flattened_line_45-processed-gene-0.194-mRNA-1_1&gene=snap_masked-flattened_line_45-processed-gene-0.194&CDS=1-846
OG0000651	YBR070C	genemark-flattened_line_51-processed-gene-0.4-mRNA-1_1&gene=genemark-flattened_line_51-processed-gene-0.4&CDS=1-4854
OG0000652	YBR073W	maker-flattened_line_51-snap-gene-0.164-mRNA-1_1&gene=maker-flattened_line_51-snap-gene-0.164&CDS=1-2217
OG0000653	YBR074W	snap_masked-flattened_line_51-processed-gene-0.126-mRNA-1_1&gene=snap_masked-flattened_line_51-processed-gene-0.126&CDS=1-2385
OG0000654	YBR079C	snap_masked-flattened_line_5-processed-gene-0.60-mRNA-1_1&gene=snap_masked-flattened_line_5-processed-gene-0.60&CDS=1-2673
OG0000655	YBR080C	snap_masked-flattened_line_5-processed-gene-0.55-mRNA-1_1&gene=snap_masked-flattened_line_5-processed-gene-0.55&CDS=1-2379
OG0000656	YBR081C	maker-flattened_line_33-augustus-gene-0.45-mRNA-1_1&gene=maker-flattened_line_33-augustus-gene-0.45&CDS=1-6558
OG0000657	YBR083W	snap_masked-flattened_line_9-processed-gene-5.151-mRNA-1_1&gene=snap_masked-flattened_line_9-processed-gene-5.151&CDS=1-1116
OG0000658	YBR084W	augustus_masked-flattened_line_3-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-flattened_line_3-processed-gene-0.25&CDS=1-2907
OG0000659	YBR085W	snap_masked-flattened_line_15-processed-gene-2.98-mRNA-1_1&gene=snap_masked-flattened_line_15-processed-gene-2.98&CDS=1-903
OG0000660	YBR086C	snap_masked-flattened_line_7-processed-gene-2.125-mRNA-1_1&gene=snap_masked-flattened_line_7-processed-gene-2.125&CDS=1-2595
OG0000661	YBR087W	augustus_masked-flattened_line_17-processed-gene-0.124-mRNA-1_1&gene=augustus_masked-flattened_line_17-processed-gene-0.124&CDS=1-3858
OG0000662	YBR088C	snap_masked-flattened_line_27-processed-gene-1.249-mRNA-1_1&gene=snap_masked-flattened_line_27-processed-gene-1.249&CDS=1-777
OG0000663	YBR094W	snap_masked-flattened_line_27-processed-gene-1.207-mRNA-1_1&gene=snap_masked-flattened_line_27-processed-gene-1.207&CDS=1-2001
OG0000664	YBR095C	snap_masked-flattened_line_27-processed-gene-1.205-mRNA-1_1&gene=snap_masked-flattened_line_27-processed-gene-1.205&CDS=1-993
OG0000665	YBR096W	snap_masked-flattened_line_7-processed-gene-0.23-mRNA-1_1&gene=snap_masked-flattened_line_7-processed-gene-0.23&CDS=1-708
OG0000666	YBR098W	snap_masked-flattened_line_1-processed-gene-1.54-mRNA-1_1&gene=snap_masked-flattened_line_1-processed-gene-1.54&CDS=1-1590
OG0000667	YBR101C	snap_masked-flattened_line_1-processed-gene-1.69-mRNA-1_1&gene=snap_masked-flattened_line_1-processed-gene-1.69&CDS=1-858
OG0000668	YBR106W	snap_masked-flattened_line_33-processed-gene-1.252-mRNA-1_1&gene=snap_masked-flattened_line_33-processed-gene-1.252&CDS=1-576
OG0000669	YBR109C	genemark-flattened_line_53-processed-gene-0.110-mRNA-1_1&gene=genemark-flattened_line_53-processed-gene-0.110&CDS=1-447
OG0000670	YBR110W	snap_masked-flattened_line_1-processed-gene-7.115-mRNA-1_1&gene=snap_masked-flattened_line_1-processed-gene-7.115&CDS=1-1281
OG0000671	YBR111C	snap_masked-flattened_line_13-processed-gene-3.72-mRNA-1_1&gene=snap_masked-flattened_line_13-processed-gene-3.72&CDS=1-636
OG0000672	YBR111W-A	maker-flattened_line_13-snap-gene-3.269-mRNA-1_1&gene=maker-flattened_line_13-snap-gene-3.269&CDS=1-885
OG0000673	YBR112C	snap_masked-flattened_line_13-processed-gene-3.39-mRNA-1_1&gene=snap_masked-flattened_line_13-processed-gene-3.39&CDS=1-2535
OG0000674	YBR114W	snap_masked-flattened_line_25-processed-gene-1.159-mRNA-1_1&gene=snap_masked-flattened_line_25-processed-gene-1.159&CDS=1-2460
OG0000675	YBR115C	snap_masked-flattened_line_25-processed-gene-1.158-mRNA-1_1&gene=snap_masked-flattened_line_25-processed-gene-1.158&CDS=1-4161
OG0000676	YBR117C	snap_masked-flattened_line_31-processed-gene-0.79-mRNA-1_1&gene=snap_masked-flattened_line_31-processed-gene-0.79&CDS=1-2034
OG0000677	YBR120C	snap_masked-flattened_line_39-processed-gene-1.130-mRNA-1_1&gene=snap_masked-flattened_line_39-processed-gene-1.130&CDS=1-336
OG0000678	YBR121C	maker-flattened_line_29-augustus-gene-1.184-mRNA-1_1&gene=maker-flattened_line_29-augustus-gene-1.184&CDS=1-3471
OG0000679	YBR122C	snap_masked-flattened_line_15-processed-gene-3.114-mRNA-1_1&gene=snap_masked-flattened_line_15-processed-gene-3.114&CDS=1-528
OG0000680	YBR123C	genemark-flattened_line_23-processed-gene-1.32-mRNA-1_1&gene=genemark-flattened_line_23-processed-gene-1.32&CDS=1-1986
OG0000681	YBR125C	genemark-flattened_line_3-processed-gene-2.97-mRNA-1_1&gene=genemark-flattened_line_3-processed-gene-2.97&CDS=1-1029
OG0000682	YBR126C	snap_masked-flattened_line_3-processed-gene-2.71-mRNA-1_1&gene=snap_masked-flattened_line_3-processed-gene-2.71&CDS=1-1419
OG0000683	YBR127C	snap_masked-flattened_line_47-processed-gene-0.127-mRNA-1_1&gene=snap_masked-flattened_line_47-processed-gene-0.127&CDS=1-1545
OG0000684	YBR131W	snap_masked-flattened_line_37-processed-gene-1.76-mRNA-1_1&gene=snap_masked-flattened_line_37-processed-gene-1.76&CDS=1-1704
OG0000685	YBR132C	snap_masked-flattened_line_23-processed-gene-1.103-mRNA-1_1&gene=snap_masked-flattened_line_23-processed-gene-1.103&CDS=1-1719
OG0000686	YBR133C	snap_masked-flattened_line_15-processed-gene-1.34-mRNA-1_1&gene=snap_masked-flattened_line_15-processed-gene-1.34&CDS=1-1359
OG0000687	YBR135W	snap_masked-flattened_line_15-processed-gene-1.10-mRNA-1_1&gene=snap_masked-flattened_line_15-processed-gene-1.10&CDS=1-306
OG0000688	YBR136W	snap_masked-flattened_line_15-processed-gene-1.11-mRNA-1_1&gene=snap_masked-flattened_line_15-processed-gene-1.11&CDS=1-6084
OG0000689	YBR137W	snap_masked-flattened_line_11-processed-gene-3.90-mRNA-1_1&gene=snap_masked-flattened_line_11-processed-gene-3.90&CDS=1-510
OG0000690	YBR141C	genemark-flattened_line_17-processed-gene-3.117-mRNA-1_1&gene=genemark-flattened_line_17-processed-gene-3.117&CDS=1-981
OG0000691	YBR142W	snap_masked-flattened_line_17-processed-gene-3.34-mRNA-1_1&gene=snap_masked-flattened_line_17-processed-gene-3.34&CDS=1-2439
OG0000692	YBR143C	snap_masked-flattened_line_17-processed-gene-3.52-mRNA-1_1&gene=snap_masked-flattened_line_17-processed-gene-3.52&CDS=1-1308
OG0000693	YBR146W	snap_masked-flattened_line_5-processed-gene-0.68-mRNA-1_1&gene=snap_masked-flattened_line_5-processed-gene-0.68&CDS=1-948
OG0000694	YBR149W	snap_masked-flattened_line_39-processed-gene-0.37-mRNA-1_1&gene=snap_masked-flattened_line_39-processed-gene-0.37&CDS=1-975
OG0000695	YBR151W	snap_masked-flattened_line_11-processed-gene-0.10-mRNA-1_1&gene=snap_masked-flattened_line_11-processed-gene-0.10&CDS=1-864
OG0000696	YBR153W	maker-flattened_line_5-augustus-gene-0.85-mRNA-1_1&gene=maker-flattened_line_5-augustus-gene-0.85&CDS=1-1029
OG0000697	YBR154C	snap_masked-flattened_line_5-processed-gene-0.83-mRNA-1_1&gene=snap_masked-flattened_line_5-processed-gene-0.83&CDS=1-642
OG0000698	YBR155W	genemark-flattened_line_9-processed-gene-4.65-mRNA-1_1&gene=genemark-flattened_line_9-processed-gene-4.65&CDS=1-1191
OG0000699	YBR158W	snap_masked-flattened_line_7-processed-gene-5.150-mRNA-1_1&gene=snap_masked-flattened_line_7-processed-gene-5.150&CDS=1-1608
OG0000700	YBR159W	snap_masked-flattened_line_3-processed-gene-5.126-mRNA-1_1&gene=snap_masked-flattened_line_3-processed-gene-5.126&CDS=1-1017
OG0000701	YBR160W	snap_masked-flattened_line_3-processed-gene-5.105-mRNA-1_1&gene=snap_masked-flattened_line_3-processed-gene-5.105&CDS=1-927
OG0000702	YBR162C	snap_masked-flattened_line_49-processed-gene-0.114-mRNA-1_1&gene=snap_masked-flattened_line_49-processed-gene-0.114&CDS=1-1323
OG0000703	YBR162W-A	snap_masked-flattened_line_9-processed-gene-4.115-mRNA-1_1&gene=snap_masked-flattened_line_9-processed-gene-4.115&CDS=1-207
OG0000704	YBR163W	genemark-flattened_line_19-processed-gene-2.192-mRNA-1_1&gene=genemark-flattened_line_19-processed-gene-2.192&CDS=1-1770
OG0000705	YBR164C	snap_masked-flattened_line_1-processed-gene-5.74-mRNA-1_1&gene=snap_masked-flattened_line_1-processed-gene-5.74&CDS=1-555
OG0000706	YBR166C	snap_masked-flattened_line_1-processed-gene-5.48-mRNA-1_1&gene=snap_masked-flattened_line_1-processed-gene-5.48&CDS=1-1326
OG0000707	YBR167C	genemark-flattened_line_27-processed-gene-1.128-mRNA-1_1&gene=genemark-flattened_line_27-processed-gene-1.128&CDS=1-363
OG0000708	YBR170C	snap_masked-flattened_line_29-processed-gene-0.54-mRNA-1_1&gene=snap_masked-flattened_line_29-processed-gene-0.54&CDS=1-1602
OG0000709	YBR171W	snap_masked-flattened_line_1-processed-gene-3.11-mRNA-1_1&gene=snap_masked-flattened_line_1-processed-gene-3.11&CDS=1-558
OG0000710	YBR173C	genemark-flattened_line_1-processed-gene-7.19-mRNA-1_1&gene=genemark-flattened_line_1-processed-gene-7.19&CDS=1-1569
OG0000711	YBR179C	snap_masked-flattened_line_23-processed-gene-0.102-mRNA-1_1&gene=snap_masked-flattened_line_23-processed-gene-0.102&CDS=1-2622
OG0000712	YBR180W	genemark-flattened_line_3-processed-gene-1.69-mRNA-1_1&gene=genemark-flattened_line_3-processed-gene-1.69&CDS=1-1293
OG0000713	YBR182C	snap_masked-flattened_line_23-processed-gene-1.119-mRNA-1_1&gene=snap_masked-flattened_line_23-processed-gene-1.119&CDS=1-2091
OG0000714	YBR185C	genemark-flattened_line_13-processed-gene-3.140-mRNA-1_1&gene=genemark-flattened_line_13-processed-gene-3.140&CDS=1-804
OG0000715	YBR187W	snap_masked-flattened_line_29-processed-gene-0.87-mRNA-1_1&gene=snap_masked-flattened_line_29-processed-gene-0.87&CDS=1-963
OG0000716	YBR192W	genemark-flattened_line_29-processed-gene-0.115-mRNA-1_1&gene=genemark-flattened_line_29-processed-gene-0.115&CDS=1-1137
OG0000717	YBR193C	snap_masked-flattened_line_29-processed-gene-0.65-mRNA-1_1&gene=snap_masked-flattened_line_29-processed-gene-0.65&CDS=1-669
OG0000718	YBR195C	genemark-flattened_line_29-processed-gene-0.126-mRNA-1_1&gene=genemark-flattened_line_29-processed-gene-0.126&CDS=1-1203
OG0000719	YBR196C	snap_masked-flattened_line_3-processed-gene-5.118-mRNA-1_1&gene=snap_masked-flattened_line_3-processed-gene-5.118&CDS=1-1653
OG0000720	YBR198C	snap_masked-flattened_line_3-processed-gene-6.76-mRNA-1_1&gene=snap_masked-flattened_line_3-processed-gene-6.76&CDS=1-2289
OG0000721	YBR200W	snap_masked-flattened_line_1-processed-gene-5.65-mRNA-1_1&gene=snap_masked-flattened_line_1-processed-gene-5.65&CDS=1-1725
OG0000722	YBR202W	snap_masked-flattened_line_45-processed-gene-0.205-mRNA-1_1&gene=snap_masked-flattened_line_45-processed-gene-0.205&CDS=1-2340
OG0000723	YBR203W	snap_masked-flattened_line_31-processed-gene-1.163-mRNA-1_1&gene=snap_masked-flattened_line_31-processed-gene-1.163&CDS=1-2262
OG0000724	YBR207W	snap_masked-flattened_line_17-processed-gene-3.29-mRNA-1_1&gene=snap_masked-flattened_line_17-processed-gene-3.29&CDS=1-1263
OG0000725	YBR208C	snap_masked-flattened_line_29-processed-gene-1.128-mRNA-1_1&gene=snap_masked-flattened_line_29-processed-gene-1.128&CDS=1-5427
OG0000726	YBR212W	genemark-flattened_line_13-processed-gene-3.163-mRNA-1_1&gene=genemark-flattened_line_13-processed-gene-3.163&CDS=1-1338
OG0000727	YBR213W	snap_masked-flattened_line_45-processed-gene-0.248-mRNA-1_1&gene=snap_masked-flattened_line_45-processed-gene-0.248&CDS=1-879
OG0000728	YBR215W	snap_masked-flattened_line_5-processed-gene-0.47-mRNA-1_1&gene=snap_masked-flattened_line_5-processed-gene-0.47&CDS=1-1128
OG0000729	YBR217W	snap_masked-flattened_line_5-processed-gene-0.48-mRNA-1_1&gene=snap_masked-flattened_line_5-processed-gene-0.48&CDS=1-357
OG0000730	YBR218C	augustus_masked-flattened_line_27-processed-gene-1.79-mRNA-1_1&gene=augustus_masked-flattened_line_27-processed-gene-1.79&CDS=1-4443
OG0000731	YBR220C	snap_masked-flattened_line_1-processed-gene-5.73-mRNA-1_1&gene=snap_masked-flattened_line_1-processed-gene-5.73&CDS=1-1623
