	Candida_infanticola	Saccharomyces_cerevisiae
OG0000223	augustus_masked-LWLF01000001.1-processed-gene-25.181-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-25.181&CDS=1-441	YNL302C, YOL121C
OG0000224	snap_masked-LWLF01000001.1-processed-gene-25.95-mRNA-1_1&gene=snap_masked-LWLF01000001.1-processed-gene-25.95&CDS=1-558	YNL301C, YOL120C
OG0000225	augustus_masked-LWLF01000001.1-processed-gene-25.164-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-25.164&CDS=1-1533, augustus_masked-LWLF01000022.1-processed-gene-12.108-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-12.108&CDS=1-1563	YGR260W
OG0000226	augustus_masked-LWLF01000001.1-processed-gene-26.4-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-26.4&CDS=1-810	YCR073W-A, YNR034W
OG0000227	augustus_masked-LWLF01000001.1-processed-gene-26.9-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-26.9&CDS=1-732	YDR098C, YER174C
OG0000228	maker-LWLF01000001.1-augustus-gene-26.196-mRNA-1_1&gene=maker-LWLF01000001.1-augustus-gene-26.196&CDS=1-1041	YHR141C, YNL162W
OG0000229	augustus_masked-LWLF01000001.1-processed-gene-26.16-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-26.16&CDS=1-1632	YCR048W, YNR019W
OG0000230	augustus_masked-LWLF01000001.1-processed-gene-26.58-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-26.58&CDS=1-1392	YER081W, YIL074C
OG0000231	snap_masked-LWLF01000001.1-processed-gene-27.222-mRNA-1_1&gene=snap_masked-LWLF01000001.1-processed-gene-27.222&CDS=1-2829	YKL050C, YMR031C
OG0000232	augustus_masked-LWLF01000001.1-processed-gene-27.122-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-27.122&CDS=1-465	YDR450W, YML026C
OG0000233	maker-LWLF01000001.1-augustus-gene-27.105-mRNA-1_1&gene=maker-LWLF01000001.1-augustus-gene-27.105&CDS=1-1071	YBL087C, YER117W
OG0000234	augustus_masked-LWLF01000001.1-processed-gene-27.131-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-27.131&CDS=1-642	YAR002C-A, YGL002W
OG0000235	augustus_masked-LWLF01000001.1-processed-gene-27.187-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-27.187&CDS=1-486	YLR456W, YPR172W
OG0000236	augustus_masked-LWLF01000001.1-processed-gene-27.194-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-27.194&CDS=1-2427	YJL084C, YKR021W
OG0000237	snap_masked-LWLF01000001.1-processed-gene-27.299-mRNA-1_1&gene=snap_masked-LWLF01000001.1-processed-gene-27.299&CDS=1-3378	YGL133W, YPL216W
OG0000238	augustus_masked-LWLF01000001.1-processed-gene-27.201-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-27.201&CDS=1-516	YGR085C, YPR102C
OG0000239	augustus_masked-LWLF01000022.1-processed-gene-0.133-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-0.133&CDS=1-1833, genemark-LWLF01000001.1-processed-gene-27.100-mRNA-1_1&gene=genemark-LWLF01000001.1-processed-gene-27.100&CDS=1-1299	YLR286C
OG0000240	augustus_masked-LWLF01000003.1-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-LWLF01000003.1-processed-gene-0.2&CDS=1-1344, augustus_masked-LWLF01000021.1-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-0.0&CDS=1-2295	YNR013C
OG0000241	augustus_masked-LWLF01000021.1-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-0.31&CDS=1-1422	YGR121C, YPR138C
OG0000242	augustus_masked-LWLF01000021.1-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-0.32&CDS=1-3000	YAR042W, YDL019C
OG0000243	augustus_masked-LWLF01000021.1-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-0.37&CDS=1-1194	YDR312W, YHR066W
OG0000244	augustus_masked-LWLF01000021.1-processed-gene-1.132-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-1.132&CDS=1-1467, maker-LWLF01000022.1-snap-gene-4.180-mRNA-1_1&gene=maker-LWLF01000022.1-snap-gene-4.180&CDS=1-1899	YDR256C
OG0000245	augustus_masked-LWLF01000021.1-processed-gene-1.134-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-1.134&CDS=1-1287	YBL089W, YER119C
OG0000246	augustus_masked-LWLF01000021.1-processed-gene-1.166-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-1.166&CDS=1-663, augustus_masked-LWLF01000021.1-processed-gene-16.98-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-16.98&CDS=1-750	YBL064C
OG0000247	augustus_masked-LWLF01000021.1-processed-gene-1.179-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-1.179&CDS=1-1095, augustus_masked-LWLF01000022.1-processed-gene-24.161-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-24.161&CDS=1-1224	YER145C
OG0000248	augustus_masked-LWLF01000021.1-processed-gene-1.155-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-1.155&CDS=1-1314	YGR254W, YHR174W
OG0000249	augustus_masked-LWLF01000021.1-processed-gene-1.156-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-1.156&CDS=1-1644	YIR031C, YNL117W
OG0000250	maker-LWLF01000021.1-augustus-gene-2.108-mRNA-1_1&gene=maker-LWLF01000021.1-augustus-gene-2.108&CDS=1-1023	YGL031C, YGR148C
OG0000251	augustus_masked-LWLF01000021.1-processed-gene-2.63-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-2.63&CDS=1-1239, augustus_masked-LWLF01000021.1-processed-gene-21.136-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-21.136&CDS=1-1668	YLR027C
OG0000252	snap_masked-LWLF01000021.1-processed-gene-2.11-mRNA-1_1&gene=snap_masked-LWLF01000021.1-processed-gene-2.11&CDS=1-2286	YMR119W, YNL008C
OG0000253	augustus_masked-LWLF01000021.1-processed-gene-2.75-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-2.75&CDS=1-2883	YLR450W, YML075C
OG0000254	augustus_masked-LWLF01000021.1-processed-gene-11.79-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-11.79&CDS=1-1638, augustus_masked-LWLF01000021.1-processed-gene-2.96-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-2.96&CDS=1-1683	YKR034W
OG0000255	genemark-LWLF01000021.1-processed-gene-3.70-mRNA-1_1&gene=genemark-LWLF01000021.1-processed-gene-3.70&CDS=1-1506	YDL042C, YOL068C
OG0000256	augustus_masked-LWLF01000021.1-processed-gene-15.74-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-15.74&CDS=1-2229, snap_masked-LWLF01000021.1-processed-gene-3.12-mRNA-1_1&gene=snap_masked-LWLF01000021.1-processed-gene-3.12&CDS=1-1983	YIR007W
OG0000257	genemark-LWLF01000021.1-processed-gene-3.115-mRNA-1_1&gene=genemark-LWLF01000021.1-processed-gene-3.115&CDS=1-1884, snap_masked-LWLF01000021.1-processed-gene-14.138-mRNA-1_1&gene=snap_masked-LWLF01000021.1-processed-gene-14.138&CDS=1-1620	YPR141C
OG0000258	augustus_masked-LWLF01000021.1-processed-gene-3.162-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-3.162&CDS=1-747	YGL076C, YPL198W
OG0000259	augustus_masked-LWLF01000021.1-processed-gene-3.166-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-3.166&CDS=1-1803	YHR117W, YNL121C
OG0000260	augustus_masked-LWLF01000021.1-processed-gene-4.92-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-4.92&CDS=1-1125	YDR273W, YOR042W
OG0000261	maker-LWLF01000021.1-augustus-gene-4.60-mRNA-1_1&gene=maker-LWLF01000021.1-augustus-gene-4.60&CDS=1-1518	YDR272W, YOR040W
OG0000262	augustus_masked-LWLF01000021.1-processed-gene-4.102-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-4.102&CDS=1-303	YMR194W, YPL249C-A
OG0000263	genemark-LWLF01000021.1-processed-gene-4.18-mRNA-1_1&gene=genemark-LWLF01000021.1-processed-gene-4.18&CDS=1-1470	YBR001C, YDR001C
OG0000264	augustus_masked-LWLF01000021.1-processed-gene-22.228-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-22.228&CDS=1-1644, augustus_masked-LWLF01000021.1-processed-gene-4.80-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-4.80&CDS=1-1581	YMR297W
OG0000265	maker-LWLF01000021.1-snap-gene-4.63-mRNA-1_1&gene=maker-LWLF01000021.1-snap-gene-4.63&CDS=1-2283	YHR179W, YPL171C
OG0000266	augustus_masked-LWLF01000021.1-processed-gene-4.112-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-4.112&CDS=1-2304	YML109W, YMR273C
OG0000267	augustus_masked-LWLF01000021.1-processed-gene-5.86-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-5.86&CDS=1-1332	YBL056W, YER089C
OG0000268	augustus_masked-LWLF01000021.1-processed-gene-5.63-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-5.63&CDS=1-1044	YBR042C, YDR018C
OG0000269	maker-LWLF01000021.1-snap-gene-5.111-mRNA-1_1&gene=maker-LWLF01000021.1-snap-gene-5.111&CDS=1-3153, snap_masked-LWLF01000021.1-processed-gene-5.27-mRNA-1_1&gene=snap_masked-LWLF01000021.1-processed-gene-5.27&CDS=1-1686, snap_masked-LWLF01000021.1-processed-gene-5.28-mRNA-1_1&gene=snap_masked-LWLF01000021.1-processed-gene-5.28&CDS=1-1521	
OG0000270	augustus_masked-LWLF01000021.1-processed-gene-5.98-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-5.98&CDS=1-2463	YER066W, YFL009W
OG0000271	maker-LWLF01000021.1-augustus-gene-5.112-mRNA-1_1&gene=maker-LWLF01000021.1-augustus-gene-5.112&CDS=1-3030, snap_masked-LWLF01000021.1-processed-gene-10.154-mRNA-1_1&gene=snap_masked-LWLF01000021.1-processed-gene-10.154&CDS=1-1536	YMR110C
OG0000272	augustus_masked-LWLF01000021.1-processed-gene-5.101-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-5.101&CDS=1-3117	YKL068W, YMR047C
OG0000273	augustus_masked-LWLF01000021.1-processed-gene-5.105-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-5.105&CDS=1-1725	YGR138C, YPR156C
OG0000274	augustus_masked-LWLF01000021.1-processed-gene-6.3-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-6.3&CDS=1-2109	YGR056W, YLR357W
OG0000275	augustus_masked-LWLF01000021.1-processed-gene-6.11-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-6.11&CDS=1-1107	YGR010W, YLR328W
OG0000276	augustus_masked-LWLF01000021.1-processed-gene-6.15-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-6.15&CDS=1-3174	YJR127C, YML081W
OG0000277	maker-LWLF01000021.1-augustus-gene-6.105-mRNA-1_1&gene=maker-LWLF01000021.1-augustus-gene-6.105&CDS=1-1743	YJR130C, YML082W
OG0000278	augustus_masked-LWLF01000021.1-processed-gene-6.22-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-6.22&CDS=1-1689	YER064C, YIL056W
OG0000279	augustus_masked-LWLF01000021.1-processed-gene-8.95-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-8.95&CDS=1-408	YDR447C, YML024W
OG0000280	snap_masked-LWLF01000021.1-processed-gene-8.124-mRNA-1_1&gene=snap_masked-LWLF01000021.1-processed-gene-8.124&CDS=1-1290	YDR505C, YLR177W
OG0000281	augustus_masked-LWLF01000021.1-processed-gene-8.76-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-8.76&CDS=1-1416	YDL161W, YLR206W
OG0000282	augustus_masked-LWLF01000021.1-processed-gene-8.80-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-8.80&CDS=1-1428, maker-LWLF01000021.1-snap-gene-8.63-mRNA-1_1&gene=maker-LWLF01000021.1-snap-gene-8.63&CDS=1-2088	YKL046C
OG0000283	maker-LWLF01000021.1-augustus-gene-8.61-mRNA-1_1&gene=maker-LWLF01000021.1-augustus-gene-8.61&CDS=1-2709	YGR143W, YPR159W
OG0000284	augustus_masked-LWLF01000021.1-processed-gene-9.90-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-9.90&CDS=1-390	YFL034C-A, YLR061W
OG0000285	genemark-LWLF01000021.1-processed-gene-9.11-mRNA-1_1&gene=genemark-LWLF01000021.1-processed-gene-9.11&CDS=1-1530	YJL112W, YKR036C
OG0000286	augustus_masked-LWLF01000021.1-processed-gene-10.29-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-10.29&CDS=1-1119	YHR123W, YNL130C
OG0000287	augustus_masked-LWLF01000021.1-processed-gene-11.71-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-11.71&CDS=1-753	YBR147W, YOL092W
OG0000288	augustus_masked-LWLF01000021.1-processed-gene-11.81-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-11.81&CDS=1-588, augustus_masked-LWLF01000022.1-processed-gene-19.77-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-19.77&CDS=1-387	YOR285W
OG0000289	augustus_masked-LWLF01000021.1-processed-gene-11.83-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-11.83&CDS=1-819	YER037W, YGL224C
OG0000290	augustus_masked-LWLF01000021.1-processed-gene-11.87-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-11.87&CDS=1-1029, augustus_masked-LWLF01000021.1-processed-gene-13.21-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-13.21&CDS=1-1224	YEL036C
OG0000291	genemark-LWLF01000021.1-processed-gene-12.59-mRNA-1_1&gene=genemark-LWLF01000021.1-processed-gene-12.59&CDS=1-312	YGR027C, YLR333C
OG0000292	augustus_masked-LWLF01000021.1-processed-gene-12.114-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-12.114&CDS=1-2157	YDL109C, YGL144C
OG0000293	augustus_masked-LWLF01000021.1-processed-gene-12.152-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-12.152&CDS=1-1134	YML118W, YMR285C
OG0000294	augustus_masked-LWLF01000021.1-processed-gene-12.131-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-12.131&CDS=1-645	YML106W, YMR271C
OG0000295	augustus_masked-LWLF01000021.1-processed-gene-12.154-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-12.154&CDS=1-1737, augustus_masked-LWLF01000022.1-processed-gene-4.165-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-4.165&CDS=1-1653	YMR088C
OG0000296	augustus_masked-LWLF01000021.1-processed-gene-12.155-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-12.155&CDS=1-852	YBR183W, YPL087W
OG0000297	augustus_masked-LWLF01000021.1-processed-gene-13.12-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-13.12&CDS=1-2016, maker-LWLF01000022.1-augustus-gene-19.95-mRNA-1_1&gene=maker-LWLF01000022.1-augustus-gene-19.95&CDS=1-2916	YKR001C
OG0000298	augustus_masked-LWLF01000021.1-processed-gene-13.37-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-13.37&CDS=1-1470, augustus_masked-LWLF01000022.1-processed-gene-8.79-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-8.79&CDS=1-1539	YCR008W
OG0000299	augustus_masked-LWLF01000021.1-processed-gene-13.23-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-13.23&CDS=1-825, augustus_masked-LWLF01000021.1-processed-gene-13.24-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-13.24&CDS=1-834	YER175C
OG0000300	augustus_masked-LWLF01000021.1-processed-gene-14.35-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-14.35&CDS=1-891, augustus_masked-LWLF01000022.1-processed-gene-1.88-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-1.88&CDS=1-735	YAL014C
OG0000301	augustus_masked-LWLF01000021.1-processed-gene-14.39-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-14.39&CDS=1-897	YCL050C, YDR530C
OG0000302	augustus_masked-LWLF01000021.1-processed-gene-14.18-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-14.18&CDS=1-936	YAL034C, YOR338W
OG0000303	augustus_masked-LWLF01000021.1-processed-gene-14.51-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-14.51&CDS=1-1092, augustus_masked-LWLF01000022.1-processed-gene-12.112-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-12.112&CDS=1-600	YLR216C
OG0000304	augustus_masked-LWLF01000021.1-processed-gene-14.56-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-14.56&CDS=1-2232	YJL083W, YKR019C
OG0000305	augustus_masked-LWLF01000021.1-processed-gene-14.57-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-14.57&CDS=1-525	YKL141W, YMR118C
OG0000306	augustus_masked-LWLF01000021.1-processed-gene-15.86-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-15.86&CDS=1-276	YCL035C, YDR513W
OG0000307	augustus_masked-LWLF01000021.1-processed-gene-15.104-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-15.104&CDS=1-591	YBL072C, YER102W
OG0000308	augustus_masked-LWLF01000021.1-processed-gene-16.65-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-16.65&CDS=1-852	YMR183C, YPL232W
OG0000309	snap_masked-LWLF01000021.1-processed-gene-16.157-mRNA-1_1&gene=snap_masked-LWLF01000021.1-processed-gene-16.157&CDS=1-687	YDR277C, YOR047C
OG0000310	genemark-LWLF01000021.1-processed-gene-17.4-mRNA-1_1&gene=genemark-LWLF01000021.1-processed-gene-17.4&CDS=1-789	YHR198C, YHR199C
OG0000311	augustus_masked-LWLF01000021.1-processed-gene-17.133-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-17.133&CDS=1-1143	YOR237W, YPL145C
OG0000312	augustus_masked-LWLF01000021.1-processed-gene-17.158-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-17.158&CDS=1-549	YJL177W, YKL180W
OG0000313	augustus_masked-LWLF01000021.1-processed-gene-17.141-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-17.141&CDS=1-951	YHR115C, YNL116W
OG0000314	augustus_masked-LWLF01000021.1-processed-gene-18.96-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-18.96&CDS=1-4788	YNL087W, YOR086C
OG0000315	augustus_masked-LWLF01000021.1-processed-gene-18.99-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-18.99&CDS=1-399	YBL002W, YDR224C
OG0000316	augustus_masked-LWLF01000021.1-processed-gene-18.76-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-18.76&CDS=1-399	YBL003C, YDR225W
OG0000317	augustus_masked-LWLF01000021.1-processed-gene-19.135-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-19.135&CDS=1-927, augustus_masked-LWLF01000022.1-processed-gene-5.145-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-5.145&CDS=1-1014	YHL028W
OG0000318	augustus_masked-LWLF01000021.1-processed-gene-19.139-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-19.139&CDS=1-1692	YIR035C, YIR036C
OG0000319	augustus_masked-LWLF01000021.1-processed-gene-19.168-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-19.168&CDS=1-588	YLR178C, YLR179C
OG0000320	augustus_masked-LWLF01000021.1-processed-gene-19.145-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-19.145&CDS=1-516	YMR242C, YOR312C
OG0000321	augustus_masked-LWLF01000021.1-processed-gene-19.149-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-19.149&CDS=1-345	YDL075W, YLR406C
OG0000322	augustus_masked-LWLF01000021.1-processed-gene-19.174-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-19.174&CDS=1-267	YDR500C, YLR185W
OG0000323	augustus_masked-LWLF01000021.1-processed-gene-19.150-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-19.150&CDS=1-1386	YDR501W, YLR183C
OG0000324	augustus_masked-LWLF01000021.1-processed-gene-19.179-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-19.179&CDS=1-1419	YFR024C-A, YHR016C
OG0000325	augustus_masked-LWLF01000021.1-processed-gene-20.106-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-20.106&CDS=1-1707	YLR307W, YLR308W
OG0000326	augustus_masked-LWLF01000022.1-processed-gene-21.26-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-21.26&CDS=1-1083, snap_masked-LWLF01000021.1-processed-gene-20.135-mRNA-1_1&gene=snap_masked-LWLF01000021.1-processed-gene-20.135&CDS=1-666	YGL215W
OG0000327	augustus_masked-LWLF01000021.1-processed-gene-21.108-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-21.108&CDS=1-1752	YJR061W, YKL201C
OG0000328	genemark-LWLF01000021.1-processed-gene-21.57-mRNA-1_1&gene=genemark-LWLF01000021.1-processed-gene-21.57&CDS=1-2634	YHR047C, YKL157W
OG0000329	augustus_masked-LWLF01000021.1-processed-gene-21.131-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-21.131&CDS=1-3111	YGL049C, YGR162W
OG0000330	augustus_masked-LWLF01000021.1-processed-gene-21.144-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-21.144&CDS=1-360	YER131W, YGL189C
OG0000331	augustus_masked-LWLF01000021.1-processed-gene-21.124-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-21.124&CDS=1-447	YDL083C, YMR143W
OG0000332	maker-LWLF01000021.1-snap-gene-22.258-mRNA-1_1&gene=maker-LWLF01000021.1-snap-gene-22.258&CDS=1-2295	YAL015C, YOL043C
OG0000333	augustus_masked-LWLF01000021.1-processed-gene-22.177-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-22.177&CDS=1-579	YDR453C, YML028W
OG0000334	augustus_masked-LWLF01000021.1-processed-gene-22.223-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-22.223&CDS=1-276	YJR094W-A, YPR043W
OG0000335	augustus_masked-LWLF01000021.1-processed-gene-22.192-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-22.192&CDS=1-2646	YDR122W, YLR096W
OG0000336	augustus_masked-LWLF01000021.1-processed-gene-22.193-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-22.193&CDS=1-2190	YGL139W, YPL221W
OG0000337	augustus_masked-LWLF01000021.1-processed-gene-22.241-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-22.241&CDS=1-651	YGL135W, YPL220W
OG0000338	augustus_masked-LWLF01000021.1-processed-gene-22.194-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-22.194&CDS=1-4209	YGR238C, YHR158C
OG0000339	augustus_masked-LWLF01000021.1-processed-gene-22.242-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-22.242&CDS=1-687	YMR222C, YOR280C
OG0000340	augustus_masked-LWLF01000022.1-processed-gene-0.142-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-0.142&CDS=1-1080	YBR031W, YDR012W
OG0000341	augustus_masked-LWLF01000022.1-processed-gene-0.118-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-0.118&CDS=1-1971	YNL299W, YOL115W
OG0000342	snap_masked-LWLF01000022.1-processed-gene-0.75-mRNA-1_1&gene=snap_masked-LWLF01000022.1-processed-gene-0.75&CDS=1-294	YBR089C-A, YPR052C
OG0000343	snap_masked-LWLF01000022.1-processed-gene-0.109-mRNA-1_1&gene=snap_masked-LWLF01000022.1-processed-gene-0.109&CDS=1-186	YLR287C-A, YOR182C
OG0000344	augustus_masked-LWLF01000022.1-processed-gene-1.95-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-1.95&CDS=1-1200	YHL003C, YKL008C
OG0000345	augustus_masked-LWLF01000022.1-processed-gene-1.79-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-1.79&CDS=1-477	YBR191W, YPL079W
OG0000346	augustus_masked-LWLF01000022.1-processed-gene-2.134-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-2.134&CDS=1-1404	YCL040W, YDR516C
OG0000347	augustus_masked-LWLF01000022.1-processed-gene-2.136-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-2.136&CDS=1-465	YDR252W, YPL037C
OG0000348	augustus_masked-LWLF01000022.1-processed-gene-2.160-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-2.160&CDS=1-399	YGR243W, YHR162W
OG0000349	augustus_masked-LWLF01000022.1-processed-gene-2.163-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-2.163&CDS=1-1578	YDL085W, YMR145C
OG0000350	augustus_masked-LWLF01000022.1-processed-gene-4.127-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-4.127&CDS=1-3000	YLL016W, YLR310C
OG0000351	augustus_masked-LWLF01000022.1-processed-gene-4.159-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-4.159&CDS=1-4092	YEL022W, YJR031C
OG0000352	augustus_masked-LWLF01000022.1-processed-gene-5.122-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-5.122&CDS=1-2124	YIL105C, YNL047C
OG0000353	augustus_masked-LWLF01000022.1-processed-gene-5.129-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-5.129&CDS=1-1152	YDR300C, YHR033W
OG0000354	genemark-LWLF01000022.1-processed-gene-5.79-mRNA-1_1&gene=genemark-LWLF01000022.1-processed-gene-5.79&CDS=1-1536	YDL224C, YNL197C
OG0000355	genemark-LWLF01000022.1-processed-gene-5.83-mRNA-1_1&gene=genemark-LWLF01000022.1-processed-gene-5.83&CDS=1-717	YHR131C, YNL144C
OG0000356	augustus_masked-LWLF01000022.1-processed-gene-6.71-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-6.71&CDS=1-519	YKL081W, YPL048W
