	Naumovozyma_dairenensis	Saccharomyces_cerevisiae
OG0000216	augustus_masked-NC_016480.1-processed-gene-12.67-mRNA-1_1&gene=augustus_masked-NC_016480.1-processed-gene-12.67&CDS=1-1101	YJL116C, YKR042W
OG0000217	augustus_masked-NC_016480.1-processed-gene-14.13-mRNA-1_1&gene=augustus_masked-NC_016480.1-processed-gene-14.13&CDS=1-1731	YGR124W, YPR145W
OG0000218	augustus_masked-NC_016480.1-processed-gene-14.14-mRNA-1_1&gene=augustus_masked-NC_016480.1-processed-gene-14.14&CDS=1-546	YGR131W, YPR149W
OG0000219	augustus_masked-NC_016480.1-processed-gene-14.17-mRNA-1_1&gene=augustus_masked-NC_016480.1-processed-gene-14.17&CDS=1-2262, augustus_masked-NC_016487.1-processed-gene-6.114-mRNA-1_1&gene=augustus_masked-NC_016487.1-processed-gene-6.114&CDS=1-2316	YPR159W
OG0000220	augustus_masked-NC_016480.1-processed-gene-14.49-mRNA-1_1&gene=augustus_masked-NC_016480.1-processed-gene-14.49&CDS=1-798, augustus_masked-NC_016487.1-processed-gene-6.120-mRNA-1_1&gene=augustus_masked-NC_016487.1-processed-gene-6.120&CDS=1-909	YER026C
OG0000221	augustus_masked-NC_016480.1-processed-gene-14.53-mRNA-1_1&gene=augustus_masked-NC_016480.1-processed-gene-14.53&CDS=1-1278, augustus_masked-NC_016487.1-processed-gene-6.123-mRNA-1_1&gene=augustus_masked-NC_016487.1-processed-gene-6.123&CDS=1-1572	YGL209W
OG0000222	augustus_masked-NC_016485.2-processed-gene-1.29-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-1.29&CDS=1-1677, snap_masked-NC_016480.1-processed-gene-14.158-mRNA-1_1&gene=snap_masked-NC_016480.1-processed-gene-14.158&CDS=1-495	YNL038W
OG0000223	augustus_masked-NC_016480.1-processed-gene-14.29-mRNA-1_1&gene=augustus_masked-NC_016480.1-processed-gene-14.29&CDS=1-2841, augustus_masked-NC_016487.1-processed-gene-6.95-mRNA-1_1&gene=augustus_masked-NC_016487.1-processed-gene-6.95&CDS=1-2799	YFR040W
OG0000224	augustus_masked-NC_016480.1-processed-gene-14.35-mRNA-1_1&gene=augustus_masked-NC_016480.1-processed-gene-14.35&CDS=1-1830, augustus_masked-NC_016487.1-processed-gene-6.102-mRNA-1_1&gene=augustus_masked-NC_016487.1-processed-gene-6.102&CDS=1-1764	YGL252C
OG0000225	augustus_masked-NC_016485.2-processed-gene-12.26-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-12.26&CDS=1-3642, maker-NC_016481.1-augustus-gene-0.0-mRNA-1_1&gene=maker-NC_016481.1-augustus-gene-0.0&CDS=1-3648	YIR033W
OG0000226	augustus_masked-NC_016481.1-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-NC_016481.1-processed-gene-0.51&CDS=1-1242, augustus_masked-NC_016485.2-processed-gene-14.200-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-14.200&CDS=1-1239	YKL081W
OG0000227	augustus_masked-NC_016481.1-processed-gene-1.48-mRNA-1_1&gene=augustus_masked-NC_016481.1-processed-gene-1.48&CDS=1-3264, augustus_masked-NC_016485.2-processed-gene-11.106-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-11.106&CDS=1-3141	YKL068W
OG0000228	augustus_masked-NC_016481.1-processed-gene-1.53-mRNA-1_1&gene=augustus_masked-NC_016481.1-processed-gene-1.53&CDS=1-2916	YKL062W, YMR037C
OG0000229	augustus_masked-NC_016481.1-processed-gene-1.67-mRNA-1_1&gene=augustus_masked-NC_016481.1-processed-gene-1.67&CDS=1-588	YDR453C, YML028W
OG0000230	augustus_masked-NC_016481.1-processed-gene-2.28-mRNA-1_1&gene=augustus_masked-NC_016481.1-processed-gene-2.28&CDS=1-1155, maker-NC_016486.1-snap-gene-7.0-mRNA-1_1&gene=maker-NC_016486.1-snap-gene-7.0&CDS=1-3315	YMR152W
OG0000231	augustus_masked-NC_016481.1-processed-gene-10.55-mRNA-1_1&gene=augustus_masked-NC_016481.1-processed-gene-10.55&CDS=1-960, genemark-NC_016481.1-processed-gene-3.71-mRNA-1_1&gene=genemark-NC_016481.1-processed-gene-3.71&CDS=1-1059	YDR353W
OG0000232	augustus_masked-NC_016481.1-processed-gene-4.49-mRNA-1_1&gene=augustus_masked-NC_016481.1-processed-gene-4.49&CDS=1-1434	YHR043C, YHR044C
OG0000233	augustus_masked-NC_016481.1-processed-gene-4.72-mRNA-1_1&gene=augustus_masked-NC_016481.1-processed-gene-4.72&CDS=1-2112, augustus_masked-NC_016481.1-processed-gene-9.2-mRNA-1_1&gene=augustus_masked-NC_016481.1-processed-gene-9.2&CDS=1-2034	YHR042W
OG0000234	augustus_masked-NC_016481.1-processed-gene-6.19-mRNA-1_1&gene=augustus_masked-NC_016481.1-processed-gene-6.19&CDS=1-1701	YGR197C, YJR015W
OG0000235	augustus_masked-NC_016481.1-processed-gene-6.20-mRNA-1_1&gene=augustus_masked-NC_016481.1-processed-gene-6.20&CDS=1-1827, augustus_masked-NC_016482.1-processed-gene-5.104-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-5.104&CDS=1-1761	YGR191W
OG0000236	augustus_masked-NC_016482.1-processed-gene-5.125-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-5.125&CDS=1-1380, snap_masked-NC_016481.1-processed-gene-7.83-mRNA-1_1&gene=snap_masked-NC_016481.1-processed-gene-7.83&CDS=1-1935	YGR189C
OG0000237	augustus_masked-NC_016481.1-processed-gene-7.22-mRNA-1_1&gene=augustus_masked-NC_016481.1-processed-gene-7.22&CDS=1-1311	YGR254W, YHR174W
OG0000238	augustus_masked-NC_016481.1-processed-gene-8.62-mRNA-1_1&gene=augustus_masked-NC_016481.1-processed-gene-8.62&CDS=1-2025, augustus_masked-NC_016486.1-processed-gene-4.1-mRNA-1_1&gene=augustus_masked-NC_016486.1-processed-gene-4.1&CDS=1-1899	YLR142W
OG0000239	augustus_masked-NC_016481.1-processed-gene-9.37-mRNA-1_1&gene=augustus_masked-NC_016481.1-processed-gene-9.37&CDS=1-1395	YDR312W, YHR066W
OG0000240	augustus_masked-NC_016481.1-processed-gene-11.52-mRNA-1_1&gene=augustus_masked-NC_016481.1-processed-gene-11.52&CDS=1-1323	YDR222W, YLR225C
OG0000241	augustus_masked-NC_016481.1-processed-gene-11.67-mRNA-1_1&gene=augustus_masked-NC_016481.1-processed-gene-11.67&CDS=1-399	YBL002W, YDR224C
OG0000242	augustus_masked-NC_016481.1-processed-gene-12.51-mRNA-1_1&gene=augustus_masked-NC_016481.1-processed-gene-12.51&CDS=1-1491, maker-NC_016483.1-augustus-gene-6.2-mRNA-1_1&gene=maker-NC_016483.1-augustus-gene-6.2&CDS=1-1368	YPL026C
OG0000243	augustus_masked-NC_016481.1-processed-gene-14.4-mRNA-1_1&gene=augustus_masked-NC_016481.1-processed-gene-14.4&CDS=1-4449, augustus_masked-NC_016488.1-processed-gene-3.66-mRNA-1_1&gene=augustus_masked-NC_016488.1-processed-gene-3.66&CDS=1-4560	YER164W
OG0000244	augustus_masked-NC_016481.1-processed-gene-14.6-mRNA-1_1&gene=augustus_masked-NC_016481.1-processed-gene-14.6&CDS=1-4785, augustus_masked-NC_016488.1-processed-gene-3.64-mRNA-1_1&gene=augustus_masked-NC_016488.1-processed-gene-3.64&CDS=1-4740	YER166W
OG0000245	augustus_masked-NC_016488.1-processed-gene-0.101-mRNA-1_1&gene=augustus_masked-NC_016488.1-processed-gene-0.101&CDS=1-2274, snap_masked-NC_016482.1-processed-gene-0.66-mRNA-1_1&gene=snap_masked-NC_016482.1-processed-gene-0.66&CDS=1-2301	YPR181C
OG0000246	augustus_masked-NC_016482.1-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-0.52&CDS=1-2832, augustus_masked-NC_016488.1-processed-gene-0.103-mRNA-1_1&gene=augustus_masked-NC_016488.1-processed-gene-0.103&CDS=1-2469	YLR451W
OG0000247	augustus_masked-NC_016482.1-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-0.53&CDS=1-675, augustus_masked-NC_016488.1-processed-gene-1.48-mRNA-1_1&gene=augustus_masked-NC_016488.1-processed-gene-1.48&CDS=1-675	YJR123W
OG0000248	augustus_masked-NC_016482.1-processed-gene-1.16-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-1.16&CDS=1-1341, augustus_masked-NC_016487.1-processed-gene-4.75-mRNA-1_1&gene=augustus_masked-NC_016487.1-processed-gene-4.75&CDS=1-1341	YLR300W
OG0000249	augustus_masked-NC_016482.1-processed-gene-2.46-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-2.46&CDS=1-1968, augustus_masked-NC_016488.1-processed-gene-0.87-mRNA-1_1&gene=augustus_masked-NC_016488.1-processed-gene-0.87&CDS=1-2001	YMR008C
OG0000250	augustus_masked-NC_016482.1-processed-gene-2.54-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-2.54&CDS=1-1590	YIL113W, YNL053W
OG0000251	augustus_masked-NC_016482.1-processed-gene-2.59-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-2.59&CDS=1-873	YCR010C, YNR002C
OG0000252	augustus_masked-NC_016482.1-processed-gene-4.111-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-4.111&CDS=1-246	YHR021C, YKL156W
OG0000253	augustus_masked-NC_016482.1-processed-gene-6.80-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-6.80&CDS=1-660	YLR293C, YOR185C
OG0000254	augustus_masked-NC_016482.1-processed-gene-6.82-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-6.82&CDS=1-231	YLR287C-A, YOR182C
OG0000255	augustus_masked-NC_016482.1-processed-gene-6.84-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-6.84&CDS=1-3675, augustus_masked-NC_016487.1-processed-gene-4.64-mRNA-1_1&gene=augustus_masked-NC_016487.1-processed-gene-4.64&CDS=1-3780	YLR278C
OG0000256	augustus_masked-NC_016482.1-processed-gene-6.85-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-6.85&CDS=1-2922, snap_masked-NC_016487.1-processed-gene-5.98-mRNA-1_1&gene=snap_masked-NC_016487.1-processed-gene-5.98&CDS=1-2268	YOR178C
OG0000257	augustus_masked-NC_016482.1-processed-gene-6.90-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-6.90&CDS=1-2865, augustus_masked-NC_016486.1-processed-gene-1.2-mRNA-1_1&gene=augustus_masked-NC_016486.1-processed-gene-1.2&CDS=1-2214	YGR162W
OG0000258	augustus_masked-NC_016482.1-processed-gene-7.25-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-7.25&CDS=1-765, augustus_masked-NC_016488.1-processed-gene-6.49-mRNA-1_1&gene=augustus_masked-NC_016488.1-processed-gene-6.49&CDS=1-765	YLR441C
OG0000259	augustus_masked-NC_016482.1-processed-gene-7.35-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-7.35&CDS=1-2088	YJR130C, YML082W
OG0000260	augustus_masked-NC_016482.1-processed-gene-8.61-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-8.61&CDS=1-468	YGL031C, YGR148C
OG0000261	augustus_masked-NC_016482.1-processed-gene-9.48-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-9.48&CDS=1-1953, augustus_masked-NC_016486.1-processed-gene-1.6-mRNA-1_1&gene=augustus_masked-NC_016486.1-processed-gene-1.6&CDS=1-2193	YGR009C
OG0000262	augustus_masked-NC_016482.1-processed-gene-9.65-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-9.65&CDS=1-381	YGR034W, YLR344W
OG0000263	augustus_masked-NC_016482.1-processed-gene-10.83-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-10.83&CDS=1-339	YDL075W, YLR406C
OG0000264	snap_masked-NC_016482.1-processed-gene-10.27-mRNA-1_1&gene=snap_masked-NC_016482.1-processed-gene-10.27&CDS=1-243	YDL061C, YLR388W
OG0000265	augustus_masked-NC_016482.1-processed-gene-10.104-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-10.104&CDS=1-1083, augustus_masked-NC_016488.1-processed-gene-5.11-mRNA-1_1&gene=augustus_masked-NC_016488.1-processed-gene-5.11&CDS=1-1083	YDL055C
OG0000266	augustus_masked-NC_016482.1-processed-gene-10.107-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-10.107&CDS=1-798, augustus_masked-NC_016484.1-processed-gene-0.75-mRNA-1_1&gene=augustus_masked-NC_016484.1-processed-gene-0.75&CDS=1-798	YDL052C
OG0000267	augustus_masked-NC_016482.1-processed-gene-10.110-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-10.110&CDS=1-1065, augustus_masked-NC_016488.1-processed-gene-5.3-mRNA-1_1&gene=augustus_masked-NC_016488.1-processed-gene-5.3&CDS=1-1032	YLR372W
OG0000268	augustus_masked-NC_016482.1-processed-gene-10.93-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-10.93&CDS=1-2298, augustus_masked-NC_016488.1-processed-gene-6.45-mRNA-1_1&gene=augustus_masked-NC_016488.1-processed-gene-6.45&CDS=1-2070	YLR413W
OG0000269	augustus_masked-NC_016482.1-processed-gene-11.94-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-11.94&CDS=1-2010, augustus_masked-NC_016486.1-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-NC_016486.1-processed-gene-0.35&CDS=1-2166	YLL043W
OG0000270	augustus_masked-NC_016483.1-processed-gene-0.97-mRNA-1_1&gene=augustus_masked-NC_016483.1-processed-gene-0.97&CDS=1-1839, augustus_masked-NC_016489.1-processed-gene-0.82-mRNA-1_1&gene=augustus_masked-NC_016489.1-processed-gene-0.82&CDS=1-1713	YML123C
OG0000271	augustus_masked-NC_016483.1-processed-gene-1.1-mRNA-1_1&gene=augustus_masked-NC_016483.1-processed-gene-1.1&CDS=1-1449, augustus_masked-NC_016489.1-processed-gene-1.114-mRNA-1_1&gene=augustus_masked-NC_016489.1-processed-gene-1.114&CDS=1-1233	YMR243C
OG0000272	augustus_masked-NC_016483.1-processed-gene-1.5-mRNA-1_1&gene=augustus_masked-NC_016483.1-processed-gene-1.5&CDS=1-534	YMR242C, YOR312C
OG0000273	augustus_masked-NC_016489.1-processed-gene-3.125-mRNA-1_1&gene=augustus_masked-NC_016489.1-processed-gene-3.125&CDS=1-813, snap_masked-NC_016483.1-processed-gene-2.87-mRNA-1_1&gene=snap_masked-NC_016483.1-processed-gene-2.87&CDS=1-708	YPL156C
OG0000274	maker-NC_016483.1-snap-gene-2.1-mRNA-1_1&gene=maker-NC_016483.1-snap-gene-2.1&CDS=1-3960	YOR231W, YPL140C
OG0000275	maker-NC_016483.1-snap-gene-2.2-mRNA-1_1&gene=maker-NC_016483.1-snap-gene-2.2&CDS=1-2565	YOR229W, YOR230W
OG0000276	augustus_masked-NC_016483.1-processed-gene-2.26-mRNA-1_1&gene=augustus_masked-NC_016483.1-processed-gene-2.26&CDS=1-486	YOR226C, YPL135W
OG0000277	augustus_masked-NC_016483.1-processed-gene-2.52-mRNA-1_1&gene=augustus_masked-NC_016483.1-processed-gene-2.52&CDS=1-975	YOR222W, YPL134C
OG0000278	augustus_masked-NC_016483.1-processed-gene-3.49-mRNA-1_1&gene=augustus_masked-NC_016483.1-processed-gene-3.49&CDS=1-1299, augustus_masked-NC_016483.1-processed-gene-4.33-mRNA-1_1&gene=augustus_masked-NC_016483.1-processed-gene-4.33&CDS=1-1290	YOR209C
OG0000279	augustus_masked-NC_016483.1-processed-gene-3.75-mRNA-1_1&gene=augustus_masked-NC_016483.1-processed-gene-3.75&CDS=1-1824, augustus_masked-NC_016483.1-processed-gene-5.118-mRNA-1_1&gene=augustus_masked-NC_016483.1-processed-gene-5.118&CDS=1-1983	YOR204W
OG0000280	augustus_masked-NC_016483.1-processed-gene-3.78-mRNA-1_1&gene=augustus_masked-NC_016483.1-processed-gene-3.78&CDS=1-597	YDL082W, YMR142C
OG0000281	augustus_masked-NC_016483.1-processed-gene-3.63-mRNA-1_1&gene=augustus_masked-NC_016483.1-processed-gene-3.63&CDS=1-720, snap_masked-NC_016486.1-processed-gene-7.15-mRNA-1_1&gene=snap_masked-NC_016486.1-processed-gene-7.15&CDS=1-957	YMR144W
OG0000282	augustus_masked-NC_016483.1-processed-gene-3.70-mRNA-1_1&gene=augustus_masked-NC_016483.1-processed-gene-3.70&CDS=1-612	YLR029C, YMR121C
OG0000283	augustus_masked-NC_016483.1-processed-gene-4.24-mRNA-1_1&gene=augustus_masked-NC_016483.1-processed-gene-4.24&CDS=1-2070, augustus_masked-NC_016486.1-processed-gene-5.109-mRNA-1_1&gene=augustus_masked-NC_016486.1-processed-gene-5.109&CDS=1-2055	YMR108W
OG0000284	snap_masked-NC_016483.1-processed-gene-4.81-mRNA-1_1&gene=snap_masked-NC_016483.1-processed-gene-4.81&CDS=1-309	YOR234C, YPL143W
OG0000285	augustus_masked-NC_016483.1-processed-gene-9.76-mRNA-1_1&gene=augustus_masked-NC_016483.1-processed-gene-9.76&CDS=1-372	YBL087C, YER117W
OG0000286	augustus_masked-NC_016483.1-processed-gene-9.79-mRNA-1_1&gene=augustus_masked-NC_016483.1-processed-gene-9.79&CDS=1-1287, augustus_masked-NC_016489.1-processed-gene-5.230-mRNA-1_1&gene=augustus_masked-NC_016489.1-processed-gene-5.230&CDS=1-1149	YKL004W
OG0000287	augustus_masked-NC_016483.1-processed-gene-10.220-mRNA-1_1&gene=augustus_masked-NC_016483.1-processed-gene-10.220&CDS=1-750	YER062C, YIL053W
OG0000288	augustus_masked-NC_016483.1-processed-gene-10.195-mRNA-1_1&gene=augustus_masked-NC_016483.1-processed-gene-10.195&CDS=1-4668	YIL151C, YKR096W
OG0000289	augustus_masked-NC_016484.1-processed-gene-1.99-mRNA-1_1&gene=augustus_masked-NC_016484.1-processed-gene-1.99&CDS=1-1446	YDR277C, YOR047C
OG0000290	augustus_masked-NC_016484.1-processed-gene-2.138-mRNA-1_1&gene=augustus_masked-NC_016484.1-processed-gene-2.138&CDS=1-1698	YMR199W, YPL256C
OG0000291	augustus_masked-NC_016484.1-processed-gene-3.77-mRNA-1_1&gene=augustus_masked-NC_016484.1-processed-gene-3.77&CDS=1-3330, augustus_masked-NC_016487.1-processed-gene-1.89-mRNA-1_1&gene=augustus_masked-NC_016487.1-processed-gene-1.89&CDS=1-4302	YMR190C
OG0000292	augustus_masked-NC_016484.1-processed-gene-3.106-mRNA-1_1&gene=augustus_masked-NC_016484.1-processed-gene-3.106&CDS=1-897	YMR183C, YPL232W
OG0000293	augustus_masked-NC_016484.1-processed-gene-3.108-mRNA-1_1&gene=augustus_masked-NC_016484.1-processed-gene-3.108&CDS=1-1458, augustus_masked-NC_016487.1-processed-gene-2.82-mRNA-1_1&gene=augustus_masked-NC_016487.1-processed-gene-2.82&CDS=1-1527	YMR177W
OG0000294	augustus_masked-NC_016484.1-processed-gene-3.91-mRNA-1_1&gene=augustus_masked-NC_016484.1-processed-gene-3.91&CDS=1-2406, augustus_masked-NC_016487.1-processed-gene-2.95-mRNA-1_1&gene=augustus_masked-NC_016487.1-processed-gene-2.95&CDS=1-2577	YPL221W
OG0000295	augustus_masked-NC_016484.1-processed-gene-3.92-mRNA-1_1&gene=augustus_masked-NC_016484.1-processed-gene-3.92&CDS=1-651	YGL135W, YPL220W
OG0000296	augustus_masked-NC_016484.1-processed-gene-4.64-mRNA-1_1&gene=augustus_masked-NC_016484.1-processed-gene-4.64&CDS=1-1752, augustus_masked-NC_016487.1-processed-gene-2.105-mRNA-1_1&gene=augustus_masked-NC_016487.1-processed-gene-2.105&CDS=1-2631	YPL202C
OG0000297	augustus_masked-NC_016484.1-processed-gene-5.53-mRNA-1_1&gene=augustus_masked-NC_016484.1-processed-gene-5.53&CDS=1-687	YBR242W, YGL101W
OG0000298	augustus_masked-NC_016484.1-processed-gene-5.72-mRNA-1_1&gene=augustus_masked-NC_016484.1-processed-gene-5.72&CDS=1-3252, augustus_masked-NC_016487.1-processed-gene-3.65-mRNA-1_1&gene=augustus_masked-NC_016487.1-processed-gene-3.65&CDS=1-3405	YBR245C
OG0000299	augustus_masked-NC_016484.1-processed-gene-5.80-mRNA-1_1&gene=augustus_masked-NC_016484.1-processed-gene-5.80&CDS=1-2940	YGL084C, YPL189W
OG0000300	augustus_masked-NC_016484.1-processed-gene-6.58-mRNA-1_1&gene=augustus_masked-NC_016484.1-processed-gene-6.58&CDS=1-1662	YHR115C, YNL116W
OG0000301	snap_masked-NC_016484.1-processed-gene-8.85-mRNA-1_1&gene=snap_masked-NC_016484.1-processed-gene-8.85&CDS=1-1986, snap_masked-NC_016486.1-processed-gene-9.92-mRNA-1_1&gene=snap_masked-NC_016486.1-processed-gene-9.92&CDS=1-1914	YNL176C
OG0000302	genemark-NC_016484.1-processed-gene-8.11-mRNA-1_1&gene=genemark-NC_016484.1-processed-gene-8.11&CDS=1-1770	YDL222C, YNL194C
OG0000303	augustus_masked-NC_016484.1-processed-gene-9.45-mRNA-1_1&gene=augustus_masked-NC_016484.1-processed-gene-9.45&CDS=1-1515, augustus_masked-NC_016486.1-processed-gene-9.66-mRNA-1_1&gene=augustus_masked-NC_016486.1-processed-gene-9.66&CDS=1-1494	YNL241C
OG0000304	augustus_masked-NC_016484.1-processed-gene-10.155-mRNA-1_1&gene=augustus_masked-NC_016484.1-processed-gene-10.155&CDS=1-267	YDR500C, YLR185W
OG0000305	augustus_masked-NC_016484.1-processed-gene-10.156-mRNA-1_1&gene=augustus_masked-NC_016484.1-processed-gene-10.156&CDS=1-1161	YDR502C, YLR180W
OG0000306	augustus_masked-NC_016484.1-processed-gene-10.158-mRNA-1_1&gene=augustus_masked-NC_016484.1-processed-gene-10.158&CDS=1-2922	YDR505C, YLR177W
OG0000307	augustus_masked-NC_016485.2-processed-gene-1.17-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-1.17&CDS=1-3147, augustus_masked-NC_016485.2-processed-gene-12.33-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-12.33&CDS=1-3132	YLR249W
OG0000308	augustus_masked-NC_016485.2-processed-gene-3.58-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-3.58&CDS=1-2466	YBR001C, YDR001C
OG0000309	maker-NC_016485.2-snap-gene-4.80-mRNA-1_1&gene=maker-NC_016485.2-snap-gene-4.80&CDS=1-8937	YDR011W, YNR070W
OG0000310	augustus_masked-NC_016485.2-processed-gene-5.104-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-5.104&CDS=1-1503, snap_masked-NC_016488.1-processed-gene-1.15-mRNA-1_1&gene=snap_masked-NC_016488.1-processed-gene-1.15&CDS=1-1488	YDR169C
OG0000311	augustus_masked-NC_016485.2-processed-gene-5.109-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-5.109&CDS=1-1158	YDR151C, YLR136C
OG0000312	augustus_masked-NC_016485.2-processed-gene-7.71-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-7.71&CDS=1-957	YDL021W, YOL056W
OG0000313	augustus_masked-NC_016485.2-processed-gene-7.103-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-7.103&CDS=1-2655	YER066W, YFL009W
OG0000314	snap_masked-NC_016485.2-processed-gene-8.32-mRNA-1_1&gene=snap_masked-NC_016485.2-processed-gene-8.32&CDS=1-1533	YGL162W, YPR009W
OG0000315	genemark-NC_016485.2-processed-gene-10.88-mRNA-1_1&gene=genemark-NC_016485.2-processed-gene-10.88&CDS=1-2529	YFL050C, YOL130W
OG0000316	augustus_masked-NC_016485.2-processed-gene-12.1-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-12.1&CDS=1-2943	YCR026C, YEL016C
OG0000317	augustus_masked-NC_016485.2-processed-gene-12.31-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-12.31&CDS=1-1260	YLR174W, YNL009W
OG0000318	augustus_masked-NC_016485.2-processed-gene-13.31-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-13.31&CDS=1-2124, augustus_masked-NC_016486.1-processed-gene-8.54-mRNA-1_1&gene=augustus_masked-NC_016486.1-processed-gene-8.54&CDS=1-2136	YLR258W
OG0000319	augustus_masked-NC_016485.2-processed-gene-13.42-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-13.42&CDS=1-2439	YJL099W, YKR027W
OG0000320	augustus_masked-NC_016485.2-processed-gene-14.185-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-14.185&CDS=1-261	YJL136C, YKR057W
OG0000321	augustus_masked-NC_016486.1-processed-gene-2.26-mRNA-1_1&gene=augustus_masked-NC_016486.1-processed-gene-2.26&CDS=1-408	YDR471W, YHR010W
OG0000322	augustus_masked-NC_016486.1-processed-gene-3.116-mRNA-1_1&gene=augustus_masked-NC_016486.1-processed-gene-3.116&CDS=1-1305, augustus_masked-NC_016489.1-processed-gene-4.71-mRNA-1_1&gene=augustus_masked-NC_016489.1-processed-gene-4.71&CDS=1-1395	YHR001W
OG0000323	augustus_masked-NC_016486.1-processed-gene-4.26-mRNA-1_1&gene=augustus_masked-NC_016486.1-processed-gene-4.26&CDS=1-411	YDR447C, YML024W
OG0000324	augustus_masked-NC_016486.1-processed-gene-5.112-mRNA-1_1&gene=augustus_masked-NC_016486.1-processed-gene-5.112&CDS=1-1383	YAL062W, YOR375C
OG0000325	augustus_masked-NC_016489.1-processed-gene-3.111-mRNA-1_1&gene=augustus_masked-NC_016489.1-processed-gene-3.111&CDS=1-1251, maker-NC_016486.1-snap-gene-5.1-mRNA-1_1&gene=maker-NC_016486.1-snap-gene-5.1&CDS=1-432	YKL112W
OG0000326	genemark-NC_016486.1-processed-gene-7.64-mRNA-1_1&gene=genemark-NC_016486.1-processed-gene-7.64&CDS=1-429	YDL083C, YMR143W
OG0000327	augustus_masked-NC_016486.1-processed-gene-7.135-mRNA-1_1&gene=augustus_masked-NC_016486.1-processed-gene-7.135&CDS=1-1536	YMR169C, YMR170C
OG0000328	augustus_masked-NC_016486.1-processed-gene-9.46-mRNA-1_1&gene=augustus_masked-NC_016486.1-processed-gene-9.46&CDS=1-366	YHR141C, YNL162W
OG0000329	augustus_masked-NC_016486.1-processed-gene-9.83-mRNA-1_1&gene=augustus_masked-NC_016486.1-processed-gene-9.83&CDS=1-1071, snap_masked-NC_016487.1-processed-gene-0.54-mRNA-1_1&gene=snap_masked-NC_016487.1-processed-gene-0.54&CDS=1-1002	YGL262W
OG0000330	augustus_masked-NC_016487.1-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-NC_016487.1-processed-gene-0.12&CDS=1-5040	YCR089W, YLR110C
OG0000331	genemark-NC_016487.1-processed-gene-0.91-mRNA-1_1&gene=genemark-NC_016487.1-processed-gene-0.91&CDS=1-975, snap_masked-NC_016489.1-processed-gene-3.36-mRNA-1_1&gene=snap_masked-NC_016489.1-processed-gene-3.36&CDS=1-969	YCR069W
OG0000332	augustus_masked-NC_016487.1-processed-gene-1.104-mRNA-1_1&gene=augustus_masked-NC_016487.1-processed-gene-1.104&CDS=1-588	YMR195W, YPL250C
OG0000333	augustus_masked-NC_016487.1-processed-gene-2.99-mRNA-1_1&gene=augustus_masked-NC_016487.1-processed-gene-2.99&CDS=1-765	YMR181C, YPL229W
