	Saccharomyces_cerevisiae	yHMPu5000041829_Debaryomyces_fabryi
OG0000757	YCR051W	augustus_masked-NODE_7_length_751370_cov_14.0062_ID_3727-processed-gene-4.152-mRNA-1_1&gene=augustus_masked-NODE_7_length_751370_cov_14.0062_ID_3727-processed-gene-4.152&CDS=1-669
OG0000758	YCR053W	augustus_masked-NODE_7_length_751370_cov_14.0062_ID_3727-processed-gene-0.130-mRNA-1_1&gene=augustus_masked-NODE_7_length_751370_cov_14.0062_ID_3727-processed-gene-0.130&CDS=1-1560
OG0000759	YCR054C	maker-NODE_7_length_751370_cov_14.0062_ID_3727-augustus-gene-0.2-mRNA-1_1&gene=maker-NODE_7_length_751370_cov_14.0062_ID_3727-augustus-gene-0.2&CDS=1-3051
OG0000760	YCR057C	augustus_masked-NODE_4_length_879252_cov_12.1493_ID_2583-processed-gene-3.36-mRNA-1_1&gene=augustus_masked-NODE_4_length_879252_cov_12.1493_ID_2583-processed-gene-3.36&CDS=1-2787
OG0000761	YCR059C	snap_masked-NODE_4_length_879252_cov_12.1493_ID_2583-processed-gene-3.87-mRNA-1_1&gene=snap_masked-NODE_4_length_879252_cov_12.1493_ID_2583-processed-gene-3.87&CDS=1-903
OG0000762	YCR060W	augustus_masked-NODE_4_length_879252_cov_12.1493_ID_2583-processed-gene-3.57-mRNA-1_1&gene=augustus_masked-NODE_4_length_879252_cov_12.1493_ID_2583-processed-gene-3.57&CDS=1-972
OG0000763	YCR061W	augustus_masked-NODE_2_length_1055133_cov_10.9579_ID_2135-processed-gene-7.125-mRNA-1_1&gene=augustus_masked-NODE_2_length_1055133_cov_10.9579_ID_2135-processed-gene-7.125&CDS=1-1833
OG0000764	YCR063W	augustus_masked-NODE_2_length_1055133_cov_10.9579_ID_2135-processed-gene-6.122-mRNA-1_1&gene=augustus_masked-NODE_2_length_1055133_cov_10.9579_ID_2135-processed-gene-6.122&CDS=1-453
OG0000765	YCR065W	augustus_masked-NODE_2_length_1055133_cov_10.9579_ID_2135-processed-gene-6.141-mRNA-1_1&gene=augustus_masked-NODE_2_length_1055133_cov_10.9579_ID_2135-processed-gene-6.141&CDS=1-1773
OG0000766	YCR066W	snap_masked-NODE_2_length_1055133_cov_10.9579_ID_2135-processed-gene-7.84-mRNA-1_1&gene=snap_masked-NODE_2_length_1055133_cov_10.9579_ID_2135-processed-gene-7.84&CDS=1-1485
OG0000767	YCR068W	maker-NODE_2_length_1055133_cov_10.9579_ID_2135-augustus-gene-7.0-mRNA-1_1&gene=maker-NODE_2_length_1055133_cov_10.9579_ID_2135-augustus-gene-7.0&CDS=1-2649
OG0000768	YCR071C	augustus_masked-NODE_6_length_824049_cov_12.7447_ID_4701-processed-gene-6.17-mRNA-1_1&gene=augustus_masked-NODE_6_length_824049_cov_12.7447_ID_4701-processed-gene-6.17&CDS=1-381
OG0000769	YCR072C	augustus_masked-NODE_6_length_824049_cov_12.7447_ID_4701-processed-gene-6.19-mRNA-1_1&gene=augustus_masked-NODE_6_length_824049_cov_12.7447_ID_4701-processed-gene-6.19&CDS=1-1557
OG0000770	YCR077C	augustus_masked-NODE_6_length_824049_cov_12.7447_ID_4701-processed-gene-6.15-mRNA-1_1&gene=augustus_masked-NODE_6_length_824049_cov_12.7447_ID_4701-processed-gene-6.15&CDS=1-2505
OG0000771	YCR079W	augustus_masked-NODE_9_length_707241_cov_11.8917_ID_2769-processed-gene-2.149-mRNA-1_1&gene=augustus_masked-NODE_9_length_707241_cov_11.8917_ID_2769-processed-gene-2.149&CDS=1-1341
OG0000772	YCR084C	augustus_masked-NODE_5_length_854671_cov_13.4875_ID_2683-processed-gene-1.7-mRNA-1_1&gene=augustus_masked-NODE_5_length_854671_cov_13.4875_ID_2683-processed-gene-1.7&CDS=1-1818
OG0000773	YCR086W	augustus_masked-NODE_5_length_854671_cov_13.4875_ID_2683-processed-gene-1.6-mRNA-1_1&gene=augustus_masked-NODE_5_length_854671_cov_13.4875_ID_2683-processed-gene-1.6&CDS=1-882
OG0000774	YCR087C-A	augustus_masked-NODE_5_length_854671_cov_13.4875_ID_2683-processed-gene-1.12-mRNA-1_1&gene=augustus_masked-NODE_5_length_854671_cov_13.4875_ID_2683-processed-gene-1.12&CDS=1-465
OG0000775	YCR088W	augustus_masked-NODE_10_length_688114_cov_13.1864_ID_3396-processed-gene-1.28-mRNA-1_1&gene=augustus_masked-NODE_10_length_688114_cov_13.1864_ID_3396-processed-gene-1.28&CDS=1-2046
OG0000776	YCR090C	augustus_masked-NODE_4_length_879252_cov_12.1493_ID_2583-processed-gene-6.36-mRNA-1_1&gene=augustus_masked-NODE_4_length_879252_cov_12.1493_ID_2583-processed-gene-6.36&CDS=1-486
OG0000777	YCR091W	augustus_masked-NODE_13_length_289920_cov_14.0381_ID_3657-processed-gene-0.93-mRNA-1_1&gene=augustus_masked-NODE_13_length_289920_cov_14.0381_ID_3657-processed-gene-0.93&CDS=1-2490
OG0000778	YCR092C	snap_masked-NODE_13_length_289920_cov_14.0381_ID_3657-processed-gene-0.15-mRNA-1_1&gene=snap_masked-NODE_13_length_289920_cov_14.0381_ID_3657-processed-gene-0.15&CDS=1-3084
OG0000779	YCR093W	maker-NODE_12_length_444481_cov_14.6249_ID_3069-augustus-gene-1.150-mRNA-1_1&gene=maker-NODE_12_length_444481_cov_14.6249_ID_3069-augustus-gene-1.150&CDS=1-6648
OG0000780	YCR095C	augustus_masked-NODE_2_length_1055133_cov_10.9579_ID_2135-processed-gene-6.112-mRNA-1_1&gene=augustus_masked-NODE_2_length_1055133_cov_10.9579_ID_2135-processed-gene-6.112&CDS=1-1470
OG0000781	YCR097W	genemark-NODE_8_length_710497_cov_13.5056_ID_2357-processed-gene-3.85-mRNA-1_1&gene=genemark-NODE_8_length_710497_cov_13.5056_ID_2357-processed-gene-3.85&CDS=1-519
OG0000782	YCR098C	augustus_masked-NODE_13_length_289920_cov_14.0381_ID_3657-processed-gene-0.109-mRNA-1_1&gene=augustus_masked-NODE_13_length_289920_cov_14.0381_ID_3657-processed-gene-0.109&CDS=1-1548
OG0000783	YCR106W, YLL054C	
OG0000784	YDL001W	augustus_masked-NODE_18_length_150317_cov_11.9441_ID_3603-processed-gene-0.63-mRNA-1_1&gene=augustus_masked-NODE_18_length_150317_cov_11.9441_ID_3603-processed-gene-0.63&CDS=1-1248
OG0000785	YDL002C	augustus_masked-NODE_18_length_150317_cov_11.9441_ID_3603-processed-gene-0.64-mRNA-1_1&gene=augustus_masked-NODE_18_length_150317_cov_11.9441_ID_3603-processed-gene-0.64&CDS=1-936
OG0000786	YDL003W	augustus_masked-NODE_5_length_854671_cov_13.4875_ID_2683-processed-gene-0.120-mRNA-1_1&gene=augustus_masked-NODE_5_length_854671_cov_13.4875_ID_2683-processed-gene-0.120&CDS=1-1734
OG0000787	YDL004W	augustus_masked-NODE_5_length_854671_cov_13.4875_ID_2683-processed-gene-0.99-mRNA-1_1&gene=augustus_masked-NODE_5_length_854671_cov_13.4875_ID_2683-processed-gene-0.99&CDS=1-480
OG0000788	YDL006W	augustus_masked-NODE_6_length_824049_cov_12.7447_ID_4701-processed-gene-1.17-mRNA-1_1&gene=augustus_masked-NODE_6_length_824049_cov_12.7447_ID_4701-processed-gene-1.17&CDS=1-1086
OG0000789	YDL007W	augustus_masked-NODE_6_length_824049_cov_12.7447_ID_4701-processed-gene-3.31-mRNA-1_1&gene=augustus_masked-NODE_6_length_824049_cov_12.7447_ID_4701-processed-gene-3.31&CDS=1-1767
OG0000790	YDL008W	augustus_masked-NODE_5_length_854671_cov_13.4875_ID_2683-processed-gene-0.125-mRNA-1_1&gene=augustus_masked-NODE_5_length_854671_cov_13.4875_ID_2683-processed-gene-0.125&CDS=1-435
OG0000791	YDL013W	genemark-NODE_9_length_707241_cov_11.8917_ID_2769-processed-gene-1.119-mRNA-1_1&gene=genemark-NODE_9_length_707241_cov_11.8917_ID_2769-processed-gene-1.119&CDS=1-1218
OG0000792	YDL014W	augustus_masked-NODE_9_length_707241_cov_11.8917_ID_2769-processed-gene-1.25-mRNA-1_1&gene=augustus_masked-NODE_9_length_707241_cov_11.8917_ID_2769-processed-gene-1.25&CDS=1-975
OG0000793	YDL015C	augustus_masked-NODE_26_length_44670_cov_16.8343_ID_11604-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-NODE_26_length_44670_cov_16.8343_ID_11604-processed-gene-0.7&CDS=1-948
OG0000794	YDL017W	augustus_masked-NODE_6_length_824049_cov_12.7447_ID_4701-processed-gene-3.45-mRNA-1_1&gene=augustus_masked-NODE_6_length_824049_cov_12.7447_ID_4701-processed-gene-3.45&CDS=1-1791
OG0000795	YDL025C	augustus_masked-NODE_6_length_824049_cov_12.7447_ID_4701-processed-gene-7.58-mRNA-1_1&gene=augustus_masked-NODE_6_length_824049_cov_12.7447_ID_4701-processed-gene-7.58&CDS=1-1752
OG0000796	YDL028C	augustus_masked-NODE_4_length_879252_cov_12.1493_ID_2583-processed-gene-3.47-mRNA-1_1&gene=augustus_masked-NODE_4_length_879252_cov_12.1493_ID_2583-processed-gene-3.47&CDS=1-2484
OG0000797	YDL029W	maker-NODE_4_length_879252_cov_12.1493_ID_2583-augustus-gene-3.6-mRNA-1_1&gene=maker-NODE_4_length_879252_cov_12.1493_ID_2583-augustus-gene-3.6&CDS=1-1176
OG0000798	YDL031W	augustus_masked-NODE_18_length_150317_cov_11.9441_ID_3603-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-NODE_18_length_150317_cov_11.9441_ID_3603-processed-gene-0.40&CDS=1-2799
OG0000799	YDL033C	snap_masked-NODE_15_length_262050_cov_12.1618_ID_9668-processed-gene-1.257-mRNA-1_1&gene=snap_masked-NODE_15_length_262050_cov_12.1618_ID_9668-processed-gene-1.257&CDS=1-1155
OG0000800	YDL040C	augustus_masked-NODE_9_length_707241_cov_11.8917_ID_2769-processed-gene-3.144-mRNA-1_1&gene=augustus_masked-NODE_9_length_707241_cov_11.8917_ID_2769-processed-gene-3.144&CDS=1-2340
OG0000801	YDL045C	maker-NODE_9_length_707241_cov_11.8917_ID_2769-snap-gene-5.47-mRNA-1_1&gene=maker-NODE_9_length_707241_cov_11.8917_ID_2769-snap-gene-5.47&CDS=1-1611
OG0000802	YDL045W-A	genemark-NODE_9_length_707241_cov_11.8917_ID_2769-processed-gene-4.76-mRNA-1_1&gene=genemark-NODE_9_length_707241_cov_11.8917_ID_2769-processed-gene-4.76&CDS=1-3393
OG0000803	YDL047W	augustus_masked-NODE_1_length_1085505_cov_12.3365_ID_2412-processed-gene-5.10-mRNA-1_1&gene=augustus_masked-NODE_1_length_1085505_cov_12.3365_ID_2412-processed-gene-5.10&CDS=1-942
OG0000804	YDL054C	maker-NODE_14_length_271302_cov_16.67_ID_4278-snap-gene-1.287-mRNA-1_1&gene=maker-NODE_14_length_271302_cov_16.67_ID_4278-snap-gene-1.287&CDS=1-1512
OG0000805	YDL055C	augustus_masked-NODE_14_length_271302_cov_16.67_ID_4278-processed-gene-1.231-mRNA-1_1&gene=augustus_masked-NODE_14_length_271302_cov_16.67_ID_4278-processed-gene-1.231&CDS=1-1086
OG0000806	YDL058W	maker-NODE_6_length_824049_cov_12.7447_ID_4701-snap-gene-6.43-mRNA-1_1&gene=maker-NODE_6_length_824049_cov_12.7447_ID_4701-snap-gene-6.43&CDS=1-6051
OG0000807	YDL059C	augustus_masked-NODE_6_length_824049_cov_12.7447_ID_4701-processed-gene-6.35-mRNA-1_1&gene=augustus_masked-NODE_6_length_824049_cov_12.7447_ID_4701-processed-gene-6.35&CDS=1-588
OG0000808	YDL060W	augustus_masked-NODE_5_length_854671_cov_13.4875_ID_2683-processed-gene-2.137-mRNA-1_1&gene=augustus_masked-NODE_5_length_854671_cov_13.4875_ID_2683-processed-gene-2.137&CDS=1-2328
OG0000809	YDL063C	augustus_masked-NODE_5_length_854671_cov_13.4875_ID_2683-processed-gene-2.119-mRNA-1_1&gene=augustus_masked-NODE_5_length_854671_cov_13.4875_ID_2683-processed-gene-2.119&CDS=1-1956
OG0000810	YDL064W	augustus_masked-NODE_5_length_854671_cov_13.4875_ID_2683-processed-gene-2.139-mRNA-1_1&gene=augustus_masked-NODE_5_length_854671_cov_13.4875_ID_2683-processed-gene-2.139&CDS=1-474
OG0000811	YDL065C	augustus_masked-NODE_5_length_854671_cov_13.4875_ID_2683-processed-gene-2.122-mRNA-1_1&gene=augustus_masked-NODE_5_length_854671_cov_13.4875_ID_2683-processed-gene-2.122&CDS=1-978
OG0000812	YDL067C	snap_masked-NODE_9_length_707241_cov_11.8917_ID_2769-processed-gene-2.104-mRNA-1_1&gene=snap_masked-NODE_9_length_707241_cov_11.8917_ID_2769-processed-gene-2.104&CDS=1-183
OG0000813	YDL072C	augustus_masked-NODE_1_length_1085505_cov_12.3365_ID_2412-processed-gene-6.20-mRNA-1_1&gene=augustus_masked-NODE_1_length_1085505_cov_12.3365_ID_2412-processed-gene-6.20&CDS=1-591
OG0000814	YDL074C	augustus_masked-NODE_4_length_879252_cov_12.1493_ID_2583-processed-gene-5.28-mRNA-1_1&gene=augustus_masked-NODE_4_length_879252_cov_12.1493_ID_2583-processed-gene-5.28&CDS=1-2073
OG0000815	YDL076C	maker-NODE_1_length_1085505_cov_12.3365_ID_2412-snap-gene-6.4-mRNA-1_1&gene=maker-NODE_1_length_1085505_cov_12.3365_ID_2412-snap-gene-6.4&CDS=1-1506
OG0000816	YDL077C	augustus_masked-NODE_1_length_1085505_cov_12.3365_ID_2412-processed-gene-6.22-mRNA-1_1&gene=augustus_masked-NODE_1_length_1085505_cov_12.3365_ID_2412-processed-gene-6.22&CDS=1-3156
OG0000817	YDL081C	augustus_masked-NODE_1_length_1085505_cov_12.3365_ID_2412-processed-gene-9.228-mRNA-1_1&gene=augustus_masked-NODE_1_length_1085505_cov_12.3365_ID_2412-processed-gene-9.228&CDS=1-318
OG0000818	YDL084W	maker-NODE_2_length_1055133_cov_10.9579_ID_2135-snap-gene-2.4-mRNA-1_1&gene=maker-NODE_2_length_1055133_cov_10.9579_ID_2135-snap-gene-2.4&CDS=1-1305
OG0000819	YDL086W	snap_masked-NODE_1_length_1085505_cov_12.3365_ID_2412-processed-gene-9.52-mRNA-1_1&gene=snap_masked-NODE_1_length_1085505_cov_12.3365_ID_2412-processed-gene-9.52&CDS=1-807
OG0000820	YDL087C	augustus_masked-NODE_2_length_1055133_cov_10.9579_ID_2135-processed-gene-2.41-mRNA-1_1&gene=augustus_masked-NODE_2_length_1055133_cov_10.9579_ID_2135-processed-gene-2.41&CDS=1-723
OG0000821	YDL088C	augustus_masked-NODE_10_length_688114_cov_13.1864_ID_3396-processed-gene-0.138-mRNA-1_1&gene=augustus_masked-NODE_10_length_688114_cov_13.1864_ID_3396-processed-gene-0.138&CDS=1-1242
OG0000822	YDL089W	augustus_masked-NODE_10_length_688114_cov_13.1864_ID_3396-processed-gene-0.112-mRNA-1_1&gene=augustus_masked-NODE_10_length_688114_cov_13.1864_ID_3396-processed-gene-0.112&CDS=1-1632
OG0000823	YDL091C	augustus_masked-NODE_10_length_688114_cov_13.1864_ID_3396-processed-gene-0.135-mRNA-1_1&gene=augustus_masked-NODE_10_length_688114_cov_13.1864_ID_3396-processed-gene-0.135&CDS=1-1398
OG0000824	YDL092W	augustus_masked-NODE_10_length_688114_cov_13.1864_ID_3396-processed-gene-0.111-mRNA-1_1&gene=augustus_masked-NODE_10_length_688114_cov_13.1864_ID_3396-processed-gene-0.111&CDS=1-402
OG0000825	YDL095W	augustus_masked-NODE_1_length_1085505_cov_12.3365_ID_2412-processed-gene-9.266-mRNA-1_1&gene=augustus_masked-NODE_1_length_1085505_cov_12.3365_ID_2412-processed-gene-9.266&CDS=1-2502
OG0000826	YDL097C	augustus_masked-NODE_10_length_688114_cov_13.1864_ID_3396-processed-gene-0.141-mRNA-1_1&gene=augustus_masked-NODE_10_length_688114_cov_13.1864_ID_3396-processed-gene-0.141&CDS=1-1269
OG0000827	YDL098C	augustus_masked-NODE_4_length_879252_cov_12.1493_ID_2583-processed-gene-4.41-mRNA-1_1&gene=augustus_masked-NODE_4_length_879252_cov_12.1493_ID_2583-processed-gene-4.41&CDS=1-696
OG0000828	YDL100C	maker-NODE_1_length_1085505_cov_12.3365_ID_2412-augustus-gene-9.288-mRNA-1_1&gene=maker-NODE_1_length_1085505_cov_12.3365_ID_2412-augustus-gene-9.288&CDS=1-1215
OG0000829	YDL101C	genemark-NODE_10_length_688114_cov_13.1864_ID_3396-processed-gene-3.87-mRNA-1_1&gene=genemark-NODE_10_length_688114_cov_13.1864_ID_3396-processed-gene-3.87&CDS=1-3744
OG0000830	YDL102W	augustus_masked-NODE_10_length_688114_cov_13.1864_ID_3396-processed-gene-4.136-mRNA-1_1&gene=augustus_masked-NODE_10_length_688114_cov_13.1864_ID_3396-processed-gene-4.136&CDS=1-3240
OG0000831	YDL103C	maker-NODE_10_length_688114_cov_13.1864_ID_3396-augustus-gene-5.309-mRNA-1_1&gene=maker-NODE_10_length_688114_cov_13.1864_ID_3396-augustus-gene-5.309&CDS=1-2730
OG0000832	YDL104C	augustus_masked-NODE_10_length_688114_cov_13.1864_ID_3396-processed-gene-4.130-mRNA-1_1&gene=augustus_masked-NODE_10_length_688114_cov_13.1864_ID_3396-processed-gene-4.130&CDS=1-1323
OG0000833	YDL105W	augustus_masked-NODE_10_length_688114_cov_13.1864_ID_3396-processed-gene-4.113-mRNA-1_1&gene=augustus_masked-NODE_10_length_688114_cov_13.1864_ID_3396-processed-gene-4.113&CDS=1-1158
OG0000834	YDL106C	snap_masked-NODE_10_length_688114_cov_13.1864_ID_3396-processed-gene-3.118-mRNA-1_1&gene=snap_masked-NODE_10_length_688114_cov_13.1864_ID_3396-processed-gene-3.118&CDS=1-1536
OG0000835	YDL107W	snap_masked-NODE_10_length_688114_cov_13.1864_ID_3396-processed-gene-3.119-mRNA-1_1&gene=snap_masked-NODE_10_length_688114_cov_13.1864_ID_3396-processed-gene-3.119&CDS=1-1137
OG0000836	YDL108W	snap_masked-NODE_10_length_688114_cov_13.1864_ID_3396-processed-gene-3.122-mRNA-1_1&gene=snap_masked-NODE_10_length_688114_cov_13.1864_ID_3396-processed-gene-3.122&CDS=1-1014
OG0000837	YDL110C	augustus_masked-NODE_10_length_688114_cov_13.1864_ID_3396-processed-gene-0.142-mRNA-1_1&gene=augustus_masked-NODE_10_length_688114_cov_13.1864_ID_3396-processed-gene-0.142&CDS=1-360
OG0000838	YDL111C	augustus_masked-NODE_10_length_688114_cov_13.1864_ID_3396-processed-gene-0.113-mRNA-1_1&gene=augustus_masked-NODE_10_length_688114_cov_13.1864_ID_3396-processed-gene-0.113&CDS=1-864
OG0000839	YDL112W	augustus_masked-NODE_10_length_688114_cov_13.1864_ID_3396-processed-gene-0.139-mRNA-1_1&gene=augustus_masked-NODE_10_length_688114_cov_13.1864_ID_3396-processed-gene-0.139&CDS=1-4323
OG0000840	YDL113C	augustus_masked-NODE_10_length_688114_cov_13.1864_ID_3396-processed-gene-0.140-mRNA-1_1&gene=augustus_masked-NODE_10_length_688114_cov_13.1864_ID_3396-processed-gene-0.140&CDS=1-1962
OG0000841	YDL114W	augustus_masked-NODE_7_length_751370_cov_14.0062_ID_3727-processed-gene-0.139-mRNA-1_1&gene=augustus_masked-NODE_7_length_751370_cov_14.0062_ID_3727-processed-gene-0.139&CDS=1-981
OG0000842	YDL116W	augustus_masked-NODE_10_length_688114_cov_13.1864_ID_3396-processed-gene-0.115-mRNA-1_1&gene=augustus_masked-NODE_10_length_688114_cov_13.1864_ID_3396-processed-gene-0.115&CDS=1-2469
OG0000843	YDL117W	snap_masked-NODE_10_length_688114_cov_13.1864_ID_3396-processed-gene-3.121-mRNA-1_1&gene=snap_masked-NODE_10_length_688114_cov_13.1864_ID_3396-processed-gene-3.121&CDS=1-3408
OG0000844	YDL119C	maker-NODE_10_length_688114_cov_13.1864_ID_3396-augustus-gene-4.145-mRNA-1_1&gene=maker-NODE_10_length_688114_cov_13.1864_ID_3396-augustus-gene-4.145&CDS=1-2181
OG0000845	YDL120W	augustus_masked-NODE_6_length_824049_cov_12.7447_ID_4701-processed-gene-7.34-mRNA-1_1&gene=augustus_masked-NODE_6_length_824049_cov_12.7447_ID_4701-processed-gene-7.34&CDS=1-504
OG0000846	YDL121C	augustus_masked-NODE_6_length_824049_cov_12.7447_ID_4701-processed-gene-7.61-mRNA-1_1&gene=augustus_masked-NODE_6_length_824049_cov_12.7447_ID_4701-processed-gene-7.61&CDS=1-468
OG0000847	YDL122W	snap_masked-NODE_5_length_854671_cov_13.4875_ID_2683-processed-gene-3.93-mRNA-1_1&gene=snap_masked-NODE_5_length_854671_cov_13.4875_ID_2683-processed-gene-3.93&CDS=1-1941
OG0000848	YDL124W	augustus_masked-NODE_1_length_1085505_cov_12.3365_ID_2412-processed-gene-7.120-mRNA-1_1&gene=augustus_masked-NODE_1_length_1085505_cov_12.3365_ID_2412-processed-gene-7.120&CDS=1-912
OG0000849	YDL125C	augustus_masked-NODE_20_length_126166_cov_9.70033_ID_4056-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_20_length_126166_cov_9.70033_ID_4056-processed-gene-0.1&CDS=1-450
OG0000850	YDL126C	snap_masked-NODE_20_length_126166_cov_9.70033_ID_4056-processed-gene-0.148-mRNA-1_1&gene=snap_masked-NODE_20_length_126166_cov_9.70033_ID_4056-processed-gene-0.148&CDS=1-2493
OG0000851	YDL128W	augustus_masked-NODE_16_length_253375_cov_11.5577_ID_3229-processed-gene-1.84-mRNA-1_1&gene=augustus_masked-NODE_16_length_253375_cov_11.5577_ID_3229-processed-gene-1.84&CDS=1-1251
OG0000852	YDL133W	augustus_masked-NODE_1_length_1085505_cov_12.3365_ID_2412-processed-gene-3.123-mRNA-1_1&gene=augustus_masked-NODE_1_length_1085505_cov_12.3365_ID_2412-processed-gene-3.123&CDS=1-1203
OG0000853	YDL134C	augustus_masked-NODE_1_length_1085505_cov_12.3365_ID_2412-processed-gene-3.125-mRNA-1_1&gene=augustus_masked-NODE_1_length_1085505_cov_12.3365_ID_2412-processed-gene-3.125&CDS=1-1047
OG0000854	YDL135C	augustus_masked-NODE_13_length_289920_cov_14.0381_ID_3657-processed-gene-1.13-mRNA-1_1&gene=augustus_masked-NODE_13_length_289920_cov_14.0381_ID_3657-processed-gene-1.13&CDS=1-621
OG0000855	YDL140C	augustus_masked-NODE_5_length_854671_cov_13.4875_ID_2683-processed-gene-0.110-mRNA-1_1&gene=augustus_masked-NODE_5_length_854671_cov_13.4875_ID_2683-processed-gene-0.110&CDS=1-5229
OG0000856	YDL141W	augustus_masked-NODE_5_length_854671_cov_13.4875_ID_2683-processed-gene-0.126-mRNA-1_1&gene=augustus_masked-NODE_5_length_854671_cov_13.4875_ID_2683-processed-gene-0.126&CDS=1-2040
OG0000857	YDL142C	augustus_masked-NODE_5_length_854671_cov_13.4875_ID_2683-processed-gene-1.9-mRNA-1_1&gene=augustus_masked-NODE_5_length_854671_cov_13.4875_ID_2683-processed-gene-1.9&CDS=1-876
OG0000858	YDL143W	augustus_masked-NODE_4_length_879252_cov_12.1493_ID_2583-processed-gene-1.141-mRNA-1_1&gene=augustus_masked-NODE_4_length_879252_cov_12.1493_ID_2583-processed-gene-1.141&CDS=1-1599
OG0000859	YDL145C	augustus_masked-NODE_1_length_1085505_cov_12.3365_ID_2412-processed-gene-3.97-mRNA-1_1&gene=augustus_masked-NODE_1_length_1085505_cov_12.3365_ID_2412-processed-gene-3.97&CDS=1-3627
OG0000860	YDL146W	augustus_masked-NODE_4_length_879252_cov_12.1493_ID_2583-processed-gene-0.96-mRNA-1_1&gene=augustus_masked-NODE_4_length_879252_cov_12.1493_ID_2583-processed-gene-0.96&CDS=1-2040
OG0000861	YDL147W	augustus_masked-NODE_1_length_1085505_cov_12.3365_ID_2412-processed-gene-4.139-mRNA-1_1&gene=augustus_masked-NODE_1_length_1085505_cov_12.3365_ID_2412-processed-gene-4.139&CDS=1-1359
OG0000862	YDL148C	augustus_masked-NODE_13_length_289920_cov_14.0381_ID_3657-processed-gene-1.8-mRNA-1_1&gene=augustus_masked-NODE_13_length_289920_cov_14.0381_ID_3657-processed-gene-1.8&CDS=1-2391
OG0000863	YDL149W	augustus_masked-NODE_13_length_289920_cov_14.0381_ID_3657-processed-gene-1.7-mRNA-1_1&gene=augustus_masked-NODE_13_length_289920_cov_14.0381_ID_3657-processed-gene-1.7&CDS=1-2715
OG0000864	YDL150W	augustus_masked-NODE_4_length_879252_cov_12.1493_ID_2583-processed-gene-1.140-mRNA-1_1&gene=augustus_masked-NODE_4_length_879252_cov_12.1493_ID_2583-processed-gene-1.140&CDS=1-1197
OG0000865	YDL155W	augustus_masked-NODE_10_length_688114_cov_13.1864_ID_3396-processed-gene-5.235-mRNA-1_1&gene=augustus_masked-NODE_10_length_688114_cov_13.1864_ID_3396-processed-gene-5.235&CDS=1-1428
OG0000866	YDL159W	augustus_masked-NODE_2_length_1055133_cov_10.9579_ID_2135-processed-gene-9.25-mRNA-1_1&gene=augustus_masked-NODE_2_length_1055133_cov_10.9579_ID_2135-processed-gene-9.25&CDS=1-1512
OG0000867	YDL160C	augustus_masked-NODE_7_length_751370_cov_14.0062_ID_3727-processed-gene-6.199-mRNA-1_1&gene=augustus_masked-NODE_7_length_751370_cov_14.0062_ID_3727-processed-gene-6.199&CDS=1-1545
OG0000868	YDL164C	augustus_masked-NODE_5_length_854671_cov_13.4875_ID_2683-processed-gene-5.23-mRNA-1_1&gene=augustus_masked-NODE_5_length_854671_cov_13.4875_ID_2683-processed-gene-5.23&CDS=1-2163
OG0000869	YDL165W	augustus_masked-NODE_3_length_903599_cov_13.2106_ID_2211-processed-gene-5.130-mRNA-1_1&gene=augustus_masked-NODE_3_length_903599_cov_13.2106_ID_2211-processed-gene-5.130&CDS=1-573
OG0000870	YDL166C	augustus_masked-NODE_3_length_903599_cov_13.2106_ID_2211-processed-gene-5.149-mRNA-1_1&gene=augustus_masked-NODE_3_length_903599_cov_13.2106_ID_2211-processed-gene-5.149&CDS=1-633
OG0000871	YDL167C	augustus_masked-NODE_20_length_126166_cov_9.70033_ID_4056-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-NODE_20_length_126166_cov_9.70033_ID_4056-processed-gene-0.29&CDS=1-2364
OG0000872	YDL168W	augustus_masked-NODE_3_length_903599_cov_13.2106_ID_2211-processed-gene-4.130-mRNA-1_1&gene=augustus_masked-NODE_3_length_903599_cov_13.2106_ID_2211-processed-gene-4.130&CDS=1-2148
OG0000873	YDL171C	augustus_masked-NODE_20_length_126166_cov_9.70033_ID_4056-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-NODE_20_length_126166_cov_9.70033_ID_4056-processed-gene-0.13&CDS=1-6393
OG0000874	YDL177C	snap_masked-NODE_4_length_879252_cov_12.1493_ID_2583-processed-gene-7.106-mRNA-1_1&gene=snap_masked-NODE_4_length_879252_cov_12.1493_ID_2583-processed-gene-7.106&CDS=1-516
OG0000875	YDL178W	augustus_masked-NODE_4_length_879252_cov_12.1493_ID_2583-processed-gene-7.209-mRNA-1_1&gene=augustus_masked-NODE_4_length_879252_cov_12.1493_ID_2583-processed-gene-7.209&CDS=1-1608
OG0000876	YDL183C	augustus_masked-NODE_1_length_1085505_cov_12.3365_ID_2412-processed-gene-3.101-mRNA-1_1&gene=augustus_masked-NODE_1_length_1085505_cov_12.3365_ID_2412-processed-gene-3.101&CDS=1-1089
OG0000877	YDL185W	maker-NODE_1_length_1085505_cov_12.3365_ID_2412-augustus-gene-3.2-mRNA-1_1&gene=maker-NODE_1_length_1085505_cov_12.3365_ID_2412-augustus-gene-3.2&CDS=1-3021
