	Candida_tropicalis	Saccharomyces_cerevisiae
OG0000574	snap_masked-NW_003020038.1-processed-gene-5.42-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-5.42&CDS=1-555	YBR164C
OG0000575	snap_masked-NW_003020038.1-processed-gene-5.47-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-5.47&CDS=1-1326	YBR166C
OG0000576	snap_masked-NW_003020038.1-processed-gene-5.43-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-5.43&CDS=1-900	YDR284C
OG0000577	snap_masked-NW_003020038.1-processed-gene-5.44-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-5.44&CDS=1-1266	YMR220W
OG0000578	genemark-NW_003020038.1-processed-gene-5.92-mRNA-1_1&gene=genemark-NW_003020038.1-processed-gene-5.92&CDS=1-861	YIL034C
OG0000579	snap_masked-NW_003020038.1-processed-gene-5.68-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-5.68&CDS=1-687	YGR167W
OG0000580	snap_masked-NW_003020038.1-processed-gene-5.52-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-5.52&CDS=1-234	YDR379C-A
OG0000581	genemark-NW_003020038.1-processed-gene-5.94-mRNA-1_1&gene=genemark-NW_003020038.1-processed-gene-5.94&CDS=1-1884	YML042W
OG0000582	snap_masked-NW_003020038.1-processed-gene-5.57-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-5.57&CDS=1-1086	YGR187C
OG0000583	genemark-NW_003020038.1-processed-gene-5.112-mRNA-1_1&gene=genemark-NW_003020038.1-processed-gene-5.112&CDS=1-1851	YGR186W
OG0000584	snap_masked-NW_003020038.1-processed-gene-5.73-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-5.73&CDS=1-1542	YPL120W
OG0000585	augustus_masked-NW_003020038.1-processed-gene-5.16-mRNA-1_1&gene=augustus_masked-NW_003020038.1-processed-gene-5.16&CDS=1-1590	YLR105C
OG0000586	snap_masked-NW_003020038.1-processed-gene-5.62-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-5.62&CDS=1-2223	YDR109C
OG0000587	snap_masked-NW_003020038.1-processed-gene-5.64-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-5.64&CDS=1-1698	YPR018W
OG0000588	snap_masked-NW_003020038.1-processed-gene-5.66-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-5.66&CDS=1-3540	YBR218C
OG0000589	maker-NW_003020038.1-augustus-gene-5.40-mRNA-1_1&gene=maker-NW_003020038.1-augustus-gene-5.40&CDS=1-2058	YGR285C
OG0000590	snap_masked-NW_003020038.1-processed-gene-5.78-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-5.78&CDS=1-213	YGR183C
OG0000591	snap_masked-NW_003020038.1-processed-gene-5.79-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-5.79&CDS=1-1419	YGR189C
OG0000592	snap_masked-NW_003020038.1-processed-gene-5.83-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-5.83&CDS=1-744	YPL132W
OG0000593	snap_masked-NW_003020038.1-processed-gene-6.99-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-6.99&CDS=1-2667	YGL233W
OG0000594	snap_masked-NW_003020038.1-processed-gene-6.97-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-6.97&CDS=1-825	YFR043C
OG0000595	snap_masked-NW_003020038.1-processed-gene-6.100-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-6.100&CDS=1-642	YIR032C
OG0000596	snap_masked-NW_003020038.1-processed-gene-6.98-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-6.98&CDS=1-2628	YBR179C
OG0000597	snap_masked-NW_003020038.1-processed-gene-6.102-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-6.102&CDS=1-804	YOR194C
OG0000598	snap_masked-NW_003020038.1-processed-gene-6.121-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-6.121&CDS=1-216	YOR210W
OG0000599	snap_masked-NW_003020038.1-processed-gene-6.106-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-6.106&CDS=1-2535	YPL126W
OG0000600	snap_masked-NW_003020038.1-processed-gene-6.122-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-6.122&CDS=1-2652	YOR211C
OG0000601	snap_masked-NW_003020038.1-processed-gene-6.126-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-6.126&CDS=1-1077	YMR171C
OG0000602	snap_masked-NW_003020038.1-processed-gene-6.131-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-6.131&CDS=1-1095	YNL103W
OG0000603	maker-NW_003020038.1-snap-gene-6.95-mRNA-1_1&gene=maker-NW_003020038.1-snap-gene-6.95&CDS=1-1605	YMR311C
OG0000604	snap_masked-NW_003020038.1-processed-gene-6.132-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-6.132&CDS=1-513	YAL059W
OG0000605	snap_masked-NW_003020038.1-processed-gene-6.133-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-6.133&CDS=1-2013	YDR311W
OG0000606	genemark-NW_003020038.1-processed-gene-6.29-mRNA-1_1&gene=genemark-NW_003020038.1-processed-gene-6.29&CDS=1-591	YIL157C
OG0000607	snap_masked-NW_003020038.1-processed-gene-6.118-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-6.118&CDS=1-381	YDL092W
OG0000608	genemark-NW_003020038.1-processed-gene-6.48-mRNA-1_1&gene=genemark-NW_003020038.1-processed-gene-6.48&CDS=1-912	YDL091C
OG0000609	genemark-NW_003020038.1-processed-gene-6.31-mRNA-1_1&gene=genemark-NW_003020038.1-processed-gene-6.31&CDS=1-1350	YDL090C
OG0000610	genemark-NW_003020038.1-processed-gene-6.32-mRNA-1_1&gene=genemark-NW_003020038.1-processed-gene-6.32&CDS=1-1620	YDL089W
OG0000611	snap_masked-NW_003020038.1-processed-gene-6.119-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-6.119&CDS=1-873	YDL111C
OG0000612	snap_masked-NW_003020038.1-processed-gene-6.136-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-6.136&CDS=1-4107	YDL112W
OG0000613	snap_masked-NW_003020038.1-processed-gene-7.105-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-7.105&CDS=1-2061	YDL113C
OG0000614	augustus_masked-NW_003020038.1-processed-gene-7.54-mRNA-1_1&gene=augustus_masked-NW_003020038.1-processed-gene-7.54&CDS=1-2271	YDL116W
OG0000615	snap_masked-NW_003020038.1-processed-gene-7.106-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-7.106&CDS=1-1269	YDL097C
OG0000616	genemark-NW_003020038.1-processed-gene-7.2-mRNA-1_1&gene=genemark-NW_003020038.1-processed-gene-7.2&CDS=1-1311	YDR316W
OG0000617	genemark-NW_003020038.1-processed-gene-7.3-mRNA-1_1&gene=genemark-NW_003020038.1-processed-gene-7.3&CDS=1-1170	YGL143C
OG0000618	snap_masked-NW_003020038.1-processed-gene-7.108-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-7.108&CDS=1-879	YHR069C
OG0000619	snap_masked-NW_003020038.1-processed-gene-7.109-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-7.109&CDS=1-1326	YHR070W
OG0000620	genemark-NW_003020038.1-processed-gene-7.11-mRNA-1_1&gene=genemark-NW_003020038.1-processed-gene-7.11&CDS=1-2199	YDR314C
OG0000621	genemark-NW_003020038.1-processed-gene-7.27-mRNA-1_1&gene=genemark-NW_003020038.1-processed-gene-7.27&CDS=1-2502	YLL005C
OG0000622	snap_masked-NW_003020038.1-processed-gene-7.126-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-7.126&CDS=1-1158	YGR185C
OG0000623	snap_masked-NW_003020038.1-processed-gene-7.116-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-7.116&CDS=1-5421	YGR184C
OG0000624	genemark-NW_003020038.1-processed-gene-7.15-mRNA-1_1&gene=genemark-NW_003020038.1-processed-gene-7.15&CDS=1-321	YLL014W
OG0000625	snap_masked-NW_003020038.1-processed-gene-7.118-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-7.118&CDS=1-2532	YHR073W
OG0000626	genemark-NW_003020038.1-processed-gene-7.18-mRNA-1_1&gene=genemark-NW_003020038.1-processed-gene-7.18&CDS=1-3291	YKR050W
OG0000627	genemark-NW_003020038.1-processed-gene-7.39-mRNA-1_1&gene=genemark-NW_003020038.1-processed-gene-7.39&CDS=1-858	YNL075W
OG0000628	genemark-NW_003020038.1-processed-gene-7.40-mRNA-1_1&gene=genemark-NW_003020038.1-processed-gene-7.40&CDS=1-2181	YOR273C
OG0000629	snap_masked-NW_003020038.1-processed-gene-7.135-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-7.135&CDS=1-1302	YHR036W
OG0000630	snap_masked-NW_003020038.1-processed-gene-7.121-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-7.121&CDS=1-1095	YHR085W
OG0000631	genemark-NW_003020038.1-processed-gene-7.21-mRNA-1_1&gene=genemark-NW_003020038.1-processed-gene-7.21&CDS=1-768	YHR038W
OG0000632	augustus_masked-NW_003020038.1-processed-gene-7.94-mRNA-1_1&gene=augustus_masked-NW_003020038.1-processed-gene-7.94&CDS=1-2346	YLR268W
OG0000633	snap_masked-NW_003020038.1-processed-gene-7.138-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-7.138&CDS=1-1428	YOR260W
OG0000634	snap_masked-NW_003020038.1-processed-gene-7.122-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-7.122&CDS=1-1299	YOR259C
OG0000635	snap_masked-NW_003020038.1-processed-gene-7.139-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-7.139&CDS=1-1020	YPL173W
OG0000636	maker-NW_003020038.1-snap-gene-7.153-mRNA-1_1&gene=maker-NW_003020038.1-snap-gene-7.153&CDS=1-636	YOR257W
OG0000637	snap_masked-NW_003020038.1-processed-gene-7.141-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-7.141&CDS=1-1350	YPL175W
OG0000638	snap_masked-NW_003020038.1-processed-gene-7.144-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-7.144&CDS=1-1902	YPL169C
OG0000639	snap_masked-NW_003020038.1-processed-gene-7.145-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-7.145&CDS=1-483	YPL170W
OG0000640	snap_masked-NW_003020038.1-processed-gene-8.44-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-8.44&CDS=1-522	YOR253W
OG0000641	snap_masked-NW_003020038.1-processed-gene-8.46-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-8.46&CDS=1-2034	YOR254C
OG0000642	genemark-NW_003020038.1-processed-gene-8.89-mRNA-1_1&gene=genemark-NW_003020038.1-processed-gene-8.89&CDS=1-1764	YMR120C
OG0000643	snap_masked-NW_003020038.1-processed-gene-8.48-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-8.48&CDS=1-612	YMR121C
OG0000644	snap_masked-NW_003020038.1-processed-gene-8.45-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-8.45&CDS=1-1776	YNL124W
OG0000645	genemark-NW_003020038.1-processed-gene-8.91-mRNA-1_1&gene=genemark-NW_003020038.1-processed-gene-8.91&CDS=1-4230	YHR120W
OG0000646	augustus_masked-NW_003020038.1-processed-gene-8.6-mRNA-1_1&gene=augustus_masked-NW_003020038.1-processed-gene-8.6&CDS=1-1383	YNL137C
OG0000647	augustus_masked-NW_003020038.1-processed-gene-8.7-mRNA-1_1&gene=augustus_masked-NW_003020038.1-processed-gene-8.7&CDS=1-924	YNL063W
OG0000648	genemark-NW_003020038.1-processed-gene-8.112-mRNA-1_1&gene=genemark-NW_003020038.1-processed-gene-8.112&CDS=1-1398	YNL062C
OG0000649	snap_masked-NW_003020038.1-processed-gene-8.50-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-8.50&CDS=1-1869	YNL061W
OG0000650	snap_masked-NW_003020038.1-processed-gene-8.69-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-8.69&CDS=1-2328	YNL059C
OG0000651	genemark-NW_003020038.1-processed-gene-8.95-mRNA-1_1&gene=genemark-NW_003020038.1-processed-gene-8.95&CDS=1-1545	YNL138W
OG0000652	snap_masked-NW_003020038.1-processed-gene-8.52-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-8.52&CDS=1-1203	YNL064C
OG0000653	snap_masked-NW_003020038.1-processed-gene-8.53-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-8.53&CDS=1-738	YNL129W
OG0000654	snap_masked-NW_003020038.1-processed-gene-8.72-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-8.72&CDS=1-3126	YNL132W
OG0000655	snap_masked-NW_003020038.1-processed-gene-8.55-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-8.55&CDS=1-288	YBL026W
OG0000656	genemark-NW_003020038.1-processed-gene-8.117-mRNA-1_1&gene=genemark-NW_003020038.1-processed-gene-8.117&CDS=1-483	YER137C
OG0000657	genemark-NW_003020038.1-processed-gene-8.118-mRNA-1_1&gene=genemark-NW_003020038.1-processed-gene-8.118&CDS=1-1635	YBL020W
OG0000658	snap_masked-NW_003020038.1-processed-gene-8.56-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-8.56&CDS=1-708	YBL021C
OG0000659	genemark-NW_003020038.1-processed-gene-8.119-mRNA-1_1&gene=genemark-NW_003020038.1-processed-gene-8.119&CDS=1-1530	YNL239W
OG0000660	snap_masked-NW_003020038.1-processed-gene-8.57-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-8.57&CDS=1-2118	YBL024W
OG0000661	snap_masked-NW_003020038.1-processed-gene-8.75-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-8.75&CDS=1-672	YBL025W
OG0000662	genemark-NW_003020038.1-processed-gene-8.104-mRNA-1_1&gene=genemark-NW_003020038.1-processed-gene-8.104&CDS=1-2862	YDR238C
OG0000663	snap_masked-NW_003020038.1-processed-gene-8.60-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-8.60&CDS=1-477	YDL208W
OG0000664	genemark-NW_003020038.1-processed-gene-8.122-mRNA-1_1&gene=genemark-NW_003020038.1-processed-gene-8.122&CDS=1-3177	YBL022C
OG0000665	genemark-NW_003020038.1-processed-gene-8.126-mRNA-1_1&gene=genemark-NW_003020038.1-processed-gene-8.126&CDS=1-2382	YBR198C
OG0000666	snap_masked-NW_003020038.1-processed-gene-8.62-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-8.62&CDS=1-1449	YGL253W
OG0000667	snap_masked-NW_003020038.1-processed-gene-8.63-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-8.63&CDS=1-387	YOL026C
OG0000668	snap_masked-NW_003020038.1-processed-gene-8.83-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-8.83&CDS=1-399	YIR015W
OG0000669	snap_masked-NW_003020038.1-processed-gene-8.65-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-8.65&CDS=1-750	YOL038W
OG0000670	snap_masked-NW_003020038.1-processed-gene-8.84-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-8.84&CDS=1-1122	YKL113C
OG0000671	snap_masked-NW_003020038.1-processed-gene-8.85-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-8.85&CDS=1-1089	YCR002C
OG0000672	genemark-NW_003020038.1-processed-gene-8.111-mRNA-1_1&gene=genemark-NW_003020038.1-processed-gene-8.111&CDS=1-621	YCR003W
OG0000673	augustus_masked-NW_003020038.1-processed-gene-8.43-mRNA-1_1&gene=augustus_masked-NW_003020038.1-processed-gene-8.43&CDS=1-828	YBR035C
OG0000674	snap_masked-NW_003020038.1-processed-gene-9.73-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-9.73&CDS=1-609	YGL200C
OG0000675	snap_masked-NW_003020038.1-processed-gene-9.74-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-9.74&CDS=1-1995	YLR352W
OG0000676	snap_masked-NW_003020038.1-processed-gene-9.92-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-9.92&CDS=1-3267	YMR288W
OG0000677	snap_masked-NW_003020038.1-processed-gene-9.77-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-9.77&CDS=1-906	YHR187W
OG0000678	snap_masked-NW_003020038.1-processed-gene-9.93-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-9.93&CDS=1-1719	YHR188C
OG0000679	snap_masked-NW_003020038.1-processed-gene-9.78-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-9.78&CDS=1-2739	YGR188C
OG0000680	augustus_masked-NW_003020038.1-processed-gene-9.58-mRNA-1_1&gene=augustus_masked-NW_003020038.1-processed-gene-9.58&CDS=1-5001	YMR162C
OG0000681	maker-NW_003020038.1-snap-gene-9.108-mRNA-1_1&gene=maker-NW_003020038.1-snap-gene-9.108&CDS=1-669	YDL202W
OG0000682	snap_masked-NW_003020038.1-processed-gene-9.80-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-9.80&CDS=1-855	YDL201W
OG0000683	snap_masked-NW_003020038.1-processed-gene-9.96-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-9.96&CDS=1-1005	YDR233C
OG0000684	snap_masked-NW_003020038.1-processed-gene-9.81-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-9.81&CDS=1-1338	YMR135C
OG0000685	snap_masked-NW_003020038.1-processed-gene-9.98-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-9.98&CDS=1-657	YMR134W
OG0000686	snap_masked-NW_003020038.1-processed-gene-9.85-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-9.85&CDS=1-1119	YJR032W
OG0000687	genemark-NW_003020038.1-processed-gene-9.31-mRNA-1_1&gene=genemark-NW_003020038.1-processed-gene-9.31&CDS=1-534	YHR193C
OG0000688	snap_masked-NW_003020038.1-processed-gene-9.102-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-9.102&CDS=1-399	YOL012C
OG0000689	augustus_masked-NW_003020038.1-processed-gene-9.68-mRNA-1_1&gene=augustus_masked-NW_003020038.1-processed-gene-9.68&CDS=1-3462	YDR140W
OG0000690	snap_masked-NW_003020038.1-processed-gene-9.105-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-9.105&CDS=1-2094	YLR117C
OG0000691	snap_masked-NW_003020038.1-processed-gene-9.89-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-9.89&CDS=1-2616	YER024W
OG0000692	snap_masked-NW_003020038.1-processed-gene-10.53-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-10.53&CDS=1-3105	YMR196W
OG0000693	maker-NW_003020038.1-snap-gene-10.44-mRNA-1_1&gene=maker-NW_003020038.1-snap-gene-10.44&CDS=1-1191	YPL252C
OG0000694	augustus_masked-NW_003020038.1-processed-gene-10.12-mRNA-1_1&gene=augustus_masked-NW_003020038.1-processed-gene-10.12&CDS=1-657	YDL212W
OG0000695	snap_masked-NW_003020038.1-processed-gene-10.59-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-10.59&CDS=1-861	YNL177C
OG0000696	snap_masked-NW_003020038.1-processed-gene-10.60-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-10.60&CDS=1-651	YBL049W
OG0000697	maker-NW_003020038.1-augustus-gene-10.3-mRNA-1_1&gene=maker-NW_003020038.1-augustus-gene-10.3&CDS=1-1056	YNL186W
OG0000698	snap_masked-NW_003020038.1-processed-gene-10.77-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-10.77&CDS=1-1725	YDL216C
OG0000699	snap_masked-NW_003020038.1-processed-gene-10.78-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-10.78&CDS=1-2112	YHL024W
OG0000700	genemark-NW_003020038.1-processed-gene-10.125-mRNA-1_1&gene=genemark-NW_003020038.1-processed-gene-10.125&CDS=1-2358	YGR261C
OG0000701	snap_masked-NW_003020038.1-processed-gene-10.83-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-10.83&CDS=1-2889	YGR258C
OG0000702	augustus_masked-NW_003020038.1-processed-gene-10.16-mRNA-1_1&gene=augustus_masked-NW_003020038.1-processed-gene-10.16&CDS=1-2478	YNL085W
OG0000703	snap_masked-NW_003020038.1-processed-gene-10.63-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-10.63&CDS=1-1086	YDR315C
OG0000704	genemark-NW_003020038.1-processed-gene-10.129-mRNA-1_1&gene=genemark-NW_003020038.1-processed-gene-10.129&CDS=1-2040	YHR042W
OG0000705	snap_masked-NW_003020038.1-processed-gene-10.92-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-10.92&CDS=1-1044	YDR288W
OG0000706	genemark-NW_003020038.1-processed-gene-10.131-mRNA-1_1&gene=genemark-NW_003020038.1-processed-gene-10.131&CDS=1-2391	YGR200C
OG0000707	augustus_masked-NW_003020038.1-processed-gene-10.21-mRNA-1_1&gene=augustus_masked-NW_003020038.1-processed-gene-10.21&CDS=1-1323	YHR041C
OG0000708	snap_masked-NW_003020038.1-processed-gene-10.68-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-10.68&CDS=1-2310	YJL033W
OG0000709	genemark-NW_003020038.1-processed-gene-10.132-mRNA-1_1&gene=genemark-NW_003020038.1-processed-gene-10.132&CDS=1-2346	YDL154W
OG0000710	snap_masked-NW_003020038.1-processed-gene-10.94-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-10.94&CDS=1-1470	YDL150W
OG0000711	genemark-NW_003020038.1-processed-gene-10.114-mRNA-1_1&gene=genemark-NW_003020038.1-processed-gene-10.114&CDS=1-1695	YDL153C
OG0000712	snap_masked-NW_003020038.1-processed-gene-10.95-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-10.95&CDS=1-1605	YDL143W
OG0000713	snap_masked-NW_003020038.1-processed-gene-10.72-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-10.72&CDS=1-1020	YLR215C
OG0000714	snap_masked-NW_003020038.1-processed-gene-10.73-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-10.73&CDS=1-975	YBR053C
OG0000715	snap_masked-NW_003020038.1-processed-gene-11.86-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-11.86&CDS=1-444	YJR055W
OG0000716	snap_masked-NW_003020038.1-processed-gene-11.88-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-11.88&CDS=1-903	YKL051W
OG0000717	genemark-NW_003020038.1-processed-gene-11.19-mRNA-1_1&gene=genemark-NW_003020038.1-processed-gene-11.19&CDS=1-1752	YER173W
OG0000718	snap_masked-NW_003020038.1-processed-gene-11.107-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-11.107&CDS=1-1908	YER169W
OG0000719	snap_masked-NW_003020038.1-processed-gene-11.91-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-11.91&CDS=1-2169	YJL012C
OG0000720	augustus_masked-NW_003020038.1-processed-gene-11.66-mRNA-1_1&gene=augustus_masked-NW_003020038.1-processed-gene-11.66&CDS=1-861	YHR067W
OG0000721	snap_masked-NW_003020038.1-processed-gene-11.93-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-11.93&CDS=1-885	YHR088W
OG0000722	augustus_masked-NW_003020038.1-processed-gene-11.51-mRNA-1_1&gene=augustus_masked-NW_003020038.1-processed-gene-11.51&CDS=1-3714	YDR335W
OG0000723	snap_masked-NW_003020038.1-processed-gene-11.113-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-11.113&CDS=1-1518	YBR180W
OG0000724	snap_masked-NW_003020038.1-processed-gene-11.114-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-11.114&CDS=1-1437	YDR402C
OG0000725	snap_masked-NW_003020038.1-processed-gene-11.95-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-11.95&CDS=1-1494	YDR403W
OG0000726	snap_masked-NW_003020038.1-processed-gene-11.96-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-11.96&CDS=1-285	YOR265W
OG0000727	snap_masked-NW_003020038.1-processed-gene-11.115-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-11.115&CDS=1-1500	YKL035W
OG0000728	snap_masked-NW_003020038.1-processed-gene-11.97-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-11.97&CDS=1-858	YPL064C
OG0000729	snap_masked-NW_003020038.1-processed-gene-11.118-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-11.118&CDS=1-744	YNL178W
OG0000730	maker-NW_003020038.1-snap-gene-11.85-mRNA-1_1&gene=maker-NW_003020038.1-snap-gene-11.85&CDS=1-3912	YGL150C
OG0000731	snap_masked-NW_003020038.1-processed-gene-11.99-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-11.99&CDS=1-330	YJR085C
OG0000732	snap_masked-NW_003020038.1-processed-gene-11.122-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-11.122&CDS=1-4002	YGR061C
OG0000733	snap_masked-NW_003020038.1-processed-gene-11.100-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-11.100&CDS=1-267	YLR363W-A
OG0000734	snap_masked-NW_003020038.1-processed-gene-11.123-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-11.123&CDS=1-1611	YMR221C
OG0000735	snap_masked-NW_003020038.1-processed-gene-11.101-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-11.101&CDS=1-444	YOR224C
OG0000736	snap_masked-NW_003020038.1-processed-gene-11.130-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-11.130&CDS=1-789	YLL041C
OG0000737	snap_masked-NW_003020038.1-processed-gene-12.93-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-12.93&CDS=1-1230	YGL153W
OG0000738	snap_masked-NW_003020038.1-processed-gene-12.94-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-12.94&CDS=1-990	YDL119C
OG0000739	snap_masked-NW_003020038.1-processed-gene-12.95-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-12.95&CDS=1-1110	YGL155W
OG0000740	genemark-NW_003020038.1-processed-gene-12.22-mRNA-1_1&gene=genemark-NW_003020038.1-processed-gene-12.22&CDS=1-867	YGL154C
OG0000741	snap_masked-NW_003020038.1-processed-gene-12.110-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-12.110&CDS=1-273	YMR225C
OG0000742	genemark-NW_003020038.1-processed-gene-12.24-mRNA-1_1&gene=genemark-NW_003020038.1-processed-gene-12.24&CDS=1-732	YFR042W
OG0000743	genemark-NW_003020038.1-processed-gene-12.11-mRNA-1_1&gene=genemark-NW_003020038.1-processed-gene-12.11&CDS=1-900	YFR041C
OG0000744	snap_masked-NW_003020038.1-processed-gene-12.112-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-12.112&CDS=1-3975	YJR089W
