	Saccharomyces_cerevisiae	yHMPu5000035675_Kregervanrija_fluxuum
OG0000660	YBR101C	augustus_masked-NODE_11_length_257823_cov_39.7523_ID_10145-processed-gene-1.177-mRNA-1_1&gene=augustus_masked-NODE_11_length_257823_cov_39.7523_ID_10145-processed-gene-1.177&CDS=1-921
OG0000661	YBR102C	augustus_masked-NODE_42_length_96774_cov_44.1452_ID_24743-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-NODE_42_length_96774_cov_44.1452_ID_24743-processed-gene-0.23&CDS=1-2685
OG0000662	YBR103W	augustus_masked-NODE_20_length_199813_cov_39.3871_ID_10920-processed-gene-0.289-mRNA-1_1&gene=augustus_masked-NODE_20_length_199813_cov_39.3871_ID_10920-processed-gene-0.289&CDS=1-1623
OG0000663	YBR105C	augustus_masked-NODE_11_length_257823_cov_39.7523_ID_10145-processed-gene-1.229-mRNA-1_1&gene=augustus_masked-NODE_11_length_257823_cov_39.7523_ID_10145-processed-gene-1.229&CDS=1-774
OG0000664	YBR106W	augustus_masked-NODE_9_length_260814_cov_39.3821_ID_13670-processed-gene-1.262-mRNA-1_1&gene=augustus_masked-NODE_9_length_260814_cov_39.3821_ID_13670-processed-gene-1.262&CDS=1-570
OG0000665	YBR108W	augustus_masked-NODE_994_length_409_cov_0.78125_ID_36063-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_994_length_409_cov_0.78125_ID_36063-processed-gene-0.0&CDS=1-351
OG0000666	YBR110W	genemark-NODE_1_length_545607_cov_39.0795_ID_37410-processed-gene-3.45-mRNA-1_1&gene=genemark-NODE_1_length_545607_cov_39.0795_ID_37410-processed-gene-3.45&CDS=1-1437
OG0000667	YBR111C	augustus_masked-NODE_48_length_80061_cov_41.2643_ID_15622-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-NODE_48_length_80061_cov_41.2643_ID_15622-processed-gene-0.8&CDS=1-663
OG0000668	YBR111W-A	augustus_masked-NODE_48_length_80061_cov_41.2643_ID_15622-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-NODE_48_length_80061_cov_41.2643_ID_15622-processed-gene-0.25&CDS=1-288
OG0000669	YBR112C	augustus_masked-NODE_48_length_80061_cov_41.2643_ID_15622-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-NODE_48_length_80061_cov_41.2643_ID_15622-processed-gene-0.7&CDS=1-2142
OG0000670	YBR114W	augustus_masked-NODE_38_length_119021_cov_39.2331_ID_13124-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-NODE_38_length_119021_cov_39.2331_ID_13124-processed-gene-0.46&CDS=1-4968
OG0000671	YBR115C	augustus_masked-NODE_3_length_400669_cov_39.5315_ID_28686-processed-gene-2.185-mRNA-1_1&gene=augustus_masked-NODE_3_length_400669_cov_39.5315_ID_28686-processed-gene-2.185&CDS=1-4155
OG0000672	YBR120C	augustus_masked-NODE_7_length_295593_cov_39.4802_ID_11207-processed-gene-1.16-mRNA-1_1&gene=augustus_masked-NODE_7_length_295593_cov_39.4802_ID_11207-processed-gene-1.16&CDS=1-474
OG0000673	YBR121C	augustus_masked-NODE_10_length_259899_cov_37.9377_ID_10059-processed-gene-1.212-mRNA-1_1&gene=augustus_masked-NODE_10_length_259899_cov_37.9377_ID_10059-processed-gene-1.212&CDS=1-2055
OG0000674	YBR122C	augustus_masked-NODE_6_length_299385_cov_38.0087_ID_9641-processed-gene-1.254-mRNA-1_1&gene=augustus_masked-NODE_6_length_299385_cov_38.0087_ID_9641-processed-gene-1.254&CDS=1-546
OG0000675	YBR123C	augustus_masked-NODE_13_length_240629_cov_39.7979_ID_36636-processed-gene-0.111-mRNA-1_1&gene=augustus_masked-NODE_13_length_240629_cov_39.7979_ID_36636-processed-gene-0.111&CDS=1-1707
OG0000676	YBR126C	augustus_masked-NODE_27_length_156879_cov_38.324_ID_11372-processed-gene-0.60-mRNA-1_1&gene=augustus_masked-NODE_27_length_156879_cov_38.324_ID_11372-processed-gene-0.60&CDS=1-1422
OG0000677	YBR127C	maker-NODE_111_length_13124_cov_52.5593_ID_23907-augustus-gene-0.4-mRNA-1_1&gene=maker-NODE_111_length_13124_cov_52.5593_ID_23907-augustus-gene-0.4&CDS=1-1494
OG0000678	YBR132C	augustus_masked-NODE_3_length_400669_cov_39.5315_ID_28686-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-NODE_3_length_400669_cov_39.5315_ID_28686-processed-gene-0.28&CDS=1-1839
OG0000679	YBR133C	augustus_masked-NODE_6_length_299385_cov_38.0087_ID_9641-processed-gene-1.256-mRNA-1_1&gene=augustus_masked-NODE_6_length_299385_cov_38.0087_ID_9641-processed-gene-1.256&CDS=1-2310
OG0000680	YBR136W	genemark-NODE_6_length_299385_cov_38.0087_ID_9641-processed-gene-1.124-mRNA-1_1&gene=genemark-NODE_6_length_299385_cov_38.0087_ID_9641-processed-gene-1.124&CDS=1-7329
OG0000681	YBR138C	augustus_masked-NODE_44_length_88802_cov_40.0904_ID_21692-processed-gene-0.115-mRNA-1_1&gene=augustus_masked-NODE_44_length_88802_cov_40.0904_ID_21692-processed-gene-0.115&CDS=1-1146
OG0000682	YBR141C	augustus_masked-NODE_9_length_260814_cov_39.3821_ID_13670-processed-gene-1.255-mRNA-1_1&gene=augustus_masked-NODE_9_length_260814_cov_39.3821_ID_13670-processed-gene-1.255&CDS=1-1062
OG0000683	YBR142W	augustus_masked-NODE_9_length_260814_cov_39.3821_ID_13670-processed-gene-1.212-mRNA-1_1&gene=augustus_masked-NODE_9_length_260814_cov_39.3821_ID_13670-processed-gene-1.212&CDS=1-2517
OG0000684	YBR143C	augustus_masked-NODE_9_length_260814_cov_39.3821_ID_13670-processed-gene-1.256-mRNA-1_1&gene=augustus_masked-NODE_9_length_260814_cov_39.3821_ID_13670-processed-gene-1.256&CDS=1-1284
OG0000685	YBR146W	augustus_masked-NODE_1_length_545607_cov_39.0795_ID_37410-processed-gene-1.119-mRNA-1_1&gene=augustus_masked-NODE_1_length_545607_cov_39.0795_ID_37410-processed-gene-1.119&CDS=1-987
OG0000686	YBR149W	augustus_masked-NODE_2_length_544514_cov_38.891_ID_36300-processed-gene-3.118-mRNA-1_1&gene=augustus_masked-NODE_2_length_544514_cov_38.891_ID_36300-processed-gene-3.118&CDS=1-927
OG0000687	YBR153W	augustus_masked-NODE_1_length_545607_cov_39.0795_ID_37410-processed-gene-1.122-mRNA-1_1&gene=augustus_masked-NODE_1_length_545607_cov_39.0795_ID_37410-processed-gene-1.122&CDS=1-828
OG0000688	YBR154C	augustus_masked-NODE_1_length_545607_cov_39.0795_ID_37410-processed-gene-1.149-mRNA-1_1&gene=augustus_masked-NODE_1_length_545607_cov_39.0795_ID_37410-processed-gene-1.149&CDS=1-642
OG0000689	YBR155W	augustus_masked-NODE_24_length_176600_cov_41.8587_ID_12679-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-NODE_24_length_176600_cov_41.8587_ID_12679-processed-gene-0.46&CDS=1-1203
OG0000690	YBR158W	maker-NODE_22_length_196581_cov_37.2978_ID_11317-snap-gene-0.103-mRNA-1_1&gene=maker-NODE_22_length_196581_cov_37.2978_ID_11317-snap-gene-0.103&CDS=1-1569
OG0000691	YBR160W	maker-NODE_28_length_147730_cov_39.2264_ID_12273-snap-gene-0.70-mRNA-1_1&gene=maker-NODE_28_length_147730_cov_39.2264_ID_12273-snap-gene-0.70&CDS=1-1944
OG0000692	YBR162C	augustus_masked-NODE_1_length_545607_cov_39.0795_ID_37410-processed-gene-1.153-mRNA-1_1&gene=augustus_masked-NODE_1_length_545607_cov_39.0795_ID_37410-processed-gene-1.153&CDS=1-1362
OG0000693	YBR163W	augustus_masked-NODE_16_length_214599_cov_38.2211_ID_10423-processed-gene-0.93-mRNA-1_1&gene=augustus_masked-NODE_16_length_214599_cov_38.2211_ID_10423-processed-gene-0.93&CDS=1-1788
OG0000694	YBR166C	augustus_masked-NODE_7_length_295593_cov_39.4802_ID_11207-processed-gene-1.38-mRNA-1_1&gene=augustus_masked-NODE_7_length_295593_cov_39.4802_ID_11207-processed-gene-1.38&CDS=1-1338
OG0000695	YBR167C	augustus_masked-NODE_64_length_52425_cov_41.8268_ID_17105-processed-gene-0.73-mRNA-1_1&gene=augustus_masked-NODE_64_length_52425_cov_41.8268_ID_17105-processed-gene-0.73&CDS=1-480
OG0000696	YBR169C	augustus_masked-NODE_17_length_213633_cov_39.456_ID_20735-processed-gene-1.8-mRNA-1_1&gene=augustus_masked-NODE_17_length_213633_cov_39.456_ID_20735-processed-gene-1.8&CDS=1-2100
OG0000697	YBR170C	augustus_masked-NODE_17_length_213633_cov_39.456_ID_20735-processed-gene-1.7-mRNA-1_1&gene=augustus_masked-NODE_17_length_213633_cov_39.456_ID_20735-processed-gene-1.7&CDS=1-1746
OG0000698	YBR171W	augustus_masked-NODE_3_length_400669_cov_39.5315_ID_28686-processed-gene-2.181-mRNA-1_1&gene=augustus_masked-NODE_3_length_400669_cov_39.5315_ID_28686-processed-gene-2.181&CDS=1-816
OG0000699	YBR173C	maker-NODE_3_length_400669_cov_39.5315_ID_28686-augustus-gene-2.15-mRNA-1_1&gene=maker-NODE_3_length_400669_cov_39.5315_ID_28686-augustus-gene-2.15&CDS=1-447
OG0000700	YBR176W	augustus_masked-NODE_8_length_291183_cov_38.6591_ID_11116-processed-gene-1.237-mRNA-1_1&gene=augustus_masked-NODE_8_length_291183_cov_38.6591_ID_11116-processed-gene-1.237&CDS=1-894
OG0000701	YBR179C	augustus_masked-NODE_92_length_23961_cov_41.3238_ID_21262-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-NODE_92_length_23961_cov_41.3238_ID_21262-processed-gene-0.8&CDS=1-2631
OG0000702	YBR182C	augustus_masked-NODE_17_length_213633_cov_39.456_ID_20735-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-NODE_17_length_213633_cov_39.456_ID_20735-processed-gene-0.32&CDS=1-2112
OG0000703	YBR185C	snap_masked-NODE_19_length_204027_cov_37.7657_ID_13337-processed-gene-0.67-mRNA-1_1&gene=snap_masked-NODE_19_length_204027_cov_37.7657_ID_13337-processed-gene-0.67&CDS=1-936
OG0000704	YBR186W	snap_masked-NODE_42_length_96774_cov_44.1452_ID_24743-processed-gene-0.73-mRNA-1_1&gene=snap_masked-NODE_42_length_96774_cov_44.1452_ID_24743-processed-gene-0.73&CDS=1-1458
OG0000705	YBR192W	augustus_masked-NODE_21_length_199737_cov_39.4463_ID_14280-processed-gene-0.72-mRNA-1_1&gene=augustus_masked-NODE_21_length_199737_cov_39.4463_ID_14280-processed-gene-0.72&CDS=1-1131
OG0000706	YBR193C	augustus_masked-NODE_21_length_199737_cov_39.4463_ID_14280-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-NODE_21_length_199737_cov_39.4463_ID_14280-processed-gene-0.31&CDS=1-672
OG0000707	YBR195C	augustus_masked-NODE_20_length_199813_cov_39.3871_ID_10920-processed-gene-0.295-mRNA-1_1&gene=augustus_masked-NODE_20_length_199813_cov_39.3871_ID_10920-processed-gene-0.295&CDS=1-1356
OG0000708	YBR196C	augustus_masked-NODE_27_length_156879_cov_38.324_ID_11372-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-NODE_27_length_156879_cov_38.324_ID_11372-processed-gene-0.53&CDS=1-1638
OG0000709	YBR198C	augustus_masked-NODE_27_length_156879_cov_38.324_ID_11372-processed-gene-0.55-mRNA-1_1&gene=augustus_masked-NODE_27_length_156879_cov_38.324_ID_11372-processed-gene-0.55&CDS=1-2310
OG0000710	YBR200W	augustus_masked-NODE_19_length_204027_cov_37.7657_ID_13337-processed-gene-1.42-mRNA-1_1&gene=augustus_masked-NODE_19_length_204027_cov_37.7657_ID_13337-processed-gene-1.42&CDS=1-2130
OG0000711	YBR202W	augustus_masked-NODE_19_length_204027_cov_37.7657_ID_13337-processed-gene-1.2-mRNA-1_1&gene=augustus_masked-NODE_19_length_204027_cov_37.7657_ID_13337-processed-gene-1.2&CDS=1-2508
OG0000712	YBR203W	augustus_masked-NODE_29_length_143840_cov_40.7451_ID_12393-processed-gene-0.176-mRNA-1_1&gene=augustus_masked-NODE_29_length_143840_cov_40.7451_ID_12393-processed-gene-0.176&CDS=1-3042
OG0000713	YBR208C	augustus_masked-NODE_63_length_53522_cov_42.0536_ID_17017-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-NODE_63_length_53522_cov_42.0536_ID_17017-processed-gene-0.13&CDS=1-5508
OG0000714	YBR212W	augustus_masked-NODE_3_length_400669_cov_39.5315_ID_28686-processed-gene-2.187-mRNA-1_1&gene=augustus_masked-NODE_3_length_400669_cov_39.5315_ID_28686-processed-gene-2.187&CDS=1-1671
OG0000715	YBR213W	maker-NODE_3_length_400669_cov_39.5315_ID_28686-augustus-gene-2.18-mRNA-1_1&gene=maker-NODE_3_length_400669_cov_39.5315_ID_28686-augustus-gene-2.18&CDS=1-789
OG0000716	YBR217W	augustus_masked-NODE_92_length_23961_cov_41.3238_ID_21262-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-NODE_92_length_23961_cov_41.3238_ID_21262-processed-gene-0.10&CDS=1-513
OG0000717	YBR220C	augustus_masked-NODE_62_length_54142_cov_39.1378_ID_17739-processed-gene-0.73-mRNA-1_1&gene=augustus_masked-NODE_62_length_54142_cov_39.1378_ID_17739-processed-gene-0.73&CDS=1-3606
OG0000718	YBR221C	augustus_masked-NODE_44_length_88802_cov_40.0904_ID_21692-processed-gene-0.125-mRNA-1_1&gene=augustus_masked-NODE_44_length_88802_cov_40.0904_ID_21692-processed-gene-0.125&CDS=1-1110
OG0000719	YBR223C	augustus_masked-NODE_20_length_199813_cov_39.3871_ID_10920-processed-gene-0.209-mRNA-1_1&gene=augustus_masked-NODE_20_length_199813_cov_39.3871_ID_10920-processed-gene-0.209&CDS=1-2046
OG0000720	YBR228W	augustus_masked-NODE_84_length_31068_cov_38.9459_ID_19910-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_84_length_31068_cov_38.9459_ID_19910-processed-gene-0.1&CDS=1-900
OG0000721	YBR229C	augustus_masked-NODE_1_length_545607_cov_39.0795_ID_37410-processed-gene-1.157-mRNA-1_1&gene=augustus_masked-NODE_1_length_545607_cov_39.0795_ID_37410-processed-gene-1.157&CDS=1-2838
OG0000722	YBR231C	augustus_masked-NODE_11_length_257823_cov_39.7523_ID_10145-processed-gene-1.171-mRNA-1_1&gene=augustus_masked-NODE_11_length_257823_cov_39.7523_ID_10145-processed-gene-1.171&CDS=1-882
OG0000723	YBR234C	augustus_masked-NODE_49_length_76713_cov_41.354_ID_15326-processed-gene-0.96-mRNA-1_1&gene=augustus_masked-NODE_49_length_76713_cov_41.354_ID_15326-processed-gene-0.96&CDS=1-1086
OG0000724	YBR235W	augustus_masked-NODE_9_length_260814_cov_39.3821_ID_13670-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-NODE_9_length_260814_cov_39.3821_ID_13670-processed-gene-0.29&CDS=1-3777
OG0000725	YBR236C	augustus_masked-NODE_9_length_260814_cov_39.3821_ID_13670-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-NODE_9_length_260814_cov_39.3821_ID_13670-processed-gene-0.19&CDS=1-1575
OG0000726	YBR239C	augustus_masked-NODE_1_length_545607_cov_39.0795_ID_37410-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-NODE_1_length_545607_cov_39.0795_ID_37410-processed-gene-0.8&CDS=1-1752
OG0000727	YBR243C	snap_masked-NODE_1_length_545607_cov_39.0795_ID_37410-processed-gene-0.101-mRNA-1_1&gene=snap_masked-NODE_1_length_545607_cov_39.0795_ID_37410-processed-gene-0.101&CDS=1-1323
OG0000728	YBR246W	augustus_masked-NODE_22_length_196581_cov_37.2978_ID_11317-processed-gene-0.265-mRNA-1_1&gene=augustus_masked-NODE_22_length_196581_cov_37.2978_ID_11317-processed-gene-0.265&CDS=1-1047
OG0000729	YBR247C	augustus_masked-NODE_41_length_99009_cov_41.2695_ID_23704-processed-gene-0.131-mRNA-1_1&gene=augustus_masked-NODE_41_length_99009_cov_41.2695_ID_23704-processed-gene-0.131&CDS=1-1467
OG0000730	YBR248C	augustus_masked-NODE_41_length_99009_cov_41.2695_ID_23704-processed-gene-0.130-mRNA-1_1&gene=augustus_masked-NODE_41_length_99009_cov_41.2695_ID_23704-processed-gene-0.130&CDS=1-1707
OG0000731	YBR251W	augustus_masked-NODE_70_length_45645_cov_39.2794_ID_19815-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_70_length_45645_cov_39.2794_ID_19815-processed-gene-0.2&CDS=1-939
OG0000732	YBR255W	genemark-NODE_55_length_68941_cov_42.2836_ID_15658-processed-gene-0.40-mRNA-1_1&gene=genemark-NODE_55_length_68941_cov_42.2836_ID_15658-processed-gene-0.40&CDS=1-1446
OG0000733	YBR256C	augustus_masked-NODE_4_length_399286_cov_39.7387_ID_11480-processed-gene-0.159-mRNA-1_1&gene=augustus_masked-NODE_4_length_399286_cov_39.7387_ID_11480-processed-gene-0.159&CDS=1-708
OG0000734	YBR257W	augustus_masked-NODE_36_length_122900_cov_38.302_ID_12940-processed-gene-0.55-mRNA-1_1&gene=augustus_masked-NODE_36_length_122900_cov_38.302_ID_12940-processed-gene-0.55&CDS=1-873
OG0000735	YBR260C	augustus_masked-NODE_131_length_7630_cov_40.7366_ID_25152-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_131_length_7630_cov_40.7366_ID_25152-processed-gene-0.2&CDS=1-1995
OG0000736	YBR261C	augustus_masked-NODE_12_length_250894_cov_39.8622_ID_41140-processed-gene-1.21-mRNA-1_1&gene=augustus_masked-NODE_12_length_250894_cov_39.8622_ID_41140-processed-gene-1.21&CDS=1-735
OG0000737	YBR265W	augustus_masked-NODE_31_length_131929_cov_41.0666_ID_14960-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-NODE_31_length_131929_cov_41.0666_ID_14960-processed-gene-0.37&CDS=1-942
OG0000738	YBR267W	augustus_masked-NODE_33_length_128489_cov_37.6364_ID_12872-processed-gene-0.163-mRNA-1_1&gene=augustus_masked-NODE_33_length_128489_cov_37.6364_ID_12872-processed-gene-0.163&CDS=1-1167
OG0000739	YBR268W	genemark-NODE_17_length_213633_cov_39.456_ID_20735-processed-gene-1.82-mRNA-1_1&gene=genemark-NODE_17_length_213633_cov_39.456_ID_20735-processed-gene-1.82&CDS=1-1833
OG0000740	YBR269C	augustus_masked-NODE_59_length_58862_cov_45.2993_ID_17635-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-NODE_59_length_58862_cov_45.2993_ID_17635-processed-gene-0.11&CDS=1-375
OG0000741	YBR271W	snap_masked-NODE_19_length_204027_cov_37.7657_ID_13337-processed-gene-0.48-mRNA-1_1&gene=snap_masked-NODE_19_length_204027_cov_37.7657_ID_13337-processed-gene-0.48&CDS=1-1491
OG0000742	YBR272C	augustus_masked-NODE_30_length_133359_cov_41.3905_ID_13478-processed-gene-0.157-mRNA-1_1&gene=augustus_masked-NODE_30_length_133359_cov_41.3905_ID_13478-processed-gene-0.157&CDS=1-1410
OG0000743	YBR276C	maker-NODE_68_length_51053_cov_38.2257_ID_17589-snap-gene-0.17-mRNA-1_1&gene=maker-NODE_68_length_51053_cov_38.2257_ID_17589-snap-gene-0.17&CDS=1-3642
OG0000744	YBR279W	augustus_masked-NODE_66_length_51463_cov_41.9441_ID_17365-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-NODE_66_length_51463_cov_41.9441_ID_17365-processed-gene-0.29&CDS=1-1137
OG0000745	YBR280C	augustus_masked-NODE_636_length_457_cov_0.708333_ID_34834-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_636_length_457_cov_0.708333_ID_34834-processed-gene-0.2&CDS=1-453
OG0000746	YBR281C	snap_masked-NODE_24_length_176600_cov_41.8587_ID_12679-processed-gene-0.171-mRNA-1_1&gene=snap_masked-NODE_24_length_176600_cov_41.8587_ID_12679-processed-gene-0.171&CDS=1-2625
OG0000747	YBR282W	augustus_masked-NODE_10_length_259899_cov_37.9377_ID_10059-processed-gene-0.118-mRNA-1_1&gene=augustus_masked-NODE_10_length_259899_cov_37.9377_ID_10059-processed-gene-0.118&CDS=1-435
OG0000748	YBR286W	augustus_masked-NODE_60_length_57921_cov_51.9033_ID_36354-processed-gene-0.64-mRNA-1_1&gene=augustus_masked-NODE_60_length_57921_cov_51.9033_ID_36354-processed-gene-0.64&CDS=1-1524
OG0000749	YBR287W	snap_masked-NODE_13_length_240629_cov_39.7979_ID_36636-processed-gene-1.71-mRNA-1_1&gene=snap_masked-NODE_13_length_240629_cov_39.7979_ID_36636-processed-gene-1.71&CDS=1-2223
OG0000750	YBR288C	maker-NODE_48_length_80061_cov_41.2643_ID_15622-augustus-gene-0.106-mRNA-1_1&gene=maker-NODE_48_length_80061_cov_41.2643_ID_15622-augustus-gene-0.106&CDS=1-2037
OG0000751	YBR290W	maker-NODE_17_length_213633_cov_39.456_ID_20735-snap-gene-1.170-mRNA-1_1&gene=maker-NODE_17_length_213633_cov_39.456_ID_20735-snap-gene-1.170&CDS=1-2832
OG0000752	YBR291C	augustus_masked-NODE_17_length_213633_cov_39.456_ID_20735-processed-gene-1.35-mRNA-1_1&gene=augustus_masked-NODE_17_length_213633_cov_39.456_ID_20735-processed-gene-1.35&CDS=1-891
OG0000753	YBR296C	augustus_masked-NODE_7_length_295593_cov_39.4802_ID_11207-processed-gene-1.56-mRNA-1_1&gene=augustus_masked-NODE_7_length_295593_cov_39.4802_ID_11207-processed-gene-1.56&CDS=1-1773
OG0000754	YCL001W	augustus_masked-NODE_1_length_545607_cov_39.0795_ID_37410-processed-gene-3.15-mRNA-1_1&gene=augustus_masked-NODE_1_length_545607_cov_39.0795_ID_37410-processed-gene-3.15&CDS=1-567
OG0000755	YCL004W	augustus_masked-NODE_57_length_61462_cov_46.266_ID_20586-processed-gene-0.93-mRNA-1_1&gene=augustus_masked-NODE_57_length_61462_cov_46.266_ID_20586-processed-gene-0.93&CDS=1-1545
OG0000756	YCL005W-A	snap_masked-NODE_65_length_52007_cov_46.55_ID_18378-processed-gene-0.53-mRNA-1_1&gene=snap_masked-NODE_65_length_52007_cov_46.55_ID_18378-processed-gene-0.53&CDS=1-216
OG0000757	YCL008C	augustus_masked-NODE_65_length_52007_cov_46.55_ID_18378-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-NODE_65_length_52007_cov_46.55_ID_18378-processed-gene-0.14&CDS=1-1197
OG0000758	YCL009C	augustus_masked-NODE_22_length_196581_cov_37.2978_ID_11317-processed-gene-0.268-mRNA-1_1&gene=augustus_masked-NODE_22_length_196581_cov_37.2978_ID_11317-processed-gene-0.268&CDS=1-888
OG0000759	YCL010C	maker-NODE_57_length_61462_cov_46.266_ID_20586-snap-gene-0.33-mRNA-1_1&gene=maker-NODE_57_length_61462_cov_46.266_ID_20586-snap-gene-0.33&CDS=1-795
OG0000760	YCL014W	augustus_masked-NODE_57_length_61462_cov_46.266_ID_20586-processed-gene-0.75-mRNA-1_1&gene=augustus_masked-NODE_57_length_61462_cov_46.266_ID_20586-processed-gene-0.75&CDS=1-4920
OG0000761	YCL016C	snap_masked-NODE_26_length_161125_cov_39.819_ID_18698-processed-gene-0.101-mRNA-1_1&gene=snap_masked-NODE_26_length_161125_cov_39.819_ID_18698-processed-gene-0.101&CDS=1-1107
OG0000762	YCL017C	augustus_masked-NODE_1_length_545607_cov_39.0795_ID_37410-processed-gene-4.34-mRNA-1_1&gene=augustus_masked-NODE_1_length_545607_cov_39.0795_ID_37410-processed-gene-4.34&CDS=1-1356
OG0000763	YCL018W	maker-NODE_1_length_545607_cov_39.0795_ID_37410-augustus-gene-4.72-mRNA-1_1&gene=maker-NODE_1_length_545607_cov_39.0795_ID_37410-augustus-gene-4.72&CDS=1-1917
OG0000764	YCL027W	augustus_masked-NODE_27_length_156879_cov_38.324_ID_11372-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-NODE_27_length_156879_cov_38.324_ID_11372-processed-gene-0.39&CDS=1-1260
OG0000765	YCL031C	augustus_masked-NODE_30_length_133359_cov_41.3905_ID_13478-processed-gene-0.173-mRNA-1_1&gene=augustus_masked-NODE_30_length_133359_cov_41.3905_ID_13478-processed-gene-0.173&CDS=1-855
OG0000766	YCL032W	snap_masked-NODE_30_length_133359_cov_41.3905_ID_13478-processed-gene-0.71-mRNA-1_1&gene=snap_masked-NODE_30_length_133359_cov_41.3905_ID_13478-processed-gene-0.71&CDS=1-1059
OG0000767	YCL033C	augustus_masked-NODE_3_length_400669_cov_39.5315_ID_28686-processed-gene-3.104-mRNA-1_1&gene=augustus_masked-NODE_3_length_400669_cov_39.5315_ID_28686-processed-gene-3.104&CDS=1-462
OG0000768	YCL034W	augustus_masked-NODE_13_length_240629_cov_39.7979_ID_36636-processed-gene-1.207-mRNA-1_1&gene=augustus_masked-NODE_13_length_240629_cov_39.7979_ID_36636-processed-gene-1.207&CDS=1-1380
OG0000769	YCL038C	maker-NODE_62_length_54142_cov_39.1378_ID_17739-augustus-gene-0.32-mRNA-1_1&gene=maker-NODE_62_length_54142_cov_39.1378_ID_17739-augustus-gene-0.32&CDS=1-2010
OG0000770	YCL039W	snap_masked-NODE_62_length_54142_cov_39.1378_ID_17739-processed-gene-0.24-mRNA-1_1&gene=snap_masked-NODE_62_length_54142_cov_39.1378_ID_17739-processed-gene-0.24&CDS=1-1644
OG0000771	YCL043C	augustus_masked-NODE_62_length_54142_cov_39.1378_ID_17739-processed-gene-0.84-mRNA-1_1&gene=augustus_masked-NODE_62_length_54142_cov_39.1378_ID_17739-processed-gene-0.84&CDS=1-1566
OG0000772	YCL045C	snap_masked-NODE_25_length_163307_cov_38.207_ID_16192-processed-gene-0.71-mRNA-1_1&gene=snap_masked-NODE_25_length_163307_cov_38.207_ID_16192-processed-gene-0.71&CDS=1-2487
OG0000773	YCL047C	snap_masked-NODE_64_length_52425_cov_41.8268_ID_17105-processed-gene-0.25-mRNA-1_1&gene=snap_masked-NODE_64_length_52425_cov_41.8268_ID_17105-processed-gene-0.25&CDS=1-873
OG0000774	YCL052C	snap_masked-NODE_433_length_578_cov_0.80744_ID_32044-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_433_length_578_cov_0.80744_ID_32044-processed-gene-0.1&CDS=1-495
OG0000775	YCL054W	augustus_masked-NODE_49_length_76713_cov_41.354_ID_15326-processed-gene-0.108-mRNA-1_1&gene=augustus_masked-NODE_49_length_76713_cov_41.354_ID_15326-processed-gene-0.108&CDS=1-2565
OG0000776	YCL055W	augustus_masked-NODE_64_length_52425_cov_41.8268_ID_17105-processed-gene-0.75-mRNA-1_1&gene=augustus_masked-NODE_64_length_52425_cov_41.8268_ID_17105-processed-gene-0.75&CDS=1-1173
OG0000777	YCL057W	snap_masked-NODE_7_length_295593_cov_39.4802_ID_11207-processed-gene-1.148-mRNA-1_1&gene=snap_masked-NODE_7_length_295593_cov_39.4802_ID_11207-processed-gene-1.148&CDS=1-2130
OG0000778	YCL059C	augustus_masked-NODE_20_length_199813_cov_39.3871_ID_10920-processed-gene-0.216-mRNA-1_1&gene=augustus_masked-NODE_20_length_199813_cov_39.3871_ID_10920-processed-gene-0.216&CDS=1-1155
OG0000779	YCL061C	augustus_masked-NODE_20_length_199813_cov_39.3871_ID_10920-processed-gene-0.215-mRNA-1_1&gene=augustus_masked-NODE_20_length_199813_cov_39.3871_ID_10920-processed-gene-0.215&CDS=1-3744
OG0000780	YCR002C	augustus_masked-NODE_1_length_545607_cov_39.0795_ID_37410-processed-gene-4.56-mRNA-1_1&gene=augustus_masked-NODE_1_length_545607_cov_39.0795_ID_37410-processed-gene-4.56&CDS=1-1014
