	Saccharomyces_cerevisiae	yHMPu5000035689_Candida_mycetangii
OG0000375	YIL109C, YNL049C	maker-NODE_6_length_684522_cov_27.6258_ID_2038-augustus-gene-2.101-mRNA-1_1&gene=maker-NODE_6_length_684522_cov_27.6258_ID_2038-augustus-gene-2.101&CDS=1-4008
OG0000376	YIL111W, YNL052W	genemark-NODE_14_length_319563_cov_30.9459_ID_1873-processed-gene-2.48-mRNA-1_1&gene=genemark-NODE_14_length_319563_cov_30.9459_ID_1873-processed-gene-2.48&CDS=1-459
OG0000377	YIL113W, YNL053W	genemark-NODE_4_length_1011378_cov_28.5779_ID_1711-processed-gene-8.145-mRNA-1_1&gene=genemark-NODE_4_length_1011378_cov_28.5779_ID_1711-processed-gene-8.145&CDS=1-1203
OG0000378	YIL130W	genemark-NODE_11_length_448003_cov_30.8281_ID_1903-processed-gene-1.48-mRNA-1_1&gene=genemark-NODE_11_length_448003_cov_30.8281_ID_1903-processed-gene-1.48&CDS=1-2340, genemark-NODE_11_length_448003_cov_30.8281_ID_1903-processed-gene-1.62-mRNA-1_1&gene=genemark-NODE_11_length_448003_cov_30.8281_ID_1903-processed-gene-1.62&CDS=1-2499
OG0000379	YIL131C, YNL068C	genemark-NODE_11_length_448003_cov_30.8281_ID_1903-processed-gene-1.33-mRNA-1_1&gene=genemark-NODE_11_length_448003_cov_30.8281_ID_1903-processed-gene-1.33&CDS=1-2160
OG0000380	YIL133C, YNL069C	augustus_masked-NODE_11_length_448003_cov_30.8281_ID_1903-processed-gene-1.87-mRNA-1_1&gene=augustus_masked-NODE_11_length_448003_cov_30.8281_ID_1903-processed-gene-1.87&CDS=1-1059
OG0000381	YIL135C, YNL074C	genemark-NODE_19_length_157684_cov_26.3241_ID_2499-processed-gene-0.124-mRNA-1_1&gene=genemark-NODE_19_length_157684_cov_26.3241_ID_2499-processed-gene-0.124&CDS=1-1269
OG0000382	YIL151C, YKR096W	snap_masked-NODE_5_length_936046_cov_26.7859_ID_1564-processed-gene-0.67-mRNA-1_1&gene=snap_masked-NODE_5_length_936046_cov_26.7859_ID_1564-processed-gene-0.67&CDS=1-3414
OG0000383	YIR006C	augustus_masked-NODE_12_length_421088_cov_34.1689_ID_4172-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-NODE_12_length_421088_cov_34.1689_ID_4172-processed-gene-0.29&CDS=1-3222, maker-NODE_6_length_684522_cov_27.6258_ID_2038-snap-gene-5.211-mRNA-1_1&gene=maker-NODE_6_length_684522_cov_27.6258_ID_2038-snap-gene-5.211&CDS=1-4095
OG0000384	YIR033W, YKL020C	genemark-NODE_1_length_1846036_cov_27.8053_ID_2084-processed-gene-17.116-mRNA-1_1&gene=genemark-NODE_1_length_1846036_cov_27.8053_ID_2084-processed-gene-17.116&CDS=1-3072
OG0000385	YJL079C, YKR013W	maker-NODE_5_length_936046_cov_26.7859_ID_1564-snap-gene-8.79-mRNA-1_1&gene=maker-NODE_5_length_936046_cov_26.7859_ID_1564-snap-gene-8.79&CDS=1-1425
OG0000386	YJL082W, YKR018C	genemark-NODE_5_length_936046_cov_26.7859_ID_1564-processed-gene-4.120-mRNA-1_1&gene=genemark-NODE_5_length_936046_cov_26.7859_ID_1564-processed-gene-4.120&CDS=1-2163
OG0000387	YJL083W, YKR019C	genemark-NODE_5_length_936046_cov_26.7859_ID_1564-processed-gene-4.121-mRNA-1_1&gene=genemark-NODE_5_length_936046_cov_26.7859_ID_1564-processed-gene-4.121&CDS=1-1914
OG0000388	YJL099W, YKR027W	genemark-NODE_1_length_1846036_cov_27.8053_ID_2084-processed-gene-13.69-mRNA-1_1&gene=genemark-NODE_1_length_1846036_cov_27.8053_ID_2084-processed-gene-13.69&CDS=1-2058
OG0000389	YJL134W, YKR053C	genemark-NODE_6_length_684522_cov_27.6258_ID_2038-processed-gene-3.136-mRNA-1_1&gene=genemark-NODE_6_length_684522_cov_27.6258_ID_2038-processed-gene-3.136&CDS=1-1488
OG0000390	YJL163C	genemark-NODE_12_length_421088_cov_34.1689_ID_4172-processed-gene-0.99-mRNA-1_1&gene=genemark-NODE_12_length_421088_cov_34.1689_ID_4172-processed-gene-0.99&CDS=1-1731, genemark-NODE_5_length_936046_cov_26.7859_ID_1564-processed-gene-7.131-mRNA-1_1&gene=genemark-NODE_5_length_936046_cov_26.7859_ID_1564-processed-gene-7.131&CDS=1-1554
OG0000391	YJL174W	genemark-NODE_12_length_421088_cov_34.1689_ID_4172-processed-gene-0.117-mRNA-1_1&gene=genemark-NODE_12_length_421088_cov_34.1689_ID_4172-processed-gene-0.117&CDS=1-861, genemark-NODE_17_length_199916_cov_36.786_ID_2328-processed-gene-0.59-mRNA-1_1&gene=genemark-NODE_17_length_199916_cov_36.786_ID_2328-processed-gene-0.59&CDS=1-867
OG0000392	YJL177W, YKL180W	genemark-NODE_12_length_421088_cov_34.1689_ID_4172-processed-gene-3.89-mRNA-1_1&gene=genemark-NODE_12_length_421088_cov_34.1689_ID_4172-processed-gene-3.89&CDS=1-552
OG0000393	YJR004C	genemark-NODE_9_length_534558_cov_31.6761_ID_2611-processed-gene-3.74-mRNA-1_1&gene=genemark-NODE_9_length_534558_cov_31.6761_ID_2611-processed-gene-3.74&CDS=1-3333, snap_masked-NODE_11_length_448003_cov_30.8281_ID_1903-processed-gene-1.118-mRNA-1_1&gene=snap_masked-NODE_11_length_448003_cov_30.8281_ID_1903-processed-gene-1.118&CDS=1-2844
OG0000394	YJR046W	augustus_masked-NODE_1_length_1846036_cov_27.8053_ID_2084-processed-gene-13.14-mRNA-1_1&gene=augustus_masked-NODE_1_length_1846036_cov_27.8053_ID_2084-processed-gene-13.14&CDS=1-1920, genemark-NODE_1_length_1846036_cov_27.8053_ID_2084-processed-gene-17.145-mRNA-1_1&gene=genemark-NODE_1_length_1846036_cov_27.8053_ID_2084-processed-gene-17.145&CDS=1-1125
OG0000395	YJR054W, YML047C	genemark-NODE_16_length_229239_cov_28.4716_ID_2531-processed-gene-1.98-mRNA-1_1&gene=genemark-NODE_16_length_229239_cov_28.4716_ID_2531-processed-gene-1.98&CDS=1-1641
OG0000396	YJR059W, YKL198C	genemark-NODE_11_length_448003_cov_30.8281_ID_1903-processed-gene-3.176-mRNA-1_1&gene=genemark-NODE_11_length_448003_cov_30.8281_ID_1903-processed-gene-3.176&CDS=1-2289
OG0000397	YJR069C	genemark-NODE_1_length_1846036_cov_27.8053_ID_2084-processed-gene-3.85-mRNA-1_1&gene=genemark-NODE_1_length_1846036_cov_27.8053_ID_2084-processed-gene-3.85&CDS=1-567, genemark-NODE_7_length_604780_cov_35.2488_ID_6569-processed-gene-1.0-mRNA-1_1&gene=genemark-NODE_7_length_604780_cov_35.2488_ID_6569-processed-gene-1.0&CDS=1-576
OG0000398	YJR091C, YPR042C	genemark-NODE_13_length_379008_cov_27.2557_ID_1972-processed-gene-2.116-mRNA-1_1&gene=genemark-NODE_13_length_379008_cov_27.2557_ID_1972-processed-gene-2.116&CDS=1-3093
OG0000399	YJR094W-A, YPR043W	augustus_masked-NODE_13_length_379008_cov_27.2557_ID_1972-processed-gene-2.65-mRNA-1_1&gene=augustus_masked-NODE_13_length_379008_cov_27.2557_ID_1972-processed-gene-2.65&CDS=1-285
OG0000400	YJR126C	genemark-NODE_2_length_1528460_cov_26.3327_ID_1453-processed-gene-10.119-mRNA-1_1&gene=genemark-NODE_2_length_1528460_cov_26.3327_ID_1453-processed-gene-10.119&CDS=1-2007, genemark-NODE_2_length_1528460_cov_26.3327_ID_1453-processed-gene-6.26-mRNA-1_1&gene=genemark-NODE_2_length_1528460_cov_26.3327_ID_1453-processed-gene-6.26&CDS=1-2310
OG0000401	YJR130C, YML082W	genemark-NODE_8_length_590382_cov_34.9311_ID_2147-processed-gene-3.150-mRNA-1_1&gene=genemark-NODE_8_length_590382_cov_34.9311_ID_2147-processed-gene-3.150&CDS=1-1635
OG0000402	YKL040C	genemark-NODE_1_length_1846036_cov_27.8053_ID_2084-processed-gene-11.57-mRNA-1_1&gene=genemark-NODE_1_length_1846036_cov_27.8053_ID_2084-processed-gene-11.57&CDS=1-732, genemark-NODE_2_length_1528460_cov_26.3327_ID_1453-processed-gene-13.50-mRNA-1_1&gene=genemark-NODE_2_length_1528460_cov_26.3327_ID_1453-processed-gene-13.50&CDS=1-699
OG0000403	YKL043W	augustus_masked-NODE_8_length_590382_cov_34.9311_ID_2147-processed-gene-2.37-mRNA-1_1&gene=augustus_masked-NODE_8_length_590382_cov_34.9311_ID_2147-processed-gene-2.37&CDS=1-1371, genemark-NODE_2_length_1528460_cov_26.3327_ID_1453-processed-gene-3.51-mRNA-1_1&gene=genemark-NODE_2_length_1528460_cov_26.3327_ID_1453-processed-gene-3.51&CDS=1-1074
OG0000404	YKL050C, YMR031C	genemark-NODE_16_length_229239_cov_28.4716_ID_2531-processed-gene-0.20-mRNA-1_1&gene=genemark-NODE_16_length_229239_cov_28.4716_ID_2531-processed-gene-0.20&CDS=1-2328
OG0000405	YKL068W, YMR047C	genemark-NODE_12_length_421088_cov_34.1689_ID_4172-processed-gene-3.104-mRNA-1_1&gene=genemark-NODE_12_length_421088_cov_34.1689_ID_4172-processed-gene-3.104&CDS=1-3168
OG0000406	YKL072W, YMR053C	genemark-NODE_9_length_534558_cov_31.6761_ID_2611-processed-gene-4.85-mRNA-1_1&gene=genemark-NODE_9_length_534558_cov_31.6761_ID_2611-processed-gene-4.85&CDS=1-2268
OG0000407	YKL096W	genemark-NODE_1_length_1846036_cov_27.8053_ID_2084-processed-gene-17.126-mRNA-1_1&gene=genemark-NODE_1_length_1846036_cov_27.8053_ID_2084-processed-gene-17.126&CDS=1-570, genemark-NODE_8_length_590382_cov_34.9311_ID_2147-processed-gene-1.66-mRNA-1_1&gene=genemark-NODE_8_length_590382_cov_34.9311_ID_2147-processed-gene-1.66&CDS=1-543
OG0000408	YKL121W, YMR102C	genemark-NODE_4_length_1011378_cov_28.5779_ID_1711-processed-gene-8.147-mRNA-1_1&gene=genemark-NODE_4_length_1011378_cov_28.5779_ID_1711-processed-gene-8.147&CDS=1-2220
OG0000409	YKL126W, YMR104C	genemark-NODE_13_length_379008_cov_27.2557_ID_1972-processed-gene-2.128-mRNA-1_1&gene=genemark-NODE_13_length_379008_cov_27.2557_ID_1972-processed-gene-2.128&CDS=1-1932
OG0000410	YKL127W, YMR105C	maker-NODE_5_length_936046_cov_26.7859_ID_1564-augustus-gene-8.75-mRNA-1_1&gene=maker-NODE_5_length_936046_cov_26.7859_ID_1564-augustus-gene-8.75&CDS=1-2775
OG0000411	YKL141W, YMR118C	genemark-NODE_10_length_472098_cov_26.9767_ID_2461-processed-gene-0.34-mRNA-1_1&gene=genemark-NODE_10_length_472098_cov_26.9767_ID_2461-processed-gene-0.34&CDS=1-498
OG0000412	YKR034W	genemark-NODE_1_length_1846036_cov_27.8053_ID_2084-processed-gene-8.79-mRNA-1_1&gene=genemark-NODE_1_length_1846036_cov_27.8053_ID_2084-processed-gene-8.79&CDS=1-747, genemark-NODE_9_length_534558_cov_31.6761_ID_2611-processed-gene-3.63-mRNA-1_1&gene=genemark-NODE_9_length_534558_cov_31.6761_ID_2611-processed-gene-3.63&CDS=1-1347
OG0000413	YKR075C, YOR062C	genemark-NODE_3_length_1016736_cov_29.5442_ID_1801-processed-gene-3.51-mRNA-1_1&gene=genemark-NODE_3_length_1016736_cov_29.5442_ID_1801-processed-gene-3.51&CDS=1-660
OG0000414	YKR076W, YMR251W	genemark-NODE_9_length_534558_cov_31.6761_ID_2611-processed-gene-2.104-mRNA-1_1&gene=genemark-NODE_9_length_534558_cov_31.6761_ID_2611-processed-gene-2.104&CDS=1-1026
OG0000415	YKR091W, YOR083W	genemark-NODE_2_length_1528460_cov_26.3327_ID_1453-processed-gene-5.52-mRNA-1_1&gene=genemark-NODE_2_length_1528460_cov_26.3327_ID_1453-processed-gene-5.52&CDS=1-1056
OG0000416	YKR093W	genemark-NODE_1_length_1846036_cov_27.8053_ID_2084-processed-gene-3.108-mRNA-1_1&gene=genemark-NODE_1_length_1846036_cov_27.8053_ID_2084-processed-gene-3.108&CDS=1-1923, maker-NODE_14_length_319563_cov_30.9459_ID_1873-snap-gene-2.5-mRNA-1_1&gene=maker-NODE_14_length_319563_cov_30.9459_ID_1873-snap-gene-2.5&CDS=1-3840
OG0000417	YLL012W, YLR020C	genemark-NODE_11_length_448003_cov_30.8281_ID_1903-processed-gene-0.143-mRNA-1_1&gene=genemark-NODE_11_length_448003_cov_30.8281_ID_1903-processed-gene-0.143&CDS=1-1134
OG0000418	YLL016W, YLR310C	genemark-NODE_5_length_936046_cov_26.7859_ID_1564-processed-gene-8.119-mRNA-1_1&gene=genemark-NODE_5_length_936046_cov_26.7859_ID_1564-processed-gene-8.119&CDS=1-3396
OG0000419	YLL057C	genemark-NODE_10_length_472098_cov_26.9767_ID_2461-processed-gene-1.120-mRNA-1_1&gene=genemark-NODE_10_length_472098_cov_26.9767_ID_2461-processed-gene-1.120&CDS=1-1185, genemark-NODE_1_length_1846036_cov_27.8053_ID_2084-processed-gene-1.14-mRNA-1_1&gene=genemark-NODE_1_length_1846036_cov_27.8053_ID_2084-processed-gene-1.14&CDS=1-1191
OG0000420	YLL061W, YPL274W	genemark-NODE_11_length_448003_cov_30.8281_ID_1903-processed-gene-3.133-mRNA-1_1&gene=genemark-NODE_11_length_448003_cov_30.8281_ID_1903-processed-gene-3.133&CDS=1-1713
OG0000421	YLR004C	genemark-NODE_4_length_1011378_cov_28.5779_ID_1711-processed-gene-8.129-mRNA-1_1&gene=genemark-NODE_4_length_1011378_cov_28.5779_ID_1711-processed-gene-8.129&CDS=1-1533, genemark-NODE_8_length_590382_cov_34.9311_ID_2147-processed-gene-4.168-mRNA-1_1&gene=genemark-NODE_8_length_590382_cov_34.9311_ID_2147-processed-gene-4.168&CDS=1-1407
OG0000422	YLR098C, YOR337W	augustus_masked-NODE_12_length_421088_cov_34.1689_ID_4172-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_12_length_421088_cov_34.1689_ID_4172-processed-gene-0.0&CDS=1-1488
OG0000423	YLR130C	genemark-NODE_14_length_319563_cov_30.9459_ID_1873-processed-gene-0.103-mRNA-1_1&gene=genemark-NODE_14_length_319563_cov_30.9459_ID_1873-processed-gene-0.103&CDS=1-1089, genemark-NODE_1_length_1846036_cov_27.8053_ID_2084-processed-gene-12.28-mRNA-1_1&gene=genemark-NODE_1_length_1846036_cov_27.8053_ID_2084-processed-gene-12.28&CDS=1-1098
OG0000424	YLR138W	genemark-NODE_10_length_472098_cov_26.9767_ID_2461-processed-gene-3.262-mRNA-1_1&gene=genemark-NODE_10_length_472098_cov_26.9767_ID_2461-processed-gene-3.262&CDS=1-2709, genemark-NODE_8_length_590382_cov_34.9311_ID_2147-processed-gene-0.17-mRNA-1_1&gene=genemark-NODE_8_length_590382_cov_34.9311_ID_2147-processed-gene-0.17&CDS=1-1752
OG0000425	YLR181C	genemark-NODE_10_length_472098_cov_26.9767_ID_2461-processed-gene-2.19-mRNA-1_1&gene=genemark-NODE_10_length_472098_cov_26.9767_ID_2461-processed-gene-2.19&CDS=1-960, genemark-NODE_8_length_590382_cov_34.9311_ID_2147-processed-gene-4.152-mRNA-1_1&gene=genemark-NODE_8_length_590382_cov_34.9311_ID_2147-processed-gene-4.152&CDS=1-1227
OG0000426	YLR241W	genemark-NODE_1_length_1846036_cov_27.8053_ID_2084-processed-gene-3.84-mRNA-1_1&gene=genemark-NODE_1_length_1846036_cov_27.8053_ID_2084-processed-gene-3.84&CDS=1-2502, genemark-NODE_7_length_604780_cov_35.2488_ID_6569-processed-gene-2.155-mRNA-1_1&gene=genemark-NODE_7_length_604780_cov_35.2488_ID_6569-processed-gene-2.155&CDS=1-2526
OG0000427	YLR248W	genemark-NODE_4_length_1011378_cov_28.5779_ID_1711-processed-gene-7.110-mRNA-1_1&gene=genemark-NODE_4_length_1011378_cov_28.5779_ID_1711-processed-gene-7.110&CDS=1-1509, snap_masked-NODE_6_length_684522_cov_27.6258_ID_2038-processed-gene-0.34-mRNA-1_1&gene=snap_masked-NODE_6_length_684522_cov_27.6258_ID_2038-processed-gene-0.34&CDS=1-1461
OG0000428	YLR270W, YOR173W	genemark-NODE_1_length_1846036_cov_27.8053_ID_2084-processed-gene-0.33-mRNA-1_1&gene=genemark-NODE_1_length_1846036_cov_27.8053_ID_2084-processed-gene-0.33&CDS=1-891
OG0000429	YLR284C, YOR180C	genemark-NODE_10_length_472098_cov_26.9767_ID_2461-processed-gene-1.134-mRNA-1_1&gene=genemark-NODE_10_length_472098_cov_26.9767_ID_2461-processed-gene-1.134&CDS=1-816
OG0000430	YLR287C-A, YOR182C	genemark-NODE_7_length_604780_cov_35.2488_ID_6569-processed-gene-4.125-mRNA-1_1&gene=genemark-NODE_7_length_604780_cov_35.2488_ID_6569-processed-gene-4.125&CDS=1-858
OG0000431	YLR300W, YOR190W	genemark-NODE_10_length_472098_cov_26.9767_ID_2461-processed-gene-0.48-mRNA-1_1&gene=genemark-NODE_10_length_472098_cov_26.9767_ID_2461-processed-gene-0.48&CDS=1-1236
OG0000432	YLR351C	genemark-NODE_2_length_1528460_cov_26.3327_ID_1453-processed-gene-8.135-mRNA-1_1&gene=genemark-NODE_2_length_1528460_cov_26.3327_ID_1453-processed-gene-8.135&CDS=1-867, genemark-NODE_3_length_1016736_cov_29.5442_ID_1801-processed-gene-2.8-mRNA-1_1&gene=genemark-NODE_3_length_1016736_cov_29.5442_ID_1801-processed-gene-2.8&CDS=1-1146
OG0000433	YLR441C	genemark-NODE_16_length_229239_cov_28.4716_ID_2531-processed-gene-0.17-mRNA-1_1&gene=genemark-NODE_16_length_229239_cov_28.4716_ID_2531-processed-gene-0.17&CDS=1-765, genemark-NODE_5_length_936046_cov_26.7859_ID_1564-processed-gene-0.16-mRNA-1_1&gene=genemark-NODE_5_length_936046_cov_26.7859_ID_1564-processed-gene-0.16&CDS=1-765
OG0000434	YLR456W, YPR172W	genemark-NODE_1_length_1846036_cov_27.8053_ID_2084-processed-gene-5.8-mRNA-1_1&gene=genemark-NODE_1_length_1846036_cov_27.8053_ID_2084-processed-gene-5.8&CDS=1-582
OG0000435	YML088W	augustus_masked-NODE_10_length_472098_cov_26.9767_ID_2461-processed-gene-3.90-mRNA-1_1&gene=augustus_masked-NODE_10_length_472098_cov_26.9767_ID_2461-processed-gene-3.90&CDS=1-1188, augustus_masked-NODE_10_length_472098_cov_26.9767_ID_2461-processed-gene-3.91-mRNA-1_1&gene=augustus_masked-NODE_10_length_472098_cov_26.9767_ID_2461-processed-gene-3.91&CDS=1-1704
OG0000436	YML100W, YMR261C	genemark-NODE_10_length_472098_cov_26.9767_ID_2461-processed-gene-3.179-mRNA-1_1&gene=genemark-NODE_10_length_472098_cov_26.9767_ID_2461-processed-gene-3.179&CDS=1-3006
OG0000437	YML109W, YMR273C	genemark-NODE_2_length_1528460_cov_26.3327_ID_1453-processed-gene-9.143-mRNA-1_1&gene=genemark-NODE_2_length_1528460_cov_26.3327_ID_1453-processed-gene-9.143&CDS=1-2226
OG0000438	YML111W, YMR275C	genemark-NODE_1_length_1846036_cov_27.8053_ID_2084-processed-gene-10.94-mRNA-1_1&gene=genemark-NODE_1_length_1846036_cov_27.8053_ID_2084-processed-gene-10.94&CDS=1-2337
OG0000439	YMR020W	genemark-NODE_3_length_1016736_cov_29.5442_ID_1801-processed-gene-4.25-mRNA-1_1&gene=genemark-NODE_3_length_1016736_cov_29.5442_ID_1801-processed-gene-4.25&CDS=1-1374, maker-NODE_4_length_1011378_cov_28.5779_ID_1711-augustus-gene-4.161-mRNA-1_1&gene=maker-NODE_4_length_1011378_cov_28.5779_ID_1711-augustus-gene-4.161&CDS=1-2619
OG0000440	YMR119W, YNL008C	genemark-NODE_13_length_379008_cov_27.2557_ID_1972-processed-gene-1.49-mRNA-1_1&gene=genemark-NODE_13_length_379008_cov_27.2557_ID_1972-processed-gene-1.49&CDS=1-1869
OG0000441	YMR152W	genemark-NODE_10_length_472098_cov_26.9767_ID_2461-processed-gene-3.219-mRNA-1_1&gene=genemark-NODE_10_length_472098_cov_26.9767_ID_2461-processed-gene-3.219&CDS=1-1035, genemark-NODE_2_length_1528460_cov_26.3327_ID_1453-processed-gene-13.43-mRNA-1_1&gene=genemark-NODE_2_length_1528460_cov_26.3327_ID_1453-processed-gene-13.43&CDS=1-1044
OG0000442	YMR183C, YPL232W	genemark-NODE_3_length_1016736_cov_29.5442_ID_1801-processed-gene-6.142-mRNA-1_1&gene=genemark-NODE_3_length_1016736_cov_29.5442_ID_1801-processed-gene-6.142&CDS=1-873
OG0000443	YMR186W, YPL240C	genemark-NODE_4_length_1011378_cov_28.5779_ID_1711-processed-gene-1.68-mRNA-1_1&gene=genemark-NODE_4_length_1011378_cov_28.5779_ID_1711-processed-gene-1.68&CDS=1-2100
OG0000444	YMR199W, YPL256C	genemark-NODE_5_length_936046_cov_26.7859_ID_1564-processed-gene-2.31-mRNA-1_1&gene=genemark-NODE_5_length_936046_cov_26.7859_ID_1564-processed-gene-2.31&CDS=1-1173
OG0000445	YMR222C, YOR280C	genemark-NODE_19_length_157684_cov_26.3241_ID_2499-processed-gene-0.142-mRNA-1_1&gene=genemark-NODE_19_length_157684_cov_26.3241_ID_2499-processed-gene-0.142&CDS=1-681
OG0000446	YMR226C	genemark-NODE_14_length_319563_cov_30.9459_ID_1873-processed-gene-0.94-mRNA-1_1&gene=genemark-NODE_14_length_319563_cov_30.9459_ID_1873-processed-gene-0.94&CDS=1-807, genemark-NODE_9_length_534558_cov_31.6761_ID_2611-processed-gene-3.98-mRNA-1_1&gene=genemark-NODE_9_length_534558_cov_31.6761_ID_2611-processed-gene-3.98&CDS=1-801
OG0000447	YMR230W, YOR293W	genemark-NODE_17_length_199916_cov_36.786_ID_2328-processed-gene-0.44-mRNA-1_1&gene=genemark-NODE_17_length_199916_cov_36.786_ID_2328-processed-gene-0.44&CDS=1-330
OG0000448	YMR237W, YOR299W	augustus_masked-NODE_5_length_936046_cov_26.7859_ID_1564-processed-gene-3.17-mRNA-1_1&gene=augustus_masked-NODE_5_length_936046_cov_26.7859_ID_1564-processed-gene-3.17&CDS=1-3897
OG0000449	YMR242C, YOR312C	genemark-NODE_10_length_472098_cov_26.9767_ID_2461-processed-gene-2.14-mRNA-1_1&gene=genemark-NODE_10_length_472098_cov_26.9767_ID_2461-processed-gene-2.14&CDS=1-528
OG0000450	YMR253C, YPL264C	genemark-NODE_1_length_1846036_cov_27.8053_ID_2084-processed-gene-10.68-mRNA-1_1&gene=genemark-NODE_1_length_1846036_cov_27.8053_ID_2084-processed-gene-10.68&CDS=1-1182
OG0000451	YNL020C	genemark-NODE_13_length_379008_cov_27.2557_ID_1972-processed-gene-0.31-mRNA-1_1&gene=genemark-NODE_13_length_379008_cov_27.2557_ID_1972-processed-gene-0.31&CDS=1-2424, genemark-NODE_7_length_604780_cov_35.2488_ID_6569-processed-gene-3.63-mRNA-1_1&gene=genemark-NODE_7_length_604780_cov_35.2488_ID_6569-processed-gene-3.63&CDS=1-2541
OG0000452	YNL027W	genemark-NODE_1_length_1846036_cov_27.8053_ID_2084-processed-gene-9.169-mRNA-1_1&gene=genemark-NODE_1_length_1846036_cov_27.8053_ID_2084-processed-gene-9.169&CDS=1-1632, genemark-NODE_4_length_1011378_cov_28.5779_ID_1711-processed-gene-0.49-mRNA-1_1&gene=genemark-NODE_4_length_1011378_cov_28.5779_ID_1711-processed-gene-0.49&CDS=1-1278
OG0000453	YNL042W	augustus_masked-NODE_4_length_1011378_cov_28.5779_ID_1711-processed-gene-2.23-mRNA-1_1&gene=augustus_masked-NODE_4_length_1011378_cov_28.5779_ID_1711-processed-gene-2.23&CDS=1-1320, genemark-NODE_6_length_684522_cov_27.6258_ID_2038-processed-gene-3.147-mRNA-1_1&gene=genemark-NODE_6_length_684522_cov_27.6258_ID_2038-processed-gene-3.147&CDS=1-1032
OG0000454	YNL065W	genemark-NODE_14_length_319563_cov_30.9459_ID_1873-processed-gene-2.27-mRNA-1_1&gene=genemark-NODE_14_length_319563_cov_30.9459_ID_1873-processed-gene-2.27&CDS=1-1500, genemark-NODE_14_length_319563_cov_30.9459_ID_1873-processed-gene-2.28-mRNA-1_1&gene=genemark-NODE_14_length_319563_cov_30.9459_ID_1873-processed-gene-2.28&CDS=1-1563
OG0000455	YNL125C	genemark-NODE_15_length_262161_cov_34.6843_ID_2117-processed-gene-0.19-mRNA-1_1&gene=genemark-NODE_15_length_262161_cov_34.6843_ID_2117-processed-gene-0.19&CDS=1-1452, snap_masked-NODE_1_length_1846036_cov_27.8053_ID_2084-processed-gene-7.117-mRNA-1_1&gene=snap_masked-NODE_1_length_1846036_cov_27.8053_ID_2084-processed-gene-7.117&CDS=1-4227
OG0000456	YNL274C	genemark-NODE_15_length_262161_cov_34.6843_ID_2117-processed-gene-1.39-mRNA-1_1&gene=genemark-NODE_15_length_262161_cov_34.6843_ID_2117-processed-gene-1.39&CDS=1-1020, genemark-NODE_2_length_1528460_cov_26.3327_ID_1453-processed-gene-7.91-mRNA-1_1&gene=genemark-NODE_2_length_1528460_cov_26.3327_ID_1453-processed-gene-7.91&CDS=1-1029
OG0000457	YNL301C, YOL120C	maker-NODE_10_length_472098_cov_26.9767_ID_2461-snap-gene-3.276-mRNA-1_1&gene=maker-NODE_10_length_472098_cov_26.9767_ID_2461-snap-gene-3.276&CDS=1-930
OG0000458	YNR058W	snap_masked-NODE_7_length_604780_cov_35.2488_ID_6569-processed-gene-2.25-mRNA-1_1&gene=snap_masked-NODE_7_length_604780_cov_35.2488_ID_6569-processed-gene-2.25&CDS=1-1287, snap_masked-NODE_7_length_604780_cov_35.2488_ID_6569-processed-gene-2.26-mRNA-1_1&gene=snap_masked-NODE_7_length_604780_cov_35.2488_ID_6569-processed-gene-2.26&CDS=1-1365
OG0000459	YNR074C	genemark-NODE_16_length_229239_cov_28.4716_ID_2531-processed-gene-1.69-mRNA-1_1&gene=genemark-NODE_16_length_229239_cov_28.4716_ID_2531-processed-gene-1.69&CDS=1-1113, genemark-NODE_5_length_936046_cov_26.7859_ID_1564-processed-gene-4.118-mRNA-1_1&gene=genemark-NODE_5_length_936046_cov_26.7859_ID_1564-processed-gene-4.118&CDS=1-1125
OG0000460	YOL075C	genemark-NODE_4_length_1011378_cov_28.5779_ID_1711-processed-gene-6.97-mRNA-1_1&gene=genemark-NODE_4_length_1011378_cov_28.5779_ID_1711-processed-gene-6.97&CDS=1-6726, genemark-NODE_6_length_684522_cov_27.6258_ID_2038-processed-gene-1.141-mRNA-1_1&gene=genemark-NODE_6_length_684522_cov_27.6258_ID_2038-processed-gene-1.141&CDS=1-3723
OG0000461	YOL152W	genemark-NODE_8_length_590382_cov_34.9311_ID_2147-processed-gene-2.88-mRNA-1_1&gene=genemark-NODE_8_length_590382_cov_34.9311_ID_2147-processed-gene-2.88&CDS=1-1830, genemark-NODE_8_length_590382_cov_34.9311_ID_2147-processed-gene-2.89-mRNA-1_1&gene=genemark-NODE_8_length_590382_cov_34.9311_ID_2147-processed-gene-2.89&CDS=1-1830
OG0000462	YOR008C	genemark-NODE_3_length_1016736_cov_29.5442_ID_1801-processed-gene-0.1-mRNA-1_1&gene=genemark-NODE_3_length_1016736_cov_29.5442_ID_1801-processed-gene-0.1&CDS=1-1131, genemark-NODE_3_length_1016736_cov_29.5442_ID_1801-processed-gene-6.116-mRNA-1_1&gene=genemark-NODE_3_length_1016736_cov_29.5442_ID_1801-processed-gene-6.116&CDS=1-957
