	Ascoidea_rubescens	Saccharomyces_cerevisiae
OG0000407	augustus_masked-scaffold_3-processed-gene-9.63-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-9.63&CDS=1-3825	YLR260W, YOR171C
OG0000408	snap_masked-scaffold_3-processed-gene-10.14-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-10.14&CDS=1-4524	YAL017W, YOL045W
OG0000409	genemark-scaffold_3-processed-gene-11.5-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-11.5&CDS=1-1305	YDR312W, YHR066W
OG0000410	genemark-scaffold_3-processed-gene-12.134-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-12.134&CDS=1-4272	YCR091W, YNR047W
OG0000411	genemark-scaffold_5-processed-gene-1.110-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-1.110&CDS=1-852, maker-scaffold_4-snap-gene-0.3-mRNA-1_1&gene=maker-scaffold_4-snap-gene-0.3&CDS=1-432	YOR238W
OG0000412	genemark-scaffold_4-processed-gene-0.98-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-0.98&CDS=1-4455, genemark-scaffold_8-processed-gene-7.36-mRNA-1_1&gene=genemark-scaffold_8-processed-gene-7.36&CDS=1-3084	YJL187C
OG0000413	genemark-scaffold_4-processed-gene-0.105-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-0.105&CDS=1-2529, snap_masked-scaffold_6-processed-gene-7.18-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-7.18&CDS=1-2673	YLR362W
OG0000414	genemark-scaffold_4-processed-gene-0.92-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-0.92&CDS=1-1836	YGR092W, YPR111W
OG0000415	snap_masked-scaffold_4-processed-gene-2.103-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-2.103&CDS=1-603, snap_masked-scaffold_4-processed-gene-2.75-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-2.75&CDS=1-603	YDR032C
OG0000416	genemark-scaffold_4-processed-gene-2.64-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-2.64&CDS=1-1089, genemark-scaffold_7-processed-gene-8.33-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-8.33&CDS=1-1356	YJR019C
OG0000417	augustus_masked-scaffold_4-processed-gene-2.32-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-2.32&CDS=1-1455	YGR141W, YPR157W
OG0000418	snap_masked-scaffold_4-processed-gene-3.5-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-3.5&CDS=1-5343	YLL016W, YLR310C
OG0000419	augustus_masked-scaffold_4-processed-gene-3.72-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-3.72&CDS=1-5874, snap_masked-scaffold_4-processed-gene-3.24-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-3.24&CDS=1-1323	YMR319C
OG0000420	genemark-scaffold_4-processed-gene-3.56-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-3.56&CDS=1-459	YGR118W, YPR132W
OG0000421	genemark-scaffold_4-processed-gene-3.68-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-3.68&CDS=1-1101	YHR132W-A, YNL157W
OG0000422	genemark-scaffold_4-processed-gene-5.48-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-5.48&CDS=1-2178	YJL193W, YOR307C
OG0000423	maker-scaffold_5-augustus-gene-9.57-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-9.57&CDS=1-7686, snap_masked-scaffold_4-processed-gene-5.82-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-5.82&CDS=1-6645	YJL005W
OG0000424	genemark-scaffold_4-processed-gene-8.5-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-8.5&CDS=1-3816, maker-scaffold_4-snap-gene-5.10-mRNA-1_1&gene=maker-scaffold_4-snap-gene-5.10&CDS=1-4329	YGL006W
OG0000425	genemark-scaffold_4-processed-gene-6.17-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-6.17&CDS=1-972	YLR270W, YOR173W
OG0000426	genemark-scaffold_4-processed-gene-7.82-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-7.82&CDS=1-1821	YDR259C, YOR028C
OG0000427	maker-scaffold_4-snap-gene-7.73-mRNA-1_1&gene=maker-scaffold_4-snap-gene-7.73&CDS=1-1446, maker-scaffold_6-snap-gene-3.49-mRNA-1_1&gene=maker-scaffold_6-snap-gene-3.49&CDS=1-1836	YNL320W
OG0000428	genemark-scaffold_4-processed-gene-7.92-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-7.92&CDS=1-765	YMR222C, YOR280C
OG0000429	genemark-scaffold_4-processed-gene-7.108-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-7.108&CDS=1-2574	YJL110C, YKR034W
OG0000430	genemark-scaffold_4-processed-gene-9.52-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-9.52&CDS=1-1305, snap_masked-scaffold_4-processed-gene-7.13-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-7.13&CDS=1-1521	YDR388W
OG0000431	genemark-scaffold_4-processed-gene-8.1-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-8.1&CDS=1-4848	YHR077C, YMR235C
OG0000432	maker-scaffold_4-augustus-gene-8.75-mRNA-1_1&gene=maker-scaffold_4-augustus-gene-8.75&CDS=1-2799	YGR108W, YPR119W
OG0000433	maker-scaffold_4-snap-gene-9.37-mRNA-1_1&gene=maker-scaffold_4-snap-gene-9.37&CDS=1-8463	YAR042W, YDL019C
OG0000434	snap_masked-scaffold_4-processed-gene-10.142-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-10.142&CDS=1-378	YGR034W, YLR344W
OG0000435	snap_masked-scaffold_4-processed-gene-10.120-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-10.120&CDS=1-5472	YLR031W, YMR124W
OG0000436	genemark-scaffold_4-processed-gene-10.23-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-10.23&CDS=1-2238, maker-scaffold_6-augustus-gene-4.105-mRNA-1_1&gene=maker-scaffold_6-augustus-gene-4.105&CDS=1-537	YMR137C
OG0000437	genemark-scaffold_5-processed-gene-0.73-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-0.73&CDS=1-2208, genemark-scaffold_5-processed-gene-3.7-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-3.7&CDS=1-2187	YOR370C
OG0000438	genemark-scaffold_5-processed-gene-0.91-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-0.91&CDS=1-339	YEL039C, YJR048W
OG0000439	genemark-scaffold_5-processed-gene-0.93-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-0.93&CDS=1-765, genemark-scaffold_7-processed-gene-5.8-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-5.8&CDS=1-795	YOR095C
OG0000440	genemark-scaffold_5-processed-gene-0.79-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-0.79&CDS=1-2421	YIL135C, YNL074C
OG0000441	genemark-scaffold_5-processed-gene-0.101-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-0.101&CDS=1-3000	YBL061C, YER096W
OG0000442	augustus_masked-scaffold_5-processed-gene-0.67-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-0.67&CDS=1-2361, snap_masked-scaffold_9-processed-gene-5.233-mRNA-1_1&gene=snap_masked-scaffold_9-processed-gene-5.233&CDS=1-2370	YLR304C
OG0000443	genemark-scaffold_5-processed-gene-1.97-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-1.97&CDS=1-3549	YBL087C, YER117W
OG0000444	genemark-scaffold_5-processed-gene-1.115-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-1.115&CDS=1-2250, genemark-scaffold_7-processed-gene-7.58-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-7.58&CDS=1-2337	YJL194W
OG0000445	snap_masked-scaffold_5-processed-gene-1.50-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-1.50&CDS=1-2130	YBR147W, YOL092W
OG0000446	maker-scaffold_5-snap-gene-2.36-mRNA-1_1&gene=maker-scaffold_5-snap-gene-2.36&CDS=1-4800	YCR073C, YNR031C
OG0000447	augustus_masked-scaffold_5-processed-gene-2.25-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-2.25&CDS=1-1542	YDR125C, YLR099C
OG0000448	genemark-scaffold_7-processed-gene-0.75-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-0.75&CDS=1-1521, snap_masked-scaffold_5-processed-gene-2.91-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-2.91&CDS=1-1458	YOL137W
OG0000449	augustus_masked-scaffold_5-processed-gene-2.26-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-2.26&CDS=1-1848, genemark-scaffold_9-processed-gene-5.22-mRNA-1_1&gene=genemark-scaffold_9-processed-gene-5.22&CDS=1-2151, maker-scaffold_5-augustus-gene-3.80-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-3.80&CDS=1-1689	
OG0000450	genemark-scaffold_5-processed-gene-2.77-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-2.77&CDS=1-912	YBR005W, YDR003W
OG0000451	genemark-scaffold_5-processed-gene-3.22-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-3.22&CDS=1-1497, maker-scaffold_8-snap-gene-2.122-mRNA-1_1&gene=maker-scaffold_8-snap-gene-2.122&CDS=1-2097	YPR161C
OG0000452	maker-scaffold_5-snap-gene-3.44-mRNA-1_1&gene=maker-scaffold_5-snap-gene-3.44&CDS=1-987	YCR073W-A, YNR034W
OG0000453	genemark-scaffold_5-processed-gene-3.8-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-3.8&CDS=1-1092, maker-scaffold_5-augustus-gene-3.86-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-3.86&CDS=1-1077	YPR061C
OG0000454	genemark-scaffold_5-processed-gene-3.14-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-3.14&CDS=1-3222	YDR251W, YPL032C
OG0000455	augustus_masked-scaffold_5-processed-gene-4.22-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-4.22&CDS=1-333	YDR382W, YOL039W
OG0000456	genemark-scaffold_5-processed-gene-5.96-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-5.96&CDS=1-558	YJL177W, YKL180W
OG0000457	genemark-scaffold_5-processed-gene-5.117-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-5.117&CDS=1-1422	YJL139C, YKR061W
OG0000458	snap_masked-scaffold_5-processed-gene-5.16-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-5.16&CDS=1-465	YDR252W, YPL037C
OG0000459	genemark-scaffold_5-processed-gene-7.46-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-7.46&CDS=1-2142	YDR263C, YOR033C
OG0000460	maker-scaffold_5-snap-gene-8.67-mRNA-1_1&gene=maker-scaffold_5-snap-gene-8.67&CDS=1-2223	YER064C, YIL056W
OG0000461	genemark-scaffold_5-processed-gene-8.91-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-8.91&CDS=1-5007	YJL098W, YKR028W
OG0000462	augustus_masked-scaffold_5-processed-gene-8.43-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-8.43&CDS=1-2913	YJL099W, YKR027W
OG0000463	genemark-scaffold_5-processed-gene-8.110-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-8.110&CDS=1-1722, genemark-scaffold_9-processed-gene-0.79-mRNA-1_1&gene=genemark-scaffold_9-processed-gene-0.79&CDS=1-1761	YBR296C
OG0000464	genemark-scaffold_5-processed-gene-9.138-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-9.138&CDS=1-471	YEL034W, YJR047C
OG0000465	genemark-scaffold_5-processed-gene-9.144-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-9.144&CDS=1-2595	YER054C, YIL045W
OG0000466	augustus_masked-scaffold_6-processed-gene-1.49-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-1.49&CDS=1-1371, genemark-scaffold_6-processed-gene-5.35-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-5.35&CDS=1-1350	YKL046C
OG0000467	augustus_masked-scaffold_6-processed-gene-1.51-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-1.51&CDS=1-1761	YLL012W, YLR020C
OG0000468	genemark-scaffold_6-processed-gene-1.27-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-1.27&CDS=1-600, genemark-scaffold_6-processed-gene-5.44-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-5.44&CDS=1-696	YIR001C
OG0000469	genemark-scaffold_6-processed-gene-4.73-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-4.73&CDS=1-1548	YBL056W, YER089C
OG0000470	genemark-scaffold_6-processed-gene-4.95-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-4.95&CDS=1-1827, maker-scaffold_6-snap-gene-4.2-mRNA-1_1&gene=maker-scaffold_6-snap-gene-4.2&CDS=1-3051	YNL234W
OG0000471	genemark-scaffold_6-processed-gene-4.96-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-4.96&CDS=1-1365	YAL062W, YOR375C
OG0000472	genemark-scaffold_6-processed-gene-4.79-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-4.79&CDS=1-4485	YBL067C, YER098W
OG0000473	maker-scaffold_6-snap-gene-4.0-mRNA-1_1&gene=maker-scaffold_6-snap-gene-4.0&CDS=1-963	YBL068W, YER099C
OG0000474	genemark-scaffold_6-processed-gene-6.109-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-6.109&CDS=1-3198, snap_masked-scaffold_6-processed-gene-6.28-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-6.28&CDS=1-3402	YLR389C
OG0000475	genemark-scaffold_6-processed-gene-6.115-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-6.115&CDS=1-3315	YGR056W, YLR357W
OG0000476	snap_masked-scaffold_6-processed-gene-6.14-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-6.14&CDS=1-243	YGR008C, YLR327C
OG0000477	snap_masked-scaffold_6-processed-gene-7.27-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-7.27&CDS=1-477	YCR031C, YJL191W
OG0000478	snap_masked-scaffold_6-processed-gene-7.29-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-7.29&CDS=1-390	YJL190C, YLR367W
OG0000479	snap_masked-scaffold_6-processed-gene-7.19-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-7.19&CDS=1-3240	YDR213W, YLR228C
OG0000480	genemark-scaffold_6-processed-gene-9.66-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-9.66&CDS=1-1326	YAL034C, YOR338W
OG0000481	genemark-scaffold_6-processed-gene-9.82-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-9.82&CDS=1-5790	YEL022W, YJR031C
OG0000482	genemark-scaffold_6-processed-gene-9.83-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-9.83&CDS=1-2238	YFR023W, YHR015W
OG0000483	snap_masked-scaffold_7-processed-gene-0.38-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-0.38&CDS=1-417	YDR447C, YML024W
OG0000484	maker-scaffold_7-augustus-gene-4.36-mRNA-1_1&gene=maker-scaffold_7-augustus-gene-4.36&CDS=1-441	YBR191W, YPL079W
OG0000485	snap_masked-scaffold_7-processed-gene-4.32-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-4.32&CDS=1-1452, snap_masked-scaffold_7-processed-gene-4.33-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-4.33&CDS=1-1428	YHR137W
OG0000486	genemark-scaffold_7-processed-gene-5.21-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-5.21&CDS=1-468	YBR048W, YDR025W
OG0000487	genemark-scaffold_7-processed-gene-5.10-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-5.10&CDS=1-774	YBR014C, YDL010W
OG0000488	genemark-scaffold_7-processed-gene-5.26-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-5.26&CDS=1-2694	YDR223W, YLR223C
OG0000489	augustus_masked-scaffold_7-processed-gene-6.46-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-6.46&CDS=1-5088	YIL149C, YKR095W
OG0000490	maker-scaffold_7-snap-gene-6.27-mRNA-1_1&gene=maker-scaffold_7-snap-gene-6.27&CDS=1-5055	YER132C, YGL197W
OG0000491	genemark-scaffold_7-processed-gene-6.10-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-6.10&CDS=1-2139	YDR146C, YLR131C
OG0000492	augustus_masked-scaffold_7-processed-gene-7.29-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-7.29&CDS=1-2730	YGR243W, YHR162W
OG0000493	genemark-scaffold_7-processed-gene-7.63-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-7.63&CDS=1-1326	YCR094W, YNR048W
OG0000494	genemark-scaffold_7-processed-gene-8.2-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-8.2&CDS=1-1083	YDL246C, YJR159W
OG0000495	genemark-scaffold_7-processed-gene-8.12-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-8.12&CDS=1-5307	YER129W, YGL179C
OG0000496	genemark-scaffold_8-processed-gene-1.6-mRNA-1_1&gene=genemark-scaffold_8-processed-gene-1.6&CDS=1-1854	YBR278W, YJL065C
OG0000497	augustus_masked-scaffold_8-processed-gene-1.57-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-1.57&CDS=1-492	YDL137W, YDL192W
OG0000498	augustus_masked-scaffold_8-processed-gene-1.58-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-1.58&CDS=1-357	YDL136W, YDL191W
OG0000499	genemark-scaffold_8-processed-gene-1.42-mRNA-1_1&gene=genemark-scaffold_8-processed-gene-1.42&CDS=1-4026, genemark-scaffold_8-processed-gene-1.44-mRNA-1_1&gene=genemark-scaffold_8-processed-gene-1.44&CDS=1-615	YGR227W
OG0000500	genemark-scaffold_8-processed-gene-2.56-mRNA-1_1&gene=genemark-scaffold_8-processed-gene-2.56&CDS=1-1569	YJR054W, YML047C
OG0000501	snap_masked-scaffold_8-processed-gene-3.99-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-3.99&CDS=1-2958	YKR089C, YOR081C
OG0000502	snap_masked-scaffold_8-processed-gene-3.107-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-3.107&CDS=1-4269	YLR098C, YOR337W
OG0000503	genemark-scaffold_8-processed-gene-3.17-mRNA-1_1&gene=genemark-scaffold_8-processed-gene-3.17&CDS=1-882	YLL053C, YPR192W
OG0000504	snap_masked-scaffold_8-processed-gene-4.83-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-4.83&CDS=1-5400	YGR238C, YHR158C
OG0000505	snap_masked-scaffold_8-processed-gene-4.94-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-4.94&CDS=1-2463	YIL156W, YKR098C
OG0000506	genemark-scaffold_8-processed-gene-5.76-mRNA-1_1&gene=genemark-scaffold_8-processed-gene-5.76&CDS=1-189	YLR287C-A, YOR182C
OG0000507	genemark-scaffold_8-processed-gene-6.65-mRNA-1_1&gene=genemark-scaffold_8-processed-gene-6.65&CDS=1-1491	YEL047C, YJR051W
OG0000508	genemark-scaffold_8-processed-gene-8.34-mRNA-1_1&gene=genemark-scaffold_8-processed-gene-8.34&CDS=1-1860	YGR004W, YLR324W
OG0000509	genemark-scaffold_8-processed-gene-8.39-mRNA-1_1&gene=genemark-scaffold_8-processed-gene-8.39&CDS=1-774	YHL033C, YLL045C
OG0000510	genemark-scaffold_9-processed-gene-1.36-mRNA-1_1&gene=genemark-scaffold_9-processed-gene-1.36&CDS=1-1554	YEL041W, YJR049C
OG0000511	genemark-scaffold_9-processed-gene-3.87-mRNA-1_1&gene=genemark-scaffold_9-processed-gene-3.87&CDS=1-2451	YBR294W, YLR092W
OG0000512	genemark-scaffold_9-processed-gene-3.76-mRNA-1_1&gene=genemark-scaffold_9-processed-gene-3.76&CDS=1-873, genemark-scaffold_9-processed-gene-5.6-mRNA-1_1&gene=genemark-scaffold_9-processed-gene-5.6&CDS=1-642	YNL036W
OG0000513	maker-scaffold_9-snap-gene-4.34-mRNA-1_1&gene=maker-scaffold_9-snap-gene-4.34&CDS=1-312	YOR234C, YPL143W
OG0000514	genemark-scaffold_9-processed-gene-4.82-mRNA-1_1&gene=genemark-scaffold_9-processed-gene-4.82&CDS=1-1353	YOR237W, YPL145C
OG0000515	augustus_masked-scaffold_9-processed-gene-4.61-mRNA-1_1&gene=augustus_masked-scaffold_9-processed-gene-4.61&CDS=1-1092, augustus_masked-scaffold_9-processed-gene-5.126-mRNA-1_1&gene=augustus_masked-scaffold_9-processed-gene-5.126&CDS=1-1092	YDL055C
OG0000516	genemark-scaffold_9-processed-gene-4.89-mRNA-1_1&gene=genemark-scaffold_9-processed-gene-4.89&CDS=1-3111	YNL293W, YOL112W
OG0000517	genemark-scaffold_9-processed-gene-5.50-mRNA-1_1&gene=genemark-scaffold_9-processed-gene-5.50&CDS=1-1434	YER081W, YIL074C
OG0000518	snap_masked-scaffold_9-processed-gene-5.186-mRNA-1_1&gene=snap_masked-scaffold_9-processed-gene-5.186&CDS=1-405	YDR471W, YHR010W
OG0000519	genemark-scaffold_9-processed-gene-5.16-mRNA-1_1&gene=genemark-scaffold_9-processed-gene-5.16&CDS=1-3522	YLR450W, YML075C
OG0000520	genemark-scaffold_1-processed-gene-0.82-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.82&CDS=1-864	YBR185C
OG0000521	genemark-scaffold_1-processed-gene-0.98-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.98&CDS=1-963	YGR096W
OG0000522	genemark-scaffold_1-processed-gene-0.83-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.83&CDS=1-1989	YGL099W
OG0000523	genemark-scaffold_1-processed-gene-0.99-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.99&CDS=1-1656	YJL111W
OG0000524	genemark-scaffold_1-processed-gene-0.84-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.84&CDS=1-1335	YNL220W
OG0000525	genemark-scaffold_1-processed-gene-0.100-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.100&CDS=1-1968	YML130C
OG0000526	maker-scaffold_1-snap-gene-0.1-mRNA-1_1&gene=maker-scaffold_1-snap-gene-0.1&CDS=1-1326	YLR019W
OG0000527	genemark-scaffold_1-processed-gene-0.86-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.86&CDS=1-1455	YNL142W
OG0000528	maker-scaffold_1-snap-gene-0.4-mRNA-1_1&gene=maker-scaffold_1-snap-gene-0.4&CDS=1-1806	YDR221W
OG0000529	genemark-scaffold_1-processed-gene-0.87-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.87&CDS=1-990	YLR017W
OG0000530	genemark-scaffold_1-processed-gene-0.104-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.104&CDS=1-978	YHR104W
OG0000531	genemark-scaffold_1-processed-gene-0.106-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.106&CDS=1-1185	YMR028W
OG0000532	augustus_masked-scaffold_1-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-0.35&CDS=1-1875	YKL089W
OG0000533	genemark-scaffold_1-processed-gene-0.91-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.91&CDS=1-2151	YGR093W
OG0000534	genemark-scaffold_1-processed-gene-0.92-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.92&CDS=1-654	YLR262C
OG0000535	genemark-scaffold_1-processed-gene-0.93-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.93&CDS=1-1386	YKL082C
OG0000536	genemark-scaffold_1-processed-gene-0.111-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.111&CDS=1-1728	YGR124W
OG0000537	snap_masked-scaffold_1-processed-gene-0.77-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-0.77&CDS=1-1815	YNL104C
OG0000538	genemark-scaffold_1-processed-gene-0.113-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.113&CDS=1-2367	YLR141W
OG0000539	genemark-scaffold_1-processed-gene-0.114-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.114&CDS=1-960	YDL014W
OG0000540	genemark-scaffold_1-processed-gene-0.115-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.115&CDS=1-1446	YKL184W
OG0000541	snap_masked-scaffold_1-processed-gene-0.60-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-0.60&CDS=1-261	YMR286W
OG0000542	genemark-scaffold_1-processed-gene-1.3-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.3&CDS=1-1335	YER043C
OG0000543	augustus_masked-scaffold_1-processed-gene-1.71-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-1.71&CDS=1-4134	YGR274C
OG0000544	genemark-scaffold_1-processed-gene-1.6-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.6&CDS=1-1200	YKR071C
OG0000545	genemark-scaffold_1-processed-gene-1.11-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.11&CDS=1-993	YOR223W
OG0000546	genemark-scaffold_1-processed-gene-1.22-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.22&CDS=1-1359	YOL140W
OG0000547	snap_masked-scaffold_1-processed-gene-1.44-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-1.44&CDS=1-2325	YMR089C
OG0000548	augustus_masked-scaffold_1-processed-gene-1.90-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-1.90&CDS=1-1248	YDR527W
OG0000549	genemark-scaffold_1-processed-gene-1.24-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.24&CDS=1-2922	YCL054W
OG0000550	maker-scaffold_1-snap-gene-1.34-mRNA-1_1&gene=maker-scaffold_1-snap-gene-1.34&CDS=1-879	YBL050W
OG0000551	augustus_masked-scaffold_1-processed-gene-1.92-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-1.92&CDS=1-4653	YIL147C
OG0000552	augustus_masked-scaffold_1-processed-gene-1.80-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-1.80&CDS=1-633	YJL004C
OG0000553	snap_masked-scaffold_1-processed-gene-1.62-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-1.62&CDS=1-3021	YDR217C
OG0000554	genemark-scaffold_1-processed-gene-1.14-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.14&CDS=1-1119	YDR400W
OG0000555	genemark-scaffold_1-processed-gene-1.26-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.26&CDS=1-2658	YPL164C
OG0000556	augustus_masked-scaffold_1-processed-gene-1.82-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-1.82&CDS=1-5205	YNR053C
OG0000557	genemark-scaffold_1-processed-gene-1.27-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.27&CDS=1-300	YDR510W
OG0000558	genemark-scaffold_1-processed-gene-1.16-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.16&CDS=1-675	YJL001W
OG0000559	genemark-scaffold_1-processed-gene-2.6-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.6&CDS=1-780	YGR207C
