	Eremothecium_gossypii	Saccharomyces_cerevisiae
OG0000224	genemark-AE016818-processed-gene-1.165-mRNA-1_1&gene=genemark-AE016818-processed-gene-1.165&CDS=1-573	YLR456W, YPR172W
OG0000225	maker-AE016818-snap-gene-1.120-mRNA-1_1&gene=maker-AE016818-snap-gene-1.120&CDS=1-225	YPR169W-A, YPR170W-B
OG0000226	maker-AE016818-snap-gene-1.118-mRNA-1_1&gene=maker-AE016818-snap-gene-1.118&CDS=1-681	YBR189W, YPL081W
OG0000227	augustus_masked-AE016818-processed-gene-1.31-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-1.31&CDS=1-441	YBR191W, YPL079W
OG0000228	augustus_masked-AE016818-processed-gene-2.135-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-2.135&CDS=1-378	YGR243W, YHR162W
OG0000229	augustus_masked-AE016818-processed-gene-2.113-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-2.113&CDS=1-1410	YGR241C, YHR161C
OG0000230	augustus_masked-AE016818-processed-gene-3.65-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-3.65&CDS=1-882	YBR273C, YJL048C
OG0000231	snap_masked-AE016818-processed-gene-3.129-mRNA-1_1&gene=snap_masked-AE016818-processed-gene-3.129&CDS=1-1509	YBR270C, YJL058C
OG0000232	snap_masked-AE016818-processed-gene-3.138-mRNA-1_1&gene=snap_masked-AE016818-processed-gene-3.138&CDS=1-477	YCR031C, YJL191W
OG0000233	augustus_masked-AE016818-processed-gene-3.107-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-3.107&CDS=1-390	YJL190C, YLR367W
OG0000234	genemark-AE016818-processed-gene-3.28-mRNA-1_1&gene=genemark-AE016818-processed-gene-3.28&CDS=1-1620	YJL181W, YJR030C
OG0000235	augustus_masked-AE016818-processed-gene-3.88-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-3.88&CDS=1-552	YJL177W, YKL180W
OG0000236	augustus_masked-AE016818-processed-gene-3.90-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-3.90&CDS=1-1716	YJL172W, YOL153C
OG0000237	snap_masked-AE016818-processed-gene-5.92-mRNA-1_1&gene=snap_masked-AE016818-processed-gene-5.92&CDS=1-2115	YCR026C, YEL016C
OG0000238	augustus_masked-AE016818-processed-gene-6.61-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-6.61&CDS=1-4374	YDL037C, YIR019C
OG0000239	augustus_masked-AE016818-processed-gene-6.84-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-6.84&CDS=1-2259	YDL042C, YOL068C
OG0000240	genemark-AE016818-processed-gene-6.121-mRNA-1_1&gene=genemark-AE016818-processed-gene-6.121&CDS=1-531	YBR005W, YDR003W
OG0000241	augustus_masked-AE016818-processed-gene-6.75-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-6.75&CDS=1-408	YBR010W, YNL031C
OG0000242	maker-AE016818-augustus-gene-6.8-mRNA-1_1&gene=maker-AE016818-augustus-gene-6.8&CDS=1-9813	YBR140C, YOL081W
OG0000243	augustus_masked-AE016818-processed-gene-7.56-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-7.56&CDS=1-993	YGR192C, YJR009C
OG0000244	augustus_masked-AE016818-processed-gene-7.91-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-7.91&CDS=1-342	YDL075W, YLR406C
OG0000245	augustus_masked-AE016818-processed-gene-8.6-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-8.6&CDS=1-2028	YKL187C, YLR413W
OG0000246	maker-AE016818-augustus-gene-8.102-mRNA-1_1&gene=maker-AE016818-augustus-gene-8.102&CDS=1-1569	YLR432W, YML056C
OG0000247	augustus_masked-AE016818-processed-gene-9.92-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-9.92&CDS=1-441	YBR082C, YDR059C
OG0000248	augustus_masked-AE016818-processed-gene-9.93-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-9.93&CDS=1-600	YBL027W, YBR084C-A
OG0000249	snap_masked-AE016818-processed-gene-9.51-mRNA-1_1&gene=snap_masked-AE016818-processed-gene-9.51&CDS=1-2442	YBR150C, YOL089C
OG0000250	augustus_masked-AE016818-processed-gene-10.118-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-10.118&CDS=1-822	YCR010C, YNR002C
OG0000251	snap_masked-AE016818-processed-gene-10.69-mRNA-1_1&gene=snap_masked-AE016818-processed-gene-10.69&CDS=1-342	YBR016W, YDL012C
OG0000252	augustus_masked-AE016818-processed-gene-10.156-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-10.156&CDS=1-900	YDL021W, YOL056W
OG0000253	augustus_masked-AE016818-processed-gene-11.143-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-11.143&CDS=1-1311	YGR254W, YHR174W
OG0000254	augustus_masked-AE016818-processed-gene-12.15-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-12.15&CDS=1-1197	YDR451C, YML027W
OG0000255	augustus_masked-AE016818-processed-gene-12.35-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-12.35&CDS=1-438	YDR450W, YML026C
OG0000256	augustus_masked-AE016818-processed-gene-12.17-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-12.17&CDS=1-408	YDR447C, YML024W
OG0000257	genemark-AE016818-processed-gene-13.94-mRNA-1_1&gene=genemark-AE016818-processed-gene-13.94&CDS=1-1032	YIL133C, YNL069C
OG0000258	augustus_masked-AE016818-processed-gene-14.5-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-14.5&CDS=1-939	YDR368W, YOR120W
OG0000259	augustus_masked-AE016819-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-AE016819-processed-gene-0.14&CDS=1-1491	YMR169C, YMR170C
OG0000260	augustus_masked-AE016819-processed-gene-1.95-mRNA-1_1&gene=augustus_masked-AE016819-processed-gene-1.95&CDS=1-2112	YMR186W, YPL240C
OG0000261	augustus_masked-AE016819-processed-gene-2.10-mRNA-1_1&gene=augustus_masked-AE016819-processed-gene-2.10&CDS=1-651	YGL135W, YPL220W
OG0000262	snap_masked-AE016819-processed-gene-2.57-mRNA-1_1&gene=snap_masked-AE016819-processed-gene-2.57&CDS=1-1158	YGL134W, YPL219W
OG0000263	augustus_masked-AE016819-processed-gene-2.26-mRNA-1_1&gene=augustus_masked-AE016819-processed-gene-2.26&CDS=1-735	YGL076C, YPL198W
OG0000264	augustus_masked-AE016819-processed-gene-3.49-mRNA-1_1&gene=augustus_masked-AE016819-processed-gene-3.49&CDS=1-567	YBR244W, YIR037W
OG0000265	genemark-AE016819-processed-gene-3.140-mRNA-1_1&gene=genemark-AE016819-processed-gene-3.140&CDS=1-2001	YBR238C, YGL107C
OG0000266	snap_masked-AE016819-processed-gene-4.122-mRNA-1_1&gene=snap_masked-AE016819-processed-gene-4.122&CDS=1-2004	YDR069C, YER144C
OG0000267	augustus_masked-AE016819-processed-gene-5.60-mRNA-1_1&gene=augustus_masked-AE016819-processed-gene-5.60&CDS=1-318	YHR141C, YNL162W
OG0000268	genemark-AE016819-processed-gene-5.16-mRNA-1_1&gene=genemark-AE016819-processed-gene-5.16&CDS=1-2151	YHR131C, YNL144C
OG0000269	augustus_masked-AE016819-processed-gene-6.60-mRNA-1_1&gene=augustus_masked-AE016819-processed-gene-6.60&CDS=1-2121	YJL099W, YKR027W
OG0000270	augustus_masked-AE016819-processed-gene-7.59-mRNA-1_1&gene=augustus_masked-AE016819-processed-gene-7.59&CDS=1-2526	YDR385W, YOR133W
OG0000271	augustus_masked-AE016819-processed-gene-7.68-mRNA-1_1&gene=augustus_masked-AE016819-processed-gene-7.68&CDS=1-5130	YER132C, YGL197W
OG0000272	augustus_masked-AE016819-processed-gene-8.6-mRNA-1_1&gene=augustus_masked-AE016819-processed-gene-8.6&CDS=1-717	YER131W, YGL189C
OG0000273	augustus_masked-AE016819-processed-gene-8.40-mRNA-1_1&gene=augustus_masked-AE016819-processed-gene-8.40&CDS=1-612	YLR029C, YMR121C
OG0000274	augustus_masked-AE016819-processed-gene-8.22-mRNA-1_1&gene=augustus_masked-AE016819-processed-gene-8.22&CDS=1-1728, genemark-AE016820-processed-gene-0.70-mRNA-1_1&gene=genemark-AE016820-processed-gene-0.70&CDS=1-1797	YKR093W
OG0000275	augustus_masked-AE016820-processed-gene-0.43-mRNA-1_1&gene=augustus_masked-AE016820-processed-gene-0.43&CDS=1-3780, maker-AE016819-augustus-gene-9.3-mRNA-1_1&gene=maker-AE016819-augustus-gene-9.3&CDS=1-4374	YIL159W
OG0000276	genemark-AE016819-processed-gene-10.108-mRNA-1_1&gene=genemark-AE016819-processed-gene-10.108&CDS=1-1713	YGR124W, YPR145W
OG0000277	augustus_masked-AE016819-processed-gene-10.6-mRNA-1_1&gene=augustus_masked-AE016819-processed-gene-10.6&CDS=1-504	YGR131W, YPR149W
OG0000278	genemark-AE016819-processed-gene-10.118-mRNA-1_1&gene=genemark-AE016819-processed-gene-10.118&CDS=1-1170	YGR136W, YPR154W
OG0000279	augustus_masked-AE016819-processed-gene-10.31-mRNA-1_1&gene=augustus_masked-AE016819-processed-gene-10.31&CDS=1-3480	YGR138C, YPR156C
OG0000280	maker-AE016819-snap-gene-10.105-mRNA-1_1&gene=maker-AE016819-snap-gene-10.105&CDS=1-525	YMR242C, YOR312C
OG0000281	genemark-AE016819-processed-gene-10.148-mRNA-1_1&gene=genemark-AE016819-processed-gene-10.148&CDS=1-1713	YDR497C, YOL103W
OG0000282	augustus_masked-AE016819-processed-gene-10.24-mRNA-1_1&gene=augustus_masked-AE016819-processed-gene-10.24&CDS=1-1173	YNL283C, YOL105C
OG0000283	augustus_masked-AE016819-processed-gene-10.44-mRNA-1_1&gene=augustus_masked-AE016819-processed-gene-10.44&CDS=1-471	YEL034W, YJR047C
OG0000284	augustus_masked-AE016819-processed-gene-11.8-mRNA-1_1&gene=augustus_masked-AE016819-processed-gene-11.8&CDS=1-330	YEL039C, YJR048W
OG0000285	augustus_masked-AE016819-processed-gene-11.14-mRNA-1_1&gene=augustus_masked-AE016819-processed-gene-11.14&CDS=1-1395	YEL047C, YJR051W
OG0000286	genemark-AE016819-processed-gene-11.137-mRNA-1_1&gene=genemark-AE016819-processed-gene-11.137&CDS=1-2322	YJR059W, YKL198C
OG0000287	maker-AE016819-augustus-gene-11.4-mRNA-1_1&gene=maker-AE016819-augustus-gene-11.4&CDS=1-408	YDR471W, YHR010W
OG0000288	genemark-AE016819-processed-gene-11.182-mRNA-1_1&gene=genemark-AE016819-processed-gene-11.182&CDS=1-3255	YJR061W, YKL201C
OG0000289	augustus_masked-AE016819-processed-gene-13.88-mRNA-1_1&gene=augustus_masked-AE016819-processed-gene-13.88&CDS=1-465	YGL031C, YGR148C
OG0000290	snap_masked-AE016819-processed-gene-13.15-mRNA-1_1&gene=snap_masked-AE016819-processed-gene-13.15&CDS=1-2073	YBL009W, YGL021W
OG0000291	snap_masked-AE016819-processed-gene-13.44-mRNA-1_1&gene=snap_masked-AE016819-processed-gene-13.44&CDS=1-258	YGR008C, YLR327C
OG0000292	augustus_masked-AE016819-processed-gene-13.87-mRNA-1_1&gene=augustus_masked-AE016819-processed-gene-13.87&CDS=1-2433	YMR237W, YOR299W
OG0000293	augustus_masked-AE016819-processed-gene-14.126-mRNA-1_1&gene=augustus_masked-AE016819-processed-gene-14.126&CDS=1-315	YMR230W, YOR293W
OG0000294	augustus_masked-AE016819-processed-gene-15.48-mRNA-1_1&gene=augustus_masked-AE016819-processed-gene-15.48&CDS=1-2319	YGR071C, YLR373C
OG0000295	snap_masked-AE016819-processed-gene-16.37-mRNA-1_1&gene=snap_masked-AE016819-processed-gene-16.37&CDS=1-4230	YCL068C, YCR038C
OG0000296	snap_masked-AE016819-processed-gene-16.48-mRNA-1_1&gene=snap_masked-AE016819-processed-gene-16.48&CDS=1-2172	YHR155W, YNL257C
OG0000297	genemark-AE016819-processed-gene-17.198-mRNA-1_1&gene=genemark-AE016819-processed-gene-17.198&CDS=1-3171	YLR187W, YNL278W
OG0000298	augustus_masked-AE016819-processed-gene-17.53-mRNA-1_1&gene=augustus_masked-AE016819-processed-gene-17.53&CDS=1-264	YDR500C, YLR185W
OG0000299	augustus_masked-AE016819-processed-gene-17.27-mRNA-1_1&gene=augustus_masked-AE016819-processed-gene-17.27&CDS=1-333	YCL035C, YDR513W
OG0000300	genemark-AE016819-processed-gene-17.212-mRNA-1_1&gene=genemark-AE016819-processed-gene-17.212&CDS=1-1383	YCL036W, YDR514C
OG0000301	augustus_masked-AE016819-processed-gene-17.36-mRNA-1_1&gene=augustus_masked-AE016819-processed-gene-17.36&CDS=1-954	YCL050C, YDR530C
OG0000302	augustus_masked-AE016819-processed-gene-17.70-mRNA-1_1&gene=augustus_masked-AE016819-processed-gene-17.70&CDS=1-645	YCL051W, YDR528W
OG0000303	snap_masked-AE016819-processed-gene-17.114-mRNA-1_1&gene=snap_masked-AE016819-processed-gene-17.114&CDS=1-1278	YCL064C, YIL167W
OG0000304	augustus_masked-AE016820-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-AE016820-processed-gene-0.48&CDS=1-1353	YGR279C, YMR305C
OG0000305	snap_masked-AE016820-processed-gene-1.114-mRNA-1_1&gene=snap_masked-AE016820-processed-gene-1.114&CDS=1-564	YBL043W, YJR115W
OG0000306	genemark-AE016820-processed-gene-7.7-mRNA-1_1&gene=genemark-AE016820-processed-gene-7.7&CDS=1-513	YDR178W, YLR164W
OG0000307	augustus_masked-AE016820-processed-gene-8.112-mRNA-1_1&gene=augustus_masked-AE016820-processed-gene-8.112&CDS=1-3789	YDR185C, YLR168C
OG0000308	augustus_masked-AE016820-processed-gene-9.33-mRNA-1_1&gene=augustus_masked-AE016820-processed-gene-9.33&CDS=1-3069	YGL049C, YGR162W
OG0000309	augustus_masked-AE016820-processed-gene-11.71-mRNA-1_1&gene=augustus_masked-AE016820-processed-gene-11.71&CDS=1-900	YDR151C, YLR136C
OG0000310	augustus_masked-AE016820-processed-gene-11.59-mRNA-1_1&gene=augustus_masked-AE016820-processed-gene-11.59&CDS=1-396	YDR134C, YLR110C
OG0000311	genemark-AE016820-processed-gene-11.35-mRNA-1_1&gene=genemark-AE016820-processed-gene-11.35&CDS=1-1149	YDR125C, YLR099C
OG0000312	snap_masked-AE016820-processed-gene-12.78-mRNA-1_1&gene=snap_masked-AE016820-processed-gene-12.78&CDS=1-2544	YBR294W, YLR092W
OG0000313	augustus_masked-AE016820-processed-gene-12.55-mRNA-1_1&gene=augustus_masked-AE016820-processed-gene-12.55&CDS=1-1959	YDR107C, YLR083C
OG0000314	augustus_masked-AE016820-processed-gene-12.60-mRNA-1_1&gene=augustus_masked-AE016820-processed-gene-12.60&CDS=1-1596	YDR098C, YER174C
OG0000315	augustus_masked-AE016820-processed-gene-14.87-mRNA-1_1&gene=augustus_masked-AE016820-processed-gene-14.87&CDS=1-396	YBL002W, YDR224C
OG0000316	augustus_masked-AE016820-processed-gene-14.93-mRNA-1_1&gene=augustus_masked-AE016820-processed-gene-14.93&CDS=1-708	YBR181C, YPL090C
OG0000317	augustus_masked-AE016820-processed-gene-14.74-mRNA-1_1&gene=augustus_masked-AE016820-processed-gene-14.74&CDS=1-876	YBR183W, YPL087W
OG0000318	maker-AE016820-augustus-gene-14.53-mRNA-1_1&gene=maker-AE016820-augustus-gene-14.53&CDS=1-3819	YBR169C, YPL106C
OG0000319	augustus_masked-AE016820-processed-gene-15.82-mRNA-1_1&gene=augustus_masked-AE016820-processed-gene-15.82&CDS=1-201	YLR264W, YOR167C
OG0000320	maker-AE016820-augustus-gene-15.169-mRNA-1_1&gene=maker-AE016820-augustus-gene-15.169&CDS=1-1095	YLR270W, YOR173W
OG0000321	augustus_masked-AE016820-processed-gene-16.7-mRNA-1_1&gene=augustus_masked-AE016820-processed-gene-16.7&CDS=1-804	YLR284C, YOR180C
OG0000322	genemark-AE016820-processed-gene-16.125-mRNA-1_1&gene=genemark-AE016820-processed-gene-16.125&CDS=1-321	YLR287C-A, YOR182C
OG0000323	genemark-AE016820-processed-gene-16.130-mRNA-1_1&gene=genemark-AE016820-processed-gene-16.130&CDS=1-1134	YDR277C, YOR047C
OG0000324	augustus_masked-AE016820-processed-gene-16.44-mRNA-1_1&gene=augustus_masked-AE016820-processed-gene-16.44&CDS=1-1197	YHR179W, YPL171C
OG0000325	augustus_masked-AE016820-processed-gene-16.25-mRNA-1_1&gene=augustus_masked-AE016820-processed-gene-16.25&CDS=1-1755	YHR123W, YNL130C
OG0000326	augustus_masked-AE016820-processed-gene-17.79-mRNA-1_1&gene=augustus_masked-AE016820-processed-gene-17.79&CDS=1-2220	YBL067C, YER098W
OG0000327	augustus_masked-AE016820-processed-gene-17.105-mRNA-1_1&gene=augustus_masked-AE016820-processed-gene-17.105&CDS=1-954	YBL068W, YER099C
OG0000328	maker-AE016820-augustus-gene-17.184-mRNA-1_1&gene=maker-AE016820-augustus-gene-17.184&CDS=1-1497	YBL069W, YER101C
OG0000329	augustus_masked-AE016820-processed-gene-17.81-mRNA-1_1&gene=augustus_masked-AE016820-processed-gene-17.81&CDS=1-600	YBL072C, YER102W
OG0000330	augustus_masked-AE016814-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-0.2&CDS=1-957	YMR274C
OG0000331	augustus_masked-AE016814-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-0.3&CDS=1-3096	YML109W
OG0000332	genemark-AE016814-processed-gene-0.86-mRNA-1_1&gene=genemark-AE016814-processed-gene-0.86&CDS=1-1131	YMR272C
OG0000333	genemark-AE016814-processed-gene-0.87-mRNA-1_1&gene=genemark-AE016814-processed-gene-0.87&CDS=1-3693	YJL074C
OG0000334	maker-AE016814-augustus-gene-0.77-mRNA-1_1&gene=maker-AE016814-augustus-gene-0.77&CDS=1-3456	YJL076W
OG0000335	augustus_masked-AE016814-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-0.21&CDS=1-891	YKR011C
OG0000336	augustus_masked-AE016814-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-0.6&CDS=1-3594	YJL080C
OG0000337	augustus_masked-AE016814-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-0.22&CDS=1-615	YKR014C
OG0000338	augustus_masked-AE016814-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-0.7&CDS=1-2649	YML099C
OG0000339	snap_masked-AE016814-processed-gene-0.63-mRNA-1_1&gene=snap_masked-AE016814-processed-gene-0.63&CDS=1-1260	YLL002W
OG0000340	maker-AE016814-augustus-gene-0.78-mRNA-1_1&gene=maker-AE016814-augustus-gene-0.78&CDS=1-645	YJL001W
OG0000341	augustus_masked-AE016814-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-0.8&CDS=1-2973	YLL003W
OG0000342	augustus_masked-AE016814-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-0.9&CDS=1-1407	YJL002C
OG0000343	augustus_masked-AE016814-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-0.25&CDS=1-2214	YLL004W
OG0000344	augustus_masked-AE016814-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-0.10&CDS=1-2865	YLL005C
OG0000345	augustus_masked-AE016814-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-0.26&CDS=1-1332	YLL006W
OG0000346	augustus_masked-AE016814-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-0.11&CDS=1-1998	YLL007C
OG0000347	augustus_masked-AE016814-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-0.27&CDS=1-2202	YLL008W
OG0000348	augustus_masked-AE016814-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-0.12&CDS=1-597	YJL004C
OG0000349	augustus_masked-AE016814-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-0.28&CDS=1-5622	YJL005W
OG0000350	augustus_masked-AE016814-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-0.13&CDS=1-1131	YLR017W
OG0000351	augustus_masked-AE016814-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-0.29&CDS=1-1155	YLR018C
OG0000352	augustus_masked-AE016814-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-0.14&CDS=1-1134	YLR019W
OG0000353	augustus_masked-AE016814-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-0.30&CDS=1-1437	YLL011W
OG0000354	augustus_masked-AE016814-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-0.31&CDS=1-1176	YLR020C
OG0000355	augustus_masked-AE016814-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-0.15&CDS=1-534	YLR021W
OG0000356	augustus_masked-AE016814-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-0.32&CDS=1-1806	YLR022C
OG0000357	augustus_masked-AE016814-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-0.16&CDS=1-2322	YLL013C
OG0000358	augustus_masked-AE016814-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-0.33&CDS=1-318	YLL014W
OG0000359	augustus_masked-AE016814-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-0.17&CDS=1-1119	YGR187C
OG0000360	augustus_masked-AE016814-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-0.34&CDS=1-1869	YGR186W
OG0000361	augustus_masked-AE016814-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-0.18&CDS=1-1212	YGR185C
OG0000362	augustus_masked-AE016814-processed-gene-1.56-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-1.56&CDS=1-5439	YLR024C
OG0000363	augustus_masked-AE016814-processed-gene-1.54-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-1.54&CDS=1-5700	YGR184C
OG0000364	augustus_masked-AE016814-processed-gene-1.55-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-1.55&CDS=1-198	YGR183C
OG0000365	augustus_masked-AE016814-processed-gene-1.57-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-1.57&CDS=1-309	YGR181W
OG0000366	augustus_masked-AE016814-processed-gene-1.58-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-1.58&CDS=1-555	YJL024C
OG0000367	genemark-AE016814-processed-gene-1.131-mRNA-1_1&gene=genemark-AE016814-processed-gene-1.131&CDS=1-429	YGR174C
OG0000368	snap_masked-AE016814-processed-gene-1.27-mRNA-1_1&gene=snap_masked-AE016814-processed-gene-1.27&CDS=1-1491	YGR175C
OG0000369	snap_masked-AE016814-processed-gene-1.28-mRNA-1_1&gene=snap_masked-AE016814-processed-gene-1.28&CDS=1-3240	YGR178C
OG0000370	augustus_masked-AE016814-processed-gene-1.78-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-1.78&CDS=1-921	YGR179C
OG0000371	augustus_masked-AE016814-processed-gene-1.59-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-1.59&CDS=1-993	YGR144W
OG0000372	maker-AE016814-augustus-gene-1.101-mRNA-1_1&gene=maker-AE016814-augustus-gene-1.101&CDS=1-1932	YJL026W
OG0000373	snap_masked-AE016814-processed-gene-1.32-mRNA-1_1&gene=snap_masked-AE016814-processed-gene-1.32&CDS=1-4344	YGR170W
OG0000374	augustus_masked-AE016814-processed-gene-1.61-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-1.61&CDS=1-279	YGR169C-A
OG0000375	augustus_masked-AE016814-processed-gene-1.82-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-1.82&CDS=1-870	YJL023C
OG0000376	augustus_masked-AE016814-processed-gene-1.62-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-1.62&CDS=1-2604	YKL157W
OG0000377	augustus_masked-AE016814-processed-gene-1.84-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-1.84&CDS=1-1650	YHR045W
OG0000378	augustus_masked-AE016814-processed-gene-1.63-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-1.63&CDS=1-1011	YDR279W
OG0000379	augustus_masked-AE016814-processed-gene-1.64-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-1.64&CDS=1-915	YDR280W
OG0000380	augustus_masked-AE016814-processed-gene-1.85-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-1.85&CDS=1-3066	YHR042W
OG0000381	snap_masked-AE016814-processed-gene-1.37-mRNA-1_1&gene=snap_masked-AE016814-processed-gene-1.37&CDS=1-891	YDR288W
OG0000382	augustus_masked-AE016814-processed-gene-1.66-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-1.66&CDS=1-1611	YFR021W
OG0000383	augustus_masked-AE016814-processed-gene-1.87-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-1.87&CDS=1-321	YOR265W
OG0000384	augustus_masked-AE016814-processed-gene-1.88-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-1.88&CDS=1-1041	YOR262W
OG0000385	augustus_masked-AE016814-processed-gene-1.67-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-1.67&CDS=1-978	YOR261C
OG0000386	genemark-AE016814-processed-gene-1.119-mRNA-1_1&gene=genemark-AE016814-processed-gene-1.119&CDS=1-942	YPL172C
OG0000387	augustus_masked-AE016814-processed-gene-1.89-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-1.89&CDS=1-1494	YOR260W
OG0000388	augustus_masked-AE016814-processed-gene-1.69-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-1.69&CDS=1-1296	YOR259C
OG0000389	augustus_masked-AE016814-processed-gene-1.90-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-1.90&CDS=1-912	YOR258W
OG0000390	augustus_masked-AE016814-processed-gene-1.91-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-1.91&CDS=1-879	YPL173W
OG0000391	augustus_masked-AE016814-processed-gene-1.92-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-1.92&CDS=1-516	YOR257W
OG0000392	genemark-AE016814-processed-gene-1.149-mRNA-1_1&gene=genemark-AE016814-processed-gene-1.149&CDS=1-1287	YPL175W
OG0000393	snap_masked-AE016814-processed-gene-1.45-mRNA-1_1&gene=snap_masked-AE016814-processed-gene-1.45&CDS=1-639	YOR255W
OG0000394	augustus_masked-AE016814-processed-gene-1.94-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-1.94&CDS=1-1755	YPL169C
OG0000395	augustus_masked-AE016814-processed-gene-1.72-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-1.72&CDS=1-2007	YOR254C
OG0000396	augustus_masked-AE016814-processed-gene-1.95-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-1.95&CDS=1-477	YOR253W
OG0000397	snap_masked-AE016814-processed-gene-1.21-mRNA-1_1&gene=snap_masked-AE016814-processed-gene-1.21&CDS=1-909	YPL168W
OG0000398	snap_masked-AE016814-processed-gene-1.48-mRNA-1_1&gene=snap_masked-AE016814-processed-gene-1.48&CDS=1-570	YOR252W
OG0000399	snap_masked-AE016814-processed-gene-1.49-mRNA-1_1&gene=snap_masked-AE016814-processed-gene-1.49&CDS=1-3993	YPL167C
