	Metschnikowia_hamakuensis	Saccharomyces_cerevisiae
OG0000189		YKL222C, YLR266C, YOR162C, YOR172W
OG0000190	augustus_masked-ham-_C62453-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-ham-_C62453-processed-gene-0.0&CDS=1-174, augustus_masked-ham-_s264-processed-gene-0.87-mRNA-1_1&gene=augustus_masked-ham-_s264-processed-gene-0.87&CDS=1-1431	YBR086C
OG0000191	augustus_masked-ham-_C65061-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-ham-_C65061-processed-gene-0.2&CDS=1-306, snap_masked-ham-_s173-processed-gene-0.128-mRNA-1_1&gene=snap_masked-ham-_s173-processed-gene-0.128&CDS=1-1305	YDR083W
OG0000192	snap_masked-ham-_C65309-processed-gene-0.0-mRNA-1_1&gene=snap_masked-ham-_C65309-processed-gene-0.0&CDS=1-120, snap_masked-ham-_s279-processed-gene-2.122-mRNA-1_1&gene=snap_masked-ham-_s279-processed-gene-2.122&CDS=1-1572	YKL047W
OG0000193	augustus_masked-ham-_C65397-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-ham-_C65397-processed-gene-0.0&CDS=1-306, snap_masked-ham-_s437-processed-gene-0.1-mRNA-1_1&gene=snap_masked-ham-_s437-processed-gene-0.1&CDS=1-3150	YOL145C
OG0000194	augustus_masked-ham-_C66523-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-ham-_C66523-processed-gene-0.0&CDS=1-372, snap_masked-ham-_s649-processed-gene-0.8-mRNA-1_1&gene=snap_masked-ham-_s649-processed-gene-0.8&CDS=1-2181	YOR361C
OG0000195	augustus_masked-ham-_C67815-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-ham-_C67815-processed-gene-0.0&CDS=1-291	YGL076C, YPL198W
OG0000196	augustus_masked-ham-_C68187-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-ham-_C68187-processed-gene-0.2&CDS=1-561, augustus_masked-ham-_s663-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-ham-_s663-processed-gene-0.56&CDS=1-1476	YBL084C
OG0000197	augustus_masked-ham-_C68275-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-ham-_C68275-processed-gene-0.2&CDS=1-573, augustus_masked-ham-_s593-processed-gene-0.99-mRNA-1_1&gene=augustus_masked-ham-_s593-processed-gene-0.99&CDS=1-1149	YAR002W
OG0000198	snap_masked-ham-_C68963-processed-gene-0.1-mRNA-1_1&gene=snap_masked-ham-_C68963-processed-gene-0.1&CDS=1-270, snap_masked-ham-_s336-processed-gene-1.100-mRNA-1_1&gene=snap_masked-ham-_s336-processed-gene-1.100&CDS=1-1626	YDR479C
OG0000199	augustus_masked-ham-_C72645-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-ham-_C72645-processed-gene-0.1&CDS=1-618	YCR052W, YNR023W
OG0000200	snap_masked-ham-_s1-processed-gene-0.40-mRNA-1_1&gene=snap_masked-ham-_s1-processed-gene-0.40&CDS=1-435	YGR118W, YPR132W
OG0000201	augustus_masked-ham-_s100-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-ham-_s100-processed-gene-0.1&CDS=1-849, augustus_masked-ham-_s454-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-ham-_s454-processed-gene-0.15&CDS=1-1845	YHR027C
OG0000202	snap_masked-ham-_s103-processed-gene-0.27-mRNA-1_1&gene=snap_masked-ham-_s103-processed-gene-0.27&CDS=1-1524, snap_masked-ham-_s121-processed-gene-0.67-mRNA-1_1&gene=snap_masked-ham-_s121-processed-gene-0.67&CDS=1-1539	YKL103C
OG0000203	genemark-ham-_s108-processed-gene-0.22-mRNA-1_1&gene=genemark-ham-_s108-processed-gene-0.22&CDS=1-312	YGR027C, YLR333C
OG0000204	snap_masked-ham-_s108-processed-gene-0.82-mRNA-1_1&gene=snap_masked-ham-_s108-processed-gene-0.82&CDS=1-819	YDL049C, YJL174W
OG0000205	snap_masked-ham-_s109-processed-gene-0.0-mRNA-1_1&gene=snap_masked-ham-_s109-processed-gene-0.0&CDS=1-1521	YBR214W, YGL056C
OG0000206	augustus_masked-ham-_s109-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-ham-_s109-processed-gene-0.34&CDS=1-717, maker-ham-_s536-snap-gene-0.110-mRNA-1_1&gene=maker-ham-_s536-snap-gene-0.110&CDS=1-1878	YAR014C
OG0000207	snap_masked-ham-_s109-processed-gene-0.8-mRNA-1_1&gene=snap_masked-ham-_s109-processed-gene-0.8&CDS=1-186	YER057C, YIL051C
OG0000208	snap_masked-ham-_s112-processed-gene-0.0-mRNA-1_1&gene=snap_masked-ham-_s112-processed-gene-0.0&CDS=1-189, snap_masked-ham-_s399-processed-gene-0.160-mRNA-1_1&gene=snap_masked-ham-_s399-processed-gene-0.160&CDS=1-6228	YJR140C
OG0000209	genemark-ham-_s113-processed-gene-0.14-mRNA-1_1&gene=genemark-ham-_s113-processed-gene-0.14&CDS=1-378, snap_masked-ham-_s888-processed-gene-0.36-mRNA-1_1&gene=snap_masked-ham-_s888-processed-gene-0.36&CDS=1-672	YOR319W
OG0000210	snap_masked-ham-_s114-processed-gene-0.13-mRNA-1_1&gene=snap_masked-ham-_s114-processed-gene-0.13&CDS=1-1155	YDR312W, YHR066W
OG0000211	snap_masked-ham-_s114-processed-gene-0.5-mRNA-1_1&gene=snap_masked-ham-_s114-processed-gene-0.5&CDS=1-246	YHR021C, YKL156W
OG0000212	snap_masked-ham-_s117-processed-gene-0.29-mRNA-1_1&gene=snap_masked-ham-_s117-processed-gene-0.29&CDS=1-594	YBL072C, YER102W
OG0000213	snap_masked-ham-_s117-processed-gene-1.12-mRNA-1_1&gene=snap_masked-ham-_s117-processed-gene-1.12&CDS=1-996	YBR273C, YJL048C
OG0000214	snap_masked-ham-_s117-processed-gene-1.28-mRNA-1_1&gene=snap_masked-ham-_s117-processed-gene-1.28&CDS=1-2001	YBR216C, YGL060W
OG0000215	snap_masked-ham-_s117-processed-gene-2.13-mRNA-1_1&gene=snap_masked-ham-_s117-processed-gene-2.13&CDS=1-1665, snap_masked-ham-_s279-processed-gene-2.128-mRNA-1_1&gene=snap_masked-ham-_s279-processed-gene-2.128&CDS=1-1410	YEL060C
OG0000216	maker-ham-_s181-augustus-gene-0.82-mRNA-1_1&gene=maker-ham-_s181-augustus-gene-0.82&CDS=1-1938, snap_masked-ham-_s117-processed-gene-2.20-mRNA-1_1&gene=snap_masked-ham-_s117-processed-gene-2.20&CDS=1-1509	YBR006W
OG0000217	maker-ham-_s117-snap-gene-2.1-mRNA-1_1&gene=maker-ham-_s117-snap-gene-2.1&CDS=1-2805, snap_masked-ham-_s45-processed-gene-0.59-mRNA-1_1&gene=snap_masked-ham-_s45-processed-gene-0.59&CDS=1-2742	YDL056W
OG0000218	augustus_masked-ham-_s315-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-ham-_s315-processed-gene-0.46&CDS=1-591, genemark-ham-_s117-processed-gene-2.138-mRNA-1_1&gene=genemark-ham-_s117-processed-gene-2.138&CDS=1-1779	YOL070C
OG0000219	augustus_masked-ham-_s689-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-ham-_s689-processed-gene-0.16&CDS=1-321, snap_masked-ham-_s117-processed-gene-2.25-mRNA-1_1&gene=snap_masked-ham-_s117-processed-gene-2.25&CDS=1-3663	YNL273W
OG0000220	snap_masked-ham-_s117-processed-gene-2.26-mRNA-1_1&gene=snap_masked-ham-_s117-processed-gene-2.26&CDS=1-567, snap_masked-ham-_s701-processed-gene-0.14-mRNA-1_1&gene=snap_masked-ham-_s701-processed-gene-0.14&CDS=1-177	YLR068W
OG0000221	snap_masked-ham-_s117-processed-gene-2.28-mRNA-1_1&gene=snap_masked-ham-_s117-processed-gene-2.28&CDS=1-465	YBR048W, YDR025W
OG0000222	snap_masked-ham-_s117-processed-gene-2.66-mRNA-1_1&gene=snap_masked-ham-_s117-processed-gene-2.66&CDS=1-636	YBR014C, YDL010W
OG0000223	snap_masked-ham-_s117-processed-gene-2.67-mRNA-1_1&gene=snap_masked-ham-_s117-processed-gene-2.67&CDS=1-1653	YIR031C, YNL117W
OG0000224	snap_masked-ham-_s117-processed-gene-2.29-mRNA-1_1&gene=snap_masked-ham-_s117-processed-gene-2.29&CDS=1-1611	YDL042C, YOL068C
OG0000225	snap_masked-ham-_s117-processed-gene-2.44-mRNA-1_1&gene=snap_masked-ham-_s117-processed-gene-2.44&CDS=1-1581, snap_masked-ham-_s784-processed-gene-1.112-mRNA-1_1&gene=snap_masked-ham-_s784-processed-gene-1.112&CDS=1-237	YOR132W
OG0000226	snap_masked-ham-_s121-processed-gene-0.47-mRNA-1_1&gene=snap_masked-ham-_s121-processed-gene-0.47&CDS=1-1593, snap_masked-ham-_s435-processed-gene-0.67-mRNA-1_1&gene=snap_masked-ham-_s435-processed-gene-0.67&CDS=1-1812	YLR248W
OG0000227	genemark-ham-_s121-processed-gene-0.108-mRNA-1_1&gene=genemark-ham-_s121-processed-gene-0.108&CDS=1-1086	YDL246C, YJR159W
OG0000228	snap_masked-ham-_s121-processed-gene-0.64-mRNA-1_1&gene=snap_masked-ham-_s121-processed-gene-0.64&CDS=1-1437	YGR121C, YPR138C
OG0000229	augustus_masked-ham-_s75-processed-gene-0.76-mRNA-1_1&gene=augustus_masked-ham-_s75-processed-gene-0.76&CDS=1-435, snap_masked-ham-_s121-processed-gene-0.70-mRNA-1_1&gene=snap_masked-ham-_s121-processed-gene-0.70&CDS=1-1368	YML007W
OG0000230	snap_masked-ham-_s121-processed-gene-0.74-mRNA-1_1&gene=snap_masked-ham-_s121-processed-gene-0.74&CDS=1-495	YDR418W, YEL054C
OG0000231	genemark-ham-_s121-processed-gene-0.165-mRNA-1_1&gene=genemark-ham-_s121-processed-gene-0.165&CDS=1-795	YGR214W, YLR048W
OG0000232	snap_masked-ham-_s121-processed-gene-0.36-mRNA-1_1&gene=snap_masked-ham-_s121-processed-gene-0.36&CDS=1-900	YGL162W, YPR009W
OG0000233	snap_masked-ham-_s121-processed-gene-0.81-mRNA-1_1&gene=snap_masked-ham-_s121-processed-gene-0.81&CDS=1-870	YBR183W, YPL087W
OG0000234	augustus_masked-ham-_s125-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-ham-_s125-processed-gene-0.0&CDS=1-930, snap_masked-ham-_s773-processed-gene-0.28-mRNA-1_1&gene=snap_masked-ham-_s773-processed-gene-0.28&CDS=1-2505	YHL023C
OG0000235	augustus_masked-ham-_s46-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-ham-_s46-processed-gene-0.51&CDS=1-726, snap_masked-ham-_s125-processed-gene-0.39-mRNA-1_1&gene=snap_masked-ham-_s125-processed-gene-0.39&CDS=1-8169	YPR117W
OG0000236	snap_masked-ham-_s125-processed-gene-0.62-mRNA-1_1&gene=snap_masked-ham-_s125-processed-gene-0.62&CDS=1-1368, snap_masked-ham-_s76-processed-gene-0.1-mRNA-1_1&gene=snap_masked-ham-_s76-processed-gene-0.1&CDS=1-1350	YAL040C
OG0000237	augustus_masked-ham-_s126-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-ham-_s126-processed-gene-0.7&CDS=1-975, snap_masked-ham-_s286-processed-gene-2.15-mRNA-1_1&gene=snap_masked-ham-_s286-processed-gene-2.15&CDS=1-3183	YDL215C
OG0000238	genemark-ham-_s284-processed-gene-0.93-mRNA-1_1&gene=genemark-ham-_s284-processed-gene-0.93&CDS=1-933, snap_masked-ham-_s128-processed-gene-0.3-mRNA-1_1&gene=snap_masked-ham-_s128-processed-gene-0.3&CDS=1-741	YNL025C
OG0000239	snap_masked-ham-_s132-processed-gene-0.35-mRNA-1_1&gene=snap_masked-ham-_s132-processed-gene-0.35&CDS=1-1617	YHL017W, YKL039W
OG0000240	snap_masked-ham-_s135-processed-gene-0.3-mRNA-1_1&gene=snap_masked-ham-_s135-processed-gene-0.3&CDS=1-1248	YLR449W, YML074C
OG0000241	augustus_masked-ham-_s279-processed-gene-3.61-mRNA-1_1&gene=augustus_masked-ham-_s279-processed-gene-3.61&CDS=1-2064, snap_masked-ham-_s139-processed-gene-0.12-mRNA-1_1&gene=snap_masked-ham-_s139-processed-gene-0.12&CDS=1-1698	YGL186C
OG0000242	augustus_masked-ham-_s538-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-ham-_s538-processed-gene-0.0&CDS=1-147, genemark-ham-_s139-processed-gene-0.8-mRNA-1_1&gene=genemark-ham-_s139-processed-gene-0.8&CDS=1-504	YOL149W
OG0000243	genemark-ham-_s14-processed-gene-0.4-mRNA-1_1&gene=genemark-ham-_s14-processed-gene-0.4&CDS=1-951, snap_masked-ham-_s315-processed-gene-0.101-mRNA-1_1&gene=snap_masked-ham-_s315-processed-gene-0.101&CDS=1-423	YOR174W
OG0000244	snap_masked-ham-_s148-processed-gene-0.1-mRNA-1_1&gene=snap_masked-ham-_s148-processed-gene-0.1&CDS=1-180, snap_masked-ham-_s800-processed-gene-0.1-mRNA-1_1&gene=snap_masked-ham-_s800-processed-gene-0.1&CDS=1-687	YNL213C
OG0000245	augustus_masked-ham-_s15-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-ham-_s15-processed-gene-0.0&CDS=1-270, snap_masked-ham-_s482-processed-gene-2.19-mRNA-1_1&gene=snap_masked-ham-_s482-processed-gene-2.19&CDS=1-2583	YNL127W
OG0000246	snap_masked-ham-_s15-processed-gene-0.69-mRNA-1_1&gene=snap_masked-ham-_s15-processed-gene-0.69&CDS=1-1038, snap_masked-ham-_s259-processed-gene-0.87-mRNA-1_1&gene=snap_masked-ham-_s259-processed-gene-0.87&CDS=1-228	YPR127W
OG0000247	snap_masked-ham-_s152-processed-gene-0.14-mRNA-1_1&gene=snap_masked-ham-_s152-processed-gene-0.14&CDS=1-3870, snap_masked-ham-_s443-processed-gene-0.8-mRNA-1_1&gene=snap_masked-ham-_s443-processed-gene-0.8&CDS=1-393	YGL093W
OG0000248	snap_masked-ham-_s152-processed-gene-0.5-mRNA-1_1&gene=snap_masked-ham-_s152-processed-gene-0.5&CDS=1-2931	YJL084C, YKR021W
OG0000249	snap_masked-ham-_s159-processed-gene-0.2-mRNA-1_1&gene=snap_masked-ham-_s159-processed-gene-0.2&CDS=1-198, snap_masked-ham-_s181-processed-gene-1.99-mRNA-1_1&gene=snap_masked-ham-_s181-processed-gene-1.99&CDS=1-1437	YDR030C
OG0000250	snap_masked-ham-_s16-processed-gene-0.132-mRNA-1_1&gene=snap_masked-ham-_s16-processed-gene-0.132&CDS=1-195, snap_masked-ham-_s279-processed-gene-2.105-mRNA-1_1&gene=snap_masked-ham-_s279-processed-gene-2.105&CDS=1-1725	YMR227C
OG0000251	snap_masked-ham-_s16-processed-gene-0.133-mRNA-1_1&gene=snap_masked-ham-_s16-processed-gene-0.133&CDS=1-5307	YIL149C, YKR095W
OG0000252	snap_masked-ham-_s16-processed-gene-0.108-mRNA-1_1&gene=snap_masked-ham-_s16-processed-gene-0.108&CDS=1-3732	YIL151C, YKR096W
OG0000253	snap_masked-ham-_s16-processed-gene-0.134-mRNA-1_1&gene=snap_masked-ham-_s16-processed-gene-0.134&CDS=1-1698, snap_masked-ham-_s336-processed-gene-1.94-mRNA-1_1&gene=snap_masked-ham-_s336-processed-gene-1.94&CDS=1-1740	YBR132C
OG0000254	augustus_masked-ham-_s570-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-ham-_s570-processed-gene-0.16&CDS=1-3465, genemark-ham-_s16-processed-gene-0.58-mRNA-1_1&gene=genemark-ham-_s16-processed-gene-0.58&CDS=1-2424	YER041W
OG0000255	snap_masked-ham-_s16-processed-gene-0.118-mRNA-1_1&gene=snap_masked-ham-_s16-processed-gene-0.118&CDS=1-756	YIR035C, YIR036C
OG0000256	maker-ham-_s16-snap-gene-0.53-mRNA-1_1&gene=maker-ham-_s16-snap-gene-0.53&CDS=1-987	YNL302C, YOL121C
OG0000257	snap_masked-ham-_s163-processed-gene-0.4-mRNA-1_1&gene=snap_masked-ham-_s163-processed-gene-0.4&CDS=1-1404	YGR108W, YPR119W
OG0000258	snap_masked-ham-_s163-processed-gene-0.6-mRNA-1_1&gene=snap_masked-ham-_s163-processed-gene-0.6&CDS=1-5055, snap_masked-ham-_s264-processed-gene-0.133-mRNA-1_1&gene=snap_masked-ham-_s264-processed-gene-0.133&CDS=1-315	YDR443C
OG0000259	genemark-ham-_s190-processed-gene-0.1-mRNA-1_1&gene=genemark-ham-_s190-processed-gene-0.1&CDS=1-969, snap_masked-ham-_s173-processed-gene-0.112-mRNA-1_1&gene=snap_masked-ham-_s173-processed-gene-0.112&CDS=1-930	YKL128C
OG0000260	snap_masked-ham-_s173-processed-gene-0.89-mRNA-1_1&gene=snap_masked-ham-_s173-processed-gene-0.89&CDS=1-1878, snap_masked-ham-_s541-processed-gene-0.1-mRNA-1_1&gene=snap_masked-ham-_s541-processed-gene-0.1&CDS=1-843	YAL016W
OG0000261	snap_masked-ham-_s173-processed-gene-0.114-mRNA-1_1&gene=snap_masked-ham-_s173-processed-gene-0.114&CDS=1-2274, snap_masked-ham-_s369-processed-gene-0.16-mRNA-1_1&gene=snap_masked-ham-_s369-processed-gene-0.16&CDS=1-2385	YAL023C
OG0000262	augustus_masked-ham-_s173-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-ham-_s173-processed-gene-0.48&CDS=1-534	YOR226C, YPL135W
OG0000263	snap_masked-ham-_s173-processed-gene-0.96-mRNA-1_1&gene=snap_masked-ham-_s173-processed-gene-0.96&CDS=1-4323	YBL079W, YER105C
OG0000264	snap_masked-ham-_s173-processed-gene-0.103-mRNA-1_1&gene=snap_masked-ham-_s173-processed-gene-0.103&CDS=1-2934, snap_masked-ham-_s479-processed-gene-0.4-mRNA-1_1&gene=snap_masked-ham-_s479-processed-gene-0.4&CDS=1-3234	YNL192W
OG0000265	snap_masked-ham-_s173-processed-gene-0.105-mRNA-1_1&gene=snap_masked-ham-_s173-processed-gene-0.105&CDS=1-591	YER067W, YIL057C
OG0000266	snap_masked-ham-_s173-processed-gene-0.106-mRNA-1_1&gene=snap_masked-ham-_s173-processed-gene-0.106&CDS=1-1275, snap_masked-ham-_s846-processed-gene-0.10-mRNA-1_1&gene=snap_masked-ham-_s846-processed-gene-0.10&CDS=1-1425	YHR135C
OG0000267	snap_masked-ham-_s181-processed-gene-0.118-mRNA-1_1&gene=snap_masked-ham-_s181-processed-gene-0.118&CDS=1-3318	YCR067C, YNR026C
OG0000268	snap_masked-ham-_s181-processed-gene-0.103-mRNA-1_1&gene=snap_masked-ham-_s181-processed-gene-0.103&CDS=1-2175	YJR059W, YKL198C
OG0000269	snap_masked-ham-_s181-processed-gene-1.83-mRNA-1_1&gene=snap_masked-ham-_s181-processed-gene-1.83&CDS=1-1719, snap_masked-ham-_s593-processed-gene-0.47-mRNA-1_1&gene=snap_masked-ham-_s593-processed-gene-0.47&CDS=1-1674	YDR242W
OG0000270	snap_masked-ham-_s181-processed-gene-1.98-mRNA-1_1&gene=snap_masked-ham-_s181-processed-gene-1.98&CDS=1-3519	YJL076W, YKR010C
OG0000271	maker-ham-_s181-snap-gene-1.74-mRNA-1_1&gene=maker-ham-_s181-snap-gene-1.74&CDS=1-2559	YBR205W, YOR099W
OG0000272	maker-ham-_s181-augustus-gene-2.213-mRNA-1_1&gene=maker-ham-_s181-augustus-gene-2.213&CDS=1-2175	YDL134C, YDL188C
OG0000273	genemark-ham-_s181-processed-gene-2.104-mRNA-1_1&gene=genemark-ham-_s181-processed-gene-2.104&CDS=1-2439	YBR294W, YLR092W
OG0000274	snap_masked-ham-_s181-processed-gene-2.151-mRNA-1_1&gene=snap_masked-ham-_s181-processed-gene-2.151&CDS=1-981	YGR136W, YPR154W
OG0000275	augustus_masked-ham-_s181-processed-gene-2.45-mRNA-1_1&gene=augustus_masked-ham-_s181-processed-gene-2.45&CDS=1-360	YDL136W, YDL191W
OG0000276	snap_masked-ham-_s181-processed-gene-2.189-mRNA-1_1&gene=snap_masked-ham-_s181-processed-gene-2.189&CDS=1-543	YDL137W, YDL192W
OG0000277	snap_masked-ham-_s181-processed-gene-2.157-mRNA-1_1&gene=snap_masked-ham-_s181-processed-gene-2.157&CDS=1-507	YGR131W, YPR149W
OG0000278	maker-ham-_s181-snap-gene-2.221-mRNA-1_1&gene=maker-ham-_s181-snap-gene-2.221&CDS=1-3750	YGR143W, YPR159W
OG0000279	snap_masked-ham-_s181-processed-gene-2.165-mRNA-1_1&gene=snap_masked-ham-_s181-processed-gene-2.165&CDS=1-2391	YIL105C, YNL047C
OG0000280	snap_masked-ham-_s181-processed-gene-2.205-mRNA-1_1&gene=snap_masked-ham-_s181-processed-gene-2.205&CDS=1-411	YBL087C, YER117W
OG0000281	snap_masked-ham-_s181-processed-gene-2.206-mRNA-1_1&gene=snap_masked-ham-_s181-processed-gene-2.206&CDS=1-1179	YNL283C, YOL105C
OG0000282	snap_masked-ham-_s186-processed-gene-0.28-mRNA-1_1&gene=snap_masked-ham-_s186-processed-gene-0.28&CDS=1-297, snap_masked-ham-_s279-processed-gene-3.99-mRNA-1_1&gene=snap_masked-ham-_s279-processed-gene-3.99&CDS=1-1509	YDR434W
OG0000283	genemark-ham-_s324-processed-gene-0.32-mRNA-1_1&gene=genemark-ham-_s324-processed-gene-0.32&CDS=1-408, snap_masked-ham-_s186-processed-gene-0.36-mRNA-1_1&gene=snap_masked-ham-_s186-processed-gene-0.36&CDS=1-645	YHR181W
OG0000284	genemark-ham-_s226-processed-gene-0.5-mRNA-1_1&gene=genemark-ham-_s226-processed-gene-0.5&CDS=1-714, snap_masked-ham-_s186-processed-gene-0.46-mRNA-1_1&gene=snap_masked-ham-_s186-processed-gene-0.46&CDS=1-1365	YDL006W
OG0000285	snap_masked-ham-_s186-processed-gene-0.41-mRNA-1_1&gene=snap_masked-ham-_s186-processed-gene-0.41&CDS=1-2196, snap_masked-ham-_s57-processed-gene-0.12-mRNA-1_1&gene=snap_masked-ham-_s57-processed-gene-0.12&CDS=1-210	YDR081C
OG0000286	genemark-ham-_s189-processed-gene-0.15-mRNA-1_1&gene=genemark-ham-_s189-processed-gene-0.15&CDS=1-1659	YKL127W, YMR105C
OG0000287	snap_masked-ham-_s190-processed-gene-0.8-mRNA-1_1&gene=snap_masked-ham-_s190-processed-gene-0.8&CDS=1-1605	YAL015C, YOL043C
OG0000288	genemark-ham-_s465-processed-gene-0.9-mRNA-1_1&gene=genemark-ham-_s465-processed-gene-0.9&CDS=1-711, snap_masked-ham-_s190-processed-gene-0.4-mRNA-1_1&gene=snap_masked-ham-_s190-processed-gene-0.4&CDS=1-360	YPL002C
OG0000289	snap_masked-ham-_s196-processed-gene-0.35-mRNA-1_1&gene=snap_masked-ham-_s196-processed-gene-0.35&CDS=1-282	YGR008C, YLR327C
OG0000290	snap_masked-ham-_s196-processed-gene-0.31-mRNA-1_1&gene=snap_masked-ham-_s196-processed-gene-0.31&CDS=1-357, snap_masked-ham-_s659-processed-gene-0.16-mRNA-1_1&gene=snap_masked-ham-_s659-processed-gene-0.16&CDS=1-1902	YDL146W
OG0000291	snap_masked-ham-_s197-processed-gene-0.6-mRNA-1_1&gene=snap_masked-ham-_s197-processed-gene-0.6&CDS=1-531, snap_masked-ham-_s279-processed-gene-1.37-mRNA-1_1&gene=snap_masked-ham-_s279-processed-gene-1.37&CDS=1-1083	YEL050C
OG0000292	snap_masked-ham-_s197-processed-gene-0.8-mRNA-1_1&gene=snap_masked-ham-_s197-processed-gene-0.8&CDS=1-357	YER131W, YGL189C
OG0000293	snap_masked-ham-_s197-processed-gene-0.5-mRNA-1_1&gene=snap_masked-ham-_s197-processed-gene-0.5&CDS=1-1284, snap_masked-ham-_s335-processed-gene-0.19-mRNA-1_1&gene=snap_masked-ham-_s335-processed-gene-0.19&CDS=1-1263	YDL131W
OG0000294	maker-ham-_s198-augustus-gene-0.12-mRNA-1_1&gene=maker-ham-_s198-augustus-gene-0.12&CDS=1-558, snap_masked-ham-_s245-processed-gene-0.52-mRNA-1_1&gene=snap_masked-ham-_s245-processed-gene-0.52&CDS=1-1536	YPL212C
OG0000295	snap_masked-ham-_s20-processed-gene-0.38-mRNA-1_1&gene=snap_masked-ham-_s20-processed-gene-0.38&CDS=1-1167, snap_masked-ham-_s446-processed-gene-0.34-mRNA-1_1&gene=snap_masked-ham-_s446-processed-gene-0.34&CDS=1-1113	YEL046C
OG0000296	genemark-ham-_s20-processed-gene-0.29-mRNA-1_1&gene=genemark-ham-_s20-processed-gene-0.29&CDS=1-885, snap_masked-ham-_s438-processed-gene-0.4-mRNA-1_1&gene=snap_masked-ham-_s438-processed-gene-0.4&CDS=1-1635	YNL189W
OG0000297	snap_masked-ham-_s20-processed-gene-0.39-mRNA-1_1&gene=snap_masked-ham-_s20-processed-gene-0.39&CDS=1-1725	YGR138C, YPR156C
OG0000298	snap_masked-ham-_s20-processed-gene-0.41-mRNA-1_1&gene=snap_masked-ham-_s20-processed-gene-0.41&CDS=1-2523	YDR351W, YHR103W
OG0000299	augustus_masked-ham-_s211-processed-gene-0.64-mRNA-1_1&gene=augustus_masked-ham-_s211-processed-gene-0.64&CDS=1-1008, snap_masked-ham-_s62-processed-gene-0.39-mRNA-1_1&gene=snap_masked-ham-_s62-processed-gene-0.39&CDS=1-294	YMR278W
OG0000300	genemark-ham-_s211-processed-gene-0.17-mRNA-1_1&gene=genemark-ham-_s211-processed-gene-0.17&CDS=1-4365	YER132C, YGL197W
OG0000301	snap_masked-ham-_s211-processed-gene-0.49-mRNA-1_1&gene=snap_masked-ham-_s211-processed-gene-0.49&CDS=1-2436	YOR256C, YPL176C
OG0000302	augustus_masked-ham-_s482-processed-gene-3.67-mRNA-1_1&gene=augustus_masked-ham-_s482-processed-gene-3.67&CDS=1-1662, snap_masked-ham-_s211-processed-gene-1.100-mRNA-1_1&gene=snap_masked-ham-_s211-processed-gene-1.100&CDS=1-1935	YDL174C
OG0000303	snap_masked-ham-_s215-processed-gene-0.26-mRNA-1_1&gene=snap_masked-ham-_s215-processed-gene-0.26&CDS=1-1563	YEL041W, YJR049C
OG0000304	maker-ham-_s801-snap-gene-0.17-mRNA-1_1&gene=maker-ham-_s801-snap-gene-0.17&CDS=1-894, snap_masked-ham-_s215-processed-gene-0.38-mRNA-1_1&gene=snap_masked-ham-_s215-processed-gene-0.38&CDS=1-222	YER083C
OG0000305	snap_masked-ham-_s22-processed-gene-0.8-mRNA-1_1&gene=snap_masked-ham-_s22-processed-gene-0.8&CDS=1-7602	YBR140C, YOL081W
OG0000306	genemark-ham-_s22-processed-gene-0.94-mRNA-1_1&gene=genemark-ham-_s22-processed-gene-0.94&CDS=1-3366, snap_masked-ham-_s758-processed-gene-0.11-mRNA-1_1&gene=snap_masked-ham-_s758-processed-gene-0.11&CDS=1-2676	YDR490C
OG0000307	snap_masked-ham-_s22-processed-gene-0.34-mRNA-1_1&gene=snap_masked-ham-_s22-processed-gene-0.34&CDS=1-1167, snap_masked-ham-_s46-processed-gene-0.75-mRNA-1_1&gene=snap_masked-ham-_s46-processed-gene-0.75&CDS=1-1239	YGR263C
OG0000308	augustus_masked-ham-_s60-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-ham-_s60-processed-gene-0.13&CDS=1-1155, snap_masked-ham-_s22-processed-gene-0.14-mRNA-1_1&gene=snap_masked-ham-_s22-processed-gene-0.14&CDS=1-747	YGL136C
OG0000309	snap_masked-ham-_s22-processed-gene-0.22-mRNA-1_1&gene=snap_masked-ham-_s22-processed-gene-0.22&CDS=1-1377, snap_masked-ham-_s482-processed-gene-0.89-mRNA-1_1&gene=snap_masked-ham-_s482-processed-gene-0.89&CDS=1-1356	YBR028C
