	Komagataella_pastoris	Saccharomyces_cerevisiae
OG0000155	snap_masked-chromosome_2-processed-gene-20.135-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-20.135&CDS=1-2097, snap_masked-chromosome_4-processed-gene-1.28-mRNA-1_1&gene=snap_masked-chromosome_4-processed-gene-1.28&CDS=1-1392	YBL052C, YOR244W
OG0000156	maker-chromosome_4-snap-gene-4.60-mRNA-1_1&gene=maker-chromosome_4-snap-gene-4.60&CDS=1-1605, snap_masked-chromosome_2-processed-gene-20.184-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-20.184&CDS=1-1665	YDR243C, YNL112W
OG0000157	snap_masked-chromosome_2-processed-gene-20.174-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-20.174&CDS=1-828, snap_masked-chromosome_4-processed-gene-15.41-mRNA-1_1&gene=snap_masked-chromosome_4-processed-gene-15.41&CDS=1-903	YJR116W, YPR114W
OG0000158	snap_masked-chromosome_2-processed-gene-21.138-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-21.138&CDS=1-6645, snap_masked-chromosome_3-processed-gene-15.17-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-15.17&CDS=1-3429	YJL130C, YJR109C
OG0000159	augustus_masked-chromosome_4-processed-gene-16.287-mRNA-1_1&gene=augustus_masked-chromosome_4-processed-gene-16.287&CDS=1-4890, snap_masked-chromosome_2-processed-gene-21.171-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-21.171&CDS=1-3717	YIL126W, YOR290C
OG0000160	snap_masked-chromosome_2-processed-gene-22.265-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-22.265&CDS=1-2160, snap_masked-chromosome_3-processed-gene-8.75-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-8.75&CDS=1-1764	YGL014W, YGL178W
OG0000161	maker-chromosome_2-snap-gene-22.107-mRNA-1_1&gene=maker-chromosome_2-snap-gene-22.107&CDS=1-1380, snap_masked-chromosome_4-processed-gene-5.83-mRNA-1_1&gene=snap_masked-chromosome_4-processed-gene-5.83&CDS=1-1251	YER048C, YIR004W
OG0000162	snap_masked-chromosome_2-processed-gene-22.292-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-22.292&CDS=1-1119, snap_masked-chromosome_3-processed-gene-9.80-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-9.80&CDS=1-1554	YKL124W, YMR171C
OG0000163	snap_masked-chromosome_3-processed-gene-1.143-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-1.143&CDS=1-1707, snap_masked-chromosome_3-processed-gene-21.203-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-21.203&CDS=1-1344	YGR252W, YKR008W
OG0000164	snap_masked-chromosome_3-processed-gene-2.146-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-2.146&CDS=1-1560	YML116W, YMR279C, YOR378W
OG0000165	snap_masked-chromosome_3-processed-gene-3.106-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-3.106&CDS=1-1680	YGR087C, YLR044C, YLR134W
OG0000166	augustus_masked-chromosome_4-processed-gene-7.144-mRNA-1_1&gene=augustus_masked-chromosome_4-processed-gene-7.144&CDS=1-6267, snap_masked-chromosome_3-processed-gene-4.139-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-4.139&CDS=1-870	YFR030W, YPL031C
OG0000167	snap_masked-chromosome_3-processed-gene-4.169-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-4.169&CDS=1-4122, snap_masked-chromosome_3-processed-gene-9.61-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-9.61&CDS=1-2142	YJL095W, YLR362W
OG0000168	augustus_masked-chromosome_3-processed-gene-4.34-mRNA-1_1&gene=augustus_masked-chromosome_3-processed-gene-4.34&CDS=1-1476	YGL166W, YMR021C, YPR008W
OG0000169	snap_masked-chromosome_3-processed-gene-11.81-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-11.81&CDS=1-1002, snap_masked-chromosome_3-processed-gene-4.177-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-4.177&CDS=1-990	YCR034W, YLR372W
OG0000170	augustus_masked-chromosome_3-processed-gene-5.49-mRNA-1_1&gene=augustus_masked-chromosome_3-processed-gene-5.49&CDS=1-1524, snap_masked-chromosome_4-processed-gene-9.81-mRNA-1_1&gene=snap_masked-chromosome_4-processed-gene-9.81&CDS=1-1866	YER054C, YIL045W
OG0000171	maker-chromosome_3-snap-gene-14.2-mRNA-1_1&gene=maker-chromosome_3-snap-gene-14.2&CDS=1-954, snap_masked-chromosome_3-processed-gene-12.6-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-12.6&CDS=1-1311	YDL090C, YPR176C
OG0000172	snap_masked-chromosome_3-processed-gene-15.19-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-15.19&CDS=1-7359, snap_masked-chromosome_3-processed-gene-20.14-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-20.14&CDS=1-7656	YLR454W, YPR117W
OG0000173	augustus_masked-chromosome_3-processed-gene-18.163-mRNA-1_1&gene=augustus_masked-chromosome_3-processed-gene-18.163&CDS=1-1092, snap_masked-chromosome_3-processed-gene-20.38-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-20.38&CDS=1-1092	YLR455W, YMR044W
OG0000174	snap_masked-chromosome_3-processed-gene-21.243-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-21.243&CDS=1-2661, snap_masked-chromosome_4-processed-gene-6.75-mRNA-1_1&gene=snap_masked-chromosome_4-processed-gene-6.75&CDS=1-2259	YHL007C, YNL298W
OG0000175	snap_masked-chromosome_4-processed-gene-1.34-mRNA-1_1&gene=snap_masked-chromosome_4-processed-gene-1.34&CDS=1-708, snap_masked-chromosome_4-processed-gene-16.100-mRNA-1_1&gene=snap_masked-chromosome_4-processed-gene-16.100&CDS=1-714	YBR181C, YPL090C
OG0000176	snap_masked-chromosome_4-processed-gene-11.28-mRNA-1_1&gene=snap_masked-chromosome_4-processed-gene-11.28&CDS=1-1491, snap_masked-chromosome_4-processed-gene-8.87-mRNA-1_1&gene=snap_masked-chromosome_4-processed-gene-8.87&CDS=1-1410	YBR263W, YLR058C
OG0000177	snap_masked-chromosome_4-processed-gene-10.146-mRNA-1_1&gene=snap_masked-chromosome_4-processed-gene-10.146&CDS=1-1557	YER056C, YER060W, YER060W-A
OG0000178	snap_masked-chromosome_4-processed-gene-11.25-mRNA-1_1&gene=snap_masked-chromosome_4-processed-gene-11.25&CDS=1-1797	YDR144C, YLR120C, YLR121C
OG0000179	snap_masked-chromosome_4-processed-gene-12.26-mRNA-1_1&gene=snap_masked-chromosome_4-processed-gene-12.26&CDS=1-945	YLL062C, YMR321C, YPL273W
OG0000180	snap_masked-chromosome_4-processed-gene-16.25-mRNA-1_1&gene=snap_masked-chromosome_4-processed-gene-16.25&CDS=1-519	YCL067C, YCR039C, YCR096C
OG0000181		YBR297W, YFL052W, YGR288W, YPR196W
OG0000182	snap_masked-chromosome_1-processed-gene-0.73-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-0.73&CDS=1-1719	YJL083W, YKR019C
OG0000183	snap_masked-chromosome_1-processed-gene-0.74-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-0.74&CDS=1-1017	YBR031W, YDR012W
OG0000184	snap_masked-chromosome_1-processed-gene-0.75-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-0.75&CDS=1-2850	YJL105W, YKR029C
OG0000185	genemark-chromosome_3-processed-gene-21.59-mRNA-1_1&gene=genemark-chromosome_3-processed-gene-21.59&CDS=1-2412, maker-chromosome_1-snap-gene-1.119-mRNA-1_1&gene=maker-chromosome_1-snap-gene-1.119&CDS=1-2562	YOR270C
OG0000186	snap_masked-chromosome_1-processed-gene-1.37-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-1.37&CDS=1-345	YHR132W-A, YNL157W
OG0000187	snap_masked-chromosome_1-processed-gene-1.58-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-1.58&CDS=1-879	YHR133C, YNL156C
OG0000188	snap_masked-chromosome_1-processed-gene-1.39-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-1.39&CDS=1-1857	YDR146C, YLR131C
OG0000189	maker-chromosome_1-snap-gene-2.105-mRNA-1_1&gene=maker-chromosome_1-snap-gene-2.105&CDS=1-4332, snap_masked-chromosome_3-processed-gene-18.67-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-18.67&CDS=1-4350	YOR336W
OG0000190	snap_masked-chromosome_1-processed-gene-2.48-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-2.48&CDS=1-411	YBL087C, YER117W
OG0000191	snap_masked-chromosome_1-processed-gene-3.124-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-3.124&CDS=1-2646	YDR379W, YOR127W
OG0000192	snap_masked-chromosome_1-processed-gene-3.153-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-3.153&CDS=1-1029, snap_masked-chromosome_3-processed-gene-5.127-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-5.127&CDS=1-1155	YHR177W
OG0000193	snap_masked-chromosome_1-processed-gene-3.131-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-3.131&CDS=1-786	YDR253C, YPL038W
OG0000194	snap_masked-chromosome_1-processed-gene-4.125-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-4.125&CDS=1-2460	YBL101C, YPR030W
OG0000195	snap_masked-chromosome_1-processed-gene-4.130-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-4.130&CDS=1-1095	YBR161W, YPL057C
OG0000196	augustus_masked-chromosome_2-processed-gene-8.45-mRNA-1_1&gene=augustus_masked-chromosome_2-processed-gene-8.45&CDS=1-1563, snap_masked-chromosome_1-processed-gene-4.149-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-4.149&CDS=1-1701	YNL216W
OG0000197	snap_masked-chromosome_1-processed-gene-4.179-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-4.179&CDS=1-2124	YDR069C, YER144C
OG0000198	snap_masked-chromosome_1-processed-gene-5.33-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-5.33&CDS=1-1341	YBR273C, YJL048C
OG0000199	snap_masked-chromosome_1-processed-gene-25.92-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-25.92&CDS=1-1788, snap_masked-chromosome_1-processed-gene-5.14-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-5.14&CDS=1-1809	YAL067C
OG0000200	snap_masked-chromosome_1-processed-gene-6.10-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-6.10&CDS=1-2835	YIL156W, YKR098C
OG0000201	augustus_masked-chromosome_1-processed-gene-6.147-mRNA-1_1&gene=augustus_masked-chromosome_1-processed-gene-6.147&CDS=1-2127	YAL056W, YOR371C
OG0000202	maker-chromosome_1-augustus-gene-6.162-mRNA-1_1&gene=maker-chromosome_1-augustus-gene-6.162&CDS=1-2232, snap_masked-chromosome_4-processed-gene-11.51-mRNA-1_1&gene=snap_masked-chromosome_4-processed-gene-11.51&CDS=1-2346	YPR181C
OG0000203	snap_masked-chromosome_1-processed-gene-6.45-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-6.45&CDS=1-3294	YGL049C, YGR162W
OG0000204	genemark-chromosome_1-processed-gene-6.82-mRNA-1_1&gene=genemark-chromosome_1-processed-gene-6.82&CDS=1-1248, snap_masked-chromosome_3-processed-gene-5.146-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-5.146&CDS=1-1413	YKL140W
OG0000205	genemark-chromosome_1-processed-gene-11.26-mRNA-1_1&gene=genemark-chromosome_1-processed-gene-11.26&CDS=1-1077, snap_masked-chromosome_1-processed-gene-6.30-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-6.30&CDS=1-1083	YKL060C
OG0000206	snap_masked-chromosome_1-processed-gene-7.17-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-7.17&CDS=1-1851	YBR238C, YGL107C
OG0000207	maker-chromosome_1-augustus-gene-7.108-mRNA-1_1&gene=maker-chromosome_1-augustus-gene-7.108&CDS=1-2712, snap_masked-chromosome_2-processed-gene-12.144-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-12.144&CDS=1-2034	YLL029W
OG0000208	augustus_masked-chromosome_1-processed-gene-8.123-mRNA-1_1&gene=augustus_masked-chromosome_1-processed-gene-8.123&CDS=1-900, snap_masked-chromosome_1-processed-gene-8.7-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-8.7&CDS=1-852	YCR015C
OG0000209	maker-chromosome_1-snap-gene-8.118-mRNA-1_1&gene=maker-chromosome_1-snap-gene-8.118&CDS=1-1005	YDR277C, YOR047C
OG0000210	snap_masked-chromosome_1-processed-gene-8.34-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-8.34&CDS=1-2448	YGL139W, YPL221W
OG0000211	snap_masked-chromosome_1-processed-gene-9.87-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-9.87&CDS=1-651	YGL135W, YPL220W
OG0000212	snap_masked-chromosome_1-processed-gene-9.107-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-9.107&CDS=1-495	YDR418W, YEL054C
OG0000213	augustus_masked-chromosome_1-processed-gene-9.27-mRNA-1_1&gene=augustus_masked-chromosome_1-processed-gene-9.27&CDS=1-3006, snap_masked-chromosome_3-processed-gene-0.9-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-0.9&CDS=1-1617	YEL052W
OG0000214	snap_masked-chromosome_1-processed-gene-10.0-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-10.0&CDS=1-1041, snap_masked-chromosome_2-processed-gene-1.136-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-1.136&CDS=1-1878	YER165W
OG0000215	genemark-chromosome_4-processed-gene-2.80-mRNA-1_1&gene=genemark-chromosome_4-processed-gene-2.80&CDS=1-1626, snap_masked-chromosome_1-processed-gene-10.4-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-10.4&CDS=1-1692	YHL036W
OG0000216	snap_masked-chromosome_1-processed-gene-10.47-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-10.47&CDS=1-1140, snap_masked-chromosome_2-processed-gene-3.19-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-3.19&CDS=1-1095	YFR034C
OG0000217	snap_masked-chromosome_1-processed-gene-10.55-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-10.55&CDS=1-552	YKL065C, YMR040W
OG0000218	snap_masked-chromosome_1-processed-gene-11.62-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-11.62&CDS=1-1044	YDL246C, YJR159W
OG0000219	snap_masked-chromosome_1-processed-gene-11.66-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-11.66&CDS=1-2601, snap_masked-chromosome_2-processed-gene-4.102-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-4.102&CDS=1-2322	YER070W
OG0000220	snap_masked-chromosome_1-processed-gene-11.67-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-11.67&CDS=1-246	YHR021C, YKL156W
OG0000221	snap_masked-chromosome_1-processed-gene-11.95-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-11.95&CDS=1-1224	YDR312W, YHR066W
OG0000222	snap_masked-chromosome_1-processed-gene-11.75-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-11.75&CDS=1-1986	YDL138W, YDL194W
OG0000223	snap_masked-chromosome_1-processed-gene-11.77-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-11.77&CDS=1-369	YDL136W, YDL191W
OG0000224	maker-chromosome_1-snap-gene-11.181-mRNA-1_1&gene=maker-chromosome_1-snap-gene-11.181&CDS=1-1305, maker-chromosome_1-snap-gene-21.57-mRNA-1_1&gene=maker-chromosome_1-snap-gene-21.57&CDS=1-4269	YDL131W
OG0000225	snap_masked-chromosome_1-processed-gene-11.108-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-11.108&CDS=1-1977	YHR131C, YNL144C
OG0000226	snap_masked-chromosome_1-processed-gene-11.109-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-11.109&CDS=1-1005	YCL050C, YDR530C
OG0000227	snap_masked-chromosome_1-processed-gene-12.4-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-12.4&CDS=1-252	YDR500C, YLR185W
OG0000228	genemark-chromosome_1-processed-gene-12.60-mRNA-1_1&gene=genemark-chromosome_1-processed-gene-12.60&CDS=1-1191	YDR501W, YLR183C
OG0000229	snap_masked-chromosome_1-processed-gene-12.8-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-12.8&CDS=1-1380	YCL037C, YDR515W
OG0000230	snap_masked-chromosome_1-processed-gene-12.11-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-12.11&CDS=1-1209	YHL003C, YKL008C
OG0000231	snap_masked-chromosome_1-processed-gene-12.13-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-12.13&CDS=1-927	YDR368W, YOR120W
OG0000232	maker-chromosome_1-augustus-gene-12.162-mRNA-1_1&gene=maker-chromosome_1-augustus-gene-12.162&CDS=1-3798	YDL042C, YOL068C
OG0000233	snap_masked-chromosome_1-processed-gene-13.60-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-13.60&CDS=1-1971	YCR026C, YEL016C
OG0000234	snap_masked-chromosome_1-processed-gene-13.66-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-13.66&CDS=1-531	YER067W, YIL057C
OG0000235	snap_masked-chromosome_1-processed-gene-13.79-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-13.79&CDS=1-678, snap_masked-chromosome_3-processed-gene-17.110-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-17.110&CDS=1-729	YBL064C
OG0000236	snap_masked-chromosome_1-processed-gene-13.80-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-13.80&CDS=1-1692	YBL067C, YER098W
OG0000237	snap_masked-chromosome_1-processed-gene-13.82-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-13.82&CDS=1-600	YBL072C, YER102W
OG0000238	augustus_masked-chromosome_1-processed-gene-14.68-mRNA-1_1&gene=augustus_masked-chromosome_1-processed-gene-14.68&CDS=1-1812	YCL011C, YNL004W
OG0000239	augustus_masked-chromosome_1-processed-gene-15.0-mRNA-1_1&gene=augustus_masked-chromosome_1-processed-gene-15.0&CDS=1-2670, snap_masked-chromosome_2-processed-gene-15.8-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-15.8&CDS=1-1887	YMR058W
OG0000240	augustus_masked-chromosome_1-processed-gene-15.31-mRNA-1_1&gene=augustus_masked-chromosome_1-processed-gene-15.31&CDS=1-1074, snap_masked-chromosome_1-processed-gene-22.167-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-22.167&CDS=1-1548	YAL040C
OG0000241	snap_masked-chromosome_1-processed-gene-15.126-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-15.126&CDS=1-2694	YKL133C, YMR115W
OG0000242	snap_masked-chromosome_1-processed-gene-15.127-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-15.127&CDS=1-3084	YBL106C, YPR032W
OG0000243	snap_masked-chromosome_1-processed-gene-15.149-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-15.149&CDS=1-2415, snap_masked-chromosome_3-processed-gene-3.91-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-3.91&CDS=1-3153	YDR490C
OG0000244	snap_masked-chromosome_1-processed-gene-15.159-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-15.159&CDS=1-1872	YGR138C, YPR156C
OG0000245	snap_masked-chromosome_1-processed-gene-16.32-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-16.32&CDS=1-3912	YLL016W, YLR310C
OG0000246	augustus_masked-chromosome_1-processed-gene-16.119-mRNA-1_1&gene=augustus_masked-chromosome_1-processed-gene-16.119&CDS=1-771, snap_masked-chromosome_1-processed-gene-19.38-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-19.38&CDS=1-747	YKL040C
OG0000247	snap_masked-chromosome_1-processed-gene-17.166-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-17.166&CDS=1-2229	YJL082W, YKR018C
OG0000248	snap_masked-chromosome_1-processed-gene-17.169-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-17.169&CDS=1-645	YBR005W, YDR003W
OG0000249	snap_masked-chromosome_1-processed-gene-17.142-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-17.142&CDS=1-1242	YGR010W, YLR328W
OG0000250	snap_masked-chromosome_1-processed-gene-18.35-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-18.35&CDS=1-1542	YBR214W, YGL056C
OG0000251	snap_masked-chromosome_1-processed-gene-18.15-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-18.15&CDS=1-825	YLR284C, YOR180C
OG0000252	snap_masked-chromosome_1-processed-gene-18.20-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-18.20&CDS=1-201	YLR264W, YOR167C
OG0000253	maker-chromosome_1-snap-gene-18.115-mRNA-1_1&gene=maker-chromosome_1-snap-gene-18.115&CDS=1-378	YER057C, YIL051C
OG0000254	maker-chromosome_1-snap-gene-18.114-mRNA-1_1&gene=maker-chromosome_1-snap-gene-18.114&CDS=1-354	YER056C-A, YIL052C
OG0000255	snap_masked-chromosome_1-processed-gene-18.56-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-18.56&CDS=1-1695	YKL127W, YMR105C
OG0000256	maker-chromosome_1-snap-gene-19.0-mRNA-1_1&gene=maker-chromosome_1-snap-gene-19.0&CDS=1-3534	YOR231W, YPL140C
OG0000257	snap_masked-chromosome_1-processed-gene-19.35-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-19.35&CDS=1-4359	YCR073C, YNR031C
OG0000258	snap_masked-chromosome_1-processed-gene-19.22-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-19.22&CDS=1-858	YMR183C, YPL232W
OG0000259	snap_masked-chromosome_1-processed-gene-19.48-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-19.48&CDS=1-1707	YDL085W, YMR145C
OG0000260	snap_masked-chromosome_1-processed-gene-19.25-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-19.25&CDS=1-1188	YFR014C, YOL016C
OG0000261	maker-chromosome_1-snap-gene-20.184-mRNA-1_1&gene=maker-chromosome_1-snap-gene-20.184&CDS=1-1659	YER064C, YIL056W
OG0000262	maker-chromosome_1-snap-gene-20.181-mRNA-1_1&gene=maker-chromosome_1-snap-gene-20.181&CDS=1-993	YNL302C, YOL121C
OG0000263	snap_masked-chromosome_1-processed-gene-20.175-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-20.175&CDS=1-1089	YGL071W, YPL202C
OG0000264	snap_masked-chromosome_1-processed-gene-21.144-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-21.144&CDS=1-1116	YNL283C, YOL105C
OG0000265	snap_masked-chromosome_1-processed-gene-21.177-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-21.177&CDS=1-2052	YIL105C, YNL047C
OG0000266	snap_masked-chromosome_1-processed-gene-22.133-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-22.133&CDS=1-4596	YEL022W, YJR031C
OG0000267	augustus_masked-chromosome_1-processed-gene-22.15-mRNA-1_1&gene=augustus_masked-chromosome_1-processed-gene-22.15&CDS=1-5358, snap_masked-chromosome_4-processed-gene-12.11-mRNA-1_1&gene=snap_masked-chromosome_4-processed-gene-12.11&CDS=1-2358	YOL138C
OG0000268	snap_masked-chromosome_1-processed-gene-22.182-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-22.182&CDS=1-789	YGR214W, YLR048W
OG0000269	maker-chromosome_1-augustus-gene-23.4-mRNA-1_1&gene=maker-chromosome_1-augustus-gene-23.4&CDS=1-516	YKL141W, YMR118C
OG0000270	genemark-chromosome_1-processed-gene-23.114-mRNA-1_1&gene=genemark-chromosome_1-processed-gene-23.114&CDS=1-846	YAL018C, YOL048C
OG0000271	snap_masked-chromosome_1-processed-gene-23.99-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-23.99&CDS=1-660	YER031C, YGL210W
OG0000272	maker-chromosome_3-snap-gene-4.64-mRNA-1_1&gene=maker-chromosome_3-snap-gene-4.64&CDS=1-1950, snap_masked-chromosome_1-processed-gene-24.98-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-24.98&CDS=1-939	YGR086C
OG0000273	snap_masked-chromosome_1-processed-gene-24.76-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-24.76&CDS=1-1611	YFL011W, YMR011W
OG0000274	snap_masked-chromosome_1-processed-gene-26.117-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-26.117&CDS=1-2985	YIL151C, YKR096W
OG0000275	maker-chromosome_4-augustus-gene-4.175-mRNA-1_1&gene=maker-chromosome_4-augustus-gene-4.175&CDS=1-2868, snap_masked-chromosome_1-processed-gene-26.115-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-26.115&CDS=1-2943	YBR084W
OG0000276	snap_masked-chromosome_1-processed-gene-26.125-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-26.125&CDS=1-1296	YHR001W, YKR003W
OG0000277	augustus_masked-chromosome_1-processed-gene-26.25-mRNA-1_1&gene=augustus_masked-chromosome_1-processed-gene-26.25&CDS=1-1353, snap_masked-chromosome_2-processed-gene-20.143-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-20.143&CDS=1-1434	YNL026W
OG0000278	snap_masked-chromosome_1-processed-gene-26.173-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-26.173&CDS=1-3783, snap_masked-chromosome_4-processed-gene-16.12-mRNA-1_1&gene=snap_masked-chromosome_4-processed-gene-16.12&CDS=1-2130	YER017C
OG0000279	snap_masked-chromosome_1-processed-gene-26.177-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-26.177&CDS=1-2355	YDR458C, YML034W
OG0000280	maker-chromosome_3-snap-gene-15.103-mRNA-1_1&gene=maker-chromosome_3-snap-gene-15.103&CDS=1-2385, snap_masked-chromosome_1-processed-gene-26.145-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-26.145&CDS=1-2280	YJR126C
OG0000281	snap_masked-chromosome_1-processed-gene-26.210-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-26.210&CDS=1-882	YHR198C, YHR199C
OG0000282	snap_masked-chromosome_1-processed-gene-26.156-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-26.156&CDS=1-1161	YMR199W, YPL256C
OG0000283	augustus_masked-chromosome_1-processed-gene-26.58-mRNA-1_1&gene=augustus_masked-chromosome_1-processed-gene-26.58&CDS=1-1377	YBR118W, YPR080W
OG0000284	augustus_masked-chromosome_1-processed-gene-26.61-mRNA-1_1&gene=augustus_masked-chromosome_1-processed-gene-26.61&CDS=1-4650, maker-chromosome_4-snap-gene-12.108-mRNA-1_1&gene=maker-chromosome_4-snap-gene-12.108&CDS=1-5346	YNL271C
