	Saccharomyces_cerevisiae	yHMPu5000041855_Candida_ascalaphidarum
OG0000204	YBR043C	snap_masked-NODE_1_length_1005075_cov_44.4753_ID_3314-processed-gene-3.1-mRNA-1_1&gene=snap_masked-NODE_1_length_1005075_cov_44.4753_ID_3314-processed-gene-3.1&CDS=1-1953, snap_masked-NODE_1_length_1005075_cov_44.4753_ID_3314-processed-gene-3.2-mRNA-1_1&gene=snap_masked-NODE_1_length_1005075_cov_44.4753_ID_3314-processed-gene-3.2&CDS=1-1695
OG0000205	YBR048W, YDR025W	snap_masked-NODE_5_length_535006_cov_46.4439_ID_3900-processed-gene-1.19-mRNA-1_1&gene=snap_masked-NODE_5_length_535006_cov_46.4439_ID_3900-processed-gene-1.19&CDS=1-465
OG0000206	YBR118W, YPR080W	augustus_masked-NODE_49_length_1315_cov_96.3165_ID_9149-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_49_length_1315_cov_96.3165_ID_9149-processed-gene-0.0&CDS=1-1311
OG0000207	YBR132C	augustus_masked-NODE_8_length_467519_cov_45.6115_ID_5299-processed-gene-3.152-mRNA-1_1&gene=augustus_masked-NODE_8_length_467519_cov_45.6115_ID_5299-processed-gene-3.152&CDS=1-1800, genemark-NODE_2_length_744676_cov_45.4856_ID_3712-processed-gene-6.176-mRNA-1_1&gene=genemark-NODE_2_length_744676_cov_45.4856_ID_3712-processed-gene-6.176&CDS=1-1725
OG0000208	YBR140C, YOL081W	snap_masked-NODE_25_length_116117_cov_42.0179_ID_5263-processed-gene-0.41-mRNA-1_1&gene=snap_masked-NODE_25_length_116117_cov_42.0179_ID_5263-processed-gene-0.41&CDS=1-7881
OG0000209	YBR147W, YOL092W	snap_masked-NODE_11_length_451756_cov_44.098_ID_3270-processed-gene-3.197-mRNA-1_1&gene=snap_masked-NODE_11_length_451756_cov_44.098_ID_3270-processed-gene-3.197&CDS=1-867
OG0000210	YBR172C, YPL105C	augustus_masked-NODE_9_length_463673_cov_43.3768_ID_4133-processed-gene-2.27-mRNA-1_1&gene=augustus_masked-NODE_9_length_463673_cov_43.3768_ID_4133-processed-gene-2.27&CDS=1-2511
OG0000211	YBR181C, YPL090C	augustus_masked-NODE_1_length_1005075_cov_44.4753_ID_3314-processed-gene-4.91-mRNA-1_1&gene=augustus_masked-NODE_1_length_1005075_cov_44.4753_ID_3314-processed-gene-4.91&CDS=1-2085
OG0000212	YBR183W, YPL087W	maker-NODE_5_length_535006_cov_46.4439_ID_3900-augustus-gene-0.4-mRNA-1_1&gene=maker-NODE_5_length_535006_cov_46.4439_ID_3900-augustus-gene-0.4&CDS=1-2709
OG0000213	YBR214W, YGL056C	snap_masked-NODE_3_length_696070_cov_41.4075_ID_3205-processed-gene-0.58-mRNA-1_1&gene=snap_masked-NODE_3_length_696070_cov_41.4075_ID_3205-processed-gene-0.58&CDS=1-1545
OG0000214	YBR216C, YGL060W	augustus_masked-NODE_5_length_535006_cov_46.4439_ID_3900-processed-gene-4.92-mRNA-1_1&gene=augustus_masked-NODE_5_length_535006_cov_46.4439_ID_3900-processed-gene-4.92&CDS=1-2028
OG0000215	YBR238C, YGL107C	genemark-NODE_3_length_696070_cov_41.4075_ID_3205-processed-gene-0.112-mRNA-1_1&gene=genemark-NODE_3_length_696070_cov_41.4075_ID_3205-processed-gene-0.112&CDS=1-2109
OG0000216	YBR242W, YGL101W	snap_masked-NODE_8_length_467519_cov_45.6115_ID_5299-processed-gene-1.114-mRNA-1_1&gene=snap_masked-NODE_8_length_467519_cov_45.6115_ID_5299-processed-gene-1.114&CDS=1-651
OG0000217	YBR273C, YJL048C	augustus_masked-NODE_25_length_116117_cov_42.0179_ID_5263-processed-gene-0.60-mRNA-1_1&gene=augustus_masked-NODE_25_length_116117_cov_42.0179_ID_5263-processed-gene-0.60&CDS=1-1110
OG0000218	YBR294W, YLR092W	snap_masked-NODE_13_length_368441_cov_46.401_ID_4565-processed-gene-1.8-mRNA-1_1&gene=snap_masked-NODE_13_length_368441_cov_46.401_ID_4565-processed-gene-1.8&CDS=1-2406
OG0000219	YCL035C, YDR513W	snap_masked-NODE_5_length_535006_cov_46.4439_ID_3900-processed-gene-3.74-mRNA-1_1&gene=snap_masked-NODE_5_length_535006_cov_46.4439_ID_3900-processed-gene-3.74&CDS=1-372
OG0000220	YCL040W, YDR516C	augustus_masked-NODE_9_length_463673_cov_43.3768_ID_4133-processed-gene-3.97-mRNA-1_1&gene=augustus_masked-NODE_9_length_463673_cov_43.3768_ID_4133-processed-gene-3.97&CDS=1-1458
OG0000221	YCL048W, YDR522C	genemark-NODE_13_length_368441_cov_46.401_ID_4565-processed-gene-0.85-mRNA-1_1&gene=genemark-NODE_13_length_368441_cov_46.401_ID_4565-processed-gene-0.85&CDS=1-899
OG0000222	YCL050C, YDR530C	augustus_masked-NODE_5_length_535006_cov_46.4439_ID_3900-processed-gene-4.148-mRNA-1_1&gene=augustus_masked-NODE_5_length_535006_cov_46.4439_ID_3900-processed-gene-4.148&CDS=1-945
OG0000223	YCL068C, YCR038C	snap_masked-NODE_1_length_1005075_cov_44.4753_ID_3314-processed-gene-6.7-mRNA-1_1&gene=snap_masked-NODE_1_length_1005075_cov_44.4753_ID_3314-processed-gene-6.7&CDS=1-4566
OG0000224	YCR005C, YNR001C	maker-NODE_5_length_535006_cov_46.4439_ID_3900-augustus-gene-3.0-mRNA-1_1&gene=maker-NODE_5_length_535006_cov_46.4439_ID_3900-augustus-gene-3.0&CDS=1-5967
OG0000225	YCR023C	maker-NODE_12_length_437675_cov_47.0709_ID_5986-augustus-gene-1.104-mRNA-1_1&gene=maker-NODE_12_length_437675_cov_47.0709_ID_5986-augustus-gene-1.104&CDS=1-3348, snap_masked-NODE_7_length_480310_cov_44.8896_ID_3472-processed-gene-3.159-mRNA-1_1&gene=snap_masked-NODE_7_length_480310_cov_44.8896_ID_3472-processed-gene-3.159&CDS=1-1455
OG0000226	YCR026C, YEL016C	augustus_masked-NODE_6_length_512164_cov_45.7198_ID_4775-processed-gene-4.97-mRNA-1_1&gene=augustus_masked-NODE_6_length_512164_cov_45.7198_ID_4775-processed-gene-4.97&CDS=1-2184
OG0000227	YCR031C, YJL191W	snap_masked-NODE_22_length_183416_cov_90.9836_ID_8445-processed-gene-0.192-mRNA-1_1&gene=snap_masked-NODE_22_length_183416_cov_90.9836_ID_8445-processed-gene-0.192&CDS=1-396
OG0000228	YCR067C, YNR026C	snap_masked-NODE_12_length_437675_cov_47.0709_ID_5986-processed-gene-2.0-mRNA-1_1&gene=snap_masked-NODE_12_length_437675_cov_47.0709_ID_5986-processed-gene-2.0&CDS=1-3003
OG0000229	YCR073C, YNR031C	genemark-NODE_4_length_548371_cov_43.2516_ID_3109-processed-gene-0.93-mRNA-1_1&gene=genemark-NODE_4_length_548371_cov_43.2516_ID_3109-processed-gene-0.93&CDS=1-4188
OG0000230	YCR105W, YMR318C	snap_masked-NODE_10_length_456859_cov_49.344_ID_5607-processed-gene-3.62-mRNA-1_1&gene=snap_masked-NODE_10_length_456859_cov_49.344_ID_5607-processed-gene-3.62&CDS=1-1104
OG0000231	YDL020C	augustus_masked-NODE_4_length_548371_cov_43.2516_ID_3109-processed-gene-4.151-mRNA-1_1&gene=augustus_masked-NODE_4_length_548371_cov_43.2516_ID_3109-processed-gene-4.151&CDS=1-1194, maker-NODE_8_length_467519_cov_45.6115_ID_5299-augustus-gene-3.93-mRNA-1_1&gene=maker-NODE_8_length_467519_cov_45.6115_ID_5299-augustus-gene-3.93&CDS=1-3222
OG0000232	YDL022W	snap_masked-NODE_33_length_22334_cov_37.3335_ID_5844-processed-gene-0.30-mRNA-1_1&gene=snap_masked-NODE_33_length_22334_cov_37.3335_ID_5844-processed-gene-0.30&CDS=1-1128, snap_masked-NODE_9_length_463673_cov_43.3768_ID_4133-processed-gene-2.92-mRNA-1_1&gene=snap_masked-NODE_9_length_463673_cov_43.3768_ID_4133-processed-gene-2.92&CDS=1-1098
OG0000233	YDL042C, YOL068C	augustus_masked-NODE_4_length_548371_cov_43.2516_ID_3109-processed-gene-2.99-mRNA-1_1&gene=augustus_masked-NODE_4_length_548371_cov_43.2516_ID_3109-processed-gene-2.99&CDS=1-1563
OG0000234	YDL048C, YLR375W	snap_masked-NODE_2_length_744676_cov_45.4856_ID_3712-processed-gene-4.35-mRNA-1_1&gene=snap_masked-NODE_2_length_744676_cov_45.4856_ID_3712-processed-gene-4.35&CDS=1-855
OG0000235	YDL049C, YJL174W	snap_masked-NODE_3_length_696070_cov_41.4075_ID_3205-processed-gene-3.163-mRNA-1_1&gene=snap_masked-NODE_3_length_696070_cov_41.4075_ID_3205-processed-gene-3.163&CDS=1-795
OG0000236	YDL075W, YLR406C	snap_masked-NODE_21_length_203277_cov_48.2929_ID_3858-processed-gene-0.133-mRNA-1_1&gene=snap_masked-NODE_21_length_203277_cov_48.2929_ID_3858-processed-gene-0.133&CDS=1-339
OG0000237	YDL082W, YMR142C	snap_masked-NODE_19_length_233523_cov_44.9681_ID_4879-processed-gene-1.182-mRNA-1_1&gene=snap_masked-NODE_19_length_233523_cov_44.9681_ID_4879-processed-gene-1.182&CDS=1-597
OG0000238	YDL083C, YMR143W	snap_masked-NODE_19_length_233523_cov_44.9681_ID_4879-processed-gene-1.211-mRNA-1_1&gene=snap_masked-NODE_19_length_233523_cov_44.9681_ID_4879-processed-gene-1.211&CDS=1-426
OG0000239	YDL088C, YMR153W	snap_masked-NODE_22_length_183416_cov_90.9836_ID_8445-processed-gene-0.259-mRNA-1_1&gene=snap_masked-NODE_22_length_183416_cov_90.9836_ID_8445-processed-gene-0.259&CDS=1-1128
OG0000240	YDL095W	snap_masked-NODE_9_length_463673_cov_43.3768_ID_4133-processed-gene-2.95-mRNA-1_1&gene=snap_masked-NODE_9_length_463673_cov_43.3768_ID_4133-processed-gene-2.95&CDS=1-2247, snap_masked-NODE_9_length_463673_cov_43.3768_ID_4133-processed-gene-3.28-mRNA-1_1&gene=snap_masked-NODE_9_length_463673_cov_43.3768_ID_4133-processed-gene-3.28&CDS=1-2439
OG0000241	YDL105W	augustus_masked-NODE_98_length_449_cov_0.924084_ID_6703-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_98_length_449_cov_0.924084_ID_6703-processed-gene-0.1&CDS=1-378, snap_masked-NODE_10_length_456859_cov_49.344_ID_5607-processed-gene-0.9-mRNA-1_1&gene=snap_masked-NODE_10_length_456859_cov_49.344_ID_5607-processed-gene-0.9&CDS=1-990
OG0000242	YDL127W, YDL179W	augustus_masked-NODE_14_length_348416_cov_44.5817_ID_5116-processed-gene-2.135-mRNA-1_1&gene=augustus_masked-NODE_14_length_348416_cov_44.5817_ID_5116-processed-gene-2.135&CDS=1-864
OG0000243	YDL131W	augustus_masked-NODE_4_length_548371_cov_43.2516_ID_3109-processed-gene-4.162-mRNA-1_1&gene=augustus_masked-NODE_4_length_548371_cov_43.2516_ID_3109-processed-gene-4.162&CDS=1-1713, snap_masked-NODE_24_length_151756_cov_42.0566_ID_4017-processed-gene-0.141-mRNA-1_1&gene=snap_masked-NODE_24_length_151756_cov_42.0566_ID_4017-processed-gene-0.141&CDS=1-1224
OG0000244	YDL134C, YDL188C	maker-NODE_1_length_1005075_cov_44.4753_ID_3314-augustus-gene-7.4-mRNA-1_1&gene=maker-NODE_1_length_1005075_cov_44.4753_ID_3314-augustus-gene-7.4&CDS=1-2160
OG0000245	YDL136W, YDL191W	augustus_masked-NODE_8_length_467519_cov_45.6115_ID_5299-processed-gene-3.128-mRNA-1_1&gene=augustus_masked-NODE_8_length_467519_cov_45.6115_ID_5299-processed-gene-3.128&CDS=1-360
OG0000246	YDL137W, YDL192W	snap_masked-NODE_8_length_467519_cov_45.6115_ID_5299-processed-gene-3.211-mRNA-1_1&gene=snap_masked-NODE_8_length_467519_cov_45.6115_ID_5299-processed-gene-3.211&CDS=1-543
OG0000247	YDL161W, YLR206W	augustus_masked-NODE_4_length_548371_cov_43.2516_ID_3109-processed-gene-4.171-mRNA-1_1&gene=augustus_masked-NODE_4_length_548371_cov_43.2516_ID_3109-processed-gene-4.171&CDS=1-1473
OG0000248	YDL170W	snap_masked-NODE_3_length_696070_cov_41.4075_ID_3205-processed-gene-5.142-mRNA-1_1&gene=snap_masked-NODE_3_length_696070_cov_41.4075_ID_3205-processed-gene-5.142&CDS=1-2226, snap_masked-NODE_7_length_480310_cov_44.8896_ID_3472-processed-gene-1.72-mRNA-1_1&gene=snap_masked-NODE_7_length_480310_cov_44.8896_ID_3472-processed-gene-1.72&CDS=1-1704
OG0000249	YDL174C	snap_masked-NODE_3_length_696070_cov_41.4075_ID_3205-processed-gene-2.106-mRNA-1_1&gene=snap_masked-NODE_3_length_696070_cov_41.4075_ID_3205-processed-gene-2.106&CDS=1-1506, snap_masked-NODE_8_length_467519_cov_45.6115_ID_5299-processed-gene-3.258-mRNA-1_1&gene=snap_masked-NODE_8_length_467519_cov_45.6115_ID_5299-processed-gene-3.258&CDS=1-1710
OG0000250	YDL206W	augustus_masked-NODE_20_length_207076_cov_46.0262_ID_5043-processed-gene-1.156-mRNA-1_1&gene=augustus_masked-NODE_20_length_207076_cov_46.0262_ID_5043-processed-gene-1.156&CDS=1-1254, snap_masked-NODE_11_length_451756_cov_44.098_ID_3270-processed-gene-3.176-mRNA-1_1&gene=snap_masked-NODE_11_length_451756_cov_44.098_ID_3270-processed-gene-3.176&CDS=1-1836
OG0000251	YDL222C, YNL194C	augustus_masked-NODE_20_length_207076_cov_46.0262_ID_5043-processed-gene-1.124-mRNA-1_1&gene=augustus_masked-NODE_20_length_207076_cov_46.0262_ID_5043-processed-gene-1.124&CDS=1-732
OG0000252	YDL224C, YNL197C	snap_masked-NODE_20_length_207076_cov_46.0262_ID_5043-processed-gene-1.13-mRNA-1_1&gene=snap_masked-NODE_20_length_207076_cov_46.0262_ID_5043-processed-gene-1.13&CDS=1-1773
OG0000253	YDL236W	maker-NODE_2_length_744676_cov_45.4856_ID_3712-snap-gene-1.47-mRNA-1_1&gene=maker-NODE_2_length_744676_cov_45.4856_ID_3712-snap-gene-1.47&CDS=1-1299, snap_masked-NODE_10_length_456859_cov_49.344_ID_5607-processed-gene-0.6-mRNA-1_1&gene=snap_masked-NODE_10_length_456859_cov_49.344_ID_5607-processed-gene-0.6&CDS=1-912
OG0000254	YDL246C, YJR159W	snap_masked-NODE_17_length_248381_cov_48.134_ID_3588-processed-gene-0.60-mRNA-1_1&gene=snap_masked-NODE_17_length_248381_cov_48.134_ID_3588-processed-gene-0.60&CDS=1-1074
OG0000255	YDR066C, YER139C	snap_masked-NODE_1_length_1005075_cov_44.4753_ID_3314-processed-gene-3.36-mRNA-1_1&gene=snap_masked-NODE_1_length_1005075_cov_44.4753_ID_3314-processed-gene-3.36&CDS=1-780
OG0000256	YDR069C, YER144C	maker-NODE_11_length_451756_cov_44.098_ID_3270-augustus-gene-1.157-mRNA-1_1&gene=maker-NODE_11_length_451756_cov_44.098_ID_3270-augustus-gene-1.157&CDS=1-2085
OG0000257	YDR098C, YER174C	snap_masked-NODE_13_length_368441_cov_46.401_ID_4565-processed-gene-0.15-mRNA-1_1&gene=snap_masked-NODE_13_length_368441_cov_46.401_ID_4565-processed-gene-0.15&CDS=1-717
OG0000258	YDR099W, YER177W	snap_masked-NODE_14_length_348416_cov_44.5817_ID_5116-processed-gene-1.59-mRNA-1_1&gene=snap_masked-NODE_14_length_348416_cov_44.5817_ID_5116-processed-gene-1.59&CDS=1-786
OG0000259	YDR107C, YLR083C	maker-NODE_13_length_368441_cov_46.401_ID_4565-augustus-gene-1.158-mRNA-1_1&gene=maker-NODE_13_length_368441_cov_46.401_ID_4565-augustus-gene-1.158&CDS=1-3249
OG0000260	YDR122W, YLR096W	genemark-NODE_2_length_744676_cov_45.4856_ID_3712-processed-gene-6.161-mRNA-1_1&gene=genemark-NODE_2_length_744676_cov_45.4856_ID_3712-processed-gene-6.161&CDS=1-3642
OG0000261	YDR132C, YLR108C	snap_masked-NODE_13_length_368441_cov_46.401_ID_4565-processed-gene-1.13-mRNA-1_1&gene=snap_masked-NODE_13_length_368441_cov_46.401_ID_4565-processed-gene-1.13&CDS=1-1299
OG0000262	YDR146C, YLR131C	augustus_masked-NODE_15_length_257095_cov_44.3098_ID_3969-processed-gene-1.177-mRNA-1_1&gene=augustus_masked-NODE_15_length_257095_cov_44.3098_ID_3969-processed-gene-1.177&CDS=1-1710
OG0000263	YDR151C, YLR136C	snap_masked-NODE_18_length_241785_cov_49.2315_ID_5503-processed-gene-0.120-mRNA-1_1&gene=snap_masked-NODE_18_length_241785_cov_49.2315_ID_5503-processed-gene-0.120&CDS=1-633
OG0000264	YDR178W, YLR164W	snap_masked-NODE_8_length_467519_cov_45.6115_ID_5299-processed-gene-2.104-mRNA-1_1&gene=snap_masked-NODE_8_length_467519_cov_45.6115_ID_5299-processed-gene-2.104&CDS=1-477
OG0000265	YDR185C, YLR168C	augustus_masked-NODE_22_length_183416_cov_90.9836_ID_8445-processed-gene-0.158-mRNA-1_1&gene=augustus_masked-NODE_22_length_183416_cov_90.9836_ID_8445-processed-gene-0.158&CDS=1-1053
OG0000266	YDR200C, YLR238W	snap_masked-NODE_22_length_183416_cov_90.9836_ID_8445-processed-gene-0.237-mRNA-1_1&gene=snap_masked-NODE_22_length_183416_cov_90.9836_ID_8445-processed-gene-0.237&CDS=1-1713
OG0000267	YDR206W, YLR233C	genemark-NODE_14_length_348416_cov_44.5817_ID_5116-processed-gene-1.118-mRNA-1_1&gene=genemark-NODE_14_length_348416_cov_44.5817_ID_5116-processed-gene-1.118&CDS=1-3276
OG0000268	YDR213W, YLR228C	snap_masked-NODE_14_length_348416_cov_44.5817_ID_5116-processed-gene-2.20-mRNA-1_1&gene=snap_masked-NODE_14_length_348416_cov_44.5817_ID_5116-processed-gene-2.20&CDS=1-1803
OG0000269	YDR247W, YPL026C	snap_masked-NODE_23_length_183325_cov_47.6541_ID_4205-processed-gene-0.51-mRNA-1_1&gene=snap_masked-NODE_23_length_183325_cov_47.6541_ID_4205-processed-gene-0.51&CDS=1-1170
OG0000270	YDR251W, YPL032C	snap_masked-NODE_12_length_437675_cov_47.0709_ID_5986-processed-gene-3.193-mRNA-1_1&gene=snap_masked-NODE_12_length_437675_cov_47.0709_ID_5986-processed-gene-3.193&CDS=1-1746
OG0000271	YDR252W, YPL037C	snap_masked-NODE_12_length_437675_cov_47.0709_ID_5986-processed-gene-3.170-mRNA-1_1&gene=snap_masked-NODE_12_length_437675_cov_47.0709_ID_5986-processed-gene-3.170&CDS=1-462
OG0000272	YDR253C, YPL038W	snap_masked-NODE_33_length_22334_cov_37.3335_ID_5844-processed-gene-0.29-mRNA-1_1&gene=snap_masked-NODE_33_length_22334_cov_37.3335_ID_5844-processed-gene-0.29&CDS=1-729
OG0000273	YDR263C, YOR033C	snap_masked-NODE_13_length_368441_cov_46.401_ID_4565-processed-gene-0.23-mRNA-1_1&gene=snap_masked-NODE_13_length_368441_cov_46.401_ID_4565-processed-gene-0.23&CDS=1-1830
OG0000274	YDR264C, YOR034C	augustus_masked-NODE_13_length_368441_cov_46.401_ID_4565-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-NODE_13_length_368441_cov_46.401_ID_4565-processed-gene-0.46&CDS=1-5037
OG0000275	YDR272W, YOR040W	snap_masked-NODE_1_length_1005075_cov_44.4753_ID_3314-processed-gene-4.47-mRNA-1_1&gene=snap_masked-NODE_1_length_1005075_cov_44.4753_ID_3314-processed-gene-4.47&CDS=1-744
OG0000276	YDR277C, YOR047C	snap_masked-NODE_23_length_183325_cov_47.6541_ID_4205-processed-gene-0.28-mRNA-1_1&gene=snap_masked-NODE_23_length_183325_cov_47.6541_ID_4205-processed-gene-0.28&CDS=1-987
OG0000277	YDR300C, YHR033W	snap_masked-NODE_17_length_248381_cov_48.134_ID_3588-processed-gene-0.65-mRNA-1_1&gene=snap_masked-NODE_17_length_248381_cov_48.134_ID_3588-processed-gene-0.65&CDS=1-1275
OG0000278	YDR312W, YHR066W	snap_masked-NODE_9_length_463673_cov_43.3768_ID_4133-processed-gene-2.93-mRNA-1_1&gene=snap_masked-NODE_9_length_463673_cov_43.3768_ID_4133-processed-gene-2.93&CDS=1-1221
OG0000279	YDR351W, YHR103W	snap_masked-NODE_9_length_463673_cov_43.3768_ID_4133-processed-gene-1.32-mRNA-1_1&gene=snap_masked-NODE_9_length_463673_cov_43.3768_ID_4133-processed-gene-1.32&CDS=1-2265
OG0000280	YDR379W, YOR127W	augustus_masked-NODE_2_length_744676_cov_45.4856_ID_3712-processed-gene-6.84-mRNA-1_1&gene=augustus_masked-NODE_2_length_744676_cov_45.4856_ID_3712-processed-gene-6.84&CDS=1-3312
OG0000281	YDR389W, YOR134W	snap_masked-NODE_14_length_348416_cov_44.5817_ID_5116-processed-gene-1.72-mRNA-1_1&gene=snap_masked-NODE_14_length_348416_cov_44.5817_ID_5116-processed-gene-1.72&CDS=1-1956
OG0000282	YDR409W, YOR156C	augustus_masked-NODE_32_length_30157_cov_50.0833_ID_5701-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-NODE_32_length_30157_cov_50.0833_ID_5701-processed-gene-0.30&CDS=1-1569
OG0000283	YDR418W, YEL054C	snap_masked-NODE_1_length_1005075_cov_44.4753_ID_3314-processed-gene-8.15-mRNA-1_1&gene=snap_masked-NODE_1_length_1005075_cov_44.4753_ID_3314-processed-gene-8.15&CDS=1-495
OG0000284	YDR447C, YML024W	augustus_masked-NODE_14_length_348416_cov_44.5817_ID_5116-processed-gene-2.102-mRNA-1_1&gene=augustus_masked-NODE_14_length_348416_cov_44.5817_ID_5116-processed-gene-2.102&CDS=1-411
OG0000285	YDR451C, YML027W	augustus_masked-NODE_6_length_512164_cov_45.7198_ID_4775-processed-gene-3.17-mRNA-1_1&gene=augustus_masked-NODE_6_length_512164_cov_45.7198_ID_4775-processed-gene-3.17&CDS=1-1167
OG0000286	YDR453C, YML028W	snap_masked-NODE_15_length_257095_cov_44.3098_ID_3969-processed-gene-1.213-mRNA-1_1&gene=snap_masked-NODE_15_length_257095_cov_44.3098_ID_3969-processed-gene-1.213&CDS=1-588
OG0000287	YDR458C, YML034W	maker-NODE_13_length_368441_cov_46.401_ID_4565-augustus-gene-2.146-mRNA-1_1&gene=maker-NODE_13_length_368441_cov_46.401_ID_4565-augustus-gene-2.146&CDS=1-2565
OG0000288	YDR492W, YOL002C	genemark-NODE_8_length_467519_cov_45.6115_ID_5299-processed-gene-0.21-mRNA-1_1&gene=genemark-NODE_8_length_467519_cov_45.6115_ID_5299-processed-gene-0.21&CDS=1-3126
OG0000289	YDR497C, YOL103W	maker-NODE_3_length_696070_cov_41.4075_ID_3205-snap-gene-3.59-mRNA-1_1&gene=maker-NODE_3_length_696070_cov_41.4075_ID_3205-snap-gene-3.59&CDS=1-2826
OG0000290	YDR500C, YLR185W	snap_masked-NODE_5_length_535006_cov_46.4439_ID_3900-processed-gene-1.31-mRNA-1_1&gene=snap_masked-NODE_5_length_535006_cov_46.4439_ID_3900-processed-gene-1.31&CDS=1-264
OG0000291	YDR502C, YLR180W	snap_masked-NODE_5_length_535006_cov_46.4439_ID_3900-processed-gene-1.26-mRNA-1_1&gene=snap_masked-NODE_5_length_535006_cov_46.4439_ID_3900-processed-gene-1.26&CDS=1-1146
OG0000292	YDR505C, YLR177W	snap_masked-NODE_5_length_535006_cov_46.4439_ID_3900-processed-gene-1.12-mRNA-1_1&gene=snap_masked-NODE_5_length_535006_cov_46.4439_ID_3900-processed-gene-1.12&CDS=1-1923
OG0000293	YEL006W, YIL006W	snap_masked-NODE_6_length_512164_cov_45.7198_ID_4775-processed-gene-0.39-mRNA-1_1&gene=snap_masked-NODE_6_length_512164_cov_45.7198_ID_4775-processed-gene-0.39&CDS=1-1089
OG0000294	YEL034W, YJR047C	genemark-NODE_12_length_437675_cov_47.0709_ID_5986-processed-gene-1.29-mRNA-1_1&gene=genemark-NODE_12_length_437675_cov_47.0709_ID_5986-processed-gene-1.29&CDS=1-522
OG0000295	YEL039C, YJR048W	augustus_masked-NODE_21_length_203277_cov_48.2929_ID_3858-processed-gene-1.130-mRNA-1_1&gene=augustus_masked-NODE_21_length_203277_cov_48.2929_ID_3858-processed-gene-1.130&CDS=1-1830
OG0000296	YEL041W, YJR049C	snap_masked-NODE_5_length_535006_cov_46.4439_ID_3900-processed-gene-4.166-mRNA-1_1&gene=snap_masked-NODE_5_length_535006_cov_46.4439_ID_3900-processed-gene-4.166&CDS=1-1467
OG0000297	YEL046C	snap_masked-NODE_10_length_456859_cov_49.344_ID_5607-processed-gene-0.40-mRNA-1_1&gene=snap_masked-NODE_10_length_456859_cov_49.344_ID_5607-processed-gene-0.40&CDS=1-1119, snap_masked-NODE_8_length_467519_cov_45.6115_ID_5299-processed-gene-3.252-mRNA-1_1&gene=snap_masked-NODE_8_length_467519_cov_45.6115_ID_5299-processed-gene-3.252&CDS=1-1143
OG0000298	YEL047C, YJR051W	augustus_masked-NODE_11_length_451756_cov_44.098_ID_3270-processed-gene-3.119-mRNA-1_1&gene=augustus_masked-NODE_11_length_451756_cov_44.098_ID_3270-processed-gene-3.119&CDS=1-1923
OG0000299	YEL060C	snap_masked-NODE_2_length_744676_cov_45.4856_ID_3712-processed-gene-1.90-mRNA-1_1&gene=snap_masked-NODE_2_length_744676_cov_45.4856_ID_3712-processed-gene-1.90&CDS=1-1401, snap_masked-NODE_5_length_535006_cov_46.4439_ID_3900-processed-gene-4.185-mRNA-1_1&gene=snap_masked-NODE_5_length_535006_cov_46.4439_ID_3900-processed-gene-4.185&CDS=1-1710
OG0000300	YEL061C	snap_masked-NODE_2_length_744676_cov_45.4856_ID_3712-processed-gene-1.102-mRNA-1_1&gene=snap_masked-NODE_2_length_744676_cov_45.4856_ID_3712-processed-gene-1.102&CDS=1-2484, snap_masked-NODE_3_length_696070_cov_41.4075_ID_3205-processed-gene-5.209-mRNA-1_1&gene=snap_masked-NODE_3_length_696070_cov_41.4075_ID_3205-processed-gene-5.209&CDS=1-1797
OG0000301	YEL066W, YPR193C	snap_masked-NODE_7_length_480310_cov_44.8896_ID_3472-processed-gene-1.70-mRNA-1_1&gene=snap_masked-NODE_7_length_480310_cov_44.8896_ID_3472-processed-gene-1.70&CDS=1-453
OG0000302	YER031C, YGL210W	snap_masked-NODE_7_length_480310_cov_44.8896_ID_3472-processed-gene-3.186-mRNA-1_1&gene=snap_masked-NODE_7_length_480310_cov_44.8896_ID_3472-processed-gene-3.186&CDS=1-654
OG0000303	YER037W, YGL224C	maker-NODE_27_length_97553_cov_53.5465_ID_5175-augustus-gene-0.4-mRNA-1_1&gene=maker-NODE_27_length_97553_cov_53.5465_ID_5175-augustus-gene-0.4&CDS=1-2868
OG0000304	YER047C, YPL074W	snap_masked-NODE_16_length_253190_cov_44.7928_ID_5425-processed-gene-1.100-mRNA-1_1&gene=snap_masked-NODE_16_length_253190_cov_44.7928_ID_5425-processed-gene-1.100&CDS=1-2610
OG0000305	YER056C-A, YIL052C	snap_masked-NODE_11_length_451756_cov_44.098_ID_3270-processed-gene-2.14-mRNA-1_1&gene=snap_masked-NODE_11_length_451756_cov_44.098_ID_3270-processed-gene-2.14&CDS=1-372
OG0000306	YER057C, YIL051C	genemark-NODE_1_length_1005075_cov_44.4753_ID_3314-processed-gene-8.51-mRNA-1_1&gene=genemark-NODE_1_length_1005075_cov_44.4753_ID_3314-processed-gene-8.51&CDS=1-717
OG0000307	YER059W, YIL050W	snap_masked-NODE_1_length_1005075_cov_44.4753_ID_3314-processed-gene-8.25-mRNA-1_1&gene=snap_masked-NODE_1_length_1005075_cov_44.4753_ID_3314-processed-gene-8.25&CDS=1-1512
