	Saccharomyces_cerevisiae	yHMPu5000035279_Tortispora_starmeri
OG0000268	YDR263C, YOR033C	augustus_masked-NODE_8_length_337577_cov_19.7412_ID_10463-processed-gene-2.93-mRNA-1_1&gene=augustus_masked-NODE_8_length_337577_cov_19.7412_ID_10463-processed-gene-2.93&CDS=1-1722
OG0000269	YDR264C, YOR034C	augustus_masked-NODE_21_length_151641_cov_11.3966_ID_7104-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-NODE_21_length_151641_cov_11.3966_ID_7104-processed-gene-0.4&CDS=1-1941
OG0000270	YDR272W, YOR040W	augustus_masked-NODE_1_length_530835_cov_11.0226_ID_5813-processed-gene-4.4-mRNA-1_1&gene=augustus_masked-NODE_1_length_530835_cov_11.0226_ID_5813-processed-gene-4.4&CDS=1-825
OG0000271	YDR277C, YOR047C	augustus_masked-NODE_35_length_85831_cov_9.65443_ID_6066-processed-gene-0.74-mRNA-1_1&gene=augustus_masked-NODE_35_length_85831_cov_9.65443_ID_6066-processed-gene-0.74&CDS=1-1131
OG0000272	YDR284C	augustus_masked-NODE_20_length_156244_cov_13.4188_ID_5146-processed-gene-0.238-mRNA-1_1&gene=augustus_masked-NODE_20_length_156244_cov_13.4188_ID_5146-processed-gene-0.238&CDS=1-876, genemark-NODE_48_length_51838_cov_10.782_ID_7465-processed-gene-0.71-mRNA-1_1&gene=genemark-NODE_48_length_51838_cov_10.782_ID_7465-processed-gene-0.71&CDS=1-909
OG0000273	YDR300C, YHR033W	augustus_masked-NODE_4_length_423460_cov_10.8288_ID_4638-processed-gene-2.151-mRNA-1_1&gene=augustus_masked-NODE_4_length_423460_cov_10.8288_ID_4638-processed-gene-2.151&CDS=1-1290
OG0000274	YDR312W, YHR066W	genemark-NODE_23_length_147609_cov_11.2375_ID_8037-processed-gene-0.139-mRNA-1_1&gene=genemark-NODE_23_length_147609_cov_11.2375_ID_8037-processed-gene-0.139&CDS=1-1278
OG0000275	YDR326C, YHR080C	augustus_masked-NODE_15_length_254194_cov_22.2788_ID_8836-processed-gene-1.202-mRNA-1_1&gene=augustus_masked-NODE_15_length_254194_cov_22.2788_ID_8836-processed-gene-1.202&CDS=1-2121
OG0000276	YDR348C, YHR097C	augustus_masked-NODE_1_length_530835_cov_11.0226_ID_5813-processed-gene-1.146-mRNA-1_1&gene=augustus_masked-NODE_1_length_530835_cov_11.0226_ID_5813-processed-gene-1.146&CDS=1-1194
OG0000277	YDR358W, YHR108W	augustus_masked-NODE_2_length_467089_cov_10.6916_ID_10198-processed-gene-1.39-mRNA-1_1&gene=augustus_masked-NODE_2_length_467089_cov_10.6916_ID_10198-processed-gene-1.39&CDS=1-1785
OG0000278	YDR368W, YOR120W	augustus_masked-NODE_60_length_23931_cov_9.77031_ID_8369-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-NODE_60_length_23931_cov_9.77031_ID_8369-processed-gene-0.34&CDS=1-930
OG0000279	YDR409W, YOR156C	snap_masked-NODE_5_length_385981_cov_13.3379_ID_9389-processed-gene-2.75-mRNA-1_1&gene=snap_masked-NODE_5_length_385981_cov_13.3379_ID_9389-processed-gene-2.75&CDS=1-1389
OG0000280	YDR411C	augustus_masked-NODE_20_length_156244_cov_13.4188_ID_5146-processed-gene-0.203-mRNA-1_1&gene=augustus_masked-NODE_20_length_156244_cov_13.4188_ID_5146-processed-gene-0.203&CDS=1-681, augustus_masked-NODE_51_length_47217_cov_25.182_ID_9480-processed-gene-0.60-mRNA-1_1&gene=augustus_masked-NODE_51_length_47217_cov_25.182_ID_9480-processed-gene-0.60&CDS=1-759
OG0000281	YDR418W, YEL054C	augustus_masked-NODE_19_length_165505_cov_10.3433_ID_4723-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-NODE_19_length_165505_cov_10.3433_ID_4723-processed-gene-0.49&CDS=1-495
OG0000282	YDR420W, YGR014W	augustus_masked-NODE_7_length_343474_cov_9.93038_ID_8452-processed-gene-2.228-mRNA-1_1&gene=augustus_masked-NODE_7_length_343474_cov_9.93038_ID_8452-processed-gene-2.228&CDS=1-2145
OG0000283	YDR447C, YML024W	augustus_masked-NODE_12_length_274470_cov_11.5893_ID_6473-processed-gene-0.111-mRNA-1_1&gene=augustus_masked-NODE_12_length_274470_cov_11.5893_ID_6473-processed-gene-0.111&CDS=1-414
OG0000284	YDR450W, YML026C	augustus_masked-NODE_23_length_147609_cov_11.2375_ID_8037-processed-gene-0.231-mRNA-1_1&gene=augustus_masked-NODE_23_length_147609_cov_11.2375_ID_8037-processed-gene-0.231&CDS=1-462
OG0000285	YDR453C, YML028W	augustus_masked-NODE_14_length_268810_cov_12.6902_ID_16700-processed-gene-1.8-mRNA-1_1&gene=augustus_masked-NODE_14_length_268810_cov_12.6902_ID_16700-processed-gene-1.8&CDS=1-588
OG0000286	YDR458C, YML034W	maker-NODE_9_length_301725_cov_11.1523_ID_9771-augustus-gene-0.2-mRNA-1_1&gene=maker-NODE_9_length_301725_cov_11.1523_ID_9771-augustus-gene-0.2&CDS=1-2118
OG0000287	YDR497C, YOL103W	augustus_masked-NODE_62_length_20896_cov_10.2665_ID_21079-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-NODE_62_length_20896_cov_10.2665_ID_21079-processed-gene-0.20&CDS=1-2307
OG0000288	YDR500C, YLR185W	augustus_masked-NODE_2_length_467089_cov_10.6916_ID_10198-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-NODE_2_length_467089_cov_10.6916_ID_10198-processed-gene-0.16&CDS=1-264
OG0000289	YDR501W, YLR183C	augustus_masked-NODE_2_length_467089_cov_10.6916_ID_10198-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-NODE_2_length_467089_cov_10.6916_ID_10198-processed-gene-0.34&CDS=1-1458
OG0000290	YDR505C, YLR177W	augustus_masked-NODE_11_length_292204_cov_10.5323_ID_7970-processed-gene-1.17-mRNA-1_1&gene=augustus_masked-NODE_11_length_292204_cov_10.5323_ID_7970-processed-gene-1.17&CDS=1-1677
OG0000291	YEL007W	augustus_masked-NODE_5_length_385981_cov_13.3379_ID_9389-processed-gene-2.175-mRNA-1_1&gene=augustus_masked-NODE_5_length_385981_cov_13.3379_ID_9389-processed-gene-2.175&CDS=1-1374, genemark-NODE_15_length_254194_cov_22.2788_ID_8836-processed-gene-0.109-mRNA-1_1&gene=genemark-NODE_15_length_254194_cov_22.2788_ID_8836-processed-gene-0.109&CDS=1-1215
OG0000292	YEL019C	augustus_masked-NODE_1_length_530835_cov_11.0226_ID_5813-processed-gene-2.13-mRNA-1_1&gene=augustus_masked-NODE_1_length_530835_cov_11.0226_ID_5813-processed-gene-2.13&CDS=1-804, augustus_masked-NODE_21_length_151641_cov_11.3966_ID_7104-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-NODE_21_length_151641_cov_11.3966_ID_7104-processed-gene-0.25&CDS=1-711
OG0000293	YEL022W, YJR031C	snap_masked-NODE_3_length_450795_cov_10.6456_ID_8383-processed-gene-2.2-mRNA-1_1&gene=snap_masked-NODE_3_length_450795_cov_10.6456_ID_8383-processed-gene-2.2&CDS=1-4605
OG0000294	YEL041W, YJR049C	augustus_masked-NODE_1_length_530835_cov_11.0226_ID_5813-processed-gene-4.5-mRNA-1_1&gene=augustus_masked-NODE_1_length_530835_cov_11.0226_ID_5813-processed-gene-4.5&CDS=1-1272
OG0000295	YEL047C, YJR051W	augustus_masked-NODE_5_length_385981_cov_13.3379_ID_9389-processed-gene-2.183-mRNA-1_1&gene=augustus_masked-NODE_5_length_385981_cov_13.3379_ID_9389-processed-gene-2.183&CDS=1-1890
OG0000296	YER019C-A, YER087C-B	maker-NODE_5_length_385981_cov_13.3379_ID_9389-snap-gene-1.178-mRNA-1_1&gene=maker-NODE_5_length_385981_cov_13.3379_ID_9389-snap-gene-1.178&CDS=1-261
OG0000297	YER020W	augustus_masked-NODE_24_length_130058_cov_10.5455_ID_5052-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-NODE_24_length_130058_cov_10.5455_ID_5052-processed-gene-0.34&CDS=1-1107, genemark-NODE_1_length_530835_cov_11.0226_ID_5813-processed-gene-0.62-mRNA-1_1&gene=genemark-NODE_1_length_530835_cov_11.0226_ID_5813-processed-gene-0.62&CDS=1-1056
OG0000298	YER027C, YGL208W	augustus_masked-NODE_51_length_47217_cov_25.182_ID_9480-processed-gene-0.70-mRNA-1_1&gene=augustus_masked-NODE_51_length_47217_cov_25.182_ID_9480-processed-gene-0.70&CDS=1-1266
OG0000299	YER031C, YGL210W	maker-NODE_26_length_119625_cov_21.6396_ID_8164-augustus-gene-0.114-mRNA-1_1&gene=maker-NODE_26_length_119625_cov_21.6396_ID_8164-augustus-gene-0.114&CDS=1-633
OG0000300	YER042W	augustus_masked-NODE_12_length_274470_cov_11.5893_ID_6473-processed-gene-1.186-mRNA-1_1&gene=augustus_masked-NODE_12_length_274470_cov_11.5893_ID_6473-processed-gene-1.186&CDS=1-534, augustus_masked-NODE_30_length_101976_cov_20.5881_ID_8284-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-NODE_30_length_101976_cov_20.5881_ID_8284-processed-gene-0.30&CDS=1-573
OG0000301	YER045C, YIL036W	snap_masked-NODE_22_length_149070_cov_11.0274_ID_7759-processed-gene-0.62-mRNA-1_1&gene=snap_masked-NODE_22_length_149070_cov_11.0274_ID_7759-processed-gene-0.62&CDS=1-1290
OG0000302	YER054C, YIL045W	snap_masked-NODE_17_length_210941_cov_10.8118_ID_5448-processed-gene-0.30-mRNA-1_1&gene=snap_masked-NODE_17_length_210941_cov_10.8118_ID_5448-processed-gene-0.30&CDS=1-2640
OG0000303	YER056C-A, YIL052C	augustus_masked-NODE_7_length_343474_cov_9.93038_ID_8452-processed-gene-0.66-mRNA-1_1&gene=augustus_masked-NODE_7_length_343474_cov_9.93038_ID_8452-processed-gene-0.66&CDS=1-360
OG0000304	YER057C, YIL051C	augustus_masked-NODE_7_length_343474_cov_9.93038_ID_8452-processed-gene-0.65-mRNA-1_1&gene=augustus_masked-NODE_7_length_343474_cov_9.93038_ID_8452-processed-gene-0.65&CDS=1-372
OG0000305	YER064C, YIL056W	augustus_masked-NODE_45_length_56091_cov_10.3506_ID_7395-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-NODE_45_length_56091_cov_10.3506_ID_7395-processed-gene-0.34&CDS=1-2673
OG0000306	YER066W, YFL009W	augustus_masked-NODE_19_length_165505_cov_10.3433_ID_4723-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-NODE_19_length_165505_cov_10.3433_ID_4723-processed-gene-0.41&CDS=1-2106
OG0000307	YER074W, YIL069C	augustus_masked-NODE_10_length_297535_cov_17.7821_ID_8534-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-NODE_10_length_297535_cov_17.7821_ID_8534-processed-gene-0.16&CDS=1-1497
OG0000308	YER081W, YIL074C	augustus_masked-NODE_27_length_112744_cov_10.9011_ID_7258-processed-gene-0.69-mRNA-1_1&gene=augustus_masked-NODE_27_length_112744_cov_10.9011_ID_7258-processed-gene-0.69&CDS=1-1416
OG0000309	YER116C	augustus_masked-NODE_34_length_94713_cov_11.1369_ID_5741-processed-gene-0.50-mRNA-1_1&gene=augustus_masked-NODE_34_length_94713_cov_11.1369_ID_5741-processed-gene-0.50&CDS=1-1242, augustus_masked-NODE_3_length_450795_cov_10.6456_ID_8383-processed-gene-2.80-mRNA-1_1&gene=augustus_masked-NODE_3_length_450795_cov_10.6456_ID_8383-processed-gene-2.80&CDS=1-504
OG0000310	YER131W, YGL189C	augustus_masked-NODE_1_length_530835_cov_11.0226_ID_5813-processed-gene-3.123-mRNA-1_1&gene=augustus_masked-NODE_1_length_530835_cov_11.0226_ID_5813-processed-gene-3.123&CDS=1-360
OG0000311	YER146W, YJR022W	snap_masked-NODE_31_length_100489_cov_13.4032_ID_6409-processed-gene-0.70-mRNA-1_1&gene=snap_masked-NODE_31_length_100489_cov_13.4032_ID_6409-processed-gene-0.70&CDS=1-294
OG0000312	YER162C	augustus_masked-NODE_7_length_343474_cov_9.93038_ID_8452-processed-gene-1.22-mRNA-1_1&gene=augustus_masked-NODE_7_length_343474_cov_9.93038_ID_8452-processed-gene-1.22&CDS=1-2928, snap_masked-NODE_24_length_130058_cov_10.5455_ID_5052-processed-gene-0.118-mRNA-1_1&gene=snap_masked-NODE_24_length_130058_cov_10.5455_ID_5052-processed-gene-0.118&CDS=1-1875
OG0000313	YER177W	augustus_masked-NODE_30_length_101976_cov_20.5881_ID_8284-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-NODE_30_length_101976_cov_20.5881_ID_8284-processed-gene-0.39&CDS=1-771, augustus_masked-NODE_36_length_82216_cov_10.3236_ID_10502-processed-gene-0.75-mRNA-1_1&gene=augustus_masked-NODE_36_length_82216_cov_10.3236_ID_10502-processed-gene-0.75&CDS=1-807
OG0000314	YFL034C-A, YLR061W	augustus_masked-NODE_48_length_51838_cov_10.782_ID_7465-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-NODE_48_length_51838_cov_10.782_ID_7465-processed-gene-0.40&CDS=1-381
OG0000315	YFR031C-A, YIL018W	augustus_masked-NODE_6_length_356371_cov_17.7217_ID_8086-processed-gene-1.47-mRNA-1_1&gene=augustus_masked-NODE_6_length_356371_cov_17.7217_ID_8086-processed-gene-1.47&CDS=1-762
OG0000316	YFR053C, YGL253W	augustus_masked-NODE_18_length_174771_cov_20.4811_ID_5550-processed-gene-0.121-mRNA-1_1&gene=augustus_masked-NODE_18_length_174771_cov_20.4811_ID_5550-processed-gene-0.121&CDS=1-11493
OG0000317	YGL014W, YGL178W	augustus_masked-NODE_24_length_130058_cov_10.5455_ID_5052-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-NODE_24_length_130058_cov_10.5455_ID_5052-processed-gene-0.8&CDS=1-2643
OG0000318	YGL031C, YGR148C	augustus_masked-NODE_11_length_292204_cov_10.5323_ID_7970-processed-gene-1.58-mRNA-1_1&gene=augustus_masked-NODE_11_length_292204_cov_10.5323_ID_7970-processed-gene-1.58&CDS=1-456
OG0000319	YGL049C, YGR162W	augustus_masked-NODE_10_length_297535_cov_17.7821_ID_8534-processed-gene-1.70-mRNA-1_1&gene=augustus_masked-NODE_10_length_297535_cov_17.7821_ID_8534-processed-gene-1.70&CDS=1-3072
OG0000320	YGL076C, YPL198W	maker-NODE_10_length_297535_cov_17.7821_ID_8534-augustus-gene-1.202-mRNA-1_1&gene=maker-NODE_10_length_297535_cov_17.7821_ID_8534-augustus-gene-1.202&CDS=1-750
OG0000321	YGL080W	augustus_masked-NODE_16_length_219844_cov_10.6473_ID_4879-processed-gene-1.63-mRNA-1_1&gene=augustus_masked-NODE_16_length_219844_cov_10.6473_ID_4879-processed-gene-1.63&CDS=1-1770, genemark-NODE_12_length_274470_cov_11.5893_ID_6473-processed-gene-0.79-mRNA-1_1&gene=genemark-NODE_12_length_274470_cov_11.5893_ID_6473-processed-gene-0.79&CDS=1-1662
OG0000322	YGL082W, YPL191C	snap_masked-NODE_3_length_450795_cov_10.6456_ID_8383-processed-gene-1.153-mRNA-1_1&gene=snap_masked-NODE_3_length_450795_cov_10.6456_ID_8383-processed-gene-1.153&CDS=1-1029
OG0000323	YGL084C, YPL189W	augustus_masked-NODE_13_length_269795_cov_9.87415_ID_4553-processed-gene-1.62-mRNA-1_1&gene=augustus_masked-NODE_13_length_269795_cov_9.87415_ID_4553-processed-gene-1.62&CDS=1-1659
OG0000324	YGL096W, YPL177C	snap_masked-NODE_1_length_530835_cov_11.0226_ID_5813-processed-gene-4.210-mRNA-1_1&gene=snap_masked-NODE_1_length_530835_cov_11.0226_ID_5813-processed-gene-4.210&CDS=1-1008
OG0000325	YGL133W, YPL216W	genemark-NODE_21_length_151641_cov_11.3966_ID_7104-processed-gene-0.69-mRNA-1_1&gene=genemark-NODE_21_length_151641_cov_11.3966_ID_7104-processed-gene-0.69&CDS=1-3312
OG0000326	YGL135W, YPL220W	augustus_masked-NODE_31_length_100489_cov_13.4032_ID_6409-processed-gene-0.125-mRNA-1_1&gene=augustus_masked-NODE_31_length_100489_cov_13.4032_ID_6409-processed-gene-0.125&CDS=1-648
OG0000327	YGL147C, YNL067W	augustus_masked-NODE_36_length_82216_cov_10.3236_ID_10502-processed-gene-0.80-mRNA-1_1&gene=augustus_masked-NODE_36_length_82216_cov_10.3236_ID_10502-processed-gene-0.80&CDS=1-561
OG0000328	YGR004W, YLR324W	augustus_masked-NODE_35_length_85831_cov_9.65443_ID_6066-processed-gene-0.81-mRNA-1_1&gene=augustus_masked-NODE_35_length_85831_cov_9.65443_ID_6066-processed-gene-0.81&CDS=1-1635
OG0000329	YGR008C, YLR327C	augustus_masked-NODE_7_length_343474_cov_9.93038_ID_8452-processed-gene-1.16-mRNA-1_1&gene=augustus_masked-NODE_7_length_343474_cov_9.93038_ID_8452-processed-gene-1.16&CDS=1-258
OG0000330	YGR027C, YLR333C	augustus_masked-NODE_2_length_467089_cov_10.6916_ID_10198-processed-gene-3.145-mRNA-1_1&gene=augustus_masked-NODE_2_length_467089_cov_10.6916_ID_10198-processed-gene-3.145&CDS=1-327
OG0000331	YGR034W, YLR344W	augustus_masked-NODE_54_length_38395_cov_5.40587_ID_7683-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-NODE_54_length_38395_cov_5.40587_ID_7683-processed-gene-0.21&CDS=1-384
OG0000332	YGR038W, YLR350W	augustus_masked-NODE_18_length_174771_cov_20.4811_ID_5550-processed-gene-0.159-mRNA-1_1&gene=augustus_masked-NODE_18_length_174771_cov_20.4811_ID_5550-processed-gene-0.159&CDS=1-531
OG0000333	YGR080W	augustus_masked-NODE_176_length_434_cov_1.00264_ID_11303-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_176_length_434_cov_1.00264_ID_11303-processed-gene-0.0&CDS=1-204, genemark-NODE_4_length_423460_cov_10.8288_ID_4638-processed-gene-2.20-mRNA-1_1&gene=genemark-NODE_4_length_423460_cov_10.8288_ID_4638-processed-gene-2.20&CDS=1-951
OG0000334	YGR085C, YPR102C	augustus_masked-NODE_6_length_356371_cov_17.7217_ID_8086-processed-gene-1.32-mRNA-1_1&gene=augustus_masked-NODE_6_length_356371_cov_17.7217_ID_8086-processed-gene-1.32&CDS=1-525
OG0000335	YGR092W, YPR111W	augustus_masked-NODE_46_length_56016_cov_11.5161_ID_7719-processed-gene-0.91-mRNA-1_1&gene=augustus_masked-NODE_46_length_56016_cov_11.5161_ID_7719-processed-gene-0.91&CDS=1-1608
OG0000336	YGR118W, YPR132W	augustus_masked-NODE_35_length_85831_cov_9.65443_ID_6066-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-NODE_35_length_85831_cov_9.65443_ID_6066-processed-gene-0.56&CDS=1-435
OG0000337	YGR131W, YPR149W	genemark-NODE_2_length_467089_cov_10.6916_ID_10198-processed-gene-2.40-mRNA-1_1&gene=genemark-NODE_2_length_467089_cov_10.6916_ID_10198-processed-gene-2.40&CDS=1-378
OG0000338	YGR141W, YPR157W	augustus_masked-NODE_22_length_149070_cov_11.0274_ID_7759-processed-gene-0.207-mRNA-1_1&gene=augustus_masked-NODE_22_length_149070_cov_11.0274_ID_7759-processed-gene-0.207&CDS=1-2508
OG0000339	YGR143W, YPR159W	augustus_masked-NODE_1_length_530835_cov_11.0226_ID_5813-processed-gene-0.116-mRNA-1_1&gene=augustus_masked-NODE_1_length_530835_cov_11.0226_ID_5813-processed-gene-0.116&CDS=1-1935
OG0000340	YGR209C, YLR043C	augustus_masked-NODE_59_length_25806_cov_6.65163_ID_8331-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-NODE_59_length_25806_cov_6.65163_ID_8331-processed-gene-0.8&CDS=1-408
OG0000341	YGR214W, YLR048W	augustus_masked-NODE_5_length_385981_cov_13.3379_ID_9389-processed-gene-2.173-mRNA-1_1&gene=augustus_masked-NODE_5_length_385981_cov_13.3379_ID_9389-processed-gene-2.173&CDS=1-1155
OG0000342	YGR238C, YHR158C	augustus_masked-NODE_31_length_100489_cov_13.4032_ID_6409-processed-gene-0.123-mRNA-1_1&gene=augustus_masked-NODE_31_length_100489_cov_13.4032_ID_6409-processed-gene-0.123&CDS=1-3924
OG0000343	YGR241C, YHR161C	augustus_masked-NODE_13_length_269795_cov_9.87415_ID_4553-processed-gene-1.83-mRNA-1_1&gene=augustus_masked-NODE_13_length_269795_cov_9.87415_ID_4553-processed-gene-1.83&CDS=1-1731
OG0000344	YGR243W, YHR162W	augustus_masked-NODE_8_length_337577_cov_19.7412_ID_10463-processed-gene-2.163-mRNA-1_1&gene=augustus_masked-NODE_8_length_337577_cov_19.7412_ID_10463-processed-gene-2.163&CDS=1-417
OG0000345	YGR279C, YMR305C	augustus_masked-NODE_19_length_165505_cov_10.3433_ID_4723-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-NODE_19_length_165505_cov_10.3433_ID_4723-processed-gene-0.61&CDS=1-969
OG0000346	YHL001W, YKL006W	augustus_masked-NODE_46_length_56016_cov_11.5161_ID_7719-processed-gene-0.75-mRNA-1_1&gene=augustus_masked-NODE_46_length_56016_cov_11.5161_ID_7719-processed-gene-0.75&CDS=1-408
OG0000347	YHL003C, YKL008C	augustus_masked-NODE_36_length_82216_cov_10.3236_ID_10502-processed-gene-0.47-mRNA-1_1&gene=augustus_masked-NODE_36_length_82216_cov_10.3236_ID_10502-processed-gene-0.47&CDS=1-1179
OG0000348	YHL017W, YKL039W	augustus_masked-NODE_8_length_337577_cov_19.7412_ID_10463-processed-gene-1.129-mRNA-1_1&gene=augustus_masked-NODE_8_length_337577_cov_19.7412_ID_10463-processed-gene-1.129&CDS=1-1602
OG0000349	YHL021C	augustus_masked-NODE_13_length_269795_cov_9.87415_ID_4553-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-NODE_13_length_269795_cov_9.87415_ID_4553-processed-gene-0.11&CDS=1-1263, augustus_masked-NODE_9_length_301725_cov_11.1523_ID_9771-processed-gene-0.125-mRNA-1_1&gene=augustus_masked-NODE_9_length_301725_cov_11.1523_ID_9771-processed-gene-0.125&CDS=1-1179
OG0000350	YHL033C, YLL045C	augustus_masked-NODE_6_length_356371_cov_17.7217_ID_8086-processed-gene-1.48-mRNA-1_1&gene=augustus_masked-NODE_6_length_356371_cov_17.7217_ID_8086-processed-gene-1.48&CDS=1-783
OG0000351	YHR001W, YKR003W	snap_masked-NODE_5_length_385981_cov_13.3379_ID_9389-processed-gene-0.67-mRNA-1_1&gene=snap_masked-NODE_5_length_385981_cov_13.3379_ID_9389-processed-gene-0.67&CDS=1-1326
OG0000352	YHR032W	augustus_masked-NODE_12_length_274470_cov_11.5893_ID_6473-processed-gene-1.154-mRNA-1_1&gene=augustus_masked-NODE_12_length_274470_cov_11.5893_ID_6473-processed-gene-1.154&CDS=1-1683, augustus_masked-NODE_8_length_337577_cov_19.7412_ID_10463-processed-gene-2.124-mRNA-1_1&gene=augustus_masked-NODE_8_length_337577_cov_19.7412_ID_10463-processed-gene-2.124&CDS=1-1413
OG0000353	YHR115C, YNL116W	augustus_masked-NODE_2_length_467089_cov_10.6916_ID_10198-processed-gene-1.15-mRNA-1_1&gene=augustus_masked-NODE_2_length_467089_cov_10.6916_ID_10198-processed-gene-1.15&CDS=1-1155
OG0000354	YHR117W, YNL121C	genemark-NODE_3_length_450795_cov_10.6456_ID_8383-processed-gene-0.91-mRNA-1_1&gene=genemark-NODE_3_length_450795_cov_10.6456_ID_8383-processed-gene-0.91&CDS=1-1716
OG0000355	YHR131C, YNL144C	augustus_masked-NODE_54_length_38395_cov_5.40587_ID_7683-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-NODE_54_length_38395_cov_5.40587_ID_7683-processed-gene-0.22&CDS=1-1749
OG0000356	YHR132W-A, YNL157W	augustus_masked-NODE_11_length_292204_cov_10.5323_ID_7970-processed-gene-0.77-mRNA-1_1&gene=augustus_masked-NODE_11_length_292204_cov_10.5323_ID_7970-processed-gene-0.77&CDS=1-306
OG0000357	YHR133C, YNL156C	snap_masked-NODE_12_length_274470_cov_11.5893_ID_6473-processed-gene-0.54-mRNA-1_1&gene=snap_masked-NODE_12_length_274470_cov_11.5893_ID_6473-processed-gene-0.54&CDS=1-765
OG0000358	YHR141C, YNL162W	augustus_masked-NODE_1_length_530835_cov_11.0226_ID_5813-processed-gene-3.147-mRNA-1_1&gene=augustus_masked-NODE_1_length_530835_cov_11.0226_ID_5813-processed-gene-3.147&CDS=1-318
OG0000359	YHR146W, YNL173C	augustus_masked-NODE_62_length_20896_cov_10.2665_ID_21079-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-NODE_62_length_20896_cov_10.2665_ID_21079-processed-gene-0.22&CDS=1-1092
OG0000360	YHR155W, YNL257C	augustus_masked-NODE_3_length_450795_cov_10.6456_ID_8383-processed-gene-1.100-mRNA-1_1&gene=augustus_masked-NODE_3_length_450795_cov_10.6456_ID_8383-processed-gene-1.100&CDS=1-4065
OG0000361	YHR179W, YPL171C	snap_masked-NODE_23_length_147609_cov_11.2375_ID_8037-processed-gene-0.78-mRNA-1_1&gene=snap_masked-NODE_23_length_147609_cov_11.2375_ID_8037-processed-gene-0.78&CDS=1-1134
OG0000362	YHR198C, YHR199C	augustus_masked-NODE_9_length_301725_cov_11.1523_ID_9771-processed-gene-2.132-mRNA-1_1&gene=augustus_masked-NODE_9_length_301725_cov_11.1523_ID_9771-processed-gene-2.132&CDS=1-825
OG0000363	YHR203C, YJR145C	augustus_masked-NODE_14_length_268810_cov_12.6902_ID_16700-processed-gene-1.42-mRNA-1_1&gene=augustus_masked-NODE_14_length_268810_cov_12.6902_ID_16700-processed-gene-1.42&CDS=1-777
OG0000364	YHR210C, YNR071C	augustus_masked-NODE_12_length_274470_cov_11.5893_ID_6473-processed-gene-1.119-mRNA-1_1&gene=augustus_masked-NODE_12_length_274470_cov_11.5893_ID_6473-processed-gene-1.119&CDS=1-975
OG0000365	YIL042C	augustus_masked-NODE_17_length_210941_cov_10.8118_ID_5448-processed-gene-1.81-mRNA-1_1&gene=augustus_masked-NODE_17_length_210941_cov_10.8118_ID_5448-processed-gene-1.81&CDS=1-1137, augustus_masked-NODE_5_length_385981_cov_13.3379_ID_9389-processed-gene-2.152-mRNA-1_1&gene=augustus_masked-NODE_5_length_385981_cov_13.3379_ID_9389-processed-gene-2.152&CDS=1-1203
OG0000366	YIL105C, YNL047C	augustus_masked-NODE_13_length_269795_cov_9.87415_ID_4553-processed-gene-1.36-mRNA-1_1&gene=augustus_masked-NODE_13_length_269795_cov_9.87415_ID_4553-processed-gene-1.36&CDS=1-2103
OG0000367	YIL111W, YNL052W	augustus_masked-NODE_28_length_110160_cov_11.4914_ID_8006-processed-gene-0.144-mRNA-1_1&gene=augustus_masked-NODE_28_length_110160_cov_11.4914_ID_8006-processed-gene-0.144&CDS=1-531
OG0000368	YIL114C, YNL055C	augustus_masked-NODE_1_length_530835_cov_11.0226_ID_5813-processed-gene-2.41-mRNA-1_1&gene=augustus_masked-NODE_1_length_530835_cov_11.0226_ID_5813-processed-gene-2.41&CDS=1-855
OG0000369	YIL120W, YIL121W	augustus_masked-NODE_35_length_85831_cov_9.65443_ID_6066-processed-gene-0.92-mRNA-1_1&gene=augustus_masked-NODE_35_length_85831_cov_9.65443_ID_6066-processed-gene-0.92&CDS=1-1779
