	Saccharomyces_cerevisiae	yHMPu5000034887_Ogataea_trehaloabstinens
OG0001923	YJL155C	augustus_masked-NODE_2_length_1537802_cov_17.1257_ID_3-processed-gene-6.64-mRNA-1_1&gene=augustus_masked-NODE_2_length_1537802_cov_17.1257_ID_3-processed-gene-6.64&CDS=1-1356
OG0001924	YJL156C	augustus_masked-NODE_2_length_1537802_cov_17.1257_ID_3-processed-gene-6.65-mRNA-1_1&gene=augustus_masked-NODE_2_length_1537802_cov_17.1257_ID_3-processed-gene-6.65&CDS=1-2580
OG0001925	YJL157C	snap_masked-NODE_1_length_1805010_cov_18.4679_ID_1-processed-gene-7.97-mRNA-1_1&gene=snap_masked-NODE_1_length_1805010_cov_18.4679_ID_1-processed-gene-7.97&CDS=1-3177
OG0001926	YJL166W	maker-NODE_10_length_488516_cov_19.456_ID_19-augustus-gene-3.118-mRNA-1_1&gene=maker-NODE_10_length_488516_cov_19.456_ID_19-augustus-gene-3.118&CDS=1-279
OG0001927	YJL167W	augustus_masked-NODE_2_length_1537802_cov_17.1257_ID_3-processed-gene-13.66-mRNA-1_1&gene=augustus_masked-NODE_2_length_1537802_cov_17.1257_ID_3-processed-gene-13.66&CDS=1-1056
OG0001928	YJL168C	augustus_masked-NODE_2_length_1537802_cov_17.1257_ID_3-processed-gene-13.91-mRNA-1_1&gene=augustus_masked-NODE_2_length_1537802_cov_17.1257_ID_3-processed-gene-13.91&CDS=1-2268
OG0001929	YJL171C	augustus_masked-NODE_1_length_1805010_cov_18.4679_ID_1-processed-gene-13.73-mRNA-1_1&gene=augustus_masked-NODE_1_length_1805010_cov_18.4679_ID_1-processed-gene-13.73&CDS=1-1323
OG0001930	YJL174W	augustus_masked-NODE_2_length_1537802_cov_17.1257_ID_3-processed-gene-12.117-mRNA-1_1&gene=augustus_masked-NODE_2_length_1537802_cov_17.1257_ID_3-processed-gene-12.117&CDS=1-807
OG0001931	YJL176C	augustus_masked-NODE_2_length_1537802_cov_17.1257_ID_3-processed-gene-0.79-mRNA-1_1&gene=augustus_masked-NODE_2_length_1537802_cov_17.1257_ID_3-processed-gene-0.79&CDS=1-2493
OG0001932	YJL178C	augustus_masked-NODE_2_length_1537802_cov_17.1257_ID_3-processed-gene-12.130-mRNA-1_1&gene=augustus_masked-NODE_2_length_1537802_cov_17.1257_ID_3-processed-gene-12.130&CDS=1-804
OG0001933	YJL179W	augustus_masked-NODE_2_length_1537802_cov_17.1257_ID_3-processed-gene-12.105-mRNA-1_1&gene=augustus_masked-NODE_2_length_1537802_cov_17.1257_ID_3-processed-gene-12.105&CDS=1-360
OG0001934	YJL180C	augustus_masked-NODE_4_length_943695_cov_17.616_ID_7-processed-gene-3.48-mRNA-1_1&gene=augustus_masked-NODE_4_length_943695_cov_17.616_ID_7-processed-gene-3.48&CDS=1-1008
OG0001935	YJL184W	snap_masked-NODE_8_length_752213_cov_18.8698_ID_15-processed-gene-4.89-mRNA-1_1&gene=snap_masked-NODE_8_length_752213_cov_18.8698_ID_15-processed-gene-4.89&CDS=1-324
OG0001936	YJL187C	genemark-NODE_1_length_1805010_cov_18.4679_ID_1-processed-gene-1.54-mRNA-1_1&gene=genemark-NODE_1_length_1805010_cov_18.4679_ID_1-processed-gene-1.54&CDS=1-3330
OG0001937	YJL190C	augustus_masked-NODE_5_length_890716_cov_16.6707_ID_9-processed-gene-6.43-mRNA-1_1&gene=augustus_masked-NODE_5_length_890716_cov_16.6707_ID_9-processed-gene-6.43&CDS=1-390
OG0001938	YJL193W	augustus_masked-NODE_5_length_890716_cov_16.6707_ID_9-processed-gene-6.33-mRNA-1_1&gene=augustus_masked-NODE_5_length_890716_cov_16.6707_ID_9-processed-gene-6.33&CDS=1-1215
OG0001939	YJL194W	augustus_masked-NODE_6_length_848181_cov_19.387_ID_11-processed-gene-5.74-mRNA-1_1&gene=augustus_masked-NODE_6_length_848181_cov_19.387_ID_11-processed-gene-5.74&CDS=1-1590
OG0001940	YJL197W	augustus_masked-NODE_5_length_890716_cov_16.6707_ID_9-processed-gene-6.32-mRNA-1_1&gene=augustus_masked-NODE_5_length_890716_cov_16.6707_ID_9-processed-gene-6.32&CDS=1-3714
OG0001941	YJL204C	augustus_masked-NODE_19_length_33519_cov_17.042_ID_37-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-NODE_19_length_33519_cov_17.042_ID_37-processed-gene-0.29&CDS=1-2823
OG0001942	YJL205C	snap_masked-NODE_3_length_1005204_cov_18.4717_ID_5-processed-gene-7.40-mRNA-1_1&gene=snap_masked-NODE_3_length_1005204_cov_18.4717_ID_5-processed-gene-7.40&CDS=1-186
OG0001943	YJL207C	augustus_masked-NODE_7_length_761518_cov_19.0131_ID_13-processed-gene-2.14-mRNA-1_1&gene=augustus_masked-NODE_7_length_761518_cov_19.0131_ID_13-processed-gene-2.14&CDS=1-6768
OG0001944	YJL208C	augustus_masked-NODE_4_length_943695_cov_17.616_ID_7-processed-gene-7.22-mRNA-1_1&gene=augustus_masked-NODE_4_length_943695_cov_17.616_ID_7-processed-gene-7.22&CDS=1-1020
OG0001945	YJL213W	augustus_masked-NODE_17_length_58967_cov_35.7279_ID_33-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-NODE_17_length_58967_cov_35.7279_ID_33-processed-gene-0.15&CDS=1-1350
OG0001946	YJR001W	augustus_masked-NODE_8_length_752213_cov_18.8698_ID_15-processed-gene-4.163-mRNA-1_1&gene=augustus_masked-NODE_8_length_752213_cov_18.8698_ID_15-processed-gene-4.163&CDS=1-1716
OG0001947	YJR002W	augustus_masked-NODE_8_length_752213_cov_18.8698_ID_15-processed-gene-4.145-mRNA-1_1&gene=augustus_masked-NODE_8_length_752213_cov_18.8698_ID_15-processed-gene-4.145&CDS=1-1575
OG0001948	YJR003C	snap_masked-NODE_1_length_1805010_cov_18.4679_ID_1-processed-gene-6.10-mRNA-1_1&gene=snap_masked-NODE_1_length_1805010_cov_18.4679_ID_1-processed-gene-6.10&CDS=1-1536
OG0001949	YJR006W	augustus_masked-NODE_6_length_848181_cov_19.387_ID_11-processed-gene-7.9-mRNA-1_1&gene=augustus_masked-NODE_6_length_848181_cov_19.387_ID_11-processed-gene-7.9&CDS=1-1473
OG0001950	YJR007W	augustus_masked-NODE_8_length_752213_cov_18.8698_ID_15-processed-gene-6.128-mRNA-1_1&gene=augustus_masked-NODE_8_length_752213_cov_18.8698_ID_15-processed-gene-6.128&CDS=1-912
OG0001951	YJR008W	augustus_masked-NODE_2_length_1537802_cov_17.1257_ID_3-processed-gene-4.21-mRNA-1_1&gene=augustus_masked-NODE_2_length_1537802_cov_17.1257_ID_3-processed-gene-4.21&CDS=1-951
OG0001952	YJR010W	augustus_masked-NODE_4_length_943695_cov_17.616_ID_7-processed-gene-7.19-mRNA-1_1&gene=augustus_masked-NODE_4_length_943695_cov_17.616_ID_7-processed-gene-7.19&CDS=1-1641
OG0001953	YJR014W	augustus_masked-NODE_5_length_890716_cov_16.6707_ID_9-processed-gene-0.77-mRNA-1_1&gene=augustus_masked-NODE_5_length_890716_cov_16.6707_ID_9-processed-gene-0.77&CDS=1-582
OG0001954	YJR016C	augustus_masked-NODE_10_length_488516_cov_19.456_ID_19-processed-gene-2.83-mRNA-1_1&gene=augustus_masked-NODE_10_length_488516_cov_19.456_ID_19-processed-gene-2.83&CDS=1-1710
OG0001955	YJR017C	maker-NODE_1_length_1805010_cov_18.4679_ID_1-augustus-gene-14.164-mRNA-1_1&gene=maker-NODE_1_length_1805010_cov_18.4679_ID_1-augustus-gene-14.164&CDS=1-507
OG0001956	YJR024C	augustus_masked-NODE_1_length_1805010_cov_18.4679_ID_1-processed-gene-16.113-mRNA-1_1&gene=augustus_masked-NODE_1_length_1805010_cov_18.4679_ID_1-processed-gene-16.113&CDS=1-729
OG0001957	YJR025C	augustus_masked-NODE_7_length_761518_cov_19.0131_ID_13-processed-gene-6.98-mRNA-1_1&gene=augustus_masked-NODE_7_length_761518_cov_19.0131_ID_13-processed-gene-6.98&CDS=1-510
OG0001958	YJR033C	augustus_masked-NODE_12_length_222610_cov_24.5609_ID_23-processed-gene-0.124-mRNA-1_1&gene=augustus_masked-NODE_12_length_222610_cov_24.5609_ID_23-processed-gene-0.124&CDS=1-4446
OG0001959	YJR034W	augustus_masked-NODE_12_length_222610_cov_24.5609_ID_23-processed-gene-0.108-mRNA-1_1&gene=augustus_masked-NODE_12_length_222610_cov_24.5609_ID_23-processed-gene-0.108&CDS=1-324
OG0001960	YJR035W	augustus_masked-NODE_12_length_222610_cov_24.5609_ID_23-processed-gene-0.109-mRNA-1_1&gene=augustus_masked-NODE_12_length_222610_cov_24.5609_ID_23-processed-gene-0.109&CDS=1-3444
OG0001961	YJR036C	augustus_masked-NODE_10_length_488516_cov_19.456_ID_19-processed-gene-1.50-mRNA-1_1&gene=augustus_masked-NODE_10_length_488516_cov_19.456_ID_19-processed-gene-1.50&CDS=1-2778
OG0001962	YJR040W	augustus_masked-NODE_1_length_1805010_cov_18.4679_ID_1-processed-gene-17.39-mRNA-1_1&gene=augustus_masked-NODE_1_length_1805010_cov_18.4679_ID_1-processed-gene-17.39&CDS=1-3918
OG0001963	YJR041C	augustus_masked-NODE_5_length_890716_cov_16.6707_ID_9-processed-gene-2.29-mRNA-1_1&gene=augustus_masked-NODE_5_length_890716_cov_16.6707_ID_9-processed-gene-2.29&CDS=1-3492
OG0001964	YJR042W	augustus_masked-NODE_5_length_890716_cov_16.6707_ID_9-processed-gene-2.8-mRNA-1_1&gene=augustus_masked-NODE_5_length_890716_cov_16.6707_ID_9-processed-gene-2.8&CDS=1-2259
OG0001965	YJR044C	augustus_masked-NODE_1_length_1805010_cov_18.4679_ID_1-processed-gene-9.148-mRNA-1_1&gene=augustus_masked-NODE_1_length_1805010_cov_18.4679_ID_1-processed-gene-9.148&CDS=1-420
OG0001966	YJR045C	augustus_masked-NODE_1_length_1805010_cov_18.4679_ID_1-processed-gene-9.149-mRNA-1_1&gene=augustus_masked-NODE_1_length_1805010_cov_18.4679_ID_1-processed-gene-9.149&CDS=1-2037
OG0001967	YJR047C	augustus_masked-NODE_6_length_848181_cov_19.387_ID_11-processed-gene-6.142-mRNA-1_1&gene=augustus_masked-NODE_6_length_848181_cov_19.387_ID_11-processed-gene-6.142&CDS=1-471
OG0001968	YJR048W	augustus_masked-NODE_7_length_761518_cov_19.0131_ID_13-processed-gene-1.98-mRNA-1_1&gene=augustus_masked-NODE_7_length_761518_cov_19.0131_ID_13-processed-gene-1.98&CDS=1-330
OG0001969	YJR050W	augustus_masked-NODE_5_length_890716_cov_16.6707_ID_9-processed-gene-5.84-mRNA-1_1&gene=augustus_masked-NODE_5_length_890716_cov_16.6707_ID_9-processed-gene-5.84&CDS=1-879
OG0001970	YJR052W	augustus_masked-NODE_1_length_1805010_cov_18.4679_ID_1-processed-gene-9.135-mRNA-1_1&gene=augustus_masked-NODE_1_length_1805010_cov_18.4679_ID_1-processed-gene-9.135&CDS=1-1695
OG0001971	YJR053W	augustus_masked-NODE_11_length_460145_cov_17.0925_ID_21-processed-gene-2.63-mRNA-1_1&gene=augustus_masked-NODE_11_length_460145_cov_17.0925_ID_21-processed-gene-2.63&CDS=1-1728
OG0001972	YJR056C	augustus_masked-NODE_2_length_1537802_cov_17.1257_ID_3-processed-gene-10.18-mRNA-1_1&gene=augustus_masked-NODE_2_length_1537802_cov_17.1257_ID_3-processed-gene-10.18&CDS=1-993
OG0001973	YJR057W	augustus_masked-NODE_1_length_1805010_cov_18.4679_ID_1-processed-gene-1.132-mRNA-1_1&gene=augustus_masked-NODE_1_length_1805010_cov_18.4679_ID_1-processed-gene-1.132&CDS=1-621
OG0001974	YJR058C	augustus_masked-NODE_6_length_848181_cov_19.387_ID_11-processed-gene-6.125-mRNA-1_1&gene=augustus_masked-NODE_6_length_848181_cov_19.387_ID_11-processed-gene-6.125&CDS=1-432
OG0001975	YJR060W	augustus_masked-NODE_2_length_1537802_cov_17.1257_ID_3-processed-gene-13.67-mRNA-1_1&gene=augustus_masked-NODE_2_length_1537802_cov_17.1257_ID_3-processed-gene-13.67&CDS=1-735
OG0001976	YJR062C	augustus_masked-NODE_2_length_1537802_cov_17.1257_ID_3-processed-gene-13.95-mRNA-1_1&gene=augustus_masked-NODE_2_length_1537802_cov_17.1257_ID_3-processed-gene-13.95&CDS=1-999
OG0001977	YJR064W	augustus_masked-NODE_3_length_1005204_cov_18.4717_ID_5-processed-gene-3.110-mRNA-1_1&gene=augustus_masked-NODE_3_length_1005204_cov_18.4717_ID_5-processed-gene-3.110&CDS=1-1659
OG0001978	YJR065C	augustus_masked-NODE_1_length_1805010_cov_18.4679_ID_1-processed-gene-17.7-mRNA-1_1&gene=augustus_masked-NODE_1_length_1805010_cov_18.4679_ID_1-processed-gene-17.7&CDS=1-1308
OG0001979	YJR067C	augustus_masked-NODE_10_length_488516_cov_19.456_ID_19-processed-gene-1.49-mRNA-1_1&gene=augustus_masked-NODE_10_length_488516_cov_19.456_ID_19-processed-gene-1.49&CDS=1-456
OG0001980	YJR068W	augustus_masked-NODE_2_length_1537802_cov_17.1257_ID_3-processed-gene-11.19-mRNA-1_1&gene=augustus_masked-NODE_2_length_1537802_cov_17.1257_ID_3-processed-gene-11.19&CDS=1-1047
OG0001981	YJR069C	augustus_masked-NODE_8_length_752213_cov_18.8698_ID_15-processed-gene-1.75-mRNA-1_1&gene=augustus_masked-NODE_8_length_752213_cov_18.8698_ID_15-processed-gene-1.75&CDS=1-582
OG0001982	YJR070C	augustus_masked-NODE_2_length_1537802_cov_17.1257_ID_3-processed-gene-11.20-mRNA-1_1&gene=augustus_masked-NODE_2_length_1537802_cov_17.1257_ID_3-processed-gene-11.20&CDS=1-969
OG0001983	YJR072C	snap_masked-NODE_5_length_890716_cov_16.6707_ID_9-processed-gene-7.151-mRNA-1_1&gene=snap_masked-NODE_5_length_890716_cov_16.6707_ID_9-processed-gene-7.151&CDS=1-1176
OG0001984	YJR073C	augustus_masked-NODE_5_length_890716_cov_16.6707_ID_9-processed-gene-2.2-mRNA-1_1&gene=augustus_masked-NODE_5_length_890716_cov_16.6707_ID_9-processed-gene-2.2&CDS=1-627
OG0001985	YJR077C	augustus_masked-NODE_3_length_1005204_cov_18.4717_ID_5-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-NODE_3_length_1005204_cov_18.4717_ID_5-processed-gene-0.18&CDS=1-927
OG0001986	YJR078W	augustus_masked-NODE_10_length_488516_cov_19.456_ID_19-processed-gene-1.61-mRNA-1_1&gene=augustus_masked-NODE_10_length_488516_cov_19.456_ID_19-processed-gene-1.61&CDS=1-1413
OG0001987	YJR085C	augustus_masked-NODE_4_length_943695_cov_17.616_ID_7-processed-gene-6.147-mRNA-1_1&gene=augustus_masked-NODE_4_length_943695_cov_17.616_ID_7-processed-gene-6.147&CDS=1-309
OG0001988	YJR086W	augustus_masked-NODE_5_length_890716_cov_16.6707_ID_9-processed-gene-7.288-mRNA-1_1&gene=augustus_masked-NODE_5_length_890716_cov_16.6707_ID_9-processed-gene-7.288&CDS=1-417
OG0001989	YJR090C	augustus_masked-NODE_5_length_890716_cov_16.6707_ID_9-processed-gene-7.286-mRNA-1_1&gene=augustus_masked-NODE_5_length_890716_cov_16.6707_ID_9-processed-gene-7.286&CDS=1-2229
OG0001990	YJR092W	augustus_masked-NODE_5_length_890716_cov_16.6707_ID_9-processed-gene-7.283-mRNA-1_1&gene=augustus_masked-NODE_5_length_890716_cov_16.6707_ID_9-processed-gene-7.283&CDS=1-3858
OG0001991	YJR093C	augustus_masked-NODE_5_length_890716_cov_16.6707_ID_9-processed-gene-7.240-mRNA-1_1&gene=augustus_masked-NODE_5_length_890716_cov_16.6707_ID_9-processed-gene-7.240&CDS=1-1092
OG0001992	YJR095W	augustus_masked-NODE_1_length_1805010_cov_18.4679_ID_1-processed-gene-15.71-mRNA-1_1&gene=augustus_masked-NODE_1_length_1805010_cov_18.4679_ID_1-processed-gene-15.71&CDS=1-960
OG0001993	YJR096W	augustus_masked-NODE_1_length_1805010_cov_18.4679_ID_1-processed-gene-10.30-mRNA-1_1&gene=augustus_masked-NODE_1_length_1805010_cov_18.4679_ID_1-processed-gene-10.30&CDS=1-870
OG0001994	YJR097W	augustus_masked-NODE_7_length_761518_cov_19.0131_ID_13-processed-gene-4.117-mRNA-1_1&gene=augustus_masked-NODE_7_length_761518_cov_19.0131_ID_13-processed-gene-4.117&CDS=1-525
OG0001995	YJR098C	augustus_masked-NODE_7_length_761518_cov_19.0131_ID_13-processed-gene-4.133-mRNA-1_1&gene=augustus_masked-NODE_7_length_761518_cov_19.0131_ID_13-processed-gene-4.133&CDS=1-2166
OG0001996	YJR099W	augustus_masked-NODE_6_length_848181_cov_19.387_ID_11-processed-gene-1.117-mRNA-1_1&gene=augustus_masked-NODE_6_length_848181_cov_19.387_ID_11-processed-gene-1.117&CDS=1-744
OG0001997	YJR100C	augustus_masked-NODE_1_length_1805010_cov_18.4679_ID_1-processed-gene-11.147-mRNA-1_1&gene=augustus_masked-NODE_1_length_1805010_cov_18.4679_ID_1-processed-gene-11.147&CDS=1-990
OG0001998	YJR101W	snap_masked-NODE_1_length_1805010_cov_18.4679_ID_1-processed-gene-11.22-mRNA-1_1&gene=snap_masked-NODE_1_length_1805010_cov_18.4679_ID_1-processed-gene-11.22&CDS=1-774
OG0001999	YJR102C	maker-NODE_1_length_1805010_cov_18.4679_ID_1-augustus-gene-11.160-mRNA-1_1&gene=maker-NODE_1_length_1805010_cov_18.4679_ID_1-augustus-gene-11.160&CDS=1-648
OG0002000	YJR104C	augustus_masked-NODE_1_length_1805010_cov_18.4679_ID_1-processed-gene-11.128-mRNA-1_1&gene=augustus_masked-NODE_1_length_1805010_cov_18.4679_ID_1-processed-gene-11.128&CDS=1-462
OG0002001	YJR105W	augustus_masked-NODE_5_length_890716_cov_16.6707_ID_9-processed-gene-5.82-mRNA-1_1&gene=augustus_masked-NODE_5_length_890716_cov_16.6707_ID_9-processed-gene-5.82&CDS=1-1038
OG0002002	YJR107W	augustus_masked-NODE_3_length_1005204_cov_18.4717_ID_5-processed-gene-4.55-mRNA-1_1&gene=augustus_masked-NODE_3_length_1005204_cov_18.4717_ID_5-processed-gene-4.55&CDS=1-1083
OG0002003	YJR109C	augustus_masked-NODE_11_length_460145_cov_17.0925_ID_21-processed-gene-2.93-mRNA-1_1&gene=augustus_masked-NODE_11_length_460145_cov_17.0925_ID_21-processed-gene-2.93&CDS=1-3462
OG0002004	YJR110W	augustus_masked-NODE_7_length_761518_cov_19.0131_ID_13-processed-gene-2.12-mRNA-1_1&gene=augustus_masked-NODE_7_length_761518_cov_19.0131_ID_13-processed-gene-2.12&CDS=1-1881
OG0002005	YJR111C	augustus_masked-NODE_7_length_761518_cov_19.0131_ID_13-processed-gene-2.32-mRNA-1_1&gene=augustus_masked-NODE_7_length_761518_cov_19.0131_ID_13-processed-gene-2.32&CDS=1-786
OG0002006	YJR112W	augustus_masked-NODE_4_length_943695_cov_17.616_ID_7-processed-gene-2.140-mRNA-1_1&gene=augustus_masked-NODE_4_length_943695_cov_17.616_ID_7-processed-gene-2.140&CDS=1-639
OG0002007	YJR113C	augustus_masked-NODE_6_length_848181_cov_19.387_ID_11-processed-gene-3.168-mRNA-1_1&gene=augustus_masked-NODE_6_length_848181_cov_19.387_ID_11-processed-gene-3.168&CDS=1-2277
OG0002008	YJR116W	augustus_masked-NODE_5_length_890716_cov_16.6707_ID_9-processed-gene-5.58-mRNA-1_1&gene=augustus_masked-NODE_5_length_890716_cov_16.6707_ID_9-processed-gene-5.58&CDS=1-810
OG0002009	YJR117W	augustus_masked-NODE_2_length_1537802_cov_17.1257_ID_3-processed-gene-1.78-mRNA-1_1&gene=augustus_masked-NODE_2_length_1537802_cov_17.1257_ID_3-processed-gene-1.78&CDS=1-1344
OG0002010	YJR118C	augustus_masked-NODE_2_length_1537802_cov_17.1257_ID_3-processed-gene-1.75-mRNA-1_1&gene=augustus_masked-NODE_2_length_1537802_cov_17.1257_ID_3-processed-gene-1.75&CDS=1-558
OG0002011	YJR119C	augustus_masked-NODE_2_length_1537802_cov_17.1257_ID_3-processed-gene-1.72-mRNA-1_1&gene=augustus_masked-NODE_2_length_1537802_cov_17.1257_ID_3-processed-gene-1.72&CDS=1-2490
OG0002012	YJR121W	maker-NODE_2_length_1537802_cov_17.1257_ID_3-augustus-gene-1.64-mRNA-1_1&gene=maker-NODE_2_length_1537802_cov_17.1257_ID_3-augustus-gene-1.64&CDS=1-1518
OG0002013	YJR122W	augustus_masked-NODE_8_length_752213_cov_18.8698_ID_15-processed-gene-4.142-mRNA-1_1&gene=augustus_masked-NODE_8_length_752213_cov_18.8698_ID_15-processed-gene-4.142&CDS=1-1407
OG0002014	YJR123W	augustus_masked-NODE_10_length_488516_cov_19.456_ID_19-processed-gene-3.298-mRNA-1_1&gene=augustus_masked-NODE_10_length_488516_cov_19.456_ID_19-processed-gene-3.298&CDS=1-675
OG0002015	YJR124C	augustus_masked-NODE_10_length_488516_cov_19.456_ID_19-processed-gene-3.299-mRNA-1_1&gene=augustus_masked-NODE_10_length_488516_cov_19.456_ID_19-processed-gene-3.299&CDS=1-1407
OG0002016	YJR125C	augustus_masked-NODE_8_length_752213_cov_18.8698_ID_15-processed-gene-2.163-mRNA-1_1&gene=augustus_masked-NODE_8_length_752213_cov_18.8698_ID_15-processed-gene-2.163&CDS=1-1245
OG0002017	YJR129C	augustus_masked-NODE_8_length_752213_cov_18.8698_ID_15-processed-gene-2.144-mRNA-1_1&gene=augustus_masked-NODE_8_length_752213_cov_18.8698_ID_15-processed-gene-2.144&CDS=1-1029
OG0002018	YJR131W	augustus_masked-NODE_15_length_89900_cov_16.9629_ID_29-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-NODE_15_length_89900_cov_16.9629_ID_29-processed-gene-0.18&CDS=1-2166
OG0002019	YJR134C	augustus_masked-NODE_9_length_736505_cov_22.0163_ID_17-processed-gene-4.3-mRNA-1_1&gene=augustus_masked-NODE_9_length_736505_cov_22.0163_ID_17-processed-gene-4.3&CDS=1-2376
OG0002020	YJR137C	snap_masked-NODE_5_length_890716_cov_16.6707_ID_9-processed-gene-7.227-mRNA-1_1&gene=snap_masked-NODE_5_length_890716_cov_16.6707_ID_9-processed-gene-7.227&CDS=1-4113
OG0002021	YJR138W	augustus_masked-NODE_1_length_1805010_cov_18.4679_ID_1-processed-gene-9.112-mRNA-1_1&gene=augustus_masked-NODE_1_length_1805010_cov_18.4679_ID_1-processed-gene-9.112&CDS=1-4665
OG0002022	YJR139C	augustus_masked-NODE_1_length_1805010_cov_18.4679_ID_1-processed-gene-9.129-mRNA-1_1&gene=augustus_masked-NODE_1_length_1805010_cov_18.4679_ID_1-processed-gene-9.129&CDS=1-1101
OG0002023	YJR140C	augustus_masked-NODE_1_length_1805010_cov_18.4679_ID_1-processed-gene-1.139-mRNA-1_1&gene=augustus_masked-NODE_1_length_1805010_cov_18.4679_ID_1-processed-gene-1.139&CDS=1-5142
OG0002024	YJR141W	augustus_masked-NODE_1_length_1805010_cov_18.4679_ID_1-processed-gene-9.131-mRNA-1_1&gene=augustus_masked-NODE_1_length_1805010_cov_18.4679_ID_1-processed-gene-9.131&CDS=1-1107
OG0002025	YJR142W	augustus_masked-NODE_1_length_1805010_cov_18.4679_ID_1-processed-gene-1.140-mRNA-1_1&gene=augustus_masked-NODE_1_length_1805010_cov_18.4679_ID_1-processed-gene-1.140&CDS=1-954
OG0002026	YJR143C	snap_masked-NODE_1_length_1805010_cov_18.4679_ID_1-processed-gene-2.96-mRNA-1_1&gene=snap_masked-NODE_1_length_1805010_cov_18.4679_ID_1-processed-gene-2.96&CDS=1-2217
OG0002027	YJR144W	augustus_masked-NODE_1_length_1805010_cov_18.4679_ID_1-processed-gene-2.0-mRNA-1_1&gene=augustus_masked-NODE_1_length_1805010_cov_18.4679_ID_1-processed-gene-2.0&CDS=1-909
OG0002028	YJR148W	snap_masked-NODE_8_length_752213_cov_18.8698_ID_15-processed-gene-6.251-mRNA-1_1&gene=snap_masked-NODE_8_length_752213_cov_18.8698_ID_15-processed-gene-6.251&CDS=1-1194
OG0002029	YKL001C	augustus_masked-NODE_1_length_1805010_cov_18.4679_ID_1-processed-gene-6.134-mRNA-1_1&gene=augustus_masked-NODE_1_length_1805010_cov_18.4679_ID_1-processed-gene-6.134&CDS=1-609
OG0002030	YKL002W	augustus_masked-NODE_4_length_943695_cov_17.616_ID_7-processed-gene-4.94-mRNA-1_1&gene=augustus_masked-NODE_4_length_943695_cov_17.616_ID_7-processed-gene-4.94&CDS=1-684
OG0002031	YKL003C	maker-NODE_4_length_943695_cov_17.616_ID_7-augustus-gene-4.54-mRNA-1_1&gene=maker-NODE_4_length_943695_cov_17.616_ID_7-augustus-gene-4.54&CDS=1-387
OG0002032	YKL005C	augustus_masked-NODE_6_length_848181_cov_19.387_ID_11-processed-gene-1.134-mRNA-1_1&gene=augustus_masked-NODE_6_length_848181_cov_19.387_ID_11-processed-gene-1.134&CDS=1-2100
OG0002033	YKL006C-A	snap_masked-NODE_6_length_848181_cov_19.387_ID_11-processed-gene-1.34-mRNA-1_1&gene=snap_masked-NODE_6_length_848181_cov_19.387_ID_11-processed-gene-1.34&CDS=1-285
OG0002034	YKL007W	augustus_masked-NODE_6_length_848181_cov_19.387_ID_11-processed-gene-1.113-mRNA-1_1&gene=augustus_masked-NODE_6_length_848181_cov_19.387_ID_11-processed-gene-1.113&CDS=1-813
OG0002035	YKL009W	augustus_masked-NODE_5_length_890716_cov_16.6707_ID_9-processed-gene-7.232-mRNA-1_1&gene=augustus_masked-NODE_5_length_890716_cov_16.6707_ID_9-processed-gene-7.232&CDS=1-696
OG0002036	YKL010C	maker-NODE_5_length_890716_cov_16.6707_ID_9-snap-gene-7.109-mRNA-1_1&gene=maker-NODE_5_length_890716_cov_16.6707_ID_9-snap-gene-7.109&CDS=1-5058
OG0002037	YKL011C	augustus_masked-NODE_6_length_848181_cov_19.387_ID_11-processed-gene-7.25-mRNA-1_1&gene=augustus_masked-NODE_6_length_848181_cov_19.387_ID_11-processed-gene-7.25&CDS=1-1011
OG0002038	YKL012W	augustus_masked-NODE_10_length_488516_cov_19.456_ID_19-processed-gene-0.84-mRNA-1_1&gene=augustus_masked-NODE_10_length_488516_cov_19.456_ID_19-processed-gene-0.84&CDS=1-1470
OG0002039	YKL013C	genemark-NODE_10_length_488516_cov_19.456_ID_19-processed-gene-0.111-mRNA-1_1&gene=genemark-NODE_10_length_488516_cov_19.456_ID_19-processed-gene-0.111&CDS=1-507
OG0002040	YKL014C	augustus_masked-NODE_2_length_1537802_cov_17.1257_ID_3-processed-gene-4.4-mRNA-1_1&gene=augustus_masked-NODE_2_length_1537802_cov_17.1257_ID_3-processed-gene-4.4&CDS=1-5205
OG0002041	YKL015W	augustus_masked-NODE_3_length_1005204_cov_18.4717_ID_5-processed-gene-4.54-mRNA-1_1&gene=augustus_masked-NODE_3_length_1005204_cov_18.4717_ID_5-processed-gene-4.54&CDS=1-2802
OG0002042	YKL016C	augustus_masked-NODE_1_length_1805010_cov_18.4679_ID_1-processed-gene-17.12-mRNA-1_1&gene=augustus_masked-NODE_1_length_1805010_cov_18.4679_ID_1-processed-gene-17.12&CDS=1-525
OG0002043	YKL017C	augustus_masked-NODE_1_length_1805010_cov_18.4679_ID_1-processed-gene-17.13-mRNA-1_1&gene=augustus_masked-NODE_1_length_1805010_cov_18.4679_ID_1-processed-gene-17.13&CDS=1-2208
