	Candida_auris	Saccharomyces_cerevisiae
OG0000289	augustus_masked-LGST01000021.1-processed-gene-2.213-mRNA-1_1&gene=augustus_masked-LGST01000021.1-processed-gene-2.213&CDS=1-2853, snap_masked-LGST01000027.1-processed-gene-1.82-mRNA-1_1&gene=snap_masked-LGST01000027.1-processed-gene-1.82&CDS=1-1545	YJL068C
OG0000290	snap_masked-LGST01000021.1-processed-gene-2.16-mRNA-1_1&gene=snap_masked-LGST01000021.1-processed-gene-2.16&CDS=1-309	YGR209C, YLR043C
OG0000291	snap_masked-LGST01000021.1-processed-gene-2.65-mRNA-1_1&gene=snap_masked-LGST01000021.1-processed-gene-2.65&CDS=1-3228	YBL106C, YPR032W
OG0000292	genemark-LGST01000021.1-processed-gene-2.160-mRNA-1_1&gene=genemark-LGST01000021.1-processed-gene-2.160&CDS=1-1056	YDL048C, YLR375W
OG0000293	snap_masked-LGST01000021.1-processed-gene-2.74-mRNA-1_1&gene=snap_masked-LGST01000021.1-processed-gene-2.74&CDS=1-3666	YGR070W, YLR371W
OG0000294	snap_masked-LGST01000021.1-processed-gene-2.81-mRNA-1_1&gene=snap_masked-LGST01000021.1-processed-gene-2.81&CDS=1-513	YBR005W, YDR003W
OG0000295	snap_masked-LGST01000021.1-processed-gene-2.85-mRNA-1_1&gene=snap_masked-LGST01000021.1-processed-gene-2.85&CDS=1-1707, snap_masked-LGST01000068.1-processed-gene-0.44-mRNA-1_1&gene=snap_masked-LGST01000068.1-processed-gene-0.44&CDS=1-1683	YML054C
OG0000296	snap_masked-LGST01000022.1-processed-gene-0.41-mRNA-1_1&gene=snap_masked-LGST01000022.1-processed-gene-0.41&CDS=1-1725, snap_masked-LGST01000056.1-processed-gene-0.90-mRNA-1_1&gene=snap_masked-LGST01000056.1-processed-gene-0.90&CDS=1-1725	YPL265W
OG0000297	snap_masked-LGST01000022.1-processed-gene-0.4-mRNA-1_1&gene=snap_masked-LGST01000022.1-processed-gene-0.4&CDS=1-2370, snap_masked-LGST01000041.1-processed-gene-7.79-mRNA-1_1&gene=snap_masked-LGST01000041.1-processed-gene-7.79&CDS=1-2382	YJR126C
OG0000298	snap_masked-LGST01000023.1-processed-gene-0.40-mRNA-1_1&gene=snap_masked-LGST01000023.1-processed-gene-0.40&CDS=1-471	YEL034W, YJR047C
OG0000299	snap_masked-LGST01000023.1-processed-gene-0.59-mRNA-1_1&gene=snap_masked-LGST01000023.1-processed-gene-0.59&CDS=1-2301	YJR059W, YKL198C
OG0000300	snap_masked-LGST01000023.1-processed-gene-0.44-mRNA-1_1&gene=snap_masked-LGST01000023.1-processed-gene-0.44&CDS=1-2877	YCR067C, YNR026C
OG0000301	snap_masked-LGST01000023.1-processed-gene-0.74-mRNA-1_1&gene=snap_masked-LGST01000023.1-processed-gene-0.74&CDS=1-1170, snap_masked-LGST01000057.1-processed-gene-1.195-mRNA-1_1&gene=snap_masked-LGST01000057.1-processed-gene-1.195&CDS=1-1149	YNL066W
OG0000302	snap_masked-LGST01000023.1-processed-gene-1.70-mRNA-1_1&gene=snap_masked-LGST01000023.1-processed-gene-1.70&CDS=1-495	YDR418W, YEL054C
OG0000303	maker-LGST01000023.1-snap-gene-1.84-mRNA-1_1&gene=maker-LGST01000023.1-snap-gene-1.84&CDS=1-792	YGR214W, YLR048W
OG0000304	snap_masked-LGST01000023.1-processed-gene-1.77-mRNA-1_1&gene=snap_masked-LGST01000023.1-processed-gene-1.77&CDS=1-657	YGR010W, YLR328W
OG0000305	snap_masked-LGST01000023.1-processed-gene-1.78-mRNA-1_1&gene=snap_masked-LGST01000023.1-processed-gene-1.78&CDS=1-909	YGL162W, YPR009W
OG0000306	snap_masked-LGST01000023.1-processed-gene-2.84-mRNA-1_1&gene=snap_masked-LGST01000023.1-processed-gene-2.84&CDS=1-876	YBR183W, YPL087W
OG0000307	snap_masked-LGST01000023.1-processed-gene-2.95-mRNA-1_1&gene=snap_masked-LGST01000023.1-processed-gene-2.95&CDS=1-1056, snap_masked-LGST01000046.1-processed-gene-0.42-mRNA-1_1&gene=snap_masked-LGST01000046.1-processed-gene-0.42&CDS=1-1059	YML131W
OG0000308	snap_masked-LGST01000023.1-processed-gene-2.105-mRNA-1_1&gene=snap_masked-LGST01000023.1-processed-gene-2.105&CDS=1-1410, snap_masked-LGST01000047.1-processed-gene-0.6-mRNA-1_1&gene=snap_masked-LGST01000047.1-processed-gene-0.6&CDS=1-1419	YDL238C
OG0000309	snap_masked-LGST01000023.1-processed-gene-2.149-mRNA-1_1&gene=snap_masked-LGST01000023.1-processed-gene-2.149&CDS=1-1530	YDR501W, YLR183C
OG0000310	genemark-LGST01000023.1-processed-gene-2.32-mRNA-1_1&gene=genemark-LGST01000023.1-processed-gene-2.32&CDS=1-252	YDR500C, YLR185W
OG0000311	snap_masked-LGST01000024.1-processed-gene-0.5-mRNA-1_1&gene=snap_masked-LGST01000024.1-processed-gene-0.5&CDS=1-312	YGR027C, YLR333C
OG0000312	snap_masked-LGST01000024.1-processed-gene-0.7-mRNA-1_1&gene=snap_masked-LGST01000024.1-processed-gene-0.7&CDS=1-810	YHR131C, YNL144C
OG0000313	snap_masked-LGST01000025.1-processed-gene-0.31-mRNA-1_1&gene=snap_masked-LGST01000025.1-processed-gene-0.31&CDS=1-1683, snap_masked-LGST01000048.1-processed-gene-0.38-mRNA-1_1&gene=snap_masked-LGST01000048.1-processed-gene-0.38&CDS=1-1701	YDL210W
OG0000314	snap_masked-LGST01000025.1-processed-gene-0.36-mRNA-1_1&gene=snap_masked-LGST01000025.1-processed-gene-0.36&CDS=1-1317	YIL113W, YNL053W
OG0000315	snap_masked-LGST01000025.1-processed-gene-0.52-mRNA-1_1&gene=snap_masked-LGST01000025.1-processed-gene-0.52&CDS=1-2832	YIL109C, YNL049C
OG0000316	augustus_masked-LGST01000044.1-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-LGST01000044.1-processed-gene-0.8&CDS=1-1374, snap_masked-LGST01000025.1-processed-gene-0.53-mRNA-1_1&gene=snap_masked-LGST01000025.1-processed-gene-0.53&CDS=1-1383	YJR117W
OG0000317	maker-LGST01000025.1-augustus-gene-1.4-mRNA-1_1&gene=maker-LGST01000025.1-augustus-gene-1.4&CDS=1-3849	YNL299W, YOL115W
OG0000318	snap_masked-LGST01000025.1-processed-gene-1.209-mRNA-1_1&gene=snap_masked-LGST01000025.1-processed-gene-1.209&CDS=1-1578, snap_masked-LGST01000040.1-processed-gene-1.62-mRNA-1_1&gene=snap_masked-LGST01000040.1-processed-gene-1.62&CDS=1-1611	YGL186C
OG0000319	snap_masked-LGST01000025.1-processed-gene-1.186-mRNA-1_1&gene=snap_masked-LGST01000025.1-processed-gene-1.186&CDS=1-1350	YMR177W, YPL224C
OG0000320	snap_masked-LGST01000026.1-processed-gene-0.82-mRNA-1_1&gene=snap_masked-LGST01000026.1-processed-gene-0.82&CDS=1-468	YGL031C, YGR148C
OG0000321	snap_masked-LGST01000026.1-processed-gene-0.145-mRNA-1_1&gene=snap_masked-LGST01000026.1-processed-gene-0.145&CDS=1-3744	YIL151C, YKR096W
OG0000322	snap_masked-LGST01000026.1-processed-gene-0.112-mRNA-1_1&gene=snap_masked-LGST01000026.1-processed-gene-0.112&CDS=1-5586	YIL149C, YKR095W
OG0000323	snap_masked-LGST01000027.1-processed-gene-0.77-mRNA-1_1&gene=snap_masked-LGST01000027.1-processed-gene-0.77&CDS=1-1338	YDR300C, YHR033W
OG0000324	maker-LGST01000027.1-snap-gene-1.109-mRNA-1_1&gene=maker-LGST01000027.1-snap-gene-1.109&CDS=1-393	YHL001W, YKL006W
OG0000325	augustus_masked-LGST01000027.1-processed-gene-1.140-mRNA-1_1&gene=augustus_masked-LGST01000027.1-processed-gene-1.140&CDS=1-3633	YHR155W, YNL257C
OG0000326	snap_masked-LGST01000029.1-processed-gene-0.129-mRNA-1_1&gene=snap_masked-LGST01000029.1-processed-gene-0.129&CDS=1-357, snap_masked-LGST01000048.1-processed-gene-0.59-mRNA-1_1&gene=snap_masked-LGST01000048.1-processed-gene-0.59&CDS=1-300	YNL322C
OG0000327	augustus_masked-LGST01000029.1-processed-gene-0.203-mRNA-1_1&gene=augustus_masked-LGST01000029.1-processed-gene-0.203&CDS=1-2808	YDR251W, YPL032C
OG0000328	snap_masked-LGST01000029.1-processed-gene-0.104-mRNA-1_1&gene=snap_masked-LGST01000029.1-processed-gene-0.104&CDS=1-933	YHR133C, YNL156C
OG0000329	snap_masked-LGST01000029.1-processed-gene-0.147-mRNA-1_1&gene=snap_masked-LGST01000029.1-processed-gene-0.147&CDS=1-369	YHR132W-A, YNL157W
OG0000330	snap_masked-LGST01000030.1-processed-gene-0.57-mRNA-1_1&gene=snap_masked-LGST01000030.1-processed-gene-0.57&CDS=1-1167	YMR243C, YOR316C
OG0000331	maker-LGST01000031.1-augustus-gene-0.101-mRNA-1_1&gene=maker-LGST01000031.1-augustus-gene-0.101&CDS=1-1938	YER185W, YGR213C
OG0000332	snap_masked-LGST01000031.1-processed-gene-0.34-mRNA-1_1&gene=snap_masked-LGST01000031.1-processed-gene-0.34&CDS=1-894	YGR136W, YPR154W
OG0000333	snap_masked-LGST01000031.1-processed-gene-1.57-mRNA-1_1&gene=snap_masked-LGST01000031.1-processed-gene-1.57&CDS=1-858	YHL034C, YLL046C
OG0000334	snap_masked-LGST01000031.1-processed-gene-2.54-mRNA-1_1&gene=snap_masked-LGST01000031.1-processed-gene-2.54&CDS=1-2127	YGR241C, YHR161C
OG0000335	snap_masked-LGST01000031.1-processed-gene-2.80-mRNA-1_1&gene=snap_masked-LGST01000031.1-processed-gene-2.80&CDS=1-297	YJR094W-A, YPR043W
OG0000336	snap_masked-LGST01000031.1-processed-gene-2.82-mRNA-1_1&gene=snap_masked-LGST01000031.1-processed-gene-2.82&CDS=1-3264	YJR091C, YPR042C
OG0000337	snap_masked-LGST01000031.1-processed-gene-2.88-mRNA-1_1&gene=snap_masked-LGST01000031.1-processed-gene-2.88&CDS=1-756	YER062C, YIL053W
OG0000338	maker-LGST01000031.1-augustus-gene-3.124-mRNA-1_1&gene=maker-LGST01000031.1-augustus-gene-3.124&CDS=1-1623	YER037W, YGL224C
OG0000339	maker-LGST01000041.1-augustus-gene-6.121-mRNA-1_1&gene=maker-LGST01000041.1-augustus-gene-6.121&CDS=1-2394, snap_masked-LGST01000031.1-processed-gene-3.22-mRNA-1_1&gene=snap_masked-LGST01000031.1-processed-gene-3.22&CDS=1-1251	YBR160W
OG0000340	snap_masked-LGST01000031.1-processed-gene-4.69-mRNA-1_1&gene=snap_masked-LGST01000031.1-processed-gene-4.69&CDS=1-2235	YDL109C, YGL144C
OG0000341	snap_masked-LGST01000031.1-processed-gene-4.92-mRNA-1_1&gene=snap_masked-LGST01000031.1-processed-gene-4.92&CDS=1-606	YDR259C, YOR028C
OG0000342	snap_masked-LGST01000032.1-processed-gene-0.4-mRNA-1_1&gene=snap_masked-LGST01000032.1-processed-gene-0.4&CDS=1-996	YDR151C, YLR136C
OG0000343	snap_masked-LGST01000033.1-processed-gene-0.104-mRNA-1_1&gene=snap_masked-LGST01000033.1-processed-gene-0.104&CDS=1-1557	YBR214W, YGL056C
OG0000344	maker-LGST01000040.1-snap-gene-1.129-mRNA-1_1&gene=maker-LGST01000040.1-snap-gene-1.129&CDS=1-4173, snap_masked-LGST01000033.1-processed-gene-0.80-mRNA-1_1&gene=snap_masked-LGST01000033.1-processed-gene-0.80&CDS=1-2133	YGL205W
OG0000345	snap_masked-LGST01000033.1-processed-gene-0.117-mRNA-1_1&gene=snap_masked-LGST01000033.1-processed-gene-0.117&CDS=1-339	YDL075W, YLR406C
OG0000346	snap_masked-LGST01000033.1-processed-gene-0.143-mRNA-1_1&gene=snap_masked-LGST01000033.1-processed-gene-0.143&CDS=1-435	YGR118W, YPR132W
OG0000347	snap_masked-LGST01000034.1-processed-gene-0.142-mRNA-1_1&gene=snap_masked-LGST01000034.1-processed-gene-0.142&CDS=1-1233	YDR312W, YHR066W
OG0000348	snap_masked-LGST01000034.1-processed-gene-0.100-mRNA-1_1&gene=snap_masked-LGST01000034.1-processed-gene-0.100&CDS=1-246	YHR021C, YKL156W
OG0000349	snap_masked-LGST01000034.1-processed-gene-0.110-mRNA-1_1&gene=snap_masked-LGST01000034.1-processed-gene-0.110&CDS=1-1215	YHL003C, YKL008C
OG0000350	augustus_masked-LGST01000034.1-processed-gene-0.217-mRNA-1_1&gene=augustus_masked-LGST01000034.1-processed-gene-0.217&CDS=1-2646	YIL156W, YKR098C
OG0000351	genemark-LGST01000035.1-processed-gene-0.65-mRNA-1_1&gene=genemark-LGST01000035.1-processed-gene-0.65&CDS=1-591	YBL072C, YER102W
OG0000352	maker-LGST01000035.1-augustus-gene-0.4-mRNA-1_1&gene=maker-LGST01000035.1-augustus-gene-0.4&CDS=1-3000	YBR049C, YDR026C
OG0000353	augustus_masked-LGST01000036.1-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-LGST01000036.1-processed-gene-0.20&CDS=1-2157, augustus_masked-LGST01000037.1-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-LGST01000037.1-processed-gene-0.15&CDS=1-4416	YMR165C
OG0000354	maker-LGST01000037.1-augustus-gene-0.131-mRNA-1_1&gene=maker-LGST01000037.1-augustus-gene-0.131&CDS=1-2586, maker-LGST01000060.1-augustus-gene-0.8-mRNA-1_1&gene=maker-LGST01000060.1-augustus-gene-0.8&CDS=1-2487	YOR057W
OG0000355	snap_masked-LGST01000037.1-processed-gene-0.58-mRNA-1_1&gene=snap_masked-LGST01000037.1-processed-gene-0.58&CDS=1-2601	YKL121W, YMR102C
OG0000356	snap_masked-LGST01000037.1-processed-gene-1.53-mRNA-1_1&gene=snap_masked-LGST01000037.1-processed-gene-1.53&CDS=1-369	YMR230W, YOR293W
OG0000357	maker-LGST01000037.1-augustus-gene-1.216-mRNA-1_1&gene=maker-LGST01000037.1-augustus-gene-1.216&CDS=1-2559	YJL139C, YKR061W
OG0000358	snap_masked-LGST01000037.1-processed-gene-1.62-mRNA-1_1&gene=snap_masked-LGST01000037.1-processed-gene-1.62&CDS=1-555	YJL177W, YKL180W
OG0000359	augustus_masked-LGST01000038.1-processed-gene-0.83-mRNA-1_1&gene=augustus_masked-LGST01000038.1-processed-gene-0.83&CDS=1-3795, snap_masked-LGST01000047.1-processed-gene-0.51-mRNA-1_1&gene=snap_masked-LGST01000047.1-processed-gene-0.51&CDS=1-2097	YLL029W
OG0000360	maker-LGST01000052.1-augustus-gene-0.3-mRNA-1_1&gene=maker-LGST01000052.1-augustus-gene-0.3&CDS=1-2622, snap_masked-LGST01000039.1-processed-gene-0.8-mRNA-1_1&gene=snap_masked-LGST01000039.1-processed-gene-0.8&CDS=1-1986	YOR021C
OG0000361	snap_masked-LGST01000040.1-processed-gene-0.67-mRNA-1_1&gene=snap_masked-LGST01000040.1-processed-gene-0.67&CDS=1-4167	YCL068C, YCR038C
OG0000362	snap_masked-LGST01000040.1-processed-gene-0.74-mRNA-1_1&gene=snap_masked-LGST01000040.1-processed-gene-0.74&CDS=1-594	YIR013C, YLR013W
OG0000363	snap_masked-LGST01000040.1-processed-gene-1.76-mRNA-1_1&gene=snap_masked-LGST01000040.1-processed-gene-1.76&CDS=1-3675	YML109W, YMR273C
OG0000364	snap_masked-LGST01000040.1-processed-gene-1.78-mRNA-1_1&gene=snap_masked-LGST01000040.1-processed-gene-1.78&CDS=1-657	YML106W, YMR271C
OG0000365	snap_masked-LGST01000040.1-processed-gene-1.92-mRNA-1_1&gene=snap_masked-LGST01000040.1-processed-gene-1.92&CDS=1-2229	YER066W, YFL009W
OG0000366	genemark-LGST01000040.1-processed-gene-2.13-mRNA-1_1&gene=genemark-LGST01000040.1-processed-gene-2.13&CDS=1-2559	YBR033W, YKL038W
OG0000367	maker-LGST01000040.1-augustus-gene-2.126-mRNA-1_1&gene=maker-LGST01000040.1-augustus-gene-2.126&CDS=1-2487	YDR107C, YLR083C
OG0000368	snap_masked-LGST01000040.1-processed-gene-2.60-mRNA-1_1&gene=snap_masked-LGST01000040.1-processed-gene-2.60&CDS=1-2658	YBR172C, YPL105C
OG0000369	snap_masked-LGST01000040.1-processed-gene-3.42-mRNA-1_1&gene=snap_masked-LGST01000040.1-processed-gene-3.42&CDS=1-612	YLR029C, YMR121C
OG0000370	snap_masked-LGST01000040.1-processed-gene-4.111-mRNA-1_1&gene=snap_masked-LGST01000040.1-processed-gene-4.111&CDS=1-786	YDR066C, YER139C
OG0000371	snap_masked-LGST01000040.1-processed-gene-4.143-mRNA-1_1&gene=snap_masked-LGST01000040.1-processed-gene-4.143&CDS=1-3159	YML100W, YMR261C
OG0000372	snap_masked-LGST01000040.1-processed-gene-4.121-mRNA-1_1&gene=snap_masked-LGST01000040.1-processed-gene-4.121&CDS=1-357	YFL034C-A, YLR061W
OG0000373	maker-LGST01000041.1-snap-gene-0.0-mRNA-1_1&gene=maker-LGST01000041.1-snap-gene-0.0&CDS=1-753	YIR035C, YIR036C
OG0000374	maker-LGST01000041.1-snap-gene-1.144-mRNA-1_1&gene=maker-LGST01000041.1-snap-gene-1.144&CDS=1-1521	YDL049C, YJL174W
OG0000375	augustus_masked-LGST01000041.1-processed-gene-1.110-mRNA-1_1&gene=augustus_masked-LGST01000041.1-processed-gene-1.110&CDS=1-516	YGR085C, YPR102C
OG0000376	snap_masked-LGST01000041.1-processed-gene-1.22-mRNA-1_1&gene=snap_masked-LGST01000041.1-processed-gene-1.22&CDS=1-543	YDL137W, YDL192W
OG0000377	augustus_masked-LGST01000041.1-processed-gene-1.118-mRNA-1_1&gene=augustus_masked-LGST01000041.1-processed-gene-1.118&CDS=1-360	YDL136W, YDL191W
OG0000378	snap_masked-LGST01000041.1-processed-gene-2.0-mRNA-1_1&gene=snap_masked-LGST01000041.1-processed-gene-2.0&CDS=1-1491, snap_masked-LGST01000041.1-processed-gene-2.1-mRNA-1_1&gene=snap_masked-LGST01000041.1-processed-gene-2.1&CDS=1-1626	YGR276C
OG0000379	snap_masked-LGST01000041.1-processed-gene-2.18-mRNA-1_1&gene=snap_masked-LGST01000041.1-processed-gene-2.18&CDS=1-933	YDL204W, YDR233C
OG0000380	snap_masked-LGST01000041.1-processed-gene-2.22-mRNA-1_1&gene=snap_masked-LGST01000041.1-processed-gene-2.22&CDS=1-765	YDR099W, YER177W
OG0000381	augustus_masked-LGST01000041.1-processed-gene-3.2-mRNA-1_1&gene=augustus_masked-LGST01000041.1-processed-gene-3.2&CDS=1-1257	YDR451C, YML027W
OG0000382	augustus_masked-LGST01000041.1-processed-gene-3.27-mRNA-1_1&gene=augustus_masked-LGST01000041.1-processed-gene-3.27&CDS=1-2628, snap_masked-LGST01000057.1-processed-gene-0.101-mRNA-1_1&gene=snap_masked-LGST01000057.1-processed-gene-0.101&CDS=1-2682	YDL056W
OG0000383	genemark-LGST01000041.1-processed-gene-3.92-mRNA-1_1&gene=genemark-LGST01000041.1-processed-gene-3.92&CDS=1-7443, snap_masked-LGST01000066.1-processed-gene-1.8-mRNA-1_1&gene=snap_masked-LGST01000066.1-processed-gene-1.8&CDS=1-4620	YER166W
OG0000384	snap_masked-LGST01000041.1-processed-gene-4.99-mRNA-1_1&gene=snap_masked-LGST01000041.1-processed-gene-4.99&CDS=1-573	YGL147C, YNL067W
OG0000385	snap_masked-LGST01000041.1-processed-gene-4.137-mRNA-1_1&gene=snap_masked-LGST01000041.1-processed-gene-4.137&CDS=1-954	YBR105C, YGR066C
OG0000386	snap_masked-LGST01000041.1-processed-gene-4.122-mRNA-1_1&gene=snap_masked-LGST01000041.1-processed-gene-4.122&CDS=1-882	YMR183C, YPL232W
OG0000387	snap_masked-LGST01000041.1-processed-gene-5.88-mRNA-1_1&gene=snap_masked-LGST01000041.1-processed-gene-5.88&CDS=1-540	YER063W, YMR003W
OG0000388	snap_masked-LGST01000041.1-processed-gene-6.31-mRNA-1_1&gene=snap_masked-LGST01000041.1-processed-gene-6.31&CDS=1-1668	YKL127W, YMR105C
OG0000389	snap_masked-LGST01000041.1-processed-gene-7.26-mRNA-1_1&gene=snap_masked-LGST01000041.1-processed-gene-7.26&CDS=1-1509	YKL133C, YMR115W
OG0000390	snap_masked-LGST01000041.1-processed-gene-7.33-mRNA-1_1&gene=snap_masked-LGST01000041.1-processed-gene-7.33&CDS=1-615	YBR197C, YPL077C
OG0000391	snap_masked-LGST01000041.1-processed-gene-7.78-mRNA-1_1&gene=snap_masked-LGST01000041.1-processed-gene-7.78&CDS=1-969	YCL036W, YDR514C
OG0000392	snap_masked-LGST01000043.1-processed-gene-1.27-mRNA-1_1&gene=snap_masked-LGST01000043.1-processed-gene-1.27&CDS=1-1125	YCL050C, YDR530C
OG0000393	snap_masked-LGST01000043.1-processed-gene-1.20-mRNA-1_1&gene=snap_masked-LGST01000043.1-processed-gene-1.20&CDS=1-1287	YHR001W, YKR003W
OG0000394	snap_masked-LGST01000043.1-processed-gene-2.7-mRNA-1_1&gene=snap_masked-LGST01000043.1-processed-gene-2.7&CDS=1-1374, snap_masked-LGST01000066.1-processed-gene-1.15-mRNA-1_1&gene=snap_masked-LGST01000066.1-processed-gene-1.15&CDS=1-1359	YAL040C
OG0000395	snap_masked-LGST01000043.1-processed-gene-2.25-mRNA-1_1&gene=snap_masked-LGST01000043.1-processed-gene-2.25&CDS=1-2724, snap_masked-LGST01000045.1-processed-gene-0.60-mRNA-1_1&gene=snap_masked-LGST01000045.1-processed-gene-0.60&CDS=1-2400	YIR007W
OG0000396	snap_masked-LGST01000046.1-processed-gene-0.38-mRNA-1_1&gene=snap_masked-LGST01000046.1-processed-gene-0.38&CDS=1-507	YGR131W, YPR149W
OG0000397	maker-LGST01000046.1-snap-gene-0.55-mRNA-1_1&gene=maker-LGST01000046.1-snap-gene-0.55&CDS=1-4017	YGR143W, YPR159W
OG0000398	snap_masked-LGST01000047.1-processed-gene-0.8-mRNA-1_1&gene=snap_masked-LGST01000047.1-processed-gene-0.8&CDS=1-3048	YFL048C, YLR080W
OG0000399	genemark-LGST01000047.1-processed-gene-0.95-mRNA-1_1&gene=genemark-LGST01000047.1-processed-gene-0.95&CDS=1-609	YGL096W, YPL177C
OG0000400	snap_masked-LGST01000047.1-processed-gene-0.25-mRNA-1_1&gene=snap_masked-LGST01000047.1-processed-gene-0.25&CDS=1-2466	YFL004W, YPL019C
OG0000401	snap_masked-LGST01000047.1-processed-gene-0.30-mRNA-1_1&gene=snap_masked-LGST01000047.1-processed-gene-0.30&CDS=1-600, snap_masked-LGST01000057.1-processed-gene-1.224-mRNA-1_1&gene=snap_masked-LGST01000057.1-processed-gene-1.224&CDS=1-600	YDR032C
OG0000402	genemark-LGST01000048.1-processed-gene-0.69-mRNA-1_1&gene=genemark-LGST01000048.1-processed-gene-0.69&CDS=1-765	YBR066C, YDR043C
OG0000403	snap_masked-LGST01000048.1-processed-gene-0.49-mRNA-1_1&gene=snap_masked-LGST01000048.1-processed-gene-0.49&CDS=1-2544	YDR069C, YER144C
OG0000404	augustus_masked-LGST01000048.1-processed-gene-0.177-mRNA-1_1&gene=augustus_masked-LGST01000048.1-processed-gene-0.177&CDS=1-2796	YKL132C, YMR113W
OG0000405	maker-LGST01000048.1-snap-gene-0.134-mRNA-1_1&gene=maker-LGST01000048.1-snap-gene-0.134&CDS=1-690	YLR287C-A, YOR182C
OG0000406	snap_masked-LGST01000050.1-processed-gene-0.85-mRNA-1_1&gene=snap_masked-LGST01000050.1-processed-gene-0.85&CDS=1-1077	YPR013C, YPR015C
OG0000407	snap_masked-LGST01000050.1-processed-gene-0.61-mRNA-1_1&gene=snap_masked-LGST01000050.1-processed-gene-0.61&CDS=1-864	YJL158C, YJL160C
OG0000408	snap_masked-LGST01000050.1-processed-gene-0.91-mRNA-1_1&gene=snap_masked-LGST01000050.1-processed-gene-0.91&CDS=1-1758	YGR138C, YPR156C
OG0000409	augustus_masked-LGST01000050.1-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-LGST01000050.1-processed-gene-0.33&CDS=1-4614	YBR210W, YGL054C
OG0000410	snap_masked-LGST01000050.1-processed-gene-0.114-mRNA-1_1&gene=snap_masked-LGST01000050.1-processed-gene-0.114&CDS=1-675	YFL061W, YNL335W
OG0000411	augustus_masked-LGST01000050.1-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-LGST01000050.1-processed-gene-0.44&CDS=1-1884	YNL108C, YOR110W
OG0000412	snap_masked-LGST01000050.1-processed-gene-0.82-mRNA-1_1&gene=snap_masked-LGST01000050.1-processed-gene-0.82&CDS=1-252	YPR169W-A, YPR170W-B
OG0000413	augustus_masked-LGST01000050.1-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-LGST01000050.1-processed-gene-0.52&CDS=1-9798	YAR042W, YDL019C
OG0000414	maker-LGST01000051.1-snap-gene-0.103-mRNA-1_1&gene=maker-LGST01000051.1-snap-gene-0.103&CDS=1-852	YER045C, YIL036W
OG0000415	snap_masked-LGST01000051.1-processed-gene-0.58-mRNA-1_1&gene=snap_masked-LGST01000051.1-processed-gene-0.58&CDS=1-3150	YGR238C, YHR158C
OG0000416	augustus_masked-LGST01000051.1-processed-gene-0.112-mRNA-1_1&gene=augustus_masked-LGST01000051.1-processed-gene-0.112&CDS=1-1770	YNL104C, YOR108W
OG0000417	snap_masked-LGST01000052.1-processed-gene-0.128-mRNA-1_1&gene=snap_masked-LGST01000052.1-processed-gene-0.128&CDS=1-2559	YDR385W, YOR133W
OG0000418	snap_masked-LGST01000052.1-processed-gene-0.159-mRNA-1_1&gene=snap_masked-LGST01000052.1-processed-gene-0.159&CDS=1-879	YGL071W, YPL202C
OG0000419	snap_masked-LGST01000054.1-processed-gene-0.5-mRNA-1_1&gene=snap_masked-LGST01000054.1-processed-gene-0.5&CDS=1-1287	YDR247W, YPL026C
OG0000420	snap_masked-LGST01000055.1-processed-gene-0.98-mRNA-1_1&gene=snap_masked-LGST01000055.1-processed-gene-0.98&CDS=1-1482	YGR121C, YPR138C
OG0000421	snap_masked-LGST01000055.1-processed-gene-0.121-mRNA-1_1&gene=snap_masked-LGST01000055.1-processed-gene-0.121&CDS=1-1086	YDL246C, YJR159W
OG0000422	snap_masked-LGST01000055.1-processed-gene-0.105-mRNA-1_1&gene=snap_masked-LGST01000055.1-processed-gene-0.105&CDS=1-2277	YGL139W, YPL221W
OG0000423	snap_masked-LGST01000056.1-processed-gene-0.75-mRNA-1_1&gene=snap_masked-LGST01000056.1-processed-gene-0.75&CDS=1-3840	YDR122W, YLR096W
OG0000424	snap_masked-LGST01000056.1-processed-gene-0.58-mRNA-1_1&gene=snap_masked-LGST01000056.1-processed-gene-0.58&CDS=1-2220	YGR056W, YLR357W
OG0000425	snap_masked-LGST01000056.1-processed-gene-0.89-mRNA-1_1&gene=snap_masked-LGST01000056.1-processed-gene-0.89&CDS=1-1398	YMR172W, YOL116W
OG0000426	snap_masked-LGST01000056.1-processed-gene-0.73-mRNA-1_1&gene=snap_masked-LGST01000056.1-processed-gene-0.73&CDS=1-480	YBR191W, YPL079W
OG0000427	genemark-LGST01000057.1-processed-gene-0.53-mRNA-1_1&gene=genemark-LGST01000057.1-processed-gene-0.53&CDS=1-1746	YDL224C, YNL197C
OG0000428	snap_masked-LGST01000057.1-processed-gene-1.194-mRNA-1_1&gene=snap_masked-LGST01000057.1-processed-gene-1.194&CDS=1-2001	YBR216C, YGL060W
OG0000429	snap_masked-LGST01000057.1-processed-gene-1.209-mRNA-1_1&gene=snap_masked-LGST01000057.1-processed-gene-1.209&CDS=1-2733	YJL084C, YKR021W
