	Metschnikowia_arizonensis	Saccharomyces_cerevisiae
OG0000550	augustus_masked-ari-_s9-processed-gene-2.66-mRNA-1_1&gene=augustus_masked-ari-_s9-processed-gene-2.66&CDS=1-3072	YBR241C, YGL104C
OG0000551	augustus_masked-ari-_s9-processed-gene-2.85-mRNA-1_1&gene=augustus_masked-ari-_s9-processed-gene-2.85&CDS=1-447	YIL111W, YNL052W
OG0000552	augustus_masked-ari-_s9-processed-gene-3.0-mRNA-1_1&gene=augustus_masked-ari-_s9-processed-gene-3.0&CDS=1-1401	YER081W, YIL074C
OG0000553	augustus_masked-ari-_s9-processed-gene-3.2-mRNA-1_1&gene=augustus_masked-ari-_s9-processed-gene-3.2&CDS=1-1425	YLR260W, YOR171C
OG0000554	augustus_masked-ari-_s9-processed-gene-3.3-mRNA-1_1&gene=augustus_masked-ari-_s9-processed-gene-3.3&CDS=1-2985	YBL101C, YPR030W
OG0000555	augustus_masked-ari-_s9-processed-gene-3.9-mRNA-1_1&gene=augustus_masked-ari-_s9-processed-gene-3.9&CDS=1-1182	YDL088C, YMR153W
OG0000556	augustus_masked-ari-_s9-processed-gene-4.119-mRNA-1_1&gene=augustus_masked-ari-_s9-processed-gene-4.119&CDS=1-1767	YJR130C, YML082W
OG0000557	augustus_masked-ari-_s9-processed-gene-4.120-mRNA-1_1&gene=augustus_masked-ari-_s9-processed-gene-4.120&CDS=1-3078	YLR450W, YML075C
OG0000558	augustus_masked-ari-_s9-processed-gene-5.147-mRNA-1_1&gene=augustus_masked-ari-_s9-processed-gene-5.147&CDS=1-369	YMR230W, YOR293W
OG0000559	augustus_masked-ari-_s9-processed-gene-5.120-mRNA-1_1&gene=augustus_masked-ari-_s9-processed-gene-5.120&CDS=1-1170	YMR243C, YOR316C
OG0000560	genemark-ari-_s94-processed-gene-0.11-mRNA-1_1&gene=genemark-ari-_s94-processed-gene-0.11&CDS=1-1140	YBR066C, YDR043C
OG0000561	augustus_masked-ari-_s95-processed-gene-0.64-mRNA-1_1&gene=augustus_masked-ari-_s95-processed-gene-0.64&CDS=1-2001	YBR216C, YGL060W
OG0000562	snap_masked-ari-_s95-processed-gene-1.177-mRNA-1_1&gene=snap_masked-ari-_s95-processed-gene-1.177&CDS=1-1014	YBR273C, YJL048C
OG0000563	augustus_masked-ari-_s95-processed-gene-1.22-mRNA-1_1&gene=augustus_masked-ari-_s95-processed-gene-1.22&CDS=1-591	YBL072C, YER102W
OG0000564	augustus_masked-ari-_s96-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-ari-_s96-processed-gene-0.7&CDS=1-1659	YKL127W, YMR105C
OG0000565	augustus_masked-ari-_s97-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-ari-_s97-processed-gene-0.39&CDS=1-2550	YDR351W, YHR103W
OG0000566	augustus_masked-ari-_s99-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-ari-_s99-processed-gene-0.21&CDS=1-357	YER131W, YGL189C
OG0000567	augustus_masked-ari-_C32273-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-ari-_C32273-processed-gene-0.1&CDS=1-711	YEL001C
OG0000568	augustus_masked-ari-_C33023-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-ari-_C33023-processed-gene-0.2&CDS=1-1125	YPL146C
OG0000569	augustus_masked-ari-_C34547-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-ari-_C34547-processed-gene-0.0&CDS=1-426	YOL127W
OG0000570	augustus_masked-ari-_C34629-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-ari-_C34629-processed-gene-0.2&CDS=1-891	YIL134W
OG0000571	augustus_masked-ari-_C34629-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-ari-_C34629-processed-gene-0.3&CDS=1-1116	YNL072W
OG0000572	augustus_masked-ari-_C34861-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-ari-_C34861-processed-gene-0.2&CDS=1-2982	YLR039C
OG0000573	augustus_masked-ari-_C34863-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-ari-_C34863-processed-gene-0.1&CDS=1-660	YDR410C
OG0000574	augustus_masked-ari-_C35247-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-ari-_C35247-processed-gene-0.4&CDS=1-2928	YBR281C
OG0000575	augustus_masked-ari-_C35487-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-ari-_C35487-processed-gene-0.2&CDS=1-2007	YJL090C
OG0000576	augustus_masked-ari-_C35557-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-ari-_C35557-processed-gene-0.9&CDS=1-1215	YKL181W
OG0000577	augustus_masked-ari-_C35557-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-ari-_C35557-processed-gene-0.10&CDS=1-3357	YLR410W
OG0000578	augustus_masked-ari-_s1-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-ari-_s1-processed-gene-0.45&CDS=1-852	YHR187W
OG0000579	augustus_masked-ari-_s1-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-ari-_s1-processed-gene-0.32&CDS=1-3045	YMR288W
OG0000580	snap_masked-ari-_s1-processed-gene-0.69-mRNA-1_1&gene=snap_masked-ari-_s1-processed-gene-0.69&CDS=1-2313	YGR261C
OG0000581	augustus_masked-ari-_s1-processed-gene-0.47-mRNA-1_1&gene=augustus_masked-ari-_s1-processed-gene-0.47&CDS=1-1092	YPL123C
OG0000582	augustus_masked-ari-_s1-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-ari-_s1-processed-gene-0.48&CDS=1-1341	YER043C
OG0000583	augustus_masked-ari-_s1-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-ari-_s1-processed-gene-0.52&CDS=1-1455	YFR044C
OG0000584	augustus_masked-ari-_s1-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-ari-_s1-processed-gene-0.53&CDS=1-879	YOR288C
OG0000585	augustus_masked-ari-_s1-processed-gene-0.55-mRNA-1_1&gene=augustus_masked-ari-_s1-processed-gene-0.55&CDS=1-1026	YJR100C
OG0000586	augustus_masked-ari-_s1-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-ari-_s1-processed-gene-0.56&CDS=1-933	YJR095W
OG0000587	genemark-ari-_s1-processed-gene-0.25-mRNA-1_1&gene=genemark-ari-_s1-processed-gene-0.25&CDS=1-1386	YNL237W
OG0000588	augustus_masked-ari-_s1-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-ari-_s1-processed-gene-0.38&CDS=1-2436	YNL238W
OG0000589	augustus_masked-ari-_s1-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-ari-_s1-processed-gene-0.39&CDS=1-1506	YNL241C
OG0000590	augustus_masked-ari-_s1-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-ari-_s1-processed-gene-0.41&CDS=1-2790	YNL049C
OG0000591	augustus_masked-ari-_s1-processed-gene-0.59-mRNA-1_1&gene=augustus_masked-ari-_s1-processed-gene-0.59&CDS=1-1164	YNL051W
OG0000592	snap_masked-ari-_s1-processed-gene-0.98-mRNA-1_1&gene=snap_masked-ari-_s1-processed-gene-0.98&CDS=1-540	YNL050C
OG0000593	augustus_masked-ari-_s101-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-ari-_s101-processed-gene-0.4&CDS=1-2385	YPL153C
OG0000594	augustus_masked-ari-_s102-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-ari-_s102-processed-gene-0.2&CDS=1-822	YKL183W
OG0000595	augustus_masked-ari-_s102-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-ari-_s102-processed-gene-0.4&CDS=1-2151	YNR006W
OG0000596	augustus_masked-ari-_s102-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-ari-_s102-processed-gene-0.5&CDS=1-717	YMR200W
OG0000597	augustus_masked-ari-_s102-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-ari-_s102-processed-gene-0.7&CDS=1-648	YMR202W
OG0000598	augustus_masked-ari-_s105-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-ari-_s105-processed-gene-0.23&CDS=1-1623	YDR168W
OG0000599	augustus_masked-ari-_s105-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-ari-_s105-processed-gene-0.28&CDS=1-2421	YPL190C
OG0000600	augustus_masked-ari-_s105-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-ari-_s105-processed-gene-0.24&CDS=1-1035	YMR315W
OG0000601	augustus_masked-ari-_s105-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-ari-_s105-processed-gene-0.29&CDS=1-1278	YDR498C
OG0000602	augustus_masked-ari-_s105-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-ari-_s105-processed-gene-0.30&CDS=1-819	YIL106W
OG0000603	maker-ari-_s106-snap-gene-0.38-mRNA-1_1&gene=maker-ari-_s106-snap-gene-0.38&CDS=1-4035	YHR132C
OG0000604	augustus_masked-ari-_s106-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-ari-_s106-processed-gene-0.41&CDS=1-1635	YNL189W
OG0000605	augustus_masked-ari-_s106-processed-gene-0.43-mRNA-1_1&gene=augustus_masked-ari-_s106-processed-gene-0.43&CDS=1-2130	YLR144C
OG0000606	augustus_masked-ari-_s106-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-ari-_s106-processed-gene-0.44&CDS=1-1308	YCR028C
OG0000607	augustus_masked-ari-_s106-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-ari-_s106-processed-gene-0.45&CDS=1-1344	YGL164C
OG0000608	snap_masked-ari-_s106-processed-gene-0.22-mRNA-1_1&gene=snap_masked-ari-_s106-processed-gene-0.22&CDS=1-192	YAL044W-A
OG0000609	augustus_masked-ari-_s106-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-ari-_s106-processed-gene-0.48&CDS=1-2097	YPL072W
OG0000610	genemark-ari-_s106-processed-gene-0.94-mRNA-1_1&gene=genemark-ari-_s106-processed-gene-0.94&CDS=1-588	YER183C
OG0000611	augustus_masked-ari-_s106-processed-gene-0.63-mRNA-1_1&gene=augustus_masked-ari-_s106-processed-gene-0.63&CDS=1-1425	YHR207C
OG0000612	snap_masked-ari-_s106-processed-gene-0.29-mRNA-1_1&gene=snap_masked-ari-_s106-processed-gene-0.29&CDS=1-732	YER182W
OG0000613	augustus_masked-ari-_s106-processed-gene-0.64-mRNA-1_1&gene=augustus_masked-ari-_s106-processed-gene-0.64&CDS=1-1119	YDR005C
OG0000614	augustus_masked-ari-_s106-processed-gene-0.66-mRNA-1_1&gene=augustus_masked-ari-_s106-processed-gene-0.66&CDS=1-852	YBR011C
OG0000615	augustus_masked-ari-_s106-processed-gene-0.68-mRNA-1_1&gene=augustus_masked-ari-_s106-processed-gene-0.68&CDS=1-1458	YCR098C
OG0000616	augustus_masked-ari-_s107-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-ari-_s107-processed-gene-0.2&CDS=1-1767	YAR018C
OG0000617	augustus_masked-ari-_s107-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-ari-_s107-processed-gene-0.17&CDS=1-915	YAR015W
OG0000618	augustus_masked-ari-_s107-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-ari-_s107-processed-gene-0.3&CDS=1-597	YKL001C
OG0000619	augustus_masked-ari-_s107-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-ari-_s107-processed-gene-0.21&CDS=1-1974	YDR026C
OG0000620	maker-ari-_s107-augustus-gene-0.93-mRNA-1_1&gene=maker-ari-_s107-augustus-gene-0.93&CDS=1-738	YLR038C
OG0000621	augustus_masked-ari-_s107-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-ari-_s107-processed-gene-0.22&CDS=1-699	YMR132C
OG0000622	augustus_masked-ari-_s107-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-ari-_s107-processed-gene-0.7&CDS=1-6696	YCR093W
OG0000623	augustus_masked-ari-_s107-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-ari-_s107-processed-gene-0.8&CDS=1-660	YDR177W
OG0000624	augustus_masked-ari-_s107-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-ari-_s107-processed-gene-0.9&CDS=1-1230	YNR051C
OG0000625	augustus_masked-ari-_s107-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-ari-_s107-processed-gene-0.10&CDS=1-519	YBL090W
OG0000626	augustus_masked-ari-_s107-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-ari-_s107-processed-gene-0.23&CDS=1-2583	YIL143C
OG0000627	augustus_masked-ari-_s107-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-ari-_s107-processed-gene-0.24&CDS=1-1029	YKR092C
OG0000628	augustus_masked-ari-_s107-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-ari-_s107-processed-gene-0.25&CDS=1-1122	YOR084W
OG0000629	augustus_masked-ari-_s107-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-ari-_s107-processed-gene-0.12&CDS=1-927	YIL145C
OG0000630	maker-ari-_s107-augustus-gene-0.94-mRNA-1_1&gene=maker-ari-_s107-augustus-gene-0.94&CDS=1-2247	YGR119C
OG0000631	augustus_masked-ari-_s107-processed-gene-1.2-mRNA-1_1&gene=augustus_masked-ari-_s107-processed-gene-1.2&CDS=1-1230	YPR065W
OG0000632	augustus_masked-ari-_s107-processed-gene-1.4-mRNA-1_1&gene=augustus_masked-ari-_s107-processed-gene-1.4&CDS=1-1095	YKR071C
OG0000633	augustus_masked-ari-_s107-processed-gene-1.3-mRNA-1_1&gene=augustus_masked-ari-_s107-processed-gene-1.3&CDS=1-1914	YIL144W
OG0000634	augustus_masked-ari-_s107-processed-gene-1.29-mRNA-1_1&gene=augustus_masked-ari-_s107-processed-gene-1.29&CDS=1-552	YKR085C
OG0000635	augustus_masked-ari-_s107-processed-gene-1.6-mRNA-1_1&gene=augustus_masked-ari-_s107-processed-gene-1.6&CDS=1-645	YNL151C
OG0000636	augustus_masked-ari-_s107-processed-gene-1.31-mRNA-1_1&gene=augustus_masked-ari-_s107-processed-gene-1.31&CDS=1-1524	YPR137W
OG0000637	augustus_masked-ari-_s107-processed-gene-1.32-mRNA-1_1&gene=augustus_masked-ari-_s107-processed-gene-1.32&CDS=1-393	YNL149C
OG0000638	augustus_masked-ari-_s107-processed-gene-1.33-mRNA-1_1&gene=augustus_masked-ari-_s107-processed-gene-1.33&CDS=1-717	YNL148C
OG0000639	snap_masked-ari-_s107-processed-gene-1.127-mRNA-1_1&gene=snap_masked-ari-_s107-processed-gene-1.127&CDS=1-414	YNL147W
OG0000640	augustus_masked-ari-_s107-processed-gene-1.8-mRNA-1_1&gene=augustus_masked-ari-_s107-processed-gene-1.8&CDS=1-648	YHR128W
OG0000641	augustus_masked-ari-_s107-processed-gene-1.35-mRNA-1_1&gene=augustus_masked-ari-_s107-processed-gene-1.35&CDS=1-468	YPR187W
OG0000642	augustus_masked-ari-_s107-processed-gene-1.36-mRNA-1_1&gene=augustus_masked-ari-_s107-processed-gene-1.36&CDS=1-1119	YPR191W
OG0000643	augustus_masked-ari-_s107-processed-gene-1.37-mRNA-1_1&gene=augustus_masked-ari-_s107-processed-gene-1.37&CDS=1-1278	YLR459W
OG0000644	augustus_masked-ari-_s107-processed-gene-1.10-mRNA-1_1&gene=augustus_masked-ari-_s107-processed-gene-1.10&CDS=1-435	YPR182W
OG0000645	augustus_masked-ari-_s107-processed-gene-1.39-mRNA-1_1&gene=augustus_masked-ari-_s107-processed-gene-1.39&CDS=1-669	YJR123W
OG0000646	augustus_masked-ari-_s107-processed-gene-1.14-mRNA-1_1&gene=augustus_masked-ari-_s107-processed-gene-1.14&CDS=1-2733	YPR162C
OG0000647	augustus_masked-ari-_s107-processed-gene-1.15-mRNA-1_1&gene=augustus_masked-ari-_s107-processed-gene-1.15&CDS=1-1989	YLR452C
OG0000648	augustus_masked-ari-_s107-processed-gene-1.41-mRNA-1_1&gene=augustus_masked-ari-_s107-processed-gene-1.41&CDS=1-1581	YER025W
OG0000649	augustus_masked-ari-_s107-processed-gene-1.43-mRNA-1_1&gene=augustus_masked-ari-_s107-processed-gene-1.43&CDS=1-2262	YKL213C
OG0000650	augustus_masked-ari-_s107-processed-gene-1.44-mRNA-1_1&gene=augustus_masked-ari-_s107-processed-gene-1.44&CDS=1-1356	YJR122W
OG0000651	snap_masked-ari-_s107-processed-gene-1.176-mRNA-1_1&gene=snap_masked-ari-_s107-processed-gene-1.176&CDS=1-1311	YJR124C
OG0000652	maker-ari-_s107-snap-gene-1.192-mRNA-1_1&gene=maker-ari-_s107-snap-gene-1.192&CDS=1-2313	YLR451W
OG0000653	maker-ari-_s107-snap-gene-1.193-mRNA-1_1&gene=maker-ari-_s107-snap-gene-1.193&CDS=1-222	YDR320C-A
OG0000654	snap_masked-ari-_s107-processed-gene-1.178-mRNA-1_1&gene=snap_masked-ari-_s107-processed-gene-1.178&CDS=1-177	YHR072W-A
OG0000655	augustus_masked-ari-_s107-processed-gene-1.18-mRNA-1_1&gene=augustus_masked-ari-_s107-processed-gene-1.18&CDS=1-2388	YDR320C
OG0000656	augustus_masked-ari-_s107-processed-gene-1.21-mRNA-1_1&gene=augustus_masked-ari-_s107-processed-gene-1.21&CDS=1-591	YGL200C
OG0000657	augustus_masked-ari-_s107-processed-gene-1.51-mRNA-1_1&gene=augustus_masked-ari-_s107-processed-gene-1.51&CDS=1-849	YKL154W
OG0000658	augustus_masked-ari-_s107-processed-gene-1.52-mRNA-1_1&gene=augustus_masked-ari-_s107-processed-gene-1.52&CDS=1-1131	YGL148W
OG0000659	augustus_masked-ari-_s107-processed-gene-1.56-mRNA-1_1&gene=augustus_masked-ari-_s107-processed-gene-1.56&CDS=1-2340	YKR024C
OG0000660	augustus_masked-ari-_s107-processed-gene-1.57-mRNA-1_1&gene=augustus_masked-ari-_s107-processed-gene-1.57&CDS=1-906	YKR025W
OG0000661	augustus_masked-ari-_s108-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-ari-_s108-processed-gene-0.4&CDS=1-891	YBR176W
OG0000662	augustus_masked-ari-_s108-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-ari-_s108-processed-gene-0.1&CDS=1-972	YML004C
OG0000663	augustus_masked-ari-_s11-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-ari-_s11-processed-gene-0.0&CDS=1-690	YLR412W
OG0000664	augustus_masked-ari-_s11-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-ari-_s11-processed-gene-0.7&CDS=1-2781	YBR229C
OG0000665	augustus_masked-ari-_s11-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-ari-_s11-processed-gene-0.1&CDS=1-2079	YDL074C
OG0000666	augustus_masked-ari-_s11-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-ari-_s11-processed-gene-0.3&CDS=1-981	YLR405W
OG0000667	augustus_masked-ari-_s11-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-ari-_s11-processed-gene-0.8&CDS=1-4425	YLR086W
OG0000668	snap_masked-ari-_s11-processed-gene-0.31-mRNA-1_1&gene=snap_masked-ari-_s11-processed-gene-0.31&CDS=1-303	YDR115W
OG0000669	augustus_masked-ari-_s11-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-ari-_s11-processed-gene-0.10&CDS=1-8571	YLR087C
OG0000670	augustus_masked-ari-_s11-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-ari-_s11-processed-gene-0.5&CDS=1-441	YLL050C
OG0000671	genemark-ari-_s110-processed-gene-0.1-mRNA-1_1&gene=genemark-ari-_s110-processed-gene-0.1&CDS=1-2082	YHL016C
OG0000672	augustus_masked-ari-_s110-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-ari-_s110-processed-gene-0.4&CDS=1-5523	YBR208C
OG0000673	augustus_masked-ari-_s111-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-ari-_s111-processed-gene-0.2&CDS=1-2598	YBL023C
OG0000674	augustus_masked-ari-_s111-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-ari-_s111-processed-gene-0.13&CDS=1-783	YLR285W
OG0000675	augustus_masked-ari-_s111-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-ari-_s111-processed-gene-0.7&CDS=1-4740	YKL010C
OG0000676	augustus_masked-ari-_s111-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-ari-_s111-processed-gene-0.8&CDS=1-798	YKL007W
OG0000677	snap_masked-ari-_s111-processed-gene-0.66-mRNA-1_1&gene=snap_masked-ari-_s111-processed-gene-0.66&CDS=1-297	YKL006C-A
OG0000678	augustus_masked-ari-_s111-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-ari-_s111-processed-gene-0.15&CDS=1-1371	YHL002W
OG0000679	augustus_masked-ari-_s111-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-ari-_s111-processed-gene-0.16&CDS=1-1323	YHL004W
OG0000680	augustus_masked-ari-_s111-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-ari-_s111-processed-gene-0.17&CDS=1-600	YKL117W
OG0000681	augustus_masked-ari-_s111-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-ari-_s111-processed-gene-0.18&CDS=1-2691	YNL325C
OG0000682	augustus_masked-ari-_s111-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-ari-_s111-processed-gene-0.19&CDS=1-1062	YLR321C
OG0000683	augustus_masked-ari-_s111-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-ari-_s111-processed-gene-0.20&CDS=1-966	YLR316C
OG0000684	maker-ari-_s111-augustus-gene-0.1-mRNA-1_1&gene=maker-ari-_s111-augustus-gene-0.1&CDS=1-5127	YMR308C
OG0000685	augustus_masked-ari-_s112-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-ari-_s112-processed-gene-0.10&CDS=1-2295	YGL009C
OG0000686	augustus_masked-ari-_s112-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-ari-_s112-processed-gene-0.11&CDS=1-2172	YGL159W
OG0000687	snap_masked-ari-_s112-processed-gene-0.19-mRNA-1_1&gene=snap_masked-ari-_s112-processed-gene-0.19&CDS=1-1743	YDR481C
OG0000688	augustus_masked-ari-_s113-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-ari-_s113-processed-gene-0.12&CDS=1-1665	YBL061C
OG0000689	augustus_masked-ari-_s113-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-ari-_s113-processed-gene-0.13&CDS=1-714	YER100W
OG0000690	augustus_masked-ari-_s114-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-ari-_s114-processed-gene-0.16&CDS=1-675	YJL218W
OG0000691	augustus_masked-ari-_s114-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-ari-_s114-processed-gene-0.17&CDS=1-939	YGL198W
OG0000692	snap_masked-ari-_s114-processed-gene-0.7-mRNA-1_1&gene=snap_masked-ari-_s114-processed-gene-0.7&CDS=1-1854	YMR278W
OG0000693	augustus_masked-ari-_s114-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-ari-_s114-processed-gene-0.20&CDS=1-1533	YLL036C
OG0000694	augustus_masked-ari-_s115-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-ari-_s115-processed-gene-0.17&CDS=1-732	YDR020C
OG0000695	augustus_masked-ari-_s115-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-ari-_s115-processed-gene-0.2&CDS=1-3318	YER110C
OG0000696	augustus_masked-ari-_s115-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-ari-_s115-processed-gene-0.3&CDS=1-1095	YKL178C
OG0000697	augustus_masked-ari-_s115-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-ari-_s115-processed-gene-0.18&CDS=1-1500	YBL080C
OG0000698	augustus_masked-ari-_s115-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-ari-_s115-processed-gene-0.4&CDS=1-387	YBL078C
OG0000699	augustus_masked-ari-_s115-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-ari-_s115-processed-gene-0.20&CDS=1-1065	YNL141W
OG0000700	augustus_masked-ari-_s115-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-ari-_s115-processed-gene-0.21&CDS=1-549	YDL217C
OG0000701	augustus_masked-ari-_s115-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-ari-_s115-processed-gene-0.22&CDS=1-978	YPR023C
OG0000702	augustus_masked-ari-_s115-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-ari-_s115-processed-gene-0.26&CDS=1-1230	YDR083W
OG0000703	augustus_masked-ari-_s115-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-ari-_s115-processed-gene-0.28&CDS=1-888	YER142C
OG0000704	augustus_masked-ari-_s115-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-ari-_s115-processed-gene-0.13&CDS=1-1026	YNL230C
OG0000705	augustus_masked-ari-_s115-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-ari-_s115-processed-gene-0.31&CDS=1-951	YHR062C
OG0000706	augustus_masked-ari-_s115-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-ari-_s115-processed-gene-0.14&CDS=1-792	YNL155W
OG0000707	augustus_masked-ari-_s115-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-ari-_s115-processed-gene-0.16&CDS=1-522	YMR035W
OG0000708	augustus_masked-ari-_s115-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-ari-_s115-processed-gene-0.33&CDS=1-711	YGR057C
OG0000709	augustus_masked-ari-_s116-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-ari-_s116-processed-gene-0.18&CDS=1-1989	YDR365C
OG0000710	augustus_masked-ari-_s116-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-ari-_s116-processed-gene-0.19&CDS=1-1518	YOR118W
OG0000711	augustus_masked-ari-_s116-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-ari-_s116-processed-gene-0.20&CDS=1-642	YDR367W
OG0000712	snap_masked-ari-_s116-processed-gene-0.0-mRNA-1_1&gene=snap_masked-ari-_s116-processed-gene-0.0&CDS=1-1524	YOR119C
OG0000713	augustus_masked-ari-_s116-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-ari-_s116-processed-gene-0.14&CDS=1-1431	YBL103C
OG0000714	augustus_masked-ari-_s116-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-ari-_s116-processed-gene-0.15&CDS=1-1485	YHR113W
OG0000715	maker-ari-_s116-augustus-gene-0.11-mRNA-1_1&gene=maker-ari-_s116-augustus-gene-0.11&CDS=1-1719	YHR009C
OG0000716	augustus_masked-ari-_s117-processed-gene-0.59-mRNA-1_1&gene=augustus_masked-ari-_s117-processed-gene-0.59&CDS=1-1980	YJR098C
OG0000717	augustus_masked-ari-_s117-processed-gene-0.79-mRNA-1_1&gene=augustus_masked-ari-_s117-processed-gene-0.79&CDS=1-483	YJR097W
OG0000718	augustus_masked-ari-_s117-processed-gene-0.60-mRNA-1_1&gene=augustus_masked-ari-_s117-processed-gene-0.60&CDS=1-1266	YNL248C
OG0000719	augustus_masked-ari-_s117-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-ari-_s117-processed-gene-0.61&CDS=1-762	YNL246W
OG0000720	augustus_masked-ari-_s117-processed-gene-0.62-mRNA-1_1&gene=augustus_masked-ari-_s117-processed-gene-0.62&CDS=1-1422	YGR255C
OG0000721	augustus_masked-ari-_s117-processed-gene-0.63-mRNA-1_1&gene=augustus_masked-ari-_s117-processed-gene-0.63&CDS=1-1098	YDR058C
OG0000722	augustus_masked-ari-_s117-processed-gene-0.64-mRNA-1_1&gene=augustus_masked-ari-_s117-processed-gene-0.64&CDS=1-1314	YGR159C
