	Candida_homilentoma	Saccharomyces_cerevisiae
OG0000285	-augustus-gene-10.105-mRNA-1_1&gene=maker-gi|1002316228|dbj|BCGB01000005.1|-augustus-gene-10.105&CDS=1-1029	YHR132W-A, YNL157W
OG0000286	-processed-gene-10.51-mRNA-1_1&gene=augustus_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-10.51&CDS=1-7104	YLL016W, YLR310C
OG0000287	-augustus-gene-11.82-mRNA-1_1&gene=maker-gi|1002316228|dbj|BCGB01000005.1|-augustus-gene-11.82&CDS=1-5328	YEL022W, YJR031C
OG0000288	-processed-gene-11.135-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-11.135&CDS=1-807, -processed-gene-11.136-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-11.136&CDS=1-804	YMR226C
OG0000289	-processed-gene-11.210-mRNA-1_1&gene=augustus_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-11.210&CDS=1-516	YMR242C, YOR312C
OG0000290	-processed-gene-11.142-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-11.142&CDS=1-267	YBR089C-A, YPR052C
OG0000291	-processed-gene-11.146-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-11.146&CDS=1-1656	YDR497C, YOL103W
OG0000292	-processed-gene-1.64-mRNA-1_1&gene=snap_masked-gi|1002316229|dbj|BCGB01000004.1|-processed-gene-1.64&CDS=1-1851, -snap-gene-11.84-mRNA-1_1&gene=maker-gi|1002316228|dbj|BCGB01000005.1|-snap-gene-11.84&CDS=1-3552	YMR058W
OG0000293	-processed-gene-11.114-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-11.114&CDS=1-1077	YGL162W, YPR009W
OG0000294	-processed-gene-11.116-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-11.116&CDS=1-606, -processed-gene-20.83-mRNA-1_1&gene=augustus_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-20.83&CDS=1-657	YIR001C
OG0000295	-processed-gene-11.194-mRNA-1_1&gene=augustus_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-11.194&CDS=1-1575, -processed-gene-14.26-mRNA-1_1&gene=augustus_masked-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-14.26&CDS=1-2091	YDL138W
OG0000296	-processed-gene-11.159-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-11.159&CDS=1-1107	YOR390W, YPL279C
OG0000297	-processed-gene-11.163-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-11.163&CDS=1-1137, -processed-gene-11.45-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-11.45&CDS=1-1143	YMR152W
OG0000298	-processed-gene-0.58-mRNA-1_1&gene=snap_masked-gi|1002316229|dbj|BCGB01000004.1|-processed-gene-0.58&CDS=1-687	YDR259C, YOR028C
OG0000299	-processed-gene-1.73-mRNA-1_1&gene=snap_masked-gi|1002316229|dbj|BCGB01000004.1|-processed-gene-1.73&CDS=1-2619, -processed-gene-24.132-mRNA-1_1&gene=snap_masked-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-24.132&CDS=1-2697	YER070W
OG0000300	-processed-gene-1.77-mRNA-1_1&gene=snap_masked-gi|1002316229|dbj|BCGB01000004.1|-processed-gene-1.77&CDS=1-990	YDL048C, YLR375W
OG0000301	-processed-gene-1.79-mRNA-1_1&gene=snap_masked-gi|1002316229|dbj|BCGB01000004.1|-processed-gene-1.79&CDS=1-4032	YGR070W, YLR371W
OG0000302	-processed-gene-1.66-mRNA-1_1&gene=snap_masked-gi|1002316229|dbj|BCGB01000004.1|-processed-gene-1.66&CDS=1-3213	YBL106C, YPR032W
OG0000303	-processed-gene-2.11-mRNA-1_1&gene=snap_masked-gi|1002316229|dbj|BCGB01000004.1|-processed-gene-2.11&CDS=1-2490	YBR001C, YDR001C
OG0000304	-processed-gene-2.31-mRNA-1_1&gene=snap_masked-gi|1002316229|dbj|BCGB01000004.1|-processed-gene-2.31&CDS=1-2193	YGR221C, YHR149C
OG0000305	-processed-gene-2.98-mRNA-1_1&gene=genemark-gi|1002316229|dbj|BCGB01000004.1|-processed-gene-2.98&CDS=1-705	YBR181C, YPL090C
OG0000306	-processed-gene-3.89-mRNA-1_1&gene=augustus_masked-gi|1002316229|dbj|BCGB01000004.1|-processed-gene-3.89&CDS=1-426	YBR005W, YDR003W
OG0000307	-processed-gene-3.83-mRNA-1_1&gene=augustus_masked-gi|1002316229|dbj|BCGB01000004.1|-processed-gene-3.83&CDS=1-1917	YBR238C, YGL107C
OG0000308	-processed-gene-3.31-mRNA-1_1&gene=genemark-gi|1002316229|dbj|BCGB01000004.1|-processed-gene-3.31&CDS=1-6333	YAL017W, YOL045W
OG0000309	-processed-gene-11.58-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-11.58&CDS=1-903, -processed-gene-4.90-mRNA-1_1&gene=snap_masked-gi|1002316229|dbj|BCGB01000004.1|-processed-gene-4.90&CDS=1-969	YER175C
OG0000310	-processed-gene-4.50-mRNA-1_1&gene=augustus_masked-gi|1002316229|dbj|BCGB01000004.1|-processed-gene-4.50&CDS=1-1386	YAL015C, YOL043C
OG0000311	-processed-gene-4.64-mRNA-1_1&gene=augustus_masked-gi|1002316229|dbj|BCGB01000004.1|-processed-gene-4.64&CDS=1-1641	YBR214W, YGL056C
OG0000312	-processed-gene-5.58-mRNA-1_1&gene=snap_masked-gi|1002316229|dbj|BCGB01000004.1|-processed-gene-5.58&CDS=1-723	YDR151C, YLR136C
OG0000313	-processed-gene-16.86-mRNA-1_1&gene=snap_masked-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-16.86&CDS=1-1554, -processed-gene-5.98-mRNA-1_1&gene=snap_masked-gi|1002316229|dbj|BCGB01000004.1|-processed-gene-5.98&CDS=1-1449	YMR155W
OG0000314	-processed-gene-5.75-mRNA-1_1&gene=snap_masked-gi|1002316229|dbj|BCGB01000004.1|-processed-gene-5.75&CDS=1-480	YDR252W, YPL037C
OG0000315	-processed-gene-17.87-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-17.87&CDS=1-1158, -processed-gene-5.101-mRNA-1_1&gene=snap_masked-gi|1002316229|dbj|BCGB01000004.1|-processed-gene-5.101&CDS=1-1104	YBR026C
OG0000316	-processed-gene-3.31-mRNA-1_1&gene=snap_masked-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-3.31&CDS=1-1941, -processed-gene-5.80-mRNA-1_1&gene=snap_masked-gi|1002316229|dbj|BCGB01000004.1|-processed-gene-5.80&CDS=1-1983	YNL101W
OG0000317	-processed-gene-5.103-mRNA-1_1&gene=snap_masked-gi|1002316229|dbj|BCGB01000004.1|-processed-gene-5.103&CDS=1-2901	YDR251W, YPL032C
OG0000318	-processed-gene-5.106-mRNA-1_1&gene=snap_masked-gi|1002316229|dbj|BCGB01000004.1|-processed-gene-5.106&CDS=1-933, -processed-gene-9.82-mRNA-1_1&gene=snap_masked-gi|1002316230|dbj|BCGB01000003.1|-processed-gene-9.82&CDS=1-933	YNR064C
OG0000319	-processed-gene-11.18-mRNA-1_1&gene=snap_masked-gi|1002316229|dbj|BCGB01000004.1|-processed-gene-11.18&CDS=1-768, -processed-gene-6.26-mRNA-1_1&gene=snap_masked-gi|1002316229|dbj|BCGB01000004.1|-processed-gene-6.26&CDS=1-768	YLR441C
OG0000320	-processed-gene-6.40-mRNA-1_1&gene=snap_masked-gi|1002316229|dbj|BCGB01000004.1|-processed-gene-6.40&CDS=1-612	YLR029C, YMR121C
OG0000321	-processed-gene-7.49-mRNA-1_1&gene=snap_masked-gi|1002316229|dbj|BCGB01000004.1|-processed-gene-7.49&CDS=1-792	YDR066C, YER139C
OG0000322	-processed-gene-7.75-mRNA-1_1&gene=snap_masked-gi|1002316229|dbj|BCGB01000004.1|-processed-gene-7.75&CDS=1-3465	YML100W, YMR261C
OG0000323	-processed-gene-17.76-mRNA-1_1&gene=snap_masked-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-17.76&CDS=1-1737, -processed-gene-7.81-mRNA-1_1&gene=snap_masked-gi|1002316229|dbj|BCGB01000004.1|-processed-gene-7.81&CDS=1-1674	YDL174C
OG0000324	-processed-gene-7.82-mRNA-1_1&gene=snap_masked-gi|1002316229|dbj|BCGB01000004.1|-processed-gene-7.82&CDS=1-1230	YJL137C, YKR058W
OG0000325	-processed-gene-7.85-mRNA-1_1&gene=snap_masked-gi|1002316229|dbj|BCGB01000004.1|-processed-gene-7.85&CDS=1-1170	YAL060W, YAL061W
OG0000326	-snap-gene-7.144-mRNA-1_1&gene=maker-gi|1002316229|dbj|BCGB01000004.1|-snap-gene-7.144&CDS=1-2637	YNL301C, YOL120C
OG0000327	-processed-gene-8.48-mRNA-1_1&gene=snap_masked-gi|1002316229|dbj|BCGB01000004.1|-processed-gene-8.48&CDS=1-2655	YFL050C, YOL130W
OG0000328	-processed-gene-8.71-mRNA-1_1&gene=snap_masked-gi|1002316229|dbj|BCGB01000004.1|-processed-gene-8.71&CDS=1-1689	YJR054W, YML047C
OG0000329	-processed-gene-8.59-mRNA-1_1&gene=snap_masked-gi|1002316229|dbj|BCGB01000004.1|-processed-gene-8.59&CDS=1-2805, -processed-gene-9.107-mRNA-1_1&gene=augustus_masked-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-9.107&CDS=1-2469	YBR276C
OG0000330	-augustus-gene-9.138-mRNA-1_1&gene=maker-gi|1002316229|dbj|BCGB01000004.1|-augustus-gene-9.138&CDS=1-7701, -processed-gene-20.44-mRNA-1_1&gene=snap_masked-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-20.44&CDS=1-5253	YER166W
OG0000331	-processed-gene-10.127-mRNA-1_1&gene=snap_masked-gi|1002316229|dbj|BCGB01000004.1|-processed-gene-10.127&CDS=1-606	YDL082W, YMR142C
OG0000332	-processed-gene-10.112-mRNA-1_1&gene=snap_masked-gi|1002316229|dbj|BCGB01000004.1|-processed-gene-10.112&CDS=1-426	YDL083C, YMR143W
OG0000333	-augustus-gene-11.113-mRNA-1_1&gene=maker-gi|1002316229|dbj|BCGB01000004.1|-augustus-gene-11.113&CDS=1-4758	YLR450W, YML075C
OG0000334	-processed-gene-11.15-mRNA-1_1&gene=snap_masked-gi|1002316229|dbj|BCGB01000004.1|-processed-gene-11.15&CDS=1-1338	YLR449W, YML074C
OG0000335	-processed-gene-11.25-mRNA-1_1&gene=snap_masked-gi|1002316229|dbj|BCGB01000004.1|-processed-gene-11.25&CDS=1-1104	YMR199W, YPL256C
OG0000336	-processed-gene-11.27-mRNA-1_1&gene=snap_masked-gi|1002316229|dbj|BCGB01000004.1|-processed-gene-11.27&CDS=1-651, -processed-gene-18.158-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-18.158&CDS=1-651	YMR202W
OG0000337	-processed-gene-7.73-mRNA-1_1&gene=snap_masked-gi|1002316230|dbj|BCGB01000003.1|-processed-gene-7.73&CDS=1-1203, -snap-gene-12.12-mRNA-1_1&gene=maker-gi|1002316229|dbj|BCGB01000004.1|-snap-gene-12.12&CDS=1-2520	YOR099W
OG0000338	-processed-gene-12.211-mRNA-1_1&gene=augustus_masked-gi|1002316229|dbj|BCGB01000004.1|-processed-gene-12.211&CDS=1-1602	YJL134W, YKR053C
OG0000339	-snap-gene-12.13-mRNA-1_1&gene=maker-gi|1002316229|dbj|BCGB01000004.1|-snap-gene-12.13&CDS=1-4947	YJL138C, YKR059W
OG0000340	-processed-gene-12.179-mRNA-1_1&gene=snap_masked-gi|1002316229|dbj|BCGB01000004.1|-processed-gene-12.179&CDS=1-2724, -processed-gene-9.127-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-9.127&CDS=1-2676	YPR194C
OG0000341	-processed-gene-12.183-mRNA-1_1&gene=snap_masked-gi|1002316229|dbj|BCGB01000004.1|-processed-gene-12.183&CDS=1-720	YBR242W, YGL101W
OG0000342	-augustus-gene-4.101-mRNA-1_1&gene=maker-gi|1002316230|dbj|BCGB01000003.1|-augustus-gene-4.101&CDS=1-1839, -processed-gene-0.2-mRNA-1_1&gene=snap_masked-gi|1002316230|dbj|BCGB01000003.1|-processed-gene-0.2&CDS=1-1347	YPL225W
OG0000343	-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-gi|1002316230|dbj|BCGB01000003.1|-processed-gene-0.48&CDS=1-966	YBL068W, YER099C
OG0000344	-processed-gene-0.18-mRNA-1_1&gene=snap_masked-gi|1002316230|dbj|BCGB01000003.1|-processed-gene-0.18&CDS=1-1275	YOR237W, YPL145C
OG0000345	-processed-gene-0.19-mRNA-1_1&gene=snap_masked-gi|1002316230|dbj|BCGB01000003.1|-processed-gene-0.19&CDS=1-321	YOR234C, YPL143W
OG0000346	-processed-gene-0.22-mRNA-1_1&gene=snap_masked-gi|1002316230|dbj|BCGB01000003.1|-processed-gene-0.22&CDS=1-1299	YOR231W, YPL140C
OG0000347	-processed-gene-1.109-mRNA-1_1&gene=augustus_masked-gi|1002316230|dbj|BCGB01000003.1|-processed-gene-1.109&CDS=1-603	YBL072C, YER102W
OG0000348	-processed-gene-1.78-mRNA-1_1&gene=snap_masked-gi|1002316230|dbj|BCGB01000003.1|-processed-gene-1.78&CDS=1-4245	YER081W, YIL074C
OG0000349	-processed-gene-2.99-mRNA-1_1&gene=augustus_masked-gi|1002316230|dbj|BCGB01000003.1|-processed-gene-2.99&CDS=1-3048	YHR198C, YHR199C
OG0000350	-processed-gene-2.69-mRNA-1_1&gene=snap_masked-gi|1002316230|dbj|BCGB01000003.1|-processed-gene-2.69&CDS=1-876	YFL059W, YNL333W
OG0000351	-processed-gene-2.111-mRNA-1_1&gene=augustus_masked-gi|1002316230|dbj|BCGB01000003.1|-processed-gene-2.111&CDS=1-522	YGR085C, YPR102C
OG0000352	-processed-gene-3.59-mRNA-1_1&gene=snap_masked-gi|1002316230|dbj|BCGB01000003.1|-processed-gene-3.59&CDS=1-363	YMR230W, YOR293W
OG0000353	-processed-gene-3.94-mRNA-1_1&gene=snap_masked-gi|1002316230|dbj|BCGB01000003.1|-processed-gene-3.94&CDS=1-3306	YLR031W, YMR124W
OG0000354	-processed-gene-17.39-mRNA-1_1&gene=snap_masked-gi|1002316230|dbj|BCGB01000003.1|-processed-gene-17.39&CDS=1-1692, -processed-gene-4.4-mRNA-1_1&gene=snap_masked-gi|1002316230|dbj|BCGB01000003.1|-processed-gene-4.4&CDS=1-1728	YMR296C
OG0000355	-processed-gene-4.6-mRNA-1_1&gene=snap_masked-gi|1002316230|dbj|BCGB01000003.1|-processed-gene-4.6&CDS=1-555	YJL177W, YKL180W
OG0000356	-processed-gene-3.93-mRNA-1_1&gene=genemark-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-3.93&CDS=1-1644, -processed-gene-4.40-mRNA-1_1&gene=snap_masked-gi|1002316230|dbj|BCGB01000003.1|-processed-gene-4.40&CDS=1-1584	YGL186C
OG0000357	-processed-gene-5.37-mRNA-1_1&gene=snap_masked-gi|1002316230|dbj|BCGB01000003.1|-processed-gene-5.37&CDS=1-1332	YMR177W, YPL224C
OG0000358	-snap-gene-5.74-mRNA-1_1&gene=maker-gi|1002316230|dbj|BCGB01000003.1|-snap-gene-5.74&CDS=1-810	YDR134C, YLR110C
OG0000359	-processed-gene-5.67-mRNA-1_1&gene=snap_masked-gi|1002316230|dbj|BCGB01000003.1|-processed-gene-5.67&CDS=1-1377	YGL166W, YPR008W
OG0000360	-processed-gene-5.52-mRNA-1_1&gene=snap_masked-gi|1002316230|dbj|BCGB01000003.1|-processed-gene-5.52&CDS=1-1659	YDL224C, YNL197C
OG0000361	-processed-gene-5.53-mRNA-1_1&gene=snap_masked-gi|1002316230|dbj|BCGB01000003.1|-processed-gene-5.53&CDS=1-840	YDL222C, YNL194C
OG0000362	-processed-gene-5.54-mRNA-1_1&gene=snap_masked-gi|1002316230|dbj|BCGB01000003.1|-processed-gene-5.54&CDS=1-636	YGL089C, YPL187W
OG0000363	-processed-gene-18.58-mRNA-1_1&gene=snap_masked-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-18.58&CDS=1-2568, -processed-gene-6.44-mRNA-1_1&gene=snap_masked-gi|1002316230|dbj|BCGB01000003.1|-processed-gene-6.44&CDS=1-2700	YLR241W
OG0000364	-processed-gene-17.58-mRNA-1_1&gene=snap_masked-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-17.58&CDS=1-1866, -processed-gene-6.49-mRNA-1_1&gene=snap_masked-gi|1002316230|dbj|BCGB01000003.1|-processed-gene-6.49&CDS=1-1833	YNL045W
OG0000365	-processed-gene-6.51-mRNA-1_1&gene=snap_masked-gi|1002316230|dbj|BCGB01000003.1|-processed-gene-6.51&CDS=1-390	YJL190C, YLR367W
OG0000366	-processed-gene-6.52-mRNA-1_1&gene=snap_masked-gi|1002316230|dbj|BCGB01000003.1|-processed-gene-6.52&CDS=1-396	YCR031C, YJL191W
OG0000367	-processed-gene-7.91-mRNA-1_1&gene=snap_masked-gi|1002316230|dbj|BCGB01000003.1|-processed-gene-7.91&CDS=1-1149	YDL175C, YIL079C
OG0000368	-snap-gene-8.78-mRNA-1_1&gene=maker-gi|1002316230|dbj|BCGB01000003.1|-snap-gene-8.78&CDS=1-1320	YHR146W, YNL173C
OG0000369	-augustus-gene-16.0-mRNA-1_1&gene=maker-gi|1002316230|dbj|BCGB01000003.1|-augustus-gene-16.0&CDS=1-2682, -processed-gene-8.73-mRNA-1_1&gene=snap_masked-gi|1002316230|dbj|BCGB01000003.1|-processed-gene-8.73&CDS=1-1434	YGL066W
OG0000370	-processed-gene-9.3-mRNA-1_1&gene=genemark-gi|1002316230|dbj|BCGB01000003.1|-processed-gene-9.3&CDS=1-2799	YKL121W, YMR102C
OG0000371	-processed-gene-10.44-mRNA-1_1&gene=snap_masked-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-10.44&CDS=1-2217, -processed-gene-10.45-mRNA-1_1&gene=snap_masked-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-10.45&CDS=1-2349, -processed-gene-9.75-mRNA-1_1&gene=snap_masked-gi|1002316230|dbj|BCGB01000003.1|-processed-gene-9.75&CDS=1-2160	
OG0000372	-processed-gene-10.58-mRNA-1_1&gene=snap_masked-gi|1002316230|dbj|BCGB01000003.1|-processed-gene-10.58&CDS=1-1272	YBR105C, YGR066C
OG0000373	-processed-gene-10.94-mRNA-1_1&gene=snap_masked-gi|1002316230|dbj|BCGB01000003.1|-processed-gene-10.94&CDS=1-573	YGL147C, YNL067W
OG0000374	-processed-gene-10.65-mRNA-1_1&gene=snap_masked-gi|1002316230|dbj|BCGB01000003.1|-processed-gene-10.65&CDS=1-2346, -processed-gene-2.82-mRNA-1_1&gene=snap_masked-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-2.82&CDS=1-2283	YGL144C
OG0000375	-processed-gene-10.15-mRNA-1_1&gene=augustus_masked-gi|1002316230|dbj|BCGB01000003.1|-processed-gene-10.15&CDS=1-1590	YLL012W, YLR020C
OG0000376	-processed-gene-10.69-mRNA-1_1&gene=snap_masked-gi|1002316230|dbj|BCGB01000003.1|-processed-gene-10.69&CDS=1-2952	YJL084C, YKR021W
OG0000377	-processed-gene-10.75-mRNA-1_1&gene=snap_masked-gi|1002316230|dbj|BCGB01000003.1|-processed-gene-10.75&CDS=1-1494, -processed-gene-24.125-mRNA-1_1&gene=snap_masked-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-24.125&CDS=1-1623	YMR221C
OG0000378	-processed-gene-11.58-mRNA-1_1&gene=snap_masked-gi|1002316230|dbj|BCGB01000003.1|-processed-gene-11.58&CDS=1-1614, -processed-gene-20.65-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-20.65&CDS=1-1356	YLR380W
OG0000379	-snap-gene-11.133-mRNA-1_1&gene=maker-gi|1002316230|dbj|BCGB01000003.1|-snap-gene-11.133&CDS=1-318	YHR141C, YNL162W
OG0000380	-processed-gene-12.71-mRNA-1_1&gene=snap_masked-gi|1002316230|dbj|BCGB01000003.1|-processed-gene-12.71&CDS=1-1002, -processed-gene-7.10-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-7.10&CDS=1-1002	YBR046C
OG0000381	-processed-gene-12.85-mRNA-1_1&gene=snap_masked-gi|1002316230|dbj|BCGB01000003.1|-processed-gene-12.85&CDS=1-792	YBR278W, YJL065C
OG0000382	-processed-gene-13.13-mRNA-1_1&gene=snap_masked-gi|1002316230|dbj|BCGB01000003.1|-processed-gene-13.13&CDS=1-2463	YFL004W, YPL019C
OG0000383	-processed-gene-13.58-mRNA-1_1&gene=augustus_masked-gi|1002316230|dbj|BCGB01000003.1|-processed-gene-13.58&CDS=1-5925	YCR005C, YNR001C
OG0000384	-processed-gene-13.27-mRNA-1_1&gene=augustus_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-13.27&CDS=1-2376, -processed-gene-14.123-mRNA-1_1&gene=augustus_masked-gi|1002316230|dbj|BCGB01000003.1|-processed-gene-14.123&CDS=1-3630	YGL179C
OG0000385	-processed-gene-15.45-mRNA-1_1&gene=augustus_masked-gi|1002316230|dbj|BCGB01000003.1|-processed-gene-15.45&CDS=1-2484, -processed-gene-21.71-mRNA-1_1&gene=snap_masked-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-21.71&CDS=1-1449	YHR137W
OG0000386	-processed-gene-15.22-mRNA-1_1&gene=snap_masked-gi|1002316230|dbj|BCGB01000003.1|-processed-gene-15.22&CDS=1-2616	YHR047C, YKL157W
OG0000387	-snap-gene-15.96-mRNA-1_1&gene=maker-gi|1002316230|dbj|BCGB01000003.1|-snap-gene-15.96&CDS=1-756	YIR035C, YIR036C
OG0000388	-processed-gene-15.31-mRNA-1_1&gene=snap_masked-gi|1002316230|dbj|BCGB01000003.1|-processed-gene-15.31&CDS=1-504	YDR178W, YLR164W
OG0000389	-processed-gene-15.68-mRNA-1_1&gene=augustus_masked-gi|1002316230|dbj|BCGB01000003.1|-processed-gene-15.68&CDS=1-1926	YER059W, YIL050W
OG0000390	-processed-gene-16.127-mRNA-1_1&gene=snap_masked-gi|1002316230|dbj|BCGB01000003.1|-processed-gene-16.127&CDS=1-516	YKL141W, YMR118C
OG0000391	-processed-gene-17.75-mRNA-1_1&gene=augustus_masked-gi|1002316230|dbj|BCGB01000003.1|-processed-gene-17.75&CDS=1-357	YER131W, YGL189C
OG0000392	-snap-gene-17.1-mRNA-1_1&gene=maker-gi|1002316230|dbj|BCGB01000003.1|-snap-gene-17.1&CDS=1-933	YBR189W, YPL081W
OG0000393	-processed-gene-17.36-mRNA-1_1&gene=snap_masked-gi|1002316230|dbj|BCGB01000003.1|-processed-gene-17.36&CDS=1-825	YLR284C, YOR180C
OG0000394	-processed-gene-17.38-mRNA-1_1&gene=snap_masked-gi|1002316230|dbj|BCGB01000003.1|-processed-gene-17.38&CDS=1-2271	YMR119W, YNL008C
OG0000395	-augustus-gene-17.23-mRNA-1_1&gene=maker-gi|1002316230|dbj|BCGB01000003.1|-augustus-gene-17.23&CDS=1-2922, -processed-gene-17.71-mRNA-1_1&gene=snap_masked-gi|1002316230|dbj|BCGB01000003.1|-processed-gene-17.71&CDS=1-1512	YPR178W
OG0000396	-processed-gene-17.66-mRNA-1_1&gene=snap_masked-gi|1002316230|dbj|BCGB01000003.1|-processed-gene-17.66&CDS=1-3132	YJL105W, YKR029C
OG0000397	-processed-gene-17.69-mRNA-1_1&gene=snap_masked-gi|1002316230|dbj|BCGB01000003.1|-processed-gene-17.69&CDS=1-2661	YJL082W, YKR018C
OG0000398	-processed-gene-17.121-mRNA-1_1&gene=augustus_masked-gi|1002316230|dbj|BCGB01000003.1|-processed-gene-17.121&CDS=1-1089	YBR031W, YDR012W
OG0000399	-snap-gene-1.140-mRNA-1_1&gene=maker-gi|1002316231|dbj|BCGB01000002.1|-snap-gene-1.140&CDS=1-3693	YDR458C, YML034W
OG0000400	-processed-gene-1.104-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-1.104&CDS=1-2634, -processed-gene-24.86-mRNA-1_1&gene=snap_masked-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-24.86&CDS=1-2862	YHR028C
OG0000401	-processed-gene-2.79-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-2.79&CDS=1-1377	YDR132C, YLR108C
OG0000402	-processed-gene-2.37-mRNA-1_1&gene=augustus_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-2.37&CDS=1-1899	YDR107C, YLR083C
OG0000403	-processed-gene-2.85-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-2.85&CDS=1-723	YDR098C, YER174C
OG0000404	-augustus-gene-2.3-mRNA-1_1&gene=maker-gi|1002316231|dbj|BCGB01000002.1|-augustus-gene-2.3&CDS=1-3330	YDR264C, YOR034C
OG0000405	-processed-gene-2.91-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-2.91&CDS=1-1329	YCL048W, YDR522C
OG0000406	-processed-gene-3.37-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-3.37&CDS=1-2085	YDR263C, YOR033C
OG0000407	-processed-gene-3.31-mRNA-1_1&gene=augustus_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-3.31&CDS=1-2547	YIL085C, YNL029C
OG0000408	-processed-gene-4.36-mRNA-1_1&gene=augustus_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-4.36&CDS=1-1278	YIL135C, YNL074C
OG0000409	-processed-gene-5.44-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-5.44&CDS=1-561	YNL096C, YOR096W
OG0000410	-processed-gene-5.54-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-5.54&CDS=1-696	YAR002C-A, YGL002W
OG0000411	-processed-gene-6.130-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-6.130&CDS=1-252	YPR169W-A, YPR170W-B
OG0000412	-processed-gene-7.7-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-7.7&CDS=1-1746	YCR048W, YNR019W
OG0000413	-processed-gene-7.30-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-7.30&CDS=1-2304	YFR013W, YOL017W
OG0000414	-augustus-gene-6.110-mRNA-1_1&gene=maker-gi|1002316232|dbj|BCGB01000001.1|-augustus-gene-6.110&CDS=1-1449, -snap-gene-7.101-mRNA-1_1&gene=maker-gi|1002316231|dbj|BCGB01000002.1|-snap-gene-7.101&CDS=1-3246	YFL040W
OG0000415	-processed-gene-7.37-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-7.37&CDS=1-1407	YDR247W, YPL026C
OG0000416	-processed-gene-7.38-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-7.38&CDS=1-1575	YBR020W, YDR009W
