	Lipomyces_starkeyi	Saccharomyces_cerevisiae
OG0000241	augustus_masked-scaffold_2-processed-gene-4.38-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-4.38&CDS=1-2151	YBR169C, YPL106C
OG0000242	augustus_masked-scaffold_2-processed-gene-4.49-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-4.49&CDS=1-1227, augustus_masked-scaffold_2-processed-gene-4.60-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-4.60&CDS=1-1263	YKL004W
OG0000243	augustus_masked-scaffold_2-processed-gene-5.31-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-5.31&CDS=1-1380	YMR177W, YPL224C
OG0000244	maker-scaffold_2-augustus-gene-5.137-mRNA-1_1&gene=maker-scaffold_2-augustus-gene-5.137&CDS=1-1731	YCR048W, YNR019W
OG0000245	augustus_masked-scaffold_2-processed-gene-5.15-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-5.15&CDS=1-1563	YHR131C, YNL144C
OG0000246	maker-scaffold_2-augustus-gene-6.65-mRNA-1_1&gene=maker-scaffold_2-augustus-gene-6.65&CDS=1-2217	YBL009W, YGL021W
OG0000247	augustus_masked-scaffold_2-processed-gene-6.157-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-6.157&CDS=1-633	YGR273C, YMR295C
OG0000248	augustus_masked-scaffold_2-processed-gene-6.163-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-6.163&CDS=1-2691	YKL121W, YMR102C
OG0000249	maker-scaffold_2-augustus-gene-6.61-mRNA-1_1&gene=maker-scaffold_2-augustus-gene-6.61&CDS=1-1197, maker-scaffold_5-snap-gene-14.160-mRNA-1_1&gene=maker-scaffold_5-snap-gene-14.160&CDS=1-1071	YGR263C
OG0000250	maker-scaffold_2-snap-gene-6.148-mRNA-1_1&gene=maker-scaffold_2-snap-gene-6.148&CDS=1-1797	YHL017W, YKL039W
OG0000251	augustus_masked-scaffold_2-processed-gene-7.40-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-7.40&CDS=1-4446, genemark-scaffold_2-processed-gene-7.166-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-7.166&CDS=1-1047	YPR179C
OG0000252	maker-scaffold_2-augustus-gene-7.70-mRNA-1_1&gene=maker-scaffold_2-augustus-gene-7.70&CDS=1-2328	YBR270C, YJL058C
OG0000253	maker-scaffold_2-augustus-gene-8.56-mRNA-1_1&gene=maker-scaffold_2-augustus-gene-8.56&CDS=1-792	YGR214W, YLR048W
OG0000254	snap_masked-scaffold_2-processed-gene-9.117-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-9.117&CDS=1-2190	YJL082W, YKR018C
OG0000255	augustus_masked-scaffold_2-processed-gene-9.56-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-9.56&CDS=1-369	YDL136W, YDL191W
OG0000256	maker-scaffold_2-augustus-gene-9.73-mRNA-1_1&gene=maker-scaffold_2-augustus-gene-9.73&CDS=1-735, maker-scaffold_3-augustus-gene-1.70-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-1.70&CDS=1-735	YAL049C
OG0000257	maker-scaffold_2-augustus-gene-10.74-mRNA-1_1&gene=maker-scaffold_2-augustus-gene-10.74&CDS=1-603, maker-scaffold_2-augustus-gene-10.77-mRNA-1_1&gene=maker-scaffold_2-augustus-gene-10.77&CDS=1-609	YKL002W
OG0000258	augustus_masked-scaffold_4-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-0.16&CDS=1-936, maker-scaffold_2-augustus-gene-10.85-mRNA-1_1&gene=maker-scaffold_2-augustus-gene-10.85&CDS=1-1167	YDL205C
OG0000259	maker-scaffold_2-snap-gene-10.140-mRNA-1_1&gene=maker-scaffold_2-snap-gene-10.140&CDS=1-1518	YIR035C, YIR036C
OG0000260	maker-scaffold_2-augustus-gene-10.95-mRNA-1_1&gene=maker-scaffold_2-augustus-gene-10.95&CDS=1-2580	YBR033W, YKL038W
OG0000261	augustus_masked-scaffold_2-processed-gene-11.27-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-11.27&CDS=1-1104	YGL166W, YPR008W
OG0000262	augustus_masked-scaffold_2-processed-gene-11.28-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-11.28&CDS=1-3168	YML109W, YMR273C
OG0000263	snap_masked-scaffold_2-processed-gene-11.76-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-11.76&CDS=1-501	YCR031C, YJL191W
OG0000264	maker-scaffold_2-augustus-gene-11.168-mRNA-1_1&gene=maker-scaffold_2-augustus-gene-11.168&CDS=1-429	YDL083C, YMR143W
OG0000265	augustus_masked-scaffold_2-processed-gene-11.38-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-11.38&CDS=1-633	YDL082W, YMR142C
OG0000266	snap_masked-scaffold_2-processed-gene-13.79-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-13.79&CDS=1-567	YCR010C, YNR002C
OG0000267	maker-scaffold_2-snap-gene-13.9-mRNA-1_1&gene=maker-scaffold_2-snap-gene-13.9&CDS=1-1218	YBR042C, YDR018C
OG0000268	augustus_masked-scaffold_2-processed-gene-14.91-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-14.91&CDS=1-1611	YNL095C, YOR092W
OG0000269	maker-scaffold_2-augustus-gene-14.59-mRNA-1_1&gene=maker-scaffold_2-augustus-gene-14.59&CDS=1-3903	YIR033W, YKL020C
OG0000270	augustus_masked-scaffold_21-processed-gene-0.78-mRNA-1_1&gene=augustus_masked-scaffold_21-processed-gene-0.78&CDS=1-1056, genemark-scaffold_2-processed-gene-15.58-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-15.58&CDS=1-1317	YGR110W
OG0000271	genemark-scaffold_2-processed-gene-15.64-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-15.64&CDS=1-1806	YGL082W, YPL191C
OG0000272	maker-scaffold_2-augustus-gene-15.108-mRNA-1_1&gene=maker-scaffold_2-augustus-gene-15.108&CDS=1-765	YDR272W, YOR040W
OG0000273	augustus_masked-scaffold_2-processed-gene-15.128-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-15.128&CDS=1-1542	YKR091W, YOR083W
OG0000274	genemark-scaffold_4-processed-gene-6.25-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-6.25&CDS=1-4587, maker-scaffold_2-augustus-gene-16.102-mRNA-1_1&gene=maker-scaffold_2-augustus-gene-16.102&CDS=1-2403	YLR144C
OG0000275	augustus_masked-scaffold_4-processed-gene-9.8-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-9.8&CDS=1-1272, maker-scaffold_2-augustus-gene-17.236-mRNA-1_1&gene=maker-scaffold_2-augustus-gene-17.236&CDS=1-1176	YPR201W
OG0000276	augustus_masked-scaffold_26-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-scaffold_26-processed-gene-0.5&CDS=1-1602, maker-scaffold_3-augustus-gene-3.175-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-3.175&CDS=1-1605	YJL153C
OG0000277	maker-scaffold_3-augustus-gene-2.95-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-2.95&CDS=1-2262	YDR409W, YOR156C
OG0000278	augustus_masked-scaffold_3-processed-gene-2.117-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-2.117&CDS=1-855	YDR451C, YML027W
OG0000279	maker-scaffold_3-augustus-gene-2.91-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-2.91&CDS=1-1590	YBR241C, YGL104C
OG0000280	maker-scaffold_3-augustus-gene-2.92-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-2.92&CDS=1-1515, maker-scaffold_5-augustus-gene-4.169-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-4.169&CDS=1-1329	YOR059C
OG0000281	maker-scaffold_3-augustus-gene-2.102-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-2.102&CDS=1-1890	YHR117W, YNL121C
OG0000282	maker-scaffold_3-augustus-gene-4.15-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-4.15&CDS=1-1188	YJL138C, YKR059W
OG0000283	augustus_masked-scaffold_3-processed-gene-4.134-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-4.134&CDS=1-465	YBR048W, YDR025W
OG0000284	maker-scaffold_3-augustus-gene-4.23-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-4.23&CDS=1-2214	YCR026C, YEL016C
OG0000285	augustus_masked-scaffold_3-processed-gene-4.124-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-4.124&CDS=1-1257	YLL012W, YLR020C
OG0000286	augustus_masked-scaffold_3-processed-gene-7.126-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-7.126&CDS=1-1404	YCL011C, YNL004W
OG0000287	augustus_masked-scaffold_3-processed-gene-7.146-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-7.146&CDS=1-1797	YDR247W, YPL026C
OG0000288	maker-scaffold_3-augustus-gene-8.134-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-8.134&CDS=1-1269	YFL048C, YLR080W
OG0000289	augustus_masked-scaffold_7-processed-gene-8.155-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-8.155&CDS=1-849, maker-scaffold_3-augustus-gene-8.140-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-8.140&CDS=1-1074	YKR066C
OG0000290	snap_masked-scaffold_3-processed-gene-8.92-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-8.92&CDS=1-948	YCL050C, YDR530C
OG0000291	maker-scaffold_3-snap-gene-9.148-mRNA-1_1&gene=maker-scaffold_3-snap-gene-9.148&CDS=1-1101	YAL015C, YOL043C
OG0000292	maker-scaffold_3-augustus-gene-10.93-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-10.93&CDS=1-1191	YCR067C, YNR026C
OG0000293	augustus_masked-scaffold_3-processed-gene-10.155-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-10.155&CDS=1-1497	YDL042C, YOL068C
OG0000294	maker-scaffold_3-augustus-gene-12.47-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-12.47&CDS=1-3954	YHR155W, YNL257C
OG0000295	maker-scaffold_3-augustus-gene-13.80-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-13.80&CDS=1-2835	YDL048C, YLR375W
OG0000296	maker-scaffold_3-augustus-gene-13.95-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-13.95&CDS=1-2187	YJL137C, YKR058W
OG0000297	augustus_masked-scaffold_3-processed-gene-14.105-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-14.105&CDS=1-1491, augustus_masked-scaffold_6-processed-gene-14.23-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-14.23&CDS=1-1485	YML054C
OG0000298	maker-scaffold_3-augustus-gene-15.117-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-15.117&CDS=1-564	YGL147C, YNL067W
OG0000299	augustus_masked-scaffold_3-processed-gene-15.49-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-15.49&CDS=1-1488, augustus_masked-scaffold_4-processed-gene-4.53-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-4.53&CDS=1-1494	YKL217W
OG0000300	maker-scaffold_4-snap-gene-2.121-mRNA-1_1&gene=maker-scaffold_4-snap-gene-2.121&CDS=1-849	YNL108C, YOR110W
OG0000301	maker-scaffold_4-augustus-gene-2.108-mRNA-1_1&gene=maker-scaffold_4-augustus-gene-2.108&CDS=1-471	YEL034W, YJR047C
OG0000302	maker-scaffold_4-augustus-gene-3.41-mRNA-1_1&gene=maker-scaffold_4-augustus-gene-3.41&CDS=1-1482, maker-scaffold_4-augustus-gene-4.103-mRNA-1_1&gene=maker-scaffold_4-augustus-gene-4.103&CDS=1-1995	YDR456W
OG0000303	maker-scaffold_4-snap-gene-4.84-mRNA-1_1&gene=maker-scaffold_4-snap-gene-4.84&CDS=1-792	YLR178C, YLR179C
OG0000304	maker-scaffold_4-snap-gene-6.141-mRNA-1_1&gene=maker-scaffold_4-snap-gene-6.141&CDS=1-1215	YLR307W, YLR308W
OG0000305	maker-scaffold_4-augustus-gene-6.86-mRNA-1_1&gene=maker-scaffold_4-augustus-gene-6.86&CDS=1-1281	YLR300W, YOR190W
OG0000306	augustus_masked-scaffold_4-processed-gene-7.163-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-7.163&CDS=1-627	YAL007C, YOR016C
OG0000307	genemark-scaffold_4-processed-gene-7.14-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-7.14&CDS=1-2271	YJL083W, YKR019C
OG0000308	augustus_masked-scaffold_4-processed-gene-8.145-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-8.145&CDS=1-750	YGL076C, YPL198W
OG0000309	augustus_masked-scaffold_4-processed-gene-8.152-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-8.152&CDS=1-1707	YER132C, YGL197W
OG0000310	maker-scaffold_4-snap-gene-9.52-mRNA-1_1&gene=maker-scaffold_4-snap-gene-9.52&CDS=1-1491	YDL175C, YIL079C
OG0000311	augustus_masked-scaffold_4-processed-gene-9.21-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-9.21&CDS=1-579	YGR038W, YLR350W
OG0000312	augustus_masked-scaffold_4-processed-gene-10.108-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-10.108&CDS=1-3276	YKR089C, YOR081C
OG0000313	snap_masked-scaffold_4-processed-gene-10.10-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-10.10&CDS=1-249	YLR264W, YOR167C
OG0000314	maker-scaffold_4-augustus-gene-10.46-mRNA-1_1&gene=maker-scaffold_4-augustus-gene-10.46&CDS=1-1305	YGR254W, YHR174W
OG0000315	augustus_masked-scaffold_4-processed-gene-10.137-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-10.137&CDS=1-1041	YHR133C, YNL156C
OG0000316	augustus_masked-scaffold_4-processed-gene-10.138-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-10.138&CDS=1-720	YFL061W, YNL335W
OG0000317	snap_masked-scaffold_4-processed-gene-11.117-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-11.117&CDS=1-1944	YIL038C, YPR072W
OG0000318	maker-scaffold_4-snap-gene-11.58-mRNA-1_1&gene=maker-scaffold_4-snap-gene-11.58&CDS=1-1047	YBR189W, YPL081W
OG0000319	augustus_masked-scaffold_4-processed-gene-12.86-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-12.86&CDS=1-1056	YJL133W, YKR052C
OG0000320	augustus_masked-scaffold_4-processed-gene-12.80-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-12.80&CDS=1-1788, maker-scaffold_5-augustus-gene-8.167-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-8.167&CDS=1-1461	YKL089W
OG0000321	augustus_masked-scaffold_4-processed-gene-13.112-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-13.112&CDS=1-2394	YDR122W, YLR096W
OG0000322	maker-scaffold_4-augustus-gene-14.168-mRNA-1_1&gene=maker-scaffold_4-augustus-gene-14.168&CDS=1-459	YGR209C, YLR043C
OG0000323	genemark-scaffold_4-processed-gene-14.24-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-14.24&CDS=1-1824	YKL126W, YMR104C
OG0000324	snap_masked-scaffold_4-processed-gene-15.102-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-15.102&CDS=1-2457	YDR263C, YOR033C
OG0000325	augustus_masked-scaffold_4-processed-gene-15.205-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-15.205&CDS=1-1929, maker-scaffold_4-augustus-gene-15.14-mRNA-1_1&gene=maker-scaffold_4-augustus-gene-15.14&CDS=1-1743	YLR417W
OG0000326	maker-scaffold_5-augustus-gene-1.59-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-1.59&CDS=1-939	YDR066C, YER139C
OG0000327	augustus_masked-scaffold_5-processed-gene-2.83-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-2.83&CDS=1-1635	YDR497C, YOL103W
OG0000328	augustus_masked-scaffold_5-processed-gene-2.76-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-2.76&CDS=1-525	YGR085C, YPR102C
OG0000329	maker-scaffold_5-augustus-gene-2.168-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-2.168&CDS=1-741	YLR029C, YMR121C
OG0000330	augustus_masked-scaffold_5-processed-gene-2.104-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-2.104&CDS=1-1275	YHR146W, YNL173C
OG0000331	maker-scaffold_5-augustus-gene-3.127-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-3.127&CDS=1-1047	YBR147W, YOL092W
OG0000332	maker-scaffold_5-augustus-gene-4.162-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-4.162&CDS=1-1929	YGR138C, YPR156C
OG0000333	genemark-scaffold_5-processed-gene-5.68-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-5.68&CDS=1-1542	YBL089W, YER119C
OG0000334	augustus_masked-scaffold_5-processed-gene-7.104-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-7.104&CDS=1-309	YMR194W, YPL249C-A
OG0000335	maker-scaffold_5-augustus-gene-7.53-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-7.53&CDS=1-1413	YDR300C, YHR033W
OG0000336	augustus_masked-scaffold_5-processed-gene-8.18-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-8.18&CDS=1-1755	YJR130C, YML082W
OG0000337	genemark-scaffold_5-processed-gene-8.85-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-8.85&CDS=1-414	YBL002W, YDR224C
OG0000338	augustus_masked-scaffold_5-processed-gene-10.140-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-10.140&CDS=1-795	YDL049C, YJL174W
OG0000339	maker-scaffold_5-augustus-gene-10.125-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-10.125&CDS=1-633	YLR456W, YPR172W
OG0000340	genemark-scaffold_5-processed-gene-11.50-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-11.50&CDS=1-2250	YDR264C, YOR034C
OG0000341	augustus_masked-scaffold_5-processed-gene-11.113-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-11.113&CDS=1-2364	YDR200C, YLR238W
OG0000342	augustus_masked-scaffold_5-processed-gene-11.116-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-11.116&CDS=1-1464	YGR121C, YPR138C
OG0000343	genemark-scaffold_5-processed-gene-11.83-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-11.83&CDS=1-2142	YDR505C, YLR177W
OG0000344	maker-scaffold_5-augustus-gene-11.104-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-11.104&CDS=1-324	YMR230W, YOR293W
OG0000345	snap_masked-scaffold_5-processed-gene-11.39-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-11.39&CDS=1-1257	YOR231W, YPL140C
OG0000346	augustus_masked-scaffold_5-processed-gene-12.23-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-12.23&CDS=1-1272	YIR013C, YLR013W
OG0000347	genemark-scaffold_5-processed-gene-12.94-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-12.94&CDS=1-765	YDL204W, YDR233C
OG0000348	maker-scaffold_5-augustus-gene-12.64-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-12.64&CDS=1-1950	YIL131C, YNL068C
OG0000349	augustus_masked-scaffold_5-processed-gene-12.48-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-12.48&CDS=1-1077	YCL036W, YDR514C
OG0000350	maker-scaffold_5-augustus-gene-13.118-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-13.118&CDS=1-1458	YDR277C, YOR047C
OG0000351	augustus_masked-scaffold_5-processed-gene-13.10-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-13.10&CDS=1-1596, snap_masked-scaffold_9-processed-gene-8.82-mRNA-1_1&gene=snap_masked-scaffold_9-processed-gene-8.82&CDS=1-1647	YKL103C
OG0000352	genemark-scaffold_5-processed-gene-14.21-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-14.21&CDS=1-750, maker-scaffold_9-augustus-gene-8.125-mRNA-1_1&gene=maker-scaffold_9-augustus-gene-8.125&CDS=1-1233	YPL048W
OG0000353	augustus_masked-scaffold_6-processed-gene-1.106-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-1.106&CDS=1-2553, augustus_masked-scaffold_9-processed-gene-4.87-mRNA-1_1&gene=augustus_masked-scaffold_9-processed-gene-4.87&CDS=1-2586	YPR194C
OG0000354	augustus_masked-scaffold_6-processed-gene-2.113-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-2.113&CDS=1-345	YJR094W-A, YPR043W
OG0000355	augustus_masked-scaffold_6-processed-gene-3.0-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-3.0&CDS=1-3555	YJR091C, YPR042C
OG0000356	augustus_masked-scaffold_6-processed-gene-3.16-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-3.16&CDS=1-1953	YDL224C, YNL197C
OG0000357	snap_masked-scaffold_6-processed-gene-4.72-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-4.72&CDS=1-3789	YNL087W, YOR086C
OG0000358	maker-scaffold_6-augustus-gene-4.60-mRNA-1_1&gene=maker-scaffold_6-augustus-gene-4.60&CDS=1-2244	YCL037C, YDR515W
OG0000359	maker-scaffold_6-augustus-gene-5.141-mRNA-1_1&gene=maker-scaffold_6-augustus-gene-5.141&CDS=1-1044	YEL006W, YIL006W
OG0000360	augustus_masked-scaffold_9-processed-gene-5.124-mRNA-1_1&gene=augustus_masked-scaffold_9-processed-gene-5.124&CDS=1-1641, maker-scaffold_6-snap-gene-6.126-mRNA-1_1&gene=maker-scaffold_6-snap-gene-6.126&CDS=1-1461	YOL137W
OG0000361	maker-scaffold_6-augustus-gene-6.56-mRNA-1_1&gene=maker-scaffold_6-augustus-gene-6.56&CDS=1-390	YER074W, YIL069C
OG0000362	maker-scaffold_6-augustus-gene-9.146-mRNA-1_1&gene=maker-scaffold_6-augustus-gene-9.146&CDS=1-4992	YEL022W, YJR031C
OG0000363	augustus_masked-scaffold_6-processed-gene-9.30-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-9.30&CDS=1-462	YDR450W, YML026C
OG0000364	maker-scaffold_6-augustus-gene-10.155-mRNA-1_1&gene=maker-scaffold_6-augustus-gene-10.155&CDS=1-579	YNL096C, YOR096W
OG0000365	augustus_masked-scaffold_6-processed-gene-11.97-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-11.97&CDS=1-1470, augustus_masked-scaffold_6-processed-gene-11.98-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-11.98&CDS=1-1467	YMR319C
OG0000366	maker-scaffold_6-snap-gene-11.125-mRNA-1_1&gene=maker-scaffold_6-snap-gene-11.125&CDS=1-1356	YIL113W, YNL053W
OG0000367	augustus_masked-scaffold_6-processed-gene-12.119-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-12.119&CDS=1-1701, maker-scaffold_8-snap-gene-6.36-mRNA-1_1&gene=maker-scaffold_8-snap-gene-6.36&CDS=1-1197	YDR523C
OG0000368	snap_masked-scaffold_7-processed-gene-2.90-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-2.90&CDS=1-2325	YFL004W, YPL019C
OG0000369	maker-scaffold_7-augustus-gene-3.42-mRNA-1_1&gene=maker-scaffold_7-augustus-gene-3.42&CDS=1-1188	YJR061W, YKL201C
OG0000370	maker-scaffold_7-augustus-gene-3.53-mRNA-1_1&gene=maker-scaffold_7-augustus-gene-3.53&CDS=1-2184, maker-scaffold_7-augustus-gene-3.59-mRNA-1_1&gene=maker-scaffold_7-augustus-gene-3.59&CDS=1-2175	YER015W
OG0000371	augustus_masked-scaffold_8-processed-gene-5.32-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-5.32&CDS=1-975, maker-scaffold_7-snap-gene-3.123-mRNA-1_1&gene=maker-scaffold_7-snap-gene-3.123&CDS=1-1071	YOR049C
OG0000372	augustus_masked-scaffold_7-processed-gene-3.162-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-3.162&CDS=1-1233	YGR010W, YLR328W
OG0000373	augustus_masked-scaffold_7-processed-gene-3.168-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-3.168&CDS=1-480	YGL031C, YGR148C
OG0000374	maker-scaffold_7-augustus-gene-3.52-mRNA-1_1&gene=maker-scaffold_7-augustus-gene-3.52&CDS=1-867	YBR183W, YPL087W
OG0000375	maker-scaffold_7-augustus-gene-4.47-mRNA-1_1&gene=maker-scaffold_7-augustus-gene-4.47&CDS=1-1407	YMR243C, YOR316C
OG0000376	maker-scaffold_7-augustus-gene-5.134-mRNA-1_1&gene=maker-scaffold_7-augustus-gene-5.134&CDS=1-552	YIL111W, YNL052W
OG0000377	maker-scaffold_7-augustus-gene-5.143-mRNA-1_1&gene=maker-scaffold_7-augustus-gene-5.143&CDS=1-1314	YBL056W, YER089C
OG0000378	augustus_masked-scaffold_7-processed-gene-6.50-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-6.50&CDS=1-1803	YBR066C, YDR043C
OG0000379	augustus_masked-scaffold_7-processed-gene-8.136-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-8.136&CDS=1-1062	YCL064C, YIL167W
OG0000380	genemark-scaffold_7-processed-gene-8.13-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-8.13&CDS=1-2196	YML100W, YMR261C
OG0000381	genemark-scaffold_7-processed-gene-10.63-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-10.63&CDS=1-2178	YBR118W, YPR080W
OG0000382	augustus_masked-scaffold_7-processed-gene-10.128-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-10.128&CDS=1-1161	YOR237W, YPL145C
OG0000383	maker-scaffold_7-snap-gene-10.112-mRNA-1_1&gene=maker-scaffold_7-snap-gene-10.112&CDS=1-312	YBR089C-A, YPR052C
OG0000384	genemark-scaffold_7-processed-gene-10.72-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-10.72&CDS=1-1536	YBR020W, YDR009W
OG0000385	augustus_masked-scaffold_7-processed-gene-10.151-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-10.151&CDS=1-1905	YDR107C, YLR083C
OG0000386	maker-scaffold_7-augustus-gene-11.165-mRNA-1_1&gene=maker-scaffold_7-augustus-gene-11.165&CDS=1-651	YGL135W, YPL220W
OG0000387	augustus_masked-scaffold_7-processed-gene-11.28-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-11.28&CDS=1-408	YBR010W, YNL031C
OG0000388	maker-scaffold_7-snap-gene-12.233-mRNA-1_1&gene=maker-scaffold_7-snap-gene-12.233&CDS=1-1089	YKR076W, YMR251W
OG0000389	maker-scaffold_7-augustus-gene-12.83-mRNA-1_1&gene=maker-scaffold_7-augustus-gene-12.83&CDS=1-666	YAR002C-A, YGL002W
OG0000390	maker-scaffold_7-augustus-gene-12.72-mRNA-1_1&gene=maker-scaffold_7-augustus-gene-12.72&CDS=1-318	YGR008C, YLR327C
