	Ogataea_polymorpha	Saccharomyces_cerevisiae
OG0000208	genemark-scaffold_1-processed-gene-10.117-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-10.117&CDS=1-1788	YDR272W, YOR040W
OG0000209	genemark-scaffold_1-processed-gene-10.134-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-10.134&CDS=1-2577	YJR091C, YPR042C
OG0000210	genemark-scaffold_1-processed-gene-10.137-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-10.137&CDS=1-291	YJR094W-A, YPR043W
OG0000211	maker-scaffold_1-augustus-gene-10.2-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-10.2&CDS=1-3687	YBR294W, YLR092W
OG0000212	genemark-scaffold_1-processed-gene-10.148-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-10.148&CDS=1-1965, genemark-scaffold_3-processed-gene-2.135-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-2.135&CDS=1-2889	YBR084W
OG0000213	augustus_masked-scaffold_1-processed-gene-11.116-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-11.116&CDS=1-8349, genemark-scaffold_5-processed-gene-8.124-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-8.124&CDS=1-2136	YLR144C
OG0000214	genemark-scaffold_2-processed-gene-11.156-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-11.156&CDS=1-1350, snap_masked-scaffold_1-processed-gene-11.6-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-11.6&CDS=1-1392	YKL046C
OG0000215	genemark-scaffold_1-processed-gene-11.75-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-11.75&CDS=1-1746	YBR298C, YGR289C
OG0000216	augustus_masked-scaffold_5-processed-gene-11.183-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-11.183&CDS=1-3813, snap_masked-scaffold_1-processed-gene-11.32-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-11.32&CDS=1-1563	YOR168W
OG0000217	genemark-scaffold_1-processed-gene-11.102-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-11.102&CDS=1-348	YER056C-A, YIL052C
OG0000218	maker-scaffold_1-augustus-gene-11.62-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-11.62&CDS=1-657	YER057C, YIL051C
OG0000219	genemark-scaffold_1-processed-gene-12.8-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-12.8&CDS=1-1155	YAL034C, YOR338W
OG0000220	augustus_masked-scaffold_1-processed-gene-12.140-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-12.140&CDS=1-5130	YDR122W, YLR096W
OG0000221	augustus_masked-scaffold_1-processed-gene-12.148-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-12.148&CDS=1-1968, genemark-scaffold_4-processed-gene-1.67-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-1.67&CDS=1-1047	YMR303C
OG0000222	maker-scaffold_1-snap-gene-13.0-mRNA-1_1&gene=maker-scaffold_1-snap-gene-13.0&CDS=1-3711	YHR179W, YPL171C
OG0000223	maker-scaffold_1-snap-gene-13.1-mRNA-1_1&gene=maker-scaffold_1-snap-gene-13.1&CDS=1-2805	YDR379W, YOR127W
OG0000224	genemark-scaffold_1-processed-gene-13.26-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-13.26&CDS=1-516	YMR242C, YOR312C
OG0000225	genemark-scaffold_1-processed-gene-13.21-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-13.21&CDS=1-900, maker-scaffold_3-snap-gene-12.224-mRNA-1_1&gene=maker-scaffold_3-snap-gene-12.224&CDS=1-1065	YGR060W
OG0000226	genemark-scaffold_1-processed-gene-13.28-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-13.28&CDS=1-1005	YDL127W, YDL179W
OG0000227	genemark-scaffold_1-processed-gene-13.32-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-13.32&CDS=1-1683, genemark-scaffold_1-processed-gene-13.57-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-13.57&CDS=1-1332	YML038C
OG0000228	snap_masked-scaffold_1-processed-gene-13.87-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-13.87&CDS=1-2721	YDR263C, YOR033C
OG0000229	augustus_masked-scaffold_4-processed-gene-10.104-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-10.104&CDS=1-4320, genemark-scaffold_1-processed-gene-14.109-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-14.109&CDS=1-1707	YIL038C
OG0000230	augustus_masked-scaffold_1-processed-gene-14.42-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-14.42&CDS=1-8751	YJL045W, YKL148C
OG0000231	augustus_masked-scaffold_2-processed-gene-0.85-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-0.85&CDS=1-2910, maker-scaffold_6-augustus-gene-6.6-mRNA-1_1&gene=maker-scaffold_6-augustus-gene-6.6&CDS=1-3015	YJR045C
OG0000232	augustus_masked-scaffold_2-processed-gene-0.67-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-0.67&CDS=1-2538	YAL062W, YOR375C
OG0000233	snap_masked-scaffold_2-processed-gene-0.137-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-0.137&CDS=1-4491	YCR073C, YNR031C
OG0000234	maker-scaffold_2-augustus-gene-1.107-mRNA-1_1&gene=maker-scaffold_2-augustus-gene-1.107&CDS=1-1914	YOR222W, YPL134C
OG0000235	maker-scaffold_2-snap-gene-1.65-mRNA-1_1&gene=maker-scaffold_2-snap-gene-1.65&CDS=1-2940	YCR073W-A, YNR034W
OG0000236	augustus_masked-scaffold_2-processed-gene-1.100-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-1.100&CDS=1-2592	YGR010W, YLR328W
OG0000237	snap_masked-scaffold_2-processed-gene-1.142-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-1.142&CDS=1-534	YLR456W, YPR172W
OG0000238	genemark-scaffold_7-processed-gene-5.3-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-5.3&CDS=1-3186, maker-scaffold_2-snap-gene-2.175-mRNA-1_1&gene=maker-scaffold_2-snap-gene-2.175&CDS=1-4176	YOR296W
OG0000239	augustus_masked-scaffold_2-processed-gene-2.162-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-2.162&CDS=1-1989	YBR161W, YPL057C
OG0000240	augustus_masked-scaffold_2-processed-gene-2.151-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-2.151&CDS=1-2577	YHR203C, YJR145C
OG0000241	genemark-scaffold_2-processed-gene-3.49-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-3.49&CDS=1-360	YER131W, YGL189C
OG0000242	snap_masked-scaffold_2-processed-gene-4.112-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-4.112&CDS=1-255	YMR253C, YPL264C
OG0000243	augustus_masked-scaffold_2-processed-gene-4.76-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-4.76&CDS=1-1944	YBR042C, YDR018C
OG0000244	genemark-scaffold_2-processed-gene-5.87-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-5.87&CDS=1-1296, snap_masked-scaffold_2-processed-gene-11.63-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-11.63&CDS=1-2796	YER152C
OG0000245	genemark-scaffold_2-processed-gene-5.96-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-5.96&CDS=1-2304	YOR256C, YPL176C
OG0000246	genemark-scaffold_2-processed-gene-6.118-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-6.118&CDS=1-924	YDR253C, YPL038W
OG0000247	genemark-scaffold_2-processed-gene-6.122-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-6.122&CDS=1-1464	YDR200C, YLR238W
OG0000248	genemark-scaffold_2-processed-gene-12.165-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-12.165&CDS=1-2541, genemark-scaffold_2-processed-gene-6.158-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-6.158&CDS=1-2364	YLR241W
OG0000249	genemark-scaffold_2-processed-gene-6.125-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-6.125&CDS=1-2286	YDR206W, YLR233C
OG0000250	snap_masked-scaffold_2-processed-gene-6.50-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-6.50&CDS=1-2454	YKL072W, YMR053C
OG0000251	genemark-scaffold_2-processed-gene-6.133-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-6.133&CDS=1-2607, genemark-scaffold_5-processed-gene-2.135-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-2.135&CDS=1-2403	YOR270C
OG0000252	augustus_masked-scaffold_2-processed-gene-6.106-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-6.106&CDS=1-1809	YLL010C, YLR019W
OG0000253	genemark-scaffold_2-processed-gene-6.143-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-6.143&CDS=1-306	YGR209C, YLR043C
OG0000254	augustus_masked-scaffold_2-processed-gene-7.91-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-7.91&CDS=1-6381	YGR092W, YPR111W
OG0000255	genemark-scaffold_2-processed-gene-7.51-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-7.51&CDS=1-555	YJL177W, YKL180W
OG0000256	maker-scaffold_2-augustus-gene-7.10-mRNA-1_1&gene=maker-scaffold_2-augustus-gene-7.10&CDS=1-2046	YJL139C, YKR061W
OG0000257	genemark-scaffold_2-processed-gene-9.79-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-9.79&CDS=1-510	YKL141W, YMR118C
OG0000258	augustus_masked-scaffold_3-processed-gene-6.39-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-6.39&CDS=1-3756, maker-scaffold_2-snap-gene-9.65-mRNA-1_1&gene=maker-scaffold_2-snap-gene-9.65&CDS=1-3051	YER070W
OG0000259	genemark-scaffold_2-processed-gene-9.92-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-9.92&CDS=1-381	YGR034W, YLR344W
OG0000260	augustus_masked-scaffold_2-processed-gene-9.151-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-9.151&CDS=1-1932	YGR141W, YPR157W
OG0000261	genemark-scaffold_2-processed-gene-9.123-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-9.123&CDS=1-1710	YIL085C, YNL029C
OG0000262	genemark-scaffold_2-processed-gene-10.103-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-10.103&CDS=1-1074, maker-scaffold_5-snap-gene-10.55-mRNA-1_1&gene=maker-scaffold_5-snap-gene-10.55&CDS=1-1320	YEL046C
OG0000263	augustus_masked-scaffold_2-processed-gene-11.1-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-11.1&CDS=1-8769, maker-scaffold_6-snap-gene-0.146-mRNA-1_1&gene=maker-scaffold_6-snap-gene-0.146&CDS=1-3090	YAL067C
OG0000264	snap_masked-scaffold_2-processed-gene-11.94-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-11.94&CDS=1-1299	YLL012W, YLR020C
OG0000265	genemark-scaffold_2-processed-gene-11.160-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-11.160&CDS=1-594, genemark-scaffold_3-processed-gene-1.8-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-1.8&CDS=1-468	YIR001C
OG0000266	snap_masked-scaffold_2-processed-gene-11.101-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-11.101&CDS=1-1902, snap_masked-scaffold_5-processed-gene-9.87-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-9.87&CDS=1-2847	YPL248C
OG0000267	genemark-scaffold_2-processed-gene-12.163-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-12.163&CDS=1-1323, genemark-scaffold_4-processed-gene-5.184-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-5.184&CDS=1-1401	YKL140W
OG0000268	genemark-scaffold_2-processed-gene-12.137-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-12.137&CDS=1-1200, genemark-scaffold_6-processed-gene-2.49-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-2.49&CDS=1-1311	YKL043W
OG0000269	augustus_masked-scaffold_2-processed-gene-12.110-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-12.110&CDS=1-2772	YIR031C, YNL117W
OG0000270	genemark-scaffold_2-processed-gene-12.146-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-12.146&CDS=1-888	YGR243W, YHR162W
OG0000271	genemark-scaffold_2-processed-gene-12.174-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-12.174&CDS=1-396	YHL001W, YKL006W
OG0000272	augustus_masked-scaffold_2-processed-gene-13.28-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-13.28&CDS=1-1932, genemark-scaffold_3-processed-gene-3.131-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-3.131&CDS=1-1890	YMR058W
OG0000273	genemark-scaffold_2-processed-gene-13.62-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-13.62&CDS=1-309	YBR009C, YNL030W
OG0000274	augustus_masked-scaffold_2-processed-gene-13.42-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-13.42&CDS=1-3630	YDR251W, YPL032C
OG0000275	genemark-scaffold_2-processed-gene-14.179-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-14.179&CDS=1-1194	YHL003C, YKL008C
OG0000276	genemark-scaffold_3-processed-gene-3.120-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-3.120&CDS=1-2352, maker-scaffold_2-snap-gene-14.96-mRNA-1_1&gene=maker-scaffold_2-snap-gene-14.96&CDS=1-3567	YPR181C
OG0000277	augustus_masked-scaffold_3-processed-gene-0.106-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-0.106&CDS=1-909, maker-scaffold_7-augustus-gene-8.213-mRNA-1_1&gene=maker-scaffold_7-augustus-gene-8.213&CDS=1-1545	YPL088W
OG0000278	genemark-scaffold_3-processed-gene-0.92-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-0.92&CDS=1-864	YPR013C, YPR015C
OG0000279	genemark-scaffold_3-processed-gene-0.96-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-0.96&CDS=1-3282, genemark-scaffold_3-processed-gene-2.121-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-2.121&CDS=1-5169	YNL271C
OG0000280	genemark-scaffold_3-processed-gene-1.35-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-1.35&CDS=1-660	YML106W, YMR271C
OG0000281	genemark-scaffold_3-processed-gene-1.11-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-1.11&CDS=1-1764, genemark-scaffold_7-processed-gene-5.9-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-5.9&CDS=1-1794	YDL206W
OG0000282	augustus_masked-scaffold_3-processed-gene-1.98-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-1.98&CDS=1-5577, augustus_masked-scaffold_6-processed-gene-4.95-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-4.95&CDS=1-6618	YGR281W
OG0000283	augustus_masked-scaffold_3-processed-gene-2.160-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-2.160&CDS=1-2787	YDR418W, YEL054C
OG0000284	genemark-scaffold_4-processed-gene-5.160-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-5.160&CDS=1-1098, snap_masked-scaffold_3-processed-gene-3.65-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-3.65&CDS=1-1092	YGL023C
OG0000285	genemark-scaffold_3-processed-gene-3.136-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-3.136&CDS=1-513	YGR085C, YPR102C
OG0000286	augustus_masked-scaffold_3-processed-gene-3.41-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-3.41&CDS=1-5382	YCR094W, YNL323W
OG0000287	genemark-scaffold_3-processed-gene-3.143-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-3.143&CDS=1-1032	YER045C, YIL036W
OG0000288	genemark-scaffold_3-processed-gene-4.54-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-4.54&CDS=1-2442, genemark-scaffold_6-processed-gene-2.85-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-2.85&CDS=1-2727	YJL108C
OG0000289	genemark-scaffold_3-processed-gene-4.83-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-4.83&CDS=1-591	YDL082W, YMR142C
OG0000290	genemark-scaffold_3-processed-gene-4.63-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-4.63&CDS=1-435	YDL083C, YMR143W
OG0000291	snap_masked-scaffold_3-processed-gene-4.43-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-4.43&CDS=1-2037	YGR221C, YHR149C
OG0000292	genemark-scaffold_3-processed-gene-5.4-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-5.4&CDS=1-3039	YGL049C, YGR162W
OG0000293	genemark-scaffold_3-processed-gene-5.41-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-5.41&CDS=1-1221, genemark-scaffold_4-processed-gene-7.67-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-7.67&CDS=1-1143	YLR210W
OG0000294	augustus_masked-scaffold_3-processed-gene-6.22-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-6.22&CDS=1-1284	YMR230W, YOR293W
OG0000295	augustus_masked-scaffold_6-processed-gene-2.27-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-2.27&CDS=1-7671, genemark-scaffold_3-processed-gene-6.109-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-6.109&CDS=1-4587	YDR135C
OG0000296	augustus_masked-scaffold_3-processed-gene-7.13-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-7.13&CDS=1-738	YAL018C, YOL048C
OG0000297	genemark-scaffold_3-processed-gene-7.146-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-7.146&CDS=1-1716	YHR131C, YNL144C
OG0000298	augustus_masked-scaffold_3-processed-gene-7.41-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-7.41&CDS=1-3378	YJR054W, YML047C
OG0000299	genemark-scaffold_3-processed-gene-8.16-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-8.16&CDS=1-375	YHR132W-A, YNL157W
OG0000300	genemark-scaffold_3-processed-gene-8.28-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-8.28&CDS=1-876	YHR133C, YNL156C
OG0000301	augustus_masked-scaffold_6-processed-gene-5.103-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-5.103&CDS=1-4113, genemark-scaffold_3-processed-gene-8.17-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-8.17&CDS=1-2391	YDL056W
OG0000302	snap_masked-scaffold_3-processed-gene-8.51-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-8.51&CDS=1-4071	YFR022W, YOR018W
OG0000303	snap_masked-scaffold_3-processed-gene-8.56-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-8.56&CDS=1-1269	YDR151C, YLR136C
OG0000304	snap_masked-scaffold_3-processed-gene-8.58-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-8.58&CDS=1-2643	YGR238C, YHR158C
OG0000305	augustus_masked-scaffold_3-processed-gene-9.24-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-9.24&CDS=1-2898, genemark-scaffold_3-processed-gene-9.30-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-9.30&CDS=1-1470	YNL243W
OG0000306	genemark-scaffold_3-processed-gene-9.35-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-9.35&CDS=1-552, maker-scaffold_3-snap-gene-9.7-mRNA-1_1&gene=maker-scaffold_3-snap-gene-9.7&CDS=1-1098	YCR097W
OG0000307	snap_masked-scaffold_3-processed-gene-9.71-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-9.71&CDS=1-804	YAL015C, YOL043C
OG0000308	snap_masked-scaffold_3-processed-gene-9.74-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-9.74&CDS=1-8235	YBR140C, YOL081W
OG0000309	maker-scaffold_3-snap-gene-10.125-mRNA-1_1&gene=maker-scaffold_3-snap-gene-10.125&CDS=1-1731	YBR183W, YPL087W
OG0000310	augustus_masked-scaffold_3-processed-gene-11.161-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-11.161&CDS=1-2907, genemark-scaffold_3-processed-gene-10.44-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-10.44&CDS=1-1902	YMR216C
OG0000311	augustus_masked-scaffold_3-processed-gene-10.101-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-10.101&CDS=1-3759	YBR169C, YPL106C
OG0000312	genemark-scaffold_3-processed-gene-10.60-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-10.60&CDS=1-1245, snap_masked-scaffold_4-processed-gene-5.65-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-5.65&CDS=1-1173	YBR239C
OG0000313	genemark-scaffold_3-processed-gene-10.36-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-10.36&CDS=1-654	YBR242W, YGL101W
OG0000314	genemark-scaffold_3-processed-gene-10.65-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-10.65&CDS=1-1194	YKR091W, YOR083W
OG0000315	genemark-scaffold_5-processed-gene-0.27-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-0.27&CDS=1-1461, maker-scaffold_3-augustus-gene-11.186-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-11.186&CDS=1-3006	YER052C
OG0000316	genemark-scaffold_3-processed-gene-11.38-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-11.38&CDS=1-1023	YDR277C, YOR047C
OG0000317	augustus_masked-scaffold_3-processed-gene-11.146-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-11.146&CDS=1-3177	YBR001C, YDR001C
OG0000318	genemark-scaffold_3-processed-gene-12.5-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-12.5&CDS=1-975	YBL068W, YER099C
OG0000319	genemark-scaffold_3-processed-gene-12.2-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-12.2&CDS=1-597	YBL072C, YER102W
OG0000320	genemark-scaffold_3-processed-gene-12.96-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-12.96&CDS=1-321	YGR027C, YLR333C
OG0000321	genemark-scaffold_3-processed-gene-12.106-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-12.106&CDS=1-1002, genemark-scaffold_3-processed-gene-12.114-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-12.114&CDS=1-984	YIL165C
OG0000322	augustus_masked-scaffold_3-processed-gene-12.161-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-12.161&CDS=1-1968, genemark-scaffold_3-processed-gene-12.108-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-12.108&CDS=1-1452	YCR023C
OG0000323	snap_masked-scaffold_4-processed-gene-0.113-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-0.113&CDS=1-5412, snap_masked-scaffold_4-processed-gene-0.136-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-0.136&CDS=1-5406	YGR184C
OG0000324	genemark-scaffold_4-processed-gene-0.30-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-0.30&CDS=1-1236, maker-scaffold_4-augustus-gene-5.4-mRNA-1_1&gene=maker-scaffold_4-augustus-gene-5.4&CDS=1-1899	YPR061C
OG0000325	augustus_masked-scaffold_4-processed-gene-0.99-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-0.99&CDS=1-1440	YBL027W, YBR084C-A
OG0000326	augustus_masked-scaffold_4-processed-gene-1.113-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-1.113&CDS=1-756	YDL048C, YLR375W
OG0000327	genemark-scaffold_4-processed-gene-1.30-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-1.30&CDS=1-1050, genemark-scaffold_5-processed-gene-8.155-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-8.155&CDS=1-1194	YKL004W
OG0000328	augustus_masked-scaffold_4-processed-gene-1.124-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-1.124&CDS=1-3243	YJL138C, YKR059W
OG0000329	snap_masked-scaffold_4-processed-gene-1.186-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-1.186&CDS=1-273	YBR089C-A, YPR052C
OG0000330	genemark-scaffold_4-processed-gene-2.137-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-2.137&CDS=1-876	YCL050C, YDR530C
OG0000331	genemark-scaffold_4-processed-gene-2.174-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-2.174&CDS=1-1002	YJL133W, YKR052C
OG0000332	augustus_masked-scaffold_4-processed-gene-3.3-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-3.3&CDS=1-885	YLR287C-A, YOR182C
OG0000333	genemark-scaffold_4-processed-gene-3.143-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-3.143&CDS=1-1215, genemark-scaffold_6-processed-gene-1.119-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-1.119&CDS=1-1131	YDR415C
OG0000334	augustus_masked-scaffold_4-processed-gene-3.23-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-3.23&CDS=1-3936	YKR089C, YOR081C
OG0000335	augustus_masked-scaffold_6-processed-gene-8.74-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-8.74&CDS=1-1746, maker-scaffold_4-augustus-gene-3.53-mRNA-1_1&gene=maker-scaffold_4-augustus-gene-3.53&CDS=1-1866	YEL065W
OG0000336	genemark-scaffold_4-processed-gene-3.155-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-3.155&CDS=1-1860	YDR107C, YLR083C
OG0000337	maker-scaffold_4-snap-gene-4.107-mRNA-1_1&gene=maker-scaffold_4-snap-gene-4.107&CDS=1-3090	YML100W, YMR261C
OG0000338	genemark-scaffold_6-processed-gene-0.124-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-0.124&CDS=1-1746, snap_masked-scaffold_4-processed-gene-4.136-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-4.136&CDS=1-1608	YIL166C
OG0000339	genemark-scaffold_4-processed-gene-5.142-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-5.142&CDS=1-1071	YBR031W, YDR012W
OG0000340	augustus_masked-scaffold_4-processed-gene-5.44-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-5.44&CDS=1-3486	YPR169W-A, YPR170W-B
OG0000341	maker-scaffold_4-snap-gene-5.134-mRNA-1_1&gene=maker-scaffold_4-snap-gene-5.134&CDS=1-3567	YDR409W, YOR156C
OG0000342	maker-scaffold_4-augustus-gene-6.47-mRNA-1_1&gene=maker-scaffold_4-augustus-gene-6.47&CDS=1-3411	YER066W, YFL009W
OG0000343	maker-scaffold_4-augustus-gene-7.4-mRNA-1_1&gene=maker-scaffold_4-augustus-gene-7.4&CDS=1-432	YBL087C, YER117W
OG0000344	augustus_masked-scaffold_4-processed-gene-7.42-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-7.42&CDS=1-2112	YDL022W, YOL059W
