	Lachancea_dasiensis	Saccharomyces_cerevisiae
OG0000501	genemark-LADA0A-processed-gene-5.1-mRNA-1_1&gene=genemark-LADA0A-processed-gene-5.1&CDS=1-1176	YER048C
OG0000502	genemark-LADA0A-processed-gene-5.6-mRNA-1_1&gene=genemark-LADA0A-processed-gene-5.6&CDS=1-2307	YIL038C
OG0000503	genemark-LADA0A-processed-gene-5.27-mRNA-1_1&gene=genemark-LADA0A-processed-gene-5.27&CDS=1-714	YER046W
OG0000504	genemark-LADA0A-processed-gene-5.7-mRNA-1_1&gene=genemark-LADA0A-processed-gene-5.7&CDS=1-1296	YIL036W
OG0000505	maker-LADA0A-snap-gene-5.48-mRNA-1_1&gene=maker-LADA0A-snap-gene-5.48&CDS=1-1968	YIL035C
OG0000506	genemark-LADA0A-processed-gene-5.10-mRNA-1_1&gene=genemark-LADA0A-processed-gene-5.10&CDS=1-393	YER044C
OG0000507	augustus_masked-LADA0A-processed-gene-5.128-mRNA-1_1&gene=augustus_masked-LADA0A-processed-gene-5.128&CDS=1-3798	YFR038W
OG0000508	maker-LADA0A-snap-gene-5.47-mRNA-1_1&gene=maker-LADA0A-snap-gene-5.47&CDS=1-1656	YFR037C
OG0000509	genemark-LADA0A-processed-gene-5.12-mRNA-1_1&gene=genemark-LADA0A-processed-gene-5.12&CDS=1-699	YGR057C
OG0000510	genemark-LADA0A-processed-gene-5.32-mRNA-1_1&gene=genemark-LADA0A-processed-gene-5.32&CDS=1-1446	YLR359W
OG0000511	genemark-LADA0A-processed-gene-5.33-mRNA-1_1&gene=genemark-LADA0A-processed-gene-5.33&CDS=1-2625	YLR357W
OG0000512	genemark-LADA0A-processed-gene-5.34-mRNA-1_1&gene=genemark-LADA0A-processed-gene-5.34&CDS=1-1662	YGR055W
OG0000513	genemark-LADA0A-processed-gene-5.14-mRNA-1_1&gene=genemark-LADA0A-processed-gene-5.14&CDS=1-1254	YFL026W
OG0000514	augustus_masked-LADA0A-processed-gene-5.132-mRNA-1_1&gene=augustus_masked-LADA0A-processed-gene-5.132&CDS=1-3099	YFL025C
OG0000515	augustus_masked-LADA0A-processed-gene-5.133-mRNA-1_1&gene=augustus_masked-LADA0A-processed-gene-5.133&CDS=1-2352	YFL024C
OG0000516	augustus_masked-LADA0A-processed-gene-5.115-mRNA-1_1&gene=augustus_masked-LADA0A-processed-gene-5.115&CDS=1-5772	YLR054C
OG0000517	genemark-LADA0A-processed-gene-5.36-mRNA-1_1&gene=genemark-LADA0A-processed-gene-5.36&CDS=1-1497	YFL022C
OG0000518	augustus_masked-LADA0A-processed-gene-5.135-mRNA-1_1&gene=augustus_masked-LADA0A-processed-gene-5.135&CDS=1-639	YLR052W
OG0000519	genemark-LADA0A-processed-gene-5.18-mRNA-1_1&gene=genemark-LADA0A-processed-gene-5.18&CDS=1-684	YLR051C
OG0000520	genemark-LADA0A-processed-gene-5.38-mRNA-1_1&gene=genemark-LADA0A-processed-gene-5.38&CDS=1-1494	YFL018C
OG0000521	augustus_masked-LADA0A-processed-gene-5.119-mRNA-1_1&gene=augustus_masked-LADA0A-processed-gene-5.119&CDS=1-228	YFL017W-A
OG0000522	genemark-LADA0A-processed-gene-5.39-mRNA-1_1&gene=genemark-LADA0A-processed-gene-5.39&CDS=1-471	YFL017C
OG0000523	genemark-LADA0A-processed-gene-5.40-mRNA-1_1&gene=genemark-LADA0A-processed-gene-5.40&CDS=1-510	YLR050C
OG0000524	genemark-LADA0A-processed-gene-5.41-mRNA-1_1&gene=genemark-LADA0A-processed-gene-5.41&CDS=1-1479	YFL016C
OG0000525	genemark-LADA0A-processed-gene-5.21-mRNA-1_1&gene=genemark-LADA0A-processed-gene-5.21&CDS=1-309	YFL014W
OG0000526	augustus_masked-LADA0A-processed-gene-5.139-mRNA-1_1&gene=augustus_masked-LADA0A-processed-gene-5.139&CDS=1-2043	YFL013C
OG0000527	genemark-LADA0A-processed-gene-5.43-mRNA-1_1&gene=genemark-LADA0A-processed-gene-5.43&CDS=1-672	YFL010C
OG0000528	genemark-LADA0A-processed-gene-5.23-mRNA-1_1&gene=genemark-LADA0A-processed-gene-5.23&CDS=1-2151	YFL009W
OG0000529	augustus_masked-LADA0A-processed-gene-5.123-mRNA-1_1&gene=augustus_masked-LADA0A-processed-gene-5.123&CDS=1-3684	YFL008W
OG0000530	augustus_masked-LADA0A-processed-gene-5.124-mRNA-1_1&gene=augustus_masked-LADA0A-processed-gene-5.124&CDS=1-6345	YFL007W
OG0000531	genemark-LADA0A-processed-gene-5.25-mRNA-1_1&gene=genemark-LADA0A-processed-gene-5.25&CDS=1-642	YFL005W
OG0000532	genemark-LADA0A-processed-gene-6.0-mRNA-1_1&gene=genemark-LADA0A-processed-gene-6.0&CDS=1-2490	YFL004W
OG0000533	genemark-LADA0A-processed-gene-6.1-mRNA-1_1&gene=genemark-LADA0A-processed-gene-6.1&CDS=1-1617	YPL020C
OG0000534	genemark-LADA0A-processed-gene-6.3-mRNA-1_1&gene=genemark-LADA0A-processed-gene-6.3&CDS=1-1020	YPL015C
OG0000535	genemark-LADA0A-processed-gene-6.2-mRNA-1_1&gene=genemark-LADA0A-processed-gene-6.2&CDS=1-3012	YPL009C
OG0000536	genemark-LADA0A-processed-gene-6.4-mRNA-1_1&gene=genemark-LADA0A-processed-gene-6.4&CDS=1-573	YPL010W
OG0000537	snap_masked-LADA0A-processed-gene-6.95-mRNA-1_1&gene=snap_masked-LADA0A-processed-gene-6.95&CDS=1-1056	YPL011C
OG0000538	genemark-LADA0A-processed-gene-6.25-mRNA-1_1&gene=genemark-LADA0A-processed-gene-6.25&CDS=1-3660	YPL012W
OG0000539	genemark-LADA0A-processed-gene-6.6-mRNA-1_1&gene=genemark-LADA0A-processed-gene-6.6&CDS=1-357	YPL013C
OG0000540	snap_masked-LADA0A-processed-gene-6.116-mRNA-1_1&gene=snap_masked-LADA0A-processed-gene-6.116&CDS=1-1098	YPL014W
OG0000541	genemark-LADA0A-processed-gene-6.7-mRNA-1_1&gene=genemark-LADA0A-processed-gene-6.7&CDS=1-2463	YPL008W
OG0000542	genemark-LADA0A-processed-gene-6.27-mRNA-1_1&gene=genemark-LADA0A-processed-gene-6.27&CDS=1-1713	YPL007C
OG0000543	augustus_masked-LADA0A-processed-gene-6.54-mRNA-1_1&gene=augustus_masked-LADA0A-processed-gene-6.54&CDS=1-3531	YPL006W
OG0000544	snap_masked-LADA0A-processed-gene-6.99-mRNA-1_1&gene=snap_masked-LADA0A-processed-gene-6.99&CDS=1-1800	YPL005W
OG0000545	snap_masked-LADA0A-processed-gene-6.100-mRNA-1_1&gene=snap_masked-LADA0A-processed-gene-6.100&CDS=1-1335	YPL003W
OG0000546	genemark-LADA0A-processed-gene-6.29-mRNA-1_1&gene=genemark-LADA0A-processed-gene-6.29&CDS=1-1794	YFL002C
OG0000547	genemark-LADA0A-processed-gene-6.11-mRNA-1_1&gene=genemark-LADA0A-processed-gene-6.11&CDS=1-1311	YFL001W
OG0000548	genemark-LADA0A-processed-gene-6.30-mRNA-1_1&gene=genemark-LADA0A-processed-gene-6.30&CDS=1-702	YPL002C
OG0000549	genemark-LADA0A-processed-gene-6.12-mRNA-1_1&gene=genemark-LADA0A-processed-gene-6.12&CDS=1-1173	YPL001W
OG0000550	genemark-LADA0A-processed-gene-6.13-mRNA-1_1&gene=genemark-LADA0A-processed-gene-6.13&CDS=1-630	YFR001W
OG0000551	genemark-LADA0A-processed-gene-6.14-mRNA-1_1&gene=genemark-LADA0A-processed-gene-6.14&CDS=1-2541	YFR002W
OG0000552	genemark-LADA0A-processed-gene-6.15-mRNA-1_1&gene=genemark-LADA0A-processed-gene-6.15&CDS=1-936	YFR004W
OG0000553	snap_masked-LADA0A-processed-gene-6.122-mRNA-1_1&gene=snap_masked-LADA0A-processed-gene-6.122&CDS=1-1470	YFR005C
OG0000554	genemark-LADA0A-processed-gene-6.16-mRNA-1_1&gene=genemark-LADA0A-processed-gene-6.16&CDS=1-1551	YFR006W
OG0000555	genemark-LADA0A-processed-gene-6.19-mRNA-1_1&gene=genemark-LADA0A-processed-gene-6.19&CDS=1-552	YBR022W
OG0000556	genemark-LADA0A-processed-gene-6.34-mRNA-1_1&gene=genemark-LADA0A-processed-gene-6.34&CDS=1-3219	YBR023C
OG0000557	genemark-LADA0A-processed-gene-6.21-mRNA-1_1&gene=genemark-LADA0A-processed-gene-6.21&CDS=1-912	YBR037C
OG0000558	genemark-LADA0A-processed-gene-6.36-mRNA-1_1&gene=genemark-LADA0A-processed-gene-6.36&CDS=1-1179	YBR025C
OG0000559	genemark-LADA0A-processed-gene-6.22-mRNA-1_1&gene=genemark-LADA0A-processed-gene-6.22&CDS=1-1263	YLR449W
OG0000560	genemark-LADA0A-processed-gene-6.23-mRNA-1_1&gene=genemark-LADA0A-processed-gene-6.23&CDS=1-3135	YML075C
OG0000561	genemark-LADA0A-processed-gene-6.24-mRNA-1_1&gene=genemark-LADA0A-processed-gene-6.24&CDS=1-2532	YML076C
OG0000562	maker-LADA0A-snap-gene-6.89-mRNA-1_1&gene=maker-LADA0A-snap-gene-6.89&CDS=1-474	YML077W
OG0000563	genemark-LADA0A-processed-gene-6.38-mRNA-1_1&gene=genemark-LADA0A-processed-gene-6.38&CDS=1-1170	YJR125C
OG0000564	augustus_masked-LADA0A-processed-gene-6.84-mRNA-1_1&gene=augustus_masked-LADA0A-processed-gene-6.84&CDS=1-555	YML078W
OG0000565	genemark-LADA0A-processed-gene-6.41-mRNA-1_1&gene=genemark-LADA0A-processed-gene-6.41&CDS=1-657	YML079W
OG0000566	maker-LADA0A-augustus-gene-6.136-mRNA-1_1&gene=maker-LADA0A-augustus-gene-6.136&CDS=1-4965	YML080W
OG0000567	genemark-LADA0A-processed-gene-7.140-mRNA-1_1&gene=genemark-LADA0A-processed-gene-7.140&CDS=1-951	YJR129C
OG0000568	genemark-LADA0A-processed-gene-7.141-mRNA-1_1&gene=genemark-LADA0A-processed-gene-7.141&CDS=1-1026	YIR029W
OG0000569	snap_masked-LADA0A-processed-gene-7.66-mRNA-1_1&gene=snap_masked-LADA0A-processed-gene-7.66&CDS=1-177	YML081C-A
OG0000570	genemark-LADA0A-processed-gene-7.138-mRNA-1_1&gene=genemark-LADA0A-processed-gene-7.138&CDS=1-1608	YJR131W
OG0000571	genemark-LADA0A-processed-gene-7.143-mRNA-1_1&gene=genemark-LADA0A-processed-gene-7.143&CDS=1-387	YHR191C
OG0000572	augustus_masked-LADA0A-processed-gene-7.1-mRNA-1_1&gene=augustus_masked-LADA0A-processed-gene-7.1&CDS=1-843	YHR192W
OG0000573	genemark-LADA0A-processed-gene-7.174-mRNA-1_1&gene=genemark-LADA0A-processed-gene-7.174&CDS=1-534	YHR193C
OG0000574	snap_masked-LADA0A-processed-gene-7.73-mRNA-1_1&gene=snap_masked-LADA0A-processed-gene-7.73&CDS=1-1608	YHR194W
OG0000575	augustus_masked-LADA0A-processed-gene-7.7-mRNA-1_1&gene=augustus_masked-LADA0A-processed-gene-7.7&CDS=1-3156	YJR132W
OG0000576	augustus_masked-LADA0A-processed-gene-7.8-mRNA-1_1&gene=augustus_masked-LADA0A-processed-gene-7.8&CDS=1-1659	YHR196W
OG0000577	genemark-LADA0A-processed-gene-7.147-mRNA-1_1&gene=genemark-LADA0A-processed-gene-7.147&CDS=1-639	YJR133W
OG0000578	augustus_masked-LADA0A-processed-gene-7.32-mRNA-1_1&gene=augustus_masked-LADA0A-processed-gene-7.32&CDS=1-1947	YJR134C
OG0000579	genemark-LADA0A-processed-gene-7.148-mRNA-1_1&gene=genemark-LADA0A-processed-gene-7.148&CDS=1-2307	YHR197W
OG0000580	augustus_masked-LADA0A-processed-gene-7.33-mRNA-1_1&gene=augustus_masked-LADA0A-processed-gene-7.33&CDS=1-717	YJR135C
OG0000581	augustus_masked-LADA0A-processed-gene-7.11-mRNA-1_1&gene=augustus_masked-LADA0A-processed-gene-7.11&CDS=1-261	YJR135W-A
OG0000582	augustus_masked-LADA0A-processed-gene-7.34-mRNA-1_1&gene=augustus_masked-LADA0A-processed-gene-7.34&CDS=1-1260	YJR136C
OG0000583	augustus_masked-LADA0A-processed-gene-7.35-mRNA-1_1&gene=augustus_masked-LADA0A-processed-gene-7.35&CDS=1-5022	YJR137C
OG0000584	genemark-LADA0A-processed-gene-7.151-mRNA-1_1&gene=genemark-LADA0A-processed-gene-7.151&CDS=1-783	YHR200W
OG0000585	genemark-LADA0A-processed-gene-7.152-mRNA-1_1&gene=genemark-LADA0A-processed-gene-7.152&CDS=1-4617	YJR138W
OG0000586	genemark-LADA0A-processed-gene-7.181-mRNA-1_1&gene=genemark-LADA0A-processed-gene-7.181&CDS=1-5940	YJR140C
OG0000587	augustus_masked-LADA0A-processed-gene-7.15-mRNA-1_1&gene=augustus_masked-LADA0A-processed-gene-7.15&CDS=1-1056	YJR141W
OG0000588	augustus_masked-LADA0A-processed-gene-7.38-mRNA-1_1&gene=augustus_masked-LADA0A-processed-gene-7.38&CDS=1-1161	YHR201C
OG0000589	genemark-LADA0A-processed-gene-7.154-mRNA-1_1&gene=genemark-LADA0A-processed-gene-7.154&CDS=1-1020	YJR142W
OG0000590	genemark-LADA0A-processed-gene-7.183-mRNA-1_1&gene=genemark-LADA0A-processed-gene-7.183&CDS=1-2274	YJR143C
OG0000591	genemark-LADA0A-processed-gene-7.155-mRNA-1_1&gene=genemark-LADA0A-processed-gene-7.155&CDS=1-780	YJR144W
OG0000592	genemark-LADA0A-processed-gene-7.156-mRNA-1_1&gene=genemark-LADA0A-processed-gene-7.156&CDS=1-1770	YHR202W
OG0000593	genemark-LADA0A-processed-gene-7.157-mRNA-1_1&gene=genemark-LADA0A-processed-gene-7.157&CDS=1-2370	YHR204W
OG0000594	genemark-LADA0A-processed-gene-7.158-mRNA-1_1&gene=genemark-LADA0A-processed-gene-7.158&CDS=1-2259	YHR205W
OG0000595	genemark-LADA0A-processed-gene-7.159-mRNA-1_1&gene=genemark-LADA0A-processed-gene-7.159&CDS=1-1404	YHR206W
OG0000596	genemark-LADA0A-processed-gene-7.185-mRNA-1_1&gene=genemark-LADA0A-processed-gene-7.185&CDS=1-1458	YHR207C
OG0000597	augustus_masked-LADA0A-processed-gene-7.20-mRNA-1_1&gene=augustus_masked-LADA0A-processed-gene-7.20&CDS=1-717	YER182W
OG0000598	genemark-LADA0A-processed-gene-7.186-mRNA-1_1&gene=genemark-LADA0A-processed-gene-7.186&CDS=1-648	YER183C
OG0000599	genemark-LADA0A-processed-gene-7.161-mRNA-1_1&gene=genemark-LADA0A-processed-gene-7.161&CDS=1-516	YAL044C
OG0000600	genemark-LADA0A-processed-gene-7.187-mRNA-1_1&gene=genemark-LADA0A-processed-gene-7.187&CDS=1-357	YAL044W-A
OG0000601	snap_masked-LADA0A-processed-gene-7.92-mRNA-1_1&gene=snap_masked-LADA0A-processed-gene-7.92&CDS=1-279	YAL046C
OG0000602	genemark-LADA0A-processed-gene-7.188-mRNA-1_1&gene=genemark-LADA0A-processed-gene-7.188&CDS=1-2208	YOR361C
OG0000603	augustus_masked-LADA0A-processed-gene-7.22-mRNA-1_1&gene=augustus_masked-LADA0A-processed-gene-7.22&CDS=1-2253	YAL047C
OG0000604	genemark-LADA0A-processed-gene-7.189-mRNA-1_1&gene=genemark-LADA0A-processed-gene-7.189&CDS=1-843	YOR362C
OG0000605	genemark-LADA0A-processed-gene-7.163-mRNA-1_1&gene=genemark-LADA0A-processed-gene-7.163&CDS=1-1992	YAL048C
OG0000606	genemark-LADA0A-processed-gene-7.190-mRNA-1_1&gene=genemark-LADA0A-processed-gene-7.190&CDS=1-2292	YAL053W
OG0000607	genemark-LADA0A-processed-gene-7.164-mRNA-1_1&gene=genemark-LADA0A-processed-gene-7.164&CDS=1-621	YOR367W
OG0000608	genemark-LADA0A-processed-gene-7.165-mRNA-1_1&gene=genemark-LADA0A-processed-gene-7.165&CDS=1-1167	YOR368W
OG0000609	genemark-LADA0A-processed-gene-7.192-mRNA-1_1&gene=genemark-LADA0A-processed-gene-7.192&CDS=1-420	YOR369C
OG0000610	augustus_masked-LADA0A-processed-gene-7.47-mRNA-1_1&gene=augustus_masked-LADA0A-processed-gene-7.47&CDS=1-1842	YOR370C
OG0000611	augustus_masked-LADA0A-processed-gene-7.49-mRNA-1_1&gene=augustus_masked-LADA0A-processed-gene-7.49&CDS=1-1473	YOR372C
OG0000612	augustus_masked-LADA0A-processed-gene-7.25-mRNA-1_1&gene=augustus_masked-LADA0A-processed-gene-7.25&CDS=1-2184	YOR373W
OG0000613	genemark-LADA0A-processed-gene-7.197-mRNA-1_1&gene=genemark-LADA0A-processed-gene-7.197&CDS=1-561	YAL059W
OG0000614	augustus_masked-LADA0A-processed-gene-7.53-mRNA-1_1&gene=augustus_masked-LADA0A-processed-gene-7.53&CDS=1-603	YJR115W
OG0000615	snap_masked-LADA0A-processed-gene-7.137-mRNA-1_1&gene=snap_masked-LADA0A-processed-gene-7.137&CDS=1-801	YDL241W
OG0000616	snap_masked-LADA0B-processed-gene-0.67-mRNA-1_1&gene=snap_masked-LADA0B-processed-gene-0.67&CDS=1-4680	YNL242W
OG0000617	snap_masked-LADA0B-processed-gene-0.68-mRNA-1_1&gene=snap_masked-LADA0B-processed-gene-0.68&CDS=1-3144	YDL240W
OG0000618	genemark-LADA0B-processed-gene-0.44-mRNA-1_1&gene=genemark-LADA0B-processed-gene-0.44&CDS=1-1545	YNL241C
OG0000619	genemark-LADA0B-processed-gene-0.45-mRNA-1_1&gene=genemark-LADA0B-processed-gene-0.45&CDS=1-1422	YNL240C
OG0000620	genemark-LADA0B-processed-gene-0.31-mRNA-1_1&gene=genemark-LADA0B-processed-gene-0.31&CDS=1-2388	YNL238W
OG0000621	genemark-LADA0B-processed-gene-0.32-mRNA-1_1&gene=genemark-LADA0B-processed-gene-0.32&CDS=1-1287	YNL237W
OG0000622	genemark-LADA0B-processed-gene-0.33-mRNA-1_1&gene=genemark-LADA0B-processed-gene-0.33&CDS=1-2811	YNL236W
OG0000623	genemark-LADA0B-processed-gene-0.34-mRNA-1_1&gene=genemark-LADA0B-processed-gene-0.34&CDS=1-783	YGR253C
OG0000624	augustus_masked-LADA0B-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-LADA0B-processed-gene-0.18&CDS=1-1308	YGR252W
OG0000625	genemark-LADA0B-processed-gene-0.47-mRNA-1_1&gene=genemark-LADA0B-processed-gene-0.47&CDS=1-1896	YHR171W
OG0000626	genemark-LADA0B-processed-gene-0.48-mRNA-1_1&gene=genemark-LADA0B-processed-gene-0.48&CDS=1-1539	YHR170W
OG0000627	genemark-LADA0B-processed-gene-0.49-mRNA-1_1&gene=genemark-LADA0B-processed-gene-0.49&CDS=1-606	YGR251W
OG0000628	maker-LADA0B-snap-gene-0.62-mRNA-1_1&gene=maker-LADA0B-snap-gene-0.62&CDS=1-2928	YHR169W
OG0000629	augustus_masked-LADA0B-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-LADA0B-processed-gene-0.23&CDS=1-780	YHR167W
OG0000630	genemark-LADA0B-processed-gene-0.35-mRNA-1_1&gene=genemark-LADA0B-processed-gene-0.35&CDS=1-1887	YHR166C
OG0000631	augustus_masked-LADA0B-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-LADA0B-processed-gene-0.9&CDS=1-7281	YHR165C
OG0000632	snap_masked-LADA0B-processed-gene-0.76-mRNA-1_1&gene=snap_masked-LADA0B-processed-gene-0.76&CDS=1-4575	YHR164C
OG0000633	genemark-LADA0B-processed-gene-0.37-mRNA-1_1&gene=genemark-LADA0B-processed-gene-0.37&CDS=1-2280	YGR250C
OG0000634	genemark-LADA0B-processed-gene-0.53-mRNA-1_1&gene=genemark-LADA0B-processed-gene-0.53&CDS=1-1194	YGR249W
OG0000635	genemark-LADA0B-processed-gene-0.54-mRNA-1_1&gene=genemark-LADA0B-processed-gene-0.54&CDS=1-765	YHR163W
OG0000636	snap_masked-LADA0B-processed-gene-1.47-mRNA-1_1&gene=snap_masked-LADA0B-processed-gene-1.47&CDS=1-1359	YJL213W
OG0000637	genemark-LADA0B-processed-gene-1.2-mRNA-1_1&gene=genemark-LADA0B-processed-gene-1.2&CDS=1-1248	YGR244C
OG0000638	genemark-LADA0B-processed-gene-1.3-mRNA-1_1&gene=genemark-LADA0B-processed-gene-1.3&CDS=1-2181	YGR245C
OG0000639	genemark-LADA0B-processed-gene-1.24-mRNA-1_1&gene=genemark-LADA0B-processed-gene-1.24&CDS=1-1743	YGR246C
OG0000640	genemark-LADA0B-processed-gene-1.4-mRNA-1_1&gene=genemark-LADA0B-processed-gene-1.4&CDS=1-645	YGR247W
OG0000641	genemark-LADA0B-processed-gene-1.25-mRNA-1_1&gene=genemark-LADA0B-processed-gene-1.25&CDS=1-2487	YMR309C
OG0000642	genemark-LADA0B-processed-gene-1.26-mRNA-1_1&gene=genemark-LADA0B-processed-gene-1.26&CDS=1-921	YGR282C
OG0000643	genemark-LADA0B-processed-gene-1.27-mRNA-1_1&gene=genemark-LADA0B-processed-gene-1.27&CDS=1-1167	YMR310C
OG0000644	genemark-LADA0B-processed-gene-1.28-mRNA-1_1&gene=genemark-LADA0B-processed-gene-1.28&CDS=1-654	YMR311C
OG0000645	genemark-LADA0B-processed-gene-1.29-mRNA-1_1&gene=genemark-LADA0B-processed-gene-1.29&CDS=1-912	YGR284C
OG0000646	genemark-LADA0B-processed-gene-1.30-mRNA-1_1&gene=genemark-LADA0B-processed-gene-1.30&CDS=1-1284	YGR285C
OG0000647	genemark-LADA0B-processed-gene-1.6-mRNA-1_1&gene=genemark-LADA0B-processed-gene-1.6&CDS=1-834	YMR312W
OG0000648	augustus_masked-LADA0B-processed-gene-1.121-mRNA-1_1&gene=augustus_masked-LADA0B-processed-gene-1.121&CDS=1-1740	YMR313C
OG0000649	maker-LADA0B-augustus-gene-1.44-mRNA-1_1&gene=maker-LADA0B-augustus-gene-1.44&CDS=1-2619	YMR301C
OG0000650	genemark-LADA0B-processed-gene-1.9-mRNA-1_1&gene=genemark-LADA0B-processed-gene-1.9&CDS=1-1530	YMR300C
OG0000651	snap_masked-LADA0B-processed-gene-1.58-mRNA-1_1&gene=snap_masked-LADA0B-processed-gene-1.58&CDS=1-1014	YMR299C
OG0000652	genemark-LADA0B-processed-gene-1.11-mRNA-1_1&gene=genemark-LADA0B-processed-gene-1.11&CDS=1-1995	YGR276C
OG0000653	augustus_masked-LADA0B-processed-gene-1.122-mRNA-1_1&gene=augustus_masked-LADA0B-processed-gene-1.122&CDS=1-594	YGR275W
OG0000654	genemark-LADA0B-processed-gene-1.12-mRNA-1_1&gene=genemark-LADA0B-processed-gene-1.12&CDS=1-3012	YGR274C
OG0000655	snap_masked-LADA0B-processed-gene-1.81-mRNA-1_1&gene=snap_masked-LADA0B-processed-gene-1.81&CDS=1-420	YMR298W
OG0000656	genemark-LADA0B-processed-gene-1.13-mRNA-1_1&gene=genemark-LADA0B-processed-gene-1.13&CDS=1-1650	YMR296C
OG0000657	augustus_masked-LADA0B-processed-gene-1.107-mRNA-1_1&gene=augustus_masked-LADA0B-processed-gene-1.107&CDS=1-1152	YGR271C-A
OG0000658	augustus_masked-LADA0B-processed-gene-1.126-mRNA-1_1&gene=augustus_masked-LADA0B-processed-gene-1.126&CDS=1-1122	YMR294W
OG0000659	genemark-LADA0B-processed-gene-1.16-mRNA-1_1&gene=genemark-LADA0B-processed-gene-1.16&CDS=1-1413	YMR293C
OG0000660	augustus_masked-LADA0B-processed-gene-1.127-mRNA-1_1&gene=augustus_masked-LADA0B-processed-gene-1.127&CDS=1-4065	YGR270W
OG0000661	snap_masked-LADA0B-processed-gene-1.86-mRNA-1_1&gene=snap_masked-LADA0B-processed-gene-1.86&CDS=1-423	YMR292W
OG0000662	genemark-LADA0B-processed-gene-1.17-mRNA-1_1&gene=genemark-LADA0B-processed-gene-1.17&CDS=1-615	YGR268C
OG0000663	genemark-LADA0B-processed-gene-1.18-mRNA-1_1&gene=genemark-LADA0B-processed-gene-1.18&CDS=1-732	YGR267C
OG0000664	genemark-LADA0B-processed-gene-1.38-mRNA-1_1&gene=genemark-LADA0B-processed-gene-1.38&CDS=1-1557	YMR291W
OG0000665	genemark-LADA0B-processed-gene-1.39-mRNA-1_1&gene=genemark-LADA0B-processed-gene-1.39&CDS=1-2079	YGR266W
OG0000666	maker-LADA0B-augustus-gene-1.45-mRNA-1_1&gene=maker-LADA0B-augustus-gene-1.45&CDS=1-3795	YGR264C
OG0000667	genemark-LADA0B-processed-gene-1.21-mRNA-1_1&gene=genemark-LADA0B-processed-gene-1.21&CDS=1-783	YGR262C
OG0000668	genemark-LADA0B-processed-gene-1.40-mRNA-1_1&gene=genemark-LADA0B-processed-gene-1.40&CDS=1-1170	YMR289W
OG0000669	genemark-LADA0B-processed-gene-1.22-mRNA-1_1&gene=genemark-LADA0B-processed-gene-1.22&CDS=1-2412	YGR261C
OG0000670	genemark-LADA0B-processed-gene-1.41-mRNA-1_1&gene=genemark-LADA0B-processed-gene-1.41&CDS=1-2973	YMR288W
OG0000671	genemark-LADA0B-processed-gene-1.23-mRNA-1_1&gene=genemark-LADA0B-processed-gene-1.23&CDS=1-1980	YHR188C
OG0000672	genemark-LADA0B-processed-gene-1.42-mRNA-1_1&gene=genemark-LADA0B-processed-gene-1.42&CDS=1-900	YHR187W
OG0000673	genemark-LADA0B-processed-gene-2.102-mRNA-1_1&gene=genemark-LADA0B-processed-gene-2.102&CDS=1-4536	YHR186C
OG0000674	maker-LADA0B-snap-gene-2.47-mRNA-1_1&gene=maker-LADA0B-snap-gene-2.47&CDS=1-2400	YGR258C
OG0000675	snap_masked-LADA0B-processed-gene-2.52-mRNA-1_1&gene=snap_masked-LADA0B-processed-gene-2.52&CDS=1-735	YHR185C
OG0000676	genemark-LADA0B-processed-gene-2.101-mRNA-1_1&gene=genemark-LADA0B-processed-gene-2.101&CDS=1-1038	YGR257C
OG0000677	augustus_masked-LADA0B-processed-gene-2.22-mRNA-1_1&gene=augustus_masked-LADA0B-processed-gene-2.22&CDS=1-1791	YHR184W
OG0000678	genemark-LADA0B-processed-gene-2.120-mRNA-1_1&gene=genemark-LADA0B-processed-gene-2.120&CDS=1-1476	YHR183W
OG0000679	genemark-LADA0B-processed-gene-2.121-mRNA-1_1&gene=genemark-LADA0B-processed-gene-2.121&CDS=1-1290	YOR301W
OG0000680	genemark-LADA0B-processed-gene-2.103-mRNA-1_1&gene=genemark-LADA0B-processed-gene-2.103&CDS=1-1086	YHR075C
OG0000681	genemark-LADA0B-processed-gene-2.123-mRNA-1_1&gene=genemark-LADA0B-processed-gene-2.123&CDS=1-2142	YHR074W
OG0000682	maker-LADA0B-augustus-gene-2.49-mRNA-1_1&gene=maker-LADA0B-augustus-gene-2.49&CDS=1-2157	YDR321W
OG0000683	genemark-LADA0B-processed-gene-2.126-mRNA-1_1&gene=genemark-LADA0B-processed-gene-2.126&CDS=1-2670	YHR073W
OG0000684	snap_masked-LADA0B-processed-gene-2.56-mRNA-1_1&gene=snap_masked-LADA0B-processed-gene-2.56&CDS=1-216	YDR320C-A
OG0000685	augustus_masked-LADA0B-processed-gene-2.8-mRNA-1_1&gene=augustus_masked-LADA0B-processed-gene-2.8&CDS=1-1923	YDR320C
OG0000686	genemark-LADA0B-processed-gene-2.127-mRNA-1_1&gene=genemark-LADA0B-processed-gene-2.127&CDS=1-2190	YHR072W
OG0000687	snap_masked-LADA0B-processed-gene-2.80-mRNA-1_1&gene=snap_masked-LADA0B-processed-gene-2.80&CDS=1-1044	YDR318W
OG0000688	snap_masked-LADA0B-processed-gene-2.81-mRNA-1_1&gene=snap_masked-LADA0B-processed-gene-2.81&CDS=1-1518	YDR317W
