	Saccharomyces_cerevisiae	yHMPu5000035654_Tortispora_ganteri
OG0000317	YIR034C	augustus_masked-flattened_line_120-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_120-processed-gene-0.2&CDS=1-1086, augustus_masked-flattened_line_122-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-flattened_line_122-processed-gene-0.10&CDS=1-1086
OG0000318	YJL005W	augustus_masked-flattened_line_54-processed-gene-0.119-mRNA-1_1&gene=augustus_masked-flattened_line_54-processed-gene-0.119&CDS=1-4599, maker-flattened_line_4-augustus-gene-4.91-mRNA-1_1&gene=maker-flattened_line_4-augustus-gene-4.91&CDS=1-6477
OG0000319	YJL076W, YKR010C	augustus_masked-flattened_line_24-processed-gene-0.83-mRNA-1_1&gene=augustus_masked-flattened_line_24-processed-gene-0.83&CDS=1-1773
OG0000320	YJL082W, YKR018C	augustus_masked-flattened_line_6-processed-gene-4.121-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-4.121&CDS=1-1935
OG0000321	YJL083W, YKR019C	augustus_masked-flattened_line_18-processed-gene-2.98-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-2.98&CDS=1-2397
OG0000322	YJL084C, YKR021W	augustus_masked-flattened_line_6-processed-gene-3.80-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-3.80&CDS=1-2220
OG0000323	YJL105W, YKR029C	augustus_masked-flattened_line_60-processed-gene-0.115-mRNA-1_1&gene=augustus_masked-flattened_line_60-processed-gene-0.115&CDS=1-2406
OG0000324	YJL116C, YKR042W	augustus_masked-flattened_line_4-processed-gene-2.115-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-2.115&CDS=1-1086
OG0000325	YJL133W, YKR052C	augustus_masked-flattened_line_6-processed-gene-4.130-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-4.130&CDS=1-996
OG0000326	YJL134W, YKR053C	augustus_masked-flattened_line_42-processed-gene-0.110-mRNA-1_1&gene=augustus_masked-flattened_line_42-processed-gene-0.110&CDS=1-1512
OG0000327	YJL136C, YKR057W	augustus_masked-flattened_line_22-processed-gene-1.208-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-1.208&CDS=1-258
OG0000328	YJL137C, YKR058W	snap_masked-flattened_line_58-processed-gene-0.122-mRNA-1_1&gene=snap_masked-flattened_line_58-processed-gene-0.122&CDS=1-1077
OG0000329	YJL172W, YOL153C	augustus_masked-flattened_line_74-processed-gene-0.43-mRNA-1_1&gene=augustus_masked-flattened_line_74-processed-gene-0.43&CDS=1-1701
OG0000330	YJL177W, YKL180W	augustus_masked-flattened_line_6-processed-gene-2.51-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-2.51&CDS=1-504
OG0000331	YJL190C, YLR367W	augustus_masked-flattened_line_14-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-0.8&CDS=1-5583
OG0000332	YJL206C, YMR168C	maker-flattened_line_30-snap-gene-0.92-mRNA-1_1&gene=maker-flattened_line_30-snap-gene-0.92&CDS=1-2280
OG0000333	YJL212C	augustus_masked-flattened_line_20-processed-gene-0.81-mRNA-1_1&gene=augustus_masked-flattened_line_20-processed-gene-0.81&CDS=1-2532, augustus_masked-flattened_line_44-processed-gene-0.190-mRNA-1_1&gene=augustus_masked-flattened_line_44-processed-gene-0.190&CDS=1-2340
OG0000334	YJR016C	augustus_masked-flattened_line_12-processed-gene-2.270-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-2.270&CDS=1-1782, augustus_masked-flattened_line_22-processed-gene-1.228-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-1.228&CDS=1-1746
OG0000335	YJR040W	augustus_masked-flattened_line_4-processed-gene-0.71-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-0.71&CDS=1-2154, augustus_masked-flattened_line_74-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-flattened_line_74-processed-gene-0.49&CDS=1-2307
OG0000336	YJR054W, YML047C	augustus_masked-flattened_line_14-processed-gene-1.116-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-1.116&CDS=1-1230
OG0000337	YJR061W, YKL201C	augustus_masked-flattened_line_6-processed-gene-3.74-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-3.74&CDS=1-1398
OG0000338	YJR091C, YPR042C	augustus_masked-flattened_line_74-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-flattened_line_74-processed-gene-0.38&CDS=1-3114
OG0000339	YJR094W-A, YPR043W	maker-flattened_line_0-augustus-gene-1.111-mRNA-1_1&gene=maker-flattened_line_0-augustus-gene-1.111&CDS=1-285
OG0000340	YJR126C	augustus_masked-flattened_line_22-processed-gene-1.175-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-1.175&CDS=1-2307, maker-flattened_line_86-augustus-gene-0.18-mRNA-1_1&gene=maker-flattened_line_86-augustus-gene-0.18&CDS=1-3252
OG0000341	YJR127C, YML081W	augustus_masked-flattened_line_36-processed-gene-0.78-mRNA-1_1&gene=augustus_masked-flattened_line_36-processed-gene-0.78&CDS=1-3801
OG0000342	YJR130C, YML082W	augustus_masked-flattened_line_72-processed-gene-0.72-mRNA-1_1&gene=augustus_masked-flattened_line_72-processed-gene-0.72&CDS=1-1698
OG0000343	YKL043W, YMR016C	snap_masked-flattened_line_6-processed-gene-0.8-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-0.8&CDS=1-2169
OG0000344	YKL050C, YMR031C	augustus_masked-flattened_line_30-processed-gene-0.141-mRNA-1_1&gene=augustus_masked-flattened_line_30-processed-gene-0.141&CDS=1-2490
OG0000345	YKL072W, YMR053C	augustus_masked-flattened_line_66-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-flattened_line_66-processed-gene-0.19&CDS=1-2139
OG0000346	YKL081W, YPL048W	augustus_masked-flattened_line_8-processed-gene-1.106-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-1.106&CDS=1-1224
OG0000347	YKL121W, YMR102C	augustus_masked-flattened_line_2-processed-gene-2.61-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-2.61&CDS=1-2499
OG0000348	YKL126W, YMR104C	genemark-flattened_line_0-processed-gene-4.123-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-4.123&CDS=1-1746
OG0000349	YKL132C, YMR113W	genemark-flattened_line_60-processed-gene-0.23-mRNA-1_1&gene=genemark-flattened_line_60-processed-gene-0.23&CDS=1-1260
OG0000350	YKL133C, YMR115W	augustus_masked-flattened_line_6-processed-gene-4.188-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-4.188&CDS=1-1653
OG0000351	YKL141W, YMR118C	augustus_masked-flattened_line_38-processed-gene-0.60-mRNA-1_1&gene=augustus_masked-flattened_line_38-processed-gene-0.60&CDS=1-552
OG0000352	YKR048C	augustus_masked-flattened_line_48-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-flattened_line_48-processed-gene-0.29&CDS=1-1344, snap_masked-flattened_line_38-processed-gene-0.134-mRNA-1_1&gene=snap_masked-flattened_line_38-processed-gene-0.134&CDS=1-402
OG0000353	YKR070W	augustus_masked-flattened_line_2-processed-gene-6.169-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-6.169&CDS=1-1293, augustus_masked-flattened_line_24-processed-gene-1.115-mRNA-1_1&gene=augustus_masked-flattened_line_24-processed-gene-1.115&CDS=1-1119
OG0000354	YKR076W, YMR251W	augustus_masked-flattened_line_52-processed-gene-0.69-mRNA-1_1&gene=augustus_masked-flattened_line_52-processed-gene-0.69&CDS=1-1041
OG0000355	YKR093W	augustus_masked-flattened_line_120-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_120-processed-gene-0.0&CDS=1-1737, augustus_masked-flattened_line_122-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-flattened_line_122-processed-gene-0.8&CDS=1-1737
OG0000356	YLL010C, YLR019W	augustus_masked-flattened_line_10-processed-gene-2.127-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-2.127&CDS=1-1695
OG0000357	YLL012W, YLR020C	augustus_masked-flattened_line_20-processed-gene-1.230-mRNA-1_1&gene=augustus_masked-flattened_line_20-processed-gene-1.230&CDS=1-1380
OG0000358	YLL016W, YLR310C	augustus_masked-flattened_line_18-processed-gene-2.80-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-2.80&CDS=1-3420
OG0000359	YLL028W	augustus_masked-flattened_line_26-processed-gene-1.53-mRNA-1_1&gene=augustus_masked-flattened_line_26-processed-gene-1.53&CDS=1-1554, augustus_masked-flattened_line_42-processed-gene-0.138-mRNA-1_1&gene=augustus_masked-flattened_line_42-processed-gene-0.138&CDS=1-1827
OG0000360	YLL036C	augustus_masked-flattened_line_118-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_118-processed-gene-0.1&CDS=1-1512, augustus_masked-flattened_line_142-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-flattened_line_142-processed-gene-0.5&CDS=1-1512
OG0000361	YLR027C	augustus_masked-flattened_line_2-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-0.51&CDS=1-1257, augustus_masked-flattened_line_20-processed-gene-1.215-mRNA-1_1&gene=augustus_masked-flattened_line_20-processed-gene-1.215&CDS=1-1242
OG0000362	YLR032W	augustus_masked-flattened_line_4-processed-gene-3.85-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-3.85&CDS=1-2475, augustus_masked-flattened_line_70-processed-gene-0.96-mRNA-1_1&gene=augustus_masked-flattened_line_70-processed-gene-0.96&CDS=1-3453
OG0000363	YLR098C, YOR337W	augustus_masked-flattened_line_8-processed-gene-3.5-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-3.5&CDS=1-2163
OG0000364	YLR107W	augustus_masked-flattened_line_0-processed-gene-6.340-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-6.340&CDS=1-1125, augustus_masked-flattened_line_12-processed-gene-2.267-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-2.267&CDS=1-843
OG0000365	YLR260W, YOR171C	augustus_masked-flattened_line_56-processed-gene-0.74-mRNA-1_1&gene=augustus_masked-flattened_line_56-processed-gene-0.74&CDS=1-1431
OG0000366	YLR270W, YOR173W	augustus_masked-flattened_line_36-processed-gene-0.88-mRNA-1_1&gene=augustus_masked-flattened_line_36-processed-gene-0.88&CDS=1-882
OG0000367	YLR284C, YOR180C	augustus_masked-flattened_line_46-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-flattened_line_46-processed-gene-0.22&CDS=1-807
OG0000368	YLR287C-A, YOR182C	genemark-flattened_line_24-processed-gene-1.145-mRNA-1_1&gene=genemark-flattened_line_24-processed-gene-1.145&CDS=1-189
OG0000369	YLR293C, YOR185C	augustus_masked-flattened_line_4-processed-gene-3.80-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-3.80&CDS=1-645
OG0000370	YLR300W, YOR190W	augustus_masked-flattened_line_4-processed-gene-3.63-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-3.63&CDS=1-1269
OG0000371	YLR321C	augustus_masked-flattened_line_120-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_120-processed-gene-0.1&CDS=1-978, augustus_masked-flattened_line_122-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-flattened_line_122-processed-gene-0.9&CDS=1-978
OG0000372	YLR433C, YML057W	augustus_masked-flattened_line_0-processed-gene-6.258-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-6.258&CDS=1-2145
OG0000373	YLR441C, YML063W	augustus_masked-flattened_line_70-processed-gene-0.81-mRNA-1_1&gene=augustus_masked-flattened_line_70-processed-gene-0.81&CDS=1-768
OG0000374	YLR448W, YML073C	augustus_masked-flattened_line_42-processed-gene-0.130-mRNA-1_1&gene=augustus_masked-flattened_line_42-processed-gene-0.130&CDS=1-516
OG0000375	YLR449W, YML074C	augustus_masked-flattened_line_14-processed-gene-2.103-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-2.103&CDS=1-1257
OG0000376	YLR450W, YML075C	augustus_masked-flattened_line_30-processed-gene-0.111-mRNA-1_1&gene=augustus_masked-flattened_line_30-processed-gene-0.111&CDS=1-3231
OG0000377	YLR456W, YPR172W	augustus_masked-flattened_line_42-processed-gene-0.164-mRNA-1_1&gene=augustus_masked-flattened_line_42-processed-gene-0.164&CDS=1-492
OG0000378	YML100W, YMR261C	augustus_masked-flattened_line_30-processed-gene-0.140-mRNA-1_1&gene=augustus_masked-flattened_line_30-processed-gene-0.140&CDS=1-3042
OG0000379	YML106W, YMR271C	augustus_masked-flattened_line_42-processed-gene-0.162-mRNA-1_1&gene=augustus_masked-flattened_line_42-processed-gene-0.162&CDS=1-666
OG0000380	YML109W, YMR273C	augustus_masked-flattened_line_48-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-flattened_line_48-processed-gene-0.18&CDS=1-3960
OG0000381	YMR119W, YNL008C	augustus_masked-flattened_line_58-processed-gene-0.58-mRNA-1_1&gene=augustus_masked-flattened_line_58-processed-gene-0.58&CDS=1-1716
OG0000382	YMR177W, YPL224C	augustus_masked-flattened_line_66-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-flattened_line_66-processed-gene-0.17&CDS=1-1083
OG0000383	YMR183C, YPL232W	augustus_masked-flattened_line_22-processed-gene-0.73-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-0.73&CDS=1-879
OG0000384	YMR192W, YPL249C	augustus_masked-flattened_line_2-processed-gene-5.157-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-5.157&CDS=1-1878
OG0000385	YMR194W, YPL249C-A	augustus_masked-flattened_line_38-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-flattened_line_38-processed-gene-0.51&CDS=1-312
OG0000386	YMR196W	augustus_masked-flattened_line_14-processed-gene-1.78-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-1.78&CDS=1-3048, augustus_masked-flattened_line_34-processed-gene-0.131-mRNA-1_1&gene=augustus_masked-flattened_line_34-processed-gene-0.131&CDS=1-2691
OG0000387	YMR222C, YOR280C	augustus_masked-flattened_line_24-processed-gene-1.84-mRNA-1_1&gene=augustus_masked-flattened_line_24-processed-gene-1.84&CDS=1-678
OG0000388	YMR230W, YOR293W	augustus_masked-flattened_line_0-processed-gene-5.91-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-5.91&CDS=1-393
OG0000389	YMR237W, YOR299W	augustus_masked-flattened_line_68-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-flattened_line_68-processed-gene-0.45&CDS=1-2175
OG0000390	YMR242C, YOR312C	maker-flattened_line_10-augustus-gene-2.112-mRNA-1_1&gene=maker-flattened_line_10-augustus-gene-2.112&CDS=1-1674
OG0000391	YMR253C, YPL264C	augustus_masked-flattened_line_14-processed-gene-2.106-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-2.106&CDS=1-1239
OG0000392	YMR286W	augustus_masked-flattened_line_6-processed-gene-3.54-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-3.54&CDS=1-249, snap_masked-flattened_line_6-processed-gene-3.4-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-3.4&CDS=1-183
OG0000393	YMR315W	augustus_masked-flattened_line_16-processed-gene-0.93-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-0.93&CDS=1-1068, snap_masked-flattened_line_22-processed-gene-1.100-mRNA-1_1&gene=snap_masked-flattened_line_22-processed-gene-1.100&CDS=1-1038
OG0000394	YNL039W	augustus_masked-flattened_line_104-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-flattened_line_104-processed-gene-0.19&CDS=1-1374, augustus_masked-flattened_line_106-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-flattened_line_106-processed-gene-0.18&CDS=1-1368
OG0000395	YNL087W, YOR086C	maker-flattened_line_20-augustus-gene-1.96-mRNA-1_1&gene=maker-flattened_line_20-augustus-gene-1.96&CDS=1-6300
OG0000396	YNL096C, YOR096W	augustus_masked-flattened_line_12-processed-gene-2.202-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-2.202&CDS=1-564
OG0000397	YNL104C, YOR108W	augustus_masked-flattened_line_10-processed-gene-0.58-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-0.58&CDS=1-1725
OG0000398	YNL106C, YOR109W	snap_masked-flattened_line_40-processed-gene-0.92-mRNA-1_1&gene=snap_masked-flattened_line_40-processed-gene-0.92&CDS=1-3492
OG0000399	YNL108C, YOR110W	augustus_masked-flattened_line_8-processed-gene-3.15-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-3.15&CDS=1-729
OG0000400	YNL129W	augustus_masked-flattened_line_218-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-flattened_line_218-processed-gene-0.8&CDS=1-696, augustus_masked-flattened_line_238-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-flattened_line_238-processed-gene-0.6&CDS=1-696
OG0000401	YNL247W	augustus_masked-flattened_line_242-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_242-processed-gene-0.1&CDS=1-1944, augustus_masked-flattened_line_262-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_262-processed-gene-0.1&CDS=1-1944
OG0000402	YNL274C	augustus_masked-flattened_line_86-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-flattened_line_86-processed-gene-0.38&CDS=1-990, snap_masked-flattened_line_42-processed-gene-0.53-mRNA-1_1&gene=snap_masked-flattened_line_42-processed-gene-0.53&CDS=1-996
OG0000403	YNL288W	augustus_masked-flattened_line_218-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-flattened_line_218-processed-gene-0.10&CDS=1-963, augustus_masked-flattened_line_238-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-flattened_line_238-processed-gene-0.8&CDS=1-963
OG0000404	YNL293W, YOL112W	augustus_masked-flattened_line_22-processed-gene-0.79-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-0.79&CDS=1-2490
OG0000405	YNL299W, YOL115W	augustus_masked-flattened_line_0-processed-gene-4.30-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-4.30&CDS=1-1407
OG0000406	YNL301C, YOL120C	augustus_masked-flattened_line_60-processed-gene-0.129-mRNA-1_1&gene=augustus_masked-flattened_line_60-processed-gene-0.129&CDS=1-555
OG0000407	YNL302C, YOL121C	augustus_masked-flattened_line_64-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-flattened_line_64-processed-gene-0.57&CDS=1-426
OG0000408	YOL119C, YOR306C	augustus_masked-flattened_line_34-processed-gene-0.129-mRNA-1_1&gene=augustus_masked-flattened_line_34-processed-gene-0.129&CDS=1-1386
OG0000409	YOL147C	augustus_masked-flattened_line_218-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-flattened_line_218-processed-gene-0.9&CDS=1-426, augustus_masked-flattened_line_238-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-flattened_line_238-processed-gene-0.7&CDS=1-426
OG0000410	YOR049C	augustus_masked-flattened_line_2-processed-gene-5.155-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-5.155&CDS=1-1317, maker-flattened_line_12-snap-gene-2.186-mRNA-1_1&gene=maker-flattened_line_12-snap-gene-2.186&CDS=1-1239
OG0000411	YOR059C	augustus_masked-flattened_line_44-processed-gene-0.165-mRNA-1_1&gene=augustus_masked-flattened_line_44-processed-gene-0.165&CDS=1-1320, augustus_masked-flattened_line_94-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-flattened_line_94-processed-gene-0.11&CDS=1-1242
OG0000412	YOR175C	augustus_masked-flattened_line_10-processed-gene-2.204-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-2.204&CDS=1-1449, augustus_masked-flattened_line_26-processed-gene-1.56-mRNA-1_1&gene=augustus_masked-flattened_line_26-processed-gene-1.56&CDS=1-1446
OG0000413	YOR226C, YPL135W	augustus_masked-flattened_line_60-processed-gene-0.107-mRNA-1_1&gene=augustus_masked-flattened_line_60-processed-gene-0.107&CDS=1-540
OG0000414	YOR227W, YPL137C	augustus_masked-flattened_line_46-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-flattened_line_46-processed-gene-0.26&CDS=1-3288
OG0000415	YOR234C, YPL143W	augustus_masked-flattened_line_34-processed-gene-0.135-mRNA-1_1&gene=augustus_masked-flattened_line_34-processed-gene-0.135&CDS=1-315
OG0000416	YOR237W, YPL145C	augustus_masked-flattened_line_4-processed-gene-1.109-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-1.109&CDS=1-1191
OG0000417	YOR374W	augustus_masked-flattened_line_24-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-flattened_line_24-processed-gene-0.61&CDS=1-1476, augustus_masked-flattened_line_70-processed-gene-0.86-mRNA-1_1&gene=augustus_masked-flattened_line_70-processed-gene-0.86&CDS=1-1479
OG0000418	YOR390W, YPL279C	augustus_masked-flattened_line_36-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-flattened_line_36-processed-gene-0.51&CDS=1-996
OG0000419	YPL110C	augustus_masked-flattened_line_188-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-flattened_line_188-processed-gene-0.7&CDS=1-1074, augustus_masked-flattened_line_354-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_354-processed-gene-0.2&CDS=1-1074
OG0000420	YPL242C	augustus_masked-flattened_line_14-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-0.16&CDS=1-4179, augustus_masked-flattened_line_28-processed-gene-1.97-mRNA-1_1&gene=augustus_masked-flattened_line_28-processed-gene-1.97&CDS=1-2220
OG0000421	YPR013C, YPR015C	augustus_masked-flattened_line_24-processed-gene-1.77-mRNA-1_1&gene=augustus_masked-flattened_line_24-processed-gene-1.77&CDS=1-1140
OG0000422	YPR022C	augustus_masked-flattened_line_22-processed-gene-0.58-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-0.58&CDS=1-2277, maker-flattened_line_72-snap-gene-0.83-mRNA-1_1&gene=maker-flattened_line_72-snap-gene-0.83&CDS=1-2556
OG0000423	YPR169W-A, YPR170W-B	augustus_masked-flattened_line_16-processed-gene-0.104-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-0.104&CDS=1-252
OG0000424	Q0050, Q0055	maker-flattened_line_50-snap-gene-0.36-mRNA-1_1&gene=maker-flattened_line_50-snap-gene-0.36&CDS=1-1578
OG0000425	YAL001C	snap_masked-flattened_line_0-processed-gene-1.68-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-1.68&CDS=1-5145
OG0000426	YAL002W	augustus_masked-flattened_line_40-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-flattened_line_40-processed-gene-0.11&CDS=1-4224
OG0000427	YAL003W	augustus_masked-flattened_line_34-processed-gene-0.106-mRNA-1_1&gene=augustus_masked-flattened_line_34-processed-gene-0.106&CDS=1-669
OG0000428	YAL009W	augustus_masked-flattened_line_34-processed-gene-0.174-mRNA-1_1&gene=augustus_masked-flattened_line_34-processed-gene-0.174&CDS=1-885
OG0000429	YAL010C	augustus_masked-flattened_line_14-processed-gene-1.95-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-1.95&CDS=1-1107
OG0000430	YAL011W	augustus_masked-flattened_line_28-processed-gene-1.64-mRNA-1_1&gene=augustus_masked-flattened_line_28-processed-gene-1.64&CDS=1-1461
OG0000431	YAL012W	augustus_masked-flattened_line_6-processed-gene-4.198-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-4.198&CDS=1-1179
OG0000432	YAL013W	augustus_masked-flattened_line_6-processed-gene-4.200-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-4.200&CDS=1-1305
OG0000433	YAL016W	augustus_masked-flattened_line_32-processed-gene-0.223-mRNA-1_1&gene=augustus_masked-flattened_line_32-processed-gene-0.223&CDS=1-1998
OG0000434	YAL019W	augustus_masked-flattened_line_2-processed-gene-2.98-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-2.98&CDS=1-2868
OG0000435	YAL020C	augustus_masked-flattened_line_22-processed-gene-1.183-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-1.183&CDS=1-912
OG0000436	YAL021C	augustus_masked-flattened_line_0-processed-gene-4.26-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-4.26&CDS=1-1995
OG0000437	YAL022C	augustus_masked-flattened_line_12-processed-gene-2.269-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-2.269&CDS=1-1443
OG0000438	YAL023C	augustus_masked-flattened_line_6-processed-gene-3.72-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-3.72&CDS=1-2247
OG0000439	YAL024C	augustus_masked-flattened_line_8-processed-gene-0.93-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-0.93&CDS=1-2508
OG0000440	YAL025C	augustus_masked-flattened_line_18-processed-gene-0.69-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-0.69&CDS=1-2415
OG0000441	YAL026C	maker-flattened_line_0-augustus-gene-1.109-mRNA-1_1&gene=maker-flattened_line_0-augustus-gene-1.109&CDS=1-5196
OG0000442	YAL032C	augustus_masked-flattened_line_12-processed-gene-2.208-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-2.208&CDS=1-1440
OG0000443	YAL033W	augustus_masked-flattened_line_36-processed-gene-0.50-mRNA-1_1&gene=augustus_masked-flattened_line_36-processed-gene-0.50&CDS=1-399
OG0000444	YAL035W	augustus_masked-flattened_line_40-processed-gene-0.55-mRNA-1_1&gene=augustus_masked-flattened_line_40-processed-gene-0.55&CDS=1-3084
OG0000445	YAL036C	augustus_masked-flattened_line_58-processed-gene-0.76-mRNA-1_1&gene=augustus_masked-flattened_line_58-processed-gene-0.76&CDS=1-1101
OG0000446	YAL038W	maker-flattened_line_8-augustus-gene-2.66-mRNA-1_1&gene=maker-flattened_line_8-augustus-gene-2.66&CDS=1-1542
OG0000447	YAL042W	augustus_masked-flattened_line_8-processed-gene-0.119-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-0.119&CDS=1-1188
OG0000448	YAL043C	augustus_masked-flattened_line_44-processed-gene-0.187-mRNA-1_1&gene=augustus_masked-flattened_line_44-processed-gene-0.187&CDS=1-2154
OG0000449	YAL044C	augustus_masked-flattened_line_6-processed-gene-2.49-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-2.49&CDS=1-513
OG0000450	YAL044W-A	snap_masked-flattened_line_8-processed-gene-4.110-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-4.110&CDS=1-300
OG0000451	YAL046C	maker-flattened_line_4-augustus-gene-3.90-mRNA-1_1&gene=maker-flattened_line_4-augustus-gene-3.90&CDS=1-552
OG0000452	YAL048C	augustus_masked-flattened_line_48-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-flattened_line_48-processed-gene-0.45&CDS=1-2055
OG0000453	YAL049C	augustus_masked-flattened_line_20-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-flattened_line_20-processed-gene-0.61&CDS=1-732
OG0000454	YAL053W	augustus_masked-flattened_line_0-processed-gene-4.5-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-4.5&CDS=1-2001
