	Saccharomyces_cerevisiae	yHMPu5000034754_Lipomyces_arxii
OG0000247	YGR118W, YPR132W	genemark-NODE_82_length_74651_cov_11.0343_ID_163-processed-gene-0.106-mRNA-1_1&gene=genemark-NODE_82_length_74651_cov_11.0343_ID_163-processed-gene-0.106&CDS=1-435
OG0000248	YGR121C, YPR138C	genemark-NODE_25_length_182198_cov_11.6102_ID_49-processed-gene-0.123-mRNA-1_1&gene=genemark-NODE_25_length_182198_cov_11.6102_ID_49-processed-gene-0.123&CDS=1-1464
OG0000249	YGR131W, YPR149W	genemark-NODE_125_length_45201_cov_11.8398_ID_249-processed-gene-0.58-mRNA-1_1&gene=genemark-NODE_125_length_45201_cov_11.8398_ID_249-processed-gene-0.58&CDS=1-537
OG0000250	YGR136W, YPR154W	snap_masked-NODE_125_length_45201_cov_11.8398_ID_249-processed-gene-0.22-mRNA-1_1&gene=snap_masked-NODE_125_length_45201_cov_11.8398_ID_249-processed-gene-0.22&CDS=1-762
OG0000251	YGR141W, YPR157W	maker-NODE_125_length_45201_cov_11.8398_ID_249-augustus-gene-0.1-mRNA-1_1&gene=maker-NODE_125_length_45201_cov_11.8398_ID_249-augustus-gene-0.1&CDS=1-1293
OG0000252	YGR209C, YLR043C	maker-NODE_5_length_287076_cov_11.3809_ID_9-augustus-gene-1.338-mRNA-1_1&gene=maker-NODE_5_length_287076_cov_11.3809_ID_9-augustus-gene-1.338&CDS=1-462
OG0000253	YGR212W	genemark-NODE_110_length_52412_cov_11.5951_ID_219-processed-gene-0.39-mRNA-1_1&gene=genemark-NODE_110_length_52412_cov_11.5951_ID_219-processed-gene-0.39&CDS=1-1350, genemark-NODE_81_length_74981_cov_11.7391_ID_161-processed-gene-0.101-mRNA-1_1&gene=genemark-NODE_81_length_74981_cov_11.7391_ID_161-processed-gene-0.101&CDS=1-1323
OG0000254	YGR214W, YLR048W	genemark-NODE_29_length_148249_cov_11.5393_ID_57-processed-gene-0.163-mRNA-1_1&gene=genemark-NODE_29_length_148249_cov_11.5393_ID_57-processed-gene-0.163&CDS=1-792
OG0000255	YGR238C, YHR158C	genemark-NODE_14_length_231766_cov_11.1265_ID_27-processed-gene-0.11-mRNA-1_1&gene=genemark-NODE_14_length_231766_cov_11.1265_ID_27-processed-gene-0.11&CDS=1-3105
OG0000256	YGR241C, YHR161C	genemark-NODE_153_length_31604_cov_11.1584_ID_305-processed-gene-0.27-mRNA-1_1&gene=genemark-NODE_153_length_31604_cov_11.1584_ID_305-processed-gene-0.27&CDS=1-1746
OG0000257	YGR243W, YHR162W	genemark-NODE_67_length_87842_cov_11.634_ID_133-processed-gene-0.7-mRNA-1_1&gene=genemark-NODE_67_length_87842_cov_11.634_ID_133-processed-gene-0.7&CDS=1-378
OG0000258	YGR254W, YHR174W	genemark-NODE_22_length_187272_cov_11.383_ID_43-processed-gene-0.107-mRNA-1_1&gene=genemark-NODE_22_length_187272_cov_11.383_ID_43-processed-gene-0.107&CDS=1-1305
OG0000259	YGR273C, YMR295C	genemark-NODE_9_length_249165_cov_11.2857_ID_17-processed-gene-1.191-mRNA-1_1&gene=genemark-NODE_9_length_249165_cov_11.2857_ID_17-processed-gene-1.191&CDS=1-633
OG0000260	YGR279C, YMR305C	genemark-NODE_17_length_218247_cov_11.4706_ID_33-processed-gene-0.57-mRNA-1_1&gene=genemark-NODE_17_length_218247_cov_11.4706_ID_33-processed-gene-0.57&CDS=1-1311
OG0000261	YHL001W, YKL006W	genemark-NODE_73_length_79790_cov_11.602_ID_145-processed-gene-0.100-mRNA-1_1&gene=genemark-NODE_73_length_79790_cov_11.602_ID_145-processed-gene-0.100&CDS=1-432
OG0000262	YHL003C, YKL008C	genemark-NODE_150_length_32944_cov_12.071_ID_299-processed-gene-0.13-mRNA-1_1&gene=genemark-NODE_150_length_32944_cov_12.071_ID_299-processed-gene-0.13&CDS=1-1335
OG0000263	YHL017W, YKL039W	maker-NODE_9_length_249165_cov_11.2857_ID_17-snap-gene-1.34-mRNA-1_1&gene=maker-NODE_9_length_249165_cov_11.2857_ID_17-snap-gene-1.34&CDS=1-1833
OG0000264	YHL032C	genemark-NODE_139_length_37202_cov_11.3183_ID_277-processed-gene-0.40-mRNA-1_1&gene=genemark-NODE_139_length_37202_cov_11.3183_ID_277-processed-gene-0.40&CDS=1-1614, genemark-NODE_226_length_16547_cov_12.9908_ID_451-processed-gene-0.6-mRNA-1_1&gene=genemark-NODE_226_length_16547_cov_12.9908_ID_451-processed-gene-0.6&CDS=1-1608
OG0000265	YHL033C, YLL045C	augustus_masked-NODE_153_length_31604_cov_11.1584_ID_305-processed-gene-0.43-mRNA-1_1&gene=augustus_masked-NODE_153_length_31604_cov_11.1584_ID_305-processed-gene-0.43&CDS=1-780
OG0000266	YHL039W, YPL208W	genemark-NODE_41_length_125786_cov_11.5009_ID_81-processed-gene-0.153-mRNA-1_1&gene=genemark-NODE_41_length_125786_cov_11.5009_ID_81-processed-gene-0.153&CDS=1-1692
OG0000267	YHR021C, YKL156W	augustus_masked-NODE_92_length_65863_cov_10.9757_ID_183-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_92_length_65863_cov_10.9757_ID_183-processed-gene-0.2&CDS=1-246
OG0000268	YHR029C	genemark-NODE_167_length_27684_cov_11.0141_ID_333-processed-gene-0.11-mRNA-1_1&gene=genemark-NODE_167_length_27684_cov_11.0141_ID_333-processed-gene-0.11&CDS=1-840, snap_masked-NODE_89_length_67453_cov_12.474_ID_177-processed-gene-0.51-mRNA-1_1&gene=snap_masked-NODE_89_length_67453_cov_12.474_ID_177-processed-gene-0.51&CDS=1-396
OG0000269	YHR048W	genemark-NODE_69_length_87016_cov_10.832_ID_137-processed-gene-0.23-mRNA-1_1&gene=genemark-NODE_69_length_87016_cov_10.832_ID_137-processed-gene-0.23&CDS=1-1695, maker-NODE_289_length_8589_cov_16.3937_ID_577-augustus-gene-0.3-mRNA-1_1&gene=maker-NODE_289_length_8589_cov_16.3937_ID_577-augustus-gene-0.3&CDS=1-1530
OG0000270	YHR115C, YNL116W	genemark-NODE_2_length_326681_cov_11.449_ID_3-processed-gene-2.176-mRNA-1_1&gene=genemark-NODE_2_length_326681_cov_11.449_ID_3-processed-gene-2.176&CDS=1-1320
OG0000271	YHR117W, YNL121C	genemark-NODE_3_length_308411_cov_11.3318_ID_5-processed-gene-2.59-mRNA-1_1&gene=genemark-NODE_3_length_308411_cov_11.3318_ID_5-processed-gene-2.59&CDS=1-1890
OG0000272	YHR123W, YNL130C	genemark-NODE_5_length_287076_cov_11.3809_ID_9-processed-gene-0.62-mRNA-1_1&gene=genemark-NODE_5_length_287076_cov_11.3809_ID_9-processed-gene-0.62&CDS=1-1212
OG0000273	YHR131C, YNL144C	genemark-NODE_9_length_249165_cov_11.2857_ID_17-processed-gene-0.148-mRNA-1_1&gene=genemark-NODE_9_length_249165_cov_11.2857_ID_17-processed-gene-0.148&CDS=1-1551
OG0000274	YHR133C, YNL156C	genemark-NODE_22_length_187272_cov_11.383_ID_43-processed-gene-0.151-mRNA-1_1&gene=genemark-NODE_22_length_187272_cov_11.383_ID_43-processed-gene-0.151&CDS=1-1038
OG0000275	YHR141C, YNL162W	maker-NODE_33_length_145268_cov_11.4808_ID_65-augustus-gene-0.229-mRNA-1_1&gene=maker-NODE_33_length_145268_cov_11.4808_ID_65-augustus-gene-0.229&CDS=1-381
OG0000276	YHR146W, YNL173C	genemark-NODE_262_length_11114_cov_13.2198_ID_523-processed-gene-0.0-mRNA-1_1&gene=genemark-NODE_262_length_11114_cov_13.2198_ID_523-processed-gene-0.0&CDS=1-1290
OG0000277	YHR155W, YNL257C	genemark-NODE_24_length_184737_cov_11.2875_ID_47-processed-gene-0.138-mRNA-1_1&gene=genemark-NODE_24_length_184737_cov_11.2875_ID_47-processed-gene-0.138&CDS=1-3903
OG0000278	YHR179W, YPL171C	genemark-NODE_43_length_124011_cov_12.1102_ID_85-processed-gene-0.40-mRNA-1_1&gene=genemark-NODE_43_length_124011_cov_12.1102_ID_85-processed-gene-0.40&CDS=1-1089
OG0000279	YHR203C, YJR145C	snap_masked-NODE_96_length_63227_cov_12.2591_ID_191-processed-gene-0.65-mRNA-1_1&gene=snap_masked-NODE_96_length_63227_cov_12.2591_ID_191-processed-gene-0.65&CDS=1-783
OG0000280	YHR210C, YNR071C	augustus_masked-NODE_40_length_126461_cov_13.079_ID_79-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-NODE_40_length_126461_cov_13.079_ID_79-processed-gene-0.45&CDS=1-1077
OG0000281	YIL085C, YNL029C	maker-NODE_8_length_270071_cov_11.3361_ID_15-augustus-gene-1.306-mRNA-1_1&gene=maker-NODE_8_length_270071_cov_11.3361_ID_15-augustus-gene-1.306&CDS=1-1482
OG0000282	YIL095W, YNL020C	genemark-NODE_20_length_209916_cov_11.68_ID_39-processed-gene-1.30-mRNA-1_1&gene=genemark-NODE_20_length_209916_cov_11.68_ID_39-processed-gene-1.30&CDS=1-3612
OG0000283	YIL105C, YNL047C	genemark-NODE_6_length_284188_cov_11.2289_ID_11-processed-gene-0.52-mRNA-1_1&gene=genemark-NODE_6_length_284188_cov_11.2289_ID_11-processed-gene-0.52&CDS=1-2019
OG0000284	YIL111W, YNL052W	genemark-NODE_15_length_231195_cov_11.3764_ID_29-processed-gene-1.165-mRNA-1_1&gene=genemark-NODE_15_length_231195_cov_11.3764_ID_29-processed-gene-1.165&CDS=1-552
OG0000285	YIL113W, YNL053W	genemark-NODE_18_length_217989_cov_11.6202_ID_35-processed-gene-0.67-mRNA-1_1&gene=genemark-NODE_18_length_217989_cov_11.6202_ID_35-processed-gene-0.67&CDS=1-1131
OG0000286	YIL114C, YNL055C	genemark-NODE_19_length_212853_cov_11.6979_ID_37-processed-gene-1.199-mRNA-1_1&gene=genemark-NODE_19_length_212853_cov_11.6979_ID_37-processed-gene-1.199&CDS=1-846
OG0000287	YIL117C, YNL058C	genemark-NODE_13_length_234993_cov_11.5573_ID_25-processed-gene-1.170-mRNA-1_1&gene=genemark-NODE_13_length_234993_cov_11.5573_ID_25-processed-gene-1.170&CDS=1-933
OG0000288	YIL131C, YNL068C	genemark-NODE_25_length_182198_cov_11.6102_ID_49-processed-gene-0.187-mRNA-1_1&gene=genemark-NODE_25_length_182198_cov_11.6102_ID_49-processed-gene-0.187&CDS=1-1959
OG0000289	YIL149C, YKR095W	genemark-NODE_13_length_234993_cov_11.5573_ID_25-processed-gene-1.166-mRNA-1_1&gene=genemark-NODE_13_length_234993_cov_11.5573_ID_25-processed-gene-1.166&CDS=1-5787
OG0000290	YIL155C	genemark-NODE_16_length_223381_cov_11.4667_ID_31-processed-gene-1.214-mRNA-1_1&gene=genemark-NODE_16_length_223381_cov_11.4667_ID_31-processed-gene-1.214&CDS=1-1893, genemark-NODE_226_length_16547_cov_12.9908_ID_451-processed-gene-0.3-mRNA-1_1&gene=genemark-NODE_226_length_16547_cov_12.9908_ID_451-processed-gene-0.3&CDS=1-1890
OG0000291	YIL162W	augustus_masked-NODE_201_length_19338_cov_12.7707_ID_401-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-NODE_201_length_19338_cov_12.7707_ID_401-processed-gene-0.7&CDS=1-1503, genemark-NODE_24_length_184737_cov_11.2875_ID_47-processed-gene-0.127-mRNA-1_1&gene=genemark-NODE_24_length_184737_cov_11.2875_ID_47-processed-gene-0.127&CDS=1-1518
OG0000292	YIR013C, YLR013W	genemark-NODE_25_length_182198_cov_11.6102_ID_49-processed-gene-0.144-mRNA-1_1&gene=genemark-NODE_25_length_182198_cov_11.6102_ID_49-processed-gene-0.144&CDS=1-1317
OG0000293	YIR032C	genemark-NODE_17_length_218247_cov_11.4706_ID_33-processed-gene-1.140-mRNA-1_1&gene=genemark-NODE_17_length_218247_cov_11.4706_ID_33-processed-gene-1.140&CDS=1-642, genemark-NODE_63_length_91661_cov_11.196_ID_125-processed-gene-0.150-mRNA-1_1&gene=genemark-NODE_63_length_91661_cov_11.196_ID_125-processed-gene-0.150&CDS=1-588
OG0000294	YIR033W, YKL020C	genemark-NODE_32_length_147441_cov_12.2899_ID_63-processed-gene-0.98-mRNA-1_1&gene=genemark-NODE_32_length_147441_cov_12.2899_ID_63-processed-gene-0.98&CDS=1-3894
OG0000295	YIR035C, YIR036C	maker-NODE_215_length_17618_cov_11.8643_ID_429-snap-gene-0.1-mRNA-1_1&gene=maker-NODE_215_length_17618_cov_11.8643_ID_429-snap-gene-0.1&CDS=1-1518
OG0000296	YJL082W, YKR018C	genemark-NODE_30_length_147641_cov_11.6001_ID_59-processed-gene-0.203-mRNA-1_1&gene=genemark-NODE_30_length_147641_cov_11.6001_ID_59-processed-gene-0.203&CDS=1-2145
OG0000297	YJL083W, YKR019C	snap_masked-NODE_23_length_186393_cov_11.231_ID_45-processed-gene-0.269-mRNA-1_1&gene=snap_masked-NODE_23_length_186393_cov_11.231_ID_45-processed-gene-0.269&CDS=1-2115
OG0000298	YJL084C, YKR021W	snap_masked-NODE_20_length_209916_cov_11.68_ID_39-processed-gene-0.114-mRNA-1_1&gene=snap_masked-NODE_20_length_209916_cov_11.68_ID_39-processed-gene-0.114&CDS=1-1719
OG0000299	YJL093C	augustus_masked-NODE_40_length_126461_cov_13.079_ID_79-processed-gene-0.59-mRNA-1_1&gene=augustus_masked-NODE_40_length_126461_cov_13.079_ID_79-processed-gene-0.59&CDS=1-1749, genemark-NODE_45_length_117910_cov_11.3462_ID_89-processed-gene-0.153-mRNA-1_1&gene=genemark-NODE_45_length_117910_cov_11.3462_ID_89-processed-gene-0.153&CDS=1-1695
OG0000300	YJL133W, YKR052C	augustus_masked-NODE_52_length_103870_cov_11.3034_ID_103-processed-gene-0.121-mRNA-1_1&gene=augustus_masked-NODE_52_length_103870_cov_11.3034_ID_103-processed-gene-0.121&CDS=1-1056
OG0000301	YJL134W, YKR053C	genemark-NODE_14_length_231766_cov_11.1265_ID_27-processed-gene-1.76-mRNA-1_1&gene=genemark-NODE_14_length_231766_cov_11.1265_ID_27-processed-gene-1.76&CDS=1-1494
OG0000302	YJL136C, YKR057W	genemark-NODE_150_length_32944_cov_12.071_ID_299-processed-gene-0.11-mRNA-1_1&gene=genemark-NODE_150_length_32944_cov_12.071_ID_299-processed-gene-0.11&CDS=1-261
OG0000303	YJL137C, YKR058W	genemark-NODE_12_length_235806_cov_11.4795_ID_23-processed-gene-0.87-mRNA-1_1&gene=genemark-NODE_12_length_235806_cov_11.4795_ID_23-processed-gene-0.87&CDS=1-2190
OG0000304	YJL138C, YKR059W	maker-NODE_11_length_244810_cov_11.4858_ID_21-augustus-gene-0.145-mRNA-1_1&gene=maker-NODE_11_length_244810_cov_11.4858_ID_21-augustus-gene-0.145&CDS=1-1188
OG0000305	YJL177W, YKL180W	genemark-NODE_8_length_270071_cov_11.3361_ID_15-processed-gene-0.55-mRNA-1_1&gene=genemark-NODE_8_length_270071_cov_11.3361_ID_15-processed-gene-0.55&CDS=1-501
OG0000306	YJR061W, YKL201C	genemark-NODE_61_length_95655_cov_13.3228_ID_121-processed-gene-0.129-mRNA-1_1&gene=genemark-NODE_61_length_95655_cov_13.3228_ID_121-processed-gene-0.129&CDS=1-1188
OG0000307	YJR091C, YPR042C	genemark-NODE_88_length_67779_cov_11.1003_ID_175-processed-gene-0.57-mRNA-1_1&gene=genemark-NODE_88_length_67779_cov_11.1003_ID_175-processed-gene-0.57&CDS=1-3462
OG0000308	YJR094W-A, YPR043W	augustus_masked-NODE_93_length_65092_cov_10.6922_ID_185-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-NODE_93_length_65092_cov_10.6922_ID_185-processed-gene-0.32&CDS=1-333
OG0000309	YJR095W	snap_masked-NODE_151_length_32922_cov_12.7541_ID_301-processed-gene-0.20-mRNA-1_1&gene=snap_masked-NODE_151_length_32922_cov_12.7541_ID_301-processed-gene-0.20&CDS=1-1014, snap_masked-NODE_308_length_7142_cov_10.4895_ID_615-processed-gene-0.8-mRNA-1_1&gene=snap_masked-NODE_308_length_7142_cov_10.4895_ID_615-processed-gene-0.8&CDS=1-1011
OG0000310	YJR124C	genemark-NODE_50_length_107181_cov_11.4829_ID_99-processed-gene-0.71-mRNA-1_1&gene=genemark-NODE_50_length_107181_cov_11.4829_ID_99-processed-gene-0.71&CDS=1-1458, maker-NODE_145_length_34410_cov_11.2031_ID_289-augustus-gene-0.37-mRNA-1_1&gene=maker-NODE_145_length_34410_cov_11.2031_ID_289-augustus-gene-0.37&CDS=1-1485
OG0000311	YJR130C, YML082W	genemark-NODE_4_length_289952_cov_11.2436_ID_7-processed-gene-0.54-mRNA-1_1&gene=genemark-NODE_4_length_289952_cov_11.2436_ID_7-processed-gene-0.54&CDS=1-1755
OG0000312	YJR137C	genemark-NODE_18_length_217989_cov_11.6202_ID_35-processed-gene-1.74-mRNA-1_1&gene=genemark-NODE_18_length_217989_cov_11.6202_ID_35-processed-gene-1.74&CDS=1-4506, maker-NODE_217_length_17556_cov_13.0744_ID_433-augustus-gene-0.8-mRNA-1_1&gene=maker-NODE_217_length_17556_cov_13.0744_ID_433-augustus-gene-0.8&CDS=1-4173
OG0000313	YKL002W	genemark-NODE_30_length_147641_cov_11.6001_ID_59-processed-gene-0.217-mRNA-1_1&gene=genemark-NODE_30_length_147641_cov_11.6001_ID_59-processed-gene-0.217&CDS=1-609, genemark-NODE_30_length_147641_cov_11.6001_ID_59-processed-gene-0.222-mRNA-1_1&gene=genemark-NODE_30_length_147641_cov_11.6001_ID_59-processed-gene-0.222&CDS=1-603
OG0000314	YKL004W	augustus_masked-NODE_144_length_34656_cov_11.6243_ID_287-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_144_length_34656_cov_11.6243_ID_287-processed-gene-0.2&CDS=1-1275, genemark-NODE_144_length_34656_cov_11.6243_ID_287-processed-gene-0.38-mRNA-1_1&gene=genemark-NODE_144_length_34656_cov_11.6243_ID_287-processed-gene-0.38&CDS=1-1227
OG0000315	YKL046C	genemark-NODE_18_length_217989_cov_11.6202_ID_35-processed-gene-0.60-mRNA-1_1&gene=genemark-NODE_18_length_217989_cov_11.6202_ID_35-processed-gene-0.60&CDS=1-1359, genemark-NODE_6_length_284188_cov_11.2289_ID_11-processed-gene-1.34-mRNA-1_1&gene=genemark-NODE_6_length_284188_cov_11.2289_ID_11-processed-gene-1.34&CDS=1-1347
OG0000316	YKL050C, YMR031C	augustus_masked-NODE_2_length_326681_cov_11.449_ID_3-processed-gene-1.127-mRNA-1_1&gene=augustus_masked-NODE_2_length_326681_cov_11.449_ID_3-processed-gene-1.127&CDS=1-2751
OG0000317	YKL072W, YMR053C	genemark-NODE_27_length_161307_cov_11.5293_ID_53-processed-gene-0.285-mRNA-1_1&gene=genemark-NODE_27_length_161307_cov_11.5293_ID_53-processed-gene-0.285&CDS=1-3063
OG0000318	YKL103C	genemark-NODE_119_length_47445_cov_11.1416_ID_237-processed-gene-0.33-mRNA-1_1&gene=genemark-NODE_119_length_47445_cov_11.1416_ID_237-processed-gene-0.33&CDS=1-1602, genemark-NODE_67_length_87842_cov_11.634_ID_133-processed-gene-0.25-mRNA-1_1&gene=genemark-NODE_67_length_87842_cov_11.634_ID_133-processed-gene-0.25&CDS=1-1611
OG0000319	YKL121W, YMR102C	genemark-NODE_9_length_249165_cov_11.2857_ID_17-processed-gene-1.197-mRNA-1_1&gene=genemark-NODE_9_length_249165_cov_11.2857_ID_17-processed-gene-1.197&CDS=1-2685
OG0000320	YKL126W, YMR104C	genemark-NODE_5_length_287076_cov_11.3809_ID_9-processed-gene-1.150-mRNA-1_1&gene=genemark-NODE_5_length_287076_cov_11.3809_ID_9-processed-gene-1.150&CDS=1-1827
OG0000321	YKL132C, YMR113W	genemark-NODE_52_length_103870_cov_11.3034_ID_103-processed-gene-0.31-mRNA-1_1&gene=genemark-NODE_52_length_103870_cov_11.3034_ID_103-processed-gene-0.31&CDS=1-1314
OG0000322	YKL133C, YMR115W	genemark-NODE_5_length_287076_cov_11.3809_ID_9-processed-gene-0.69-mRNA-1_1&gene=genemark-NODE_5_length_287076_cov_11.3809_ID_9-processed-gene-0.69&CDS=1-1533
OG0000323	YKL141W, YMR118C	genemark-NODE_63_length_91661_cov_11.196_ID_125-processed-gene-0.147-mRNA-1_1&gene=genemark-NODE_63_length_91661_cov_11.196_ID_125-processed-gene-0.147&CDS=1-543
OG0000324	YKL217W	genemark-NODE_12_length_235806_cov_11.4795_ID_23-processed-gene-1.142-mRNA-1_1&gene=genemark-NODE_12_length_235806_cov_11.4795_ID_23-processed-gene-1.142&CDS=1-1488, genemark-NODE_1_length_424910_cov_11.4403_ID_1-processed-gene-2.15-mRNA-1_1&gene=genemark-NODE_1_length_424910_cov_11.4403_ID_1-processed-gene-2.15&CDS=1-1494
OG0000325	YKR039W	genemark-NODE_18_length_217989_cov_11.6202_ID_35-processed-gene-1.51-mRNA-1_1&gene=genemark-NODE_18_length_217989_cov_11.6202_ID_35-processed-gene-1.51&CDS=1-1743, maker-NODE_18_length_217989_cov_11.6202_ID_35-snap-gene-1.133-mRNA-1_1&gene=maker-NODE_18_length_217989_cov_11.6202_ID_35-snap-gene-1.133&CDS=1-3477
OG0000326	YKR076W, YMR251W	maker-NODE_152_length_32588_cov_16.5603_ID_303-snap-gene-0.1-mRNA-1_1&gene=maker-NODE_152_length_32588_cov_16.5603_ID_303-snap-gene-0.1&CDS=1-1128
OG0000327	YKR079C	genemark-NODE_69_length_87016_cov_10.832_ID_137-processed-gene-0.17-mRNA-1_1&gene=genemark-NODE_69_length_87016_cov_10.832_ID_137-processed-gene-0.17&CDS=1-2898, genemark-NODE_69_length_87016_cov_10.832_ID_137-processed-gene-0.4-mRNA-1_1&gene=genemark-NODE_69_length_87016_cov_10.832_ID_137-processed-gene-0.4&CDS=1-2229
OG0000328	YKR089C, YOR081C	augustus_masked-NODE_22_length_187272_cov_11.383_ID_43-processed-gene-0.218-mRNA-1_1&gene=augustus_masked-NODE_22_length_187272_cov_11.383_ID_43-processed-gene-0.218&CDS=1-5790
OG0000329	YKR091W, YOR083W	genemark-NODE_123_length_45851_cov_12.4793_ID_245-processed-gene-0.15-mRNA-1_1&gene=genemark-NODE_123_length_45851_cov_12.4793_ID_245-processed-gene-0.15&CDS=1-1539
OG0000330	YLL012W, YLR020C	genemark-NODE_11_length_244810_cov_11.4858_ID_21-processed-gene-1.112-mRNA-1_1&gene=genemark-NODE_11_length_244810_cov_11.4858_ID_21-processed-gene-1.112&CDS=1-1257
OG0000331	YLL028W	genemark-NODE_66_length_88344_cov_12.8616_ID_131-processed-gene-0.72-mRNA-1_1&gene=genemark-NODE_66_length_88344_cov_12.8616_ID_131-processed-gene-0.72&CDS=1-1662, maker-NODE_56_length_99794_cov_11.0017_ID_111-snap-gene-0.53-mRNA-1_1&gene=maker-NODE_56_length_99794_cov_11.0017_ID_111-snap-gene-0.53&CDS=1-3456
OG0000332	YLL036C	augustus_masked-NODE_14_length_231766_cov_11.1265_ID_27-processed-gene-0.132-mRNA-1_1&gene=augustus_masked-NODE_14_length_231766_cov_11.1265_ID_27-processed-gene-0.132&CDS=1-441, snap_masked-NODE_8_length_270071_cov_11.3361_ID_15-processed-gene-1.245-mRNA-1_1&gene=snap_masked-NODE_8_length_270071_cov_11.3361_ID_15-processed-gene-1.245&CDS=1-369
OG0000333	YLL057C	genemark-NODE_42_length_124964_cov_11.4052_ID_83-processed-gene-0.125-mRNA-1_1&gene=genemark-NODE_42_length_124964_cov_11.4052_ID_83-processed-gene-0.125&CDS=1-1149, maker-NODE_43_length_124011_cov_12.1102_ID_85-augustus-gene-0.4-mRNA-1_1&gene=maker-NODE_43_length_124011_cov_12.1102_ID_85-augustus-gene-0.4&CDS=1-2007
OG0000334	YLR029C, YMR121C	maker-NODE_199_length_19457_cov_11.109_ID_397-snap-gene-0.20-mRNA-1_1&gene=maker-NODE_199_length_19457_cov_11.109_ID_397-snap-gene-0.20&CDS=1-720
OG0000335	YLR144C	genemark-NODE_186_length_23368_cov_11.891_ID_371-processed-gene-0.7-mRNA-1_1&gene=genemark-NODE_186_length_23368_cov_11.891_ID_371-processed-gene-0.7&CDS=1-4599, snap_masked-NODE_123_length_45851_cov_12.4793_ID_245-processed-gene-0.29-mRNA-1_1&gene=snap_masked-NODE_123_length_45851_cov_12.4793_ID_245-processed-gene-0.29&CDS=1-2460
OG0000336	YLR178C, YLR179C	genemark-NODE_1_length_424910_cov_11.4403_ID_1-processed-gene-2.11-mRNA-1_1&gene=genemark-NODE_1_length_424910_cov_11.4403_ID_1-processed-gene-2.11&CDS=1-789
OG0000337	YLR188W	maker-NODE_76_length_77784_cov_11.034_ID_151-augustus-gene-0.16-mRNA-1_1&gene=maker-NODE_76_length_77784_cov_11.034_ID_151-augustus-gene-0.16&CDS=1-2112, maker-NODE_7_length_273906_cov_11.6642_ID_13-augustus-gene-1.37-mRNA-1_1&gene=maker-NODE_7_length_273906_cov_11.6642_ID_13-augustus-gene-1.37&CDS=1-2280
OG0000338	YLR260W, YOR171C	genemark-NODE_13_length_234993_cov_11.5573_ID_25-processed-gene-1.180-mRNA-1_1&gene=genemark-NODE_13_length_234993_cov_11.5573_ID_25-processed-gene-1.180&CDS=1-1476
OG0000339	YLR264W, YOR167C	snap_masked-NODE_22_length_187272_cov_11.383_ID_43-processed-gene-0.22-mRNA-1_1&gene=snap_masked-NODE_22_length_187272_cov_11.383_ID_43-processed-gene-0.22&CDS=1-243
OG0000340	YLR270W, YOR173W	genemark-NODE_20_length_209916_cov_11.68_ID_39-processed-gene-1.34-mRNA-1_1&gene=genemark-NODE_20_length_209916_cov_11.68_ID_39-processed-gene-1.34&CDS=1-963
OG0000341	YLR287C-A, YOR182C	maker-NODE_8_length_270071_cov_11.3361_ID_15-snap-gene-0.1-mRNA-1_1&gene=maker-NODE_8_length_270071_cov_11.3361_ID_15-snap-gene-0.1&CDS=1-192
OG0000342	YLR300W, YOR190W	genemark-NODE_23_length_186393_cov_11.231_ID_45-processed-gene-0.178-mRNA-1_1&gene=genemark-NODE_23_length_186393_cov_11.231_ID_45-processed-gene-0.178&CDS=1-1290
OG0000343	YLR307W, YLR308W	maker-NODE_23_length_186393_cov_11.231_ID_45-snap-gene-0.49-mRNA-1_1&gene=maker-NODE_23_length_186393_cov_11.231_ID_45-snap-gene-0.49&CDS=1-1221
OG0000344	YLR310C	augustus_masked-NODE_225_length_16791_cov_16.8922_ID_449-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-NODE_225_length_16791_cov_16.8922_ID_449-processed-gene-0.13&CDS=1-1392, genemark-NODE_14_length_231766_cov_11.1265_ID_27-processed-gene-1.101-mRNA-1_1&gene=genemark-NODE_14_length_231766_cov_11.1265_ID_27-processed-gene-1.101&CDS=1-3225
OG0000345	YLR449W, YML074C	genemark-NODE_82_length_74651_cov_11.0343_ID_163-processed-gene-0.120-mRNA-1_1&gene=genemark-NODE_82_length_74651_cov_11.0343_ID_163-processed-gene-0.120&CDS=1-1416
OG0000346	YLR450W, YML075C	genemark-NODE_64_length_91347_cov_11.5369_ID_127-processed-gene-0.111-mRNA-1_1&gene=genemark-NODE_64_length_91347_cov_11.5369_ID_127-processed-gene-0.111&CDS=1-3105
OG0000347	YLR456W, YPR172W	genemark-NODE_4_length_289952_cov_11.2436_ID_7-processed-gene-1.246-mRNA-1_1&gene=genemark-NODE_4_length_289952_cov_11.2436_ID_7-processed-gene-1.246&CDS=1-633
