	Saccharomyces_cerevisiae	yHMPu5000035037_Candida_montana
OG0000157	YBR084W	augustus_masked-NODE_9_length_624420_cov_24.2558_ID_17-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-NODE_9_length_624420_cov_24.2558_ID_17-processed-gene-0.48&CDS=1-2820, snap_masked-NODE_27_length_108213_cov_26.1925_ID_53-processed-gene-0.55-mRNA-1_1&gene=snap_masked-NODE_27_length_108213_cov_26.1925_ID_53-processed-gene-0.55&CDS=1-2868
OG0000158	YBR089C-A, YPR052C	augustus_masked-NODE_5_length_745227_cov_21.5169_ID_9-processed-gene-6.206-mRNA-1_1&gene=augustus_masked-NODE_5_length_745227_cov_21.5169_ID_9-processed-gene-6.206&CDS=1-513
OG0000159	YBR104W, YPR058W	augustus_masked-NODE_1_length_1500601_cov_22.1594_ID_1-processed-gene-7.14-mRNA-1_1&gene=augustus_masked-NODE_1_length_1500601_cov_22.1594_ID_1-processed-gene-7.14&CDS=1-888
OG0000160	YBR132C	augustus_masked-NODE_9_length_624420_cov_24.2558_ID_17-processed-gene-1.120-mRNA-1_1&gene=augustus_masked-NODE_9_length_624420_cov_24.2558_ID_17-processed-gene-1.120&CDS=1-1788, snap_masked-NODE_8_length_699131_cov_28.927_ID_15-processed-gene-5.219-mRNA-1_1&gene=snap_masked-NODE_8_length_699131_cov_28.927_ID_15-processed-gene-5.219&CDS=1-1686
OG0000161	YBR140C, YOL081W	snap_masked-NODE_2_length_1027597_cov_21.5416_ID_3-processed-gene-4.147-mRNA-1_1&gene=snap_masked-NODE_2_length_1027597_cov_21.5416_ID_3-processed-gene-4.147&CDS=1-8019
OG0000162	YBR147W, YOL092W	genemark-NODE_3_length_939491_cov_21.5647_ID_5-processed-gene-2.56-mRNA-1_1&gene=genemark-NODE_3_length_939491_cov_21.5647_ID_5-processed-gene-2.56&CDS=1-834
OG0000163	YBR161W, YPL057C	augustus_masked-NODE_6_length_737178_cov_21.3816_ID_11-processed-gene-5.26-mRNA-1_1&gene=augustus_masked-NODE_6_length_737178_cov_21.3816_ID_11-processed-gene-5.26&CDS=1-897
OG0000164	YBR169C, YPL106C	augustus_masked-NODE_29_length_59448_cov_23.6071_ID_57-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-NODE_29_length_59448_cov_23.6071_ID_57-processed-gene-0.26&CDS=1-2073
OG0000165	YBR172C, YPL105C	augustus_masked-NODE_29_length_59448_cov_23.6071_ID_57-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-NODE_29_length_59448_cov_23.6071_ID_57-processed-gene-0.40&CDS=1-2361
OG0000166	YBR177C, YPL095C	augustus_masked-NODE_1_length_1500601_cov_22.1594_ID_1-processed-gene-5.58-mRNA-1_1&gene=augustus_masked-NODE_1_length_1500601_cov_22.1594_ID_1-processed-gene-5.58&CDS=1-1302
OG0000167	YBR183W, YPL087W	augustus_masked-NODE_2_length_1027597_cov_21.5416_ID_3-processed-gene-3.148-mRNA-1_1&gene=augustus_masked-NODE_2_length_1027597_cov_21.5416_ID_3-processed-gene-3.148&CDS=1-843
OG0000168	YBR189W, YPL081W	snap_masked-NODE_7_length_704842_cov_29.3696_ID_13-processed-gene-0.95-mRNA-1_1&gene=snap_masked-NODE_7_length_704842_cov_29.3696_ID_13-processed-gene-0.95&CDS=1-687
OG0000169	YBR191W, YPL079W	maker-NODE_21_length_220971_cov_41.4188_ID_41-augustus-gene-1.0-mRNA-1_1&gene=maker-NODE_21_length_220971_cov_41.4188_ID_41-augustus-gene-1.0&CDS=1-480
OG0000170	YBR214W, YGL056C	genemark-NODE_5_length_745227_cov_21.5169_ID_9-processed-gene-3.83-mRNA-1_1&gene=genemark-NODE_5_length_745227_cov_21.5169_ID_9-processed-gene-3.83&CDS=1-1455
OG0000171	YBR216C, YGL060W	augustus_masked-NODE_6_length_737178_cov_21.3816_ID_11-processed-gene-1.72-mRNA-1_1&gene=augustus_masked-NODE_6_length_737178_cov_21.3816_ID_11-processed-gene-1.72&CDS=1-1992
OG0000172	YBR238C, YGL107C	augustus_masked-NODE_13_length_321718_cov_26.7698_ID_25-processed-gene-2.85-mRNA-1_1&gene=augustus_masked-NODE_13_length_321718_cov_26.7698_ID_25-processed-gene-2.85&CDS=1-1881
OG0000173	YBR242W, YGL101W	snap_masked-NODE_10_length_454652_cov_34.2411_ID_19-processed-gene-0.8-mRNA-1_1&gene=snap_masked-NODE_10_length_454652_cov_34.2411_ID_19-processed-gene-0.8&CDS=1-660
OG0000174	YBR273C, YJL048C	augustus_masked-NODE_2_length_1027597_cov_21.5416_ID_3-processed-gene-2.3-mRNA-1_1&gene=augustus_masked-NODE_2_length_1027597_cov_21.5416_ID_3-processed-gene-2.3&CDS=1-1515
OG0000175	YBR294W, YLR092W	augustus_masked-NODE_6_length_737178_cov_21.3816_ID_11-processed-gene-6.29-mRNA-1_1&gene=augustus_masked-NODE_6_length_737178_cov_21.3816_ID_11-processed-gene-6.29&CDS=1-2418
OG0000176	YCL011C, YNL004W	maker-NODE_11_length_385550_cov_34.4682_ID_21-augustus-gene-2.91-mRNA-1_1&gene=maker-NODE_11_length_385550_cov_34.4682_ID_21-augustus-gene-2.91&CDS=1-1356
OG0000177	YCL024W, YDR507C	augustus_masked-NODE_11_length_385550_cov_34.4682_ID_21-processed-gene-1.57-mRNA-1_1&gene=augustus_masked-NODE_11_length_385550_cov_34.4682_ID_21-processed-gene-1.57&CDS=1-3699
OG0000178	YCL035C, YDR513W	augustus_masked-NODE_10_length_454652_cov_34.2411_ID_19-processed-gene-1.126-mRNA-1_1&gene=augustus_masked-NODE_10_length_454652_cov_34.2411_ID_19-processed-gene-1.126&CDS=1-306
OG0000179	YCL036W, YDR514C	augustus_masked-NODE_10_length_454652_cov_34.2411_ID_19-processed-gene-1.138-mRNA-1_1&gene=augustus_masked-NODE_10_length_454652_cov_34.2411_ID_19-processed-gene-1.138&CDS=1-1581
OG0000180	YCL040W, YDR516C	maker-NODE_10_length_454652_cov_34.2411_ID_19-augustus-gene-1.3-mRNA-1_1&gene=maker-NODE_10_length_454652_cov_34.2411_ID_19-augustus-gene-1.3&CDS=1-3144
OG0000181	YCL048W, YDR522C	augustus_masked-NODE_5_length_745227_cov_21.5169_ID_9-processed-gene-6.162-mRNA-1_1&gene=augustus_masked-NODE_5_length_745227_cov_21.5169_ID_9-processed-gene-6.162&CDS=1-1437
OG0000182	YCL050C, YDR530C	augustus_masked-NODE_3_length_939491_cov_21.5647_ID_5-processed-gene-0.69-mRNA-1_1&gene=augustus_masked-NODE_3_length_939491_cov_21.5647_ID_5-processed-gene-0.69&CDS=1-954
OG0000183	YCL064C, YIL167W	snap_masked-NODE_6_length_737178_cov_21.3816_ID_11-processed-gene-2.115-mRNA-1_1&gene=snap_masked-NODE_6_length_737178_cov_21.3816_ID_11-processed-gene-2.115&CDS=1-1011
OG0000184	YCL068C, YCR038C	augustus_masked-NODE_1_length_1500601_cov_22.1594_ID_1-processed-gene-13.99-mRNA-1_1&gene=augustus_masked-NODE_1_length_1500601_cov_22.1594_ID_1-processed-gene-13.99&CDS=1-4323
OG0000185	YCR010C, YNR002C	augustus_masked-NODE_25_length_135234_cov_23.6472_ID_49-processed-gene-0.107-mRNA-1_1&gene=augustus_masked-NODE_25_length_135234_cov_23.6472_ID_49-processed-gene-0.107&CDS=1-804
OG0000186	YCR026C, YEL016C	augustus_masked-NODE_12_length_325957_cov_37.5909_ID_23-processed-gene-1.81-mRNA-1_1&gene=augustus_masked-NODE_12_length_325957_cov_37.5909_ID_23-processed-gene-1.81&CDS=1-2091
OG0000187	YCR037C, YJL198W	augustus_masked-NODE_5_length_745227_cov_21.5169_ID_9-processed-gene-4.69-mRNA-1_1&gene=augustus_masked-NODE_5_length_745227_cov_21.5169_ID_9-processed-gene-4.69&CDS=1-2613
OG0000188	YCR067C, YNR026C	augustus_masked-NODE_8_length_699131_cov_28.927_ID_15-processed-gene-4.133-mRNA-1_1&gene=augustus_masked-NODE_8_length_699131_cov_28.927_ID_15-processed-gene-4.133&CDS=1-3780
OG0000189	YCR073C, YNR031C	augustus_masked-NODE_8_length_699131_cov_28.927_ID_15-processed-gene-0.73-mRNA-1_1&gene=augustus_masked-NODE_8_length_699131_cov_28.927_ID_15-processed-gene-0.73&CDS=1-3897
OG0000190	YCR073W-A, YNR034W	augustus_masked-NODE_1_length_1500601_cov_22.1594_ID_1-processed-gene-5.72-mRNA-1_1&gene=augustus_masked-NODE_1_length_1500601_cov_22.1594_ID_1-processed-gene-5.72&CDS=1-876
OG0000191	YCR105W, YMR318C	augustus_masked-NODE_29_length_59448_cov_23.6071_ID_57-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-NODE_29_length_59448_cov_23.6071_ID_57-processed-gene-0.39&CDS=1-1158
OG0000192	YDL015C	augustus_masked-NODE_8_length_699131_cov_28.927_ID_15-processed-gene-5.77-mRNA-1_1&gene=augustus_masked-NODE_8_length_699131_cov_28.927_ID_15-processed-gene-5.77&CDS=1-825, snap_masked-NODE_8_length_699131_cov_28.927_ID_15-processed-gene-5.227-mRNA-1_1&gene=snap_masked-NODE_8_length_699131_cov_28.927_ID_15-processed-gene-5.227&CDS=1-2943
OG0000193	YDL042C, YOL068C	augustus_masked-NODE_1_length_1500601_cov_22.1594_ID_1-processed-gene-14.116-mRNA-1_1&gene=augustus_masked-NODE_1_length_1500601_cov_22.1594_ID_1-processed-gene-14.116&CDS=1-1494
OG0000194	YDL048C, YLR375W	augustus_masked-NODE_9_length_624420_cov_24.2558_ID_17-processed-gene-4.79-mRNA-1_1&gene=augustus_masked-NODE_9_length_624420_cov_24.2558_ID_17-processed-gene-4.79&CDS=1-1059
OG0000195	YDL075W, YLR406C	augustus_masked-NODE_7_length_704842_cov_29.3696_ID_13-processed-gene-3.129-mRNA-1_1&gene=augustus_masked-NODE_7_length_704842_cov_29.3696_ID_13-processed-gene-3.129&CDS=1-357
OG0000196	YDL079C, YMR139W	augustus_masked-NODE_18_length_257630_cov_25.7881_ID_35-processed-gene-1.186-mRNA-1_1&gene=augustus_masked-NODE_18_length_257630_cov_25.7881_ID_35-processed-gene-1.186&CDS=1-936
OG0000197	YDL083C, YMR143W	augustus_masked-NODE_9_length_624420_cov_24.2558_ID_17-processed-gene-4.62-mRNA-1_1&gene=augustus_masked-NODE_9_length_624420_cov_24.2558_ID_17-processed-gene-4.62&CDS=1-438
OG0000198	YDL109C, YGL144C	maker-NODE_9_length_624420_cov_24.2558_ID_17-snap-gene-1.1-mRNA-1_1&gene=maker-NODE_9_length_624420_cov_24.2558_ID_17-snap-gene-1.1&CDS=1-3231
OG0000199	YDL136W, YDL191W	augustus_masked-NODE_6_length_737178_cov_21.3816_ID_11-processed-gene-1.59-mRNA-1_1&gene=augustus_masked-NODE_6_length_737178_cov_21.3816_ID_11-processed-gene-1.59&CDS=1-360
OG0000200	YDL137W, YDL192W	augustus_masked-NODE_6_length_737178_cov_21.3816_ID_11-processed-gene-1.58-mRNA-1_1&gene=augustus_masked-NODE_6_length_737178_cov_21.3816_ID_11-processed-gene-1.58&CDS=1-543
OG0000201	YDL170W	augustus_masked-NODE_19_length_256665_cov_23.3304_ID_37-processed-gene-1.118-mRNA-1_1&gene=augustus_masked-NODE_19_length_256665_cov_23.3304_ID_37-processed-gene-1.118&CDS=1-2391, augustus_masked-NODE_1_length_1500601_cov_22.1594_ID_1-processed-gene-5.92-mRNA-1_1&gene=augustus_masked-NODE_1_length_1500601_cov_22.1594_ID_1-processed-gene-5.92&CDS=1-1635
OG0000202	YDL206W	augustus_masked-NODE_4_length_770689_cov_28.8974_ID_7-processed-gene-1.64-mRNA-1_1&gene=augustus_masked-NODE_4_length_770689_cov_28.8974_ID_7-processed-gene-1.64&CDS=1-2379, maker-NODE_17_length_267852_cov_39.6876_ID_33-augustus-gene-1.4-mRNA-1_1&gene=maker-NODE_17_length_267852_cov_39.6876_ID_33-augustus-gene-1.4&CDS=1-1908
OG0000203	YDL218W	augustus_masked-NODE_14_length_316299_cov_39.3557_ID_27-processed-gene-2.17-mRNA-1_1&gene=augustus_masked-NODE_14_length_316299_cov_39.3557_ID_27-processed-gene-2.17&CDS=1-972, snap_masked-NODE_80_length_419_cov_0.833333_ID_159-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NODE_80_length_419_cov_0.833333_ID_159-processed-gene-0.0&CDS=1-231
OG0000204	YDL224C, YNL197C	augustus_masked-NODE_2_length_1027597_cov_21.5416_ID_3-processed-gene-6.73-mRNA-1_1&gene=augustus_masked-NODE_2_length_1027597_cov_21.5416_ID_3-processed-gene-6.73&CDS=1-1611
OG0000205	YDL229W, YNL209W	augustus_masked-NODE_4_length_770689_cov_28.8974_ID_7-processed-gene-3.93-mRNA-1_1&gene=augustus_masked-NODE_4_length_770689_cov_28.8974_ID_7-processed-gene-3.93&CDS=1-1839
OG0000206	YDL246C, YJR159W	augustus_masked-NODE_7_length_704842_cov_29.3696_ID_13-processed-gene-5.87-mRNA-1_1&gene=augustus_masked-NODE_7_length_704842_cov_29.3696_ID_13-processed-gene-5.87&CDS=1-1068
OG0000207	YDR032C	augustus_masked-NODE_20_length_235942_cov_20.2595_ID_39-processed-gene-1.142-mRNA-1_1&gene=augustus_masked-NODE_20_length_235942_cov_20.2595_ID_39-processed-gene-1.142&CDS=1-603, augustus_masked-NODE_20_length_235942_cov_20.2595_ID_39-processed-gene-1.145-mRNA-1_1&gene=augustus_masked-NODE_20_length_235942_cov_20.2595_ID_39-processed-gene-1.145&CDS=1-756
OG0000208	YDR098C, YER174C	augustus_masked-NODE_8_length_699131_cov_28.927_ID_15-processed-gene-5.13-mRNA-1_1&gene=augustus_masked-NODE_8_length_699131_cov_28.927_ID_15-processed-gene-5.13&CDS=1-753
OG0000209	YDR107C, YLR083C	augustus_masked-NODE_1_length_1500601_cov_22.1594_ID_1-processed-gene-11.121-mRNA-1_1&gene=augustus_masked-NODE_1_length_1500601_cov_22.1594_ID_1-processed-gene-11.121&CDS=1-1857
OG0000210	YDR122W, YLR096W	augustus_masked-NODE_3_length_939491_cov_21.5647_ID_5-processed-gene-2.19-mRNA-1_1&gene=augustus_masked-NODE_3_length_939491_cov_21.5647_ID_5-processed-gene-2.19&CDS=1-3528
OG0000211	YDR125C, YLR099C	augustus_masked-NODE_24_length_139511_cov_22.8943_ID_47-processed-gene-0.98-mRNA-1_1&gene=augustus_masked-NODE_24_length_139511_cov_22.8943_ID_47-processed-gene-0.98&CDS=1-1347
OG0000212	YDR132C, YLR108C	augustus_masked-NODE_4_length_770689_cov_28.8974_ID_7-processed-gene-6.56-mRNA-1_1&gene=augustus_masked-NODE_4_length_770689_cov_28.8974_ID_7-processed-gene-6.56&CDS=1-1266
OG0000213	YDR146C, YLR131C	augustus_masked-NODE_2_length_1027597_cov_21.5416_ID_3-processed-gene-7.44-mRNA-1_1&gene=augustus_masked-NODE_2_length_1027597_cov_21.5416_ID_3-processed-gene-7.44&CDS=1-2106
OG0000214	YDR151C, YLR136C	augustus_masked-NODE_4_length_770689_cov_28.8974_ID_7-processed-gene-2.41-mRNA-1_1&gene=augustus_masked-NODE_4_length_770689_cov_28.8974_ID_7-processed-gene-2.41&CDS=1-1134
OG0000215	YDR200C, YLR238W	augustus_masked-NODE_10_length_454652_cov_34.2411_ID_19-processed-gene-2.144-mRNA-1_1&gene=augustus_masked-NODE_10_length_454652_cov_34.2411_ID_19-processed-gene-2.144&CDS=1-1386
OG0000216	YDR206W, YLR233C	augustus_masked-NODE_10_length_454652_cov_34.2411_ID_19-processed-gene-2.165-mRNA-1_1&gene=augustus_masked-NODE_10_length_454652_cov_34.2411_ID_19-processed-gene-2.165&CDS=1-2526
OG0000217	YDR225W	augustus_masked-NODE_20_length_235942_cov_20.2595_ID_39-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_20_length_235942_cov_20.2595_ID_39-processed-gene-0.0&CDS=1-396, augustus_masked-NODE_5_length_745227_cov_21.5169_ID_9-processed-gene-3.30-mRNA-1_1&gene=augustus_masked-NODE_5_length_745227_cov_21.5169_ID_9-processed-gene-3.30&CDS=1-396
OG0000218	YDR247W, YPL026C	augustus_masked-NODE_3_length_939491_cov_21.5647_ID_5-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-NODE_3_length_939491_cov_21.5647_ID_5-processed-gene-0.57&CDS=1-1329
OG0000219	YDR251W, YPL032C	augustus_masked-NODE_18_length_257630_cov_25.7881_ID_35-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-NODE_18_length_257630_cov_25.7881_ID_35-processed-gene-0.18&CDS=1-2682
OG0000220	YDR263C, YOR033C	augustus_masked-NODE_15_length_311180_cov_37.0353_ID_29-processed-gene-2.28-mRNA-1_1&gene=augustus_masked-NODE_15_length_311180_cov_37.0353_ID_29-processed-gene-2.28&CDS=1-1623
OG0000221	YDR272W, YOR040W	augustus_masked-NODE_20_length_235942_cov_20.2595_ID_39-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-NODE_20_length_235942_cov_20.2595_ID_39-processed-gene-0.3&CDS=1-729
OG0000222	YDR277C, YOR047C	augustus_masked-NODE_7_length_704842_cov_29.3696_ID_13-processed-gene-2.89-mRNA-1_1&gene=augustus_masked-NODE_7_length_704842_cov_29.3696_ID_13-processed-gene-2.89&CDS=1-1365
OG0000223	YDR309C, YHR061C	augustus_masked-NODE_1_length_1500601_cov_22.1594_ID_1-processed-gene-13.96-mRNA-1_1&gene=augustus_masked-NODE_1_length_1500601_cov_22.1594_ID_1-processed-gene-13.96&CDS=1-1746
OG0000224	YDR312W, YHR066W	maker-NODE_6_length_737178_cov_21.3816_ID_11-augustus-gene-6.139-mRNA-1_1&gene=maker-NODE_6_length_737178_cov_21.3816_ID_11-augustus-gene-6.139&CDS=1-2022
OG0000225	YDR326C, YHR080C	snap_masked-NODE_2_length_1027597_cov_21.5416_ID_3-processed-gene-8.125-mRNA-1_1&gene=snap_masked-NODE_2_length_1027597_cov_21.5416_ID_3-processed-gene-8.125&CDS=1-3408
OG0000226	YDR348C, YHR097C	maker-NODE_1_length_1500601_cov_22.1594_ID_1-augustus-gene-14.195-mRNA-1_1&gene=maker-NODE_1_length_1500601_cov_22.1594_ID_1-augustus-gene-14.195&CDS=1-1461
OG0000227	YDR351W, YHR103W	snap_masked-NODE_20_length_235942_cov_20.2595_ID_39-processed-gene-0.109-mRNA-1_1&gene=snap_masked-NODE_20_length_235942_cov_20.2595_ID_39-processed-gene-0.109&CDS=1-2073
OG0000228	YDR379W, YOR127W	augustus_masked-NODE_2_length_1027597_cov_21.5416_ID_3-processed-gene-5.97-mRNA-1_1&gene=augustus_masked-NODE_2_length_1027597_cov_21.5416_ID_3-processed-gene-5.97&CDS=1-2994
OG0000229	YDR380W	augustus_masked-NODE_22_length_186515_cov_21.886_ID_43-processed-gene-0.243-mRNA-1_1&gene=augustus_masked-NODE_22_length_186515_cov_21.886_ID_43-processed-gene-0.243&CDS=1-1728, augustus_masked-NODE_2_length_1027597_cov_21.5416_ID_3-processed-gene-5.75-mRNA-1_1&gene=augustus_masked-NODE_2_length_1027597_cov_21.5416_ID_3-processed-gene-5.75&CDS=1-1776
OG0000230	YDR385W, YOR133W	augustus_masked-NODE_5_length_745227_cov_21.5169_ID_9-processed-gene-3.15-mRNA-1_1&gene=augustus_masked-NODE_5_length_745227_cov_21.5169_ID_9-processed-gene-3.15&CDS=1-4119
OG0000231	YDR409W, YOR156C	snap_masked-NODE_11_length_385550_cov_34.4682_ID_21-processed-gene-2.67-mRNA-1_1&gene=snap_masked-NODE_11_length_385550_cov_34.4682_ID_21-processed-gene-2.67&CDS=1-3576
OG0000232	YDR418W, YEL054C	augustus_masked-NODE_2_length_1027597_cov_21.5416_ID_3-processed-gene-9.53-mRNA-1_1&gene=augustus_masked-NODE_2_length_1027597_cov_21.5416_ID_3-processed-gene-9.53&CDS=1-495
OG0000233	YDR447C, YML024W	augustus_masked-NODE_22_length_186515_cov_21.886_ID_43-processed-gene-0.230-mRNA-1_1&gene=augustus_masked-NODE_22_length_186515_cov_21.886_ID_43-processed-gene-0.230&CDS=1-414
OG0000234	YDR450W, YML026C	augustus_masked-NODE_22_length_186515_cov_21.886_ID_43-processed-gene-0.196-mRNA-1_1&gene=augustus_masked-NODE_22_length_186515_cov_21.886_ID_43-processed-gene-0.196&CDS=1-438
OG0000235	YDR451C, YML027W	augustus_masked-NODE_22_length_186515_cov_21.886_ID_43-processed-gene-0.236-mRNA-1_1&gene=augustus_masked-NODE_22_length_186515_cov_21.886_ID_43-processed-gene-0.236&CDS=1-1539
OG0000236	YDR463W, YHR006W	augustus_masked-NODE_15_length_311180_cov_37.0353_ID_29-processed-gene-2.51-mRNA-1_1&gene=augustus_masked-NODE_15_length_311180_cov_37.0353_ID_29-processed-gene-2.51&CDS=1-1326
OG0000237	YDR500C, YLR185W	augustus_masked-NODE_11_length_385550_cov_34.4682_ID_21-processed-gene-1.52-mRNA-1_1&gene=augustus_masked-NODE_11_length_385550_cov_34.4682_ID_21-processed-gene-1.52&CDS=1-264
OG0000238	YDR505C, YLR177W	augustus_masked-NODE_11_length_385550_cov_34.4682_ID_21-processed-gene-1.58-mRNA-1_1&gene=augustus_masked-NODE_11_length_385550_cov_34.4682_ID_21-processed-gene-1.58&CDS=1-1572
OG0000239	YEL022W, YJR031C	snap_masked-NODE_2_length_1027597_cov_21.5416_ID_3-processed-gene-8.114-mRNA-1_1&gene=snap_masked-NODE_2_length_1027597_cov_21.5416_ID_3-processed-gene-8.114&CDS=1-4281
OG0000240	YEL047C, YJR051W	genemark-NODE_22_length_186515_cov_21.886_ID_43-processed-gene-0.92-mRNA-1_1&gene=genemark-NODE_22_length_186515_cov_21.886_ID_43-processed-gene-0.92&CDS=1-1434
OG0000241	YEL066W, YPR193C	snap_masked-NODE_8_length_699131_cov_28.927_ID_15-processed-gene-0.26-mRNA-1_1&gene=snap_masked-NODE_8_length_699131_cov_28.927_ID_15-processed-gene-0.26&CDS=1-450
OG0000242	YER041W	augustus_masked-NODE_1_length_1500601_cov_22.1594_ID_1-processed-gene-11.116-mRNA-1_1&gene=augustus_masked-NODE_1_length_1500601_cov_22.1594_ID_1-processed-gene-11.116&CDS=1-3069, augustus_masked-NODE_2_length_1027597_cov_21.5416_ID_3-processed-gene-1.27-mRNA-1_1&gene=augustus_masked-NODE_2_length_1027597_cov_21.5416_ID_3-processed-gene-1.27&CDS=1-2307
OG0000243	YER045C, YIL036W	augustus_masked-NODE_14_length_316299_cov_39.3557_ID_27-processed-gene-1.4-mRNA-1_1&gene=augustus_masked-NODE_14_length_316299_cov_39.3557_ID_27-processed-gene-1.4&CDS=1-969
OG0000244	YER056C-A	augustus_masked-NODE_1_length_1500601_cov_22.1594_ID_1-processed-gene-7.34-mRNA-1_1&gene=augustus_masked-NODE_1_length_1500601_cov_22.1594_ID_1-processed-gene-7.34&CDS=1-363, snap_masked-NODE_5_length_745227_cov_21.5169_ID_9-processed-gene-0.110-mRNA-1_1&gene=snap_masked-NODE_5_length_745227_cov_21.5169_ID_9-processed-gene-0.110&CDS=1-339
OG0000245	YER057C, YIL051C	augustus_masked-NODE_5_length_745227_cov_21.5169_ID_9-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-NODE_5_length_745227_cov_21.5169_ID_9-processed-gene-0.25&CDS=1-630
OG0000246	YER059W, YIL050W	augustus_masked-NODE_5_length_745227_cov_21.5169_ID_9-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-NODE_5_length_745227_cov_21.5169_ID_9-processed-gene-0.3&CDS=1-1815
OG0000247	YER062C, YIL053W	augustus_masked-NODE_10_length_454652_cov_34.2411_ID_19-processed-gene-3.162-mRNA-1_1&gene=augustus_masked-NODE_10_length_454652_cov_34.2411_ID_19-processed-gene-3.162&CDS=1-756
OG0000248	YER064C, YIL056W	augustus_masked-NODE_15_length_311180_cov_37.0353_ID_29-processed-gene-2.4-mRNA-1_1&gene=augustus_masked-NODE_15_length_311180_cov_37.0353_ID_29-processed-gene-2.4&CDS=1-1344
OG0000249	YER066W, YFL009W	snap_masked-NODE_6_length_737178_cov_21.3816_ID_11-processed-gene-2.97-mRNA-1_1&gene=snap_masked-NODE_6_length_737178_cov_21.3816_ID_11-processed-gene-2.97&CDS=1-2028
OG0000250	YER067W, YIL057C	snap_masked-NODE_15_length_311180_cov_37.0353_ID_29-processed-gene-2.143-mRNA-1_1&gene=snap_masked-NODE_15_length_311180_cov_37.0353_ID_29-processed-gene-2.143&CDS=1-486
OG0000251	YER103W	augustus_masked-NODE_2_length_1027597_cov_21.5416_ID_3-processed-gene-3.128-mRNA-1_1&gene=augustus_masked-NODE_2_length_1027597_cov_21.5416_ID_3-processed-gene-3.128&CDS=1-1926, augustus_masked-NODE_6_length_737178_cov_21.3816_ID_11-processed-gene-4.17-mRNA-1_1&gene=augustus_masked-NODE_6_length_737178_cov_21.3816_ID_11-processed-gene-4.17&CDS=1-1935
OG0000252	YER129W, YGL179C	augustus_masked-NODE_23_length_147361_cov_47.2581_ID_45-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_23_length_147361_cov_47.2581_ID_45-processed-gene-0.0&CDS=1-3462
OG0000253	YER131W, YGL189C	augustus_masked-NODE_6_length_737178_cov_21.3816_ID_11-processed-gene-3.48-mRNA-1_1&gene=augustus_masked-NODE_6_length_737178_cov_21.3816_ID_11-processed-gene-3.48&CDS=1-354
OG0000254	YER132C, YGL197W	augustus_masked-NODE_5_length_745227_cov_21.5169_ID_9-processed-gene-6.223-mRNA-1_1&gene=augustus_masked-NODE_5_length_745227_cov_21.5169_ID_9-processed-gene-6.223&CDS=1-4071
OG0000255	YFL034C-A, YLR061W	augustus_masked-NODE_1_length_1500601_cov_22.1594_ID_1-processed-gene-5.87-mRNA-1_1&gene=augustus_masked-NODE_1_length_1500601_cov_22.1594_ID_1-processed-gene-5.87&CDS=1-354
OG0000256	YFL048C, YLR080W	augustus_masked-NODE_6_length_737178_cov_21.3816_ID_11-processed-gene-2.57-mRNA-1_1&gene=augustus_masked-NODE_6_length_737178_cov_21.3816_ID_11-processed-gene-2.57&CDS=1-1374
OG0000257	YFL050C, YOL130W	augustus_masked-NODE_8_length_699131_cov_28.927_ID_15-processed-gene-4.128-mRNA-1_1&gene=augustus_masked-NODE_8_length_699131_cov_28.927_ID_15-processed-gene-4.128&CDS=1-2085
OG0000258	YFR013W, YOL017W	genemark-NODE_6_length_737178_cov_21.3816_ID_11-processed-gene-5.100-mRNA-1_1&gene=genemark-NODE_6_length_737178_cov_21.3816_ID_11-processed-gene-5.100&CDS=1-2604
OG0000259	YFR023W, YHR015W	augustus_masked-NODE_12_length_325957_cov_37.5909_ID_23-processed-gene-2.111-mRNA-1_1&gene=augustus_masked-NODE_12_length_325957_cov_37.5909_ID_23-processed-gene-2.111&CDS=1-2109
OG0000260	YFR031C-A, YIL018W	augustus_masked-NODE_1_length_1500601_cov_22.1594_ID_1-processed-gene-10.60-mRNA-1_1&gene=augustus_masked-NODE_1_length_1500601_cov_22.1594_ID_1-processed-gene-10.60&CDS=1-762
OG0000261	YFR039C, YGL228W	augustus_masked-NODE_3_length_939491_cov_21.5647_ID_5-processed-gene-5.101-mRNA-1_1&gene=augustus_masked-NODE_3_length_939491_cov_21.5647_ID_5-processed-gene-5.101&CDS=1-2442
OG0000262	YFR053C, YGL253W	augustus_masked-NODE_6_length_737178_cov_21.3816_ID_11-processed-gene-6.61-mRNA-1_1&gene=augustus_masked-NODE_6_length_737178_cov_21.3816_ID_11-processed-gene-6.61&CDS=1-1413
