	Saccharomyces_cerevisiae	yHMPu5000034612_Saturnispora_saitoi
OG0000391	YLR260W, YOR171C	augustus_masked-flattened_line_0-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-0.41&CDS=1-1557
OG0000392	YLR264W, YOR167C	augustus_masked-flattened_line_8-processed-gene-2.68-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-2.68&CDS=1-201
OG0000393	YLR284C, YOR180C	augustus_masked-flattened_line_0-processed-gene-3.5-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-3.5&CDS=1-816
OG0000394	YLR287C-A, YOR182C	maker-flattened_line_8-snap-gene-2.153-mRNA-1_1&gene=maker-flattened_line_8-snap-gene-2.153&CDS=1-825
OG0000395	YLR411W	augustus_masked-flattened_line_12-processed-gene-3.101-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-3.101&CDS=1-927, augustus_masked-flattened_line_12-processed-gene-3.76-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-3.76&CDS=1-705
OG0000396	YLR450W, YML075C	augustus_masked-flattened_line_45-processed-gene-0.99-mRNA-1_1&gene=augustus_masked-flattened_line_45-processed-gene-0.99&CDS=1-3159
OG0000397	YLR456W, YPR172W	augustus_masked-flattened_line_2-processed-gene-2.22-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-2.22&CDS=1-528
OG0000398	YML054C	augustus_masked-flattened_line_10-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-0.31&CDS=1-1710, augustus_masked-flattened_line_45-processed-gene-0.115-mRNA-1_1&gene=augustus_masked-flattened_line_45-processed-gene-0.115&CDS=1-1614
OG0000399	YML085C, YML124C	maker-flattened_line_12-augustus-gene-1.135-mRNA-1_1&gene=maker-flattened_line_12-augustus-gene-1.135&CDS=1-6984
OG0000400	YML100W, YMR261C	snap_masked-flattened_line_12-processed-gene-4.11-mRNA-1_1&gene=snap_masked-flattened_line_12-processed-gene-4.11&CDS=1-3384
OG0000401	YML106W, YMR271C	augustus_masked-flattened_line_2-processed-gene-2.38-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-2.38&CDS=1-654
OG0000402	YML109W, YMR273C	augustus_masked-flattened_line_0-processed-gene-8.128-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-8.128&CDS=1-3489
OG0000403	YMR034C	augustus_masked-flattened_line_6-processed-gene-2.167-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-2.167&CDS=1-1212, snap_masked-flattened_line_6-processed-gene-1.96-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-1.96&CDS=1-1428
OG0000404	YMR172W, YOL116W	snap_masked-flattened_line_12-processed-gene-2.13-mRNA-1_1&gene=snap_masked-flattened_line_12-processed-gene-2.13&CDS=1-1350
OG0000405	YMR177W, YPL224C	augustus_masked-flattened_line_12-processed-gene-2.83-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-2.83&CDS=1-1677
OG0000406	YMR182C, YPL230W	augustus_masked-flattened_line_22-processed-gene-1.124-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-1.124&CDS=1-1695
OG0000407	YMR183C, YPL232W	snap_masked-flattened_line_10-processed-gene-4.205-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-4.205&CDS=1-840
OG0000408	YMR186W, YPL240C	augustus_masked-flattened_line_12-processed-gene-4.152-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-4.152&CDS=1-3777
OG0000409	YMR216C	augustus_masked-flattened_line_12-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-0.26&CDS=1-2280, maker-flattened_line_23-snap-gene-1.337-mRNA-1_1&gene=maker-flattened_line_23-snap-gene-1.337&CDS=1-2088
OG0000410	YMR221C	augustus_masked-flattened_line_10-processed-gene-4.22-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-4.22&CDS=1-1566, augustus_masked-flattened_line_43-processed-gene-0.119-mRNA-1_1&gene=augustus_masked-flattened_line_43-processed-gene-0.119&CDS=1-1533
OG0000411	YMR222C, YOR280C	augustus_masked-flattened_line_43-processed-gene-0.120-mRNA-1_1&gene=augustus_masked-flattened_line_43-processed-gene-0.120&CDS=1-747
OG0000412	YMR230W, YOR293W	augustus_masked-flattened_line_20-processed-gene-2.244-mRNA-1_1&gene=augustus_masked-flattened_line_20-processed-gene-2.244&CDS=1-411
OG0000413	YMR239C	augustus_masked-flattened_line_51-processed-gene-0.103-mRNA-1_1&gene=augustus_masked-flattened_line_51-processed-gene-0.103&CDS=1-954, snap_masked-flattened_line_10-processed-gene-4.216-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-4.216&CDS=1-1980
OG0000414	YMR242C, YOR312C	augustus_masked-flattened_line_37-processed-gene-0.139-mRNA-1_1&gene=augustus_masked-flattened_line_37-processed-gene-0.139&CDS=1-537
OG0000415	YMR253C, YPL264C	augustus_masked-flattened_line_53-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-flattened_line_53-processed-gene-0.35&CDS=1-1236
OG0000416	YMR319C	augustus_masked-flattened_line_4-processed-gene-5.32-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-5.32&CDS=1-1932, maker-flattened_line_4-snap-gene-4.142-mRNA-1_1&gene=maker-flattened_line_4-snap-gene-4.142&CDS=1-3528
OG0000417	YNL087W, YOR086C	snap_masked-flattened_line_2-processed-gene-5.136-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-5.136&CDS=1-3465
OG0000418	YNL095C, YOR092W	snap_masked-flattened_line_8-processed-gene-0.92-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-0.92&CDS=1-1659
OG0000419	YNL096C, YOR096W	augustus_masked-flattened_line_45-processed-gene-0.113-mRNA-1_1&gene=augustus_masked-flattened_line_45-processed-gene-0.113&CDS=1-567
OG0000420	YNL098C, YOR101W	augustus_masked-flattened_line_23-processed-gene-1.256-mRNA-1_1&gene=augustus_masked-flattened_line_23-processed-gene-1.256&CDS=1-870
OG0000421	YNL104C, YOR108W	augustus_masked-flattened_line_4-processed-gene-7.54-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-7.54&CDS=1-1743
OG0000422	YNL108C, YOR110W	genemark-flattened_line_0-processed-gene-4.117-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-4.117&CDS=1-1587
OG0000423	YNL123W	augustus_masked-flattened_line_14-processed-gene-2.13-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-2.13&CDS=1-2916, augustus_masked-flattened_line_18-processed-gene-2.81-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-2.81&CDS=1-2949
OG0000424	YNL192W	augustus_masked-flattened_line_4-processed-gene-2.60-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-2.60&CDS=1-3195, genemark-flattened_line_20-processed-gene-2.51-mRNA-1_1&gene=genemark-flattened_line_20-processed-gene-2.51&CDS=1-4524
OG0000425	YNL239W	augustus_masked-flattened_line_22-processed-gene-1.132-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-1.132&CDS=1-1350, augustus_masked-flattened_line_47-processed-gene-0.90-mRNA-1_1&gene=augustus_masked-flattened_line_47-processed-gene-0.90&CDS=1-1512
OG0000426	YNL293W, YOL112W	snap_masked-flattened_line_16-processed-gene-3.52-mRNA-1_1&gene=snap_masked-flattened_line_16-processed-gene-3.52&CDS=1-1158
OG0000427	YNL301C, YOL120C	genemark-flattened_line_6-processed-gene-3.140-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-3.140&CDS=1-963
OG0000428	YOR049C	maker-flattened_line_0-snap-gene-1.82-mRNA-1_1&gene=maker-flattened_line_0-snap-gene-1.82&CDS=1-2649, snap_masked-flattened_line_22-processed-gene-2.25-mRNA-1_1&gene=snap_masked-flattened_line_22-processed-gene-2.25&CDS=1-990
OG0000429	YOR126C	augustus_masked-flattened_line_31-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-flattened_line_31-processed-gene-0.14&CDS=1-774, maker-flattened_line_31-augustus-gene-0.128-mRNA-1_1&gene=maker-flattened_line_31-augustus-gene-0.128&CDS=1-2649
OG0000430	YOR140W	genemark-flattened_line_14-processed-gene-3.129-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-3.129&CDS=1-1782, snap_masked-flattened_line_27-processed-gene-0.80-mRNA-1_1&gene=snap_masked-flattened_line_27-processed-gene-0.80&CDS=1-1665
OG0000431	YOR153W	augustus_masked-flattened_line_8-processed-gene-4.221-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-4.221&CDS=1-5562, genemark-flattened_line_87-processed-gene-0.0-mRNA-1_1&gene=genemark-flattened_line_87-processed-gene-0.0&CDS=1-4341
OG0000432	YOR227W, YPL137C	augustus_masked-flattened_line_2-processed-gene-4.119-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-4.119&CDS=1-3777
OG0000433	YOR237W, YPL145C	augustus_masked-flattened_line_6-processed-gene-3.66-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-3.66&CDS=1-1245
OG0000434	YOR256C, YPL176C	augustus_masked-flattened_line_0-processed-gene-1.4-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-1.4&CDS=1-2517
OG0000435	YOR270C	augustus_masked-flattened_line_0-processed-gene-3.49-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-3.49&CDS=1-2457, augustus_masked-flattened_line_16-processed-gene-3.82-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-3.82&CDS=1-2670
OG0000436	YOR285W, YOR286W	genemark-flattened_line_43-processed-gene-0.5-mRNA-1_1&gene=genemark-flattened_line_43-processed-gene-0.5&CDS=1-606
OG0000437	YPL203W	augustus_masked-flattened_line_23-processed-gene-1.266-mRNA-1_1&gene=augustus_masked-flattened_line_23-processed-gene-1.266&CDS=1-1095, genemark-flattened_line_6-processed-gene-3.169-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-3.169&CDS=1-1338
OG0000438	YPR013C, YPR015C	augustus_masked-flattened_line_16-processed-gene-1.96-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-1.96&CDS=1-741
OG0000439	YAL001C	augustus_masked-flattened_line_6-processed-gene-3.21-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-3.21&CDS=1-3690
OG0000440	YAL002W	augustus_masked-flattened_line_18-processed-gene-2.48-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-2.48&CDS=1-4224
OG0000441	YAL003W	maker-flattened_line_0-augustus-gene-6.88-mRNA-1_1&gene=maker-flattened_line_0-augustus-gene-6.88&CDS=1-627
OG0000442	YAL009W	augustus_masked-flattened_line_23-processed-gene-0.104-mRNA-1_1&gene=augustus_masked-flattened_line_23-processed-gene-0.104&CDS=1-1254
OG0000443	YAL010C	augustus_masked-flattened_line_23-processed-gene-0.81-mRNA-1_1&gene=augustus_masked-flattened_line_23-processed-gene-0.81&CDS=1-1545
OG0000444	YAL011W	augustus_masked-flattened_line_2-processed-gene-4.121-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-4.121&CDS=1-2715
OG0000445	YAL013W	augustus_masked-flattened_line_4-processed-gene-2.72-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-2.72&CDS=1-1113
OG0000446	YAL016W	augustus_masked-flattened_line_22-processed-gene-2.197-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-2.197&CDS=1-1824
OG0000447	YAL019W	augustus_masked-flattened_line_23-processed-gene-0.105-mRNA-1_1&gene=augustus_masked-flattened_line_23-processed-gene-0.105&CDS=1-4695
OG0000448	YAL020C	augustus_masked-flattened_line_23-processed-gene-0.82-mRNA-1_1&gene=augustus_masked-flattened_line_23-processed-gene-0.82&CDS=1-1086
OG0000449	YAL021C	snap_masked-flattened_line_2-processed-gene-6.155-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-6.155&CDS=1-7086
OG0000450	YAL022C	augustus_masked-flattened_line_4-processed-gene-0.149-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-0.149&CDS=1-1263
OG0000451	YAL023C	augustus_masked-flattened_line_6-processed-gene-5.102-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-5.102&CDS=1-2265
OG0000452	YAL024C	augustus_masked-flattened_line_4-processed-gene-4.10-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-4.10&CDS=1-3672
OG0000453	YAL025C	augustus_masked-flattened_line_47-processed-gene-0.76-mRNA-1_1&gene=augustus_masked-flattened_line_47-processed-gene-0.76&CDS=1-897
OG0000454	YAL032C	augustus_masked-flattened_line_4-processed-gene-1.28-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-1.28&CDS=1-918
OG0000455	YAL033W	snap_masked-flattened_line_0-processed-gene-0.87-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-0.87&CDS=1-507
OG0000456	YAL034W-A	augustus_masked-flattened_line_6-processed-gene-2.144-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-2.144&CDS=1-822
OG0000457	YAL035W	maker-flattened_line_39-augustus-gene-0.7-mRNA-1_1&gene=maker-flattened_line_39-augustus-gene-0.7&CDS=1-4134
OG0000458	YAL036C	maker-flattened_line_23-augustus-gene-0.112-mRNA-1_1&gene=maker-flattened_line_23-augustus-gene-0.112&CDS=1-1317
OG0000459	YAL038W	augustus_masked-flattened_line_72-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-flattened_line_72-processed-gene-0.4&CDS=1-1506
OG0000460	YAL039C	augustus_masked-flattened_line_20-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-flattened_line_20-processed-gene-0.33&CDS=1-783
OG0000461	YAL043C	augustus_masked-flattened_line_29-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-flattened_line_29-processed-gene-0.24&CDS=1-2076
OG0000462	YAL044C	augustus_masked-flattened_line_41-processed-gene-0.110-mRNA-1_1&gene=augustus_masked-flattened_line_41-processed-gene-0.110&CDS=1-483
OG0000463	YAL044W-A	maker-flattened_line_41-snap-gene-0.85-mRNA-1_1&gene=maker-flattened_line_41-snap-gene-0.85&CDS=1-414
OG0000464	YAL046C	augustus_masked-flattened_line_10-processed-gene-4.58-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-4.58&CDS=1-303
OG0000465	YAL048C	augustus_masked-flattened_line_0-processed-gene-8.150-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-8.150&CDS=1-2736
OG0000466	YAL049C	augustus_masked-flattened_line_33-processed-gene-0.124-mRNA-1_1&gene=augustus_masked-flattened_line_33-processed-gene-0.124&CDS=1-1806
OG0000467	YAL053W	augustus_masked-flattened_line_2-processed-gene-8.178-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-8.178&CDS=1-2094
OG0000468	YAL058W	augustus_masked-flattened_line_6-processed-gene-1.50-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-1.50&CDS=1-1842
OG0000469	YAL059W	augustus_masked-flattened_line_22-processed-gene-2.225-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-2.225&CDS=1-591
OG0000470	YAR003W	augustus_masked-flattened_line_2-processed-gene-8.150-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-8.150&CDS=1-1311
OG0000471	YAR007C	snap_masked-flattened_line_0-processed-gene-8.3-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-8.3&CDS=1-1839
OG0000472	YAR014C	augustus_masked-flattened_line_2-processed-gene-5.1-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-5.1&CDS=1-1317
OG0000473	YAR015W	maker-flattened_line_4-augustus-gene-3.94-mRNA-1_1&gene=maker-flattened_line_4-augustus-gene-3.94&CDS=1-2154
OG0000474	YBL001C	augustus_masked-flattened_line_31-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-flattened_line_31-processed-gene-0.41&CDS=1-324
OG0000475	YBL004W	augustus_masked-flattened_line_2-processed-gene-1.37-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-1.37&CDS=1-7644
OG0000476	YBL007C	augustus_masked-flattened_line_12-processed-gene-2.67-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-2.67&CDS=1-3600
OG0000477	YBL008W	augustus_masked-flattened_line_18-processed-gene-2.32-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-2.32&CDS=1-2721
OG0000478	YBL011W	augustus_masked-flattened_line_2-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-0.0&CDS=1-2118
OG0000479	YBL013W	snap_masked-flattened_line_0-processed-gene-2.111-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-2.111&CDS=1-1017
OG0000480	YBL015W	augustus_masked-flattened_line_10-processed-gene-2.47-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-2.47&CDS=1-1569
OG0000481	YBL019W	snap_masked-flattened_line_8-processed-gene-1.30-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-1.30&CDS=1-1569
OG0000482	YBL022C	maker-flattened_line_0-augustus-gene-7.61-mRNA-1_1&gene=maker-flattened_line_0-augustus-gene-7.61&CDS=1-4887
OG0000483	YBL023C	augustus_masked-flattened_line_0-processed-gene-8.130-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-8.130&CDS=1-2655
OG0000484	YBL024W	augustus_masked-flattened_line_0-processed-gene-4.53-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-4.53&CDS=1-2070
OG0000485	YBL028C	augustus_masked-flattened_line_27-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-flattened_line_27-processed-gene-0.23&CDS=1-339
OG0000486	YBL029W	augustus_masked-flattened_line_12-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-0.46&CDS=1-939
OG0000487	YBL032W	augustus_masked-flattened_line_49-processed-gene-0.125-mRNA-1_1&gene=augustus_masked-flattened_line_49-processed-gene-0.125&CDS=1-1089
OG0000488	YBL033C	augustus_masked-flattened_line_14-processed-gene-2.30-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-2.30&CDS=1-954
OG0000489	YBL034C	snap_masked-flattened_line_25-processed-gene-1.61-mRNA-1_1&gene=snap_masked-flattened_line_25-processed-gene-1.61&CDS=1-3684
OG0000490	YBL035C	augustus_masked-flattened_line_12-processed-gene-2.75-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-2.75&CDS=1-1995
OG0000491	YBL036C	snap_masked-flattened_line_12-processed-gene-2.21-mRNA-1_1&gene=snap_masked-flattened_line_12-processed-gene-2.21&CDS=1-786
OG0000492	YBL038W	augustus_masked-flattened_line_31-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-flattened_line_31-processed-gene-0.11&CDS=1-621
OG0000493	YBL039C	augustus_masked-flattened_line_2-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-0.2&CDS=1-1725
OG0000494	YBL040C	augustus_masked-flattened_line_8-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-0.33&CDS=1-636
OG0000495	YBL041W	augustus_masked-flattened_line_8-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-0.9&CDS=1-741
OG0000496	YBL045C	augustus_masked-flattened_line_2-processed-gene-5.29-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-5.29&CDS=1-1326
OG0000497	YBL047C	augustus_masked-flattened_line_18-processed-gene-2.27-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-2.27&CDS=1-4116
OG0000498	YBL049W	augustus_masked-flattened_line_8-processed-gene-1.159-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-1.159&CDS=1-771
OG0000499	YBL050W	augustus_masked-flattened_line_10-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-0.21&CDS=1-894
OG0000500	YBL051C	augustus_masked-flattened_line_2-processed-gene-1.5-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-1.5&CDS=1-1437
OG0000501	YBL055C	augustus_masked-flattened_line_22-processed-gene-1.155-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-1.155&CDS=1-1080
OG0000502	YBL057C	augustus_masked-flattened_line_22-processed-gene-1.153-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-1.153&CDS=1-507
OG0000503	YBL058W	augustus_masked-flattened_line_22-processed-gene-1.129-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-1.129&CDS=1-1116
OG0000504	YBL059C-A	augustus_masked-flattened_line_16-processed-gene-2.22-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-2.22&CDS=1-336
OG0000505	YBL061C	augustus_masked-flattened_line_6-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-0.49&CDS=1-1797
OG0000506	YBL066C	augustus_masked-flattened_line_18-processed-gene-1.130-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-1.130&CDS=1-2817
OG0000507	YBL071W-A	augustus_masked-flattened_line_6-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-0.27&CDS=1-213
OG0000508	YBL076C	augustus_masked-flattened_line_49-processed-gene-0.141-mRNA-1_1&gene=augustus_masked-flattened_line_49-processed-gene-0.141&CDS=1-3222
OG0000509	YBL078C	snap_masked-flattened_line_4-processed-gene-0.47-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-0.47&CDS=1-984
OG0000510	YBL080C	augustus_masked-flattened_line_4-processed-gene-0.137-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-0.137&CDS=1-1446
OG0000511	YBL086C	snap_masked-flattened_line_6-processed-gene-4.35-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-4.35&CDS=1-1233
OG0000512	YBL088C	augustus_masked-flattened_line_14-processed-gene-3.2-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-3.2&CDS=1-8910
OG0000513	YBL091C	augustus_masked-flattened_line_0-processed-gene-7.115-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-7.115&CDS=1-1251
OG0000514	YBL092W	augustus_masked-flattened_line_14-processed-gene-3.34-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-3.34&CDS=1-390
OG0000515	YBL093C	augustus_masked-flattened_line_14-processed-gene-3.74-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-3.74&CDS=1-567
OG0000516	YBL095W	augustus_masked-flattened_line_6-processed-gene-2.135-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-2.135&CDS=1-663
OG0000517	YBL097W	augustus_masked-flattened_line_4-processed-gene-2.88-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-2.88&CDS=1-2469
OG0000518	YBL098W	augustus_masked-flattened_line_4-processed-gene-2.66-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-2.66&CDS=1-1350
OG0000519	YBL099W	maker-flattened_line_35-augustus-gene-0.161-mRNA-1_1&gene=maker-flattened_line_35-augustus-gene-0.161&CDS=1-1644
OG0000520	YBL102W	augustus_masked-flattened_line_37-processed-gene-0.135-mRNA-1_1&gene=augustus_masked-flattened_line_37-processed-gene-0.135&CDS=1-606
OG0000521	YBL103C	augustus_masked-flattened_line_37-processed-gene-0.134-mRNA-1_1&gene=augustus_masked-flattened_line_37-processed-gene-0.134&CDS=1-1266
OG0000522	YBL104C	maker-flattened_line_8-snap-gene-4.175-mRNA-1_1&gene=maker-flattened_line_8-snap-gene-4.175&CDS=1-2919
OG0000523	YBL105C	maker-flattened_line_8-augustus-gene-4.187-mRNA-1_1&gene=maker-flattened_line_8-augustus-gene-4.187&CDS=1-2040
OG0000524	YBR003W	genemark-flattened_line_6-processed-gene-0.98-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-0.98&CDS=1-1458
OG0000525	YBR004C	augustus_masked-flattened_line_8-processed-gene-1.129-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-1.129&CDS=1-1215
OG0000526	YBR011C	augustus_masked-flattened_line_2-processed-gene-7.96-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-7.96&CDS=1-855
OG0000527	YBR017C	augustus_masked-flattened_line_2-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-0.44&CDS=1-2811
OG0000528	YBR022W	genemark-flattened_line_23-processed-gene-1.83-mRNA-1_1&gene=genemark-flattened_line_23-processed-gene-1.83&CDS=1-375
OG0000529	YBR023C	augustus_masked-flattened_line_0-processed-gene-8.152-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-8.152&CDS=1-3588
OG0000530	YBR025C	augustus_masked-flattened_line_16-processed-gene-3.96-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-3.96&CDS=1-1185
OG0000531	YBR026C	augustus_masked-flattened_line_2-processed-gene-6.31-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-6.31&CDS=1-1101
OG0000532	YBR029C	augustus_masked-flattened_line_27-processed-gene-1.38-mRNA-1_1&gene=augustus_masked-flattened_line_27-processed-gene-1.38&CDS=1-1296
OG0000533	YBR030W	augustus_masked-flattened_line_0-processed-gene-6.9-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-6.9&CDS=1-1977
OG0000534	YBR034C	augustus_masked-flattened_line_4-processed-gene-1.13-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-1.13&CDS=1-1032
OG0000535	YBR035C	augustus_masked-flattened_line_6-processed-gene-4.175-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-4.175&CDS=1-693
OG0000536	YBR037C	augustus_masked-flattened_line_16-processed-gene-3.97-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-3.97&CDS=1-894
OG0000537	YBR038W	augustus_masked-flattened_line_2-processed-gene-1.50-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-1.50&CDS=1-3033
OG0000538	YBR039W	genemark-flattened_line_6-processed-gene-0.113-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-0.113&CDS=1-786
OG0000539	YBR041W	augustus_masked-flattened_line_4-processed-gene-1.35-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-1.35&CDS=1-2010
OG0000540	YBR043C	augustus_masked-flattened_line_51-processed-gene-0.106-mRNA-1_1&gene=augustus_masked-flattened_line_51-processed-gene-0.106&CDS=1-2253
OG0000541	YBR046C	maker-flattened_line_35-snap-gene-0.166-mRNA-1_1&gene=maker-flattened_line_35-snap-gene-0.166&CDS=1-2142
OG0000542	YBR047W	augustus_masked-flattened_line_4-processed-gene-7.69-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-7.69&CDS=1-618
OG0000543	YBR055C	augustus_masked-flattened_line_22-processed-gene-1.139-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-1.139&CDS=1-2661
OG0000544	YBR056W	augustus_masked-flattened_line_0-processed-gene-5.126-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-5.126&CDS=1-1482
OG0000545	YBR057C	maker-flattened_line_18-snap-gene-2.10-mRNA-1_1&gene=maker-flattened_line_18-snap-gene-2.10&CDS=1-1374
