	Saccharomyces_cerevisiae	yHMPu5000034758_Lipomyces_japonicus
OG0000578	YBR196C	maker-flattened_line_43-augustus-gene-0.88-mRNA-1_1&gene=maker-flattened_line_43-augustus-gene-0.88&CDS=1-3120
OG0000579	YBR198C	genemark-flattened_line_55-processed-gene-0.31-mRNA-1_1&gene=genemark-flattened_line_55-processed-gene-0.31&CDS=1-2298
OG0000580	YBR199W	augustus_masked-flattened_line_119-processed-gene-0.107-mRNA-1_1&gene=augustus_masked-flattened_line_119-processed-gene-0.107&CDS=1-1236
OG0000581	YBR200W	genemark-flattened_line_25-processed-gene-0.6-mRNA-1_1&gene=genemark-flattened_line_25-processed-gene-0.6&CDS=1-2109
OG0000582	YBR202W	augustus_masked-flattened_line_121-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_121-processed-gene-0.0&CDS=1-2349
OG0000583	YBR203W	augustus_masked-flattened_line_57-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-flattened_line_57-processed-gene-0.16&CDS=1-1563
OG0000584	YBR208C	snap_masked-flattened_line_13-processed-gene-1.98-mRNA-1_1&gene=snap_masked-flattened_line_13-processed-gene-1.98&CDS=1-5478
OG0000585	YBR213W	genemark-flattened_line_101-processed-gene-0.71-mRNA-1_1&gene=genemark-flattened_line_101-processed-gene-0.71&CDS=1-750
OG0000586	YBR215W	genemark-flattened_line_7-processed-gene-0.93-mRNA-1_1&gene=genemark-flattened_line_7-processed-gene-0.93&CDS=1-1209
OG0000587	YBR217W	maker-flattened_line_0-augustus-gene-0.22-mRNA-1_1&gene=maker-flattened_line_0-augustus-gene-0.22&CDS=1-648
OG0000588	YBR218C	genemark-flattened_line_135-processed-gene-0.2-mRNA-1_1&gene=genemark-flattened_line_135-processed-gene-0.2&CDS=1-3546
OG0000589	YBR220C	genemark-flattened_line_2-processed-gene-2.100-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-2.100&CDS=1-1728
OG0000590	YBR221C	genemark-flattened_line_47-processed-gene-0.109-mRNA-1_1&gene=genemark-flattened_line_47-processed-gene-0.109&CDS=1-1176
OG0000591	YBR222C	genemark-flattened_line_5-processed-gene-1.62-mRNA-1_1&gene=genemark-flattened_line_5-processed-gene-1.62&CDS=1-1557
OG0000592	YBR227C	genemark-flattened_line_180-processed-gene-0.3-mRNA-1_1&gene=genemark-flattened_line_180-processed-gene-0.3&CDS=1-1605
OG0000593	YBR228W	genemark-flattened_line_121-processed-gene-0.52-mRNA-1_1&gene=genemark-flattened_line_121-processed-gene-0.52&CDS=1-1392
OG0000594	YBR229C	maker-flattened_line_121-augustus-gene-0.123-mRNA-1_1&gene=maker-flattened_line_121-augustus-gene-0.123&CDS=1-2883
OG0000595	YBR233W	genemark-flattened_line_11-processed-gene-0.131-mRNA-1_1&gene=genemark-flattened_line_11-processed-gene-0.131&CDS=1-1152
OG0000596	YBR233W-A	genemark-flattened_line_216-processed-gene-0.16-mRNA-1_1&gene=genemark-flattened_line_216-processed-gene-0.16&CDS=1-363
OG0000597	YBR234C	genemark-flattened_line_23-processed-gene-1.170-mRNA-1_1&gene=genemark-flattened_line_23-processed-gene-1.170&CDS=1-1104
OG0000598	YBR235W	genemark-flattened_line_109-processed-gene-0.72-mRNA-1_1&gene=genemark-flattened_line_109-processed-gene-0.72&CDS=1-3606
OG0000599	YBR236C	genemark-flattened_line_202-processed-gene-0.27-mRNA-1_1&gene=genemark-flattened_line_202-processed-gene-0.27&CDS=1-1500
OG0000600	YBR237W	genemark-flattened_line_17-processed-gene-1.218-mRNA-1_1&gene=genemark-flattened_line_17-processed-gene-1.218&CDS=1-2955
OG0000601	YBR239C	genemark-flattened_line_31-processed-gene-1.60-mRNA-1_1&gene=genemark-flattened_line_31-processed-gene-1.60&CDS=1-1473
OG0000602	YBR243C	snap_masked-flattened_line_355-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_355-processed-gene-0.0&CDS=1-1467
OG0000603	YBR244W	genemark-flattened_line_153-processed-gene-0.32-mRNA-1_1&gene=genemark-flattened_line_153-processed-gene-0.32&CDS=1-498
OG0000604	YBR246W	genemark-flattened_line_23-processed-gene-0.118-mRNA-1_1&gene=genemark-flattened_line_23-processed-gene-0.118&CDS=1-1029
OG0000605	YBR247C	genemark-flattened_line_97-processed-gene-0.13-mRNA-1_1&gene=genemark-flattened_line_97-processed-gene-0.13&CDS=1-1356
OG0000606	YBR248C	maker-flattened_line_21-augustus-gene-0.68-mRNA-1_1&gene=maker-flattened_line_21-augustus-gene-0.68&CDS=1-3003
OG0000607	YBR249C	maker-flattened_line_71-augustus-gene-0.74-mRNA-1_1&gene=maker-flattened_line_71-augustus-gene-0.74&CDS=1-1227
OG0000608	YBR251W	genemark-flattened_line_77-processed-gene-0.11-mRNA-1_1&gene=genemark-flattened_line_77-processed-gene-0.11&CDS=1-1050
OG0000609	YBR254C	snap_masked-flattened_line_0-processed-gene-3.200-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-3.200&CDS=1-456
OG0000610	YBR255W	snap_masked-flattened_line_79-processed-gene-0.34-mRNA-1_1&gene=snap_masked-flattened_line_79-processed-gene-0.34&CDS=1-2439
OG0000611	YBR257W	genemark-flattened_line_37-processed-gene-0.223-mRNA-1_1&gene=genemark-flattened_line_37-processed-gene-0.223&CDS=1-1182
OG0000612	YBR260C	maker-flattened_line_226-snap-gene-0.11-mRNA-1_1&gene=maker-flattened_line_226-snap-gene-0.11&CDS=1-1689
OG0000613	YBR261C	genemark-flattened_line_15-processed-gene-0.58-mRNA-1_1&gene=genemark-flattened_line_15-processed-gene-0.58&CDS=1-720
OG0000614	YBR265W	genemark-flattened_line_31-processed-gene-0.52-mRNA-1_1&gene=genemark-flattened_line_31-processed-gene-0.52&CDS=1-957
OG0000615	YBR267W	maker-flattened_line_83-snap-gene-0.142-mRNA-1_1&gene=maker-flattened_line_83-snap-gene-0.142&CDS=1-1446
OG0000616	YBR268W	genemark-flattened_line_57-processed-gene-0.215-mRNA-1_1&gene=genemark-flattened_line_57-processed-gene-0.215&CDS=1-378
OG0000617	YBR269C	genemark-flattened_line_51-processed-gene-0.183-mRNA-1_1&gene=genemark-flattened_line_51-processed-gene-0.183&CDS=1-393
OG0000618	YBR271W	genemark-flattened_line_81-processed-gene-0.2-mRNA-1_1&gene=genemark-flattened_line_81-processed-gene-0.2&CDS=1-1089
OG0000619	YBR276C	genemark-flattened_line_245-processed-gene-0.10-mRNA-1_1&gene=genemark-flattened_line_245-processed-gene-0.10&CDS=1-2439
OG0000620	YBR279W	augustus_masked-flattened_line_59-processed-gene-0.226-mRNA-1_1&gene=augustus_masked-flattened_line_59-processed-gene-0.226&CDS=1-1233
OG0000621	YBR281C	genemark-flattened_line_31-processed-gene-1.63-mRNA-1_1&gene=genemark-flattened_line_31-processed-gene-1.63&CDS=1-2565
OG0000622	YBR282W	maker-flattened_line_7-augustus-gene-0.72-mRNA-1_1&gene=maker-flattened_line_7-augustus-gene-0.72&CDS=1-450
OG0000623	YBR287W	genemark-flattened_line_163-processed-gene-0.51-mRNA-1_1&gene=genemark-flattened_line_163-processed-gene-0.51&CDS=1-1479
OG0000624	YBR288C	genemark-flattened_line_47-processed-gene-0.97-mRNA-1_1&gene=genemark-flattened_line_47-processed-gene-0.97&CDS=1-1437
OG0000625	YBR289W	genemark-flattened_line_83-processed-gene-0.1-mRNA-1_1&gene=genemark-flattened_line_83-processed-gene-0.1&CDS=1-1656
OG0000626	YBR290W	genemark-flattened_line_0-processed-gene-2.168-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-2.168&CDS=1-1167
OG0000627	YBR291C	genemark-flattened_line_31-processed-gene-1.82-mRNA-1_1&gene=genemark-flattened_line_31-processed-gene-1.82&CDS=1-888
OG0000628	YBR293W	genemark-flattened_line_11-processed-gene-0.161-mRNA-1_1&gene=genemark-flattened_line_11-processed-gene-0.161&CDS=1-1887
OG0000629	YBR295W	augustus_masked-flattened_line_47-processed-gene-0.240-mRNA-1_1&gene=augustus_masked-flattened_line_47-processed-gene-0.240&CDS=1-1986
OG0000630	YBR296C	genemark-flattened_line_39-processed-gene-0.162-mRNA-1_1&gene=genemark-flattened_line_39-processed-gene-0.162&CDS=1-1716
OG0000631	YCL001W	genemark-flattened_line_17-processed-gene-1.231-mRNA-1_1&gene=genemark-flattened_line_17-processed-gene-1.231&CDS=1-597
OG0000632	YCL004W	maker-flattened_line_101-snap-gene-0.56-mRNA-1_1&gene=maker-flattened_line_101-snap-gene-0.56&CDS=1-1440
OG0000633	YCL005W-A	genemark-flattened_line_27-processed-gene-0.24-mRNA-1_1&gene=genemark-flattened_line_27-processed-gene-0.24&CDS=1-249
OG0000634	YCL008C	genemark-flattened_line_25-processed-gene-0.5-mRNA-1_1&gene=genemark-flattened_line_25-processed-gene-0.5&CDS=1-1629
OG0000635	YCL009C	genemark-flattened_line_65-processed-gene-0.186-mRNA-1_1&gene=genemark-flattened_line_65-processed-gene-0.186&CDS=1-912
OG0000636	YCL010C	genemark-flattened_line_15-processed-gene-1.191-mRNA-1_1&gene=genemark-flattened_line_15-processed-gene-1.191&CDS=1-873
OG0000637	YCL012C	genemark-flattened_line_101-processed-gene-0.94-mRNA-1_1&gene=genemark-flattened_line_101-processed-gene-0.94&CDS=1-549
OG0000638	YCL016C	genemark-flattened_line_29-processed-gene-0.67-mRNA-1_1&gene=genemark-flattened_line_29-processed-gene-0.67&CDS=1-1098
OG0000639	YCL017C	genemark-flattened_line_25-processed-gene-0.4-mRNA-1_1&gene=genemark-flattened_line_25-processed-gene-0.4&CDS=1-1461
OG0000640	YCL018W	maker-flattened_line_19-augustus-gene-1.147-mRNA-1_1&gene=maker-flattened_line_19-augustus-gene-1.147&CDS=1-3279
OG0000641	YCL029C	genemark-flattened_line_21-processed-gene-0.104-mRNA-1_1&gene=genemark-flattened_line_21-processed-gene-0.104&CDS=1-1863
OG0000642	YCL030C	genemark-flattened_line_7-processed-gene-1.125-mRNA-1_1&gene=genemark-flattened_line_7-processed-gene-1.125&CDS=1-2664
OG0000643	YCL031C	genemark-flattened_line_0-processed-gene-3.46-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-3.46&CDS=1-960
OG0000644	YCL032W	maker-flattened_line_107-snap-gene-0.95-mRNA-1_1&gene=maker-flattened_line_107-snap-gene-0.95&CDS=1-1224
OG0000645	YCL033C	genemark-flattened_line_99-processed-gene-0.97-mRNA-1_1&gene=genemark-flattened_line_99-processed-gene-0.97&CDS=1-618
OG0000646	YCL034W	genemark-flattened_line_15-processed-gene-1.251-mRNA-1_1&gene=genemark-flattened_line_15-processed-gene-1.251&CDS=1-1344
OG0000647	YCL038C	genemark-flattened_line_5-processed-gene-1.72-mRNA-1_1&gene=genemark-flattened_line_5-processed-gene-1.72&CDS=1-1914
OG0000648	YCL039W	genemark-flattened_line_65-processed-gene-0.184-mRNA-1_1&gene=genemark-flattened_line_65-processed-gene-0.184&CDS=1-1608
OG0000649	YCL043C	augustus_masked-flattened_line_29-processed-gene-1.31-mRNA-1_1&gene=augustus_masked-flattened_line_29-processed-gene-1.31&CDS=1-1830
OG0000650	YCL045C	genemark-flattened_line_93-processed-gene-0.118-mRNA-1_1&gene=genemark-flattened_line_93-processed-gene-0.118&CDS=1-2760
OG0000651	YCL047C	maker-flattened_line_129-augustus-gene-0.120-mRNA-1_1&gene=maker-flattened_line_129-augustus-gene-0.120&CDS=1-675
OG0000652	YCL054W	genemark-flattened_line_23-processed-gene-1.156-mRNA-1_1&gene=genemark-flattened_line_23-processed-gene-1.156&CDS=1-2601
OG0000653	YCL057C-A	genemark-flattened_line_7-processed-gene-1.92-mRNA-1_1&gene=genemark-flattened_line_7-processed-gene-1.92&CDS=1-243
OG0000654	YCL057W	snap_masked-flattened_line_65-processed-gene-0.220-mRNA-1_1&gene=snap_masked-flattened_line_65-processed-gene-0.220&CDS=1-2001
OG0000655	YCL059C	genemark-flattened_line_21-processed-gene-1.11-mRNA-1_1&gene=genemark-flattened_line_21-processed-gene-1.11&CDS=1-972
OG0000656	YCL061C	genemark-flattened_line_119-processed-gene-0.33-mRNA-1_1&gene=genemark-flattened_line_119-processed-gene-0.33&CDS=1-3468
OG0000657	YCL074W	augustus_masked-flattened_line_69-processed-gene-0.77-mRNA-1_1&gene=augustus_masked-flattened_line_69-processed-gene-0.77&CDS=1-711
OG0000658	YCR002C	genemark-flattened_line_57-processed-gene-0.193-mRNA-1_1&gene=genemark-flattened_line_57-processed-gene-0.193&CDS=1-1047
OG0000659	YCR003W	genemark-flattened_line_57-processed-gene-0.155-mRNA-1_1&gene=genemark-flattened_line_57-processed-gene-0.155&CDS=1-597
OG0000660	YCR008W	genemark-flattened_line_65-processed-gene-0.175-mRNA-1_1&gene=genemark-flattened_line_65-processed-gene-0.175&CDS=1-1275
OG0000661	YCR009C	genemark-flattened_line_27-processed-gene-1.95-mRNA-1_1&gene=genemark-flattened_line_27-processed-gene-1.95&CDS=1-873
OG0000662	YCR011C	maker-flattened_line_169-augustus-gene-0.70-mRNA-1_1&gene=maker-flattened_line_169-augustus-gene-0.70&CDS=1-3078
OG0000663	YCR012W	genemark-flattened_line_15-processed-gene-1.206-mRNA-1_1&gene=genemark-flattened_line_15-processed-gene-1.206&CDS=1-1245
OG0000664	YCR015C	genemark-flattened_line_29-processed-gene-0.76-mRNA-1_1&gene=genemark-flattened_line_29-processed-gene-0.76&CDS=1-813
OG0000665	YCR016W	snap_masked-flattened_line_131-processed-gene-0.104-mRNA-1_1&gene=snap_masked-flattened_line_131-processed-gene-0.104&CDS=1-999
OG0000666	YCR017C	genemark-flattened_line_85-processed-gene-0.44-mRNA-1_1&gene=genemark-flattened_line_85-processed-gene-0.44&CDS=1-2832
OG0000667	YCR019W	genemark-flattened_line_115-processed-gene-0.61-mRNA-1_1&gene=genemark-flattened_line_115-processed-gene-0.61&CDS=1-1065
OG0000668	YCR024C	genemark-flattened_line_65-processed-gene-0.166-mRNA-1_1&gene=genemark-flattened_line_65-processed-gene-0.166&CDS=1-1512
OG0000669	YCR027C	genemark-flattened_line_17-processed-gene-0.61-mRNA-1_1&gene=genemark-flattened_line_17-processed-gene-0.61&CDS=1-552
OG0000670	YCR028C-A	maker-flattened_line_59-augustus-gene-0.148-mRNA-1_1&gene=maker-flattened_line_59-augustus-gene-0.148&CDS=1-432
OG0000671	YCR030C	maker-flattened_line_35-augustus-gene-0.241-mRNA-1_1&gene=maker-flattened_line_35-augustus-gene-0.241&CDS=1-6009
OG0000672	YCR031C	maker-flattened_line_17-augustus-gene-0.93-mRNA-1_1&gene=maker-flattened_line_17-augustus-gene-0.93&CDS=1-450
OG0000673	YCR032W	maker-flattened_line_147-augustus-gene-0.91-mRNA-1_1&gene=maker-flattened_line_147-augustus-gene-0.91&CDS=1-7062
OG0000674	YCR033W	genemark-flattened_line_51-processed-gene-0.134-mRNA-1_1&gene=genemark-flattened_line_51-processed-gene-0.134&CDS=1-4815
OG0000675	YCR036W	genemark-flattened_line_2-processed-gene-1.73-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-1.73&CDS=1-963
OG0000676	YCR044C	genemark-flattened_line_21-processed-gene-1.42-mRNA-1_1&gene=genemark-flattened_line_21-processed-gene-1.42&CDS=1-2154
OG0000677	YCR046C	genemark-flattened_line_25-processed-gene-0.21-mRNA-1_1&gene=genemark-flattened_line_25-processed-gene-0.21&CDS=1-567
OG0000678	YCR047C	genemark-flattened_line_43-processed-gene-0.204-mRNA-1_1&gene=genemark-flattened_line_43-processed-gene-0.204&CDS=1-801
OG0000679	YCR051W	genemark-flattened_line_29-processed-gene-1.98-mRNA-1_1&gene=genemark-flattened_line_29-processed-gene-1.98&CDS=1-690
OG0000680	YCR053W	augustus_masked-flattened_line_69-processed-gene-0.80-mRNA-1_1&gene=augustus_masked-flattened_line_69-processed-gene-0.80&CDS=1-5142
OG0000681	YCR054C	genemark-flattened_line_204-processed-gene-0.22-mRNA-1_1&gene=genemark-flattened_line_204-processed-gene-0.22&CDS=1-1449
OG0000682	YCR057C	maker-flattened_line_0-snap-gene-3.129-mRNA-1_1&gene=maker-flattened_line_0-snap-gene-3.129&CDS=1-2643
OG0000683	YCR059C	genemark-flattened_line_313-processed-gene-0.7-mRNA-1_1&gene=genemark-flattened_line_313-processed-gene-0.7&CDS=1-714
OG0000684	YCR061W	genemark-flattened_line_17-processed-gene-0.48-mRNA-1_1&gene=genemark-flattened_line_17-processed-gene-0.48&CDS=1-1800
OG0000685	YCR063W	genemark-flattened_line_7-processed-gene-1.123-mRNA-1_1&gene=genemark-flattened_line_7-processed-gene-1.123&CDS=1-441
OG0000686	YCR065W	genemark-flattened_line_7-processed-gene-1.99-mRNA-1_1&gene=genemark-flattened_line_7-processed-gene-1.99&CDS=1-1995
OG0000687	YCR066W	genemark-flattened_line_5-processed-gene-0.127-mRNA-1_1&gene=genemark-flattened_line_5-processed-gene-0.127&CDS=1-1257
OG0000688	YCR072C	genemark-flattened_line_79-processed-gene-0.53-mRNA-1_1&gene=genemark-flattened_line_79-processed-gene-0.53&CDS=1-1566
OG0000689	YCR077C	snap_masked-flattened_line_2-processed-gene-2.35-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-2.35&CDS=1-1596
OG0000690	YCR079W	maker-flattened_line_77-snap-gene-0.170-mRNA-1_1&gene=maker-flattened_line_77-snap-gene-0.170&CDS=1-1230
OG0000691	YCR081W	genemark-flattened_line_135-processed-gene-0.32-mRNA-1_1&gene=genemark-flattened_line_135-processed-gene-0.32&CDS=1-2106
OG0000692	YCR084C	maker-flattened_line_129-augustus-gene-0.125-mRNA-1_1&gene=maker-flattened_line_129-augustus-gene-0.125&CDS=1-1965
OG0000693	YCR087C-A	genemark-flattened_line_81-processed-gene-0.40-mRNA-1_1&gene=genemark-flattened_line_81-processed-gene-0.40&CDS=1-717
OG0000694	YCR088W	genemark-flattened_line_49-processed-gene-0.95-mRNA-1_1&gene=genemark-flattened_line_49-processed-gene-0.95&CDS=1-2271
OG0000695	YCR090C	genemark-flattened_line_61-processed-gene-0.169-mRNA-1_1&gene=genemark-flattened_line_61-processed-gene-0.169&CDS=1-513
OG0000696	YCR091W	genemark-flattened_line_2-processed-gene-0.38-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-0.38&CDS=1-2346
OG0000697	YCR092C	maker-flattened_line_41-augustus-gene-0.162-mRNA-1_1&gene=maker-flattened_line_41-augustus-gene-0.162&CDS=1-3123
OG0000698	YCR098C	genemark-flattened_line_27-processed-gene-0.9-mRNA-1_1&gene=genemark-flattened_line_27-processed-gene-0.9&CDS=1-1446
OG0000699	YDL001W	genemark-flattened_line_89-processed-gene-0.146-mRNA-1_1&gene=genemark-flattened_line_89-processed-gene-0.146&CDS=1-1236
OG0000700	YDL002C	genemark-flattened_line_105-processed-gene-0.132-mRNA-1_1&gene=genemark-flattened_line_105-processed-gene-0.132&CDS=1-834
OG0000701	YDL003W	genemark-flattened_line_17-processed-gene-0.45-mRNA-1_1&gene=genemark-flattened_line_17-processed-gene-0.45&CDS=1-1779
OG0000702	YDL004W	genemark-flattened_line_151-processed-gene-0.32-mRNA-1_1&gene=genemark-flattened_line_151-processed-gene-0.32&CDS=1-498
OG0000703	YDL006W	genemark-flattened_line_13-processed-gene-0.29-mRNA-1_1&gene=genemark-flattened_line_13-processed-gene-0.29&CDS=1-1365
OG0000704	YDL007W	augustus_masked-flattened_line_15-processed-gene-0.147-mRNA-1_1&gene=augustus_masked-flattened_line_15-processed-gene-0.147&CDS=1-2049
OG0000705	YDL008W	snap_masked-flattened_line_29-processed-gene-0.121-mRNA-1_1&gene=snap_masked-flattened_line_29-processed-gene-0.121&CDS=1-255
OG0000706	YDL014W	genemark-flattened_line_61-processed-gene-0.152-mRNA-1_1&gene=genemark-flattened_line_61-processed-gene-0.152&CDS=1-945
OG0000707	YDL017W	snap_masked-flattened_line_0-processed-gene-2.97-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-2.97&CDS=1-2007
OG0000708	YDL020C	snap_masked-flattened_line_2-processed-gene-2.40-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-2.40&CDS=1-1860
OG0000709	YDL028C	genemark-flattened_line_49-processed-gene-0.132-mRNA-1_1&gene=genemark-flattened_line_49-processed-gene-0.132&CDS=1-2514
OG0000710	YDL030W	genemark-flattened_line_65-processed-gene-0.179-mRNA-1_1&gene=genemark-flattened_line_65-processed-gene-0.179&CDS=1-1572
OG0000711	YDL031W	genemark-flattened_line_127-processed-gene-0.75-mRNA-1_1&gene=genemark-flattened_line_127-processed-gene-0.75&CDS=1-2841
OG0000712	YDL033C	genemark-flattened_line_103-processed-gene-0.80-mRNA-1_1&gene=genemark-flattened_line_103-processed-gene-0.80&CDS=1-1527
OG0000713	YDL035C	augustus_masked-flattened_line_35-processed-gene-0.290-mRNA-1_1&gene=augustus_masked-flattened_line_35-processed-gene-0.290&CDS=1-1899
OG0000714	YDL040C	genemark-flattened_line_133-processed-gene-0.139-mRNA-1_1&gene=genemark-flattened_line_133-processed-gene-0.139&CDS=1-2076
OG0000715	YDL043C	maker-flattened_line_57-augustus-gene-0.131-mRNA-1_1&gene=maker-flattened_line_57-augustus-gene-0.131&CDS=1-735
OG0000716	YDL045C	genemark-flattened_line_17-processed-gene-0.46-mRNA-1_1&gene=genemark-flattened_line_17-processed-gene-0.46&CDS=1-825
OG0000717	YDL045W-A	snap_masked-flattened_line_200-processed-gene-0.11-mRNA-1_1&gene=snap_masked-flattened_line_200-processed-gene-0.11&CDS=1-261
OG0000718	YDL046W	genemark-flattened_line_188-processed-gene-0.22-mRNA-1_1&gene=genemark-flattened_line_188-processed-gene-0.22&CDS=1-519
OG0000719	YDL047W	genemark-flattened_line_9-processed-gene-0.26-mRNA-1_1&gene=genemark-flattened_line_9-processed-gene-0.26&CDS=1-948
OG0000720	YDL051W	genemark-flattened_line_117-processed-gene-0.12-mRNA-1_1&gene=genemark-flattened_line_117-processed-gene-0.12&CDS=1-987
OG0000721	YDL052C	genemark-flattened_line_61-processed-gene-0.111-mRNA-1_1&gene=genemark-flattened_line_61-processed-gene-0.111&CDS=1-990
OG0000722	YDL054C	maker-flattened_line_71-snap-gene-0.156-mRNA-1_1&gene=maker-flattened_line_71-snap-gene-0.156&CDS=1-1356
OG0000723	YDL055C	snap_masked-flattened_line_109-processed-gene-0.16-mRNA-1_1&gene=snap_masked-flattened_line_109-processed-gene-0.16&CDS=1-1125
OG0000724	YDL056W	genemark-flattened_line_19-processed-gene-1.0-mRNA-1_1&gene=genemark-flattened_line_19-processed-gene-1.0&CDS=1-2622
OG0000725	YDL057W	genemark-flattened_line_210-processed-gene-0.23-mRNA-1_1&gene=genemark-flattened_line_210-processed-gene-0.23&CDS=1-1704
OG0000726	YDL058W	genemark-flattened_line_37-processed-gene-0.179-mRNA-1_1&gene=genemark-flattened_line_37-processed-gene-0.179&CDS=1-3507
OG0000727	YDL060W	snap_masked-flattened_line_143-processed-gene-0.17-mRNA-1_1&gene=snap_masked-flattened_line_143-processed-gene-0.17&CDS=1-2322
OG0000728	YDL063C	genemark-flattened_line_13-processed-gene-1.25-mRNA-1_1&gene=genemark-flattened_line_13-processed-gene-1.25&CDS=1-1899
OG0000729	YDL064W	snap_masked-flattened_line_178-processed-gene-0.26-mRNA-1_1&gene=snap_masked-flattened_line_178-processed-gene-0.26&CDS=1-498
OG0000730	YDL072C	genemark-flattened_line_163-processed-gene-0.40-mRNA-1_1&gene=genemark-flattened_line_163-processed-gene-0.40&CDS=1-621
OG0000731	YDL074C	snap_masked-flattened_line_7-processed-gene-1.63-mRNA-1_1&gene=snap_masked-flattened_line_7-processed-gene-1.63&CDS=1-2127
OG0000732	YDL076C	snap_masked-flattened_line_59-processed-gene-0.77-mRNA-1_1&gene=snap_masked-flattened_line_59-processed-gene-0.77&CDS=1-1299
OG0000733	YDL077C	genemark-flattened_line_101-processed-gene-0.80-mRNA-1_1&gene=genemark-flattened_line_101-processed-gene-0.80&CDS=1-3246
OG0000734	YDL081C	genemark-flattened_line_21-processed-gene-1.23-mRNA-1_1&gene=genemark-flattened_line_21-processed-gene-1.23&CDS=1-321
OG0000735	YDL084W	maker-flattened_line_2-augustus-gene-1.185-mRNA-1_1&gene=maker-flattened_line_2-augustus-gene-1.185&CDS=1-1344
OG0000736	YDL086W	maker-flattened_line_15-augustus-gene-1.140-mRNA-1_1&gene=maker-flattened_line_15-augustus-gene-1.140&CDS=1-807
OG0000737	YDL087C	genemark-flattened_line_167-processed-gene-0.17-mRNA-1_1&gene=genemark-flattened_line_167-processed-gene-0.17&CDS=1-798
OG0000738	YDL090C	augustus_masked-flattened_line_7-processed-gene-2.193-mRNA-1_1&gene=augustus_masked-flattened_line_7-processed-gene-2.193&CDS=1-1326
OG0000739	YDL091C	maker-flattened_line_19-snap-gene-1.167-mRNA-1_1&gene=maker-flattened_line_19-snap-gene-1.167&CDS=1-1479
OG0000740	YDL095W	snap_masked-flattened_line_97-processed-gene-0.69-mRNA-1_1&gene=snap_masked-flattened_line_97-processed-gene-0.69&CDS=1-2283
OG0000741	YDL097C	genemark-flattened_line_27-processed-gene-0.47-mRNA-1_1&gene=genemark-flattened_line_27-processed-gene-0.47&CDS=1-1251
OG0000742	YDL098C	genemark-flattened_line_43-processed-gene-0.224-mRNA-1_1&gene=genemark-flattened_line_43-processed-gene-0.224&CDS=1-648
OG0000743	YDL100C	maker-flattened_line_107-snap-gene-0.92-mRNA-1_1&gene=maker-flattened_line_107-snap-gene-0.92&CDS=1-1899
OG0000744	YDL102W	genemark-flattened_line_43-processed-gene-0.241-mRNA-1_1&gene=genemark-flattened_line_43-processed-gene-0.241&CDS=1-3240
OG0000745	YDL103C	genemark-flattened_line_51-processed-gene-0.191-mRNA-1_1&gene=genemark-flattened_line_51-processed-gene-0.191&CDS=1-1458
OG0000746	YDL104C	genemark-flattened_line_65-processed-gene-0.138-mRNA-1_1&gene=genemark-flattened_line_65-processed-gene-0.138&CDS=1-1245
OG0000747	YDL105W	genemark-flattened_line_47-processed-gene-0.95-mRNA-1_1&gene=genemark-flattened_line_47-processed-gene-0.95&CDS=1-1236
OG0000748	YDL108W	maker-flattened_line_13-snap-gene-1.316-mRNA-1_1&gene=maker-flattened_line_13-snap-gene-1.316&CDS=1-1605
OG0000749	YDL111C	genemark-flattened_line_69-processed-gene-0.119-mRNA-1_1&gene=genemark-flattened_line_69-processed-gene-0.119&CDS=1-798
OG0000750	YDL112W	genemark-flattened_line_188-processed-gene-0.21-mRNA-1_1&gene=genemark-flattened_line_188-processed-gene-0.21&CDS=1-4461
OG0000751	YDL113C	genemark-flattened_line_368-processed-gene-0.8-mRNA-1_1&gene=genemark-flattened_line_368-processed-gene-0.8&CDS=1-1179
OG0000752	YDL116W	maker-flattened_line_174-augustus-gene-0.24-mRNA-1_1&gene=maker-flattened_line_174-augustus-gene-0.24&CDS=1-2328
OG0000753	YDL117W	genemark-flattened_line_29-processed-gene-1.57-mRNA-1_1&gene=genemark-flattened_line_29-processed-gene-1.57&CDS=1-2736
OG0000754	YDL119C	genemark-flattened_line_87-processed-gene-0.135-mRNA-1_1&gene=genemark-flattened_line_87-processed-gene-0.135&CDS=1-1071
OG0000755	YDL120W	maker-flattened_line_39-augustus-gene-0.18-mRNA-1_1&gene=maker-flattened_line_39-augustus-gene-0.18&CDS=1-765
OG0000756	YDL125C	genemark-flattened_line_63-processed-gene-0.58-mRNA-1_1&gene=genemark-flattened_line_63-processed-gene-0.58&CDS=1-435
OG0000757	YDL126C	genemark-flattened_line_27-processed-gene-1.59-mRNA-1_1&gene=genemark-flattened_line_27-processed-gene-1.59&CDS=1-2457
