	Saccharomyces_cerevisiae	Vanderwaltozyma_polyspora
OG0000529	YBL084C	augustus_masked-NW_001834694.1-processed-gene-2.66-mRNA-1_1&gene=augustus_masked-NW_001834694.1-processed-gene-2.66&CDS=1-2259
OG0000530	YBL086C	augustus_masked-NW_001834694.1-processed-gene-2.67-mRNA-1_1&gene=augustus_masked-NW_001834694.1-processed-gene-2.67&CDS=1-1038
OG0000531	YBL088C	snap_masked-NW_001834678.1-processed-gene-0.215-mRNA-1_1&gene=snap_masked-NW_001834678.1-processed-gene-0.215&CDS=1-7998
OG0000532	YBL090W	augustus_masked-NW_001834678.1-processed-gene-0.88-mRNA-1_1&gene=augustus_masked-NW_001834678.1-processed-gene-0.88&CDS=1-510
OG0000533	YBL091C	snap_masked-NW_001834678.1-processed-gene-0.214-mRNA-1_1&gene=snap_masked-NW_001834678.1-processed-gene-0.214&CDS=1-858
OG0000534	YBL092W	augustus_masked-NW_001834694.1-processed-gene-3.82-mRNA-1_1&gene=augustus_masked-NW_001834694.1-processed-gene-3.82&CDS=1-393
OG0000535	YBL093C	augustus_masked-NW_001834678.1-processed-gene-0.124-mRNA-1_1&gene=augustus_masked-NW_001834678.1-processed-gene-0.124&CDS=1-600
OG0000536	YBL095W	augustus_masked-NW_001834694.1-processed-gene-3.84-mRNA-1_1&gene=augustus_masked-NW_001834694.1-processed-gene-3.84&CDS=1-726
OG0000537	YBL097W	augustus_masked-NW_001834678.1-processed-gene-0.87-mRNA-1_1&gene=augustus_masked-NW_001834678.1-processed-gene-0.87&CDS=1-2295
OG0000538	YBL098W	augustus_masked-NW_001834678.1-processed-gene-0.86-mRNA-1_1&gene=augustus_masked-NW_001834678.1-processed-gene-0.86&CDS=1-1395
OG0000539	YBL102W	augustus_masked-NW_001834676.1-processed-gene-0.80-mRNA-1_1&gene=augustus_masked-NW_001834676.1-processed-gene-0.80&CDS=1-654
OG0000540	YBL103C	augustus_masked-NW_001834676.1-processed-gene-0.112-mRNA-1_1&gene=augustus_masked-NW_001834676.1-processed-gene-0.112&CDS=1-1458
OG0000541	YBL104C	maker-NW_001834651.1-augustus-gene-0.41-mRNA-1_1&gene=maker-NW_001834651.1-augustus-gene-0.41&CDS=1-7647
OG0000542	YBL106C	augustus_masked-NW_001834676.1-processed-gene-0.111-mRNA-1_1&gene=augustus_masked-NW_001834676.1-processed-gene-0.111&CDS=1-3144
OG0000543	YBL107C	genemark-NW_001834651.1-processed-gene-0.26-mRNA-1_1&gene=genemark-NW_001834651.1-processed-gene-0.26&CDS=1-639
OG0000544	YBR002C	augustus_masked-NW_001834692.1-processed-gene-1.116-mRNA-1_1&gene=augustus_masked-NW_001834692.1-processed-gene-1.116&CDS=1-873
OG0000545	YBR003W	augustus_masked-NW_001834692.1-processed-gene-1.80-mRNA-1_1&gene=augustus_masked-NW_001834692.1-processed-gene-1.80&CDS=1-1413
OG0000546	YBR004C	genemark-NW_001834678.1-processed-gene-0.67-mRNA-1_1&gene=genemark-NW_001834678.1-processed-gene-0.67&CDS=1-1308
OG0000547	YBR006W	augustus_masked-NW_001834678.1-processed-gene-0.111-mRNA-1_1&gene=augustus_masked-NW_001834678.1-processed-gene-0.111&CDS=1-1488
OG0000548	YBR007C	augustus_masked-NW_001834692.1-processed-gene-1.117-mRNA-1_1&gene=augustus_masked-NW_001834692.1-processed-gene-1.117&CDS=1-2157
OG0000549	YBR011C	augustus_masked-NW_001834692.1-processed-gene-1.120-mRNA-1_1&gene=augustus_masked-NW_001834692.1-processed-gene-1.120&CDS=1-855
OG0000550	YBR017C	augustus_masked-NW_001834676.1-processed-gene-0.133-mRNA-1_1&gene=augustus_masked-NW_001834676.1-processed-gene-0.133&CDS=1-2730
OG0000551	YBR018C	augustus_masked-NW_001834668.1-processed-gene-0.104-mRNA-1_1&gene=augustus_masked-NW_001834668.1-processed-gene-0.104&CDS=1-1092
OG0000552	YBR019C	snap_masked-NW_001834692.1-processed-gene-0.30-mRNA-1_1&gene=snap_masked-NW_001834692.1-processed-gene-0.30&CDS=1-2103
OG0000553	YBR021W	augustus_masked-NW_001834692.1-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-NW_001834692.1-processed-gene-0.54&CDS=1-1905
OG0000554	YBR025C	augustus_masked-NW_001834692.1-processed-gene-0.72-mRNA-1_1&gene=augustus_masked-NW_001834692.1-processed-gene-0.72&CDS=1-1179
OG0000555	YBR026C	augustus_masked-NW_001834692.1-processed-gene-1.79-mRNA-1_1&gene=augustus_masked-NW_001834692.1-processed-gene-1.79&CDS=1-1167
OG0000556	YBR028C	augustus_masked-NW_001834668.1-processed-gene-0.106-mRNA-1_1&gene=augustus_masked-NW_001834668.1-processed-gene-0.106&CDS=1-1536
OG0000557	YBR029C	augustus_masked-NW_001834668.1-processed-gene-0.107-mRNA-1_1&gene=augustus_masked-NW_001834668.1-processed-gene-0.107&CDS=1-1383
OG0000558	YBR030W	augustus_masked-NW_001834644.1-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NW_001834644.1-processed-gene-0.1&CDS=1-1632
OG0000559	YBR034C	augustus_masked-NW_001834668.1-processed-gene-0.108-mRNA-1_1&gene=augustus_masked-NW_001834668.1-processed-gene-0.108&CDS=1-1047
OG0000560	YBR035C	augustus_masked-NW_001834644.1-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-NW_001834644.1-processed-gene-0.27&CDS=1-687
OG0000561	YBR036C	augustus_masked-NW_001834668.1-processed-gene-0.80-mRNA-1_1&gene=augustus_masked-NW_001834668.1-processed-gene-0.80&CDS=1-1086
OG0000562	YBR039W	augustus_masked-NW_001834692.1-processed-gene-0.58-mRNA-1_1&gene=augustus_masked-NW_001834692.1-processed-gene-0.58&CDS=1-924
OG0000563	YBR040W	genemark-NW_001834668.1-processed-gene-0.24-mRNA-1_1&gene=genemark-NW_001834668.1-processed-gene-0.24&CDS=1-933
OG0000564	YBR041W	augustus_masked-NW_001834692.1-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-NW_001834692.1-processed-gene-0.57&CDS=1-2013
OG0000565	YBR042C	genemark-NW_001834692.1-processed-gene-0.76-mRNA-1_1&gene=genemark-NW_001834692.1-processed-gene-0.76&CDS=1-1194
OG0000566	YBR045C	augustus_masked-NW_001834668.1-processed-gene-0.112-mRNA-1_1&gene=augustus_masked-NW_001834668.1-processed-gene-0.112&CDS=1-651
OG0000567	YBR053C	augustus_masked-NW_001834671.1-processed-gene-0.148-mRNA-1_1&gene=augustus_masked-NW_001834671.1-processed-gene-0.148&CDS=1-1005
OG0000568	YBR055C	augustus_masked-NW_001834671.1-processed-gene-0.150-mRNA-1_1&gene=augustus_masked-NW_001834671.1-processed-gene-0.150&CDS=1-2661
OG0000569	YBR056W	augustus_masked-NW_001834671.1-processed-gene-0.119-mRNA-1_1&gene=augustus_masked-NW_001834671.1-processed-gene-0.119&CDS=1-1590
OG0000570	YBR057C	augustus_masked-NW_001834653.1-processed-gene-0.107-mRNA-1_1&gene=augustus_masked-NW_001834653.1-processed-gene-0.107&CDS=1-1059
OG0000571	YBR058C	augustus_masked-NW_001834512.1-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-NW_001834512.1-processed-gene-0.4&CDS=1-1440
OG0000572	YBR058C-A	snap_masked-NW_001834653.1-processed-gene-0.19-mRNA-1_1&gene=snap_masked-NW_001834653.1-processed-gene-0.19&CDS=1-270
OG0000573	YBR060C	augustus_masked-NW_001834512.1-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NW_001834512.1-processed-gene-0.1&CDS=1-2040
OG0000574	YBR061C	augustus_masked-NW_001834512.1-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NW_001834512.1-processed-gene-0.0&CDS=1-939
OG0000575	YBR062C	snap_masked-NW_001834653.1-processed-gene-0.15-mRNA-1_1&gene=snap_masked-NW_001834653.1-processed-gene-0.15&CDS=1-495
OG0000576	YBR065C	augustus_masked-NW_001834660.1-processed-gene-0.68-mRNA-1_1&gene=augustus_masked-NW_001834660.1-processed-gene-0.68&CDS=1-1080
OG0000577	YBR070C	augustus_masked-NW_001834653.1-processed-gene-0.100-mRNA-1_1&gene=augustus_masked-NW_001834653.1-processed-gene-0.100&CDS=1-708
OG0000578	YBR071W	snap_masked-NW_001834591.1-processed-gene-0.25-mRNA-1_1&gene=snap_masked-NW_001834591.1-processed-gene-0.25&CDS=1-819
OG0000579	YBR073W	maker-NW_001834591.1-snap-gene-0.0-mRNA-1_1&gene=maker-NW_001834591.1-snap-gene-0.0&CDS=1-2376
OG0000580	YBR074W	augustus_masked-NW_001834653.1-processed-gene-0.119-mRNA-1_1&gene=augustus_masked-NW_001834653.1-processed-gene-0.119&CDS=1-2817
OG0000581	YBR076W	augustus_masked-NW_001834591.1-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-NW_001834591.1-processed-gene-0.11&CDS=1-1233
OG0000582	YBR077C	augustus_masked-NW_001834660.1-processed-gene-0.81-mRNA-1_1&gene=augustus_masked-NW_001834660.1-processed-gene-0.81&CDS=1-510
OG0000583	YBR078W	augustus_masked-NW_001834653.1-processed-gene-0.117-mRNA-1_1&gene=augustus_masked-NW_001834653.1-processed-gene-0.117&CDS=1-1290
OG0000584	YBR079C	augustus_masked-NW_001834660.1-processed-gene-0.78-mRNA-1_1&gene=augustus_masked-NW_001834660.1-processed-gene-0.78&CDS=1-2826
OG0000585	YBR080C	augustus_masked-NW_001834653.1-processed-gene-0.98-mRNA-1_1&gene=augustus_masked-NW_001834653.1-processed-gene-0.98&CDS=1-2289
OG0000586	YBR081C	genemark-NW_001834653.1-processed-gene-0.56-mRNA-1_1&gene=genemark-NW_001834653.1-processed-gene-0.56&CDS=1-4680
OG0000587	YBR082C	snap_masked-NW_001834653.1-processed-gene-0.6-mRNA-1_1&gene=snap_masked-NW_001834653.1-processed-gene-0.6&CDS=1-444
OG0000588	YBR083W	snap_masked-NW_001834514.1-processed-gene-0.9-mRNA-1_1&gene=snap_masked-NW_001834514.1-processed-gene-0.9&CDS=1-1599
OG0000589	YBR085C-A	snap_masked-NW_001834660.1-processed-gene-0.24-mRNA-1_1&gene=snap_masked-NW_001834660.1-processed-gene-0.24&CDS=1-252
OG0000590	YBR085W	augustus_masked-NW_001834530.1-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-NW_001834530.1-processed-gene-0.9&CDS=1-906
OG0000591	YBR086C	augustus_masked-NW_001834542.1-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-NW_001834542.1-processed-gene-0.15&CDS=1-2757
OG0000592	YBR087W	augustus_masked-NW_001834542.1-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-NW_001834542.1-processed-gene-0.12&CDS=1-1068
OG0000593	YBR088C	augustus_masked-NW_001834542.1-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-NW_001834542.1-processed-gene-0.17&CDS=1-774
OG0000594	YBR091C	genemark-NW_001834583.1-processed-gene-0.10-mRNA-1_1&gene=genemark-NW_001834583.1-processed-gene-0.10&CDS=1-384
OG0000595	YBR094W	augustus_masked-NW_001834583.1-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-NW_001834583.1-processed-gene-0.38&CDS=1-2190
OG0000596	YBR095C	augustus_masked-NW_001834583.1-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-NW_001834583.1-processed-gene-0.48&CDS=1-1080
OG0000597	YBR096W	augustus_masked-NW_001834660.1-processed-gene-0.94-mRNA-1_1&gene=augustus_masked-NW_001834660.1-processed-gene-0.94&CDS=1-690
OG0000598	YBR097W	augustus_masked-NW_001834660.1-processed-gene-0.93-mRNA-1_1&gene=augustus_masked-NW_001834660.1-processed-gene-0.93&CDS=1-4518
OG0000599	YBR098W	snap_masked-NW_001834583.1-processed-gene-0.22-mRNA-1_1&gene=snap_masked-NW_001834583.1-processed-gene-0.22&CDS=1-1755
OG0000600	YBR101C	augustus_masked-NW_001834583.1-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-NW_001834583.1-processed-gene-0.49&CDS=1-867
OG0000601	YBR102C	augustus_masked-NW_001834660.1-processed-gene-0.74-mRNA-1_1&gene=augustus_masked-NW_001834660.1-processed-gene-0.74&CDS=1-2181
OG0000602	YBR103W	genemark-NW_001834660.1-processed-gene-0.142-mRNA-1_1&gene=genemark-NW_001834660.1-processed-gene-0.142&CDS=1-1566
OG0000603	YBR105C	augustus_masked-NW_001834660.1-processed-gene-0.71-mRNA-1_1&gene=augustus_masked-NW_001834660.1-processed-gene-0.71&CDS=1-1080
OG0000604	YBR106W	augustus_masked-NW_001834660.1-processed-gene-0.89-mRNA-1_1&gene=augustus_masked-NW_001834660.1-processed-gene-0.89&CDS=1-567
OG0000605	YBR107C	augustus_masked-NW_001834660.1-processed-gene-0.70-mRNA-1_1&gene=augustus_masked-NW_001834660.1-processed-gene-0.70&CDS=1-723
OG0000606	YBR108W	augustus_masked-NW_001834583.1-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-NW_001834583.1-processed-gene-0.44&CDS=1-2745
OG0000607	YBR109C	augustus_masked-NW_001834583.1-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-NW_001834583.1-processed-gene-0.52&CDS=1-441
OG0000608	YBR110W	augustus_masked-NW_001834660.1-processed-gene-0.87-mRNA-1_1&gene=augustus_masked-NW_001834660.1-processed-gene-0.87&CDS=1-1353
OG0000609	YBR111C	augustus_masked-NW_001834583.1-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-NW_001834583.1-processed-gene-0.54&CDS=1-690
OG0000610	YBR111W-A	augustus_masked-NW_001834583.1-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-NW_001834583.1-processed-gene-0.46&CDS=1-300
OG0000611	YBR114W	augustus_masked-NW_001834620.1-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-NW_001834620.1-processed-gene-0.19&CDS=1-2238
OG0000612	YBR115C	augustus_masked-NW_001834620.1-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-NW_001834620.1-processed-gene-0.27&CDS=1-4143
OG0000613	YBR119W	augustus_masked-NW_001834681.1-processed-gene-1.35-mRNA-1_1&gene=augustus_masked-NW_001834681.1-processed-gene-1.35&CDS=1-810
OG0000614	YBR120C	augustus_masked-NW_001834665.1-processed-gene-0.118-mRNA-1_1&gene=augustus_masked-NW_001834665.1-processed-gene-0.118&CDS=1-480
OG0000615	YBR121C	augustus_masked-NW_001834681.1-processed-gene-1.12-mRNA-1_1&gene=augustus_masked-NW_001834681.1-processed-gene-1.12&CDS=1-1989
OG0000616	YBR122C	augustus_masked-NW_001834681.1-processed-gene-1.10-mRNA-1_1&gene=augustus_masked-NW_001834681.1-processed-gene-1.10&CDS=1-519
OG0000617	YBR123C	augustus_masked-NW_001834675.1-processed-gene-0.209-mRNA-1_1&gene=augustus_masked-NW_001834675.1-processed-gene-0.209&CDS=1-1935
OG0000618	YBR125C	augustus_masked-NW_001834675.1-processed-gene-0.210-mRNA-1_1&gene=augustus_masked-NW_001834675.1-processed-gene-0.210&CDS=1-1287
OG0000619	YBR126C	augustus_masked-NW_001834675.1-processed-gene-0.211-mRNA-1_1&gene=augustus_masked-NW_001834675.1-processed-gene-0.211&CDS=1-1476
OG0000620	YBR127C	augustus_masked-NW_001834665.1-processed-gene-0.116-mRNA-1_1&gene=augustus_masked-NW_001834665.1-processed-gene-0.116&CDS=1-1530
OG0000621	YBR128C	augustus_masked-NW_001834670.1-processed-gene-0.147-mRNA-1_1&gene=augustus_masked-NW_001834670.1-processed-gene-0.147&CDS=1-915
OG0000622	YBR129C	augustus_masked-NW_001834665.1-processed-gene-0.114-mRNA-1_1&gene=augustus_masked-NW_001834665.1-processed-gene-0.114&CDS=1-1023
OG0000623	YBR130C	augustus_masked-NW_001834670.1-processed-gene-0.146-mRNA-1_1&gene=augustus_masked-NW_001834670.1-processed-gene-0.146&CDS=1-1494
OG0000624	YBR131W	snap_masked-NW_001834655.1-processed-gene-0.102-mRNA-1_1&gene=snap_masked-NW_001834655.1-processed-gene-0.102&CDS=1-2031
OG0000625	YBR132C	augustus_masked-NW_001834655.1-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-NW_001834655.1-processed-gene-0.31&CDS=1-1740
OG0000626	YBR133C	augustus_masked-NW_001834655.1-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-NW_001834655.1-processed-gene-0.32&CDS=1-2577
OG0000627	YBR135W	augustus_masked-NW_001834665.1-processed-gene-0.140-mRNA-1_1&gene=augustus_masked-NW_001834665.1-processed-gene-0.140&CDS=1-405
OG0000628	YBR136W	augustus_masked-NW_001834655.1-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-NW_001834655.1-processed-gene-0.3&CDS=1-7176
OG0000629	YBR137W	genemark-NW_001834644.1-processed-gene-0.85-mRNA-1_1&gene=genemark-NW_001834644.1-processed-gene-0.85&CDS=1-537
OG0000630	YBR138C	snap_masked-NW_001834692.1-processed-gene-0.22-mRNA-1_1&gene=snap_masked-NW_001834692.1-processed-gene-0.22&CDS=1-1440
OG0000631	YBR139W	augustus_masked-NW_001834692.1-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-NW_001834692.1-processed-gene-0.44&CDS=1-1473
OG0000632	YBR141C	augustus_masked-NW_001834692.1-processed-gene-0.64-mRNA-1_1&gene=augustus_masked-NW_001834692.1-processed-gene-0.64&CDS=1-1044
OG0000633	YBR142W	augustus_masked-NW_001834692.1-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-NW_001834692.1-processed-gene-0.45&CDS=1-2289
OG0000634	YBR143C	augustus_masked-NW_001834692.1-processed-gene-0.65-mRNA-1_1&gene=augustus_masked-NW_001834692.1-processed-gene-0.65&CDS=1-1320
OG0000635	YBR146W	augustus_masked-NW_001834692.1-processed-gene-0.47-mRNA-1_1&gene=augustus_masked-NW_001834692.1-processed-gene-0.47&CDS=1-870
OG0000636	YBR151W	augustus_masked-NW_001834644.1-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-NW_001834644.1-processed-gene-0.20&CDS=1-906
OG0000637	YBR152W	augustus_masked-NW_001834692.1-processed-gene-0.67-mRNA-1_1&gene=augustus_masked-NW_001834692.1-processed-gene-0.67&CDS=1-783
OG0000638	YBR153W	augustus_masked-NW_001834644.1-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-NW_001834644.1-processed-gene-0.21&CDS=1-726
OG0000639	YBR154C	augustus_masked-NW_001834692.1-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-NW_001834692.1-processed-gene-0.49&CDS=1-645
OG0000640	YBR155W	augustus_masked-NW_001834649.1-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-NW_001834649.1-processed-gene-0.38&CDS=1-1122
OG0000641	YBR156C	augustus_masked-NW_001834649.1-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-NW_001834649.1-processed-gene-0.51&CDS=1-2394
OG0000642	YBR157C	augustus_masked-NW_001834649.1-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-NW_001834649.1-processed-gene-0.52&CDS=1-480
OG0000643	YBR158W	augustus_masked-NW_001834649.1-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-NW_001834649.1-processed-gene-0.39&CDS=1-1485
OG0000644	YBR159W	augustus_masked-NW_001834649.1-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-NW_001834649.1-processed-gene-0.40&CDS=1-1041
OG0000645	YBR160W	augustus_masked-NW_001834649.1-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-NW_001834649.1-processed-gene-0.41&CDS=1-888
OG0000646	YBR162C	augustus_masked-NW_001834649.1-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-NW_001834649.1-processed-gene-0.53&CDS=1-1386
OG0000647	YBR162W-A	augustus_masked-NW_001834608.1-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-NW_001834608.1-processed-gene-0.34&CDS=1-198
OG0000648	YBR163W	augustus_masked-NW_001834649.1-processed-gene-0.43-mRNA-1_1&gene=augustus_masked-NW_001834649.1-processed-gene-0.43&CDS=1-1662
OG0000649	YBR164C	augustus_masked-NW_001834616.1-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-NW_001834616.1-processed-gene-0.31&CDS=1-420
OG0000650	YBR165W	augustus_masked-NW_001834685.1-processed-gene-1.46-mRNA-1_1&gene=augustus_masked-NW_001834685.1-processed-gene-1.46&CDS=1-753
OG0000651	YBR166C	augustus_masked-NW_001834685.1-processed-gene-1.50-mRNA-1_1&gene=augustus_masked-NW_001834685.1-processed-gene-1.50&CDS=1-1329
OG0000652	YBR167C	augustus_masked-NW_001834513.1-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-NW_001834513.1-processed-gene-0.12&CDS=1-426
OG0000653	YBR168W	augustus_masked-NW_001834685.1-processed-gene-1.48-mRNA-1_1&gene=augustus_masked-NW_001834685.1-processed-gene-1.48&CDS=1-1206
OG0000654	YBR170C	augustus_masked-NW_001834513.1-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-NW_001834513.1-processed-gene-0.14&CDS=1-1704
OG0000655	YBR171W	augustus_masked-NW_001834513.1-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-NW_001834513.1-processed-gene-0.9&CDS=1-594
OG0000656	YBR173C	augustus_masked-NW_001834685.1-processed-gene-1.72-mRNA-1_1&gene=augustus_masked-NW_001834685.1-processed-gene-1.72&CDS=1-453
OG0000657	YBR176W	augustus_masked-NW_001834513.1-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-NW_001834513.1-processed-gene-0.10&CDS=1-966
OG0000658	YBR179C	augustus_masked-NW_001834464.1-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-NW_001834464.1-processed-gene-0.11&CDS=1-1821
OG0000659	YBR180W	augustus_masked-NW_001834685.1-processed-gene-1.55-mRNA-1_1&gene=augustus_masked-NW_001834685.1-processed-gene-1.55&CDS=1-1944
OG0000660	YBR185C	augustus_masked-NW_001834657.1-processed-gene-0.88-mRNA-1_1&gene=augustus_masked-NW_001834657.1-processed-gene-0.88&CDS=1-828
OG0000661	YBR186W	augustus_masked-NW_001834685.1-processed-gene-1.59-mRNA-1_1&gene=augustus_masked-NW_001834685.1-processed-gene-1.59&CDS=1-1656
OG0000662	YBR187W	augustus_masked-NW_001834657.1-processed-gene-0.69-mRNA-1_1&gene=augustus_masked-NW_001834657.1-processed-gene-0.69&CDS=1-843
OG0000663	YBR192W	augustus_masked-NW_001834657.1-processed-gene-0.72-mRNA-1_1&gene=augustus_masked-NW_001834657.1-processed-gene-0.72&CDS=1-1119
OG0000664	YBR193C	augustus_masked-NW_001834657.1-processed-gene-0.90-mRNA-1_1&gene=augustus_masked-NW_001834657.1-processed-gene-0.90&CDS=1-693
OG0000665	YBR194W	augustus_masked-NW_001834685.1-processed-gene-1.62-mRNA-1_1&gene=augustus_masked-NW_001834685.1-processed-gene-1.62&CDS=1-306
OG0000666	YBR195C	genemark-NW_001834657.1-processed-gene-0.140-mRNA-1_1&gene=genemark-NW_001834657.1-processed-gene-0.140&CDS=1-1236
OG0000667	YBR196C	augustus_masked-NW_001834657.1-processed-gene-0.93-mRNA-1_1&gene=augustus_masked-NW_001834657.1-processed-gene-0.93&CDS=1-1665
OG0000668	YBR198C	augustus_masked-NW_001834657.1-processed-gene-0.95-mRNA-1_1&gene=augustus_masked-NW_001834657.1-processed-gene-0.95&CDS=1-2529
OG0000669	YBR199W	genemark-NW_001834685.1-processed-gene-1.21-mRNA-1_1&gene=genemark-NW_001834685.1-processed-gene-1.21&CDS=1-1422
OG0000670	YBR200W	augustus_masked-NW_001834657.1-processed-gene-0.75-mRNA-1_1&gene=augustus_masked-NW_001834657.1-processed-gene-0.75&CDS=1-1662
OG0000671	YBR201W	augustus_masked-NW_001834608.1-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-NW_001834608.1-processed-gene-0.45&CDS=1-681
OG0000672	YBR202W	augustus_masked-NW_001834608.1-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-NW_001834608.1-processed-gene-0.44&CDS=1-2520
OG0000673	YBR203W	snap_masked-NW_001834545.1-processed-gene-0.6-mRNA-1_1&gene=snap_masked-NW_001834545.1-processed-gene-0.6&CDS=1-2709
OG0000674	YBR204C	augustus_masked-NW_001834545.1-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-NW_001834545.1-processed-gene-0.16&CDS=1-1047
OG0000675	YBR205W	augustus_masked-NW_001834545.1-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-NW_001834545.1-processed-gene-0.19&CDS=1-1329
OG0000676	YBR207W	genemark-NW_001834545.1-processed-gene-0.11-mRNA-1_1&gene=genemark-NW_001834545.1-processed-gene-0.11&CDS=1-1353
OG0000677	YBR208C	augustus_masked-NW_001834545.1-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-NW_001834545.1-processed-gene-0.15&CDS=1-5496
OG0000678	YBR211C	augustus_masked-NW_001834627.1-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-NW_001834627.1-processed-gene-0.9&CDS=1-939
OG0000679	YBR212W	augustus_masked-NW_001834661.1-processed-gene-0.106-mRNA-1_1&gene=augustus_masked-NW_001834661.1-processed-gene-0.106&CDS=1-1761
OG0000680	YBR213W	augustus_masked-NW_001834661.1-processed-gene-0.105-mRNA-1_1&gene=augustus_masked-NW_001834661.1-processed-gene-0.105&CDS=1-837
OG0000681	YBR214W	snap_masked-NW_001834661.1-processed-gene-0.47-mRNA-1_1&gene=snap_masked-NW_001834661.1-processed-gene-0.47&CDS=1-1575
OG0000682	YBR215W	augustus_masked-NW_001834670.1-processed-gene-0.189-mRNA-1_1&gene=augustus_masked-NW_001834670.1-processed-gene-0.189&CDS=1-1470
OG0000683	YBR216C	augustus_masked-NW_001834670.1-processed-gene-0.163-mRNA-1_1&gene=augustus_masked-NW_001834670.1-processed-gene-0.163&CDS=1-2013
OG0000684	YBR217W	augustus_masked-NW_001834670.1-processed-gene-0.188-mRNA-1_1&gene=augustus_masked-NW_001834670.1-processed-gene-0.188&CDS=1-630
OG0000685	YBR220C	augustus_masked-NW_001834602.1-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NW_001834602.1-processed-gene-0.0&CDS=1-1647
OG0000686	YBR221C	augustus_masked-NW_001834670.1-processed-gene-0.161-mRNA-1_1&gene=augustus_masked-NW_001834670.1-processed-gene-0.161&CDS=1-1086
OG0000687	YBR222C	augustus_masked-NW_001834670.1-processed-gene-0.160-mRNA-1_1&gene=augustus_masked-NW_001834670.1-processed-gene-0.160&CDS=1-1614
OG0000688	YBR223C	augustus_masked-NW_001834670.1-processed-gene-0.159-mRNA-1_1&gene=augustus_masked-NW_001834670.1-processed-gene-0.159&CDS=1-1704
OG0000689	YBR225W	augustus_masked-NW_001834508.1-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-NW_001834508.1-processed-gene-0.3&CDS=1-2253
OG0000690	YBR227C	augustus_masked-NW_001834508.1-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NW_001834508.1-processed-gene-0.1&CDS=1-1488
OG0000691	YBR228W	augustus_masked-NW_001834508.1-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NW_001834508.1-processed-gene-0.2&CDS=1-957
OG0000692	YBR229C	genemark-NW_001834670.1-processed-gene-0.98-mRNA-1_1&gene=genemark-NW_001834670.1-processed-gene-0.98&CDS=1-2805
OG0000693	YBR230C	snap_masked-NW_001834670.1-processed-gene-0.33-mRNA-1_1&gene=snap_masked-NW_001834670.1-processed-gene-0.33&CDS=1-1008
OG0000694	YBR231C	augustus_masked-NW_001834693.1-processed-gene-2.126-mRNA-1_1&gene=augustus_masked-NW_001834693.1-processed-gene-2.126&CDS=1-915
