	Saccharomyces_cerevisiae	yHMPu5000034876_Tetrapisispora_iriomotensis
OG0000267	YJL094C	augustus_masked-flattened_line_0-processed-gene-2.45-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-2.45&CDS=1-2679, augustus_masked-flattened_line_0-processed-gene-9.181-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-9.181&CDS=1-2679
OG0000268	YJL095W	augustus_masked-flattened_line_0-processed-gene-1.95-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-1.95&CDS=1-4329, augustus_masked-flattened_line_0-processed-gene-9.215-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-9.215&CDS=1-4329
OG0000269	YJL096W	snap_masked-flattened_line_0-processed-gene-1.56-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-1.56&CDS=1-456, snap_masked-flattened_line_0-processed-gene-9.124-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-9.124&CDS=1-456
OG0000270	YJL101C	augustus_masked-flattened_line_0-processed-gene-1.105-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-1.105&CDS=1-2064, augustus_masked-flattened_line_0-processed-gene-9.182-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-9.182&CDS=1-2064
OG0000271	YJL102W	augustus_masked-flattened_line_0-processed-gene-1.91-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-1.91&CDS=1-2460, augustus_masked-flattened_line_0-processed-gene-9.219-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-9.219&CDS=1-2460
OG0000272	YJL103C	augustus_masked-flattened_line_0-processed-gene-1.104-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-1.104&CDS=1-1473, augustus_masked-flattened_line_0-processed-gene-9.183-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-9.183&CDS=1-1473
OG0000273	YJL104W	augustus_masked-flattened_line_0-processed-gene-1.89-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-1.89&CDS=1-420, augustus_masked-flattened_line_0-processed-gene-9.221-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-9.221&CDS=1-420
OG0000274	YJL106W	augustus_masked-flattened_line_0-processed-gene-1.87-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-1.87&CDS=1-2439, augustus_masked-flattened_line_0-processed-gene-9.223-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-9.223&CDS=1-2439
OG0000275	YJL109C	augustus_masked-flattened_line_0-processed-gene-1.103-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-1.103&CDS=1-5316, augustus_masked-flattened_line_0-processed-gene-9.184-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-9.184&CDS=1-5316
OG0000276	YJL116C, YKR042W	augustus_masked-flattened_line_7-processed-gene-2.26-mRNA-1_1&gene=augustus_masked-flattened_line_7-processed-gene-2.26&CDS=1-1140
OG0000277	YJL133W, YKR052C	augustus_masked-flattened_line_7-processed-gene-2.7-mRNA-1_1&gene=augustus_masked-flattened_line_7-processed-gene-2.7&CDS=1-915
OG0000278	YJL134W, YKR053C	augustus_masked-flattened_line_7-processed-gene-2.3-mRNA-1_1&gene=augustus_masked-flattened_line_7-processed-gene-2.3&CDS=1-1227
OG0000279	YJL137C, YKR058W	augustus_masked-flattened_line_53-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-flattened_line_53-processed-gene-0.21&CDS=1-1830
OG0000280	YJL138C, YKR059W	maker-flattened_line_7-augustus-gene-2.2-mRNA-1_1&gene=maker-flattened_line_7-augustus-gene-2.2&CDS=1-1458
OG0000281	YJL139C, YKR061W	augustus_masked-flattened_line_7-processed-gene-1.131-mRNA-1_1&gene=augustus_masked-flattened_line_7-processed-gene-1.131&CDS=1-1260
OG0000282	YJL177W, YKL180W	maker-flattened_line_71-augustus-gene-0.88-mRNA-1_1&gene=maker-flattened_line_71-augustus-gene-0.88&CDS=1-552
OG0000283	YJR094W-A, YPR043W	augustus_masked-flattened_line_41-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-flattened_line_41-processed-gene-0.36&CDS=1-294
OG0000284	YJR123W	augustus_masked-flattened_line_23-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-flattened_line_23-processed-gene-0.31&CDS=1-675, augustus_masked-flattened_line_3-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-flattened_line_3-processed-gene-0.31&CDS=1-675
OG0000285	YJR127C, YML081W	augustus_masked-flattened_line_65-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-flattened_line_65-processed-gene-0.45&CDS=1-4041
OG0000286	YJR130C, YML082W	augustus_masked-flattened_line_57-processed-gene-0.155-mRNA-1_1&gene=augustus_masked-flattened_line_57-processed-gene-0.155&CDS=1-2145
OG0000287	YKL002W	augustus_masked-flattened_line_0-processed-gene-4.107-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-4.107&CDS=1-672, augustus_masked-flattened_line_0-processed-gene-6.123-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-6.123&CDS=1-672
OG0000288	YKL003C	augustus_masked-flattened_line_0-processed-gene-4.127-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-4.127&CDS=1-387, augustus_masked-flattened_line_0-processed-gene-6.104-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-6.104&CDS=1-387
OG0000289	YKL004W	augustus_masked-flattened_line_0-processed-gene-4.106-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-4.106&CDS=1-1239, augustus_masked-flattened_line_0-processed-gene-6.124-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-6.124&CDS=1-1239
OG0000290	YKL028W	augustus_masked-flattened_line_0-processed-gene-4.134-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-4.134&CDS=1-1443, augustus_masked-flattened_line_0-processed-gene-6.97-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-6.97&CDS=1-1443
OG0000291	YKL029C	augustus_masked-flattened_line_0-processed-gene-4.114-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-4.114&CDS=1-1965, augustus_masked-flattened_line_0-processed-gene-6.116-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-6.116&CDS=1-1965
OG0000292	YKL032C	augustus_masked-flattened_line_0-processed-gene-5.96-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-5.96&CDS=1-1485, augustus_masked-flattened_line_0-processed-gene-6.94-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-6.94&CDS=1-1485
OG0000293	YKL033W	augustus_masked-flattened_line_0-processed-gene-5.100-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-5.100&CDS=1-3168, augustus_masked-flattened_line_0-processed-gene-6.90-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-6.90&CDS=1-3168
OG0000294	YKL033W-A	augustus_masked-flattened_line_0-processed-gene-5.121-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-5.121&CDS=1-708, augustus_masked-flattened_line_0-processed-gene-6.89-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-6.89&CDS=1-708
OG0000295	YKL060C	augustus_masked-flattened_line_25-processed-gene-1.19-mRNA-1_1&gene=augustus_masked-flattened_line_25-processed-gene-1.19&CDS=1-1083, augustus_masked-flattened_line_43-processed-gene-0.112-mRNA-1_1&gene=augustus_masked-flattened_line_43-processed-gene-0.112&CDS=1-1083
OG0000296	YKL072W, YMR053C	augustus_masked-flattened_line_25-processed-gene-1.6-mRNA-1_1&gene=augustus_masked-flattened_line_25-processed-gene-1.6&CDS=1-2376
OG0000297	YKL081W, YPL048W	maker-flattened_line_25-augustus-gene-1.54-mRNA-1_1&gene=maker-flattened_line_25-augustus-gene-1.54&CDS=1-1233
OG0000298	YKL089W	augustus_masked-flattened_line_0-processed-gene-4.124-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-4.124&CDS=1-1827, augustus_masked-flattened_line_0-processed-gene-6.107-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-6.107&CDS=1-1827
OG0000299	YKL096W	snap_masked-flattened_line_3-processed-gene-3.111-mRNA-1_1&gene=snap_masked-flattened_line_3-processed-gene-3.111&CDS=1-1278, snap_masked-flattened_line_3-processed-gene-3.112-mRNA-1_1&gene=snap_masked-flattened_line_3-processed-gene-3.112&CDS=1-1488
OG0000300	YKL099C	augustus_masked-flattened_line_0-processed-gene-4.121-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-4.121&CDS=1-756, augustus_masked-flattened_line_0-processed-gene-6.110-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-6.110&CDS=1-756
OG0000301	YKL101W	augustus_masked-flattened_line_0-processed-gene-4.103-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-4.103&CDS=1-4632, augustus_masked-flattened_line_0-processed-gene-6.127-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-6.127&CDS=1-4632
OG0000302	YKL103C	augustus_masked-flattened_line_0-processed-gene-4.119-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-4.119&CDS=1-1605, augustus_masked-flattened_line_0-processed-gene-6.112-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-6.112&CDS=1-1605
OG0000303	YKL104C	snap_masked-flattened_line_0-processed-gene-4.29-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-4.29&CDS=1-2205, snap_masked-flattened_line_0-processed-gene-6.22-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-6.22&CDS=1-2205
OG0000304	YKL105C, YMR086W	snap_masked-flattened_line_3-processed-gene-3.114-mRNA-1_1&gene=snap_masked-flattened_line_3-processed-gene-3.114&CDS=1-3120
OG0000305	YKL106W	augustus_masked-flattened_line_0-processed-gene-4.102-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-4.102&CDS=1-1293, augustus_masked-flattened_line_0-processed-gene-6.128-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-6.128&CDS=1-1293
OG0000306	YKL108W	augustus_masked-flattened_line_0-processed-gene-7.4-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-7.4&CDS=1-1329, snap_masked-flattened_line_0-processed-gene-4.6-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-4.6&CDS=1-1329
OG0000307	YKL110C	augustus_masked-flattened_line_0-processed-gene-4.95-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-4.95&CDS=1-924, augustus_masked-flattened_line_0-processed-gene-7.3-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-7.3&CDS=1-924
OG0000308	YKL112W	augustus_masked-flattened_line_0-processed-gene-4.91-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-4.91&CDS=1-1545, augustus_masked-flattened_line_0-processed-gene-7.27-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-7.27&CDS=1-1545
OG0000309	YKL113C	augustus_masked-flattened_line_0-processed-gene-3.148-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-3.148&CDS=1-1131, augustus_masked-flattened_line_0-processed-gene-7.8-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-7.8&CDS=1-1131
OG0000310	YKL114C	augustus_masked-flattened_line_0-processed-gene-3.147-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-3.147&CDS=1-1080, augustus_masked-flattened_line_0-processed-gene-7.9-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-7.9&CDS=1-1080
OG0000311	YKL116C	augustus_masked-flattened_line_0-processed-gene-3.146-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-3.146&CDS=1-1632, augustus_masked-flattened_line_0-processed-gene-7.10-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-7.10&CDS=1-1632
OG0000312	YKL117W	augustus_masked-flattened_line_0-processed-gene-3.128-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-3.128&CDS=1-609, augustus_masked-flattened_line_0-processed-gene-7.28-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-7.28&CDS=1-609
OG0000313	YKL121W, YMR102C	augustus_masked-flattened_line_59-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-flattened_line_59-processed-gene-0.23&CDS=1-2790
OG0000314	YKL122C	augustus_masked-flattened_line_0-processed-gene-3.143-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-3.143&CDS=1-453, augustus_masked-flattened_line_0-processed-gene-7.13-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-7.13&CDS=1-453
OG0000315	YKL125W	genemark-flattened_line_0-processed-gene-3.76-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-3.76&CDS=1-1971, genemark-flattened_line_0-processed-gene-7.138-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-7.138&CDS=1-1971
OG0000316	YKL130C	augustus_masked-flattened_line_0-processed-gene-3.141-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-3.141&CDS=1-753, augustus_masked-flattened_line_0-processed-gene-7.15-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-7.15&CDS=1-753
OG0000317	YKL135C	augustus_masked-flattened_line_0-processed-gene-3.139-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-3.139&CDS=1-2163, augustus_masked-flattened_line_0-processed-gene-7.17-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-7.17&CDS=1-2163
OG0000318	YKL138C-A	augustus_masked-flattened_line_0-processed-gene-3.138-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-3.138&CDS=1-243, augustus_masked-flattened_line_0-processed-gene-7.18-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-7.18&CDS=1-243
OG0000319	YKL139W	genemark-flattened_line_0-processed-gene-3.68-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-3.68&CDS=1-1539, genemark-flattened_line_0-processed-gene-7.146-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-7.146&CDS=1-1539
OG0000320	YKR001C	augustus_masked-flattened_line_0-processed-gene-4.128-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-4.128&CDS=1-2130, augustus_masked-flattened_line_0-processed-gene-6.103-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-6.103&CDS=1-2130
OG0000321	YKR002W	augustus_masked-flattened_line_0-processed-gene-4.108-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-4.108&CDS=1-1680, augustus_masked-flattened_line_0-processed-gene-6.122-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-6.122&CDS=1-1680
OG0000322	YKR003W	augustus_masked-flattened_line_0-processed-gene-4.129-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-4.129&CDS=1-1296, augustus_masked-flattened_line_0-processed-gene-6.102-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-6.102&CDS=1-1296
OG0000323	YKR004C	snap_masked-flattened_line_0-processed-gene-4.20-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-4.20&CDS=1-1143, snap_masked-flattened_line_0-processed-gene-6.30-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-6.30&CDS=1-1143
OG0000324	YKR005C	snap_masked-flattened_line_0-processed-gene-4.40-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-4.40&CDS=1-2145, snap_masked-flattened_line_0-processed-gene-6.11-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-6.11&CDS=1-2145
OG0000325	YKR006C	snap_masked-flattened_line_0-processed-gene-4.41-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-4.41&CDS=1-795, snap_masked-flattened_line_0-processed-gene-6.10-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-6.10&CDS=1-795
OG0000326	YKR007W	augustus_masked-flattened_line_0-processed-gene-4.110-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-4.110&CDS=1-495, augustus_masked-flattened_line_0-processed-gene-6.120-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-6.120&CDS=1-495
OG0000327	YKR008W	augustus_masked-flattened_line_0-processed-gene-6.119-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-6.119&CDS=1-2817, snap_masked-flattened_line_0-processed-gene-4.22-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-4.22&CDS=1-1677
OG0000328	YKR009C	augustus_masked-flattened_line_0-processed-gene-4.132-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-4.132&CDS=1-2733, augustus_masked-flattened_line_0-processed-gene-6.99-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-6.99&CDS=1-2733
OG0000329	YKR016W	augustus_masked-flattened_line_0-processed-gene-2.69-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-2.69&CDS=1-1587, augustus_masked-flattened_line_0-processed-gene-8.115-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-8.115&CDS=1-1587
OG0000330	YKR017C	snap_masked-flattened_line_0-processed-gene-2.95-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-2.95&CDS=1-1617, snap_masked-flattened_line_0-processed-gene-8.88-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-8.88&CDS=1-1617
OG0000331	YKR022C	augustus_masked-flattened_line_0-processed-gene-2.44-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-2.44&CDS=1-1011, augustus_masked-flattened_line_0-processed-gene-9.180-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-9.180&CDS=1-1011
OG0000332	YKR023W	augustus_masked-flattened_line_0-processed-gene-1.90-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-1.90&CDS=1-1584, augustus_masked-flattened_line_0-processed-gene-9.220-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-9.220&CDS=1-1584
OG0000333	YKR028W	augustus_masked-flattened_line_0-processed-gene-1.93-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-1.93&CDS=1-3252, augustus_masked-flattened_line_0-processed-gene-9.217-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-9.217&CDS=1-3252
OG0000334	YKR030W	snap_masked-flattened_line_0-processed-gene-1.66-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-1.66&CDS=1-732, snap_masked-flattened_line_0-processed-gene-9.91-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-9.91&CDS=1-732
OG0000335	YKR031C	augustus_masked-flattened_line_0-processed-gene-1.86-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-1.86&CDS=1-4893, augustus_masked-flattened_line_0-processed-gene-9.224-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-9.224&CDS=1-4893
OG0000336	YKR075C, YOR062C	augustus_masked-flattened_line_11-processed-gene-2.25-mRNA-1_1&gene=augustus_masked-flattened_line_11-processed-gene-2.25&CDS=1-633
OG0000337	YKR093W	augustus_masked-flattened_line_45-processed-gene-1.117-mRNA-1_1&gene=augustus_masked-flattened_line_45-processed-gene-1.117&CDS=1-1815, augustus_masked-flattened_line_73-processed-gene-0.43-mRNA-1_1&gene=augustus_masked-flattened_line_73-processed-gene-0.43&CDS=1-1878
OG0000338	YLL010C, YLR019W	augustus_masked-flattened_line_67-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-flattened_line_67-processed-gene-0.23&CDS=1-1422
OG0000339	YLL016W, YLR310C	snap_masked-flattened_line_45-processed-gene-1.25-mRNA-1_1&gene=snap_masked-flattened_line_45-processed-gene-1.25&CDS=1-4872
OG0000340	YLL021W	augustus_masked-flattened_line_33-processed-gene-1.0-mRNA-1_1&gene=augustus_masked-flattened_line_33-processed-gene-1.0&CDS=1-2844, augustus_masked-flattened_line_45-processed-gene-1.105-mRNA-1_1&gene=augustus_masked-flattened_line_45-processed-gene-1.105&CDS=1-3510
OG0000341	YLR027C	maker-flattened_line_0-augustus-gene-3.149-mRNA-1_1&gene=maker-flattened_line_0-augustus-gene-3.149&CDS=1-1779, maker-flattened_line_0-augustus-gene-7.53-mRNA-1_1&gene=maker-flattened_line_0-augustus-gene-7.53&CDS=1-1776
OG0000342	YLR028C, YMR120C	augustus_masked-flattened_line_59-processed-gene-0.43-mRNA-1_1&gene=augustus_masked-flattened_line_59-processed-gene-0.43&CDS=1-1773
OG0000343	YLR033W	augustus_masked-flattened_line_0-processed-gene-3.133-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-3.133&CDS=1-1425, augustus_masked-flattened_line_0-processed-gene-7.23-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-7.23&CDS=1-1425
OG0000344	YLR035C	augustus_masked-flattened_line_0-processed-gene-3.112-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-3.112&CDS=1-1713, augustus_masked-flattened_line_0-processed-gene-7.44-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-7.44&CDS=1-1713
OG0000345	YLR044C, YLR134W	augustus_masked-flattened_line_43-processed-gene-1.31-mRNA-1_1&gene=augustus_masked-flattened_line_43-processed-gene-1.31&CDS=1-1689
OG0000346	YLR056W	augustus_masked-flattened_line_25-processed-gene-2.46-mRNA-1_1&gene=augustus_masked-flattened_line_25-processed-gene-2.46&CDS=1-1095, augustus_masked-flattened_line_35-processed-gene-1.156-mRNA-1_1&gene=augustus_masked-flattened_line_35-processed-gene-1.156&CDS=1-1101
OG0000347	YLR079W	augustus_masked-flattened_line_25-processed-gene-2.50-mRNA-1_1&gene=augustus_masked-flattened_line_25-processed-gene-2.50&CDS=1-612, augustus_masked-flattened_line_35-processed-gene-1.171-mRNA-1_1&gene=augustus_masked-flattened_line_35-processed-gene-1.171&CDS=1-798
OG0000348	YLR264W, YOR167C	augustus_masked-flattened_line_37-processed-gene-1.140-mRNA-1_1&gene=augustus_masked-flattened_line_37-processed-gene-1.140&CDS=1-201
OG0000349	YLR270W, YOR173W	augustus_masked-flattened_line_5-processed-gene-4.9-mRNA-1_1&gene=augustus_masked-flattened_line_5-processed-gene-4.9&CDS=1-1143
OG0000350	YLR284C, YOR180C	maker-flattened_line_5-snap-gene-4.1-mRNA-1_1&gene=maker-flattened_line_5-snap-gene-4.1&CDS=1-2076
OG0000351	YLR287C-A, YOR182C	genemark-flattened_line_5-processed-gene-4.139-mRNA-1_1&gene=genemark-flattened_line_5-processed-gene-4.139&CDS=1-192
OG0000352	YLR293C, YOR185C	augustus_masked-flattened_line_29-processed-gene-1.68-mRNA-1_1&gene=augustus_masked-flattened_line_29-processed-gene-1.68&CDS=1-915
OG0000353	YLR337C	augustus_masked-flattened_line_300-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_300-processed-gene-0.1&CDS=1-405, genemark-flattened_line_37-processed-gene-0.45-mRNA-1_1&gene=genemark-flattened_line_37-processed-gene-0.45&CDS=1-726
OG0000354	YLR441C, YML063W	augustus_masked-flattened_line_31-processed-gene-1.80-mRNA-1_1&gene=augustus_masked-flattened_line_31-processed-gene-1.80&CDS=1-765
OG0000355	YLR450W, YML075C	augustus_masked-flattened_line_65-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-flattened_line_65-processed-gene-0.28&CDS=1-3306
OG0000356	YML085C	augustus_masked-flattened_line_0-processed-gene-0.104-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-0.104&CDS=1-1338, augustus_masked-flattened_line_0-processed-gene-9.209-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-9.209&CDS=1-1338
OG0000357	YML086C	augustus_masked-flattened_line_0-processed-gene-0.103-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-0.103&CDS=1-1578, augustus_masked-flattened_line_0-processed-gene-9.210-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-9.210&CDS=1-1578
OG0000358	YML088W	augustus_masked-flattened_line_0-processed-gene-0.85-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-0.85&CDS=1-1983, augustus_masked-flattened_line_0-processed-gene-9.250-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-9.250&CDS=1-1983
OG0000359	YML093W	augustus_masked-flattened_line_0-processed-gene-0.84-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-0.84&CDS=1-2754, augustus_masked-flattened_line_0-processed-gene-9.251-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-9.251&CDS=1-2754
OG0000360	YML095C	augustus_masked-flattened_line_0-processed-gene-0.101-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-0.101&CDS=1-714, augustus_masked-flattened_line_0-processed-gene-9.212-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-9.212&CDS=1-714
OG0000361	YML102W	augustus_masked-flattened_line_0-processed-gene-0.97-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-0.97&CDS=1-1914, augustus_masked-flattened_line_0-processed-gene-9.238-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-9.238&CDS=1-1914
OG0000362	YML104C	augustus_masked-flattened_line_0-processed-gene-0.116-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-0.116&CDS=1-3390, maker-flattened_line_0-snap-gene-9.169-mRNA-1_1&gene=maker-flattened_line_0-snap-gene-9.169&CDS=1-3375
OG0000363	YML106W	augustus_masked-flattened_line_0-processed-gene-0.95-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-0.95&CDS=1-672, augustus_masked-flattened_line_0-processed-gene-9.240-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-9.240&CDS=1-672
OG0000364	YML108W	augustus_masked-flattened_line_0-processed-gene-0.94-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-0.94&CDS=1-354, augustus_masked-flattened_line_0-processed-gene-9.241-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-9.241&CDS=1-354
OG0000365	YML109W	augustus_masked-flattened_line_0-processed-gene-9.242-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-9.242&CDS=1-3066, snap_masked-flattened_line_0-processed-gene-0.49-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-0.49&CDS=1-3066
OG0000366	YML114C	augustus_masked-flattened_line_0-processed-gene-9.199-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-9.199&CDS=1-1779, snap_masked-flattened_line_0-processed-gene-0.74-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-0.74&CDS=1-1779
OG0000367	YML116W, YMR279C	augustus_masked-flattened_line_47-processed-gene-0.66-mRNA-1_1&gene=augustus_masked-flattened_line_47-processed-gene-0.66&CDS=1-1584
OG0000368	YML117W	augustus_masked-flattened_line_0-processed-gene-0.91-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-0.91&CDS=1-3087, augustus_masked-flattened_line_0-processed-gene-9.244-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-9.244&CDS=1-3087
OG0000369	YML119W	augustus_masked-flattened_line_0-processed-gene-9.247-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-9.247&CDS=1-1179, snap_masked-flattened_line_0-processed-gene-0.43-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-0.43&CDS=1-1179
