	Saccharomyces_cerevisiae	yHMPu5000034648_Candida_restingae
OG0000697	YBR268W	snap_masked-NODE_1_length_1198608_cov_23.6179_ID_1-processed-gene-10.179-mRNA-1_1&gene=snap_masked-NODE_1_length_1198608_cov_23.6179_ID_1-processed-gene-10.179&CDS=1-294
OG0000698	YBR271W	maker-NODE_15_length_493248_cov_25.9769_ID_29-snap-gene-3.317-mRNA-1_1&gene=maker-NODE_15_length_493248_cov_25.9769_ID_29-snap-gene-3.317&CDS=1-1608
OG0000699	YBR276C	maker-NODE_3_length_909521_cov_21.0721_ID_5-snap-gene-0.39-mRNA-1_1&gene=maker-NODE_3_length_909521_cov_21.0721_ID_5-snap-gene-0.39&CDS=1-2718
OG0000700	YBR279W	snap_masked-NODE_31_length_57386_cov_22.3926_ID_61-processed-gene-0.4-mRNA-1_1&gene=snap_masked-NODE_31_length_57386_cov_22.3926_ID_61-processed-gene-0.4&CDS=1-1203
OG0000701	YBR280C	snap_masked-NODE_13_length_550700_cov_25.1861_ID_25-processed-gene-2.76-mRNA-1_1&gene=snap_masked-NODE_13_length_550700_cov_25.1861_ID_25-processed-gene-2.76&CDS=1-1770
OG0000702	YBR281C	snap_masked-NODE_12_length_557510_cov_24.799_ID_23-processed-gene-4.139-mRNA-1_1&gene=snap_masked-NODE_12_length_557510_cov_24.799_ID_23-processed-gene-4.139&CDS=1-2934
OG0000703	YBR282W	snap_masked-NODE_2_length_1144711_cov_23.956_ID_3-processed-gene-4.18-mRNA-1_1&gene=snap_masked-NODE_2_length_1144711_cov_23.956_ID_3-processed-gene-4.18&CDS=1-507
OG0000704	YBR283C	augustus_masked-NODE_12_length_557510_cov_24.799_ID_23-processed-gene-4.205-mRNA-1_1&gene=augustus_masked-NODE_12_length_557510_cov_24.799_ID_23-processed-gene-4.205&CDS=1-1482
OG0000705	YBR286W	snap_masked-NODE_31_length_57386_cov_22.3926_ID_61-processed-gene-0.5-mRNA-1_1&gene=snap_masked-NODE_31_length_57386_cov_22.3926_ID_61-processed-gene-0.5&CDS=1-1563
OG0000706	YBR288C	snap_masked-NODE_24_length_169180_cov_32.6027_ID_47-processed-gene-0.74-mRNA-1_1&gene=snap_masked-NODE_24_length_169180_cov_32.6027_ID_47-processed-gene-0.74&CDS=1-1395
OG0000707	YBR289W	snap_masked-NODE_7_length_639868_cov_21.9189_ID_13-processed-gene-1.66-mRNA-1_1&gene=snap_masked-NODE_7_length_639868_cov_21.9189_ID_13-processed-gene-1.66&CDS=1-2115
OG0000708	YBR290W	snap_masked-NODE_7_length_639868_cov_21.9189_ID_13-processed-gene-1.64-mRNA-1_1&gene=snap_masked-NODE_7_length_639868_cov_21.9189_ID_13-processed-gene-1.64&CDS=1-1062
OG0000709	YBR291C	snap_masked-NODE_7_length_639868_cov_21.9189_ID_13-processed-gene-1.51-mRNA-1_1&gene=snap_masked-NODE_7_length_639868_cov_21.9189_ID_13-processed-gene-1.51&CDS=1-876
OG0000710	YBR296C	snap_masked-NODE_6_length_681199_cov_20.8158_ID_11-processed-gene-4.27-mRNA-1_1&gene=snap_masked-NODE_6_length_681199_cov_20.8158_ID_11-processed-gene-4.27&CDS=1-1740
OG0000711	YCL004W	snap_masked-NODE_3_length_909521_cov_21.0721_ID_5-processed-gene-1.38-mRNA-1_1&gene=snap_masked-NODE_3_length_909521_cov_21.0721_ID_5-processed-gene-1.38&CDS=1-1518
OG0000712	YCL005W-A	snap_masked-NODE_12_length_557510_cov_24.799_ID_23-processed-gene-4.150-mRNA-1_1&gene=snap_masked-NODE_12_length_557510_cov_24.799_ID_23-processed-gene-4.150&CDS=1-207
OG0000713	YCL009C	snap_masked-NODE_16_length_359154_cov_26.9262_ID_31-processed-gene-1.2-mRNA-1_1&gene=snap_masked-NODE_16_length_359154_cov_26.9262_ID_31-processed-gene-1.2&CDS=1-888
OG0000714	YCL010C	snap_masked-NODE_3_length_909521_cov_21.0721_ID_5-processed-gene-1.39-mRNA-1_1&gene=snap_masked-NODE_3_length_909521_cov_21.0721_ID_5-processed-gene-1.39&CDS=1-789
OG0000715	YCL012C	snap_masked-NODE_3_length_909521_cov_21.0721_ID_5-processed-gene-1.41-mRNA-1_1&gene=snap_masked-NODE_3_length_909521_cov_21.0721_ID_5-processed-gene-1.41&CDS=1-426
OG0000716	YCL014W	snap_masked-NODE_3_length_909521_cov_21.0721_ID_5-processed-gene-1.42-mRNA-1_1&gene=snap_masked-NODE_3_length_909521_cov_21.0721_ID_5-processed-gene-1.42&CDS=1-4665
OG0000717	YCL016C	augustus_masked-NODE_3_length_909521_cov_21.0721_ID_5-processed-gene-1.19-mRNA-1_1&gene=augustus_masked-NODE_3_length_909521_cov_21.0721_ID_5-processed-gene-1.19&CDS=1-1113
OG0000718	YCL017C	snap_masked-NODE_3_length_909521_cov_21.0721_ID_5-processed-gene-1.51-mRNA-1_1&gene=snap_masked-NODE_3_length_909521_cov_21.0721_ID_5-processed-gene-1.51&CDS=1-1362
OG0000719	YCL018W	snap_masked-NODE_3_length_909521_cov_21.0721_ID_5-processed-gene-1.50-mRNA-1_1&gene=snap_masked-NODE_3_length_909521_cov_21.0721_ID_5-processed-gene-1.50&CDS=1-1104
OG0000720	YCL029C	snap_masked-NODE_3_length_909521_cov_21.0721_ID_5-processed-gene-4.61-mRNA-1_1&gene=snap_masked-NODE_3_length_909521_cov_21.0721_ID_5-processed-gene-4.61&CDS=1-1863
OG0000721	YCL030C	snap_masked-NODE_9_length_597890_cov_22.9962_ID_17-processed-gene-2.39-mRNA-1_1&gene=snap_masked-NODE_9_length_597890_cov_22.9962_ID_17-processed-gene-2.39&CDS=1-2571
OG0000722	YCL031C	snap_masked-NODE_8_length_627978_cov_22.2355_ID_15-processed-gene-4.80-mRNA-1_1&gene=snap_masked-NODE_8_length_627978_cov_22.2355_ID_15-processed-gene-4.80&CDS=1-834
OG0000723	YCL032W	snap_masked-NODE_1_length_1198608_cov_23.6179_ID_1-processed-gene-10.243-mRNA-1_1&gene=snap_masked-NODE_1_length_1198608_cov_23.6179_ID_1-processed-gene-10.243&CDS=1-1473
OG0000724	YCL033C	snap_masked-NODE_29_length_90500_cov_21.8775_ID_57-processed-gene-0.41-mRNA-1_1&gene=snap_masked-NODE_29_length_90500_cov_21.8775_ID_57-processed-gene-0.41&CDS=1-432
OG0000725	YCL034W	snap_masked-NODE_3_length_909521_cov_21.0721_ID_5-processed-gene-2.59-mRNA-1_1&gene=snap_masked-NODE_3_length_909521_cov_21.0721_ID_5-processed-gene-2.59&CDS=1-1320
OG0000726	YCL039W	snap_masked-NODE_4_length_844464_cov_24.6742_ID_7-processed-gene-1.19-mRNA-1_1&gene=snap_masked-NODE_4_length_844464_cov_24.6742_ID_7-processed-gene-1.19&CDS=1-2292
OG0000727	YCL043C	snap_masked-NODE_4_length_844464_cov_24.6742_ID_7-processed-gene-1.36-mRNA-1_1&gene=snap_masked-NODE_4_length_844464_cov_24.6742_ID_7-processed-gene-1.36&CDS=1-1650
OG0000728	YCL044C	augustus_masked-NODE_13_length_550700_cov_25.1861_ID_25-processed-gene-4.178-mRNA-1_1&gene=augustus_masked-NODE_13_length_550700_cov_25.1861_ID_25-processed-gene-4.178&CDS=1-927
OG0000729	YCL045C	augustus_masked-NODE_1_length_1198608_cov_23.6179_ID_1-processed-gene-5.90-mRNA-1_1&gene=augustus_masked-NODE_1_length_1198608_cov_23.6179_ID_1-processed-gene-5.90&CDS=1-2535
OG0000730	YCL054W	snap_masked-NODE_25_length_145781_cov_22.9048_ID_49-processed-gene-0.57-mRNA-1_1&gene=snap_masked-NODE_25_length_145781_cov_22.9048_ID_49-processed-gene-0.57&CDS=1-2463
OG0000731	YCL055W	snap_masked-NODE_14_length_538558_cov_20.8153_ID_27-processed-gene-3.55-mRNA-1_1&gene=snap_masked-NODE_14_length_538558_cov_20.8153_ID_27-processed-gene-3.55&CDS=1-984
OG0000732	YCL057C-A	snap_masked-NODE_4_length_844464_cov_24.6742_ID_7-processed-gene-5.50-mRNA-1_1&gene=snap_masked-NODE_4_length_844464_cov_24.6742_ID_7-processed-gene-5.50&CDS=1-246
OG0000733	YCL057W	snap_masked-NODE_8_length_627978_cov_22.2355_ID_15-processed-gene-3.72-mRNA-1_1&gene=snap_masked-NODE_8_length_627978_cov_22.2355_ID_15-processed-gene-3.72&CDS=1-2046
OG0000734	YCL059C	snap_masked-NODE_10_length_597822_cov_24.9532_ID_19-processed-gene-4.135-mRNA-1_1&gene=snap_masked-NODE_10_length_597822_cov_24.9532_ID_19-processed-gene-4.135&CDS=1-1008
OG0000735	YCL061C	augustus_masked-NODE_10_length_597822_cov_24.9532_ID_19-processed-gene-4.84-mRNA-1_1&gene=augustus_masked-NODE_10_length_597822_cov_24.9532_ID_19-processed-gene-4.84&CDS=1-3105
OG0000736	YCR002C	snap_masked-NODE_15_length_493248_cov_25.9769_ID_29-processed-gene-0.51-mRNA-1_1&gene=snap_masked-NODE_15_length_493248_cov_25.9769_ID_29-processed-gene-0.51&CDS=1-969
OG0000737	YCR003W	snap_masked-NODE_15_length_493248_cov_25.9769_ID_29-processed-gene-0.74-mRNA-1_1&gene=snap_masked-NODE_15_length_493248_cov_25.9769_ID_29-processed-gene-0.74&CDS=1-570
OG0000738	YCR009C	snap_masked-NODE_2_length_1144711_cov_23.956_ID_3-processed-gene-10.43-mRNA-1_1&gene=snap_masked-NODE_2_length_1144711_cov_23.956_ID_3-processed-gene-10.43&CDS=1-792
OG0000739	YCR011C	snap_masked-NODE_3_length_909521_cov_21.0721_ID_5-processed-gene-2.42-mRNA-1_1&gene=snap_masked-NODE_3_length_909521_cov_21.0721_ID_5-processed-gene-2.42&CDS=1-2991
OG0000740	YCR012W	snap_masked-NODE_4_length_844464_cov_24.6742_ID_7-processed-gene-7.107-mRNA-1_1&gene=snap_masked-NODE_4_length_844464_cov_24.6742_ID_7-processed-gene-7.107&CDS=1-1245
OG0000741	YCR015C	augustus_masked-NODE_15_length_493248_cov_25.9769_ID_29-processed-gene-3.49-mRNA-1_1&gene=augustus_masked-NODE_15_length_493248_cov_25.9769_ID_29-processed-gene-3.49&CDS=1-768
OG0000742	YCR016W	snap_masked-NODE_15_length_493248_cov_25.9769_ID_29-processed-gene-3.219-mRNA-1_1&gene=snap_masked-NODE_15_length_493248_cov_25.9769_ID_29-processed-gene-3.219&CDS=1-1053
OG0000743	YCR017C	snap_masked-NODE_15_length_493248_cov_25.9769_ID_29-processed-gene-2.65-mRNA-1_1&gene=snap_masked-NODE_15_length_493248_cov_25.9769_ID_29-processed-gene-2.65&CDS=1-2844
OG0000744	YCR019W	snap_masked-NODE_2_length_1144711_cov_23.956_ID_3-processed-gene-4.37-mRNA-1_1&gene=snap_masked-NODE_2_length_1144711_cov_23.956_ID_3-processed-gene-4.37&CDS=1-1017
OG0000745	YCR021C	snap_masked-NODE_5_length_815702_cov_21.7388_ID_9-processed-gene-7.126-mRNA-1_1&gene=snap_masked-NODE_5_length_815702_cov_21.7388_ID_9-processed-gene-7.126&CDS=1-957
OG0000746	YCR023C	snap_masked-NODE_9_length_597890_cov_22.9962_ID_17-processed-gene-4.176-mRNA-1_1&gene=snap_masked-NODE_9_length_597890_cov_22.9962_ID_17-processed-gene-4.176&CDS=1-1596
OG0000747	YCR024C	snap_masked-NODE_8_length_627978_cov_22.2355_ID_15-processed-gene-3.60-mRNA-1_1&gene=snap_masked-NODE_8_length_627978_cov_22.2355_ID_15-processed-gene-3.60&CDS=1-1317
OG0000748	YCR027C	snap_masked-NODE_12_length_557510_cov_24.799_ID_23-processed-gene-2.76-mRNA-1_1&gene=snap_masked-NODE_12_length_557510_cov_24.799_ID_23-processed-gene-2.76&CDS=1-546
OG0000749	YCR028C	snap_masked-NODE_5_length_815702_cov_21.7388_ID_9-processed-gene-0.12-mRNA-1_1&gene=snap_masked-NODE_5_length_815702_cov_21.7388_ID_9-processed-gene-0.12&CDS=1-1422
OG0000750	YCR028C-A	snap_masked-NODE_12_length_557510_cov_24.799_ID_23-processed-gene-4.135-mRNA-1_1&gene=snap_masked-NODE_12_length_557510_cov_24.799_ID_23-processed-gene-4.135&CDS=1-408
OG0000751	YCR030C	snap_masked-NODE_16_length_359154_cov_26.9262_ID_31-processed-gene-2.102-mRNA-1_1&gene=snap_masked-NODE_16_length_359154_cov_26.9262_ID_31-processed-gene-2.102&CDS=1-2703
OG0000752	YCR032W	snap_masked-NODE_17_length_347944_cov_21.2808_ID_33-processed-gene-2.137-mRNA-1_1&gene=snap_masked-NODE_17_length_347944_cov_21.2808_ID_33-processed-gene-2.137&CDS=1-7224
OG0000753	YCR033W	snap_masked-NODE_8_length_627978_cov_22.2355_ID_15-processed-gene-0.44-mRNA-1_1&gene=snap_masked-NODE_8_length_627978_cov_22.2355_ID_15-processed-gene-0.44&CDS=1-3882
OG0000754	YCR034W	snap_masked-NODE_8_length_627978_cov_22.2355_ID_15-processed-gene-0.57-mRNA-1_1&gene=snap_masked-NODE_8_length_627978_cov_22.2355_ID_15-processed-gene-0.57&CDS=1-984
OG0000755	YCR035C	snap_masked-NODE_17_length_347944_cov_21.2808_ID_33-processed-gene-2.115-mRNA-1_1&gene=snap_masked-NODE_17_length_347944_cov_21.2808_ID_33-processed-gene-2.115&CDS=1-939
OG0000756	YCR036W	snap_masked-NODE_8_length_627978_cov_22.2355_ID_15-processed-gene-0.39-mRNA-1_1&gene=snap_masked-NODE_8_length_627978_cov_22.2355_ID_15-processed-gene-0.39&CDS=1-966
OG0000757	YCR042C	snap_masked-NODE_6_length_681199_cov_20.8158_ID_11-processed-gene-5.73-mRNA-1_1&gene=snap_masked-NODE_6_length_681199_cov_20.8158_ID_11-processed-gene-5.73&CDS=1-5085
OG0000758	YCR044C	snap_masked-NODE_12_length_557510_cov_24.799_ID_23-processed-gene-4.123-mRNA-1_1&gene=snap_masked-NODE_12_length_557510_cov_24.799_ID_23-processed-gene-4.123&CDS=1-1143
OG0000759	YCR045C	snap_masked-NODE_5_length_815702_cov_21.7388_ID_9-processed-gene-3.41-mRNA-1_1&gene=snap_masked-NODE_5_length_815702_cov_21.7388_ID_9-processed-gene-3.41&CDS=1-1185
OG0000760	YCR046C	augustus_masked-NODE_14_length_538558_cov_20.8153_ID_27-processed-gene-1.129-mRNA-1_1&gene=augustus_masked-NODE_14_length_538558_cov_20.8153_ID_27-processed-gene-1.129&CDS=1-522
OG0000761	YCR047C	snap_masked-NODE_14_length_538558_cov_20.8153_ID_27-processed-gene-1.71-mRNA-1_1&gene=snap_masked-NODE_14_length_538558_cov_20.8153_ID_27-processed-gene-1.71&CDS=1-807
OG0000762	YCR051W	snap_masked-NODE_20_length_230954_cov_29.1452_ID_39-processed-gene-1.97-mRNA-1_1&gene=snap_masked-NODE_20_length_230954_cov_29.1452_ID_39-processed-gene-1.97&CDS=1-642
OG0000763	YCR053W	snap_masked-NODE_19_length_250385_cov_23.4955_ID_37-processed-gene-1.158-mRNA-1_1&gene=snap_masked-NODE_19_length_250385_cov_23.4955_ID_37-processed-gene-1.158&CDS=1-1506
OG0000764	YCR054C	snap_masked-NODE_19_length_250385_cov_23.4955_ID_37-processed-gene-1.182-mRNA-1_1&gene=snap_masked-NODE_19_length_250385_cov_23.4955_ID_37-processed-gene-1.182&CDS=1-1371
OG0000765	YCR057C	snap_masked-NODE_5_length_815702_cov_21.7388_ID_9-processed-gene-3.37-mRNA-1_1&gene=snap_masked-NODE_5_length_815702_cov_21.7388_ID_9-processed-gene-3.37&CDS=1-2709
OG0000766	YCR059C	maker-NODE_5_length_815702_cov_21.7388_ID_9-snap-gene-3.1-mRNA-1_1&gene=maker-NODE_5_length_815702_cov_21.7388_ID_9-snap-gene-3.1&CDS=1-837
OG0000767	YCR060W	snap_masked-NODE_5_length_815702_cov_21.7388_ID_9-processed-gene-3.21-mRNA-1_1&gene=snap_masked-NODE_5_length_815702_cov_21.7388_ID_9-processed-gene-3.21&CDS=1-1026
OG0000768	YCR061W	snap_masked-NODE_7_length_639868_cov_21.9189_ID_13-processed-gene-0.37-mRNA-1_1&gene=snap_masked-NODE_7_length_639868_cov_21.9189_ID_13-processed-gene-0.37&CDS=1-1719
OG0000769	YCR063W	snap_masked-NODE_7_length_639868_cov_21.9189_ID_13-processed-gene-1.49-mRNA-1_1&gene=snap_masked-NODE_7_length_639868_cov_21.9189_ID_13-processed-gene-1.49&CDS=1-453
OG0000770	YCR065W	augustus_masked-NODE_7_length_639868_cov_21.9189_ID_13-processed-gene-1.27-mRNA-1_1&gene=augustus_masked-NODE_7_length_639868_cov_21.9189_ID_13-processed-gene-1.27&CDS=1-1527
OG0000771	YCR066W	snap_masked-NODE_9_length_597890_cov_22.9962_ID_17-processed-gene-4.167-mRNA-1_1&gene=snap_masked-NODE_9_length_597890_cov_22.9962_ID_17-processed-gene-4.167&CDS=1-1182
OG0000772	YCR068W	snap_masked-NODE_9_length_597890_cov_22.9962_ID_17-processed-gene-4.137-mRNA-1_1&gene=snap_masked-NODE_9_length_597890_cov_22.9962_ID_17-processed-gene-4.137&CDS=1-1854
OG0000773	YCR071C	snap_masked-NODE_1_length_1198608_cov_23.6179_ID_1-processed-gene-10.210-mRNA-1_1&gene=snap_masked-NODE_1_length_1198608_cov_23.6179_ID_1-processed-gene-10.210&CDS=1-351
OG0000774	YCR072C	snap_masked-NODE_6_length_681199_cov_20.8158_ID_11-processed-gene-4.22-mRNA-1_1&gene=snap_masked-NODE_6_length_681199_cov_20.8158_ID_11-processed-gene-4.22&CDS=1-1542
OG0000775	YCR077C	snap_masked-NODE_1_length_1198608_cov_23.6179_ID_1-processed-gene-10.212-mRNA-1_1&gene=snap_masked-NODE_1_length_1198608_cov_23.6179_ID_1-processed-gene-10.212&CDS=1-2430
OG0000776	YCR079W	genemark-NODE_4_length_844464_cov_24.6742_ID_7-processed-gene-2.118-mRNA-1_1&gene=genemark-NODE_4_length_844464_cov_24.6742_ID_7-processed-gene-2.118&CDS=1-1389
OG0000777	YCR081W	snap_masked-NODE_1_length_1198608_cov_23.6179_ID_1-processed-gene-10.168-mRNA-1_1&gene=snap_masked-NODE_1_length_1198608_cov_23.6179_ID_1-processed-gene-10.168&CDS=1-4632
OG0000778	YCR084C	snap_masked-NODE_11_length_576536_cov_25.4156_ID_21-processed-gene-0.44-mRNA-1_1&gene=snap_masked-NODE_11_length_576536_cov_25.4156_ID_21-processed-gene-0.44&CDS=1-2001
OG0000779	YCR086W	snap_masked-NODE_1_length_1198608_cov_23.6179_ID_1-processed-gene-0.63-mRNA-1_1&gene=snap_masked-NODE_1_length_1198608_cov_23.6179_ID_1-processed-gene-0.63&CDS=1-960
OG0000780	YCR087C-A	snap_masked-NODE_1_length_1198608_cov_23.6179_ID_1-processed-gene-0.47-mRNA-1_1&gene=snap_masked-NODE_1_length_1198608_cov_23.6179_ID_1-processed-gene-0.47&CDS=1-480
OG0000781	YCR088W	snap_masked-NODE_6_length_681199_cov_20.8158_ID_11-processed-gene-2.20-mRNA-1_1&gene=snap_masked-NODE_6_length_681199_cov_20.8158_ID_11-processed-gene-2.20&CDS=1-1968
OG0000782	YCR090C	snap_masked-NODE_3_length_909521_cov_21.0721_ID_5-processed-gene-3.39-mRNA-1_1&gene=snap_masked-NODE_3_length_909521_cov_21.0721_ID_5-processed-gene-3.39&CDS=1-480
OG0000783	YCR092C	snap_masked-NODE_1_length_1198608_cov_23.6179_ID_1-processed-gene-1.106-mRNA-1_1&gene=snap_masked-NODE_1_length_1198608_cov_23.6179_ID_1-processed-gene-1.106&CDS=1-2556
OG0000784	YCR093W	snap_masked-NODE_13_length_550700_cov_25.1861_ID_25-processed-gene-3.24-mRNA-1_1&gene=snap_masked-NODE_13_length_550700_cov_25.1861_ID_25-processed-gene-3.24&CDS=1-6468
OG0000785	YCR095C	snap_masked-NODE_7_length_639868_cov_21.9189_ID_13-processed-gene-1.35-mRNA-1_1&gene=snap_masked-NODE_7_length_639868_cov_21.9189_ID_13-processed-gene-1.35&CDS=1-1176
OG0000786	YCR098C	augustus_masked-NODE_18_length_250478_cov_22.7918_ID_35-processed-gene-0.89-mRNA-1_1&gene=augustus_masked-NODE_18_length_250478_cov_22.7918_ID_35-processed-gene-0.89&CDS=1-1539
OG0000787	YDL001W	snap_masked-NODE_1_length_1198608_cov_23.6179_ID_1-processed-gene-10.217-mRNA-1_1&gene=snap_masked-NODE_1_length_1198608_cov_23.6179_ID_1-processed-gene-10.217&CDS=1-1284
OG0000788	YDL002C	snap_masked-NODE_1_length_1198608_cov_23.6179_ID_1-processed-gene-10.218-mRNA-1_1&gene=snap_masked-NODE_1_length_1198608_cov_23.6179_ID_1-processed-gene-10.218&CDS=1-819
OG0000789	YDL003W	snap_masked-NODE_1_length_1198608_cov_23.6179_ID_1-processed-gene-0.54-mRNA-1_1&gene=snap_masked-NODE_1_length_1198608_cov_23.6179_ID_1-processed-gene-0.54&CDS=1-1548
OG0000790	YDL004W	snap_masked-NODE_1_length_1198608_cov_23.6179_ID_1-processed-gene-0.79-mRNA-1_1&gene=snap_masked-NODE_1_length_1198608_cov_23.6179_ID_1-processed-gene-0.79&CDS=1-480
OG0000791	YDL006W	snap_masked-NODE_4_length_844464_cov_24.6742_ID_7-processed-gene-0.83-mRNA-1_1&gene=snap_masked-NODE_4_length_844464_cov_24.6742_ID_7-processed-gene-0.83&CDS=1-999
OG0000792	YDL007W	genemark-NODE_12_length_557510_cov_24.799_ID_23-processed-gene-3.35-mRNA-1_1&gene=genemark-NODE_12_length_557510_cov_24.799_ID_23-processed-gene-3.35&CDS=1-1296
OG0000793	YDL008W	snap_masked-NODE_1_length_1198608_cov_23.6179_ID_1-processed-gene-0.51-mRNA-1_1&gene=snap_masked-NODE_1_length_1198608_cov_23.6179_ID_1-processed-gene-0.51&CDS=1-408
OG0000794	YDL013W	snap_masked-NODE_2_length_1144711_cov_23.956_ID_3-processed-gene-0.30-mRNA-1_1&gene=snap_masked-NODE_2_length_1144711_cov_23.956_ID_3-processed-gene-0.30&CDS=1-1140
OG0000795	YDL014W	snap_masked-NODE_2_length_1144711_cov_23.956_ID_3-processed-gene-0.29-mRNA-1_1&gene=snap_masked-NODE_2_length_1144711_cov_23.956_ID_3-processed-gene-0.29&CDS=1-957
OG0000796	YDL015C	snap_masked-NODE_29_length_90500_cov_21.8775_ID_57-processed-gene-0.56-mRNA-1_1&gene=snap_masked-NODE_29_length_90500_cov_21.8775_ID_57-processed-gene-0.56&CDS=1-957
OG0000797	YDL017W	augustus_masked-NODE_3_length_909521_cov_21.0721_ID_5-processed-gene-7.87-mRNA-1_1&gene=augustus_masked-NODE_3_length_909521_cov_21.0721_ID_5-processed-gene-7.87&CDS=1-2046
OG0000798	YDL018C	snap_masked-NODE_3_length_909521_cov_21.0721_ID_5-processed-gene-7.10-mRNA-1_1&gene=snap_masked-NODE_3_length_909521_cov_21.0721_ID_5-processed-gene-7.10&CDS=1-633
OG0000799	YDL028C	snap_masked-NODE_8_length_627978_cov_22.2355_ID_15-processed-gene-4.73-mRNA-1_1&gene=snap_masked-NODE_8_length_627978_cov_22.2355_ID_15-processed-gene-4.73&CDS=1-2352
OG0000800	YDL029W	snap_masked-NODE_8_length_627978_cov_22.2355_ID_15-processed-gene-4.52-mRNA-1_1&gene=snap_masked-NODE_8_length_627978_cov_22.2355_ID_15-processed-gene-4.52&CDS=1-1173
OG0000801	YDL030W	snap_masked-NODE_1_length_1198608_cov_23.6179_ID_1-processed-gene-4.95-mRNA-1_1&gene=snap_masked-NODE_1_length_1198608_cov_23.6179_ID_1-processed-gene-4.95&CDS=1-1404
OG0000802	YDL031W	snap_masked-NODE_12_length_557510_cov_24.799_ID_23-processed-gene-2.74-mRNA-1_1&gene=snap_masked-NODE_12_length_557510_cov_24.799_ID_23-processed-gene-2.74&CDS=1-2733
OG0000803	YDL033C	augustus_masked-NODE_11_length_576536_cov_25.4156_ID_21-processed-gene-3.101-mRNA-1_1&gene=augustus_masked-NODE_11_length_576536_cov_25.4156_ID_21-processed-gene-3.101&CDS=1-1551
OG0000804	YDL035C	snap_masked-NODE_1_length_1198608_cov_23.6179_ID_1-processed-gene-5.73-mRNA-1_1&gene=snap_masked-NODE_1_length_1198608_cov_23.6179_ID_1-processed-gene-5.73&CDS=1-2022
OG0000805	YDL040C	snap_masked-NODE_1_length_1198608_cov_23.6179_ID_1-processed-gene-4.98-mRNA-1_1&gene=snap_masked-NODE_1_length_1198608_cov_23.6179_ID_1-processed-gene-4.98&CDS=1-2262
OG0000806	YDL043C	snap_masked-NODE_23_length_171378_cov_22.7045_ID_45-processed-gene-0.112-mRNA-1_1&gene=snap_masked-NODE_23_length_171378_cov_22.7045_ID_45-processed-gene-0.112&CDS=1-696
OG0000807	YDL045C	snap_masked-NODE_4_length_844464_cov_24.6742_ID_7-processed-gene-7.154-mRNA-1_1&gene=snap_masked-NODE_4_length_844464_cov_24.6742_ID_7-processed-gene-7.154&CDS=1-894
OG0000808	YDL045W-A	augustus_masked-NODE_1_length_1198608_cov_23.6179_ID_1-processed-gene-6.97-mRNA-1_1&gene=augustus_masked-NODE_1_length_1198608_cov_23.6179_ID_1-processed-gene-6.97&CDS=1-3324
OG0000809	YDL046W	snap_masked-NODE_15_length_493248_cov_25.9769_ID_29-processed-gene-2.89-mRNA-1_1&gene=snap_masked-NODE_15_length_493248_cov_25.9769_ID_29-processed-gene-2.89&CDS=1-573
OG0000810	YDL047W	snap_masked-NODE_14_length_538558_cov_20.8153_ID_27-processed-gene-0.8-mRNA-1_1&gene=snap_masked-NODE_14_length_538558_cov_20.8153_ID_27-processed-gene-0.8&CDS=1-942
OG0000811	YDL051W	snap_masked-NODE_10_length_597822_cov_24.9532_ID_19-processed-gene-1.83-mRNA-1_1&gene=snap_masked-NODE_10_length_597822_cov_24.9532_ID_19-processed-gene-1.83&CDS=1-828
OG0000812	YDL052C	augustus_masked-NODE_14_length_538558_cov_20.8153_ID_27-processed-gene-4.52-mRNA-1_1&gene=augustus_masked-NODE_14_length_538558_cov_20.8153_ID_27-processed-gene-4.52&CDS=1-894
OG0000813	YDL054C	augustus_masked-NODE_3_length_909521_cov_21.0721_ID_5-processed-gene-5.3-mRNA-1_1&gene=augustus_masked-NODE_3_length_909521_cov_21.0721_ID_5-processed-gene-5.3&CDS=1-1422
OG0000814	YDL055C	snap_masked-NODE_3_length_909521_cov_21.0721_ID_5-processed-gene-5.85-mRNA-1_1&gene=snap_masked-NODE_3_length_909521_cov_21.0721_ID_5-processed-gene-5.85&CDS=1-1086
OG0000815	YDL057W	snap_masked-NODE_14_length_538558_cov_20.8153_ID_27-processed-gene-1.69-mRNA-1_1&gene=snap_masked-NODE_14_length_538558_cov_20.8153_ID_27-processed-gene-1.69&CDS=1-1917
OG0000816	YDL058W	snap_masked-NODE_1_length_1198608_cov_23.6179_ID_1-processed-gene-10.214-mRNA-1_1&gene=snap_masked-NODE_1_length_1198608_cov_23.6179_ID_1-processed-gene-10.214&CDS=1-7254
OG0000817	YDL059C	augustus_masked-NODE_1_length_1198608_cov_23.6179_ID_1-processed-gene-10.10-mRNA-1_1&gene=augustus_masked-NODE_1_length_1198608_cov_23.6179_ID_1-processed-gene-10.10&CDS=1-558
OG0000818	YDL060W	snap_masked-NODE_2_length_1144711_cov_23.956_ID_3-processed-gene-5.47-mRNA-1_1&gene=snap_masked-NODE_2_length_1144711_cov_23.956_ID_3-processed-gene-5.47&CDS=1-2301
OG0000819	YDL063C	snap_masked-NODE_2_length_1144711_cov_23.956_ID_3-processed-gene-5.46-mRNA-1_1&gene=snap_masked-NODE_2_length_1144711_cov_23.956_ID_3-processed-gene-5.46&CDS=1-1782
