	Saccharomyces_cerevisiae	yHMPu5000035665_Middelhovenomyces_tepae
OG0000114	Q0045, Q0065, Q0070	maker-NODE_22_length_44535_cov_696.514_ID_4150-snap-gene-0.40-mRNA-1_1&gene=maker-NODE_22_length_44535_cov_696.514_ID_4150-snap-gene-0.40&CDS=1-306
OG0000115	YAL007C, YOR016C	genemark-NODE_10_length_765085_cov_24.1526_ID_2370-processed-gene-4.125-mRNA-1_1&gene=genemark-NODE_10_length_765085_cov_24.1526_ID_2370-processed-gene-4.125&CDS=1-624
OG0000116	YAL015C, YOL043C	genemark-NODE_8_length_986125_cov_23.6789_ID_1757-processed-gene-8.111-mRNA-1_1&gene=genemark-NODE_8_length_986125_cov_23.6789_ID_1757-processed-gene-8.111&CDS=1-1083
OG0000117	YAL017W, YOL045W	genemark-NODE_2_length_1239734_cov_23.249_ID_1403-processed-gene-5.48-mRNA-1_1&gene=genemark-NODE_2_length_1239734_cov_23.249_ID_1403-processed-gene-5.48&CDS=1-3198
OG0000118	YAL034C, YOR338W	genemark-NODE_9_length_851872_cov_23.7286_ID_1923-processed-gene-7.75-mRNA-1_1&gene=genemark-NODE_9_length_851872_cov_23.7286_ID_1923-processed-gene-7.75&CDS=1-1446
OG0000119	YAL049C	genemark-NODE_4_length_1208358_cov_23.5021_ID_1139-processed-gene-6.57-mRNA-1_1&gene=genemark-NODE_4_length_1208358_cov_23.5021_ID_1139-processed-gene-6.57&CDS=1-741, genemark-NODE_6_length_1060276_cov_25.4502_ID_2229-processed-gene-4.85-mRNA-1_1&gene=genemark-NODE_6_length_1060276_cov_25.4502_ID_2229-processed-gene-4.85&CDS=1-741
OG0000120	YAR002C-A, YGL002W	genemark-NODE_11_length_694907_cov_23.5408_ID_3019-processed-gene-3.72-mRNA-1_1&gene=genemark-NODE_11_length_694907_cov_23.5408_ID_3019-processed-gene-3.72&CDS=1-642
OG0000121	YBL002W, YDR224C	genemark-NODE_11_length_694907_cov_23.5408_ID_3019-processed-gene-5.186-mRNA-1_1&gene=genemark-NODE_11_length_694907_cov_23.5408_ID_3019-processed-gene-5.186&CDS=1-411
OG0000122	YBL009W, YGL021W	genemark-NODE_2_length_1239734_cov_23.249_ID_1403-processed-gene-9.145-mRNA-1_1&gene=genemark-NODE_2_length_1239734_cov_23.249_ID_1403-processed-gene-9.145&CDS=1-2355
OG0000123	YBL027W, YBR084C-A	augustus_masked-NODE_1_length_1691314_cov_23.5033_ID_3491-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-NODE_1_length_1691314_cov_23.5033_ID_3491-processed-gene-0.27&CDS=1-588
OG0000124	YBL043W, YJR115W	snap_masked-NODE_6_length_1060276_cov_25.4502_ID_2229-processed-gene-3.0-mRNA-1_1&gene=snap_masked-NODE_6_length_1060276_cov_25.4502_ID_2229-processed-gene-3.0&CDS=1-720
OG0000125	YBL056W, YER089C	genemark-NODE_11_length_694907_cov_23.5408_ID_3019-processed-gene-4.106-mRNA-1_1&gene=genemark-NODE_11_length_694907_cov_23.5408_ID_3019-processed-gene-4.106&CDS=1-1239
OG0000126	YBL067C, YER098W	genemark-NODE_10_length_765085_cov_24.1526_ID_2370-processed-gene-2.56-mRNA-1_1&gene=genemark-NODE_10_length_765085_cov_24.1526_ID_2370-processed-gene-2.56&CDS=1-1929
OG0000127	YBL072C, YER102W	genemark-NODE_14_length_356149_cov_25.4901_ID_2492-processed-gene-2.91-mRNA-1_1&gene=genemark-NODE_14_length_356149_cov_25.4901_ID_2492-processed-gene-2.91&CDS=1-612
OG0000128	YBL079W, YER105C	genemark-NODE_19_length_184328_cov_26.1845_ID_2662-processed-gene-0.136-mRNA-1_1&gene=genemark-NODE_19_length_184328_cov_26.1845_ID_2662-processed-gene-0.136&CDS=1-4101
OG0000129	YBL085W, YER114C	maker-NODE_1_length_1691314_cov_23.5033_ID_3491-augustus-gene-1.154-mRNA-1_1&gene=maker-NODE_1_length_1691314_cov_23.5033_ID_3491-augustus-gene-1.154&CDS=1-2613
OG0000130	YBL087C, YER117W	genemark-NODE_1_length_1691314_cov_23.5033_ID_3491-processed-gene-0.73-mRNA-1_1&gene=genemark-NODE_1_length_1691314_cov_23.5033_ID_3491-processed-gene-0.73&CDS=1-414
OG0000131	YBL089W, YER119C	genemark-NODE_15_length_310466_cov_23.5083_ID_2788-processed-gene-1.59-mRNA-1_1&gene=genemark-NODE_15_length_310466_cov_23.5083_ID_2788-processed-gene-1.59&CDS=1-1443
OG0000132	YBL106C, YPR032W	genemark-NODE_1_length_1691314_cov_23.5033_ID_3491-processed-gene-11.98-mRNA-1_1&gene=genemark-NODE_1_length_1691314_cov_23.5033_ID_3491-processed-gene-11.98&CDS=1-2913
OG0000133	YBR001C, YDR001C	augustus_masked-NODE_21_length_104181_cov_26.4888_ID_2982-processed-gene-0.109-mRNA-1_1&gene=augustus_masked-NODE_21_length_104181_cov_26.4888_ID_2982-processed-gene-0.109&CDS=1-2250
OG0000134	YBR002C	genemark-NODE_13_length_356436_cov_25.4749_ID_1823-processed-gene-1.79-mRNA-1_1&gene=genemark-NODE_13_length_356436_cov_25.4749_ID_1823-processed-gene-1.79&CDS=1-909, genemark-NODE_6_length_1060276_cov_25.4502_ID_2229-processed-gene-7.78-mRNA-1_1&gene=genemark-NODE_6_length_1060276_cov_25.4502_ID_2229-processed-gene-7.78&CDS=1-825
OG0000135	YBR005W, YDR003W	genemark-NODE_8_length_986125_cov_23.6789_ID_1757-processed-gene-1.81-mRNA-1_1&gene=genemark-NODE_8_length_986125_cov_23.6789_ID_1757-processed-gene-1.81&CDS=1-561
OG0000136	YBR006W	genemark-NODE_13_length_356436_cov_25.4749_ID_1823-processed-gene-0.60-mRNA-1_1&gene=genemark-NODE_13_length_356436_cov_25.4749_ID_1823-processed-gene-0.60&CDS=1-1482, genemark-NODE_1_length_1691314_cov_23.5033_ID_3491-processed-gene-15.285-mRNA-1_1&gene=genemark-NODE_1_length_1691314_cov_23.5033_ID_3491-processed-gene-15.285&CDS=1-1488
OG0000137	YBR007C	genemark-NODE_3_length_1219547_cov_23.6558_ID_2013-processed-gene-9.55-mRNA-1_1&gene=genemark-NODE_3_length_1219547_cov_23.6558_ID_2013-processed-gene-9.55&CDS=1-948, genemark-NODE_9_length_851872_cov_23.7286_ID_1923-processed-gene-2.30-mRNA-1_1&gene=genemark-NODE_9_length_851872_cov_23.7286_ID_1923-processed-gene-2.30&CDS=1-1062
OG0000138	YBR010W, YNL031C	genemark-NODE_5_length_1193255_cov_22.3319_ID_1222-processed-gene-0.71-mRNA-1_1&gene=genemark-NODE_5_length_1193255_cov_22.3319_ID_1222-processed-gene-0.71&CDS=1-420
OG0000139	YBR020W, YDR009W	genemark-NODE_3_length_1219547_cov_23.6558_ID_2013-processed-gene-2.42-mRNA-1_1&gene=genemark-NODE_3_length_1219547_cov_23.6558_ID_2013-processed-gene-2.42&CDS=1-1632
OG0000140	YBR021W, YIR028W	genemark-NODE_1_length_1691314_cov_23.5033_ID_3491-processed-gene-9.106-mRNA-1_1&gene=genemark-NODE_1_length_1691314_cov_23.5033_ID_3491-processed-gene-9.106&CDS=1-1659
OG0000141	YBR031W, YDR012W	genemark-NODE_7_length_1040589_cov_22.9083_ID_1654-processed-gene-2.66-mRNA-1_1&gene=genemark-NODE_7_length_1040589_cov_22.9083_ID_1654-processed-gene-2.66&CDS=1-1092
OG0000142	YBR048W, YDR025W	genemark-NODE_21_length_104181_cov_26.4888_ID_2982-processed-gene-0.26-mRNA-1_1&gene=genemark-NODE_21_length_104181_cov_26.4888_ID_2982-processed-gene-0.26&CDS=1-468
OG0000143	YBR066C, YDR043C	genemark-NODE_2_length_1239734_cov_23.249_ID_1403-processed-gene-8.41-mRNA-1_1&gene=genemark-NODE_2_length_1239734_cov_23.249_ID_1403-processed-gene-8.41&CDS=1-1200
OG0000144	YBR078W, YDR055W	genemark-NODE_6_length_1060276_cov_25.4502_ID_2229-processed-gene-9.81-mRNA-1_1&gene=genemark-NODE_6_length_1060276_cov_25.4502_ID_2229-processed-gene-9.81&CDS=1-1200
OG0000145	YBR084W	augustus_masked-NODE_4_length_1208358_cov_23.5021_ID_1139-processed-gene-7.105-mRNA-1_1&gene=augustus_masked-NODE_4_length_1208358_cov_23.5021_ID_1139-processed-gene-7.105&CDS=1-2943, genemark-NODE_7_length_1040589_cov_22.9083_ID_1654-processed-gene-9.109-mRNA-1_1&gene=genemark-NODE_7_length_1040589_cov_22.9083_ID_1654-processed-gene-9.109&CDS=1-2820
OG0000146	YBR089C-A, YPR052C	genemark-NODE_6_length_1060276_cov_25.4502_ID_2229-processed-gene-3.52-mRNA-1_1&gene=genemark-NODE_6_length_1060276_cov_25.4502_ID_2229-processed-gene-3.52&CDS=1-306
OG0000147	YBR104W, YPR058W	genemark-NODE_9_length_851872_cov_23.7286_ID_1923-processed-gene-4.53-mRNA-1_1&gene=genemark-NODE_9_length_851872_cov_23.7286_ID_1923-processed-gene-4.53&CDS=1-927
OG0000148	YBR118W, YPR080W	augustus_masked-NODE_5_length_1193255_cov_22.3319_ID_1222-processed-gene-6.27-mRNA-1_1&gene=augustus_masked-NODE_5_length_1193255_cov_22.3319_ID_1222-processed-gene-6.27&CDS=1-1377
OG0000149	YBR140C, YOL081W	snap_masked-NODE_5_length_1193255_cov_22.3319_ID_1222-processed-gene-10.27-mRNA-1_1&gene=snap_masked-NODE_5_length_1193255_cov_22.3319_ID_1222-processed-gene-10.27&CDS=1-8382
OG0000150	YBR161W, YPL057C	genemark-NODE_7_length_1040589_cov_22.9083_ID_1654-processed-gene-9.122-mRNA-1_1&gene=genemark-NODE_7_length_1040589_cov_22.9083_ID_1654-processed-gene-9.122&CDS=1-1035
OG0000151	YBR169C, YPL106C	genemark-NODE_7_length_1040589_cov_22.9083_ID_1654-processed-gene-0.59-mRNA-1_1&gene=genemark-NODE_7_length_1040589_cov_22.9083_ID_1654-processed-gene-0.59&CDS=1-2118
OG0000152	YBR172C, YPL105C	maker-NODE_7_length_1040589_cov_22.9083_ID_1654-snap-gene-0.82-mRNA-1_1&gene=maker-NODE_7_length_1040589_cov_22.9083_ID_1654-snap-gene-0.82&CDS=1-2586
OG0000153	YBR175W, YMR146C	genemark-NODE_5_length_1193255_cov_22.3319_ID_1222-processed-gene-2.90-mRNA-1_1&gene=genemark-NODE_5_length_1193255_cov_22.3319_ID_1222-processed-gene-2.90&CDS=1-1014
OG0000154	YBR181C, YPL090C	genemark-NODE_12_length_626086_cov_24.2041_ID_1287-processed-gene-1.106-mRNA-1_1&gene=genemark-NODE_12_length_626086_cov_24.2041_ID_1287-processed-gene-1.106&CDS=1-723
OG0000155	YBR183W, YPL087W	maker-NODE_2_length_1239734_cov_23.249_ID_1403-augustus-gene-9.54-mRNA-1_1&gene=maker-NODE_2_length_1239734_cov_23.249_ID_1403-augustus-gene-9.54&CDS=1-882
OG0000156	YBR189W, YPL081W	maker-NODE_11_length_694907_cov_23.5408_ID_3019-snap-gene-5.181-mRNA-1_1&gene=maker-NODE_11_length_694907_cov_23.5408_ID_3019-snap-gene-5.181&CDS=1-1044
OG0000157	YBR197C, YPL077C	genemark-NODE_2_length_1239734_cov_23.249_ID_1403-processed-gene-9.124-mRNA-1_1&gene=genemark-NODE_2_length_1239734_cov_23.249_ID_1403-processed-gene-9.124&CDS=1-789
OG0000158	YBR199W	augustus_masked-NODE_9_length_851872_cov_23.7286_ID_1923-processed-gene-7.187-mRNA-1_1&gene=augustus_masked-NODE_9_length_851872_cov_23.7286_ID_1923-processed-gene-7.187&CDS=1-1155, genemark-NODE_4_length_1208358_cov_23.5021_ID_1139-processed-gene-3.6-mRNA-1_1&gene=genemark-NODE_4_length_1208358_cov_23.5021_ID_1139-processed-gene-3.6&CDS=1-1380
OG0000159	YBR214W, YGL056C	genemark-NODE_5_length_1193255_cov_22.3319_ID_1222-processed-gene-2.86-mRNA-1_1&gene=genemark-NODE_5_length_1193255_cov_22.3319_ID_1222-processed-gene-2.86&CDS=1-1431
OG0000160	YBR216C, YGL060W	maker-NODE_4_length_1208358_cov_23.5021_ID_1139-snap-gene-7.95-mRNA-1_1&gene=maker-NODE_4_length_1208358_cov_23.5021_ID_1139-snap-gene-7.95&CDS=1-1845
OG0000161	YBR238C, YGL107C	augustus_masked-NODE_7_length_1040589_cov_22.9083_ID_1654-processed-gene-3.81-mRNA-1_1&gene=augustus_masked-NODE_7_length_1040589_cov_22.9083_ID_1654-processed-gene-3.81&CDS=1-2382
OG0000162	YBR239C	augustus_masked-NODE_7_length_1040589_cov_22.9083_ID_1654-processed-gene-0.102-mRNA-1_1&gene=augustus_masked-NODE_7_length_1040589_cov_22.9083_ID_1654-processed-gene-0.102&CDS=1-1533, genemark-NODE_7_length_1040589_cov_22.9083_ID_1654-processed-gene-3.5-mRNA-1_1&gene=genemark-NODE_7_length_1040589_cov_22.9083_ID_1654-processed-gene-3.5&CDS=1-1656
OG0000163	YBR241C, YGL104C	maker-NODE_12_length_626086_cov_24.2041_ID_1287-snap-gene-1.42-mRNA-1_1&gene=maker-NODE_12_length_626086_cov_24.2041_ID_1287-snap-gene-1.42&CDS=1-1356
OG0000164	YBR242W, YGL101W	maker-NODE_12_length_626086_cov_24.2041_ID_1287-augustus-gene-2.52-mRNA-1_1&gene=maker-NODE_12_length_626086_cov_24.2041_ID_1287-augustus-gene-2.52&CDS=1-654
OG0000165	YBR270C, YJL058C	genemark-NODE_2_length_1239734_cov_23.249_ID_1403-processed-gene-7.59-mRNA-1_1&gene=genemark-NODE_2_length_1239734_cov_23.249_ID_1403-processed-gene-7.59&CDS=1-1539
OG0000166	YBR273C, YJL048C	genemark-NODE_9_length_851872_cov_23.7286_ID_1923-processed-gene-7.123-mRNA-1_1&gene=genemark-NODE_9_length_851872_cov_23.7286_ID_1923-processed-gene-7.123&CDS=1-1560
OG0000167	YBR294W, YLR092W	genemark-NODE_1_length_1691314_cov_23.5033_ID_3491-processed-gene-14.108-mRNA-1_1&gene=genemark-NODE_1_length_1691314_cov_23.5033_ID_3491-processed-gene-14.108&CDS=1-2535
OG0000168	YCL011C, YNL004W	genemark-NODE_9_length_851872_cov_23.7286_ID_1923-processed-gene-5.75-mRNA-1_1&gene=genemark-NODE_9_length_851872_cov_23.7286_ID_1923-processed-gene-5.75&CDS=1-1230
OG0000169	YCL024W, YDR507C	genemark-NODE_8_length_986125_cov_23.6789_ID_1757-processed-gene-3.95-mRNA-1_1&gene=genemark-NODE_8_length_986125_cov_23.6789_ID_1757-processed-gene-3.95&CDS=1-3645
OG0000170	YCL036W, YDR514C	snap_masked-NODE_17_length_270480_cov_22.9934_ID_2193-processed-gene-1.1-mRNA-1_1&gene=snap_masked-NODE_17_length_270480_cov_22.9934_ID_2193-processed-gene-1.1&CDS=1-1023
OG0000171	YCL037C, YDR515W	genemark-NODE_7_length_1040589_cov_22.9083_ID_1654-processed-gene-3.13-mRNA-1_1&gene=genemark-NODE_7_length_1040589_cov_22.9083_ID_1654-processed-gene-3.13&CDS=1-1953
OG0000172	YCL039W	genemark-NODE_4_length_1208358_cov_23.5021_ID_1139-processed-gene-5.65-mRNA-1_1&gene=genemark-NODE_4_length_1208358_cov_23.5021_ID_1139-processed-gene-5.65&CDS=1-1617, genemark-NODE_8_length_986125_cov_23.6789_ID_1757-processed-gene-8.102-mRNA-1_1&gene=genemark-NODE_8_length_986125_cov_23.6789_ID_1757-processed-gene-8.102&CDS=1-1020
OG0000173	YCL050C, YDR530C	genemark-NODE_15_length_310466_cov_23.5083_ID_2788-processed-gene-1.92-mRNA-1_1&gene=genemark-NODE_15_length_310466_cov_23.5083_ID_2788-processed-gene-1.92&CDS=1-954
OG0000174	YCR008W	genemark-NODE_12_length_626086_cov_24.2041_ID_1287-processed-gene-4.15-mRNA-1_1&gene=genemark-NODE_12_length_626086_cov_24.2041_ID_1287-processed-gene-4.15&CDS=1-1494, genemark-NODE_13_length_356436_cov_25.4749_ID_1823-processed-gene-0.62-mRNA-1_1&gene=genemark-NODE_13_length_356436_cov_25.4749_ID_1823-processed-gene-0.62&CDS=1-1713
OG0000175	YCR027C	genemark-NODE_4_length_1208358_cov_23.5021_ID_1139-processed-gene-5.106-mRNA-1_1&gene=genemark-NODE_4_length_1208358_cov_23.5021_ID_1139-processed-gene-5.106&CDS=1-555, genemark-NODE_8_length_986125_cov_23.6789_ID_1757-processed-gene-4.22-mRNA-1_1&gene=genemark-NODE_8_length_986125_cov_23.6789_ID_1757-processed-gene-4.22&CDS=1-555
OG0000176	YCR028C	genemark-NODE_10_length_765085_cov_24.1526_ID_2370-processed-gene-0.101-mRNA-1_1&gene=genemark-NODE_10_length_765085_cov_24.1526_ID_2370-processed-gene-0.101&CDS=1-1566, genemark-NODE_11_length_694907_cov_23.5408_ID_3019-processed-gene-2.26-mRNA-1_1&gene=genemark-NODE_11_length_694907_cov_23.5408_ID_3019-processed-gene-2.26&CDS=1-1548
OG0000177	YCR031C, YJL191W	genemark-NODE_8_length_986125_cov_23.6789_ID_1757-processed-gene-6.92-mRNA-1_1&gene=genemark-NODE_8_length_986125_cov_23.6789_ID_1757-processed-gene-6.92&CDS=1-435
OG0000178	YCR045C	genemark-NODE_2_length_1239734_cov_23.249_ID_1403-processed-gene-0.58-mRNA-1_1&gene=genemark-NODE_2_length_1239734_cov_23.249_ID_1403-processed-gene-0.58&CDS=1-1134, genemark-NODE_8_length_986125_cov_23.6789_ID_1757-processed-gene-2.3-mRNA-1_1&gene=genemark-NODE_8_length_986125_cov_23.6789_ID_1757-processed-gene-2.3&CDS=1-1239
OG0000179	YCR067C, YNR026C	genemark-NODE_8_length_986125_cov_23.6789_ID_1757-processed-gene-2.6-mRNA-1_1&gene=genemark-NODE_8_length_986125_cov_23.6789_ID_1757-processed-gene-2.6&CDS=1-1680
OG0000180	YCR073C, YNR031C	genemark-NODE_16_length_288003_cov_22.4727_ID_2322-processed-gene-1.167-mRNA-1_1&gene=genemark-NODE_16_length_288003_cov_22.4727_ID_2322-processed-gene-1.167&CDS=1-3855
OG0000181	YDL022W, YOL059W	genemark-NODE_6_length_1060276_cov_25.4502_ID_2229-processed-gene-8.77-mRNA-1_1&gene=genemark-NODE_6_length_1060276_cov_25.4502_ID_2229-processed-gene-8.77&CDS=1-1149
OG0000182	YDL035C	genemark-NODE_13_length_356436_cov_25.4749_ID_1823-processed-gene-2.174-mRNA-1_1&gene=genemark-NODE_13_length_356436_cov_25.4749_ID_1823-processed-gene-2.174&CDS=1-1563, genemark-NODE_5_length_1193255_cov_22.3319_ID_1222-processed-gene-3.146-mRNA-1_1&gene=genemark-NODE_5_length_1193255_cov_22.3319_ID_1222-processed-gene-3.146&CDS=1-1620
OG0000183	YDL042C, YOL068C	genemark-NODE_5_length_1193255_cov_22.3319_ID_1222-processed-gene-5.52-mRNA-1_1&gene=genemark-NODE_5_length_1193255_cov_22.3319_ID_1222-processed-gene-5.52&CDS=1-1893
OG0000184	YDL048C, YLR375W	genemark-NODE_5_length_1193255_cov_22.3319_ID_1222-processed-gene-9.52-mRNA-1_1&gene=genemark-NODE_5_length_1193255_cov_22.3319_ID_1222-processed-gene-9.52&CDS=1-1158
OG0000185	YDL049C, YJL174W	genemark-NODE_10_length_765085_cov_24.1526_ID_2370-processed-gene-4.127-mRNA-1_1&gene=genemark-NODE_10_length_765085_cov_24.1526_ID_2370-processed-gene-4.127&CDS=1-807
OG0000186	YDL057W	augustus_masked-NODE_3_length_1219547_cov_23.6558_ID_2013-processed-gene-11.69-mRNA-1_1&gene=augustus_masked-NODE_3_length_1219547_cov_23.6558_ID_2013-processed-gene-11.69&CDS=1-1005, genemark-NODE_4_length_1208358_cov_23.5021_ID_1139-processed-gene-11.62-mRNA-1_1&gene=genemark-NODE_4_length_1208358_cov_23.5021_ID_1139-processed-gene-11.62&CDS=1-1764
OG0000187	YDL061C, YLR388W	genemark-NODE_12_length_626086_cov_24.2041_ID_1287-processed-gene-1.92-mRNA-1_1&gene=genemark-NODE_12_length_626086_cov_24.2041_ID_1287-processed-gene-1.92&CDS=1-168
OG0000188	YDL075W, YLR406C	maker-NODE_1_length_1691314_cov_23.5033_ID_3491-augustus-gene-11.59-mRNA-1_1&gene=maker-NODE_1_length_1691314_cov_23.5033_ID_3491-augustus-gene-11.59&CDS=1-363
OG0000189	YDL082W, YMR142C	genemark-NODE_17_length_270480_cov_22.9934_ID_2193-processed-gene-0.85-mRNA-1_1&gene=genemark-NODE_17_length_270480_cov_22.9934_ID_2193-processed-gene-0.85&CDS=1-633
OG0000190	YDL083C, YMR143W	genemark-NODE_1_length_1691314_cov_23.5033_ID_3491-processed-gene-11.84-mRNA-1_1&gene=genemark-NODE_1_length_1691314_cov_23.5033_ID_3491-processed-gene-11.84&CDS=1-441
OG0000191	YDL085W, YMR145C	maker-NODE_11_length_694907_cov_23.5408_ID_3019-snap-gene-4.43-mRNA-1_1&gene=maker-NODE_11_length_694907_cov_23.5408_ID_3019-snap-gene-4.43&CDS=1-3273
OG0000192	YDL109C, YGL144C	genemark-NODE_6_length_1060276_cov_25.4502_ID_2229-processed-gene-9.120-mRNA-1_1&gene=genemark-NODE_6_length_1060276_cov_25.4502_ID_2229-processed-gene-9.120&CDS=1-2379
OG0000193	YDL114W	genemark-NODE_4_length_1208358_cov_23.5021_ID_1139-processed-gene-8.64-mRNA-1_1&gene=genemark-NODE_4_length_1208358_cov_23.5021_ID_1139-processed-gene-8.64&CDS=1-1041, snap_masked-NODE_7_length_1040589_cov_22.9083_ID_1654-processed-gene-2.25-mRNA-1_1&gene=snap_masked-NODE_7_length_1040589_cov_22.9083_ID_1654-processed-gene-2.25&CDS=1-867
OG0000194	YDL124W	genemark-NODE_3_length_1219547_cov_23.6558_ID_2013-processed-gene-11.127-mRNA-1_1&gene=genemark-NODE_3_length_1219547_cov_23.6558_ID_2013-processed-gene-11.127&CDS=1-885, genemark-NODE_7_length_1040589_cov_22.9083_ID_1654-processed-gene-2.38-mRNA-1_1&gene=genemark-NODE_7_length_1040589_cov_22.9083_ID_1654-processed-gene-2.38&CDS=1-903
OG0000195	YDL130W	genemark-NODE_1_length_1691314_cov_23.5033_ID_3491-processed-gene-11.83-mRNA-1_1&gene=genemark-NODE_1_length_1691314_cov_23.5033_ID_3491-processed-gene-11.83&CDS=1-318, genemark-NODE_6_length_1060276_cov_25.4502_ID_2229-processed-gene-1.86-mRNA-1_1&gene=genemark-NODE_6_length_1060276_cov_25.4502_ID_2229-processed-gene-1.86&CDS=1-327
OG0000196	YDL136W, YDL191W	genemark-NODE_8_length_986125_cov_23.6789_ID_1757-processed-gene-5.76-mRNA-1_1&gene=genemark-NODE_8_length_986125_cov_23.6789_ID_1757-processed-gene-5.76&CDS=1-366
OG0000197	YDL138W, YDL194W	genemark-NODE_8_length_986125_cov_23.6789_ID_1757-processed-gene-4.9-mRNA-1_1&gene=genemark-NODE_8_length_986125_cov_23.6789_ID_1757-processed-gene-4.9&CDS=1-1545
OG0000198	YDL174C	genemark-NODE_1_length_1691314_cov_23.5033_ID_3491-processed-gene-1.109-mRNA-1_1&gene=genemark-NODE_1_length_1691314_cov_23.5033_ID_3491-processed-gene-1.109&CDS=1-1725, genemark-NODE_5_length_1193255_cov_22.3319_ID_1222-processed-gene-10.248-mRNA-1_1&gene=genemark-NODE_5_length_1193255_cov_22.3319_ID_1222-processed-gene-10.248&CDS=1-1683
OG0000199	YDL175C, YIL079C	genemark-NODE_6_length_1060276_cov_25.4502_ID_2229-processed-gene-2.0-mRNA-1_1&gene=genemark-NODE_6_length_1060276_cov_25.4502_ID_2229-processed-gene-2.0&CDS=1-1614
OG0000200	YDL204W, YDR233C	augustus_masked-NODE_11_length_694907_cov_23.5408_ID_3019-processed-gene-4.14-mRNA-1_1&gene=augustus_masked-NODE_11_length_694907_cov_23.5408_ID_3019-processed-gene-4.14&CDS=1-909
OG0000201	YDL222C, YNL194C	genemark-NODE_7_length_1040589_cov_22.9083_ID_1654-processed-gene-2.44-mRNA-1_1&gene=genemark-NODE_7_length_1040589_cov_22.9083_ID_1654-processed-gene-2.44&CDS=1-804
OG0000202	YDL224C, YNL197C	genemark-NODE_7_length_1040589_cov_22.9083_ID_1654-processed-gene-2.63-mRNA-1_1&gene=genemark-NODE_7_length_1040589_cov_22.9083_ID_1654-processed-gene-2.63&CDS=1-2082
OG0000203	YDL246C, YJR159W	genemark-NODE_15_length_310466_cov_23.5083_ID_2788-processed-gene-0.96-mRNA-1_1&gene=genemark-NODE_15_length_310466_cov_23.5083_ID_2788-processed-gene-0.96&CDS=1-1050
OG0000204	YDR069C, YER144C	genemark-NODE_4_length_1208358_cov_23.5021_ID_1139-processed-gene-10.103-mRNA-1_1&gene=genemark-NODE_4_length_1208358_cov_23.5021_ID_1139-processed-gene-10.103&CDS=1-3009
OG0000205	YDR098C, YER174C	genemark-NODE_1_length_1691314_cov_23.5033_ID_3491-processed-gene-3.63-mRNA-1_1&gene=genemark-NODE_1_length_1691314_cov_23.5033_ID_3491-processed-gene-3.63&CDS=1-780
OG0000206	YDR122W, YLR096W	genemark-NODE_16_length_288003_cov_22.4727_ID_2322-processed-gene-0.41-mRNA-1_1&gene=genemark-NODE_16_length_288003_cov_22.4727_ID_2322-processed-gene-0.41&CDS=1-4155
OG0000207	YDR132C, YLR108C	genemark-NODE_9_length_851872_cov_23.7286_ID_1923-processed-gene-5.93-mRNA-1_1&gene=genemark-NODE_9_length_851872_cov_23.7286_ID_1923-processed-gene-5.93&CDS=1-1329
OG0000208	YDR146C, YLR131C	genemark-NODE_17_length_270480_cov_22.9934_ID_2193-processed-gene-0.53-mRNA-1_1&gene=genemark-NODE_17_length_270480_cov_22.9934_ID_2193-processed-gene-0.53&CDS=1-1668
OG0000209	YDR151C, YLR136C	genemark-NODE_10_length_765085_cov_24.1526_ID_2370-processed-gene-6.179-mRNA-1_1&gene=genemark-NODE_10_length_765085_cov_24.1526_ID_2370-processed-gene-6.179&CDS=1-1488
OG0000210	YDR178W, YLR164W	genemark-NODE_4_length_1208358_cov_23.5021_ID_1139-processed-gene-1.64-mRNA-1_1&gene=genemark-NODE_4_length_1208358_cov_23.5021_ID_1139-processed-gene-1.64&CDS=1-486
OG0000211	YDR200C, YLR238W	genemark-NODE_7_length_1040589_cov_22.9083_ID_1654-processed-gene-4.155-mRNA-1_1&gene=genemark-NODE_7_length_1040589_cov_22.9083_ID_1654-processed-gene-4.155&CDS=1-1656
OG0000212	YDR213W, YLR228C	genemark-NODE_7_length_1040589_cov_22.9083_ID_1654-processed-gene-4.173-mRNA-1_1&gene=genemark-NODE_7_length_1040589_cov_22.9083_ID_1654-processed-gene-4.173&CDS=1-1392
OG0000213	YDR247W, YPL026C	genemark-NODE_4_length_1208358_cov_23.5021_ID_1139-processed-gene-5.90-mRNA-1_1&gene=genemark-NODE_4_length_1208358_cov_23.5021_ID_1139-processed-gene-5.90&CDS=1-1602
OG0000214	YDR251W, YPL032C	snap_masked-NODE_11_length_694907_cov_23.5408_ID_3019-processed-gene-5.26-mRNA-1_1&gene=snap_masked-NODE_11_length_694907_cov_23.5408_ID_3019-processed-gene-5.26&CDS=1-2478
OG0000215	YDR253C, YPL038W	maker-NODE_1_length_1691314_cov_23.5033_ID_3491-snap-gene-4.98-mRNA-1_1&gene=maker-NODE_1_length_1691314_cov_23.5033_ID_3491-snap-gene-4.98&CDS=1-2274
OG0000216	YDR263C, YOR033C	genemark-NODE_9_length_851872_cov_23.7286_ID_1923-processed-gene-5.59-mRNA-1_1&gene=genemark-NODE_9_length_851872_cov_23.7286_ID_1923-processed-gene-5.59&CDS=1-1575
