	Priceomyces_haplophilus	Saccharomyces_cerevisiae
OG0000525	-processed-gene-1.62-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-1.62&CDS=1-3093	YPL022W
OG0000526	-processed-gene-1.64-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-1.64&CDS=1-1023	YDL205C
OG0000527	-processed-gene-1.65-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-1.65&CDS=1-1113	YLR056W
OG0000528	-processed-gene-1.66-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-1.66&CDS=1-2262	YPL042C
OG0000529	-snap-gene-1.48-mRNA-1_1&gene=maker-gi|1002316132|dbj|BCIF01000008.1|-snap-gene-1.48&CDS=1-1131	YMR139W
OG0000530	-processed-gene-1.87-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-1.87&CDS=1-624	YPL041C
OG0000531	-processed-gene-1.69-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-1.69&CDS=1-1200	YPL028W
OG0000532	-processed-gene-1.40-mRNA-1_1&gene=augustus_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-1.40&CDS=1-3696	YOR246C
OG0000533	-processed-gene-1.91-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-1.91&CDS=1-1536	YOR241W
OG0000534	-processed-gene-1.76-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-1.76&CDS=1-5559	YPL082C
OG0000535	-processed-gene-1.77-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-1.77&CDS=1-1080	YBR192W
OG0000536	-processed-gene-1.78-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-1.78&CDS=1-648	YBR193C
OG0000537	-processed-gene-1.93-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-1.93&CDS=1-981	YBR187W
OG0000538	-augustus-gene-1.98-mRNA-1_1&gene=maker-gi|1002316132|dbj|BCIF01000008.1|-augustus-gene-1.98&CDS=1-2289	YJL167W
OG0000539	-processed-gene-1.95-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-1.95&CDS=1-285	YJL166W
OG0000540	-processed-gene-2.105-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-2.105&CDS=1-462	YJL143W
OG0000541	-processed-gene-2.106-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-2.106&CDS=1-1890	YKL174C
OG0000542	-processed-gene-2.107-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-2.107&CDS=1-1791	YNL229C
OG0000543	-processed-gene-2.101-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-2.101&CDS=1-837	YLR126C
OG0000544	-snap-gene-2.98-mRNA-1_1&gene=maker-gi|1002316132|dbj|BCIF01000008.1|-snap-gene-2.98&CDS=1-960	YIL061C
OG0000545	-processed-gene-2.111-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-2.111&CDS=1-1071	YIL063C
OG0000546	-processed-gene-2.132-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-2.132&CDS=1-756	YIL064W
OG0000547	-processed-gene-2.112-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-2.112&CDS=1-1347	YBR195C
OG0000548	-processed-gene-2.133-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-2.133&CDS=1-699	YPL078C
OG0000549	-processed-gene-2.137-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-2.137&CDS=1-3165	YPL009C
OG0000550	-processed-gene-2.113-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-2.113&CDS=1-1047	YPL015C
OG0000551	-processed-gene-2.35-mRNA-1_1&gene=genemark-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-2.35&CDS=1-999	YLR063W
OG0000552	-processed-gene-2.114-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-2.114&CDS=1-2853	YFL034W
OG0000553	-processed-gene-2.115-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-2.115&CDS=1-1773	YLR060W
OG0000554	-processed-gene-2.116-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-2.116&CDS=1-624	YFL005W
OG0000555	-processed-gene-2.141-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-2.141&CDS=1-615	YFL010C
OG0000556	-snap-gene-2.100-mRNA-1_1&gene=maker-gi|1002316132|dbj|BCIF01000008.1|-snap-gene-2.100&CDS=1-4212	YML104C
OG0000557	-processed-gene-2.64-mRNA-1_1&gene=augustus_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-2.64&CDS=1-2736	YMR268C
OG0000558	-processed-gene-2.118-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-2.118&CDS=1-3279	YPL160W
OG0000559	-processed-gene-2.120-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-2.120&CDS=1-825	YML105C
OG0000560	-processed-gene-2.145-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-2.145&CDS=1-1125	YMR272C
OG0000561	-processed-gene-2.147-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-2.147&CDS=1-771	YMR274C
OG0000562	-processed-gene-2.122-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-2.122&CDS=1-2043	YDR234W
OG0000563	-processed-gene-2.150-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-2.150&CDS=1-1176	YCR016W
OG0000564	-processed-gene-2.70-mRNA-1_1&gene=augustus_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-2.70&CDS=1-837	YCR015C
OG0000565	-processed-gene-2.124-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-2.124&CDS=1-1755	YOR205C
OG0000566	-processed-gene-2.74-mRNA-1_1&gene=augustus_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-2.74&CDS=1-642	YBR062C
OG0000567	-processed-gene-2.154-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-2.154&CDS=1-756	YDR041W
OG0000568	-processed-gene-2.130-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-2.130&CDS=1-903	YBR061C
OG0000569	-processed-gene-3.4-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-3.4&CDS=1-1785	YDR037W
OG0000570	-snap-gene-3.88-mRNA-1_1&gene=maker-gi|1002316132|dbj|BCIF01000008.1|-snap-gene-3.88&CDS=1-957	YDR051C
OG0000571	-processed-gene-3.2-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-3.2&CDS=1-744	YDR050C
OG0000572	-processed-gene-3.5-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-3.5&CDS=1-1029	YMR262W
OG0000573	-processed-gene-3.3-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-3.3&CDS=1-2421	YMR277W
OG0000574	-processed-gene-3.58-mRNA-1_1&gene=augustus_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-3.58&CDS=1-3306	YMR278W
OG0000575	-processed-gene-3.20-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-3.20&CDS=1-939	YGL198W
OG0000576	-processed-gene-3.24-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-3.24&CDS=1-1119	YNL175C
OG0000577	-processed-gene-3.25-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-3.25&CDS=1-1641	YHL029C
OG0000578	-processed-gene-3.11-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-3.11&CDS=1-597	YLL038C
OG0000579	-processed-gene-3.26-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-3.26&CDS=1-5526	YHL030W
OG0000580	-augustus-gene-3.47-mRNA-1_1&gene=maker-gi|1002316132|dbj|BCIF01000008.1|-augustus-gene-3.47&CDS=1-5391	YAL026C
OG0000581	-processed-gene-3.12-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-3.12&CDS=1-1320	YOR323C
OG0000582	-processed-gene-3.29-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-3.29&CDS=1-810	YBR213W
OG0000583	-processed-gene-3.13-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-3.13&CDS=1-1875	YOR370C
OG0000584	-processed-gene-3.14-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-3.14&CDS=1-432	YOR369C
OG0000585	-processed-gene-3.122-mRNA-1_1&gene=genemark-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-3.122&CDS=1-3975	YOR373W
OG0000586	-processed-gene-3.17-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-3.17&CDS=1-1983	YBR212W
OG0000587	-processed-gene-3.18-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-3.18&CDS=1-495	YBR111C
OG0000588	-processed-gene-3.82-mRNA-1_1&gene=augustus_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-3.82&CDS=1-1512	YBR112C
OG0000589	-processed-gene-3.38-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-3.38&CDS=1-1074	YPL188W
OG0000590	-processed-gene-3.39-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-3.39&CDS=1-1449	YNL330C
OG0000591	-processed-gene-3.40-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-3.40&CDS=1-1158	YNL326C
OG0000592	-snap-gene-3.92-mRNA-1_1&gene=maker-gi|1002316132|dbj|BCIF01000008.1|-snap-gene-3.92&CDS=1-2766	YPL244C
OG0000593	-processed-gene-3.19-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-3.19&CDS=1-1704	YER086W
OG0000594	-processed-gene-4.61-mRNA-1_1&gene=augustus_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-4.61&CDS=1-3138	YLR289W
OG0000595	-snap-gene-4.107-mRNA-1_1&gene=maker-gi|1002316132|dbj|BCIF01000008.1|-snap-gene-4.107&CDS=1-2700	YLR277C
OG0000596	-processed-gene-4.7-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-4.7&CDS=1-2187	YLR274W
OG0000597	-processed-gene-4.108-mRNA-1_1&gene=genemark-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-4.108&CDS=1-555	YLR281C
OG0000598	-processed-gene-4.9-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-4.9&CDS=1-321	YLR295C
OG0000599	-processed-gene-4.1-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-4.1&CDS=1-354	YLR298C
OG0000600	-processed-gene-4.33-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-4.33&CDS=1-1206	YGL246C
OG0000601	-processed-gene-4.11-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-4.11&CDS=1-438	YNL185C
OG0000602	-processed-gene-4.35-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-4.35&CDS=1-1392	YNL181W
OG0000603	-processed-gene-4.12-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-4.12&CDS=1-1485	YNL182C
OG0000604	-processed-gene-4.13-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-4.13&CDS=1-624	YDL213C
OG0000605	-processed-gene-4.70-mRNA-1_1&gene=augustus_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-4.70&CDS=1-2451	YNL177C
OG0000606	-processed-gene-4.38-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-4.38&CDS=1-2019	YNL186W
OG0000607	-processed-gene-4.40-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-4.40&CDS=1-1707	YHL024W
OG0000608	-processed-gene-4.92-mRNA-1_1&gene=augustus_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-4.92&CDS=1-7971	YGL195W
OG0000609	-augustus-gene-4.55-mRNA-1_1&gene=maker-gi|1002316132|dbj|BCIF01000008.1|-augustus-gene-4.55&CDS=1-4086	YMR190C
OG0000610	-processed-gene-4.44-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-4.44&CDS=1-555	YKL186C
OG0000611	-processed-gene-4.26-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-4.26&CDS=1-1497	YKL185W
OG0000612	-processed-gene-4.27-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-4.27&CDS=1-1056	YMR276W
OG0000613	-processed-gene-4.45-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-4.45&CDS=1-906	YML112W
OG0000614	-processed-gene-4.30-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-4.30&CDS=1-456	YMR260C
OG0000615	-processed-gene-4.47-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-4.47&CDS=1-2814	YNL313C
OG0000616	-processed-gene-4.49-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-4.49&CDS=1-2223	YBR060C
OG0000617	-processed-gene-4.32-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-4.32&CDS=1-303	YDR045C
OG0000618	-processed-gene-4.51-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-4.51&CDS=1-723	YBR070C
OG0000619	-processed-gene-4.161-mRNA-1_1&gene=genemark-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-4.161&CDS=1-1098	YBR065C
OG0000620	-processed-gene-4.53-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-4.53&CDS=1-4314	YMR259C
OG0000621	-processed-gene-5.41-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-5.41&CDS=1-1530	YGR093W
OG0000622	-processed-gene-5.29-mRNA-1_1&gene=genemark-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-5.29&CDS=1-663	YGR095C
OG0000623	-processed-gene-5.7-mRNA-1_1&gene=genemark-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-5.7&CDS=1-1497	YGR091W
OG0000624	-processed-gene-5.46-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-5.46&CDS=1-3186	YGR094W
OG0000625	-processed-gene-5.71-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-5.71&CDS=1-3636	YEL031W
OG0000626	-processed-gene-5.10-mRNA-1_1&gene=genemark-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-5.10&CDS=1-1926	YGR096W
OG0000627	-processed-gene-5.51-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-5.51&CDS=1-1812	YPL164C
OG0000628	-processed-gene-5.56-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-5.56&CDS=1-2094	YLR396C
OG0000629	-processed-gene-5.73-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-5.73&CDS=1-183	YDL067C
OG0000630	-processed-gene-5.57-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-5.57&CDS=1-261	YLR395C
OG0000631	-processed-gene-5.19-mRNA-1_1&gene=genemark-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-5.19&CDS=1-1290	YIL101C
OG0000632	-processed-gene-5.61-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-5.61&CDS=1-2340	YNL041C
OG0000633	-processed-gene-5.76-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-5.76&CDS=1-1269	YIL103W
OG0000634	-processed-gene-5.62-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-5.62&CDS=1-1530	YIL104C
OG0000635	-augustus-gene-5.86-mRNA-1_1&gene=maker-gi|1002316132|dbj|BCIF01000008.1|-augustus-gene-5.86&CDS=1-3480	YCR079W
OG0000636	-processed-gene-5.79-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-5.79&CDS=1-273	YNR037C
OG0000637	-processed-gene-5.65-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-5.65&CDS=1-5727	YJR035W
OG0000638	-processed-gene-5.66-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-5.66&CDS=1-864	YML050W
OG0000639	-augustus-gene-5.89-mRNA-1_1&gene=maker-gi|1002316132|dbj|BCIF01000008.1|-augustus-gene-5.89&CDS=1-1437	YMR041C
OG0000640	-processed-gene-5.68-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-5.68&CDS=1-1386	YMR034C
OG0000641	-processed-gene-6.53-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-6.53&CDS=1-1494	YNL241C
OG0000642	-processed-gene-6.5-mRNA-1_1&gene=augustus_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-6.5&CDS=1-2562	YNL238W
OG0000643	-processed-gene-6.50-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-6.50&CDS=1-1362	YNL237W
OG0000644	-processed-gene-6.51-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-6.51&CDS=1-1602	YNL240C
OG0000645	-processed-gene-6.52-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-6.52&CDS=1-1230	YJL131C
OG0000646	-processed-gene-6.55-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-6.55&CDS=1-1581	YKR051W
OG0000647	-processed-gene-6.26-mRNA-1_1&gene=augustus_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-6.26&CDS=1-3528	YOL060C
OG0000648	-processed-gene-6.81-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-6.81&CDS=1-507	YDL120W
OG0000649	-processed-gene-6.58-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-6.58&CDS=1-822	YIL093C
OG0000650	-processed-gene-6.61-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-6.61&CDS=1-4899	YOR341W
OG0000651	-processed-gene-6.84-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-6.84&CDS=1-582	YAL008W
OG0000652	-processed-gene-6.85-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-6.85&CDS=1-435	YIL098C
OG0000653	-processed-gene-6.63-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-6.63&CDS=1-1083	YNL037C
OG0000654	-processed-gene-6.15-mRNA-1_1&gene=augustus_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-6.15&CDS=1-2988	YNL220W
OG0000655	-processed-gene-6.86-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-6.86&CDS=1-447	YDL235C
OG0000656	-processed-gene-6.89-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-6.89&CDS=1-3024	YAL035W
OG0000657	-processed-gene-6.66-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-6.66&CDS=1-1101	YAL036C
OG0000658	-processed-gene-6.67-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-6.67&CDS=1-3273	YMR308C
OG0000659	-processed-gene-6.68-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-6.68&CDS=1-2043	YLR319C
OG0000660	-processed-gene-6.37-mRNA-1_1&gene=augustus_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-6.37&CDS=1-2640	YLR318W
OG0000661	-processed-gene-6.19-mRNA-1_1&gene=augustus_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-6.19&CDS=1-1002	YLR316C
OG0000662	-processed-gene-6.70-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-6.70&CDS=1-1065	YLR321C
OG0000663	-snap-gene-6.49-mRNA-1_1&gene=maker-gi|1002316132|dbj|BCIF01000008.1|-snap-gene-6.49&CDS=1-624	YAL003W
OG0000664	-processed-gene-6.92-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-6.92&CDS=1-729	YGR001C
OG0000665	-processed-gene-6.22-mRNA-1_1&gene=augustus_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-6.22&CDS=1-4791	YGR280C
OG0000666	-processed-gene-6.93-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-6.93&CDS=1-1044	YGL001C
OG0000667	-processed-gene-6.42-mRNA-1_1&gene=augustus_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-6.42&CDS=1-1374	YAR002W
OG0000668	-processed-gene-6.95-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-6.95&CDS=1-1680	YGR002C
OG0000669	-processed-gene-6.77-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-6.77&CDS=1-2319	YGL009C
OG0000670	-processed-gene-6.97-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-6.97&CDS=1-1158	YLR328W
OG0000671	-processed-gene-7.44-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-7.44&CDS=1-1209	YKR048C
OG0000672	-processed-gene-7.47-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-7.47&CDS=1-921	YLR308W
OG0000673	-processed-gene-7.4-mRNA-1_1&gene=augustus_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-7.4&CDS=1-1311	YLL002W
OG0000674	-processed-gene-7.50-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-7.50&CDS=1-1491	YOR250C
OG0000675	-processed-gene-7.65-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-7.65&CDS=1-1104	YPL152W
OG0000676	-processed-gene-7.66-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-7.66&CDS=1-1194	YPL151C
OG0000677	-processed-gene-7.9-mRNA-1_1&gene=augustus_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-7.9&CDS=1-1098	YLR306W
OG0000678	-snap-gene-7.42-mRNA-1_1&gene=maker-gi|1002316132|dbj|BCIF01000008.1|-snap-gene-7.42&CDS=1-1683	YMR223W
OG0000679	-processed-gene-7.10-mRNA-1_1&gene=augustus_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-7.10&CDS=1-3603	YGR277C
OG0000680	-processed-gene-7.74-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-7.74&CDS=1-3879	YMR304W
OG0000681	-processed-gene-7.56-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-7.56&CDS=1-1047	YGR279C
OG0000682	-processed-gene-7.75-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-7.75&CDS=1-1671	YNL216W
OG0000683	-processed-gene-7.57-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-7.57&CDS=1-204	YJL127C-B
OG0000684	-processed-gene-7.29-mRNA-1_1&gene=augustus_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-7.29&CDS=1-3093	YGL048C
OG0000685	-processed-gene-7.86-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-7.86&CDS=1-540	YNL213C
OG0000686	-processed-gene-7.59-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-7.59&CDS=1-1770	YNL212W
OG0000687	-processed-gene-7.87-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-7.87&CDS=1-219	YNL211C
OG0000688	-processed-gene-7.14-mRNA-1_1&gene=augustus_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-7.14&CDS=1-744	YOR107W
OG0000689	-processed-gene-7.61-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-7.61&CDS=1-3525	YGL062W
OG0000690	-processed-gene-7.111-mRNA-1_1&gene=genemark-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-7.111&CDS=1-2622	YIL140W
OG0000691	-processed-gene-8.0-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-8.0&CDS=1-1155	YBR221C
OG0000692	-processed-gene-8.1-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-8.1&CDS=1-1698	YBR220C
OG0000693	-processed-gene-8.2-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-8.2&CDS=1-219	YNR032C-A
