	Neurospora_crassa	Saccharomyces_cerevisiae
OG0000412	XP_011394956.1, XP_011394957.1	YGR247W
OG0000413	XP_011394970.1, XP_011394971.1	YLR085C
OG0000414	XP_011394975.1, XP_011394976.1	YFL007W
OG0000415	XP_011394977.1, XP_011394978.1	YDR284C
OG0000416	XP_011394985.1, XP_011394986.1	YFR033C
OG0000417	XP_011394990.1, XP_011394991.1	YIR023W
OG0000418	XP_011394995.1, XP_011394996.1	YDL128W
OG0000419	XP_011395018.1, XP_011395019.1	YER008C
OG0000420	XP_011395024.1, XP_011395025.1	YOR043W
OG0000421	XP_011395030.1, XP_011395031.1	YLR427W
OG0000422	XP_011395052.1, XP_011395053.1	YGL136C
OG0000423	XP_011395093.1, XP_011395094.1	YGL047W
OG0000424	XP_011395111.1, XP_011395112.1	YJL095W
OG0000425	XP_011395122.1, XP_011395123.1	YGR078C
OG0000426	XP_011395127.1, XP_011395128.1	YLR077W
OG0000427	XP_011395140.1, XP_011395141.1	YPL111W
OG0000428	XP_011395161.1, XP_011395162.1	YBL016W
OG0000429	XP_011395174.1, XP_011395175.1	YER047C
OG0000430	XP_011395182.1, XP_011395183.1	YNL227C
OG0000431	XP_011395184.1, XP_011395185.1	YER086W
OG0000432	XP_011395193.1, XP_011395194.1	YLR167W
OG0000433	XP_011395195.1, XP_011395196.1	YGL077C
OG0000434	XP_011395201.1, XP_011395202.1	YKR068C
OG0000435	XP_011395224.1, XP_011395225.1	YHR190W
OG0000436	XP_011395230.1, XP_011395231.1	YAL038W
OG0000437	XP_011395243.1, XP_011395244.1	YPR061C
OG0000438	XP_011395251.1, XP_011395252.1	YLR115W
OG0000439	XP_011395253.1, XP_011395254.1	YLR380W
OG0000440	XP_011395262.1, XP_011395263.1	YGL054C
OG0000441	XP_011395273.1, XP_011395274.1	YJL057C
OG0000442	XP_011395277.1, XP_011395278.1	YPR082C
OG0000443	XP_011395287.1, XP_011395288.1	YMR277W
OG0000444	XP_011395300.1, XP_011395301.1	YHR008C
OG0000445	XP_011395302.1, XP_011395303.1	YBR296C
OG0000446	XP_955807.3	YDR096W, YER169W
OG0000447	XP_955841.3	YJL134W, YKR053C
OG0000448	XP_955853.3	YHR132W-A, YNL157W
OG0000449	XP_955910.1	YHR179W, YPL171C
OG0000450	XP_955943.1	YER131W, YGL189C
OG0000451	XP_956003.1	YBR010W, YNL031C
OG0000452	XP_956011.3	YCR052W, YNR023W
OG0000453	XP_956068.2, XP_963599.1	YKR093W
OG0000454	XP_956110.2	YDL242W, YPR079W
OG0000455	XP_956128.1	YGR034W, YLR344W
OG0000456	XP_956141.2	YKR076W, YMR251W
OG0000457	XP_956180.2	YHR155W, YNL257C
OG0000458	XP_956237.1, XP_965638.1	YGL080W
OG0000459	XP_956264.3	YBR140C, YOL081W
OG0000460	XP_956405.1	YHL017W, YKL039W
OG0000461	XP_956427.1, XP_964854.2	YOL048C
OG0000462	XP_956438.1	YMR182C, YPL230W
OG0000463	XP_956445.1	YGL082W, YPL191C
OG0000464	XP_956486.2	YEL039C, YJR048W
OG0000465	XP_956560.2	YDR253C, YPL038W
OG0000466	XP_956573.1	YNL301C, YOL120C
OG0000467	XP_956576.3	YCR048W, YNR019W
OG0000468	XP_956611.1	YDR471W, YHR010W
OG0000469	XP_956677.2	YGL133W, YPL216W
OG0000470	XP_956794.2	YDR450W, YML026C
OG0000471	XP_956811.1, XP_962085.1	YNL027W
OG0000472	XP_956840.1	YGR214W, YLR048W
OG0000473	XP_956914.1	YDR312W, YHR066W
OG0000474	XP_956922.1	YMR237W, YOR299W
OG0000475	XP_956925.2	YNL293W, YOL112W
OG0000476	XP_956945.3, XP_960958.3	YOR269W
OG0000477	XP_956972.2	YER031C, YGL210W
OG0000478	XP_956995.1	YHL003C, YKL008C
OG0000479	XP_957006.1	YIL131C, YNL068C
OG0000480	XP_957032.1	YBL079W, YER105C
OG0000481	XP_957035.2	YFL061W, YNL335W
OG0000482	XP_957039.1	YBR242W, YGL101W
OG0000483	XP_957140.3	YLL016W, YLR310C
OG0000484	XP_957168.1	YFL004W, YPL019C
OG0000485	XP_957200.3	YDR505C, YLR177W
OG0000486	XP_957211.1	YCR073W-A, YNR034W
OG0000487	XP_957230.2	YDR300C, YHR033W
OG0000488	XP_957265.1	YCR067C, YNR026C
OG0000489	XP_957299.2	YFR031C-A, YIL018W
OG0000490	XP_957301.2	YDR206W, YLR233C
OG0000491	XP_957310.3	YOR231W, YPL140C
OG0000492	XP_957316.2	YBL043W, YJR115W
OG0000493	XP_957383.1	YGR141W, YPR157W
OG0000494	XP_957394.1	YBR241C, YGL104C
OG0000495	XP_957407.1	YER074W, YIL069C
OG0000496	XP_957466.2	YJL105W, YKR029C
OG0000497	XP_957510.3	YBR294W, YLR092W
OG0000498	XP_957526.1	YFR022W, YOR018W
OG0000499	XP_957567.3	YJR054W, YML047C
OG0000500	XP_957618.1	YAR002C-A, YGL002W
OG0000501	XP_957634.1	YGR010W, YLR328W
OG0000502	XP_957637.1	YBR267W, YLR387C
OG0000503	XP_957674.3	YIL149C, YKR095W
OG0000504	XP_957729.1	YNL096C, YOR096W
OG0000505	XP_957765.1	YGL135W, YPL220W
OG0000506	XP_957766.1	YBR216C, YGL060W
OG0000507	XP_957770.1	YLR284C, YOR180C
OG0000508	XP_957821.1, XP_965606.1	YNR064C
OG0000509	XP_957875.2	YOR237W, YPL145C
OG0000510	XP_957886.2	YDR247W, YPL026C
OG0000511	XP_957919.2	YBR244W, YIR037W
OG0000512	XP_957995.1	YEL007W, YHR177W
OG0000513	XP_958030.2, XP_964653.3	YDR402C
OG0000514	XP_958035.1	YMR180C, YPL228W
OG0000515	XP_958140.1	YER059W, YIL050W
OG0000516	XP_958255.2	YBR161W, YPL057C
OG0000517	XP_958266.1	YHR131C, YNL144C
OG0000518	XP_958318.2	YOR234C, YPL143W
OG0000519	XP_958396.1	YBR015C, YJL186W
OG0000520	XP_958421.2	YJL138C, YKR059W
OG0000521	XP_958547.1, XP_959390.1	YGR055W
OG0000522	XP_958549.1	YKL141W, YMR118C
OG0000523	XP_958607.2	YJR094W-A, YPR043W
OG0000524	XP_958660.2	YAL051W, YOR363C
OG0000525	XP_958723.1	YBR172C, YPL105C
OG0000526	XP_958750.1	YKR089C, YOR081C
OG0000527	XP_958783.2	YER066W, YFL009W
OG0000528	XP_959085.1, XP_962219.1	YGR282C
OG0000529	XP_959182.1	YGR131W, YPR149W
OG0000530	XP_959308.3	YDR264C, YOR034C
OG0000531	XP_959411.2	YDL138W, YDL194W
OG0000532	XP_959435.2	YJR130C, YML082W
OG0000533	XP_959440.1	YBL002W, YDR224C
OG0000534	XP_959523.1	YMR233W, YOR295W
OG0000535	XP_959551.1	YDR263C, YOR033C
OG0000536	XP_959605.1	YJL133W, YKR052C
OG0000537	XP_959676.3, XP_960227.1	YNL036W
OG0000538	XP_959692.1	YHL039W, YPL208W
OG0000539	XP_959775.3	YGR056W, YLR357W
OG0000540	XP_959779.3	YBR214W, YGL056C
OG0000541	XP_959806.2	YCR010C, YNR002C
OG0000542	XP_959913.1	YBR104W, YPR058W
OG0000543	XP_959922.1	YGL160W, YLR047C
OG0000544	XP_959951.3, XP_962317.3	YDL170W
OG0000545	XP_959967.1	YDR358W, YHR108W
OG0000546	XP_960038.1	YOR226C, YPL135W
OG0000547	XP_960045.1, XP_961648.2	YAL053W
OG0000548	XP_960064.2	YBL027W, YBR084C-A
OG0000549	XP_960210.1	YER185W, YGR213C
OG0000550	XP_960228.2	YHL033C, YLL045C
OG0000551	XP_960232.2	YDL161W, YLR206W
OG0000552	XP_960280.3	YDR122W, YLR096W
OG0000553	XP_960372.1	YDL042C, YOL068C
OG0000554	XP_960386.3	YBR033W, YKL038W
OG0000555	XP_960410.1	YKL068W, YMR047C
OG0000556	XP_960516.1	YDL082W, YMR142C
OG0000557	XP_960550.2	YNL299W, YOL115W
OG0000558	XP_960561.1	YLR264W, YOR167C
OG0000559	XP_960596.1	YER027C, YGL208W
OG0000560	XP_960680.2	YBL091C-A, YER120W
OG0000561	XP_960684.1	YDL081C, YDL130W
OG0000562	XP_960699.3	YAL015C, YOL043C
OG0000563	XP_960808.1	YEL006W, YIL006W
OG0000564	XP_960881.3	YBL085W, YER114C
OG0000565	XP_960908.1	YFL034C-A, YLR061W
OG0000566	XP_960950.1	YIL114C, YNL055C
OG0000567	XP_960953.1	YDR185C, YLR168C
OG0000568	XP_961019.2	YLR178C, YLR179C
OG0000569	XP_961104.1	YBR031W, YDR012W
OG0000570	XP_961108.1	YCL064C, YIL167W
OG0000571	XP_961189.2	YAL007C, YOR016C
OG0000572	XP_961215.1	YKL081W, YPL048W
OG0000573	XP_961235.1	YMR183C, YPL232W
OG0000574	XP_961236.1	YHR117W, YNL121C
OG0000575	XP_961403.1	YDR418W, YEL054C
OG0000576	XP_961472.2	YCL026C-A, YCL026C-B
OG0000577	XP_961475.2, XP_965380.2	YGR044C
OG0000578	XP_961479.2	YJL177W, YKL180W
OG0000579	XP_961514.1	YDL061C, YLR388W
OG0000580	XP_961531.1	YCR094W, YNR048W
OG0000581	XP_961584.2	YHR198C, YHR199C
OG0000582	XP_961585.2	YCL035C, YDR513W
OG0000583	XP_961726.1	YDL109C, YGL144C
OG0000584	XP_961766.2	YBR020W, YDR009W
OG0000585	XP_961835.1	YDR447C, YML024W
OG0000586	XP_961911.2	YEL034W, YJR047C
OG0000587	XP_961912.3	YIL148W, YKR094C
OG0000588	XP_961970.2, XP_964152.1	YDR338C
OG0000589	XP_962061.1	YML106W, YMR271C
OG0000590	XP_962134.3	YKL126W, YMR104C
OG0000591	XP_962237.3	YDR259C, YOR028C
OG0000592	XP_962286.2	YDR385W, YOR133W
OG0000593	XP_962427.1	YJL082W, YKR018C
OG0000594	XP_962488.1	YDR107C, YLR083C
OG0000595	XP_962492.1	YBR021W, YIR028W
OG0000596	XP_962638.2	YLR270W, YOR173W
OG0000597	XP_962693.3	YEL022W, YJR031C
OG0000598	XP_962794.1	YIL085C, YNL029C
OG0000599	XP_962812.3	YMR177W, YPL224C
OG0000600	XP_962856.1	YIL113W, YNL053W
OG0000601	XP_962860.2	YNL108C, YOR110W
OG0000602	XP_962866.2	YOR390W, YPL279C
OG0000603	XP_962873.1	YHR115C, YNL116W
OG0000604	XP_962880.1	YJL083W, YKR019C
OG0000605	XP_962907.2	YJL084C, YKR021W
OG0000606	XP_962915.2	YJR091C, YPR042C
OG0000607	XP_962918.2	YIL095W, YNL020C
OG0000608	XP_962947.1	YNL302C, YOL121C
OG0000609	XP_962950.2	YGL076C, YPL198W
OG0000610	XP_962951.1	YCR031C, YJL191W
OG0000611	XP_962969.1	YEL066W, YPR193C
OG0000612	XP_962989.3	YER129W, YGL179C
OG0000613	XP_963100.1	YAL017W, YOL045W
OG0000614	XP_963118.1	YER056C-A, YIL052C
OG0000615	XP_963130.1	YHR133C, YNL156C
OG0000616	XP_963213.1	YKL152C, YOR283W
OG0000617	XP_963221.2	YDR132C, YLR108C
OG0000618	XP_963231.1	YGR027C, YLR333C
OG0000619	XP_963320.3	YDR497C, YOL103W
OG0000620	XP_963448.1	YIL111W, YNL052W
OG0000621	XP_963515.2	YMR230W, YOR293W
OG0000622	XP_963727.3	YDR441C, YML022W
OG0000623	XP_963733.1	YLR449W, YML074C
OG0000624	XP_963739.1	YDR213W, YLR228C
OG0000625	XP_963790.3	YER062C, YIL053W
OG0000626	XP_963792.3	YCL024W, YDR507C
OG0000627	XP_963851.1	YGR108W, YPR119W
OG0000628	XP_963925.2	YER057C, YIL051C
OG0000629	XP_964034.1	YPR169W-A, YPR170W-B
OG0000630	XP_964063.1	YDR098C, YER174C
OG0000631	XP_964080.2	YDR200C, YLR238W
OG0000632	XP_964151.2	YGR138C, YPR156C
OG0000633	XP_964164.1	YCR073C, YNR031C
OG0000634	XP_964194.1	YMR243C, YOR316C
OG0000635	XP_964197.2	YDR252W, YPL037C
OG0000636	XP_964199.1	YGL031C, YGR148C
OG0000637	XP_964232.1	YBR191W, YPL079W
OG0000638	XP_964233.1	YBR189W, YPL081W
OG0000639	XP_964251.2	YHR203C, YJR145C
OG0000640	XP_964395.3	YDL022W, YOL059W
OG0000641	XP_964410.1	YGR121C, YPR138C
OG0000642	XP_964411.2	YHR001W, YKR003W
OG0000643	XP_964419.1	YDR451C, YML027W
OG0000644	XP_964420.2	YEL041W, YJR049C
OG0000645	XP_964475.2	YNL106C, YOR109W
OG0000646	XP_964479.1	YMR194W, YPL249C-A
OG0000647	XP_964540.2	YHR141C, YNL162W
OG0000648	XP_964546.1	YLR450W, YML075C
OG0000649	XP_964561.1	YGR243W, YHR162W
OG0000650	XP_964590.1	YPR013C, YPR015C
OG0000651	XP_964678.2	YGR009C, YMR017W
OG0000652	XP_964717.2	YDL224C, YNL197C
OG0000653	XP_964736.2	YCL040W, YDR516C
OG0000654	XP_964813.2	YKL072W, YMR053C
OG0000655	XP_964828.1	YDL083C, YMR143W
OG0000656	XP_964858.1	YHR123W, YNL130C
OG0000657	XP_964868.2	YBR118W, YPR080W
OG0000658	XP_964875.1	YNL104C, YOR108W
OG0000659	XP_964883.3	YIR035C, YIR036C
OG0000660	XP_964888.1	YGR092W, YPR111W
OG0000661	XP_964949.2	YML100W, YMR261C
OG0000662	XP_964961.1	YBR048W, YDR025W
OG0000663	XP_965129.1	YGL147C, YNL067W
OG0000664	XP_965135.2	YLR187W, YNL278W
OG0000665	XP_965197.3	YBL089W, YER119C
OG0000666	XP_965225.3	YMR222C, YOR280C
OG0000667	XP_965247.1	YDL075W, YLR406C
OG0000668	XP_965275.1	YLL012W, YLR020C
OG0000669	XP_965282.1	YER019C-A, YER087C-B
OG0000670	XP_965356.2	YBR183W, YPL087W
OG0000671	XP_965417.1	YDR178W, YLR164W
OG0000672	XP_965480.2	YLR448W, YML073C
OG0000673	XP_965493.3	YAL034C, YOR338W
OG0000674	XP_965537.2	YDR368W, YOR120W
OG0000675	XP_965587.1	YBL087C, YER117W
OG0000676	XP_965640.2	YGR085C, YPR102C
OG0000677	XP_965711.1	YEL047C, YJR051W
OG0000678	XP_965717.1	YGR241C, YHR161C
OG0000679	XP_965730.1	YLR456W, YPR172W
OG0000680	XP_965737.1	YGR283C, YMR310C
OG0000681	XP_965745.1	YHR003C, YKL027W
OG0000682	XP_965751.3	YIL151C, YKR096W
OG0000683	XP_965758.1	YHR021C, YKL156W
OG0000684	XP_965762.3	YGR238C, YHR158C
OG0000685	XP_965772.1	YCR026C, YEL016C
OG0000686	XP_965774.1	YHL001W, YKL006W
OG0000687	XP_965808.3	YGR070W, YLR371W
OG0000688	XP_965827.2	YDR348C, YHR097C
OG0000689	XP_965836.1	YGR136W, YPR154W
OG0000690	XP_001727960.2	YGR233C
OG0000691	XP_001727961.1	YOR042W
OG0000692	XP_001727995.2	YDR378C
OG0000693	XP_001728014.1	YBR252W
OG0000694	XP_001728020.2	YIL007C
OG0000695	XP_001728028.2	YOR149C
OG0000696	XP_001728029.2	YGR021W
OG0000697	XP_001728043.2	YDR063W
OG0000698	XP_001728068.1	YNR043W
OG0000699	XP_001728079.1	YMR214W
OG0000700	XP_001728089.2	YNR029C
OG0000701	XP_001728095.2	YGL126W
OG0000702	XP_001728132.1	YHR029C
OG0000703	XP_001728133.1	YLL036C
OG0000704	XP_001728137.2	YGR194C
OG0000705	XP_001728150.1	YPL118W
OG0000706	XP_001728159.2	YMR077C
OG0000707	XP_001728186.2	YKL148C
OG0000708	XP_001728192.1	YKR060W
OG0000709	XP_001728197.2	YNL267W
OG0000710	XP_001728202.1	YDR320C-A
OG0000711	XP_001728209.1	YPL244C
OG0000712	XP_001728212.1	YJR135W-A
OG0000713	XP_001728214.1	YJR010C-A
OG0000714	XP_001728227.2	YLR170C
OG0000715	XP_001728234.1	YLR220W
OG0000716	XP_001728241.1	YGL087C
OG0000717	XP_001728250.2	YDL008W
OG0000718	XP_001728277.1	YPL265W
OG0000719	XP_001728299.2	YGL094C
OG0000720	XP_001728316.1	YMR062C
OG0000721	XP_001728317.2	YOL094C
OG0000722	XP_001728325.1	YOR007C
OG0000723	XP_001728327.1	YPR085C
OG0000724	XP_001728331.2	YNL011C
OG0000725	XP_001728337.2	YHR048W
OG0000726	XP_001728349.1	YKR063C
OG0000727	XP_001728355.2	YKL113C
OG0000728	XP_001728360.2	YMR129W
OG0000729	XP_001728367.2	YML046W
OG0000730	XP_001728368.2	YPR105C
OG0000731	XP_001728372.1	YMR149W
OG0000732	XP_001728384.2	YML005W
OG0000733	XP_001728391.2	YGL085W
OG0000734	XP_001728397.2	YDR246W
OG0000735	XP_001728402.2	YMR221C
OG0000736	XP_001728406.1	YOR039W
OG0000737	XP_001728407.2	YLR039C
OG0000738	XP_001728408.1	YGL022W
OG0000739	XP_001728416.2	YGL169W
OG0000740	XP_001728419.1	YNL044W
OG0000741	XP_001728430.2	YGL114W
OG0000742	XP_001728437.1	YHL010C
OG0000743	XP_001728457.1	YDR292C
OG0000744	XP_001728458.2	YBR136W
OG0000745	XP_001728471.2	YFL003C
OG0000746	XP_001728480.2	YGR252W
OG0000747	XP_001728481.2	YKL144C
OG0000748	XP_001728485.1	YPR187W
OG0000749	XP_001728496.1	YPL214C
OG0000750	XP_001728497.1	YBR254C
OG0000751	XP_001728501.2	YLL008W
OG0000752	XP_001728502.1	YNL094W
OG0000753	XP_001728508.2	YPL218W
OG0000754	XP_001728513.2	YAL016W
OG0000755	XP_001728517.2	YER152C
OG0000756	XP_001728521.2	YPL008W
OG0000757	XP_001728522.1	YDL017W
OG0000758	XP_001728527.2	YOR291W
OG0000759	XP_001728530.2	YDL166C
OG0000760	XP_001728535.2	YCR060W
OG0000761	XP_001728541.1	YBR243C
OG0000762	XP_001728551.2	YKR043C
OG0000763	XP_001728558.2	YPL065W
OG0000764	XP_011392866.1	YLL041C
OG0000765	XP_011392880.1	YPR201W
OG0000766	XP_011392906.1	YOR155C
OG0000767	XP_011392992.1	YOL058W
OG0000768	XP_011393191.1	YOR339C
OG0000769	XP_011393246.1	YAL043C
OG0000770	XP_011393339.1	YMR002W
OG0000771	XP_011393345.1	YPL125W
OG0000772	XP_011393362.1	YDR437W
OG0000773	XP_011393363.1	YGL196W
OG0000774	XP_011393370.1	YLR059C
OG0000775	XP_011393371.1	YMR194C-B
OG0000776	XP_011393377.1	YDR286C
OG0000777	XP_011393386.1	YGL122C
OG0000778	XP_011393388.1	YER074W-A
OG0000779	XP_011393465.1	YJR053W
OG0000780	XP_011393470.1	YJR033C
OG0000781	XP_011393485.1	YMR241W
OG0000782	XP_011393537.1	YNR032C-A
OG0000783	XP_011393607.1	YDL076C
OG0000784	XP_011393630.1	YGL240W
OG0000785	XP_011393638.1	YBR085W
OG0000786	XP_011393677.1	YDL054C
OG0000787	XP_011393684.1	YMR126C
OG0000788	XP_011393727.1	YPR153W
OG0000789	XP_011393787.1	YKL138C
OG0000790	XP_011393824.1	YNR017W
OG0000791	XP_011393916.1	YOL038W
OG0000792	XP_011393920.1	YLR229C
OG0000793	XP_011393940.1	YJR112W
OG0000794	XP_011394037.1	YOR236W
OG0000795	XP_011394042.1	YDR268W
OG0000796	XP_011394055.1	YDR179W-A
OG0000797	XP_011394063.1	YGR080W
OG0000798	XP_011394090.1	YGL100W
OG0000799	XP_011394113.1	YPR035W
OG0000800	XP_011394156.1	YIL065C
OG0000801	XP_011394171.1	YNL088W
OG0000802	XP_011394216.1	YLR410W
OG0000803	XP_011394349.1	YKR034W
OG0000804	XP_011394356.1	YOR087W
OG0000805	XP_011394372.1	YHR089C
OG0000806	XP_011394378.1	YPL207W
OG0000807	XP_011394380.1	YAL033W
OG0000808	XP_011394387.1	YKL014C
OG0000809	XP_011394388.1	YLR242C
OG0000810	XP_011394393.1	YLR418C
OG0000811	XP_011394394.1	YMR035W
OG0000812	XP_011394408.1	YIL042C
OG0000813	XP_011394421.1	YGR227W
OG0000814	XP_011394441.1	YOR305W
OG0000815	XP_011394448.1	YLR050C
OG0000816	XP_011394531.1	YOR326W
OG0000817	XP_011394566.1, XP_011394567.1	
OG0000818	XP_011394634.1	YKL067W
OG0000819	XP_011394640.1	YMR289W
OG0000820	XP_011394768.1	YJL213W
OG0000821	XP_011394818.1	YLR099W-A
OG0000822	XP_011394826.1	YOR037W
OG0000823	XP_011394827.1	YHR079C-A
OG0000824	XP_011394842.1	YMR150C
OG0000825	XP_011394849.1	YOL123W
OG0000826	XP_011394879.1	YGR204W
OG0000827	XP_011395043.1	YER162C
OG0000828	XP_011395048.1	YLR218C
OG0000829	XP_011395054.1	YOR022C
OG0000830	XP_011395059.1	YDR034C
OG0000831	XP_011395120.1	YGR216C
OG0000832	XP_011395129.1	YNL132W
OG0000833	XP_011395130.1	YOL114C
OG0000834	XP_011395179.1	YLR186W
OG0000835	XP_011395322.1	YHL004W
OG0000836	XP_011395335.1	YHL021C
OG0000837	XP_011395353.1	YLR195C
OG0000838	XP_011395378.1	YKL053C-A
OG0000839	XP_011395384.1	YPR194C
OG0000840	XP_955761.1	YLR250W
OG0000841	XP_955769.1	YDR190C
OG0000842	XP_955772.2	YOR260W
OG0000843	XP_955775.2	YER159C
OG0000844	XP_955777.1	YML105C
OG0000845	XP_955799.1	YER061C
OG0000846	XP_955800.1	YPL215W
OG0000847	XP_955821.1	YDL056W
OG0000848	XP_955826.3	YDR332W
OG0000849	XP_955827.1	YJL100W
OG0000850	XP_955834.1	YER145C
OG0000851	XP_955835.1	YMR058W
OG0000852	XP_955840.1	YGL065C
OG0000853	XP_955842.2	YGR031W
OG0000854	XP_955843.1	YPL210C
OG0000855	XP_955845.1	YDL122W
OG0000856	XP_955852.2	YER156C
OG0000857	XP_955860.2	YIR032C
OG0000858	XP_955862.3	YKL092C
OG0000859	XP_955863.1	YLR216C
OG0000860	XP_955864.3	YDL219W
OG0000861	XP_955871.1	YCR002C
OG0000862	XP_955872.1	YCR003W
OG0000863	XP_955873.3	YGL213C
OG0000864	XP_955875.1	YEL021W
OG0000865	XP_955879.1	YMR272C
OG0000866	XP_955882.1	YCR079W
OG0000867	XP_955906.2	YDR212W
OG0000868	XP_955907.2	YHR020W
OG0000869	XP_955912.1	YNL219C
OG0000870	XP_955913.1	YNL124W
OG0000871	XP_955917.2	YGR218W
OG0000872	XP_955918.1	YFL030W
OG0000873	XP_955919.1	YHR012W
OG0000874	XP_955934.1	YPL054W
OG0000875	XP_955935.1	YKL192C
OG0000876	XP_955939.3	YNL262W
OG0000877	XP_955951.1	YNL308C
OG0000878	XP_955952.1	YOR089C
OG0000879	XP_955958.2	YOL061W
OG0000880	XP_955963.1	YJR069C
OG0000881	XP_955965.3	YDR023W
OG0000882	XP_955966.1	YCR027C
OG0000883	XP_955969.1	YKL160W
OG0000884	XP_955974.2	YLR441C
OG0000885	XP_955981.1	YDR486C
OG0000886	XP_955989.1	YOR184W
OG0000887	XP_955991.1	YNL271C
OG0000888	XP_955993.1	YGR123C
OG0000889	XP_955995.3	YPR161C
OG0000890	XP_955998.2	YKR048C
OG0000891	XP_955999.1	YER081W
OG0000892	XP_956000.1	YDR127W
OG0000893	XP_956005.1	YDR473C
OG0000894	XP_956006.2	YOR341W
OG0000895	XP_956008.2	YDL020C
OG0000896	XP_956010.3	YDR490C
OG0000897	XP_956014.1	YBL076C
OG0000898	XP_956015.1	YKL189W
OG0000899	XP_956018.1	YBL036C
OG0000900	XP_956027.1	YNL148C
OG0000901	XP_956039.1	YLR316C
OG0000902	XP_956050.1	YOL073C
OG0000903	XP_956051.1	YBR002C
OG0000904	XP_956053.1	YLR352W
OG0000905	XP_956054.1	YOR270C
OG0000906	XP_956055.1	YML098W
OG0000907	XP_956056.2	YNL024C-A
OG0000908	XP_956064.3	YBR291C
OG0000909	XP_956066.1	YBR290W
OG0000910	XP_956076.1	YDR126W
OG0000911	XP_956077.2	YDR336W
OG0000912	XP_956078.1	YIL098C
OG0000913	XP_956083.1	YDR214W
OG0000914	XP_956086.2	YPL006W
OG0000915	XP_956111.1	YNL280C
OG0000916	XP_956115.1	YLR423C
OG0000917	XP_956116.2	YOR119C
OG0000918	XP_956120.3	YEL053C
OG0000919	XP_956122.2	YPR191W
OG0000920	XP_956124.1	YDL198C
OG0000921	XP_956135.1	YGL174W
OG0000922	XP_956136.2	YGR186W
OG0000923	XP_956143.2	YKL210W
OG0000924	XP_956146.2	YGR014W
OG0000925	XP_956151.3	YBR079C
OG0000926	XP_956152.2	YJR086W
OG0000927	XP_956154.2	YER133W
OG0000928	XP_956156.1	YPR031W
OG0000929	XP_956161.2	YGR193C
OG0000930	XP_956165.3	YJL197W
OG0000931	XP_956166.2	YLR389C
OG0000932	XP_956172.1	YIL064W
OG0000933	XP_956174.2	YNL178W
OG0000934	XP_956178.1	YFR051C
OG0000935	XP_956186.1	YML069W
OG0000936	XP_956189.2	YGL236C
OG0000937	XP_956201.2	YNL083W
OG0000938	XP_956205.1	YNL003C
OG0000939	XP_956206.3	YOL087C
OG0000940	XP_956217.1	YPR056W
OG0000941	XP_956242.3	YDL077C
OG0000942	XP_956243.3	YNR013C
OG0000943	XP_956248.1	YBL078C
OG0000944	XP_956249.2	YDR044W
OG0000945	XP_956250.1	YOR261C
OG0000946	XP_956253.3	YDR226W
OG0000947	XP_956256.1	YNR041C
OG0000948	XP_956265.1	YOR048C
OG0000949	XP_956266.1	YDL058W
OG0000950	XP_956267.2	YFL010C
OG0000951	XP_956270.2	YAL023C
OG0000952	XP_956272.3	YKL167C
OG0000953	XP_956274.3	YLR303W
OG0000954	XP_956276.2	YER015W
OG0000955	XP_956279.2	YPL132W
OG0000956	XP_956297.1	YDL015C
OG0000957	XP_956298.1	YJL050W
OG0000958	XP_956300.2	YHR040W
OG0000959	XP_956301.2	YPR129W
OG0000960	XP_956302.1	YDR333C
OG0000961	XP_956303.1	YNL259C
OG0000962	XP_956315.1	YOR020C
OG0000963	XP_956316.1	YNL183C
OG0000964	XP_956317.1	YNL185C
OG0000965	XP_956318.1	YDR346C
OG0000966	XP_956320.3	YCR036W
OG0000967	XP_956325.1	YKR026C
OG0000968	XP_956329.1	YPL217C
OG0000969	XP_956337.3	YMR301C
OG0000970	XP_956349.1	YDR074W
OG0000971	XP_956355.1	YDR006C
OG0000972	XP_956368.1	YLR277C
OG0000973	XP_956370.1	YPR065W
OG0000974	XP_956374.1	YNL233W
OG0000975	XP_956375.3	YML080W
OG0000976	XP_956376.3	YGR278W
OG0000977	XP_956385.1	YLR008C
OG0000978	XP_956387.3	YMR106C
OG0000979	XP_956388.2	YPR098C
OG0000980	XP_956391.3	YLR234W
OG0000981	XP_956393.3	YDR169C
OG0000982	XP_956396.2	YJL068C
OG0000983	XP_956400.1	YGL234W
OG0000984	XP_956401.1	YKL110C
OG0000985	XP_956411.2	YGL180W
OG0000986	XP_956416.1	YGL142C
OG0000987	XP_956441.1	YNL051W
OG0000988	XP_956442.2	YNL032W
OG0000989	XP_956444.1	YMR161W
OG0000990	XP_956450.1	YIL068C
OG0000991	XP_956452.1	YIL093C
OG0000992	XP_956456.2	YJL060W
OG0000993	XP_956461.3	YPL133C
OG0000994	XP_956465.2	YOL054W
OG0000995	XP_956468.3	YPR024W
OG0000996	XP_956469.1	YKL041W
OG0000997	XP_956470.2	YKL117W
OG0000998	XP_956471.1	YDR381W
OG0000999	XP_956473.1	YOR091W
OG0001000	XP_956475.1	YNR047W
OG0001001	XP_956477.1	YBR233W-A
OG0001002	XP_956478.1	YBR251W
OG0001003	XP_956481.2	YGL017W
OG0001004	XP_956482.1	YOR163W
OG0001005	XP_956484.1	YDL111C
OG0001006	XP_956487.1	YLL034C
OG0001007	XP_956494.1	YIR029W
OG0001008	XP_956495.1	YPR089W
OG0001009	XP_956500.3	YLR259C
OG0001010	XP_956506.2	YLL011W
