	Metschnikowia_aberdeeniae	Saccharomyces_cerevisiae
OG0000155	genemark-abe-_s70-processed-gene-8.30-mRNA-1_1&gene=genemark-abe-_s70-processed-gene-8.30&CDS=1-1731, snap_masked-abe-_s2-processed-gene-6.74-mRNA-1_1&gene=snap_masked-abe-_s2-processed-gene-6.74&CDS=1-1254	YDL225W, YLR314C
OG0000156	augustus_masked-abe-_s2-processed-gene-6.128-mRNA-1_1&gene=augustus_masked-abe-_s2-processed-gene-6.128&CDS=1-309, augustus_masked-abe-_s25-processed-gene-5.41-mRNA-1_1&gene=augustus_masked-abe-_s25-processed-gene-5.41&CDS=1-309	YBR009C, YNL030W
OG0000157	augustus_masked-abe-_s2-processed-gene-7.182-mRNA-1_1&gene=augustus_masked-abe-_s2-processed-gene-7.182&CDS=1-2127, augustus_masked-abe-_s69-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-abe-_s69-processed-gene-0.27&CDS=1-1950	YLR098C, YOR337W
OG0000158	augustus_masked-abe-_s75-processed-gene-4.38-mRNA-1_1&gene=augustus_masked-abe-_s75-processed-gene-4.38&CDS=1-2598, snap_masked-abe-_s2-processed-gene-7.78-mRNA-1_1&gene=snap_masked-abe-_s2-processed-gene-7.78&CDS=1-1410	YER007W, YPL174C
OG0000159	augustus_masked-abe-_s25-processed-gene-1.73-mRNA-1_1&gene=augustus_masked-abe-_s25-processed-gene-1.73&CDS=1-939, snap_masked-abe-_s6-processed-gene-0.120-mRNA-1_1&gene=snap_masked-abe-_s6-processed-gene-0.120&CDS=1-1239	YDL216C, YFR004W
OG0000160	maker-abe-_s7-snap-gene-7.51-mRNA-1_1&gene=maker-abe-_s7-snap-gene-7.51&CDS=1-1110, snap_masked-abe-_s25-processed-gene-2.88-mRNA-1_1&gene=snap_masked-abe-_s25-processed-gene-2.88&CDS=1-1062	YNL283C, YOL105C
OG0000161	augustus_masked-abe-_s7-processed-gene-3.20-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-3.20&CDS=1-1887, snap_masked-abe-_s25-processed-gene-4.85-mRNA-1_1&gene=snap_masked-abe-_s25-processed-gene-4.85&CDS=1-1011	YDR505C, YLR177W
OG0000162	augustus_masked-abe-_s25-processed-gene-4.16-mRNA-1_1&gene=augustus_masked-abe-_s25-processed-gene-4.16&CDS=1-2553, augustus_masked-abe-_s6-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-abe-_s6-processed-gene-0.48&CDS=1-3480	YBR114W, YOR191W
OG0000163	augustus_masked-abe-_s25-processed-gene-6.140-mRNA-1_1&gene=augustus_masked-abe-_s25-processed-gene-6.140&CDS=1-3945, maker-abe-_s75-augustus-gene-11.0-mRNA-1_1&gene=maker-abe-_s75-augustus-gene-11.0&CDS=1-4911	YDR334W, YGL150C
OG0000164	augustus_masked-abe-_s25-processed-gene-6.183-mRNA-1_1&gene=augustus_masked-abe-_s25-processed-gene-6.183&CDS=1-1668	YDR144C, YLR120C, YLR121C
OG0000165	augustus_masked-abe-_s7-processed-gene-3.14-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-3.14&CDS=1-1353, maker-abe-_s34-augustus-gene-0.138-mRNA-1_1&gene=maker-abe-_s34-augustus-gene-0.138&CDS=1-1428	YOL030W, YOL132W
OG0000166	augustus_masked-abe-_s34-processed-gene-1.32-mRNA-1_1&gene=augustus_masked-abe-_s34-processed-gene-1.32&CDS=1-4026, augustus_masked-abe-_s7-processed-gene-5.59-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-5.59&CDS=1-3066	YGR048W, YJR132W
OG0000167	augustus_masked-abe-_s70-processed-gene-6.101-mRNA-1_1&gene=augustus_masked-abe-_s70-processed-gene-6.101&CDS=1-1080, maker-abe-_s34-augustus-gene-1.109-mRNA-1_1&gene=maker-abe-_s34-augustus-gene-1.109&CDS=1-1917, maker-abe-_s70-augustus-gene-8.0-mRNA-1_1&gene=maker-abe-_s70-augustus-gene-8.0&CDS=1-2025	YML131W
OG0000168	augustus_masked-abe-_s34-processed-gene-1.38-mRNA-1_1&gene=augustus_masked-abe-_s34-processed-gene-1.38&CDS=1-1176, augustus_masked-abe-_s4-processed-gene-1.135-mRNA-1_1&gene=augustus_masked-abe-_s4-processed-gene-1.135&CDS=1-2091	YCL039W, YKL021C
OG0000169	augustus_masked-abe-_s7-processed-gene-6.31-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-6.31&CDS=1-1476, maker-abe-_s34-augustus-gene-2.129-mRNA-1_1&gene=maker-abe-_s34-augustus-gene-2.129&CDS=1-2925	YGL202W, YHR137W
OG0000170	augustus_masked-abe-_s34-processed-gene-3.65-mRNA-1_1&gene=augustus_masked-abe-_s34-processed-gene-3.65&CDS=1-4755, augustus_masked-abe-_s70-processed-gene-7.33-mRNA-1_1&gene=augustus_masked-abe-_s70-processed-gene-7.33&CDS=1-3849	YAL026C, YMR162C
OG0000171	maker-abe-_s34-snap-gene-3.81-mRNA-1_1&gene=maker-abe-_s34-snap-gene-3.81&CDS=1-3096, snap_masked-abe-_s7-processed-gene-11.57-mRNA-1_1&gene=snap_masked-abe-_s7-processed-gene-11.57&CDS=1-2097	YER041W, YGR258C
OG0000172	augustus_masked-abe-_s34-processed-gene-3.63-mRNA-1_1&gene=augustus_masked-abe-_s34-processed-gene-3.63&CDS=1-2772, augustus_masked-abe-_s34-processed-gene-5.48-mRNA-1_1&gene=augustus_masked-abe-_s34-processed-gene-5.48&CDS=1-3048	YHR098C, YNL049C
OG0000173	augustus_masked-abe-_s7-processed-gene-6.32-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-6.32&CDS=1-1701, snap_masked-abe-_s34-processed-gene-4.70-mRNA-1_1&gene=snap_masked-abe-_s34-processed-gene-4.70&CDS=1-1815	YGL003C, YGL116W
OG0000174	augustus_masked-abe-_s34-processed-gene-4.116-mRNA-1_1&gene=augustus_masked-abe-_s34-processed-gene-4.116&CDS=1-1218, genemark-abe-_s75-processed-gene-2.115-mRNA-1_1&gene=genemark-abe-_s75-processed-gene-2.115&CDS=1-1269	YBR078W, YDR055W
OG0000175	genemark-abe-_s34-processed-gene-4.20-mRNA-1_1&gene=genemark-abe-_s34-processed-gene-4.20&CDS=1-6084	YOL055C, YPL258C, YPR121W
OG0000176	augustus_masked-abe-_s34-processed-gene-6.242-mRNA-1_1&gene=augustus_masked-abe-_s34-processed-gene-6.242&CDS=1-2574, augustus_masked-abe-_s7-processed-gene-7.35-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-7.35&CDS=1-2793	YHR047C, YIL137C
OG0000177	augustus_masked-abe-_s34-processed-gene-6.251-mRNA-1_1&gene=augustus_masked-abe-_s34-processed-gene-6.251&CDS=1-1095, augustus_masked-abe-_s70-processed-gene-0.89-mRNA-1_1&gene=augustus_masked-abe-_s70-processed-gene-0.89&CDS=1-1008	YGL185C, YNL274C
OG0000178	augustus_masked-abe-_s4-processed-gene-0.93-mRNA-1_1&gene=augustus_masked-abe-_s4-processed-gene-0.93&CDS=1-1032	YCR102C, YLR460C, YNL134C
OG0000179	augustus_masked-abe-_s4-processed-gene-0.95-mRNA-1_1&gene=augustus_masked-abe-_s4-processed-gene-0.95&CDS=1-1299, snap_masked-abe-_s75-processed-gene-0.68-mRNA-1_1&gene=snap_masked-abe-_s75-processed-gene-0.68&CDS=1-1467	YJL103C, YPL133C
OG0000180	maker-abe-_s4-snap-gene-0.89-mRNA-1_1&gene=maker-abe-_s4-snap-gene-0.89&CDS=1-2901, maker-abe-_s7-augustus-gene-4.143-mRNA-1_1&gene=maker-abe-_s7-augustus-gene-4.143&CDS=1-1599	YDR243C, YNL112W
OG0000181	augustus_masked-abe-_s4-processed-gene-1.121-mRNA-1_1&gene=augustus_masked-abe-_s4-processed-gene-1.121&CDS=1-3849, augustus_masked-abe-_s4-processed-gene-2.76-mRNA-1_1&gene=augustus_masked-abe-_s4-processed-gene-2.76&CDS=1-2160	YOR018W, YPL094C
OG0000182	augustus_masked-abe-_s77-processed-gene-2.166-mRNA-1_1&gene=augustus_masked-abe-_s77-processed-gene-2.166&CDS=1-2850, snap_masked-abe-_s4-processed-gene-1.81-mRNA-1_1&gene=snap_masked-abe-_s4-processed-gene-1.81&CDS=1-2754	YJL098W, YKR028W
OG0000183	augustus_masked-abe-_s4-processed-gene-2.22-mRNA-1_1&gene=augustus_masked-abe-_s4-processed-gene-2.22&CDS=1-1080, augustus_masked-abe-_s77-processed-gene-2.144-mRNA-1_1&gene=augustus_masked-abe-_s77-processed-gene-2.144&CDS=1-3855	YER042W, YLR130C
OG0000184	genemark-abe-_s4-processed-gene-2.109-mRNA-1_1&gene=genemark-abe-_s4-processed-gene-2.109&CDS=1-5472, genemark-abe-_s4-processed-gene-2.151-mRNA-1_1&gene=genemark-abe-_s4-processed-gene-2.151&CDS=1-5154	YGR184C, YLR024C
OG0000185	genemark-abe-_s4-processed-gene-2.116-mRNA-1_1&gene=genemark-abe-_s4-processed-gene-2.116&CDS=1-1749, maker-abe-_s70-snap-gene-6.57-mRNA-1_1&gene=maker-abe-_s70-snap-gene-6.57&CDS=1-3363	YJL172W, YOL153C
OG0000186	augustus_masked-abe-_s4-processed-gene-2.42-mRNA-1_1&gene=augustus_masked-abe-_s4-processed-gene-2.42&CDS=1-3249	YDR038C, YDR039C, YDR040C
OG0000187	augustus_masked-abe-_s4-processed-gene-2.52-mRNA-1_1&gene=augustus_masked-abe-_s4-processed-gene-2.52&CDS=1-2265, augustus_masked-abe-_s70-processed-gene-4.26-mRNA-1_1&gene=augustus_masked-abe-_s70-processed-gene-4.26&CDS=1-1524	YBL052C, YOR244W
OG0000188	augustus_masked-abe-_s52-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-abe-_s52-processed-gene-0.7&CDS=1-1329, augustus_masked-abe-_s75-processed-gene-9.65-mRNA-1_1&gene=augustus_masked-abe-_s75-processed-gene-9.65&CDS=1-3078	YOL087C, YOR272W
OG0000189	augustus_masked-abe-_s6-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-abe-_s6-processed-gene-0.5&CDS=1-1503, genemark-abe-_s70-processed-gene-0.9-mRNA-1_1&gene=genemark-abe-_s70-processed-gene-0.9&CDS=1-1530	YER048C, YIR004W
OG0000190	augustus_masked-abe-_s75-processed-gene-3.132-mRNA-1_1&gene=augustus_masked-abe-_s75-processed-gene-3.132&CDS=1-2745, maker-abe-_s6-augustus-gene-0.170-mRNA-1_1&gene=maker-abe-_s6-augustus-gene-0.170&CDS=1-1944	YDL174C, YGR286C
OG0000191	augustus_masked-abe-_s7-processed-gene-1.102-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-1.102&CDS=1-1344, snap_masked-abe-_s7-processed-gene-0.13-mRNA-1_1&gene=snap_masked-abe-_s7-processed-gene-0.13&CDS=1-1185	YGL194C, YPR068C
OG0000192	augustus_masked-abe-_s7-processed-gene-2.65-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-2.65&CDS=1-1005, genemark-abe-_s7-processed-gene-2.17-mRNA-1_1&gene=genemark-abe-_s7-processed-gene-2.17&CDS=1-1044, snap_masked-abe-_s7-processed-gene-2.103-mRNA-1_1&gene=snap_masked-abe-_s7-processed-gene-2.103&CDS=1-996	YJR019C
OG0000193	augustus_masked-abe-_s7-processed-gene-2.75-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-2.75&CDS=1-1410, augustus_masked-abe-_s70-processed-gene-3.79-mRNA-1_1&gene=augustus_masked-abe-_s70-processed-gene-3.79&CDS=1-1467	YBR263W, YLR058C
OG0000194	genemark-abe-_s7-processed-gene-3.98-mRNA-1_1&gene=genemark-abe-_s7-processed-gene-3.98&CDS=1-2673	YML111W, YMR275C, YNR069C
OG0000195	augustus_masked-abe-_s7-processed-gene-3.12-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-3.12&CDS=1-1380, maker-abe-_s7-augustus-gene-4.145-mRNA-1_1&gene=maker-abe-_s7-augustus-gene-4.145&CDS=1-2298	YMR020W, YMR022W
OG0000196	augustus_masked-abe-_s7-processed-gene-4.97-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-4.97&CDS=1-4236, snap_masked-abe-_s7-processed-gene-6.70-mRNA-1_1&gene=snap_masked-abe-_s7-processed-gene-6.70&CDS=1-3024	YLR389C, YPR122W
OG0000197	augustus_masked-abe-_s70-processed-gene-0.58-mRNA-1_1&gene=augustus_masked-abe-_s70-processed-gene-0.58&CDS=1-1431, maker-abe-_s7-augustus-gene-4.146-mRNA-1_1&gene=maker-abe-_s7-augustus-gene-4.146&CDS=1-1461	YBR283C, YLR378C
OG0000198	augustus_masked-abe-_s7-processed-gene-5.41-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-5.41&CDS=1-2271, augustus_masked-abe-_s70-processed-gene-4.37-mRNA-1_1&gene=augustus_masked-abe-_s70-processed-gene-4.37&CDS=1-7311	YJL102W, YLR069C
OG0000199	augustus_masked-abe-_s70-processed-gene-5.71-mRNA-1_1&gene=augustus_masked-abe-_s70-processed-gene-5.71&CDS=1-1095, maker-abe-_s7-augustus-gene-6.56-mRNA-1_1&gene=maker-abe-_s7-augustus-gene-6.56&CDS=1-1119	YBR249C, YDR035W
OG0000200	maker-abe-_s70-augustus-gene-2.47-mRNA-1_1&gene=maker-abe-_s70-augustus-gene-2.47&CDS=1-7260, snap_masked-abe-_s7-processed-gene-7.126-mRNA-1_1&gene=snap_masked-abe-_s7-processed-gene-7.126&CDS=1-8463	YBL088C, YBR136W
OG0000201	maker-abe-_s70-augustus-gene-1.48-mRNA-1_1&gene=maker-abe-_s70-augustus-gene-1.48&CDS=1-2457, snap_masked-abe-_s7-processed-gene-8.30-mRNA-1_1&gene=snap_masked-abe-_s7-processed-gene-8.30&CDS=1-1020	YDL134C, YOL140W
OG0000202	augustus_masked-abe-_s7-processed-gene-9.48-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-9.48&CDS=1-2337, augustus_masked-abe-_s70-processed-gene-7.27-mRNA-1_1&gene=augustus_masked-abe-_s70-processed-gene-7.27&CDS=1-2553	YDL132W, YGR003W
OG0000203	augustus_masked-abe-_s7-processed-gene-10.6-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-10.6&CDS=1-7578, augustus_masked-abe-_s75-processed-gene-8.41-mRNA-1_1&gene=augustus_masked-abe-_s75-processed-gene-8.41&CDS=1-8043	YLR454W, YPR117W
OG0000204	snap_masked-abe-_s70-processed-gene-1.83-mRNA-1_1&gene=snap_masked-abe-_s70-processed-gene-1.83&CDS=1-768, snap_masked-abe-_s75-processed-gene-11.212-mRNA-1_1&gene=snap_masked-abe-_s75-processed-gene-11.212&CDS=1-816	YIR013C, YLR013W
OG0000205	augustus_masked-abe-_s70-processed-gene-4.31-mRNA-1_1&gene=augustus_masked-abe-_s70-processed-gene-4.31&CDS=1-1668, augustus_masked-abe-_s77-processed-gene-1.33-mRNA-1_1&gene=augustus_masked-abe-_s77-processed-gene-1.33&CDS=1-2070	YDL113C, YDR425W
OG0000206	augustus_masked-abe-_s70-processed-gene-7.20-mRNA-1_1&gene=augustus_masked-abe-_s70-processed-gene-7.20&CDS=1-1857, augustus_masked-abe-_s75-processed-gene-11.83-mRNA-1_1&gene=augustus_masked-abe-_s75-processed-gene-11.83&CDS=1-1599	YBR212W, YHR086W
OG0000207	augustus_masked-abe-_s75-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-abe-_s75-processed-gene-0.23&CDS=1-996	YGR192C, YJL052W, YJR009C
OG0000208	augustus_masked-abe-_s75-processed-gene-5.32-mRNA-1_1&gene=augustus_masked-abe-_s75-processed-gene-5.32&CDS=1-1605, augustus_masked-abe-_s77-processed-gene-1.29-mRNA-1_1&gene=augustus_masked-abe-_s77-processed-gene-1.29&CDS=1-1314	YDL091C, YML013W
OG0000209	augustus_masked-abe-_s75-processed-gene-10.8-mRNA-1_1&gene=augustus_masked-abe-_s75-processed-gene-10.8&CDS=1-1446, augustus_masked-abe-_s75-processed-gene-9.71-mRNA-1_1&gene=augustus_masked-abe-_s75-processed-gene-9.71&CDS=1-1314	YDR463W, YHR006W
OG0000210	augustus_masked-abe-_s75-processed-gene-11.93-mRNA-1_1&gene=augustus_masked-abe-_s75-processed-gene-11.93&CDS=1-2355, augustus_masked-abe-_s77-processed-gene-2.160-mRNA-1_1&gene=augustus_masked-abe-_s77-processed-gene-2.160&CDS=1-2094	YIL095W, YNL020C
OG0000211		YKL222C, YLR266C, YOR162C, YOR172W
OG0000212	augustus_masked-abe-_C11984-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-abe-_C11984-processed-gene-0.0&CDS=1-525	YHL033C, YLL045C
OG0000213	augustus_masked-abe-_C12034-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-abe-_C12034-processed-gene-0.2&CDS=1-651	YFR031C-A, YIL018W
OG0000214	augustus_masked-abe-_s1-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-abe-_s1-processed-gene-0.35&CDS=1-2550	YFR053C, YGL253W
OG0000215	augustus_masked-abe-_s1-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-abe-_s1-processed-gene-0.45&CDS=1-1275, augustus_masked-abe-_s2-processed-gene-3.86-mRNA-1_1&gene=augustus_masked-abe-_s2-processed-gene-3.86&CDS=1-1425	YHR135C
OG0000216	augustus_masked-abe-_s1-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-abe-_s1-processed-gene-0.46&CDS=1-588	YER067W, YIL057C
OG0000217	augustus_masked-abe-_s1-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-abe-_s1-processed-gene-0.53&CDS=1-1191, maker-abe-_s7-snap-gene-8.98-mRNA-1_1&gene=maker-abe-_s7-snap-gene-8.98&CDS=1-2943	YDR021W
OG0000218	augustus_masked-abe-_s1-processed-gene-1.114-mRNA-1_1&gene=augustus_masked-abe-_s1-processed-gene-1.114&CDS=1-4308	YBL079W, YER105C
OG0000219	augustus_masked-abe-_s1-processed-gene-1.144-mRNA-1_1&gene=augustus_masked-abe-_s1-processed-gene-1.144&CDS=1-534	YOR226C, YPL135W
OG0000220	augustus_masked-abe-_s1-processed-gene-1.120-mRNA-1_1&gene=augustus_masked-abe-_s1-processed-gene-1.120&CDS=1-927, augustus_masked-abe-_s7-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-0.48&CDS=1-963	YKL128C
OG0000221	augustus_masked-abe-_s1-processed-gene-1.123-mRNA-1_1&gene=augustus_masked-abe-_s1-processed-gene-1.123&CDS=1-2745	YDR251W, YPL032C
OG0000222	augustus_masked-abe-_s1-processed-gene-1.150-mRNA-1_1&gene=augustus_masked-abe-_s1-processed-gene-1.150&CDS=1-1842, augustus_masked-abe-_s2-processed-gene-7.183-mRNA-1_1&gene=augustus_masked-abe-_s2-processed-gene-7.183&CDS=1-1917	YNL101W
OG0000223	snap_masked-abe-_s1-processed-gene-1.89-mRNA-1_1&gene=snap_masked-abe-_s1-processed-gene-1.89&CDS=1-885	YER045C, YIL036W
OG0000224	augustus_masked-abe-_s1-processed-gene-2.2-mRNA-1_1&gene=augustus_masked-abe-_s1-processed-gene-2.2&CDS=1-3276	YGR238C, YHR158C
OG0000225	augustus_masked-abe-_s1-processed-gene-2.7-mRNA-1_1&gene=augustus_masked-abe-_s1-processed-gene-2.7&CDS=1-1773, genemark-abe-_s1-processed-gene-4.131-mRNA-1_1&gene=genemark-abe-_s1-processed-gene-4.131&CDS=1-1839	YNL104C
OG0000226	augustus_masked-abe-_s1-processed-gene-2.8-mRNA-1_1&gene=augustus_masked-abe-_s1-processed-gene-2.8&CDS=1-600	YIL133C, YNL069C
OG0000227	augustus_masked-abe-_s2-processed-gene-6.130-mRNA-1_1&gene=augustus_masked-abe-_s2-processed-gene-6.130&CDS=1-1314, maker-abe-_s1-snap-gene-2.1-mRNA-1_1&gene=maker-abe-_s1-snap-gene-2.1&CDS=1-3369	YDL020C
OG0000228	snap_masked-abe-_s1-processed-gene-3.51-mRNA-1_1&gene=snap_masked-abe-_s1-processed-gene-3.51&CDS=1-501	YDR447C, YML024W
OG0000229	augustus_masked-abe-_s1-processed-gene-3.11-mRNA-1_1&gene=augustus_masked-abe-_s1-processed-gene-3.11&CDS=1-2094, augustus_masked-abe-_s25-processed-gene-2.7-mRNA-1_1&gene=augustus_masked-abe-_s25-processed-gene-2.7&CDS=1-2070	YLL029W
OG0000230	augustus_masked-abe-_s1-processed-gene-3.25-mRNA-1_1&gene=augustus_masked-abe-_s1-processed-gene-3.25&CDS=1-1098	YML118W, YMR285C
OG0000231	augustus_masked-abe-_s1-processed-gene-4.14-mRNA-1_1&gene=augustus_masked-abe-_s1-processed-gene-4.14&CDS=1-1659, augustus_masked-abe-_s2-processed-gene-7.196-mRNA-1_1&gene=augustus_masked-abe-_s2-processed-gene-7.196&CDS=1-1734	YML054C
OG0000232	augustus_masked-abe-_s1-processed-gene-4.25-mRNA-1_1&gene=augustus_masked-abe-_s1-processed-gene-4.25&CDS=1-1032	YGL082W, YPL191C
OG0000233	augustus_masked-abe-_s25-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-abe-_s25-processed-gene-0.14&CDS=1-1878, genemark-abe-_s12-processed-gene-0.1-mRNA-1_1&gene=genemark-abe-_s12-processed-gene-0.1&CDS=1-1485	YHR124W
OG0000234	augustus_masked-abe-_s12-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-0.44&CDS=1-1659	YKL127W, YMR105C
OG0000235	augustus_masked-abe-_s12-processed-gene-3.90-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-3.90&CDS=1-924, maker-abe-_s12-snap-gene-0.71-mRNA-1_1&gene=maker-abe-_s12-snap-gene-0.71&CDS=1-1938	YGR086C
OG0000236	snap_masked-abe-_s12-processed-gene-1.98-mRNA-1_1&gene=snap_masked-abe-_s12-processed-gene-1.98&CDS=1-246	YHR021C, YKL156W
OG0000237	augustus_masked-abe-_s12-processed-gene-1.125-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-1.125&CDS=1-2181, augustus_masked-abe-_s2-processed-gene-6.138-mRNA-1_1&gene=augustus_masked-abe-_s2-processed-gene-6.138&CDS=1-2802	YDL095W
OG0000238	augustus_masked-abe-_s12-processed-gene-1.127-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-1.127&CDS=1-1167	YDR312W, YHR066W
OG0000239	augustus_masked-abe-_s12-processed-gene-1.151-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-1.151&CDS=1-1110, augustus_masked-abe-_s25-processed-gene-5.32-mRNA-1_1&gene=augustus_masked-abe-_s25-processed-gene-5.32&CDS=1-2010	YDL022W
OG0000240	augustus_masked-abe-_s12-processed-gene-1.130-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-1.130&CDS=1-435	YGR118W, YPR132W
OG0000241	augustus_masked-abe-_s12-processed-gene-1.155-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-1.155&CDS=1-1647	YDL224C, YNL197C
OG0000242	genemark-abe-_s12-processed-gene-2.54-mRNA-1_1&gene=genemark-abe-_s12-processed-gene-2.54&CDS=1-7698	YLL016W, YLR310C
OG0000243	maker-abe-_s12-snap-gene-2.7-mRNA-1_1&gene=maker-abe-_s12-snap-gene-2.7&CDS=1-1617	YHR131C, YNL144C
OG0000244	augustus_masked-abe-_s12-processed-gene-2.40-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-2.40&CDS=1-834	YGR027C, YLR333C
OG0000245	snap_masked-abe-_s12-processed-gene-2.132-mRNA-1_1&gene=snap_masked-abe-_s12-processed-gene-2.132&CDS=1-819	YDL049C, YJL174W
OG0000246	augustus_masked-abe-_s12-processed-gene-3.64-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-3.64&CDS=1-516	YGR085C, YPR102C
OG0000247	augustus_masked-abe-_s7-processed-gene-6.41-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-6.41&CDS=1-1533, maker-abe-_s12-augustus-gene-3.4-mRNA-1_1&gene=maker-abe-_s12-augustus-gene-3.4&CDS=1-2166	YLR034C
OG0000248	maker-abe-_s12-augustus-gene-4.92-mRNA-1_1&gene=maker-abe-_s12-augustus-gene-4.92&CDS=1-1377	YNL108C, YOR110W
OG0000249	augustus_masked-abe-_s12-processed-gene-4.26-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-4.26&CDS=1-2376, maker-abe-_s7-augustus-gene-6.58-mRNA-1_1&gene=maker-abe-_s7-augustus-gene-6.58&CDS=1-3330	YPR181C
OG0000250	augustus_masked-abe-_s12-processed-gene-4.15-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-4.15&CDS=1-1566, augustus_masked-abe-_s25-processed-gene-6.137-mRNA-1_1&gene=augustus_masked-abe-_s25-processed-gene-6.137&CDS=1-1611	YMR221C
OG0000251	augustus_masked-abe-_s12-processed-gene-5.97-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-5.97&CDS=1-3822	YGR070W, YLR371W
OG0000252	augustus_masked-abe-_s12-processed-gene-5.102-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-5.102&CDS=1-1035	YDL048C, YLR375W
OG0000253	maker-abe-_s13-augustus-gene-11.290-mRNA-1_1&gene=maker-abe-_s13-augustus-gene-11.290&CDS=1-2646, snap_masked-abe-_s12-processed-gene-5.13-mRNA-1_1&gene=snap_masked-abe-_s12-processed-gene-5.13&CDS=1-1857	YMR058W
OG0000254	snap_masked-abe-_s12-processed-gene-5.15-mRNA-1_1&gene=snap_masked-abe-_s12-processed-gene-5.15&CDS=1-3186	YBL106C, YPR032W
OG0000255	augustus_masked-abe-_s12-processed-gene-5.110-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-5.110&CDS=1-2514, genemark-abe-_s75-processed-gene-9.134-mRNA-1_1&gene=genemark-abe-_s75-processed-gene-9.134&CDS=1-3435	YDR490C
OG0000256	augustus_masked-abe-_s12-processed-gene-6.91-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-6.91&CDS=1-1695	YDL042C, YOL068C
OG0000257	augustus_masked-abe-_s12-processed-gene-6.66-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-6.66&CDS=1-1653	YIR031C, YNL117W
OG0000258	augustus_masked-abe-_s12-processed-gene-6.67-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-6.67&CDS=1-639	YBR014C, YDL010W
OG0000259	augustus_masked-abe-_s12-processed-gene-6.92-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-6.92&CDS=1-465	YBR048W, YDR025W
OG0000260	augustus_masked-abe-_s13-processed-gene-9.52-mRNA-1_1&gene=augustus_masked-abe-_s13-processed-gene-9.52&CDS=1-2697, snap_masked-abe-_s12-processed-gene-6.27-mRNA-1_1&gene=snap_masked-abe-_s12-processed-gene-6.27&CDS=1-2679	YDL056W
OG0000261	augustus_masked-abe-_s7-processed-gene-9.68-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-9.68&CDS=1-1473, maker-abe-_s12-augustus-gene-6.159-mRNA-1_1&gene=maker-abe-_s12-augustus-gene-6.159&CDS=1-2049	YBR006W
OG0000262	augustus_masked-abe-_s17-processed-gene-3.122-mRNA-1_1&gene=augustus_masked-abe-_s17-processed-gene-3.122&CDS=1-1410, maker-abe-_s12-snap-gene-7.158-mRNA-1_1&gene=maker-abe-_s12-snap-gene-7.158&CDS=1-2205	YEL060C
