	Saccharomyces_cerevisiae	Torulaspora_delbrueckii
OG0000966	YDR243C	snap_masked-scaffold_2-processed-gene-3.59-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-3.59&CDS=1-1737
OG0000967	YDR244W	snap_masked-scaffold_2-processed-gene-3.62-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-3.62&CDS=1-1647
OG0000968	YDR245W	snap_masked-scaffold_2-processed-gene-3.61-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-3.61&CDS=1-1092
OG0000969	YDR246W	snap_masked-scaffold_2-processed-gene-2.112-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-2.112&CDS=1-627
OG0000970	YDR249C	snap_masked-scaffold_2-processed-gene-2.83-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-2.83&CDS=1-1110
OG0000971	YDR253C	augustus_masked-scaffold_2-processed-gene-2.25-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-2.25&CDS=1-570
OG0000972	YDR254W	snap_masked-scaffold_2-processed-gene-2.104-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-2.104&CDS=1-1311
OG0000973	YDR255C	snap_masked-scaffold_2-processed-gene-2.79-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-2.79&CDS=1-1218
OG0000974	YDR256C	snap_masked-scaffold_2-processed-gene-2.77-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-2.77&CDS=1-1533
OG0000975	YDR257C	snap_masked-scaffold_1-processed-gene-8.164-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-8.164&CDS=1-1452
OG0000976	YDR258C	snap_masked-scaffold_1-processed-gene-8.165-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-8.165&CDS=1-2412
OG0000977	YDR261C	augustus_masked-scaffold_1-processed-gene-8.110-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-8.110&CDS=1-2109
OG0000978	YDR262W	snap_masked-scaffold_1-processed-gene-8.145-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-8.145&CDS=1-852
OG0000979	YDR264C	maker-scaffold_1-augustus-gene-8.65-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-8.65&CDS=1-6213
OG0000980	YDR265W	snap_masked-scaffold_1-processed-gene-8.146-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-8.146&CDS=1-978
OG0000981	YDR266C	snap_masked-scaffold_1-processed-gene-8.171-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-8.171&CDS=1-1908
OG0000982	YDR267C	genemark-scaffold_1-processed-gene-8.59-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-8.59&CDS=1-999
OG0000983	YDR268W	snap_masked-scaffold_1-processed-gene-8.149-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-8.149&CDS=1-1104
OG0000984	YDR270W	snap_masked-scaffold_1-processed-gene-9.64-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-9.64&CDS=1-2949
OG0000985	YDR279W	snap_masked-scaffold_5-processed-gene-6.144-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-6.144&CDS=1-1029
OG0000986	YDR280W	snap_masked-scaffold_5-processed-gene-6.143-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-6.143&CDS=1-915
OG0000987	YDR283C	genemark-scaffold_5-processed-gene-6.40-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-6.40&CDS=1-5550
OG0000988	YDR284C	augustus_masked-scaffold_5-processed-gene-6.92-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-6.92&CDS=1-867
OG0000989	YDR285W	augustus_masked-scaffold_5-processed-gene-6.69-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-6.69&CDS=1-2565
OG0000990	YDR286C	augustus_masked-scaffold_5-processed-gene-6.93-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-6.93&CDS=1-339
OG0000991	YDR288W	snap_masked-scaffold_5-processed-gene-6.115-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-6.115&CDS=1-888
OG0000992	YDR289C	snap_masked-scaffold_5-processed-gene-6.113-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-6.113&CDS=1-1071
OG0000993	YDR291W	snap_masked-scaffold_5-processed-gene-6.138-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-6.138&CDS=1-3237
OG0000994	YDR292C	snap_masked-scaffold_5-processed-gene-6.112-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-6.112&CDS=1-1809
OG0000995	YDR293C	snap_masked-scaffold_5-processed-gene-6.109-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-6.109&CDS=1-3771
OG0000996	YDR294C	snap_masked-scaffold_5-processed-gene-6.105-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-6.105&CDS=1-1707
OG0000997	YDR295C	snap_masked-scaffold_5-processed-gene-6.103-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-6.103&CDS=1-1920
OG0000998	YDR296W	snap_masked-scaffold_5-processed-gene-6.108-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-6.108&CDS=1-669
OG0000999	YDR297W	snap_masked-scaffold_5-processed-gene-6.107-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-6.107&CDS=1-972
OG0001000	YDR298C	augustus_masked-scaffold_5-processed-gene-5.31-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-5.31&CDS=1-618
OG0001001	YDR299W	maker-scaffold_5-augustus-gene-5.5-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-5.5&CDS=1-2616
OG0001002	YDR300C	augustus_masked-scaffold_5-processed-gene-5.30-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-5.30&CDS=1-1251
OG0001003	YDR301W	augustus_masked-scaffold_5-processed-gene-5.52-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-5.52&CDS=1-4662
OG0001004	YDR303C	snap_masked-scaffold_5-processed-gene-5.79-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-5.79&CDS=1-2466
OG0001005	YDR306C	maker-scaffold_5-augustus-gene-5.2-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-5.2&CDS=1-1842
OG0001006	YDR307W	augustus_masked-scaffold_5-processed-gene-5.49-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-5.49&CDS=1-1968
OG0001007	YDR308C	snap_masked-scaffold_5-processed-gene-5.74-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-5.74&CDS=1-447
OG0001008	YDR309C	augustus_masked-scaffold_5-processed-gene-5.24-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-5.24&CDS=1-1026
OG0001009	YDR310C	snap_masked-scaffold_5-processed-gene-5.71-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-5.71&CDS=1-2508
OG0001010	YDR311W	snap_masked-scaffold_5-processed-gene-5.99-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-5.99&CDS=1-1830
OG0001011	YDR313C	snap_masked-scaffold_5-processed-gene-5.67-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-5.67&CDS=1-864
OG0001012	YDR316W	snap_masked-scaffold_5-processed-gene-5.95-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-5.95&CDS=1-1353
OG0001013	YDR317W	augustus_masked-scaffold_5-processed-gene-5.40-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-5.40&CDS=1-1233
OG0001014	YDR318W	snap_masked-scaffold_5-processed-gene-5.91-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-5.91&CDS=1-1041
OG0001015	YDR319C	genemark-scaffold_5-processed-gene-5.123-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-5.123&CDS=1-687
OG0001016	YDR320C	snap_masked-scaffold_5-processed-gene-5.65-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-5.65&CDS=1-1692
OG0001017	YDR322C-A	snap_masked-scaffold_5-processed-gene-5.63-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-5.63&CDS=1-282
OG0001018	YDR322W	snap_masked-scaffold_5-processed-gene-5.86-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-5.86&CDS=1-1065
OG0001019	YDR324C	snap_masked-scaffold_5-processed-gene-5.61-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-5.61&CDS=1-2235
OG0001020	YDR325W	snap_masked-scaffold_5-processed-gene-5.83-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-5.83&CDS=1-3006
OG0001021	YDR328C	snap_masked-scaffold_5-processed-gene-5.56-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-5.56&CDS=1-570
OG0001022	YDR329C	snap_masked-scaffold_5-processed-gene-5.55-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-5.55&CDS=1-1407
OG0001023	YDR330W	augustus_masked-scaffold_5-processed-gene-5.11-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-5.11&CDS=1-1938
OG0001024	YDR331W	snap_masked-scaffold_5-processed-gene-5.58-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-5.58&CDS=1-1197
OG0001025	YDR332W	snap_masked-scaffold_5-processed-gene-4.45-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-4.45&CDS=1-1962
OG0001026	YDR333C	snap_masked-scaffold_5-processed-gene-4.24-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-4.24&CDS=1-2109
OG0001027	YDR334W	genemark-scaffold_5-processed-gene-4.131-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-4.131&CDS=1-4437
OG0001028	YDR335W	maker-scaffold_5-augustus-gene-4.89-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-4.89&CDS=1-4722
OG0001029	YDR337W	snap_masked-scaffold_5-processed-gene-4.35-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-4.35&CDS=1-852
OG0001030	YDR338C	maker-scaffold_5-augustus-gene-4.87-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-4.87&CDS=1-2898
OG0001031	YDR339C	snap_masked-scaffold_5-processed-gene-4.20-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-4.20&CDS=1-567
OG0001032	YDR341C	snap_masked-scaffold_5-processed-gene-4.19-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-4.19&CDS=1-1827
OG0001033	YDR346C	snap_masked-scaffold_5-processed-gene-4.13-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-4.13&CDS=1-1275
OG0001034	YDR347W	snap_masked-scaffold_5-processed-gene-4.33-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-4.33&CDS=1-921
OG0001035	YDR349C	snap_masked-scaffold_5-processed-gene-4.9-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-4.9&CDS=1-1698
OG0001036	YDR353W	snap_masked-scaffold_5-processed-gene-4.26-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-4.26&CDS=1-963
OG0001037	YDR354W	snap_masked-scaffold_5-processed-gene-4.6-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-4.6&CDS=1-1116
OG0001038	YDR356W	snap_masked-scaffold_5-processed-gene-4.5-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-4.5&CDS=1-2283
OG0001039	YDR357C	snap_masked-scaffold_5-processed-gene-4.2-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-4.2&CDS=1-336
OG0001040	YDR359C	snap_masked-scaffold_5-processed-gene-4.1-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-4.1&CDS=1-2835
OG0001041	YDR361C	snap_masked-scaffold_5-processed-gene-4.0-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-4.0&CDS=1-840
OG0001042	YDR362C	snap_masked-scaffold_5-processed-gene-3.36-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-3.36&CDS=1-1932
OG0001043	YDR363W	snap_masked-scaffold_5-processed-gene-3.56-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-3.56&CDS=1-1308
OG0001044	YDR364C	augustus_masked-scaffold_5-processed-gene-3.85-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-3.85&CDS=1-3186
OG0001045	YDR367W	snap_masked-scaffold_5-processed-gene-3.53-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-3.53&CDS=1-660
OG0001046	YDR369C	augustus_masked-scaffold_5-processed-gene-3.83-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-3.83&CDS=1-2286
OG0001047	YDR370C	snap_masked-scaffold_2-processed-gene-3.84-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-3.84&CDS=1-1254
OG0001048	YDR371W	snap_masked-scaffold_4-processed-gene-5.66-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-5.66&CDS=1-1500
OG0001049	YDR373W	snap_masked-scaffold_4-processed-gene-5.65-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-5.65&CDS=1-570
OG0001050	YDR374C	snap_masked-scaffold_4-processed-gene-5.61-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-5.61&CDS=1-825
OG0001051	YDR374W-A	snap_masked-scaffold_4-processed-gene-5.64-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-5.64&CDS=1-222
OG0001052	YDR375C	snap_masked-scaffold_4-processed-gene-5.60-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-5.60&CDS=1-1356
OG0001053	YDR376W	maker-scaffold_4-augustus-gene-4.3-mRNA-1_1&gene=maker-scaffold_4-augustus-gene-4.3&CDS=1-1779
OG0001054	YDR378C	snap_masked-scaffold_4-processed-gene-4.33-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-4.33&CDS=1-246
OG0001055	YDR380W	genemark-scaffold_4-processed-gene-4.157-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-4.157&CDS=1-1914
OG0001056	YDR381C-A	snap_masked-scaffold_1-processed-gene-5.167-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-5.167&CDS=1-330
OG0001057	YDR381W	genemark-scaffold_1-processed-gene-5.34-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-5.34&CDS=1-684
OG0001058	YDR382W	snap_masked-scaffold_1-processed-gene-5.144-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-5.144&CDS=1-330
OG0001059	YDR383C	snap_masked-scaffold_1-processed-gene-5.169-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-5.169&CDS=1-651
OG0001060	YDR384C	snap_masked-scaffold_1-processed-gene-5.170-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-5.170&CDS=1-822
OG0001061	YDR387C	snap_masked-scaffold_1-processed-gene-6.7-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-6.7&CDS=1-1647
OG0001062	YDR388W	snap_masked-scaffold_1-processed-gene-6.4-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-6.4&CDS=1-1419
OG0001063	YDR389W	genemark-scaffold_1-processed-gene-6.121-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-6.121&CDS=1-1929
OG0001064	YDR390C	augustus_masked-scaffold_1-processed-gene-6.63-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-6.63&CDS=1-1866
OG0001065	YDR392W	snap_masked-scaffold_1-processed-gene-6.11-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-6.11&CDS=1-978
OG0001066	YDR393W	snap_masked-scaffold_1-processed-gene-6.13-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-6.13&CDS=1-1329
OG0001067	YDR394W	snap_masked-scaffold_1-processed-gene-6.14-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-6.14&CDS=1-1278
OG0001068	YDR395W	snap_masked-scaffold_1-processed-gene-6.15-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-6.15&CDS=1-2847
OG0001069	YDR397C	snap_masked-scaffold_1-processed-gene-6.39-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-6.39&CDS=1-453
OG0001070	YDR398W	snap_masked-scaffold_1-processed-gene-6.16-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-6.16&CDS=1-1863
OG0001071	YDR400W	snap_masked-scaffold_1-processed-gene-6.17-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-6.17&CDS=1-1650
OG0001072	YDR402C	snap_masked-scaffold_1-processed-gene-6.40-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-6.40&CDS=1-1467
OG0001073	YDR403W	snap_masked-scaffold_1-processed-gene-6.18-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-6.18&CDS=1-1599
OG0001074	YDR404C	snap_masked-scaffold_1-processed-gene-6.41-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-6.41&CDS=1-513
OG0001075	YDR405W	snap_masked-scaffold_1-processed-gene-6.20-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-6.20&CDS=1-702
OG0001076	YDR407C	snap_masked-scaffold_1-processed-gene-6.47-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-6.47&CDS=1-3735
OG0001077	YDR408C	snap_masked-scaffold_1-processed-gene-6.48-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-6.48&CDS=1-639
OG0001078	YDR410C	augustus_masked-scaffold_1-processed-gene-6.105-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-6.105&CDS=1-1338
OG0001079	YDR411C	augustus_masked-scaffold_1-processed-gene-6.107-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-6.107&CDS=1-903
OG0001080	YDR412W	snap_masked-scaffold_1-processed-gene-6.25-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-6.25&CDS=1-663
OG0001081	YDR414C	snap_masked-scaffold_1-processed-gene-6.53-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-6.53&CDS=1-1047
OG0001082	YDR415C	snap_masked-scaffold_1-processed-gene-6.54-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-6.54&CDS=1-1125
OG0001083	YDR416W	snap_masked-scaffold_1-processed-gene-6.27-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-6.27&CDS=1-2415
OG0001084	YDR419W	snap_masked-scaffold_1-processed-gene-6.30-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-6.30&CDS=1-1911
OG0001085	YDR421W	snap_masked-scaffold_1-processed-gene-7.51-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-7.51&CDS=1-2493
OG0001086	YDR422C	snap_masked-scaffold_1-processed-gene-7.77-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-7.77&CDS=1-2247
OG0001087	YDR424C	snap_masked-scaffold_1-processed-gene-7.79-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-7.79&CDS=1-219
OG0001088	YDR425W	snap_masked-scaffold_1-processed-gene-7.55-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-7.55&CDS=1-1776
OG0001089	YDR427W	snap_masked-scaffold_1-processed-gene-7.56-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-7.56&CDS=1-1188
OG0001090	YDR428C	snap_masked-scaffold_1-processed-gene-7.80-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-7.80&CDS=1-729
OG0001091	YDR429C	snap_masked-scaffold_1-processed-gene-7.81-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-7.81&CDS=1-834
OG0001092	YDR430C	augustus_masked-scaffold_1-processed-gene-7.133-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-7.133&CDS=1-3546
OG0001093	YDR432W	genemark-scaffold_1-processed-gene-7.10-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-7.10&CDS=1-1155
OG0001094	YDR434W	snap_masked-scaffold_1-processed-gene-7.60-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-7.60&CDS=1-1560
OG0001095	YDR435C	snap_masked-scaffold_1-processed-gene-7.87-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-7.87&CDS=1-984
OG0001096	YDR437W	snap_masked-scaffold_1-processed-gene-7.63-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-7.63&CDS=1-423
OG0001097	YDR439W	augustus_masked-scaffold_1-processed-gene-7.116-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-7.116&CDS=1-768
OG0001098	YDR440W	snap_masked-scaffold_1-processed-gene-7.67-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-7.67&CDS=1-1710
OG0001099	YDR443C	genemark-scaffold_1-processed-gene-7.41-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-7.41&CDS=1-4002
OG0001100	YDR444W	maker-scaffold_1-snap-gene-7.1-mRNA-1_1&gene=maker-scaffold_1-snap-gene-7.1&CDS=1-2169
OG0001101	YDR446W	augustus_masked-scaffold_1-processed-gene-7.122-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-7.122&CDS=1-822
OG0001102	YDR448W	snap_masked-scaffold_1-processed-gene-7.72-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-7.72&CDS=1-1305
OG0001103	YDR449C	snap_masked-scaffold_1-processed-gene-7.95-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-7.95&CDS=1-1320
OG0001104	YDR452W	snap_masked-scaffold_1-processed-gene-7.75-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-7.75&CDS=1-1995
OG0001105	YDR454C	snap_masked-scaffold_1-processed-gene-7.100-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-7.100&CDS=1-561
OG0001106	YDR456W	snap_masked-scaffold_1-processed-gene-7.76-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-7.76&CDS=1-1956
OG0001107	YDR457W	genemark-scaffold_1-processed-gene-8.5-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-8.5&CDS=1-11073
OG0001108	YDR459C	genemark-scaffold_1-processed-gene-8.11-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-8.11&CDS=1-1095
OG0001109	YDR460W	snap_masked-scaffold_1-processed-gene-8.118-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-8.118&CDS=1-966
OG0001110	YDR461C-A	snap_masked-scaffold_1-processed-gene-8.123-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-8.123&CDS=1-183
OG0001111	YDR462W	snap_masked-scaffold_1-processed-gene-8.120-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-8.120&CDS=1-432
OG0001112	YDR463W	snap_masked-scaffold_1-processed-gene-8.126-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-8.126&CDS=1-1452
OG0001113	YDR464W	snap_masked-scaffold_1-processed-gene-8.127-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-8.127&CDS=1-4329
OG0001114	YDR468C	snap_masked-scaffold_1-processed-gene-8.155-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-8.155&CDS=1-618
OG0001115	YDR469W	snap_masked-scaffold_1-processed-gene-8.129-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-8.129&CDS=1-207
OG0001116	YDR470C	snap_masked-scaffold_1-processed-gene-8.156-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-8.156&CDS=1-1440
OG0001117	YDR472W	snap_masked-scaffold_1-processed-gene-8.132-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-8.132&CDS=1-849
OG0001118	YDR473C	snap_masked-scaffold_1-processed-gene-8.159-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-8.159&CDS=1-1281
OG0001119	YDR475C	snap_masked-scaffold_1-processed-gene-8.160-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-8.160&CDS=1-2178
OG0001120	YDR476C	snap_masked-scaffold_1-processed-gene-8.162-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-8.162&CDS=1-642
OG0001121	YDR477W	snap_masked-scaffold_1-processed-gene-8.139-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-8.139&CDS=1-1863
OG0001122	YDR478W	snap_masked-scaffold_1-processed-gene-8.141-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-8.141&CDS=1-570
OG0001123	YDR479C	snap_masked-scaffold_1-processed-gene-8.163-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-8.163&CDS=1-1614
OG0001124	YDR481C	snap_masked-scaffold_2-processed-gene-2.75-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-2.75&CDS=1-1638
OG0001125	YDR482C	snap_masked-scaffold_2-processed-gene-2.73-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-2.73&CDS=1-444
OG0001126	YDR485C	augustus_masked-scaffold_4-processed-gene-9.39-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-9.39&CDS=1-2163
OG0001127	YDR486C	augustus_masked-scaffold_4-processed-gene-9.40-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-9.40&CDS=1-672
OG0001128	YDR487C	augustus_masked-scaffold_4-processed-gene-9.41-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-9.41&CDS=1-639
OG0001129	YDR488C	augustus_masked-scaffold_4-processed-gene-9.42-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-9.42&CDS=1-1803
OG0001130	YDR489W	snap_masked-scaffold_4-processed-gene-9.68-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-9.68&CDS=1-906
OG0001131	YDR492W	snap_masked-scaffold_4-processed-gene-9.71-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-9.71&CDS=1-948
OG0001132	YDR494W	augustus_masked-scaffold_4-processed-gene-9.22-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-9.22&CDS=1-1002
OG0001133	YDR495C	augustus_masked-scaffold_4-processed-gene-9.44-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-9.44&CDS=1-2751
OG0001134	YDR496C	snap_masked-scaffold_4-processed-gene-9.100-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-9.100&CDS=1-1944
OG0001135	YDR497C	snap_masked-scaffold_4-processed-gene-9.101-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-9.101&CDS=1-1755
OG0001136	YDR498C	snap_masked-scaffold_4-processed-gene-9.102-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-9.102&CDS=1-1026
OG0001137	YDR499W	snap_masked-scaffold_3-processed-gene-11.203-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-11.203&CDS=1-2163
OG0001138	YDR501W	snap_masked-scaffold_3-processed-gene-11.204-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-11.204&CDS=1-1467
OG0001139	YDR506C	maker-scaffold_3-snap-gene-11.91-mRNA-1_1&gene=maker-scaffold_3-snap-gene-11.91&CDS=1-4209
OG0001140	YDR507C	genemark-scaffold_3-processed-gene-11.67-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-11.67&CDS=1-3651
OG0001141	YDR511W	snap_masked-scaffold_3-processed-gene-11.213-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-11.213&CDS=1-429
OG0001142	YDR512C	snap_masked-scaffold_3-processed-gene-11.265-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-11.265&CDS=1-255
