	Saccharomyces_cerevisiae	yHMPu5000034627_Pichia_heedii
OG0000430	YLR456W, YPR172W	genemark-NODE_61_length_53777_cov_13.058_ID_121-processed-gene-0.32-mRNA-1_1&gene=genemark-NODE_61_length_53777_cov_13.058_ID_121-processed-gene-0.32&CDS=1-513
OG0000431	YML054C	snap_masked-NODE_124_length_10744_cov_23.3914_ID_247-processed-gene-0.11-mRNA-1_1&gene=snap_masked-NODE_124_length_10744_cov_23.3914_ID_247-processed-gene-0.11&CDS=1-1752, snap_masked-NODE_3_length_300412_cov_12.5644_ID_5-processed-gene-2.37-mRNA-1_1&gene=snap_masked-NODE_3_length_300412_cov_12.5644_ID_5-processed-gene-2.37&CDS=1-1686
OG0000432	YML073C	snap_masked-NODE_27_length_119768_cov_18.951_ID_53-processed-gene-0.168-mRNA-1_1&gene=snap_masked-NODE_27_length_119768_cov_18.951_ID_53-processed-gene-0.168&CDS=1-495, snap_masked-NODE_7_length_212466_cov_13.4142_ID_13-processed-gene-0.27-mRNA-1_1&gene=snap_masked-NODE_7_length_212466_cov_13.4142_ID_13-processed-gene-0.27&CDS=1-504
OG0000433	YML085C, YML124C	genemark-NODE_2_length_325125_cov_15.1005_ID_3-processed-gene-1.75-mRNA-1_1&gene=genemark-NODE_2_length_325125_cov_15.1005_ID_3-processed-gene-1.75&CDS=1-2868
OG0000434	YML100W, YMR261C	genemark-NODE_54_length_68134_cov_12.1233_ID_107-processed-gene-0.30-mRNA-1_1&gene=genemark-NODE_54_length_68134_cov_12.1233_ID_107-processed-gene-0.30&CDS=1-4359
OG0000435	YML106W, YMR271C	genemark-NODE_23_length_123202_cov_12.2863_ID_45-processed-gene-0.40-mRNA-1_1&gene=genemark-NODE_23_length_123202_cov_12.2863_ID_45-processed-gene-0.40&CDS=1-654
OG0000436	YML109W, YMR273C	snap_masked-NODE_47_length_83722_cov_15.1668_ID_93-processed-gene-0.9-mRNA-1_1&gene=snap_masked-NODE_47_length_83722_cov_15.1668_ID_93-processed-gene-0.9&CDS=1-3684
OG0000437	YML123C	snap_masked-NODE_25_length_121520_cov_12.8026_ID_49-processed-gene-0.55-mRNA-1_1&gene=snap_masked-NODE_25_length_121520_cov_12.8026_ID_49-processed-gene-0.55&CDS=1-1764, snap_masked-NODE_31_length_106313_cov_12.8606_ID_61-processed-gene-0.32-mRNA-1_1&gene=snap_masked-NODE_31_length_106313_cov_12.8606_ID_61-processed-gene-0.32&CDS=1-1707
OG0000438	YMR083W	snap_masked-NODE_157_length_3775_cov_11.5731_ID_313-processed-gene-0.2-mRNA-1_1&gene=snap_masked-NODE_157_length_3775_cov_11.5731_ID_313-processed-gene-0.2&CDS=1-1056, snap_masked-NODE_37_length_94444_cov_12.3765_ID_73-processed-gene-0.130-mRNA-1_1&gene=snap_masked-NODE_37_length_94444_cov_12.3765_ID_73-processed-gene-0.130&CDS=1-1116
OG0000439	YMR172W, YOL116W	genemark-NODE_4_length_271260_cov_12.649_ID_7-processed-gene-1.17-mRNA-1_1&gene=genemark-NODE_4_length_271260_cov_12.649_ID_7-processed-gene-1.17&CDS=1-2103
OG0000440	YMR177W, YPL224C	augustus_masked-NODE_15_length_166936_cov_13.3978_ID_29-processed-gene-0.176-mRNA-1_1&gene=augustus_masked-NODE_15_length_166936_cov_13.3978_ID_29-processed-gene-0.176&CDS=1-7194
OG0000441	YMR194W, YPL249C-A	maker-NODE_39_length_92419_cov_14.4235_ID_77-snap-gene-0.96-mRNA-1_1&gene=maker-NODE_39_length_92419_cov_14.4235_ID_77-snap-gene-0.96&CDS=1-297
OG0000442	YMR216C	snap_masked-NODE_21_length_132620_cov_14.5818_ID_41-processed-gene-0.60-mRNA-1_1&gene=snap_masked-NODE_21_length_132620_cov_14.5818_ID_41-processed-gene-0.60&CDS=1-3432, snap_masked-NODE_25_length_121520_cov_12.8026_ID_49-processed-gene-0.45-mRNA-1_1&gene=snap_masked-NODE_25_length_121520_cov_12.8026_ID_49-processed-gene-0.45&CDS=1-2535
OG0000443	YMR221C	genemark-NODE_89_length_33577_cov_12.774_ID_177-processed-gene-0.16-mRNA-1_1&gene=genemark-NODE_89_length_33577_cov_12.774_ID_177-processed-gene-0.16&CDS=1-1680, snap_masked-NODE_3_length_300412_cov_12.5644_ID_5-processed-gene-2.41-mRNA-1_1&gene=snap_masked-NODE_3_length_300412_cov_12.5644_ID_5-processed-gene-2.41&CDS=1-1563
OG0000444	YMR222C, YOR280C	snap_masked-NODE_3_length_300412_cov_12.5644_ID_5-processed-gene-2.42-mRNA-1_1&gene=snap_masked-NODE_3_length_300412_cov_12.5644_ID_5-processed-gene-2.42&CDS=1-762
OG0000445	YMR230W, YOR293W	snap_masked-NODE_63_length_48718_cov_14.6308_ID_125-processed-gene-0.5-mRNA-1_1&gene=snap_masked-NODE_63_length_48718_cov_14.6308_ID_125-processed-gene-0.5&CDS=1-372
OG0000446	YMR237W, YOR299W	maker-NODE_2_length_325125_cov_15.1005_ID_3-snap-gene-2.146-mRNA-1_1&gene=maker-NODE_2_length_325125_cov_15.1005_ID_3-snap-gene-2.146&CDS=1-4134
OG0000447	YMR242C, YOR312C	maker-NODE_10_length_188970_cov_12.9931_ID_19-augustus-gene-0.3-mRNA-1_1&gene=maker-NODE_10_length_188970_cov_12.9931_ID_19-augustus-gene-0.3&CDS=1-528
OG0000448	YMR253C, YPL264C	snap_masked-NODE_1_length_612800_cov_12.7569_ID_1-processed-gene-2.118-mRNA-1_1&gene=snap_masked-NODE_1_length_612800_cov_12.7569_ID_1-processed-gene-2.118&CDS=1-996
OG0000449	YMR319C	genemark-NODE_93_length_32082_cov_12.2905_ID_185-processed-gene-0.9-mRNA-1_1&gene=genemark-NODE_93_length_32082_cov_12.2905_ID_185-processed-gene-0.9&CDS=1-1671, snap_masked-NODE_151_length_4924_cov_14.7266_ID_301-processed-gene-0.6-mRNA-1_1&gene=snap_masked-NODE_151_length_4924_cov_14.7266_ID_301-processed-gene-0.6&CDS=1-1722
OG0000450	YNL027W	snap_masked-NODE_5_length_227933_cov_12.9711_ID_9-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_5_length_227933_cov_12.9711_ID_9-processed-gene-0.1&CDS=1-1410, snap_masked-NODE_95_length_30872_cov_12.2068_ID_189-processed-gene-0.7-mRNA-1_1&gene=snap_masked-NODE_95_length_30872_cov_12.2068_ID_189-processed-gene-0.7&CDS=1-966
OG0000451	YNL054W	snap_masked-NODE_41_length_87757_cov_13.3219_ID_81-processed-gene-0.21-mRNA-1_1&gene=snap_masked-NODE_41_length_87757_cov_13.3219_ID_81-processed-gene-0.21&CDS=1-2166, snap_masked-NODE_64_length_47798_cov_12.929_ID_127-processed-gene-0.76-mRNA-1_1&gene=snap_masked-NODE_64_length_47798_cov_12.929_ID_127-processed-gene-0.76&CDS=1-2496
OG0000452	YNL096C, YOR096W	snap_masked-NODE_113_length_18597_cov_13.7106_ID_225-processed-gene-0.20-mRNA-1_1&gene=snap_masked-NODE_113_length_18597_cov_13.7106_ID_225-processed-gene-0.20&CDS=1-564
OG0000453	YNL104C	genemark-NODE_8_length_208611_cov_12.842_ID_15-processed-gene-1.34-mRNA-1_1&gene=genemark-NODE_8_length_208611_cov_12.842_ID_15-processed-gene-1.34&CDS=1-1758, snap_masked-NODE_49_length_79464_cov_13.3988_ID_97-processed-gene-0.125-mRNA-1_1&gene=snap_masked-NODE_49_length_79464_cov_13.3988_ID_97-processed-gene-0.125&CDS=1-1755
OG0000454	YNL106C, YOR109W	snap_masked-NODE_11_length_184159_cov_12.5398_ID_21-processed-gene-0.3-mRNA-1_1&gene=snap_masked-NODE_11_length_184159_cov_12.5398_ID_21-processed-gene-0.3&CDS=1-3339
OG0000455	YNL108C, YOR110W	snap_masked-NODE_39_length_92419_cov_14.4235_ID_77-processed-gene-0.22-mRNA-1_1&gene=snap_masked-NODE_39_length_92419_cov_14.4235_ID_77-processed-gene-0.22&CDS=1-1347
OG0000456	YNL216W	genemark-NODE_2_length_325125_cov_15.1005_ID_3-processed-gene-1.93-mRNA-1_1&gene=genemark-NODE_2_length_325125_cov_15.1005_ID_3-processed-gene-1.93&CDS=1-2133, maker-NODE_30_length_111773_cov_13.7438_ID_59-snap-gene-0.7-mRNA-1_1&gene=maker-NODE_30_length_111773_cov_13.7438_ID_59-snap-gene-0.7&CDS=1-2799
OG0000457	YNL271C	maker-NODE_35_length_96442_cov_15.949_ID_69-snap-gene-0.5-mRNA-1_1&gene=maker-NODE_35_length_96442_cov_15.949_ID_69-snap-gene-0.5&CDS=1-5364, snap_masked-NODE_127_length_10095_cov_13.2029_ID_253-processed-gene-0.6-mRNA-1_1&gene=snap_masked-NODE_127_length_10095_cov_13.2029_ID_253-processed-gene-0.6&CDS=1-4641
OG0000458	YNL293W, YOL112W	genemark-NODE_5_length_227933_cov_12.9711_ID_9-processed-gene-1.177-mRNA-1_1&gene=genemark-NODE_5_length_227933_cov_12.9711_ID_9-processed-gene-1.177&CDS=1-1635
OG0000459	YNL299W, YOL115W	genemark-NODE_55_length_67186_cov_14.0589_ID_109-processed-gene-0.9-mRNA-1_1&gene=genemark-NODE_55_length_67186_cov_14.0589_ID_109-processed-gene-0.9&CDS=1-6258
OG0000460	YNL301C, YOL120C	genemark-NODE_106_length_23750_cov_14.3139_ID_211-processed-gene-0.32-mRNA-1_1&gene=genemark-NODE_106_length_23750_cov_14.3139_ID_211-processed-gene-0.32&CDS=1-963
OG0000461	YNL322C	augustus_masked-NODE_97_length_30320_cov_16.9895_ID_193-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-NODE_97_length_30320_cov_16.9895_ID_193-processed-gene-0.25&CDS=1-741, genemark-NODE_47_length_83722_cov_15.1668_ID_93-processed-gene-0.95-mRNA-1_1&gene=genemark-NODE_47_length_83722_cov_15.1668_ID_93-processed-gene-0.95&CDS=1-480
OG0000462	YNR029C	augustus_masked-NODE_1_length_612800_cov_12.7569_ID_1-processed-gene-2.86-mRNA-1_1&gene=augustus_masked-NODE_1_length_612800_cov_12.7569_ID_1-processed-gene-2.86&CDS=1-2571, snap_masked-NODE_17_length_158134_cov_12.4545_ID_33-processed-gene-0.189-mRNA-1_1&gene=snap_masked-NODE_17_length_158134_cov_12.4545_ID_33-processed-gene-0.189&CDS=1-1329
OG0000463	YOR032C	maker-NODE_58_length_64814_cov_12.7505_ID_115-snap-gene-0.32-mRNA-1_1&gene=maker-NODE_58_length_64814_cov_12.7505_ID_115-snap-gene-0.32&CDS=1-2937, snap_masked-NODE_100_length_27278_cov_12.5265_ID_199-processed-gene-0.8-mRNA-1_1&gene=snap_masked-NODE_100_length_27278_cov_12.5265_ID_199-processed-gene-0.8&CDS=1-3426
OG0000464	YOR099W	maker-NODE_105_length_24070_cov_26.0973_ID_209-snap-gene-0.0-mRNA-1_1&gene=maker-NODE_105_length_24070_cov_26.0973_ID_209-snap-gene-0.0&CDS=1-2823, maker-NODE_71_length_45071_cov_23.0535_ID_141-snap-gene-0.73-mRNA-1_1&gene=maker-NODE_71_length_45071_cov_23.0535_ID_141-snap-gene-0.73&CDS=1-2394
OG0000465	YOR231W, YPL140C	augustus_masked-NODE_23_length_123202_cov_12.2863_ID_45-processed-gene-0.65-mRNA-1_1&gene=augustus_masked-NODE_23_length_123202_cov_12.2863_ID_45-processed-gene-0.65&CDS=1-1578
OG0000466	YOR237W, YPL145C	snap_masked-NODE_50_length_77460_cov_13.7336_ID_99-processed-gene-0.4-mRNA-1_1&gene=snap_masked-NODE_50_length_77460_cov_13.7336_ID_99-processed-gene-0.4&CDS=1-1272
OG0000467	YOR238W	snap_masked-NODE_32_length_102476_cov_16.8784_ID_63-processed-gene-0.35-mRNA-1_1&gene=snap_masked-NODE_32_length_102476_cov_16.8784_ID_63-processed-gene-0.35&CDS=1-1215, snap_masked-NODE_32_length_102476_cov_16.8784_ID_63-processed-gene-0.36-mRNA-1_1&gene=snap_masked-NODE_32_length_102476_cov_16.8784_ID_63-processed-gene-0.36&CDS=1-1215
OG0000468	YOR245C	snap_masked-NODE_91_length_32853_cov_17.489_ID_181-processed-gene-0.36-mRNA-1_1&gene=snap_masked-NODE_91_length_32853_cov_17.489_ID_181-processed-gene-0.36&CDS=1-1416, snap_masked-NODE_91_length_32853_cov_17.489_ID_181-processed-gene-0.45-mRNA-1_1&gene=snap_masked-NODE_91_length_32853_cov_17.489_ID_181-processed-gene-0.45&CDS=1-1230
OG0000469	YOR256C, YPL176C	snap_masked-NODE_20_length_137300_cov_13.1447_ID_39-processed-gene-0.11-mRNA-1_1&gene=snap_masked-NODE_20_length_137300_cov_13.1447_ID_39-processed-gene-0.11&CDS=1-2427
OG0000470	YOR270C	genemark-NODE_55_length_67186_cov_14.0589_ID_109-processed-gene-0.5-mRNA-1_1&gene=genemark-NODE_55_length_67186_cov_14.0589_ID_109-processed-gene-0.5&CDS=1-2520, snap_masked-NODE_49_length_79464_cov_13.3988_ID_97-processed-gene-0.91-mRNA-1_1&gene=snap_masked-NODE_49_length_79464_cov_13.3988_ID_97-processed-gene-0.91&CDS=1-2745
OG0000471	YOR285W, YOR286W	snap_masked-NODE_3_length_300412_cov_12.5644_ID_5-processed-gene-2.25-mRNA-1_1&gene=snap_masked-NODE_3_length_300412_cov_12.5644_ID_5-processed-gene-2.25&CDS=1-606
OG0000472	YPL088W	snap_masked-NODE_39_length_92419_cov_14.4235_ID_77-processed-gene-0.47-mRNA-1_1&gene=snap_masked-NODE_39_length_92419_cov_14.4235_ID_77-processed-gene-0.47&CDS=1-1047, snap_masked-NODE_40_length_90330_cov_13.8745_ID_79-processed-gene-0.28-mRNA-1_1&gene=snap_masked-NODE_40_length_90330_cov_13.8745_ID_79-processed-gene-0.28&CDS=1-1032
OG0000473	YPL157W	genemark-NODE_16_length_165125_cov_20.5115_ID_31-processed-gene-0.66-mRNA-1_1&gene=genemark-NODE_16_length_165125_cov_20.5115_ID_31-processed-gene-0.66&CDS=1-837, snap_masked-NODE_36_length_95723_cov_17.5303_ID_71-processed-gene-0.28-mRNA-1_1&gene=snap_masked-NODE_36_length_95723_cov_17.5303_ID_71-processed-gene-0.28&CDS=1-1014
OG0000474	YPR013C, YPR015C	snap_masked-NODE_129_length_9766_cov_10.9672_ID_257-processed-gene-0.2-mRNA-1_1&gene=snap_masked-NODE_129_length_9766_cov_10.9672_ID_257-processed-gene-0.2&CDS=1-1464
OG0000475	YPR022C	augustus_masked-NODE_25_length_121520_cov_12.8026_ID_49-processed-gene-0.147-mRNA-1_1&gene=augustus_masked-NODE_25_length_121520_cov_12.8026_ID_49-processed-gene-0.147&CDS=1-3984, maker-NODE_11_length_184159_cov_12.5398_ID_21-snap-gene-0.241-mRNA-1_1&gene=maker-NODE_11_length_184159_cov_12.5398_ID_21-snap-gene-0.241&CDS=1-2769
OG0000476	YAL002W	snap_masked-NODE_51_length_77068_cov_14.71_ID_101-processed-gene-0.17-mRNA-1_1&gene=snap_masked-NODE_51_length_77068_cov_14.71_ID_101-processed-gene-0.17&CDS=1-4029
OG0000477	YAL003W	maker-NODE_3_length_300412_cov_12.5644_ID_5-snap-gene-1.111-mRNA-1_1&gene=maker-NODE_3_length_300412_cov_12.5644_ID_5-snap-gene-1.111&CDS=1-636
OG0000478	YAL009W	genemark-NODE_21_length_132620_cov_14.5818_ID_41-processed-gene-0.86-mRNA-1_1&gene=genemark-NODE_21_length_132620_cov_14.5818_ID_41-processed-gene-0.86&CDS=1-5163
OG0000479	YAL010C	augustus_masked-NODE_21_length_132620_cov_14.5818_ID_41-processed-gene-0.179-mRNA-1_1&gene=augustus_masked-NODE_21_length_132620_cov_14.5818_ID_41-processed-gene-0.179&CDS=1-1617
OG0000480	YAL011W	maker-NODE_32_length_102476_cov_16.8784_ID_63-snap-gene-0.49-mRNA-1_1&gene=maker-NODE_32_length_102476_cov_16.8784_ID_63-snap-gene-0.49&CDS=1-2616
OG0000481	YAL013W	snap_masked-NODE_37_length_94444_cov_12.3765_ID_73-processed-gene-0.126-mRNA-1_1&gene=snap_masked-NODE_37_length_94444_cov_12.3765_ID_73-processed-gene-0.126&CDS=1-1293
OG0000482	YAL016W	snap_masked-NODE_16_length_165125_cov_20.5115_ID_31-processed-gene-0.187-mRNA-1_1&gene=snap_masked-NODE_16_length_165125_cov_20.5115_ID_31-processed-gene-0.187&CDS=1-1908
OG0000483	YAL019W	genemark-NODE_21_length_132620_cov_14.5818_ID_41-processed-gene-0.85-mRNA-1_1&gene=genemark-NODE_21_length_132620_cov_14.5818_ID_41-processed-gene-0.85&CDS=1-4806
OG0000484	YAL020C	genemark-NODE_21_length_132620_cov_14.5818_ID_41-processed-gene-0.114-mRNA-1_1&gene=genemark-NODE_21_length_132620_cov_14.5818_ID_41-processed-gene-0.114&CDS=1-1092
OG0000485	YAL021C	augustus_masked-NODE_64_length_47798_cov_12.929_ID_127-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-NODE_64_length_47798_cov_12.929_ID_127-processed-gene-0.36&CDS=1-7467
OG0000486	YAL022C	maker-NODE_78_length_40873_cov_17.0107_ID_155-augustus-gene-0.2-mRNA-1_1&gene=maker-NODE_78_length_40873_cov_17.0107_ID_155-augustus-gene-0.2&CDS=1-1986
OG0000487	YAL024C	snap_masked-NODE_14_length_174362_cov_12.8702_ID_27-processed-gene-0.32-mRNA-1_1&gene=snap_masked-NODE_14_length_174362_cov_12.8702_ID_27-processed-gene-0.32&CDS=1-4449
OG0000488	YAL025C	snap_masked-NODE_58_length_64814_cov_12.7505_ID_115-processed-gene-0.77-mRNA-1_1&gene=snap_masked-NODE_58_length_64814_cov_12.7505_ID_115-processed-gene-0.77&CDS=1-951
OG0000489	YAL026C	snap_masked-NODE_1_length_612800_cov_12.7569_ID_1-processed-gene-1.32-mRNA-1_1&gene=snap_masked-NODE_1_length_612800_cov_12.7569_ID_1-processed-gene-1.32&CDS=1-3978
OG0000490	YAL033W	snap_masked-NODE_48_length_83393_cov_13.2765_ID_95-processed-gene-0.121-mRNA-1_1&gene=snap_masked-NODE_48_length_83393_cov_13.2765_ID_95-processed-gene-0.121&CDS=1-426
OG0000491	YAL034W-A	snap_masked-NODE_11_length_184159_cov_12.5398_ID_21-processed-gene-0.56-mRNA-1_1&gene=snap_masked-NODE_11_length_184159_cov_12.5398_ID_21-processed-gene-0.56&CDS=1-909
OG0000492	YAL035W	genemark-NODE_5_length_227933_cov_12.9711_ID_9-processed-gene-0.62-mRNA-1_1&gene=genemark-NODE_5_length_227933_cov_12.9711_ID_9-processed-gene-0.62&CDS=1-3027
OG0000493	YAL036C	snap_masked-NODE_21_length_132620_cov_14.5818_ID_41-processed-gene-0.20-mRNA-1_1&gene=snap_masked-NODE_21_length_132620_cov_14.5818_ID_41-processed-gene-0.20&CDS=1-1104
OG0000494	YAL038W	snap_masked-NODE_78_length_40873_cov_17.0107_ID_155-processed-gene-0.16-mRNA-1_1&gene=snap_masked-NODE_78_length_40873_cov_17.0107_ID_155-processed-gene-0.16&CDS=1-1515
OG0000495	YAL039C	genemark-NODE_72_length_42103_cov_11.9416_ID_143-processed-gene-0.51-mRNA-1_1&gene=genemark-NODE_72_length_42103_cov_11.9416_ID_143-processed-gene-0.51&CDS=1-777
OG0000496	YAL042W	genemark-NODE_23_length_123202_cov_12.2863_ID_45-processed-gene-0.33-mRNA-1_1&gene=genemark-NODE_23_length_123202_cov_12.2863_ID_45-processed-gene-0.33&CDS=1-1239
OG0000497	YAL043C	augustus_masked-NODE_89_length_33577_cov_12.774_ID_177-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-NODE_89_length_33577_cov_12.774_ID_177-processed-gene-0.32&CDS=1-2178
OG0000498	YAL044C	snap_masked-NODE_9_length_190932_cov_13.1668_ID_17-processed-gene-0.247-mRNA-1_1&gene=snap_masked-NODE_9_length_190932_cov_13.1668_ID_17-processed-gene-0.247&CDS=1-492
OG0000499	YAL044W-A	genemark-NODE_9_length_190932_cov_13.1668_ID_17-processed-gene-0.22-mRNA-1_1&gene=genemark-NODE_9_length_190932_cov_13.1668_ID_17-processed-gene-0.22&CDS=1-324
OG0000500	YAL046C	snap_masked-NODE_89_length_33577_cov_12.774_ID_177-processed-gene-0.57-mRNA-1_1&gene=snap_masked-NODE_89_length_33577_cov_12.774_ID_177-processed-gene-0.57&CDS=1-309
OG0000501	YAL048C	genemark-NODE_47_length_83722_cov_15.1668_ID_93-processed-gene-0.126-mRNA-1_1&gene=genemark-NODE_47_length_83722_cov_15.1668_ID_93-processed-gene-0.126&CDS=1-2571
OG0000502	YAL049C	snap_masked-NODE_27_length_119768_cov_18.951_ID_53-processed-gene-0.149-mRNA-1_1&gene=snap_masked-NODE_27_length_119768_cov_18.951_ID_53-processed-gene-0.149&CDS=1-738
OG0000503	YAL051W, YOR363C	
OG0000504	YAL053W	snap_masked-NODE_60_length_54447_cov_13.8149_ID_119-processed-gene-0.26-mRNA-1_1&gene=snap_masked-NODE_60_length_54447_cov_13.8149_ID_119-processed-gene-0.26&CDS=1-2199
OG0000505	YAL058W	snap_masked-NODE_46_length_84629_cov_16.2648_ID_91-processed-gene-0.8-mRNA-1_1&gene=snap_masked-NODE_46_length_84629_cov_16.2648_ID_91-processed-gene-0.8&CDS=1-1788
OG0000506	YAL060W	snap_masked-NODE_86_length_37966_cov_11.775_ID_171-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_86_length_37966_cov_11.775_ID_171-processed-gene-0.1&CDS=1-1140
OG0000507	YAL062W	genemark-NODE_50_length_77460_cov_13.7336_ID_99-processed-gene-0.49-mRNA-1_1&gene=genemark-NODE_50_length_77460_cov_13.7336_ID_99-processed-gene-0.49&CDS=1-1383
OG0000508	YAR002W	snap_masked-NODE_20_length_137300_cov_13.1447_ID_39-processed-gene-0.56-mRNA-1_1&gene=snap_masked-NODE_20_length_137300_cov_13.1447_ID_39-processed-gene-0.56&CDS=1-1830
OG0000509	YAR007C	genemark-NODE_32_length_102476_cov_16.8784_ID_63-processed-gene-0.104-mRNA-1_1&gene=genemark-NODE_32_length_102476_cov_16.8784_ID_63-processed-gene-0.104&CDS=1-1908
OG0000510	YAR014C	augustus_masked-NODE_42_length_87121_cov_12.7949_ID_83-processed-gene-0.62-mRNA-1_1&gene=augustus_masked-NODE_42_length_87121_cov_12.7949_ID_83-processed-gene-0.62&CDS=1-1710
OG0000511	YAR015W	snap_masked-NODE_12_length_182624_cov_13.0032_ID_23-processed-gene-0.239-mRNA-1_1&gene=snap_masked-NODE_12_length_182624_cov_13.0032_ID_23-processed-gene-0.239&CDS=1-909
OG0000512	YAR018C	genemark-NODE_12_length_182624_cov_13.0032_ID_23-processed-gene-0.146-mRNA-1_1&gene=genemark-NODE_12_length_182624_cov_13.0032_ID_23-processed-gene-0.146&CDS=1-1398
OG0000513	YBL001C	genemark-NODE_2_length_325125_cov_15.1005_ID_3-processed-gene-2.20-mRNA-1_1&gene=genemark-NODE_2_length_325125_cov_15.1005_ID_3-processed-gene-2.20&CDS=1-315
OG0000514	YBL004W	snap_masked-NODE_33_length_102381_cov_12.4531_ID_65-processed-gene-0.118-mRNA-1_1&gene=snap_masked-NODE_33_length_102381_cov_12.4531_ID_65-processed-gene-0.118&CDS=1-7695
OG0000515	YBL007C	snap_masked-NODE_4_length_271260_cov_12.649_ID_7-processed-gene-1.224-mRNA-1_1&gene=snap_masked-NODE_4_length_271260_cov_12.649_ID_7-processed-gene-1.224&CDS=1-3603
OG0000516	YBL008W	snap_masked-NODE_1_length_612800_cov_12.7569_ID_1-processed-gene-3.13-mRNA-1_1&gene=snap_masked-NODE_1_length_612800_cov_12.7569_ID_1-processed-gene-3.13&CDS=1-3117
OG0000517	YBL013W	genemark-NODE_20_length_137300_cov_13.1447_ID_39-processed-gene-0.199-mRNA-1_1&gene=genemark-NODE_20_length_137300_cov_13.1447_ID_39-processed-gene-0.199&CDS=1-972
OG0000518	YBL015W	snap_masked-NODE_4_length_271260_cov_12.649_ID_7-processed-gene-1.169-mRNA-1_1&gene=snap_masked-NODE_4_length_271260_cov_12.649_ID_7-processed-gene-1.169&CDS=1-1569
OG0000519	YBL019W	genemark-NODE_8_length_208611_cov_12.842_ID_15-processed-gene-1.10-mRNA-1_1&gene=genemark-NODE_8_length_208611_cov_12.842_ID_15-processed-gene-1.10&CDS=1-1791
OG0000520	YBL020W	snap_masked-NODE_13_length_177020_cov_12.8965_ID_25-processed-gene-0.189-mRNA-1_1&gene=snap_masked-NODE_13_length_177020_cov_12.8965_ID_25-processed-gene-0.189&CDS=1-1479
OG0000521	YBL021C	snap_masked-NODE_35_length_96442_cov_15.949_ID_69-processed-gene-0.99-mRNA-1_1&gene=snap_masked-NODE_35_length_96442_cov_15.949_ID_69-processed-gene-0.99&CDS=1-894
OG0000522	YBL022C	snap_masked-NODE_16_length_165125_cov_20.5115_ID_31-processed-gene-0.212-mRNA-1_1&gene=snap_masked-NODE_16_length_165125_cov_20.5115_ID_31-processed-gene-0.212&CDS=1-3465
OG0000523	YBL023C	snap_masked-NODE_48_length_83393_cov_13.2765_ID_95-processed-gene-0.103-mRNA-1_1&gene=snap_masked-NODE_48_length_83393_cov_13.2765_ID_95-processed-gene-0.103&CDS=1-2736
OG0000524	YBL024W	augustus_masked-NODE_55_length_67186_cov_14.0589_ID_109-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-NODE_55_length_67186_cov_14.0589_ID_109-processed-gene-0.33&CDS=1-2733
OG0000525	YBL029W	snap_masked-NODE_1_length_612800_cov_12.7569_ID_1-processed-gene-4.150-mRNA-1_1&gene=snap_masked-NODE_1_length_612800_cov_12.7569_ID_1-processed-gene-4.150&CDS=1-1479
OG0000526	YBL032W	snap_masked-NODE_83_length_39434_cov_12.3393_ID_165-processed-gene-0.77-mRNA-1_1&gene=snap_masked-NODE_83_length_39434_cov_12.3393_ID_165-processed-gene-0.77&CDS=1-1224
OG0000527	YBL033C	snap_masked-NODE_5_length_227933_cov_12.9711_ID_9-processed-gene-0.28-mRNA-1_1&gene=snap_masked-NODE_5_length_227933_cov_12.9711_ID_9-processed-gene-0.28&CDS=1-1041
OG0000528	YBL034C	genemark-NODE_44_length_85390_cov_22.7264_ID_87-processed-gene-0.44-mRNA-1_1&gene=genemark-NODE_44_length_85390_cov_22.7264_ID_87-processed-gene-0.44&CDS=1-4317
OG0000529	YBL035C	snap_masked-NODE_4_length_271260_cov_12.649_ID_7-processed-gene-1.219-mRNA-1_1&gene=snap_masked-NODE_4_length_271260_cov_12.649_ID_7-processed-gene-1.219&CDS=1-1836
OG0000530	YBL036C	snap_masked-NODE_4_length_271260_cov_12.649_ID_7-processed-gene-1.184-mRNA-1_1&gene=snap_masked-NODE_4_length_271260_cov_12.649_ID_7-processed-gene-1.184&CDS=1-744
OG0000531	YBL038W	genemark-NODE_37_length_94444_cov_12.3765_ID_73-processed-gene-0.11-mRNA-1_1&gene=genemark-NODE_37_length_94444_cov_12.3765_ID_73-processed-gene-0.11&CDS=1-651
OG0000532	YBL039C	snap_masked-NODE_26_length_121520_cov_13.2437_ID_51-processed-gene-0.150-mRNA-1_1&gene=snap_masked-NODE_26_length_121520_cov_13.2437_ID_51-processed-gene-0.150&CDS=1-1725
OG0000533	YBL040C	genemark-NODE_26_length_121520_cov_13.2437_ID_51-processed-gene-0.29-mRNA-1_1&gene=genemark-NODE_26_length_121520_cov_13.2437_ID_51-processed-gene-0.29&CDS=1-636
OG0000534	YBL041W	genemark-NODE_26_length_121520_cov_13.2437_ID_51-processed-gene-0.57-mRNA-1_1&gene=genemark-NODE_26_length_121520_cov_13.2437_ID_51-processed-gene-0.57&CDS=1-726
