	Hanseniaspora_valbyensis	Saccharomyces_cerevisiae
OG0000621	augustus_masked-scaffold_1-processed-gene-5.54-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-5.54&CDS=1-645	YDL165W
OG0000622	augustus_masked-scaffold_1-processed-gene-5.44-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-5.44&CDS=1-264	YLR203C
OG0000623	augustus_masked-scaffold_1-processed-gene-5.45-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-5.45&CDS=1-2724	YJL090C
OG0000624	snap_masked-scaffold_1-processed-gene-5.20-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-5.20&CDS=1-1869	YOL019W
OG0000625	augustus_masked-scaffold_1-processed-gene-6.34-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-6.34&CDS=1-1143	YOL018C
OG0000626	augustus_masked-scaffold_1-processed-gene-6.32-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-6.32&CDS=1-1089	YJL059W
OG0000627	augustus_masked-scaffold_1-processed-gene-6.33-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-6.33&CDS=1-1071	YBR271W
OG0000628	augustus_masked-scaffold_1-processed-gene-6.46-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-6.46&CDS=1-1254	YJL056C
OG0000629	augustus_masked-scaffold_1-processed-gene-6.38-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-6.38&CDS=1-1500	YBR263W
OG0000630	augustus_masked-scaffold_1-processed-gene-6.39-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-6.39&CDS=1-2817	YJL071W
OG0000631	augustus_masked-scaffold_1-processed-gene-6.40-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-6.40&CDS=1-1338	YJL054W
OG0000632	augustus_masked-scaffold_1-processed-gene-6.41-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-6.41&CDS=1-927	YJL053W
OG0000633	augustus_masked-scaffold_1-processed-gene-6.48-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-6.48&CDS=1-2547	YJL062W
OG0000634	snap_masked-scaffold_1-processed-gene-6.23-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-6.23&CDS=1-1692	YFR028C
OG0000635	augustus_masked-scaffold_1-processed-gene-6.44-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-6.44&CDS=1-1911	YJL106W
OG0000636	augustus_masked-scaffold_1-processed-gene-6.55-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-6.55&CDS=1-1092	YKR026C
OG0000637	augustus_masked-scaffold_1-processed-gene-7.3-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-7.3&CDS=1-2088	YKR024C
OG0000638	augustus_masked-scaffold_1-processed-gene-7.5-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-7.5&CDS=1-1206	YKR023W
OG0000639	snap_masked-scaffold_1-processed-gene-7.60-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-7.60&CDS=1-915	YJL072C
OG0000640	augustus_masked-scaffold_1-processed-gene-7.8-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-7.8&CDS=1-3597	YJL074C
OG0000641	augustus_masked-scaffold_1-processed-gene-7.21-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-7.21&CDS=1-342	YLR364W
OG0000642	snap_masked-scaffold_1-processed-gene-7.61-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-7.61&CDS=1-1170	YKR038C
OG0000643	augustus_masked-scaffold_1-processed-gene-7.9-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-7.9&CDS=1-1881	YOR361C
OG0000644	augustus_masked-scaffold_1-processed-gene-7.25-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-7.25&CDS=1-273	YAL046C
OG0000645	augustus_masked-scaffold_1-processed-gene-7.11-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-7.11&CDS=1-1701	YOR360C
OG0000646	snap_masked-scaffold_1-processed-gene-7.67-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-7.67&CDS=1-855	YAL039C
OG0000647	snap_masked-scaffold_1-processed-gene-7.69-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-7.69&CDS=1-792	YCR009C
OG0000648	snap_masked-scaffold_1-processed-gene-7.70-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-7.70&CDS=1-993	YNR003C
OG0000649	maker-scaffold_1-augustus-gene-7.2-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-7.2&CDS=1-5397	YFR019W
OG0000650	augustus_masked-scaffold_1-processed-gene-7.13-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-7.13&CDS=1-276	YER055C
OG0000651	augustus_masked-scaffold_1-processed-gene-7.14-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-7.14&CDS=1-2070	YIL046W
OG0000652	augustus_masked-scaffold_1-processed-gene-7.32-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-7.32&CDS=1-1380	YJL093C
OG0000653	snap_masked-scaffold_1-processed-gene-7.74-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-7.74&CDS=1-4569	YJL095W
OG0000654	snap_masked-scaffold_1-processed-gene-7.75-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-7.75&CDS=1-609	YJL096W
OG0000655	snap_masked-scaffold_1-processed-gene-7.76-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-7.76&CDS=1-663	YJL097W
OG0000656	augustus_masked-scaffold_1-processed-gene-7.16-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-7.16&CDS=1-1308	YBL045C
OG0000657	augustus_masked-scaffold_1-processed-gene-7.17-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-7.17&CDS=1-933	YJR113C
OG0000658	snap_masked-scaffold_1-processed-gene-7.59-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-7.59&CDS=1-1314	YGL180W
OG0000659	snap_masked-scaffold_10-processed-gene-0.35-mRNA-1_1&gene=snap_masked-scaffold_10-processed-gene-0.35&CDS=1-1953	YDR117C
OG0000660	maker-scaffold_10-augustus-gene-0.29-mRNA-1_1&gene=maker-scaffold_10-augustus-gene-0.29&CDS=1-729	YDR116C
OG0000661	snap_masked-scaffold_10-processed-gene-0.55-mRNA-1_1&gene=snap_masked-scaffold_10-processed-gene-0.55&CDS=1-1641	YDR232W
OG0000662	augustus_masked-scaffold_10-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-0.21&CDS=1-1734	YDL203C
OG0000663	snap_masked-scaffold_10-processed-gene-0.40-mRNA-1_1&gene=snap_masked-scaffold_10-processed-gene-0.40&CDS=1-1887	YDR536W
OG0000664	augustus_masked-scaffold_10-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-0.22&CDS=1-900	YDL201W
OG0000665	augustus_masked-scaffold_10-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-0.23&CDS=1-843	YDL198C
OG0000666	augustus_masked-scaffold_10-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-0.7&CDS=1-1539	YBR195C
OG0000667	snap_masked-scaffold_10-processed-gene-0.42-mRNA-1_1&gene=snap_masked-scaffold_10-processed-gene-0.42&CDS=1-1677	YGR088W
OG0000668	snap_masked-scaffold_10-processed-gene-0.43-mRNA-1_1&gene=snap_masked-scaffold_10-processed-gene-0.43&CDS=1-792	YPL078C
OG0000669	augustus_masked-scaffold_10-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-0.10&CDS=1-714	YBR193C
OG0000670	augustus_masked-scaffold_10-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-0.24&CDS=1-1155	YBR192W
OG0000671	augustus_masked-scaffold_10-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-0.11&CDS=1-5631	YPL082C
OG0000672	maker-scaffold_10-snap-gene-0.71-mRNA-1_1&gene=maker-scaffold_10-snap-gene-0.71&CDS=1-846	YBR187W
OG0000673	maker-scaffold_10-snap-gene-0.65-mRNA-1_1&gene=maker-scaffold_10-snap-gene-0.65&CDS=1-2826	YOR206W
OG0000674	augustus_masked-scaffold_10-processed-gene-1.0-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-1.0&CDS=1-699	YOR194C
OG0000675	snap_masked-scaffold_10-processed-gene-1.43-mRNA-1_1&gene=snap_masked-scaffold_10-processed-gene-1.43&CDS=1-1137	YPL112C
OG0000676	snap_masked-scaffold_10-processed-gene-1.42-mRNA-1_1&gene=snap_masked-scaffold_10-processed-gene-1.42&CDS=1-3522	YPL115C
OG0000677	augustus_masked-scaffold_10-processed-gene-1.3-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-1.3&CDS=1-1176	YOR196C
OG0000678	snap_masked-scaffold_10-processed-gene-1.46-mRNA-1_1&gene=snap_masked-scaffold_10-processed-gene-1.46&CDS=1-273	YNR037C
OG0000679	maker-scaffold_10-snap-gene-1.81-mRNA-1_1&gene=maker-scaffold_10-snap-gene-1.81&CDS=1-3327	YPL040C
OG0000680	snap_masked-scaffold_10-processed-gene-1.48-mRNA-1_1&gene=snap_masked-scaffold_10-processed-gene-1.48&CDS=1-780	YDR248C
OG0000681	snap_masked-scaffold_10-processed-gene-1.62-mRNA-1_1&gene=snap_masked-scaffold_10-processed-gene-1.62&CDS=1-1203	YPL028W
OG0000682	augustus_masked-scaffold_10-processed-gene-1.23-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-1.23&CDS=1-1761	YPL030W
OG0000683	augustus_masked-scaffold_10-processed-gene-1.25-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-1.25&CDS=1-798	YDR246W
OG0000684	snap_masked-scaffold_10-processed-gene-1.67-mRNA-1_1&gene=snap_masked-scaffold_10-processed-gene-1.67&CDS=1-1269	YPL109C
OG0000685	augustus_masked-scaffold_10-processed-gene-1.28-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-1.28&CDS=1-552	YBR164C
OG0000686	snap_masked-scaffold_10-processed-gene-1.54-mRNA-1_1&gene=snap_masked-scaffold_10-processed-gene-1.54&CDS=1-1419	YOR163W
OG0000687	snap_masked-scaffold_10-processed-gene-1.69-mRNA-1_1&gene=snap_masked-scaffold_10-processed-gene-1.69&CDS=1-1425	YPL097W
OG0000688	augustus_masked-scaffold_10-processed-gene-1.30-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-1.30&CDS=1-1362	YBR166C
OG0000689	augustus_masked-scaffold_10-processed-gene-1.31-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-1.31&CDS=1-1230	YIR032C
OG0000690	snap_masked-scaffold_10-processed-gene-1.56-mRNA-1_1&gene=snap_masked-scaffold_10-processed-gene-1.56&CDS=1-618	YBR171W
OG0000691	snap_masked-scaffold_10-processed-gene-1.74-mRNA-1_1&gene=snap_masked-scaffold_10-processed-gene-1.74&CDS=1-471	YBR173C
OG0000692	augustus_masked-scaffold_10-processed-gene-1.17-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-1.17&CDS=1-1029	YBR175W
OG0000693	snap_masked-scaffold_10-processed-gene-1.58-mRNA-1_1&gene=snap_masked-scaffold_10-processed-gene-1.58&CDS=1-1980	YPL104W
OG0000694	augustus_masked-scaffold_10-processed-gene-1.19-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-1.19&CDS=1-1518	YPL101W
OG0000695	snap_masked-scaffold_10-processed-gene-1.77-mRNA-1_1&gene=snap_masked-scaffold_10-processed-gene-1.77&CDS=1-291	YPL098C
OG0000696	augustus_masked-scaffold_10-processed-gene-1.39-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-1.39&CDS=1-2517	YBR179C
OG0000697	snap_masked-scaffold_10-processed-gene-1.80-mRNA-1_1&gene=snap_masked-scaffold_10-processed-gene-1.80&CDS=1-969	YPL094C
OG0000698	snap_masked-scaffold_10-processed-gene-2.11-mRNA-1_1&gene=snap_masked-scaffold_10-processed-gene-2.11&CDS=1-1404	YPL091W
OG0000699	augustus_masked-scaffold_10-processed-gene-2.73-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-2.73&CDS=1-4473	YPL085W
OG0000700	snap_masked-scaffold_10-processed-gene-2.17-mRNA-1_1&gene=snap_masked-scaffold_10-processed-gene-2.17&CDS=1-2547	YPL075W
OG0000701	snap_masked-scaffold_10-processed-gene-2.18-mRNA-1_1&gene=snap_masked-scaffold_10-processed-gene-2.18&CDS=1-2523	YBR198C
OG0000702	augustus_masked-scaffold_10-processed-gene-2.105-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-2.105&CDS=1-921	YPL076W
OG0000703	snap_masked-scaffold_10-processed-gene-2.19-mRNA-1_1&gene=snap_masked-scaffold_10-processed-gene-2.19&CDS=1-1653	YBR196C
OG0000704	snap_masked-scaffold_10-processed-gene-2.20-mRNA-1_1&gene=snap_masked-scaffold_10-processed-gene-2.20&CDS=1-1389	YDR221W
OG0000705	augustus_masked-scaffold_10-processed-gene-2.79-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-2.79&CDS=1-2394	YDR223W
OG0000706	augustus_masked-scaffold_10-processed-gene-2.108-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-2.108&CDS=1-678	YDR226W
OG0000707	augustus_masked-scaffold_10-processed-gene-2.110-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-2.110&CDS=1-753	YDR228C
OG0000708	augustus_masked-scaffold_10-processed-gene-2.81-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-2.81&CDS=1-990	YLR220W
OG0000709	augustus_masked-scaffold_10-processed-gene-2.82-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-2.82&CDS=1-2553	YLR222C
OG0000710	augustus_masked-scaffold_10-processed-gene-2.83-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-2.83&CDS=1-654	YLR221C
OG0000711	snap_masked-scaffold_10-processed-gene-2.27-mRNA-1_1&gene=snap_masked-scaffold_10-processed-gene-2.27&CDS=1-1431	YLR226W
OG0000712	snap_masked-scaffold_10-processed-gene-2.28-mRNA-1_1&gene=snap_masked-scaffold_10-processed-gene-2.28&CDS=1-1266	YDR218C
OG0000713	augustus_masked-scaffold_10-processed-gene-2.111-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-2.111&CDS=1-1092	YDR214W
OG0000714	snap_masked-scaffold_10-processed-gene-2.53-mRNA-1_1&gene=snap_masked-scaffold_10-processed-gene-2.53&CDS=1-1683	YDR212W
OG0000715	augustus_masked-scaffold_10-processed-gene-2.115-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-2.115&CDS=1-573	YLR229C
OG0000716	augustus_masked-scaffold_10-processed-gene-2.116-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-2.116&CDS=1-1008	YDR204W
OG0000717	augustus_masked-scaffold_10-processed-gene-2.117-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-2.117&CDS=1-945	YLR239C
OG0000718	augustus_masked-scaffold_10-processed-gene-2.91-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-2.91&CDS=1-1356	YDR198C
OG0000719	snap_masked-scaffold_10-processed-gene-2.36-mRNA-1_1&gene=snap_masked-scaffold_10-processed-gene-2.36&CDS=1-816	YDR196C
OG0000720	augustus_masked-scaffold_10-processed-gene-2.93-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-2.93&CDS=1-4020	YLR240W
OG0000721	augustus_masked-scaffold_10-processed-gene-2.94-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-2.94&CDS=1-2451	YLR241W
OG0000722	augustus_masked-scaffold_10-processed-gene-2.119-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-2.119&CDS=1-879	YLR242C
OG0000723	augustus_masked-scaffold_10-processed-gene-2.96-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-2.96&CDS=1-813	YLR243W
OG0000724	snap_masked-scaffold_10-processed-gene-2.41-mRNA-1_1&gene=snap_masked-scaffold_10-processed-gene-2.41&CDS=1-480	YLR245C
OG0000725	augustus_masked-scaffold_10-processed-gene-2.98-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-2.98&CDS=1-1140	YLR244C
OG0000726	augustus_masked-scaffold_10-processed-gene-2.121-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-2.121&CDS=1-1005	YPL069C
OG0000727	snap_masked-scaffold_10-processed-gene-2.59-mRNA-1_1&gene=snap_masked-scaffold_10-processed-gene-2.59&CDS=1-2169	YBR200W
OG0000728	augustus_masked-scaffold_10-processed-gene-2.124-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-2.124&CDS=1-1407	YNL292W
OG0000729	maker-scaffold_10-snap-gene-2.5-mRNA-1_1&gene=maker-scaffold_10-snap-gene-2.5&CDS=1-1896	YBR160W
OG0000730	augustus_masked-scaffold_10-processed-gene-2.127-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-2.127&CDS=1-1599	YDR120C
OG0000731	snap_masked-scaffold_10-processed-gene-2.65-mRNA-1_1&gene=snap_masked-scaffold_10-processed-gene-2.65&CDS=1-774	YLR059C
OG0000732	augustus_masked-scaffold_10-processed-gene-2.102-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-2.102&CDS=1-438	YDR121W
OG0000733	augustus_masked-scaffold_10-processed-gene-2.130-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-2.130&CDS=1-1578	YHR176W
OG0000734	snap_masked-scaffold_10-processed-gene-2.68-mRNA-1_1&gene=snap_masked-scaffold_10-processed-gene-2.68&CDS=1-1659	YLR094C
OG0000735	maker-scaffold_100-snap-gene-0.6-mRNA-1_1&gene=maker-scaffold_100-snap-gene-0.6&CDS=1-2928	YFL008W
OG0000736	genemark-scaffold_103-processed-gene-0.3-mRNA-1_1&gene=genemark-scaffold_103-processed-gene-0.3&CDS=1-1221	YBR155W
OG0000737	genemark-scaffold_105-processed-gene-0.6-mRNA-1_1&gene=genemark-scaffold_105-processed-gene-0.6&CDS=1-1434	YDR105C
OG0000738	genemark-scaffold_105-processed-gene-0.7-mRNA-1_1&gene=genemark-scaffold_105-processed-gene-0.7&CDS=1-4773	YLL015W
OG0000739	genemark-scaffold_109-processed-gene-0.4-mRNA-1_1&gene=genemark-scaffold_109-processed-gene-0.4&CDS=1-1653	YML115C
OG0000740	snap_masked-scaffold_109-processed-gene-0.2-mRNA-1_1&gene=snap_masked-scaffold_109-processed-gene-0.2&CDS=1-1950	YML117W
OG0000741	genemark-scaffold_11-processed-gene-0.93-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-0.93&CDS=1-993	YFR018C
OG0000742	genemark-scaffold_11-processed-gene-0.81-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-0.81&CDS=1-1968	YJL085W
OG0000743	genemark-scaffold_11-processed-gene-0.82-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-0.82&CDS=1-1641	YKR016W
OG0000744	genemark-scaffold_11-processed-gene-0.83-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-0.83&CDS=1-1386	YJL091C
OG0000745	genemark-scaffold_11-processed-gene-0.95-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-0.95&CDS=1-3369	YJL092W
OG0000746	genemark-scaffold_11-processed-gene-0.84-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-0.84&CDS=1-951	YER053C
OG0000747	genemark-scaffold_11-processed-gene-0.97-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-0.97&CDS=1-3069	YIL073C
OG0000748	genemark-scaffold_11-processed-gene-0.98-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-0.98&CDS=1-1833	YER080W
OG0000749	genemark-scaffold_11-processed-gene-0.85-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-0.85&CDS=1-2523	YER075C
OG0000750	augustus_masked-scaffold_11-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-scaffold_11-processed-gene-0.61&CDS=1-294	YER074W-A
OG0000751	genemark-scaffold_11-processed-gene-0.87-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-0.87&CDS=1-1089	YKL151C
OG0000752	genemark-scaffold_11-processed-gene-0.88-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-0.88&CDS=1-924	YKL150W
OG0000753	genemark-scaffold_11-processed-gene-0.102-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-0.102&CDS=1-1176	YKL149C
OG0000754	genemark-scaffold_11-processed-gene-0.103-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-0.103&CDS=1-1893	YKL148C
OG0000755	genemark-scaffold_11-processed-gene-0.89-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-0.89&CDS=1-1476	YKL145W
OG0000756	genemark-scaffold_11-processed-gene-0.105-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-0.105&CDS=1-723	YKL144C
OG0000757	genemark-scaffold_11-processed-gene-0.90-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-0.90&CDS=1-1542	YKL143W
OG0000758	genemark-scaffold_11-processed-gene-0.91-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-0.91&CDS=1-636	YKL142W
OG0000759	genemark-scaffold_11-processed-gene-0.106-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-0.106&CDS=1-2082	YJL010C
OG0000760	genemark-scaffold_11-processed-gene-0.107-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-0.107&CDS=1-1089	YJR008W
OG0000761	genemark-scaffold_11-processed-gene-0.108-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-0.108&CDS=1-966	YJR007W
OG0000762	genemark-scaffold_11-processed-gene-0.92-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-0.92&CDS=1-573	YKL160W
OG0000763	genemark-scaffold_11-processed-gene-0.109-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-0.109&CDS=1-438	YHR051W
OG0000764	genemark-scaffold_11-processed-gene-0.112-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-0.112&CDS=1-708	YHR049W
OG0000765	genemark-scaffold_11-processed-gene-0.113-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-0.113&CDS=1-1608	YHR048W
OG0000766	genemark-scaffold_11-processed-gene-0.114-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-0.114&CDS=1-534	YGR203W
OG0000767	genemark-scaffold_11-processed-gene-1.49-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-1.49&CDS=1-1437	YGR202C
OG0000768	genemark-scaffold_11-processed-gene-1.50-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-1.50&CDS=1-2280	YLL008W
OG0000769	genemark-scaffold_11-processed-gene-1.46-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-1.46&CDS=1-774	YLL006W
OG0000770	genemark-scaffold_11-processed-gene-1.52-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-1.52&CDS=1-1005	YGR192C
OG0000771	genemark-scaffold_11-processed-gene-1.48-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-1.48&CDS=1-2046	YHR042W
OG0000772	genemark-scaffold_11-processed-gene-1.53-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-1.53&CDS=1-3312	YDR291W
OG0000773	genemark-scaffold_11-processed-gene-1.54-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-1.54&CDS=1-612	YDR298C
OG0000774	genemark-scaffold_11-processed-gene-1.75-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-1.75&CDS=1-1053	YDR297W
OG0000775	genemark-scaffold_11-processed-gene-1.76-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-1.76&CDS=1-738	YDR296W
OG0000776	augustus_masked-scaffold_11-processed-gene-1.13-mRNA-1_1&gene=augustus_masked-scaffold_11-processed-gene-1.13&CDS=1-1932	YDR321W
OG0000777	genemark-scaffold_11-processed-gene-1.61-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-1.61&CDS=1-5649	YDR283C
OG0000778	genemark-scaffold_11-processed-gene-1.79-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-1.79&CDS=1-723	YAR008W
OG0000779	genemark-scaffold_11-processed-gene-1.62-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-1.62&CDS=1-1062	YLR006C
OG0000780	augustus_masked-scaffold_11-processed-gene-1.32-mRNA-1_1&gene=augustus_masked-scaffold_11-processed-gene-1.32&CDS=1-849	YLR003C
OG0000781	maker-scaffold_11-snap-gene-1.99-mRNA-1_1&gene=maker-scaffold_11-snap-gene-1.99&CDS=1-3561	YNR055C
OG0000782	genemark-scaffold_11-processed-gene-1.68-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-1.68&CDS=1-1302	YDR299W
OG0000783	genemark-scaffold_11-processed-gene-1.84-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-1.84&CDS=1-1116	YDR302W
OG0000784	genemark-scaffold_11-processed-gene-1.85-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-1.85&CDS=1-834	YDR310C
OG0000785	genemark-scaffold_11-processed-gene-1.86-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-1.86&CDS=1-1152	YHR063C
OG0000786	genemark-scaffold_11-processed-gene-1.87-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-1.87&CDS=1-1218	YHR064C
OG0000787	genemark-scaffold_11-processed-gene-1.69-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-1.69&CDS=1-1314	YLR015W
OG0000788	genemark-scaffold_11-processed-gene-1.70-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-1.70&CDS=1-1605	YLR005W
OG0000789	genemark-scaffold_11-processed-gene-1.71-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-1.71&CDS=1-987	YHR062C
OG0000790	genemark-scaffold_11-processed-gene-1.90-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-1.90&CDS=1-510	YDR308C
OG0000791	genemark-scaffold_11-processed-gene-2.67-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-2.67&CDS=1-1413	YDR306C
OG0000792	snap_masked-scaffold_11-processed-gene-2.0-mRNA-1_1&gene=snap_masked-scaffold_11-processed-gene-2.0&CDS=1-696	YKR062W
OG0000793	genemark-scaffold_11-processed-gene-2.70-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-2.70&CDS=1-2229	YHR074W
OG0000794	augustus_masked-scaffold_11-processed-gene-2.127-mRNA-1_1&gene=augustus_masked-scaffold_11-processed-gene-2.127&CDS=1-1191	YHR075C
OG0000795	genemark-scaffold_11-processed-gene-2.97-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-2.97&CDS=1-1155	YDR337W
OG0000796	genemark-scaffold_11-processed-gene-2.72-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-2.72&CDS=1-915	YHR089C
OG0000797	maker-scaffold_11-snap-gene-2.61-mRNA-1_1&gene=maker-scaffold_11-snap-gene-2.61&CDS=1-3780	YDR335W
OG0000798	genemark-scaffold_11-processed-gene-2.100-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-2.100&CDS=1-372	YJL003W
OG0000799	genemark-scaffold_11-processed-gene-2.75-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-2.75&CDS=1-1791	YJR016C
