	Saccharomyces_cerevisiae	Spathaspora_passalidarum
OG0000512	YBL026W	augustus_masked-scaffold_2-processed-gene-12.96-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-12.96&CDS=1-1590
OG0000513	YBL028C	augustus_masked-scaffold_5-processed-gene-10.57-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-10.57&CDS=1-300
OG0000514	YBL029W	augustus_masked-scaffold_4-processed-gene-15.33-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-15.33&CDS=1-2343
OG0000515	YBL032W	augustus_masked-scaffold_7-processed-gene-7.134-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-7.134&CDS=1-1122
OG0000516	YBL033C	augustus_masked-scaffold_2-processed-gene-15.57-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-15.57&CDS=1-1026
OG0000517	YBL036C	augustus_masked-scaffold_1-processed-gene-12.11-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-12.11&CDS=1-738
OG0000518	YBL037W	augustus_masked-scaffold_1-processed-gene-12.31-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-12.31&CDS=1-3750
OG0000519	YBL038W	augustus_masked-scaffold_3-processed-gene-19.131-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-19.131&CDS=1-987
OG0000520	YBL039C	snap_masked-scaffold_6-processed-gene-9.103-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-9.103&CDS=1-1719
OG0000521	YBL040C	augustus_masked-scaffold_1-processed-gene-17.81-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-17.81&CDS=1-636
OG0000522	YBL041W	augustus_masked-scaffold_1-processed-gene-17.62-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-17.62&CDS=1-726
OG0000523	YBL045C	augustus_masked-scaffold_6-processed-gene-10.66-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-10.66&CDS=1-1329
OG0000524	YBL047C	augustus_masked-scaffold_4-processed-gene-11.65-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-11.65&CDS=1-3735
OG0000525	YBL049W	augustus_masked-scaffold_1-processed-gene-18.116-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-18.116&CDS=1-843
OG0000526	YBL050W	augustus_masked-scaffold_2-processed-gene-17.36-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-17.36&CDS=1-879
OG0000527	YBL051C	augustus_masked-scaffold_2-processed-gene-17.47-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-17.47&CDS=1-2202
OG0000528	YBL052C	augustus_masked-scaffold_2-processed-gene-17.45-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-17.45&CDS=1-2301
OG0000529	YBL055C	augustus_masked-scaffold_2-processed-gene-17.31-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-17.31&CDS=1-1173
OG0000530	YBL057C	augustus_masked-scaffold_2-processed-gene-17.43-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-17.43&CDS=1-606
OG0000531	YBL059C-A	augustus_masked-scaffold_8-processed-gene-0.88-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-0.88&CDS=1-300
OG0000532	YBL060W	augustus_masked-scaffold_8-processed-gene-0.111-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-0.111&CDS=1-3015
OG0000533	YBL061C	augustus_masked-scaffold_5-processed-gene-12.45-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-12.45&CDS=1-2070
OG0000534	YBL064C	augustus_masked-scaffold_2-processed-gene-16.82-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-16.82&CDS=1-750
OG0000535	YBL066C	augustus_masked-scaffold_2-processed-gene-16.83-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-16.83&CDS=1-2985
OG0000536	YBL071W-A	augustus_masked-scaffold_3-processed-gene-14.29-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-14.29&CDS=1-219
OG0000537	YBL076C	augustus_masked-scaffold_7-processed-gene-5.87-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-5.87&CDS=1-3255
OG0000538	YBL078C	augustus_masked-scaffold_1-processed-gene-15.1-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-15.1&CDS=1-414
OG0000539	YBL079W	augustus_masked-scaffold_1-processed-gene-15.0-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-15.0&CDS=1-4338
OG0000540	YBL080C	augustus_masked-scaffold_1-processed-gene-15.24-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-15.24&CDS=1-1515
OG0000541	YBL082C	augustus_masked-scaffold_7-processed-gene-5.78-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-5.78&CDS=1-1404
OG0000542	YBL084C	augustus_masked-scaffold_2-processed-gene-18.51-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-18.51&CDS=1-2088
OG0000543	YBL086C	augustus_masked-scaffold_8-processed-gene-4.59-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-4.59&CDS=1-1239
OG0000544	YBL088C	augustus_masked-scaffold_4-processed-gene-10.68-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-10.68&CDS=1-8685
OG0000545	YBL091C	augustus_masked-scaffold_7-processed-gene-5.53-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-5.53&CDS=1-1245
OG0000546	YBL092W	augustus_masked-scaffold_7-processed-gene-3.99-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-3.99&CDS=1-420
OG0000547	YBL095W	augustus_masked-scaffold_3-processed-gene-13.47-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-13.47&CDS=1-672
OG0000548	YBL097W	augustus_masked-scaffold_1-processed-gene-24.105-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-24.105&CDS=1-2061
OG0000549	YBL098W	augustus_masked-scaffold_5-processed-gene-0.110-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-0.110&CDS=1-1479
OG0000550	YBL099W	maker-scaffold_1-augustus-gene-8.163-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-8.163&CDS=1-1635
OG0000551	YBL102W	augustus_masked-scaffold_6-processed-gene-5.34-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-5.34&CDS=1-651
OG0000552	YBL103C	augustus_masked-scaffold_6-processed-gene-5.10-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-5.10&CDS=1-1668
OG0000553	YBL104C	augustus_masked-scaffold_5-processed-gene-10.82-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-10.82&CDS=1-3018
OG0000554	YBL105C	maker-scaffold_5-augustus-gene-10.141-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-10.141&CDS=1-2073
OG0000555	YBR004C	augustus_masked-scaffold_1-processed-gene-8.15-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-8.15&CDS=1-1197
OG0000556	YBR006W	augustus_masked-scaffold_5-processed-gene-11.48-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-11.48&CDS=1-1479
OG0000557	YBR007C	augustus_masked-scaffold_6-processed-gene-4.67-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-4.67&CDS=1-1443
OG0000558	YBR011C	augustus_masked-scaffold_3-processed-gene-5.7-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-5.7&CDS=1-861
OG0000559	YBR016W	augustus_masked-scaffold_4-processed-gene-5.47-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-5.47&CDS=1-342
OG0000560	YBR017C	augustus_masked-scaffold_3-processed-gene-13.41-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-13.41&CDS=1-2796
OG0000561	YBR018C	augustus_masked-scaffold_1-processed-gene-4.21-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-4.21&CDS=1-1149
OG0000562	YBR019C	augustus_masked-scaffold_1-processed-gene-4.19-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-4.19&CDS=1-2055
OG0000563	YBR022W	augustus_masked-scaffold_4-processed-gene-1.62-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-1.62&CDS=1-1524
OG0000564	YBR023C	augustus_masked-scaffold_4-processed-gene-13.6-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-13.6&CDS=1-3621
OG0000565	YBR025C	augustus_masked-scaffold_1-processed-gene-9.10-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-9.10&CDS=1-1188
OG0000566	YBR026C	augustus_masked-scaffold_5-processed-gene-0.106-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-0.106&CDS=1-1149
OG0000567	YBR028C	augustus_masked-scaffold_6-processed-gene-4.89-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-4.89&CDS=1-1299
OG0000568	YBR029C	augustus_masked-scaffold_4-processed-gene-6.30-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-6.30&CDS=1-1314
OG0000569	YBR030W	augustus_masked-scaffold_4-processed-gene-17.17-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-17.17&CDS=1-1935
OG0000570	YBR034C	augustus_masked-scaffold_1-processed-gene-2.151-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-2.151&CDS=1-1017
OG0000571	YBR035C	augustus_masked-scaffold_2-processed-gene-12.58-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-12.58&CDS=1-741
OG0000572	YBR037C	augustus_masked-scaffold_2-processed-gene-2.47-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-2.47&CDS=1-897
OG0000573	YBR038W	augustus_masked-scaffold_8-processed-gene-3.29-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-3.29&CDS=1-3021
OG0000574	YBR039W	maker-scaffold_2-snap-gene-18.0-mRNA-1_1&gene=maker-scaffold_2-snap-gene-18.0&CDS=1-1098
OG0000575	YBR041W	augustus_masked-scaffold_7-processed-gene-2.72-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-2.72&CDS=1-1959
OG0000576	YBR042C	augustus_masked-scaffold_7-processed-gene-2.64-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-2.64&CDS=1-1911
OG0000577	YBR043C	augustus_masked-scaffold_7-processed-gene-2.81-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-2.81&CDS=1-1896
OG0000578	YBR046C	augustus_masked-scaffold_3-processed-gene-6.59-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-6.59&CDS=1-1002
OG0000579	YBR053C	augustus_masked-scaffold_1-processed-gene-10.71-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-10.71&CDS=1-975
OG0000580	YBR055C	snap_masked-scaffold_4-processed-gene-16.65-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-16.65&CDS=1-2613
OG0000581	YBR056W	augustus_masked-scaffold_4-processed-gene-17.24-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-17.24&CDS=1-3984
OG0000582	YBR057C	maker-scaffold_6-augustus-gene-10.184-mRNA-1_1&gene=maker-scaffold_6-augustus-gene-10.184&CDS=1-1080
OG0000583	YBR058C	augustus_masked-scaffold_3-processed-gene-12.19-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-12.19&CDS=1-2343
OG0000584	YBR061C	augustus_masked-scaffold_5-processed-gene-15.204-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-15.204&CDS=1-885
OG0000585	YBR065C	augustus_masked-scaffold_3-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-0.27&CDS=1-1044
OG0000586	YBR070C	augustus_masked-scaffold_3-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-0.26&CDS=1-687
OG0000587	YBR073W	augustus_masked-scaffold_3-processed-gene-1.7-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-1.7&CDS=1-2766
OG0000588	YBR074W	augustus_masked-scaffold_3-processed-gene-1.8-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-1.8&CDS=1-2925
OG0000589	YBR079C	augustus_masked-scaffold_4-processed-gene-14.46-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-14.46&CDS=1-2682
OG0000590	YBR080C	augustus_masked-scaffold_4-processed-gene-15.34-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-15.34&CDS=1-2391
OG0000591	YBR081C	augustus_masked-scaffold_2-processed-gene-1.98-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-1.98&CDS=1-3357
OG0000592	YBR082C	augustus_masked-scaffold_2-processed-gene-1.99-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-1.99&CDS=1-441
OG0000593	YBR083W	augustus_masked-scaffold_5-processed-gene-10.79-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-10.79&CDS=1-2040
OG0000594	YBR085W	augustus_masked-scaffold_4-processed-gene-1.48-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-1.48&CDS=1-900
OG0000595	YBR086C	augustus_masked-scaffold_1-processed-gene-12.29-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-12.29&CDS=1-2538
OG0000596	YBR087W	augustus_masked-scaffold_3-processed-gene-19.172-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-19.172&CDS=1-1080
OG0000597	YBR088C	augustus_masked-scaffold_6-processed-gene-2.106-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-2.106&CDS=1-777
OG0000598	YBR091C	augustus_masked-scaffold_6-processed-gene-3.104-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-3.104&CDS=1-303
OG0000599	YBR094W	augustus_masked-scaffold_6-processed-gene-3.99-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-3.99&CDS=1-2094
OG0000600	YBR095C	augustus_masked-scaffold_6-processed-gene-2.95-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-2.95&CDS=1-1128
OG0000601	YBR096W	augustus_masked-scaffold_3-processed-gene-16.79-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-16.79&CDS=1-717
OG0000602	YBR097W	augustus_masked-scaffold_7-processed-gene-2.79-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-2.79&CDS=1-4068
OG0000603	YBR098W	augustus_masked-scaffold_7-processed-gene-2.53-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-2.53&CDS=1-1698
OG0000604	YBR101C	augustus_masked-scaffold_7-processed-gene-2.71-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-2.71&CDS=1-843
OG0000605	YBR102C	augustus_masked-scaffold_7-processed-gene-2.63-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-2.63&CDS=1-2175
OG0000606	YBR103W	augustus_masked-scaffold_7-processed-gene-2.80-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-2.80&CDS=1-1716
OG0000607	YBR106W	augustus_masked-scaffold_2-processed-gene-2.48-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-2.48&CDS=1-573
OG0000608	YBR110W	augustus_masked-scaffold_1-processed-gene-20.111-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-20.111&CDS=1-1134
OG0000609	YBR111C	augustus_masked-scaffold_5-processed-gene-14.137-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-14.137&CDS=1-618
OG0000610	YBR112C	augustus_masked-scaffold_5-processed-gene-14.122-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-14.122&CDS=1-2511
OG0000611	YBR114W	augustus_masked-scaffold_1-processed-gene-4.30-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-4.30&CDS=1-2520
OG0000612	YBR115C	augustus_masked-scaffold_1-processed-gene-4.29-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-4.29&CDS=1-4200
OG0000613	YBR120C	augustus_masked-scaffold_3-processed-gene-7.44-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-7.44&CDS=1-336
OG0000614	YBR121C	maker-scaffold_1-augustus-gene-15.89-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-15.89&CDS=1-3639
OG0000615	YBR122C	augustus_masked-scaffold_4-processed-gene-2.37-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-2.37&CDS=1-531
OG0000616	YBR123C	augustus_masked-scaffold_1-processed-gene-10.79-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-10.79&CDS=1-1977
OG0000617	YBR125C	augustus_masked-scaffold_2-processed-gene-9.60-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-9.60&CDS=1-1023
OG0000618	YBR126C	augustus_masked-scaffold_2-processed-gene-9.81-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-9.81&CDS=1-1446
OG0000619	YBR127C	augustus_masked-scaffold_2-processed-gene-9.78-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-9.78&CDS=1-1533
OG0000620	YBR133C	augustus_masked-scaffold_4-processed-gene-6.31-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-6.31&CDS=1-1494
OG0000621	YBR136W	maker-scaffold_4-augustus-gene-6.86-mRNA-1_1&gene=maker-scaffold_4-augustus-gene-6.86&CDS=1-7104
OG0000622	YBR137W	augustus_masked-scaffold_8-processed-gene-3.32-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-3.32&CDS=1-486
OG0000623	YBR141C	augustus_masked-scaffold_3-processed-gene-13.29-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-13.29&CDS=1-990
OG0000624	YBR142W	augustus_masked-scaffold_3-processed-gene-13.52-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-13.52&CDS=1-2343
OG0000625	YBR143C	augustus_masked-scaffold_3-processed-gene-13.28-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-13.28&CDS=1-1314
OG0000626	YBR146W	augustus_masked-scaffold_4-processed-gene-14.35-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-14.35&CDS=1-954
OG0000627	YBR151W	augustus_masked-scaffold_5-processed-gene-5.23-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-5.23&CDS=1-882
OG0000628	YBR153W	augustus_masked-scaffold_4-processed-gene-14.41-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-14.41&CDS=1-756
OG0000629	YBR154C	maker-scaffold_4-augustus-gene-14.95-mRNA-1_1&gene=maker-scaffold_4-augustus-gene-14.95&CDS=1-642
OG0000630	YBR155W	augustus_masked-scaffold_1-processed-gene-3.107-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-3.107&CDS=1-1179
OG0000631	YBR156C	augustus_masked-scaffold_1-processed-gene-3.121-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-3.121&CDS=1-1818
OG0000632	YBR158W	augustus_masked-scaffold_3-processed-gene-12.36-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-12.36&CDS=1-1704
OG0000633	YBR159W	augustus_masked-scaffold_2-processed-gene-8.44-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-8.44&CDS=1-1038
OG0000634	YBR160W	augustus_masked-scaffold_2-processed-gene-8.46-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-8.46&CDS=1-951
OG0000635	YBR162C	augustus_masked-scaffold_5-processed-gene-2.95-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-2.95&CDS=1-1320
OG0000636	YBR162W-A	genemark-scaffold_5-processed-gene-8.58-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-8.58&CDS=1-186
OG0000637	YBR163W	augustus_masked-scaffold_2-processed-gene-14.9-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-14.9&CDS=1-1851
OG0000638	YBR164C	augustus_masked-scaffold_1-processed-gene-17.51-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-17.51&CDS=1-555
OG0000639	YBR166C	augustus_masked-scaffold_1-processed-gene-17.75-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-17.75&CDS=1-1341
OG0000640	YBR167C	augustus_masked-scaffold_6-processed-gene-1.116-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-1.116&CDS=1-396
OG0000641	YBR170C	augustus_masked-scaffold_1-processed-gene-14.114-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-14.114&CDS=1-1689
OG0000642	YBR171W	maker-scaffold_1-augustus-gene-21.2-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-21.2&CDS=1-1467
OG0000643	YBR173C	maker-scaffold_1-augustus-gene-25.127-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-25.127&CDS=1-444
OG0000644	YBR176W	augustus_masked-scaffold_1-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-0.33&CDS=1-936
OG0000645	YBR179C	augustus_masked-scaffold_1-processed-gene-19.37-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-19.37&CDS=1-2604
OG0000646	YBR180W	augustus_masked-scaffold_2-processed-gene-10.53-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-10.53&CDS=1-1392
OG0000647	YBR182C	augustus_masked-scaffold_6-processed-gene-3.116-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-3.116&CDS=1-1722
OG0000648	YBR185C	augustus_masked-scaffold_5-processed-gene-12.65-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-12.65&CDS=1-867
OG0000649	YBR187W	augustus_masked-scaffold_3-processed-gene-8.5-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-8.5&CDS=1-963
OG0000650	YBR192W	augustus_masked-scaffold_3-processed-gene-8.0-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-8.0&CDS=1-1101
OG0000651	YBR193C	augustus_masked-scaffold_3-processed-gene-8.1-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-8.1&CDS=1-711
OG0000652	YBR195C	augustus_masked-scaffold_3-processed-gene-8.11-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-8.11&CDS=1-1308
OG0000653	YBR196C	augustus_masked-scaffold_2-processed-gene-8.35-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-8.35&CDS=1-1650
OG0000654	YBR198C	augustus_masked-scaffold_2-processed-gene-12.61-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-12.61&CDS=1-3219
OG0000655	YBR199W	augustus_masked-scaffold_1-processed-gene-7.43-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-7.43&CDS=1-1293
OG0000656	YBR200W	augustus_masked-scaffold_6-processed-gene-3.130-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-3.130&CDS=1-6825
OG0000657	YBR202W	augustus_masked-scaffold_3-processed-gene-3.29-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-3.29&CDS=1-2370
OG0000658	YBR203W	augustus_masked-scaffold_4-processed-gene-8.45-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-8.45&CDS=1-2094
OG0000659	YBR208C	augustus_masked-scaffold_1-processed-gene-9.25-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-9.25&CDS=1-5466
OG0000660	YBR212W	augustus_masked-scaffold_5-processed-gene-15.159-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-15.159&CDS=1-2211
OG0000661	YBR213W	augustus_masked-scaffold_5-processed-gene-15.161-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-15.161&CDS=1-906
OG0000662	YBR215W	augustus_masked-scaffold_4-processed-gene-15.57-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-15.57&CDS=1-1473
OG0000663	YBR217W	augustus_masked-scaffold_4-processed-gene-15.56-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-15.56&CDS=1-534
OG0000664	YBR218C	augustus_masked-scaffold_1-processed-gene-22.100-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-22.100&CDS=1-3537
OG0000665	YBR221C	maker-scaffold_1-augustus-gene-22.4-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-22.4&CDS=1-2871
OG0000666	YBR223C	augustus_masked-scaffold_5-processed-gene-8.98-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-8.98&CDS=1-1647
OG0000667	YBR228W	augustus_masked-scaffold_4-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-0.19&CDS=1-876
OG0000668	YBR229C	augustus_masked-scaffold_4-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-0.36&CDS=1-2763
OG0000669	YBR231C	augustus_masked-scaffold_7-processed-gene-7.78-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-7.78&CDS=1-789
OG0000670	YBR233W	augustus_masked-scaffold_7-processed-gene-7.77-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-7.77&CDS=1-1638
OG0000671	YBR234C	augustus_masked-scaffold_2-processed-gene-8.39-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-8.39&CDS=1-1134
OG0000672	YBR235W	maker-scaffold_5-augustus-gene-14.49-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-14.49&CDS=1-7236
OG0000673	YBR236C	augustus_masked-scaffold_5-processed-gene-15.179-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-15.179&CDS=1-1542
OG0000674	YBR243C	augustus_masked-scaffold_3-processed-gene-7.46-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-7.46&CDS=1-1482
OG0000675	YBR246W	augustus_masked-scaffold_3-processed-gene-7.61-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-7.61&CDS=1-837
OG0000676	YBR247C	augustus_masked-scaffold_8-processed-gene-3.10-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-3.10&CDS=1-1380
OG0000677	YBR248C	augustus_masked-scaffold_8-processed-gene-3.8-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-3.8&CDS=1-1773
OG0000678	YBR254C	augustus_masked-scaffold_1-processed-gene-2.125-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-2.125&CDS=1-474
OG0000679	YBR255W	genemark-scaffold_1-processed-gene-2.14-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.14&CDS=1-1877
OG0000680	YBR256C	augustus_masked-scaffold_6-processed-gene-10.29-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-10.29&CDS=1-717
OG0000681	YBR257W	augustus_masked-scaffold_7-processed-gene-5.60-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-5.60&CDS=1-687
OG0000682	YBR258C	augustus_masked-scaffold_1-processed-gene-14.107-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-14.107&CDS=1-627
OG0000683	YBR260C	augustus_masked-scaffold_1-processed-gene-14.93-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-14.93&CDS=1-1911
OG0000684	YBR261C	augustus_masked-scaffold_8-processed-gene-6.56-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-6.56&CDS=1-747
OG0000685	YBR263W	maker-scaffold_8-augustus-gene-1.85-mRNA-1_1&gene=maker-scaffold_8-augustus-gene-1.85&CDS=1-2499
