	Saccharomyces_cerevisiae	Spathaspora_hagerdaliae
OG0000296	YFL061W, YNL335W	genemark-LQHL01001842.1-processed-gene-0.89-mRNA-1_1&gene=genemark-LQHL01001842.1-processed-gene-0.89&CDS=1-933
OG0000297	YFR013W, YOL017W	maker-LQHL01001582.1-snap-gene-0.13-mRNA-1_1&gene=maker-LQHL01001582.1-snap-gene-0.13&CDS=1-2514
OG0000298	YFR031C-A, YIL018W	genemark-LQHL01001844.1-processed-gene-0.91-mRNA-1_1&gene=genemark-LQHL01001844.1-processed-gene-0.91&CDS=1-804
OG0000299	YFR040W, YGL229C	genemark-LQHL01001763.1-processed-gene-0.2-mRNA-1_1&gene=genemark-LQHL01001763.1-processed-gene-0.2&CDS=1-2655
OG0000300	YGL031C, YGR148C	genemark-LQHL01001569.1-processed-gene-0.3-mRNA-1_1&gene=genemark-LQHL01001569.1-processed-gene-0.3&CDS=1-465
OG0000301	YGL049C, YGR162W	genemark-LQHL01001647.1-processed-gene-0.27-mRNA-1_1&gene=genemark-LQHL01001647.1-processed-gene-0.27&CDS=1-3051
OG0000302	YGL071W, YPL202C	genemark-LQHL01001857.1-processed-gene-0.135-mRNA-1_1&gene=genemark-LQHL01001857.1-processed-gene-0.135&CDS=1-2073
OG0000303	YGL076C, YPL198W	snap_masked-LQHL01001855.1-processed-gene-0.48-mRNA-1_1&gene=snap_masked-LQHL01001855.1-processed-gene-0.48&CDS=1-723
OG0000304	YGL082W, YPL191C	genemark-LQHL01001468.1-processed-gene-0.10-mRNA-1_1&gene=genemark-LQHL01001468.1-processed-gene-0.10&CDS=1-1266
OG0000305	YGL087C	genemark-LQHL01000114.1-processed-gene-0.0-mRNA-1_1&gene=genemark-LQHL01000114.1-processed-gene-0.0&CDS=1-267, genemark-LQHL01001845.1-processed-gene-0.87-mRNA-1_1&gene=genemark-LQHL01001845.1-processed-gene-0.87&CDS=1-411
OG0000306	YGL096W, YPL177C	genemark-LQHL01001864.1-processed-gene-0.111-mRNA-1_1&gene=genemark-LQHL01001864.1-processed-gene-0.111&CDS=1-900
OG0000307	YGL133W, YPL216W	augustus_masked-LQHL01001676.1-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-LQHL01001676.1-processed-gene-0.2&CDS=1-4020
OG0000308	YGL134W, YPL219W	snap_masked-LQHL01001286.1-processed-gene-0.1-mRNA-1_1&gene=snap_masked-LQHL01001286.1-processed-gene-0.1&CDS=1-1128
OG0000309	YGL135W, YPL220W	genemark-LQHL01001618.1-processed-gene-0.2-mRNA-1_1&gene=genemark-LQHL01001618.1-processed-gene-0.2&CDS=1-651
OG0000310	YGL139W, YPL221W	snap_masked-LQHL01001286.1-processed-gene-0.0-mRNA-1_1&gene=snap_masked-LQHL01001286.1-processed-gene-0.0&CDS=1-1308
OG0000311	YGL147C, YNL067W	genemark-LQHL01001769.1-processed-gene-0.35-mRNA-1_1&gene=genemark-LQHL01001769.1-processed-gene-0.35&CDS=1-573
OG0000312	YGL162W, YPR009W	genemark-LQHL01001839.1-processed-gene-0.18-mRNA-1_1&gene=genemark-LQHL01001839.1-processed-gene-0.18&CDS=1-1089
OG0000313	YGL166W, YPR008W	snap_masked-LQHL01001864.1-processed-gene-0.6-mRNA-1_1&gene=snap_masked-LQHL01001864.1-processed-gene-0.6&CDS=1-1449
OG0000314	YGL202W	genemark-LQHL01001500.1-processed-gene-0.5-mRNA-1_1&gene=genemark-LQHL01001500.1-processed-gene-0.5&CDS=1-1479, genemark-LQHL01001840.1-processed-gene-0.58-mRNA-1_1&gene=genemark-LQHL01001840.1-processed-gene-0.58&CDS=1-4338
OG0000315	YGL205W	genemark-LQHL01001873.1-processed-gene-0.47-mRNA-1_1&gene=genemark-LQHL01001873.1-processed-gene-0.47&CDS=1-2172, maker-LQHL01001873.1-snap-gene-0.160-mRNA-1_1&gene=maker-LQHL01001873.1-snap-gene-0.160&CDS=1-2721
OG0000316	YGL209W	genemark-LQHL01001668.1-processed-gene-0.4-mRNA-1_1&gene=genemark-LQHL01001668.1-processed-gene-0.4&CDS=1-1557, genemark-LQHL01001816.1-processed-gene-0.0-mRNA-1_1&gene=genemark-LQHL01001816.1-processed-gene-0.0&CDS=1-1431
OG0000317	YGL233W	genemark-LQHL01001735.1-processed-gene-0.41-mRNA-1_1&gene=genemark-LQHL01001735.1-processed-gene-0.41&CDS=1-2736, snap_masked-LQHL01000918.1-processed-gene-0.4-mRNA-1_1&gene=snap_masked-LQHL01000918.1-processed-gene-0.4&CDS=1-531
OG0000318	YGR002C	genemark-LQHL01001615.1-processed-gene-0.6-mRNA-1_1&gene=genemark-LQHL01001615.1-processed-gene-0.6&CDS=1-1836, snap_masked-LQHL01001795.1-processed-gene-0.7-mRNA-1_1&gene=snap_masked-LQHL01001795.1-processed-gene-0.7&CDS=1-477
OG0000319	YGR008C, YLR327C	snap_masked-LQHL01001840.1-processed-gene-0.77-mRNA-1_1&gene=snap_masked-LQHL01001840.1-processed-gene-0.77&CDS=1-273
OG0000320	YGR027C, YLR333C	genemark-LQHL01001673.1-processed-gene-0.23-mRNA-1_1&gene=genemark-LQHL01001673.1-processed-gene-0.23&CDS=1-315
OG0000321	YGR034W, YLR344W	genemark-LQHL01001722.1-processed-gene-0.0-mRNA-1_1&gene=genemark-LQHL01001722.1-processed-gene-0.0&CDS=1-360
OG0000322	YGR038W, YLR350W	genemark-LQHL01001730.1-processed-gene-0.2-mRNA-1_1&gene=genemark-LQHL01001730.1-processed-gene-0.2&CDS=1-714
OG0000323	YGR046W	augustus_masked-LQHL01001680.1-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-LQHL01001680.1-processed-gene-0.3&CDS=1-915, genemark-LQHL01001793.1-processed-gene-0.49-mRNA-1_1&gene=genemark-LQHL01001793.1-processed-gene-0.49&CDS=1-1224
OG0000324	YGR047C	augustus_masked-LQHL01000495.1-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-LQHL01000495.1-processed-gene-0.1&CDS=1-693, genemark-LQHL01001709.1-processed-gene-0.19-mRNA-1_1&gene=genemark-LQHL01001709.1-processed-gene-0.19&CDS=1-2964
OG0000325	YGR056W, YLR357W	augustus_masked-LQHL01001805.1-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-LQHL01001805.1-processed-gene-0.30&CDS=1-3174
OG0000326	YGR070W, YLR371W	genemark-LQHL01001721.1-processed-gene-0.35-mRNA-1_1&gene=genemark-LQHL01001721.1-processed-gene-0.35&CDS=1-4320
OG0000327	YGR085C, YPR102C	genemark-LQHL01001850.1-processed-gene-0.65-mRNA-1_1&gene=genemark-LQHL01001850.1-processed-gene-0.65&CDS=1-498
OG0000328	YGR092W, YPR111W	genemark-LQHL01001850.1-processed-gene-0.50-mRNA-1_1&gene=genemark-LQHL01001850.1-processed-gene-0.50&CDS=1-1950
OG0000329	YGR108W, YPR119W	genemark-LQHL01001842.1-processed-gene-0.87-mRNA-1_1&gene=genemark-LQHL01001842.1-processed-gene-0.87&CDS=1-1395
OG0000330	YGR118W, YPR132W	genemark-LQHL01001666.1-processed-gene-0.14-mRNA-1_1&gene=genemark-LQHL01001666.1-processed-gene-0.14&CDS=1-435
OG0000331	YGR121C, YPR138C	genemark-LQHL01001873.1-processed-gene-0.31-mRNA-1_1&gene=genemark-LQHL01001873.1-processed-gene-0.31&CDS=1-1593
OG0000332	YGR128C	augustus_masked-LQHL01000131.1-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-LQHL01000131.1-processed-gene-0.2&CDS=1-339, genemark-LQHL01001760.1-processed-gene-0.2-mRNA-1_1&gene=genemark-LQHL01001760.1-processed-gene-0.2&CDS=1-2106
OG0000333	YGR131W, YPR149W	genemark-LQHL01001863.1-processed-gene-0.76-mRNA-1_1&gene=genemark-LQHL01001863.1-processed-gene-0.76&CDS=1-507
OG0000334	YGR138C, YPR156C	genemark-LQHL01001686.1-processed-gene-0.8-mRNA-1_1&gene=genemark-LQHL01001686.1-processed-gene-0.8&CDS=1-1731
OG0000335	YGR141W, YPR157W	genemark-LQHL01001835.1-processed-gene-0.76-mRNA-1_1&gene=genemark-LQHL01001835.1-processed-gene-0.76&CDS=1-1299
OG0000336	YGR203W	genemark-LQHL01000546.1-processed-gene-0.1-mRNA-1_1&gene=genemark-LQHL01000546.1-processed-gene-0.1&CDS=1-450, genemark-LQHL01001396.1-processed-gene-0.11-mRNA-1_1&gene=genemark-LQHL01001396.1-processed-gene-0.11&CDS=1-450
OG0000337	YGR209C, YLR043C	genemark-LQHL01001868.1-processed-gene-0.98-mRNA-1_1&gene=genemark-LQHL01001868.1-processed-gene-0.98&CDS=1-309
OG0000338	YGR214W, YLR048W	genemark-LQHL01001863.1-processed-gene-0.83-mRNA-1_1&gene=genemark-LQHL01001863.1-processed-gene-0.83&CDS=1-783
OG0000339	YGR238C, YHR158C	genemark-LQHL01001777.1-processed-gene-0.13-mRNA-1_1&gene=genemark-LQHL01001777.1-processed-gene-0.13&CDS=1-3249
OG0000340	YGR241C, YHR161C	genemark-LQHL01001396.1-processed-gene-0.8-mRNA-1_1&gene=genemark-LQHL01001396.1-processed-gene-0.8&CDS=1-2172
OG0000341	YGR254W	genemark-LQHL01001339.1-processed-gene-0.0-mRNA-1_1&gene=genemark-LQHL01001339.1-processed-gene-0.0&CDS=1-1317, snap_masked-LQHL01001556.1-processed-gene-0.3-mRNA-1_1&gene=snap_masked-LQHL01001556.1-processed-gene-0.3&CDS=1-1317
OG0000342	YHL001W, YKL006W	genemark-LQHL01001656.1-processed-gene-0.23-mRNA-1_1&gene=genemark-LQHL01001656.1-processed-gene-0.23&CDS=1-390
OG0000343	YHL003C, YKL008C	genemark-LQHL01001739.1-processed-gene-0.21-mRNA-1_1&gene=genemark-LQHL01001739.1-processed-gene-0.21&CDS=1-1218
OG0000344	YHL009C	augustus_masked-LQHL01001428.1-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-LQHL01001428.1-processed-gene-0.4&CDS=1-1032, snap_masked-LQHL01000954.1-processed-gene-0.1-mRNA-1_1&gene=snap_masked-LQHL01000954.1-processed-gene-0.1&CDS=1-333
OG0000345	YHL017W, YKL039W	genemark-LQHL01001757.1-processed-gene-0.6-mRNA-1_1&gene=genemark-LQHL01001757.1-processed-gene-0.6&CDS=1-1740
OG0000346	YHL021C	augustus_masked-LQHL01000657.1-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-LQHL01000657.1-processed-gene-0.2&CDS=1-381, genemark-LQHL01001841.1-processed-gene-0.81-mRNA-1_1&gene=genemark-LQHL01001841.1-processed-gene-0.81&CDS=1-1335
OG0000347	YHR021C, YKL156W	snap_masked-LQHL01001556.1-processed-gene-0.6-mRNA-1_1&gene=snap_masked-LQHL01001556.1-processed-gene-0.6&CDS=1-246
OG0000348	YHR043C, YHR044C	maker-LQHL01001767.1-snap-gene-0.7-mRNA-1_1&gene=maker-LQHL01001767.1-snap-gene-0.7&CDS=1-996
OG0000349	YHR063C	augustus_masked-LQHL01001226.1-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-LQHL01001226.1-processed-gene-0.6&CDS=1-342, genemark-LQHL01001591.1-processed-gene-0.6-mRNA-1_1&gene=genemark-LQHL01001591.1-processed-gene-0.6&CDS=1-1077
OG0000350	YHR073W	augustus_masked-LQHL01000238.1-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-LQHL01000238.1-processed-gene-0.1&CDS=1-435, maker-LQHL01001637.1-snap-gene-0.3-mRNA-1_1&gene=maker-LQHL01001637.1-snap-gene-0.3&CDS=1-2421
OG0000351	YHR079C-A	augustus_masked-LQHL01000790.1-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-LQHL01000790.1-processed-gene-0.1&CDS=1-225, genemark-LQHL01001858.1-processed-gene-0.58-mRNA-1_1&gene=genemark-LQHL01001858.1-processed-gene-0.58&CDS=1-435
OG0000352	YHR115C, YNL116W	genemark-LQHL01001674.1-processed-gene-0.8-mRNA-1_1&gene=genemark-LQHL01001674.1-processed-gene-0.8&CDS=1-1383
OG0000353	YHR131C, YNL144C	genemark-LQHL01001673.1-processed-gene-0.28-mRNA-1_1&gene=genemark-LQHL01001673.1-processed-gene-0.28&CDS=1-1695
OG0000354	YHR132W-A, YNL157W	augustus_masked-LQHL01001709.1-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-LQHL01001709.1-processed-gene-0.5&CDS=1-2118
OG0000355	YHR133C, YNL156C	genemark-LQHL01001709.1-processed-gene-0.24-mRNA-1_1&gene=genemark-LQHL01001709.1-processed-gene-0.24&CDS=1-957
OG0000356	YHR141C, YNL162W	maker-LQHL01001589.1-augustus-gene-0.18-mRNA-1_1&gene=maker-LQHL01001589.1-augustus-gene-0.18&CDS=1-318
OG0000357	YHR146W, YNL173C	maker-LQHL01001872.1-snap-gene-0.12-mRNA-1_1&gene=maker-LQHL01001872.1-snap-gene-0.12&CDS=1-1242
OG0000358	YHR155W, YNL257C	augustus_masked-LQHL01001408.1-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-LQHL01001408.1-processed-gene-0.8&CDS=1-3654
OG0000359	YHR203C, YJR145C	maker-LQHL01001737.1-snap-gene-0.14-mRNA-1_1&gene=maker-LQHL01001737.1-snap-gene-0.14&CDS=1-786
OG0000360	YIL004C	genemark-LQHL01001457.1-processed-gene-0.15-mRNA-1_1&gene=genemark-LQHL01001457.1-processed-gene-0.15&CDS=1-429, genemark-LQHL01001498.1-processed-gene-0.0-mRNA-1_1&gene=genemark-LQHL01001498.1-processed-gene-0.0&CDS=1-429
OG0000361	YIL010W	genemark-LQHL01000081.1-processed-gene-0.2-mRNA-1_1&gene=genemark-LQHL01000081.1-processed-gene-0.2&CDS=1-279, genemark-LQHL01001650.1-processed-gene-0.13-mRNA-1_1&gene=genemark-LQHL01001650.1-processed-gene-0.13&CDS=1-852
OG0000362	YIL085C, YNL029C	maker-LQHL01001603.1-augustus-gene-0.0-mRNA-1_1&gene=maker-LQHL01001603.1-augustus-gene-0.0&CDS=1-2646
OG0000363	YIL095W, YNL020C	genemark-LQHL01001681.1-processed-gene-0.13-mRNA-1_1&gene=genemark-LQHL01001681.1-processed-gene-0.13&CDS=1-2055
OG0000364	YIL105C, YNL047C	genemark-LQHL01001768.1-processed-gene-0.21-mRNA-1_1&gene=genemark-LQHL01001768.1-processed-gene-0.21&CDS=1-2394
OG0000365	YIL108W	genemark-LQHL01001060.1-processed-gene-0.0-mRNA-1_1&gene=genemark-LQHL01001060.1-processed-gene-0.0&CDS=1-1755, maker-LQHL01001719.1-snap-gene-0.28-mRNA-1_1&gene=maker-LQHL01001719.1-snap-gene-0.28&CDS=1-2124
OG0000366	YIL113W, YNL053W	genemark-LQHL01001832.1-processed-gene-0.69-mRNA-1_1&gene=genemark-LQHL01001832.1-processed-gene-0.69&CDS=1-1545
OG0000367	YIL117C, YNL058C	augustus_masked-LQHL01001706.1-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-LQHL01001706.1-processed-gene-0.4&CDS=1-873
OG0000368	YIL125W	augustus_masked-LQHL01001431.1-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-LQHL01001431.1-processed-gene-0.2&CDS=1-2823, genemark-LQHL01001769.1-processed-gene-0.42-mRNA-1_1&gene=genemark-LQHL01001769.1-processed-gene-0.42&CDS=1-2988
OG0000369	YIL131C, YNL068C	maker-LQHL01001861.1-snap-gene-0.31-mRNA-1_1&gene=maker-LQHL01001861.1-snap-gene-0.31&CDS=1-2295
OG0000370	YIL135C, YNL074C	genemark-LQHL01001536.1-processed-gene-0.10-mRNA-1_1&gene=genemark-LQHL01001536.1-processed-gene-0.10&CDS=1-1188
OG0000371	YIL149C	augustus_masked-LQHL01001108.1-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-LQHL01001108.1-processed-gene-0.1&CDS=1-2418, snap_masked-LQHL01001338.1-processed-gene-0.5-mRNA-1_1&gene=snap_masked-LQHL01001338.1-processed-gene-0.5&CDS=1-1950
OG0000372	YIL151C, YKR096W	genemark-LQHL01001391.1-processed-gene-0.3-mRNA-1_1&gene=genemark-LQHL01001391.1-processed-gene-0.3&CDS=1-3879
OG0000373	YIL156W, YKR098C	snap_masked-LQHL01001700.1-processed-gene-0.15-mRNA-1_1&gene=snap_masked-LQHL01001700.1-processed-gene-0.15&CDS=1-3012
OG0000374	YIL160C	genemark-LQHL01001756.1-processed-gene-0.26-mRNA-1_1&gene=genemark-LQHL01001756.1-processed-gene-0.26&CDS=1-1236, genemark-LQHL01001848.1-processed-gene-0.79-mRNA-1_1&gene=genemark-LQHL01001848.1-processed-gene-0.79&CDS=1-1233
OG0000375	YIR013C, YLR013W	snap_masked-LQHL01001859.1-processed-gene-0.75-mRNA-1_1&gene=snap_masked-LQHL01001859.1-processed-gene-0.75&CDS=1-1023
OG0000376	YIR031C, YNL117W	genemark-LQHL01001742.1-processed-gene-0.19-mRNA-1_1&gene=genemark-LQHL01001742.1-processed-gene-0.19&CDS=1-1653
OG0000377	YIR035C, YIR036C	maker-LQHL01001846.1-snap-gene-0.117-mRNA-1_1&gene=maker-LQHL01001846.1-snap-gene-0.117&CDS=1-1500
OG0000378	YJL076W, YKR010C	genemark-LQHL01001719.1-processed-gene-0.6-mRNA-1_1&gene=genemark-LQHL01001719.1-processed-gene-0.6&CDS=1-3915
OG0000379	YJL079C, YKR013W	genemark-LQHL01001872.1-processed-gene-0.144-mRNA-1_1&gene=genemark-LQHL01001872.1-processed-gene-0.144&CDS=1-882
OG0000380	YJL081C	augustus_masked-LQHL01000502.1-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-LQHL01000502.1-processed-gene-0.1&CDS=1-288, genemark-LQHL01001696.1-processed-gene-0.5-mRNA-1_1&gene=genemark-LQHL01001696.1-processed-gene-0.5&CDS=1-1467
OG0000381	YJL082W, YKR018C	genemark-LQHL01001872.1-processed-gene-0.170-mRNA-1_1&gene=genemark-LQHL01001872.1-processed-gene-0.170&CDS=1-2604
OG0000382	YJL083W, YKR019C	genemark-LQHL01001766.1-processed-gene-0.38-mRNA-1_1&gene=genemark-LQHL01001766.1-processed-gene-0.38&CDS=1-1935
OG0000383	YJL098W, YKR028W	genemark-LQHL01001820.1-processed-gene-0.11-mRNA-1_1&gene=genemark-LQHL01001820.1-processed-gene-0.11&CDS=1-3024
OG0000384	YJL105W, YKR029C	genemark-LQHL01001872.1-processed-gene-0.167-mRNA-1_1&gene=genemark-LQHL01001872.1-processed-gene-0.167&CDS=1-3276
OG0000385	YJL116C, YKR042W	genemark-LQHL01001663.1-processed-gene-0.14-mRNA-1_1&gene=genemark-LQHL01001663.1-processed-gene-0.14&CDS=1-1143
OG0000386	YJL133W, YKR052C	genemark-LQHL01001647.1-processed-gene-0.25-mRNA-1_1&gene=genemark-LQHL01001647.1-processed-gene-0.25&CDS=1-984
OG0000387	YJL134W, YKR053C	genemark-LQHL01001716.1-processed-gene-0.8-mRNA-1_1&gene=genemark-LQHL01001716.1-processed-gene-0.8&CDS=1-1464
OG0000388	YJL137C, YKR058W	genemark-LQHL01001717.1-processed-gene-0.2-mRNA-1_1&gene=genemark-LQHL01001717.1-processed-gene-0.2&CDS=1-1203
OG0000389	YJL138C, YKR059W	genemark-LQHL01001616.1-processed-gene-0.19-mRNA-1_1&gene=genemark-LQHL01001616.1-processed-gene-0.19&CDS=1-1191
OG0000390	YJL172W, YOL153C	genemark-LQHL01001870.1-processed-gene-0.45-mRNA-1_1&gene=genemark-LQHL01001870.1-processed-gene-0.45&CDS=1-1728
OG0000391	YJL177W, YKL180W	augustus_masked-LQHL01001581.1-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-LQHL01001581.1-processed-gene-0.9&CDS=1-567
OG0000392	YJL190C, YLR367W	genemark-LQHL01001713.1-processed-gene-0.31-mRNA-1_1&gene=genemark-LQHL01001713.1-processed-gene-0.31&CDS=1-390
OG0000393	YJR003C	augustus_masked-LQHL01001702.1-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-LQHL01001702.1-processed-gene-0.18&CDS=1-342, genemark-LQHL01001560.1-processed-gene-0.11-mRNA-1_1&gene=genemark-LQHL01001560.1-processed-gene-0.11&CDS=1-1467
OG0000394	YJR014W	augustus_masked-LQHL01000111.1-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-LQHL01000111.1-processed-gene-0.0&CDS=1-303, maker-LQHL01001545.1-augustus-gene-0.17-mRNA-1_1&gene=maker-LQHL01001545.1-augustus-gene-0.17&CDS=1-3783
OG0000395	YJR052W	augustus_masked-LQHL01000883.1-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-LQHL01000883.1-processed-gene-0.4&CDS=1-771, genemark-LQHL01001402.1-processed-gene-0.6-mRNA-1_1&gene=genemark-LQHL01001402.1-processed-gene-0.6&CDS=1-1929
OG0000396	YJR054W, YML047C	genemark-LQHL01001474.1-processed-gene-0.8-mRNA-1_1&gene=genemark-LQHL01001474.1-processed-gene-0.8&CDS=1-2064
OG0000397	YJR059W, YKL198C	genemark-LQHL01001854.1-processed-gene-0.11-mRNA-1_1&gene=genemark-LQHL01001854.1-processed-gene-0.11&CDS=1-3090
OG0000398	YJR069C	genemark-LQHL01000870.1-processed-gene-0.2-mRNA-1_1&gene=genemark-LQHL01000870.1-processed-gene-0.2&CDS=1-618, genemark-LQHL01001472.1-processed-gene-0.14-mRNA-1_1&gene=genemark-LQHL01001472.1-processed-gene-0.14&CDS=1-621
OG0000399	YJR070C	maker-LQHL01001742.1-snap-gene-0.2-mRNA-1_1&gene=maker-LQHL01001742.1-snap-gene-0.2&CDS=1-3378, maker-LQHL01001857.1-augustus-gene-0.49-mRNA-1_1&gene=maker-LQHL01001857.1-augustus-gene-0.49&CDS=1-2595
OG0000400	YJR091C, YPR042C	augustus_masked-LQHL01001744.1-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-LQHL01001744.1-processed-gene-0.11&CDS=1-3081
OG0000401	YJR094W-A, YPR043W	snap_masked-LQHL01001788.1-processed-gene-0.20-mRNA-1_1&gene=snap_masked-LQHL01001788.1-processed-gene-0.20&CDS=1-336
OG0000402	YJR101W	augustus_masked-LQHL01000056.1-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-LQHL01000056.1-processed-gene-0.1&CDS=1-312, snap_masked-LQHL01001788.1-processed-gene-0.8-mRNA-1_1&gene=snap_masked-LQHL01001788.1-processed-gene-0.8&CDS=1-1890
OG0000403	YJR110W	augustus_masked-LQHL01000428.1-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-LQHL01000428.1-processed-gene-0.1&CDS=1-576, augustus_masked-LQHL01001794.1-processed-gene-0.50-mRNA-1_1&gene=augustus_masked-LQHL01001794.1-processed-gene-0.50&CDS=1-7881
OG0000404	YJR127C, YML081W	snap_masked-LQHL01001516.1-processed-gene-0.1-mRNA-1_1&gene=snap_masked-LQHL01001516.1-processed-gene-0.1&CDS=1-3924
OG0000405	YJR130C, YML082W	snap_masked-LQHL01001740.1-processed-gene-0.40-mRNA-1_1&gene=snap_masked-LQHL01001740.1-processed-gene-0.40&CDS=1-1761
OG0000406	YJR141W	genemark-LQHL01000978.1-processed-gene-0.0-mRNA-1_1&gene=genemark-LQHL01000978.1-processed-gene-0.0&CDS=1-1092, genemark-LQHL01001509.1-processed-gene-0.19-mRNA-1_1&gene=genemark-LQHL01001509.1-processed-gene-0.19&CDS=1-1092
OG0000407	YJR148W	genemark-LQHL01001711.1-processed-gene-0.21-mRNA-1_1&gene=genemark-LQHL01001711.1-processed-gene-0.21&CDS=1-1110, genemark-LQHL01001860.1-processed-gene-0.29-mRNA-1_1&gene=genemark-LQHL01001860.1-processed-gene-0.29&CDS=1-1203
OG0000408	YKL003C	augustus_masked-LQHL01001869.1-processed-gene-0.108-mRNA-1_1&gene=augustus_masked-LQHL01001869.1-processed-gene-0.108&CDS=1-135, genemark-LQHL01001522.1-processed-gene-0.0-mRNA-1_1&gene=genemark-LQHL01001522.1-processed-gene-0.0&CDS=1-360
OG0000409	YKL065C, YMR040W	genemark-LQHL01001563.1-processed-gene-0.8-mRNA-1_1&gene=genemark-LQHL01001563.1-processed-gene-0.8&CDS=1-561
OG0000410	YKL068W, YMR047C	genemark-LQHL01001717.1-processed-gene-0.1-mRNA-1_1&gene=genemark-LQHL01001717.1-processed-gene-0.1&CDS=1-3162
OG0000411	YKL072W, YMR053C	augustus_masked-LQHL01001802.1-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-LQHL01001802.1-processed-gene-0.29&CDS=1-3105
OG0000412	YKL100C	augustus_masked-LQHL01001119.1-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-LQHL01001119.1-processed-gene-0.1&CDS=1-531, genemark-LQHL01001244.1-processed-gene-0.5-mRNA-1_1&gene=genemark-LQHL01001244.1-processed-gene-0.5&CDS=1-1791
OG0000413	YKL121W, YMR102C	genemark-LQHL01001872.1-processed-gene-0.138-mRNA-1_1&gene=genemark-LQHL01001872.1-processed-gene-0.138&CDS=1-2778
OG0000414	YKL138C	augustus_masked-LQHL01000459.1-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-LQHL01000459.1-processed-gene-0.2&CDS=1-192, genemark-LQHL01001807.1-processed-gene-0.34-mRNA-1_1&gene=genemark-LQHL01001807.1-processed-gene-0.34&CDS=1-351
OG0000415	YKL141W, YMR118C	genemark-LQHL01001807.1-processed-gene-0.45-mRNA-1_1&gene=genemark-LQHL01001807.1-processed-gene-0.45&CDS=1-531
OG0000416	YKL144C	augustus_masked-LQHL01000101.1-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-LQHL01000101.1-processed-gene-0.1&CDS=1-324, genemark-LQHL01001733.1-processed-gene-0.53-mRNA-1_1&gene=genemark-LQHL01001733.1-processed-gene-0.53&CDS=1-588
OG0000417	YKL148C	genemark-LQHL01001675.1-processed-gene-0.12-mRNA-1_1&gene=genemark-LQHL01001675.1-processed-gene-0.12&CDS=1-1923, genemark-LQHL01001733.1-processed-gene-0.42-mRNA-1_1&gene=genemark-LQHL01001733.1-processed-gene-0.42&CDS=1-1929
OG0000418	YKL190W	genemark-LQHL01001591.1-processed-gene-0.0-mRNA-1_1&gene=genemark-LQHL01001591.1-processed-gene-0.0&CDS=1-525, snap_masked-LQHL01000501.1-processed-gene-0.2-mRNA-1_1&gene=snap_masked-LQHL01000501.1-processed-gene-0.2&CDS=1-525
OG0000419	YKR002W	augustus_masked-LQHL01001225.1-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-LQHL01001225.1-processed-gene-0.1&CDS=1-1635, maker-LQHL01001421.1-snap-gene-0.11-mRNA-1_1&gene=maker-LQHL01001421.1-snap-gene-0.11&CDS=1-1530
OG0000420	YKR039W	genemark-LQHL01001835.1-processed-gene-0.80-mRNA-1_1&gene=genemark-LQHL01001835.1-processed-gene-0.80&CDS=1-1767, snap_masked-LQHL01001816.1-processed-gene-0.58-mRNA-1_1&gene=snap_masked-LQHL01001816.1-processed-gene-0.58&CDS=1-1746
OG0000421	YKR050W	augustus_masked-LQHL01001274.1-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-LQHL01001274.1-processed-gene-0.1&CDS=1-1854, genemark-LQHL01001536.1-processed-gene-0.14-mRNA-1_1&gene=genemark-LQHL01001536.1-processed-gene-0.14&CDS=1-3315
OG0000422	YKR076W, YMR251W	snap_masked-LQHL01001707.1-processed-gene-0.29-mRNA-1_1&gene=snap_masked-LQHL01001707.1-processed-gene-0.29&CDS=1-999
OG0000423	YKR089C, YOR081C	genemark-LQHL01001726.1-processed-gene-0.15-mRNA-1_1&gene=genemark-LQHL01001726.1-processed-gene-0.15&CDS=1-3276
