	Ashbya_aceri	Saccharomyces_cerevisiae
OG0000517	genemark-CP006020.1-processed-gene-5.70-mRNA-1_1&gene=genemark-CP006020.1-processed-gene-5.70&CDS=1-915	YPR114W
OG0000518	genemark-CP006020.1-processed-gene-5.72-mRNA-1_1&gene=genemark-CP006020.1-processed-gene-5.72&CDS=1-795	YPR116W
OG0000519	snap_masked-CP006020.1-processed-gene-5.38-mRNA-1_1&gene=snap_masked-CP006020.1-processed-gene-5.38&CDS=1-4857	YGR098C
OG0000520	augustus_masked-CP006020.1-processed-gene-5.127-mRNA-1_1&gene=augustus_masked-CP006020.1-processed-gene-5.127&CDS=1-1977	YGR099W
OG0000521	genemark-CP006020.1-processed-gene-5.74-mRNA-1_1&gene=genemark-CP006020.1-processed-gene-5.74&CDS=1-2796	YGR100W
OG0000522	genemark-CP006020.1-processed-gene-5.75-mRNA-1_1&gene=genemark-CP006020.1-processed-gene-5.75&CDS=1-1005	YGR101W
OG0000523	genemark-CP006020.1-processed-gene-5.93-mRNA-1_1&gene=genemark-CP006020.1-processed-gene-5.93&CDS=1-531	YGR102C
OG0000524	genemark-CP006020.1-processed-gene-5.76-mRNA-1_1&gene=genemark-CP006020.1-processed-gene-5.76&CDS=1-1785	YGR103W
OG0000525	genemark-CP006020.1-processed-gene-5.94-mRNA-1_1&gene=genemark-CP006020.1-processed-gene-5.94&CDS=1-774	YGR104C
OG0000526	genemark-CP006020.1-processed-gene-5.77-mRNA-1_1&gene=genemark-CP006020.1-processed-gene-5.77&CDS=1-231	YGR105W
OG0000527	augustus_masked-CP006020.1-processed-gene-5.150-mRNA-1_1&gene=augustus_masked-CP006020.1-processed-gene-5.150&CDS=1-798	YGR106C
OG0000528	genemark-CP006020.1-processed-gene-5.78-mRNA-1_1&gene=genemark-CP006020.1-processed-gene-5.78&CDS=1-1209	YPR118W
OG0000529	genemark-CP006020.1-processed-gene-5.79-mRNA-1_1&gene=genemark-CP006020.1-processed-gene-5.79&CDS=1-1662	YPR119W
OG0000530	genemark-CP006020.1-processed-gene-5.97-mRNA-1_1&gene=genemark-CP006020.1-processed-gene-5.97&CDS=1-1719	YPR137W
OG0000531	genemark-CP006020.1-processed-gene-5.98-mRNA-1_1&gene=genemark-CP006020.1-processed-gene-5.98&CDS=1-2634	YPR135W
OG0000532	snap_masked-CP006020.1-processed-gene-5.26-mRNA-1_1&gene=snap_masked-CP006020.1-processed-gene-5.26&CDS=1-765	YGR120C
OG0000533	genemark-CP006020.1-processed-gene-5.82-mRNA-1_1&gene=genemark-CP006020.1-processed-gene-5.82&CDS=1-2076	YGR119C
OG0000534	genemark-CP006020.1-processed-gene-5.83-mRNA-1_1&gene=genemark-CP006020.1-processed-gene-5.83&CDS=1-1110	YPR133C
OG0000535	genemark-CP006020.1-processed-gene-5.102-mRNA-1_1&gene=genemark-CP006020.1-processed-gene-5.102&CDS=1-636	YOR021C
OG0000536	maker-CP006020.1-augustus-gene-5.166-mRNA-1_1&gene=maker-CP006020.1-augustus-gene-5.166&CDS=1-3345	YOR022C
OG0000537	genemark-CP006020.1-processed-gene-5.104-mRNA-1_1&gene=genemark-CP006020.1-processed-gene-5.104&CDS=1-1275	YOR155C
OG0000538	genemark-CP006020.1-processed-gene-5.84-mRNA-1_1&gene=genemark-CP006020.1-processed-gene-5.84&CDS=1-1623	YOR161C
OG0000539	genemark-CP006020.1-processed-gene-5.105-mRNA-1_1&gene=genemark-CP006020.1-processed-gene-5.105&CDS=1-2892	YOR160W
OG0000540	augustus_masked-CP006020.1-processed-gene-5.139-mRNA-1_1&gene=augustus_masked-CP006020.1-processed-gene-5.139&CDS=1-288	YOR159C
OG0000541	augustus_masked-CP006020.1-processed-gene-5.159-mRNA-1_1&gene=augustus_masked-CP006020.1-processed-gene-5.159&CDS=1-888	YOR158W
OG0000542	augustus_masked-CP006020.1-processed-gene-5.160-mRNA-1_1&gene=augustus_masked-CP006020.1-processed-gene-5.160&CDS=1-3594	YDR407C
OG0000543	genemark-CP006020.1-processed-gene-5.85-mRNA-1_1&gene=genemark-CP006020.1-processed-gene-5.85&CDS=1-777	YOR157C
OG0000544	genemark-CP006020.1-processed-gene-5.108-mRNA-1_1&gene=genemark-CP006020.1-processed-gene-5.108&CDS=1-645	YDR408C
OG0000545	snap_masked-CP006020.1-processed-gene-5.32-mRNA-1_1&gene=snap_masked-CP006020.1-processed-gene-5.32&CDS=1-1515	YOR156C
OG0000546	snap_masked-CP006020.1-processed-gene-5.56-mRNA-1_1&gene=snap_masked-CP006020.1-processed-gene-5.56&CDS=1-1434	YDR410C
OG0000547	augustus_masked-CP006020.1-processed-gene-5.163-mRNA-1_1&gene=augustus_masked-CP006020.1-processed-gene-5.163&CDS=1-1950	YML042W
OG0000548	genemark-CP006020.1-processed-gene-5.87-mRNA-1_1&gene=genemark-CP006020.1-processed-gene-5.87&CDS=1-633	YDR412W
OG0000549	augustus_masked-CP006020.1-processed-gene-5.165-mRNA-1_1&gene=augustus_masked-CP006020.1-processed-gene-5.165&CDS=1-1143	YDR414C
OG0000550	genemark-CP006020.1-processed-gene-5.88-mRNA-1_1&gene=genemark-CP006020.1-processed-gene-5.88&CDS=1-1155	YEL050C
OG0000551	augustus_masked-CP006020.1-processed-gene-6.109-mRNA-1_1&gene=augustus_masked-CP006020.1-processed-gene-6.109&CDS=1-1890	YEL051W
OG0000552	genemark-CP006020.1-processed-gene-6.55-mRNA-1_1&gene=genemark-CP006020.1-processed-gene-6.55&CDS=1-2412	YDR416W
OG0000553	genemark-CP006020.1-processed-gene-6.60-mRNA-1_1&gene=genemark-CP006020.1-processed-gene-6.60&CDS=1-1446	YEL052W
OG0000554	genemark-CP006020.1-processed-gene-6.56-mRNA-1_1&gene=genemark-CP006020.1-processed-gene-6.56&CDS=1-2289	YEL053C
OG0000555	genemark-CP006020.1-processed-gene-6.62-mRNA-1_1&gene=genemark-CP006020.1-processed-gene-6.62&CDS=1-1872	YDR419W
OG0000556	snap_masked-CP006020.1-processed-gene-6.12-mRNA-1_1&gene=snap_masked-CP006020.1-processed-gene-6.12&CDS=1-2691	YOR058C
OG0000557	genemark-CP006020.1-processed-gene-6.84-mRNA-1_1&gene=genemark-CP006020.1-processed-gene-6.84&CDS=1-1104	YOR057W
OG0000558	genemark-CP006020.1-processed-gene-6.64-mRNA-1_1&gene=genemark-CP006020.1-processed-gene-6.64&CDS=1-1299	YOR056C
OG0000559	genemark-CP006020.1-processed-gene-6.65-mRNA-1_1&gene=genemark-CP006020.1-processed-gene-6.65&CDS=1-2850	YOR054C
OG0000560	genemark-CP006020.1-processed-gene-6.85-mRNA-1_1&gene=genemark-CP006020.1-processed-gene-6.85&CDS=1-636	YLR298C
OG0000561	genemark-CP006020.1-processed-gene-6.66-mRNA-1_1&gene=genemark-CP006020.1-processed-gene-6.66&CDS=1-3201	YOR187W
OG0000562	augustus_masked-CP006020.1-processed-gene-6.115-mRNA-1_1&gene=augustus_masked-CP006020.1-processed-gene-6.115&CDS=1-3249	YOR188W
OG0000563	augustus_masked-CP006020.1-processed-gene-6.117-mRNA-1_1&gene=augustus_masked-CP006020.1-processed-gene-6.117&CDS=1-4731	YOR191W
OG0000564	genemark-CP006020.1-processed-gene-6.70-mRNA-1_1&gene=genemark-CP006020.1-processed-gene-6.70&CDS=1-405	YGL054C
OG0000565	augustus_masked-CP006020.1-processed-gene-6.133-mRNA-1_1&gene=augustus_masked-CP006020.1-processed-gene-6.133&CDS=1-744	YBR211C
OG0000566	genemark-CP006020.1-processed-gene-6.71-mRNA-1_1&gene=genemark-CP006020.1-processed-gene-6.71&CDS=1-1452	YBR212W
OG0000567	augustus_masked-CP006020.1-processed-gene-6.120-mRNA-1_1&gene=augustus_masked-CP006020.1-processed-gene-6.120&CDS=1-786	YBR213W
OG0000568	genemark-CP006020.1-processed-gene-6.88-mRNA-1_1&gene=genemark-CP006020.1-processed-gene-6.88&CDS=1-1434	YGL055W
OG0000569	genemark-CP006020.1-processed-gene-6.89-mRNA-1_1&gene=genemark-CP006020.1-processed-gene-6.89&CDS=1-522	YGL058W
OG0000570	genemark-CP006020.1-processed-gene-6.90-mRNA-1_1&gene=genemark-CP006020.1-processed-gene-6.90&CDS=1-1416	YGL059W
OG0000571	augustus_masked-CP006020.1-processed-gene-6.122-mRNA-1_1&gene=augustus_masked-CP006020.1-processed-gene-6.122&CDS=1-1716	YBR215W
OG0000572	genemark-CP006020.1-processed-gene-6.76-mRNA-1_1&gene=genemark-CP006020.1-processed-gene-6.76&CDS=1-567	YBR217W
OG0000573	genemark-CP006020.1-processed-gene-6.77-mRNA-1_1&gene=genemark-CP006020.1-processed-gene-6.77&CDS=1-582	YGL061C
OG0000574	genemark-CP006020.1-processed-gene-6.92-mRNA-1_1&gene=genemark-CP006020.1-processed-gene-6.92&CDS=1-3519	YGL062W
OG0000575	genemark-CP006020.1-processed-gene-6.93-mRNA-1_1&gene=genemark-CP006020.1-processed-gene-6.93&CDS=1-381	YGL127C
OG0000576	snap_masked-CP006020.1-processed-gene-6.28-mRNA-1_1&gene=snap_masked-CP006020.1-processed-gene-6.28&CDS=1-1086	YGL126W
OG0000577	augustus_masked-CP006020.1-processed-gene-6.140-mRNA-1_1&gene=augustus_masked-CP006020.1-processed-gene-6.140&CDS=1-1686	YBR220C
OG0000578	genemark-CP006020.1-processed-gene-6.95-mRNA-1_1&gene=genemark-CP006020.1-processed-gene-6.95&CDS=1-1077	YBR221C
OG0000579	genemark-CP006020.1-processed-gene-6.96-mRNA-1_1&gene=genemark-CP006020.1-processed-gene-6.96&CDS=1-1593	YBR222C
OG0000580	augustus_masked-CP006020.1-processed-gene-6.143-mRNA-1_1&gene=augustus_masked-CP006020.1-processed-gene-6.143&CDS=1-1620	YBR223C
OG0000581	genemark-CP006020.1-processed-gene-6.79-mRNA-1_1&gene=genemark-CP006020.1-processed-gene-6.79&CDS=1-1809	YGL125W
OG0000582	augustus_masked-CP006020.1-processed-gene-6.127-mRNA-1_1&gene=augustus_masked-CP006020.1-processed-gene-6.127&CDS=1-2109	YBR225W
OG0000583	genemark-CP006020.1-processed-gene-6.98-mRNA-1_1&gene=genemark-CP006020.1-processed-gene-6.98&CDS=1-2739	YBR229C
OG0000584	augustus_masked-CP006020.1-processed-gene-6.145-mRNA-1_1&gene=augustus_masked-CP006020.1-processed-gene-6.145&CDS=1-2151	YGL124C
OG0000585	genemark-CP006020.1-processed-gene-6.82-mRNA-1_1&gene=genemark-CP006020.1-processed-gene-6.82&CDS=1-762	YGL123W
OG0000586	genemark-CP006020.1-processed-gene-6.101-mRNA-1_1&gene=genemark-CP006020.1-processed-gene-6.101&CDS=1-1461	YGL122C
OG0000587	augustus_masked-CP006020.1-processed-gene-6.130-mRNA-1_1&gene=augustus_masked-CP006020.1-processed-gene-6.130&CDS=1-1347	YGL119W
OG0000588	genemark-CP006020.1-processed-gene-7.77-mRNA-1_1&gene=genemark-CP006020.1-processed-gene-7.77&CDS=1-2514	YDR017C
OG0000589	genemark-CP006020.1-processed-gene-7.78-mRNA-1_1&gene=genemark-CP006020.1-processed-gene-7.78&CDS=1-336	YDR016C
OG0000590	genemark-CP006020.1-processed-gene-7.79-mRNA-1_1&gene=genemark-CP006020.1-processed-gene-7.79&CDS=1-666	YBR035C
OG0000591	snap_masked-CP006020.1-processed-gene-7.12-mRNA-1_1&gene=snap_masked-CP006020.1-processed-gene-7.12&CDS=1-1686	YDR014W
OG0000592	genemark-CP006020.1-processed-gene-7.80-mRNA-1_1&gene=genemark-CP006020.1-processed-gene-7.80&CDS=1-609	YDR013W
OG0000593	genemark-CP006020.1-processed-gene-7.81-mRNA-1_1&gene=genemark-CP006020.1-processed-gene-7.81&CDS=1-1038	YBR034C
OG0000594	genemark-CP006020.1-processed-gene-7.85-mRNA-1_1&gene=genemark-CP006020.1-processed-gene-7.85&CDS=1-1347	YHR001W
OG0000595	snap_masked-CP006020.1-processed-gene-7.46-mRNA-1_1&gene=snap_masked-CP006020.1-processed-gene-7.46&CDS=1-1089	YKR004C
OG0000596	snap_masked-CP006020.1-processed-gene-7.48-mRNA-1_1&gene=snap_masked-CP006020.1-processed-gene-7.48&CDS=1-741	YKR006C
OG0000597	snap_masked-CP006020.1-processed-gene-7.15-mRNA-1_1&gene=snap_masked-CP006020.1-processed-gene-7.15&CDS=1-417	YKR007W
OG0000598	genemark-CP006020.1-processed-gene-7.87-mRNA-1_1&gene=genemark-CP006020.1-processed-gene-7.87&CDS=1-1653	YKR008W
OG0000599	genemark-CP006020.1-processed-gene-7.119-mRNA-1_1&gene=genemark-CP006020.1-processed-gene-7.119&CDS=1-1884	YPR007C
OG0000600	snap_masked-CP006020.1-processed-gene-7.17-mRNA-1_1&gene=snap_masked-CP006020.1-processed-gene-7.17&CDS=1-555	YFR008W
OG0000601	genemark-CP006020.1-processed-gene-7.90-mRNA-1_1&gene=genemark-CP006020.1-processed-gene-7.90&CDS=1-1620	YGL166W
OG0000602	genemark-CP006020.1-processed-gene-7.120-mRNA-1_1&gene=genemark-CP006020.1-processed-gene-7.120&CDS=1-1317	YGL164C
OG0000603	genemark-CP006020.1-processed-gene-7.121-mRNA-1_1&gene=genemark-CP006020.1-processed-gene-7.121&CDS=1-2697	YGL163C
OG0000604	genemark-CP006020.1-processed-gene-7.92-mRNA-1_1&gene=genemark-CP006020.1-processed-gene-7.92&CDS=1-1206	YGL169W
OG0000605	genemark-CP006020.1-processed-gene-7.123-mRNA-1_1&gene=genemark-CP006020.1-processed-gene-7.123&CDS=1-2853	YGL167C
OG0000606	augustus_masked-CP006020.1-processed-gene-7.166-mRNA-1_1&gene=augustus_masked-CP006020.1-processed-gene-7.166&CDS=1-1242	YKL128C
OG0000607	genemark-CP006020.1-processed-gene-7.95-mRNA-1_1&gene=genemark-CP006020.1-processed-gene-7.95&CDS=1-2004	YMR108W
OG0000608	genemark-CP006020.1-processed-gene-7.96-mRNA-1_1&gene=genemark-CP006020.1-processed-gene-7.96&CDS=1-3888	YMR109W
OG0000609	genemark-CP006020.1-processed-gene-7.97-mRNA-1_1&gene=genemark-CP006020.1-processed-gene-7.97&CDS=1-837	YKL130C
OG0000610	maker-CP006020.1-augustus-gene-7.218-mRNA-1_1&gene=maker-CP006020.1-augustus-gene-7.218&CDS=1-1545	YMR111C
OG0000611	genemark-CP006020.1-processed-gene-7.98-mRNA-1_1&gene=genemark-CP006020.1-processed-gene-7.98&CDS=1-1221	YMR113W
OG0000612	genemark-CP006020.1-processed-gene-7.127-mRNA-1_1&gene=genemark-CP006020.1-processed-gene-7.127&CDS=1-591	YMR114C
OG0000613	genemark-CP006020.1-processed-gene-7.101-mRNA-1_1&gene=genemark-CP006020.1-processed-gene-7.101&CDS=1-984	YMR244W
OG0000614	genemark-CP006020.1-processed-gene-7.102-mRNA-1_1&gene=genemark-CP006020.1-processed-gene-7.102&CDS=1-330	YMR244C-A
OG0000615	genemark-CP006020.1-processed-gene-7.128-mRNA-1_1&gene=genemark-CP006020.1-processed-gene-7.128&CDS=1-2145	YJL112W
OG0000616	maker-CP006020.1-augustus-gene-7.219-mRNA-1_1&gene=maker-CP006020.1-augustus-gene-7.219&CDS=1-2058	YKR038C
OG0000617	snap_masked-CP006020.1-processed-gene-7.32-mRNA-1_1&gene=snap_masked-CP006020.1-processed-gene-7.32&CDS=1-474	YPR098C
OG0000618	genemark-CP006020.1-processed-gene-7.131-mRNA-1_1&gene=genemark-CP006020.1-processed-gene-7.131&CDS=1-543	YGR082W
OG0000619	genemark-CP006020.1-processed-gene-7.104-mRNA-1_1&gene=genemark-CP006020.1-processed-gene-7.104&CDS=1-564	YGR081C
OG0000620	snap_masked-CP006020.1-processed-gene-7.60-mRNA-1_1&gene=snap_masked-CP006020.1-processed-gene-7.60&CDS=1-2955	YPR097W
OG0000621	genemark-CP006020.1-processed-gene-7.105-mRNA-1_1&gene=genemark-CP006020.1-processed-gene-7.105&CDS=1-426	YPR100W
OG0000622	genemark-CP006020.1-processed-gene-7.133-mRNA-1_1&gene=genemark-CP006020.1-processed-gene-7.133&CDS=1-1812	YGR083C
OG0000623	snap_masked-CP006020.1-processed-gene-7.62-mRNA-1_1&gene=snap_masked-CP006020.1-processed-gene-7.62&CDS=1-912	YGR084C
OG0000624	genemark-CP006020.1-processed-gene-7.106-mRNA-1_1&gene=genemark-CP006020.1-processed-gene-7.106&CDS=1-591	YPR101W
OG0000625	genemark-CP006020.1-processed-gene-7.107-mRNA-1_1&gene=genemark-CP006020.1-processed-gene-7.107&CDS=1-855	YPR103W
OG0000626	genemark-CP006020.1-processed-gene-7.136-mRNA-1_1&gene=genemark-CP006020.1-processed-gene-7.136&CDS=1-3423	YPR104C
OG0000627	genemark-CP006020.1-processed-gene-7.137-mRNA-1_1&gene=genemark-CP006020.1-processed-gene-7.137&CDS=1-2487	YPR105C
OG0000628	genemark-CP006020.1-processed-gene-7.108-mRNA-1_1&gene=genemark-CP006020.1-processed-gene-7.108&CDS=1-1026	YPR106W
OG0000629	augustus_masked-CP006020.1-processed-gene-7.208-mRNA-1_1&gene=augustus_masked-CP006020.1-processed-gene-7.208&CDS=1-1203	YPR107C
OG0000630	augustus_masked-CP006020.1-processed-gene-7.209-mRNA-1_1&gene=augustus_masked-CP006020.1-processed-gene-7.209&CDS=1-1890	YOR014W
OG0000631	genemark-CP006020.1-processed-gene-7.142-mRNA-1_1&gene=genemark-CP006020.1-processed-gene-7.142&CDS=1-807	YAL009W
OG0000632	genemark-CP006020.1-processed-gene-7.109-mRNA-1_1&gene=genemark-CP006020.1-processed-gene-7.109&CDS=1-1398	YAL010C
OG0000633	genemark-CP006020.1-processed-gene-7.143-mRNA-1_1&gene=genemark-CP006020.1-processed-gene-7.143&CDS=1-2067	YAL011W
OG0000634	genemark-CP006020.1-processed-gene-7.110-mRNA-1_1&gene=genemark-CP006020.1-processed-gene-7.110&CDS=1-4644	YOL034W
OG0000635	genemark-CP006020.1-processed-gene-7.111-mRNA-1_1&gene=genemark-CP006020.1-processed-gene-7.111&CDS=1-699	YOL032W
OG0000636	genemark-CP006020.1-processed-gene-7.144-mRNA-1_1&gene=genemark-CP006020.1-processed-gene-7.144&CDS=1-1149	YOL031C
OG0000637	genemark-CP006020.1-processed-gene-7.145-mRNA-1_1&gene=genemark-CP006020.1-processed-gene-7.145&CDS=1-1185	YAL012W
OG0000638	genemark-CP006020.1-processed-gene-7.146-mRNA-1_1&gene=genemark-CP006020.1-processed-gene-7.146&CDS=1-312	YOL039W
OG0000639	genemark-CP006020.1-processed-gene-7.112-mRNA-1_1&gene=genemark-CP006020.1-processed-gene-7.112&CDS=1-426	YOL040C
OG0000640	genemark-CP006020.1-processed-gene-7.147-mRNA-1_1&gene=genemark-CP006020.1-processed-gene-7.147&CDS=1-1626	YAL013W
OG0000641	genemark-CP006021.1-processed-gene-0.22-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-0.22&CDS=1-861	YJR096W
OG0000642	augustus_masked-CP006021.1-processed-gene-0.83-mRNA-1_1&gene=augustus_masked-CP006021.1-processed-gene-0.83&CDS=1-4569	YNL242W
OG0000643	augustus_masked-CP006021.1-processed-gene-0.84-mRNA-1_1&gene=augustus_masked-CP006021.1-processed-gene-0.84&CDS=1-3033	YDL240W
OG0000644	genemark-CP006021.1-processed-gene-0.23-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-0.23&CDS=1-1533	YNL241C
OG0000645	genemark-CP006021.1-processed-gene-0.24-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-0.24&CDS=1-1353	YNL240C
OG0000646	genemark-CP006021.1-processed-gene-0.1-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-0.1&CDS=1-1341	YNL239W
OG0000647	genemark-CP006021.1-processed-gene-0.2-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-0.2&CDS=1-2304	YNL238W
OG0000648	genemark-CP006021.1-processed-gene-0.3-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-0.3&CDS=1-2814	YNL236W
OG0000649	genemark-CP006021.1-processed-gene-0.4-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-0.4&CDS=1-1308	YNL234W
OG0000650	snap_masked-CP006021.1-processed-gene-0.44-mRNA-1_1&gene=snap_masked-CP006021.1-processed-gene-0.44&CDS=1-2376	YNL233W
OG0000651	genemark-CP006021.1-processed-gene-0.6-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-0.6&CDS=1-864	YNL232W
OG0000652	augustus_masked-CP006021.1-processed-gene-0.108-mRNA-1_1&gene=augustus_masked-CP006021.1-processed-gene-0.108&CDS=1-1821	YNL231C
OG0000653	augustus_masked-CP006021.1-processed-gene-0.109-mRNA-1_1&gene=augustus_masked-CP006021.1-processed-gene-0.109&CDS=1-2685	YNL229C
OG0000654	snap_masked-CP006021.1-processed-gene-0.71-mRNA-1_1&gene=snap_masked-CP006021.1-processed-gene-0.71&CDS=1-2586	YNL225C
OG0000655	genemark-CP006021.1-processed-gene-0.29-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-0.29&CDS=1-1869	YNL224C
OG0000656	maker-CP006021.1-augustus-gene-0.81-mRNA-1_1&gene=maker-CP006021.1-augustus-gene-0.81&CDS=1-1989	YNL222W
OG0000657	maker-CP006021.1-snap-gene-0.120-mRNA-1_1&gene=maker-CP006021.1-snap-gene-0.120&CDS=1-1989	YDL237W
OG0000658	genemark-CP006021.1-processed-gene-0.30-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-0.30&CDS=1-2505	YNL221C
OG0000659	genemark-CP006021.1-processed-gene-0.11-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-0.11&CDS=1-1299	YNL220W
OG0000660	genemark-CP006021.1-processed-gene-0.31-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-0.31&CDS=1-1656	YNL219C
OG0000661	genemark-CP006021.1-processed-gene-0.12-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-0.12&CDS=1-927	YDL236W
OG0000662	genemark-CP006021.1-processed-gene-0.13-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-0.13&CDS=1-1641	YNL218W
OG0000663	genemark-CP006021.1-processed-gene-0.32-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-0.32&CDS=1-414	YDL235C
OG0000664	snap_masked-CP006021.1-processed-gene-0.53-mRNA-1_1&gene=snap_masked-CP006021.1-processed-gene-0.53&CDS=1-774	YNL217W
OG0000665	snap_masked-CP006021.1-processed-gene-0.54-mRNA-1_1&gene=snap_masked-CP006021.1-processed-gene-0.54&CDS=1-2052	YNL216W
OG0000666	genemark-CP006021.1-processed-gene-0.33-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-0.33&CDS=1-2223	YDL234C
OG0000667	augustus_masked-CP006021.1-processed-gene-0.98-mRNA-1_1&gene=augustus_masked-CP006021.1-processed-gene-0.98&CDS=1-795	YNL215W
OG0000668	snap_masked-CP006021.1-processed-gene-0.56-mRNA-1_1&gene=snap_masked-CP006021.1-processed-gene-0.56&CDS=1-1521	YDL233W
OG0000669	snap_masked-CP006021.1-processed-gene-0.57-mRNA-1_1&gene=snap_masked-CP006021.1-processed-gene-0.57&CDS=1-621	YNL214W
OG0000670	genemark-CP006021.1-processed-gene-0.34-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-0.34&CDS=1-642	YNL213C
OG0000671	snap_masked-CP006021.1-processed-gene-0.79-mRNA-1_1&gene=snap_masked-CP006021.1-processed-gene-0.79&CDS=1-906	YNL210W
OG0000672	genemark-CP006021.1-processed-gene-0.37-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-0.37&CDS=1-966	YDL230W
OG0000673	snap_masked-CP006021.1-processed-gene-1.0-mRNA-1_1&gene=snap_masked-CP006021.1-processed-gene-1.0&CDS=1-3159	YDL231C
OG0000674	genemark-CP006021.1-processed-gene-1.52-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-1.52&CDS=1-2394	YNL212W
OG0000675	genemark-CP006021.1-processed-gene-1.51-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-1.51&CDS=1-1242	YNL207W
OG0000676	genemark-CP006021.1-processed-gene-1.53-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-1.53&CDS=1-1269	YNL206C
OG0000677	genemark-CP006021.1-processed-gene-1.54-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-1.54&CDS=1-1086	YDL226C
OG0000678	genemark-CP006021.1-processed-gene-1.55-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-1.55&CDS=1-879	YNL202W
OG0000679	genemark-CP006021.1-processed-gene-1.75-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-1.75&CDS=1-2505	YNL201C
OG0000680	genemark-CP006021.1-processed-gene-1.76-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-1.76&CDS=1-717	YNL200C
OG0000681	snap_masked-CP006021.1-processed-gene-1.28-mRNA-1_1&gene=snap_masked-CP006021.1-processed-gene-1.28&CDS=1-1266	YNL199C
OG0000682	genemark-CP006021.1-processed-gene-1.56-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-1.56&CDS=1-1737	YDL225W
OG0000683	genemark-CP006021.1-processed-gene-1.78-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-1.78&CDS=1-2229	YNL197C
OG0000684	snap_masked-CP006021.1-processed-gene-1.31-mRNA-1_1&gene=snap_masked-CP006021.1-processed-gene-1.31&CDS=1-2601	YDL220C
OG0000685	snap_masked-CP006021.1-processed-gene-1.8-mRNA-1_1&gene=snap_masked-CP006021.1-processed-gene-1.8&CDS=1-1497	YNL193W
OG0000686	genemark-CP006021.1-processed-gene-1.59-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-1.59&CDS=1-1071	YNL191W
OG0000687	genemark-CP006021.1-processed-gene-1.60-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-1.60&CDS=1-1629	YNL189W
OG0000688	genemark-CP006021.1-processed-gene-1.82-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-1.82&CDS=1-603	YDL217C
OG0000689	genemark-CP006021.1-processed-gene-1.62-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-1.62&CDS=1-1224	YNL187W
OG0000690	augustus_masked-CP006021.1-processed-gene-1.131-mRNA-1_1&gene=augustus_masked-CP006021.1-processed-gene-1.131&CDS=1-1260	YDL216C
OG0000691	genemark-CP006021.1-processed-gene-1.63-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-1.63&CDS=1-2247	YNL186W
OG0000692	genemark-CP006021.1-processed-gene-1.84-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-1.84&CDS=1-447	YNL185C
OG0000693	genemark-CP006021.1-processed-gene-1.85-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-1.85&CDS=1-2208	YNL183C
OG0000694	genemark-CP006021.1-processed-gene-1.86-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-1.86&CDS=1-621	YDL213C
OG0000695	genemark-CP006021.1-processed-gene-1.87-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-1.87&CDS=1-1437	YNL182C
OG0000696	genemark-CP006021.1-processed-gene-1.64-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-1.64&CDS=1-1176	YNL181W
OG0000697	snap_masked-CP006021.1-processed-gene-1.15-mRNA-1_1&gene=snap_masked-CP006021.1-processed-gene-1.15&CDS=1-708	YNL178W
OG0000698	genemark-CP006021.1-processed-gene-1.66-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-1.66&CDS=1-603	YDL212W
OG0000699	genemark-CP006021.1-processed-gene-1.89-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-1.89&CDS=1-909	YNL177C
