	Hanseniaspora_uvarum	Saccharomyces_cerevisiae
OG0000637	snap_masked-APLS01000001.1-processed-gene-7.47-mRNA-1_1&gene=snap_masked-APLS01000001.1-processed-gene-7.47&CDS=1-2940	YOR048C
OG0000638	snap_masked-APLS01000001.1-processed-gene-7.48-mRNA-1_1&gene=snap_masked-APLS01000001.1-processed-gene-7.48&CDS=1-1326	YOR051C
OG0000639	augustus_masked-APLS01000001.1-processed-gene-7.139-mRNA-1_1&gene=augustus_masked-APLS01000001.1-processed-gene-7.139&CDS=1-1782	YKR069W
OG0000640	snap_masked-APLS01000001.1-processed-gene-7.49-mRNA-1_1&gene=snap_masked-APLS01000001.1-processed-gene-7.49&CDS=1-339	YOR052C
OG0000641	snap_masked-APLS01000001.1-processed-gene-8.228-mRNA-1_1&gene=snap_masked-APLS01000001.1-processed-gene-8.228&CDS=1-789	YKR071C
OG0000642	snap_masked-APLS01000001.1-processed-gene-8.230-mRNA-1_1&gene=snap_masked-APLS01000001.1-processed-gene-8.230&CDS=1-1548	YOR056C
OG0000643	augustus_masked-APLS01000001.1-processed-gene-8.128-mRNA-1_1&gene=augustus_masked-APLS01000001.1-processed-gene-8.128&CDS=1-657	YOR057W
OG0000644	augustus_masked-APLS01000001.1-processed-gene-8.133-mRNA-1_1&gene=augustus_masked-APLS01000001.1-processed-gene-8.133&CDS=1-2835	YOR058C
OG0000645	snap_masked-APLS01000001.1-processed-gene-8.227-mRNA-1_1&gene=snap_masked-APLS01000001.1-processed-gene-8.227&CDS=1-399	YKR074W
OG0000646	augustus_masked-APLS01000001.1-processed-gene-8.134-mRNA-1_1&gene=augustus_masked-APLS01000001.1-processed-gene-8.134&CDS=1-1476	YOR059C
OG0000647	snap_masked-APLS01000001.1-processed-gene-8.234-mRNA-1_1&gene=snap_masked-APLS01000001.1-processed-gene-8.234&CDS=1-1041	YOR061W
OG0000648	snap_masked-APLS01000001.1-processed-gene-8.235-mRNA-1_1&gene=snap_masked-APLS01000001.1-processed-gene-8.235&CDS=1-1161	YOR063W
OG0000649	snap_masked-APLS01000001.1-processed-gene-8.236-mRNA-1_1&gene=snap_masked-APLS01000001.1-processed-gene-8.236&CDS=1-858	YOR065W
OG0000650	snap_masked-APLS01000001.1-processed-gene-8.237-mRNA-1_1&gene=snap_masked-APLS01000001.1-processed-gene-8.237&CDS=1-1464	YOR070C
OG0000651	snap_masked-APLS01000001.1-processed-gene-8.238-mRNA-1_1&gene=snap_masked-APLS01000001.1-processed-gene-8.238&CDS=1-2424	YKR079C
OG0000652	augustus_masked-APLS01000001.1-processed-gene-8.184-mRNA-1_1&gene=augustus_masked-APLS01000001.1-processed-gene-8.184&CDS=1-1950	YOR069W
OG0000653	snap_masked-APLS01000001.1-processed-gene-8.239-mRNA-1_1&gene=snap_masked-APLS01000001.1-processed-gene-8.239&CDS=1-897	YOR074C
OG0000654	snap_masked-APLS01000001.1-processed-gene-8.240-mRNA-1_1&gene=snap_masked-APLS01000001.1-processed-gene-8.240&CDS=1-1098	YKR081C
OG0000655	snap_masked-APLS01000001.1-processed-gene-8.294-mRNA-1_1&gene=snap_masked-APLS01000001.1-processed-gene-8.294&CDS=1-993	YKR080W
OG0000656	augustus_masked-APLS01000001.1-processed-gene-8.142-mRNA-1_1&gene=augustus_masked-APLS01000001.1-processed-gene-8.142&CDS=1-1917	YOR066W
OG0000657	augustus_masked-APLS01000001.1-processed-gene-8.187-mRNA-1_1&gene=augustus_masked-APLS01000001.1-processed-gene-8.187&CDS=1-1554	YOR067C
OG0000658	maker-APLS01000001.1-augustus-gene-8.119-mRNA-1_1&gene=maker-APLS01000001.1-augustus-gene-8.119&CDS=1-2160	YGR002C
OG0000659	augustus_masked-APLS01000001.1-processed-gene-8.188-mRNA-1_1&gene=augustus_masked-APLS01000001.1-processed-gene-8.188&CDS=1-2622	YLR318W
OG0000660	maker-APLS01000001.1-snap-gene-8.107-mRNA-1_1&gene=maker-APLS01000001.1-snap-gene-8.107&CDS=1-618	YAL003W
OG0000661	snap_masked-APLS01000001.1-processed-gene-8.247-mRNA-1_1&gene=snap_masked-APLS01000001.1-processed-gene-8.247&CDS=1-1011	YBR149W
OG0000662	snap_masked-APLS01000001.1-processed-gene-8.248-mRNA-1_1&gene=snap_masked-APLS01000001.1-processed-gene-8.248&CDS=1-2199	YGL022W
OG0000663	snap_masked-APLS01000001.1-processed-gene-8.299-mRNA-1_1&gene=snap_masked-APLS01000001.1-processed-gene-8.299&CDS=1-696	YGL020C
OG0000664	snap_masked-APLS01000001.1-processed-gene-8.301-mRNA-1_1&gene=snap_masked-APLS01000001.1-processed-gene-8.301&CDS=1-1791	YGL023C
OG0000665	snap_masked-APLS01000001.1-processed-gene-8.251-mRNA-1_1&gene=snap_masked-APLS01000001.1-processed-gene-8.251&CDS=1-1581	YGL017W
OG0000666	snap_masked-APLS01000001.1-processed-gene-8.252-mRNA-1_1&gene=snap_masked-APLS01000001.1-processed-gene-8.252&CDS=1-2937	YGL016W
OG0000667	augustus_masked-APLS01000001.1-processed-gene-8.193-mRNA-1_1&gene=augustus_masked-APLS01000001.1-processed-gene-8.193&CDS=1-2328	YFR038W
OG0000668	augustus_masked-APLS01000001.1-processed-gene-8.151-mRNA-1_1&gene=augustus_masked-APLS01000001.1-processed-gene-8.151&CDS=1-1458	YFR037C
OG0000669	maker-APLS01000001.1-augustus-gene-8.123-mRNA-1_1&gene=maker-APLS01000001.1-augustus-gene-8.123&CDS=1-1182	YPR011C
OG0000670	augustus_masked-APLS01000001.1-processed-gene-8.156-mRNA-1_1&gene=augustus_masked-APLS01000001.1-processed-gene-8.156&CDS=1-411	YGR020C
OG0000671	snap_masked-APLS01000001.1-processed-gene-8.307-mRNA-1_1&gene=snap_masked-APLS01000001.1-processed-gene-8.307&CDS=1-1395	YLR330W
OG0000672	genemark-APLS01000001.1-processed-gene-8.31-mRNA-1_1&gene=genemark-APLS01000001.1-processed-gene-8.31&CDS=1-549	YHR105W
OG0000673	genemark-APLS01000001.1-processed-gene-8.32-mRNA-1_1&gene=genemark-APLS01000001.1-processed-gene-8.32&CDS=1-1026	YDR353W
OG0000674	snap_masked-APLS01000001.1-processed-gene-8.308-mRNA-1_1&gene=snap_masked-APLS01000001.1-processed-gene-8.308&CDS=1-1227	YHR107C
OG0000675	snap_masked-APLS01000001.1-processed-gene-8.261-mRNA-1_1&gene=snap_masked-APLS01000001.1-processed-gene-8.261&CDS=1-1230	YDR354W
OG0000676	augustus_masked-APLS01000001.1-processed-gene-8.159-mRNA-1_1&gene=augustus_masked-APLS01000001.1-processed-gene-8.159&CDS=1-2616	YDR356W
OG0000677	snap_masked-APLS01000001.1-processed-gene-8.309-mRNA-1_1&gene=snap_masked-APLS01000001.1-processed-gene-8.309&CDS=1-1479	YHR113W
OG0000678	snap_masked-APLS01000001.1-processed-gene-8.263-mRNA-1_1&gene=snap_masked-APLS01000001.1-processed-gene-8.263&CDS=1-1920	YDR362C
OG0000679	snap_masked-APLS01000001.1-processed-gene-8.310-mRNA-1_1&gene=snap_masked-APLS01000001.1-processed-gene-8.310&CDS=1-1788	YHR111W
OG0000680	snap_masked-APLS01000001.1-processed-gene-8.264-mRNA-1_1&gene=snap_masked-APLS01000001.1-processed-gene-8.264&CDS=1-885	YDR361C
OG0000681	augustus_masked-APLS01000001.1-processed-gene-8.162-mRNA-1_1&gene=augustus_masked-APLS01000001.1-processed-gene-8.162&CDS=1-2586	YDR359C
OG0000682	augustus_masked-APLS01000001.1-processed-gene-8.163-mRNA-1_1&gene=augustus_masked-APLS01000001.1-processed-gene-8.163&CDS=1-4425	YOR116C
OG0000683	maker-APLS01000001.1-snap-gene-8.110-mRNA-1_1&gene=maker-APLS01000001.1-snap-gene-8.110&CDS=1-1545	YOR117W
OG0000684	augustus_masked-APLS01000001.1-processed-gene-8.203-mRNA-1_1&gene=augustus_masked-APLS01000001.1-processed-gene-8.203&CDS=1-1911	YDR365C
OG0000685	augustus_masked-APLS01000001.1-processed-gene-8.204-mRNA-1_1&gene=augustus_masked-APLS01000001.1-processed-gene-8.204&CDS=1-1395	YOR119C
OG0000686	augustus_masked-APLS01000001.1-processed-gene-8.165-mRNA-1_1&gene=augustus_masked-APLS01000001.1-processed-gene-8.165&CDS=1-699	YDR367W
OG0000687	snap_masked-APLS01000001.1-processed-gene-8.316-mRNA-1_1&gene=snap_masked-APLS01000001.1-processed-gene-8.316&CDS=1-378	YOR122C
OG0000688	snap_masked-APLS01000001.1-processed-gene-8.317-mRNA-1_1&gene=snap_masked-APLS01000001.1-processed-gene-8.317&CDS=1-1203	YOR123C
OG0000689	snap_masked-APLS01000001.1-processed-gene-8.270-mRNA-1_1&gene=snap_masked-APLS01000001.1-processed-gene-8.270&CDS=1-1272	YDR371W
OG0000690	augustus_masked-APLS01000001.1-processed-gene-8.207-mRNA-1_1&gene=augustus_masked-APLS01000001.1-processed-gene-8.207&CDS=1-3507	YDR372C
OG0000691	snap_masked-APLS01000001.1-processed-gene-8.271-mRNA-1_1&gene=snap_masked-APLS01000001.1-processed-gene-8.271&CDS=1-588	YDR373W
OG0000692	maker-APLS01000001.1-augustus-gene-8.125-mRNA-1_1&gene=maker-APLS01000001.1-augustus-gene-8.125&CDS=1-1602	YOR125C
OG0000693	snap_masked-APLS01000001.1-processed-gene-8.321-mRNA-1_1&gene=snap_masked-APLS01000001.1-processed-gene-8.321&CDS=1-1344	YDR375C
OG0000694	snap_masked-APLS01000001.1-processed-gene-8.322-mRNA-1_1&gene=snap_masked-APLS01000001.1-processed-gene-8.322&CDS=1-783	YOR126C
OG0000695	maker-APLS01000001.1-snap-gene-8.111-mRNA-1_1&gene=maker-APLS01000001.1-snap-gene-8.111&CDS=1-1614	YDR376W
OG0000696	snap_masked-APLS01000001.1-processed-gene-8.323-mRNA-1_1&gene=snap_masked-APLS01000001.1-processed-gene-8.323&CDS=1-297	YDR378C
OG0000697	snap_masked-APLS01000001.1-processed-gene-8.274-mRNA-1_1&gene=snap_masked-APLS01000001.1-processed-gene-8.274&CDS=1-846	YOR130C
OG0000698	maker-APLS01000001.1-snap-gene-8.117-mRNA-1_1&gene=maker-APLS01000001.1-snap-gene-8.117&CDS=1-774	YDR381W
OG0000699	augustus_masked-APLS01000001.1-processed-gene-8.171-mRNA-1_1&gene=augustus_masked-APLS01000001.1-processed-gene-8.171&CDS=1-1662	YOR128C
OG0000700	snap_masked-APLS01000001.1-processed-gene-8.277-mRNA-1_1&gene=snap_masked-APLS01000001.1-processed-gene-8.277&CDS=1-243	YDR379C-A
OG0000701	snap_masked-APLS01000001.1-processed-gene-8.278-mRNA-1_1&gene=snap_masked-APLS01000001.1-processed-gene-8.278&CDS=1-1986	YOR132W
OG0000702	augustus_masked-APLS01000001.1-processed-gene-8.217-mRNA-1_1&gene=augustus_masked-APLS01000001.1-processed-gene-8.217&CDS=1-2154	YDR386W
OG0000703	snap_masked-APLS01000001.1-processed-gene-8.329-mRNA-1_1&gene=snap_masked-APLS01000001.1-processed-gene-8.329&CDS=1-714	YKR085C
OG0000704	maker-APLS01000001.1-augustus-gene-8.122-mRNA-1_1&gene=maker-APLS01000001.1-augustus-gene-8.122&CDS=1-1509	YKL028W
OG0000705	snap_masked-APLS01000001.1-processed-gene-8.284-mRNA-1_1&gene=snap_masked-APLS01000001.1-processed-gene-8.284&CDS=1-1365	YKL027W
OG0000706	maker-APLS01000001.1-augustus-gene-8.127-mRNA-1_1&gene=maker-APLS01000001.1-augustus-gene-8.127&CDS=1-5538	YHR002W
OG0000707	snap_masked-APLS01000001.1-processed-gene-8.333-mRNA-1_1&gene=snap_masked-APLS01000001.1-processed-gene-8.333&CDS=1-1308	YMR062C
OG0000708	snap_masked-APLS01000001.1-processed-gene-8.334-mRNA-1_1&gene=snap_masked-APLS01000001.1-processed-gene-8.334&CDS=1-2271	YKL078W
OG0000709	snap_masked-APLS01000001.1-processed-gene-8.285-mRNA-1_1&gene=snap_masked-APLS01000001.1-processed-gene-8.285&CDS=1-1062	YGR028W
OG0000710	snap_masked-APLS01000001.1-processed-gene-8.335-mRNA-1_1&gene=snap_masked-APLS01000001.1-processed-gene-8.335&CDS=1-1170	YKL080W
OG0000711	snap_masked-APLS01000002.1-processed-gene-0.130-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-0.130&CDS=1-687	YDR432W
OG0000712	augustus_masked-APLS01000002.1-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-APLS01000002.1-processed-gene-0.53&CDS=1-1956	YDR444W
OG0000713	augustus_masked-APLS01000002.1-processed-gene-0.80-mRNA-1_1&gene=augustus_masked-APLS01000002.1-processed-gene-0.80&CDS=1-1704	YDL174C
OG0000714	maker-APLS01000002.1-augustus-gene-0.96-mRNA-1_1&gene=maker-APLS01000002.1-augustus-gene-0.96&CDS=1-864	YDR446W
OG0000715	snap_masked-APLS01000002.1-processed-gene-0.102-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-0.102&CDS=1-1425	YDR448W
OG0000716	augustus_masked-APLS01000002.1-processed-gene-0.82-mRNA-1_1&gene=augustus_masked-APLS01000002.1-processed-gene-0.82&CDS=1-1392	YDR449C
OG0000717	augustus_masked-APLS01000002.1-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-APLS01000002.1-processed-gene-0.57&CDS=1-1797	YML020W
OG0000718	augustus_masked-APLS01000002.1-processed-gene-0.58-mRNA-1_1&gene=augustus_masked-APLS01000002.1-processed-gene-0.58&CDS=1-1275	YML019W
OG0000719	augustus_masked-APLS01000002.1-processed-gene-0.87-mRNA-1_1&gene=augustus_masked-APLS01000002.1-processed-gene-0.87&CDS=1-1851	YER036C
OG0000720	snap_masked-APLS01000002.1-processed-gene-0.113-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-0.113&CDS=1-2589	YGL216W
OG0000721	snap_masked-APLS01000002.1-processed-gene-0.114-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-0.114&CDS=1-2940	YFR040W
OG0000722	snap_masked-APLS01000002.1-processed-gene-0.137-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-0.137&CDS=1-759	YFR041C
OG0000723	snap_masked-APLS01000002.1-processed-gene-0.115-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-0.115&CDS=1-1656	YGL219C
OG0000724	snap_masked-APLS01000002.1-processed-gene-0.138-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-0.138&CDS=1-258	YGL220W
OG0000725	snap_masked-APLS01000002.1-processed-gene-0.116-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-0.116&CDS=1-879	YGL221C
OG0000726	augustus_masked-APLS01000002.1-processed-gene-0.67-mRNA-1_1&gene=augustus_masked-APLS01000002.1-processed-gene-0.67&CDS=1-1185	YGL232W
OG0000727	snap_masked-APLS01000002.1-processed-gene-0.118-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-0.118&CDS=1-1443	YFR044C
OG0000728	genemark-APLS01000002.1-processed-gene-0.18-mRNA-1_1&gene=genemark-APLS01000002.1-processed-gene-0.18&CDS=1-2874	YGL233W
OG0000729	augustus_masked-APLS01000002.1-processed-gene-0.71-mRNA-1_1&gene=augustus_masked-APLS01000002.1-processed-gene-0.71&CDS=1-1107	YGL212W
OG0000730	augustus_masked-APLS01000002.1-processed-gene-0.72-mRNA-1_1&gene=augustus_masked-APLS01000002.1-processed-gene-0.72&CDS=1-1137	YGL211W
OG0000731	snap_masked-APLS01000002.1-processed-gene-0.123-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-0.123&CDS=1-1281	YGL213C
OG0000732	snap_masked-APLS01000002.1-processed-gene-0.140-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-0.140&CDS=1-987	YGL215W
OG0000733	snap_masked-APLS01000002.1-processed-gene-0.125-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-0.125&CDS=1-642	YOR021C
OG0000734	maker-APLS01000002.1-snap-gene-0.51-mRNA-1_1&gene=maker-APLS01000002.1-snap-gene-0.51&CDS=1-1158	YDR473C
OG0000735	snap_masked-APLS01000002.1-processed-gene-0.127-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-0.127&CDS=1-681	YDR262W
OG0000736	snap_masked-APLS01000002.1-processed-gene-0.129-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-0.129&CDS=1-2439	YDR258C
OG0000737	snap_masked-APLS01000002.1-processed-gene-1.52-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-1.52&CDS=1-351	YHR087W
OG0000738	snap_masked-APLS01000002.1-processed-gene-1.53-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-1.53&CDS=1-3672	YDR334W
OG0000739	snap_masked-APLS01000002.1-processed-gene-1.54-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-1.54&CDS=1-1815	YDR477W
OG0000740	maker-APLS01000002.1-snap-gene-1.105-mRNA-1_1&gene=maker-APLS01000002.1-snap-gene-1.105&CDS=1-1302	YDR257C
OG0000741	snap_masked-APLS01000002.1-processed-gene-1.56-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-1.56&CDS=1-1704	YOR027W
OG0000742	snap_masked-APLS01000002.1-processed-gene-1.57-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-1.57&CDS=1-1224	YLR321C
OG0000743	genemark-APLS01000002.1-processed-gene-1.132-mRNA-1_1&gene=genemark-APLS01000002.1-processed-gene-1.132&CDS=1-963	YLR316C
OG0000744	genemark-APLS01000002.1-processed-gene-1.134-mRNA-1_1&gene=genemark-APLS01000002.1-processed-gene-1.134&CDS=1-1716	YJR098C
OG0000745	snap_masked-APLS01000002.1-processed-gene-1.58-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-1.58&CDS=1-2322	YHR082C
OG0000746	snap_masked-APLS01000002.1-processed-gene-1.81-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-1.81&CDS=1-915	YDR331W
OG0000747	augustus_masked-APLS01000002.1-processed-gene-1.29-mRNA-1_1&gene=augustus_masked-APLS01000002.1-processed-gene-1.29&CDS=1-1371	YDR330W
OG0000748	augustus_masked-APLS01000002.1-processed-gene-1.8-mRNA-1_1&gene=augustus_masked-APLS01000002.1-processed-gene-1.8&CDS=1-1677	YHR084W
OG0000749	augustus_masked-APLS01000002.1-processed-gene-1.30-mRNA-1_1&gene=augustus_masked-APLS01000002.1-processed-gene-1.30&CDS=1-1956	YDR333C
OG0000750	snap_masked-APLS01000002.1-processed-gene-1.60-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-1.60&CDS=1-1134	YHR085W
OG0000751	snap_masked-APLS01000002.1-processed-gene-1.85-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-1.85&CDS=1-1338	YDR479C
OG0000752	snap_masked-APLS01000002.1-processed-gene-1.65-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-1.65&CDS=1-615	YDR328C
OG0000753	genemark-APLS01000002.1-processed-gene-1.120-mRNA-1_1&gene=genemark-APLS01000002.1-processed-gene-1.120&CDS=1-4335	YFR048W
OG0000754	snap_masked-APLS01000002.1-processed-gene-1.86-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-1.86&CDS=1-2133	YGL245W
OG0000755	snap_masked-APLS01000002.1-processed-gene-1.67-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-1.67&CDS=1-1365	YGL246C
OG0000756	augustus_masked-APLS01000002.1-processed-gene-1.17-mRNA-1_1&gene=augustus_masked-APLS01000002.1-processed-gene-1.17&CDS=1-462	YFR049W
OG0000757	snap_masked-APLS01000002.1-processed-gene-1.88-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-1.88&CDS=1-1113	YGL248W
OG0000758	snap_masked-APLS01000002.1-processed-gene-1.89-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-1.89&CDS=1-828	YFR050C
OG0000759	snap_masked-APLS01000002.1-processed-gene-1.90-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-1.90&CDS=1-1560	YFR051C
OG0000760	snap_masked-APLS01000002.1-processed-gene-1.91-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-1.91&CDS=1-900	YGL250W
OG0000761	augustus_masked-APLS01000002.1-processed-gene-1.18-mRNA-1_1&gene=augustus_masked-APLS01000002.1-processed-gene-1.18&CDS=1-2487	YGL252C
OG0000762	augustus_masked-APLS01000002.1-processed-gene-1.39-mRNA-1_1&gene=augustus_masked-APLS01000002.1-processed-gene-1.39&CDS=1-2025	YGL236C
OG0000763	snap_masked-APLS01000002.1-processed-gene-1.73-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-1.73&CDS=1-519	YGL242C
OG0000764	snap_masked-APLS01000002.1-processed-gene-1.93-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-1.93&CDS=1-2916	YGL241W
OG0000765	snap_masked-APLS01000002.1-processed-gene-1.74-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-1.74&CDS=1-351	YGL237C
OG0000766	snap_masked-APLS01000002.1-processed-gene-1.94-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-1.94&CDS=1-2895	YGL238W
OG0000767	snap_masked-APLS01000002.1-processed-gene-1.95-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-1.95&CDS=1-1374	YGL240W
OG0000768	snap_masked-APLS01000002.1-processed-gene-1.75-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-1.75&CDS=1-4929	YGL206C
OG0000769	snap_masked-APLS01000002.1-processed-gene-1.96-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-1.96&CDS=1-3102	YGL207W
OG0000770	snap_masked-APLS01000002.1-processed-gene-1.98-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-1.98&CDS=1-1887	YOR022C
OG0000771	snap_masked-APLS01000002.1-processed-gene-1.77-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-1.77&CDS=1-2112	YGR198W
OG0000772	snap_masked-APLS01000002.1-processed-gene-1.99-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-1.99&CDS=1-912	YHR090C
OG0000773	snap_masked-APLS01000002.1-processed-gene-1.100-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-1.100&CDS=1-573	YDR339C
OG0000774	snap_masked-APLS01000002.1-processed-gene-1.101-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-1.101&CDS=1-618	YDR468C
OG0000775	snap_masked-APLS01000002.1-processed-gene-1.102-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-1.102&CDS=1-1572	YDR470C
OG0000776	maker-APLS01000002.1-snap-gene-2.104-mRNA-1_1&gene=maker-APLS01000002.1-snap-gene-2.104&CDS=1-1413	YHR011W
OG0000777	genemark-APLS01000002.1-processed-gene-2.112-mRNA-1_1&gene=genemark-APLS01000002.1-processed-gene-2.112&CDS=1-972	YHR012W
OG0000778	augustus_masked-APLS01000002.1-processed-gene-2.11-mRNA-1_1&gene=augustus_masked-APLS01000002.1-processed-gene-2.11&CDS=1-714	YHR013C
OG0000779	augustus_masked-APLS01000002.1-processed-gene-2.6-mRNA-1_1&gene=augustus_masked-APLS01000002.1-processed-gene-2.6&CDS=1-867	YDR472W
OG0000780	snap_masked-APLS01000002.1-processed-gene-2.57-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-2.57&CDS=1-1515	YOR023C
OG0000781	snap_masked-APLS01000002.1-processed-gene-2.58-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-2.58&CDS=1-1932	YDR314C
OG0000782	augustus_masked-APLS01000002.1-processed-gene-2.10-mRNA-1_1&gene=augustus_masked-APLS01000002.1-processed-gene-2.10&CDS=1-729	YDR313C
OG0000783	snap_masked-APLS01000002.1-processed-gene-2.61-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-2.61&CDS=1-1482	YHR065C
OG0000784	snap_masked-APLS01000002.1-processed-gene-2.62-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-2.62&CDS=1-2451	YGR200C
OG0000785	snap_masked-APLS01000002.1-processed-gene-2.84-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-2.84&CDS=1-813	YHR067W
OG0000786	augustus_masked-APLS01000002.1-processed-gene-2.15-mRNA-1_1&gene=augustus_masked-APLS01000002.1-processed-gene-2.15&CDS=1-1329	YJL036W
OG0000787	snap_masked-APLS01000002.1-processed-gene-2.65-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-2.65&CDS=1-1200	YHR068W
OG0000788	snap_masked-APLS01000002.1-processed-gene-2.85-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-2.85&CDS=1-726	YJL035C
OG0000789	augustus_masked-APLS01000002.1-processed-gene-2.37-mRNA-1_1&gene=augustus_masked-APLS01000002.1-processed-gene-2.37&CDS=1-1446	YDR316W
OG0000790	snap_masked-APLS01000002.1-processed-gene-2.87-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-2.87&CDS=1-1149	YHR069C
OG0000791	snap_masked-APLS01000002.1-processed-gene-2.66-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-2.66&CDS=1-1575	YHR070W
OG0000792	augustus_masked-APLS01000002.1-processed-gene-2.21-mRNA-1_1&gene=augustus_masked-APLS01000002.1-processed-gene-2.21&CDS=1-2217	YLR002C
OG0000793	maker-APLS01000002.1-augustus-gene-2.2-mRNA-1_1&gene=maker-APLS01000002.1-augustus-gene-2.2&CDS=1-3621	YJR001W
OG0000794	snap_masked-APLS01000002.1-processed-gene-2.71-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-2.71&CDS=1-2919	YLR001C
OG0000795	augustus_masked-APLS01000002.1-processed-gene-2.23-mRNA-1_1&gene=augustus_masked-APLS01000002.1-processed-gene-2.23&CDS=1-714	YBR257W
OG0000796	augustus_masked-APLS01000002.1-processed-gene-2.40-mRNA-1_1&gene=augustus_masked-APLS01000002.1-processed-gene-2.40&CDS=1-1266	YLL002W
OG0000797	snap_masked-APLS01000002.1-processed-gene-2.74-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-2.74&CDS=1-651	YJL001W
OG0000798	snap_masked-APLS01000002.1-processed-gene-2.91-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-2.91&CDS=1-2496	YLL001W
OG0000799	snap_masked-APLS01000002.1-processed-gene-2.94-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-2.94&CDS=1-1377	YJL002C
OG0000800	snap_masked-APLS01000002.1-processed-gene-2.95-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-2.95&CDS=1-1791	YJR016C
OG0000801	snap_masked-APLS01000002.1-processed-gene-2.75-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-2.75&CDS=1-369	YJL003W
OG0000802	augustus_masked-APLS01000002.1-processed-gene-2.46-mRNA-1_1&gene=augustus_masked-APLS01000002.1-processed-gene-2.46&CDS=1-2841	YLR014C
OG0000803	snap_masked-APLS01000002.1-processed-gene-2.77-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-2.77&CDS=1-978	YHR088W
OG0000804	snap_masked-APLS01000002.1-processed-gene-2.78-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-2.78&CDS=1-3978	YDR335W
OG0000805	snap_masked-APLS01000002.1-processed-gene-2.98-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-2.98&CDS=1-717	YHR089C
