	Hyphopichia_burtonii	Saccharomyces_cerevisiae
OG0000381	genemark-scaffold_4-processed-gene-6.50-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-6.50&CDS=1-1407	YCL048W, YDR522C
OG0000382	maker-scaffold_4-snap-gene-7.140-mRNA-1_1&gene=maker-scaffold_4-snap-gene-7.140&CDS=1-798	YDR098C, YER174C
OG0000383	genemark-scaffold_4-processed-gene-7.17-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-7.17&CDS=1-1905	YDR107C, YLR083C
OG0000384	genemark-scaffold_4-processed-gene-7.37-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-7.37&CDS=1-2601	YBR033W, YKL038W
OG0000385	genemark-scaffold_4-processed-gene-7.18-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-7.18&CDS=1-1398	YDR132C, YLR108C
OG0000386	genemark-scaffold_4-processed-gene-9.82-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-9.82&CDS=1-2955	YKR089C, YOR081C
OG0000387	genemark-scaffold_4-processed-gene-9.86-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-9.86&CDS=1-3684	YIR033W, YKL020C
OG0000388	genemark-scaffold_4-processed-gene-9.94-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-9.94&CDS=1-2118	YGR241C, YHR161C
OG0000389	snap_masked-scaffold_4-processed-gene-10.19-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-10.19&CDS=1-762	YFR031C-A, YIL018W
OG0000390	augustus_masked-scaffold_4-processed-gene-10.99-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-10.99&CDS=1-789	YHL034C, YLL046C
OG0000391	genemark-scaffold_4-processed-gene-10.73-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-10.73&CDS=1-1458	YML116W, YMR279C
OG0000392	genemark-scaffold_4-processed-gene-12.154-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-12.154&CDS=1-2424	YER037W, YGL224C
OG0000393	genemark-scaffold_4-processed-gene-12.155-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-12.155&CDS=1-849	YMR222C, YOR280C
OG0000394	genemark-scaffold_4-processed-gene-12.188-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-12.188&CDS=1-333	YJR094W-A, YPR043W
OG0000395	genemark-scaffold_4-processed-gene-12.190-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-12.190&CDS=1-3723	YJR091C, YPR042C
OG0000396	genemark-scaffold_5-processed-gene-0.40-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-0.40&CDS=1-969	YBL068W, YER099C
OG0000397	augustus_masked-scaffold_5-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-0.10&CDS=1-267	YBR089C-A, YPR052C
OG0000398	genemark-scaffold_5-processed-gene-0.51-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-0.51&CDS=1-516	YMR242C, YOR312C
OG0000399	maker-scaffold_5-augustus-gene-1.137-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-1.137&CDS=1-5436	YEL022W, YJR031C
OG0000400	genemark-scaffold_5-processed-gene-1.5-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-1.5&CDS=1-4311	YLL016W, YLR310C
OG0000401	augustus_masked-scaffold_5-processed-gene-1.63-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-1.63&CDS=1-3936	YBR241C, YGL104C
OG0000402	maker-scaffold_5-augustus-gene-1.140-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-1.140&CDS=1-1263	YBR242W, YGL101W
OG0000403	genemark-scaffold_5-processed-gene-2.75-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-2.75&CDS=1-600	YIL133C, YNL069C
OG0000404	genemark-scaffold_5-processed-gene-2.94-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-2.94&CDS=1-3225	YGR238C, YHR158C
OG0000405	genemark-scaffold_5-processed-gene-2.96-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-2.96&CDS=1-1050	YER045C, YIL036W
OG0000406	genemark-scaffold_5-processed-gene-2.109-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-2.109&CDS=1-1092	YDL246C, YJR159W
OG0000407	genemark-scaffold_5-processed-gene-3.37-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-3.37&CDS=1-852	YJL158C, YJL160C
OG0000408	genemark-scaffold_5-processed-gene-3.21-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-3.21&CDS=1-1623, genemark-scaffold_6-processed-gene-0.75-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-0.75&CDS=1-1848	YHL039W
OG0000409	genemark-scaffold_5-processed-gene-3.22-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-3.22&CDS=1-705	YPR013C, YPR015C
OG0000410	genemark-scaffold_5-processed-gene-3.27-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-3.27&CDS=1-795	YGR214W, YLR048W
OG0000411	genemark-scaffold_5-processed-gene-4.109-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-4.109&CDS=1-924	YGR136W, YPR154W
OG0000412	genemark-scaffold_5-processed-gene-4.138-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-4.138&CDS=1-360	YDL136W, YDL191W
OG0000413	genemark-scaffold_5-processed-gene-4.139-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-4.139&CDS=1-543	YDL137W, YDL192W
OG0000414	genemark-scaffold_5-processed-gene-4.119-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-4.119&CDS=1-510	YGR131W, YPR149W
OG0000415	maker-scaffold_5-augustus-gene-4.2-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-4.2&CDS=1-2067	YBR118W, YPR080W
OG0000416	genemark-scaffold_5-processed-gene-4.152-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-4.152&CDS=1-1230	YGL082W, YPL191C
OG0000417	augustus_masked-scaffold_9-processed-gene-2.48-mRNA-1_1&gene=augustus_masked-scaffold_9-processed-gene-2.48&CDS=1-3843, genemark-scaffold_5-processed-gene-5.3-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-5.3&CDS=1-2136	YPR003C
OG0000418	genemark-scaffold_5-processed-gene-5.28-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-5.28&CDS=1-411	YDR447C, YML024W
OG0000419	genemark-scaffold_5-processed-gene-5.16-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-5.16&CDS=1-978	YDL127W, YDL179W
OG0000420	genemark-scaffold_5-processed-gene-5.39-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-5.39&CDS=1-1869	YKL126W, YMR104C
OG0000421	genemark-scaffold_5-processed-gene-6.36-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-6.36&CDS=1-393	YBL003C, YDR225W
OG0000422	augustus_masked-scaffold_5-processed-gene-6.65-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-6.65&CDS=1-903	YGR027C, YLR333C
OG0000423	genemark-scaffold_5-processed-gene-7.0-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-7.0&CDS=1-2034, genemark-scaffold_6-processed-gene-5.45-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-5.45&CDS=1-2028	YPR074C
OG0000424	augustus_masked-scaffold_5-processed-gene-7.65-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-7.65&CDS=1-699	YHR146W, YNL173C
OG0000425	maker-scaffold_5-augustus-gene-9.185-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-9.185&CDS=1-1482	YNL108C, YOR110W
OG0000426	augustus_masked-scaffold_5-processed-gene-9.142-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-9.142&CDS=1-270	YGR008C, YLR327C
OG0000427	genemark-scaffold_5-processed-gene-9.89-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-9.89&CDS=1-1590	YDR436W, YML016C
OG0000428	genemark-scaffold_5-processed-gene-9.92-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-9.92&CDS=1-2658, genemark-scaffold_7-processed-gene-1.67-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-1.67&CDS=1-2241	YEL061C
OG0000429	genemark-scaffold_6-processed-gene-0.95-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-0.95&CDS=1-747	YDR259C, YOR028C
OG0000430	augustus_masked-scaffold_6-processed-gene-1.4-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-1.4&CDS=1-2199	YMR177W, YPL224C
OG0000431	genemark-scaffold_6-processed-gene-1.63-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-1.63&CDS=1-1263	YGL166W, YPR008W
OG0000432	genemark-scaffold_6-processed-gene-2.0-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-2.0&CDS=1-2118	YDL224C, YNL197C
OG0000433	genemark-scaffold_6-processed-gene-2.1-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-2.1&CDS=1-891	YDL222C, YNL194C
OG0000434	genemark-scaffold_6-processed-gene-2.8-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-2.8&CDS=1-2613, genemark-scaffold_6-processed-gene-8.12-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-8.12&CDS=1-2661	YLR241W
OG0000435	snap_masked-scaffold_6-processed-gene-3.40-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-3.40&CDS=1-1035	YBR147W, YOL092W
OG0000436	genemark-scaffold_6-processed-gene-3.129-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-3.129&CDS=1-1176	YDL175C, YIL079C
OG0000437	genemark-scaffold_6-processed-gene-3.112-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-3.112&CDS=1-1575, genemark-scaffold_7-processed-gene-1.75-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-1.75&CDS=1-1605	YOR374W
OG0000438	genemark-scaffold_6-processed-gene-4.48-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-4.48&CDS=1-1890	YBR238C, YGL107C
OG0000439	genemark-scaffold_6-processed-gene-4.66-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-4.66&CDS=1-6795	YAL017W, YOL045W
OG0000440	genemark-scaffold_6-processed-gene-4.53-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-4.53&CDS=1-1059	YAL015C, YOL043C
OG0000441	genemark-scaffold_6-processed-gene-5.46-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-5.46&CDS=1-1539	YBR214W, YGL056C
OG0000442	genemark-scaffold_6-processed-gene-5.79-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-5.79&CDS=1-729	YDR151C, YLR136C
OG0000443	genemark-scaffold_6-processed-gene-6.122-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-6.122&CDS=1-1557	YDR501W, YLR183C
OG0000444	genemark-scaffold_6-processed-gene-6.99-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-6.99&CDS=1-261	YDR500C, YLR185W
OG0000445	augustus_masked-scaffold_6-processed-gene-6.66-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-6.66&CDS=1-951, genemark-scaffold_7-processed-gene-4.123-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-4.123&CDS=1-1227	YGR263C
OG0000446	genemark-scaffold_6-processed-gene-7.56-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-7.56&CDS=1-3459	YGL049C, YGR162W
OG0000447	genemark-scaffold_6-processed-gene-7.83-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-7.83&CDS=1-864, genemark-scaffold_7-processed-gene-5.22-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-5.22&CDS=1-594	YNL103W
OG0000448	genemark-scaffold_6-processed-gene-7.64-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-7.64&CDS=1-3567	YBR218C, YGL062W
OG0000449	maker-scaffold_6-snap-gene-8.220-mRNA-1_1&gene=maker-scaffold_6-snap-gene-8.220&CDS=1-642	YBL027W, YBR084C-A
OG0000450	genemark-scaffold_6-processed-gene-8.17-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-8.17&CDS=1-5268	YML109W, YMR273C
OG0000451	genemark-scaffold_6-processed-gene-8.19-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-8.19&CDS=1-660	YML106W, YMR271C
OG0000452	augustus_masked-scaffold_6-processed-gene-8.128-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-8.128&CDS=1-2535	YER066W, YFL009W
OG0000453	genemark-scaffold_6-processed-gene-8.62-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-8.62&CDS=1-405	YER074W, YIL069C
OG0000454	augustus_masked-scaffold_7-processed-gene-0.65-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-0.65&CDS=1-1293	YDR247W, YPL026C
OG0000455	genemark-scaffold_7-processed-gene-0.28-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-0.28&CDS=1-1518	YBR020W, YDR009W
OG0000456	genemark-scaffold_7-processed-gene-0.38-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-0.38&CDS=1-381	YGR034W, YLR344W
OG0000457	genemark-scaffold_7-processed-gene-2.117-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-2.117&CDS=1-3465	YLR031W, YMR124W
OG0000458	genemark-scaffold_7-processed-gene-3.37-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-3.37&CDS=1-795	YJL177W, YKL180W
OG0000459	genemark-scaffold_7-processed-gene-3.74-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-3.74&CDS=1-4143	YDL079C, YMR139W
OG0000460	genemark-scaffold_7-processed-gene-4.111-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-4.111&CDS=1-1236	YDR253C, YPL038W
OG0000461	genemark-scaffold_7-processed-gene-5.13-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-5.13&CDS=1-603	YLR287C-A, YOR182C
OG0000462	genemark-scaffold_7-processed-gene-5.37-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-5.37&CDS=1-435	YDR450W, YML026C
OG0000463	genemark-scaffold_7-processed-gene-5.45-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-5.45&CDS=1-363	YER056C-A, YIL052C
OG0000464	genemark-scaffold_7-processed-gene-5.46-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-5.46&CDS=1-201	YLR264W, YOR167C
OG0000465	genemark-scaffold_7-processed-gene-5.28-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-5.28&CDS=1-849	YLR273C, YOR178C
OG0000466	maker-scaffold_7-augustus-gene-6.2-mRNA-1_1&gene=maker-scaffold_7-augustus-gene-6.2&CDS=1-714	YGL076C, YPL198W
OG0000467	genemark-scaffold_7-processed-gene-6.32-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-6.32&CDS=1-1209	YHL003C, YKL008C
OG0000468	genemark-scaffold_7-processed-gene-7.91-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-7.91&CDS=1-2580	YDR223W, YLR223C
OG0000469	genemark-scaffold_7-processed-gene-8.45-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-8.45&CDS=1-4026	YIL151C, YKR096W
OG0000470	augustus_masked-scaffold_8-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-0.53&CDS=1-2115	YER175C, YHR209W
OG0000471	genemark-scaffold_8-processed-gene-0.43-mRNA-1_1&gene=genemark-scaffold_8-processed-gene-0.43&CDS=1-480	YBR191W, YPL079W
OG0000472	genemark-scaffold_8-processed-gene-0.26-mRNA-1_1&gene=genemark-scaffold_8-processed-gene-0.26&CDS=1-1860	YGR092W, YPR111W
OG0000473	genemark-scaffold_8-processed-gene-1.27-mRNA-1_1&gene=genemark-scaffold_8-processed-gene-1.27&CDS=1-2376	YKL050C, YMR031C
OG0000474	augustus_masked-scaffold_8-processed-gene-2.114-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-2.114&CDS=1-2799	YIL156W, YKR098C
OG0000475	genemark-scaffold_8-processed-gene-2.85-mRNA-1_1&gene=genemark-scaffold_8-processed-gene-2.85&CDS=1-1242	YIL113W, YNL053W
OG0000476	augustus_masked-scaffold_8-processed-gene-3.130-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-3.130&CDS=1-573	YGL031C, YGR148C
OG0000477	genemark-scaffold_8-processed-gene-5.193-mRNA-1_1&gene=genemark-scaffold_8-processed-gene-5.193&CDS=1-1206	YHR001W, YKR003W
OG0000478	augustus_masked-scaffold_8-processed-gene-5.111-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-5.111&CDS=1-555	YCL066W, YCR040W
OG0000479	genemark-scaffold_8-processed-gene-5.200-mRNA-1_1&gene=genemark-scaffold_8-processed-gene-5.200&CDS=1-546	YLR456W, YPR172W
OG0000480	genemark-scaffold_8-processed-gene-5.224-mRNA-1_1&gene=genemark-scaffold_8-processed-gene-5.224&CDS=1-804	YLL053C, YPR192W
OG0000481	genemark-scaffold_8-processed-gene-5.228-mRNA-1_1&gene=genemark-scaffold_8-processed-gene-5.228&CDS=1-2880	YDR351W, YHR103W
OG0000482	genemark-scaffold_9-processed-gene-1.99-mRNA-1_1&gene=genemark-scaffold_9-processed-gene-1.99&CDS=1-2130	YGR141W, YPR157W
OG0000483	augustus_masked-scaffold_9-processed-gene-1.65-mRNA-1_1&gene=augustus_masked-scaffold_9-processed-gene-1.65&CDS=1-2727	YDR069C, YER144C
OG0000484	genemark-scaffold_9-processed-gene-2.98-mRNA-1_1&gene=genemark-scaffold_9-processed-gene-2.98&CDS=1-747	YIR013C, YLR013W
OG0000485	genemark-scaffold_9-processed-gene-3.57-mRNA-1_1&gene=genemark-scaffold_9-processed-gene-3.57&CDS=1-411	YBL087C, YER117W
OG0000486	genemark-scaffold_9-processed-gene-3.71-mRNA-1_1&gene=genemark-scaffold_9-processed-gene-3.71&CDS=1-2460	YIL105C, YNL047C
OG0000487	genemark-scaffold_9-processed-gene-3.68-mRNA-1_1&gene=genemark-scaffold_9-processed-gene-3.68&CDS=1-3879	YHR155W, YNL257C
OG0000488	augustus_masked-scaffold_9-processed-gene-4.97-mRNA-1_1&gene=augustus_masked-scaffold_9-processed-gene-4.97&CDS=1-1842	YNL093W, YOR089C
OG0000489	genemark-scaffold_9-processed-gene-4.169-mRNA-1_1&gene=genemark-scaffold_9-processed-gene-4.169&CDS=1-1839	YDL229W, YNL209W
OG0000490	genemark-scaffold_9-processed-gene-4.210-mRNA-1_1&gene=genemark-scaffold_9-processed-gene-4.210&CDS=1-189	YDL061C, YLR388W
OG0000491	genemark-scaffold_1-processed-gene-0.71-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.71&CDS=1-1788	YMR092C
OG0000492	genemark-scaffold_1-processed-gene-0.48-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.48&CDS=1-2106	YEL011W
OG0000493	genemark-scaffold_1-processed-gene-0.49-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.49&CDS=1-1974	YMR106C
OG0000494	augustus_masked-scaffold_1-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-0.34&CDS=1-1092	YMR097C
OG0000495	genemark-scaffold_1-processed-gene-0.50-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.50&CDS=1-867	YKL110C
OG0000496	genemark-scaffold_1-processed-gene-0.75-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.75&CDS=1-744	YKL099C
OG0000497	snap_masked-scaffold_1-processed-gene-0.98-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-0.98&CDS=1-3018	YMR098C
OG0000498	genemark-scaffold_1-processed-gene-0.76-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.76&CDS=1-1542	YKR023W
OG0000499	maker-scaffold_1-augustus-gene-0.5-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-0.5&CDS=1-2682	YJL106W
OG0000500	genemark-scaffold_1-processed-gene-0.55-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.55&CDS=1-999	YPR147C
OG0000501	maker-scaffold_1-augustus-gene-0.6-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-0.6&CDS=1-3207	YBR034C
OG0000502	augustus_masked-scaffold_1-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-0.21&CDS=1-387	YCL033C
OG0000503	genemark-scaffold_1-processed-gene-0.77-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.77&CDS=1-939	YDL015C
OG0000504	genemark-scaffold_1-processed-gene-0.61-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.61&CDS=1-453	YOR298C-A
OG0000505	genemark-scaffold_1-processed-gene-0.78-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.78&CDS=1-645	YKR014C
OG0000506	augustus_masked-scaffold_1-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-0.39&CDS=1-318	YOR020C
OG0000507	genemark-scaffold_1-processed-gene-0.63-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.63&CDS=1-1140	YOR388C
OG0000508	augustus_masked-scaffold_1-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-0.40&CDS=1-5601	YJL109C
OG0000509	genemark-scaffold_1-processed-gene-0.83-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.83&CDS=1-2721	YKR030W
OG0000510	genemark-scaffold_1-processed-gene-0.84-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.84&CDS=1-1698	YKR017C
OG0000511	genemark-scaffold_1-processed-gene-0.85-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.85&CDS=1-2319	YBR030W
OG0000512	genemark-scaffold_1-processed-gene-0.67-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.67&CDS=1-381	YJL104W
OG0000513	augustus_masked-scaffold_1-processed-gene-1.89-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-1.89&CDS=1-3228	YPR179C
OG0000514	augustus_masked-scaffold_1-processed-gene-1.101-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-1.101&CDS=1-3252	YPR181C
OG0000515	genemark-scaffold_1-processed-gene-1.66-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.66&CDS=1-924	YIL164C
OG0000516	genemark-scaffold_1-processed-gene-1.67-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.67&CDS=1-2349	YLR304C
OG0000517	genemark-scaffold_1-processed-gene-1.55-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.55&CDS=1-1749	YHR166C
OG0000518	genemark-scaffold_1-processed-gene-1.69-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.69&CDS=1-1734	YMR296C
OG0000519	genemark-scaffold_1-processed-gene-1.56-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.56&CDS=1-7272	YHR165C
OG0000520	genemark-scaffold_1-processed-gene-1.71-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.71&CDS=1-2535	YHL023C
OG0000521	genemark-scaffold_1-processed-gene-1.58-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.58&CDS=1-2949	YFL047W
OG0000522	genemark-scaffold_1-processed-gene-1.75-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.75&CDS=1-2460	YLR361C
OG0000523	genemark-scaffold_1-processed-gene-1.76-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.76&CDS=1-2142	YKL179C
OG0000524	genemark-scaffold_1-processed-gene-1.60-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.60&CDS=1-1830	YLR143W
OG0000525	genemark-scaffold_1-processed-gene-1.61-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.61&CDS=1-1068	YJR062C
OG0000526	genemark-scaffold_1-processed-gene-1.62-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.62&CDS=1-408	YGL191W
OG0000527	genemark-scaffold_1-processed-gene-1.81-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.81&CDS=1-1545	YGL190C
OG0000528	genemark-scaffold_1-processed-gene-2.62-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.62&CDS=1-471	YGL187C
OG0000529	maker-scaffold_1-augustus-gene-2.54-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-2.54&CDS=1-2916	YPL113C
OG0000530	maker-scaffold_1-augustus-gene-2.55-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-2.55&CDS=1-3633	YBL007C
OG0000531	genemark-scaffold_1-processed-gene-2.65-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.65&CDS=1-1605	YGL192W
OG0000532	genemark-scaffold_1-processed-gene-2.66-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.66&CDS=1-573	YGL010W
OG0000533	genemark-scaffold_1-processed-gene-2.67-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.67&CDS=1-2235	YGL022W
OG0000534	genemark-scaffold_1-processed-gene-2.68-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.68&CDS=1-2499	YGL023C
OG0000535	genemark-scaffold_1-processed-gene-2.90-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.90&CDS=1-1740	YPL265W
OG0000536	genemark-scaffold_1-processed-gene-2.71-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.71&CDS=1-3090	YGR014W
OG0000537	genemark-scaffold_1-processed-gene-2.94-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.94&CDS=1-1737	YGR013W
OG0000538	genemark-scaffold_1-processed-gene-2.72-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.72&CDS=1-2223	YML046W
OG0000539	genemark-scaffold_1-processed-gene-2.95-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.95&CDS=1-1914	YJR052W
OG0000540	genemark-scaffold_1-processed-gene-2.73-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.73&CDS=1-1095	YEL037C
OG0000541	genemark-scaffold_1-processed-gene-2.96-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.96&CDS=1-735	YEL038W
OG0000542	genemark-scaffold_1-processed-gene-2.77-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.77&CDS=1-1167	YGR012W
OG0000543	genemark-scaffold_1-processed-gene-2.99-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.99&CDS=1-1431	YPL112C
OG0000544	genemark-scaffold_1-processed-gene-2.100-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.100&CDS=1-1332	YDR531W
OG0000545	maker-scaffold_1-snap-gene-2.48-mRNA-1_1&gene=maker-scaffold_1-snap-gene-2.48&CDS=1-1320	YPL209C
OG0000546	genemark-scaffold_1-processed-gene-2.101-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.101&CDS=1-1566	YGL066W
OG0000547	augustus_masked-scaffold_1-processed-gene-2.124-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-2.124&CDS=1-3687	YPL207W
OG0000548	genemark-scaffold_1-processed-gene-2.81-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.81&CDS=1-1953	YPL104W
OG0000549	genemark-scaffold_1-processed-gene-2.108-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.108&CDS=1-2115	YJL010C
OG0000550	genemark-scaffold_1-processed-gene-2.82-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.82&CDS=1-1428	YOR056C
