	Saccharomyces_cerevisiae	yHMPu5000034637_Ogataea_populiabae
OG0000329	YGR243W, YHR162W	maker-NODE_2_length_1008495_cov_14.5864_ID_3-snap-gene-2.49-mRNA-1_1&gene=maker-NODE_2_length_1008495_cov_14.5864_ID_3-snap-gene-2.49&CDS=1-363
OG0000330	YGR248W, YHR163W	augustus_masked-NODE_11_length_357998_cov_19.4779_ID_21-processed-gene-2.238-mRNA-1_1&gene=augustus_masked-NODE_11_length_357998_cov_19.4779_ID_21-processed-gene-2.238&CDS=1-756
OG0000331	YGR260W	augustus_masked-NODE_15_length_222653_cov_15.3866_ID_29-processed-gene-1.7-mRNA-1_1&gene=augustus_masked-NODE_15_length_222653_cov_15.3866_ID_29-processed-gene-1.7&CDS=1-1443, maker-NODE_34_length_34186_cov_16.0864_ID_67-augustus-gene-0.17-mRNA-1_1&gene=maker-NODE_34_length_34186_cov_16.0864_ID_67-augustus-gene-0.17&CDS=1-2307
OG0000332	YHL001W, YKL006W	maker-NODE_2_length_1008495_cov_14.5864_ID_3-augustus-gene-2.57-mRNA-1_1&gene=maker-NODE_2_length_1008495_cov_14.5864_ID_3-augustus-gene-2.57&CDS=1-396
OG0000333	YHL003C, YKL008C	augustus_masked-NODE_4_length_820312_cov_17.3491_ID_7-processed-gene-4.69-mRNA-1_1&gene=augustus_masked-NODE_4_length_820312_cov_17.3491_ID_7-processed-gene-4.69&CDS=1-1230
OG0000334	YHL017W, YKL039W	augustus_masked-NODE_2_length_1008495_cov_14.5864_ID_3-processed-gene-5.94-mRNA-1_1&gene=augustus_masked-NODE_2_length_1008495_cov_14.5864_ID_3-processed-gene-5.94&CDS=1-1719
OG0000335	YHR001W, YKR003W	maker-NODE_5_length_761125_cov_17.9616_ID_9-augustus-gene-6.99-mRNA-1_1&gene=maker-NODE_5_length_761125_cov_17.9616_ID_9-augustus-gene-6.99&CDS=1-1314
OG0000336	YHR021C, YKL156W	snap_masked-NODE_10_length_408946_cov_13.6332_ID_19-processed-gene-1.100-mRNA-1_1&gene=snap_masked-NODE_10_length_408946_cov_13.6332_ID_19-processed-gene-1.100&CDS=1-246
OG0000337	YHR032W	augustus_masked-NODE_12_length_279616_cov_13.7717_ID_23-processed-gene-1.75-mRNA-1_1&gene=augustus_masked-NODE_12_length_279616_cov_13.7717_ID_23-processed-gene-1.75&CDS=1-1764, augustus_masked-NODE_18_length_187269_cov_19.0248_ID_35-processed-gene-0.181-mRNA-1_1&gene=augustus_masked-NODE_18_length_187269_cov_19.0248_ID_35-processed-gene-0.181&CDS=1-1800
OG0000338	YHR043C, YHR044C	augustus_masked-NODE_6_length_754867_cov_17.4786_ID_11-processed-gene-3.31-mRNA-1_1&gene=augustus_masked-NODE_6_length_754867_cov_17.4786_ID_11-processed-gene-3.31&CDS=1-723
OG0000339	YHR090C, YOR064C	snap_masked-NODE_6_length_754867_cov_17.4786_ID_11-processed-gene-5.40-mRNA-1_1&gene=snap_masked-NODE_6_length_754867_cov_17.4786_ID_11-processed-gene-5.40&CDS=1-921
OG0000340	YHR104W	augustus_masked-NODE_13_length_253365_cov_20.0969_ID_25-processed-gene-0.50-mRNA-1_1&gene=augustus_masked-NODE_13_length_253365_cov_20.0969_ID_25-processed-gene-0.50&CDS=1-954, maker-NODE_3_length_894456_cov_15.2133_ID_5-augustus-gene-7.201-mRNA-1_1&gene=maker-NODE_3_length_894456_cov_15.2133_ID_5-augustus-gene-7.201&CDS=1-2793
OG0000341	YHR115C, YNL116W	augustus_masked-NODE_4_length_820312_cov_17.3491_ID_7-processed-gene-5.131-mRNA-1_1&gene=augustus_masked-NODE_4_length_820312_cov_17.3491_ID_7-processed-gene-5.131&CDS=1-1428
OG0000342	YHR117W, YNL121C	augustus_masked-NODE_11_length_357998_cov_19.4779_ID_21-processed-gene-2.215-mRNA-1_1&gene=augustus_masked-NODE_11_length_357998_cov_19.4779_ID_21-processed-gene-2.215&CDS=1-1779
OG0000343	YHR123W, YNL130C	augustus_masked-NODE_6_length_754867_cov_17.4786_ID_11-processed-gene-3.2-mRNA-1_1&gene=augustus_masked-NODE_6_length_754867_cov_17.4786_ID_11-processed-gene-3.2&CDS=1-7764
OG0000344	YHR131C, YNL144C	augustus_masked-NODE_13_length_253365_cov_20.0969_ID_25-processed-gene-1.127-mRNA-1_1&gene=augustus_masked-NODE_13_length_253365_cov_20.0969_ID_25-processed-gene-1.127&CDS=1-1920
OG0000345	YHR132W-A, YNL157W	augustus_masked-NODE_2_length_1008495_cov_14.5864_ID_3-processed-gene-0.96-mRNA-1_1&gene=augustus_masked-NODE_2_length_1008495_cov_14.5864_ID_3-processed-gene-0.96&CDS=1-378
OG0000346	YHR133C, YNL156C	augustus_masked-NODE_2_length_1008495_cov_14.5864_ID_3-processed-gene-0.112-mRNA-1_1&gene=augustus_masked-NODE_2_length_1008495_cov_14.5864_ID_3-processed-gene-0.112&CDS=1-903
OG0000347	YHR141C, YNL162W	augustus_masked-NODE_13_length_253365_cov_20.0969_ID_25-processed-gene-1.126-mRNA-1_1&gene=augustus_masked-NODE_13_length_253365_cov_20.0969_ID_25-processed-gene-1.126&CDS=1-2505
OG0000348	YHR176W	augustus_masked-NODE_1_length_1154972_cov_14.4185_ID_1-processed-gene-9.51-mRNA-1_1&gene=augustus_masked-NODE_1_length_1154972_cov_14.4185_ID_1-processed-gene-9.51&CDS=1-1491, augustus_masked-NODE_5_length_761125_cov_17.9616_ID_9-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-NODE_5_length_761125_cov_17.9616_ID_9-processed-gene-0.13&CDS=1-1419
OG0000349	YHR203C, YJR145C	augustus_masked-NODE_4_length_820312_cov_17.3491_ID_7-processed-gene-2.90-mRNA-1_1&gene=augustus_masked-NODE_4_length_820312_cov_17.3491_ID_7-processed-gene-2.90&CDS=1-2712
OG0000350	YIL047C	augustus_masked-NODE_6_length_754867_cov_17.4786_ID_11-processed-gene-6.84-mRNA-1_1&gene=augustus_masked-NODE_6_length_754867_cov_17.4786_ID_11-processed-gene-6.84&CDS=1-3276, snap_masked-NODE_12_length_279616_cov_13.7717_ID_23-processed-gene-1.210-mRNA-1_1&gene=snap_masked-NODE_12_length_279616_cov_13.7717_ID_23-processed-gene-1.210&CDS=1-3222
OG0000351	YIL085C, YNL029C	augustus_masked-NODE_7_length_745218_cov_17.2354_ID_13-processed-gene-5.19-mRNA-1_1&gene=augustus_masked-NODE_7_length_745218_cov_17.2354_ID_13-processed-gene-5.19&CDS=1-1794
OG0000352	YIL107C	augustus_masked-NODE_2_length_1008495_cov_14.5864_ID_3-processed-gene-0.85-mRNA-1_1&gene=augustus_masked-NODE_2_length_1008495_cov_14.5864_ID_3-processed-gene-0.85&CDS=1-2364, genemark-NODE_40_length_25270_cov_17.9571_ID_79-processed-gene-0.21-mRNA-1_1&gene=genemark-NODE_40_length_25270_cov_17.9571_ID_79-processed-gene-0.21&CDS=1-2487
OG0000353	YIL111W, YNL052W	augustus_masked-NODE_3_length_894456_cov_15.2133_ID_5-processed-gene-4.92-mRNA-1_1&gene=augustus_masked-NODE_3_length_894456_cov_15.2133_ID_5-processed-gene-4.92&CDS=1-453
OG0000354	YIL114C, YNL055C	snap_masked-NODE_3_length_894456_cov_15.2133_ID_5-processed-gene-5.41-mRNA-1_1&gene=snap_masked-NODE_3_length_894456_cov_15.2133_ID_5-processed-gene-5.41&CDS=1-852
OG0000355	YIL133C, YNL069C	augustus_masked-NODE_8_length_626879_cov_16.4982_ID_15-processed-gene-4.46-mRNA-1_1&gene=augustus_masked-NODE_8_length_626879_cov_16.4982_ID_15-processed-gene-4.46&CDS=1-600
OG0000356	YIL149C, YKR095W	augustus_masked-NODE_5_length_761125_cov_17.9616_ID_9-processed-gene-6.136-mRNA-1_1&gene=augustus_masked-NODE_5_length_761125_cov_17.9616_ID_9-processed-gene-6.136&CDS=1-5400
OG0000357	YIR001C	augustus_masked-NODE_4_length_820312_cov_17.3491_ID_7-processed-gene-7.141-mRNA-1_1&gene=augustus_masked-NODE_4_length_820312_cov_17.3491_ID_7-processed-gene-7.141&CDS=1-624, genemark-NODE_11_length_357998_cov_19.4779_ID_21-processed-gene-1.92-mRNA-1_1&gene=genemark-NODE_11_length_357998_cov_19.4779_ID_21-processed-gene-1.92&CDS=1-522
OG0000358	YIR031C, YNL117W	augustus_masked-NODE_2_length_1008495_cov_14.5864_ID_3-processed-gene-2.92-mRNA-1_1&gene=augustus_masked-NODE_2_length_1008495_cov_14.5864_ID_3-processed-gene-2.92&CDS=1-1662
OG0000359	YIR033W, YKL020C	augustus_masked-NODE_23_length_158099_cov_13.2561_ID_45-processed-gene-0.96-mRNA-1_1&gene=augustus_masked-NODE_23_length_158099_cov_13.2561_ID_45-processed-gene-0.96&CDS=1-4968
OG0000360	YJL055W	augustus_masked-NODE_5_length_761125_cov_17.9616_ID_9-processed-gene-6.111-mRNA-1_1&gene=augustus_masked-NODE_5_length_761125_cov_17.9616_ID_9-processed-gene-6.111&CDS=1-687, augustus_masked-NODE_7_length_745218_cov_17.2354_ID_13-processed-gene-6.236-mRNA-1_1&gene=augustus_masked-NODE_7_length_745218_cov_17.2354_ID_13-processed-gene-6.236&CDS=1-693
OG0000361	YJL076W, YKR010C	augustus_masked-NODE_7_length_745218_cov_17.2354_ID_13-processed-gene-4.19-mRNA-1_1&gene=augustus_masked-NODE_7_length_745218_cov_17.2354_ID_13-processed-gene-4.19&CDS=1-2850
OG0000362	YJL079C, YKR013W	augustus_masked-NODE_1_length_1154972_cov_14.4185_ID_1-processed-gene-6.75-mRNA-1_1&gene=augustus_masked-NODE_1_length_1154972_cov_14.4185_ID_1-processed-gene-6.75&CDS=1-897
OG0000363	YJL082W, YKR018C	snap_masked-NODE_5_length_761125_cov_17.9616_ID_9-processed-gene-2.139-mRNA-1_1&gene=snap_masked-NODE_5_length_761125_cov_17.9616_ID_9-processed-gene-2.139&CDS=1-2310
OG0000364	YJL084C, YKR021W	augustus_masked-NODE_15_length_222653_cov_15.3866_ID_29-processed-gene-1.40-mRNA-1_1&gene=augustus_masked-NODE_15_length_222653_cov_15.3866_ID_29-processed-gene-1.40&CDS=1-2859
OG0000365	YJL090C	augustus_masked-NODE_4_length_820312_cov_17.3491_ID_7-processed-gene-7.139-mRNA-1_1&gene=augustus_masked-NODE_4_length_820312_cov_17.3491_ID_7-processed-gene-7.139&CDS=1-1857, maker-NODE_23_length_158099_cov_13.2561_ID_45-augustus-gene-0.154-mRNA-1_1&gene=maker-NODE_23_length_158099_cov_13.2561_ID_45-augustus-gene-0.154&CDS=1-3717
OG0000366	YJL108C	augustus_masked-NODE_7_length_745218_cov_17.2354_ID_13-processed-gene-6.198-mRNA-1_1&gene=augustus_masked-NODE_7_length_745218_cov_17.2354_ID_13-processed-gene-6.198&CDS=1-2736, maker-NODE_17_length_220167_cov_16.221_ID_33-snap-gene-1.5-mRNA-1_1&gene=maker-NODE_17_length_220167_cov_16.221_ID_33-snap-gene-1.5&CDS=1-5997
OG0000367	YJL133W, YKR052C	augustus_masked-NODE_2_length_1008495_cov_14.5864_ID_3-processed-gene-6.16-mRNA-1_1&gene=augustus_masked-NODE_2_length_1008495_cov_14.5864_ID_3-processed-gene-6.16&CDS=1-1143
OG0000368	YJL134W, YKR053C	augustus_masked-NODE_9_length_486071_cov_15.0348_ID_17-processed-gene-3.4-mRNA-1_1&gene=augustus_masked-NODE_9_length_486071_cov_15.0348_ID_17-processed-gene-3.4&CDS=1-2178
OG0000369	YJL137C, YKR058W	augustus_masked-NODE_19_length_183615_cov_21.9941_ID_37-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-NODE_19_length_183615_cov_21.9941_ID_37-processed-gene-0.13&CDS=1-1572
OG0000370	YJL138C, YKR059W	augustus_masked-NODE_9_length_486071_cov_15.0348_ID_17-processed-gene-3.3-mRNA-1_1&gene=augustus_masked-NODE_9_length_486071_cov_15.0348_ID_17-processed-gene-3.3&CDS=1-1473
OG0000371	YJL139C, YKR061W	augustus_masked-NODE_10_length_408946_cov_13.6332_ID_19-processed-gene-2.75-mRNA-1_1&gene=augustus_masked-NODE_10_length_408946_cov_13.6332_ID_19-processed-gene-2.75&CDS=1-1293
OG0000372	YJL177W, YKL180W	augustus_masked-NODE_10_length_408946_cov_13.6332_ID_19-processed-gene-2.73-mRNA-1_1&gene=augustus_masked-NODE_10_length_408946_cov_13.6332_ID_19-processed-gene-2.73&CDS=1-555
OG0000373	YJL212C, YPR194C	augustus_masked-NODE_32_length_37674_cov_13.1443_ID_63-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-NODE_32_length_37674_cov_13.1443_ID_63-processed-gene-0.15&CDS=1-2325
OG0000374	YJR054W, YML047C	augustus_masked-NODE_13_length_253365_cov_20.0969_ID_25-processed-gene-1.135-mRNA-1_1&gene=augustus_masked-NODE_13_length_253365_cov_20.0969_ID_25-processed-gene-1.135&CDS=1-1170
OG0000375	YJR091C, YPR042C	augustus_masked-NODE_1_length_1154972_cov_14.4185_ID_1-processed-gene-1.124-mRNA-1_1&gene=augustus_masked-NODE_1_length_1154972_cov_14.4185_ID_1-processed-gene-1.124&CDS=1-3513
OG0000376	YJR094W-A, YPR043W	snap_masked-NODE_1_length_1154972_cov_14.4185_ID_1-processed-gene-1.84-mRNA-1_1&gene=snap_masked-NODE_1_length_1154972_cov_14.4185_ID_1-processed-gene-1.84&CDS=1-351
OG0000377	YJR126C	genemark-NODE_2_length_1008495_cov_14.5864_ID_3-processed-gene-5.21-mRNA-1_1&gene=genemark-NODE_2_length_1008495_cov_14.5864_ID_3-processed-gene-5.21&CDS=1-2304, maker-NODE_4_length_820312_cov_17.3491_ID_7-snap-gene-2.47-mRNA-1_1&gene=maker-NODE_4_length_820312_cov_17.3491_ID_7-snap-gene-2.47&CDS=1-2784
OG0000378	YJR127C, YML081W	snap_masked-NODE_17_length_220167_cov_16.221_ID_33-processed-gene-0.36-mRNA-1_1&gene=snap_masked-NODE_17_length_220167_cov_16.221_ID_33-processed-gene-0.36&CDS=1-3585
OG0000379	YKL004W	augustus_masked-NODE_9_length_486071_cov_15.0348_ID_17-processed-gene-2.21-mRNA-1_1&gene=augustus_masked-NODE_9_length_486071_cov_15.0348_ID_17-processed-gene-2.21&CDS=1-1233, genemark-NODE_2_length_1008495_cov_14.5864_ID_3-processed-gene-5.40-mRNA-1_1&gene=genemark-NODE_2_length_1008495_cov_14.5864_ID_3-processed-gene-5.40&CDS=1-1212
OG0000380	YKL015W	augustus_masked-NODE_13_length_253365_cov_20.0969_ID_25-processed-gene-1.133-mRNA-1_1&gene=augustus_masked-NODE_13_length_253365_cov_20.0969_ID_25-processed-gene-1.133&CDS=1-2745, augustus_masked-NODE_14_length_243586_cov_13.9326_ID_27-processed-gene-1.101-mRNA-1_1&gene=augustus_masked-NODE_14_length_243586_cov_13.9326_ID_27-processed-gene-1.101&CDS=1-2301
OG0000381	YKL043W	augustus_masked-NODE_10_length_408946_cov_13.6332_ID_19-processed-gene-2.90-mRNA-1_1&gene=augustus_masked-NODE_10_length_408946_cov_13.6332_ID_19-processed-gene-2.90&CDS=1-1494, augustus_masked-NODE_2_length_1008495_cov_14.5864_ID_3-processed-gene-2.68-mRNA-1_1&gene=augustus_masked-NODE_2_length_1008495_cov_14.5864_ID_3-processed-gene-2.68&CDS=1-1548
OG0000382	YKL050C, YMR031C	augustus_masked-NODE_4_length_820312_cov_17.3491_ID_7-processed-gene-4.85-mRNA-1_1&gene=augustus_masked-NODE_4_length_820312_cov_17.3491_ID_7-processed-gene-4.85&CDS=1-2811
OG0000383	YKL072W, YMR053C	maker-NODE_1_length_1154972_cov_14.4185_ID_1-snap-gene-4.65-mRNA-1_1&gene=maker-NODE_1_length_1154972_cov_14.4185_ID_1-snap-gene-4.65&CDS=1-2178
OG0000384	YKL121W, YMR102C	snap_masked-NODE_6_length_754867_cov_17.4786_ID_11-processed-gene-3.101-mRNA-1_1&gene=snap_masked-NODE_6_length_754867_cov_17.4786_ID_11-processed-gene-3.101&CDS=1-2646
OG0000385	YKL126W, YMR104C	genemark-NODE_1_length_1154972_cov_14.4185_ID_1-processed-gene-8.76-mRNA-1_1&gene=genemark-NODE_1_length_1154972_cov_14.4185_ID_1-processed-gene-8.76&CDS=1-2016
OG0000386	YKL141W, YMR118C	augustus_masked-NODE_2_length_1008495_cov_14.5864_ID_3-processed-gene-4.132-mRNA-1_1&gene=augustus_masked-NODE_2_length_1008495_cov_14.5864_ID_3-processed-gene-4.132&CDS=1-537
OG0000387	YKR034W	augustus_masked-NODE_12_length_279616_cov_13.7717_ID_23-processed-gene-0.111-mRNA-1_1&gene=augustus_masked-NODE_12_length_279616_cov_13.7717_ID_23-processed-gene-0.111&CDS=1-1959, augustus_masked-NODE_9_length_486071_cov_15.0348_ID_17-processed-gene-2.6-mRNA-1_1&gene=augustus_masked-NODE_9_length_486071_cov_15.0348_ID_17-processed-gene-2.6&CDS=1-1197
OG0000388	YKR072C, YOR054C	snap_masked-NODE_20_length_170422_cov_25.4208_ID_39-processed-gene-0.175-mRNA-1_1&gene=snap_masked-NODE_20_length_170422_cov_25.4208_ID_39-processed-gene-0.175&CDS=1-1923
OG0000389	YKR075C, YOR062C	augustus_masked-NODE_3_length_894456_cov_15.2133_ID_5-processed-gene-2.10-mRNA-1_1&gene=augustus_masked-NODE_3_length_894456_cov_15.2133_ID_5-processed-gene-2.10&CDS=1-810
OG0000390	YKR076W, YMR251W	maker-NODE_11_length_357998_cov_19.4779_ID_21-augustus-gene-2.96-mRNA-1_1&gene=maker-NODE_11_length_357998_cov_19.4779_ID_21-augustus-gene-2.96&CDS=1-1545
OG0000391	YKR091W, YOR083W	augustus_masked-NODE_24_length_128582_cov_13.8564_ID_47-processed-gene-0.109-mRNA-1_1&gene=augustus_masked-NODE_24_length_128582_cov_13.8564_ID_47-processed-gene-0.109&CDS=1-1251
OG0000392	YKR093W	augustus_masked-NODE_6_length_754867_cov_17.4786_ID_11-processed-gene-4.135-mRNA-1_1&gene=augustus_masked-NODE_6_length_754867_cov_17.4786_ID_11-processed-gene-4.135&CDS=1-1743, snap_masked-NODE_7_length_745218_cov_17.2354_ID_13-processed-gene-2.47-mRNA-1_1&gene=snap_masked-NODE_7_length_745218_cov_17.2354_ID_13-processed-gene-2.47&CDS=1-1830
OG0000393	YLL012W, YLR020C	augustus_masked-NODE_4_length_820312_cov_17.3491_ID_7-processed-gene-7.149-mRNA-1_1&gene=augustus_masked-NODE_4_length_820312_cov_17.3491_ID_7-processed-gene-7.149&CDS=1-1314
OG0000394	YLL016W, YLR310C	augustus_masked-NODE_36_length_32372_cov_14.2593_ID_71-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-NODE_36_length_32372_cov_14.2593_ID_71-processed-gene-0.3&CDS=1-3948
OG0000395	YLL024C	augustus_masked-NODE_1_length_1154972_cov_14.4185_ID_1-processed-gene-3.91-mRNA-1_1&gene=augustus_masked-NODE_1_length_1154972_cov_14.4185_ID_1-processed-gene-3.91&CDS=1-1953, augustus_masked-NODE_5_length_761125_cov_17.9616_ID_9-processed-gene-3.100-mRNA-1_1&gene=augustus_masked-NODE_5_length_761125_cov_17.9616_ID_9-processed-gene-3.100&CDS=1-1938
OG0000396	YLL057C	maker-NODE_29_length_75141_cov_29.9276_ID_57-snap-gene-0.35-mRNA-1_1&gene=maker-NODE_29_length_75141_cov_29.9276_ID_57-snap-gene-0.35&CDS=1-2316, maker-NODE_5_length_761125_cov_17.9616_ID_9-augustus-gene-4.62-mRNA-1_1&gene=maker-NODE_5_length_761125_cov_17.9616_ID_9-augustus-gene-4.62&CDS=1-1083
OG0000397	YLR031W, YMR124W	augustus_masked-NODE_1_length_1154972_cov_14.4185_ID_1-processed-gene-8.121-mRNA-1_1&gene=augustus_masked-NODE_1_length_1154972_cov_14.4185_ID_1-processed-gene-8.121&CDS=1-4869
OG0000398	YLR094C	augustus_masked-NODE_2_length_1008495_cov_14.5864_ID_3-processed-gene-3.42-mRNA-1_1&gene=augustus_masked-NODE_2_length_1008495_cov_14.5864_ID_3-processed-gene-3.42&CDS=1-1173, snap_masked-NODE_3_length_894456_cov_15.2133_ID_5-processed-gene-3.61-mRNA-1_1&gene=snap_masked-NODE_3_length_894456_cov_15.2133_ID_5-processed-gene-3.61&CDS=1-1227
OG0000399	YLR210W	augustus_masked-NODE_22_length_160228_cov_24.8447_ID_43-processed-gene-0.159-mRNA-1_1&gene=augustus_masked-NODE_22_length_160228_cov_24.8447_ID_43-processed-gene-0.159&CDS=1-1281, maker-NODE_16_length_220908_cov_13.8955_ID_31-augustus-gene-0.83-mRNA-1_1&gene=maker-NODE_16_length_220908_cov_13.8955_ID_31-augustus-gene-0.83&CDS=1-2097
OG0000400	YLR248W	augustus_masked-NODE_11_length_357998_cov_19.4779_ID_21-processed-gene-1.167-mRNA-1_1&gene=augustus_masked-NODE_11_length_357998_cov_19.4779_ID_21-processed-gene-1.167&CDS=1-1836, snap_masked-NODE_7_length_745218_cov_17.2354_ID_13-processed-gene-2.86-mRNA-1_1&gene=snap_masked-NODE_7_length_745218_cov_17.2354_ID_13-processed-gene-2.86&CDS=1-2538
OG0000401	YLR260W, YOR171C	augustus_masked-NODE_5_length_761125_cov_17.9616_ID_9-processed-gene-3.77-mRNA-1_1&gene=augustus_masked-NODE_5_length_761125_cov_17.9616_ID_9-processed-gene-3.77&CDS=1-1506
OG0000402	YLR264W, YOR167C	augustus_masked-NODE_3_length_894456_cov_15.2133_ID_5-processed-gene-6.149-mRNA-1_1&gene=augustus_masked-NODE_3_length_894456_cov_15.2133_ID_5-processed-gene-6.149&CDS=1-201
OG0000403	YLR270W, YOR173W	augustus_masked-NODE_2_length_1008495_cov_14.5864_ID_3-processed-gene-0.87-mRNA-1_1&gene=augustus_masked-NODE_2_length_1008495_cov_14.5864_ID_3-processed-gene-0.87&CDS=1-900
OG0000404	YLR284C, YOR180C	augustus_masked-NODE_12_length_279616_cov_13.7717_ID_23-processed-gene-1.69-mRNA-1_1&gene=augustus_masked-NODE_12_length_279616_cov_13.7717_ID_23-processed-gene-1.69&CDS=1-810
OG0000405	YLR286C	maker-NODE_5_length_761125_cov_17.9616_ID_9-snap-gene-6.92-mRNA-1_1&gene=maker-NODE_5_length_761125_cov_17.9616_ID_9-snap-gene-6.92&CDS=1-1839, snap_masked-NODE_5_length_761125_cov_17.9616_ID_9-processed-gene-4.44-mRNA-1_1&gene=snap_masked-NODE_5_length_761125_cov_17.9616_ID_9-processed-gene-4.44&CDS=1-1734
OG0000406	YLR287C-A, YOR182C	snap_masked-NODE_3_length_894456_cov_15.2133_ID_5-processed-gene-6.48-mRNA-1_1&gene=snap_masked-NODE_3_length_894456_cov_15.2133_ID_5-processed-gene-6.48&CDS=1-1515
OG0000407	YLR293C, YOR185C	genemark-NODE_5_length_761125_cov_17.9616_ID_9-processed-gene-6.188-mRNA-1_1&gene=genemark-NODE_5_length_761125_cov_17.9616_ID_9-processed-gene-6.188&CDS=1-978
OG0000408	YLR433C, YML057W	maker-NODE_32_length_37674_cov_13.1443_ID_63-snap-gene-0.27-mRNA-1_1&gene=maker-NODE_32_length_37674_cov_13.1443_ID_63-snap-gene-0.27&CDS=1-3330
OG0000409	YLR456W, YPR172W	augustus_masked-NODE_1_length_1154972_cov_14.4185_ID_1-processed-gene-2.96-mRNA-1_1&gene=augustus_masked-NODE_1_length_1154972_cov_14.4185_ID_1-processed-gene-2.96&CDS=1-537
OG0000410	YML038C	augustus_masked-NODE_8_length_626879_cov_16.4982_ID_15-processed-gene-2.26-mRNA-1_1&gene=augustus_masked-NODE_8_length_626879_cov_16.4982_ID_15-processed-gene-2.26&CDS=1-1902, augustus_masked-NODE_8_length_626879_cov_16.4982_ID_15-processed-gene-2.9-mRNA-1_1&gene=augustus_masked-NODE_8_length_626879_cov_16.4982_ID_15-processed-gene-2.9&CDS=1-1257
OG0000411	YML100W, YMR261C	maker-NODE_4_length_820312_cov_17.3491_ID_7-augustus-gene-2.136-mRNA-1_1&gene=maker-NODE_4_length_820312_cov_17.3491_ID_7-augustus-gene-2.136&CDS=1-3168
OG0000412	YML106W, YMR271C	augustus_masked-NODE_11_length_357998_cov_19.4779_ID_21-processed-gene-1.129-mRNA-1_1&gene=augustus_masked-NODE_11_length_357998_cov_19.4779_ID_21-processed-gene-1.129&CDS=1-660
OG0000413	YML109W, YMR273C	augustus_masked-NODE_9_length_486071_cov_15.0348_ID_17-processed-gene-3.10-mRNA-1_1&gene=augustus_masked-NODE_9_length_486071_cov_15.0348_ID_17-processed-gene-3.10&CDS=1-2409
OG0000414	YMR008C, YOL011W	maker-NODE_15_length_222653_cov_15.3866_ID_29-augustus-gene-1.119-mRNA-1_1&gene=maker-NODE_15_length_222653_cov_15.3866_ID_29-augustus-gene-1.119&CDS=1-2268
OG0000415	YMR020W	augustus_masked-NODE_2_length_1008495_cov_14.5864_ID_3-processed-gene-8.78-mRNA-1_1&gene=augustus_masked-NODE_2_length_1008495_cov_14.5864_ID_3-processed-gene-8.78&CDS=1-1416, augustus_masked-NODE_4_length_820312_cov_17.3491_ID_7-processed-gene-7.156-mRNA-1_1&gene=augustus_masked-NODE_4_length_820312_cov_17.3491_ID_7-processed-gene-7.156&CDS=1-1506
OG0000416	YMR119W, YNL008C	snap_masked-NODE_27_length_90343_cov_17.7527_ID_53-processed-gene-0.19-mRNA-1_1&gene=snap_masked-NODE_27_length_90343_cov_17.7527_ID_53-processed-gene-0.19&CDS=1-2121
OG0000417	YMR152W	augustus_masked-NODE_35_length_32994_cov_29.7511_ID_69-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_35_length_32994_cov_29.7511_ID_69-processed-gene-0.0&CDS=1-1977, maker-NODE_41_length_23431_cov_29.7748_ID_81-augustus-gene-0.0-mRNA-1_1&gene=maker-NODE_41_length_23431_cov_29.7748_ID_81-augustus-gene-0.0&CDS=1-1464
OG0000418	YMR177W, YPL224C	snap_masked-NODE_9_length_486071_cov_15.0348_ID_17-processed-gene-0.39-mRNA-1_1&gene=snap_masked-NODE_9_length_486071_cov_15.0348_ID_17-processed-gene-0.39&CDS=1-1374
OG0000419	YMR183C, YPL232W	augustus_masked-NODE_3_length_894456_cov_15.2133_ID_5-processed-gene-4.95-mRNA-1_1&gene=augustus_masked-NODE_3_length_894456_cov_15.2133_ID_5-processed-gene-4.95&CDS=1-840
OG0000420	YMR216C	augustus_masked-NODE_12_length_279616_cov_13.7717_ID_23-processed-gene-1.4-mRNA-1_1&gene=augustus_masked-NODE_12_length_279616_cov_13.7717_ID_23-processed-gene-1.4&CDS=1-1914, augustus_masked-NODE_24_length_128582_cov_13.8564_ID_47-processed-gene-0.116-mRNA-1_1&gene=augustus_masked-NODE_24_length_128582_cov_13.8564_ID_47-processed-gene-0.116&CDS=1-2667
OG0000421	YMR221C	augustus_masked-NODE_11_length_357998_cov_19.4779_ID_21-processed-gene-2.227-mRNA-1_1&gene=augustus_masked-NODE_11_length_357998_cov_19.4779_ID_21-processed-gene-2.227&CDS=1-1563, snap_masked-NODE_36_length_32372_cov_14.2593_ID_71-processed-gene-0.54-mRNA-1_1&gene=snap_masked-NODE_36_length_32372_cov_14.2593_ID_71-processed-gene-0.54&CDS=1-1572
OG0000422	YMR222C, YOR280C	augustus_masked-NODE_11_length_357998_cov_19.4779_ID_21-processed-gene-2.228-mRNA-1_1&gene=augustus_masked-NODE_11_length_357998_cov_19.4779_ID_21-processed-gene-2.228&CDS=1-750
