	Nakaseomyces_castellii	Saccharomyces_cerevisiae
OG0001515	genemark-CACA0S12-processed-gene-10.16-mRNA-1_1&gene=genemark-CACA0S12-processed-gene-10.16&CDS=1-2259	YPL105C
OG0001516	genemark-CACA0S12-processed-gene-10.38-mRNA-1_1&gene=genemark-CACA0S12-processed-gene-10.38&CDS=1-660	YBR171W
OG0001517	augustus_masked-CACA0S12-processed-gene-10.62-mRNA-1_1&gene=augustus_masked-CACA0S12-processed-gene-10.62&CDS=1-1719	YBR170C
OG0001518	genemark-CACA0S12-processed-gene-10.39-mRNA-1_1&gene=genemark-CACA0S12-processed-gene-10.39&CDS=1-627	YPL107W
OG0001519	genemark-CACA0S12-processed-gene-10.40-mRNA-1_1&gene=genemark-CACA0S12-processed-gene-10.40&CDS=1-423	YPL108W
OG0001520	genemark-CACA0S12-processed-gene-10.19-mRNA-1_1&gene=genemark-CACA0S12-processed-gene-10.19&CDS=1-1887	YPL109C
OG0001521	genemark-CACA0S12-processed-gene-10.20-mRNA-1_1&gene=genemark-CACA0S12-processed-gene-10.20&CDS=1-4017	YPL110C
OG0001522	genemark-CACA0S12-processed-gene-10.41-mRNA-1_1&gene=genemark-CACA0S12-processed-gene-10.41&CDS=1-966	YPL111W
OG0001523	genemark-CACA0S12-processed-gene-10.42-mRNA-1_1&gene=genemark-CACA0S12-processed-gene-10.42&CDS=1-606	YOR194C
OG0001524	genemark-CACA0S12-processed-gene-10.21-mRNA-1_1&gene=genemark-CACA0S12-processed-gene-10.21&CDS=1-2940	YPL115C
OG0001525	genemark-CACA0S12-processed-gene-10.43-mRNA-1_1&gene=genemark-CACA0S12-processed-gene-10.43&CDS=1-2085	YPL116W
OG0001526	genemark-CACA0S12-processed-gene-10.22-mRNA-1_1&gene=genemark-CACA0S12-processed-gene-10.22&CDS=1-825	YPL117C
OG0001527	augustus_masked-CACA0S12-processed-gene-10.89-mRNA-1_1&gene=augustus_masked-CACA0S12-processed-gene-10.89&CDS=1-1065	YPL118W
OG0001528	augustus_masked-CACA0S12-processed-gene-10.90-mRNA-1_1&gene=augustus_masked-CACA0S12-processed-gene-10.90&CDS=1-1335	YPL120W
OG0001529	augustus_masked-CACA0S12-processed-gene-10.68-mRNA-1_1&gene=augustus_masked-CACA0S12-processed-gene-10.68&CDS=1-702	YPL121C
OG0001530	genemark-CACA0S12-processed-gene-10.24-mRNA-1_1&gene=genemark-CACA0S12-processed-gene-10.24&CDS=1-1572	YPL122C
OG0001531	genemark-CACA0S12-processed-gene-10.25-mRNA-1_1&gene=genemark-CACA0S12-processed-gene-10.25&CDS=1-1344	YPL123C
OG0001532	augustus_masked-CACA0S12-processed-gene-11.97-mRNA-1_1&gene=augustus_masked-CACA0S12-processed-gene-11.97&CDS=1-3087	YPL125W
OG0001533	augustus_masked-CACA0S12-processed-gene-11.98-mRNA-1_1&gene=augustus_masked-CACA0S12-processed-gene-11.98&CDS=1-2619	YPL126W
OG0001534	maker-CACA0S12-snap-gene-11.142-mRNA-1_1&gene=maker-CACA0S12-snap-gene-11.142&CDS=1-747	YPL127C
OG0001535	genemark-CACA0S12-processed-gene-11.50-mRNA-1_1&gene=genemark-CACA0S12-processed-gene-11.50&CDS=1-1563	YPL128C
OG0001536	genemark-CACA0S12-processed-gene-11.53-mRNA-1_1&gene=genemark-CACA0S12-processed-gene-11.53&CDS=1-723	YPL129W
OG0001537	augustus_masked-CACA0S12-processed-gene-11.100-mRNA-1_1&gene=augustus_masked-CACA0S12-processed-gene-11.100&CDS=1-660	YPL130W
OG0001538	genemark-CACA0S12-processed-gene-11.55-mRNA-1_1&gene=genemark-CACA0S12-processed-gene-11.55&CDS=1-888	YPL131W
OG0001539	augustus_masked-CACA0S12-processed-gene-11.126-mRNA-1_1&gene=augustus_masked-CACA0S12-processed-gene-11.126&CDS=1-918	YPL132W
OG0001540	augustus_masked-CACA0S12-processed-gene-11.127-mRNA-1_1&gene=augustus_masked-CACA0S12-processed-gene-11.127&CDS=1-414	YOR226C
OG0001541	augustus_masked-CACA0S12-processed-gene-11.103-mRNA-1_1&gene=augustus_masked-CACA0S12-processed-gene-11.103&CDS=1-2373	YPL190C
OG0001542	augustus_masked-CACA0S12-processed-gene-11.128-mRNA-1_1&gene=augustus_masked-CACA0S12-processed-gene-11.128&CDS=1-1131	YPL193W
OG0001543	augustus_masked-CACA0S12-processed-gene-11.106-mRNA-1_1&gene=augustus_masked-CACA0S12-processed-gene-11.106&CDS=1-864	YGL161C
OG0001544	augustus_masked-CACA0S12-processed-gene-11.107-mRNA-1_1&gene=augustus_masked-CACA0S12-processed-gene-11.107&CDS=1-2652	YGL163C
OG0001545	genemark-CACA0S12-processed-gene-11.60-mRNA-1_1&gene=genemark-CACA0S12-processed-gene-11.60&CDS=1-1368	YGL164C
OG0001546	genemark-CACA0S12-processed-gene-11.80-mRNA-1_1&gene=genemark-CACA0S12-processed-gene-11.80&CDS=1-744	YGL166W
OG0001547	genemark-CACA0S12-processed-gene-11.61-mRNA-1_1&gene=genemark-CACA0S12-processed-gene-11.61&CDS=1-1221	YGL169W
OG0001548	genemark-CACA0S12-processed-gene-11.62-mRNA-1_1&gene=genemark-CACA0S12-processed-gene-11.62&CDS=1-4215	YBR081C
OG0001549	genemark-CACA0S12-processed-gene-11.65-mRNA-1_1&gene=genemark-CACA0S12-processed-gene-11.65&CDS=1-915	YBL030C
OG0001550	augustus_masked-CACA0S12-processed-gene-11.132-mRNA-1_1&gene=augustus_masked-CACA0S12-processed-gene-11.132&CDS=1-990	YBL032W
OG0001551	augustus_masked-CACA0S12-processed-gene-11.133-mRNA-1_1&gene=augustus_masked-CACA0S12-processed-gene-11.133&CDS=1-246	YBR085C-A
OG0001552	genemark-CACA0S12-processed-gene-11.66-mRNA-1_1&gene=genemark-CACA0S12-processed-gene-11.66&CDS=1-1086	YBR087W
OG0001553	genemark-CACA0S12-processed-gene-11.84-mRNA-1_1&gene=genemark-CACA0S12-processed-gene-11.84&CDS=1-774	YBR088C
OG0001554	genemark-CACA0S12-processed-gene-11.67-mRNA-1_1&gene=genemark-CACA0S12-processed-gene-11.67&CDS=1-1398	YPR054W
OG0001555	genemark-CACA0S12-processed-gene-11.68-mRNA-1_1&gene=genemark-CACA0S12-processed-gene-11.68&CDS=1-3081	YPR055W
OG0001556	genemark-CACA0S12-processed-gene-11.69-mRNA-1_1&gene=genemark-CACA0S12-processed-gene-11.69&CDS=1-1062	YPR056W
OG0001557	augustus_masked-CACA0S12-processed-gene-11.118-mRNA-1_1&gene=augustus_masked-CACA0S12-processed-gene-11.118&CDS=1-1008	YPR057W
OG0001558	genemark-CACA0S12-processed-gene-11.85-mRNA-1_1&gene=genemark-CACA0S12-processed-gene-11.85&CDS=1-762	YPR060C
OG0001559	genemark-CACA0S12-processed-gene-11.86-mRNA-1_1&gene=genemark-CACA0S12-processed-gene-11.86&CDS=1-804	YPR061C
OG0001560	genemark-CACA0S12-processed-gene-11.72-mRNA-1_1&gene=genemark-CACA0S12-processed-gene-11.72&CDS=1-459	YPR062W
OG0001561	snap_masked-CACA0S12-processed-gene-11.25-mRNA-1_1&gene=snap_masked-CACA0S12-processed-gene-11.25&CDS=1-936	YPR066W
OG0001562	augustus_masked-CACA0S12-processed-gene-11.122-mRNA-1_1&gene=augustus_masked-CACA0S12-processed-gene-11.122&CDS=1-609	YPR067W
OG0001563	augustus_masked-CACA0S12-processed-gene-11.138-mRNA-1_1&gene=augustus_masked-CACA0S12-processed-gene-11.138&CDS=1-2100	YPR069C
OG0001564	genemark-CACA0S12-processed-gene-11.75-mRNA-1_1&gene=genemark-CACA0S12-processed-gene-11.75&CDS=1-1548	YPR070W
OG0001565	genemark-CACA0S12-processed-gene-11.91-mRNA-1_1&gene=genemark-CACA0S12-processed-gene-11.91&CDS=1-2670	YBR112C
OG0001566	genemark-CACA0S12-processed-gene-11.76-mRNA-1_1&gene=genemark-CACA0S12-processed-gene-11.76&CDS=1-681	YER002W
OG0001567	genemark-CACA0S12-processed-gene-11.92-mRNA-1_1&gene=genemark-CACA0S12-processed-gene-11.92&CDS=1-1281	YER003C
OG0001568	augustus_masked-CACA0S12-processed-gene-11.125-mRNA-1_1&gene=augustus_masked-CACA0S12-processed-gene-11.125&CDS=1-1389	YER007W
OG0001569	genemark-CACA0S12-processed-gene-11.93-mRNA-1_1&gene=genemark-CACA0S12-processed-gene-11.93&CDS=1-3222	YIR002C
OG0001570	genemark-CACA0S12-processed-gene-12.46-mRNA-1_1&gene=genemark-CACA0S12-processed-gene-12.46&CDS=1-1281	YIR004W
OG0001571	genemark-CACA0S12-processed-gene-12.47-mRNA-1_1&gene=genemark-CACA0S12-processed-gene-12.47&CDS=1-408	YIR005W
OG0001572	genemark-CACA0S12-processed-gene-12.49-mRNA-1_1&gene=genemark-CACA0S12-processed-gene-12.49&CDS=1-4266	YIR006C
OG0001573	genemark-CACA0S12-processed-gene-12.48-mRNA-1_1&gene=genemark-CACA0S12-processed-gene-12.48&CDS=1-1197	YIR008C
OG0001574	augustus_masked-CACA0S12-processed-gene-12.5-mRNA-1_1&gene=augustus_masked-CACA0S12-processed-gene-12.5&CDS=1-2091	YIR007W
OG0001575	augustus_masked-CACA0S12-processed-gene-12.31-mRNA-1_1&gene=augustus_masked-CACA0S12-processed-gene-12.31&CDS=1-1107	YAL036C
OG0001576	genemark-CACA0S12-processed-gene-12.51-mRNA-1_1&gene=genemark-CACA0S12-processed-gene-12.51&CDS=1-2931	YAL035W
OG0001577	augustus_masked-CACA0S12-processed-gene-12.8-mRNA-1_1&gene=augustus_masked-CACA0S12-processed-gene-12.8&CDS=1-2394	YAL043C
OG0001578	genemark-CACA0S12-processed-gene-12.53-mRNA-1_1&gene=genemark-CACA0S12-processed-gene-12.53&CDS=1-519	YAL044C
OG0001579	genemark-CACA0S12-processed-gene-12.76-mRNA-1_1&gene=genemark-CACA0S12-processed-gene-12.76&CDS=1-348	YAL044W-A
OG0001580	genemark-CACA0S12-processed-gene-12.54-mRNA-1_1&gene=genemark-CACA0S12-processed-gene-12.54&CDS=1-327	YAL046C
OG0001581	snap_masked-CACA0S12-processed-gene-12.100-mRNA-1_1&gene=snap_masked-CACA0S12-processed-gene-12.100&CDS=1-2454	YAL047C
OG0001582	genemark-CACA0S12-processed-gene-12.56-mRNA-1_1&gene=genemark-CACA0S12-processed-gene-12.56&CDS=1-1950	YAL048C
OG0001583	genemark-CACA0S12-processed-gene-12.58-mRNA-1_1&gene=genemark-CACA0S12-processed-gene-12.58&CDS=1-1581	YBR286W
OG0001584	genemark-CACA0S12-processed-gene-12.59-mRNA-1_1&gene=genemark-CACA0S12-processed-gene-12.59&CDS=1-1272	YBR287W
OG0001585	augustus_masked-CACA0S12-processed-gene-12.34-mRNA-1_1&gene=augustus_masked-CACA0S12-processed-gene-12.34&CDS=1-783	YKR011C
OG0001586	genemark-CACA0S12-processed-gene-12.80-mRNA-1_1&gene=genemark-CACA0S12-processed-gene-12.80&CDS=1-642	YKR014C
OG0001587	snap_masked-CACA0S12-processed-gene-12.106-mRNA-1_1&gene=snap_masked-CACA0S12-processed-gene-12.106&CDS=1-1701	YKR016W
OG0001588	genemark-CACA0S12-processed-gene-12.81-mRNA-1_1&gene=genemark-CACA0S12-processed-gene-12.81&CDS=1-1596	YKR017C
OG0001589	snap_masked-CACA0S12-processed-gene-12.107-mRNA-1_1&gene=snap_masked-CACA0S12-processed-gene-12.107&CDS=1-477	YKR020W
OG0001590	genemark-CACA0S12-processed-gene-12.64-mRNA-1_1&gene=genemark-CACA0S12-processed-gene-12.64&CDS=1-915	YKR026C
OG0001591	genemark-CACA0S12-processed-gene-12.86-mRNA-1_1&gene=genemark-CACA0S12-processed-gene-12.86&CDS=1-684	YKR025W
OG0001592	genemark-CACA0S12-processed-gene-12.65-mRNA-1_1&gene=genemark-CACA0S12-processed-gene-12.65&CDS=1-2094	YKR024C
OG0001593	genemark-CACA0S12-processed-gene-12.87-mRNA-1_1&gene=genemark-CACA0S12-processed-gene-12.87&CDS=1-1503	YKR023W
OG0001594	genemark-CACA0S12-processed-gene-12.88-mRNA-1_1&gene=genemark-CACA0S12-processed-gene-12.88&CDS=1-2214	YKR029C
OG0001595	genemark-CACA0S12-processed-gene-12.66-mRNA-1_1&gene=genemark-CACA0S12-processed-gene-12.66&CDS=1-3159	YNL132W
OG0001596	genemark-CACA0S12-processed-gene-12.67-mRNA-1_1&gene=genemark-CACA0S12-processed-gene-12.67&CDS=1-414	YNL131W
OG0001597	maker-CACA0S12-augustus-gene-12.135-mRNA-1_1&gene=maker-CACA0S12-augustus-gene-12.135&CDS=1-702	YNL129W
OG0001598	genemark-CACA0S12-processed-gene-12.69-mRNA-1_1&gene=genemark-CACA0S12-processed-gene-12.69&CDS=1-1365	YNL128W
OG0001599	genemark-CACA0S12-processed-gene-12.70-mRNA-1_1&gene=genemark-CACA0S12-processed-gene-12.70&CDS=1-2970	YNL127W
OG0001600	snap_masked-CACA0S12-processed-gene-12.116-mRNA-1_1&gene=snap_masked-CACA0S12-processed-gene-12.116&CDS=1-2619	YNL126W
OG0001601	genemark-CACA0S12-processed-gene-12.72-mRNA-1_1&gene=genemark-CACA0S12-processed-gene-12.72&CDS=1-1953	YNL124W
OG0001602	genemark-CACA0S12-processed-gene-12.73-mRNA-1_1&gene=genemark-CACA0S12-processed-gene-12.73&CDS=1-2961	YNL123W
OG0001603	snap_masked-CACA0S12-processed-gene-13.102-mRNA-1_1&gene=snap_masked-CACA0S12-processed-gene-13.102&CDS=1-273	YNL122C
OG0001604	augustus_masked-CACA0S12-processed-gene-12.29-mRNA-1_1&gene=augustus_masked-CACA0S12-processed-gene-12.29&CDS=1-1422	YNL119W
OG0001605	genemark-CACA0S12-processed-gene-12.75-mRNA-1_1&gene=genemark-CACA0S12-processed-gene-12.75&CDS=1-780	YOR004W
OG0001606	genemark-CACA0S12-processed-gene-13.52-mRNA-1_1&gene=genemark-CACA0S12-processed-gene-13.52&CDS=1-2982	YOR005C
OG0001607	genemark-CACA0S12-processed-gene-13.53-mRNA-1_1&gene=genemark-CACA0S12-processed-gene-13.53&CDS=1-870	YOR006C
OG0001608	genemark-CACA0S12-processed-gene-13.54-mRNA-1_1&gene=genemark-CACA0S12-processed-gene-13.54&CDS=1-1002	YOR007C
OG0001609	genemark-CACA0S12-processed-gene-13.55-mRNA-1_1&gene=genemark-CACA0S12-processed-gene-13.55&CDS=1-1758	YLR267W
OG0001610	genemark-CACA0S12-processed-gene-13.48-mRNA-1_1&gene=genemark-CACA0S12-processed-gene-13.48&CDS=1-651	YLR268W
OG0001611	augustus_masked-CACA0S12-processed-gene-13.2-mRNA-1_1&gene=augustus_masked-CACA0S12-processed-gene-13.2&CDS=1-417	YLR271W
OG0001612	genemark-CACA0S12-processed-gene-13.56-mRNA-1_1&gene=genemark-CACA0S12-processed-gene-13.56&CDS=1-3519	YLR272C
OG0001613	genemark-CACA0S12-processed-gene-13.57-mRNA-1_1&gene=genemark-CACA0S12-processed-gene-13.57&CDS=1-1278	YIR012W
OG0001614	genemark-CACA0S12-processed-gene-13.58-mRNA-1_1&gene=genemark-CACA0S12-processed-gene-13.58&CDS=1-1125	YIL023C
OG0001615	genemark-CACA0S12-processed-gene-13.59-mRNA-1_1&gene=genemark-CACA0S12-processed-gene-13.59&CDS=1-3366	YIL026C
OG0001616	snap_masked-CACA0S12-processed-gene-13.112-mRNA-1_1&gene=snap_masked-CACA0S12-processed-gene-13.112&CDS=1-435	YIL027C
OG0001617	maker-CACA0S12-augustus-gene-13.162-mRNA-1_1&gene=maker-CACA0S12-augustus-gene-13.162&CDS=1-915	YGR036C
OG0001618	genemark-CACA0S12-processed-gene-13.61-mRNA-1_1&gene=genemark-CACA0S12-processed-gene-13.61&CDS=1-1098	YGR040W
OG0001619	augustus_masked-CACA0S12-processed-gene-13.14-mRNA-1_1&gene=augustus_masked-CACA0S12-processed-gene-13.14&CDS=1-777	YGR042W
OG0001620	augustus_masked-CACA0S12-processed-gene-13.15-mRNA-1_1&gene=augustus_masked-CACA0S12-processed-gene-13.15&CDS=1-1041	YGR052W
OG0001621	augustus_masked-CACA0S12-processed-gene-13.34-mRNA-1_1&gene=augustus_masked-CACA0S12-processed-gene-13.34&CDS=1-711	YGR053C
OG0001622	genemark-CACA0S12-processed-gene-13.65-mRNA-1_1&gene=genemark-CACA0S12-processed-gene-13.65&CDS=1-1860	YGR054W
OG0001623	genemark-CACA0S12-processed-gene-13.87-mRNA-1_1&gene=genemark-CACA0S12-processed-gene-13.87&CDS=1-708	YGR057C
OG0001624	genemark-CACA0S12-processed-gene-13.67-mRNA-1_1&gene=genemark-CACA0S12-processed-gene-13.67&CDS=1-1047	YGR058W
OG0001625	augustus_masked-CACA0S12-processed-gene-13.20-mRNA-1_1&gene=augustus_masked-CACA0S12-processed-gene-13.20&CDS=1-930	YGR060W
OG0001626	genemark-CACA0S12-processed-gene-13.70-mRNA-1_1&gene=genemark-CACA0S12-processed-gene-13.70&CDS=1-1596	YOR043W
OG0001627	snap_masked-CACA0S12-processed-gene-13.125-mRNA-1_1&gene=snap_masked-CACA0S12-processed-gene-13.125&CDS=1-186	YOR045W
OG0001628	genemark-CACA0S12-processed-gene-13.88-mRNA-1_1&gene=genemark-CACA0S12-processed-gene-13.88&CDS=1-1482	YOR046C
OG0001629	augustus_masked-CACA0S12-processed-gene-13.38-mRNA-1_1&gene=augustus_masked-CACA0S12-processed-gene-13.38&CDS=1-3021	YOR048C
OG0001630	augustus_masked-CACA0S12-processed-gene-13.39-mRNA-1_1&gene=augustus_masked-CACA0S12-processed-gene-13.39&CDS=1-1296	YOR049C
OG0001631	maker-CACA0S12-augustus-gene-13.163-mRNA-1_1&gene=maker-CACA0S12-augustus-gene-13.163&CDS=1-2328	YOR051C
OG0001632	genemark-CACA0S12-processed-gene-13.72-mRNA-1_1&gene=genemark-CACA0S12-processed-gene-13.72&CDS=1-1158	YOR057W
OG0001633	augustus_masked-CACA0S12-processed-gene-13.42-mRNA-1_1&gene=augustus_masked-CACA0S12-processed-gene-13.42&CDS=1-2601	YOR058C
OG0001634	genemark-CACA0S12-processed-gene-13.94-mRNA-1_1&gene=genemark-CACA0S12-processed-gene-13.94&CDS=1-1881	YKL185W
OG0001635	augustus_masked-CACA0S12-processed-gene-13.24-mRNA-1_1&gene=augustus_masked-CACA0S12-processed-gene-13.24&CDS=1-561	YKL186C
OG0001636	genemark-CACA0S12-processed-gene-13.75-mRNA-1_1&gene=genemark-CACA0S12-processed-gene-13.75&CDS=1-2334	YKL188C
OG0001637	genemark-CACA0S12-processed-gene-13.95-mRNA-1_1&gene=genemark-CACA0S12-processed-gene-13.95&CDS=1-1233	YKL189W
OG0001638	genemark-CACA0S12-processed-gene-13.96-mRNA-1_1&gene=genemark-CACA0S12-processed-gene-13.96&CDS=1-525	YKL190W
OG0001639	augustus_masked-CACA0S12-processed-gene-13.46-mRNA-1_1&gene=augustus_masked-CACA0S12-processed-gene-13.46&CDS=1-1530	YKL191W
OG0001640	genemark-CACA0S12-processed-gene-13.76-mRNA-1_1&gene=genemark-CACA0S12-processed-gene-13.76&CDS=1-417	YKL192C
OG0001641	maker-CACA0S12-augustus-gene-13.160-mRNA-1_1&gene=maker-CACA0S12-augustus-gene-13.160&CDS=1-2274	YKL194C
OG0001642	genemark-CACA0S12-processed-gene-13.79-mRNA-1_1&gene=genemark-CACA0S12-processed-gene-13.79&CDS=1-600	YKL196C
OG0001643	genemark-CACA0S12-processed-gene-13.80-mRNA-1_1&gene=genemark-CACA0S12-processed-gene-13.80&CDS=1-1737	YML054C
OG0001644	genemark-CACA0S12-processed-gene-13.98-mRNA-1_1&gene=genemark-CACA0S12-processed-gene-13.98&CDS=1-516	YML055W
OG0001645	genemark-CACA0S12-processed-gene-13.81-mRNA-1_1&gene=genemark-CACA0S12-processed-gene-13.81&CDS=1-1887	YLR429W
OG0001646	genemark-CACA0S12-processed-gene-14.90-mRNA-1_1&gene=genemark-CACA0S12-processed-gene-14.90&CDS=1-1710	YLR433C
OG0001647	genemark-CACA0S12-processed-gene-14.91-mRNA-1_1&gene=genemark-CACA0S12-processed-gene-14.91&CDS=1-243	YML058W
OG0001648	augustus_masked-CACA0S12-processed-gene-14.48-mRNA-1_1&gene=augustus_masked-CACA0S12-processed-gene-14.48&CDS=1-5031	YML059C
OG0001649	genemark-CACA0S12-processed-gene-14.92-mRNA-1_1&gene=genemark-CACA0S12-processed-gene-14.92&CDS=1-1371	YML060W
OG0001650	genemark-CACA0S12-processed-gene-14.89-mRNA-1_1&gene=genemark-CACA0S12-processed-gene-14.89&CDS=1-2691	YML061C
OG0001651	augustus_masked-CACA0S12-processed-gene-14.53-mRNA-1_1&gene=augustus_masked-CACA0S12-processed-gene-14.53&CDS=1-1092	YML062C
OG0001652	genemark-CACA0S12-processed-gene-14.94-mRNA-1_1&gene=genemark-CACA0S12-processed-gene-14.94&CDS=1-684	YML064C
OG0001653	genemark-CACA0S12-processed-gene-14.115-mRNA-1_1&gene=genemark-CACA0S12-processed-gene-14.115&CDS=1-2931	YML065W
OG0001654	genemark-CACA0S12-processed-gene-14.95-mRNA-1_1&gene=genemark-CACA0S12-processed-gene-14.95&CDS=1-1107	YML066C
OG0001655	genemark-CACA0S12-processed-gene-14.96-mRNA-1_1&gene=genemark-CACA0S12-processed-gene-14.96&CDS=1-1071	YML067C
OG0001656	maker-CACA0S12-augustus-gene-14.0-mRNA-1_1&gene=maker-CACA0S12-augustus-gene-14.0&CDS=1-3414	YML069W
OG0001657	genemark-CACA0S12-processed-gene-14.97-mRNA-1_1&gene=genemark-CACA0S12-processed-gene-14.97&CDS=1-1800	YML071C
OG0001658	genemark-CACA0S12-processed-gene-14.98-mRNA-1_1&gene=genemark-CACA0S12-processed-gene-14.98&CDS=1-4809	YML072C
OG0001659	genemark-CACA0S12-processed-gene-14.99-mRNA-1_1&gene=genemark-CACA0S12-processed-gene-14.99&CDS=1-519	YML073C
OG0001660	genemark-CACA0S12-processed-gene-14.100-mRNA-1_1&gene=genemark-CACA0S12-processed-gene-14.100&CDS=1-1191	YLR449W
OG0001661	genemark-CACA0S12-processed-gene-14.101-mRNA-1_1&gene=genemark-CACA0S12-processed-gene-14.101&CDS=1-3225	YML075C
OG0001662	genemark-CACA0S12-processed-gene-14.102-mRNA-1_1&gene=genemark-CACA0S12-processed-gene-14.102&CDS=1-2622	YML076C
OG0001663	genemark-CACA0S12-processed-gene-14.118-mRNA-1_1&gene=genemark-CACA0S12-processed-gene-14.118&CDS=1-303	YML077W
OG0001664	genemark-CACA0S12-processed-gene-14.119-mRNA-1_1&gene=genemark-CACA0S12-processed-gene-14.119&CDS=1-1176	YJR125C
OG0001665	maker-CACA0S12-augustus-gene-14.1-mRNA-1_1&gene=maker-CACA0S12-augustus-gene-14.1&CDS=1-5169	YML081W
OG0001666	snap_masked-CACA0S12-processed-gene-14.19-mRNA-1_1&gene=snap_masked-CACA0S12-processed-gene-14.19&CDS=1-186	YML081C-A
OG0001667	genemark-CACA0S12-processed-gene-14.103-mRNA-1_1&gene=genemark-CACA0S12-processed-gene-14.103&CDS=1-1587	YML086C
OG0001668	augustus_masked-CACA0S12-processed-gene-14.82-mRNA-1_1&gene=augustus_masked-CACA0S12-processed-gene-14.82&CDS=1-1977	YML088W
OG0001669	snap_masked-CACA0S12-processed-gene-14.22-mRNA-1_1&gene=snap_masked-CACA0S12-processed-gene-14.22&CDS=1-1392	YML126C
OG0001670	augustus_masked-CACA0S12-processed-gene-14.64-mRNA-1_1&gene=augustus_masked-CACA0S12-processed-gene-14.64&CDS=1-3942	YML091C
OG0001671	genemark-CACA0S12-processed-gene-14.105-mRNA-1_1&gene=genemark-CACA0S12-processed-gene-14.105&CDS=1-750	YML092C
OG0001672	genemark-CACA0S12-processed-gene-14.125-mRNA-1_1&gene=genemark-CACA0S12-processed-gene-14.125&CDS=1-2724	YML093W
OG0001673	genemark-CACA0S12-processed-gene-14.126-mRNA-1_1&gene=genemark-CACA0S12-processed-gene-14.126&CDS=1-1539	YML096W
OG0001674	genemark-CACA0S12-processed-gene-14.106-mRNA-1_1&gene=genemark-CACA0S12-processed-gene-14.106&CDS=1-1371	YML097C
OG0001675	snap_masked-CACA0S12-processed-gene-14.26-mRNA-1_1&gene=snap_masked-CACA0S12-processed-gene-14.26&CDS=1-1731	YML130C
OG0001676	genemark-CACA0S12-processed-gene-14.127-mRNA-1_1&gene=genemark-CACA0S12-processed-gene-14.127&CDS=1-498	YML098W
OG0001677	genemark-CACA0S12-processed-gene-14.108-mRNA-1_1&gene=genemark-CACA0S12-processed-gene-14.108&CDS=1-2337	YML099C
OG0001678	augustus_masked-CACA0S12-processed-gene-14.69-mRNA-1_1&gene=augustus_masked-CACA0S12-processed-gene-14.69&CDS=1-2535	YHR172W
OG0001679	genemark-CACA0S12-processed-gene-14.111-mRNA-1_1&gene=genemark-CACA0S12-processed-gene-14.111&CDS=1-456	YHR175W
OG0001680	genemark-CACA0S12-processed-gene-14.112-mRNA-1_1&gene=genemark-CACA0S12-processed-gene-14.112&CDS=1-1281	YHR176W
OG0001681	augustus_masked-CACA0S12-processed-gene-14.72-mRNA-1_1&gene=augustus_masked-CACA0S12-processed-gene-14.72&CDS=1-2757	YHR178W
OG0001682	genemark-CACA0S12-processed-gene-15.3-mRNA-1_1&gene=genemark-CACA0S12-processed-gene-15.3&CDS=1-1467	YHR183W
OG0001683	augustus_masked-CACA0S12-processed-gene-15.43-mRNA-1_1&gene=augustus_masked-CACA0S12-processed-gene-15.43&CDS=1-1983	YHR184W
OG0001684	augustus_masked-CACA0S12-processed-gene-15.44-mRNA-1_1&gene=augustus_masked-CACA0S12-processed-gene-15.44&CDS=1-879	YHR185C
OG0001685	genemark-CACA0S12-processed-gene-15.6-mRNA-1_1&gene=genemark-CACA0S12-processed-gene-15.6&CDS=1-4689	YHR186C
OG0001686	genemark-CACA0S12-processed-gene-15.7-mRNA-1_1&gene=genemark-CACA0S12-processed-gene-15.7&CDS=1-915	YHR187W
OG0001687	genemark-CACA0S12-processed-gene-15.27-mRNA-1_1&gene=genemark-CACA0S12-processed-gene-15.27&CDS=1-1824	YHR188C
OG0001688	genemark-CACA0S12-processed-gene-15.8-mRNA-1_1&gene=genemark-CACA0S12-processed-gene-15.8&CDS=1-2670	YMR288W
OG0001689	augustus_masked-CACA0S12-processed-gene-15.48-mRNA-1_1&gene=augustus_masked-CACA0S12-processed-gene-15.48&CDS=1-1074	YMR289W
OG0001690	genemark-CACA0S12-processed-gene-15.28-mRNA-1_1&gene=genemark-CACA0S12-processed-gene-15.28&CDS=1-1491	YMR290C
OG0001691	genemark-CACA0S12-processed-gene-15.10-mRNA-1_1&gene=genemark-CACA0S12-processed-gene-15.10&CDS=1-1809	YMR291W
OG0001692	genemark-CACA0S12-processed-gene-15.11-mRNA-1_1&gene=genemark-CACA0S12-processed-gene-15.11&CDS=1-1080	YMR024W
OG0001693	genemark-CACA0S12-processed-gene-15.30-mRNA-1_1&gene=genemark-CACA0S12-processed-gene-15.30&CDS=1-1173	YMR026C
OG0001694	genemark-CACA0S12-processed-gene-15.12-mRNA-1_1&gene=genemark-CACA0S12-processed-gene-15.12&CDS=1-1395	YMR027W
OG0001695	genemark-CACA0S12-processed-gene-15.13-mRNA-1_1&gene=genemark-CACA0S12-processed-gene-15.13&CDS=1-1113	YMR028W
OG0001696	snap_masked-CACA0S12-processed-gene-15.106-mRNA-1_1&gene=snap_masked-CACA0S12-processed-gene-15.106&CDS=1-1536	YMR029C
OG0001697	augustus_masked-CACA0S12-processed-gene-15.66-mRNA-1_1&gene=augustus_masked-CACA0S12-processed-gene-15.66&CDS=1-2607	YMR031C
