	Saccharomyces_cerevisiae	yHMPu5000035044_Barnettozyma_californica
OG0000869	YDL164C	genemark-flattened_line_0-processed-gene-9.46-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-9.46&CDS=1-2082
OG0000870	YDL165W	genemark-flattened_line_72-processed-gene-0.82-mRNA-1_1&gene=genemark-flattened_line_72-processed-gene-0.82&CDS=1-915
OG0000871	YDL166C	genemark-flattened_line_72-processed-gene-0.95-mRNA-1_1&gene=genemark-flattened_line_72-processed-gene-0.95&CDS=1-570
OG0000872	YDL167C	genemark-flattened_line_38-processed-gene-0.216-mRNA-1_1&gene=genemark-flattened_line_38-processed-gene-0.216&CDS=1-1773
OG0000873	YDL168W	genemark-flattened_line_38-processed-gene-0.180-mRNA-1_1&gene=genemark-flattened_line_38-processed-gene-0.180&CDS=1-1143
OG0000874	YDL169C	snap_masked-flattened_line_24-processed-gene-2.31-mRNA-1_1&gene=snap_masked-flattened_line_24-processed-gene-2.31&CDS=1-657
OG0000875	YDL170W	genemark-flattened_line_18-processed-gene-0.108-mRNA-1_1&gene=genemark-flattened_line_18-processed-gene-0.108&CDS=1-2343
OG0000876	YDL171C	augustus_masked-flattened_line_18-processed-gene-0.66-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-0.66&CDS=1-7536
OG0000877	YDL177C	genemark-flattened_line_36-processed-gene-0.43-mRNA-1_1&gene=genemark-flattened_line_36-processed-gene-0.43&CDS=1-483
OG0000878	YDL178W	genemark-flattened_line_36-processed-gene-0.20-mRNA-1_1&gene=genemark-flattened_line_36-processed-gene-0.20&CDS=1-1584
OG0000879	YDL185W	maker-flattened_line_0-augustus-gene-3.100-mRNA-1_1&gene=maker-flattened_line_0-augustus-gene-3.100&CDS=1-2730
OG0000880	YDL189W	genemark-flattened_line_8-processed-gene-4.18-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-4.18&CDS=1-1308
OG0000881	YDL190C	genemark-flattened_line_8-processed-gene-4.56-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-4.56&CDS=1-3099
OG0000882	YDL193W	snap_masked-flattened_line_8-processed-gene-4.167-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-4.167&CDS=1-903
OG0000883	YDL195W	genemark-flattened_line_12-processed-gene-2.29-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-2.29&CDS=1-3717
OG0000884	YDL198C	genemark-flattened_line_4-processed-gene-7.193-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-7.193&CDS=1-906
OG0000885	YDL201W	genemark-flattened_line_80-processed-gene-0.50-mRNA-1_1&gene=genemark-flattened_line_80-processed-gene-0.50&CDS=1-864
OG0000886	YDL202W	genemark-flattened_line_4-processed-gene-7.147-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-7.147&CDS=1-693
OG0000887	YDL203C	genemark-flattened_line_4-processed-gene-7.133-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-7.133&CDS=1-1476
OG0000888	YDL205C	genemark-flattened_line_26-processed-gene-2.116-mRNA-1_1&gene=genemark-flattened_line_26-processed-gene-2.116&CDS=1-1254
OG0000889	YDL206W	genemark-flattened_line_10-processed-gene-2.79-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-2.79&CDS=1-1947
OG0000890	YDL207W	genemark-flattened_line_4-processed-gene-2.59-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-2.59&CDS=1-1578
OG0000891	YDL208W	genemark-flattened_line_4-processed-gene-2.76-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-2.76&CDS=1-438
OG0000892	YDL209C	genemark-flattened_line_26-processed-gene-2.115-mRNA-1_1&gene=genemark-flattened_line_26-processed-gene-2.115&CDS=1-981
OG0000893	YDL212W	genemark-flattened_line_0-processed-gene-6.93-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-6.93&CDS=1-678
OG0000894	YDL213C	genemark-flattened_line_0-processed-gene-6.95-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-6.95&CDS=1-645
OG0000895	YDL215C	genemark-flattened_line_0-processed-gene-6.71-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-6.71&CDS=1-3054
OG0000896	YDL216C	genemark-flattened_line_0-processed-gene-5.52-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-5.52&CDS=1-1635
OG0000897	YDL217C	genemark-flattened_line_183-processed-gene-0.0-mRNA-1_1&gene=genemark-flattened_line_183-processed-gene-0.0&CDS=1-555
OG0000898	YDL225W	genemark-flattened_line_14-processed-gene-3.172-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-3.172&CDS=1-1542
OG0000899	YDL226C	genemark-flattened_line_6-processed-gene-3.109-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-3.109&CDS=1-1110
OG0000900	YDL230W	genemark-flattened_line_78-processed-gene-0.5-mRNA-1_1&gene=genemark-flattened_line_78-processed-gene-0.5&CDS=1-837
OG0000901	YDL231C	augustus_masked-flattened_line_10-processed-gene-2.49-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-2.49&CDS=1-3192
OG0000902	YDL233W	snap_masked-flattened_line_10-processed-gene-2.120-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-2.120&CDS=1-1971
OG0000903	YDL234C	genemark-flattened_line_10-processed-gene-2.94-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-2.94&CDS=1-2121
OG0000904	YDL235C	genemark-flattened_line_8-processed-gene-3.97-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-3.97&CDS=1-390
OG0000905	YDL236W	genemark-flattened_line_8-processed-gene-3.70-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-3.70&CDS=1-882
OG0000906	YDL238C	genemark-flattened_line_8-processed-gene-3.68-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-3.68&CDS=1-1368
OG0000907	YDL240W	genemark-flattened_line_0-processed-gene-6.88-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-6.88&CDS=1-3645
OG0000908	YDR001C	genemark-flattened_line_16-processed-gene-2.104-mRNA-1_1&gene=genemark-flattened_line_16-processed-gene-2.104&CDS=1-2274
OG0000909	YDR004W	snap_masked-flattened_line_80-processed-gene-0.11-mRNA-1_1&gene=snap_masked-flattened_line_80-processed-gene-0.11&CDS=1-1116
OG0000910	YDR005C	genemark-flattened_line_80-processed-gene-0.66-mRNA-1_1&gene=genemark-flattened_line_80-processed-gene-0.66&CDS=1-969
OG0000911	YDR006C	genemark-flattened_line_132-processed-gene-0.6-mRNA-1_1&gene=genemark-flattened_line_132-processed-gene-0.6&CDS=1-2013
OG0000912	YDR007W	genemark-flattened_line_34-processed-gene-0.96-mRNA-1_1&gene=genemark-flattened_line_34-processed-gene-0.96&CDS=1-696
OG0000913	YDR011W	genemark-flattened_line_6-processed-gene-2.92-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-2.92&CDS=1-4428
OG0000914	YDR013W	genemark-flattened_line_46-processed-gene-0.152-mRNA-1_1&gene=genemark-flattened_line_46-processed-gene-0.152&CDS=1-564
OG0000915	YDR016C	genemark-flattened_line_16-processed-gene-3.30-mRNA-1_1&gene=genemark-flattened_line_16-processed-gene-3.30&CDS=1-441
OG0000916	YDR017C	genemark-flattened_line_22-processed-gene-1.82-mRNA-1_1&gene=genemark-flattened_line_22-processed-gene-1.82&CDS=1-2295
OG0000917	YDR019C	genemark-flattened_line_10-processed-gene-1.68-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-1.68&CDS=1-1170
OG0000918	YDR020C	genemark-flattened_line_10-processed-gene-1.92-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-1.92&CDS=1-585
OG0000919	YDR021W	genemark-flattened_line_10-processed-gene-1.67-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-1.67&CDS=1-1188
OG0000920	YDR023W	genemark-flattened_line_10-processed-gene-1.80-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-1.80&CDS=1-1374
OG0000921	YDR026C	genemark-flattened_line_0-processed-gene-4.72-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-4.72&CDS=1-1647
OG0000922	YDR027C	genemark-flattened_line_0-processed-gene-4.73-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-4.73&CDS=1-2547
OG0000923	YDR028C	genemark-flattened_line_0-processed-gene-4.74-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-4.74&CDS=1-2208
OG0000924	YDR030C	genemark-flattened_line_10-processed-gene-1.82-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-1.82&CDS=1-1164
OG0000925	YDR031W	genemark-flattened_line_30-processed-gene-1.253-mRNA-1_1&gene=genemark-flattened_line_30-processed-gene-1.253&CDS=1-321
OG0000926	YDR034C	genemark-flattened_line_24-processed-gene-2.163-mRNA-1_1&gene=genemark-flattened_line_24-processed-gene-2.163&CDS=1-1782
OG0000927	YDR035W	genemark-flattened_line_22-processed-gene-2.139-mRNA-1_1&gene=genemark-flattened_line_22-processed-gene-2.139&CDS=1-1092
OG0000928	YDR036C	genemark-flattened_line_6-processed-gene-4.206-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-4.206&CDS=1-1398
OG0000929	YDR037W	genemark-flattened_line_6-processed-gene-4.198-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-4.198&CDS=1-1755
OG0000930	YDR041W	genemark-flattened_line_6-processed-gene-4.197-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-4.197&CDS=1-807
OG0000931	YDR043C	snap_masked-flattened_line_6-processed-gene-4.62-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-4.62&CDS=1-726
OG0000932	YDR044W	genemark-flattened_line_6-processed-gene-4.205-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-4.205&CDS=1-963
OG0000933	YDR045C	genemark-flattened_line_6-processed-gene-4.238-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-4.238&CDS=1-303
OG0000934	YDR047W	genemark-flattened_line_46-processed-gene-0.196-mRNA-1_1&gene=genemark-flattened_line_46-processed-gene-0.196&CDS=1-1083
OG0000935	YDR049W	genemark-flattened_line_46-processed-gene-0.195-mRNA-1_1&gene=genemark-flattened_line_46-processed-gene-0.195&CDS=1-1818
OG0000936	YDR050C	genemark-flattened_line_6-processed-gene-4.201-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-4.201&CDS=1-1290
OG0000937	YDR051C	snap_masked-flattened_line_6-processed-gene-4.58-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-4.58&CDS=1-846
OG0000938	YDR054C	genemark-flattened_line_14-processed-gene-3.93-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-3.93&CDS=1-723
OG0000939	YDR057W	snap_masked-flattened_line_10-processed-gene-0.143-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-0.143&CDS=1-1296
OG0000940	YDR058C	genemark-flattened_line_95-processed-gene-0.28-mRNA-1_1&gene=genemark-flattened_line_95-processed-gene-0.28&CDS=1-1230
OG0000941	YDR060W	genemark-flattened_line_10-processed-gene-0.42-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-0.42&CDS=1-3135
OG0000942	YDR061W	genemark-flattened_line_20-processed-gene-2.181-mRNA-1_1&gene=genemark-flattened_line_20-processed-gene-2.181&CDS=1-2289
OG0000943	YDR062W	genemark-flattened_line_4-processed-gene-6.11-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-6.11&CDS=1-1689
OG0000944	YDR064W	maker-flattened_line_20-augustus-gene-2.3-mRNA-1_1&gene=maker-flattened_line_20-augustus-gene-2.3&CDS=1-825
OG0000945	YDR067C	genemark-flattened_line_6-processed-gene-2.66-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-2.66&CDS=1-570
OG0000946	YDR071C	augustus_masked-flattened_line_6-processed-gene-2.12-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-2.12&CDS=1-639
OG0000947	YDR072C	genemark-flattened_line_16-processed-gene-2.68-mRNA-1_1&gene=genemark-flattened_line_16-processed-gene-2.68&CDS=1-1302
OG0000948	YDR074W	genemark-flattened_line_20-processed-gene-2.134-mRNA-1_1&gene=genemark-flattened_line_20-processed-gene-2.134&CDS=1-2604
OG0000949	YDR075W	genemark-flattened_line_20-processed-gene-2.132-mRNA-1_1&gene=genemark-flattened_line_20-processed-gene-2.132&CDS=1-918
OG0000950	YDR079C-A	genemark-flattened_line_6-processed-gene-0.48-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-0.48&CDS=1-801
OG0000951	YDR079W	genemark-flattened_line_6-processed-gene-0.47-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-0.47&CDS=1-318
OG0000952	YDR080W	genemark-flattened_line_18-processed-gene-3.69-mRNA-1_1&gene=genemark-flattened_line_18-processed-gene-3.69&CDS=1-2736
OG0000953	YDR081C	genemark-flattened_line_6-processed-gene-0.70-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-0.70&CDS=1-1965
OG0000954	YDR083W	genemark-flattened_line_6-processed-gene-0.74-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-0.74&CDS=1-1194
OG0000955	YDR086C	snap_masked-flattened_line_0-processed-gene-7.11-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-7.11&CDS=1-204
OG0000956	YDR087C	genemark-flattened_line_0-processed-gene-7.116-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-7.116&CDS=1-873
OG0000957	YDR088C	genemark-flattened_line_0-processed-gene-7.138-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-7.138&CDS=1-1071
OG0000958	YDR090C	genemark-flattened_line_0-processed-gene-7.142-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-7.142&CDS=1-735
OG0000959	YDR091C	genemark-flattened_line_0-processed-gene-7.144-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-7.144&CDS=1-1833
OG0000960	YDR097C	genemark-flattened_line_18-processed-gene-3.58-mRNA-1_1&gene=genemark-flattened_line_18-processed-gene-3.58&CDS=1-3714
OG0000961	YDR100W	genemark-flattened_line_0-processed-gene-3.82-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-3.82&CDS=1-393
OG0000962	YDR101C	genemark-flattened_line_22-processed-gene-0.86-mRNA-1_1&gene=genemark-flattened_line_22-processed-gene-0.86&CDS=1-1752
OG0000963	YDR103W	snap_masked-flattened_line_22-processed-gene-0.12-mRNA-1_1&gene=snap_masked-flattened_line_22-processed-gene-0.12&CDS=1-2628
OG0000964	YDR104C	genemark-flattened_line_22-processed-gene-0.67-mRNA-1_1&gene=genemark-flattened_line_22-processed-gene-0.67&CDS=1-3381
OG0000965	YDR105C	augustus_masked-flattened_line_0-processed-gene-2.88-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-2.88&CDS=1-1416
OG0000966	YDR106W	genemark-flattened_line_0-processed-gene-2.26-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-2.26&CDS=1-1068
OG0000967	YDR108W	genemark-flattened_line_0-processed-gene-2.42-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-2.42&CDS=1-1923
OG0000968	YDR109C	genemark-flattened_line_0-processed-gene-2.21-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-2.21&CDS=1-2154
OG0000969	YDR111C	genemark-flattened_line_76-processed-gene-0.31-mRNA-1_1&gene=genemark-flattened_line_76-processed-gene-0.31&CDS=1-1548
OG0000970	YDR116C	augustus_masked-flattened_line_76-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-flattened_line_76-processed-gene-0.34&CDS=1-1152
OG0000971	YDR117C	genemark-flattened_line_76-processed-gene-0.5-mRNA-1_1&gene=genemark-flattened_line_76-processed-gene-0.5&CDS=1-1737
OG0000972	YDR118W	augustus_masked-flattened_line_76-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-flattened_line_76-processed-gene-0.36&CDS=1-1824
OG0000973	YDR120C	genemark-flattened_line_18-processed-gene-3.27-mRNA-1_1&gene=genemark-flattened_line_18-processed-gene-3.27&CDS=1-1503
OG0000974	YDR121W	genemark-flattened_line_4-processed-gene-0.102-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-0.102&CDS=1-555
OG0000975	YDR124W	snap_masked-flattened_line_4-processed-gene-0.9-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-0.9&CDS=1-960
OG0000976	YDR127W	genemark-flattened_line_12-processed-gene-0.105-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-0.105&CDS=1-4599
OG0000977	YDR128W	genemark-flattened_line_4-processed-gene-0.116-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-0.116&CDS=1-3030
OG0000978	YDR129C	genemark-flattened_line_97-processed-gene-0.22-mRNA-1_1&gene=genemark-flattened_line_97-processed-gene-0.22&CDS=1-1878
OG0000979	YDR137W	genemark-flattened_line_20-processed-gene-2.199-mRNA-1_1&gene=genemark-flattened_line_20-processed-gene-2.199&CDS=1-1752
OG0000980	YDR140W	genemark-flattened_line_76-processed-gene-0.13-mRNA-1_1&gene=genemark-flattened_line_76-processed-gene-0.13&CDS=1-651
OG0000981	YDR141C	snap_masked-flattened_line_76-processed-gene-0.88-mRNA-1_1&gene=snap_masked-flattened_line_76-processed-gene-0.88&CDS=1-5046
OG0000982	YDR142C	genemark-flattened_line_76-processed-gene-0.26-mRNA-1_1&gene=genemark-flattened_line_76-processed-gene-0.26&CDS=1-1047
OG0000983	YDR143C	snap_masked-flattened_line_8-processed-gene-1.102-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-1.102&CDS=1-2067
OG0000984	YDR145W	genemark-flattened_line_0-processed-gene-7.133-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-7.133&CDS=1-1809
OG0000985	YDR148C	genemark-flattened_line_8-processed-gene-3.100-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-3.100&CDS=1-1302
OG0000986	YDR150W	genemark-flattened_line_38-processed-gene-0.231-mRNA-1_1&gene=genemark-flattened_line_38-processed-gene-0.231&CDS=1-9060
OG0000987	YDR152W	genemark-flattened_line_16-processed-gene-3.25-mRNA-1_1&gene=genemark-flattened_line_16-processed-gene-3.25&CDS=1-693
OG0000988	YDR155C	genemark-flattened_line_16-processed-gene-3.31-mRNA-1_1&gene=genemark-flattened_line_16-processed-gene-3.31&CDS=1-486
OG0000989	YDR158W	genemark-flattened_line_76-processed-gene-0.23-mRNA-1_1&gene=genemark-flattened_line_76-processed-gene-0.23&CDS=1-1089
OG0000990	YDR159W	genemark-flattened_line_42-processed-gene-0.8-mRNA-1_1&gene=genemark-flattened_line_42-processed-gene-0.8&CDS=1-3441
OG0000991	YDR160W	genemark-flattened_line_18-processed-gene-3.24-mRNA-1_1&gene=genemark-flattened_line_18-processed-gene-3.24&CDS=1-2301
OG0000992	YDR161W	genemark-flattened_line_16-processed-gene-3.67-mRNA-1_1&gene=genemark-flattened_line_16-processed-gene-3.67&CDS=1-1104
OG0000993	YDR162C	genemark-flattened_line_16-processed-gene-3.24-mRNA-1_1&gene=genemark-flattened_line_16-processed-gene-3.24&CDS=1-432
OG0000994	YDR164C	genemark-flattened_line_16-processed-gene-3.32-mRNA-1_1&gene=genemark-flattened_line_16-processed-gene-3.32&CDS=1-2058
OG0000995	YDR165W	genemark-flattened_line_16-processed-gene-3.27-mRNA-1_1&gene=genemark-flattened_line_16-processed-gene-3.27&CDS=1-1269
OG0000996	YDR166C	genemark-flattened_line_6-processed-gene-0.55-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-0.55&CDS=1-2574
OG0000997	YDR167W	genemark-flattened_line_6-processed-gene-0.57-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-0.57&CDS=1-588
OG0000998	YDR168W	genemark-flattened_line_0-processed-gene-2.27-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-2.27&CDS=1-1503
OG0000999	YDR169C	genemark-flattened_line_28-processed-gene-1.59-mRNA-1_1&gene=genemark-flattened_line_28-processed-gene-1.59&CDS=1-1152
OG0001000	YDR170C	snap_masked-flattened_line_28-processed-gene-1.283-mRNA-1_1&gene=snap_masked-flattened_line_28-processed-gene-1.283&CDS=1-5448
OG0001001	YDR171W	genemark-flattened_line_12-processed-gene-2.42-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-2.42&CDS=1-1023
OG0001002	YDR172W	genemark-flattened_line_12-processed-gene-2.23-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-2.23&CDS=1-2067
OG0001003	YDR173C	genemark-flattened_line_12-processed-gene-2.43-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-2.43&CDS=1-984
OG0001004	YDR175C	maker-flattened_line_28-augustus-gene-0.56-mRNA-1_1&gene=maker-flattened_line_28-augustus-gene-0.56&CDS=1-1653
OG0001005	YDR176W	genemark-flattened_line_28-processed-gene-0.117-mRNA-1_1&gene=genemark-flattened_line_28-processed-gene-0.117&CDS=1-2109
OG0001006	YDR177W	genemark-flattened_line_32-processed-gene-1.86-mRNA-1_1&gene=genemark-flattened_line_32-processed-gene-1.86&CDS=1-633
OG0001007	YDR179W-A	snap_masked-flattened_line_14-processed-gene-2.31-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-2.31&CDS=1-1353
OG0001008	YDR180W	snap_masked-flattened_line_14-processed-gene-2.30-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-2.30&CDS=1-4443
OG0001009	YDR181C	genemark-flattened_line_14-processed-gene-2.101-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-2.101&CDS=1-864
OG0001010	YDR182W	genemark-flattened_line_2-processed-gene-2.159-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-2.159&CDS=1-1287
OG0001011	YDR183W	genemark-flattened_line_2-processed-gene-2.158-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-2.158&CDS=1-630
OG0001012	YDR188W	genemark-flattened_line_2-processed-gene-0.32-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-0.32&CDS=1-1638
OG0001013	YDR189W	snap_masked-flattened_line_2-processed-gene-0.130-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-0.130&CDS=1-1911
OG0001014	YDR190C	genemark-flattened_line_2-processed-gene-0.8-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-0.8&CDS=1-1371
OG0001015	YDR191W	snap_masked-flattened_line_2-processed-gene-0.129-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-0.129&CDS=1-1275
OG0001016	YDR194C	genemark-flattened_line_2-processed-gene-0.25-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-0.25&CDS=1-1947
OG0001017	YDR196C	augustus_masked-flattened_line_2-processed-gene-0.74-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-0.74&CDS=1-693
OG0001018	YDR197W	snap_masked-flattened_line_2-processed-gene-0.105-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-0.105&CDS=1-1077
OG0001019	YDR198C	genemark-flattened_line_2-processed-gene-0.27-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-0.27&CDS=1-1245
OG0001020	YDR202C	genemark-flattened_line_16-processed-gene-2.100-mRNA-1_1&gene=genemark-flattened_line_16-processed-gene-2.100&CDS=1-945
OG0001021	YDR204W	genemark-flattened_line_16-processed-gene-2.73-mRNA-1_1&gene=genemark-flattened_line_16-processed-gene-2.73&CDS=1-834
OG0001022	YDR205W	genemark-flattened_line_16-processed-gene-2.70-mRNA-1_1&gene=genemark-flattened_line_16-processed-gene-2.70&CDS=1-2040
OG0001023	YDR208W	genemark-flattened_line_6-processed-gene-0.54-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-0.54&CDS=1-1989
OG0001024	YDR211W	genemark-flattened_line_4-processed-gene-0.94-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-0.94&CDS=1-1902
OG0001025	YDR212W	genemark-flattened_line_4-processed-gene-0.96-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-0.96&CDS=1-1677
OG0001026	YDR214W	genemark-flattened_line_4-processed-gene-0.97-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-0.97&CDS=1-2850
OG0001027	YDR216W	genemark-flattened_line_18-processed-gene-3.43-mRNA-1_1&gene=genemark-flattened_line_18-processed-gene-3.43&CDS=1-3267
OG0001028	YDR217C	snap_masked-flattened_line_18-processed-gene-3.220-mRNA-1_1&gene=snap_masked-flattened_line_18-processed-gene-3.220&CDS=1-3144
OG0001029	YDR221W	genemark-flattened_line_18-processed-gene-3.64-mRNA-1_1&gene=genemark-flattened_line_18-processed-gene-3.64&CDS=1-1791
OG0001030	YDR226W	augustus_masked-flattened_line_68-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-flattened_line_68-processed-gene-0.54&CDS=1-600
OG0001031	YDR228C	genemark-flattened_line_4-processed-gene-7.148-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-7.148&CDS=1-1836
OG0001032	YDR229W	genemark-flattened_line_4-processed-gene-7.192-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-7.192&CDS=1-1401
OG0001033	YDR231C	genemark-flattened_line_4-processed-gene-7.145-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-7.145&CDS=1-603
OG0001034	YDR232W	genemark-flattened_line_24-processed-gene-2.177-mRNA-1_1&gene=genemark-flattened_line_24-processed-gene-2.177&CDS=1-1680
OG0001035	YDR233C	genemark-flattened_line_24-processed-gene-2.142-mRNA-1_1&gene=genemark-flattened_line_24-processed-gene-2.142&CDS=1-912
OG0001036	YDR234W	genemark-flattened_line_4-processed-gene-2.57-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-2.57&CDS=1-2013
OG0001037	YDR235W	genemark-flattened_line_26-processed-gene-2.84-mRNA-1_1&gene=genemark-flattened_line_26-processed-gene-2.84&CDS=1-1539
OG0001038	YDR236C	genemark-flattened_line_4-processed-gene-2.60-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-2.60&CDS=1-594
OG0001039	YDR237W	genemark-flattened_line_4-processed-gene-2.58-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-2.58&CDS=1-888
OG0001040	YDR238C	maker-flattened_line_4-augustus-gene-2.3-mRNA-1_1&gene=maker-flattened_line_4-augustus-gene-2.3&CDS=1-6285
OG0001041	YDR243C	genemark-flattened_line_26-processed-gene-2.80-mRNA-1_1&gene=genemark-flattened_line_26-processed-gene-2.80&CDS=1-1797
OG0001042	YDR244W	genemark-flattened_line_26-processed-gene-2.114-mRNA-1_1&gene=genemark-flattened_line_26-processed-gene-2.114&CDS=1-1746
OG0001043	YDR245W	maker-flattened_line_20-snap-gene-2.230-mRNA-1_1&gene=maker-flattened_line_20-snap-gene-2.230&CDS=1-2061
OG0001044	YDR246W	genemark-flattened_line_4-processed-gene-2.62-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-2.62&CDS=1-456
OG0001045	YDR248C	genemark-flattened_line_6-processed-gene-3.141-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-3.141&CDS=1-540
OG0001046	YDR254W	genemark-flattened_line_4-processed-gene-7.189-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-7.189&CDS=1-1307
OG0001047	YDR257C	genemark-flattened_line_16-processed-gene-3.78-mRNA-1_1&gene=genemark-flattened_line_16-processed-gene-3.78&CDS=1-1434
OG0001048	YDR258C	augustus_masked-flattened_line_32-processed-gene-1.136-mRNA-1_1&gene=augustus_masked-flattened_line_32-processed-gene-1.136&CDS=1-2271
