	Metschnikowia_similis	Saccharomyces_cerevisiae
OG0000724	genemark-sim-_s121-processed-gene-1.133-mRNA-1_1&gene=genemark-sim-_s121-processed-gene-1.133&CDS=1-318	YBL001C
OG0000725	genemark-sim-_s121-processed-gene-1.134-mRNA-1_1&gene=genemark-sim-_s121-processed-gene-1.134&CDS=1-1092	YCR002C
OG0000726	augustus_masked-sim-_s121-processed-gene-1.19-mRNA-1_1&gene=augustus_masked-sim-_s121-processed-gene-1.19&CDS=1-588	YCR003W
OG0000727	augustus_masked-sim-_s121-processed-gene-1.21-mRNA-1_1&gene=augustus_masked-sim-_s121-processed-gene-1.21&CDS=1-675	YBR035C
OG0000728	augustus_masked-sim-_s121-processed-gene-1.38-mRNA-1_1&gene=augustus_masked-sim-_s121-processed-gene-1.38&CDS=1-600	YDR032C
OG0000729	augustus_masked-sim-_s121-processed-gene-1.39-mRNA-1_1&gene=augustus_masked-sim-_s121-processed-gene-1.39&CDS=1-909	YLR308W
OG0000730	augustus_masked-sim-_s121-processed-gene-1.41-mRNA-1_1&gene=augustus_masked-sim-_s121-processed-gene-1.41&CDS=1-1428	YPL011C
OG0000731	augustus_masked-sim-_s121-processed-gene-2.71-mRNA-1_1&gene=augustus_masked-sim-_s121-processed-gene-2.71&CDS=1-1758	YPL020C
OG0000732	augustus_masked-sim-_s121-processed-gene-2.73-mRNA-1_1&gene=augustus_masked-sim-_s121-processed-gene-2.73&CDS=1-2529	YMR302C
OG0000733	augustus_masked-sim-_s121-processed-gene-2.86-mRNA-1_1&gene=augustus_masked-sim-_s121-processed-gene-2.86&CDS=1-1077	YGR028W
OG0000734	augustus_masked-sim-_s121-processed-gene-2.74-mRNA-1_1&gene=augustus_masked-sim-_s121-processed-gene-2.74&CDS=1-2847	YLR336C
OG0000735	maker-sim-_s121-augustus-gene-2.2-mRNA-1_1&gene=maker-sim-_s121-augustus-gene-2.2&CDS=1-5514	YFL008W
OG0000736	maker-sim-_s121-augustus-gene-2.0-mRNA-1_1&gene=maker-sim-_s121-augustus-gene-2.0&CDS=1-1050	YEL037C
OG0000737	augustus_masked-sim-_s121-processed-gene-2.90-mRNA-1_1&gene=augustus_masked-sim-_s121-processed-gene-2.90&CDS=1-684	YEL038W
OG0000738	augustus_masked-sim-_s121-processed-gene-2.78-mRNA-1_1&gene=augustus_masked-sim-_s121-processed-gene-2.78&CDS=1-1173	YGR012W
OG0000739	genemark-sim-_s121-processed-gene-2.27-mRNA-1_1&gene=genemark-sim-_s121-processed-gene-2.27&CDS=1-1356	YPL112C
OG0000740	augustus_masked-sim-_s121-processed-gene-2.96-mRNA-1_1&gene=augustus_masked-sim-_s121-processed-gene-2.96&CDS=1-2490	YJL087C
OG0000741	augustus_masked-sim-_s121-processed-gene-2.79-mRNA-1_1&gene=augustus_masked-sim-_s121-processed-gene-2.79&CDS=1-1932	YJL085W
OG0000742	augustus_masked-sim-_s121-processed-gene-2.83-mRNA-1_1&gene=augustus_masked-sim-_s121-processed-gene-2.83&CDS=1-825	YLR284C
OG0000743	augustus_masked-sim-_s121-processed-gene-2.84-mRNA-1_1&gene=augustus_masked-sim-_s121-processed-gene-2.84&CDS=1-2223	YHL023C
OG0000744	augustus_masked-sim-_s121-processed-gene-2.99-mRNA-1_1&gene=augustus_masked-sim-_s121-processed-gene-2.99&CDS=1-7392	YHR165C
OG0000745	genemark-sim-_s121-processed-gene-2.19-mRNA-1_1&gene=genemark-sim-_s121-processed-gene-2.19&CDS=1-1692	YMR296C
OG0000746	augustus_masked-sim-_s121-processed-gene-2.100-mRNA-1_1&gene=augustus_masked-sim-_s121-processed-gene-2.100&CDS=1-1725	YHR166C
OG0000747	augustus_masked-sim-_s123-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-sim-_s123-processed-gene-0.2&CDS=1-2292	YGL009C
OG0000748	augustus_masked-sim-_s123-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-sim-_s123-processed-gene-0.3&CDS=1-2517	YDR416W
OG0000749	augustus_masked-sim-_s126-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-sim-_s126-processed-gene-0.11&CDS=1-2094	YLL029W
OG0000750	augustus_masked-sim-_s126-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-sim-_s126-processed-gene-0.12&CDS=1-1017	YLL027W
OG0000751	augustus_masked-sim-_s129-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-sim-_s129-processed-gene-0.18&CDS=1-1824	YKL062W
OG0000752	augustus_masked-sim-_s129-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-sim-_s129-processed-gene-0.19&CDS=1-1260	YMR034C
OG0000753	genemark-sim-_s129-processed-gene-0.23-mRNA-1_1&gene=genemark-sim-_s129-processed-gene-0.23&CDS=1-1047	YMR041C
OG0000754	augustus_masked-sim-_s129-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-sim-_s129-processed-gene-0.15&CDS=1-324	YMR039C
OG0000755	maker-sim-_s129-augustus-gene-0.0-mRNA-1_1&gene=maker-sim-_s129-augustus-gene-0.0&CDS=1-3087	YKL064W
OG0000756	augustus_masked-sim-_s133-processed-gene-0.109-mRNA-1_1&gene=augustus_masked-sim-_s133-processed-gene-0.109&CDS=1-1467	YGR052W
OG0000757	augustus_masked-sim-_s133-processed-gene-0.110-mRNA-1_1&gene=augustus_masked-sim-_s133-processed-gene-0.110&CDS=1-1197	YLR355C
OG0000758	augustus_masked-sim-_s133-processed-gene-0.112-mRNA-1_1&gene=augustus_masked-sim-_s133-processed-gene-0.112&CDS=1-2439	YFL042C
OG0000759	genemark-sim-_s133-processed-gene-0.30-mRNA-1_1&gene=genemark-sim-_s133-processed-gene-0.30&CDS=1-909	YGR053C
OG0000760	augustus_masked-sim-_s133-processed-gene-0.139-mRNA-1_1&gene=augustus_masked-sim-_s133-processed-gene-0.139&CDS=1-675	YBL064C
OG0000761	maker-sim-_s133-snap-gene-0.53-mRNA-1_1&gene=maker-sim-_s133-snap-gene-0.53&CDS=1-1923	YBR287W
OG0000762	augustus_masked-sim-_s133-processed-gene-0.141-mRNA-1_1&gene=augustus_masked-sim-_s133-processed-gene-0.141&CDS=1-780	YJL115W
OG0000763	augustus_masked-sim-_s133-processed-gene-0.142-mRNA-1_1&gene=augustus_masked-sim-_s133-processed-gene-0.142&CDS=1-3819	YER093C
OG0000764	augustus_masked-sim-_s133-processed-gene-0.143-mRNA-1_1&gene=augustus_masked-sim-_s133-processed-gene-0.143&CDS=1-855	YNL075W
OG0000765	augustus_masked-sim-_s133-processed-gene-0.144-mRNA-1_1&gene=augustus_masked-sim-_s133-processed-gene-0.144&CDS=1-2940	YKR050W
OG0000766	augustus_masked-sim-_s133-processed-gene-0.116-mRNA-1_1&gene=augustus_masked-sim-_s133-processed-gene-0.116&CDS=1-6588	YJL130C
OG0000767	maker-sim-_s133-snap-gene-0.54-mRNA-1_1&gene=maker-sim-_s133-snap-gene-0.54&CDS=1-2448	YJL127C
OG0000768	maker-sim-_s133-augustus-gene-0.158-mRNA-1_1&gene=maker-sim-_s133-augustus-gene-0.158&CDS=1-981	YIL084C
OG0000769	genemark-sim-_s133-processed-gene-0.13-mRNA-1_1&gene=genemark-sim-_s133-processed-gene-0.13&CDS=1-1740	YBR132C
OG0000770	genemark-sim-_s133-processed-gene-0.14-mRNA-1_1&gene=genemark-sim-_s133-processed-gene-0.14&CDS=1-1926	YDL035C
OG0000771	maker-sim-_s133-augustus-gene-0.162-mRNA-1_1&gene=maker-sim-_s133-augustus-gene-0.162&CDS=1-2952	YOR125C
OG0000772	maker-sim-_s133-augustus-gene-0.160-mRNA-1_1&gene=maker-sim-_s133-augustus-gene-0.160&CDS=1-2313	YDR477W
OG0000773	augustus_masked-sim-_s133-processed-gene-0.125-mRNA-1_1&gene=augustus_masked-sim-_s133-processed-gene-0.125&CDS=1-1371	YOR025W
OG0000774	augustus_masked-sim-_s133-processed-gene-0.126-mRNA-1_1&gene=augustus_masked-sim-_s133-processed-gene-0.126&CDS=1-1623	YDR479C
OG0000775	augustus_masked-sim-_s133-processed-gene-0.151-mRNA-1_1&gene=augustus_masked-sim-_s133-processed-gene-0.151&CDS=1-2544	YCL045C
OG0000776	augustus_masked-sim-_s133-processed-gene-0.128-mRNA-1_1&gene=augustus_masked-sim-_s133-processed-gene-0.128&CDS=1-237	YDR525W-A
OG0000777	augustus_masked-sim-_s133-processed-gene-0.153-mRNA-1_1&gene=augustus_masked-sim-_s133-processed-gene-0.153&CDS=1-1332	YDR527W
OG0000778	augustus_masked-sim-_s133-processed-gene-0.129-mRNA-1_1&gene=augustus_masked-sim-_s133-processed-gene-0.129&CDS=1-1155	YDR523C
OG0000779	augustus_masked-sim-_s133-processed-gene-0.154-mRNA-1_1&gene=augustus_masked-sim-_s133-processed-gene-0.154&CDS=1-543	YML036W
OG0000780	augustus_masked-sim-_s133-processed-gene-0.155-mRNA-1_1&gene=augustus_masked-sim-_s133-processed-gene-0.155&CDS=1-1002	YDR460W
OG0000781	augustus_masked-sim-_s133-processed-gene-0.133-mRNA-1_1&gene=augustus_masked-sim-_s133-processed-gene-0.133&CDS=1-2859	YDR524C
OG0000782	augustus_masked-sim-_s133-processed-gene-0.134-mRNA-1_1&gene=augustus_masked-sim-_s133-processed-gene-0.134&CDS=1-6285	YDR127W
OG0000783	augustus_masked-sim-_s133-processed-gene-0.156-mRNA-1_1&gene=augustus_masked-sim-_s133-processed-gene-0.156&CDS=1-14886	YLR106C
OG0000784	augustus_masked-sim-_s134-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-sim-_s134-processed-gene-0.11&CDS=1-2445	YNL072W
OG0000785	snap_masked-sim-_s134-processed-gene-0.19-mRNA-1_1&gene=snap_masked-sim-_s134-processed-gene-0.19&CDS=1-177	YNL070W
OG0000786	genemark-sim-_s136-processed-gene-0.1-mRNA-1_1&gene=genemark-sim-_s136-processed-gene-0.1&CDS=1-2655	YER130C
OG0000787	maker-sim-_s136-snap-gene-0.85-mRNA-1_1&gene=maker-sim-_s136-snap-gene-0.85&CDS=1-2523	YKR024C
OG0000788	augustus_masked-sim-_s136-processed-gene-0.109-mRNA-1_1&gene=augustus_masked-sim-_s136-processed-gene-0.109&CDS=1-969	YKR025W
OG0000789	augustus_masked-sim-_s136-processed-gene-0.92-mRNA-1_1&gene=augustus_masked-sim-_s136-processed-gene-0.92&CDS=1-3615	YGL094C
OG0000790	augustus_masked-sim-_s136-processed-gene-0.93-mRNA-1_1&gene=augustus_masked-sim-_s136-processed-gene-0.93&CDS=1-2214	YPL180W
OG0000791	augustus_masked-sim-_s136-processed-gene-0.112-mRNA-1_1&gene=augustus_masked-sim-_s136-processed-gene-0.112&CDS=1-291	YPL183W-A
OG0000792	genemark-sim-_s136-processed-gene-0.31-mRNA-1_1&gene=genemark-sim-_s136-processed-gene-0.31&CDS=1-762	YMR193W
OG0000793	genemark-sim-_s136-processed-gene-0.9-mRNA-1_1&gene=genemark-sim-_s136-processed-gene-0.9&CDS=1-2175	YHR205W
OG0000794	augustus_masked-sim-_s136-processed-gene-0.96-mRNA-1_1&gene=augustus_masked-sim-_s136-processed-gene-0.96&CDS=1-3144	YLL031C
OG0000795	augustus_masked-sim-_s136-processed-gene-0.98-mRNA-1_1&gene=augustus_masked-sim-_s136-processed-gene-0.98&CDS=1-2766	YGL167C
OG0000796	augustus_masked-sim-_s136-processed-gene-0.116-mRNA-1_1&gene=augustus_masked-sim-_s136-processed-gene-0.116&CDS=1-828	YLR290C
OG0000797	augustus_masked-sim-_s136-processed-gene-0.100-mRNA-1_1&gene=augustus_masked-sim-_s136-processed-gene-0.100&CDS=1-903	YJR142W
OG0000798	augustus_masked-sim-_s136-processed-gene-0.120-mRNA-1_1&gene=augustus_masked-sim-_s136-processed-gene-0.120&CDS=1-294	YDR469W
OG0000799	augustus_masked-sim-_s136-processed-gene-0.104-mRNA-1_1&gene=augustus_masked-sim-_s136-processed-gene-0.104&CDS=1-750	YDR468C
OG0000800	augustus_masked-sim-_s136-processed-gene-0.105-mRNA-1_1&gene=augustus_masked-sim-_s136-processed-gene-0.105&CDS=1-957	YDR392W
OG0000801	snap_masked-sim-_s136-processed-gene-0.82-mRNA-1_1&gene=snap_masked-sim-_s136-processed-gene-0.82&CDS=1-2646	YOR144C
OG0000802	genemark-sim-_s14-processed-gene-0.0-mRNA-1_1&gene=genemark-sim-_s14-processed-gene-0.0&CDS=1-1341	YER043C
OG0000803	genemark-sim-_s14-processed-gene-0.1-mRNA-1_1&gene=genemark-sim-_s14-processed-gene-0.1&CDS=1-1188	YPL123C
OG0000804	augustus_masked-sim-_s14-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-sim-_s14-processed-gene-0.19&CDS=1-2397	YGR261C
OG0000805	maker-sim-_s14-snap-gene-0.23-mRNA-1_1&gene=maker-sim-_s14-snap-gene-0.23&CDS=1-3105	YGR258C
OG0000806	genemark-sim-_s14-processed-gene-0.3-mRNA-1_1&gene=genemark-sim-_s14-processed-gene-0.3&CDS=1-555	YHR185C
OG0000807	augustus_masked-sim-_s14-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-sim-_s14-processed-gene-0.21&CDS=1-3177	YMR288W
OG0000808	augustus_masked-sim-_s14-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-sim-_s14-processed-gene-0.16&CDS=1-849	YHR187W
OG0000809	augustus_masked-sim-_s14-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-sim-_s14-processed-gene-0.22&CDS=1-1773	YHR188C
OG0000810	augustus_masked-sim-_s142-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-sim-_s142-processed-gene-0.13&CDS=1-2799	YPR162C
OG0000811	maker-sim-_s142-snap-gene-0.5-mRNA-1_1&gene=maker-sim-_s142-snap-gene-0.5&CDS=1-1719	YLR452C
OG0000812	augustus_masked-sim-_s144-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-sim-_s144-processed-gene-0.15&CDS=1-3399	YBR023C
OG0000813	augustus_masked-sim-_s144-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-sim-_s144-processed-gene-0.16&CDS=1-4722	YNL297C
OG0000814	augustus_masked-sim-_s144-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-sim-_s144-processed-gene-0.13&CDS=1-2643	YGR157W
OG0000815	augustus_masked-sim-_s145-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-sim-_s145-processed-gene-0.18&CDS=1-3357	YLR383W
OG0000816	augustus_masked-sim-_s145-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-sim-_s145-processed-gene-0.19&CDS=1-1143	YER154W
OG0000817	augustus_masked-sim-_s145-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-sim-_s145-processed-gene-0.23&CDS=1-5400	YER155C
OG0000818	maker-sim-_s145-snap-gene-0.8-mRNA-1_1&gene=maker-sim-_s145-snap-gene-0.8&CDS=1-1605	YNL073W
OG0000819	augustus_masked-sim-_s147-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-sim-_s147-processed-gene-0.3&CDS=1-1452	YGL055W
OG0000820	augustus_masked-sim-_s152-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-sim-_s152-processed-gene-0.33&CDS=1-2136	YLR144C
OG0000821	augustus_masked-sim-_s152-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-sim-_s152-processed-gene-0.26&CDS=1-675	YHR140W
OG0000822	augustus_masked-sim-_s152-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-sim-_s152-processed-gene-0.27&CDS=1-1494	YHR132C
OG0000823	augustus_masked-sim-_s152-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-sim-_s152-processed-gene-0.28&CDS=1-495	YDL219W
OG0000824	augustus_masked-sim-_s152-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-sim-_s152-processed-gene-0.30&CDS=1-1314	YDR448W
OG0000825	augustus_masked-sim-_s152-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-sim-_s152-processed-gene-0.37&CDS=1-639	YHR110W
OG0000826	augustus_masked-sim-_s152-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-sim-_s152-processed-gene-0.39&CDS=1-2103	YDR365C
OG0000827	genemark-sim-_s152-processed-gene-0.19-mRNA-1_1&gene=genemark-sim-_s152-processed-gene-0.19&CDS=1-2031	YOR118W
OG0000828	genemark-sim-_s152-processed-gene-0.20-mRNA-1_1&gene=genemark-sim-_s152-processed-gene-0.20&CDS=1-690	YDR367W
OG0000829	augustus_masked-sim-_s152-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-sim-_s152-processed-gene-0.31&CDS=1-1599	YOR119C
OG0000830	augustus_masked-sim-_s152-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-sim-_s152-processed-gene-0.32&CDS=1-1647	YBL103C
OG0000831	augustus_masked-sim-_s154-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-sim-_s154-processed-gene-0.9&CDS=1-672	YOR148C
OG0000832	augustus_masked-sim-_s154-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-sim-_s154-processed-gene-0.10&CDS=1-762	YOR145C
OG0000833	augustus_masked-sim-_s154-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-sim-_s154-processed-gene-0.13&CDS=1-690	YHR013C
OG0000834	augustus_masked-sim-_s154-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-sim-_s154-processed-gene-0.14&CDS=1-741	YDR472W
OG0000835	snap_masked-sim-_s154-processed-gene-0.3-mRNA-1_1&gene=snap_masked-sim-_s154-processed-gene-0.3&CDS=1-1395	YOR023C
OG0000836	augustus_masked-sim-_s16-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-sim-_s16-processed-gene-0.10&CDS=1-1443	YLR359W
OG0000837	augustus_masked-sim-_s16-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-sim-_s16-processed-gene-0.11&CDS=1-321	YBR233W-A
OG0000838	augustus_masked-sim-_s16-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-sim-_s16-processed-gene-0.12&CDS=1-3768	YBR235W
OG0000839	snap_masked-sim-_s164-processed-gene-0.59-mRNA-1_1&gene=snap_masked-sim-_s164-processed-gene-0.59&CDS=1-3633	YJR041C
OG0000840	augustus_masked-sim-_s164-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-sim-_s164-processed-gene-0.35&CDS=1-375	YEL026W
OG0000841	augustus_masked-sim-_s164-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-sim-_s164-processed-gene-0.26&CDS=1-2211	YBL026W
OG0000842	augustus_masked-sim-_s164-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-sim-_s164-processed-gene-0.38&CDS=1-1593	YBL020W
OG0000843	augustus_masked-sim-_s164-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-sim-_s164-processed-gene-0.28&CDS=1-756	YBL021C
OG0000844	augustus_masked-sim-_s164-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-sim-_s164-processed-gene-0.29&CDS=1-2130	YBL024W
OG0000845	genemark-sim-_s164-processed-gene-0.7-mRNA-1_1&gene=genemark-sim-_s164-processed-gene-0.7&CDS=1-3432	YBL022C
OG0000846	augustus_masked-sim-_s164-processed-gene-0.42-mRNA-1_1&gene=augustus_masked-sim-_s164-processed-gene-0.42&CDS=1-267	YDR510W
OG0000847	snap_masked-sim-_s164-processed-gene-0.56-mRNA-1_1&gene=snap_masked-sim-_s164-processed-gene-0.56&CDS=1-1833	YNL279W
OG0000848	augustus_masked-sim-_s164-processed-gene-0.43-mRNA-1_1&gene=augustus_masked-sim-_s164-processed-gene-0.43&CDS=1-2205	YNL218W
OG0000849	augustus_masked-sim-_s164-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-sim-_s164-processed-gene-0.33&CDS=1-1113	YML060W
OG0000850	snap_masked-sim-_s165-processed-gene-0.12-mRNA-1_1&gene=snap_masked-sim-_s165-processed-gene-0.12&CDS=1-5835	YJL005W
OG0000851	augustus_masked-sim-_s165-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-sim-_s165-processed-gene-0.2&CDS=1-1107	YPR035W
OG0000852	augustus_masked-sim-_s165-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-sim-_s165-processed-gene-0.6&CDS=1-1419	YIL090W
OG0000853	snap_masked-sim-_s167-processed-gene-0.30-mRNA-1_1&gene=snap_masked-sim-_s167-processed-gene-0.30&CDS=1-4464	YKL010C
OG0000854	augustus_masked-sim-_s167-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-sim-_s167-processed-gene-0.4&CDS=1-798	YKL007W
OG0000855	maker-sim-_s167-augustus-gene-0.0-mRNA-1_1&gene=maker-sim-_s167-augustus-gene-0.0&CDS=1-1485	YHL002W
OG0000856	augustus_masked-sim-_s167-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-sim-_s167-processed-gene-0.17&CDS=1-1323	YHL004W
OG0000857	augustus_masked-sim-_s167-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-sim-_s167-processed-gene-0.18&CDS=1-600	YKL117W
OG0000858	snap_masked-sim-_s167-processed-gene-0.49-mRNA-1_1&gene=snap_masked-sim-_s167-processed-gene-0.49&CDS=1-3024	YNL325C
OG0000859	snap_masked-sim-_s167-processed-gene-0.36-mRNA-1_1&gene=snap_masked-sim-_s167-processed-gene-0.36&CDS=1-1479	YLR318W
OG0000860	maker-sim-_s167-augustus-gene-0.1-mRNA-1_1&gene=maker-sim-_s167-augustus-gene-0.1&CDS=1-5229	YMR308C
OG0000861	augustus_masked-sim-_s167-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-sim-_s167-processed-gene-0.21&CDS=1-1101	YAL036C
OG0000862	augustus_masked-sim-_s167-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-sim-_s167-processed-gene-0.8&CDS=1-3003	YAL035W
OG0000863	augustus_masked-sim-_s167-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-sim-_s167-processed-gene-0.10&CDS=1-924	YDL236W
OG0000864	augustus_masked-sim-_s167-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-sim-_s167-processed-gene-0.11&CDS=1-435	YDL235C
OG0000865	augustus_masked-sim-_s167-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-sim-_s167-processed-gene-0.22&CDS=1-1803	YNL219C
OG0000866	augustus_masked-sim-_s167-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-sim-_s167-processed-gene-0.23&CDS=1-1281	YNL220W
OG0000867	augustus_masked-sim-_s167-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-sim-_s167-processed-gene-0.24&CDS=1-1077	YNL037C
OG0000868	augustus_masked-sim-_s167-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-sim-_s167-processed-gene-0.12&CDS=1-402	YIL098C
OG0000869	augustus_masked-sim-_s167-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-sim-_s167-processed-gene-0.13&CDS=1-459	YAL008W
OG0000870	augustus_masked-sim-_s167-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-sim-_s167-processed-gene-0.26&CDS=1-4920	YOR341W
OG0000871	augustus_masked-sim-_s167-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-sim-_s167-processed-gene-0.27&CDS=1-1488	YBR243C
OG0000872	augustus_masked-sim-_s167-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-sim-_s167-processed-gene-0.14&CDS=1-1017	YGL100W
OG0000873	augustus_masked-sim-_s17-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-sim-_s17-processed-gene-0.2&CDS=1-2322	YKR069W
OG0000874	augustus_masked-sim-_s170-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-sim-_s170-processed-gene-0.4&CDS=1-1389	YMR210W
OG0000875	augustus_masked-sim-_s170-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-sim-_s170-processed-gene-0.16&CDS=1-858	YKL019W
OG0000876	augustus_masked-sim-_s170-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-sim-_s170-processed-gene-0.5&CDS=1-1419	YMR209C
OG0000877	augustus_masked-sim-_s170-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-sim-_s170-processed-gene-0.17&CDS=1-1356	YOR272W
OG0000878	augustus_masked-sim-_s170-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-sim-_s170-processed-gene-0.6&CDS=1-1587	YMR217W
OG0000879	augustus_masked-sim-_s170-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-sim-_s170-processed-gene-0.7&CDS=1-984	YOR271C
OG0000880	augustus_masked-sim-_s170-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-sim-_s170-processed-gene-0.19&CDS=1-1242	YMR208W
OG0000881	augustus_masked-sim-_s170-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-sim-_s170-processed-gene-0.20&CDS=1-5058	YML103C
OG0000882	augustus_masked-sim-_s170-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-sim-_s170-processed-gene-0.22&CDS=1-2571	YMR266W
OG0000883	augustus_masked-sim-_s170-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-sim-_s170-processed-gene-0.23&CDS=1-3471	YMR287C
OG0000884	augustus_masked-sim-_s172-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-sim-_s172-processed-gene-0.0&CDS=1-624	YDL166C
OG0000885	augustus_masked-sim-_s172-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-sim-_s172-processed-gene-0.6&CDS=1-876	YLR205C
OG0000886	augustus_masked-sim-_s172-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-sim-_s172-processed-gene-0.1&CDS=1-516	YLR193C
OG0000887	augustus_masked-sim-_s172-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-sim-_s172-processed-gene-0.3&CDS=1-348	YLR200W
OG0000888	genemark-sim-_s172-processed-gene-0.31-mRNA-1_1&gene=genemark-sim-_s172-processed-gene-0.31&CDS=1-801	YLR201C
OG0000889	augustus_masked-sim-_s172-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-sim-_s172-processed-gene-0.9&CDS=1-1038	YOR292C
OG0000890	augustus_masked-sim-_s177-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-sim-_s177-processed-gene-0.10&CDS=1-1956	YNL292W
OG0000891	augustus_masked-sim-_s178-processed-gene-0.88-mRNA-1_1&gene=augustus_masked-sim-_s178-processed-gene-0.88&CDS=1-993	YJL088W
OG0000892	genemark-sim-_s178-processed-gene-0.1-mRNA-1_1&gene=genemark-sim-_s178-processed-gene-0.1&CDS=1-960	YNR003C
OG0000893	augustus_masked-sim-_s178-processed-gene-0.90-mRNA-1_1&gene=augustus_masked-sim-_s178-processed-gene-0.90&CDS=1-801	YBR257W
OG0000894	augustus_masked-sim-_s178-processed-gene-0.74-mRNA-1_1&gene=augustus_masked-sim-_s178-processed-gene-0.74&CDS=1-1272	YJL046W
OG0000895	augustus_masked-sim-_s178-processed-gene-0.78-mRNA-1_1&gene=augustus_masked-sim-_s178-processed-gene-0.78&CDS=1-1101	YER107C
OG0000896	genemark-sim-_s178-processed-gene-0.8-mRNA-1_1&gene=genemark-sim-_s178-processed-gene-0.8&CDS=1-2466	YER109C
OG0000897	augustus_masked-sim-_s178-processed-gene-0.96-mRNA-1_1&gene=augustus_masked-sim-_s178-processed-gene-0.96&CDS=1-1521	YBL082C
OG0000898	maker-sim-_s178-snap-gene-0.72-mRNA-1_1&gene=maker-sim-_s178-snap-gene-0.72&CDS=1-2157	YOL144W
OG0000899	genemark-sim-_s178-processed-gene-0.31-mRNA-1_1&gene=genemark-sim-_s178-processed-gene-0.31&CDS=1-684	YOL147C
