	Saccharomyces_cerevisiae	yHMPu5000035243_Zygoascus_meyerae
OG0000313	YER175C	snap_masked-NODE_17_length_335658_cov_21.0353_ID_2164-processed-gene-2.15-mRNA-1_1&gene=snap_masked-NODE_17_length_335658_cov_21.0353_ID_2164-processed-gene-2.15&CDS=1-852, snap_masked-NODE_1_length_1065328_cov_19.742_ID_1323-processed-gene-4.106-mRNA-1_1&gene=snap_masked-NODE_1_length_1065328_cov_19.742_ID_1323-processed-gene-4.106&CDS=1-843
OG0000314	YFL004W, YPL019C	snap_masked-NODE_1_length_1065328_cov_19.742_ID_1323-processed-gene-4.119-mRNA-1_1&gene=snap_masked-NODE_1_length_1065328_cov_19.742_ID_1323-processed-gene-4.119&CDS=1-2208
OG0000315	YFL025C	augustus_masked-NODE_7_length_674142_cov_18.8803_ID_1132-processed-gene-4.58-mRNA-1_1&gene=augustus_masked-NODE_7_length_674142_cov_18.8803_ID_1132-processed-gene-4.58&CDS=1-3000, snap_masked-NODE_20_length_182353_cov_19.2443_ID_1960-processed-gene-0.35-mRNA-1_1&gene=snap_masked-NODE_20_length_182353_cov_19.2443_ID_1960-processed-gene-0.35&CDS=1-3993
OG0000316	YFL034C-A, YLR061W	snap_masked-NODE_8_length_668598_cov_18.9487_ID_973-processed-gene-1.32-mRNA-1_1&gene=snap_masked-NODE_8_length_668598_cov_18.9487_ID_973-processed-gene-1.32&CDS=1-354
OG0000317	YFL042C, YLR072W	maker-NODE_3_length_863959_cov_18.7832_ID_1457-snap-gene-2.67-mRNA-1_1&gene=maker-NODE_3_length_863959_cov_18.7832_ID_1457-snap-gene-2.67&CDS=1-2574
OG0000318	YFL047W	maker-NODE_2_length_1055940_cov_18.7611_ID_4341-snap-gene-2.160-mRNA-1_1&gene=maker-NODE_2_length_1055940_cov_18.7611_ID_4341-snap-gene-2.160&CDS=1-2406, snap_masked-NODE_12_length_423269_cov_19.1425_ID_1554-processed-gene-0.94-mRNA-1_1&gene=snap_masked-NODE_12_length_423269_cov_19.1425_ID_1554-processed-gene-0.94&CDS=1-2787
OG0000319	YFR014C, YOL016C	augustus_masked-NODE_13_length_418862_cov_18.7454_ID_1788-processed-gene-3.133-mRNA-1_1&gene=augustus_masked-NODE_13_length_418862_cov_18.7454_ID_1788-processed-gene-3.133&CDS=1-1590
OG0000320	YFR022W, YOR018W	snap_masked-NODE_8_length_668598_cov_18.9487_ID_973-processed-gene-5.59-mRNA-1_1&gene=snap_masked-NODE_8_length_668598_cov_18.9487_ID_973-processed-gene-5.59&CDS=1-2109
OG0000321	YFR031C-A, YIL018W	snap_masked-NODE_9_length_615366_cov_18.973_ID_1912-processed-gene-3.10-mRNA-1_1&gene=snap_masked-NODE_9_length_615366_cov_18.973_ID_1912-processed-gene-3.10&CDS=1-762
OG0000322	YGL014W, YGL178W	snap_masked-NODE_23_length_134032_cov_18.6164_ID_2310-processed-gene-0.82-mRNA-1_1&gene=snap_masked-NODE_23_length_134032_cov_18.6164_ID_2310-processed-gene-0.82&CDS=1-2490
OG0000323	YGL031C, YGR148C	snap_masked-NODE_16_length_358951_cov_18.8291_ID_1516-processed-gene-1.102-mRNA-1_1&gene=snap_masked-NODE_16_length_358951_cov_18.8291_ID_1516-processed-gene-1.102&CDS=1-462
OG0000324	YGL044C	snap_masked-NODE_8_length_668598_cov_18.9487_ID_973-processed-gene-0.81-mRNA-1_1&gene=snap_masked-NODE_8_length_668598_cov_18.9487_ID_973-processed-gene-0.81&CDS=1-879, snap_masked-NODE_8_length_668598_cov_18.9487_ID_973-processed-gene-0.82-mRNA-1_1&gene=snap_masked-NODE_8_length_668598_cov_18.9487_ID_973-processed-gene-0.82&CDS=1-939
OG0000325	YGL049C, YGR162W	maker-NODE_2_length_1055940_cov_18.7611_ID_4341-snap-gene-7.137-mRNA-1_1&gene=maker-NODE_2_length_1055940_cov_18.7611_ID_4341-snap-gene-7.137&CDS=1-3255
OG0000326	YGL066W	augustus_masked-NODE_9_length_615366_cov_18.973_ID_1912-processed-gene-1.77-mRNA-1_1&gene=augustus_masked-NODE_9_length_615366_cov_18.973_ID_1912-processed-gene-1.77&CDS=1-1113, snap_masked-NODE_14_length_402958_cov_18.9881_ID_2029-processed-gene-0.131-mRNA-1_1&gene=snap_masked-NODE_14_length_402958_cov_18.9881_ID_2029-processed-gene-0.131&CDS=1-981
OG0000327	YGL077C	snap_masked-NODE_12_length_423269_cov_19.1425_ID_1554-processed-gene-3.32-mRNA-1_1&gene=snap_masked-NODE_12_length_423269_cov_19.1425_ID_1554-processed-gene-3.32&CDS=1-1635, snap_masked-NODE_27_length_60890_cov_18.3424_ID_2495-processed-gene-0.54-mRNA-1_1&gene=snap_masked-NODE_27_length_60890_cov_18.3424_ID_2495-processed-gene-0.54&CDS=1-1635
OG0000328	YGL082W, YPL191C	augustus_masked-NODE_3_length_863959_cov_18.7832_ID_1457-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-NODE_3_length_863959_cov_18.7832_ID_1457-processed-gene-0.46&CDS=1-1116
OG0000329	YGL133W, YPL216W	maker-NODE_9_length_615366_cov_18.973_ID_1912-snap-gene-4.7-mRNA-1_1&gene=maker-NODE_9_length_615366_cov_18.973_ID_1912-snap-gene-4.7&CDS=1-3249
OG0000330	YGL135W, YPL220W	snap_masked-NODE_9_length_615366_cov_18.973_ID_1912-processed-gene-4.98-mRNA-1_1&gene=snap_masked-NODE_9_length_615366_cov_18.973_ID_1912-processed-gene-4.98&CDS=1-648
OG0000331	YGL156W	maker-NODE_14_length_402958_cov_18.9881_ID_2029-snap-gene-2.146-mRNA-1_1&gene=maker-NODE_14_length_402958_cov_18.9881_ID_2029-snap-gene-2.146&CDS=1-3243, snap_masked-NODE_2_length_1055940_cov_18.7611_ID_4341-processed-gene-5.164-mRNA-1_1&gene=snap_masked-NODE_2_length_1055940_cov_18.7611_ID_4341-processed-gene-5.164&CDS=1-3375
OG0000332	YGL219C	snap_masked-NODE_1_length_1065328_cov_19.742_ID_1323-processed-gene-5.55-mRNA-1_1&gene=snap_masked-NODE_1_length_1065328_cov_19.742_ID_1323-processed-gene-5.55&CDS=1-1512, snap_masked-NODE_9_length_615366_cov_18.973_ID_1912-processed-gene-2.21-mRNA-1_1&gene=snap_masked-NODE_9_length_615366_cov_18.973_ID_1912-processed-gene-2.21&CDS=1-1365
OG0000333	YGR008C, YLR327C	snap_masked-NODE_24_length_131066_cov_19.6241_ID_2412-processed-gene-0.42-mRNA-1_1&gene=snap_masked-NODE_24_length_131066_cov_19.6241_ID_2412-processed-gene-0.42&CDS=1-282
OG0000334	YGR027C, YLR333C	snap_masked-NODE_10_length_453567_cov_20.6492_ID_1595-processed-gene-1.36-mRNA-1_1&gene=snap_masked-NODE_10_length_453567_cov_20.6492_ID_1595-processed-gene-1.36&CDS=1-321
OG0000335	YGR038W, YLR350W	snap_masked-NODE_21_length_170389_cov_19.3193_ID_2324-processed-gene-0.224-mRNA-1_1&gene=snap_masked-NODE_21_length_170389_cov_19.3193_ID_2324-processed-gene-0.224&CDS=1-582
OG0000336	YGR060W	snap_masked-NODE_2_length_1055940_cov_18.7611_ID_4341-processed-gene-1.33-mRNA-1_1&gene=snap_masked-NODE_2_length_1055940_cov_18.7611_ID_4341-processed-gene-1.33&CDS=1-870, snap_masked-NODE_6_length_745053_cov_20.2367_ID_1009-processed-gene-2.109-mRNA-1_1&gene=snap_masked-NODE_6_length_745053_cov_20.2367_ID_1009-processed-gene-2.109&CDS=1-906
OG0000337	YGR085C, YPR102C	augustus_masked-NODE_2_length_1055940_cov_18.7611_ID_4341-processed-gene-3.93-mRNA-1_1&gene=augustus_masked-NODE_2_length_1055940_cov_18.7611_ID_4341-processed-gene-3.93&CDS=1-519
OG0000338	YGR092W, YPR111W	snap_masked-NODE_8_length_668598_cov_18.9487_ID_973-processed-gene-0.105-mRNA-1_1&gene=snap_masked-NODE_8_length_668598_cov_18.9487_ID_973-processed-gene-0.105&CDS=1-1650
OG0000339	YGR108W, YPR119W	snap_masked-NODE_25_length_117720_cov_23.487_ID_2525-processed-gene-0.118-mRNA-1_1&gene=snap_masked-NODE_25_length_117720_cov_23.487_ID_2525-processed-gene-0.118&CDS=1-1563
OG0000340	YGR110W	snap_masked-NODE_1_length_1065328_cov_19.742_ID_1323-processed-gene-5.19-mRNA-1_1&gene=snap_masked-NODE_1_length_1065328_cov_19.742_ID_1323-processed-gene-5.19&CDS=1-1266, snap_masked-NODE_7_length_674142_cov_18.8803_ID_1132-processed-gene-5.199-mRNA-1_1&gene=snap_masked-NODE_7_length_674142_cov_18.8803_ID_1132-processed-gene-5.199&CDS=1-1308
OG0000341	YGR118W, YPR132W	snap_masked-NODE_1_length_1065328_cov_19.742_ID_1323-processed-gene-8.6-mRNA-1_1&gene=snap_masked-NODE_1_length_1065328_cov_19.742_ID_1323-processed-gene-8.6&CDS=1-429
OG0000342	YGR121C, YPR138C	snap_masked-NODE_1_length_1065328_cov_19.742_ID_1323-processed-gene-2.112-mRNA-1_1&gene=snap_masked-NODE_1_length_1065328_cov_19.742_ID_1323-processed-gene-2.112&CDS=1-1539
OG0000343	YGR131W, YPR149W	snap_masked-NODE_8_length_668598_cov_18.9487_ID_973-processed-gene-5.40-mRNA-1_1&gene=snap_masked-NODE_8_length_668598_cov_18.9487_ID_973-processed-gene-5.40&CDS=1-516
OG0000344	YGR138C, YPR156C	snap_masked-NODE_12_length_423269_cov_19.1425_ID_1554-processed-gene-2.4-mRNA-1_1&gene=snap_masked-NODE_12_length_423269_cov_19.1425_ID_1554-processed-gene-2.4&CDS=1-1758
OG0000345	YGR141W, YPR157W	snap_masked-NODE_9_length_615366_cov_18.973_ID_1912-processed-gene-2.37-mRNA-1_1&gene=snap_masked-NODE_9_length_615366_cov_18.973_ID_1912-processed-gene-2.37&CDS=1-1266
OG0000346	YGR197C, YJR015W	snap_masked-NODE_3_length_863959_cov_18.7832_ID_1457-processed-gene-7.79-mRNA-1_1&gene=snap_masked-NODE_3_length_863959_cov_18.7832_ID_1457-processed-gene-7.79&CDS=1-1425
OG0000347	YGR209C, YLR043C	snap_masked-NODE_12_length_423269_cov_19.1425_ID_1554-processed-gene-1.134-mRNA-1_1&gene=snap_masked-NODE_12_length_423269_cov_19.1425_ID_1554-processed-gene-1.134&CDS=1-315
OG0000348	YGR214W, YLR048W	snap_masked-NODE_11_length_435590_cov_18.4678_ID_1220-processed-gene-2.147-mRNA-1_1&gene=snap_masked-NODE_11_length_435590_cov_18.4678_ID_1220-processed-gene-2.147&CDS=1-798
OG0000349	YGR234W	snap_masked-NODE_14_length_402958_cov_18.9881_ID_2029-processed-gene-1.93-mRNA-1_1&gene=snap_masked-NODE_14_length_402958_cov_18.9881_ID_2029-processed-gene-1.93&CDS=1-1266, snap_masked-NODE_14_length_402958_cov_18.9881_ID_2029-processed-gene-1.94-mRNA-1_1&gene=snap_masked-NODE_14_length_402958_cov_18.9881_ID_2029-processed-gene-1.94&CDS=1-1155
OG0000350	YGR238C, YHR158C	snap_masked-NODE_26_length_100927_cov_18.7495_ID_2454-processed-gene-0.137-mRNA-1_1&gene=snap_masked-NODE_26_length_100927_cov_18.7495_ID_2454-processed-gene-0.137&CDS=1-4800
OG0000351	YGR241C, YHR161C	augustus_masked-NODE_16_length_358951_cov_18.8291_ID_1516-processed-gene-2.85-mRNA-1_1&gene=augustus_masked-NODE_16_length_358951_cov_18.8291_ID_1516-processed-gene-2.85&CDS=1-1962
OG0000352	YGR243W, YHR162W	snap_masked-NODE_4_length_827553_cov_19.7208_ID_1272-processed-gene-2.43-mRNA-1_1&gene=snap_masked-NODE_4_length_827553_cov_19.7208_ID_1272-processed-gene-2.43&CDS=1-402
OG0000353	YGR273C, YMR295C	snap_masked-NODE_15_length_376289_cov_21.1717_ID_1409-processed-gene-2.44-mRNA-1_1&gene=snap_masked-NODE_15_length_376289_cov_21.1717_ID_1409-processed-gene-2.44&CDS=1-528
OG0000354	YGR281W	maker-NODE_1_length_1065328_cov_19.742_ID_1323-augustus-gene-2.90-mRNA-1_1&gene=maker-NODE_1_length_1065328_cov_19.742_ID_1323-augustus-gene-2.90&CDS=1-4218, snap_masked-NODE_8_length_668598_cov_18.9487_ID_973-processed-gene-5.33-mRNA-1_1&gene=snap_masked-NODE_8_length_668598_cov_18.9487_ID_973-processed-gene-5.33&CDS=1-4233
OG0000355	YHL001W, YKL006W	maker-NODE_16_length_358951_cov_18.8291_ID_1516-snap-gene-0.7-mRNA-1_1&gene=maker-NODE_16_length_358951_cov_18.8291_ID_1516-snap-gene-0.7&CDS=1-405
OG0000356	YHL003C, YKL008C	snap_masked-NODE_23_length_134032_cov_18.6164_ID_2310-processed-gene-0.43-mRNA-1_1&gene=snap_masked-NODE_23_length_134032_cov_18.6164_ID_2310-processed-gene-0.43&CDS=1-1248
OG0000357	YHL017W, YKL039W	genemark-NODE_1_length_1065328_cov_19.742_ID_1323-processed-gene-5.138-mRNA-1_1&gene=genemark-NODE_1_length_1065328_cov_19.742_ID_1323-processed-gene-5.138&CDS=1-1611
OG0000358	YHL021C	snap_masked-NODE_1_length_1065328_cov_19.742_ID_1323-processed-gene-1.115-mRNA-1_1&gene=snap_masked-NODE_1_length_1065328_cov_19.742_ID_1323-processed-gene-1.115&CDS=1-1140, snap_masked-NODE_8_length_668598_cov_18.9487_ID_973-processed-gene-2.49-mRNA-1_1&gene=snap_masked-NODE_8_length_668598_cov_18.9487_ID_973-processed-gene-2.49&CDS=1-1266
OG0000359	YHL033C, YLL045C	snap_masked-NODE_9_length_615366_cov_18.973_ID_1912-processed-gene-3.15-mRNA-1_1&gene=snap_masked-NODE_9_length_615366_cov_18.973_ID_1912-processed-gene-3.15&CDS=1-786
OG0000360	YHL039W, YPL208W	maker-NODE_9_length_615366_cov_18.973_ID_1912-snap-gene-1.97-mRNA-1_1&gene=maker-NODE_9_length_615366_cov_18.973_ID_1912-snap-gene-1.97&CDS=1-1494
OG0000361	YHR001W, YKR003W	snap_masked-NODE_9_length_615366_cov_18.973_ID_1912-processed-gene-1.112-mRNA-1_1&gene=snap_masked-NODE_9_length_615366_cov_18.973_ID_1912-processed-gene-1.112&CDS=1-1329
OG0000362	YHR021C, YKL156W	snap_masked-NODE_9_length_615366_cov_18.973_ID_1912-processed-gene-3.28-mRNA-1_1&gene=snap_masked-NODE_9_length_615366_cov_18.973_ID_1912-processed-gene-3.28&CDS=1-246
OG0000363	YHR032W	snap_masked-NODE_1_length_1065328_cov_19.742_ID_1323-processed-gene-7.127-mRNA-1_1&gene=snap_masked-NODE_1_length_1065328_cov_19.742_ID_1323-processed-gene-7.127&CDS=1-1464, snap_masked-NODE_8_length_668598_cov_18.9487_ID_973-processed-gene-5.61-mRNA-1_1&gene=snap_masked-NODE_8_length_668598_cov_18.9487_ID_973-processed-gene-5.61&CDS=1-1827
OG0000364	YHR115C, YNL116W	snap_masked-NODE_18_length_328044_cov_21.3707_ID_2954-processed-gene-2.21-mRNA-1_1&gene=snap_masked-NODE_18_length_328044_cov_21.3707_ID_2954-processed-gene-2.21&CDS=1-1755
OG0000365	YHR117W, YNL121C	snap_masked-NODE_11_length_435590_cov_18.4678_ID_1220-processed-gene-1.15-mRNA-1_1&gene=snap_masked-NODE_11_length_435590_cov_18.4678_ID_1220-processed-gene-1.15&CDS=1-1782
OG0000366	YHR123W, YNL130C	maker-NODE_5_length_798211_cov_19.4048_ID_1084-snap-gene-1.13-mRNA-1_1&gene=maker-NODE_5_length_798211_cov_19.4048_ID_1084-snap-gene-1.13&CDS=1-1185
OG0000367	YHR131C, YNL144C	snap_masked-NODE_2_length_1055940_cov_18.7611_ID_4341-processed-gene-8.51-mRNA-1_1&gene=snap_masked-NODE_2_length_1055940_cov_18.7611_ID_4341-processed-gene-8.51&CDS=1-1776
OG0000368	YHR133C, YNL156C	snap_masked-NODE_11_length_435590_cov_18.4678_ID_1220-processed-gene-3.197-mRNA-1_1&gene=snap_masked-NODE_11_length_435590_cov_18.4678_ID_1220-processed-gene-3.197&CDS=1-900
OG0000369	YHR141C, YNL162W	snap_masked-NODE_3_length_863959_cov_18.7832_ID_1457-processed-gene-7.76-mRNA-1_1&gene=snap_masked-NODE_3_length_863959_cov_18.7832_ID_1457-processed-gene-7.76&CDS=1-318
OG0000370	YHR155W, YNL257C	snap_masked-NODE_8_length_668598_cov_18.9487_ID_973-processed-gene-5.71-mRNA-1_1&gene=snap_masked-NODE_8_length_668598_cov_18.9487_ID_973-processed-gene-5.71&CDS=1-3891
OG0000371	YHR170W	augustus_masked-NODE_5_length_798211_cov_19.4048_ID_1084-processed-gene-5.78-mRNA-1_1&gene=augustus_masked-NODE_5_length_798211_cov_19.4048_ID_1084-processed-gene-5.78&CDS=1-1527, snap_masked-NODE_6_length_745053_cov_20.2367_ID_1009-processed-gene-6.39-mRNA-1_1&gene=snap_masked-NODE_6_length_745053_cov_20.2367_ID_1009-processed-gene-6.39&CDS=1-1539
OG0000372	YHR179W, YPL171C	maker-NODE_2_length_1055940_cov_18.7611_ID_4341-snap-gene-3.148-mRNA-1_1&gene=maker-NODE_2_length_1055940_cov_18.7611_ID_4341-snap-gene-3.148&CDS=1-3321
OG0000373	YHR198C, YHR199C	snap_masked-NODE_15_length_376289_cov_21.1717_ID_1409-processed-gene-2.4-mRNA-1_1&gene=snap_masked-NODE_15_length_376289_cov_21.1717_ID_1409-processed-gene-2.4&CDS=1-873
OG0000374	YHR203C, YJR145C	snap_masked-NODE_12_length_423269_cov_19.1425_ID_1554-processed-gene-3.48-mRNA-1_1&gene=snap_masked-NODE_12_length_423269_cov_19.1425_ID_1554-processed-gene-3.48&CDS=1-777
OG0000375	YIL035C	genemark-NODE_3_length_863959_cov_18.7832_ID_1457-processed-gene-5.113-mRNA-1_1&gene=genemark-NODE_3_length_863959_cov_18.7832_ID_1457-processed-gene-5.113&CDS=1-984, snap_masked-NODE_14_length_402958_cov_18.9881_ID_2029-processed-gene-3.126-mRNA-1_1&gene=snap_masked-NODE_14_length_402958_cov_18.9881_ID_2029-processed-gene-3.126&CDS=1-1041
OG0000376	YIL105C, YNL047C	snap_masked-NODE_10_length_453567_cov_20.6492_ID_1595-processed-gene-2.34-mRNA-1_1&gene=snap_masked-NODE_10_length_453567_cov_20.6492_ID_1595-processed-gene-2.34&CDS=1-2091
OG0000377	YIL111W, YNL052W	augustus_masked-NODE_4_length_827553_cov_19.7208_ID_1272-processed-gene-4.77-mRNA-1_1&gene=augustus_masked-NODE_4_length_827553_cov_19.7208_ID_1272-processed-gene-4.77&CDS=1-519
OG0000378	YIL113W, YNL053W	snap_masked-NODE_10_length_453567_cov_20.6492_ID_1595-processed-gene-1.3-mRNA-1_1&gene=snap_masked-NODE_10_length_453567_cov_20.6492_ID_1595-processed-gene-1.3&CDS=1-1221
OG0000379	YIL114C, YNL055C	snap_masked-NODE_20_length_182353_cov_19.2443_ID_1960-processed-gene-0.55-mRNA-1_1&gene=snap_masked-NODE_20_length_182353_cov_19.2443_ID_1960-processed-gene-0.55&CDS=1-867
OG0000380	YIL126W	snap_masked-NODE_8_length_668598_cov_18.9487_ID_973-processed-gene-3.114-mRNA-1_1&gene=snap_masked-NODE_8_length_668598_cov_18.9487_ID_973-processed-gene-3.114&CDS=1-3702, snap_masked-NODE_9_length_615366_cov_18.973_ID_1912-processed-gene-3.54-mRNA-1_1&gene=snap_masked-NODE_9_length_615366_cov_18.973_ID_1912-processed-gene-3.54&CDS=1-4344
OG0000381	YIL147C	snap_masked-NODE_18_length_328044_cov_21.3707_ID_2954-processed-gene-0.131-mRNA-1_1&gene=snap_masked-NODE_18_length_328044_cov_21.3707_ID_2954-processed-gene-0.131&CDS=1-3213, snap_masked-NODE_1_length_1065328_cov_19.742_ID_1323-processed-gene-9.41-mRNA-1_1&gene=snap_masked-NODE_1_length_1065328_cov_19.742_ID_1323-processed-gene-9.41&CDS=1-3339
OG0000382	YIL149C, YKR095W	snap_masked-NODE_12_length_423269_cov_19.1425_ID_1554-processed-gene-2.14-mRNA-1_1&gene=snap_masked-NODE_12_length_423269_cov_19.1425_ID_1554-processed-gene-2.14&CDS=1-5556
OG0000383	YIL151C, YKR096W	snap_masked-NODE_10_length_453567_cov_20.6492_ID_1595-processed-gene-3.196-mRNA-1_1&gene=snap_masked-NODE_10_length_453567_cov_20.6492_ID_1595-processed-gene-3.196&CDS=1-2460
OG0000384	YIL154C	snap_masked-NODE_10_length_453567_cov_20.6492_ID_1595-processed-gene-3.269-mRNA-1_1&gene=snap_masked-NODE_10_length_453567_cov_20.6492_ID_1595-processed-gene-3.269&CDS=1-1008, snap_masked-NODE_13_length_418862_cov_18.7454_ID_1788-processed-gene-2.42-mRNA-1_1&gene=snap_masked-NODE_13_length_418862_cov_18.7454_ID_1788-processed-gene-2.42&CDS=1-1446
OG0000385	YIR007W	snap_masked-NODE_7_length_674142_cov_18.8803_ID_1132-processed-gene-5.255-mRNA-1_1&gene=snap_masked-NODE_7_length_674142_cov_18.8803_ID_1132-processed-gene-5.255&CDS=1-1986, snap_masked-NODE_8_length_668598_cov_18.9487_ID_973-processed-gene-2.47-mRNA-1_1&gene=snap_masked-NODE_8_length_668598_cov_18.9487_ID_973-processed-gene-2.47&CDS=1-2151
OG0000386	YIR013C, YLR013W	augustus_masked-NODE_2_length_1055940_cov_18.7611_ID_4341-processed-gene-1.117-mRNA-1_1&gene=augustus_masked-NODE_2_length_1055940_cov_18.7611_ID_4341-processed-gene-1.117&CDS=1-1242
OG0000387	YIR035C, YIR036C	augustus_masked-NODE_8_length_668598_cov_18.9487_ID_973-processed-gene-1.101-mRNA-1_1&gene=augustus_masked-NODE_8_length_668598_cov_18.9487_ID_973-processed-gene-1.101&CDS=1-717
OG0000388	YJL076W, YKR010C	snap_masked-NODE_1_length_1065328_cov_19.742_ID_1323-processed-gene-9.47-mRNA-1_1&gene=snap_masked-NODE_1_length_1065328_cov_19.742_ID_1323-processed-gene-9.47&CDS=1-2577
OG0000389	YJL079C, YKR013W	snap_masked-NODE_7_length_674142_cov_18.8803_ID_1132-processed-gene-5.262-mRNA-1_1&gene=snap_masked-NODE_7_length_674142_cov_18.8803_ID_1132-processed-gene-5.262&CDS=1-876
OG0000390	YJL081C	maker-NODE_5_length_798211_cov_19.4048_ID_1084-snap-gene-5.5-mRNA-1_1&gene=maker-NODE_5_length_798211_cov_19.4048_ID_1084-snap-gene-5.5&CDS=1-1440, snap_masked-NODE_4_length_827553_cov_19.7208_ID_1272-processed-gene-5.186-mRNA-1_1&gene=snap_masked-NODE_4_length_827553_cov_19.7208_ID_1272-processed-gene-5.186&CDS=1-1272
OG0000391	YJL082W, YKR018C	maker-NODE_1_length_1065328_cov_19.742_ID_1323-snap-gene-1.139-mRNA-1_1&gene=maker-NODE_1_length_1065328_cov_19.742_ID_1323-snap-gene-1.139&CDS=1-2361
OG0000392	YJL083W, YKR019C	snap_masked-NODE_12_length_423269_cov_19.1425_ID_1554-processed-gene-3.50-mRNA-1_1&gene=snap_masked-NODE_12_length_423269_cov_19.1425_ID_1554-processed-gene-3.50&CDS=1-2502
OG0000393	YJL084C, YKR021W	maker-NODE_18_length_328044_cov_21.3707_ID_2954-snap-gene-1.4-mRNA-1_1&gene=maker-NODE_18_length_328044_cov_21.3707_ID_2954-snap-gene-1.4&CDS=1-2751
OG0000394	YJL105W, YKR029C	snap_masked-NODE_5_length_798211_cov_19.4048_ID_1084-processed-gene-3.33-mRNA-1_1&gene=snap_masked-NODE_5_length_798211_cov_19.4048_ID_1084-processed-gene-3.33&CDS=1-1944
OG0000395	YJL112W, YKR036C	snap_masked-NODE_19_length_184689_cov_19.2526_ID_1898-processed-gene-0.90-mRNA-1_1&gene=snap_masked-NODE_19_length_184689_cov_19.2526_ID_1898-processed-gene-0.90&CDS=1-1887
OG0000396	YJL127C	snap_masked-NODE_14_length_402958_cov_18.9881_ID_2029-processed-gene-1.107-mRNA-1_1&gene=snap_masked-NODE_14_length_402958_cov_18.9881_ID_2029-processed-gene-1.107&CDS=1-681, snap_masked-NODE_17_length_335658_cov_21.0353_ID_2164-processed-gene-1.49-mRNA-1_1&gene=snap_masked-NODE_17_length_335658_cov_21.0353_ID_2164-processed-gene-1.49&CDS=1-1458
OG0000397	YJL133W, YKR052C	maker-NODE_14_length_402958_cov_18.9881_ID_2029-snap-gene-2.150-mRNA-1_1&gene=maker-NODE_14_length_402958_cov_18.9881_ID_2029-snap-gene-2.150&CDS=1-1080
OG0000398	YJL134W, YKR053C	snap_masked-NODE_5_length_798211_cov_19.4048_ID_1084-processed-gene-2.21-mRNA-1_1&gene=snap_masked-NODE_5_length_798211_cov_19.4048_ID_1084-processed-gene-2.21&CDS=1-2016
OG0000399	YJL136C, YKR057W	augustus_masked-NODE_3_length_863959_cov_18.7832_ID_1457-processed-gene-2.147-mRNA-1_1&gene=augustus_masked-NODE_3_length_863959_cov_18.7832_ID_1457-processed-gene-2.147&CDS=1-261
OG0000400	YJL137C, YKR058W	snap_masked-NODE_2_length_1055940_cov_18.7611_ID_4341-processed-gene-5.134-mRNA-1_1&gene=snap_masked-NODE_2_length_1055940_cov_18.7611_ID_4341-processed-gene-5.134&CDS=1-987
OG0000401	YJL138C, YKR059W	maker-NODE_2_length_1055940_cov_18.7611_ID_4341-snap-gene-7.135-mRNA-1_1&gene=maker-NODE_2_length_1055940_cov_18.7611_ID_4341-snap-gene-7.135&CDS=1-1182
OG0000402	YJL163C	snap_masked-NODE_12_length_423269_cov_19.1425_ID_1554-processed-gene-2.20-mRNA-1_1&gene=snap_masked-NODE_12_length_423269_cov_19.1425_ID_1554-processed-gene-2.20&CDS=1-1692, snap_masked-NODE_12_length_423269_cov_19.1425_ID_1554-processed-gene-2.21-mRNA-1_1&gene=snap_masked-NODE_12_length_423269_cov_19.1425_ID_1554-processed-gene-2.21&CDS=1-1758
OG0000403	YJL177W, YKL180W	snap_masked-NODE_1_length_1065328_cov_19.742_ID_1323-processed-gene-3.134-mRNA-1_1&gene=snap_masked-NODE_1_length_1065328_cov_19.742_ID_1323-processed-gene-3.134&CDS=1-540
OG0000404	YJL183W	snap_masked-NODE_11_length_435590_cov_18.4678_ID_1220-processed-gene-1.29-mRNA-1_1&gene=snap_masked-NODE_11_length_435590_cov_18.4678_ID_1220-processed-gene-1.29&CDS=1-1191, snap_masked-NODE_13_length_418862_cov_18.7454_ID_1788-processed-gene-1.127-mRNA-1_1&gene=snap_masked-NODE_13_length_418862_cov_18.7454_ID_1788-processed-gene-1.127&CDS=1-1113
OG0000405	YJL190C, YLR367W	maker-NODE_3_length_863959_cov_18.7832_ID_1457-snap-gene-1.19-mRNA-1_1&gene=maker-NODE_3_length_863959_cov_18.7832_ID_1457-snap-gene-1.19&CDS=1-390
OG0000406	YJR054W, YML047C	snap_masked-NODE_4_length_827553_cov_19.7208_ID_1272-processed-gene-6.5-mRNA-1_1&gene=snap_masked-NODE_4_length_827553_cov_19.7208_ID_1272-processed-gene-6.5&CDS=1-2109
OG0000407	YJR061W, YKL201C	snap_masked-NODE_14_length_402958_cov_18.9881_ID_2029-processed-gene-2.135-mRNA-1_1&gene=snap_masked-NODE_14_length_402958_cov_18.9881_ID_2029-processed-gene-2.135&CDS=1-1875
OG0000408	YJR091C, YPR042C	maker-NODE_25_length_117720_cov_23.487_ID_2525-snap-gene-0.93-mRNA-1_1&gene=maker-NODE_25_length_117720_cov_23.487_ID_2525-snap-gene-0.93&CDS=1-3273
