	Metschnikowia_cerradonensis	Saccharomyces_cerevisiae
OG0000227	genemark-cer-_s159-processed-gene-0.10-mRNA-1_1&gene=genemark-cer-_s159-processed-gene-0.10&CDS=1-2442	YBR294W, YLR092W
OG0000228	genemark-cer-_s159-processed-gene-0.27-mRNA-1_1&gene=genemark-cer-_s159-processed-gene-0.27&CDS=1-1467	YJL134W, YKR053C
OG0000229	maker-cer-_s159-snap-gene-1.2-mRNA-1_1&gene=maker-cer-_s159-snap-gene-1.2&CDS=1-2562	YBR205W, YOR099W
OG0000230	genemark-cer-_s159-processed-gene-1.90-mRNA-1_1&gene=genemark-cer-_s159-processed-gene-1.90&CDS=1-2082	YBR169C, YPL106C
OG0000231	genemark-cer-_s159-processed-gene-1.92-mRNA-1_1&gene=genemark-cer-_s159-processed-gene-1.92&CDS=1-879, snap_masked-cer-_s482-processed-gene-0.15-mRNA-1_1&gene=snap_masked-cer-_s482-processed-gene-0.15&CDS=1-447	YBR185C
OG0000232	augustus_masked-cer-_s159-processed-gene-1.62-mRNA-1_1&gene=augustus_masked-cer-_s159-processed-gene-1.62&CDS=1-3765	YJL076W, YKR010C
OG0000233	genemark-cer-_s159-processed-gene-1.118-mRNA-1_1&gene=genemark-cer-_s159-processed-gene-1.118&CDS=1-1719, genemark-cer-_s238-processed-gene-0.56-mRNA-1_1&gene=genemark-cer-_s238-processed-gene-0.56&CDS=1-1674	YDR242W
OG0000234	genemark-cer-_s159-processed-gene-2.73-mRNA-1_1&gene=genemark-cer-_s159-processed-gene-2.73&CDS=1-1473, genemark-cer-_s624-processed-gene-0.69-mRNA-1_1&gene=genemark-cer-_s624-processed-gene-0.69&CDS=1-1509	YBR006W
OG0000235	genemark-cer-_s159-processed-gene-2.101-mRNA-1_1&gene=genemark-cer-_s159-processed-gene-2.101&CDS=1-2172	YJR059W, YKL198C
OG0000236	genemark-cer-_s159-processed-gene-2.77-mRNA-1_1&gene=genemark-cer-_s159-processed-gene-2.77&CDS=1-3126	YCR067C, YNR026C
OG0000237	augustus_masked-cer-_s159-processed-gene-2.179-mRNA-1_1&gene=augustus_masked-cer-_s159-processed-gene-2.179&CDS=1-1050	YMR123W, YOR258W
OG0000238	genemark-cer-_s16-processed-gene-0.69-mRNA-1_1&gene=genemark-cer-_s16-processed-gene-0.69&CDS=1-435	YDR450W, YML026C
OG0000239	genemark-cer-_s53-processed-gene-0.3-mRNA-1_1&gene=genemark-cer-_s53-processed-gene-0.3&CDS=1-873, snap_masked-cer-_s16-processed-gene-0.8-mRNA-1_1&gene=snap_masked-cer-_s16-processed-gene-0.8&CDS=1-342	YNL315C
OG0000240	genemark-cer-_s16-processed-gene-0.93-mRNA-1_1&gene=genemark-cer-_s16-processed-gene-0.93&CDS=1-1233	YLR300W, YOR190W
OG0000241	genemark-cer-_s16-processed-gene-0.80-mRNA-1_1&gene=genemark-cer-_s16-processed-gene-0.80&CDS=1-1689, genemark-cer-_s223-processed-gene-0.66-mRNA-1_1&gene=genemark-cer-_s223-processed-gene-0.66&CDS=1-1707	YNR055C
OG0000242	genemark-cer-_s16-processed-gene-0.94-mRNA-1_1&gene=genemark-cer-_s16-processed-gene-0.94&CDS=1-591	YDL082W, YMR142C
OG0000243	genemark-cer-_s16-processed-gene-0.82-mRNA-1_1&gene=genemark-cer-_s16-processed-gene-0.82&CDS=1-426	YDL083C, YMR143W
OG0000244	augustus_masked-cer-_s627-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-cer-_s627-processed-gene-0.13&CDS=1-462, genemark-cer-_s16-processed-gene-1.98-mRNA-1_1&gene=genemark-cer-_s16-processed-gene-1.98&CDS=1-1362	YLR231C
OG0000245	genemark-cer-_s656-processed-gene-0.4-mRNA-1_1&gene=genemark-cer-_s656-processed-gene-0.4&CDS=1-1410, snap_masked-cer-_s16-processed-gene-1.45-mRNA-1_1&gene=snap_masked-cer-_s16-processed-gene-1.45&CDS=1-1461	YGR019W
OG0000246	genemark-cer-_s16-processed-gene-1.100-mRNA-1_1&gene=genemark-cer-_s16-processed-gene-1.100&CDS=1-1134, genemark-cer-_s622-processed-gene-0.26-mRNA-1_1&gene=genemark-cer-_s622-processed-gene-0.26&CDS=1-1110	YDL022W
OG0000247	genemark-cer-_s16-processed-gene-1.101-mRNA-1_1&gene=genemark-cer-_s16-processed-gene-1.101&CDS=1-861	YDR253C, YPL038W
OG0000248	augustus_masked-cer-_s608-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-cer-_s608-processed-gene-0.31&CDS=1-768, snap_masked-cer-_s16-processed-gene-1.55-mRNA-1_1&gene=snap_masked-cer-_s16-processed-gene-1.55&CDS=1-768	YLR441C
OG0000249	genemark-cer-_s16-processed-gene-1.91-mRNA-1_1&gene=genemark-cer-_s16-processed-gene-1.91&CDS=1-2442, genemark-cer-_s173-processed-gene-3.62-mRNA-1_1&gene=genemark-cer-_s173-processed-gene-3.62&CDS=1-2502	YFL042C
OG0000250	genemark-cer-_s16-processed-gene-1.104-mRNA-1_1&gene=genemark-cer-_s16-processed-gene-1.104&CDS=1-675, genemark-cer-_s435-processed-gene-2.33-mRNA-1_1&gene=genemark-cer-_s435-processed-gene-2.33&CDS=1-762	YBL064C
OG0000251	genemark-cer-_s16-processed-gene-1.94-mRNA-1_1&gene=genemark-cer-_s16-processed-gene-1.94&CDS=1-1125	YIL135C, YNL074C
OG0000252	genemark-cer-_s16-processed-gene-2.85-mRNA-1_1&gene=genemark-cer-_s16-processed-gene-2.85&CDS=1-1776	YIL085C, YNL029C
OG0000253	genemark-cer-_s16-processed-gene-2.90-mRNA-1_1&gene=genemark-cer-_s16-processed-gene-2.90&CDS=1-1740, genemark-cer-_s425-processed-gene-0.26-mRNA-1_1&gene=genemark-cer-_s425-processed-gene-0.26&CDS=1-1698	YBR132C
OG0000254	genemark-cer-_s16-processed-gene-2.96-mRNA-1_1&gene=genemark-cer-_s16-processed-gene-2.96&CDS=1-1632, snap_masked-cer-_s544-processed-gene-0.7-mRNA-1_1&gene=snap_masked-cer-_s544-processed-gene-0.7&CDS=1-264	YDR479C
OG0000255	genemark-cer-_s16-processed-gene-2.101-mRNA-1_1&gene=genemark-cer-_s16-processed-gene-2.101&CDS=1-1962	YDR263C, YOR033C
OG0000256	genemark-cer-_s16-processed-gene-2.103-mRNA-1_1&gene=genemark-cer-_s16-processed-gene-2.103&CDS=1-2862, snap_masked-cer-_s82-processed-gene-0.60-mRNA-1_1&gene=snap_masked-cer-_s82-processed-gene-0.60&CDS=1-399	YDR524C
OG0000257	genemark-cer-_s16-processed-gene-3.166-mRNA-1_1&gene=genemark-cer-_s16-processed-gene-3.166&CDS=1-2361	YDR264C, YOR034C
OG0000258	genemark-cer-_s16-processed-gene-3.174-mRNA-1_1&gene=genemark-cer-_s16-processed-gene-3.174&CDS=1-723	YDR098C, YER174C
OG0000259	genemark-cer-_s16-processed-gene-3.183-mRNA-1_1&gene=genemark-cer-_s16-processed-gene-3.183&CDS=1-729, genemark-cer-_s16-processed-gene-3.225-mRNA-1_1&gene=genemark-cer-_s16-processed-gene-3.225&CDS=1-753	YIR038C
OG0000260	genemark-cer-_s16-processed-gene-3.191-mRNA-1_1&gene=genemark-cer-_s16-processed-gene-3.191&CDS=1-1617, genemark-cer-_s62-processed-gene-0.2-mRNA-1_1&gene=genemark-cer-_s62-processed-gene-0.2&CDS=1-1884	YMR221C
OG0000261	genemark-cer-_s16-processed-gene-3.234-mRNA-1_1&gene=genemark-cer-_s16-processed-gene-3.234&CDS=1-1503	YMR169C, YMR170C
OG0000262	genemark-cer-_s16-processed-gene-3.203-mRNA-1_1&gene=genemark-cer-_s16-processed-gene-3.203&CDS=1-864, genemark-cer-_s587-processed-gene-0.67-mRNA-1_1&gene=genemark-cer-_s587-processed-gene-0.67&CDS=1-864	YNL202W
OG0000263	genemark-cer-_s160-processed-gene-0.99-mRNA-1_1&gene=genemark-cer-_s160-processed-gene-0.99&CDS=1-2439, genemark-cer-_s370-processed-gene-0.37-mRNA-1_1&gene=genemark-cer-_s370-processed-gene-0.37&CDS=1-2826	YOR270C
OG0000264	genemark-cer-_s160-processed-gene-0.101-mRNA-1_1&gene=genemark-cer-_s160-processed-gene-0.101&CDS=1-4119	YCR073C, YNR031C
OG0000265	genemark-cer-_s164-processed-gene-0.19-mRNA-1_1&gene=genemark-cer-_s164-processed-gene-0.19&CDS=1-1827	YNL299W, YOL115W
OG0000266	genemark-cer-_s67-processed-gene-1.98-mRNA-1_1&gene=genemark-cer-_s67-processed-gene-1.98&CDS=1-3327, snap_masked-cer-_s164-processed-gene-0.7-mRNA-1_1&gene=snap_masked-cer-_s164-processed-gene-0.7&CDS=1-495	YOL086W-A
OG0000267	genemark-cer-_s167-processed-gene-0.0-mRNA-1_1&gene=genemark-cer-_s167-processed-gene-0.0&CDS=1-1497, genemark-cer-_s706-processed-gene-0.9-mRNA-1_1&gene=genemark-cer-_s706-processed-gene-0.9&CDS=1-1932	YNL027W
OG0000268	augustus_masked-cer-_s17-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-cer-_s17-processed-gene-0.2&CDS=1-201	YLR264W, YOR167C
OG0000269	genemark-cer-_s17-processed-gene-0.24-mRNA-1_1&gene=genemark-cer-_s17-processed-gene-0.24&CDS=1-1647, snap_masked-cer-_s94-processed-gene-0.29-mRNA-1_1&gene=snap_masked-cer-_s94-processed-gene-0.29&CDS=1-432	YGL244W
OG0000270	genemark-cer-_s623-processed-gene-0.14-mRNA-1_1&gene=genemark-cer-_s623-processed-gene-0.14&CDS=1-3144, snap_masked-cer-_s17-processed-gene-0.18-mRNA-1_1&gene=snap_masked-cer-_s17-processed-gene-0.18&CDS=1-270	YML010W
OG0000271	genemark-cer-_s348-processed-gene-0.6-mRNA-1_1&gene=genemark-cer-_s348-processed-gene-0.6&CDS=1-2715, snap_masked-cer-_s172-processed-gene-0.66-mRNA-1_1&gene=snap_masked-cer-_s172-processed-gene-0.66&CDS=1-396	YML093W
OG0000272	augustus_masked-cer-_s499-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-cer-_s499-processed-gene-0.1&CDS=1-540, genemark-cer-_s172-processed-gene-0.14-mRNA-1_1&gene=genemark-cer-_s172-processed-gene-0.14&CDS=1-2856	YDL117W
OG0000273	genemark-cer-_s173-processed-gene-0.110-mRNA-1_1&gene=genemark-cer-_s173-processed-gene-0.110&CDS=1-3888, snap_masked-cer-_s400-processed-gene-0.4-mRNA-1_1&gene=snap_masked-cer-_s400-processed-gene-0.4&CDS=1-882	YMR012W
OG0000274	genemark-cer-_s173-processed-gene-0.126-mRNA-1_1&gene=genemark-cer-_s173-processed-gene-0.126&CDS=1-1257	YMR177W, YPL224C
OG0000275	genemark-cer-_s173-processed-gene-1.115-mRNA-1_1&gene=genemark-cer-_s173-processed-gene-1.115&CDS=1-870	YBR183W, YPL087W
OG0000276	genemark-cer-_s173-processed-gene-1.137-mRNA-1_1&gene=genemark-cer-_s173-processed-gene-1.137&CDS=1-900	YGL162W, YPR009W
OG0000277	genemark-cer-_s173-processed-gene-1.118-mRNA-1_1&gene=genemark-cer-_s173-processed-gene-1.118&CDS=1-795	YGR214W, YLR048W
OG0000278	genemark-cer-_s173-processed-gene-1.122-mRNA-1_1&gene=genemark-cer-_s173-processed-gene-1.122&CDS=1-495	YDR418W, YEL054C
OG0000279	genemark-cer-_s456-processed-gene-0.113-mRNA-1_1&gene=genemark-cer-_s456-processed-gene-0.113&CDS=1-1527, snap_masked-cer-_s173-processed-gene-2.104-mRNA-1_1&gene=snap_masked-cer-_s173-processed-gene-2.104&CDS=1-1539	YKL103C
OG0000280	genemark-cer-_s173-processed-gene-2.7-mRNA-1_1&gene=genemark-cer-_s173-processed-gene-2.7&CDS=1-1437	YGR121C, YPR138C
OG0000281	genemark-cer-_s173-processed-gene-2.31-mRNA-1_1&gene=genemark-cer-_s173-processed-gene-2.31&CDS=1-1086	YDL246C, YJR159W
OG0000282	genemark-cer-_s173-processed-gene-2.24-mRNA-1_1&gene=genemark-cer-_s173-processed-gene-2.24&CDS=1-1596, genemark-cer-_s79-processed-gene-0.16-mRNA-1_1&gene=genemark-cer-_s79-processed-gene-0.16&CDS=1-1824	YLR248W
OG0000283	maker-cer-_s173-augustus-gene-3.106-mRNA-1_1&gene=maker-cer-_s173-augustus-gene-3.106&CDS=1-2493	YCR048W, YNR019W
OG0000284	augustus_masked-cer-_s173-processed-gene-3.5-mRNA-1_1&gene=augustus_masked-cer-_s173-processed-gene-3.5&CDS=1-6558	YLR249W, YNL014W
OG0000285	maker-cer-_s173-snap-gene-3.104-mRNA-1_1&gene=maker-cer-_s173-snap-gene-3.104&CDS=1-1401	YBR104W, YPR058W
OG0000286	genemark-cer-_s173-processed-gene-3.65-mRNA-1_1&gene=genemark-cer-_s173-processed-gene-3.65&CDS=1-1272, snap_masked-cer-_s218-processed-gene-1.29-mRNA-1_1&gene=snap_masked-cer-_s218-processed-gene-1.29&CDS=1-261	YDR414C
OG0000287	genemark-cer-_s173-processed-gene-4.67-mRNA-1_1&gene=genemark-cer-_s173-processed-gene-4.67&CDS=1-2328	YDL109C, YGL144C
OG0000288	augustus_masked-cer-_s173-processed-gene-4.126-mRNA-1_1&gene=augustus_masked-cer-_s173-processed-gene-4.126&CDS=1-1719, genemark-cer-_s398-processed-gene-0.11-mRNA-1_1&gene=genemark-cer-_s398-processed-gene-0.11&CDS=1-726	YGR171C
OG0000289	genemark-cer-_s173-processed-gene-4.102-mRNA-1_1&gene=genemark-cer-_s173-processed-gene-4.102&CDS=1-2556, snap_masked-cer-_s622-processed-gene-0.12-mRNA-1_1&gene=snap_masked-cer-_s622-processed-gene-0.12&CDS=1-180	YGL227W
OG0000290	genemark-cer-_s173-processed-gene-4.105-mRNA-1_1&gene=genemark-cer-_s173-processed-gene-4.105&CDS=1-2001	YGR241C, YHR161C
OG0000291	augustus_masked-cer-_s287-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-cer-_s287-processed-gene-0.41&CDS=1-552, snap_masked-cer-_s174-processed-gene-0.79-mRNA-1_1&gene=snap_masked-cer-_s174-processed-gene-0.79&CDS=1-2292	YNL041C
OG0000292	genemark-cer-_s174-processed-gene-0.20-mRNA-1_1&gene=genemark-cer-_s174-processed-gene-0.20&CDS=1-1275, genemark-cer-_s43-processed-gene-0.13-mRNA-1_1&gene=genemark-cer-_s43-processed-gene-0.13&CDS=1-1224	YLR174W
OG0000293	genemark-cer-_s174-processed-gene-0.23-mRNA-1_1&gene=genemark-cer-_s174-processed-gene-0.23&CDS=1-1008, maker-cer-_s174-snap-gene-0.92-mRNA-1_1&gene=maker-cer-_s174-snap-gene-0.92&CDS=1-1998	YJR019C
OG0000294	genemark-cer-_s177-processed-gene-0.104-mRNA-1_1&gene=genemark-cer-_s177-processed-gene-0.104&CDS=1-2079, genemark-cer-_s673-processed-gene-0.1-mRNA-1_1&gene=genemark-cer-_s673-processed-gene-0.1&CDS=1-2424	YBL011W
OG0000295	genemark-cer-_s177-processed-gene-0.137-mRNA-1_1&gene=genemark-cer-_s177-processed-gene-0.137&CDS=1-1350, genemark-cer-_s67-processed-gene-3.111-mRNA-1_1&gene=genemark-cer-_s67-processed-gene-3.111&CDS=1-1374	YAL040C
OG0000296	snap_masked-cer-_s177-processed-gene-0.85-mRNA-1_1&gene=snap_masked-cer-_s177-processed-gene-0.85&CDS=1-495	YCL066W, YCR040W
OG0000297	genemark-cer-_s177-processed-gene-0.112-mRNA-1_1&gene=genemark-cer-_s177-processed-gene-0.112&CDS=1-894, genemark-cer-_s370-processed-gene-0.55-mRNA-1_1&gene=genemark-cer-_s370-processed-gene-0.55&CDS=1-2577	YOR032C
OG0000298	augustus_masked-cer-_s43-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-cer-_s43-processed-gene-0.45&CDS=1-1752, maker-cer-_s178-snap-gene-0.0-mRNA-1_1&gene=maker-cer-_s178-snap-gene-0.0&CDS=1-2331	YDL170W
OG0000299	genemark-cer-_s67-processed-gene-0.42-mRNA-1_1&gene=genemark-cer-_s67-processed-gene-0.42&CDS=1-1593, snap_masked-cer-_s18-processed-gene-0.18-mRNA-1_1&gene=snap_masked-cer-_s18-processed-gene-0.18&CDS=1-222	YHR086W
OG0000300	augustus_masked-cer-_s584-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-cer-_s584-processed-gene-0.6&CDS=1-510, genemark-cer-_s18-processed-gene-0.7-mRNA-1_1&gene=genemark-cer-_s18-processed-gene-0.7&CDS=1-1863	YOR370C
OG0000301	snap_masked-cer-_s181-processed-gene-0.4-mRNA-1_1&gene=snap_masked-cer-_s181-processed-gene-0.4&CDS=1-321, snap_masked-cer-_s218-processed-gene-1.35-mRNA-1_1&gene=snap_masked-cer-_s218-processed-gene-1.35&CDS=1-2373	YGR178C
OG0000302	genemark-cer-_s184-processed-gene-0.7-mRNA-1_1&gene=genemark-cer-_s184-processed-gene-0.7&CDS=1-1710	YGR138C, YPR156C
OG0000303	augustus_masked-cer-_s667-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-cer-_s667-processed-gene-0.4&CDS=1-1179, genemark-cer-_s186-processed-gene-0.7-mRNA-1_1&gene=genemark-cer-_s186-processed-gene-0.7&CDS=1-1314	YGR189C
OG0000304	genemark-cer-_s187-processed-gene-0.0-mRNA-1_1&gene=genemark-cer-_s187-processed-gene-0.0&CDS=1-819	YDL049C, YJL174W
OG0000305	genemark-cer-_s187-processed-gene-0.7-mRNA-1_1&gene=genemark-cer-_s187-processed-gene-0.7&CDS=1-312	YGR027C, YLR333C
OG0000306	snap_masked-cer-_s187-processed-gene-0.119-mRNA-1_1&gene=snap_masked-cer-_s187-processed-gene-0.119&CDS=1-1857	YHR131C, YNL144C
OG0000307	genemark-cer-_s187-processed-gene-0.40-mRNA-1_1&gene=genemark-cer-_s187-processed-gene-0.40&CDS=1-3927	YLL016W, YLR310C
OG0000308	genemark-cer-_s187-processed-gene-0.42-mRNA-1_1&gene=genemark-cer-_s187-processed-gene-0.42&CDS=1-4506	YEL022W, YJR031C
OG0000309	genemark-cer-_s195-processed-gene-0.3-mRNA-1_1&gene=genemark-cer-_s195-processed-gene-0.3&CDS=1-1380	YDR247W, YPL026C
OG0000310	genemark-cer-_s2-processed-gene-0.26-mRNA-1_1&gene=genemark-cer-_s2-processed-gene-0.26&CDS=1-354	YCL035C, YDR513W
OG0000311	snap_masked-cer-_s2-processed-gene-0.10-mRNA-1_1&gene=snap_masked-cer-_s2-processed-gene-0.10&CDS=1-480	YBR191W, YPL079W
OG0000312	genemark-cer-_s20-processed-gene-0.33-mRNA-1_1&gene=genemark-cer-_s20-processed-gene-0.33&CDS=1-1242, genemark-cer-_s67-processed-gene-2.69-mRNA-1_1&gene=genemark-cer-_s67-processed-gene-2.69&CDS=1-1167	YGR263C
OG0000313	augustus_masked-cer-_s20-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-cer-_s20-processed-gene-0.54&CDS=1-615, augustus_masked-cer-_s704-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-cer-_s704-processed-gene-0.56&CDS=1-1059	YDL205C
OG0000314	genemark-cer-_s200-processed-gene-0.9-mRNA-1_1&gene=genemark-cer-_s200-processed-gene-0.9&CDS=1-1737, snap_masked-cer-_s473-processed-gene-0.11-mRNA-1_1&gene=snap_masked-cer-_s473-processed-gene-0.11&CDS=1-276	YPL208W
OG0000315	genemark-cer-_s301-processed-gene-0.91-mRNA-1_1&gene=genemark-cer-_s301-processed-gene-0.91&CDS=1-1623, maker-cer-_s200-snap-gene-0.0-mRNA-1_1&gene=maker-cer-_s200-snap-gene-0.0&CDS=1-1872	YGL186C
OG0000316	genemark-cer-_s207-processed-gene-0.14-mRNA-1_1&gene=genemark-cer-_s207-processed-gene-0.14&CDS=1-879	YMR183C, YPL232W
OG0000317	genemark-cer-_s21-processed-gene-0.3-mRNA-1_1&gene=genemark-cer-_s21-processed-gene-0.3&CDS=1-3570	YAL017W, YOL045W
OG0000318	genemark-cer-_s218-processed-gene-0.84-mRNA-1_1&gene=genemark-cer-_s218-processed-gene-0.84&CDS=1-1125	YMR253C, YPL264C
OG0000319	genemark-cer-_s218-processed-gene-0.114-mRNA-1_1&gene=genemark-cer-_s218-processed-gene-0.114&CDS=1-2814	YKR089C, YOR081C
OG0000320	genemark-cer-_s218-processed-gene-0.91-mRNA-1_1&gene=genemark-cer-_s218-processed-gene-0.91&CDS=1-612, genemark-cer-_s622-processed-gene-0.19-mRNA-1_1&gene=genemark-cer-_s622-processed-gene-0.19&CDS=1-342	YDR298C
OG0000321	genemark-cer-_s218-processed-gene-0.94-mRNA-1_1&gene=genemark-cer-_s218-processed-gene-0.94&CDS=1-3300	YIR033W, YKL020C
OG0000322	genemark-cer-_s218-processed-gene-0.122-mRNA-1_1&gene=genemark-cer-_s218-processed-gene-0.122&CDS=1-2502, genemark-cer-_s48-processed-gene-0.101-mRNA-1_1&gene=genemark-cer-_s48-processed-gene-0.101&CDS=1-1887	YEL061C
OG0000323	genemark-cer-_s218-processed-gene-0.102-mRNA-1_1&gene=genemark-cer-_s218-processed-gene-0.102&CDS=1-1428	YMR182C, YPL230W
OG0000324	genemark-cer-_s218-processed-gene-1.66-mRNA-1_1&gene=genemark-cer-_s218-processed-gene-1.66&CDS=1-486	YDR178W, YLR164W
OG0000325	genemark-cer-_s218-processed-gene-1.101-mRNA-1_1&gene=genemark-cer-_s218-processed-gene-1.101&CDS=1-1410, maker-cer-_s624-augustus-gene-0.79-mRNA-1_1&gene=maker-cer-_s624-augustus-gene-0.79&CDS=1-2265	YEL060C
OG0000326	snap_masked-cer-_s218-processed-gene-1.20-mRNA-1_1&gene=snap_masked-cer-_s218-processed-gene-1.20&CDS=1-2148	YER066W, YFL009W
OG0000327	genemark-cer-_s218-processed-gene-1.103-mRNA-1_1&gene=genemark-cer-_s218-processed-gene-1.103&CDS=1-654	YML106W, YMR271C
OG0000328	genemark-cer-_s218-processed-gene-1.114-mRNA-1_1&gene=genemark-cer-_s218-processed-gene-1.114&CDS=1-1251	YDR348C, YHR097C
OG0000329	genemark-cer-_s219-processed-gene-0.2-mRNA-1_1&gene=genemark-cer-_s219-processed-gene-0.2&CDS=1-1512	YDL161W, YLR206W
OG0000330	snap_masked-cer-_s219-processed-gene-0.27-mRNA-1_1&gene=snap_masked-cer-_s219-processed-gene-0.27&CDS=1-387, snap_masked-cer-_s38-processed-gene-0.65-mRNA-1_1&gene=snap_masked-cer-_s38-processed-gene-0.65&CDS=1-1074	YCL016C
OG0000331	genemark-cer-_s219-processed-gene-0.8-mRNA-1_1&gene=genemark-cer-_s219-processed-gene-0.8&CDS=1-1383	YGR108W, YPR119W
OG0000332	augustus_masked-cer-_s83-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-cer-_s83-processed-gene-0.8&CDS=1-459, snap_masked-cer-_s219-processed-gene-0.37-mRNA-1_1&gene=snap_masked-cer-_s219-processed-gene-0.37&CDS=1-4842	YDR443C
OG0000333	genemark-cer-_s220-processed-gene-0.31-mRNA-1_1&gene=genemark-cer-_s220-processed-gene-0.31&CDS=1-450, genemark-cer-_s435-processed-gene-1.72-mRNA-1_1&gene=genemark-cer-_s435-processed-gene-1.72&CDS=1-861	YBR101C
OG0000334	genemark-cer-_s223-processed-gene-0.69-mRNA-1_1&gene=genemark-cer-_s223-processed-gene-0.69&CDS=1-978	YDL175C, YIL079C
OG0000335	genemark-cer-_s223-processed-gene-0.113-mRNA-1_1&gene=genemark-cer-_s223-processed-gene-0.113&CDS=1-915	YDR368W, YOR120W
OG0000336	genemark-cer-_s223-processed-gene-0.122-mRNA-1_1&gene=genemark-cer-_s223-processed-gene-0.122&CDS=1-459	YGL031C, YGR148C
OG0000337	augustus_masked-cer-_s227-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-cer-_s227-processed-gene-0.4&CDS=1-3537, snap_masked-cer-_s62-processed-gene-0.71-mRNA-1_1&gene=snap_masked-cer-_s62-processed-gene-0.71&CDS=1-399	YLR067C
OG0000338	genemark-cer-_s227-processed-gene-0.29-mRNA-1_1&gene=genemark-cer-_s227-processed-gene-0.29&CDS=1-1542, genemark-cer-_s267-processed-gene-0.25-mRNA-1_1&gene=genemark-cer-_s267-processed-gene-0.25&CDS=1-1029	YJR152W
OG0000339	snap_masked-cer-_s231-processed-gene-0.1-mRNA-1_1&gene=snap_masked-cer-_s231-processed-gene-0.1&CDS=1-1503	YML118W, YMR285C
OG0000340	genemark-cer-_s231-processed-gene-0.45-mRNA-1_1&gene=genemark-cer-_s231-processed-gene-0.45&CDS=1-2100, genemark-cer-_s642-processed-gene-0.12-mRNA-1_1&gene=genemark-cer-_s642-processed-gene-0.12&CDS=1-2103	YLL029W
OG0000341	maker-cer-_s231-augustus-gene-0.0-mRNA-1_1&gene=maker-cer-_s231-augustus-gene-0.0&CDS=1-411	YDR447C, YML024W
OG0000342	genemark-cer-_s235-processed-gene-0.6-mRNA-1_1&gene=genemark-cer-_s235-processed-gene-0.6&CDS=1-1467	YIL113W, YNL053W
OG0000343	genemark-cer-_s304-processed-gene-0.10-mRNA-1_1&gene=genemark-cer-_s304-processed-gene-0.10&CDS=1-1956, snap_masked-cer-_s236-processed-gene-0.19-mRNA-1_1&gene=snap_masked-cer-_s236-processed-gene-0.19&CDS=1-336	YGR119C
OG0000344	genemark-cer-_s238-processed-gene-0.48-mRNA-1_1&gene=genemark-cer-_s238-processed-gene-0.48&CDS=1-1752, genemark-cer-_s47-processed-gene-0.54-mRNA-1_1&gene=genemark-cer-_s47-processed-gene-0.54&CDS=1-1689	YML054C
OG0000345	genemark-cer-_s238-processed-gene-0.54-mRNA-1_1&gene=genemark-cer-_s238-processed-gene-0.54&CDS=1-1395	YFL048C, YLR080W
OG0000346	augustus_masked-cer-_s239-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-cer-_s239-processed-gene-0.0&CDS=1-519, genemark-cer-_s48-processed-gene-0.129-mRNA-1_1&gene=genemark-cer-_s48-processed-gene-0.129&CDS=1-2781	YJL187C
OG0000347	genemark-cer-_s247-processed-gene-0.13-mRNA-1_1&gene=genemark-cer-_s247-processed-gene-0.13&CDS=1-360	YGR243W, YHR162W
OG0000348	genemark-cer-_s247-processed-gene-0.19-mRNA-1_1&gene=genemark-cer-_s247-processed-gene-0.19&CDS=1-2376	YMR119W, YNL008C
OG0000349	snap_masked-cer-_s249-processed-gene-0.30-mRNA-1_1&gene=snap_masked-cer-_s249-processed-gene-0.30&CDS=1-3702	YDR122W, YLR096W
OG0000350	snap_masked-cer-_s263-processed-gene-0.6-mRNA-1_1&gene=snap_masked-cer-_s263-processed-gene-0.6&CDS=1-1257	YAL015C, YOL043C
OG0000351	genemark-cer-_s265-processed-gene-0.2-mRNA-1_1&gene=genemark-cer-_s265-processed-gene-0.2&CDS=1-333, genemark-cer-_s697-processed-gene-0.25-mRNA-1_1&gene=genemark-cer-_s697-processed-gene-0.25&CDS=1-3093	YLR240W
OG0000352	genemark-cer-_s267-processed-gene-0.21-mRNA-1_1&gene=genemark-cer-_s267-processed-gene-0.21&CDS=1-1797	YGR092W, YPR111W
OG0000353	genemark-cer-_s267-processed-gene-0.28-mRNA-1_1&gene=genemark-cer-_s267-processed-gene-0.28&CDS=1-1290, genemark-cer-_s656-processed-gene-0.1-mRNA-1_1&gene=genemark-cer-_s656-processed-gene-0.1&CDS=1-2094	YOR049C
OG0000354	snap_masked-cer-_s269-processed-gene-0.1-mRNA-1_1&gene=snap_masked-cer-_s269-processed-gene-0.1&CDS=1-177, snap_masked-cer-_s482-processed-gene-0.13-mRNA-1_1&gene=snap_masked-cer-_s482-processed-gene-0.13&CDS=1-462	YLR298C
