	Saccharomyces_cerevisiae	yHMPu5000035696_Hanseniaspora_singularis
OG0000761	YDL144C	augustus_masked-flattened_line_10-processed-gene-1.93-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-1.93&CDS=1-1113
OG0000762	YDL145C	genemark-flattened_line_10-processed-gene-1.30-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-1.30&CDS=1-3687
OG0000763	YDL147W	snap_masked-flattened_line_10-processed-gene-1.189-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-1.189&CDS=1-1278
OG0000764	YDL148C	augustus_masked-flattened_line_10-processed-gene-1.97-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-1.97&CDS=1-2424
OG0000765	YDL149W	genemark-flattened_line_10-processed-gene-1.60-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-1.60&CDS=1-2460
OG0000766	YDL150W	snap_masked-flattened_line_10-processed-gene-1.191-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-1.191&CDS=1-1311
OG0000767	YDL153C	snap_masked-flattened_line_10-processed-gene-1.162-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-1.162&CDS=1-1836
OG0000768	YDL156W	augustus_masked-flattened_line_92-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-flattened_line_92-processed-gene-0.7&CDS=1-1587
OG0000769	YDL157C	augustus_masked-flattened_line_92-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-flattened_line_92-processed-gene-0.24&CDS=1-330
OG0000770	YDL159W	augustus_masked-flattened_line_92-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-flattened_line_92-processed-gene-0.6&CDS=1-1716
OG0000771	YDL160C	snap_masked-flattened_line_2-processed-gene-2.36-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-2.36&CDS=1-1482
OG0000772	YDL164C	snap_masked-flattened_line_2-processed-gene-2.39-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-2.39&CDS=1-2103
OG0000773	YDL165W	augustus_masked-flattened_line_2-processed-gene-2.222-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-2.222&CDS=1-633
OG0000774	YDL166C	augustus_masked-flattened_line_187-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-flattened_line_187-processed-gene-0.13&CDS=1-783
OG0000775	YDL167C	augustus_masked-flattened_line_187-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-flattened_line_187-processed-gene-0.12&CDS=1-1872
OG0000776	YDL168W	augustus_masked-flattened_line_187-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-flattened_line_187-processed-gene-0.11&CDS=1-1176
OG0000777	YDL171C	snap_masked-flattened_line_169-processed-gene-0.11-mRNA-1_1&gene=snap_masked-flattened_line_169-processed-gene-0.11&CDS=1-6519
OG0000778	YDL178W	augustus_masked-flattened_line_10-processed-gene-0.101-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-0.101&CDS=1-1617
OG0000779	YDL180W	augustus_masked-flattened_line_10-processed-gene-0.103-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-0.103&CDS=1-2778
OG0000780	YDL183C	augustus_masked-flattened_line_10-processed-gene-1.81-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-1.81&CDS=1-1056
OG0000781	YDL185W	snap_masked-flattened_line_50-processed-gene-0.14-mRNA-1_1&gene=snap_masked-flattened_line_50-processed-gene-0.14&CDS=1-3129
OG0000782	YDL190C	snap_masked-flattened_line_10-processed-gene-0.55-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-0.55&CDS=1-3114
OG0000783	YDL193W	augustus_masked-flattened_line_10-processed-gene-1.118-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-1.118&CDS=1-1197
OG0000784	YDL195W	snap_masked-flattened_line_10-processed-gene-1.186-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-1.186&CDS=1-4086
OG0000785	YDL198C	augustus_masked-flattened_line_8-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-0.3&CDS=1-858
OG0000786	YDL200C	snap_masked-flattened_line_4-processed-gene-1.140-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-1.140&CDS=1-639
OG0000787	YDL201W	snap_masked-flattened_line_8-processed-gene-0.51-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-0.51&CDS=1-900
OG0000788	YDL202W	snap_masked-flattened_line_8-processed-gene-0.69-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-0.69&CDS=1-750
OG0000789	YDL203C	snap_masked-flattened_line_8-processed-gene-0.52-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-0.52&CDS=1-1623
OG0000790	YDL205C	snap_masked-flattened_line_30-processed-gene-0.26-mRNA-1_1&gene=snap_masked-flattened_line_30-processed-gene-0.26&CDS=1-984
OG0000791	YDL208W	augustus_masked-flattened_line_30-processed-gene-0.87-mRNA-1_1&gene=augustus_masked-flattened_line_30-processed-gene-0.87&CDS=1-504
OG0000792	YDL212W	augustus_masked-flattened_line_20-processed-gene-0.183-mRNA-1_1&gene=augustus_masked-flattened_line_20-processed-gene-0.183&CDS=1-648
OG0000793	YDL213C	augustus_masked-flattened_line_20-processed-gene-0.179-mRNA-1_1&gene=augustus_masked-flattened_line_20-processed-gene-0.179&CDS=1-672
OG0000794	YDL215C	snap_masked-flattened_line_20-processed-gene-0.78-mRNA-1_1&gene=snap_masked-flattened_line_20-processed-gene-0.78&CDS=1-3081
OG0000795	YDL217C	augustus_masked-flattened_line_20-processed-gene-0.173-mRNA-1_1&gene=augustus_masked-flattened_line_20-processed-gene-0.173&CDS=1-576
OG0000796	YDL218W	maker-flattened_line_20-snap-gene-0.0-mRNA-1_1&gene=maker-flattened_line_20-snap-gene-0.0&CDS=1-1185
OG0000797	YDL219W	snap_masked-flattened_line_20-processed-gene-0.70-mRNA-1_1&gene=snap_masked-flattened_line_20-processed-gene-0.70&CDS=1-465
OG0000798	YDL225W	maker-flattened_line_20-snap-gene-0.8-mRNA-1_1&gene=maker-flattened_line_20-snap-gene-0.8&CDS=1-2142
OG0000799	YDL226C	augustus_masked-flattened_line_36-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_36-processed-gene-0.0&CDS=1-1047
OG0000800	YDL230W	augustus_masked-flattened_line_116-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-flattened_line_116-processed-gene-0.8&CDS=1-1632
OG0000801	YDL231C	augustus_masked-flattened_line_116-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-flattened_line_116-processed-gene-0.6&CDS=1-3249
OG0000802	YDL234C	snap_masked-flattened_line_24-processed-gene-0.190-mRNA-1_1&gene=snap_masked-flattened_line_24-processed-gene-0.190&CDS=1-1992
OG0000803	YDL235C	augustus_masked-flattened_line_24-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-flattened_line_24-processed-gene-0.12&CDS=1-579
OG0000804	YDL236W	snap_masked-flattened_line_24-processed-gene-0.234-mRNA-1_1&gene=snap_masked-flattened_line_24-processed-gene-0.234&CDS=1-897
OG0000805	YDL237W	augustus_masked-flattened_line_22-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-0.10&CDS=1-1218
OG0000806	YDL238C	augustus_masked-flattened_line_86-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-flattened_line_86-processed-gene-0.8&CDS=1-1437
OG0000807	YDL240W	augustus_masked-flattened_line_86-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-flattened_line_86-processed-gene-0.14&CDS=1-3231
OG0000808	YDR002W	snap_masked-flattened_line_74-processed-gene-0.69-mRNA-1_1&gene=snap_masked-flattened_line_74-processed-gene-0.69&CDS=1-657
OG0000809	YDR005C	snap_masked-flattened_line_56-processed-gene-0.86-mRNA-1_1&gene=snap_masked-flattened_line_56-processed-gene-0.86&CDS=1-1542
OG0000810	YDR006C	augustus_masked-flattened_line_56-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-flattened_line_56-processed-gene-0.25&CDS=1-2445
OG0000811	YDR007W	snap_masked-flattened_line_110-processed-gene-0.15-mRNA-1_1&gene=snap_masked-flattened_line_110-processed-gene-0.15&CDS=1-726
OG0000812	YDR013W	augustus_masked-flattened_line_18-processed-gene-0.65-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-0.65&CDS=1-621
OG0000813	YDR017C	snap_masked-flattened_line_76-processed-gene-0.6-mRNA-1_1&gene=snap_masked-flattened_line_76-processed-gene-0.6&CDS=1-1920
OG0000814	YDR019C	snap_masked-flattened_line_76-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_76-processed-gene-0.0&CDS=1-1215
OG0000815	YDR023W	snap_masked-flattened_line_253-processed-gene-0.2-mRNA-1_1&gene=snap_masked-flattened_line_253-processed-gene-0.2&CDS=1-1386
OG0000816	YDR027C	snap_masked-flattened_line_148-processed-gene-0.7-mRNA-1_1&gene=snap_masked-flattened_line_148-processed-gene-0.7&CDS=1-3390
OG0000817	YDR028C	augustus_masked-flattened_line_148-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-flattened_line_148-processed-gene-0.20&CDS=1-3351
OG0000818	YDR034C	maker-flattened_line_173-snap-gene-0.0-mRNA-1_1&gene=maker-flattened_line_173-snap-gene-0.0&CDS=1-2301
OG0000819	YDR035W	snap_masked-flattened_line_173-processed-gene-0.4-mRNA-1_1&gene=snap_masked-flattened_line_173-processed-gene-0.4&CDS=1-1134
OG0000820	YDR036C	snap_masked-flattened_line_275-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_275-processed-gene-0.0&CDS=1-1800
OG0000821	YDR041W	snap_masked-flattened_line_44-processed-gene-0.152-mRNA-1_1&gene=snap_masked-flattened_line_44-processed-gene-0.152&CDS=1-837
OG0000822	YDR044W	augustus_masked-flattened_line_148-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-flattened_line_148-processed-gene-0.12&CDS=1-1008
OG0000823	YDR045C	snap_masked-flattened_line_148-processed-gene-0.10-mRNA-1_1&gene=snap_masked-flattened_line_148-processed-gene-0.10&CDS=1-336
OG0000824	YDR047W	maker-flattened_line_44-snap-gene-0.123-mRNA-1_1&gene=maker-flattened_line_44-snap-gene-0.123&CDS=1-2799
OG0000825	YDR050C	snap_masked-flattened_line_44-processed-gene-0.127-mRNA-1_1&gene=snap_masked-flattened_line_44-processed-gene-0.127&CDS=1-756
OG0000826	YDR052C	augustus_masked-flattened_line_122-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-flattened_line_122-processed-gene-0.34&CDS=1-3699
OG0000827	YDR054C	augustus_masked-flattened_line_44-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-flattened_line_44-processed-gene-0.40&CDS=1-768
OG0000828	YDR056C	augustus_masked-flattened_line_56-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-flattened_line_56-processed-gene-0.5&CDS=1-630
OG0000829	YDR058C	augustus_masked-flattened_line_14-processed-gene-1.34-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-1.34&CDS=1-1080
OG0000830	YDR060W	snap_masked-flattened_line_0-processed-gene-1.5-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-1.5&CDS=1-3111
OG0000831	YDR061W	snap_masked-flattened_line_6-processed-gene-1.244-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-1.244&CDS=1-1557
OG0000832	YDR062W	snap_masked-flattened_line_6-processed-gene-1.243-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-1.243&CDS=1-1737
OG0000833	YDR064W	augustus_masked-flattened_line_6-processed-gene-1.158-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-1.158&CDS=1-852
OG0000834	YDR067C	augustus_masked-flattened_line_6-processed-gene-1.119-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-1.119&CDS=1-651
OG0000835	YDR071C	snap_masked-flattened_line_6-processed-gene-1.202-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-1.202&CDS=1-573
OG0000836	YDR072C	maker-flattened_line_6-snap-gene-1.259-mRNA-1_1&gene=maker-flattened_line_6-snap-gene-1.259&CDS=1-1257
OG0000837	YDR074W	augustus_masked-flattened_line_6-processed-gene-1.115-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-1.115&CDS=1-2904
OG0000838	YDR079C-A	snap_masked-flattened_line_6-processed-gene-1.192-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-1.192&CDS=1-237
OG0000839	YDR079W	snap_masked-flattened_line_6-processed-gene-1.232-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-1.232&CDS=1-375
OG0000840	YDR081C	maker-flattened_line_6-snap-gene-1.258-mRNA-1_1&gene=maker-flattened_line_6-snap-gene-1.258&CDS=1-3027
OG0000841	YDR083W	augustus_masked-flattened_line_6-processed-gene-1.104-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-1.104&CDS=1-1119
OG0000842	YDR084C	augustus_masked-flattened_line_6-processed-gene-1.140-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-1.140&CDS=1-543
OG0000843	YDR086C	augustus_masked-flattened_line_6-processed-gene-1.143-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-1.143&CDS=1-204
OG0000844	YDR087C	augustus_masked-flattened_line_6-processed-gene-1.103-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-1.103&CDS=1-819
OG0000845	YDR090C	augustus_masked-flattened_line_6-processed-gene-1.99-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-1.99&CDS=1-795
OG0000846	YDR091C	snap_masked-flattened_line_6-processed-gene-1.181-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-1.181&CDS=1-1827
OG0000847	YDR092W	snap_masked-flattened_line_6-processed-gene-1.168-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-1.168&CDS=1-459
OG0000848	YDR097C	augustus_masked-flattened_line_6-processed-gene-1.131-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-1.131&CDS=1-3390
OG0000849	YDR101C	snap_masked-flattened_line_6-processed-gene-1.179-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-1.179&CDS=1-1851
OG0000850	YDR103W	genemark-flattened_line_6-processed-gene-1.48-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-1.48&CDS=1-3108
OG0000851	YDR105C	snap_masked-flattened_line_6-processed-gene-1.222-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-1.222&CDS=1-1428
OG0000852	YDR109C	augustus_masked-flattened_line_6-processed-gene-0.67-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-0.67&CDS=1-6864
OG0000853	YDR111C	snap_masked-flattened_line_8-processed-gene-0.73-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-0.73&CDS=1-1521
OG0000854	YDR115W	snap_masked-flattened_line_8-processed-gene-0.55-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-0.55&CDS=1-390
OG0000855	YDR116C	augustus_masked-flattened_line_8-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-0.30&CDS=1-948
OG0000856	YDR117C	snap_masked-flattened_line_8-processed-gene-0.76-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-0.76&CDS=1-1950
OG0000857	YDR120C	snap_masked-flattened_line_28-processed-gene-0.52-mRNA-1_1&gene=snap_masked-flattened_line_28-processed-gene-0.52&CDS=1-1581
OG0000858	YDR121W	augustus_masked-flattened_line_28-processed-gene-0.89-mRNA-1_1&gene=augustus_masked-flattened_line_28-processed-gene-0.89&CDS=1-480
OG0000859	YDR126W	genemark-flattened_line_28-processed-gene-0.206-mRNA-1_1&gene=genemark-flattened_line_28-processed-gene-0.206&CDS=1-1032
OG0000860	YDR127W	snap_masked-flattened_line_28-processed-gene-0.20-mRNA-1_1&gene=snap_masked-flattened_line_28-processed-gene-0.20&CDS=1-4740
OG0000861	YDR128W	snap_masked-flattened_line_28-processed-gene-0.21-mRNA-1_1&gene=snap_masked-flattened_line_28-processed-gene-0.21&CDS=1-3399
OG0000862	YDR129C	snap_masked-flattened_line_28-processed-gene-0.60-mRNA-1_1&gene=snap_masked-flattened_line_28-processed-gene-0.60&CDS=1-1944
OG0000863	YDR135C	maker-flattened_line_28-snap-gene-0.7-mRNA-1_1&gene=maker-flattened_line_28-snap-gene-0.7&CDS=1-5544
OG0000864	YDR140W	snap_masked-flattened_line_28-processed-gene-0.69-mRNA-1_1&gene=snap_masked-flattened_line_28-processed-gene-0.69&CDS=1-672
OG0000865	YDR141C	maker-flattened_line_28-snap-gene-0.5-mRNA-1_1&gene=maker-flattened_line_28-snap-gene-0.5&CDS=1-4791
OG0000866	YDR143C	augustus_masked-flattened_line_28-processed-gene-0.140-mRNA-1_1&gene=augustus_masked-flattened_line_28-processed-gene-0.140&CDS=1-1494
OG0000867	YDR145W	snap_masked-flattened_line_28-processed-gene-0.40-mRNA-1_1&gene=snap_masked-flattened_line_28-processed-gene-0.40&CDS=1-1536
OG0000868	YDR148C	snap_masked-flattened_line_70-processed-gene-0.59-mRNA-1_1&gene=snap_masked-flattened_line_70-processed-gene-0.59&CDS=1-1551
OG0000869	YDR150W	augustus_masked-flattened_line_70-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-flattened_line_70-processed-gene-0.34&CDS=1-6732
OG0000870	YDR152W	augustus_masked-flattened_line_70-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-flattened_line_70-processed-gene-0.14&CDS=1-1011
OG0000871	YDR153C	snap_masked-flattened_line_70-processed-gene-0.57-mRNA-1_1&gene=snap_masked-flattened_line_70-processed-gene-0.57&CDS=1-1179
OG0000872	YDR155C	snap_masked-flattened_line_70-processed-gene-0.69-mRNA-1_1&gene=snap_masked-flattened_line_70-processed-gene-0.69&CDS=1-492
OG0000873	YDR158W	snap_masked-flattened_line_70-processed-gene-0.49-mRNA-1_1&gene=snap_masked-flattened_line_70-processed-gene-0.49&CDS=1-1089
OG0000874	YDR159W	augustus_masked-flattened_line_70-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-flattened_line_70-processed-gene-0.7&CDS=1-4704
OG0000875	YDR160W	augustus_masked-flattened_line_8-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-0.11&CDS=1-2883
OG0000876	YDR161W	snap_masked-flattened_line_70-processed-gene-0.71-mRNA-1_1&gene=snap_masked-flattened_line_70-processed-gene-0.71&CDS=1-1164
OG0000877	YDR162C	snap_masked-flattened_line_70-processed-gene-0.52-mRNA-1_1&gene=snap_masked-flattened_line_70-processed-gene-0.52&CDS=1-624
OG0000878	YDR164C	snap_masked-flattened_line_70-processed-gene-0.56-mRNA-1_1&gene=snap_masked-flattened_line_70-processed-gene-0.56&CDS=1-2292
OG0000879	YDR165W	augustus_masked-flattened_line_70-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-flattened_line_70-processed-gene-0.28&CDS=1-1299
OG0000880	YDR167W	snap_masked-flattened_line_70-processed-gene-0.67-mRNA-1_1&gene=snap_masked-flattened_line_70-processed-gene-0.67&CDS=1-741
OG0000881	YDR168W	snap_masked-flattened_line_70-processed-gene-0.66-mRNA-1_1&gene=snap_masked-flattened_line_70-processed-gene-0.66&CDS=1-1431
OG0000882	YDR169C	augustus_masked-flattened_line_70-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-flattened_line_70-processed-gene-0.4&CDS=1-1023
OG0000883	YDR170C	augustus_masked-flattened_line_70-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_70-processed-gene-0.1&CDS=1-6138
OG0000884	YDR172W	augustus_masked-flattened_line_70-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-flattened_line_70-processed-gene-0.19&CDS=1-2124
OG0000885	YDR173C	augustus_masked-flattened_line_70-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_70-processed-gene-0.0&CDS=1-1107
OG0000886	YDR174W	augustus_masked-flattened_line_6-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-0.39&CDS=1-879
OG0000887	YDR175C	augustus_masked-flattened_line_6-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-0.54&CDS=1-1035
OG0000888	YDR176W	augustus_masked-flattened_line_6-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-0.40&CDS=1-2652
OG0000889	YDR177W	snap_masked-flattened_line_76-processed-gene-0.30-mRNA-1_1&gene=snap_masked-flattened_line_76-processed-gene-0.30&CDS=1-825
OG0000890	YDR180W	augustus_masked-flattened_line_6-processed-gene-0.42-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-0.42&CDS=1-4962
OG0000891	YDR182W	augustus_masked-flattened_line_6-processed-gene-0.43-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-0.43&CDS=1-1329
OG0000892	YDR188W	augustus_masked-flattened_line_6-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-0.61&CDS=1-1650
OG0000893	YDR189W	augustus_masked-flattened_line_6-processed-gene-0.60-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-0.60&CDS=1-2109
OG0000894	YDR190C	augustus_masked-flattened_line_6-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-0.44&CDS=1-1341
OG0000895	YDR191W	snap_masked-flattened_line_28-processed-gene-0.44-mRNA-1_1&gene=snap_masked-flattened_line_28-processed-gene-0.44&CDS=1-1401
OG0000896	YDR196C	snap_masked-flattened_line_30-processed-gene-0.49-mRNA-1_1&gene=snap_masked-flattened_line_30-processed-gene-0.49&CDS=1-822
OG0000897	YDR198C	snap_masked-flattened_line_30-processed-gene-0.48-mRNA-1_1&gene=snap_masked-flattened_line_30-processed-gene-0.48&CDS=1-1401
OG0000898	YDR204W	augustus_masked-flattened_line_30-processed-gene-0.159-mRNA-1_1&gene=augustus_masked-flattened_line_30-processed-gene-0.159&CDS=1-1014
OG0000899	YDR205W	snap_masked-flattened_line_30-processed-gene-0.82-mRNA-1_1&gene=snap_masked-flattened_line_30-processed-gene-0.82&CDS=1-1944
OG0000900	YDR207C	snap_masked-flattened_line_30-processed-gene-0.80-mRNA-1_1&gene=snap_masked-flattened_line_30-processed-gene-0.80&CDS=1-372
OG0000901	YDR208W	augustus_masked-flattened_line_30-processed-gene-0.119-mRNA-1_1&gene=augustus_masked-flattened_line_30-processed-gene-0.119&CDS=1-2328
OG0000902	YDR211W	snap_masked-flattened_line_30-processed-gene-0.79-mRNA-1_1&gene=snap_masked-flattened_line_30-processed-gene-0.79&CDS=1-2277
OG0000903	YDR212W	snap_masked-flattened_line_30-processed-gene-0.77-mRNA-1_1&gene=snap_masked-flattened_line_30-processed-gene-0.77&CDS=1-1686
OG0000904	YDR214W	augustus_masked-flattened_line_30-processed-gene-0.152-mRNA-1_1&gene=augustus_masked-flattened_line_30-processed-gene-0.152&CDS=1-1074
OG0000905	YDR218C	augustus_masked-flattened_line_30-processed-gene-0.115-mRNA-1_1&gene=augustus_masked-flattened_line_30-processed-gene-0.115&CDS=1-1314
OG0000906	YDR221W	augustus_masked-flattened_line_30-processed-gene-0.108-mRNA-1_1&gene=augustus_masked-flattened_line_30-processed-gene-0.108&CDS=1-1425
OG0000907	YDR226W	augustus_masked-flattened_line_30-processed-gene-0.150-mRNA-1_1&gene=augustus_masked-flattened_line_30-processed-gene-0.150&CDS=1-678
OG0000908	YDR228C	augustus_masked-flattened_line_30-processed-gene-0.151-mRNA-1_1&gene=augustus_masked-flattened_line_30-processed-gene-0.151&CDS=1-1725
OG0000909	YDR231C	snap_masked-flattened_line_8-processed-gene-0.71-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-0.71&CDS=1-678
OG0000910	YDR232W	augustus_masked-flattened_line_8-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-0.6&CDS=1-1644
OG0000911	YDR233C	snap_masked-flattened_line_8-processed-gene-0.72-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-0.72&CDS=1-702
OG0000912	YDR234W	augustus_masked-flattened_line_6-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-0.48&CDS=1-2049
OG0000913	YDR235W	augustus_masked-flattened_line_6-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-0.49&CDS=1-1083
OG0000914	YDR236C	snap_masked-flattened_line_6-processed-gene-0.97-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-0.97&CDS=1-576
OG0000915	YDR237W	snap_masked-flattened_line_6-processed-gene-0.95-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-0.95&CDS=1-906
OG0000916	YDR238C	snap_masked-flattened_line_6-processed-gene-0.77-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-0.77&CDS=1-3192
OG0000917	YDR242W	snap_masked-flattened_line_44-processed-gene-0.163-mRNA-1_1&gene=snap_masked-flattened_line_44-processed-gene-0.163&CDS=1-1752
OG0000918	YDR244W	snap_masked-flattened_line_136-processed-gene-0.46-mRNA-1_1&gene=snap_masked-flattened_line_136-processed-gene-0.46&CDS=1-1692
OG0000919	YDR245W	snap_masked-flattened_line_136-processed-gene-0.45-mRNA-1_1&gene=snap_masked-flattened_line_136-processed-gene-0.45&CDS=1-1047
OG0000920	YDR246W	augustus_masked-flattened_line_136-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-flattened_line_136-processed-gene-0.12&CDS=1-678
OG0000921	YDR248C	augustus_masked-flattened_line_136-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-flattened_line_136-processed-gene-0.3&CDS=1-1182
OG0000922	YDR257C	snap_masked-flattened_line_46-processed-gene-0.56-mRNA-1_1&gene=snap_masked-flattened_line_46-processed-gene-0.56&CDS=1-1431
OG0000923	YDR258C	snap_masked-flattened_line_46-processed-gene-0.24-mRNA-1_1&gene=snap_masked-flattened_line_46-processed-gene-0.24&CDS=1-2451
OG0000924	YDR265W	augustus_masked-flattened_line_233-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_233-processed-gene-0.1&CDS=1-768
OG0000925	YDR266C	snap_masked-flattened_line_122-processed-gene-0.17-mRNA-1_1&gene=snap_masked-flattened_line_122-processed-gene-0.17&CDS=1-1938
OG0000926	YDR267C	augustus_masked-flattened_line_36-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-flattened_line_36-processed-gene-0.20&CDS=1-1026
OG0000927	YDR268W	augustus_masked-flattened_line_36-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-flattened_line_36-processed-gene-0.56&CDS=1-1164
OG0000928	YDR270W	augustus_masked-flattened_line_36-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-flattened_line_36-processed-gene-0.14&CDS=1-3267
OG0000929	YDR280W	snap_masked-flattened_line_277-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_277-processed-gene-0.0&CDS=1-999
OG0000930	YDR283C	augustus_masked-flattened_line_48-processed-gene-0.151-mRNA-1_1&gene=augustus_masked-flattened_line_48-processed-gene-0.151&CDS=1-5640
OG0000931	YDR291W	snap_masked-flattened_line_48-processed-gene-0.39-mRNA-1_1&gene=snap_masked-flattened_line_48-processed-gene-0.39&CDS=1-3309
