	Kluyveromyces_lactis	Saccharomyces_cerevisiae
OG0000537	snap_masked-CR382121-processed-gene-6.19-mRNA-1_1&gene=snap_masked-CR382121-processed-gene-6.19&CDS=1-1581	YDR257C
OG0000538	augustus_masked-CR382121-processed-gene-6.145-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-6.145&CDS=1-930	YOR026W
OG0000539	augustus_masked-CR382121-processed-gene-6.123-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-6.123&CDS=1-1575	YDR479C
OG0000540	snap_masked-CR382121-processed-gene-6.45-mRNA-1_1&gene=snap_masked-CR382121-processed-gene-6.45&CDS=1-570	YDR478W
OG0000541	augustus_masked-CR382121-processed-gene-6.147-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-6.147&CDS=1-1377	YOR025W
OG0000542	augustus_masked-CR382121-processed-gene-6.149-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-6.149&CDS=1-1524	YOL119C
OG0000543	augustus_masked-CR382121-processed-gene-6.124-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-6.124&CDS=1-1749	YOL117W
OG0000544	snap_masked-CR382121-processed-gene-6.23-mRNA-1_1&gene=snap_masked-CR382121-processed-gene-6.23&CDS=1-1179	YOL116W
OG0000545	augustus_masked-CR382121-processed-gene-6.127-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-6.127&CDS=1-2052	YOL115W
OG0000546	snap_masked-CR382121-processed-gene-6.52-mRNA-1_1&gene=snap_masked-CR382121-processed-gene-6.52&CDS=1-495	YOL114C
OG0000547	snap_masked-CR382121-processed-gene-6.53-mRNA-1_1&gene=snap_masked-CR382121-processed-gene-6.53&CDS=1-4806	YNL297C
OG0000548	snap_masked-CR382121-processed-gene-6.26-mRNA-1_1&gene=snap_masked-CR382121-processed-gene-6.26&CDS=1-1458	YNL295W
OG0000549	augustus_masked-CR382121-processed-gene-6.152-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-6.152&CDS=1-1557	YNL294C
OG0000550	augustus_masked-CR382121-processed-gene-6.130-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-6.130&CDS=1-1797	YNL293W
OG0000551	snap_masked-CR382121-processed-gene-6.55-mRNA-1_1&gene=snap_masked-CR382121-processed-gene-6.55&CDS=1-633	YOL111C
OG0000552	maker-CR382121-augustus-gene-6.160-mRNA-1_1&gene=maker-CR382121-augustus-gene-6.160&CDS=1-2937	YKR089C
OG0000553	snap_masked-CR382121-processed-gene-6.56-mRNA-1_1&gene=snap_masked-CR382121-processed-gene-6.56&CDS=1-2160	YOR080W
OG0000554	snap_masked-CR382121-processed-gene-6.29-mRNA-1_1&gene=snap_masked-CR382121-processed-gene-6.29&CDS=1-942	YOR079C
OG0000555	snap_masked-CR382121-processed-gene-6.57-mRNA-1_1&gene=snap_masked-CR382121-processed-gene-6.57&CDS=1-750	YOR078W
OG0000556	augustus_masked-CR382121-processed-gene-6.133-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-6.133&CDS=1-915	YKR088C
OG0000557	augustus_masked-CR382121-processed-gene-6.157-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-6.157&CDS=1-717	YOR077W
OG0000558	augustus_masked-CR382121-processed-gene-6.134-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-6.134&CDS=1-1035	YKR087C
OG0000559	augustus_masked-CR382121-processed-gene-7.45-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-7.45&CDS=1-591	YKR085C
OG0000560	augustus_masked-CR382121-processed-gene-7.46-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-7.46&CDS=1-2025	YKR084C
OG0000561	snap_masked-CR382121-processed-gene-7.4-mRNA-1_1&gene=snap_masked-CR382121-processed-gene-7.4&CDS=1-987	YOR075W
OG0000562	augustus_masked-CR382121-processed-gene-7.47-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-7.47&CDS=1-936	YOR074C
OG0000563	augustus_masked-CR382121-processed-gene-7.50-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-7.50&CDS=1-1782	YOR073W
OG0000564	augustus_masked-CR382121-processed-gene-7.51-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-7.51&CDS=1-396	YKR083C
OG0000565	snap_masked-CR382121-processed-gene-7.31-mRNA-1_1&gene=snap_masked-CR382121-processed-gene-7.31&CDS=1-3318	YKR082W
OG0000566	augustus_masked-CR382121-processed-gene-7.52-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-7.52&CDS=1-1032	YKR081C
OG0000567	augustus_masked-CR382121-processed-gene-7.74-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-7.74&CDS=1-978	YKR080W
OG0000568	augustus_masked-CR382121-processed-gene-7.53-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-7.53&CDS=1-3348	YOR070C
OG0000569	snap_masked-CR382121-processed-gene-7.33-mRNA-1_1&gene=snap_masked-CR382121-processed-gene-7.33&CDS=1-1845	YML046W
OG0000570	snap_masked-CR382121-processed-gene-7.10-mRNA-1_1&gene=snap_masked-CR382121-processed-gene-7.10&CDS=1-1827	YJR053W
OG0000571	augustus_masked-CR382121-processed-gene-7.55-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-7.55&CDS=1-1548	YJR054W
OG0000572	augustus_masked-CR382121-processed-gene-7.76-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-7.76&CDS=1-1155	YML048W
OG0000573	snap_masked-CR382121-processed-gene-7.12-mRNA-1_1&gene=snap_masked-CR382121-processed-gene-7.12&CDS=1-3807	YML049C
OG0000574	genemark-CR382121-processed-gene-7.130-mRNA-1_1&gene=genemark-CR382121-processed-gene-7.130&CDS=1-966	YML050W
OG0000575	snap_masked-CR382121-processed-gene-7.35-mRNA-1_1&gene=snap_masked-CR382121-processed-gene-7.35&CDS=1-1371	YML051W
OG0000576	augustus_masked-CR382121-processed-gene-7.78-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-7.78&CDS=1-870	YML052W
OG0000577	augustus_masked-CR382121-processed-gene-7.79-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-7.79&CDS=1-1317	YHR016C
OG0000578	snap_masked-CR382121-processed-gene-7.18-mRNA-1_1&gene=snap_masked-CR382121-processed-gene-7.18&CDS=1-1143	YHR017W
OG0000579	augustus_masked-CR382121-processed-gene-7.80-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-7.80&CDS=1-1383	YHR018C
OG0000580	augustus_masked-CR382121-processed-gene-7.81-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-7.81&CDS=1-1662	YHR019C
OG0000581	augustus_masked-CR382121-processed-gene-7.61-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-7.61&CDS=1-2016	YHR020W
OG0000582	augustus_masked-CR382121-processed-gene-7.82-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-7.82&CDS=1-1002	YFR025C
OG0000583	snap_masked-CR382121-processed-gene-7.21-mRNA-1_1&gene=snap_masked-CR382121-processed-gene-7.21&CDS=1-810	YCL005W
OG0000584	augustus_masked-CR382121-processed-gene-7.64-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-7.64&CDS=1-1503	YCL004W
OG0000585	augustus_masked-CR382121-processed-gene-7.65-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-7.65&CDS=1-546	YCL001W
OG0000586	augustus_masked-CR382121-processed-gene-7.66-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-7.66&CDS=1-1164	YNL001W
OG0000587	augustus_masked-CR382121-processed-gene-7.84-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-7.84&CDS=1-738	YGR001C
OG0000588	genemark-CR382121-processed-gene-7.120-mRNA-1_1&gene=genemark-CR382121-processed-gene-7.120&CDS=1-4923	YAL001C
OG0000589	augustus_masked-CR382121-processed-gene-7.68-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-7.68&CDS=1-1317	YAR003W
OG0000590	augustus_masked-CR382121-processed-gene-7.69-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-7.69&CDS=1-1746	YGL003C
OG0000591	augustus_masked-CR382121-processed-gene-7.86-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-7.86&CDS=1-1863	YAR007C
OG0000592	snap_masked-CR382121-processed-gene-7.28-mRNA-1_1&gene=snap_masked-CR382121-processed-gene-7.28&CDS=1-1269	YGL004C
OG0000593	snap_masked-CR382121-processed-gene-7.29-mRNA-1_1&gene=snap_masked-CR382121-processed-gene-7.29&CDS=1-750	YGL005C
OG0000594	augustus_masked-CR382121-processed-gene-7.87-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-7.87&CDS=1-3840	YGL006W
OG0000595	augustus_masked-CR382121-processed-gene-7.72-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-7.72&CDS=1-861	YAR008W
OG0000596	augustus_masked-CR382121-processed-gene-8.45-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-8.45&CDS=1-2697	YGL008C
OG0000597	snap_masked-CR382121-processed-gene-8.4-mRNA-1_1&gene=snap_masked-CR382121-processed-gene-8.4&CDS=1-2280	YHR172W
OG0000598	augustus_masked-CR382121-processed-gene-8.51-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-8.51&CDS=1-405	YHR175W
OG0000599	snap_masked-CR382121-processed-gene-8.7-mRNA-1_1&gene=snap_masked-CR382121-processed-gene-8.7&CDS=1-1269	YHR176W
OG0000600	augustus_masked-CR382121-processed-gene-8.53-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-8.53&CDS=1-2064	YHR178W
OG0000601	genemark-CR382121-processed-gene-8.101-mRNA-1_1&gene=genemark-CR382121-processed-gene-8.101&CDS=1-678	YHR181W
OG0000602	snap_masked-CR382121-processed-gene-8.10-mRNA-1_1&gene=snap_masked-CR382121-processed-gene-8.10&CDS=1-1947	YHR182W
OG0000603	augustus_masked-CR382121-processed-gene-8.56-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-8.56&CDS=1-1476	YHR183W
OG0000604	snap_masked-CR382121-processed-gene-8.12-mRNA-1_1&gene=snap_masked-CR382121-processed-gene-8.12&CDS=1-1698	YHR184W
OG0000605	augustus_masked-CR382121-processed-gene-8.70-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-8.70&CDS=1-1098	YGR257C
OG0000606	augustus_masked-CR382121-processed-gene-8.71-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-8.71&CDS=1-807	YHR185C
OG0000607	augustus_masked-CR382121-processed-gene-8.72-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-8.72&CDS=1-3033	YGR258C
OG0000608	augustus_masked-CR382121-processed-gene-8.58-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-8.58&CDS=1-1530	YGR260W
OG0000609	augustus_masked-CR382121-processed-gene-8.73-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-8.73&CDS=1-4518	YHR186C
OG0000610	augustus_masked-CR382121-processed-gene-8.59-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-8.59&CDS=1-885	YHR187W
OG0000611	augustus_masked-CR382121-processed-gene-8.74-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-8.74&CDS=1-1929	YHR188C
OG0000612	augustus_masked-CR382121-processed-gene-8.60-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-8.60&CDS=1-2862	YMR288W
OG0000613	augustus_masked-CR382121-processed-gene-8.75-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-8.75&CDS=1-2376	YGR261C
OG0000614	augustus_masked-CR382121-processed-gene-8.61-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-8.61&CDS=1-1215	YMR289W
OG0000615	augustus_masked-CR382121-processed-gene-8.76-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-8.76&CDS=1-789	YGR262C
OG0000616	augustus_masked-CR382121-processed-gene-8.77-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-8.77&CDS=1-2331	YGR264C
OG0000617	augustus_masked-CR382121-processed-gene-8.78-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-8.78&CDS=1-1491	YMR290C
OG0000618	augustus_masked-CR382121-processed-gene-8.62-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-8.62&CDS=1-2082	YGR266W
OG0000619	augustus_masked-CR382121-processed-gene-8.63-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-8.63&CDS=1-1671	YMR291W
OG0000620	augustus_masked-CR382121-processed-gene-8.79-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-8.79&CDS=1-735	YGR267C
OG0000621	augustus_masked-CR382121-processed-gene-8.80-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-8.80&CDS=1-591	YGR268C
OG0000622	snap_masked-CR382121-processed-gene-8.19-mRNA-1_1&gene=snap_masked-CR382121-processed-gene-8.19&CDS=1-420	YMR292W
OG0000623	augustus_masked-CR382121-processed-gene-8.64-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-8.64&CDS=1-3957	YGR270W
OG0000624	augustus_masked-CR382121-processed-gene-8.82-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-8.82&CDS=1-1407	YMR293C
OG0000625	snap_masked-CR382121-processed-gene-8.21-mRNA-1_1&gene=snap_masked-CR382121-processed-gene-8.21&CDS=1-1080	YMR294W
OG0000626	augustus_masked-CR382121-processed-gene-8.83-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-8.83&CDS=1-684	YGR271C-A
OG0000627	augustus_masked-CR382121-processed-gene-8.84-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-8.84&CDS=1-591	YMR295C
OG0000628	augustus_masked-CR382121-processed-gene-8.85-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-8.85&CDS=1-1665	YMR296C
OG0000629	augustus_masked-CR382121-processed-gene-8.68-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-8.68&CDS=1-441	YMR298W
OG0000630	augustus_masked-CR382121-processed-gene-8.86-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-8.86&CDS=1-3099	YGR274C
OG0000631	snap_masked-CR382121-processed-gene-8.25-mRNA-1_1&gene=snap_masked-CR382121-processed-gene-8.25&CDS=1-459	YGR275W
OG0000632	augustus_masked-CR382121-processed-gene-8.87-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-8.87&CDS=1-2046	YGR276C
OG0000633	augustus_masked-CR382121-processed-gene-8.88-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-8.88&CDS=1-1110	YMR299C
OG0000634	augustus_masked-CR382121-processed-gene-8.89-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-8.89&CDS=1-1527	YMR300C
OG0000635	snap_masked-CR382121-processed-gene-9.2-mRNA-1_1&gene=snap_masked-CR382121-processed-gene-9.2&CDS=1-2160	YMR301C
OG0000636	augustus_masked-CR382121-processed-gene-9.93-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-9.93&CDS=1-699	YMR314W
OG0000637	augustus_masked-CR382121-processed-gene-9.90-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-9.90&CDS=1-1752	YMR313C
OG0000638	augustus_masked-CR382121-processed-gene-9.94-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-9.94&CDS=1-807	YMR312W
OG0000639	augustus_masked-CR382121-processed-gene-9.95-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-9.95&CDS=1-1476	YHR207C
OG0000640	augustus_masked-CR382121-processed-gene-9.96-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-9.96&CDS=1-765	YER182W
OG0000641	genemark-CR382121-processed-gene-9.206-mRNA-1_1&gene=genemark-CR382121-processed-gene-9.206&CDS=1-651	YER183C
OG0000642	augustus_masked-CR382121-processed-gene-9.97-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-9.97&CDS=1-1119	YHR208W
OG0000643	augustus_masked-CR382121-processed-gene-9.131-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-9.131&CDS=1-618	YGL254W
OG0000644	augustus_masked-CR382121-processed-gene-9.132-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-9.132&CDS=1-882	YNR064C
OG0000645	augustus_masked-CR382121-processed-gene-9.133-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-9.133&CDS=1-1827	YIL162W
OG0000646	augustus_masked-CR382121-processed-gene-9.99-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-9.99&CDS=1-783	YKL070W
OG0000647	augustus_masked-CR382121-processed-gene-9.136-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-9.136&CDS=1-546	YBR047W
OG0000648	augustus_masked-CR382121-processed-gene-9.100-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-9.100&CDS=1-1059	YBR046C
OG0000649	snap_masked-CR382121-processed-gene-9.10-mRNA-1_1&gene=snap_masked-CR382121-processed-gene-9.10&CDS=1-1683	YBR045C
OG0000650	augustus_masked-CR382121-processed-gene-9.137-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-9.137&CDS=1-1377	YDR023W
OG0000651	augustus_masked-CR382121-processed-gene-9.138-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-9.138&CDS=1-1194	YDR021W
OG0000652	augustus_masked-CR382121-processed-gene-9.103-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-9.103&CDS=1-1092	YOL018C
OG0000653	snap_masked-CR382121-processed-gene-9.53-mRNA-1_1&gene=snap_masked-CR382121-processed-gene-9.53&CDS=1-1836	YOL019W
OG0000654	augustus_masked-CR382121-processed-gene-9.104-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-9.104&CDS=1-459	YFR011C
OG0000655	snap_masked-CR382121-processed-gene-9.54-mRNA-1_1&gene=snap_masked-CR382121-processed-gene-9.54&CDS=1-1446	YFR010W
OG0000656	snap_masked-CR382121-processed-gene-9.55-mRNA-1_1&gene=snap_masked-CR382121-processed-gene-9.55&CDS=1-1752	YOL020W
OG0000657	augustus_masked-CR382121-processed-gene-9.105-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-9.105&CDS=1-3024	YOL021C
OG0000658	augustus_masked-CR382121-processed-gene-9.141-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-9.141&CDS=1-2256	YFR009W
OG0000659	augustus_masked-CR382121-processed-gene-9.106-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-9.106&CDS=1-1284	YOL022C
OG0000660	augustus_masked-CR382121-processed-gene-9.142-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-9.142&CDS=1-2010	YOL023W
OG0000661	augustus_masked-CR382121-processed-gene-9.107-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-9.107&CDS=1-1248	YCR012W
OG0000662	snap_masked-CR382121-processed-gene-9.61-mRNA-1_1&gene=snap_masked-CR382121-processed-gene-9.61&CDS=1-1458	YCR014C
OG0000663	snap_masked-CR382121-processed-gene-9.62-mRNA-1_1&gene=snap_masked-CR382121-processed-gene-9.62&CDS=1-699	YCR015C
OG0000664	augustus_masked-CR382121-processed-gene-9.108-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-9.108&CDS=1-846	YCR016W
OG0000665	augustus_masked-CR382121-processed-gene-9.148-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-9.148&CDS=1-2931	YCR017C
OG0000666	augustus_masked-CR382121-processed-gene-9.149-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-9.149&CDS=1-2157	YEL011W
OG0000667	snap_masked-CR382121-processed-gene-9.65-mRNA-1_1&gene=snap_masked-CR382121-processed-gene-9.65&CDS=1-591	YEL012W
OG0000668	snap_masked-CR382121-processed-gene-9.21-mRNA-1_1&gene=snap_masked-CR382121-processed-gene-9.21&CDS=1-273	YCR020C-A
OG0000669	augustus_masked-CR382121-processed-gene-9.152-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-9.152&CDS=1-1056	YCR019W
OG0000670	augustus_masked-CR382121-processed-gene-9.153-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-9.153&CDS=1-1737	YEL013W
OG0000671	snap_masked-CR382121-processed-gene-9.69-mRNA-1_1&gene=snap_masked-CR382121-processed-gene-9.69&CDS=1-1404	YEL015W
OG0000672	augustus_masked-CR382121-processed-gene-9.111-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-9.111&CDS=1-570	YCR027C
OG0000673	snap_masked-CR382121-processed-gene-9.72-mRNA-1_1&gene=snap_masked-CR382121-processed-gene-9.72&CDS=1-912	YEL017W
OG0000674	augustus_masked-CR382121-processed-gene-9.158-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-9.158&CDS=1-825	YEL018W
OG0000675	snap_masked-CR382121-processed-gene-9.23-mRNA-1_1&gene=snap_masked-CR382121-processed-gene-9.23&CDS=1-768	YEL019C
OG0000676	genemark-CR382121-processed-gene-9.191-mRNA-1_1&gene=genemark-CR382121-processed-gene-9.191&CDS=1-1329	YCR024C
OG0000677	augustus_masked-CR382121-processed-gene-9.114-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-9.114&CDS=1-390	YNL149C
OG0000678	augustus_masked-CR382121-processed-gene-9.115-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-9.115&CDS=1-744	YNL151C
OG0000679	snap_masked-CR382121-processed-gene-9.75-mRNA-1_1&gene=snap_masked-CR382121-processed-gene-9.75&CDS=1-1164	YNL152W
OG0000680	snap_masked-CR382121-processed-gene-9.76-mRNA-1_1&gene=snap_masked-CR382121-processed-gene-9.76&CDS=1-4590	YNL139C
OG0000681	augustus_masked-CR382121-processed-gene-9.116-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-9.116&CDS=1-261	YNL138W-A
OG0000682	snap_masked-CR382121-processed-gene-9.77-mRNA-1_1&gene=snap_masked-CR382121-processed-gene-9.77&CDS=1-639	YHR127W
OG0000683	augustus_masked-CR382121-processed-gene-9.117-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-9.117&CDS=1-1641	YNL138W
OG0000684	augustus_masked-CR382121-processed-gene-9.163-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-9.163&CDS=1-1446	YNL137C
OG0000685	augustus_masked-CR382121-processed-gene-9.118-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-9.118&CDS=1-1206	YNL136W
OG0000686	augustus_masked-CR382121-processed-gene-9.164-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-9.164&CDS=1-342	YNL135C
OG0000687	augustus_masked-CR382121-processed-gene-9.122-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-9.122&CDS=1-906	YJR007W
OG0000688	augustus_masked-CR382121-processed-gene-9.123-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-9.123&CDS=1-963	YJR008W
OG0000689	genemark-CR382121-processed-gene-9.243-mRNA-1_1&gene=genemark-CR382121-processed-gene-9.243&CDS=1-1155	YGL262W
OG0000690	augustus_masked-CR382122-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-CR382122-processed-gene-0.3&CDS=1-1494	YOR378W
OG0000691	augustus_masked-CR382122-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-CR382122-processed-gene-0.20&CDS=1-1692	YNR056C
OG0000692	augustus_masked-CR382122-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-CR382122-processed-gene-0.21&CDS=1-684	YNR057C
OG0000693	augustus_masked-CR382122-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-CR382122-processed-gene-0.4&CDS=1-1449	YNR058W
OG0000694	augustus_masked-CR382122-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-CR382122-processed-gene-0.24&CDS=1-1671	YGL119W
OG0000695	snap_masked-CR382122-processed-gene-0.108-mRNA-1_1&gene=snap_masked-CR382122-processed-gene-0.108&CDS=1-1404	YER027C
OG0000696	augustus_masked-CR382122-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-CR382122-processed-gene-0.26&CDS=1-717	YER028C
OG0000697	augustus_masked-CR382122-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-CR382122-processed-gene-0.27&CDS=1-573	YER029C
OG0000698	augustus_masked-CR382122-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-CR382122-processed-gene-0.7&CDS=1-516	YER030W
OG0000699	augustus_masked-CR382122-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-CR382122-processed-gene-0.28&CDS=1-657	YGL210W
OG0000700	augustus_masked-CR382122-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-CR382122-processed-gene-0.8&CDS=1-2565	YER032W
OG0000701	augustus_masked-CR382122-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-CR382122-processed-gene-0.29&CDS=1-2460	YER033C
OG0000702	augustus_masked-CR382122-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-CR382122-processed-gene-0.30&CDS=1-1113	YGL211W
OG0000703	snap_masked-CR382122-processed-gene-0.114-mRNA-1_1&gene=snap_masked-CR382122-processed-gene-0.114&CDS=1-297	YDR424C
OG0000704	augustus_masked-CR382122-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-CR382122-processed-gene-0.10&CDS=1-1725	YDR425W
OG0000705	augustus_masked-CR382122-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-CR382122-processed-gene-0.11&CDS=1-1182	YDR427W
OG0000706	augustus_masked-CR382122-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-CR382122-processed-gene-0.31&CDS=1-807	YDR429C
OG0000707	augustus_masked-CR382122-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-CR382122-processed-gene-0.12&CDS=1-213	YML009C
OG0000708	augustus_masked-CR382122-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-CR382122-processed-gene-0.32&CDS=1-3108	YML010W
OG0000709	augustus_masked-CR382122-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-CR382122-processed-gene-0.13&CDS=1-528	YML011C
OG0000710	augustus_masked-CR382122-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-CR382122-processed-gene-0.33&CDS=1-636	YML012W
OG0000711	augustus_masked-CR382122-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-CR382122-processed-gene-0.34&CDS=1-2946	YDR430C
OG0000712	augustus_masked-CR382122-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-CR382122-processed-gene-0.14&CDS=1-1026	YDR432W
OG0000713	augustus_masked-CR382122-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-CR382122-processed-gene-0.35&CDS=1-1860	YML013W
OG0000714	augustus_masked-CR382122-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-CR382122-processed-gene-0.36&CDS=1-843	YML014W
OG0000715	augustus_masked-CR382122-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-CR382122-processed-gene-0.15&CDS=1-1548	YDR434W
OG0000716	augustus_masked-CR382122-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-CR382122-processed-gene-0.16&CDS=1-1050	YML015C
OG0000717	augustus_masked-CR382122-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-CR382122-processed-gene-0.37&CDS=1-999	YDR435C
OG0000718	snap_masked-CR382122-processed-gene-1.83-mRNA-1_1&gene=snap_masked-CR382122-processed-gene-1.83&CDS=1-393	YDR437W
OG0000719	snap_masked-CR382122-processed-gene-1.86-mRNA-1_1&gene=snap_masked-CR382122-processed-gene-1.86&CDS=1-1680	YML017W
OG0000720	augustus_masked-CR382122-processed-gene-1.2-mRNA-1_1&gene=augustus_masked-CR382122-processed-gene-1.2&CDS=1-1242	YML018C
