	Lachancea_quebecensis	Saccharomyces_cerevisiae
OG0000318	augustus_masked-LAQU0S01-processed-gene-0.110-mRNA-1_1&gene=augustus_masked-LAQU0S01-processed-gene-0.110&CDS=1-6255	YML072C
OG0000319	genemark-LAQU0S01-processed-gene-0.50-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-0.50&CDS=1-1041	YLR447C
OG0000320	genemark-LAQU0S01-processed-gene-0.51-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-0.51&CDS=1-1746	YKR093W
OG0000321	augustus_masked-LAQU0S01-processed-gene-0.112-mRNA-1_1&gene=augustus_masked-LAQU0S01-processed-gene-0.112&CDS=1-1749	YLR446W
OG0000322	genemark-LAQU0S01-processed-gene-0.54-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-0.54&CDS=1-1758	YML070W
OG0000323	genemark-LAQU0S01-processed-gene-0.55-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-0.55&CDS=1-1608	YML069W
OG0000324	genemark-LAQU0S01-processed-gene-0.56-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-0.56&CDS=1-1392	YML068W
OG0000325	maker-LAQU0S01-augustus-gene-0.2-mRNA-1_1&gene=maker-LAQU0S01-augustus-gene-0.2&CDS=1-531	YLR445W
OG0000326	maker-LAQU0S01-snap-gene-0.84-mRNA-1_1&gene=maker-LAQU0S01-snap-gene-0.84&CDS=1-1020	YML067C
OG0000327	snap_masked-LAQU0S01-processed-gene-0.37-mRNA-1_1&gene=snap_masked-LAQU0S01-processed-gene-0.37&CDS=1-1143	YML066C
OG0000328	genemark-LAQU0S01-processed-gene-0.74-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-0.74&CDS=1-1209	YLR443W
OG0000329	genemark-LAQU0S01-processed-gene-0.57-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-0.57&CDS=1-2811	YML065W
OG0000330	genemark-LAQU0S01-processed-gene-0.75-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-0.75&CDS=1-675	YML064C
OG0000331	genemark-LAQU0S01-processed-gene-0.58-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-0.58&CDS=1-768	YLR441C
OG0000332	snap_masked-LAQU0S01-processed-gene-0.40-mRNA-1_1&gene=snap_masked-LAQU0S01-processed-gene-0.40&CDS=1-894	YML062C
OG0000333	snap_masked-LAQU0S01-processed-gene-0.18-mRNA-1_1&gene=snap_masked-LAQU0S01-processed-gene-0.18&CDS=1-2067	YLR440C
OG0000334	genemark-LAQU0S01-processed-gene-0.60-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-0.60&CDS=1-1035	YML060W
OG0000335	genemark-LAQU0S01-processed-gene-0.78-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-0.78&CDS=1-948	YLR439W
OG0000336	augustus_masked-LAQU0S01-processed-gene-0.103-mRNA-1_1&gene=augustus_masked-LAQU0S01-processed-gene-0.103&CDS=1-249	YLR438C-A
OG0000337	augustus_masked-LAQU0S01-processed-gene-0.118-mRNA-1_1&gene=augustus_masked-LAQU0S01-processed-gene-0.118&CDS=1-4641	YML059C
OG0000338	genemark-LAQU0S01-processed-gene-1.0-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-1.0&CDS=1-384	YLR437C
OG0000339	snap_masked-LAQU0S01-processed-gene-1.44-mRNA-1_1&gene=snap_masked-LAQU0S01-processed-gene-1.44&CDS=1-3612	YLR436C
OG0000340	genemark-LAQU0S01-processed-gene-1.4-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-1.4&CDS=1-621	YLR435W
OG0000341	snap_masked-LAQU0S01-processed-gene-1.46-mRNA-1_1&gene=snap_masked-LAQU0S01-processed-gene-1.46&CDS=1-1308	YLR431C
OG0000342	maker-LAQU0S01-augustus-gene-1.90-mRNA-1_1&gene=maker-LAQU0S01-augustus-gene-1.90&CDS=1-8292	YLR430W
OG0000343	augustus_masked-LAQU0S01-processed-gene-1.116-mRNA-1_1&gene=augustus_masked-LAQU0S01-processed-gene-1.116&CDS=1-1836	YLR427W
OG0000344	genemark-LAQU0S01-processed-gene-1.7-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-1.7&CDS=1-504	YML055W
OG0000345	snap_masked-LAQU0S01-processed-gene-1.68-mRNA-1_1&gene=snap_masked-LAQU0S01-processed-gene-1.68&CDS=1-1050	YLR426W
OG0000346	snap_masked-LAQU0S01-processed-gene-1.69-mRNA-1_1&gene=snap_masked-LAQU0S01-processed-gene-1.69&CDS=1-3960	YLR425W
OG0000347	genemark-LAQU0S01-processed-gene-1.24-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-1.24&CDS=1-600	YKL196C
OG0000348	genemark-LAQU0S01-processed-gene-1.8-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-1.8&CDS=1-708	YKL195W
OG0000349	snap_masked-LAQU0S01-processed-gene-1.71-mRNA-1_1&gene=snap_masked-LAQU0S01-processed-gene-1.71&CDS=1-1926	YLR424W
OG0000350	genemark-LAQU0S01-processed-gene-1.9-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-1.9&CDS=1-1239	YLR423C
OG0000351	maker-LAQU0S01-augustus-gene-1.91-mRNA-1_1&gene=maker-LAQU0S01-augustus-gene-1.91&CDS=1-2562	YKL194C
OG0000352	maker-LAQU0S01-augustus-gene-1.92-mRNA-1_1&gene=maker-LAQU0S01-augustus-gene-1.92&CDS=1-7107	YLR422W
OG0000353	genemark-LAQU0S01-processed-gene-1.10-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-1.10&CDS=1-798	YLR421C
OG0000354	genemark-LAQU0S01-processed-gene-1.32-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-1.32&CDS=1-1089	YLR420W
OG0000355	genemark-LAQU0S01-processed-gene-1.11-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-1.11&CDS=1-1707	YKL191W
OG0000356	genemark-LAQU0S01-processed-gene-1.12-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-1.12&CDS=1-525	YKL190W
OG0000357	genemark-LAQU0S01-processed-gene-1.34-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-1.34&CDS=1-1107	YLR418C
OG0000358	genemark-LAQU0S01-processed-gene-1.13-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-1.13&CDS=1-4257	YLR419W
OG0000359	genemark-LAQU0S01-processed-gene-1.14-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-1.14&CDS=1-1077	YKL189W
OG0000360	augustus_masked-LAQU0S01-processed-gene-1.127-mRNA-1_1&gene=augustus_masked-LAQU0S01-processed-gene-1.127&CDS=1-3771	YKL188C
OG0000361	genemark-LAQU0S01-processed-gene-1.15-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-1.15&CDS=1-789	YLR414C
OG0000362	genemark-LAQU0S01-processed-gene-1.38-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-1.38&CDS=1-513	YKL186C
OG0000363	genemark-LAQU0S01-processed-gene-1.16-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-1.16&CDS=1-1584	YKL185W
OG0000364	augustus_masked-LAQU0S01-processed-gene-1.112-mRNA-1_1&gene=augustus_masked-LAQU0S01-processed-gene-1.112&CDS=1-2286	YKL184W
OG0000365	genemark-LAQU0S01-processed-gene-1.19-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-1.19&CDS=1-6150	YKL182W
OG0000366	genemark-LAQU0S01-processed-gene-1.39-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-1.39&CDS=1-675	YLR412W
OG0000367	genemark-LAQU0S01-processed-gene-1.20-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-1.20&CDS=1-1281	YKL181W
OG0000368	genemark-LAQU0S01-processed-gene-1.40-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-1.40&CDS=1-732	YLR411W
OG0000369	genemark-LAQU0S01-processed-gene-1.41-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-1.41&CDS=1-3342	YLR410W
OG0000370	genemark-LAQU0S01-processed-gene-1.21-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-1.21&CDS=1-2817	YLR409C
OG0000371	snap_masked-LAQU0S01-processed-gene-1.88-mRNA-1_1&gene=snap_masked-LAQU0S01-processed-gene-1.88&CDS=1-3042	YDL077C
OG0000372	genemark-LAQU0S01-processed-gene-1.22-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-1.22&CDS=1-327	YLR408C
OG0000373	augustus_masked-LAQU0S01-processed-gene-2.2-mRNA-1_1&gene=augustus_masked-LAQU0S01-processed-gene-2.2&CDS=1-642	YLR407W
OG0000374	augustus_masked-LAQU0S01-processed-gene-2.3-mRNA-1_1&gene=augustus_masked-LAQU0S01-processed-gene-2.3&CDS=1-822	YDL076C
OG0000375	augustus_masked-LAQU0S01-processed-gene-2.4-mRNA-1_1&gene=augustus_masked-LAQU0S01-processed-gene-2.4&CDS=1-2943	YLR405W
OG0000376	snap_masked-LAQU0S01-processed-gene-2.83-mRNA-1_1&gene=snap_masked-LAQU0S01-processed-gene-2.83&CDS=1-3351	YDL073W
OG0000377	snap_masked-LAQU0S01-processed-gene-2.88-mRNA-1_1&gene=snap_masked-LAQU0S01-processed-gene-2.88&CDS=1-648	YLR404W
OG0000378	maker-LAQU0S01-snap-gene-2.39-mRNA-1_1&gene=maker-LAQU0S01-snap-gene-2.39&CDS=1-1989	YLR403W
OG0000379	genemark-LAQU0S01-processed-gene-2.47-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-2.47&CDS=1-2001	YLR401C
OG0000380	genemark-LAQU0S01-processed-gene-2.67-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-2.67&CDS=1-522	YDL072C
OG0000381	genemark-LAQU0S01-processed-gene-2.48-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-2.48&CDS=1-1866	YLR399C
OG0000382	genemark-LAQU0S01-processed-gene-2.49-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-2.49&CDS=1-3795	YLR398C
OG0000383	genemark-LAQU0S01-processed-gene-2.50-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-2.50&CDS=1-2322	YLR397C
OG0000384	snap_masked-LAQU0S01-processed-gene-2.94-mRNA-1_1&gene=snap_masked-LAQU0S01-processed-gene-2.94&CDS=1-1950	YLR396C
OG0000385	genemark-LAQU0S01-processed-gene-2.52-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-2.52&CDS=1-555	YBR137W
OG0000386	snap_masked-LAQU0S01-processed-gene-2.110-mRNA-1_1&gene=snap_masked-LAQU0S01-processed-gene-2.110&CDS=1-180	YDL067C
OG0000387	augustus_masked-LAQU0S01-processed-gene-2.23-mRNA-1_1&gene=augustus_masked-LAQU0S01-processed-gene-2.23&CDS=1-876	YLR393W
OG0000388	genemark-LAQU0S01-processed-gene-2.70-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-2.70&CDS=1-735	YLR390W-A
OG0000389	genemark-LAQU0S01-processed-gene-2.71-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-2.71&CDS=1-912	YDL065C
OG0000390	genemark-LAQU0S01-processed-gene-2.55-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-2.55&CDS=1-444	YDL064W
OG0000391	genemark-LAQU0S01-processed-gene-2.72-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-2.72&CDS=1-1851	YDL063C
OG0000392	augustus_masked-LAQU0S01-processed-gene-2.27-mRNA-1_1&gene=augustus_masked-LAQU0S01-processed-gene-2.27&CDS=1-252	YLR390W
OG0000393	genemark-LAQU0S01-processed-gene-2.56-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-2.56&CDS=1-2892	YLR389C
OG0000394	maker-LAQU0S01-augustus-gene-2.125-mRNA-1_1&gene=maker-LAQU0S01-augustus-gene-2.125&CDS=1-3588	YDL060W
OG0000395	genemark-LAQU0S01-processed-gene-2.73-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-2.73&CDS=1-2589	YLR386W
OG0000396	genemark-LAQU0S01-processed-gene-2.59-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-2.59&CDS=1-387	YLR385C
OG0000397	genemark-LAQU0S01-processed-gene-2.60-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-2.60&CDS=1-3969	YLR384C
OG0000398	genemark-LAQU0S01-processed-gene-2.74-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-2.74&CDS=1-639	YDL059C
OG0000399	genemark-LAQU0S01-processed-gene-2.61-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-2.61&CDS=1-5196	YDL058W
OG0000400	genemark-LAQU0S01-processed-gene-2.75-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-2.75&CDS=1-3306	YLR383W
OG0000401	genemark-LAQU0S01-processed-gene-2.62-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-2.62&CDS=1-2640	YLR382C
OG0000402	maker-LAQU0S01-augustus-gene-2.126-mRNA-1_1&gene=maker-LAQU0S01-augustus-gene-2.126&CDS=1-1434	YLR381W
OG0000403	genemark-LAQU0S01-processed-gene-2.77-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-2.77&CDS=1-1320	YLR380W
OG0000404	genemark-LAQU0S01-processed-gene-2.63-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-2.63&CDS=1-1851	YDL057W
OG0000405	maker-LAQU0S01-snap-gene-2.38-mRNA-1_1&gene=maker-LAQU0S01-snap-gene-2.38&CDS=1-2037	YDL056W
OG0000406	genemark-LAQU0S01-processed-gene-2.78-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-2.78&CDS=1-1083	YDL055C
OG0000407	snap_masked-LAQU0S01-processed-gene-2.121-mRNA-1_1&gene=snap_masked-LAQU0S01-processed-gene-2.121&CDS=1-1491	YLR378C
OG0000408	snap_masked-LAQU0S01-processed-gene-2.122-mRNA-1_1&gene=snap_masked-LAQU0S01-processed-gene-2.122&CDS=1-1371	YDL054C
OG0000409	snap_masked-LAQU0S01-processed-gene-2.123-mRNA-1_1&gene=snap_masked-LAQU0S01-processed-gene-2.123&CDS=1-462	YDL053C
OG0000410	genemark-LAQU0S01-processed-gene-2.65-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-2.65&CDS=1-1044	YLR377C
OG0000411	genemark-LAQU0S01-processed-gene-2.81-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-2.81&CDS=1-1056	YDL052C
OG0000412	genemark-LAQU0S01-processed-gene-3.54-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-3.54&CDS=1-1014	YPR127W
OG0000413	snap_masked-LAQU0S01-processed-gene-3.103-mRNA-1_1&gene=snap_masked-LAQU0S01-processed-gene-3.103&CDS=1-747	YLR376C
OG0000414	genemark-LAQU0S01-processed-gene-3.56-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-3.56&CDS=1-828	YDL051W
OG0000415	genemark-LAQU0S01-processed-gene-3.59-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-3.59&CDS=1-1170	YLR375W
OG0000416	genemark-LAQU0S01-processed-gene-3.60-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-3.60&CDS=1-1038	YLR372W
OG0000417	genemark-LAQU0S01-processed-gene-3.83-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-3.83&CDS=1-3732	YLR371W
OG0000418	genemark-LAQU0S01-processed-gene-3.61-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-3.61&CDS=1-480	YLR370C
OG0000419	snap_masked-LAQU0S01-processed-gene-3.134-mRNA-1_1&gene=snap_masked-LAQU0S01-processed-gene-3.134&CDS=1-1770	YLR368W
OG0000420	genemark-LAQU0S01-processed-gene-3.62-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-3.62&CDS=1-1959	YGR068C
OG0000421	genemark-LAQU0S01-processed-gene-3.63-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-3.63&CDS=1-1776	YGR065C
OG0000422	genemark-LAQU0S01-processed-gene-3.87-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-3.87&CDS=1-327	YLR364W
OG0000423	augustus_masked-LAQU0S01-processed-gene-3.9-mRNA-1_1&gene=augustus_masked-LAQU0S01-processed-gene-3.9&CDS=1-957	YGR062C
OG0000424	augustus_masked-LAQU0S01-processed-gene-3.31-mRNA-1_1&gene=augustus_masked-LAQU0S01-processed-gene-3.31&CDS=1-258	YLR363W-A
OG0000425	genemark-LAQU0S01-processed-gene-3.66-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-3.66&CDS=1-4044	YGR061C
OG0000426	genemark-LAQU0S01-processed-gene-3.88-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-3.88&CDS=1-927	YGR060W
OG0000427	genemark-LAQU0S01-processed-gene-3.67-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-3.67&CDS=1-678	YLR363C
OG0000428	maker-LAQU0S01-augustus-gene-3.157-mRNA-1_1&gene=maker-LAQU0S01-augustus-gene-3.157&CDS=1-1002	YGR058W
OG0000429	genemark-LAQU0S01-processed-gene-3.68-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-3.68&CDS=1-987	YOR292C
OG0000430	augustus_masked-LAQU0S01-processed-gene-3.35-mRNA-1_1&gene=augustus_masked-LAQU0S01-processed-gene-3.35&CDS=1-4416	YOR291W
OG0000431	augustus_masked-LAQU0S01-processed-gene-3.13-mRNA-1_1&gene=augustus_masked-LAQU0S01-processed-gene-3.13&CDS=1-5193	YMR229C
OG0000432	genemark-LAQU0S01-processed-gene-3.92-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-3.92&CDS=1-1023	YMR228W
OG0000433	genemark-LAQU0S01-processed-gene-3.70-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-3.70&CDS=1-1662	YMR227C
OG0000434	genemark-LAQU0S01-processed-gene-3.93-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-3.93&CDS=1-801	YMR226C
OG0000435	genemark-LAQU0S01-processed-gene-3.72-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-3.72&CDS=1-933	YOR288C
OG0000436	genemark-LAQU0S01-processed-gene-3.73-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-3.73&CDS=1-294	YMR225C
OG0000437	genemark-LAQU0S01-processed-gene-3.74-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-3.74&CDS=1-951	YOR287C
OG0000438	genemark-LAQU0S01-processed-gene-3.95-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-3.95&CDS=1-414	YOR286W
OG0000439	augustus_masked-LAQU0S01-processed-gene-3.41-mRNA-1_1&gene=augustus_masked-LAQU0S01-processed-gene-3.41&CDS=1-1086	YOR283W
OG0000440	genemark-LAQU0S01-processed-gene-3.75-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-3.75&CDS=1-1992	YMR224C
OG0000441	genemark-LAQU0S01-processed-gene-3.76-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-3.76&CDS=1-807	YOR281C
OG0000442	genemark-LAQU0S01-processed-gene-3.98-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-3.98&CDS=1-1236	YMR223W
OG0000443	genemark-LAQU0S01-processed-gene-3.77-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-3.77&CDS=1-765	YMR222C
OG0000444	genemark-LAQU0S01-processed-gene-3.78-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-3.78&CDS=1-1566	YMR221C
OG0000445	snap_masked-LAQU0S01-processed-gene-3.128-mRNA-1_1&gene=snap_masked-LAQU0S01-processed-gene-3.128&CDS=1-825	YOR279C
OG0000446	snap_masked-LAQU0S01-processed-gene-3.150-mRNA-1_1&gene=snap_masked-LAQU0S01-processed-gene-3.150&CDS=1-1335	YMR220W
OG0000447	snap_masked-LAQU0S01-processed-gene-3.151-mRNA-1_1&gene=snap_masked-LAQU0S01-processed-gene-3.151&CDS=1-4182	YMR219W
OG0000448	snap_masked-LAQU0S01-processed-gene-3.129-mRNA-1_1&gene=snap_masked-LAQU0S01-processed-gene-3.129&CDS=1-3303	YMR218C
OG0000449	genemark-LAQU0S01-processed-gene-3.100-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-3.100&CDS=1-771	YOR278W
OG0000450	genemark-LAQU0S01-processed-gene-3.101-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-3.101&CDS=1-1575	YMR217W
OG0000451	genemark-LAQU0S01-processed-gene-3.82-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-3.82&CDS=1-1776	YMR216C
OG0000452	genemark-LAQU0S01-processed-gene-4.106-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-4.106&CDS=1-1116	YMR214W
OG0000453	augustus_masked-LAQU0S01-processed-gene-4.3-mRNA-1_1&gene=augustus_masked-LAQU0S01-processed-gene-4.3&CDS=1-2130	YMR213W
OG0000454	genemark-LAQU0S01-processed-gene-4.104-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-4.104&CDS=1-2178	YMR212C
OG0000455	genemark-LAQU0S01-processed-gene-4.105-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-4.105&CDS=1-1992	YOR275C
OG0000456	genemark-LAQU0S01-processed-gene-4.109-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-4.109&CDS=1-1158	YOR274W
OG0000457	genemark-LAQU0S01-processed-gene-4.110-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-4.110&CDS=1-1398	YMR211W
OG0000458	maker-LAQU0S01-augustus-gene-4.100-mRNA-1_1&gene=maker-LAQU0S01-augustus-gene-4.100&CDS=1-2937	YOR273C
OG0000459	genemark-LAQU0S01-processed-gene-4.133-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-4.133&CDS=1-1335	YOR272W
OG0000460	genemark-LAQU0S01-processed-gene-4.113-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-4.113&CDS=1-981	YOR271C
OG0000461	genemark-LAQU0S01-processed-gene-4.134-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-4.134&CDS=1-1245	YMR208W
OG0000462	genemark-LAQU0S01-processed-gene-4.135-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-4.135&CDS=1-1371	YOR269W
OG0000463	genemark-LAQU0S01-processed-gene-4.115-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-4.115&CDS=1-1749	YOR267C
OG0000464	snap_masked-LAQU0S01-processed-gene-4.78-mRNA-1_1&gene=snap_masked-LAQU0S01-processed-gene-4.78&CDS=1-1218	YOR266W
OG0000465	genemark-LAQU0S01-processed-gene-4.137-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-4.137&CDS=1-321	YOR265W
OG0000466	augustus_masked-LAQU0S01-processed-gene-4.29-mRNA-1_1&gene=augustus_masked-LAQU0S01-processed-gene-4.29&CDS=1-1221	YOR264W
OG0000467	genemark-LAQU0S01-processed-gene-4.139-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-4.139&CDS=1-1041	YOR262W
OG0000468	genemark-LAQU0S01-processed-gene-4.116-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-4.116&CDS=1-999	YOR261C
OG0000469	genemark-LAQU0S01-processed-gene-4.117-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-4.117&CDS=1-1326	YPL172C
OG0000470	genemark-LAQU0S01-processed-gene-4.140-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-4.140&CDS=1-1497	YOR260W
OG0000471	genemark-LAQU0S01-processed-gene-4.118-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-4.118&CDS=1-1299	YOR259C
OG0000472	augustus_masked-LAQU0S01-processed-gene-4.32-mRNA-1_1&gene=augustus_masked-LAQU0S01-processed-gene-4.32&CDS=1-651	YOR258W
OG0000473	genemark-LAQU0S01-processed-gene-4.141-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-4.141&CDS=1-879	YPL173W
OG0000474	genemark-LAQU0S01-processed-gene-4.142-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-4.142&CDS=1-528	YOR257W
OG0000475	augustus_masked-LAQU0S01-processed-gene-4.35-mRNA-1_1&gene=augustus_masked-LAQU0S01-processed-gene-4.35&CDS=1-1311	YPL175W
OG0000476	genemark-LAQU0S01-processed-gene-4.122-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-4.122&CDS=1-450	YPL170W
OG0000477	genemark-LAQU0S01-processed-gene-4.145-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-4.145&CDS=1-1767	YPL169C
OG0000478	genemark-LAQU0S01-processed-gene-4.123-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-4.123&CDS=1-1968	YOR254C
OG0000479	genemark-LAQU0S01-processed-gene-4.146-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-4.146&CDS=1-486	YOR253W
OG0000480	augustus_masked-LAQU0S01-processed-gene-4.17-mRNA-1_1&gene=augustus_masked-LAQU0S01-processed-gene-4.17&CDS=1-1203	YPL168W
OG0000481	augustus_masked-LAQU0S01-processed-gene-4.38-mRNA-1_1&gene=augustus_masked-LAQU0S01-processed-gene-4.38&CDS=1-567	YOR252W
OG0000482	genemark-LAQU0S01-processed-gene-4.148-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-4.148&CDS=1-4473	YPL167C
OG0000483	genemark-LAQU0S01-processed-gene-4.125-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-4.125&CDS=1-513	YPL166W
OG0000484	maker-LAQU0S01-augustus-gene-4.101-mRNA-1_1&gene=maker-LAQU0S01-augustus-gene-4.101&CDS=1-2235	YOR250C
OG0000485	snap_masked-LAQU0S01-processed-gene-4.69-mRNA-1_1&gene=snap_masked-LAQU0S01-processed-gene-4.69&CDS=1-1935	YOR249C
OG0000486	augustus_masked-LAQU0S01-processed-gene-4.40-mRNA-1_1&gene=augustus_masked-LAQU0S01-processed-gene-4.40&CDS=1-2091	YPL164C
OG0000487	snap_masked-LAQU0S01-processed-gene-4.94-mRNA-1_1&gene=snap_masked-LAQU0S01-processed-gene-4.94&CDS=1-810	YPL162C
OG0000488	snap_masked-LAQU0S01-processed-gene-4.95-mRNA-1_1&gene=snap_masked-LAQU0S01-processed-gene-4.95&CDS=1-1821	YPL161C
OG0000489	genemark-LAQU0S01-processed-gene-4.129-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-4.129&CDS=1-972	YOR246C
OG0000490	augustus_masked-LAQU0S01-processed-gene-4.21-mRNA-1_1&gene=augustus_masked-LAQU0S01-processed-gene-4.21&CDS=1-3294	YPL160W
OG0000491	genemark-LAQU0S01-processed-gene-4.152-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-4.152&CDS=1-561	YPL159C
OG0000492	augustus_masked-LAQU0S01-processed-gene-4.23-mRNA-1_1&gene=augustus_masked-LAQU0S01-processed-gene-4.23&CDS=1-1329	YMR210W
OG0000493	genemark-LAQU0S01-processed-gene-4.153-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-4.153&CDS=1-1800	YPL158C
OG0000494	genemark-LAQU0S01-processed-gene-4.132-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-4.132&CDS=1-912	YPL157W
OG0000495	genemark-LAQU0S01-processed-gene-4.154-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-4.154&CDS=1-795	YPL156C
OG0000496	genemark-LAQU0S01-processed-gene-4.155-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-4.155&CDS=1-1830	YPL155C
