	Millerozyma_acaciae	Saccharomyces_cerevisiae
OG0000711	-processed-gene-2.34-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-2.34&CDS=1-525	YER030W
OG0000712	-processed-gene-2.120-mRNA-1_1&gene=augustus_masked-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-2.120&CDS=1-405	YER029C
OG0000713	-processed-gene-2.36-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-2.36&CDS=1-3075	YGL207W
OG0000714	-processed-gene-2.14-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-2.14&CDS=1-1545	YKL045W
OG0000715	-processed-gene-2.39-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-2.39&CDS=1-780	YJR060W
OG0000716	-processed-gene-2.123-mRNA-1_1&gene=augustus_masked-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-2.123&CDS=1-2676	YDR531W
OG0000717	-processed-gene-2.41-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-2.41&CDS=1-1191	YGR012W
OG0000718	-processed-gene-2.21-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-2.21&CDS=1-723	YEL038W
OG0000719	-processed-gene-2.44-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-2.44&CDS=1-1086	YEL037C
OG0000720	-processed-gene-2.22-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-2.22&CDS=1-1929	YJR052W
OG0000721	-processed-gene-2.45-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-2.45&CDS=1-2307	YML046W
OG0000722	-processed-gene-2.23-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-2.23&CDS=1-1761	YGR013W
OG0000723	-processed-gene-2.46-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-2.46&CDS=1-3285	YDR420W
OG0000724	-processed-gene-2.26-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-2.26&CDS=1-339	YKL138C
OG0000725	-processed-gene-2.47-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-2.47&CDS=1-675	YMR117C
OG0000726	-processed-gene-2.27-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-2.27&CDS=1-348	YKL137W
OG0000727	-processed-gene-2.134-mRNA-1_1&gene=augustus_masked-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-2.134&CDS=1-4944	YGL022W
OG0000728	-processed-gene-2.49-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-2.49&CDS=1-1629	YGL192W
OG0000729	-processed-gene-2.50-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-2.50&CDS=1-3540	YBL007C
OG0000730	-processed-gene-2.52-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-2.52&CDS=1-465	YGL187C
OG0000731	-processed-gene-2.33-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-2.33&CDS=1-1506	YGL190C
OG0000732	-processed-gene-3.83-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-3.83&CDS=1-417	YGL191W
OG0000733	-processed-gene-3.81-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-3.81&CDS=1-1185	YJR062C
OG0000734	-processed-gene-3.5-mRNA-1_1&gene=snap_masked-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-3.5&CDS=1-399	YOL108C
OG0000735	-processed-gene-3.109-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-3.109&CDS=1-1923	YLR143W
OG0000736	-processed-gene-3.87-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-3.87&CDS=1-2382	YKL179C
OG0000737	-processed-gene-3.110-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-3.110&CDS=1-1116	YMR152W
OG0000738	-processed-gene-3.92-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-3.92&CDS=1-450	YFL017C
OG0000739	-processed-gene-3.70-mRNA-1_1&gene=augustus_masked-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-3.70&CDS=1-222	YFL017W-A
OG0000740	-processed-gene-3.112-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-3.112&CDS=1-2187	YFL013C
OG0000741	-processed-gene-3.94-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-3.94&CDS=1-3045	YMR231W
OG0000742	-processed-gene-3.96-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-3.96&CDS=1-843	YDR233C
OG0000743	-processed-gene-3.113-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-3.113&CDS=1-855	YDL201W
OG0000744	-processed-gene-3.114-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-3.114&CDS=1-750	YDL202W
OG0000745	-processed-gene-3.97-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-3.97&CDS=1-1632	YMR239C
OG0000746	-augustus-gene-3.43-mRNA-1_1&gene=maker-gi|1002316182|dbj|BCKO01000007.1|-augustus-gene-3.43&CDS=1-6702	YNL330C
OG0000747	-processed-gene-3.103-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-3.103&CDS=1-2169	YBR112C
OG0000748	-processed-gene-3.116-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-3.116&CDS=1-633	YBR111C
OG0000749	-processed-gene-3.104-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-3.104&CDS=1-300	YBR111W-A
OG0000750	-processed-gene-3.117-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-3.117&CDS=1-2238	YBR212W
OG0000751	-processed-gene-3.119-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-3.119&CDS=1-432	YOR369C
OG0000752	-processed-gene-3.120-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-3.120&CDS=1-1881	YOR370C
OG0000753	-processed-gene-3.108-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-3.108&CDS=1-846	YBR213W
OG0000754	-processed-gene-3.121-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-3.121&CDS=1-1326	YOR323C
OG0000755	-processed-gene-4.104-mRNA-1_1&gene=augustus_masked-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-4.104&CDS=1-10839	YAL026C
OG0000756	-processed-gene-4.2-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-4.2&CDS=1-1680	YHL029C
OG0000757	-processed-gene-4.3-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-4.3&CDS=1-1236	YNL175C
OG0000758	-processed-gene-4.5-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-4.5&CDS=1-1116	YKR070W
OG0000759	-processed-gene-4.6-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-4.6&CDS=1-1698	YKR069W
OG0000760	-processed-gene-4.4-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-4.4&CDS=1-1323	YOR051C
OG0000761	-processed-gene-4.26-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-4.26&CDS=1-540	YOR052C
OG0000762	-processed-gene-4.28-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-4.28&CDS=1-576	YKR068C
OG0000763	-processed-gene-4.67-mRNA-1_1&gene=snap_masked-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-4.67&CDS=1-1002	YDR297W
OG0000764	-processed-gene-4.30-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-4.30&CDS=1-6396	YDL171C
OG0000765	-processed-gene-4.13-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-4.13&CDS=1-1029	YCR035C
OG0000766	-processed-gene-4.31-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-4.31&CDS=1-3732	YJL197W
OG0000767	-processed-gene-4.72-mRNA-1_1&gene=snap_masked-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-4.72&CDS=1-8352	YCR032W
OG0000768	-processed-gene-4.130-mRNA-1_1&gene=augustus_masked-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-4.130&CDS=1-390	YJL190C
OG0000769	-processed-gene-4.16-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-4.16&CDS=1-168	YJL189W
OG0000770	-augustus-gene-4.56-mRNA-1_1&gene=maker-gi|1002316182|dbj|BCKO01000007.1|-augustus-gene-4.56&CDS=1-2370	YNL045W
OG0000771	-processed-gene-4.17-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-4.17&CDS=1-1749	YBR007C
OG0000772	-processed-gene-4.18-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-4.18&CDS=1-1527	YPR045C
OG0000773	-processed-gene-4.37-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-4.37&CDS=1-726	YJR099W
OG0000774	-processed-gene-4.119-mRNA-1_1&gene=augustus_masked-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-4.119&CDS=1-4803	YDR390C
OG0000775	-processed-gene-4.138-mRNA-1_1&gene=augustus_masked-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-4.138&CDS=1-2544	YOR118W
OG0000776	-processed-gene-4.23-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-4.23&CDS=1-1530	YOR119C
OG0000777	-processed-gene-4.82-mRNA-1_1&gene=snap_masked-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-4.82&CDS=1-615	YBL102W
OG0000778	-processed-gene-4.44-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-4.44&CDS=1-450	YDL125C
OG0000779	-processed-gene-5.53-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-5.53&CDS=1-2490	YDL126C
OG0000780	-processed-gene-5.59-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-5.59&CDS=1-378	YOR122C
OG0000781	-processed-gene-5.54-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-5.54&CDS=1-2031	YDR365C
OG0000782	-processed-gene-5.4-mRNA-1_1&gene=augustus_masked-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-5.4&CDS=1-2070	YHR111W
OG0000783	-processed-gene-5.60-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-5.60&CDS=1-1413	YDR363W
OG0000784	-processed-gene-5.61-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-5.61&CDS=1-1470	YHR113W
OG0000785	-processed-gene-5.10-mRNA-1_1&gene=augustus_masked-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-5.10&CDS=1-2265	YHR009C
OG0000786	-processed-gene-5.64-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-5.64&CDS=1-1335	YDR448W
OG0000787	-processed-gene-5.89-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-5.89&CDS=1-1293	YDR449C
OG0000788	-processed-gene-5.66-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-5.66&CDS=1-1215	YJR080C
OG0000789	-processed-gene-5.91-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-5.91&CDS=1-1251	YDL001W
OG0000790	-processed-gene-5.67-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-5.67&CDS=1-7608	YBL004W
OG0000791	-processed-gene-5.146-mRNA-1_1&gene=snap_masked-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-5.146&CDS=1-870	YDL002C
OG0000792	-processed-gene-5.68-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-5.68&CDS=1-525	YER134C
OG0000793	-processed-gene-5.150-mRNA-1_1&gene=snap_masked-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-5.150&CDS=1-2142	YPL172C
OG0000794	-processed-gene-5.70-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-5.70&CDS=1-1038	YOR262W
OG0000795	-processed-gene-5.41-mRNA-1_1&gene=augustus_masked-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-5.41&CDS=1-291	YOR265W
OG0000796	-processed-gene-5.125-mRNA-1_1&gene=snap_masked-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-5.125&CDS=1-2406	YFL023W
OG0000797	-processed-gene-5.19-mRNA-1_1&gene=augustus_masked-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-5.19&CDS=1-5040	YBL015W
OG0000798	-processed-gene-5.76-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-5.76&CDS=1-612	YOL008W
OG0000799	-processed-gene-5.77-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-5.77&CDS=1-1425	YCR054C
OG0000800	-processed-gene-5.100-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-5.100&CDS=1-1548	YCR053W
OG0000801	-processed-gene-5.78-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-5.78&CDS=1-1245	YGR046W
OG0000802	-processed-gene-5.24-mRNA-1_1&gene=augustus_masked-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-5.24&CDS=1-963	YMR264W
OG0000803	-processed-gene-5.102-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-5.102&CDS=1-1842	YML102W
OG0000804	-processed-gene-5.105-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-5.105&CDS=1-1449	YGR009C
OG0000805	-processed-gene-5.106-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-5.106&CDS=1-462	YDL208W
OG0000806	-processed-gene-6.57-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-6.57&CDS=1-2850	YDR238C
OG0000807	-processed-gene-6.55-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-6.55&CDS=1-2406	YMR075W
OG0000808	-processed-gene-6.56-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-6.56&CDS=1-1323	YMR062C
OG0000809	-processed-gene-6.77-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-6.77&CDS=1-1020	YDL114W
OG0000810	-processed-gene-6.79-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-6.79&CDS=1-591	YOR115C
OG0000811	-processed-gene-6.65-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-6.65&CDS=1-3942	YMR076C
OG0000812	-processed-gene-6.83-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-6.83&CDS=1-1488	YDL207W
OG0000813	-processed-gene-6.66-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-6.66&CDS=1-864	YDR237W
OG0000814	-processed-gene-6.67-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-6.67&CDS=1-780	YGR042W
OG0000815	-processed-gene-6.85-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-6.85&CDS=1-1500	YGR044C
OG0000816	-processed-gene-6.133-mRNA-1_1&gene=augustus_masked-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-6.133&CDS=1-3498	YOL102C
OG0000817	-snap-gene-6.52-mRNA-1_1&gene=maker-gi|1002316182|dbj|BCKO01000007.1|-snap-gene-6.52&CDS=1-1080	YOL127W
OG0000818	-processed-gene-6.68-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-6.68&CDS=1-1125	YNL307C
OG0000819	-processed-gene-6.94-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-6.94&CDS=1-531	YOL129W
OG0000820	-processed-gene-6.69-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-6.69&CDS=1-1329	YPL060W
OG0000821	-processed-gene-6.120-mRNA-1_1&gene=augustus_masked-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-6.120&CDS=1-1059	YDR318W
OG0000822	-processed-gene-6.98-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-6.98&CDS=1-5004	YGL206C
OG0000823	-processed-gene-6.71-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-6.71&CDS=1-2457	YKR090W
OG0000824	-processed-gene-6.100-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-6.100&CDS=1-1044	YKR088C
OG0000825	-processed-gene-6.73-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-6.73&CDS=1-879	YJL068C
OG0000826	-snap-gene-6.53-mRNA-1_1&gene=maker-gi|1002316182|dbj|BCKO01000007.1|-snap-gene-6.53&CDS=1-3114	YOR181W
OG0000827	-processed-gene-6.22-mRNA-1_1&gene=snap_masked-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-6.22&CDS=1-192	YLR262C-A
OG0000828	-processed-gene-6.75-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-6.75&CDS=1-750	YJL063C
OG0000829	-processed-gene-6.76-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-6.76&CDS=1-939	YBR265W
OG0000830	-processed-gene-6.145-mRNA-1_1&gene=augustus_masked-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-6.145&CDS=1-1287	YLR439W
OG0000831	-processed-gene-7.110-mRNA-1_1&gene=augustus_masked-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-7.110&CDS=1-270	YLR438C-A
OG0000832	-processed-gene-7.112-mRNA-1_1&gene=augustus_masked-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-7.112&CDS=1-3351	YLR440C
OG0000833	-processed-gene-7.56-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-7.56&CDS=1-2232	YML061C
OG0000834	-processed-gene-7.60-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-7.60&CDS=1-6108	YML059C
OG0000835	-processed-gene-7.61-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-7.61&CDS=1-1788	YLR352W
OG0000836	-processed-gene-7.63-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-7.63&CDS=1-435	YPR017C
OG0000837	-processed-gene-7.83-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-7.83&CDS=1-636	YGL183C
OG0000838	-processed-gene-7.65-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-7.65&CDS=1-1227	YGL181W
OG0000839	-processed-gene-7.67-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-7.67&CDS=1-735	YPR016C
OG0000840	-processed-gene-7.121-mRNA-1_1&gene=augustus_masked-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-7.121&CDS=1-5694	YLR305C
OG0000841	-processed-gene-7.123-mRNA-1_1&gene=augustus_masked-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-7.123&CDS=1-1335	YDR148C
OG0000842	-processed-gene-7.86-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-7.86&CDS=1-2319	YER130C
OG0000843	-processed-gene-7.71-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-7.71&CDS=1-1140	YGL148W
OG0000844	-processed-gene-7.72-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-7.72&CDS=1-801	YKL154W
OG0000845	-processed-gene-7.127-mRNA-1_1&gene=augustus_masked-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-7.127&CDS=1-1191	YER133W
OG0000846	-processed-gene-7.89-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-7.89&CDS=1-1260	YLR027C
OG0000847	-processed-gene-7.90-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-7.90&CDS=1-606	YGL200C
OG0000848	-processed-gene-7.92-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-7.92&CDS=1-555	YMR295C
OG0000849	-processed-gene-7.146-mRNA-1_1&gene=augustus_masked-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-7.146&CDS=1-4266	YDR311W
OG0000850	-processed-gene-7.76-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-7.76&CDS=1-540	YIL157C
OG0000851	-processed-gene-7.78-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-7.78&CDS=1-1032	YKR087C
OG0000852	-processed-gene-7.79-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-7.79&CDS=1-795	YOR077W
OG0000853	-processed-gene-7.98-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-7.98&CDS=1-969	YKR080W
OG0000854	-processed-gene-7.99-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-7.99&CDS=1-1914	YOR070C
OG0000855	-processed-gene-7.100-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-7.100&CDS=1-1629	YHR064C
OG0000856	-processed-gene-7.80-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-7.80&CDS=1-216	YDR320C-A
OG0000857	-processed-gene-7.54-mRNA-1_1&gene=snap_masked-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-7.54&CDS=1-177	YHR072W-A
OG0000858	-processed-gene-7.81-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-7.81&CDS=1-2343	YDR320C
OG0000859	-processed-gene-8.107-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-8.107&CDS=1-1983	YPR175W
OG0000860	-processed-gene-8.108-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-8.108&CDS=1-996	YPR176C
OG0000861	-processed-gene-8.158-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-8.158&CDS=1-3642	YMR218C
OG0000862	-processed-gene-8.111-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-8.111&CDS=1-618	YFR001W
OG0000863	-processed-gene-8.163-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-8.163&CDS=1-1014	YGR101W
OG0000864	-processed-gene-8.164-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-8.164&CDS=1-2574	YPR112C
OG0000865	-processed-gene-8.112-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-8.112&CDS=1-1029	YOR298W
OG0000866	-processed-gene-8.165-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-8.165&CDS=1-3927	YNL250W
OG0000867	-processed-gene-8.166-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-8.166&CDS=1-1248	YMR235C
OG0000868	-processed-gene-8.114-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-8.114&CDS=1-165	YDR276C
OG0000869	-processed-gene-8.117-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-8.117&CDS=1-1086	YDR347W
OG0000870	-processed-gene-8.167-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-8.167&CDS=1-1479	YOR046C
OG0000871	-processed-gene-8.263-mRNA-1_1&gene=snap_masked-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-8.263&CDS=1-3642	YPR122W
OG0000872	-processed-gene-8.119-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-8.119&CDS=1-1299	YCL032W
OG0000873	-processed-gene-8.122-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-8.122&CDS=1-2271	YDR324C
OG0000874	-augustus-gene-8.299-mRNA-1_1&gene=maker-gi|1002316182|dbj|BCKO01000007.1|-augustus-gene-8.299&CDS=1-2322	YML008C
OG0000875	-processed-gene-8.173-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-8.173&CDS=1-3384	YDR325W
OG0000876	-processed-gene-8.215-mRNA-1_1&gene=snap_masked-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-8.215&CDS=1-2373	YEL053C
OG0000877	-processed-gene-8.124-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-8.124&CDS=1-1437	YML007W
OG0000878	-processed-gene-8.126-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-8.126&CDS=1-1137	YHR068W
OG0000879	-processed-gene-8.174-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-8.174&CDS=1-1320	YER020W
OG0000880	-processed-gene-8.176-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-8.176&CDS=1-1722	YKL139W
OG0000881	-snap-gene-8.101-mRNA-1_1&gene=maker-gi|1002316182|dbj|BCKO01000007.1|-snap-gene-8.101&CDS=1-210	YIL156W-B
OG0000882	-processed-gene-8.177-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-8.177&CDS=1-2034	YKL104C
