	Candida_tanzawaensis	Saccharomyces_cerevisiae
OG0000763	augustus_masked-scaffold_1-processed-gene-13.54-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-13.54&CDS=1-747	YDR226W
OG0000764	augustus_masked-scaffold_1-processed-gene-13.70-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-13.70&CDS=1-1605	YDR228C
OG0000765	augustus_masked-scaffold_1-processed-gene-13.55-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-13.55&CDS=1-903	YDL198C
OG0000766	augustus_masked-scaffold_1-processed-gene-13.71-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-13.71&CDS=1-1650	YNL193W
OG0000767	maker-scaffold_1-augustus-gene-13.90-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-13.90&CDS=1-1158	YOL127W
OG0000768	augustus_masked-scaffold_1-processed-gene-13.58-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-13.58&CDS=1-1128	YNL307C
OG0000769	augustus_masked-scaffold_1-processed-gene-13.73-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-13.73&CDS=1-531	YOL129W
OG0000770	augustus_masked-scaffold_1-processed-gene-13.60-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-13.60&CDS=1-1023	YDR318W
OG0000771	augustus_masked-scaffold_1-processed-gene-13.77-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-13.77&CDS=1-4986	YGL206C
OG0000772	augustus_masked-scaffold_1-processed-gene-13.78-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-13.78&CDS=1-1050	YKL098W
OG0000773	augustus_masked-scaffold_1-processed-gene-13.61-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-13.61&CDS=1-2586	YKR090W
OG0000774	augustus_masked-scaffold_1-processed-gene-13.79-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-13.79&CDS=1-1086	YKR088C
OG0000775	augustus_masked-scaffold_1-processed-gene-13.82-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-13.82&CDS=1-1077	YKL151C
OG0000776	augustus_masked-scaffold_1-processed-gene-13.63-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-13.63&CDS=1-900	YKL150W
OG0000777	augustus_masked-scaffold_1-processed-gene-13.64-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-13.64&CDS=1-1659	YKL149C
OG0000778	augustus_masked-scaffold_1-processed-gene-13.85-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-13.85&CDS=1-1857	YPL184C
OG0000779	snap_masked-scaffold_1-processed-gene-13.42-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-13.42&CDS=1-8028	YBL088C
OG0000780	augustus_masked-scaffold_1-processed-gene-13.67-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-13.67&CDS=1-1179	YDR019C
OG0000781	augustus_masked-scaffold_1-processed-gene-13.89-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-13.89&CDS=1-1959	YPL210C
OG0000782	augustus_masked-scaffold_1-processed-gene-14.47-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-14.47&CDS=1-978	YPL215W
OG0000783	augustus_masked-scaffold_1-processed-gene-14.48-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-14.48&CDS=1-963	YAL032C
OG0000784	augustus_masked-scaffold_1-processed-gene-14.71-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-14.71&CDS=1-1179	YPL206C
OG0000785	augustus_masked-scaffold_1-processed-gene-14.72-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-14.72&CDS=1-1359	YGL067W
OG0000786	augustus_masked-scaffold_1-processed-gene-14.73-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-14.73&CDS=1-1722	YGL064C
OG0000787	augustus_masked-scaffold_1-processed-gene-14.51-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-14.51&CDS=1-1458	YGL129C
OG0000788	augustus_masked-scaffold_1-processed-gene-14.74-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-14.74&CDS=1-543	YPL211W
OG0000789	augustus_masked-scaffold_1-processed-gene-14.53-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-14.53&CDS=1-1647	YPL212C
OG0000790	genemark-scaffold_1-processed-gene-14.120-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-14.120&CDS=1-1383	YPL204W
OG0000791	augustus_masked-scaffold_1-processed-gene-14.54-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-14.54&CDS=1-1296	YPL209C
OG0000792	augustus_masked-scaffold_1-processed-gene-14.76-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-14.76&CDS=1-1452	YGL066W
OG0000793	augustus_masked-scaffold_1-processed-gene-14.56-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-14.56&CDS=1-2229	YPL207W
OG0000794	augustus_masked-scaffold_1-processed-gene-14.57-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-14.57&CDS=1-1545	YGL065C
OG0000795	maker-scaffold_1-augustus-gene-14.46-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-14.46&CDS=1-570	YPL218W
OG0000796	augustus_masked-scaffold_1-processed-gene-14.59-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-14.59&CDS=1-1974	YGL099W
OG0000797	augustus_masked-scaffold_1-processed-gene-14.81-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-14.81&CDS=1-2751	YGL137W
OG0000798	augustus_masked-scaffold_1-processed-gene-14.82-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-14.82&CDS=1-1800	YNL048W
OG0000799	augustus_masked-scaffold_1-processed-gene-14.62-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-14.62&CDS=1-1236	YBL091C
OG0000800	augustus_masked-scaffold_1-processed-gene-14.63-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-14.63&CDS=1-819	YER120W
OG0000801	augustus_masked-scaffold_1-processed-gene-14.83-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-14.83&CDS=1-3066	YGL093W
OG0000802	augustus_masked-scaffold_1-processed-gene-14.65-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-14.65&CDS=1-1104	YER107C
OG0000803	augustus_masked-scaffold_1-processed-gene-14.67-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-14.67&CDS=1-2481	YER109C
OG0000804	augustus_masked-scaffold_1-processed-gene-14.85-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-14.85&CDS=1-1494	YBL082C
OG0000805	augustus_masked-scaffold_1-processed-gene-14.86-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-14.86&CDS=1-1881	YOL144W
OG0000806	augustus_masked-scaffold_1-processed-gene-14.87-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-14.87&CDS=1-684	YOL147C
OG0000807	augustus_masked-scaffold_1-processed-gene-14.92-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-14.92&CDS=1-1404	YJL046W
OG0000808	augustus_masked-scaffold_1-processed-gene-15.107-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-15.107&CDS=1-804	YBR257W
OG0000809	augustus_masked-scaffold_1-processed-gene-15.113-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-15.113&CDS=1-963	YNR003C
OG0000810	augustus_masked-scaffold_1-processed-gene-15.109-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-15.109&CDS=1-1038	YJL088W
OG0000811	snap_masked-scaffold_1-processed-gene-15.4-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-15.4&CDS=1-3006	YPL183C
OG0000812	augustus_masked-scaffold_1-processed-gene-15.135-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-15.135&CDS=1-3243	YBL076C
OG0000813	augustus_masked-scaffold_1-processed-gene-15.115-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-15.115&CDS=1-4995	YCR042C
OG0000814	augustus_masked-scaffold_1-processed-gene-15.116-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-15.116&CDS=1-2298	YML097C
OG0000815	augustus_masked-scaffold_1-processed-gene-15.118-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-15.118&CDS=1-2643	YHR073W
OG0000816	augustus_masked-scaffold_1-processed-gene-15.136-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-15.136&CDS=1-663	YGR095C
OG0000817	augustus_masked-scaffold_1-processed-gene-15.120-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-15.120&CDS=1-1551	YGR091W
OG0000818	augustus_masked-scaffold_1-processed-gene-15.121-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-15.121&CDS=1-3201	YGR094W
OG0000819	augustus_masked-scaffold_1-processed-gene-15.123-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-15.123&CDS=1-3633	YEL031W
OG0000820	maker-scaffold_1-augustus-gene-15.44-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-15.44&CDS=1-906	YGR096W
OG0000821	augustus_masked-scaffold_1-processed-gene-15.125-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-15.125&CDS=1-1272	YGL111W
OG0000822	augustus_masked-scaffold_1-processed-gene-15.140-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-15.140&CDS=1-1035	YGL100W
OG0000823	augustus_masked-scaffold_1-processed-gene-15.126-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-15.126&CDS=1-1473	YBR243C
OG0000824	augustus_masked-scaffold_1-processed-gene-15.127-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-15.127&CDS=1-2016	YLR337C
OG0000825	augustus_masked-scaffold_1-processed-gene-15.141-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-15.141&CDS=1-795	YBR246W
OG0000826	augustus_masked-scaffold_1-processed-gene-15.142-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-15.142&CDS=1-3195	YDL215C
OG0000827	augustus_masked-scaffold_1-processed-gene-15.143-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-15.143&CDS=1-1302	YOL061W
OG0000828	augustus_masked-scaffold_1-processed-gene-15.144-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-15.144&CDS=1-1371	YOL062C
OG0000829	genemark-scaffold_1-processed-gene-15.86-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-15.86&CDS=1-1923	YGL110C
OG0000830	augustus_masked-scaffold_1-processed-gene-15.129-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-15.129&CDS=1-1068	YJL117W
OG0000831	augustus_masked-scaffold_1-processed-gene-15.148-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-15.148&CDS=1-336	YBR120C
OG0000832	augustus_masked-scaffold_1-processed-gene-15.130-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-15.130&CDS=1-723	YKR043C
OG0000833	augustus_masked-scaffold_1-processed-gene-15.149-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-15.149&CDS=1-987	YDR400W
OG0000834	augustus_masked-scaffold_1-processed-gene-15.132-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-15.132&CDS=1-1623	YPR144C
OG0000835	augustus_masked-scaffold_1-processed-gene-15.133-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-15.133&CDS=1-4299	YEL032W
OG0000836	augustus_masked-scaffold_1-processed-gene-16.90-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-16.90&CDS=1-1239	YPL154C
OG0000837	maker-scaffold_1-snap-gene-16.128-mRNA-1_1&gene=maker-scaffold_1-snap-gene-16.128&CDS=1-1632	YMR210W
OG0000838	snap_masked-scaffold_1-processed-gene-16.70-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-16.70&CDS=1-822	YNL246W
OG0000839	augustus_masked-scaffold_1-processed-gene-16.92-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-16.92&CDS=1-1482	YJL044C
OG0000840	augustus_masked-scaffold_1-processed-gene-16.93-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-16.93&CDS=1-348	YKL160W
OG0000841	augustus_masked-scaffold_1-processed-gene-16.114-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-16.114&CDS=1-3084	YCR011C
OG0000842	augustus_masked-scaffold_1-processed-gene-16.115-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-16.115&CDS=1-1401	YDR375C
OG0000843	augustus_masked-scaffold_1-processed-gene-16.96-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-16.96&CDS=1-3771	YOR124C
OG0000844	genemark-scaffold_1-processed-gene-16.9-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-16.9&CDS=1-2313	YDR006C
OG0000845	augustus_masked-scaffold_1-processed-gene-16.99-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-16.99&CDS=1-1839	YCR008W
OG0000846	augustus_masked-scaffold_1-processed-gene-16.102-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-16.102&CDS=1-1023	YBR159W
OG0000847	augustus_masked-scaffold_1-processed-gene-16.103-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-16.103&CDS=1-999	YNL007C
OG0000848	augustus_masked-scaffold_1-processed-gene-16.104-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-16.104&CDS=1-990	YNL006W
OG0000849	augustus_masked-scaffold_1-processed-gene-16.119-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-16.119&CDS=1-2328	YLR176C
OG0000850	augustus_masked-scaffold_1-processed-gene-16.105-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-16.105&CDS=1-813	YNL002C
OG0000851	augustus_masked-scaffold_1-processed-gene-16.106-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-16.106&CDS=1-1083	YCL016C
OG0000852	maker-scaffold_1-augustus-gene-16.41-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-16.41&CDS=1-831	YNL003C
OG0000853	maker-scaffold_1-augustus-gene-16.42-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-16.42&CDS=1-1461	YCL017C
OG0000854	augustus_masked-scaffold_1-processed-gene-16.109-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-16.109&CDS=1-1140	YCL018W
OG0000855	augustus_masked-scaffold_1-processed-gene-16.122-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-16.122&CDS=1-4455	YCL014W
OG0000856	augustus_masked-scaffold_1-processed-gene-16.123-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-16.123&CDS=1-540	YCL012C
OG0000857	genemark-scaffold_1-processed-gene-16.37-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-16.37&CDS=1-840	YCL010C
OG0000858	augustus_masked-scaffold_1-processed-gene-16.110-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-16.110&CDS=1-771	YCL002C
OG0000859	augustus_masked-scaffold_1-processed-gene-16.125-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-16.125&CDS=1-1713	YCL004W
OG0000860	maker-scaffold_1-snap-gene-16.134-mRNA-1_1&gene=maker-scaffold_1-snap-gene-16.134&CDS=1-4011	YLL028W
OG0000861	augustus_masked-scaffold_1-processed-gene-17.84-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-17.84&CDS=1-1920	YMR258C
OG0000862	augustus_masked-scaffold_1-processed-gene-17.86-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-17.86&CDS=1-786	YDR043C
OG0000863	augustus_masked-scaffold_1-processed-gene-17.87-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-17.87&CDS=1-2964	YKL205W
OG0000864	augustus_masked-scaffold_1-processed-gene-17.88-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-17.88&CDS=1-1659	YJL069C
OG0000865	augustus_masked-scaffold_1-processed-gene-17.89-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-17.89&CDS=1-267	YJL062W-A
OG0000866	genemark-scaffold_1-processed-gene-17.6-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-17.6&CDS=1-2247	YAL043C
OG0000867	genemark-scaffold_1-processed-gene-17.7-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-17.7&CDS=1-1950	YMR004W
OG0000868	augustus_masked-scaffold_1-processed-gene-17.110-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-17.110&CDS=1-396	YJR067C
OG0000869	augustus_masked-scaffold_1-processed-gene-17.91-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-17.91&CDS=1-1047	YOR043W
OG0000870	augustus_masked-scaffold_1-processed-gene-17.92-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-17.92&CDS=1-1089	YJR068W
OG0000871	augustus_masked-scaffold_1-processed-gene-17.93-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-17.93&CDS=1-903	YDR284C
OG0000872	genemark-scaffold_1-processed-gene-17.29-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-17.29&CDS=1-3132	YKL197C
OG0000873	genemark-scaffold_1-processed-gene-17.30-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-17.30&CDS=1-480	YDR231C
OG0000874	augustus_masked-scaffold_1-processed-gene-17.94-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-17.94&CDS=1-762	YKL207W
OG0000875	augustus_masked-scaffold_1-processed-gene-17.95-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-17.95&CDS=1-1140	YJR072C
OG0000876	augustus_masked-scaffold_1-processed-gene-17.96-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-17.96&CDS=1-528	YNL310C
OG0000877	augustus_masked-scaffold_1-processed-gene-17.97-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-17.97&CDS=1-879	YNL315C
OG0000878	augustus_masked-scaffold_1-processed-gene-17.116-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-17.116&CDS=1-1872	YMR224C
OG0000879	augustus_masked-scaffold_1-processed-gene-17.98-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-17.98&CDS=1-5175	YDR283C
OG0000880	snap_masked-scaffold_1-processed-gene-17.59-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-17.59&CDS=1-645	YDR013W
OG0000881	augustus_masked-scaffold_1-processed-gene-17.118-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-17.118&CDS=1-396	YMR112C
OG0000882	snap_masked-scaffold_1-processed-gene-17.60-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-17.60&CDS=1-1272	YMR113W
OG0000883	augustus_masked-scaffold_1-processed-gene-17.102-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-17.102&CDS=1-1683	YDL156W
OG0000884	maker-scaffold_1-augustus-gene-17.42-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-17.42&CDS=1-948	YMR116C
OG0000885	augustus_masked-scaffold_1-processed-gene-17.120-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-17.120&CDS=1-2178	YKR024C
OG0000886	augustus_masked-scaffold_1-processed-gene-17.121-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-17.121&CDS=1-804	YKR025W
OG0000887	augustus_masked-scaffold_1-processed-gene-17.104-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-17.104&CDS=1-927	YKR026C
OG0000888	augustus_masked-scaffold_1-processed-gene-17.122-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-17.122&CDS=1-1461	YNL011C
OG0000889	augustus_masked-scaffold_1-processed-gene-17.123-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-17.123&CDS=1-1209	YOL009C
OG0000890	genemark-scaffold_1-processed-gene-17.24-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-17.24&CDS=1-1776	YIL001W
OG0000891	augustus_masked-scaffold_1-processed-gene-18.0-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-18.0&CDS=1-3582	YPL012W
OG0000892	augustus_masked-scaffold_1-processed-gene-18.1-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-18.1&CDS=1-408	YPL013C
OG0000893	augustus_masked-scaffold_1-processed-gene-18.3-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-18.3&CDS=1-930	YLR340W
OG0000894	augustus_masked-scaffold_1-processed-gene-18.4-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-18.4&CDS=1-1995	YDR452W
OG0000895	augustus_masked-scaffold_1-processed-gene-18.22-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-18.22&CDS=1-2052	YGL203C
OG0000896	augustus_masked-scaffold_1-processed-gene-18.23-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-18.23&CDS=1-2688	YPR160W
OG0000897	augustus_masked-scaffold_1-processed-gene-18.6-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-18.6&CDS=1-1248	YMR044W
OG0000898	genemark-scaffold_1-processed-gene-18.50-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-18.50&CDS=1-747	YMR043W
OG0000899	augustus_masked-scaffold_1-processed-gene-18.25-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-18.25&CDS=1-1557	YCR098C
OG0000900	augustus_masked-scaffold_1-processed-gene-18.26-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-18.26&CDS=1-1035	YPL064C
OG0000901	augustus_masked-scaffold_1-processed-gene-18.11-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-18.11&CDS=1-2445	YPR029C
OG0000902	augustus_masked-scaffold_1-processed-gene-18.27-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-18.27&CDS=1-1839	YPR190C
OG0000903	augustus_masked-scaffold_1-processed-gene-18.13-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-18.13&CDS=1-4284	YPR189W
OG0000904	augustus_masked-scaffold_1-processed-gene-18.14-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-18.14&CDS=1-2403	YPR185W
OG0000905	augustus_masked-scaffold_1-processed-gene-18.28-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-18.28&CDS=1-807	YPR192W
OG0000906	augustus_masked-scaffold_1-processed-gene-18.30-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-18.30&CDS=1-537	YBL090W
OG0000907	augustus_masked-scaffold_1-processed-gene-18.31-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-18.31&CDS=1-2526	YIL143C
OG0000908	augustus_masked-scaffold_1-processed-gene-18.32-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-18.32&CDS=1-1113	YKR092C
OG0000909	augustus_masked-scaffold_1-processed-gene-18.34-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-18.34&CDS=1-1161	YOR084W
OG0000910	augustus_masked-scaffold_1-processed-gene-18.17-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-18.17&CDS=1-945	YIL145C
OG0000911	augustus_masked-scaffold_1-processed-gene-18.36-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-18.36&CDS=1-1869	YGR119C
OG0000912	augustus_masked-scaffold_1-processed-gene-18.39-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-18.39&CDS=1-771	YGR120C
OG0000913	augustus_masked-scaffold_1-processed-gene-19.0-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-19.0&CDS=1-1383	YPR065W
OG0000914	augustus_masked-scaffold_1-processed-gene-19.1-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-19.1&CDS=1-1005	YKR071C
OG0000915	augustus_masked-scaffold_1-processed-gene-19.2-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-19.2&CDS=1-2070	YIL144W
OG0000916	augustus_masked-scaffold_1-processed-gene-19.3-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-19.3&CDS=1-744	YNL148C
OG0000917	augustus_masked-scaffold_1-processed-gene-19.4-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-19.4&CDS=1-366	YNL149C
OG0000918	augustus_masked-scaffold_1-processed-gene-19.5-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-19.5&CDS=1-1551	YPR137W
OG0000919	augustus_masked-scaffold_1-processed-gene-19.20-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-19.20&CDS=1-696	YNL151C
OG0000920	augustus_masked-scaffold_1-processed-gene-19.7-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-19.7&CDS=1-1668	YNL152W
OG0000921	augustus_masked-scaffold_1-processed-gene-19.25-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-19.25&CDS=1-960	YPL227C
OG0000922	augustus_masked-scaffold_1-processed-gene-19.26-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-19.26&CDS=1-1461	YPL228W
OG0000923	augustus_masked-scaffold_1-processed-gene-19.8-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-19.8&CDS=1-1083	YCL055W
OG0000924	genemark-scaffold_1-processed-gene-19.52-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-19.52&CDS=1-1908	YLR188W
OG0000925	augustus_masked-scaffold_1-processed-gene-19.12-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-19.12&CDS=1-4944	YLR189C
OG0000926	augustus_masked-scaffold_1-processed-gene-19.13-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-19.13&CDS=1-1389	YNL277W
OG0000927	snap_masked-scaffold_1-processed-gene-19.111-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-19.111&CDS=1-693	YGR152C
OG0000928	augustus_masked-scaffold_1-processed-gene-19.31-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-19.31&CDS=1-2739	YGL201C
OG0000929	augustus_masked-scaffold_1-processed-gene-19.32-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-19.32&CDS=1-762	YBL064C
OG0000930	augustus_masked-scaffold_1-processed-gene-19.33-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-19.33&CDS=1-2823	YBL066C
OG0000931	augustus_masked-scaffold_1-processed-gene-19.34-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-19.34&CDS=1-1029	YER095W
OG0000932	augustus_masked-scaffold_1-processed-gene-19.17-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-19.17&CDS=1-2889	YNL023C
OG0000933	augustus_masked-scaffold_1-processed-gene-19.18-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-19.18&CDS=1-2430	YNL021W
OG0000934	augustus_masked-scaffold_1-processed-gene-20.0-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-20.0&CDS=1-1347	YNL022C
OG0000935	genemark-scaffold_1-processed-gene-20.54-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-20.54&CDS=1-918	YGR060W
OG0000936	augustus_masked-scaffold_1-processed-gene-20.17-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-20.17&CDS=1-426	YIL027C
