	Arxula_adeninivorans	Saccharomyces_cerevisiae
OG0000655	augustus_masked-Arad1A-processed-gene-9.91-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-9.91&CDS=1-3306	YOR330C
OG0000656	augustus_masked-Arad1A-processed-gene-9.71-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-9.71&CDS=1-690	YOR332W
OG0000657	augustus_masked-Arad1A-processed-gene-9.72-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-9.72&CDS=1-1329	YOR334W
OG0000658	augustus_masked-Arad1A-processed-gene-9.73-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-9.73&CDS=1-924	YOR340C
OG0000659	augustus_masked-Arad1A-processed-gene-9.93-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-9.93&CDS=1-444	YOR369C
OG0000660	augustus_masked-Arad1A-processed-gene-9.74-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-9.74&CDS=1-726	YAL034W-A
OG0000661	augustus_masked-Arad1A-processed-gene-9.94-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-9.94&CDS=1-1644	YOR370C
OG0000662	maker-Arad1A-snap-gene-10.44-mRNA-1_1&gene=maker-Arad1A-snap-gene-10.44&CDS=1-6003	YIL125W
OG0000663	augustus_masked-Arad1A-processed-gene-10.46-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-10.46&CDS=1-969	YDL100C
OG0000664	augustus_masked-Arad1A-processed-gene-10.52-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-10.52&CDS=1-1605	YFL055W
OG0000665	augustus_masked-Arad1A-processed-gene-10.70-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-10.70&CDS=1-603	YML015C
OG0000666	snap_masked-Arad1A-processed-gene-10.27-mRNA-1_1&gene=snap_masked-Arad1A-processed-gene-10.27&CDS=1-1845	YDR118W
OG0000667	augustus_masked-Arad1A-processed-gene-10.54-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-10.54&CDS=1-1869	YDR117C
OG0000668	augustus_masked-Arad1A-processed-gene-10.72-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-10.72&CDS=1-1476	YDR434W
OG0000669	augustus_masked-Arad1A-processed-gene-10.75-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-10.75&CDS=1-876	YDR116C
OG0000670	augustus_masked-Arad1A-processed-gene-10.55-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-10.55&CDS=1-666	YML014W
OG0000671	augustus_masked-Arad1A-processed-gene-10.56-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-10.56&CDS=1-918	YNL229C
OG0000672	augustus_masked-Arad1A-processed-gene-10.57-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-10.57&CDS=1-1971	YKL125W
OG0000673	augustus_masked-Arad1A-processed-gene-10.58-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-10.58&CDS=1-777	YDR262W
OG0000674	augustus_masked-Arad1A-processed-gene-10.61-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-10.61&CDS=1-1362	YMR243C
OG0000675	augustus_masked-Arad1A-processed-gene-10.78-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-10.78&CDS=1-1839	YBL061C
OG0000676	augustus_masked-Arad1A-processed-gene-10.79-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-10.79&CDS=1-921	YDL198C
OG0000677	maker-Arad1A-augustus-gene-10.85-mRNA-1_1&gene=maker-Arad1A-augustus-gene-10.85&CDS=1-1842	YDR228C
OG0000678	augustus_masked-Arad1A-processed-gene-10.80-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-10.80&CDS=1-759	YDR226W
OG0000679	augustus_masked-Arad1A-processed-gene-10.65-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-10.65&CDS=1-1032	YHR068W
OG0000680	augustus_masked-Arad1A-processed-gene-10.82-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-10.82&CDS=1-2688	YGR100W
OG0000681	augustus_masked-Arad1A-processed-gene-10.83-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-10.83&CDS=1-393	YBL092W
OG0000682	genemark-Arad1A-processed-gene-10.110-mRNA-1_1&gene=genemark-Arad1A-processed-gene-10.110&CDS=1-579	YBL093C
OG0000683	augustus_masked-Arad1A-processed-gene-10.84-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-10.84&CDS=1-9063	YLR454W
OG0000684	augustus_masked-Arad1A-processed-gene-11.56-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-11.56&CDS=1-456	YDR437W
OG0000685	augustus_masked-Arad1A-processed-gene-11.57-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-11.57&CDS=1-3414	YDR159W
OG0000686	augustus_masked-Arad1A-processed-gene-11.58-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-11.58&CDS=1-1740	YDL035C
OG0000687	augustus_masked-Arad1A-processed-gene-11.80-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-11.80&CDS=1-783	YLR137W
OG0000688	augustus_masked-Arad1A-processed-gene-11.81-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-11.81&CDS=1-1068	YDR158W
OG0000689	augustus_masked-Arad1A-processed-gene-11.59-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-11.59&CDS=1-1008	YDR435C
OG0000690	augustus_masked-Arad1A-processed-gene-11.61-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-11.61&CDS=1-474	YJR047C
OG0000691	augustus_masked-Arad1A-processed-gene-11.62-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-11.62&CDS=1-825	YMR042W
OG0000692	augustus_masked-Arad1A-processed-gene-11.84-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-11.84&CDS=1-1515	YCR023C
OG0000693	snap_masked-Arad1A-processed-gene-11.14-mRNA-1_1&gene=snap_masked-Arad1A-processed-gene-11.14&CDS=1-1473	YLR455W
OG0000694	augustus_masked-Arad1A-processed-gene-11.67-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-11.67&CDS=1-504	YDL046W
OG0000695	augustus_masked-Arad1A-processed-gene-11.90-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-11.90&CDS=1-438	YNL131W
OG0000696	genemark-Arad1A-processed-gene-11.119-mRNA-1_1&gene=genemark-Arad1A-processed-gene-11.119&CDS=1-1632	YOL033W
OG0000697	genemark-Arad1A-processed-gene-11.142-mRNA-1_1&gene=genemark-Arad1A-processed-gene-11.142&CDS=1-3339	YOL034W
OG0000698	augustus_masked-Arad1A-processed-gene-11.72-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-11.72&CDS=1-2397	YAL011W
OG0000699	augustus_masked-Arad1A-processed-gene-11.97-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-11.97&CDS=1-1068	YAL010C
OG0000700	augustus_masked-Arad1A-processed-gene-11.77-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-11.77&CDS=1-1260	YLR090W
OG0000701	augustus_masked-Arad1A-processed-gene-11.79-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-11.79&CDS=1-1014	YML018C
OG0000702	augustus_masked-Arad1A-processed-gene-12.45-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-12.45&CDS=1-2814	YHR073W
OG0000703	augustus_masked-Arad1A-processed-gene-12.47-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-12.47&CDS=1-615	YJR133W
OG0000704	augustus_masked-Arad1A-processed-gene-12.48-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-12.48&CDS=1-2097	YDR398W
OG0000705	augustus_masked-Arad1A-processed-gene-12.49-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-12.49&CDS=1-414	YDR397C
OG0000706	augustus_masked-Arad1A-processed-gene-12.65-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-12.65&CDS=1-3108	YJR132W
OG0000707	augustus_masked-Arad1A-processed-gene-12.52-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-12.52&CDS=1-1536	YOR149C
OG0000708	augustus_masked-Arad1A-processed-gene-12.69-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-12.69&CDS=1-1179	YIL116W
OG0000709	snap_masked-Arad1A-processed-gene-12.102-mRNA-1_1&gene=snap_masked-Arad1A-processed-gene-12.102&CDS=1-4665	YIL115C
OG0000710	snap_masked-Arad1A-processed-gene-12.103-mRNA-1_1&gene=snap_masked-Arad1A-processed-gene-12.103&CDS=1-246	YJR135W-A
OG0000711	augustus_masked-Arad1A-processed-gene-12.57-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-12.57&CDS=1-642	YJR123W
OG0000712	maker-Arad1A-augustus-gene-12.147-mRNA-1_1&gene=maker-Arad1A-augustus-gene-12.147&CDS=1-777	YLR326W
OG0000713	augustus_masked-Arad1A-processed-gene-12.59-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-12.59&CDS=1-1725	YJR131W
OG0000714	augustus_masked-Arad1A-processed-gene-12.61-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-12.61&CDS=1-738	YLL027W
OG0000715	maker-Arad1A-augustus-gene-12.149-mRNA-1_1&gene=maker-Arad1A-augustus-gene-12.149&CDS=1-1710	YDR538W
OG0000716	augustus_masked-Arad1A-processed-gene-12.64-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-12.64&CDS=1-1491	YDR539W
OG0000717	augustus_masked-Arad1A-processed-gene-13.1-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-13.1&CDS=1-1299	YIR008C
OG0000718	augustus_masked-Arad1A-processed-gene-13.6-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-13.6&CDS=1-1662	YPL072W
OG0000719	augustus_masked-Arad1A-processed-gene-13.28-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-13.28&CDS=1-2970	YPR049C
OG0000720	augustus_masked-Arad1A-processed-gene-13.7-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-13.7&CDS=1-531	YPR051W
OG0000721	maker-Arad1A-augustus-gene-13.152-mRNA-1_1&gene=maker-Arad1A-augustus-gene-13.152&CDS=1-942	YBR095C
OG0000722	maker-Arad1A-augustus-gene-13.155-mRNA-1_1&gene=maker-Arad1A-augustus-gene-13.155&CDS=1-2079	YBR094W
OG0000723	augustus_masked-Arad1A-processed-gene-13.9-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-13.9&CDS=1-711	YGL224C
OG0000724	augustus_masked-Arad1A-processed-gene-13.30-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-13.30&CDS=1-3555	YCR042C
OG0000725	augustus_masked-Arad1A-processed-gene-13.10-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-13.10&CDS=1-1413	YCR024C
OG0000726	augustus_masked-Arad1A-processed-gene-13.32-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-13.32&CDS=1-1710	YDL030W
OG0000727	augustus_masked-Arad1A-processed-gene-13.11-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-13.11&CDS=1-1587	YHR169W
OG0000728	augustus_masked-Arad1A-processed-gene-13.12-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-13.12&CDS=1-1746	YOL066C
OG0000729	augustus_masked-Arad1A-processed-gene-13.14-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-13.14&CDS=1-2478	YDL040C
OG0000730	genemark-Arad1A-processed-gene-13.138-mRNA-1_1&gene=genemark-Arad1A-processed-gene-13.138&CDS=1-438	YDL125C
OG0000731	augustus_masked-Arad1A-processed-gene-13.15-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-13.15&CDS=1-1281	YOL067C
OG0000732	augustus_masked-Arad1A-processed-gene-13.35-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-13.35&CDS=1-498	YOL071W
OG0000733	snap_masked-Arad1A-processed-gene-13.70-mRNA-1_1&gene=snap_masked-Arad1A-processed-gene-13.70&CDS=1-1341	YOL069W
OG0000734	augustus_masked-Arad1A-processed-gene-13.17-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-13.17&CDS=1-2484	YOL070C
OG0000735	augustus_masked-Arad1A-processed-gene-13.18-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-13.18&CDS=1-273	YDL045W-A
OG0000736	snap_masked-Arad1A-processed-gene-13.74-mRNA-1_1&gene=snap_masked-Arad1A-processed-gene-13.74&CDS=1-3372	YBL105C
OG0000737	genemark-Arad1A-processed-gene-13.124-mRNA-1_1&gene=genemark-Arad1A-processed-gene-13.124&CDS=1-495	YLR412W
OG0000738	augustus_masked-Arad1A-processed-gene-13.40-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-13.40&CDS=1-6252	YKL182W
OG0000739	augustus_masked-Arad1A-processed-gene-13.21-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-13.21&CDS=1-1467	YKL181W
OG0000740	augustus_masked-Arad1A-processed-gene-13.41-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-13.41&CDS=1-2925	YLR410W
OG0000741	augustus_masked-Arad1A-processed-gene-13.22-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-13.22&CDS=1-2733	YLR409C
OG0000742	augustus_masked-Arad1A-processed-gene-13.42-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-13.42&CDS=1-2745	YDL077C
OG0000743	augustus_masked-Arad1A-processed-gene-13.43-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-13.43&CDS=1-759	YLR407W
OG0000744	snap_masked-Arad1A-processed-gene-13.99-mRNA-1_1&gene=snap_masked-Arad1A-processed-gene-13.99&CDS=1-1137	YDL076C
OG0000745	augustus_masked-Arad1A-processed-gene-13.24-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-13.24&CDS=1-657	YBR070C
OG0000746	augustus_masked-Arad1A-processed-gene-14.64-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-14.64&CDS=1-465	YOR253W
OG0000747	augustus_masked-Arad1A-processed-gene-14.67-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-14.67&CDS=1-1578	YKL100C
OG0000748	augustus_masked-Arad1A-processed-gene-14.68-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-14.68&CDS=1-1887	YOR254C
OG0000749	augustus_masked-Arad1A-processed-gene-14.65-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-14.65&CDS=1-1683	YPL169C
OG0000750	augustus_masked-Arad1A-processed-gene-14.69-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-14.69&CDS=1-1596	YMR015C
OG0000751	augustus_masked-Arad1A-processed-gene-14.71-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-14.71&CDS=1-5553	YPL231W
OG0000752	augustus_masked-Arad1A-processed-gene-14.95-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-14.95&CDS=1-2466	YGL163C
OG0000753	genemark-Arad1A-processed-gene-14.152-mRNA-1_1&gene=genemark-Arad1A-processed-gene-14.152&CDS=1-1725	YAL058W
OG0000754	augustus_masked-Arad1A-processed-gene-14.73-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-14.73&CDS=1-1062	YNL141W
OG0000755	augustus_masked-Arad1A-processed-gene-14.100-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-14.100&CDS=1-558	YHR148W
OG0000756	augustus_masked-Arad1A-processed-gene-14.75-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-14.75&CDS=1-1860	YER077C
OG0000757	augustus_masked-Arad1A-processed-gene-14.78-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-14.78&CDS=1-588	YOR236W
OG0000758	augustus_masked-Arad1A-processed-gene-14.103-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-14.103&CDS=1-2511	YBR276C
OG0000759	augustus_masked-Arad1A-processed-gene-14.104-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-14.104&CDS=1-2412	YKL034W
OG0000760	augustus_masked-Arad1A-processed-gene-14.105-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-14.105&CDS=1-2676	YLL035W
OG0000761	augustus_masked-Arad1A-processed-gene-14.79-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-14.79&CDS=1-240	YLR038C
OG0000762	maker-Arad1A-augustus-gene-14.181-mRNA-1_1&gene=maker-Arad1A-augustus-gene-14.181&CDS=1-696	YMR132C
OG0000763	maker-Arad1A-augustus-gene-14.182-mRNA-1_1&gene=maker-Arad1A-augustus-gene-14.182&CDS=1-573	YHR012W
OG0000764	augustus_masked-Arad1A-processed-gene-14.86-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-14.86&CDS=1-1257	YFL030W
OG0000765	augustus_masked-Arad1A-processed-gene-14.87-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-14.87&CDS=1-555	YHR013C
OG0000766	augustus_masked-Arad1A-processed-gene-14.113-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-14.113&CDS=1-696	YDR472W
OG0000767	augustus_masked-Arad1A-processed-gene-14.90-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-14.90&CDS=1-2094	YOR022C
OG0000768	augustus_masked-Arad1A-processed-gene-14.117-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-14.117&CDS=1-615	YOR021C
OG0000769	augustus_masked-Arad1A-processed-gene-14.91-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-14.91&CDS=1-300	YOL086W-A
OG0000770	augustus_masked-Arad1A-processed-gene-14.92-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-14.92&CDS=1-975	YBR146W
OG0000771	snap_masked-Arad1A-processed-gene-14.62-mRNA-1_1&gene=snap_masked-Arad1A-processed-gene-14.62&CDS=1-2418	YOL076W
OG0000772	augustus_masked-Arad1A-processed-gene-14.94-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-14.94&CDS=1-855	YOL077C
OG0000773	maker-Arad1A-augustus-gene-14.183-mRNA-1_1&gene=maker-Arad1A-augustus-gene-14.183&CDS=1-216	YOL077W-A
OG0000774	maker-Arad1A-augustus-gene-15.0-mRNA-1_1&gene=maker-Arad1A-augustus-gene-15.0&CDS=1-2592	YOL078W
OG0000775	augustus_masked-Arad1A-processed-gene-15.196-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-15.196&CDS=1-624	YMR077C
OG0000776	augustus_masked-Arad1A-processed-gene-15.199-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-15.199&CDS=1-1014	YGL040C
OG0000777	snap_masked-Arad1A-processed-gene-15.104-mRNA-1_1&gene=snap_masked-Arad1A-processed-gene-15.104&CDS=1-447	YLL050C
OG0000778	augustus_masked-Arad1A-processed-gene-15.202-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-15.202&CDS=1-1251	YDL066W
OG0000779	maker-Arad1A-augustus-gene-15.1-mRNA-1_1&gene=maker-Arad1A-augustus-gene-15.1&CDS=1-4350	YGR281W
OG0000780	genemark-Arad1A-processed-gene-15.16-mRNA-1_1&gene=genemark-Arad1A-processed-gene-15.16&CDS=1-1023	YCR019W
OG0000781	augustus_masked-Arad1A-processed-gene-15.206-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-15.206&CDS=1-2262	YHL023C
OG0000782	augustus_masked-Arad1A-processed-gene-15.250-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-15.250&CDS=1-549	YEL012W
OG0000783	augustus_masked-Arad1A-processed-gene-15.251-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-15.251&CDS=1-1137	YJL046W
OG0000784	augustus_masked-Arad1A-processed-gene-15.209-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-15.209&CDS=1-651	YBR257W
OG0000785	augustus_masked-Arad1A-processed-gene-15.211-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-15.211&CDS=1-2424	YLR451W
OG0000786	augustus_masked-Arad1A-processed-gene-15.212-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-15.212&CDS=1-885	YDR287W
OG0000787	augustus_masked-Arad1A-processed-gene-15.213-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-15.213&CDS=1-1602	YER025W
OG0000788	snap_masked-Arad1A-processed-gene-15.160-mRNA-1_1&gene=snap_masked-Arad1A-processed-gene-15.160&CDS=1-1425	YLR452C
OG0000789	augustus_masked-Arad1A-processed-gene-15.256-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-15.256&CDS=1-1329	YPR162C
OG0000790	augustus_masked-Arad1A-processed-gene-15.257-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-15.257&CDS=1-567	YJL072C
OG0000791	augustus_masked-Arad1A-processed-gene-15.258-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-15.258&CDS=1-759	YOR143C
OG0000792	augustus_masked-Arad1A-processed-gene-15.218-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-15.218&CDS=1-684	YKL195W
OG0000793	snap_masked-Arad1A-processed-gene-15.164-mRNA-1_1&gene=snap_masked-Arad1A-processed-gene-15.164&CDS=1-2559	YLR424W
OG0000794	augustus_masked-Arad1A-processed-gene-15.219-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-15.219&CDS=1-933	YDR392W
OG0000795	snap_masked-Arad1A-processed-gene-15.165-mRNA-1_1&gene=snap_masked-Arad1A-processed-gene-15.165&CDS=1-2487	YOR144C
OG0000796	maker-Arad1A-augustus-gene-15.4-mRNA-1_1&gene=maker-Arad1A-augustus-gene-15.4&CDS=1-2124	YKL194C
OG0000797	augustus_masked-Arad1A-processed-gene-15.222-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-15.222&CDS=1-1140	YLR418C
OG0000798	augustus_masked-Arad1A-processed-gene-15.263-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-15.263&CDS=1-783	YOR145C
OG0000799	genemark-Arad1A-processed-gene-15.34-mRNA-1_1&gene=genemark-Arad1A-processed-gene-15.34&CDS=1-1974	YHR194W
OG0000800	augustus_masked-Arad1A-processed-gene-15.225-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-15.225&CDS=1-1290	YPR173C
OG0000801	augustus_masked-Arad1A-processed-gene-15.264-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-15.264&CDS=1-1191	YJL071W
OG0000802	maker-Arad1A-augustus-gene-15.3-mRNA-1_1&gene=maker-Arad1A-augustus-gene-15.3&CDS=1-603	YKL196C
OG0000803	augustus_masked-Arad1A-processed-gene-15.268-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-15.268&CDS=1-921	YOR142W
OG0000804	augustus_masked-Arad1A-processed-gene-15.228-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-15.228&CDS=1-1842	YGR246C
OG0000805	augustus_masked-Arad1A-processed-gene-15.232-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-15.232&CDS=1-2166	YGR245C
OG0000806	augustus_masked-Arad1A-processed-gene-15.270-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-15.270&CDS=1-1089	YOL065C
OG0000807	augustus_masked-Arad1A-processed-gene-15.234-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-15.234&CDS=1-2448	YDL126C
OG0000808	augustus_masked-Arad1A-processed-gene-15.235-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-15.235&CDS=1-636	YBL102W
OG0000809	augustus_masked-Arad1A-processed-gene-15.236-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-15.236&CDS=1-1527	YML086C
OG0000810	augustus_masked-Arad1A-processed-gene-15.238-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-15.238&CDS=1-1035	YGL159W
OG0000811	maker-Arad1A-augustus-gene-15.5-mRNA-1_1&gene=maker-Arad1A-augustus-gene-15.5&CDS=1-1527	YKL114C
OG0000812	augustus_masked-Arad1A-processed-gene-15.276-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-15.276&CDS=1-1149	YKL113C
OG0000813	augustus_masked-Arad1A-processed-gene-15.277-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-15.277&CDS=1-966	YDL193W
OG0000814	augustus_masked-Arad1A-processed-gene-15.240-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-15.240&CDS=1-369	YMR123W
OG0000815	augustus_masked-Arad1A-processed-gene-15.280-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-15.280&CDS=1-576	YFL010C
OG0000816	augustus_masked-Arad1A-processed-gene-15.281-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-15.281&CDS=1-588	YDL120W
OG0000817	augustus_masked-Arad1B-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-0.39&CDS=1-690	YHR147C
OG0000818	augustus_masked-Arad1B-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-0.53&CDS=1-621	YIL157C
OG0000819	augustus_masked-Arad1B-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-0.40&CDS=1-858	YGR220C
OG0000820	augustus_masked-Arad1B-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-0.54&CDS=1-3231	YGR218W
OG0000821	augustus_masked-Arad1B-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-0.56&CDS=1-963	YKR087C
OG0000822	augustus_masked-Arad1B-processed-gene-0.58-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-0.58&CDS=1-3285	YGR233C
OG0000823	augustus_masked-Arad1B-processed-gene-0.59-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-0.59&CDS=1-1257	YDR371W
OG0000824	augustus_masked-Arad1B-processed-gene-0.60-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-0.60&CDS=1-813	YKL051W
OG0000825	augustus_masked-Arad1B-processed-gene-0.42-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-0.42&CDS=1-2241	YMR019W
OG0000826	augustus_masked-Arad1B-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-0.61&CDS=1-738	YGL198W
OG0000827	augustus_masked-Arad1B-processed-gene-0.62-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-0.62&CDS=1-1359	YKL045W
OG0000828	augustus_masked-Arad1B-processed-gene-0.63-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-0.63&CDS=1-2601	YGL179C
OG0000829	maker-Arad1B-snap-gene-0.117-mRNA-1_1&gene=maker-Arad1B-snap-gene-0.117&CDS=1-387	YMR039C
OG0000830	augustus_masked-Arad1B-processed-gene-0.65-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-0.65&CDS=1-744	YKL154W
OG0000831	augustus_masked-Arad1B-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-0.45&CDS=1-1131	YGL148W
OG0000832	augustus_masked-Arad1B-processed-gene-0.67-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-0.67&CDS=1-7959	YGL195W
OG0000833	augustus_masked-Arad1B-processed-gene-0.69-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-0.69&CDS=1-1743	YER151C
