	Saccharomyces_cerevisiae	yHMPu5000034885_Ogataea_zsoltii
OG0000560	YBR074W	snap_masked-NODE_7_length_357092_cov_29.7097_ID_13-processed-gene-0.129-mRNA-1_1&gene=snap_masked-NODE_7_length_357092_cov_29.7097_ID_13-processed-gene-0.129&CDS=1-2964
OG0000561	YBR078W	snap_masked-NODE_16_length_268119_cov_31.1022_ID_31-processed-gene-1.187-mRNA-1_1&gene=snap_masked-NODE_16_length_268119_cov_31.1022_ID_31-processed-gene-1.187&CDS=1-1275
OG0000562	YBR079C	maker-NODE_16_length_268119_cov_31.1022_ID_31-snap-gene-1.171-mRNA-1_1&gene=maker-NODE_16_length_268119_cov_31.1022_ID_31-snap-gene-1.171&CDS=1-3405
OG0000563	YBR080C	maker-NODE_23_length_192153_cov_28.0327_ID_45-augustus-gene-0.196-mRNA-1_1&gene=maker-NODE_23_length_192153_cov_28.0327_ID_45-augustus-gene-0.196&CDS=1-3705
OG0000564	YBR081C	snap_masked-NODE_56_length_39002_cov_29.5994_ID_111-processed-gene-0.9-mRNA-1_1&gene=snap_masked-NODE_56_length_39002_cov_29.5994_ID_111-processed-gene-0.9&CDS=1-3828
OG0000565	YBR082C	snap_masked-NODE_5_length_464012_cov_40.2151_ID_9-processed-gene-1.132-mRNA-1_1&gene=snap_masked-NODE_5_length_464012_cov_40.2151_ID_9-processed-gene-1.132&CDS=1-441
OG0000566	YBR083W	maker-NODE_41_length_95792_cov_31.6591_ID_81-snap-gene-0.105-mRNA-1_1&gene=maker-NODE_41_length_95792_cov_31.6591_ID_81-snap-gene-0.105&CDS=1-1755
OG0000567	YBR084W	snap_masked-NODE_23_length_192153_cov_28.0327_ID_45-processed-gene-0.8-mRNA-1_1&gene=snap_masked-NODE_23_length_192153_cov_28.0327_ID_45-processed-gene-0.8&CDS=1-2892
OG0000568	YBR085W	snap_masked-NODE_25_length_181391_cov_30.8946_ID_49-processed-gene-0.251-mRNA-1_1&gene=snap_masked-NODE_25_length_181391_cov_30.8946_ID_49-processed-gene-0.251&CDS=1-906
OG0000569	YBR086C	snap_masked-NODE_50_length_46340_cov_28.7699_ID_99-processed-gene-0.7-mRNA-1_1&gene=snap_masked-NODE_50_length_46340_cov_28.7699_ID_99-processed-gene-0.7&CDS=1-2103
OG0000570	YBR087W	snap_masked-NODE_19_length_231802_cov_29.4664_ID_37-processed-gene-1.51-mRNA-1_1&gene=snap_masked-NODE_19_length_231802_cov_29.4664_ID_37-processed-gene-1.51&CDS=1-1119
OG0000571	YBR088C	maker-NODE_13_length_289362_cov_30.0886_ID_25-snap-gene-1.99-mRNA-1_1&gene=maker-NODE_13_length_289362_cov_30.0886_ID_25-snap-gene-1.99&CDS=1-777
OG0000572	YBR091C	snap_masked-NODE_14_length_272433_cov_31.4939_ID_27-processed-gene-0.136-mRNA-1_1&gene=snap_masked-NODE_14_length_272433_cov_31.4939_ID_27-processed-gene-0.136&CDS=1-309
OG0000573	YBR094W	maker-NODE_2_length_612583_cov_33.3099_ID_3-snap-gene-0.0-mRNA-1_1&gene=maker-NODE_2_length_612583_cov_33.3099_ID_3-snap-gene-0.0&CDS=1-2082
OG0000574	YBR095C	augustus_masked-NODE_2_length_612583_cov_33.3099_ID_3-processed-gene-0.65-mRNA-1_1&gene=augustus_masked-NODE_2_length_612583_cov_33.3099_ID_3-processed-gene-0.65&CDS=1-2964
OG0000575	YBR097W	augustus_masked-NODE_1_length_742912_cov_33.9653_ID_1-processed-gene-4.3-mRNA-1_1&gene=augustus_masked-NODE_1_length_742912_cov_33.9653_ID_1-processed-gene-4.3&CDS=1-6321
OG0000576	YBR101C	snap_masked-NODE_1_length_742912_cov_33.9653_ID_1-processed-gene-3.1-mRNA-1_1&gene=snap_masked-NODE_1_length_742912_cov_33.9653_ID_1-processed-gene-3.1&CDS=1-900
OG0000577	YBR102C	snap_masked-NODE_5_length_464012_cov_40.2151_ID_9-processed-gene-2.7-mRNA-1_1&gene=snap_masked-NODE_5_length_464012_cov_40.2151_ID_9-processed-gene-2.7&CDS=1-1965
OG0000578	YBR103W	snap_masked-NODE_3_length_509586_cov_31.0256_ID_5-processed-gene-4.16-mRNA-1_1&gene=snap_masked-NODE_3_length_509586_cov_31.0256_ID_5-processed-gene-4.16&CDS=1-1548
OG0000579	YBR105C	snap_masked-NODE_1_length_742912_cov_33.9653_ID_1-processed-gene-4.128-mRNA-1_1&gene=snap_masked-NODE_1_length_742912_cov_33.9653_ID_1-processed-gene-4.128&CDS=1-873
OG0000580	YBR106W	snap_masked-NODE_15_length_268365_cov_36.054_ID_29-processed-gene-0.35-mRNA-1_1&gene=snap_masked-NODE_15_length_268365_cov_36.054_ID_29-processed-gene-0.35&CDS=1-573
OG0000581	YBR110W	snap_masked-NODE_51_length_46138_cov_30.082_ID_101-processed-gene-0.13-mRNA-1_1&gene=snap_masked-NODE_51_length_46138_cov_30.082_ID_101-processed-gene-0.13&CDS=1-1428
OG0000582	YBR111C	snap_masked-NODE_16_length_268119_cov_31.1022_ID_31-processed-gene-0.22-mRNA-1_1&gene=snap_masked-NODE_16_length_268119_cov_31.1022_ID_31-processed-gene-0.22&CDS=1-627
OG0000583	YBR111W-A	snap_masked-NODE_16_length_268119_cov_31.1022_ID_31-processed-gene-0.4-mRNA-1_1&gene=snap_masked-NODE_16_length_268119_cov_31.1022_ID_31-processed-gene-0.4&CDS=1-297
OG0000584	YBR112C	snap_masked-NODE_16_length_268119_cov_31.1022_ID_31-processed-gene-0.23-mRNA-1_1&gene=snap_masked-NODE_16_length_268119_cov_31.1022_ID_31-processed-gene-0.23&CDS=1-2337
OG0000585	YBR114W	snap_masked-NODE_4_length_504154_cov_32.1482_ID_7-processed-gene-1.8-mRNA-1_1&gene=snap_masked-NODE_4_length_504154_cov_32.1482_ID_7-processed-gene-1.8&CDS=1-2445
OG0000586	YBR115C	snap_masked-NODE_4_length_504154_cov_32.1482_ID_7-processed-gene-0.140-mRNA-1_1&gene=snap_masked-NODE_4_length_504154_cov_32.1482_ID_7-processed-gene-0.140&CDS=1-4155
OG0000587	YBR120C	snap_masked-NODE_5_length_464012_cov_40.2151_ID_9-processed-gene-0.23-mRNA-1_1&gene=snap_masked-NODE_5_length_464012_cov_40.2151_ID_9-processed-gene-0.23&CDS=1-486
OG0000588	YBR121C	augustus_masked-NODE_16_length_268119_cov_31.1022_ID_31-processed-gene-1.68-mRNA-1_1&gene=augustus_masked-NODE_16_length_268119_cov_31.1022_ID_31-processed-gene-1.68&CDS=1-2067
OG0000589	YBR122C	augustus_masked-NODE_35_length_118745_cov_32.5334_ID_69-processed-gene-0.102-mRNA-1_1&gene=augustus_masked-NODE_35_length_118745_cov_32.5334_ID_69-processed-gene-0.102&CDS=1-540
OG0000590	YBR123C	snap_masked-NODE_54_length_39956_cov_39.2569_ID_107-processed-gene-0.14-mRNA-1_1&gene=snap_masked-NODE_54_length_39956_cov_39.2569_ID_107-processed-gene-0.14&CDS=1-1680
OG0000591	YBR125C	snap_masked-NODE_35_length_118745_cov_32.5334_ID_69-processed-gene-0.24-mRNA-1_1&gene=snap_masked-NODE_35_length_118745_cov_32.5334_ID_69-processed-gene-0.24&CDS=1-1128
OG0000592	YBR126C	snap_masked-NODE_35_length_118745_cov_32.5334_ID_69-processed-gene-0.23-mRNA-1_1&gene=snap_masked-NODE_35_length_118745_cov_32.5334_ID_69-processed-gene-0.23&CDS=1-1425
OG0000593	YBR127C	snap_masked-NODE_6_length_396474_cov_30.9587_ID_11-processed-gene-2.287-mRNA-1_1&gene=snap_masked-NODE_6_length_396474_cov_30.9587_ID_11-processed-gene-2.287&CDS=1-1515
OG0000594	YBR133C	snap_masked-NODE_3_length_509586_cov_31.0256_ID_5-processed-gene-4.19-mRNA-1_1&gene=snap_masked-NODE_3_length_509586_cov_31.0256_ID_5-processed-gene-4.19&CDS=1-2337
OG0000595	YBR135W	snap_masked-NODE_3_length_509586_cov_31.0256_ID_5-processed-gene-4.41-mRNA-1_1&gene=snap_masked-NODE_3_length_509586_cov_31.0256_ID_5-processed-gene-4.41&CDS=1-303
OG0000596	YBR136W	augustus_masked-NODE_3_length_509586_cov_31.0256_ID_5-processed-gene-4.93-mRNA-1_1&gene=augustus_masked-NODE_3_length_509586_cov_31.0256_ID_5-processed-gene-4.93&CDS=1-7278
OG0000597	YBR141C	snap_masked-NODE_32_length_134182_cov_33.8379_ID_63-processed-gene-0.62-mRNA-1_1&gene=snap_masked-NODE_32_length_134182_cov_33.8379_ID_63-processed-gene-0.62&CDS=1-996
OG0000598	YBR142W	snap_masked-NODE_32_length_134182_cov_33.8379_ID_63-processed-gene-0.25-mRNA-1_1&gene=snap_masked-NODE_32_length_134182_cov_33.8379_ID_63-processed-gene-0.25&CDS=1-2235
OG0000599	YBR143C	snap_masked-NODE_32_length_134182_cov_33.8379_ID_63-processed-gene-0.63-mRNA-1_1&gene=snap_masked-NODE_32_length_134182_cov_33.8379_ID_63-processed-gene-0.63&CDS=1-1299
OG0000600	YBR146W	augustus_masked-NODE_13_length_289362_cov_30.0886_ID_25-processed-gene-1.281-mRNA-1_1&gene=augustus_masked-NODE_13_length_289362_cov_30.0886_ID_25-processed-gene-1.281&CDS=1-1365
OG0000601	YBR151W	snap_masked-NODE_16_length_268119_cov_31.1022_ID_31-processed-gene-1.214-mRNA-1_1&gene=snap_masked-NODE_16_length_268119_cov_31.1022_ID_31-processed-gene-1.214&CDS=1-882
OG0000602	YBR153W	snap_masked-NODE_60_length_27067_cov_32.9766_ID_119-processed-gene-0.10-mRNA-1_1&gene=snap_masked-NODE_60_length_27067_cov_32.9766_ID_119-processed-gene-0.10&CDS=1-861
OG0000603	YBR154C	snap_masked-NODE_60_length_27067_cov_32.9766_ID_119-processed-gene-0.3-mRNA-1_1&gene=snap_masked-NODE_60_length_27067_cov_32.9766_ID_119-processed-gene-0.3&CDS=1-642
OG0000604	YBR155W	snap_masked-NODE_4_length_504154_cov_32.1482_ID_7-processed-gene-4.34-mRNA-1_1&gene=snap_masked-NODE_4_length_504154_cov_32.1482_ID_7-processed-gene-4.34&CDS=1-1173
OG0000605	YBR158W	snap_masked-NODE_28_length_169340_cov_34.4_ID_55-processed-gene-0.58-mRNA-1_1&gene=snap_masked-NODE_28_length_169340_cov_34.4_ID_55-processed-gene-0.58&CDS=1-1713
OG0000606	YBR160W	maker-NODE_6_length_396474_cov_30.9587_ID_11-snap-gene-2.3-mRNA-1_1&gene=maker-NODE_6_length_396474_cov_30.9587_ID_11-snap-gene-2.3&CDS=1-1920
OG0000607	YBR162C	snap_masked-NODE_15_length_268365_cov_36.054_ID_29-processed-gene-1.42-mRNA-1_1&gene=snap_masked-NODE_15_length_268365_cov_36.054_ID_29-processed-gene-1.42&CDS=1-1425
OG0000608	YBR162W-A	maker-NODE_33_length_126778_cov_31.2123_ID_65-snap-gene-0.5-mRNA-1_1&gene=maker-NODE_33_length_126778_cov_31.2123_ID_65-snap-gene-0.5&CDS=1-183
OG0000609	YBR163W	maker-NODE_61_length_23267_cov_28.7695_ID_121-snap-gene-0.10-mRNA-1_1&gene=maker-NODE_61_length_23267_cov_28.7695_ID_121-snap-gene-0.10&CDS=1-1752
OG0000610	YBR164C	genemark-NODE_7_length_357092_cov_29.7097_ID_13-processed-gene-2.161-mRNA-1_1&gene=genemark-NODE_7_length_357092_cov_29.7097_ID_13-processed-gene-2.161&CDS=1-549
OG0000611	YBR166C	snap_masked-NODE_7_length_357092_cov_29.7097_ID_13-processed-gene-2.10-mRNA-1_1&gene=snap_masked-NODE_7_length_357092_cov_29.7097_ID_13-processed-gene-2.10&CDS=1-1308
OG0000612	YBR167C	snap_masked-NODE_6_length_396474_cov_30.9587_ID_11-processed-gene-2.296-mRNA-1_1&gene=snap_masked-NODE_6_length_396474_cov_30.9587_ID_11-processed-gene-2.296&CDS=1-462
OG0000613	YBR171W	snap_masked-NODE_2_length_612583_cov_33.3099_ID_3-processed-gene-1.125-mRNA-1_1&gene=snap_masked-NODE_2_length_612583_cov_33.3099_ID_3-processed-gene-1.125&CDS=1-588
OG0000614	YBR173C	augustus_masked-NODE_2_length_612583_cov_33.3099_ID_3-processed-gene-1.37-mRNA-1_1&gene=augustus_masked-NODE_2_length_612583_cov_33.3099_ID_3-processed-gene-1.37&CDS=1-444
OG0000615	YBR176W	maker-NODE_22_length_197219_cov_30.0249_ID_43-augustus-gene-0.221-mRNA-1_1&gene=maker-NODE_22_length_197219_cov_30.0249_ID_43-augustus-gene-0.221&CDS=1-1326
OG0000616	YBR179C	snap_masked-NODE_19_length_231802_cov_29.4664_ID_37-processed-gene-0.98-mRNA-1_1&gene=snap_masked-NODE_19_length_231802_cov_29.4664_ID_37-processed-gene-0.98&CDS=1-2565
OG0000617	YBR182C	snap_masked-NODE_7_length_357092_cov_29.7097_ID_13-processed-gene-1.15-mRNA-1_1&gene=snap_masked-NODE_7_length_357092_cov_29.7097_ID_13-processed-gene-1.15&CDS=1-1680
OG0000618	YBR185C	snap_masked-NODE_7_length_357092_cov_29.7097_ID_13-processed-gene-1.22-mRNA-1_1&gene=snap_masked-NODE_7_length_357092_cov_29.7097_ID_13-processed-gene-1.22&CDS=1-846
OG0000619	YBR186W	snap_masked-NODE_5_length_464012_cov_40.2151_ID_9-processed-gene-2.40-mRNA-1_1&gene=snap_masked-NODE_5_length_464012_cov_40.2151_ID_9-processed-gene-2.40&CDS=1-1242
OG0000620	YBR187W	snap_masked-NODE_5_length_464012_cov_40.2151_ID_9-processed-gene-2.38-mRNA-1_1&gene=snap_masked-NODE_5_length_464012_cov_40.2151_ID_9-processed-gene-2.38&CDS=1-969
OG0000621	YBR192W	snap_masked-NODE_3_length_509586_cov_31.0256_ID_5-processed-gene-3.33-mRNA-1_1&gene=snap_masked-NODE_3_length_509586_cov_31.0256_ID_5-processed-gene-3.33&CDS=1-1098
OG0000622	YBR196C	snap_masked-NODE_34_length_122159_cov_30.0024_ID_67-processed-gene-0.158-mRNA-1_1&gene=snap_masked-NODE_34_length_122159_cov_30.0024_ID_67-processed-gene-0.158&CDS=1-1638
OG0000623	YBR198C	snap_masked-NODE_34_length_122159_cov_30.0024_ID_67-processed-gene-0.156-mRNA-1_1&gene=snap_masked-NODE_34_length_122159_cov_30.0024_ID_67-processed-gene-0.156&CDS=1-2373
OG0000624	YBR200W	snap_masked-NODE_20_length_223538_cov_38.8343_ID_39-processed-gene-0.112-mRNA-1_1&gene=snap_masked-NODE_20_length_223538_cov_38.8343_ID_39-processed-gene-0.112&CDS=1-1797
OG0000625	YBR201W	snap_masked-NODE_20_length_223538_cov_38.8343_ID_39-processed-gene-1.61-mRNA-1_1&gene=snap_masked-NODE_20_length_223538_cov_38.8343_ID_39-processed-gene-1.61&CDS=1-825
OG0000626	YBR202W	snap_masked-NODE_22_length_197219_cov_30.0249_ID_43-processed-gene-0.237-mRNA-1_1&gene=snap_masked-NODE_22_length_197219_cov_30.0249_ID_43-processed-gene-0.237&CDS=1-2451
OG0000627	YBR203W	snap_masked-NODE_7_length_357092_cov_29.7097_ID_13-processed-gene-2.56-mRNA-1_1&gene=snap_masked-NODE_7_length_357092_cov_29.7097_ID_13-processed-gene-2.56&CDS=1-1821
OG0000628	YBR204C	snap_masked-NODE_2_length_612583_cov_33.3099_ID_3-processed-gene-0.25-mRNA-1_1&gene=snap_masked-NODE_2_length_612583_cov_33.3099_ID_3-processed-gene-0.25&CDS=1-1893
OG0000629	YBR208C	snap_masked-NODE_59_length_30048_cov_28.6_ID_117-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_59_length_30048_cov_28.6_ID_117-processed-gene-0.1&CDS=1-5487
OG0000630	YBR213W	maker-NODE_18_length_238426_cov_40.4936_ID_35-snap-gene-1.257-mRNA-1_1&gene=maker-NODE_18_length_238426_cov_40.4936_ID_35-snap-gene-1.257&CDS=1-792
OG0000631	YBR217W	snap_masked-NODE_38_length_101086_cov_29.1576_ID_75-processed-gene-0.114-mRNA-1_1&gene=snap_masked-NODE_38_length_101086_cov_29.1576_ID_75-processed-gene-0.114&CDS=1-489
OG0000632	YBR218C	snap_masked-NODE_8_length_348112_cov_34.8261_ID_15-processed-gene-2.248-mRNA-1_1&gene=snap_masked-NODE_8_length_348112_cov_34.8261_ID_15-processed-gene-2.248&CDS=1-3531
OG0000633	YBR220C	snap_masked-NODE_8_length_348112_cov_34.8261_ID_15-processed-gene-2.246-mRNA-1_1&gene=snap_masked-NODE_8_length_348112_cov_34.8261_ID_15-processed-gene-2.246&CDS=1-1779
OG0000634	YBR221C	snap_masked-NODE_31_length_138543_cov_31.3823_ID_61-processed-gene-0.56-mRNA-1_1&gene=snap_masked-NODE_31_length_138543_cov_31.3823_ID_61-processed-gene-0.56&CDS=1-1101
OG0000635	YBR222C	snap_masked-NODE_9_length_332902_cov_30.3286_ID_17-processed-gene-2.50-mRNA-1_1&gene=snap_masked-NODE_9_length_332902_cov_30.3286_ID_17-processed-gene-2.50&CDS=1-1623
OG0000636	YBR223C	snap_masked-NODE_37_length_103167_cov_34.2317_ID_73-processed-gene-0.6-mRNA-1_1&gene=snap_masked-NODE_37_length_103167_cov_34.2317_ID_73-processed-gene-0.6&CDS=1-1881
OG0000637	YBR227C	snap_masked-NODE_16_length_268119_cov_31.1022_ID_31-processed-gene-0.32-mRNA-1_1&gene=snap_masked-NODE_16_length_268119_cov_31.1022_ID_31-processed-gene-0.32&CDS=1-1644
OG0000638	YBR228W	snap_masked-NODE_21_length_199464_cov_29.6595_ID_41-processed-gene-0.248-mRNA-1_1&gene=snap_masked-NODE_21_length_199464_cov_29.6595_ID_41-processed-gene-0.248&CDS=1-906
OG0000639	YBR229C	augustus_masked-NODE_2_length_612583_cov_33.3099_ID_3-processed-gene-4.91-mRNA-1_1&gene=augustus_masked-NODE_2_length_612583_cov_33.3099_ID_3-processed-gene-4.91&CDS=1-2814
OG0000640	YBR231C	snap_masked-NODE_13_length_289362_cov_30.0886_ID_25-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_13_length_289362_cov_30.0886_ID_25-processed-gene-0.1&CDS=1-789
OG0000641	YBR233W	snap_masked-NODE_13_length_289362_cov_30.0886_ID_25-processed-gene-0.20-mRNA-1_1&gene=snap_masked-NODE_13_length_289362_cov_30.0886_ID_25-processed-gene-0.20&CDS=1-1266
OG0000642	YBR233W-A	snap_masked-NODE_8_length_348112_cov_34.8261_ID_15-processed-gene-2.200-mRNA-1_1&gene=snap_masked-NODE_8_length_348112_cov_34.8261_ID_15-processed-gene-2.200&CDS=1-411
OG0000643	YBR234C	snap_masked-NODE_8_length_348112_cov_34.8261_ID_15-processed-gene-2.244-mRNA-1_1&gene=snap_masked-NODE_8_length_348112_cov_34.8261_ID_15-processed-gene-2.244&CDS=1-1092
OG0000644	YBR235W	snap_masked-NODE_52_length_44404_cov_49.7936_ID_103-processed-gene-0.45-mRNA-1_1&gene=snap_masked-NODE_52_length_44404_cov_49.7936_ID_103-processed-gene-0.45&CDS=1-3309
OG0000645	YBR236C	snap_masked-NODE_52_length_44404_cov_49.7936_ID_103-processed-gene-0.44-mRNA-1_1&gene=snap_masked-NODE_52_length_44404_cov_49.7936_ID_103-processed-gene-0.44&CDS=1-1488
OG0000646	YBR239C	snap_masked-NODE_35_length_118745_cov_32.5334_ID_69-processed-gene-0.7-mRNA-1_1&gene=snap_masked-NODE_35_length_118745_cov_32.5334_ID_69-processed-gene-0.7&CDS=1-1299
OG0000647	YBR243C	snap_masked-NODE_35_length_118745_cov_32.5334_ID_69-processed-gene-0.5-mRNA-1_1&gene=snap_masked-NODE_35_length_118745_cov_32.5334_ID_69-processed-gene-0.5&CDS=1-1350
OG0000648	YBR246W	augustus_masked-NODE_35_length_118745_cov_32.5334_ID_69-processed-gene-0.66-mRNA-1_1&gene=augustus_masked-NODE_35_length_118745_cov_32.5334_ID_69-processed-gene-0.66&CDS=1-1041
OG0000649	YBR247C	snap_masked-NODE_17_length_254749_cov_31.1339_ID_33-processed-gene-1.57-mRNA-1_1&gene=snap_masked-NODE_17_length_254749_cov_31.1339_ID_33-processed-gene-1.57&CDS=1-1410
OG0000650	YBR248C	snap_masked-NODE_17_length_254749_cov_31.1339_ID_33-processed-gene-1.58-mRNA-1_1&gene=snap_masked-NODE_17_length_254749_cov_31.1339_ID_33-processed-gene-1.58&CDS=1-1677
OG0000651	YBR249C	maker-NODE_17_length_254749_cov_31.1339_ID_33-snap-gene-1.2-mRNA-1_1&gene=maker-NODE_17_length_254749_cov_31.1339_ID_33-snap-gene-1.2&CDS=1-1107
OG0000652	YBR251W	augustus_masked-NODE_11_length_303890_cov_30.9068_ID_21-processed-gene-0.109-mRNA-1_1&gene=augustus_masked-NODE_11_length_303890_cov_30.9068_ID_21-processed-gene-0.109&CDS=1-945
OG0000653	YBR254C	snap_masked-NODE_14_length_272433_cov_31.4939_ID_27-processed-gene-0.121-mRNA-1_1&gene=snap_masked-NODE_14_length_272433_cov_31.4939_ID_27-processed-gene-0.121&CDS=1-426
OG0000654	YBR255W	genemark-NODE_14_length_272433_cov_31.4939_ID_27-processed-gene-0.44-mRNA-1_1&gene=genemark-NODE_14_length_272433_cov_31.4939_ID_27-processed-gene-0.44&CDS=1-1863
OG0000655	YBR256C	snap_masked-NODE_10_length_305151_cov_36.765_ID_19-processed-gene-0.105-mRNA-1_1&gene=snap_masked-NODE_10_length_305151_cov_36.765_ID_19-processed-gene-0.105&CDS=1-702
OG0000656	YBR257W	snap_masked-NODE_13_length_289362_cov_30.0886_ID_25-processed-gene-1.20-mRNA-1_1&gene=snap_masked-NODE_13_length_289362_cov_30.0886_ID_25-processed-gene-1.20&CDS=1-864
OG0000657	YBR260C	augustus_masked-NODE_1_length_742912_cov_33.9653_ID_1-processed-gene-1.98-mRNA-1_1&gene=augustus_masked-NODE_1_length_742912_cov_33.9653_ID_1-processed-gene-1.98&CDS=1-2748
OG0000658	YBR261C	snap_masked-NODE_23_length_192153_cov_28.0327_ID_45-processed-gene-0.81-mRNA-1_1&gene=snap_masked-NODE_23_length_192153_cov_28.0327_ID_45-processed-gene-0.81&CDS=1-774
OG0000659	YBR263W	snap_masked-NODE_28_length_169340_cov_34.4_ID_55-processed-gene-0.68-mRNA-1_1&gene=snap_masked-NODE_28_length_169340_cov_34.4_ID_55-processed-gene-0.68&CDS=1-1467
OG0000660	YBR265W	maker-NODE_17_length_254749_cov_31.1339_ID_33-augustus-gene-0.45-mRNA-1_1&gene=maker-NODE_17_length_254749_cov_31.1339_ID_33-augustus-gene-0.45&CDS=1-1581
OG0000661	YBR267W	snap_masked-NODE_46_length_62124_cov_29.1229_ID_91-processed-gene-0.86-mRNA-1_1&gene=snap_masked-NODE_46_length_62124_cov_29.1229_ID_91-processed-gene-0.86&CDS=1-1248
OG0000662	YBR268W	snap_masked-NODE_27_length_175590_cov_28.0157_ID_53-processed-gene-0.245-mRNA-1_1&gene=snap_masked-NODE_27_length_175590_cov_28.0157_ID_53-processed-gene-0.245&CDS=1-288
OG0000663	YBR269C	augustus_masked-NODE_27_length_175590_cov_28.0157_ID_53-processed-gene-0.76-mRNA-1_1&gene=augustus_masked-NODE_27_length_175590_cov_28.0157_ID_53-processed-gene-0.76&CDS=1-393
OG0000664	YBR271W	snap_masked-NODE_7_length_357092_cov_29.7097_ID_13-processed-gene-1.42-mRNA-1_1&gene=snap_masked-NODE_7_length_357092_cov_29.7097_ID_13-processed-gene-1.42&CDS=1-1140
OG0000665	YBR272C	genemark-NODE_2_length_612583_cov_33.3099_ID_3-processed-gene-4.29-mRNA-1_1&gene=genemark-NODE_2_length_612583_cov_33.3099_ID_3-processed-gene-4.29&CDS=1-1362
OG0000666	YBR274W	snap_masked-NODE_24_length_183566_cov_30.6958_ID_47-processed-gene-0.239-mRNA-1_1&gene=snap_masked-NODE_24_length_183566_cov_30.6958_ID_47-processed-gene-0.239&CDS=1-1671
OG0000667	YBR276C	augustus_masked-NODE_18_length_238426_cov_40.4936_ID_35-processed-gene-1.96-mRNA-1_1&gene=augustus_masked-NODE_18_length_238426_cov_40.4936_ID_35-processed-gene-1.96&CDS=1-3126
OG0000668	YBR279W	snap_masked-NODE_37_length_103167_cov_34.2317_ID_73-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NODE_37_length_103167_cov_34.2317_ID_73-processed-gene-0.0&CDS=1-1236
OG0000669	YBR280C	snap_masked-NODE_13_length_289362_cov_30.0886_ID_25-processed-gene-1.16-mRNA-1_1&gene=snap_masked-NODE_13_length_289362_cov_30.0886_ID_25-processed-gene-1.16&CDS=1-1458
OG0000670	YBR281C	snap_masked-NODE_4_length_504154_cov_32.1482_ID_7-processed-gene-1.51-mRNA-1_1&gene=snap_masked-NODE_4_length_504154_cov_32.1482_ID_7-processed-gene-1.51&CDS=1-2631
OG0000671	YBR282W	snap_masked-NODE_18_length_238426_cov_40.4936_ID_35-processed-gene-1.170-mRNA-1_1&gene=snap_masked-NODE_18_length_238426_cov_40.4936_ID_35-processed-gene-1.170&CDS=1-429
OG0000672	YBR286W	snap_masked-NODE_50_length_46340_cov_28.7699_ID_99-processed-gene-0.20-mRNA-1_1&gene=snap_masked-NODE_50_length_46340_cov_28.7699_ID_99-processed-gene-0.20&CDS=1-1554
OG0000673	YBR287W	augustus_masked-NODE_1_length_742912_cov_33.9653_ID_1-processed-gene-5.77-mRNA-1_1&gene=augustus_masked-NODE_1_length_742912_cov_33.9653_ID_1-processed-gene-5.77&CDS=1-2946
OG0000674	YBR288C	snap_masked-NODE_16_length_268119_cov_31.1022_ID_31-processed-gene-0.5-mRNA-1_1&gene=snap_masked-NODE_16_length_268119_cov_31.1022_ID_31-processed-gene-0.5&CDS=1-1650
OG0000675	YBR289W	maker-NODE_35_length_118745_cov_32.5334_ID_69-snap-gene-0.178-mRNA-1_1&gene=maker-NODE_35_length_118745_cov_32.5334_ID_69-snap-gene-0.178&CDS=1-3231
OG0000676	YBR291C	maker-NODE_35_length_118745_cov_32.5334_ID_69-augustus-gene-0.174-mRNA-1_1&gene=maker-NODE_35_length_118745_cov_32.5334_ID_69-augustus-gene-0.174&CDS=1-2334
OG0000677	YCL001W	snap_masked-NODE_31_length_138543_cov_31.3823_ID_61-processed-gene-0.40-mRNA-1_1&gene=snap_masked-NODE_31_length_138543_cov_31.3823_ID_61-processed-gene-0.40&CDS=1-546
OG0000678	YCL004W	snap_masked-NODE_12_length_297239_cov_36.2077_ID_23-processed-gene-1.95-mRNA-1_1&gene=snap_masked-NODE_12_length_297239_cov_36.2077_ID_23-processed-gene-1.95&CDS=1-1530
OG0000679	YCL005W-A	genemark-NODE_3_length_509586_cov_31.0256_ID_5-processed-gene-3.74-mRNA-1_1&gene=genemark-NODE_3_length_509586_cov_31.0256_ID_5-processed-gene-3.74&CDS=1-216
OG0000680	YCL009C	augustus_masked-NODE_20_length_223538_cov_38.8343_ID_39-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-NODE_20_length_223538_cov_38.8343_ID_39-processed-gene-0.22&CDS=1-921
OG0000681	YCL010C	augustus_masked-NODE_12_length_297239_cov_36.2077_ID_23-processed-gene-1.156-mRNA-1_1&gene=augustus_masked-NODE_12_length_297239_cov_36.2077_ID_23-processed-gene-1.156&CDS=1-804
OG0000682	YCL014W	snap_masked-NODE_4_length_504154_cov_32.1482_ID_7-processed-gene-2.14-mRNA-1_1&gene=snap_masked-NODE_4_length_504154_cov_32.1482_ID_7-processed-gene-2.14&CDS=1-3630
OG0000683	YCL016C	snap_masked-NODE_14_length_272433_cov_31.4939_ID_27-processed-gene-0.112-mRNA-1_1&gene=snap_masked-NODE_14_length_272433_cov_31.4939_ID_27-processed-gene-0.112&CDS=1-1056
