	Saccharomyces_cerevisiae	yHMPu5000035271_Wickerhamomyces_bovis
OG0000479	YLR138W	augustus_masked-NODE_3_length_686625_cov_22.7875_ID_2680-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-NODE_3_length_686625_cov_22.7875_ID_2680-processed-gene-0.30&CDS=1-1656, augustus_masked-NODE_67_length_23963_cov_26.7098_ID_5920-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-NODE_67_length_23963_cov_26.7098_ID_5920-processed-gene-0.27&CDS=1-2688
OG0000480	YLR181C	genemark-NODE_27_length_121081_cov_22.7673_ID_3616-processed-gene-0.155-mRNA-1_1&gene=genemark-NODE_27_length_121081_cov_22.7673_ID_3616-processed-gene-0.155&CDS=1-1032, snap_masked-NODE_18_length_228862_cov_23.6433_ID_2185-processed-gene-1.161-mRNA-1_1&gene=snap_masked-NODE_18_length_228862_cov_23.6433_ID_2185-processed-gene-1.161&CDS=1-924
OG0000481	YLR241W	augustus_masked-NODE_17_length_233845_cov_24.4945_ID_2323-processed-gene-1.66-mRNA-1_1&gene=augustus_masked-NODE_17_length_233845_cov_24.4945_ID_2323-processed-gene-1.66&CDS=1-2505, augustus_masked-NODE_55_length_40521_cov_22.646_ID_4841-processed-gene-0.42-mRNA-1_1&gene=augustus_masked-NODE_55_length_40521_cov_22.646_ID_4841-processed-gene-0.42&CDS=1-2544
OG0000482	YLR248W	genemark-NODE_31_length_114607_cov_26.3092_ID_3092-processed-gene-0.133-mRNA-1_1&gene=genemark-NODE_31_length_114607_cov_26.3092_ID_3092-processed-gene-0.133&CDS=1-1587, maker-NODE_9_length_324451_cov_22.8396_ID_7486-snap-gene-1.7-mRNA-1_1&gene=maker-NODE_9_length_324451_cov_22.8396_ID_7486-snap-gene-1.7&CDS=1-1560
OG0000483	YLR260W, YOR171C	genemark-NODE_24_length_139379_cov_21.5415_ID_2650-processed-gene-0.143-mRNA-1_1&gene=genemark-NODE_24_length_139379_cov_21.5415_ID_2650-processed-gene-0.143&CDS=1-1476
OG0000484	YLR270W, YOR173W	augustus_masked-NODE_22_length_169243_cov_28.4925_ID_3126-processed-gene-0.197-mRNA-1_1&gene=augustus_masked-NODE_22_length_169243_cov_28.4925_ID_3126-processed-gene-0.197&CDS=1-888
OG0000485	YLR284C, YOR180C	augustus_masked-NODE_39_length_68748_cov_27.3738_ID_3862-processed-gene-0.47-mRNA-1_1&gene=augustus_masked-NODE_39_length_68748_cov_27.3738_ID_3862-processed-gene-0.47&CDS=1-819
OG0000486	YLR286C	augustus_masked-NODE_27_length_121081_cov_22.7673_ID_3616-processed-gene-0.113-mRNA-1_1&gene=augustus_masked-NODE_27_length_121081_cov_22.7673_ID_3616-processed-gene-0.113&CDS=1-1140, maker-NODE_1_length_1020045_cov_22.3535_ID_1707-snap-gene-9.0-mRNA-1_1&gene=maker-NODE_1_length_1020045_cov_22.3535_ID_1707-snap-gene-9.0&CDS=1-2388
OG0000487	YLR351C	augustus_masked-NODE_3_length_686625_cov_22.7875_ID_2680-processed-gene-1.71-mRNA-1_1&gene=augustus_masked-NODE_3_length_686625_cov_22.7875_ID_2680-processed-gene-1.71&CDS=1-837, augustus_masked-NODE_3_length_686625_cov_22.7875_ID_2680-processed-gene-1.85-mRNA-1_1&gene=augustus_masked-NODE_3_length_686625_cov_22.7875_ID_2680-processed-gene-1.85&CDS=1-1539
OG0000488	YLR390W-A	augustus_masked-NODE_16_length_241460_cov_22.8791_ID_4286-processed-gene-1.76-mRNA-1_1&gene=augustus_masked-NODE_16_length_241460_cov_22.8791_ID_4286-processed-gene-1.76&CDS=1-792, augustus_masked-NODE_9_length_324451_cov_22.8396_ID_7486-processed-gene-1.142-mRNA-1_1&gene=augustus_masked-NODE_9_length_324451_cov_22.8396_ID_7486-processed-gene-1.142&CDS=1-660
OG0000489	YLR441C	augustus_masked-NODE_4_length_628375_cov_23.1438_ID_2100-processed-gene-4.25-mRNA-1_1&gene=augustus_masked-NODE_4_length_628375_cov_23.1438_ID_2100-processed-gene-4.25&CDS=1-768, augustus_masked-NODE_8_length_336906_cov_25.1058_ID_2807-processed-gene-2.56-mRNA-1_1&gene=augustus_masked-NODE_8_length_336906_cov_25.1058_ID_2807-processed-gene-2.56&CDS=1-768
OG0000490	YLR450W, YML075C	augustus_masked-NODE_9_length_324451_cov_22.8396_ID_7486-processed-gene-2.102-mRNA-1_1&gene=augustus_masked-NODE_9_length_324451_cov_22.8396_ID_7486-processed-gene-2.102&CDS=1-3021
OG0000491	YLR456W, YPR172W	augustus_masked-NODE_21_length_173256_cov_22.717_ID_2877-processed-gene-0.246-mRNA-1_1&gene=augustus_masked-NODE_21_length_173256_cov_22.717_ID_2877-processed-gene-0.246&CDS=1-573
OG0000492	YML073C	augustus_masked-NODE_46_length_55520_cov_27.8102_ID_4391-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-NODE_46_length_55520_cov_27.8102_ID_4391-processed-gene-0.12&CDS=1-525, maker-NODE_9_length_324451_cov_22.8396_ID_7486-augustus-gene-2.180-mRNA-1_1&gene=maker-NODE_9_length_324451_cov_22.8396_ID_7486-augustus-gene-2.180&CDS=1-525
OG0000493	YML100W, YMR261C	augustus_masked-NODE_3_length_686625_cov_22.7875_ID_2680-processed-gene-2.44-mRNA-1_1&gene=augustus_masked-NODE_3_length_686625_cov_22.7875_ID_2680-processed-gene-2.44&CDS=1-3240
OG0000494	YML109W, YMR273C	augustus_masked-NODE_44_length_56175_cov_21.588_ID_12004-processed-gene-0.42-mRNA-1_1&gene=augustus_masked-NODE_44_length_56175_cov_21.588_ID_12004-processed-gene-0.42&CDS=1-2748
OG0000495	YML116W, YMR279C	genemark-NODE_2_length_865375_cov_22.6121_ID_9257-processed-gene-5.112-mRNA-1_1&gene=genemark-NODE_2_length_865375_cov_22.6121_ID_9257-processed-gene-5.112&CDS=1-1500
OG0000496	YMR059W	augustus_masked-NODE_5_length_377811_cov_27.128_ID_2487-processed-gene-2.2-mRNA-1_1&gene=augustus_masked-NODE_5_length_377811_cov_27.128_ID_2487-processed-gene-2.2&CDS=1-348, snap_masked-NODE_20_length_184838_cov_25.5018_ID_5407-processed-gene-0.120-mRNA-1_1&gene=snap_masked-NODE_20_length_184838_cov_25.5018_ID_5407-processed-gene-0.120&CDS=1-315
OG0000497	YMR088C	augustus_masked-NODE_20_length_184838_cov_25.5018_ID_5407-processed-gene-0.313-mRNA-1_1&gene=augustus_masked-NODE_20_length_184838_cov_25.5018_ID_5407-processed-gene-0.313&CDS=1-1701, augustus_masked-NODE_59_length_35517_cov_23.2744_ID_5480-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-NODE_59_length_35517_cov_23.2744_ID_5480-processed-gene-0.38&CDS=1-1608
OG0000498	YMR119W, YNL008C	augustus_masked-NODE_8_length_336906_cov_25.1058_ID_2807-processed-gene-1.69-mRNA-1_1&gene=augustus_masked-NODE_8_length_336906_cov_25.1058_ID_2807-processed-gene-1.69&CDS=1-2136
OG0000499	YMR183C, YPL232W	augustus_masked-NODE_24_length_139379_cov_21.5415_ID_2650-processed-gene-0.43-mRNA-1_1&gene=augustus_masked-NODE_24_length_139379_cov_21.5415_ID_2650-processed-gene-0.43&CDS=1-876
OG0000500	YMR199W, YPL256C	augustus_masked-NODE_2_length_865375_cov_22.6121_ID_9257-processed-gene-4.82-mRNA-1_1&gene=augustus_masked-NODE_2_length_865375_cov_22.6121_ID_9257-processed-gene-4.82&CDS=1-1311
OG0000501	YMR216C	augustus_masked-NODE_12_length_279838_cov_23.0736_ID_9675-processed-gene-1.223-mRNA-1_1&gene=augustus_masked-NODE_12_length_279838_cov_23.0736_ID_9675-processed-gene-1.223&CDS=1-1755, augustus_masked-NODE_3_length_686625_cov_22.7875_ID_2680-processed-gene-5.223-mRNA-1_1&gene=augustus_masked-NODE_3_length_686625_cov_22.7875_ID_2680-processed-gene-5.223&CDS=1-1878
OG0000502	YMR222C, YOR280C	augustus_masked-NODE_2_length_865375_cov_22.6121_ID_9257-processed-gene-4.78-mRNA-1_1&gene=augustus_masked-NODE_2_length_865375_cov_22.6121_ID_9257-processed-gene-4.78&CDS=1-669
OG0000503	YMR230W, YOR293W	maker-NODE_60_length_34784_cov_26.1171_ID_5067-augustus-gene-0.64-mRNA-1_1&gene=maker-NODE_60_length_34784_cov_26.1171_ID_5067-augustus-gene-0.64&CDS=1-330
OG0000504	YMR242C, YOR312C	genemark-NODE_27_length_121081_cov_22.7673_ID_3616-processed-gene-0.150-mRNA-1_1&gene=genemark-NODE_27_length_121081_cov_22.7673_ID_3616-processed-gene-0.150&CDS=1-519
OG0000505	YMR253C, YPL264C	augustus_masked-NODE_1_length_1020045_cov_22.3535_ID_1707-processed-gene-6.93-mRNA-1_1&gene=augustus_masked-NODE_1_length_1020045_cov_22.3535_ID_1707-processed-gene-6.93&CDS=1-1197
OG0000506	YNL027W	augustus_masked-NODE_21_length_173256_cov_22.717_ID_2877-processed-gene-0.255-mRNA-1_1&gene=augustus_masked-NODE_21_length_173256_cov_22.717_ID_2877-processed-gene-0.255&CDS=1-1080, genemark-NODE_26_length_130411_cov_22.7649_ID_2775-processed-gene-0.203-mRNA-1_1&gene=genemark-NODE_26_length_130411_cov_22.7649_ID_2775-processed-gene-0.203&CDS=1-1929
OG0000507	YNL065W	augustus_masked-NODE_12_length_279838_cov_23.0736_ID_9675-processed-gene-1.286-mRNA-1_1&gene=augustus_masked-NODE_12_length_279838_cov_23.0736_ID_9675-processed-gene-1.286&CDS=1-1386, augustus_masked-NODE_38_length_79087_cov_23.4313_ID_3572-processed-gene-0.63-mRNA-1_1&gene=augustus_masked-NODE_38_length_79087_cov_23.4313_ID_3572-processed-gene-0.63&CDS=1-1479
OG0000508	YNL231C	augustus_masked-NODE_16_length_241460_cov_22.8791_ID_4286-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-NODE_16_length_241460_cov_22.8791_ID_4286-processed-gene-0.12&CDS=1-1176, augustus_masked-NODE_1_length_1020045_cov_22.3535_ID_1707-processed-gene-2.97-mRNA-1_1&gene=augustus_masked-NODE_1_length_1020045_cov_22.3535_ID_1707-processed-gene-2.97&CDS=1-1008
OG0000509	YNL301C, YOL120C	maker-NODE_30_length_117107_cov_22.465_ID_3048-snap-gene-0.123-mRNA-1_1&gene=maker-NODE_30_length_117107_cov_22.465_ID_3048-snap-gene-0.123&CDS=1-957
OG0000510	YOR227W, YPL137C	augustus_masked-NODE_19_length_221202_cov_23.1889_ID_2151-processed-gene-1.30-mRNA-1_1&gene=augustus_masked-NODE_19_length_221202_cov_23.1889_ID_2151-processed-gene-1.30&CDS=1-3390
OG0000511	YOR231W, YPL140C	augustus_masked-NODE_16_length_241460_cov_22.8791_ID_4286-processed-gene-1.30-mRNA-1_1&gene=augustus_masked-NODE_16_length_241460_cov_22.8791_ID_4286-processed-gene-1.30&CDS=1-1338
OG0000512	YOR233W, YPL141C	snap_masked-NODE_4_length_628375_cov_23.1438_ID_2100-processed-gene-2.147-mRNA-1_1&gene=snap_masked-NODE_4_length_628375_cov_23.1438_ID_2100-processed-gene-2.147&CDS=1-2553
OG0000513	YOR234C, YPL143W	augustus_masked-NODE_4_length_628375_cov_23.1438_ID_2100-processed-gene-2.78-mRNA-1_1&gene=augustus_masked-NODE_4_length_628375_cov_23.1438_ID_2100-processed-gene-2.78&CDS=1-321
OG0000514	YOR237W, YPL145C	augustus_masked-NODE_4_length_628375_cov_23.1438_ID_2100-processed-gene-2.77-mRNA-1_1&gene=augustus_masked-NODE_4_length_628375_cov_23.1438_ID_2100-processed-gene-2.77&CDS=1-1281
OG0000515	YOR256C, YPL176C	augustus_masked-NODE_7_length_343272_cov_25.1726_ID_2572-processed-gene-2.226-mRNA-1_1&gene=augustus_masked-NODE_7_length_343272_cov_25.1726_ID_2572-processed-gene-2.226&CDS=1-2289
OG0000516	YOR320C	augustus_masked-NODE_63_length_31179_cov_22.7796_ID_5245-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-NODE_63_length_31179_cov_22.7796_ID_5245-processed-gene-0.14&CDS=1-1677, augustus_masked-NODE_92_length_5815_cov_28.0326_ID_6329-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-NODE_92_length_5815_cov_28.0326_ID_6329-processed-gene-0.3&CDS=1-1782
OG0000517	YOR388C, YPL275W	augustus_masked-NODE_24_length_139379_cov_21.5415_ID_2650-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-NODE_24_length_139379_cov_21.5415_ID_2650-processed-gene-0.56&CDS=1-1095
OG0000518	YOR390W, YPL279C	augustus_masked-NODE_1_length_1020045_cov_22.3535_ID_1707-processed-gene-6.85-mRNA-1_1&gene=augustus_masked-NODE_1_length_1020045_cov_22.3535_ID_1707-processed-gene-6.85&CDS=1-984
OG0000519	YPL041C	augustus_masked-NODE_1_length_1020045_cov_22.3535_ID_1707-processed-gene-9.96-mRNA-1_1&gene=augustus_masked-NODE_1_length_1020045_cov_22.3535_ID_1707-processed-gene-9.96&CDS=1-666, snap_masked-NODE_31_length_114607_cov_26.3092_ID_3092-processed-gene-0.97-mRNA-1_1&gene=snap_masked-NODE_31_length_114607_cov_26.3092_ID_3092-processed-gene-0.97&CDS=1-213
OG0000520	YPL247C	augustus_masked-NODE_20_length_184838_cov_25.5018_ID_5407-processed-gene-0.274-mRNA-1_1&gene=augustus_masked-NODE_20_length_184838_cov_25.5018_ID_5407-processed-gene-0.274&CDS=1-1239, maker-NODE_20_length_184838_cov_25.5018_ID_5407-augustus-gene-0.111-mRNA-1_1&gene=maker-NODE_20_length_184838_cov_25.5018_ID_5407-augustus-gene-0.111&CDS=1-1239
OG0000521	YPL248C	augustus_masked-NODE_20_length_184838_cov_25.5018_ID_5407-processed-gene-0.280-mRNA-1_1&gene=augustus_masked-NODE_20_length_184838_cov_25.5018_ID_5407-processed-gene-0.280&CDS=1-2418, snap_masked-NODE_80_length_15223_cov_26.4135_ID_5844-processed-gene-0.10-mRNA-1_1&gene=snap_masked-NODE_80_length_15223_cov_26.4135_ID_5844-processed-gene-0.10&CDS=1-258
OG0000522	YPR013C, YPR015C	augustus_masked-NODE_61_length_34174_cov_21.9468_ID_5095-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-NODE_61_length_34174_cov_21.9468_ID_5095-processed-gene-0.14&CDS=1-1182
OG0000523	YPR093C	augustus_masked-NODE_1_length_1020045_cov_22.3535_ID_1707-processed-gene-9.75-mRNA-1_1&gene=augustus_masked-NODE_1_length_1020045_cov_22.3535_ID_1707-processed-gene-9.75&CDS=1-1269, augustus_masked-NODE_5_length_377811_cov_27.128_ID_2487-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-NODE_5_length_377811_cov_27.128_ID_2487-processed-gene-0.26&CDS=1-1452
OG0000524	YPR181C	augustus_masked-NODE_19_length_221202_cov_23.1889_ID_2151-processed-gene-1.24-mRNA-1_1&gene=augustus_masked-NODE_19_length_221202_cov_23.1889_ID_2151-processed-gene-1.24&CDS=1-2247, augustus_masked-NODE_21_length_173256_cov_22.717_ID_2877-processed-gene-0.241-mRNA-1_1&gene=augustus_masked-NODE_21_length_173256_cov_22.717_ID_2877-processed-gene-0.241&CDS=1-2205
OG0000525	YAL001C	augustus_masked-NODE_3_length_686625_cov_22.7875_ID_2680-processed-gene-2.1-mRNA-1_1&gene=augustus_masked-NODE_3_length_686625_cov_22.7875_ID_2680-processed-gene-2.1&CDS=1-3771
OG0000526	YAL002W	genemark-NODE_34_length_91652_cov_22.3974_ID_3419-processed-gene-0.21-mRNA-1_1&gene=genemark-NODE_34_length_91652_cov_22.3974_ID_3419-processed-gene-0.21&CDS=1-3981
OG0000527	YAL003W	augustus_masked-NODE_80_length_15223_cov_26.4135_ID_5844-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-NODE_80_length_15223_cov_26.4135_ID_5844-processed-gene-0.24&CDS=1-627
OG0000528	YAL008W	maker-NODE_2_length_865375_cov_22.6121_ID_9257-augustus-gene-1.57-mRNA-1_1&gene=maker-NODE_2_length_865375_cov_22.6121_ID_9257-augustus-gene-1.57&CDS=1-594
OG0000529	YAL009W	augustus_masked-NODE_2_length_865375_cov_22.6121_ID_9257-processed-gene-2.46-mRNA-1_1&gene=augustus_masked-NODE_2_length_865375_cov_22.6121_ID_9257-processed-gene-2.46&CDS=1-1248
OG0000530	YAL010C	maker-NODE_2_length_865375_cov_22.6121_ID_9257-snap-gene-2.141-mRNA-1_1&gene=maker-NODE_2_length_865375_cov_22.6121_ID_9257-snap-gene-2.141&CDS=1-1185
OG0000531	YAL011W	genemark-NODE_2_length_865375_cov_22.6121_ID_9257-processed-gene-2.92-mRNA-1_1&gene=genemark-NODE_2_length_865375_cov_22.6121_ID_9257-processed-gene-2.92&CDS=1-2049
OG0000532	YAL012W	augustus_masked-NODE_2_length_865375_cov_22.6121_ID_9257-processed-gene-1.81-mRNA-1_1&gene=augustus_masked-NODE_2_length_865375_cov_22.6121_ID_9257-processed-gene-1.81&CDS=1-1167
OG0000533	YAL013W	augustus_masked-NODE_2_length_865375_cov_22.6121_ID_9257-processed-gene-1.79-mRNA-1_1&gene=augustus_masked-NODE_2_length_865375_cov_22.6121_ID_9257-processed-gene-1.79&CDS=1-1449
OG0000534	YAL014C	maker-NODE_2_length_865375_cov_22.6121_ID_9257-augustus-gene-1.56-mRNA-1_1&gene=maker-NODE_2_length_865375_cov_22.6121_ID_9257-augustus-gene-1.56&CDS=1-762
OG0000535	YAL016W	augustus_masked-NODE_12_length_279838_cov_23.0736_ID_9675-processed-gene-1.253-mRNA-1_1&gene=augustus_masked-NODE_12_length_279838_cov_23.0736_ID_9675-processed-gene-1.253&CDS=1-1821
OG0000536	YAL019W	augustus_masked-NODE_2_length_865375_cov_22.6121_ID_9257-processed-gene-1.75-mRNA-1_1&gene=augustus_masked-NODE_2_length_865375_cov_22.6121_ID_9257-processed-gene-1.75&CDS=1-2994
OG0000537	YAL020C	augustus_masked-NODE_2_length_865375_cov_22.6121_ID_9257-processed-gene-1.98-mRNA-1_1&gene=augustus_masked-NODE_2_length_865375_cov_22.6121_ID_9257-processed-gene-1.98&CDS=1-1029
OG0000538	YAL024C	augustus_masked-NODE_2_length_865375_cov_22.6121_ID_9257-processed-gene-2.59-mRNA-1_1&gene=augustus_masked-NODE_2_length_865375_cov_22.6121_ID_9257-processed-gene-2.59&CDS=1-3801
OG0000539	YAL025C	maker-NODE_2_length_865375_cov_22.6121_ID_9257-augustus-gene-2.147-mRNA-1_1&gene=maker-NODE_2_length_865375_cov_22.6121_ID_9257-augustus-gene-2.147&CDS=1-921
OG0000540	YAL026C	augustus_masked-NODE_2_length_865375_cov_22.6121_ID_9257-processed-gene-2.62-mRNA-1_1&gene=augustus_masked-NODE_2_length_865375_cov_22.6121_ID_9257-processed-gene-2.62&CDS=1-3951
OG0000541	YAL031C	snap_masked-NODE_15_length_244900_cov_24.4172_ID_3359-processed-gene-1.107-mRNA-1_1&gene=snap_masked-NODE_15_length_244900_cov_24.4172_ID_3359-processed-gene-1.107&CDS=1-2631
OG0000542	YAL032C	augustus_masked-NODE_23_length_144444_cov_22.2236_ID_2713-processed-gene-0.144-mRNA-1_1&gene=augustus_masked-NODE_23_length_144444_cov_22.2236_ID_2713-processed-gene-0.144&CDS=1-1323
OG0000543	YAL033W	snap_masked-NODE_23_length_144444_cov_22.2236_ID_2713-processed-gene-0.118-mRNA-1_1&gene=snap_masked-NODE_23_length_144444_cov_22.2236_ID_2713-processed-gene-0.118&CDS=1-474
OG0000544	YAL034W-A	augustus_masked-NODE_20_length_184838_cov_25.5018_ID_5407-processed-gene-0.239-mRNA-1_1&gene=augustus_masked-NODE_20_length_184838_cov_25.5018_ID_5407-processed-gene-0.239&CDS=1-903
OG0000545	YAL035W	augustus_masked-NODE_2_length_865375_cov_22.6121_ID_9257-processed-gene-1.71-mRNA-1_1&gene=augustus_masked-NODE_2_length_865375_cov_22.6121_ID_9257-processed-gene-1.71&CDS=1-2979
OG0000546	YAL036C	augustus_masked-NODE_2_length_865375_cov_22.6121_ID_9257-processed-gene-1.94-mRNA-1_1&gene=augustus_masked-NODE_2_length_865375_cov_22.6121_ID_9257-processed-gene-1.94&CDS=1-1104
OG0000547	YAL038W	augustus_masked-NODE_10_length_320851_cov_22.4291_ID_1790-processed-gene-0.87-mRNA-1_1&gene=augustus_masked-NODE_10_length_320851_cov_22.4291_ID_1790-processed-gene-0.87&CDS=1-1515
OG0000548	YAL039C	maker-NODE_3_length_686625_cov_22.7875_ID_2680-augustus-gene-1.7-mRNA-1_1&gene=maker-NODE_3_length_686625_cov_22.7875_ID_2680-augustus-gene-1.7&CDS=1-804
OG0000549	YAL041W	augustus_masked-NODE_24_length_139379_cov_21.5415_ID_2650-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-NODE_24_length_139379_cov_21.5415_ID_2650-processed-gene-0.23&CDS=1-2382
OG0000550	YAL043C	augustus_masked-NODE_44_length_56175_cov_21.588_ID_12004-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-NODE_44_length_56175_cov_21.588_ID_12004-processed-gene-0.31&CDS=1-2067
OG0000551	YAL044C	augustus_masked-NODE_43_length_57518_cov_22.5337_ID_12012-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-NODE_43_length_57518_cov_22.5337_ID_12012-processed-gene-0.48&CDS=1-537
OG0000552	YAL044W-A	augustus_masked-NODE_43_length_57518_cov_22.5337_ID_12012-processed-gene-0.66-mRNA-1_1&gene=augustus_masked-NODE_43_length_57518_cov_22.5337_ID_12012-processed-gene-0.66&CDS=1-321
OG0000553	YAL046C	snap_masked-NODE_44_length_56175_cov_21.588_ID_12004-processed-gene-0.69-mRNA-1_1&gene=snap_masked-NODE_44_length_56175_cov_21.588_ID_12004-processed-gene-0.69&CDS=1-294
OG0000554	YAL048C	genemark-NODE_44_length_56175_cov_21.588_ID_12004-processed-gene-0.1-mRNA-1_1&gene=genemark-NODE_44_length_56175_cov_21.588_ID_12004-processed-gene-0.1&CDS=1-1911
OG0000555	YAL049C	augustus_masked-NODE_10_length_320851_cov_22.4291_ID_1790-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-NODE_10_length_320851_cov_22.4291_ID_1790-processed-gene-0.61&CDS=1-717
OG0000556	YAL051W, YOR363C	
OG0000557	YAL053W	augustus_masked-NODE_10_length_320851_cov_22.4291_ID_1790-processed-gene-0.86-mRNA-1_1&gene=augustus_masked-NODE_10_length_320851_cov_22.4291_ID_1790-processed-gene-0.86&CDS=1-2280
OG0000558	YAL067C	augustus_masked-NODE_10_length_320851_cov_22.4291_ID_1790-processed-gene-1.5-mRNA-1_1&gene=augustus_masked-NODE_10_length_320851_cov_22.4291_ID_1790-processed-gene-1.5&CDS=1-1779
OG0000559	YAR002C-A	augustus_masked-NODE_2_length_865375_cov_22.6121_ID_9257-processed-gene-5.83-mRNA-1_1&gene=augustus_masked-NODE_2_length_865375_cov_22.6121_ID_9257-processed-gene-5.83&CDS=1-645
OG0000560	YAR002W	augustus_masked-NODE_34_length_91652_cov_22.3974_ID_3419-processed-gene-0.78-mRNA-1_1&gene=augustus_masked-NODE_34_length_91652_cov_22.3974_ID_3419-processed-gene-0.78&CDS=1-1686
OG0000561	YAR003W	augustus_masked-NODE_2_length_865375_cov_22.6121_ID_9257-processed-gene-5.103-mRNA-1_1&gene=augustus_masked-NODE_2_length_865375_cov_22.6121_ID_9257-processed-gene-5.103&CDS=1-1209
OG0000562	YAR007C	augustus_masked-NODE_16_length_241460_cov_22.8791_ID_4286-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_16_length_241460_cov_22.8791_ID_4286-processed-gene-0.0&CDS=1-1830
OG0000563	YAR008W	augustus_masked-NODE_16_length_241460_cov_22.8791_ID_4286-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_16_length_241460_cov_22.8791_ID_4286-processed-gene-0.1&CDS=1-948
OG0000564	YAR014C	augustus_masked-NODE_29_length_119534_cov_22.7707_ID_4088-processed-gene-0.98-mRNA-1_1&gene=augustus_masked-NODE_29_length_119534_cov_22.7707_ID_4088-processed-gene-0.98&CDS=1-1647
OG0000565	YAR015W	augustus_masked-NODE_2_length_865375_cov_22.6121_ID_9257-processed-gene-6.117-mRNA-1_1&gene=augustus_masked-NODE_2_length_865375_cov_22.6121_ID_9257-processed-gene-6.117&CDS=1-906
OG0000566	YAR018C	maker-NODE_2_length_865375_cov_22.6121_ID_9257-augustus-gene-6.55-mRNA-1_1&gene=maker-NODE_2_length_865375_cov_22.6121_ID_9257-augustus-gene-6.55&CDS=1-1461
OG0000567	YAR042W	augustus_masked-NODE_2_length_865375_cov_22.6121_ID_9257-processed-gene-7.96-mRNA-1_1&gene=augustus_masked-NODE_2_length_865375_cov_22.6121_ID_9257-processed-gene-7.96&CDS=1-3438
OG0000568	YBL001C	maker-NODE_14_length_268870_cov_26.8865_ID_1946-augustus-gene-1.192-mRNA-1_1&gene=maker-NODE_14_length_268870_cov_26.8865_ID_1946-augustus-gene-1.192&CDS=1-342
OG0000569	YBL004W	augustus_masked-NODE_13_length_278934_cov_23.8117_ID_1820-processed-gene-0.83-mRNA-1_1&gene=augustus_masked-NODE_13_length_278934_cov_23.8117_ID_1820-processed-gene-0.83&CDS=1-7347
OG0000570	YBL007C	augustus_masked-NODE_31_length_114607_cov_26.3092_ID_3092-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-NODE_31_length_114607_cov_26.3092_ID_3092-processed-gene-0.6&CDS=1-3564
OG0000571	YBL008W	augustus_masked-NODE_9_length_324451_cov_22.8396_ID_7486-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-NODE_9_length_324451_cov_22.8396_ID_7486-processed-gene-0.61&CDS=1-2514
OG0000572	YBL013W	augustus_masked-NODE_3_length_686625_cov_22.7875_ID_2680-processed-gene-1.76-mRNA-1_1&gene=augustus_masked-NODE_3_length_686625_cov_22.7875_ID_2680-processed-gene-1.76&CDS=1-1050
OG0000573	YBL014C	augustus_masked-NODE_24_length_139379_cov_21.5415_ID_2650-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-NODE_24_length_139379_cov_21.5415_ID_2650-processed-gene-0.7&CDS=1-2256
OG0000574	YBL015W	augustus_masked-NODE_3_length_686625_cov_22.7875_ID_2680-processed-gene-3.60-mRNA-1_1&gene=augustus_masked-NODE_3_length_686625_cov_22.7875_ID_2680-processed-gene-3.60&CDS=1-1569
OG0000575	YBL018C	augustus_masked-NODE_4_length_628375_cov_23.1438_ID_2100-processed-gene-1.98-mRNA-1_1&gene=augustus_masked-NODE_4_length_628375_cov_23.1438_ID_2100-processed-gene-1.98&CDS=1-348
OG0000576	YBL019W	augustus_masked-NODE_4_length_628375_cov_23.1438_ID_2100-processed-gene-1.68-mRNA-1_1&gene=augustus_masked-NODE_4_length_628375_cov_23.1438_ID_2100-processed-gene-1.68&CDS=1-1632
OG0000577	YBL020W	augustus_masked-NODE_1_length_1020045_cov_22.3535_ID_1707-processed-gene-1.44-mRNA-1_1&gene=augustus_masked-NODE_1_length_1020045_cov_22.3535_ID_1707-processed-gene-1.44&CDS=1-1698
OG0000578	YBL021C	augustus_masked-NODE_4_length_628375_cov_23.1438_ID_2100-processed-gene-1.106-mRNA-1_1&gene=augustus_masked-NODE_4_length_628375_cov_23.1438_ID_2100-processed-gene-1.106&CDS=1-693
OG0000579	YBL022C	augustus_masked-NODE_4_length_628375_cov_23.1438_ID_2100-processed-gene-1.91-mRNA-1_1&gene=augustus_masked-NODE_4_length_628375_cov_23.1438_ID_2100-processed-gene-1.91&CDS=1-3291
