	Candida_boidinii_JCM9604	Saccharomyces_cerevisiae
OG0000393	-processed-gene-27.32-mRNA-1_1&gene=augustus_masked-gi|1002316618|dbj|BCGP01000002.1|-processed-gene-27.32&CDS=1-1212, -snap-gene-27.1-mRNA-1_1&gene=maker-gi|1002316617|dbj|BCGP01000003.1|-snap-gene-27.1&CDS=1-4605	YLL057C
OG0000394	-processed-gene-27.59-mRNA-1_1&gene=snap_masked-gi|1002316617|dbj|BCGP01000003.1|-processed-gene-27.59&CDS=1-3546	YJL076W, YKR010C
OG0000395	-processed-gene-28.13-mRNA-1_1&gene=augustus_masked-gi|1002316617|dbj|BCGP01000003.1|-processed-gene-28.13&CDS=1-2286	YBL054W, YER088C
OG0000396	-processed-gene-28.15-mRNA-1_1&gene=augustus_masked-gi|1002316617|dbj|BCGP01000003.1|-processed-gene-28.15&CDS=1-330	YEL039C, YJR048W
OG0000397	-processed-gene-28.17-mRNA-1_1&gene=augustus_masked-gi|1002316617|dbj|BCGP01000003.1|-processed-gene-28.17&CDS=1-1749	YDL085W, YMR145C
OG0000398	-processed-gene-28.10-mRNA-1_1&gene=augustus_masked-gi|1002316617|dbj|BCGP01000003.1|-processed-gene-28.10&CDS=1-597	YOR226C, YPL135W
OG0000399	-processed-gene-29.83-mRNA-1_1&gene=augustus_masked-gi|1002316617|dbj|BCGP01000003.1|-processed-gene-29.83&CDS=1-4938	YLL016W, YLR310C
OG0000400	-processed-gene-30.4-mRNA-1_1&gene=snap_masked-gi|1002316617|dbj|BCGP01000003.1|-processed-gene-30.4&CDS=1-2307	YJR054W, YML047C
OG0000401	-processed-gene-30.79-mRNA-1_1&gene=augustus_masked-gi|1002316617|dbj|BCGP01000003.1|-processed-gene-30.79&CDS=1-3564	YKL121W, YMR102C
OG0000402	-processed-gene-31.59-mRNA-1_1&gene=augustus_masked-gi|1002316617|dbj|BCGP01000003.1|-processed-gene-31.59&CDS=1-2382	YKR091W, YOR083W
OG0000403	-processed-gene-20.43-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-20.43&CDS=1-4101, -processed-gene-31.101-mRNA-1_1&gene=augustus_masked-gi|1002316617|dbj|BCGP01000003.1|-processed-gene-31.101&CDS=1-3795	YNL054W
OG0000404	-processed-gene-31.104-mRNA-1_1&gene=augustus_masked-gi|1002316617|dbj|BCGP01000003.1|-processed-gene-31.104&CDS=1-1707	YDR277C, YOR047C
OG0000405	-snap-gene-31.181-mRNA-1_1&gene=maker-gi|1002316617|dbj|BCGP01000003.1|-snap-gene-31.181&CDS=1-3156	YJL105W, YKR029C
OG0000406	-processed-gene-0.50-mRNA-1_1&gene=augustus_masked-gi|1002316618|dbj|BCGP01000002.1|-processed-gene-0.50&CDS=1-384	YAL030W, YOR327C
OG0000407	-processed-gene-1.20-mRNA-1_1&gene=augustus_masked-gi|1002316618|dbj|BCGP01000002.1|-processed-gene-1.20&CDS=1-513	YDR252W, YPL037C
OG0000408	-snap-gene-1.99-mRNA-1_1&gene=maker-gi|1002316618|dbj|BCGP01000002.1|-snap-gene-1.99&CDS=1-1395	YDR253C, YPL038W
OG0000409	-processed-gene-1.23-mRNA-1_1&gene=augustus_masked-gi|1002316618|dbj|BCGP01000002.1|-processed-gene-1.23&CDS=1-1446, -processed-gene-23.34-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-23.34&CDS=1-1659	YKL004W
OG0000410	-snap-gene-1.100-mRNA-1_1&gene=maker-gi|1002316618|dbj|BCGP01000002.1|-snap-gene-1.100&CDS=1-1350	YCR004C, YDR032C
OG0000411	-processed-gene-1.9-mRNA-1_1&gene=augustus_masked-gi|1002316618|dbj|BCGP01000002.1|-processed-gene-1.9&CDS=1-1620	YDL048C, YLR375W
OG0000412	-processed-gene-1.29-mRNA-1_1&gene=augustus_masked-gi|1002316618|dbj|BCGP01000002.1|-processed-gene-1.29&CDS=1-288	YJR094W-A, YPR043W
OG0000413	-processed-gene-15.16-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-15.16&CDS=1-1524, -processed-gene-2.3-mRNA-1_1&gene=augustus_masked-gi|1002316618|dbj|BCGP01000002.1|-processed-gene-2.3&CDS=1-1698	YLR210W
OG0000414	-processed-gene-2.23-mRNA-1_1&gene=augustus_masked-gi|1002316618|dbj|BCGP01000002.1|-processed-gene-2.23&CDS=1-2739	YDR463W, YHR006W
OG0000415	-processed-gene-2.14-mRNA-1_1&gene=augustus_masked-gi|1002316618|dbj|BCGP01000002.1|-processed-gene-2.14&CDS=1-2523	YGR221C, YHR149C
OG0000416	-processed-gene-3.38-mRNA-1_1&gene=snap_masked-gi|1002316618|dbj|BCGP01000002.1|-processed-gene-3.38&CDS=1-2127	YDR263C, YOR033C
OG0000417	-processed-gene-5.95-mRNA-1_1&gene=augustus_masked-gi|1002316618|dbj|BCGP01000002.1|-processed-gene-5.95&CDS=1-3927	YHR155W, YNL257C
OG0000418	-augustus-gene-5.45-mRNA-1_1&gene=maker-gi|1002316618|dbj|BCGP01000002.1|-augustus-gene-5.45&CDS=1-2370	YGR241C, YHR161C
OG0000419	-processed-gene-5.109-mRNA-1_1&gene=augustus_masked-gi|1002316618|dbj|BCGP01000002.1|-processed-gene-5.109&CDS=1-522	YGR085C, YPR102C
OG0000420	-processed-gene-6.81-mRNA-1_1&gene=augustus_masked-gi|1002316618|dbj|BCGP01000002.1|-processed-gene-6.81&CDS=1-861	YLR284C, YOR180C
OG0000421	-processed-gene-6.69-mRNA-1_1&gene=augustus_masked-gi|1002316618|dbj|BCGP01000002.1|-processed-gene-6.69&CDS=1-1857	YBR214W, YGL056C
OG0000422	-processed-gene-13.53-mRNA-1_1&gene=genemark-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-13.53&CDS=1-2184, -snap-gene-6.33-mRNA-1_1&gene=maker-gi|1002316618|dbj|BCGP01000002.1|-snap-gene-6.33&CDS=1-2001	YIL038C
OG0000423	-processed-gene-7.27-mRNA-1_1&gene=augustus_masked-gi|1002316618|dbj|BCGP01000002.1|-processed-gene-7.27&CDS=1-1872	YJL172W, YOL153C
OG0000424	-processed-gene-8.81-mRNA-1_1&gene=augustus_masked-gi|1002316618|dbj|BCGP01000002.1|-processed-gene-8.81&CDS=1-2112	YHR115C, YNL116W
OG0000425	-processed-gene-8.92-mRNA-1_1&gene=augustus_masked-gi|1002316618|dbj|BCGP01000002.1|-processed-gene-8.92&CDS=1-312	YCL035C, YDR513W
OG0000426	-processed-gene-9.61-mRNA-1_1&gene=augustus_masked-gi|1002316618|dbj|BCGP01000002.1|-processed-gene-9.61&CDS=1-1878	YGR138C, YPR156C
OG0000427	-augustus-gene-9.32-mRNA-1_1&gene=maker-gi|1002316618|dbj|BCGP01000002.1|-augustus-gene-9.32&CDS=1-360	YFL034C-A, YLR061W
OG0000428	-processed-gene-10.43-mRNA-1_1&gene=augustus_masked-gi|1002316618|dbj|BCGP01000002.1|-processed-gene-10.43&CDS=1-1059	YBL016W, YGR040W
OG0000429	-processed-gene-11.98-mRNA-1_1&gene=snap_masked-gi|1002316618|dbj|BCGP01000002.1|-processed-gene-11.98&CDS=1-1305	YJL139C, YKR061W
OG0000430	-augustus-gene-11.113-mRNA-1_1&gene=maker-gi|1002316618|dbj|BCGP01000002.1|-augustus-gene-11.113&CDS=1-552	YJL177W, YKL180W
OG0000431	-processed-gene-11.32-mRNA-1_1&gene=augustus_masked-gi|1002316618|dbj|BCGP01000002.1|-processed-gene-11.32&CDS=1-6279	YCL068C, YCR038C
OG0000432	-snap-gene-12.55-mRNA-1_1&gene=maker-gi|1002316618|dbj|BCGP01000002.1|-snap-gene-12.55&CDS=1-1707	YDR287W, YHR046C
OG0000433	-processed-gene-12.80-mRNA-1_1&gene=augustus_masked-gi|1002316618|dbj|BCGP01000002.1|-processed-gene-12.80&CDS=1-720	YOR285W, YOR286W
OG0000434	-processed-gene-12.69-mRNA-1_1&gene=augustus_masked-gi|1002316618|dbj|BCGP01000002.1|-processed-gene-12.69&CDS=1-900	YMR222C, YOR280C
OG0000435	-processed-gene-12.70-mRNA-1_1&gene=augustus_masked-gi|1002316618|dbj|BCGP01000002.1|-processed-gene-12.70&CDS=1-1569, -processed-gene-25.27-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-25.27&CDS=1-1656	YMR221C
OG0000436	-processed-gene-13.84-mRNA-1_1&gene=augustus_masked-gi|1002316618|dbj|BCGP01000002.1|-processed-gene-13.84&CDS=1-3906, -processed-gene-35.29-mRNA-1_1&gene=augustus_masked-gi|1002316618|dbj|BCGP01000002.1|-processed-gene-35.29&CDS=1-3213	YIL107C
OG0000437	-processed-gene-14.25-mRNA-1_1&gene=augustus_masked-gi|1002316618|dbj|BCGP01000002.1|-processed-gene-14.25&CDS=1-2007, -processed-gene-26.117-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-26.117&CDS=1-1953	YBR041W
OG0000438	-processed-gene-14.33-mRNA-1_1&gene=augustus_masked-gi|1002316618|dbj|BCGP01000002.1|-processed-gene-14.33&CDS=1-2337, -processed-gene-18.82-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-18.82&CDS=1-4581	YGR062C
OG0000439	-processed-gene-14.61-mRNA-1_1&gene=genemark-gi|1002316618|dbj|BCGP01000002.1|-processed-gene-14.61&CDS=1-3774	YKR089C, YOR081C
OG0000440	-processed-gene-15.43-mRNA-1_1&gene=snap_masked-gi|1002316618|dbj|BCGP01000002.1|-processed-gene-15.43&CDS=1-2781	YHR131C, YNL144C
OG0000441	-processed-gene-15.61-mRNA-1_1&gene=augustus_masked-gi|1002316618|dbj|BCGP01000002.1|-processed-gene-15.61&CDS=1-663	YAR002C-A, YGL002W
OG0000442	-processed-gene-16.22-mRNA-1_1&gene=augustus_masked-gi|1002316618|dbj|BCGP01000002.1|-processed-gene-16.22&CDS=1-405	YER074W, YIL069C
OG0000443	-processed-gene-17.3-mRNA-1_1&gene=augustus_masked-gi|1002316618|dbj|BCGP01000002.1|-processed-gene-17.3&CDS=1-681	YBR005W, YDR003W
OG0000444	-processed-gene-17.12-mRNA-1_1&gene=augustus_masked-gi|1002316618|dbj|BCGP01000002.1|-processed-gene-17.12&CDS=1-4311	YDR122W, YLR096W
OG0000445	-processed-gene-17.14-mRNA-1_1&gene=augustus_masked-gi|1002316618|dbj|BCGP01000002.1|-processed-gene-17.14&CDS=1-600	YIL133C, YNL069C
OG0000446	-processed-gene-17.26-mRNA-1_1&gene=augustus_masked-gi|1002316618|dbj|BCGP01000002.1|-processed-gene-17.26&CDS=1-687	YKL065C, YMR040W
OG0000447	-augustus-gene-18.108-mRNA-1_1&gene=maker-gi|1002316618|dbj|BCGP01000002.1|-augustus-gene-18.108&CDS=1-387	YHL001W, YKL006W
OG0000448	-processed-gene-18.23-mRNA-1_1&gene=augustus_masked-gi|1002316618|dbj|BCGP01000002.1|-processed-gene-18.23&CDS=1-1275	YBR078W, YDR055W
OG0000449	-processed-gene-18.24-mRNA-1_1&gene=augustus_masked-gi|1002316618|dbj|BCGP01000002.1|-processed-gene-18.24&CDS=1-1461	YAL034C, YOR338W
OG0000450	-processed-gene-20.63-mRNA-1_1&gene=augustus_masked-gi|1002316618|dbj|BCGP01000002.1|-processed-gene-20.63&CDS=1-1620	YCL048W, YDR522C
OG0000451	-processed-gene-20.82-mRNA-1_1&gene=augustus_masked-gi|1002316618|dbj|BCGP01000002.1|-processed-gene-20.82&CDS=1-1251	YHL003C, YKL008C
OG0000452	-augustus-gene-21.115-mRNA-1_1&gene=maker-gi|1002316618|dbj|BCGP01000002.1|-augustus-gene-21.115&CDS=1-780	YGR214W, YLR048W
OG0000453	-processed-gene-21.102-mRNA-1_1&gene=augustus_masked-gi|1002316618|dbj|BCGP01000002.1|-processed-gene-21.102&CDS=1-1314, -processed-gene-31.48-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-31.48&CDS=1-1257	YDL131W
OG0000454	-processed-gene-21.90-mRNA-1_1&gene=augustus_masked-gi|1002316618|dbj|BCGP01000002.1|-processed-gene-21.90&CDS=1-1188	YDL134C, YDL188C
OG0000455	-processed-gene-22.18-mRNA-1_1&gene=augustus_masked-gi|1002316618|dbj|BCGP01000002.1|-processed-gene-22.18&CDS=1-474	YEL034W, YJR047C
OG0000456	-processed-gene-22.10-mRNA-1_1&gene=augustus_masked-gi|1002316618|dbj|BCGP01000002.1|-processed-gene-22.10&CDS=1-1299	YOR390W, YPL279C
OG0000457	-processed-gene-22.11-mRNA-1_1&gene=augustus_masked-gi|1002316618|dbj|BCGP01000002.1|-processed-gene-22.11&CDS=1-2805	YBL061C, YER096W
OG0000458	-processed-gene-23.30-mRNA-1_1&gene=augustus_masked-gi|1002316618|dbj|BCGP01000002.1|-processed-gene-23.30&CDS=1-738	YER062C, YIL053W
OG0000459	-processed-gene-23.43-mRNA-1_1&gene=augustus_masked-gi|1002316618|dbj|BCGP01000002.1|-processed-gene-23.43&CDS=1-798	YHL034C, YLL046C
OG0000460	-processed-gene-23.50-mRNA-1_1&gene=augustus_masked-gi|1002316618|dbj|BCGP01000002.1|-processed-gene-23.50&CDS=1-1461, -snap-gene-25.111-mRNA-1_1&gene=maker-gi|1002316619|dbj|BCGP01000001.1|-snap-gene-25.111&CDS=1-2349	YMR155W
OG0000461	-processed-gene-24.0-mRNA-1_1&gene=augustus_masked-gi|1002316618|dbj|BCGP01000002.1|-processed-gene-24.0&CDS=1-1134	YBR161W, YPL057C
OG0000462	-processed-gene-25.23-mRNA-1_1&gene=genemark-gi|1002316618|dbj|BCGP01000002.1|-processed-gene-25.23&CDS=1-732	YHR203C, YJR145C
OG0000463	-processed-gene-25.56-mRNA-1_1&gene=augustus_masked-gi|1002316618|dbj|BCGP01000002.1|-processed-gene-25.56&CDS=1-999	YGR192C, YJR009C
OG0000464	-augustus-gene-25.39-mRNA-1_1&gene=maker-gi|1002316618|dbj|BCGP01000002.1|-augustus-gene-25.39&CDS=1-321	YOR234C, YPL143W
OG0000465	-processed-gene-25.19-mRNA-1_1&gene=genemark-gi|1002316618|dbj|BCGP01000002.1|-processed-gene-25.19&CDS=1-5913	YCR073C, YNR031C
OG0000466	-processed-gene-25.63-mRNA-1_1&gene=augustus_masked-gi|1002316618|dbj|BCGP01000002.1|-processed-gene-25.63&CDS=1-1290	YOR237W, YPL145C
OG0000467	-snap-gene-26.68-mRNA-1_1&gene=maker-gi|1002316618|dbj|BCGP01000002.1|-snap-gene-26.68&CDS=1-4098	YAR042W, YDL019C
OG0000468	-processed-gene-28.14-mRNA-1_1&gene=augustus_masked-gi|1002316618|dbj|BCGP01000002.1|-processed-gene-28.14&CDS=1-354, -processed-gene-28.8-mRNA-1_1&gene=augustus_masked-gi|1002316618|dbj|BCGP01000002.1|-processed-gene-28.8&CDS=1-354	YHR087W
OG0000469	-processed-gene-29.72-mRNA-1_1&gene=augustus_masked-gi|1002316618|dbj|BCGP01000002.1|-processed-gene-29.72&CDS=1-3753	YBL085W, YER114C
OG0000470	-processed-gene-29.64-mRNA-1_1&gene=augustus_masked-gi|1002316618|dbj|BCGP01000002.1|-processed-gene-29.64&CDS=1-1737	YOR231W, YPL140C
OG0000471	-processed-gene-16.27-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-16.27&CDS=1-2925, -snap-gene-29.0-mRNA-1_1&gene=maker-gi|1002316618|dbj|BCGP01000002.1|-snap-gene-29.0&CDS=1-3642	YMR216C
OG0000472	-processed-gene-30.63-mRNA-1_1&gene=augustus_masked-gi|1002316618|dbj|BCGP01000002.1|-processed-gene-30.63&CDS=1-3408	YCR091W, YNR047W
OG0000473	-processed-gene-30.74-mRNA-1_1&gene=augustus_masked-gi|1002316618|dbj|BCGP01000002.1|-processed-gene-30.74&CDS=1-513	YGR131W, YPR149W
OG0000474	-processed-gene-33.93-mRNA-1_1&gene=augustus_masked-gi|1002316618|dbj|BCGP01000002.1|-processed-gene-33.93&CDS=1-2802	YJL082W, YKR018C
OG0000475	-processed-gene-33.94-mRNA-1_1&gene=augustus_masked-gi|1002316618|dbj|BCGP01000002.1|-processed-gene-33.94&CDS=1-4152	YJL083W, YKR019C
OG0000476	-processed-gene-33.95-mRNA-1_1&gene=augustus_masked-gi|1002316618|dbj|BCGP01000002.1|-processed-gene-33.95&CDS=1-1089	YBR031W, YDR012W
OG0000477	-processed-gene-33.84-mRNA-1_1&gene=augustus_masked-gi|1002316618|dbj|BCGP01000002.1|-processed-gene-33.84&CDS=1-2280, -processed-gene-5.92-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-5.92&CDS=1-2676	YBR239C
OG0000478	-processed-gene-34.45-mRNA-1_1&gene=augustus_masked-gi|1002316618|dbj|BCGP01000002.1|-processed-gene-34.45&CDS=1-3906	YML100W, YMR261C
OG0000479	-processed-gene-35.41-mRNA-1_1&gene=augustus_masked-gi|1002316618|dbj|BCGP01000002.1|-processed-gene-35.41&CDS=1-3318	YDR223W, YLR223C
OG0000480	-processed-gene-35.51-mRNA-1_1&gene=augustus_masked-gi|1002316618|dbj|BCGP01000002.1|-processed-gene-35.51&CDS=1-1473	YIL113W, YNL053W
OG0000481	-processed-gene-35.53-mRNA-1_1&gene=augustus_masked-gi|1002316618|dbj|BCGP01000002.1|-processed-gene-35.53&CDS=1-462	YIL111W, YNL052W
OG0000482	-processed-gene-1.5-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-1.5&CDS=1-1923	YDR107C, YLR083C
OG0000483	-processed-gene-1.63-mRNA-1_1&gene=snap_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-1.63&CDS=1-1278	YBR066C, YDR043C
OG0000484	-processed-gene-3.36-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-3.36&CDS=1-1779	YMR177W, YPL224C
OG0000485	-processed-gene-3.43-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-3.43&CDS=1-1020	YBR278W, YJL065C
OG0000486	-processed-gene-37.74-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-37.74&CDS=1-2733, -processed-gene-4.99-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-4.99&CDS=1-2454	YOR270C
OG0000487	-processed-gene-5.105-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-5.105&CDS=1-687	YBR242W, YGL101W
OG0000488	-processed-gene-6.35-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-6.35&CDS=1-2538	YDR200C, YLR238W
OG0000489	-processed-gene-6.52-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-6.52&CDS=1-2739	YBR294W, YLR092W
OG0000490	-processed-gene-7.90-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-7.90&CDS=1-852	YIL114C, YNL055C
OG0000491	-processed-gene-7.91-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-7.91&CDS=1-1497	YGR121C, YPR138C
OG0000492	-processed-gene-7.100-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-7.100&CDS=1-1185, -processed-gene-8.6-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-8.6&CDS=1-1356	YOR099W
OG0000493	-processed-gene-8.8-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-8.8&CDS=1-2691	YBR216C, YGL060W
OG0000494	-processed-gene-8.16-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-8.16&CDS=1-663	YER031C, YGL210W
OG0000495	-processed-gene-9.69-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-9.69&CDS=1-2967	YER066W, YFL009W
OG0000496	-processed-gene-9.73-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-9.73&CDS=1-4953	YLR031W, YMR124W
OG0000497	-processed-gene-9.90-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-9.90&CDS=1-612	YLR029C, YMR121C
OG0000498	-processed-gene-9.76-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-9.76&CDS=1-1407	YER081W, YIL074C
OG0000499	-processed-gene-9.88-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-9.88&CDS=1-2451	YDR247W, YPL026C
OG0000500	-processed-gene-10.25-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-10.25&CDS=1-2700	YDL224C, YNL197C
OG0000501	-processed-gene-10.28-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-10.28&CDS=1-2835	YER059W, YIL050W
OG0000502	-processed-gene-10.48-mRNA-1_1&gene=genemark-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-10.48&CDS=1-462	YER057C, YIL051C
OG0000503	-processed-gene-10.10-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-10.10&CDS=1-342	YER056C-A, YIL052C
OG0000504	-augustus-gene-16.30-mRNA-1_1&gene=maker-gi|1002316619|dbj|BCGP01000001.1|-augustus-gene-16.30&CDS=1-2688, -snap-gene-10.37-mRNA-1_1&gene=maker-gi|1002316619|dbj|BCGP01000001.1|-snap-gene-10.37&CDS=1-2259	YDL206W
OG0000505	-snap-gene-11.110-mRNA-1_1&gene=maker-gi|1002316619|dbj|BCGP01000001.1|-snap-gene-11.110&CDS=1-1536	YGR009C, YMR017W
OG0000506	-processed-gene-12.26-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-12.26&CDS=1-2010	YIL085C, YNL029C
OG0000507	-processed-gene-13.6-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-13.6&CDS=1-567	YNL096C, YOR096W
OG0000508	-processed-gene-13.91-mRNA-1_1&gene=snap_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-13.91&CDS=1-1179	YGR141W, YPR157W
OG0000509	-processed-gene-13.27-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-13.27&CDS=1-1341	YDR312W, YHR066W
OG0000510	-processed-gene-14.81-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-14.81&CDS=1-1311	YGR254W, YHR174W
OG0000511	-processed-gene-15.35-mRNA-1_1&gene=snap_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-15.35&CDS=1-807	YPL159C, YPR151C
OG0000512	-processed-gene-15.20-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-15.20&CDS=1-792	YDR098C, YER174C
OG0000513	-processed-gene-15.48-mRNA-1_1&gene=snap_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-15.48&CDS=1-399	YBL087C, YER117W
OG0000514	-processed-gene-16.1-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-16.1&CDS=1-4380	YER132C, YGL197W
OG0000515	-processed-gene-16.4-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-16.4&CDS=1-1911	YDR151C, YLR136C
OG0000516	-processed-gene-16.28-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-16.28&CDS=1-2058	YBR169C, YPL106C
OG0000517	-snap-gene-18.0-mRNA-1_1&gene=maker-gi|1002316619|dbj|BCGP01000001.1|-snap-gene-18.0&CDS=1-3009	YGR056W, YLR357W
OG0000518	-processed-gene-18.57-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-18.57&CDS=1-1584	YKL133C, YMR115W
OG0000519	-processed-gene-19.52-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-19.52&CDS=1-3495	YAL056W, YOR371C
OG0000520	-processed-gene-21.59-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-21.59&CDS=1-3660	YGL049C, YGR162W
OG0000521	-processed-gene-24.4-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-24.4&CDS=1-783	YBL091C-A, YER120W
OG0000522	-processed-gene-24.84-mRNA-1_1&gene=snap_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-24.84&CDS=1-423	YCR031C, YJL191W
OG0000523	-processed-gene-25.20-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-25.20&CDS=1-729	YGL076C, YPL198W
OG0000524	-processed-gene-25.57-mRNA-1_1&gene=snap_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-25.57&CDS=1-1662	YDL088C, YMR153W
OG0000525	-processed-gene-25.16-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-25.16&CDS=1-1407	YBR177C, YPL095C
OG0000526	-processed-gene-25.19-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-25.19&CDS=1-2040	YDL042C, YOL068C
OG0000527	-processed-gene-26.106-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-26.106&CDS=1-2364	YCR026C, YEL016C
OG0000528	-processed-gene-27.10-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-27.10&CDS=1-324	YGR027C, YLR333C
OG0000529	-processed-gene-29.75-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-29.75&CDS=1-789	YDR066C, YER139C
OG0000530	-snap-gene-29.30-mRNA-1_1&gene=maker-gi|1002316619|dbj|BCGP01000001.1|-snap-gene-29.30&CDS=1-2793	YGL166W, YPR008W
OG0000531	-processed-gene-30.3-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-30.3&CDS=1-3204	YKL068W, YMR047C
OG0000532	-processed-gene-30.59-mRNA-1_1&gene=genemark-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-30.59&CDS=1-5157	YER129W, YGL179C
OG0000533	-processed-gene-31.43-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-31.43&CDS=1-2766	YBR001C, YDR001C
OG0000534	-augustus-gene-31.99-mRNA-1_1&gene=maker-gi|1002316619|dbj|BCGP01000001.1|-augustus-gene-31.99&CDS=1-570	YBR189W, YPL081W
OG0000535	-augustus-gene-31.100-mRNA-1_1&gene=maker-gi|1002316619|dbj|BCGP01000001.1|-augustus-gene-31.100&CDS=1-471	YBR191W, YPL079W
OG0000536	-processed-gene-32.4-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-32.4&CDS=1-360	YDL136W, YDL191W
