	Metschnikowia_bowlesiae	Saccharomyces_cerevisiae
OG0000798	snap_masked-bow-b_s187-processed-gene-0.79-mRNA-1_1&gene=snap_masked-bow-b_s187-processed-gene-0.79&CDS=1-1398	YDR306C
OG0000799	augustus_masked-bow-b_s187-processed-gene-0.50-mRNA-1_1&gene=augustus_masked-bow-b_s187-processed-gene-0.50&CDS=1-2481	YKL155C
OG0000800	augustus_masked-bow-b_s187-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-bow-b_s187-processed-gene-0.33&CDS=1-651	YGR235C
OG0000801	augustus_masked-bow-b_s187-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-bow-b_s187-processed-gene-0.51&CDS=1-1236	YGR257C
OG0000802	augustus_masked-bow-b_s187-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-bow-b_s187-processed-gene-0.52&CDS=1-4350	YHR186C
OG0000803	augustus_masked-bow-b_s187-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-bow-b_s187-processed-gene-0.37&CDS=1-1707	YPL092W
OG0000804	augustus_masked-bow-b_s187-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-bow-b_s187-processed-gene-0.39&CDS=1-2139	YCL057W
OG0000805	augustus_masked-bow-b_s187-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-bow-b_s187-processed-gene-0.54&CDS=1-1962	YBR121C
OG0000806	augustus_masked-bow-b_s187-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-bow-b_s187-processed-gene-0.56&CDS=1-1836	YHR078W
OG0000807	augustus_masked-bow-b_s187-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-bow-b_s187-processed-gene-0.41&CDS=1-714	YDR296W
OG0000808	augustus_masked-bow-b_s187-processed-gene-0.43-mRNA-1_1&gene=augustus_masked-bow-b_s187-processed-gene-0.43&CDS=1-1335	YKL145W
OG0000809	augustus_masked-bow-b_s187-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-bow-b_s187-processed-gene-0.57&CDS=1-588	YKL144C
OG0000810	augustus_masked-bow-b_s188-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-bow-b_s188-processed-gene-0.20&CDS=1-2037	YFR034C
OG0000811	augustus_masked-bow-b_s188-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-bow-b_s188-processed-gene-0.16&CDS=1-1140	YNL254C
OG0000812	maker-bow-b_s188-augustus-gene-0.0-mRNA-1_1&gene=maker-bow-b_s188-augustus-gene-0.0&CDS=1-2409	YNL256W
OG0000813	augustus_masked-bow-b_s188-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-bow-b_s188-processed-gene-0.18&CDS=1-2358	YHR204W
OG0000814	augustus_masked-bow-b_s188-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-bow-b_s188-processed-gene-0.19&CDS=1-1200	YJR148W
OG0000815	genemark-bow-b_s189-processed-gene-0.46-mRNA-1_1&gene=genemark-bow-b_s189-processed-gene-0.46&CDS=1-4596	YMR189W
OG0000816	augustus_masked-bow-b_s189-processed-gene-0.89-mRNA-1_1&gene=augustus_masked-bow-b_s189-processed-gene-0.89&CDS=1-429	YNL185C
OG0000817	augustus_masked-bow-b_s189-processed-gene-0.92-mRNA-1_1&gene=augustus_masked-bow-b_s189-processed-gene-0.92&CDS=1-1425	YIL097W
OG0000818	genemark-bow-b_s189-processed-gene-0.69-mRNA-1_1&gene=genemark-bow-b_s189-processed-gene-0.69&CDS=1-1197	YIL096C
OG0000819	augustus_masked-bow-b_s189-processed-gene-0.111-mRNA-1_1&gene=augustus_masked-bow-b_s189-processed-gene-0.111&CDS=1-2082	YDL122W
OG0000820	maker-bow-b_s189-augustus-gene-0.128-mRNA-1_1&gene=maker-bow-b_s189-augustus-gene-0.128&CDS=1-1941	YNL016W
OG0000821	augustus_masked-bow-b_s189-processed-gene-0.93-mRNA-1_1&gene=augustus_masked-bow-b_s189-processed-gene-0.93&CDS=1-1257	YML005W
OG0000822	augustus_masked-bow-b_s189-processed-gene-0.114-mRNA-1_1&gene=augustus_masked-bow-b_s189-processed-gene-0.114&CDS=1-624	YOR289W
OG0000823	augustus_masked-bow-b_s189-processed-gene-0.97-mRNA-1_1&gene=augustus_masked-bow-b_s189-processed-gene-0.97&CDS=1-660	YMR134W
OG0000824	augustus_masked-bow-b_s189-processed-gene-0.115-mRNA-1_1&gene=augustus_masked-bow-b_s189-processed-gene-0.115&CDS=1-3546	YGL027C
OG0000825	augustus_masked-bow-b_s189-processed-gene-0.99-mRNA-1_1&gene=augustus_masked-bow-b_s189-processed-gene-0.99&CDS=1-1248	YOL058W
OG0000826	augustus_masked-bow-b_s189-processed-gene-0.118-mRNA-1_1&gene=augustus_masked-bow-b_s189-processed-gene-0.118&CDS=1-1587	YER051W
OG0000827	augustus_masked-bow-b_s189-processed-gene-0.100-mRNA-1_1&gene=augustus_masked-bow-b_s189-processed-gene-0.100&CDS=1-1236	YIL042C
OG0000828	augustus_masked-bow-b_s189-processed-gene-0.101-mRNA-1_1&gene=augustus_masked-bow-b_s189-processed-gene-0.101&CDS=1-1908	YDL146W
OG0000829	augustus_masked-bow-b_s189-processed-gene-0.119-mRNA-1_1&gene=augustus_masked-bow-b_s189-processed-gene-0.119&CDS=1-3624	YGR233C
OG0000830	augustus_masked-bow-b_s189-processed-gene-0.120-mRNA-1_1&gene=augustus_masked-bow-b_s189-processed-gene-0.120&CDS=1-639	YDR002W
OG0000831	augustus_masked-bow-b_s189-processed-gene-0.121-mRNA-1_1&gene=augustus_masked-bow-b_s189-processed-gene-0.121&CDS=1-3243	YGR218W
OG0000832	augustus_masked-bow-b_s189-processed-gene-0.103-mRNA-1_1&gene=augustus_masked-bow-b_s189-processed-gene-0.103&CDS=1-1458	YBR003W
OG0000833	augustus_masked-bow-b_s189-processed-gene-0.123-mRNA-1_1&gene=augustus_masked-bow-b_s189-processed-gene-0.123&CDS=1-849	YGR220C
OG0000834	augustus_masked-bow-b_s189-processed-gene-0.124-mRNA-1_1&gene=augustus_masked-bow-b_s189-processed-gene-0.124&CDS=1-663	YHR147C
OG0000835	augustus_masked-bow-b_s189-processed-gene-0.104-mRNA-1_1&gene=augustus_masked-bow-b_s189-processed-gene-0.104&CDS=1-549	YHR148W
OG0000836	augustus_masked-bow-b_s190-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-bow-b_s190-processed-gene-0.12&CDS=1-693	YPL199C
OG0000837	augustus_masked-bow-b_s190-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-bow-b_s190-processed-gene-0.16&CDS=1-642	YML001W
OG0000838	augustus_masked-bow-b_s190-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-bow-b_s190-processed-gene-0.13&CDS=1-954	YJR096W
OG0000839	augustus_masked-bow-b_s190-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-bow-b_s190-processed-gene-0.14&CDS=1-1269	YBR279W
OG0000840	snap_masked-bow-b_s190-processed-gene-0.8-mRNA-1_1&gene=snap_masked-bow-b_s190-processed-gene-0.8&CDS=1-1335	YHR190W
OG0000841	genemark-bow-b_s190-processed-gene-0.27-mRNA-1_1&gene=genemark-bow-b_s190-processed-gene-0.27&CDS=1-978	YML121W
OG0000842	augustus_masked-bow-b_s190-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-bow-b_s190-processed-gene-0.15&CDS=1-1752	YAL067C
OG0000843	genemark-bow-b_s190-processed-gene-0.28-mRNA-1_1&gene=genemark-bow-b_s190-processed-gene-0.28&CDS=1-582	YPL178W
OG0000844	snap_masked-bow-b_s190-processed-gene-0.5-mRNA-1_1&gene=snap_masked-bow-b_s190-processed-gene-0.5&CDS=1-789	YGL083W
OG0000845	augustus_masked-bow-b_s191-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-bow-b_s191-processed-gene-0.11&CDS=1-1206	YML048W
OG0000846	augustus_masked-bow-b_s191-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-bow-b_s191-processed-gene-0.12&CDS=1-2301	YER091C
OG0000847	augustus_masked-bow-b_s191-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-bow-b_s191-processed-gene-0.13&CDS=1-1098	YBL058W
OG0000848	augustus_masked-bow-b_s191-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-bow-b_s191-processed-gene-0.15&CDS=1-1542	YER090W
OG0000849	augustus_masked-bow-b_s20-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-bow-b_s20-processed-gene-0.16&CDS=1-1662	YDR188W
OG0000850	augustus_masked-bow-b_s20-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-bow-b_s20-processed-gene-0.18&CDS=1-1908	YDR189W
OG0000851	augustus_masked-bow-b_s20-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-bow-b_s20-processed-gene-0.22&CDS=1-1368	YDR190C
OG0000852	augustus_masked-bow-b_s20-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-bow-b_s20-processed-gene-0.23&CDS=1-3174	YLR243W
OG0000853	augustus_masked-bow-b_s20-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-bow-b_s20-processed-gene-0.19&CDS=1-1275	YOR117W
OG0000854	genemark-bow-b_s20-processed-gene-0.30-mRNA-1_1&gene=genemark-bow-b_s20-processed-gene-0.30&CDS=1-4422	YOR116C
OG0000855	augustus_masked-bow-b_s200-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-bow-b_s200-processed-gene-0.44&CDS=1-2409	YLR045C
OG0000856	snap_masked-bow-b_s200-processed-gene-0.4-mRNA-1_1&gene=snap_masked-bow-b_s200-processed-gene-0.4&CDS=1-765	YGR207C
OG0000857	augustus_masked-bow-b_s200-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-bow-b_s200-processed-gene-0.46&CDS=1-852	YGR205W
OG0000858	augustus_masked-bow-b_s200-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-bow-b_s200-processed-gene-0.52&CDS=1-651	YJL001W
OG0000859	augustus_masked-bow-b_s200-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-bow-b_s200-processed-gene-0.53&CDS=1-1413	YJL002C
OG0000860	augustus_masked-bow-b_s200-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-bow-b_s200-processed-gene-0.57&CDS=1-1284	YGR193C
OG0000861	genemark-bow-b_s201-processed-gene-0.5-mRNA-1_1&gene=genemark-bow-b_s201-processed-gene-0.5&CDS=1-2211	YBR019C
OG0000862	snap_masked-bow-b_s211-processed-gene-0.12-mRNA-1_1&gene=snap_masked-bow-b_s211-processed-gene-0.12&CDS=1-3270	YPL183C
OG0000863	augustus_masked-bow-b_s22-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-bow-b_s22-processed-gene-0.46&CDS=1-1032	YBR265W
OG0000864	augustus_masked-bow-b_s22-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-bow-b_s22-processed-gene-0.33&CDS=1-204	YLR262C-A
OG0000865	augustus_masked-bow-b_s22-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-bow-b_s22-processed-gene-0.34&CDS=1-735	YJL063C
OG0000866	maker-bow-b_s22-snap-gene-0.86-mRNA-1_1&gene=maker-bow-b_s22-snap-gene-0.86&CDS=1-2049	YOR181W
OG0000867	augustus_masked-bow-b_s22-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-bow-b_s22-processed-gene-0.36&CDS=1-1158	YLR287C
OG0000868	augustus_masked-bow-b_s22-processed-gene-0.47-mRNA-1_1&gene=augustus_masked-bow-b_s22-processed-gene-0.47&CDS=1-864	YJL068C
OG0000869	augustus_masked-bow-b_s22-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-bow-b_s22-processed-gene-0.37&CDS=1-918	YKR088C
OG0000870	augustus_masked-bow-b_s22-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-bow-b_s22-processed-gene-0.49&CDS=1-2652	YKR090W
OG0000871	augustus_masked-bow-b_s22-processed-gene-0.50-mRNA-1_1&gene=augustus_masked-bow-b_s22-processed-gene-0.50&CDS=1-432	YOL127W
OG0000872	maker-bow-b_s22-snap-gene-0.87-mRNA-1_1&gene=maker-bow-b_s22-snap-gene-0.87&CDS=1-621	YNL306W
OG0000873	augustus_masked-bow-b_s22-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-bow-b_s22-processed-gene-0.39&CDS=1-1116	YNL307C
OG0000874	augustus_masked-bow-b_s22-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-bow-b_s22-processed-gene-0.52&CDS=1-528	YOL129W
OG0000875	augustus_masked-bow-b_s22-processed-gene-0.42-mRNA-1_1&gene=augustus_masked-bow-b_s22-processed-gene-0.42&CDS=1-1245	YPL060W
OG0000876	augustus_masked-bow-b_s22-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-bow-b_s22-processed-gene-0.44&CDS=1-816	YLR192C
OG0000877	augustus_masked-bow-b_s222-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-bow-b_s222-processed-gene-0.1&CDS=1-1641	YKL078W
OG0000878	augustus_masked-bow-b_s222-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-bow-b_s222-processed-gene-0.22&CDS=1-1113	YPL096W
OG0000879	augustus_masked-bow-b_s222-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-bow-b_s222-processed-gene-0.2&CDS=1-1662	YOR002W
OG0000880	genemark-bow-b_s222-processed-gene-0.44-mRNA-1_1&gene=genemark-bow-b_s222-processed-gene-0.44&CDS=1-1389	YPL120W
OG0000881	augustus_masked-bow-b_s222-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-bow-b_s222-processed-gene-0.5&CDS=1-1158	YDR459C
OG0000882	augustus_masked-bow-b_s222-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-bow-b_s222-processed-gene-0.7&CDS=1-588	YHR026W
OG0000883	augustus_masked-bow-b_s222-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-bow-b_s222-processed-gene-0.27&CDS=1-2838	YHR027C
OG0000884	augustus_masked-bow-b_s222-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-bow-b_s222-processed-gene-0.8&CDS=1-1767	YJL201W
OG0000885	augustus_masked-bow-b_s222-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-bow-b_s222-processed-gene-0.30&CDS=1-684	YLR145W
OG0000886	augustus_masked-bow-b_s222-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-bow-b_s222-processed-gene-0.11&CDS=1-1143	YDR161W
OG0000887	maker-bow-b_s222-augustus-gene-0.127-mRNA-1_1&gene=maker-bow-b_s222-augustus-gene-0.127&CDS=1-3801	YLL021W
OG0000888	augustus_masked-bow-b_s222-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-bow-b_s222-processed-gene-0.33&CDS=1-855	YDL052C
OG0000889	augustus_masked-bow-b_s222-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-bow-b_s222-processed-gene-0.34&CDS=1-1881	YOR129C
OG0000890	maker-bow-b_s222-augustus-gene-0.128-mRNA-1_1&gene=maker-bow-b_s222-augustus-gene-0.128&CDS=1-642	YDR381W
OG0000891	augustus_masked-bow-b_s222-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-bow-b_s222-processed-gene-0.13&CDS=1-1359	YOR301W
OG0000892	augustus_masked-bow-b_s222-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-bow-b_s222-processed-gene-0.14&CDS=1-1683	YOR128C
OG0000893	augustus_masked-bow-b_s222-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-bow-b_s222-processed-gene-0.38&CDS=1-1782	YBR083W
OG0000894	augustus_masked-bow-b_s222-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-bow-b_s222-processed-gene-0.39&CDS=1-2172	YPR031W
OG0000895	augustus_masked-bow-b_s222-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-bow-b_s222-processed-gene-0.18&CDS=1-900	YDR361C
OG0000896	augustus_masked-bow-b_s222-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-bow-b_s222-processed-gene-0.19&CDS=1-2757	YBR079C
OG0000897	augustus_masked-bow-b_s222-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-bow-b_s222-processed-gene-0.20&CDS=1-990	YCR036W
OG0000898	augustus_masked-bow-b_s222-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-bow-b_s222-processed-gene-0.40&CDS=1-993	YCR034W
OG0000899	genemark-bow-b_s222-processed-gene-0.63-mRNA-1_1&gene=genemark-bow-b_s222-processed-gene-0.63&CDS=1-741	YBR153W
OG0000900	augustus_masked-bow-b_s222-processed-gene-1.144-mRNA-1_1&gene=augustus_masked-bow-b_s222-processed-gene-1.144&CDS=1-3948	YBR154C
OG0000901	augustus_masked-bow-b_s222-processed-gene-1.142-mRNA-1_1&gene=augustus_masked-bow-b_s222-processed-gene-1.142&CDS=1-1461	YJL194W
OG0000902	snap_masked-bow-b_s222-processed-gene-1.1-mRNA-1_1&gene=snap_masked-bow-b_s222-processed-gene-1.1&CDS=1-3444	YCR033W
OG0000903	genemark-bow-b_s222-processed-gene-1.77-mRNA-1_1&gene=genemark-bow-b_s222-processed-gene-1.77&CDS=1-948	YBR146W
OG0000904	augustus_masked-bow-b_s222-processed-gene-1.170-mRNA-1_1&gene=augustus_masked-bow-b_s222-processed-gene-1.170&CDS=1-1332	YNL040W
OG0000905	augustus_masked-bow-b_s222-processed-gene-1.145-mRNA-1_1&gene=augustus_masked-bow-b_s222-processed-gene-1.145&CDS=1-624	YKL119C
OG0000906	maker-bow-b_s222-augustus-gene-1.209-mRNA-1_1&gene=maker-bow-b_s222-augustus-gene-1.209&CDS=1-960	YMR101C
OG0000907	augustus_masked-bow-b_s222-processed-gene-1.173-mRNA-1_1&gene=augustus_masked-bow-b_s222-processed-gene-1.173&CDS=1-864	YOL077C
OG0000908	augustus_masked-bow-b_s222-processed-gene-1.174-mRNA-1_1&gene=augustus_masked-bow-b_s222-processed-gene-1.174&CDS=1-2544	YOL078W
OG0000909	genemark-bow-b_s222-processed-gene-1.83-mRNA-1_1&gene=genemark-bow-b_s222-processed-gene-1.83&CDS=1-3441	YDR490C
OG0000910	augustus_masked-bow-b_s222-processed-gene-1.149-mRNA-1_1&gene=augustus_masked-bow-b_s222-processed-gene-1.149&CDS=1-1281	YOL097C
OG0000911	augustus_masked-bow-b_s222-processed-gene-1.150-mRNA-1_1&gene=augustus_masked-bow-b_s222-processed-gene-1.150&CDS=1-606	YDR487C
OG0000912	genemark-bow-b_s222-processed-gene-1.113-mRNA-1_1&gene=genemark-bow-b_s222-processed-gene-1.113&CDS=1-3759	YOL021C
OG0000913	augustus_masked-bow-b_s222-processed-gene-1.178-mRNA-1_1&gene=augustus_masked-bow-b_s222-processed-gene-1.178&CDS=1-1890	YJR002W
OG0000914	augustus_masked-bow-b_s222-processed-gene-1.152-mRNA-1_1&gene=augustus_masked-bow-b_s222-processed-gene-1.152&CDS=1-1194	YGL136C
OG0000915	augustus_masked-bow-b_s222-processed-gene-1.179-mRNA-1_1&gene=augustus_masked-bow-b_s222-processed-gene-1.179&CDS=1-1140	YJL171C
OG0000916	augustus_masked-bow-b_s222-processed-gene-1.154-mRNA-1_1&gene=augustus_masked-bow-b_s222-processed-gene-1.154&CDS=1-4770	YGR098C
OG0000917	augustus_masked-bow-b_s222-processed-gene-1.181-mRNA-1_1&gene=augustus_masked-bow-b_s222-processed-gene-1.181&CDS=1-2481	YMR100W
OG0000918	augustus_masked-bow-b_s222-processed-gene-1.184-mRNA-1_1&gene=augustus_masked-bow-b_s222-processed-gene-1.184&CDS=1-897	YMR079W
OG0000919	augustus_masked-bow-b_s222-processed-gene-1.185-mRNA-1_1&gene=augustus_masked-bow-b_s222-processed-gene-1.185&CDS=1-3528	YKL092C
OG0000920	augustus_masked-bow-b_s222-processed-gene-1.156-mRNA-1_1&gene=augustus_masked-bow-b_s222-processed-gene-1.156&CDS=1-2784	YMR080C
OG0000921	augustus_masked-bow-b_s222-processed-gene-1.157-mRNA-1_1&gene=augustus_masked-bow-b_s222-processed-gene-1.157&CDS=1-453	YDR092W
OG0000922	augustus_masked-bow-b_s222-processed-gene-1.158-mRNA-1_1&gene=augustus_masked-bow-b_s222-processed-gene-1.158&CDS=1-4704	YER166W
OG0000923	augustus_masked-bow-b_s222-processed-gene-1.159-mRNA-1_1&gene=augustus_masked-bow-b_s222-processed-gene-1.159&CDS=1-897	YBR085W
OG0000924	augustus_masked-bow-b_s222-processed-gene-1.188-mRNA-1_1&gene=augustus_masked-bow-b_s222-processed-gene-1.188&CDS=1-1275	YOL052C
OG0000925	augustus_masked-bow-b_s222-processed-gene-1.161-mRNA-1_1&gene=augustus_masked-bow-b_s222-processed-gene-1.161&CDS=1-2067	YKR001C
OG0000926	augustus_masked-bow-b_s222-processed-gene-1.189-mRNA-1_1&gene=augustus_masked-bow-b_s222-processed-gene-1.189&CDS=1-462	YBR022W
OG0000927	maker-bow-b_s222-augustus-gene-1.212-mRNA-1_1&gene=maker-bow-b_s222-augustus-gene-1.212&CDS=1-1932	YNL292W
OG0000928	augustus_masked-bow-b_s222-processed-gene-1.195-mRNA-1_1&gene=augustus_masked-bow-b_s222-processed-gene-1.195&CDS=1-786	YAL039C
OG0000929	augustus_masked-bow-b_s222-processed-gene-1.196-mRNA-1_1&gene=augustus_masked-bow-b_s222-processed-gene-1.196&CDS=1-1146	YHL013C
OG0000930	augustus_masked-bow-b_s222-processed-gene-1.165-mRNA-1_1&gene=augustus_masked-bow-b_s222-processed-gene-1.165&CDS=1-1713	YOR355W
OG0000931	augustus_masked-bow-b_s222-processed-gene-1.197-mRNA-1_1&gene=augustus_masked-bow-b_s222-processed-gene-1.197&CDS=1-1797	YOR356W
OG0000932	augustus_masked-bow-b_s222-processed-gene-1.198-mRNA-1_1&gene=augustus_masked-bow-b_s222-processed-gene-1.198&CDS=1-2364	YAL041W
OG0000933	augustus_masked-bow-b_s222-processed-gene-1.166-mRNA-1_1&gene=augustus_masked-bow-b_s222-processed-gene-1.166&CDS=1-1242	YAL042W
OG0000934	augustus_masked-bow-b_s222-processed-gene-1.200-mRNA-1_1&gene=augustus_masked-bow-b_s222-processed-gene-1.200&CDS=1-819	YNL252C
OG0000935	augustus_masked-bow-b_s222-processed-gene-1.167-mRNA-1_1&gene=augustus_masked-bow-b_s222-processed-gene-1.167&CDS=1-2034	YNL251C
OG0000936	augustus_masked-bow-b_s222-processed-gene-1.201-mRNA-1_1&gene=augustus_masked-bow-b_s222-processed-gene-1.201&CDS=1-4098	YPR024W
OG0000937	augustus_masked-bow-b_s222-processed-gene-1.202-mRNA-1_1&gene=augustus_masked-bow-b_s222-processed-gene-1.202&CDS=1-975	YIL019W
OG0000938	augustus_masked-bow-b_s222-processed-gene-1.168-mRNA-1_1&gene=augustus_masked-bow-b_s222-processed-gene-1.168&CDS=1-816	YIL020C
OG0000939	augustus_masked-bow-b_s222-processed-gene-1.203-mRNA-1_1&gene=augustus_masked-bow-b_s222-processed-gene-1.203&CDS=1-924	YIL021W
OG0000940	maker-bow-b_s222-augustus-gene-1.213-mRNA-1_1&gene=maker-bow-b_s222-augustus-gene-1.213&CDS=1-2880	YGR100W
OG0000941	augustus_masked-bow-b_s223-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-bow-b_s223-processed-gene-0.0&CDS=1-1653	YOR245C
OG0000942	augustus_masked-bow-b_s223-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-bow-b_s223-processed-gene-0.1&CDS=1-999	YLR017W
OG0000943	genemark-bow-b_s223-processed-gene-0.39-mRNA-1_1&gene=genemark-bow-b_s223-processed-gene-0.39&CDS=1-984	YOR246C
OG0000944	augustus_masked-bow-b_s223-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-bow-b_s223-processed-gene-0.18&CDS=1-429	YNL260C
OG0000945	augustus_masked-bow-b_s223-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-bow-b_s223-processed-gene-0.5&CDS=1-1101	YHR156C
OG0000946	genemark-bow-b_s223-processed-gene-0.57-mRNA-1_1&gene=genemark-bow-b_s223-processed-gene-0.57&CDS=1-8115	YNL262W
OG0000947	augustus_masked-bow-b_s223-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-bow-b_s223-processed-gene-0.20&CDS=1-1149	YNL263C
OG0000948	augustus_masked-bow-b_s223-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-bow-b_s223-processed-gene-0.6&CDS=1-1416	YBR126C
OG0000949	augustus_masked-bow-b_s223-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-bow-b_s223-processed-gene-0.22&CDS=1-996	YBR125C
OG0000950	genemark-bow-b_s223-processed-gene-0.44-mRNA-1_1&gene=genemark-bow-b_s223-processed-gene-0.44&CDS=1-1119	YPR084W
OG0000951	augustus_masked-bow-b_s223-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-bow-b_s223-processed-gene-0.9&CDS=1-1530	YBR127C
OG0000952	augustus_masked-bow-b_s223-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-bow-b_s223-processed-gene-0.23&CDS=1-2403	YJL200C
OG0000953	augustus_masked-bow-b_s223-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-bow-b_s223-processed-gene-0.25&CDS=1-1509	YDR434W
OG0000954	augustus_masked-bow-b_s223-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-bow-b_s223-processed-gene-0.11&CDS=1-1704	YDR117C
OG0000955	augustus_masked-bow-b_s223-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-bow-b_s223-processed-gene-0.27&CDS=1-831	YDR116C
OG0000956	augustus_masked-bow-b_s223-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-bow-b_s223-processed-gene-0.13&CDS=1-1794	YLR088W
OG0000957	genemark-bow-b_s223-processed-gene-0.67-mRNA-1_1&gene=genemark-bow-b_s223-processed-gene-0.67&CDS=1-1512	YDR111C
OG0000958	genemark-bow-b_s223-processed-gene-0.68-mRNA-1_1&gene=genemark-bow-b_s223-processed-gene-0.68&CDS=1-1569	YNR012W
OG0000959	genemark-bow-b_s223-processed-gene-0.52-mRNA-1_1&gene=genemark-bow-b_s223-processed-gene-0.52&CDS=1-2649	YNR011C
OG0000960	snap_masked-bow-b_s223-processed-gene-0.92-mRNA-1_1&gene=snap_masked-bow-b_s223-processed-gene-0.92&CDS=1-1410	YPR057W
OG0000961	genemark-bow-b_s223-processed-gene-0.71-mRNA-1_1&gene=genemark-bow-b_s223-processed-gene-0.71&CDS=1-2559	YKL188C
OG0000962	augustus_masked-bow-b_s223-processed-gene-1.46-mRNA-1_1&gene=augustus_masked-bow-b_s223-processed-gene-1.46&CDS=1-1044	YML067C
OG0000963	genemark-bow-b_s223-processed-gene-1.86-mRNA-1_1&gene=genemark-bow-b_s223-processed-gene-1.86&CDS=1-5862	YLR430W
OG0000964	augustus_masked-bow-b_s223-processed-gene-1.68-mRNA-1_1&gene=augustus_masked-bow-b_s223-processed-gene-1.68&CDS=1-522	YKL190W
OG0000965	augustus_masked-bow-b_s223-processed-gene-1.70-mRNA-1_1&gene=augustus_masked-bow-b_s223-processed-gene-1.70&CDS=1-4371	YLR425W
OG0000966	augustus_masked-bow-b_s223-processed-gene-1.50-mRNA-1_1&gene=augustus_masked-bow-b_s223-processed-gene-1.50&CDS=1-519	YLR221C
OG0000967	augustus_masked-bow-b_s223-processed-gene-1.51-mRNA-1_1&gene=augustus_masked-bow-b_s223-processed-gene-1.51&CDS=1-1623	YGL186C
OG0000968	augustus_masked-bow-b_s223-processed-gene-1.71-mRNA-1_1&gene=augustus_masked-bow-b_s223-processed-gene-1.71&CDS=1-1239	YMR235C
