	Lachancea_thermotolerans	Saccharomyces_cerevisiae
OG0000834	augustus_masked-CU928167-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-0.5&CDS=1-846	YKL024C
OG0000835	genemark-CU928167-processed-gene-0.56-mRNA-1_1&gene=genemark-CU928167-processed-gene-0.56&CDS=1-2160	YKL022C
OG0000836	augustus_masked-CU928167-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-0.7&CDS=1-1116	YIR034C
OG0000837	augustus_masked-CU928167-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-0.23&CDS=1-1221	YKL021C
OG0000838	snap_masked-CU928167-processed-gene-0.91-mRNA-1_1&gene=snap_masked-CU928167-processed-gene-0.91&CDS=1-3231	YKL020C
OG0000839	augustus_masked-CU928167-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-0.8&CDS=1-945	YKL019W
OG0000840	genemark-CU928167-processed-gene-0.43-mRNA-1_1&gene=genemark-CU928167-processed-gene-0.43&CDS=1-1059	YIR026C
OG0000841	snap_masked-CU928167-processed-gene-0.92-mRNA-1_1&gene=snap_masked-CU928167-processed-gene-0.92&CDS=1-972	YIR025W
OG0000842	augustus_masked-CU928167-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-0.10&CDS=1-984	YKL018W
OG0000843	augustus_masked-CU928167-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-0.27&CDS=1-1977	YKL017C
OG0000844	augustus_masked-CU928167-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-0.28&CDS=1-522	YKL016C
OG0000845	augustus_masked-CU928167-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-0.11&CDS=1-2499	YKL015W
OG0000846	snap_masked-CU928167-processed-gene-0.96-mRNA-1_1&gene=snap_masked-CU928167-processed-gene-0.96&CDS=1-5088	YKL014C
OG0000847	snap_masked-CU928167-processed-gene-0.77-mRNA-1_1&gene=snap_masked-CU928167-processed-gene-0.77&CDS=1-648	YIR024C
OG0000848	augustus_masked-CU928167-processed-gene-1.5-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-1.5&CDS=1-3255	YIR023W
OG0000849	genemark-CU928167-processed-gene-1.56-mRNA-1_1&gene=genemark-CU928167-processed-gene-1.56&CDS=1-513	YKL013C
OG0000850	augustus_masked-CU928167-processed-gene-1.0-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-1.0&CDS=1-1692	YKL012W
OG0000851	genemark-CU928167-processed-gene-1.57-mRNA-1_1&gene=genemark-CU928167-processed-gene-1.57&CDS=1-504	YIR022W
OG0000852	augustus_masked-CU928167-processed-gene-1.1-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-1.1&CDS=1-663	YMR090W
OG0000853	snap_masked-CU928167-processed-gene-1.109-mRNA-1_1&gene=snap_masked-CU928167-processed-gene-1.109&CDS=1-1071	YKL011C
OG0000854	augustus_masked-CU928167-processed-gene-1.3-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-1.3&CDS=1-1530	YKL088W
OG0000855	augustus_masked-CU928167-processed-gene-1.9-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-1.9&CDS=1-279	YHR005C-A
OG0000856	augustus_masked-CU928167-processed-gene-1.32-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-1.32&CDS=1-726	YKL087C
OG0000857	augustus_masked-CU928167-processed-gene-1.10-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-1.10&CDS=1-1323	YHR005C
OG0000858	augustus_masked-CU928167-processed-gene-1.11-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-1.11&CDS=1-417	YKL086W
OG0000859	augustus_masked-CU928167-processed-gene-1.13-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-1.13&CDS=1-999	YKL085W
OG0000860	augustus_masked-CU928167-processed-gene-1.33-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-1.33&CDS=1-774	YMR068W
OG0000861	snap_masked-CU928167-processed-gene-1.115-mRNA-1_1&gene=snap_masked-CU928167-processed-gene-1.115&CDS=1-1236	YMR067C
OG0000862	snap_masked-CU928167-processed-gene-1.135-mRNA-1_1&gene=snap_masked-CU928167-processed-gene-1.135&CDS=1-2652	YMR066W
OG0000863	augustus_masked-CU928167-processed-gene-1.36-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-1.36&CDS=1-1377	YKL082C
OG0000864	augustus_masked-CU928167-processed-gene-1.16-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-1.16&CDS=1-1176	YKL080W
OG0000865	augustus_masked-CU928167-processed-gene-1.37-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-1.37&CDS=1-1551	YLR267W
OG0000866	snap_masked-CU928167-processed-gene-1.118-mRNA-1_1&gene=snap_masked-CU928167-processed-gene-1.118&CDS=1-828	YGR239C
OG0000867	augustus_masked-CU928167-processed-gene-1.38-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-1.38&CDS=1-1137	YHR159W
OG0000868	augustus_masked-CU928167-processed-gene-1.18-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-1.18&CDS=1-3168	YHR158C
OG0000869	snap_masked-CU928167-processed-gene-1.120-mRNA-1_1&gene=snap_masked-CU928167-processed-gene-1.120&CDS=1-2058	YGR237C
OG0000870	snap_masked-CU928167-processed-gene-1.121-mRNA-1_1&gene=snap_masked-CU928167-processed-gene-1.121&CDS=1-435	YGR236C
OG0000871	augustus_masked-CU928167-processed-gene-1.21-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-1.21&CDS=1-690	YGR235C
OG0000872	augustus_masked-CU928167-processed-gene-1.40-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-1.40&CDS=1-2739	YHR154W
OG0000873	augustus_masked-CU928167-processed-gene-1.22-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-1.22&CDS=1-3267	YGR233C
OG0000874	augustus_masked-CU928167-processed-gene-1.41-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-1.41&CDS=1-696	YGR232W
OG0000875	augustus_masked-CU928167-processed-gene-1.23-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-1.23&CDS=1-921	YGR231C
OG0000876	augustus_masked-CU928167-processed-gene-1.42-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-1.42&CDS=1-249	YGR230W
OG0000877	augustus_masked-CU928167-processed-gene-1.25-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-1.25&CDS=1-1548	YGR229C
OG0000878	augustus_masked-CU928167-processed-gene-1.43-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-1.43&CDS=1-1512	YGR227W
OG0000879	snap_masked-CU928167-processed-gene-1.127-mRNA-1_1&gene=snap_masked-CU928167-processed-gene-1.127&CDS=1-1425	YHR151C
OG0000880	snap_masked-CU928167-processed-gene-1.143-mRNA-1_1&gene=snap_masked-CU928167-processed-gene-1.143&CDS=1-1626	YHR150W
OG0000881	augustus_masked-CU928167-processed-gene-1.45-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-1.45&CDS=1-1905	YGR225W
OG0000882	augustus_masked-CU928167-processed-gene-1.27-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-1.27&CDS=1-1269	YGR223C
OG0000883	snap_masked-CU928167-processed-gene-1.145-mRNA-1_1&gene=snap_masked-CU928167-processed-gene-1.145&CDS=1-882	YGR222W
OG0000884	augustus_masked-CU928167-processed-gene-1.47-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-1.47&CDS=1-549	YHR148W
OG0000885	augustus_masked-CU928167-processed-gene-1.29-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-1.29&CDS=1-675	YHR147C
OG0000886	genemark-CU928167-processed-gene-1.80-mRNA-1_1&gene=genemark-CU928167-processed-gene-1.80&CDS=1-804	YGR220C
OG0000887	snap_masked-CU928167-processed-gene-1.147-mRNA-1_1&gene=snap_masked-CU928167-processed-gene-1.147&CDS=1-3252	YGR218W
OG0000888	snap_masked-CU928167-processed-gene-1.148-mRNA-1_1&gene=snap_masked-CU928167-processed-gene-1.148&CDS=1-5976	YGR217W
OG0000889	augustus_masked-CU928167-processed-gene-1.31-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-1.31&CDS=1-1815	YGR216C
OG0000890	augustus_masked-CU928167-processed-gene-1.49-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-1.49&CDS=1-324	YGR215W
OG0000891	augustus_masked-CU928167-processed-gene-2.104-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-2.104&CDS=1-2031	YLR047C
OG0000892	augustus_masked-CU928167-processed-gene-2.107-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-2.107&CDS=1-1392	YGR212W
OG0000893	augustus_masked-CU928167-processed-gene-2.108-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-2.108&CDS=1-1443	YGR211W
OG0000894	augustus_masked-CU928167-processed-gene-2.109-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-2.109&CDS=1-783	YKL208W
OG0000895	augustus_masked-CU928167-processed-gene-2.111-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-2.111&CDS=1-798	YKL207W
OG0000896	augustus_masked-CU928167-processed-gene-2.112-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-2.112&CDS=1-1155	YJR072C
OG0000897	augustus_masked-CU928167-processed-gene-2.131-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-2.131&CDS=1-816	YKL206C
OG0000898	augustus_masked-CU928167-processed-gene-2.113-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-2.113&CDS=1-1542	YJR070C
OG0000899	augustus_masked-CU928167-processed-gene-2.114-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-2.114&CDS=1-3156	YKL205W
OG0000900	augustus_masked-CU928167-processed-gene-2.115-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-2.115&CDS=1-1686	YKL204W
OG0000901	augustus_masked-CU928167-processed-gene-2.132-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-2.132&CDS=1-1068	YJR068W
OG0000902	genemark-CU928167-processed-gene-2.69-mRNA-1_1&gene=genemark-CU928167-processed-gene-2.69&CDS=1-423	YJR067C
OG0000903	augustus_masked-CU928167-processed-gene-2.133-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-2.133&CDS=1-7401	YKL203C
OG0000904	augustus_masked-CU928167-processed-gene-2.117-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-2.117&CDS=1-1353	YJR065C
OG0000905	augustus_masked-CU928167-processed-gene-2.134-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-2.134&CDS=1-1992	YJR064W
OG0000906	augustus_masked-CU928167-processed-gene-2.119-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-2.119&CDS=1-1245	YJR062C
OG0000907	augustus_masked-CU928167-processed-gene-2.136-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-2.136&CDS=1-786	YJR060W
OG0000908	augustus_masked-CU928167-processed-gene-2.138-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-2.138&CDS=1-3057	YKL197C
OG0000909	augustus_masked-CU928167-processed-gene-2.139-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-2.139&CDS=1-642	YJR057W
OG0000910	augustus_masked-CU928167-processed-gene-2.120-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-2.120&CDS=1-486	YJR056C
OG0000911	augustus_masked-CU928167-processed-gene-2.121-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-2.121&CDS=1-873	YML052W
OG0000912	augustus_masked-CU928167-processed-gene-2.122-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-2.122&CDS=1-1272	YML051W
OG0000913	augustus_masked-CU928167-processed-gene-2.141-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-2.141&CDS=1-465	YJR055W
OG0000914	augustus_masked-CU928167-processed-gene-2.123-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-2.123&CDS=1-996	YML050W
OG0000915	augustus_masked-CU928167-processed-gene-2.142-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-2.142&CDS=1-3864	YML049C
OG0000916	augustus_masked-CU928167-processed-gene-2.124-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-2.124&CDS=1-1155	YML048W
OG0000917	augustus_masked-CU928167-processed-gene-2.143-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-2.143&CDS=1-1548	YJR054W
OG0000918	augustus_masked-CU928167-processed-gene-2.144-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-2.144&CDS=1-1605	YJR053W
OG0000919	snap_masked-CU928167-processed-gene-2.25-mRNA-1_1&gene=snap_masked-CU928167-processed-gene-2.25&CDS=1-1887	YML046W
OG0000920	augustus_masked-CU928167-processed-gene-2.145-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-2.145&CDS=1-1800	YJR052W
OG0000921	augustus_masked-CU928167-processed-gene-2.127-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-2.127&CDS=1-402	YEL044W
OG0000922	augustus_masked-CU928167-processed-gene-2.128-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-2.128&CDS=1-594	YJL218W
OG0000923	augustus_masked-CU928167-processed-gene-2.129-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-2.129&CDS=1-2439	YEL043W
OG0000924	augustus_masked-CU928167-processed-gene-2.148-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-2.148&CDS=1-798	YJR050W
OG0000925	augustus_masked-CU928167-processed-gene-2.130-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-2.130&CDS=1-1797	YIL162W
OG0000926	augustus_masked-CU928167-processed-gene-3.0-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-3.0&CDS=1-1569	YEL042W
OG0000927	augustus_masked-CU928167-processed-gene-3.4-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-3.4&CDS=1-330	YJR048W
OG0000928	augustus_masked-CU928167-processed-gene-3.3-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-3.3&CDS=1-651	YEL038W
OG0000929	augustus_masked-CU928167-processed-gene-3.5-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-3.5&CDS=1-1173	YEL037C
OG0000930	augustus_masked-CU928167-processed-gene-3.6-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-3.6&CDS=1-1467	YEL036C
OG0000931	augustus_masked-CU928167-processed-gene-3.9-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-3.9&CDS=1-2832	YEL032W
OG0000932	augustus_masked-CU928167-processed-gene-3.10-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-3.10&CDS=1-3624	YEL031W
OG0000933	augustus_masked-CU928167-processed-gene-3.29-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-3.29&CDS=1-1701	YJR046W
OG0000934	augustus_masked-CU928167-processed-gene-3.11-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-3.11&CDS=1-1734	YMR284W
OG0000935	augustus_masked-CU928167-processed-gene-3.30-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-3.30&CDS=1-1485	YMR285C
OG0000936	augustus_masked-CU928167-processed-gene-3.12-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-3.12&CDS=1-252	YMR286W
OG0000937	augustus_masked-CU928167-processed-gene-3.31-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-3.31&CDS=1-828	YML119W
OG0000938	augustus_masked-CU928167-processed-gene-3.32-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-3.32&CDS=1-2844	YMR287C
OG0000939	maker-CU928167-augustus-gene-3.150-mRNA-1_1&gene=maker-CU928167-augustus-gene-3.150&CDS=1-2877	YMR283C
OG0000940	augustus_masked-CU928167-processed-gene-3.33-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-3.33&CDS=1-762	YMR281W
OG0000941	augustus_masked-CU928167-processed-gene-3.14-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-3.14&CDS=1-3618	YMR280C
OG0000942	augustus_masked-CU928167-processed-gene-3.15-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-3.15&CDS=1-2958	YML117W
OG0000943	augustus_masked-CU928167-processed-gene-3.16-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-3.16&CDS=1-1575	YML116W
OG0000944	augustus_masked-CU928167-processed-gene-3.34-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-3.34&CDS=1-1500	YML115C
OG0000945	augustus_masked-CU928167-processed-gene-3.35-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-3.35&CDS=1-987	YPL273W
OG0000946	genemark-CU928167-processed-gene-3.85-mRNA-1_1&gene=genemark-CU928167-processed-gene-3.85&CDS=1-1860	YMR278W
OG0000947	augustus_masked-CU928167-processed-gene-3.37-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-3.37&CDS=1-2235	YMR277W
OG0000948	augustus_masked-CU928167-processed-gene-3.38-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-3.38&CDS=1-1710	YML114C
OG0000949	augustus_masked-CU928167-processed-gene-3.39-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-3.39&CDS=1-1128	YMR276W
OG0000950	augustus_masked-CU928167-processed-gene-3.17-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-3.17&CDS=1-666	YML113W
OG0000951	augustus_masked-CU928167-processed-gene-3.18-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-3.18&CDS=1-903	YML112W
OG0000952	augustus_masked-CU928167-processed-gene-3.20-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-3.20&CDS=1-945	YMR274C
OG0000953	augustus_masked-CU928167-processed-gene-3.21-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-3.21&CDS=1-2805	YML109W
OG0000954	augustus_masked-CU928167-processed-gene-3.22-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-3.22&CDS=1-339	YML108W
OG0000955	augustus_masked-CU928167-processed-gene-3.23-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-3.23&CDS=1-1134	YMR272C
OG0000956	augustus_masked-CU928167-processed-gene-3.40-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-3.40&CDS=1-936	YML107C
OG0000957	augustus_masked-CU928167-processed-gene-3.24-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-3.24&CDS=1-672	YML106W
OG0000958	augustus_masked-CU928167-processed-gene-3.41-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-3.41&CDS=1-765	YML105C
OG0000959	augustus_masked-CU928167-processed-gene-3.25-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-3.25&CDS=1-1140	YMR270C
OG0000960	snap_masked-CU928167-processed-gene-3.140-mRNA-1_1&gene=snap_masked-CU928167-processed-gene-3.140&CDS=1-3132	YML104C
OG0000961	snap_masked-CU928167-processed-gene-3.141-mRNA-1_1&gene=snap_masked-CU928167-processed-gene-3.141&CDS=1-645	YMR269W
OG0000962	augustus_masked-CU928167-processed-gene-3.26-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-3.26&CDS=1-1350	YMR268C
OG0000963	snap_masked-CU928167-processed-gene-3.142-mRNA-1_1&gene=snap_masked-CU928167-processed-gene-3.142&CDS=1-4866	YML103C
OG0000964	snap_masked-CU928167-processed-gene-3.143-mRNA-1_1&gene=snap_masked-CU928167-processed-gene-3.143&CDS=1-915	YMR267W
OG0000965	augustus_masked-CU928167-processed-gene-3.44-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-3.44&CDS=1-2697	YMR266W
OG0000966	augustus_masked-CU928167-processed-gene-3.27-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-3.27&CDS=1-1428	YMR265C
OG0000967	augustus_masked-CU928167-processed-gene-3.28-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-3.28&CDS=1-1503	YML102W
OG0000968	augustus_masked-CU928167-processed-gene-3.45-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-3.45&CDS=1-582	YMR264W
OG0000969	augustus_masked-CU928167-processed-gene-3.47-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-3.47&CDS=1-510	YMR263W
OG0000970	augustus_masked-CU928167-processed-gene-3.48-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-3.48&CDS=1-933	YMR262W
OG0000971	augustus_masked-CU928167-processed-gene-4.0-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-4.0&CDS=1-3315	YMR261C
OG0000972	augustus_masked-CU928167-processed-gene-4.1-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-4.1&CDS=1-459	YMR260C
OG0000973	augustus_masked-CU928167-processed-gene-4.2-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-4.2&CDS=1-4278	YMR259C
OG0000974	genemark-CU928167-processed-gene-4.45-mRNA-1_1&gene=genemark-CU928167-processed-gene-4.45&CDS=1-1644	YMR258C
OG0000975	augustus_masked-CU928167-processed-gene-4.5-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-4.5&CDS=1-1968	YMR257C
OG0000976	snap_masked-CU928167-processed-gene-4.93-mRNA-1_1&gene=snap_masked-CU928167-processed-gene-4.93&CDS=1-1026	YOL054W
OG0000977	snap_masked-CU928167-processed-gene-4.94-mRNA-1_1&gene=snap_masked-CU928167-processed-gene-4.94&CDS=1-180	YMR256C
OG0000978	augustus_masked-CU928167-processed-gene-4.7-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-4.7&CDS=1-960	YOL053W
OG0000979	augustus_masked-CU928167-processed-gene-4.9-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-4.9&CDS=1-375	YMR252C
OG0000980	augustus_masked-CU928167-processed-gene-4.26-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-4.26&CDS=1-1707	YDR242W
OG0000981	augustus_masked-CU928167-processed-gene-4.10-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-4.10&CDS=1-825	YDR054C
OG0000982	augustus_masked-CU928167-processed-gene-4.11-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-4.11&CDS=1-465	YBR077C
OG0000983	genemark-CU928167-processed-gene-4.53-mRNA-1_1&gene=genemark-CU928167-processed-gene-4.53&CDS=1-1695	YDR052C
OG0000984	augustus_masked-CU928167-processed-gene-4.28-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-4.28&CDS=1-2886	YBR074W
OG0000985	augustus_masked-CU928167-processed-gene-4.15-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-4.15&CDS=1-1104	YDR047W
OG0000986	augustus_masked-CU928167-processed-gene-4.16-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-4.16&CDS=1-1863	YDR049W
OG0000987	augustus_masked-CU928167-processed-gene-4.29-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-4.29&CDS=1-2682	YBR073W
OG0000988	genemark-CU928167-processed-gene-4.58-mRNA-1_1&gene=genemark-CU928167-processed-gene-4.58&CDS=1-684	YBR070C
OG0000989	augustus_masked-CU928167-processed-gene-4.31-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-4.31&CDS=1-744	YDR050C
OG0000990	augustus_masked-CU928167-processed-gene-4.32-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-4.32&CDS=1-930	YDR051C
OG0000991	augustus_masked-CU928167-processed-gene-4.19-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-4.19&CDS=1-1773	YDR037W
OG0000992	augustus_masked-CU928167-processed-gene-4.33-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-4.33&CDS=1-909	YBR061C
OG0000993	augustus_masked-CU928167-processed-gene-4.20-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-4.20&CDS=1-609	YDR041W
OG0000994	augustus_masked-CU928167-processed-gene-4.34-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-4.34&CDS=1-456	YBR062C
OG0000995	augustus_masked-CU928167-processed-gene-4.35-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-4.35&CDS=1-1014	YBR065C
OG0000996	augustus_masked-CU928167-processed-gene-4.36-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-4.36&CDS=1-1197	YPR034W
OG0000997	augustus_masked-CU928167-processed-gene-4.21-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-4.21&CDS=1-306	YJR082C
OG0000998	augustus_masked-CU928167-processed-gene-4.22-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-4.22&CDS=1-1110	YJR080C
OG0000999	augustus_masked-CU928167-processed-gene-4.23-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-4.23&CDS=1-1527	YPR033C
OG0001000	augustus_masked-CU928167-processed-gene-4.37-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-4.37&CDS=1-1485	YJR078W
OG0001001	augustus_masked-CU928167-processed-gene-4.38-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-4.38&CDS=1-594	YBL107C
OG0001002	augustus_masked-CU928167-processed-gene-4.40-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-4.40&CDS=1-2859	YBL101C
OG0001003	augustus_masked-CU928167-processed-gene-4.24-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-4.24&CDS=1-2391	YPR029C
OG0001004	augustus_masked-CU928167-processed-gene-5.55-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-5.55&CDS=1-549	YPR028W
OG0001005	augustus_masked-CU928167-processed-gene-5.56-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-5.56&CDS=1-3456	YPR026W
OG0001006	augustus_masked-CU928167-processed-gene-5.53-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-5.53&CDS=1-1644	YBL099W
OG0001007	augustus_masked-CU928167-processed-gene-5.54-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-5.54&CDS=1-1125	YPR025C
OG0001008	augustus_masked-CU928167-processed-gene-5.57-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-5.57&CDS=1-2232	YPR024W
OG0001009	augustus_masked-CU928167-processed-gene-5.73-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-5.73&CDS=1-2301	YBL097W
OG0001010	augustus_masked-CU928167-processed-gene-5.74-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-5.74&CDS=1-1389	YBL098W
OG0001011	augustus_masked-CU928167-processed-gene-5.58-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-5.58&CDS=1-2124	YER122C
OG0001012	augustus_masked-CU928167-processed-gene-5.76-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-5.76&CDS=1-609	YBL093C
OG0001013	augustus_masked-CU928167-processed-gene-5.59-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-5.59&CDS=1-393	YBL092W
OG0001014	maker-CU928167-augustus-gene-5.4-mRNA-1_1&gene=maker-CU928167-augustus-gene-5.4&CDS=1-732	YER120W
OG0001015	augustus_masked-CU928167-processed-gene-5.78-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-5.78&CDS=1-1260	YBL091C
OG0001016	augustus_masked-CU928167-processed-gene-5.60-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-5.60&CDS=1-510	YBL090W
OG0001017	augustus_masked-CU928167-processed-gene-5.79-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-5.79&CDS=1-8760	YBL088C
