	Saccharomyces_cerevisiae	yHMPu5000035040_Ambrosiozyma_maleeae
OG0000222	YBR001C, YDR001C	augustus_masked-NODE_8_length_556485_cov_39.8289_ID_15-processed-gene-2.60-mRNA-1_1&gene=augustus_masked-NODE_8_length_556485_cov_39.8289_ID_15-processed-gene-2.60&CDS=1-2547
OG0000223	YBR014C, YDL010W	augustus_masked-NODE_5_length_785164_cov_45.4552_ID_9-processed-gene-2.112-mRNA-1_1&gene=augustus_masked-NODE_5_length_785164_cov_45.4552_ID_9-processed-gene-2.112&CDS=1-1140
OG0000224	YBR021W, YIR028W	augustus_masked-NODE_10_length_550745_cov_39.138_ID_19-processed-gene-2.59-mRNA-1_1&gene=augustus_masked-NODE_10_length_550745_cov_39.138_ID_19-processed-gene-2.59&CDS=1-1701
OG0000225	YBR024W, YBR037C	augustus_masked-NODE_10_length_550745_cov_39.138_ID_19-processed-gene-2.62-mRNA-1_1&gene=augustus_masked-NODE_10_length_550745_cov_39.138_ID_19-processed-gene-2.62&CDS=1-4893
OG0000226	YBR028C	augustus_masked-NODE_12_length_398974_cov_37.4773_ID_23-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-NODE_12_length_398974_cov_37.4773_ID_23-processed-gene-0.37&CDS=1-1554, augustus_masked-NODE_4_length_788429_cov_41.9372_ID_7-processed-gene-5.61-mRNA-1_1&gene=augustus_masked-NODE_4_length_788429_cov_41.9372_ID_7-processed-gene-5.61&CDS=1-1449
OG0000227	YBR033W, YKL038W	snap_masked-NODE_4_length_788429_cov_41.9372_ID_7-processed-gene-3.61-mRNA-1_1&gene=snap_masked-NODE_4_length_788429_cov_41.9372_ID_7-processed-gene-3.61&CDS=1-2460
OG0000228	YBR042C, YDR018C	augustus_masked-NODE_8_length_556485_cov_39.8289_ID_15-processed-gene-3.73-mRNA-1_1&gene=augustus_masked-NODE_8_length_556485_cov_39.8289_ID_15-processed-gene-3.73&CDS=1-1236
OG0000229	YBR048W, YDR025W	augustus_masked-NODE_5_length_785164_cov_45.4552_ID_9-processed-gene-4.65-mRNA-1_1&gene=augustus_masked-NODE_5_length_785164_cov_45.4552_ID_9-processed-gene-4.65&CDS=1-465
OG0000230	YBR078W, YDR055W	augustus_masked-NODE_9_length_553621_cov_69.3391_ID_17-processed-gene-1.25-mRNA-1_1&gene=augustus_masked-NODE_9_length_553621_cov_69.3391_ID_17-processed-gene-1.25&CDS=1-1275
OG0000231	YBR084W	augustus_masked-NODE_21_length_217050_cov_48.8671_ID_41-processed-gene-1.22-mRNA-1_1&gene=augustus_masked-NODE_21_length_217050_cov_48.8671_ID_41-processed-gene-1.22&CDS=1-1965, snap_masked-NODE_6_length_707688_cov_38.2434_ID_11-processed-gene-4.65-mRNA-1_1&gene=snap_masked-NODE_6_length_707688_cov_38.2434_ID_11-processed-gene-4.65&CDS=1-2916
OG0000232	YBR089C-A, YPR052C	augustus_masked-NODE_3_length_819385_cov_40.0357_ID_5-processed-gene-6.50-mRNA-1_1&gene=augustus_masked-NODE_3_length_819385_cov_40.0357_ID_5-processed-gene-6.50&CDS=1-264
OG0000233	YBR094W	augustus_masked-NODE_7_length_668977_cov_43.4603_ID_13-processed-gene-1.34-mRNA-1_1&gene=augustus_masked-NODE_7_length_668977_cov_43.4603_ID_13-processed-gene-1.34&CDS=1-900, maker-NODE_7_length_668977_cov_43.4603_ID_13-augustus-gene-1.121-mRNA-1_1&gene=maker-NODE_7_length_668977_cov_43.4603_ID_13-augustus-gene-1.121&CDS=1-2172
OG0000234	YBR104W, YPR058W	augustus_masked-NODE_9_length_553621_cov_69.3391_ID_17-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-NODE_9_length_553621_cov_69.3391_ID_17-processed-gene-0.3&CDS=1-918
OG0000235	YBR118W, YPR080W	augustus_masked-NODE_45_length_1283_cov_80.4889_ID_89-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_45_length_1283_cov_80.4889_ID_89-processed-gene-0.1&CDS=1-1272
OG0000236	YBR140C, YOL081W	augustus_masked-NODE_30_length_35830_cov_36.3926_ID_59-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-NODE_30_length_35830_cov_36.3926_ID_59-processed-gene-0.24&CDS=1-8601
OG0000237	YBR147W, YOL092W	maker-NODE_8_length_556485_cov_39.8289_ID_15-snap-gene-2.47-mRNA-1_1&gene=maker-NODE_8_length_556485_cov_39.8289_ID_15-snap-gene-2.47&CDS=1-1017
OG0000238	YBR161W, YPL057C	augustus_masked-NODE_2_length_1346259_cov_39.2016_ID_3-processed-gene-10.53-mRNA-1_1&gene=augustus_masked-NODE_2_length_1346259_cov_39.2016_ID_3-processed-gene-10.53&CDS=1-1086
OG0000239	YBR172C, YPL105C	snap_masked-NODE_8_length_556485_cov_39.8289_ID_15-processed-gene-0.74-mRNA-1_1&gene=snap_masked-NODE_8_length_556485_cov_39.8289_ID_15-processed-gene-0.74&CDS=1-2667
OG0000240	YBR177C, YPL095C	augustus_masked-NODE_16_length_282022_cov_38.1116_ID_31-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-NODE_16_length_282022_cov_38.1116_ID_31-processed-gene-0.45&CDS=1-1383
OG0000241	YBR181C, YPL090C	genemark-NODE_11_length_412070_cov_44.6161_ID_21-processed-gene-1.82-mRNA-1_1&gene=genemark-NODE_11_length_412070_cov_44.6161_ID_21-processed-gene-1.82&CDS=1-750
OG0000242	YBR182C, YPL089C	augustus_masked-NODE_2_length_1346259_cov_39.2016_ID_3-processed-gene-6.42-mRNA-1_1&gene=augustus_masked-NODE_2_length_1346259_cov_39.2016_ID_3-processed-gene-6.42&CDS=1-2121
OG0000243	YBR183W, YPL087W	augustus_masked-NODE_15_length_290363_cov_40.5998_ID_29-processed-gene-0.122-mRNA-1_1&gene=augustus_masked-NODE_15_length_290363_cov_40.5998_ID_29-processed-gene-0.122&CDS=1-843
OG0000244	YBR189W, YPL081W	maker-NODE_10_length_550745_cov_39.138_ID_19-snap-gene-2.43-mRNA-1_1&gene=maker-NODE_10_length_550745_cov_39.138_ID_19-snap-gene-2.43&CDS=1-1032
OG0000245	YBR212W	augustus_masked-NODE_2_length_1346259_cov_39.2016_ID_3-processed-gene-7.100-mRNA-1_1&gene=augustus_masked-NODE_2_length_1346259_cov_39.2016_ID_3-processed-gene-7.100&CDS=1-1668, augustus_masked-NODE_8_length_556485_cov_39.8289_ID_15-processed-gene-1.2-mRNA-1_1&gene=augustus_masked-NODE_8_length_556485_cov_39.8289_ID_15-processed-gene-1.2&CDS=1-1719
OG0000246	YBR214W, YGL056C	augustus_masked-NODE_4_length_788429_cov_41.9372_ID_7-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-NODE_4_length_788429_cov_41.9372_ID_7-processed-gene-0.46&CDS=1-1635
OG0000247	YBR216C, YGL060W	augustus_masked-NODE_2_length_1346259_cov_39.2016_ID_3-processed-gene-5.17-mRNA-1_1&gene=augustus_masked-NODE_2_length_1346259_cov_39.2016_ID_3-processed-gene-5.17&CDS=1-1980
OG0000248	YBR238C, YGL107C	augustus_masked-NODE_1_length_1450014_cov_38.9627_ID_1-processed-gene-8.67-mRNA-1_1&gene=augustus_masked-NODE_1_length_1450014_cov_38.9627_ID_1-processed-gene-8.67&CDS=1-1869
OG0000249	YBR241C, YGL104C	augustus_masked-NODE_15_length_290363_cov_40.5998_ID_29-processed-gene-0.89-mRNA-1_1&gene=augustus_masked-NODE_15_length_290363_cov_40.5998_ID_29-processed-gene-0.89&CDS=1-1443
OG0000250	YBR242W, YGL101W	augustus_masked-NODE_17_length_278381_cov_40.6668_ID_33-processed-gene-1.53-mRNA-1_1&gene=augustus_masked-NODE_17_length_278381_cov_40.6668_ID_33-processed-gene-1.53&CDS=1-666
OG0000251	YBR270C, YJL058C	augustus_masked-NODE_6_length_707688_cov_38.2434_ID_11-processed-gene-5.94-mRNA-1_1&gene=augustus_masked-NODE_6_length_707688_cov_38.2434_ID_11-processed-gene-5.94&CDS=1-1872
OG0000252	YBR273C, YJL048C	augustus_masked-NODE_27_length_114979_cov_45.4315_ID_53-processed-gene-0.131-mRNA-1_1&gene=augustus_masked-NODE_27_length_114979_cov_45.4315_ID_53-processed-gene-0.131&CDS=1-1716
OG0000253	YBR294W, YLR092W	augustus_masked-NODE_1_length_1450014_cov_38.9627_ID_1-processed-gene-1.18-mRNA-1_1&gene=augustus_masked-NODE_1_length_1450014_cov_38.9627_ID_1-processed-gene-1.18&CDS=1-2472
OG0000254	YCL011C, YNL004W	maker-NODE_6_length_707688_cov_38.2434_ID_11-augustus-gene-4.104-mRNA-1_1&gene=maker-NODE_6_length_707688_cov_38.2434_ID_11-augustus-gene-4.104&CDS=1-1578
OG0000255	YCL035C, YDR513W	augustus_masked-NODE_18_length_260039_cov_39.3695_ID_35-processed-gene-1.106-mRNA-1_1&gene=augustus_masked-NODE_18_length_260039_cov_39.3695_ID_35-processed-gene-1.106&CDS=1-396
OG0000256	YCL040W, YDR516C	augustus_masked-NODE_10_length_550745_cov_39.138_ID_19-processed-gene-1.42-mRNA-1_1&gene=augustus_masked-NODE_10_length_550745_cov_39.138_ID_19-processed-gene-1.42&CDS=1-1416
OG0000257	YCL048W, YDR522C	snap_masked-NODE_9_length_553621_cov_69.3391_ID_17-processed-gene-2.17-mRNA-1_1&gene=snap_masked-NODE_9_length_553621_cov_69.3391_ID_17-processed-gene-2.17&CDS=1-1302
OG0000258	YCL050C, YDR530C	genemark-NODE_21_length_217050_cov_48.8671_ID_41-processed-gene-1.70-mRNA-1_1&gene=genemark-NODE_21_length_217050_cov_48.8671_ID_41-processed-gene-1.70&CDS=1-1044
OG0000259	YCL066W, YCR040W	snap_masked-NODE_4_length_788429_cov_41.9372_ID_7-processed-gene-6.15-mRNA-1_1&gene=snap_masked-NODE_4_length_788429_cov_41.9372_ID_7-processed-gene-6.15&CDS=1-519
OG0000260	YCL068C, YCR038C	snap_masked-NODE_6_length_707688_cov_38.2434_ID_11-processed-gene-5.24-mRNA-1_1&gene=snap_masked-NODE_6_length_707688_cov_38.2434_ID_11-processed-gene-5.24&CDS=1-5775
OG0000261	YCR026C, YEL016C	augustus_masked-NODE_2_length_1346259_cov_39.2016_ID_3-processed-gene-6.44-mRNA-1_1&gene=augustus_masked-NODE_2_length_1346259_cov_39.2016_ID_3-processed-gene-6.44&CDS=1-2235
OG0000262	YCR031C, YJL191W	maker-NODE_25_length_133158_cov_51.1595_ID_49-snap-gene-0.60-mRNA-1_1&gene=maker-NODE_25_length_133158_cov_51.1595_ID_49-snap-gene-0.60&CDS=1-426
OG0000263	YCR048W, YNR019W	augustus_masked-NODE_2_length_1346259_cov_39.2016_ID_3-processed-gene-12.166-mRNA-1_1&gene=augustus_masked-NODE_2_length_1346259_cov_39.2016_ID_3-processed-gene-12.166&CDS=1-1467
OG0000264	YCR073C, YNR031C	augustus_masked-NODE_8_length_556485_cov_39.8289_ID_15-processed-gene-2.54-mRNA-1_1&gene=augustus_masked-NODE_8_length_556485_cov_39.8289_ID_15-processed-gene-2.54&CDS=1-4557
OG0000265	YCR073W-A, YNR034W	augustus_masked-NODE_8_length_556485_cov_39.8289_ID_15-processed-gene-1.17-mRNA-1_1&gene=augustus_masked-NODE_8_length_556485_cov_39.8289_ID_15-processed-gene-1.17&CDS=1-1113
OG0000266	YCR091W, YNR047W	snap_masked-NODE_1_length_1450014_cov_38.9627_ID_1-processed-gene-10.49-mRNA-1_1&gene=snap_masked-NODE_1_length_1450014_cov_38.9627_ID_1-processed-gene-10.49&CDS=1-2718
OG0000267	YDL035C	augustus_masked-NODE_11_length_412070_cov_44.6161_ID_21-processed-gene-2.52-mRNA-1_1&gene=augustus_masked-NODE_11_length_412070_cov_44.6161_ID_21-processed-gene-2.52&CDS=1-2127, augustus_masked-NODE_9_length_553621_cov_69.3391_ID_17-processed-gene-3.141-mRNA-1_1&gene=augustus_masked-NODE_9_length_553621_cov_69.3391_ID_17-processed-gene-3.141&CDS=1-2391
OG0000268	YDL036C, YOL066C	augustus_masked-NODE_28_length_97988_cov_49.1149_ID_55-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-NODE_28_length_97988_cov_49.1149_ID_55-processed-gene-0.7&CDS=1-2343
OG0000269	YDL037C, YIR019C	augustus_masked-NODE_57_length_790_cov_77.6_ID_113-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_57_length_790_cov_77.6_ID_113-processed-gene-0.2&CDS=1-663
OG0000270	YDL042C, YOL068C	snap_masked-NODE_21_length_217050_cov_48.8671_ID_41-processed-gene-0.113-mRNA-1_1&gene=snap_masked-NODE_21_length_217050_cov_48.8671_ID_41-processed-gene-0.113&CDS=1-1860
OG0000271	YDL048C, YLR375W	augustus_masked-NODE_9_length_553621_cov_69.3391_ID_17-processed-gene-2.57-mRNA-1_1&gene=augustus_masked-NODE_9_length_553621_cov_69.3391_ID_17-processed-gene-2.57&CDS=1-1287
OG0000272	YDL061C, YLR388W	augustus_masked-NODE_4_length_788429_cov_41.9372_ID_7-processed-gene-4.40-mRNA-1_1&gene=augustus_masked-NODE_4_length_788429_cov_41.9372_ID_7-processed-gene-4.40&CDS=1-234
OG0000273	YDL075W, YLR406C	augustus_masked-NODE_2_length_1346259_cov_39.2016_ID_3-processed-gene-12.188-mRNA-1_1&gene=augustus_masked-NODE_2_length_1346259_cov_39.2016_ID_3-processed-gene-12.188&CDS=1-345
OG0000274	YDL082W, YMR142C	augustus_masked-NODE_18_length_260039_cov_39.3695_ID_35-processed-gene-1.119-mRNA-1_1&gene=augustus_masked-NODE_18_length_260039_cov_39.3695_ID_35-processed-gene-1.119&CDS=1-591
OG0000275	YDL083C, YMR143W	augustus_masked-NODE_18_length_260039_cov_39.3695_ID_35-processed-gene-1.148-mRNA-1_1&gene=augustus_masked-NODE_18_length_260039_cov_39.3695_ID_35-processed-gene-1.148&CDS=1-426
OG0000276	YDL088C, YMR153W	snap_masked-NODE_1_length_1450014_cov_38.9627_ID_1-processed-gene-7.110-mRNA-1_1&gene=snap_masked-NODE_1_length_1450014_cov_38.9627_ID_1-processed-gene-7.110&CDS=1-1146
OG0000277	YDL109C, YGL144C	augustus_masked-NODE_4_length_788429_cov_41.9372_ID_7-processed-gene-3.94-mRNA-1_1&gene=augustus_masked-NODE_4_length_788429_cov_41.9372_ID_7-processed-gene-3.94&CDS=1-2610
OG0000278	YDL124W	maker-NODE_14_length_300086_cov_45.7339_ID_27-augustus-gene-1.98-mRNA-1_1&gene=maker-NODE_14_length_300086_cov_45.7339_ID_27-augustus-gene-1.98&CDS=1-951, snap_masked-NODE_1_length_1450014_cov_38.9627_ID_1-processed-gene-5.72-mRNA-1_1&gene=snap_masked-NODE_1_length_1450014_cov_38.9627_ID_1-processed-gene-5.72&CDS=1-963
OG0000279	YDL131W	augustus_masked-NODE_10_length_550745_cov_39.138_ID_19-processed-gene-2.74-mRNA-1_1&gene=augustus_masked-NODE_10_length_550745_cov_39.138_ID_19-processed-gene-2.74&CDS=1-1257, augustus_masked-NODE_1_length_1450014_cov_38.9627_ID_1-processed-gene-13.86-mRNA-1_1&gene=augustus_masked-NODE_1_length_1450014_cov_38.9627_ID_1-processed-gene-13.86&CDS=1-1311
OG0000280	YDL136W, YDL191W	augustus_masked-NODE_1_length_1450014_cov_38.9627_ID_1-processed-gene-13.80-mRNA-1_1&gene=augustus_masked-NODE_1_length_1450014_cov_38.9627_ID_1-processed-gene-13.80&CDS=1-360
OG0000281	YDL137W, YDL192W	augustus_masked-NODE_1_length_1450014_cov_38.9627_ID_1-processed-gene-13.79-mRNA-1_1&gene=augustus_masked-NODE_1_length_1450014_cov_38.9627_ID_1-processed-gene-13.79&CDS=1-543
OG0000282	YDL161W, YLR206W	augustus_masked-NODE_5_length_785164_cov_45.4552_ID_9-processed-gene-4.73-mRNA-1_1&gene=augustus_masked-NODE_5_length_785164_cov_45.4552_ID_9-processed-gene-4.73&CDS=1-1428
OG0000283	YDL224C, YNL197C	augustus_masked-NODE_1_length_1450014_cov_38.9627_ID_1-processed-gene-6.78-mRNA-1_1&gene=augustus_masked-NODE_1_length_1450014_cov_38.9627_ID_1-processed-gene-6.78&CDS=1-2187
OG0000284	YDL237W	snap_masked-NODE_3_length_819385_cov_40.0357_ID_5-processed-gene-4.63-mRNA-1_1&gene=snap_masked-NODE_3_length_819385_cov_40.0357_ID_5-processed-gene-4.63&CDS=1-978, snap_masked-NODE_3_length_819385_cov_40.0357_ID_5-processed-gene-4.64-mRNA-1_1&gene=snap_masked-NODE_3_length_819385_cov_40.0357_ID_5-processed-gene-4.64&CDS=1-882
OG0000285	YDL246C, YJR159W	augustus_masked-NODE_7_length_668977_cov_43.4603_ID_13-processed-gene-5.25-mRNA-1_1&gene=augustus_masked-NODE_7_length_668977_cov_43.4603_ID_13-processed-gene-5.25&CDS=1-1056
OG0000286	YDR032C	augustus_masked-NODE_9_length_553621_cov_69.3391_ID_17-processed-gene-2.56-mRNA-1_1&gene=augustus_masked-NODE_9_length_553621_cov_69.3391_ID_17-processed-gene-2.56&CDS=1-756, augustus_masked-NODE_9_length_553621_cov_69.3391_ID_17-processed-gene-2.72-mRNA-1_1&gene=augustus_masked-NODE_9_length_553621_cov_69.3391_ID_17-processed-gene-2.72&CDS=1-594
OG0000287	YDR054C	augustus_masked-NODE_6_length_707688_cov_38.2434_ID_11-processed-gene-6.72-mRNA-1_1&gene=augustus_masked-NODE_6_length_707688_cov_38.2434_ID_11-processed-gene-6.72&CDS=1-717, augustus_masked-NODE_7_length_668977_cov_43.4603_ID_13-processed-gene-1.26-mRNA-1_1&gene=augustus_masked-NODE_7_length_668977_cov_43.4603_ID_13-processed-gene-1.26&CDS=1-687
OG0000288	YDR066C, YER139C	augustus_masked-NODE_11_length_412070_cov_44.6161_ID_21-processed-gene-3.140-mRNA-1_1&gene=augustus_masked-NODE_11_length_412070_cov_44.6161_ID_21-processed-gene-3.140&CDS=1-681
OG0000289	YDR069C, YER144C	augustus_masked-NODE_14_length_300086_cov_45.7339_ID_27-processed-gene-1.22-mRNA-1_1&gene=augustus_masked-NODE_14_length_300086_cov_45.7339_ID_27-processed-gene-1.22&CDS=1-2589
OG0000290	YDR090C	augustus_masked-NODE_10_length_550745_cov_39.138_ID_19-processed-gene-0.110-mRNA-1_1&gene=augustus_masked-NODE_10_length_550745_cov_39.138_ID_19-processed-gene-0.110&CDS=1-891, augustus_masked-NODE_2_length_1346259_cov_39.2016_ID_3-processed-gene-9.113-mRNA-1_1&gene=augustus_masked-NODE_2_length_1346259_cov_39.2016_ID_3-processed-gene-9.113&CDS=1-684
OG0000291	YDR098C, YER174C	augustus_masked-NODE_4_length_788429_cov_41.9372_ID_7-processed-gene-2.119-mRNA-1_1&gene=augustus_masked-NODE_4_length_788429_cov_41.9372_ID_7-processed-gene-2.119&CDS=1-768
OG0000292	YDR107C, YLR083C	augustus_masked-NODE_1_length_1450014_cov_38.9627_ID_1-processed-gene-11.57-mRNA-1_1&gene=augustus_masked-NODE_1_length_1450014_cov_38.9627_ID_1-processed-gene-11.57&CDS=1-1887
OG0000293	YDR122W, YLR096W	augustus_masked-NODE_4_length_788429_cov_41.9372_ID_7-processed-gene-5.70-mRNA-1_1&gene=augustus_masked-NODE_4_length_788429_cov_41.9372_ID_7-processed-gene-5.70&CDS=1-3741
OG0000294	YDR132C, YLR108C	augustus_masked-NODE_12_length_398974_cov_37.4773_ID_23-processed-gene-2.15-mRNA-1_1&gene=augustus_masked-NODE_12_length_398974_cov_37.4773_ID_23-processed-gene-2.15&CDS=1-1302
OG0000295	YDR143C	augustus_masked-NODE_19_length_238352_cov_47.7159_ID_37-processed-gene-1.17-mRNA-1_1&gene=augustus_masked-NODE_19_length_238352_cov_47.7159_ID_37-processed-gene-1.17&CDS=1-2163, snap_masked-NODE_24_length_160991_cov_50.864_ID_47-processed-gene-0.38-mRNA-1_1&gene=snap_masked-NODE_24_length_160991_cov_50.864_ID_47-processed-gene-0.38&CDS=1-1539
OG0000296	YDR151C, YLR136C	genemark-NODE_4_length_788429_cov_41.9372_ID_7-processed-gene-2.62-mRNA-1_1&gene=genemark-NODE_4_length_788429_cov_41.9372_ID_7-processed-gene-2.62&CDS=1-1137
OG0000297	YDR185C, YLR168C	augustus_masked-NODE_3_length_819385_cov_40.0357_ID_5-processed-gene-2.87-mRNA-1_1&gene=augustus_masked-NODE_3_length_819385_cov_40.0357_ID_5-processed-gene-2.87&CDS=1-957
OG0000298	YDR200C, YLR238W	augustus_masked-NODE_1_length_1450014_cov_38.9627_ID_1-processed-gene-4.118-mRNA-1_1&gene=augustus_masked-NODE_1_length_1450014_cov_38.9627_ID_1-processed-gene-4.118&CDS=1-1842
OG0000299	YDR206W, YLR233C	augustus_masked-NODE_1_length_1450014_cov_38.9627_ID_1-processed-gene-4.95-mRNA-1_1&gene=augustus_masked-NODE_1_length_1450014_cov_38.9627_ID_1-processed-gene-4.95&CDS=1-3423
OG0000300	YDR213W, YLR228C	augustus_masked-NODE_16_length_282022_cov_38.1116_ID_31-processed-gene-1.116-mRNA-1_1&gene=augustus_masked-NODE_16_length_282022_cov_38.1116_ID_31-processed-gene-1.116&CDS=1-2070
OG0000301	YDR225W	augustus_masked-NODE_19_length_238352_cov_47.7159_ID_37-processed-gene-1.11-mRNA-1_1&gene=augustus_masked-NODE_19_length_238352_cov_47.7159_ID_37-processed-gene-1.11&CDS=1-393, snap_masked-NODE_20_length_229787_cov_48.6478_ID_39-processed-gene-1.139-mRNA-1_1&gene=snap_masked-NODE_20_length_229787_cov_48.6478_ID_39-processed-gene-1.139&CDS=1-396
OG0000302	YDR233C	augustus_masked-NODE_1_length_1450014_cov_38.9627_ID_1-processed-gene-4.124-mRNA-1_1&gene=augustus_masked-NODE_1_length_1450014_cov_38.9627_ID_1-processed-gene-4.124&CDS=1-744, maker-NODE_1_length_1450014_cov_38.9627_ID_1-augustus-gene-5.49-mRNA-1_1&gene=maker-NODE_1_length_1450014_cov_38.9627_ID_1-augustus-gene-5.49&CDS=1-837
OG0000303	YDR247W, YPL026C	augustus_masked-NODE_5_length_785164_cov_45.4552_ID_9-processed-gene-5.101-mRNA-1_1&gene=augustus_masked-NODE_5_length_785164_cov_45.4552_ID_9-processed-gene-5.101&CDS=1-2019
OG0000304	YDR251W, YPL032C	augustus_masked-NODE_4_length_788429_cov_41.9372_ID_7-processed-gene-4.28-mRNA-1_1&gene=augustus_masked-NODE_4_length_788429_cov_41.9372_ID_7-processed-gene-4.28&CDS=1-2799
OG0000305	YDR253C, YPL038W	augustus_masked-NODE_1_length_1450014_cov_38.9627_ID_1-processed-gene-3.90-mRNA-1_1&gene=augustus_masked-NODE_1_length_1450014_cov_38.9627_ID_1-processed-gene-3.90&CDS=1-1503
OG0000306	YDR263C, YOR033C	snap_masked-NODE_2_length_1346259_cov_39.2016_ID_3-processed-gene-5.75-mRNA-1_1&gene=snap_masked-NODE_2_length_1346259_cov_39.2016_ID_3-processed-gene-5.75&CDS=1-1782
OG0000307	YDR272W, YOR040W	augustus_masked-NODE_8_length_556485_cov_39.8289_ID_15-processed-gene-1.31-mRNA-1_1&gene=augustus_masked-NODE_8_length_556485_cov_39.8289_ID_15-processed-gene-1.31&CDS=1-768
OG0000308	YDR277C, YOR047C	snap_masked-NODE_30_length_35830_cov_36.3926_ID_59-processed-gene-0.14-mRNA-1_1&gene=snap_masked-NODE_30_length_35830_cov_36.3926_ID_59-processed-gene-0.14&CDS=1-1383
OG0000309	YDR300C, YHR033W	maker-NODE_11_length_412070_cov_44.6161_ID_21-augustus-gene-3.59-mRNA-1_1&gene=maker-NODE_11_length_412070_cov_44.6161_ID_21-augustus-gene-3.59&CDS=1-1425
OG0000310	YDR312W, YHR066W	augustus_masked-NODE_5_length_785164_cov_45.4552_ID_9-processed-gene-2.99-mRNA-1_1&gene=augustus_masked-NODE_5_length_785164_cov_45.4552_ID_9-processed-gene-2.99&CDS=1-1278
OG0000311	YDR348C, YHR097C	maker-NODE_14_length_300086_cov_45.7339_ID_27-augustus-gene-0.78-mRNA-1_1&gene=maker-NODE_14_length_300086_cov_45.7339_ID_27-augustus-gene-0.78&CDS=1-1599
OG0000312	YDR351W, YHR103W	augustus_masked-NODE_8_length_556485_cov_39.8289_ID_15-processed-gene-3.81-mRNA-1_1&gene=augustus_masked-NODE_8_length_556485_cov_39.8289_ID_15-processed-gene-3.81&CDS=1-2034
OG0000313	YDR389W, YOR134W	snap_masked-NODE_8_length_556485_cov_39.8289_ID_15-processed-gene-1.134-mRNA-1_1&gene=snap_masked-NODE_8_length_556485_cov_39.8289_ID_15-processed-gene-1.134&CDS=1-2196
OG0000314	YDR400W	augustus_masked-NODE_11_length_412070_cov_44.6161_ID_21-processed-gene-1.101-mRNA-1_1&gene=augustus_masked-NODE_11_length_412070_cov_44.6161_ID_21-processed-gene-1.101&CDS=1-1041, snap_masked-NODE_1_length_1450014_cov_38.9627_ID_1-processed-gene-7.124-mRNA-1_1&gene=snap_masked-NODE_1_length_1450014_cov_38.9627_ID_1-processed-gene-7.124&CDS=1-999
OG0000315	YDR409W, YOR156C	maker-NODE_18_length_260039_cov_39.3695_ID_35-augustus-gene-1.157-mRNA-1_1&gene=maker-NODE_18_length_260039_cov_39.3695_ID_35-augustus-gene-1.157&CDS=1-4578
OG0000316	YDR418W, YEL054C	augustus_masked-NODE_6_length_707688_cov_38.2434_ID_11-processed-gene-4.14-mRNA-1_1&gene=augustus_masked-NODE_6_length_707688_cov_38.2434_ID_11-processed-gene-4.14&CDS=1-495
OG0000317	YDR447C, YML024W	augustus_masked-NODE_6_length_707688_cov_38.2434_ID_11-processed-gene-3.75-mRNA-1_1&gene=augustus_masked-NODE_6_length_707688_cov_38.2434_ID_11-processed-gene-3.75&CDS=1-405
OG0000318	YDR450W, YML026C	augustus_masked-NODE_6_length_707688_cov_38.2434_ID_11-processed-gene-3.55-mRNA-1_1&gene=augustus_masked-NODE_6_length_707688_cov_38.2434_ID_11-processed-gene-3.55&CDS=1-450
OG0000319	YDR453C, YML028W	augustus_masked-NODE_21_length_217050_cov_48.8671_ID_41-processed-gene-0.79-mRNA-1_1&gene=augustus_masked-NODE_21_length_217050_cov_48.8671_ID_41-processed-gene-0.79&CDS=1-585
OG0000320	YDR458C, YML034W	augustus_masked-NODE_6_length_707688_cov_38.2434_ID_11-processed-gene-4.27-mRNA-1_1&gene=augustus_masked-NODE_6_length_707688_cov_38.2434_ID_11-processed-gene-4.27&CDS=1-2517
OG0000321	YDR471W, YHR010W	maker-NODE_1_length_1450014_cov_38.9627_ID_1-snap-gene-10.98-mRNA-1_1&gene=maker-NODE_1_length_1450014_cov_38.9627_ID_1-snap-gene-10.98&CDS=1-408
OG0000322	YDR475C, YOR019W	maker-NODE_23_length_184207_cov_38.6036_ID_45-snap-gene-0.148-mRNA-1_1&gene=maker-NODE_23_length_184207_cov_38.6036_ID_45-snap-gene-0.148&CDS=1-2160
OG0000323	YDR497C, YOL103W	augustus_masked-NODE_25_length_133158_cov_51.1595_ID_49-processed-gene-0.96-mRNA-1_1&gene=augustus_masked-NODE_25_length_133158_cov_51.1595_ID_49-processed-gene-0.96&CDS=1-1656
OG0000324	YDR500C, YLR185W	augustus_masked-NODE_9_length_553621_cov_69.3391_ID_17-processed-gene-3.104-mRNA-1_1&gene=augustus_masked-NODE_9_length_553621_cov_69.3391_ID_17-processed-gene-3.104&CDS=1-327
OG0000325	YDR502C, YLR180W	augustus_masked-NODE_9_length_553621_cov_69.3391_ID_17-processed-gene-3.106-mRNA-1_1&gene=augustus_masked-NODE_9_length_553621_cov_69.3391_ID_17-processed-gene-3.106&CDS=1-3087
